# ^zz++++=###
# ^zz++++=EXTRAWORD
# ^zz++++=EXTRAWORD
Editorial ^jj+atrb+++=EDITORIAL
road ^npl++++=road,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
they ^pp3a+pp3+++=they
might ^md+pos+++=might
have ^vb+hv+aux++=have
held ^vprf+++xvbnx+=held
it ^pp3+it+++=it
longer ^rbr++++=longer
had ^vb+hv+vrb++=had
not ^xnot++not++=not
Vange ^np+++??+=Vange
crept ^vbd+++xvbn+=crept
out ^rp+pl+++=out
through ^in++++=through
the ^ati++++=the
ash ^nn++++=ash
sluice ^nn+++??+=sluice
and ^cc++++=and
told ^vbd+vpub++xvbn+=told
the ^ati++++=the
militia ^nn+++??+=militia
where ^wrb+who+++=where
the ^ati++++=the
powder ^nn++++=powder
was ^vbd+bedz+aux++=was
stored ^vpsv++agls+xvbnx+=stored.
. ^zz++++=EXTRAWORD
The ^ati++++=The
militia ^nn++++=militia
entered ^vbd+++xvbn+=entered
before ^in++++=before
dawn ^nn++++=dawn.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
were ^vbd+bed+aux++=were
well ^rb++splt++=well
armed ^vpsv++agls+xvbnx+=armed.
. ^zz++++=EXTRAWORD
The ^ati++++=The
slaves ^nns++++=slaves
were ^vbd+bed+aux++=were
well ^rb++++=well
beaten ^vbd+++xvbn+=beaten.
. ^zz++++=EXTRAWORD
Forty ^cd++++=Forty-two
- ^zz++++=EXTRAWORD
two ^cd++++=EXTRAWORD
were ^vbd+bed+aux++=were
hanged ^vpsv++agls+xvbnx+=hanged
from ^in++++=from
furnace ^nn++++=furnace
cranes ^nns++++=cranes.
. ^zz++++=EXTRAWORD
One ^cd1++++=One
hundred ^cd++++=hundred
and ^cc++++=and
six ^cd++++=six
were ^vbd+bed+aux++=were
sold ^vpsv++agls+xvbnx+=sold
south ^nr+pl+++=south
into ^in++++=into
the ^ati++++=the
reclamation ^nn+nom+++=reclamation
marshes ^nns++++=marshes.
. ^zz++++=EXTRAWORD
The ^ati++++=The
rest ^nn++++=rest
returned ^vbd+++xvbn+=returned
to ^in++++=to
work ^nn++++=work
with ^in++++=with
iron ^nn++++=iron
collars ^nns++++=collars.
. ^zz++++=EXTRAWORD
Vange ^np+++??+=Vange
received ^vbd+++xvbn+=received
a ^at++++=a
blue ^jj+atrb+++=blue
coat ^nn++++=coat,
, ^zz++++=EXTRAWORD
twenty ^cd++++=twenty
hectares ^nns+++??+=hectares,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
authority ^nn+nom+++=authority
over ^in++++=over
the ^ati++++=the
widows ^nns++++=widows
of ^in++++=of
the ^ati++++=the
men ^nns++++=men
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
betrayed ^vprf+++xvbnx+=betrayed.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+vrb++=was
a ^at++++=a
slave ^nn++++=slave.
. ^zz++++=EXTRAWORD
Remember ^nn+nom+++=Remember
that ^tht+vcmp+++=that.
. ^zz++++=EXTRAWORD
Bloody ^jj+atrb+++=Bloody
Vange ^np+++??+=Vange
learned ^vbd+vprv++xvbn+=learned
his ^pp$+pp3+++=his
letters ^nns+nom+++=letters
from ^in++++=from
the ^ati++++=the
company ^nn++++=company
accountant ^nn+nom+++=accountant.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
learned ^vbd+vprv++xvbnx+=learned
figures ^nns++++=figures
better ^jjr++++=better.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
discovered ^vbd+vprv++xvbnx+=discovered
that ^tht+vcmp+++=that
a ^at++++=a
whip ^nn++++=whip
could ^md+pos+++=could
earn ^vb++++=earn
more ^rbr++++=more
money ^nn++++=money
than ^in++++=than
a ^at++++=a
hammer ^nn++++=hammer,
, ^zz++++=EXTRAWORD
provided ^j+++xvbn+=provided
another ^dt++++=another
man ^nn++++=man's
's ^$++++=EXTRAWORD
hand ^nn++++=hand
held ^vbd+vprv++xvbn+=held
the ^ati++++=the
hammer ^nn++++=hammer.
. ^zz++++=EXTRAWORD
During ^in++++=During
the ^ati++++=the
Cotton ^nn++++=Cotton
Disturbances ^nns+nom+++=Disturbances
he ^pp3a+pp3+++=he
supplied ^vbd+++xvbnx+=supplied
troops ^nns++++=troops.
. ^zz++++=EXTRAWORD
During ^in++++=During
the ^ati++++=the
Miners ^nns++++=Miners'
' ^zz++++=EXTRAWORD
Petition ^nn+nom+++=Petition
he ^pp3a+pp3+++=he
supplied ^vbd+++xvbnx+=supplied
names ^nns++++=names.
. ^zz++++=EXTRAWORD
During ^in++++=During
the ^ati++++=the
Short ^jj+atrb+++=Short
Bread ^nn++++=Bread
Winter ^nn++++=Winter
he ^pp3a+pp3+++=he
purchased ^vbd+++xvbnx+=purchased
children ^nns++++=children
from ^in++++=from
starving ^xvbg+++xvbg+=starving
parents ^nns++++=parents
and ^cc++++=and
rented ^jj+++xvbn+=rented
them ^pp3o+pp3+++=them
to ^in++++=to
the ^ati++++=the
chemical ^jj+atrb+++=chemical
works ^nns++++=works.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
he ^pp3a+pp3+++=he
died ^vbd+++xvbnx+=died,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
owned ^vbd+++xvbnx+=owned
seven ^cd++++=seven
hundred ^cd++++=hundred
slaves ^nns++++=slaves
and ^cc++++=and
called ^vbd+++xvbn+=called
himself ^ppl+pp3+++=himself
William ^np++++=William
Van ^&fw++++=Van
de ^&fw++++=de
Water ^nn++++=Water,
, ^zz++++=EXTRAWORD
because ^cs+cos+++=because
villains ^nns+++??+=villains,
, ^zz++++=EXTRAWORD
like ^in++++=like
bad ^jj+atrb+++=bad
meat ^nn++++=meat,
, ^zz++++=EXTRAWORD
are ^vb+ber+aux++=are
often ^rb++splt++=often
improved ^vpsv++agls+xvbnx+=improved
in ^in++++=in
the ^ati++++=the
market ^nn++++=market
by ^in++++=by
a ^at++++=a
foreign ^jj+atrb+++=foreign
label ^nn++++=label.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
son ^nn++++=son
joined ^vbd+++xvbn+=joined
the ^ati++++=the
words ^nns++++=words.
. ^zz++++=EXTRAWORD
Vanderwater ^np+nom++??+=Vanderwater.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
grandson ^nn++++=grandson
bought ^vbd+++xvbn+=bought
a ^at++++=a
judge ^nn++++=judge.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
great ^jj++++=great-grandson
- ^zz++++=EXTRAWORD
grandson ^nn++++=EXTRAWORD
bought ^vbd+++xvbn+=bought
the ^ati++++=the
court ^nn++++=court.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
descendants ^nns+nom+++=descendants
bought ^vbd+++xvbn+=bought
newspapers ^nns+nom+++=newspapers
and ^cc++++=and
ordered ^vbd+vsua++xvbn+=ordered
printed ^vbd+++xvbn+=printed
therein ^rb++++=therein
that ^cs+sub+++=that
their ^pp$+pp3+++=their
ancestor ^nn++++=ancestor
had ^vbd+hvd+aux++=had
been ^vprf+ben+vrb+xvbnx+=been
Commodore ^npt++++=Commodore
Willem ^np+++??+=Willem
Vanderwater ^np+nom++??+=Vanderwater,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
crossed ^vbd+++xvbn+=crossed
the ^ati++++=the
Atlantic ^np++++=Atlantic
with ^in++++=with
three ^cd++++=three
ships ^nns++++=ships
and ^cc++++=and
defended ^vbd+++xvbn+=defended
civilization ^nn+nom+++=civilization
from ^in++++=from
mutineers ^nns+nom+++=mutineers.
. ^zz++++=EXTRAWORD
The ^ati++++=The
three ^cd++++=three
ships ^nns++++=ships
were ^vbd+bed+vrb++=were
three ^cd++++=three
ore ^nn++++=ore
carts ^nns+++??+=carts.
. ^zz++++=EXTRAWORD
The ^ati++++=The
Atlantic ^np++++=Atlantic
was ^vbd+bedz+vrb++=was
an ^at++++=an
ash ^nn++++=ash
ditch ^nn++++=ditch.
. ^zz++++=EXTRAWORD
The ^ati++++=The
mutineers ^nns+nom+++=mutineers
were ^vbd+bed+vrb++=were
hungry ^jj+atrb+++=hungry
slaves ^nns++++=slaves.
. ^zz++++=EXTRAWORD
This ^dt+pdem+++=This
is ^vbz+bez+vrb++=is
fact ^nn++++=fact.
. ^zz++++=EXTRAWORD
Why ^wrb+who+++=Why,
, ^zz++++=EXTRAWORD
then ^rn+tm+++=then,
, ^zz++++=EXTRAWORD
do ^vb+do+vrb++=do
the ^ati++++=the
masters ^nns+nom+++=masters
forbid ^vprf+++xvbn+=forbid
you ^pp2+pp2+++=you
to ^to++++=to
read ^vbn+vprv++xvbn+=read
history ^nn++++=history?
? ^zz++++=EXTRAWORD
Because ^cs+cos+++=Because
a ^at++++=a
slave ^nn++++=slave
who ^whp+rel+subj++=who
reads ^vbz++++=reads
may ^md+pos+++=may
discover ^nn+nom+++=discover
that ^tht+vcmp+++=that
the ^ati++++=the
master ^nn++++=master's
's ^$++++=EXTRAWORD
grandfather ^nn+nom+++=grandfather
stood ^vbd+++xvbn+=stood
beside ^in+pl+++=beside
him ^pp3o+pp3+++=him
in ^in++++=in
chains ^nns++++=chains.
. ^zz++++=EXTRAWORD
Worse ^jjr++++=Worse,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
may ^md+pos+++=may
discover ^nn+nom+++=discover
that ^tht+vcmp+++=that
the ^ati++++=the
grandfather ^nn+nom+++=grandfather
escaped ^vbd+++xvbn+=escaped
those ^dt+dem+++=those
chains ^nns++++=chains
by ^in++++=by
fastening ^nn++++=fastening
them ^pp3o+pp3+++=them
upon ^in++++=upon
his ^pp$+pp3+++=his
brothers ^nns+nom+++=brothers.
. ^zz++++=EXTRAWORD
The ^ati++++=The
Vanderwaters ^nns+nom++??+=Vanderwaters
grew ^vbd+++xvbn+=grew
rich ^jj++++=rich.
. ^zz++++=EXTRAWORD
Rich ^jj++++=Rich
is ^vbz+bez+vrb++=is
too ^ql++++=too
small ^jj++++=small
a ^at++++=a
word ^nn++++=word.
. ^zz++++=EXTRAWORD
A ^at++++=A
rich ^jj+atrb+++=rich
man ^nn++++=man
owns ^vbz++++=owns
a ^at++++=a
house ^nn++++=house.
. ^zz++++=EXTRAWORD
The ^ati++++=The
Vanderwaters ^nns+nom++??+=Vanderwaters
owned ^vbd+++xvbn+=owned
counties ^nns++++=counties.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
owned ^vbd+++xvbnx+=owned
the ^ati++++=the
rain ^nn++++=rain
that ^tht+rel+subj++=that
fell ^vbd+++xvbn+=fell
into ^in+ppvb+++=into
their ^pp$+pp3+++=their
reservoirs ^nns++++=reservoirs
and ^cc++++=and
the ^ati++++=the
mud ^nn++++=mud
that ^tht+rel+subj++=that
clogged ^vbd+++xvbn+=clogged
the ^ati++++=the
workers ^nns+nom+++=workers'
' ^zz++++=EXTRAWORD
boots ^nns++++=boots.
. ^zz++++=EXTRAWORD
Their ^pp$+pp3+++=Their
mills ^np++++=mills
stretched ^vwbn+++xvbn+=stretched
from ^in++++=from
Lake ^nn++++=Lake
Erie ^np+++??+=Erie
to ^in++++=to
the ^ati++++=the
Cumberland ^np++++=Cumberland
barrens ^nns+++??+=barrens.
. ^zz++++=EXTRAWORD
Their ^pp$+pp3+++=Their
private ^jj++++=private
trains ^vbz++++=trains
crossed ^vbd+++xvbn+=crossed
public ^jj+atrb+++=public
roads ^nns++++=roads
without ^in++++=without
slowing ^nn++++=slowing.
. ^zz++++=EXTRAWORD
Their ^pp$+pp3+++=Their
family ^nn++++=family
law ^nn++++=law
became ^vbd+++xvbn+=became
commercial ^jj+atrb+++=commercial
law ^nn++++=law,
, ^zz++++=EXTRAWORD
commercial ^jj+atrb+++=commercial
law ^nn++++=law
became ^vbd+++xvbn+=became
national ^jj+atrb+++=national
law ^nn++++=law,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
national ^jj+atrb+++=national
law ^nn++++=law
became ^vbd+++xvbn+=became
the ^ati++++=the
lock ^nn++++=lock
upon ^in++++=upon
your ^pp$+pp2+++=your
door ^nn++++=door.
. ^zz++++=EXTRAWORD
Now ^rn+dspt+++=Now
we ^pp1a+pp1+++=we
come ^vprf+++xvbn+=come
forward ^rb++++=forward
two ^cd++++=two
hundred ^cd++++=hundred
years ^nns++++=years,
, ^zz++++=EXTRAWORD
as ^in++++=as
a ^at++++=a
man ^nn++++=man
crosses ^nns++++=crosses
rotten ^jj+atrb+++=rotten
boards ^nns++++=boards
carefully ^rb+cnj+++=carefully,
, ^zz++++=EXTRAWORD
because ^cs+cos+++=because
every ^at++++=every
plank ^nn++++=plank
is ^vbz+bez+aux++=is
soaked ^vpsv++agls+xvbnx+=soaked
in ^in++++=in
blood ^nn++++=blood.
. ^zz++++=EXTRAWORD
Roger ^np++++=Roger
Vanderwater ^np+nom++??+=Vanderwater
Iii ^np+++??+=III
inherited ^vbd+++xvbn+=inherited
the ^ati++++=the
textile ^nn++++=textile
works ^nns++++=works
called ^vbd+++xvbn+=called
Hell ^np++++=Hell's
's ^$++++=EXTRAWORD
Bottom ^nn++++=Bottom.
. ^zz++++=EXTRAWORD
Some ^dti++++=Some
of ^in++++=of
you ^pp2+pp2+++=you
have ^vb+hv+aux++=have
seen ^vprf+++xvbnx+=seen
Hell ^np++++=Hell's
's ^$++++=EXTRAWORD
Bottom ^nn++++=Bottom.
. ^zz++++=EXTRAWORD
Some ^dti++++=Some
of ^in++++=of
you ^pp2+pp2+++=you
were ^vbd+bed+aux++=were
born ^vpsv++agls+xvbnx+=born
there ^rn+pl+++=there.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
crouches ^vbz++++=crouches
in ^in++++=in
a ^at++++=a
valley ^nn++++=valley
where ^wrb+who+++=where
the ^ati++++=the
sun ^nn++++=sun
arrives ^vbz++++=arrives
late ^jj++++=late
and ^cc++++=and
smoke ^nn++++=smoke
arrives ^vbz++++=arrives
early ^jj++++=early.
. ^zz++++=EXTRAWORD
Eight ^cd++++=Eight
brick ^nn++++=brick
mills ^nns++++=mills
surround ^vb++++=surround
a ^at++++=a
canal ^npl++++=canal
black ^jj++++=black
as ^ql++++=as
shoe ^np++++=shoe
grease ^nn++++=grease.
. ^zz++++=EXTRAWORD
In ^in++++=In
summer ^nn++++=summer,
, ^zz++++=EXTRAWORD
the ^ati++++=the
dye ^nn++++=dye
vats ^nns+++??+=vats
stink ^nn++++=stink
of ^in++++=of
vinegar ^nn++++=vinegar
and ^cc++++=and
dead ^jj+atrb+++=dead
dogs ^nns++++=dogs.
. ^zz++++=EXTRAWORD
In ^in++++=In
winter ^nn++++=winter,
, ^zz++++=EXTRAWORD
steam ^nn++++=steam
freezes ^vbz++++=freezes
upon ^in++++=upon
the ^ati++++=the
windows ^nns++++=windows,
, ^zz++++=EXTRAWORD
so ^ql++++=so
that ^cs+sub+++=that
the ^ati++++=the
slaves ^nns++++=slaves
labor ^nn++++=labor
all ^abn++++=all
day ^nn++++=day
behind ^in+pl+++=behind
white ^jj+atrb+++=white
glass ^nn++++=glass
and ^cc++++=and
never ^rb++++=never
see ^vb+vprv+++=see
whether ^cs+who+++=whether
the ^ati++++=the
sky ^nn++++=sky
is ^vbz+bez+vrb++=is
blue ^jj+pred+++=blue.
. ^zz++++=EXTRAWORD
The ^ati++++=The
spinning ^jj+atrb++xvbg+=spinning
rooms ^nns++++=rooms
employed ^vbd+++xvbn+=employed
children ^nns++++=children
because ^cs+cos+++=because
children ^nns++++=children's
's ^$++++=EXTRAWORD
fingers ^nns+nom+++=fingers
could ^md+pos+++=could
dart ^vb++++=dart
between ^in++++=between
moving ^xvbg+++xvbg+=moving
teeth ^nns++++=teeth.
. ^zz++++=EXTRAWORD
The ^ati++++=The
carding ^jj+atrb+++=carding
rooms ^nns++++=rooms
employed ^vbd+++xvbn+=employed
women ^nns++++=women
because ^cs+cos+++=because
women ^nns++++=women,
, ^zz++++=EXTRAWORD
said ^j+++xvbn+=said
the ^ati++++=the
managers ^nns+nom+++=managers,
, ^zz++++=EXTRAWORD
had ^vb+hv+vrb++=had
patient ^nn++++=patient
lungs ^nns++++=lungs.
. ^zz++++=EXTRAWORD
The ^ati++++=The
press ^nn++++=press
floors ^nns++++=floors
employed ^vbd+++xvbn+=employed
men ^nns++++=men
until ^in++++=until
the ^ati++++=the
presses ^nns+nom++??+=presses
shortened ^jj++++=shortened
them ^pp3o+pp3+++=them.
. ^zz++++=EXTRAWORD
Six ^cd++++=Six
thousand ^cd++++=thousand
slaves ^nns++++=slaves
slept ^vbd+++xvbn+=slept
in ^in++++=in
barracks ^nns++++=barracks
upon ^in++++=upon
the ^ati++++=the
slope ^nn++++=slope.
. ^zz++++=EXTRAWORD
Their ^pp$+pp3+++=Their
wages ^nns++++=wages
were ^vbd+bed+aux++=were
paid ^vpsv++agls+xvbnx+=paid
in ^in++++=in
stamped ^xvbn+++xvbn+=stamped
tin ^np++++=tin,
, ^zz++++=EXTRAWORD
redeemable ^jj++++=redeemable
at ^in++++=at
the ^ati++++=the
Vanderwater ^np+nom++??+=Vanderwater
store ^nn++++=store.
. ^zz++++=EXTRAWORD
Their ^pp$+pp3+++=Their
meat ^nn++++=meat
was ^vbd+bedz+vrb++=was
mostly ^rb++++=mostly
memory ^nn++++=memory.
. ^zz++++=EXTRAWORD
Their ^pp$+pp3+++=Their
blankets ^nns++++=blankets
were ^vbd+bed+vrb++=were
mostly ^rb++++=mostly
holes ^nns++++=holes.
. ^zz++++=EXTRAWORD
Yet ^rb++++=Yet
every ^at++++=every
week ^nn++++=week
three ^cd++++=three
coins ^nns++++=coins
were ^vbd+bed+aux++=were
deducted ^vpsv++agls+xvbnx+=deducted
from ^in++++=from
each ^dt++++=each
worker ^nn++++=worker
for ^in++++=for
the ^ati++++=the
Mutual ^jj+atrb+++=Mutual
Distress ^nns+nom+++=Distress
and ^cc++++=and
Injured ^xvbn+++xvbn+=Injured
Laborers ^nns+nom++??+=Laborers'
' ^zz++++=EXTRAWORD
Relief ^nn++++=Relief
Fund ^nn++++=Fund.
. ^zz++++=EXTRAWORD
A ^at++++=A
fine ^jj+atrb+++=fine
name ^nn++++=name,
, ^zz++++=EXTRAWORD
is ^vbz+bez+vrb++=is
it ^pp3+it+++=it
not ^xnot++not++=not?
? ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
a ^at++++=a
man ^nn++++=man
lost ^vbd+++xvbn+=lost
a ^at++++=a
hand ^nn++++=hand,
, ^zz++++=EXTRAWORD
the ^ati++++=the
fund ^nn++++=fund
was ^vbd+bedz+vrb++=was
to ^in++++=to
feed ^nn++++=feed
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
a ^at++++=a
woman ^nn++++=woman
was ^vbd+bedz+aux++=was
burned ^vpsv++by+xvbnx+=burned
by ^in++++=by
acid ^nn++++=acid,
, ^zz++++=EXTRAWORD
the ^ati++++=the
fund ^nn++++=fund
was ^vbd+bedz+aux++=was
to ^to++++=to
buy ^vbi++++=buy
medicine ^nn++++=medicine.
. ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
a ^at++++=a
child ^nn++++=child
was ^vbd+bedz+aux++=was
drawn ^vpsv++agls+xvbnx+=drawn
into ^in++++=into
the ^ati++++=the
rollers ^nns+nom+++=rollers,
, ^zz++++=EXTRAWORD
the ^ati++++=the
fund ^nn++++=fund
was ^vbd+bedz+aux++=was
to ^to++++=to
bury ^vbi++++=bury
what ^wdt+who+++=what
could ^md+pos+++=could
be ^vb+be+aux++=be
found ^vpsv++agls+xvbnx+=found.
. ^zz++++=EXTRAWORD
The ^ati++++=The
slaves ^nns++++=slaves
possessed ^vbd+++xvbn+=possessed
these ^dt+dem+++=these
rights ^nns++++=rights
under ^in++++=under
Section ^nn+nom+++=Section
Twenty ^cd++++=Twenty-Seven
- ^zz++++=EXTRAWORD
seven ^cd++++=EXTRAWORD
of ^in++++=of
the ^ati++++=the
Industrial ^jj+atrb+++=Industrial
Mercy ^nn++++=Mercy
Ordinance ^nn+nom+++=Ordinance.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
possessed ^vbd+++xvbnx+=possessed
regular ^jj+atrb+++=regular
slave ^nn++++=slave
rights ^nns++++=rights.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
had ^vb+hv+vrb++=had
no ^at++++=no
access ^nn++++=access
to ^in++++=to
the ^ati++++=the
law ^nn++++=law,
, ^zz++++=EXTRAWORD
no ^at++++=no
lawful ^jj+atrb+++=lawful
advocate ^nn+nom+++=advocate,
, ^zz++++=EXTRAWORD
no ^at++++=no
permission ^nn++++=permission
to ^to+ncmp+++=to
read ^vbn+vprv++xvbn+=read
the ^ati++++=the
ordinance ^nn+nom+++=ordinance,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
no ^at++++=no
money ^nn++++=money
that ^tht+rel+subj++=that
could ^md+pos+++=could
be ^vb+be+aux++=be
spent ^vpsv++agls+xvbnx+=spent
outside ^jjb++++=outside
the ^ati++++=the
company ^nn++++=company
store ^nn++++=store
but ^cc++++=but
they ^pp3a+pp3+++=they
possessed ^vbd+++xvbnx+=possessed
rights ^nns++++=rights.
. ^zz++++=EXTRAWORD
The ^ati++++=The
masters ^nns+nom+++=masters
said ^vbd+vpub++xvbn+=said
so ^ql++++=so.
. ^zz++++=EXTRAWORD
Hell ^np++++=Hell's
's ^$++++=EXTRAWORD
Bottom ^jjb++++=Bottom
was ^vbd+bedz+aux++=was
governed ^vpsv++by+xvbnx+=governed
by ^in++++=by
two ^cd++++=two
overseers ^nns+nom+++=overseers,
, ^zz++++=EXTRAWORD
Clancy ^np+++??+=Clancy
and ^cc++++=and
Munster ^np+nom++??+=Munster.
. ^zz++++=EXTRAWORD
Clancy ^np+++??+=Clancy
was ^vbd+bedz+vrb++=was
thin ^jj+pred+++=thin
and ^cc+phrs+++=and
red ^jj++++=red,
, ^zz++++=EXTRAWORD
with ^in++++=with
a ^at++++=a
neck ^nn++++=neck
like ^in++++=like
twisted ^vbd+++xvbn+=twisted
wire ^nn++++=wire.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
enjoyed ^vbd+++xvbnx+=enjoyed
striking ^vbg+++xvbg+=striking
mouths ^nns++++=mouths
because ^cs+cos+++=because
teeth ^nns++++=teeth,
, ^zz++++=EXTRAWORD
as ^ql++++=as
he ^pp3a+pp3+++=he
explained ^vbd+vpub++xvbnx+=explained,
, ^zz++++=EXTRAWORD
were ^vbd+bed+vrb++=were
evidence ^nn+nom+++=evidence
of ^in++++=of
insolence ^nn+nom+++=insolence.
. ^zz++++=EXTRAWORD
Munster ^np+nom++??+=Munster
was ^vbd+bedz+vrb++=was
large ^jj+pred+++=large,
, ^zz++++=EXTRAWORD
pale ^nn++++=pale,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
soft ^jj++++=soft.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
did ^vbd+dod+aux++=did
not ^xnot++not++=not
often ^rb++++=often
strike ^vb++++=strike
a ^at++++=a
slave ^nn++++=slave
himself ^ppl+pp3+++=himself.
. ^zz++++=EXTRAWORD
Violence ^nn+nom+++=Violence
tired ^vbd+++xvbn+=tired
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
employed ^vbd+++xvbnx+=employed
assistants ^nns+nom+++=assistants
and ^cc++++=and
watched ^vpsv++agls+xvbn+=watched
from ^in++++=from
a ^at++++=a
chair ^nn++++=chair.
. ^zz++++=EXTRAWORD
These ^dt+dem+++=These
two ^cd++++=two
hell ^nn++++=hell-hounds
- ^zz++++=EXTRAWORD
hounds ^nns++++=EXTRAWORD
administered ^vbd+++xvbn+=administered
the ^ati++++=the
Relief ^nn++++=Relief
Fund ^nn++++=Fund.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
administered ^vbd+++xvbnx+=administered
it ^pp3+it+++=it
into ^in++++=into
their ^pp$+pp3+++=their
pockets ^nns++++=pockets.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
bought ^vbd+++xvbnx+=bought
a ^at++++=a
hunting ^jj+++xvbg+=hunting
lodge ^npl++++=lodge
in ^in++++=in
the ^ati++++=the
northern ^jj+atrb+++=northern
woods ^nns++++=woods.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
bought ^vbd+++xvbnx+=bought
mechanical ^jj+atrb+++=mechanical
horses ^nns++++=horses.
. ^zz++++=EXTRAWORD
Clancy ^np+++??+=Clancy
bought ^vbd+++xvbn+=bought
a ^at++++=a
gold ^nn++++=gold
tooth ^nn++++=tooth
for ^in++++=for
every ^at++++=every
natural ^jj+atrb+++=natural
tooth ^nn++++=tooth
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
lost ^vprf+++xvbnx+=lost
to ^to++++=to
drink ^vbi++++=drink.
. ^zz++++=EXTRAWORD
Munster ^np+nom++??+=Munster
bought ^vbd+++xvbn+=bought
a ^at++++=a
bath ^np++++=bath
cut ^vbd+++xvbn+=cut
from ^in++++=from
green ^nn++++=green
stone ^nn++++=stone,
, ^zz++++=EXTRAWORD
although ^cs+con+++=although
he ^pp3a+pp3+++=he
washed ^vbd+++xvbnx+=washed
only ^rb+down+++=only
on ^in++++=on
election ^nn+nom+++=election
days ^nns++++=days.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
an ^at++++=an
injured ^jj+atrb++xvbn+=injured
slave ^nn++++=slave
applied ^vwbn+++xvbn+=applied
for ^in++++=for
aid ^nn++++=aid,
, ^zz++++=EXTRAWORD
the ^ati++++=the
clerk ^nn++++=clerk
reported ^vbd+vpub++xvbn+=reported
that ^tht+vcmp+++=that
the ^ati++++=the
fund ^nn++++=fund
was ^vbd+bedz+aux++=was
exhausted ^vpsv++agls+xvbnx+=exhausted,
, ^zz++++=EXTRAWORD
the ^ati++++=the
application ^nn+nom+++=application
improper ^jj++++=improper,
, ^zz++++=EXTRAWORD
the ^ati++++=the
injury ^nn++++=injury
self ^nn++++=self-inflicted,
- ^zz++++=EXTRAWORD
inflicted ^vwbn+++xvbn+=EXTRAWORD
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
the ^ati++++=the
applicant ^jj++++=applicant
dead ^jj++++=dead.
. ^zz++++=EXTRAWORD
The ^ati++++=The
last ^jj+atrb+++=last
reason ^nn++++=reason
was ^vbd+bedz+vrb++=was
convenient ^jj+pred+++=convenient,
, ^zz++++=EXTRAWORD
for ^in++++=for
it ^pp3+it+++=it
could ^md+pos+++=could
be ^vb+be+aux++=be
made ^vpsv++agls+xvbnx+=made
true ^jj++++=true.
. ^zz++++=EXTRAWORD
Among ^in++++=Among
the ^ati++++=the
pressmen ^nns++++=pressmen
was ^vbd+bedz+vrb++=was
Tom ^np++++=Tom
Dixon ^np++++=Dixon,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
had ^vb+hv+vrb++=had
a ^at++++=a
wife ^nn++++=wife
named ^vbd+++xvbn+=named
Ann ^np++++=Ann
and ^cc++++=and
two ^cd++++=two
little ^jj+atrb+++=little
girls ^nns++++=girls.
. ^zz++++=EXTRAWORD
Tom ^np++++=Tom
was ^vbd+bedz+vrb++=was
a ^at++++=a
quiet ^jj+atrb+++=quiet
man ^nn++++=man.
. ^zz++++=EXTRAWORD
Quiet ^nn++++=Quiet
men ^nns++++=men
are ^vb+ber+aux++=are
praised ^vpsv++by+xvbnx+=praised
by ^in++++=by
masters ^nns+nom+++=masters
because ^cs+cos+++=because
masters ^nns+nom+++=masters
mistake ^nn++++=mistake
silence ^nn+nom+++=silence
for ^in++++=for
