# ^zz++++=###
# ^zz++++=EXTRAWORD
# ^zz++++=EXTRAWORD
Editor ^np++++=EDITOR'S
companions ^nns++++=companions
were ^vbd+bed+aux++=were
bought ^vpsv++by+xvbnx+=bought
by ^in++++=by
him ^pp3o+pp3+++=him
in ^in++++=in
batches ^nns++++=batches.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
worked ^vbd+++xvbnx+=worked
them ^pp3o+pp3+++=them
harder ^jjr++++=harder
than ^in++++=than
the ^ati++++=the
old ^jj+atrb+++=old
masters ^nns+nom+++=masters
worked ^vbd+++xvbn+=worked
theirs ^pp$$++++=theirs,
, ^zz++++=EXTRAWORD
for ^in++++=for
the ^ati++++=the
new ^jj+atrb+++=new
master ^nn++++=master
is ^vbz+bez+vrb++=is
often ^rb++++=often
the ^ati++++=the
most ^ql+emph+++=most
merciless ^jj++++=merciless.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
fears ^vb++++=fears
that ^tht+vcmp+obj++=that
mercy ^nn++++=mercy
will ^md+prd+++=will
reveal ^vb+vprv+++=reveal
from ^in++++=from
whence ^wrb+who+++=whence
he ^pp3a+pp3+++=he
came ^vbd+++xvbnx+=came.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
Bill ^nn++++=Bill
could ^md+pos+++=could
not ^xnot++not++=not
enter ^vb++++=enter
the ^ati++++=the
master ^nn++++=master
class ^nn++++=class.
. ^zz++++=EXTRAWORD
The ^ati++++=The
law ^nn++++=law
still ^rb+atrb+++=still
named ^jj+++xvbn+=named
him ^pp3o+pp3+++=him
slave ^nn++++=slave-born.
- ^zz++++=EXTRAWORD
born ^vbd+++xvbn+=EXTRAWORD
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
might ^md+pos+++=might
dine ^vb++++=dine
with ^in++++=with
masters ^nns+nom+++=masters
in ^rb++++=in
private ^nn+nom+++=private,
, ^zz++++=EXTRAWORD
hunt ^np++++=hunt
with ^in++++=with
them ^pp3o+pp3+++=them,
, ^zz++++=EXTRAWORD
lend ^vb++++=lend
money ^nn++++=money
to ^in++++=to
them ^pp3o+pp3+++=them,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
murder ^nn++++=murder
for ^in++++=for
them ^pp3o+pp3+++=them,
, ^zz++++=EXTRAWORD
yet ^rb++++=yet
their ^pp$+pp3+++=their
daughters ^nns+nom+++=daughters
would ^md+prd+++=would
not ^xnot++not++=not
dance ^vb++++=dance
with ^in++++=with
his ^pp$+pp3+++=his
sons ^nns++++=sons.
. ^zz++++=EXTRAWORD
So ^ql++++=So
Bill ^np++++=Bill
served ^vbd+++xvbn+=served
more ^rbr++++=more
eagerly ^rb++++=eagerly.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
eldest ^jjt+atrb+++=eldest
son ^nn++++=son
became ^vbd+++xvbn+=became
a ^at++++=a
district ^nn++++=district
captain ^nn++++=captain.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
second ^od++++=second
invented ^vprf+++xvbn+=invented
a ^at++++=a
punishment ^nn+nom+++=punishment
frame ^nn++++=frame
whereby ^cs+sub+++=whereby
six ^cd++++=six
workers ^nns+nom+++=workers
could ^md+pos+++=could
be ^vb+be+aux++=be
flogged ^vpsv++agls+xvbnx+=flogged
at ^rb++++=at
once ^rb"+tm+++=once.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
daughter ^nn+nom+++=daughter
married ^vbd+++xvbn+=married
the ^ati++++=the
keeper ^nn++++=keeper
of ^in++++=of
the ^ati++++=the
Central ^jj+atrb+++=Central
Registry ^nn++++=Registry.
. ^zz++++=EXTRAWORD
In ^in++++=In
the ^ati++++=the
third ^nn++++=third
generation ^nn+nom+++=generation
the ^ati++++=the
family ^nn++++=family
petitioned ^vbd+++xvbn+=petitioned
the ^ati++++=the
Council ^nn++++=Council
of ^in++++=of
Proprietors ^nns++++=Proprietors.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
presented ^vbd+++xvbnx+=presented
lists ^nns++++=lists
of ^in++++=of
services ^nns++++=services
rendered ^vbd+++xvbn+=rendered,
, ^zz++++=EXTRAWORD
rebellions ^vbz+++??+=rebellions
suppressed ^vbd+++xvbn+=suppressed,
, ^zz++++=EXTRAWORD
men ^nns++++=men
executed ^vbd+++xvbn+=executed,
, ^zz++++=EXTRAWORD
women ^nns++++=women
transported ^vwbn+++xvbn+=transported,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
profits ^nns++++=profits
increased ^vbd+++xvbn+=increased.
. ^zz++++=EXTRAWORD
The ^ati++++=The
petition ^nn+nom+++=petition
was ^vbd+bedz+aux++=was
granted ^vpsv++agls+xvbnx+=granted.
. ^zz++++=EXTRAWORD
The ^ati++++=The
Vanges ^np+++??+=Vanges
were ^vbd+bed+aux++=were
admitted ^vpsv++agls+xvbnx+=admitted
into ^in++++=into
the ^ati++++=the
master ^nn++++=master
class ^nn++++=class
by ^in++++=by
Special ^jj+atrb+++=Special
Decree ^nn++++=Decree
88 ^cd++++=88.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
purchased ^vbd+++xvbnx+=purchased
an ^at++++=an
ancient ^jj+atrb+++=ancient
title ^nn++++=title
from ^in++++=from
a ^at++++=a
ruined ^jj+++xvbn+=ruined
house ^npl++++=house
and ^cc++++=and
altered ^vbd+++xvbn+=altered
their ^pp$+pp3+++=their
name ^nn++++=name.
. ^zz++++=EXTRAWORD
Vange ^np+++??+=Vange
became ^vbd+++xvbn+=became
Vanderwater ^np+nom++??+=Vanderwater.
. ^zz++++=EXTRAWORD
Their ^pp$+pp3+++=Their
slave ^nn++++=slave
blood ^nn++++=blood
vanished ^vbd+++xvbn+=vanished
from ^in++++=from
the ^ati++++=the
official ^jj+atrb+++=official
genealogies ^nns++++=genealogies.
. ^zz++++=EXTRAWORD
A ^at++++=A
painted ^jj+atrb++xvbn+=painted
ancestor ^nn++++=ancestor
in ^in++++=in
silver ^nn++++=silver
armour ^nn++++=armour
appeared ^vbd+seem++xvbn+=appeared
upon ^in++++=upon
the ^ati++++=the
palace ^nn++++=palace
wall ^nn++++=wall,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
no ^at++++=no
such ^abl++++=such
man ^nn++++=man
had ^vb+hv+aux++=had
ever ^rb++splt++=ever
lived ^vprf+++xvbnx+=lived.
. ^zz++++=EXTRAWORD
This ^dt+pdem+++=This,
, ^zz++++=EXTRAWORD
too ^rb+cnj+++=too,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
have ^vb+hv+aux++=have
read ^vprf+++xvbnx+=read.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
now ^rn+tm+++=now
the ^ati++++=the
masters ^nns+nom+++=masters
say ^vb+vpub+tht0++=say
the ^ati++++=the
Vanderwaters ^nns+nom++??+=Vanderwaters
were ^vbd+bed+aux++=were
born ^vpsv++agls+xvbnx+=born
to ^in++++=to
rule ^nn++++=rule.
. ^zz++++=EXTRAWORD
Born ^xvbn+++xvbn+=Born!
! ^zz++++=EXTRAWORD
Brothers ^nns+nom+++=Brothers,
, ^zz++++=EXTRAWORD
consider ^nn+nom+++=consider
that ^tht+vcmp+++=that
word ^nn++++=word.
. ^zz++++=EXTRAWORD
What ^wdt+who+whq++=What
is ^vbz+bez+aux++=is
this ^dt+dem+++=this
birth ^nn++++=birth
by ^in++++=by
which ^whp+rel+pied++=which
one ^cd1++++=one
infant ^nn++++=infant
comes ^vbz++++=comes
into ^in+ppvb+++=into
the ^ati++++=the
world ^nn++++=world
carrying ^vwbg+++xvbg+=carrying
a ^at++++=a
whip ^nn++++=whip
and ^cc++++=and
another ^dt++++=another
carrying ^jj+atrb++xvbg+=carrying
chains ^nns++++=chains?
? ^zz++++=EXTRAWORD
Does ^vbz+doz+vrb++=Does
the ^ati++++=the
master ^nn++++=master's
's ^$++++=EXTRAWORD
child ^nn++++=child
emerge ^vb++++=emerge
clothed ^vbd+++xvbn+=clothed
in ^in++++=in
silk ^nn++++=silk?
? ^zz++++=EXTRAWORD
Does ^vbz+doz+vrb++=Does
the ^ati++++=the
slave ^nn++++=slave's
's ^$++++=EXTRAWORD
child ^nn++++=child
have ^vb+hv+vrb++=have
soot ^nn++++=soot
in ^in++++=in
its ^pp$+it+++=its
lungs ^nns++++=lungs
before ^cs+sub+++=before
it ^pp3+it+++=it
breathes ^vbz+++??+=breathes?
? ^zz++++=EXTRAWORD
Bill ^nn++++=Bill
Vange ^np+++??+=Vange
was ^vbd+bedz+vrb++=was
a ^at++++=a
slave ^nn++++=slave.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
grandchildren ^nn++++=grandchildren
became ^vbd+++xvbn+=became
masters ^nns+nom+++=masters
because ^cs+cos+++=because
he ^pp3a+pp3+++=he
betrayed ^vbd+++xvbnx+=betrayed
enough ^qlp++++=enough
slaves ^nns++++=slaves.
. ^zz++++=EXTRAWORD
That ^dt+pdem+++=That
is ^vbz+bez+vrb++=is
the ^ati++++=the
sacred ^jj++++=sacred
beginning ^jj+++xvbg+=beginning
of ^in++++=of
the ^ati++++=the
great ^jj+atrb+++=great
Vanderwater ^np+nom++??+=Vanderwater
house ^nn++++=house.
. ^zz++++=EXTRAWORD
Why ^wrb+who+whq++=Why
do ^vb+do+vrb++=do
I ^pp1a+pp1+++=I
tell ^vb++++=tell
you ^pp2+pp2+++=you
this ^dt+pdem+++=this
when ^wrb+who+++=when
I ^pp1a+pp1+++=I
promised ^vbd+vpub+tht0+xvbnx+=promised
you ^pp2+pp2+++=you
an ^at++++=an
arm ^nn++++=arm?
? ^zz++++=EXTRAWORD
Because ^cs+cos+++=Because
a ^at++++=a
tree ^nn++++=tree
is ^vbz+bez+aux++=is
known ^vpsv++by+xvbnx+=known
by ^in++++=by
its ^pp$+it+++=its
roots ^nns++++=roots,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
because ^cs+cos+++=because
men ^nns++++=men
who ^whp+rel+subj++=who
forget ^vb+vprv+++=forget
how ^wrb+who+whcl++=how
masters ^nns+nom+++=masters
were ^vbd+bed+aux++=were
made ^vpsv++agls+xvbnx+=made
may ^md+pos+++=may
believe ^vb+vprv+tht0++=believe
masters ^nns+nom+++=masters
were ^vbd+bed+aux++=were
made ^vpsv++by+xvbnx+=made
by ^in++++=by
God ^nn++++=God.
. ^zz++++=EXTRAWORD
Now ^rn+dspt+++=Now
I ^pp1a+pp1+++=I
come ^vb++++=come
back ^jjb++++=back
to ^in++++=to
the ^ati++++=the
beginning ^jj+++xvbg+=beginning
of ^in++++=of
my ^pp$+pp1+++=my
tale ^nn++++=tale.
. ^zz++++=EXTRAWORD
Roger ^np++++=Roger
Vanderwater ^np+nom++??+=Vanderwater,
, ^zz++++=EXTRAWORD
seventh ^od++++=seventh
of ^in++++=of
that ^dt+dem+++=that
name ^nn++++=name,
, ^zz++++=EXTRAWORD
owned ^j+++xvbn+=owned
Hell ^np++++=Hell's
's ^$++++=EXTRAWORD
Bottom ^nn++++=Bottom
in ^in++++=in
the ^ati++++=the
year ^nn++++=year
of ^in++++=of
the ^ati++++=the
Red ^jj+atrb+++=Red
Frost ^np++++=Frost.
. ^zz++++=EXTRAWORD
Hell ^np++++=Hell's
's ^$++++=EXTRAWORD
Bottom ^jjb++++=Bottom
was ^vbd+bedz+vrb++=was
a ^at++++=a
textile ^nn++++=textile
factory ^nn++++=factory
beside ^in+pl+++=beside
the ^ati++++=the
black ^jj+atrb+++=black
river ^nn++++=river,
, ^zz++++=EXTRAWORD
with ^in++++=with
seven ^cd++++=seven
spinning ^vbg+++xvbg+=spinning
halls ^npl++++=halls,
, ^zz++++=EXTRAWORD
four ^cd++++=four
weaving ^vbg+++xvbg+=weaving
halls ^npl++++=halls,
, ^zz++++=EXTRAWORD
two ^cd++++=two
dye ^nn++++=dye
houses ^nns++++=houses,
, ^zz++++=EXTRAWORD
a ^at++++=a
dormitory ^nn++++=dormitory
for ^in++++=for
unmarried ^jj+atrb+++=unmarried
women ^nns++++=women,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
slave ^nn++++=slave
pens ^nns++++=pens
for ^in++++=for
families ^nns++++=families.
. ^zz++++=EXTRAWORD
Its ^pp$+it+++=Its
windows ^nns++++=windows
were ^vbd+bed+vrb++=were
high ^jj+pred+++=high
and ^cc+phrs+++=and
narrow ^jj++++=narrow.
. ^zz++++=EXTRAWORD
Its ^pp$+it+++=Its
roofs ^nns++++=roofs
shut ^vbd+++xvbn+=shut
out ^rb+phrv+++=out
daylight ^nn++++=daylight,
, ^zz++++=EXTRAWORD
save ^vb++++=save
where ^wrb+who+++=where
the ^ati++++=the
glass ^nn++++=glass
was ^vbd+bedz+aux++=was
broken ^vpsv++agls+xvbnx+=broken
in ^rb+phrv+++=in
winter ^nn++++=winter.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
know ^vb+vprv+++=know
such ^abl++++=such
places ^nns++++=places.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
know ^vb+vprv+++=know
the ^ati++++=the
air ^nn++++=air
full ^jj++++=full
of ^in++++=of
lint ^nn++++=lint
that ^tht+rel+subj++=that
enters ^vbz++++=enters
the ^ati++++=the
mouth ^nn++++=mouth
and ^cc++++=and
grows ^vbz++++=grows
wet ^nn++++=wet
upon ^in++++=upon
the ^ati++++=the
tongue ^nn++++=tongue.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
know ^vb+vprv+++=know
the ^ati++++=the
belts ^nns++++=belts
that ^tht+rel+subj++=that
run ^vbd+++xvbn+=run
without ^in++++=without
rest ^nn++++=rest,
, ^zz++++=EXTRAWORD
the ^ati++++=the
iron ^nn++++=iron
teeth ^nns++++=teeth,
, ^zz++++=EXTRAWORD
the ^ati++++=the
oil ^nn++++=oil,
, ^zz++++=EXTRAWORD
the ^ati++++=the
heat ^nn++++=heat,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
floor ^nn++++=floor
trembling ^vwbg+++xvbg+=trembling
beneath ^in+pl+++=beneath
bare ^jj+atrb+++=bare
feet ^nns++++=feet.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
know ^vb+vprv+++=know
how ^wrb+who+whcl++=how
a ^at++++=a
child ^nn++++=child
may ^md+pos+++=may
stand ^vb++++=stand
beside ^in+pl+++=beside
a ^at++++=a
machine ^nn++++=machine
at ^rb++++=at
dawn ^nn++++=dawn
and ^cc++++=and
be ^vb+be+aux++=be
carried ^vpsv++agls+xvbnx+=carried
out ^rp+pl+++=out
under ^in++++=under
a ^at++++=a
cloth ^nn++++=cloth
before ^in++++=before
noon ^nn++++=noon,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
the ^ati++++=the
machine ^nn++++=machine
loses ^vbz++++=loses
no ^at++++=no
more ^rbr++++=more
than ^in++++=than
seven ^cd++++=seven
minutes ^nns++++=minutes.
. ^zz++++=EXTRAWORD
Hell ^np++++=Hell's
's ^$++++=EXTRAWORD
Bottom ^jjb++++=Bottom
was ^vbd+bedz+aux++=was
governed ^vpsv++by+xvbnx+=governed
by ^in++++=by
two ^cd++++=two
overseers ^nns+nom+++=overseers:
: ^zz++++=EXTRAWORD
Joseph ^np++++=Joseph
Clancy ^np+++??+=Clancy
and ^cc++++=and
Adolph ^np+++??+=Adolph
Munster ^np+nom++??+=Munster.
. ^zz++++=EXTRAWORD
Clancy ^np+++??+=Clancy
was ^vbd+bedz+vrb++=was
a ^at++++=a
lean ^jj+atrb+++=lean
man ^nn++++=man
with ^in++++=with
white ^jj+atrb+++=white
eyebrows ^nns++++=eyebrows
and ^cc++++=and
a ^at++++=a
voice ^nn++++=voice
like ^in++++=like
a ^at++++=a
file ^nn++++=file
drawn ^vwbn+++xvbn+=drawn
across ^in+pl+++=across
iron ^nn++++=iron.
. ^zz++++=EXTRAWORD
Munster ^np+nom++??+=Munster
was ^vbd+bedz+vrb++=was
swollen ^jj+pred+++=swollen
and ^cc+phrs+++=and
red ^jj++++=red.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
laughed ^vbd+++xvbnx+=laughed
while ^cs+sub+++=while
punishments ^nns+nom+++=punishments
were ^vbd+bed+aux++=were
given ^vpsv++agls+xvbnx+=given.
. ^zz++++=EXTRAWORD
The ^ati++++=The
workers ^nns+nom+++=workers
called ^vbd+++xvbn+=called
them ^pp3o+pp3+++=them
the ^ati++++=the
Needle ^nn++++=Needle
and ^cc++++=and
the ^ati++++=the
Bladder ^nn++++=Bladder,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
not ^xnot++not++=not
where ^wrb+who+++=where
either ^dtx++++=either
could ^md+pos+++=could
hear ^vb+vprv+++=hear.
. ^zz++++=EXTRAWORD
By ^in++++=By
law ^nn++++=law
not ^xnot++not++=not
justice ^nn++++=justice,
, ^zz++++=EXTRAWORD
brothers ^nns+nom+++=brothers,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
law ^nn++++=law
a ^at++++=a
small ^jj+atrb+++=small
part ^nn++++=part
of ^in++++=of
the ^ati++++=the
value ^nn++++=value
produced ^vbd+++xvbn+=produced
at ^rb++++=at
Hell ^np++++=Hell's
's ^$++++=EXTRAWORD
Bottom ^jjb++++=Bottom
was ^vbd+bedz+aux++=was
placed ^vpsv++agls+xvbnx+=placed
in ^in++++=in
a ^at++++=a
relief ^nn++++=relief
fund ^nn++++=fund.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
a ^at++++=a
worker ^nn++++=worker
was ^vbd+bedz+aux++=was
crushed ^vpsv++agls+xvbnx+=crushed,
, ^zz++++=EXTRAWORD
burned ^j+++xvbn+=burned,
, ^zz++++=EXTRAWORD
blinded ^xvbn+++xvbn+=blinded,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
made ^vbd+++xvbn+=made
sick ^jj++++=sick
by ^in++++=by
lint ^nn++++=lint,
, ^zz++++=EXTRAWORD
the ^ati++++=the
fund ^nn++++=fund
was ^vbd+bedz+aux++=was
supposed ^vb++pmd"+xvbnx+=supposed
to ^to+vcmp+pmd++=to
provide ^vb+vsua+++=provide
food ^nn++++=food
during ^in++++=during
recovery ^nn+nom+++=recovery.
. ^zz++++=EXTRAWORD
Widows ^nns++++=Widows
might ^md+pos+++=might
receive ^vb++++=receive
bread ^nn++++=bread
for ^in++++=for
three ^cd++++=three
months ^nns++++=months.
. ^zz++++=EXTRAWORD
Orphans ^nns+nom+++=Orphans
under ^in++++=under
seven ^cd++++=seven
might ^md+pos+++=might
receive ^vb++++=receive
milk ^nn++++=milk.
. ^zz++++=EXTRAWORD
These ^dt+pdem+++=These
were ^vbd+bed+vrb++=were
rights ^nns++++=rights
under ^in++++=under
the ^ati++++=the
law ^nn++++=law.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
what ^wdt+who+whq++=what
is ^vbz+bez+aux++=is
a ^at++++=a
right ^nn++++=right
to ^to+ncmp+++=to
a ^at++++=a
slave ^nn++++=slave
who ^whp+rel+subj++=who
cannot ^md+pos+not++=cannot
read ^vbd+vprv++xvbn+=read
the ^ati++++=the
law ^nn++++=law?
? ^zz++++=EXTRAWORD
It ^pp3+it+++=It
is ^vbz+bez+vrb++=is
a ^at++++=a
door ^nn++++=door
painted ^vbd+++xvbn+=painted
upon ^in++++=upon
a ^at++++=a
wall ^nn++++=wall.
. ^zz++++=EXTRAWORD
Clancy ^np+++??+=Clancy
and ^cc++++=and
Munster ^np+nom++??+=Munster
stole ^vbd+++xvbn+=stole
the ^ati++++=the
fund ^nn++++=fund.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
entered ^vbd+++xvbnx+=entered
false ^jj+atrb+++=false
names ^nns++++=names
in ^in++++=in
the ^ati++++=the
account ^nn++++=account
books ^nns++++=books
and ^cc++++=and
paid ^vbd+++xvbn+=paid
the ^ati++++=the
money ^nn++++=money
to ^in++++=to
themselves ^ppls+pp3+++=themselves.
. ^zz++++=EXTRAWORD
Dead ^jj+atrb+++=Dead
workers ^nns+nom+++=workers
were ^vbd+bed+aux++=were
shown ^vpsv++agls+xvbnx+=shown
as ^ql++++=as
receiving ^jj+atrb++xvbg+=receiving
relief ^nn++++=relief
for ^in++++=for
years ^nns++++=years.
. ^zz++++=EXTRAWORD
Children ^nns++++=Children
who ^whp+rel+subj++=who
had ^vb+hv+aux++=had
never ^rb++splt++=never
existed ^vprf+++xvbnx+=existed
consumed ^vbd+++xvbn+=consumed
wagonloads ^nns+++??+=wagonloads
of ^in++++=of
milk ^nn++++=milk
upon ^in++++=upon
paper ^nn++++=paper.
. ^zz++++=EXTRAWORD
Meanwhile ^rb++++=Meanwhile
the ^ati++++=the
true ^nn++++=true
injured ^vbd+++xvbn+=injured
starved ^vprf+++xvbn+=starved
in ^in++++=in
their ^pp$+pp3+++=their
pens ^nns++++=pens.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
workers ^nns+nom+++=workers
complained ^vbd+vpub++xvbn+=complained,
, ^zz++++=EXTRAWORD
Clancy ^np+++??+=Clancy
said ^vbd+vpub+tht0+xvbn+=said
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
no ^at++++=no
money ^nn++++=money.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
they ^pp3a+pp3+++=they
complained ^vbd+vpub++xvbnx+=complained
again ^rb+cnj+++=again,
, ^zz++++=EXTRAWORD
Munster ^np+nom++??+=Munster
showed ^vbd+vprv++xvbn+=showed
them ^pp3o+pp3+++=them
the ^ati++++=the
punishment ^nn+nom+++=punishment
room ^nn++++=room.
. ^zz++++=EXTRAWORD
At ^rb++++=At
last ^rb"++++=last
the ^ati++++=the
workers ^nns+nom+++=workers
prepared ^vwbn+++xvbn+=prepared
a ^at++++=a
petition ^nn+nom+++=petition
to ^in++++=to
Roger ^np++++=Roger
Vanderwater ^np+nom++??+=Vanderwater.
. ^zz++++=EXTRAWORD
This ^dt+pdem+++=This
was ^vbd+bedz+vrb++=was
dangerous ^jj+pred+++=dangerous.
. ^zz++++=EXTRAWORD
No ^at++++=No
slave ^nn++++=slave
might ^md+pos+++=might
write ^vb++++=write
without ^in++++=without
licence ^nn+nom+++=licence,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
no ^at++++=no
gathering ^nn++++=gathering
of ^in++++=of
more ^rbr++++=more
than ^in++++=than
six ^cd++++=six
might ^md+pos+++=might
discuss ^vb++++=discuss
factory ^nn++++=factory
administration ^nn+nom+++=administration.
. ^zz++++=EXTRAWORD
Yet ^rb++++=Yet
among ^in++++=among
the ^ati++++=the
workers ^nns+nom+++=workers
was ^vbd+bedz+vrb++=was
one ^cd1++++=one
who ^whp+rel+subj++=who
could ^md+pos+++=could
read ^vb+vprv++xvbn+=read
and ^cc+phrs+++=and
write ^vb++++=write.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
shall ^md+prd+++=shall
not ^xnot++not++=not
tell ^vb++++=tell
you ^pp2+pp2+++=you
his ^pp$+pp3+++=his
name ^nn++++=name
not ^xnot++not++=not
yet ^rb++++=yet.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
had ^vbd+hvd+aux++=had
learned ^vprf+++xvbnx+=learned
his ^pp$+pp3+++=his
letters ^nns+nom+++=letters
from ^in++++=from
an ^at++++=an
old ^jj+atrb+++=old
woman ^nn++++=woman
in ^in++++=in
the ^ati++++=the
dye ^nn++++=dye
house ^nn++++=house.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
traced ^vbd+++xvbnx+=traced
them ^pp3o+pp3+++=them
with ^in++++=with
a ^at++++=a
wet ^jj+atrb+++=wet
finger ^nn++++=finger
upon ^in++++=upon
the ^ati++++=the
black ^jj+atrb+++=black
tables ^nns++++=tables:
: ^zz++++=EXTRAWORD
A ^at++++=A
for ^in++++=for
air ^nn++++=air,
, ^zz++++=EXTRAWORD
B ^zz++++=B
for ^in++++=for
bread ^nn++++=bread,
, ^zz++++=EXTRAWORD
C ^zz++++=C
for ^in++++=for
chain ^nn++++=chain.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
she ^pp3a+pp3+++=she
died ^vbd+++xvbnx+=died,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
continued ^vbd+++xvbnx+=continued
alone ^rb++++=alone.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
stole ^vbd+++xvbnx+=stole
torn ^xvbn+++xvbn+=torn
labels ^nns++++=labels
from ^in++++=from
freight ^nn++++=freight
boxes ^nns++++=boxes.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
found ^vbd+vprv+tht0+xvbnx+=found
newspapers ^nns+nom+++=newspapers
used ^vwbn+++xvbn+=used
to ^in++++=to
wrap ^nn++++=wrap
machine ^nn++++=machine
parts ^nns++++=parts.
. ^zz++++=EXTRAWORD
At ^in++++=At
night ^nn++++=night
he ^pp3a+pp3+++=he
studied ^vbd+++xvbnx+=studied
words ^nns++++=words
while ^cs+sub+++=while
other ^ap++++=other
men ^nns++++=men
slept ^vbd+++xvbn+=slept.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
wrote ^vbd+vprv++xvbnx+=wrote
the ^ati++++=the
petition ^nn+nom+++=petition.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
did ^vbd+dod+aux++=did
not ^xnot++not++=not
curse ^vb++++=curse.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
did ^vbd+dod+aux++=did
not ^xnot++not++=not
threaten ^vb++++=threaten.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
spoke ^vbd+++xvbn+=spoke
humbly ^rb+cnj+++=humbly,
, ^zz++++=EXTRAWORD
as ^ql++++=as
slaves ^nns++++=slaves
must ^md+nec+++=must
speak ^vb++++=speak
when ^wrb+who+++=when
asking ^vbg+vsua++xvbg+=asking
for ^in+ppvb+++=for
a ^at++++=a
crumb ^nn++++=crumb
of ^in++++=of
what ^wdt+who+++=what
they ^pp3a+pp3+++=they
themselves ^ppls+pp3+++=themselves
have ^vb+hv+aux++=have
earned ^vprf+++xvbnx+=earned.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
listed ^vbd+++xvbn+=listed
the ^ati++++=the
sick ^jj++++=sick,
, ^zz++++=EXTRAWORD
the ^ati++++=the
maimed ^jj++++=maimed,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
widowed ^nn++++=widowed.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
named ^vbd+++xvbn+=named
the ^ati++++=the
payments ^nns+nom+++=payments
promised ^vbd+++xvbn+=promised
and ^cc++++=and
the ^ati++++=the
payments ^nns+nom+++=payments
refused ^vbd+++xvbn+=refused.
. ^zz++++=EXTRAWORD
Forty ^cd++++=Forty
workers ^nns+nom+++=workers
made ^vbd+++xvbn+=made
their ^pp$+pp3+++=their
marks ^nns++++=marks
beneath ^in+pl+++=beneath
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
The ^ati++++=The
petition ^nn+nom+++=petition
went ^vbd+++xvbn+=went
to ^in++++=to
Roger ^np++++=Roger
Vanderwater ^np+nom+++=Vanderwater's
's ^$++++=EXTRAWORD
palace ^nn++++=palace.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
what ^wdt+who+whq++=what
did ^vbd+dod+aux++=did
Roger ^np++++=Roger
do ^vb+do+vrb++=do?
? ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
sent ^vbd+++xvbnx+=sent
it ^pp3+it+++=it
back ^jjb++++=back
to ^in++++=to
Clancy ^np+++??+=Clancy
and ^cc++++=and
Munster ^np+nom++??+=Munster.
. ^zz++++=EXTRAWORD
