# ^zz++++=###
# ^zz++++=EXTRAWORD
# ^zz++++=EXTRAWORD
Malitia ^np+++??+=MALITIA
Asellius ^np+++??+=Asellius
laughed ^vbd+++xvbn+=laughed.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+vrb++=was
handsome ^jj+pred+++=handsome
after ^in++++=after
the ^ati++++=the
hard ^jj+atrb+++=hard
Roman ^jj+atrb+++=Roman
fashion ^nn++++=fashion,
, ^zz++++=EXTRAWORD
with ^in++++=with
a ^at++++=a
hawk ^nn+++??+=hawk
face ^nn++++=face,
, ^zz++++=EXTRAWORD
polished ^jj+atrb+++=polished
cuirass ^nns+++??+=cuirass
and ^cc++++=and
that ^dt+dem+++=that
superior ^jj++++=superior
sneer ^vb++++=sneer
which ^whp+who+++=which
youth ^nn++++=youth
mistakes ^nns++++=mistakes
for ^in++++=for
reason ^nn++++=reason.
. ^zz++++=EXTRAWORD
" ^zz++++="Our
our ^pp$+pp1+++=EXTRAWORD
quaestor ^nn++++=quaestor
has ^vbz+hvz+aux++=has
read ^vprf+++xvbnx+=read
too ^ql++++=too
many ^ap++++=many
Syrian ^np+++??+=Syrian
books ^nns++++=books.
. ^zz++++=EXTRAWORD
Shall ^md+prd+++=Shall
we ^pp1a+pp1+++=we
summon ^vb++++=summon
augurs ^nns+++??+=augurs
to ^to++++=to
prosecute ^vbi++++=prosecute
the ^ati++++=the
wind ^nn++++=wind?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
replied ^vbd+vpub++xvbnx+=replied
that ^tht+vcmp+++=that
Roman ^jj+atrb+++=Roman
law ^nn++++=law
imposed ^vbd+++xvbn+=imposed
protection ^nn+nom+++=protection
upon ^in++++=upon
tributary ^jj+atrb+++=tributary
communities ^nns+nom+++=communities;
; ^zz++++=EXTRAWORD
that ^dt+pdem+++=that
murdered ^vbd+++xvbn+=murdered
traders ^nns+nom+++=traders,
, ^zz++++=EXTRAWORD
however ^rb+cnj+++=however
barbarous ^jj++++=barbarous,
, ^zz++++=EXTRAWORD
had ^vbd+hvd+aux++=had
entered ^vprf+++xvbnx+=entered
beneath ^rb++++=beneath
our ^pp$+pp1+++=our
guarantee ^nn+nom+++=guarantee;
; ^zz++++=EXTRAWORD
that ^dt+dem+++=that
negligence ^nn+nom+++=negligence
might ^md+pos+++=might
transform ^vb++++=transform
private ^jj+atrb+++=private
vengeance ^nn+nom+++=vengeance
into ^in++++=into
rebellion ^nn++++=rebellion;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and,
, ^zz++++=EXTRAWORD
finally ^rb+cnj+++=finally,
, ^zz++++=EXTRAWORD
that ^tht+vcmp+++=that
the ^ati++++=the
autumn ^nn++++=autumn
Sabbath ^nn++++=Sabbath
would ^md+prd+++=would
occur ^vb++++=occur
the ^ati++++=the
following ^jj+atrb++xvbg+=following
night ^nn++++=night.
. ^zz++++=EXTRAWORD
My ^pp$+pp1+++=My
argument ^nn+nom+++=argument
was ^vbd+bedz+vrb++=was
forensic ^jj+pred+++=forensic
and ^cc++++=and,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
confess ^nns+nom+++=confess,
, ^zz++++=EXTRAWORD
forceful ^jj++++=forceful.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
cited ^vbd+++xvbnx+=cited
the ^ati++++=the
suppression ^nn++++=suppression
of ^in++++=of
the ^ati++++=the
Bacchanalia ^np+++??+=Bacchanalia,
, ^zz++++=EXTRAWORD
the ^ati++++=the
grove ^np++++=grove
of ^in++++=of
Diana ^np++++=Diana
Aricina ^np+++??+=Aricina,
, ^zz++++=EXTRAWORD
certain ^jj+atrb+++=certain
proceedings ^nns++++=proceedings
against ^in++++=against
Phrygian ^np+++??+=Phrygian
priests ^nns++++=priests,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
senatorial ^jj+atrb+++=senatorial
precedent ^nn++++=precedent
from ^in++++=from
the ^ati++++=the
year ^nn++++=year
of ^in++++=of
Lepidus ^np+++??+=Lepidus.
. ^zz++++=EXTRAWORD
In ^in++++=In
seeking ^vb+++xvbg+=seeking
to ^to+vcmp+++=to
show ^vbi+vprv+++=show
that ^tht+vcmp+++=that
superstition ^nn+nom+++=superstition
may ^md+pos+++=may
become ^vprf+++xvbn+=become
sedition ^nn+nom+++=sedition,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
neglected ^vbd+++xvbnx+=neglected
the ^ati++++=the
darker ^jjr+atrb+++=darker
possibility ^nn+nom+++=possibility
that ^tht+ncmp+++=that
sedition ^nn+nom+++=sedition
may ^md+pos+++=may
be ^vb+be+vrb++=be
merely ^rb+down+++=merely
the ^ati++++=the
outward ^jjb+atrb+++=outward
garment ^nn+nom+++=garment
of ^in++++=of
superstition ^nn+nom+++=superstition.
. ^zz++++=EXTRAWORD
Scribonius ^np+++??+=Scribonius
listened ^vbd+++xvbn+=listened
until ^cs+sub+++=until
the ^ati++++=the
drums ^nns++++=drums
commenced ^vwbn+++xvbn+=commenced
again ^rb+cnj+++=again,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
the ^ati++++=the
sun ^nn++++=sun
had ^vb+hv+aux++=had
not ^xnot++not++=not
yet ^rb++++=yet
set ^vwbn+++xvbn+=set.
. ^zz++++=EXTRAWORD
The ^ati++++=The
sound ^nn++++=sound
entered ^vbd+++xvbn+=entered
the ^ati++++=the
chamber ^nn++++=chamber
through ^in++++=through
its ^pp$+it+++=its
western ^jj+atrb+++=western
shutters ^nns+nom+++=shutters.
. ^zz++++=EXTRAWORD
At ^rb++++=At
the ^ati++++=the
first ^od++++=first
beat ^vb+++xvbn+=beat,
, ^zz++++=EXTRAWORD
one ^pn++++=one
of ^in++++=of
the ^ati++++=the
native ^jj+atrb+++=native
councillors ^nns++++=councillors
crossed ^vbd+++xvbn+=crossed
himself ^ppl+pp3+++=himself
in ^in++++=in
a ^at++++=a
local ^jj+atrb+++=local
manner ^nn++++=manner;
; ^zz++++=EXTRAWORD
at ^rb++++=at
the ^ati++++=the
second ^rb+cnj+++=second,
, ^zz++++=EXTRAWORD
a ^at++++=a
cup ^nn++++=cup
trembled ^vbd+++xvbn+=trembled
upon ^in++++=upon
the ^ati++++=the
table ^nn++++=table;
; ^zz++++=EXTRAWORD
at ^rb++++=at
the ^ati++++=the
third ^nn++++=third,
, ^zz++++=EXTRAWORD
the ^ati++++=the
proconsul ^nn++++=proconsul
raised ^vbd+++xvbn+=raised
his ^pp$+pp3+++=his
head ^nn++++=head.
. ^zz++++=EXTRAWORD
" ^zz++++="One
one ^cd1++++=EXTRAWORD
cohort ^nn++++=cohort,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said.
. ^zz++++=EXTRAWORD
" ^zz++++="Under
under ^in++++=EXTRAWORD
Balbutius ^np+++??+=Balbutius.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
ascend ^nn+++??+=ascend,
, ^zz++++=EXTRAWORD
extinguish ^vb++++=extinguish
their ^pp$+pp3+++=their
fires ^nns++++=fires,
, ^zz++++=EXTRAWORD
seize ^vb++++=seize
such ^abl++++=such
leaders ^nns+nom+++=leaders
as ^ql++++=as
may ^md+pos+++=may
be ^vb+be+aux++=be
found ^vpsv++agls+xvbnx+=found,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
return ^vb++++=return
before ^in++++=before
dawn ^nn++++=dawn."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Balbutius ^np+++??+=Balbutius
protested ^vbd+vpub++xvbn+=protested
conscientiously ^rb+cnj+++=conscientiously,
, ^zz++++=EXTRAWORD
citing ^vbg+++xvbg+=citing
terrain ^nn+++??+=terrain,
, ^zz++++=EXTRAWORD
darkness ^nns+nom+++=darkness
and ^cc++++=and
deficient ^jj+atrb+++=deficient
maps ^nns++++=maps.
. ^zz++++=EXTRAWORD
Scribonius ^np+++??+=Scribonius
overruled ^vwbn+++xvbn+=overruled
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
As ^in++++=As
quaestor ^nn++++=quaestor
and ^cc++++=and
principal ^jjb+atrb+++=principal
advocate ^nn+nom+++=advocate
of ^in++++=of
the ^ati++++=the
measure ^nn++++=measure,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
volunteered ^vbd+++xvbnx+=volunteered
to ^to+vcmp+++=to
accompany ^vbi++++=accompany
the ^ati++++=the
force ^nn++++=force.
. ^zz++++=EXTRAWORD
Asellius ^np+++??+=Asellius,
, ^zz++++=EXTRAWORD
unwilling ^jj++++=unwilling
to ^to+jcmp+++=to
appear ^vbi+seem+++=appear
timid ^jj++++=timid,
, ^zz++++=EXTRAWORD
did ^vbd+dod+vrb++=did
likewise ^rb+cnj+++=likewise.
. ^zz++++=EXTRAWORD
The ^ati++++=The
dile ^nn++++=dile
supplied ^vbd+++xvbn+=supplied
a ^at++++=a
guide ^nn++++=guide
named ^vbd+++xvbn+=named
Larta ^np+++??+=Larta,
, ^zz++++=EXTRAWORD
a ^at++++=a
Christianised ^np+++??+=Christianised
mountaineer ^nn+nom+++=mountaineer
who ^whp+rel+subj++=who
had ^vbd+hvd+aux++=had
traded ^vprf+++xvbnx+=traded
amongst ^in++++=amongst
the ^ati++++=the
remote ^jj+atrb+++=remote
clans ^nns++++=clans
and ^cc++++=and
professed ^vbd+++xvbn+=professed
knowledge ^nn++++=knowledge
of ^in++++=of
their ^pp$+pp3+++=their
paths ^nns++++=paths.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
departed ^vbd+++xvbn+=departed
through ^in++++=through
the ^ati++++=the
northern ^jj+atrb+++=northern
gate ^nn++++=gate
at ^rb++++=at
the ^ati++++=the
tenth ^nn++++=tenth
hour ^nn++++=hour
on ^in++++=on
the ^ati++++=the
day ^nn++++=day
before ^in++++=before
the ^ati++++=the
equinox ^nn++++=equinox:
: ^zz++++=EXTRAWORD
four ^cd++++=four
hundred ^cd++++=hundred
and ^cc++++=and
eighty ^cd++++=eighty
legionaries ^nns++++=legionaries,
, ^zz++++=EXTRAWORD
twenty ^cd++++=twenty
archers ^nns+nom+++=archers,
, ^zz++++=EXTRAWORD
eight ^cd++++=eight
engineers ^nns+nom+++=engineers,
, ^zz++++=EXTRAWORD
officers ^nns+nom+++=officers,
, ^zz++++=EXTRAWORD
servants ^nns+nom+++=servants
and ^cc++++=and
a ^at++++=a
small ^jj+atrb+++=small
cavalry ^nn++++=cavalry
detachment ^nn+nom+++=detachment.
. ^zz++++=EXTRAWORD
The ^ati++++=The
sunset ^nn++++=sunset
lay ^vbd+++xvbn+=lay
scarlet ^jj++++=scarlet
and ^cc++++=and
gold ^nn++++=gold
upon ^in++++=upon
Pompelo ^np+++??+=Pompelo,
, ^zz++++=EXTRAWORD
touching ^jj+++xvbg+=touching
its ^pp$+it+++=its
walls ^nns++++=walls
with ^in++++=with
so ^rb+emph+++=so
strange ^jj++++=strange
a ^at++++=a
splendour ^nn++++=splendour
that ^tht+rel+obj++=that
I ^pp1a+pp1+++=I
turned ^vbd+++xvbnx+=turned
repeatedly ^rb++++=repeatedly
in ^in++++=in
the ^ati++++=the
saddle ^nn++++=saddle
to ^to++++=to
behold ^vbi++++=behold
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
Every ^at++++=Every
roof ^nn++++=roof
and ^cc++++=and
tower ^npl++++=tower
appeared ^vbd+seem++xvbn+=appeared
transfigured ^vprf+++xvbn+=transfigured,
, ^zz++++=EXTRAWORD
as ^cs+sub+++=as
though ^cs+sub+++=though
the ^ati++++=the
town ^nn++++=town
were ^vbd+bed+aux++=were
not ^xnot++not++=not
built ^vwbn+++xvbn+=built
of ^in++++=of
plaster ^nn+nom+++=plaster,
, ^zz++++=EXTRAWORD
tile ^nn++++=tile
and ^cc++++=and
timber ^nn++++=timber,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
suspended ^vpsv++agls+xvbn+=suspended
within ^in++++=within
some ^dti++++=some
luminous ^jj++++=luminous
medium ^jjb++++=medium
between ^in++++=between
the ^ati++++=the
familiar ^jj+atrb+++=familiar
earth ^nn++++=earth
and ^cc++++=and
an ^at++++=an
approaching ^jj+atrb++xvbg+=approaching
realm ^nn++++=realm.
. ^zz++++=EXTRAWORD
No ^at++++=No
citizen ^nn++++=citizen
cheered ^vbd+++xvbn+=cheered
us ^pp1o+pp1+++=us.
. ^zz++++=EXTRAWORD
The ^ati++++=The
streets ^nns++++=streets
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
crowded ^vpsv++agls+xvbnx+=crowded,
, ^zz++++=EXTRAWORD
yet ^rb++++=yet
silence ^nn+nom+++=silence
followed ^vbd+vprv++xvbn+=followed
the ^ati++++=the
cohort ^nn++++=cohort
to ^in++++=to
the ^ati++++=the
gate ^nn++++=gate.
. ^zz++++=EXTRAWORD
The ^ati++++=The
first ^od++++=first
part ^nn++++=part
of ^in++++=of
our ^pp$+pp1+++=our
ascent ^nn++++=ascent
was ^vbd+bedz+vrb++=was
easy ^jj+pred+++=easy.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
traversed ^vbd+++xvbn+=traversed
cultivated ^xvbn+++xvbn+=cultivated
slopes ^nns++++=slopes,
, ^zz++++=EXTRAWORD
passed ^jj+atrb++xvbn+=passed
abandoned ^jj+atrb++xvbn+=abandoned
huts ^nns++++=huts,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
entered ^vbd+++xvbn+=entered
a ^at++++=a
forest ^nn++++=forest
of ^in++++=of
oak ^nn++++=oak
and ^cc++++=and
pine ^nn++++=pine.
. ^zz++++=EXTRAWORD
Here ^rn+pl+++=Here
the ^ati++++=the
road ^nn++++=road
became ^vbd+++xvbn+=became
a ^at++++=a
track ^nn++++=track
bordered ^vwbn+++xvbn+=bordered
by ^in++++=by
ravines ^nns+++??+=ravines.
. ^zz++++=EXTRAWORD
Balbutius ^np+++??+=Balbutius
extended ^vbd+++xvbn+=extended
the ^ati++++=the
column ^nn++++=column
and ^cc++++=and
sent ^xvbn+++xvbn+=sent
scouts ^nns+++??+=scouts
ahead ^rb+cnj+++=ahead,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
none ^pn++++=none
travelled ^vbd+++xvbn+=travelled
willingly ^rb++++=willingly
beyond ^in++++=beyond
sight ^nn++++=sight
of ^in++++=of
the ^ati++++=the
standards ^nns++++=standards.
. ^zz++++=EXTRAWORD
Larta ^np+++??+=Larta
rode ^vbd+++xvbn+=rode
beside ^in+pl+++=beside
me ^pp1o+pp1+++=me,
, ^zz++++=EXTRAWORD
muttering ^vbg+++xvbg+=muttering
prayers ^nns+nom+++=prayers
in ^in++++=in
Latin ^nn++++=Latin,
, ^zz++++=EXTRAWORD
Greek ^jj++++=Greek
and ^cc++++=and
his ^pp$+pp3+++=his
native ^jj+atrb+++=native
tongue ^nn++++=tongue.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
had ^vbd+hvd+aux++=had
been ^vprf+ben+vrb+xvbnx+=been
loquacious ^jj++++=loquacious
in ^in++++=in
the ^ati++++=the
town ^nn++++=town;
; ^zz++++=EXTRAWORD
amongst ^in++++=amongst
the ^ati++++=the
trees ^nns++++=trees
he ^pp3a+pp3+++=he
would ^md+prd+++=would
answer ^vb++++=answer
no ^at++++=no
question ^nn+nom+++=question
concerning ^in++++=concerning
our ^pp$+pp1+++=our
destination ^nn+nom+++=destination.
. ^zz++++=EXTRAWORD
Dusk ^nn++++=Dusk
accumulated ^vbd+++xvbn+=accumulated
beneath ^in+pl+++=beneath
the ^ati++++=the
branches ^nns++++=branches
before ^cs+sub+++=before
it ^pp3+it+++=it
appeared ^vbd+seem++xvbn+=appeared
in ^in++++=in
the ^ati++++=the
sky ^nn++++=sky.
. ^zz++++=EXTRAWORD
Presently ^rb+tm+++=Presently
we ^pp1a+pp1+++=we
perceived ^vbd+vprv++xvbn+=perceived
fires ^nns++++=fires
on ^in++++=on
a ^at++++=a
distant ^jj+atrb+++=distant
height ^nn++++=height
seven ^cd++++=seven
red ^jj+atrb+++=red
points ^nns++++=points
arranged ^vwbn+vsua++xvbn+=arranged,
, ^zz++++=EXTRAWORD
as ^ql++++=as
I ^pp1a+pp1+++=I
thought ^vbd+++xvbnx+=thought,
, ^zz++++=EXTRAWORD
in ^in++++=in
a ^at++++=a
broken ^jj+atrb++xvbn+=broken
circle ^nn++++=circle.
. ^zz++++=EXTRAWORD
The ^ati++++=The
drums ^nns++++=drums
sounded ^vbd+++xvbn+=sounded
from ^in++++=from
that ^dt+dem+++=that
direction ^nn+nom+++=direction,
, ^zz++++=EXTRAWORD
no ^at++++=no
longer ^rbr++++=longer
slow ^jj++++=slow,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
in ^in++++=in
groups ^nns++++=groups
of ^in++++=of
nine ^cd++++=nine
beats ^vbz++++=beats
separated ^vpsv++by+xvbn+=separated
by ^in++++=by
intervals ^nns+nom+++=intervals
of ^in++++=of
absolute ^jj+atrb+++=absolute
stillness ^nns+nom+++=stillness.
. ^zz++++=EXTRAWORD
At ^rb++++=At
the ^ati++++=the
first ^od++++=first
such ^abl++++=such
interval ^nn+nom+++=interval
our ^pp$+pp1+++=our
horses ^nns++++=horses
stopped ^vbd+++xvbn+=stopped.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
did ^vbd+dod+vrb++=did
not ^xnot++not++=not
shy ^jj++++=shy
or ^cc+phrs+++=or
rear ^jjb++++=rear.
. ^zz++++=EXTRAWORD
Every ^at++++=Every
animal ^nn++++=animal
halted ^vwbn+++xvbn+=halted
as ^cs+sub+++=as
if ^cs+cnd+++=if
a ^at++++=a
single ^jj+atrb+++=single
command ^nn++++=command
had ^vbd+hvd+aux++=had
reached ^vprf+++xvbnx+=reached
them ^pp3o+pp3+++=them,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
stood ^vbd+++xvbn+=stood
trembling ^jj+++xvbg+=trembling,
, ^zz++++=EXTRAWORD
their ^pp$+pp3+++=their
nostrils ^nns++++=nostrils
white ^jj++++=white
with ^in++++=with
foam ^nn++++=foam.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
the ^ati++++=the
proconsul ^nn+++??+=proconsul's
's ^$++++=EXTRAWORD
mare ^nn++++=mare
screamed ^vbd+++xvbn+=screamed.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
insist ^vb+vpub+++=insist
upon ^in++++=upon
the ^ati++++=the
word ^nn++++=word.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
screamed ^vbd+++xvbnx+=screamed,
, ^zz++++=EXTRAWORD
not ^xnot++not++=not
neighed ^jj+++xvbn+=neighed,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
screamed ^vpsv++agls+xvbn+=screamed
with ^in++++=with
the ^ati++++=the
high ^jj+atrb+++=high
and ^cc+phrs+++=and
desolate ^jj+atrb+++=desolate
voice ^nn++++=voice
of ^in++++=of
a ^at++++=a
woman ^nn++++=woman
beneath ^in+pl+++=beneath
torture ^nn++++=torture.
. ^zz++++=EXTRAWORD
The ^ati++++=The
other ^ap++++=other
horses ^nns++++=horses
answered ^vbd+vpub++xvbn+=answered.
. ^zz++++=EXTRAWORD
Several ^ap++++=Several
tore ^vbd+++xvbn+=tore
free ^jj++++=free,
, ^zz++++=EXTRAWORD
plunged ^xvbn+++xvbn+=plunged
amongst ^in++++=amongst
the ^ati++++=the
ranks ^nns++++=ranks
and ^cc++++=and
threw ^vbd+++xvbn+=threw
the ^ati++++=the
column ^nn++++=column
into ^in++++=into
confusion ^nn++++=confusion.
. ^zz++++=EXTRAWORD
One ^cd1++++=One
cavalryman ^nn+nom+++=cavalryman
was ^vbd+bedz+aux++=was
dashed ^vpsv++agls+xvbnx+=dashed
against ^in++++=against
a ^at++++=a
tree ^nn++++=tree;
; ^zz++++=EXTRAWORD
another ^dt++++=another
vanished ^jj+++xvbn+=vanished
over ^in++++=over
the ^ati++++=the
edge ^nn++++=edge
of ^in++++=of
the ^ati++++=the
path ^nn++++=path,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
for ^in++++=for
a ^at++++=a
long ^rb++++=long
while ^cs+sub+++=while
we ^pp1a+pp1+++=we
heard ^vbd+vprv+tht0+xvbn+=heard
his ^pp$+pp3+++=his
armour ^nn++++=armour
striking ^vwbg+++xvbg+=striking
rocks ^nns++++=rocks
below ^in+strn+++=below.
. ^zz++++=EXTRAWORD
Discipline ^nn++++=Discipline
was ^vbd+bedz+aux++=was
restored ^vpsv++agls+xvbnx+=restored,
, ^zz++++=EXTRAWORD
though ^rb+cnj+++=though
imperfectly ^rb++++=imperfectly.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
continued ^vbd+++xvbn+=continued
on ^in++++=on
foot ^nn++++=foot,
, ^zz++++=EXTRAWORD
leading ^jj+++xvbg+=leading
the ^ati++++=the
surviving ^jj+atrb++xvbg+=surviving
animals ^nns+nom+++=animals.
. ^zz++++=EXTRAWORD
The ^ati++++=The
night ^nn++++=night
had ^vbd+hvd+aux++=had
become ^vprf+++xvbn+=become
unnaturally ^rb++++=unnaturally
cold ^jj++++=cold.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
not ^xnot++not++=not
the ^ati++++=the
clean ^jj++++=clean
cold ^jj++++=cold
of ^in++++=of
altitude ^nn++++=altitude,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
an ^at++++=an
intimate ^jj++++=intimate
and ^cc++++=and
searching ^xvbg+++xvbg+=searching
chill ^vb++++=chill
which ^whp+who+++=which
seemed ^vbd+seem++xvbn+=seemed
to ^to+vcmp+++=to
enter ^vbi++++=enter
through ^in++++=through
wool ^nn++++=wool,
, ^zz++++=EXTRAWORD
leather ^nn++++=leather
and ^cc++++=and
flesh ^nn++++=flesh,
, ^zz++++=EXTRAWORD
pressing ^vbg+++xvbg+=pressing
icy ^jj+atrb+++=icy
fingers ^nns+nom+++=fingers
along ^in++++=along
the ^ati++++=the
bones ^nns++++=bones.
. ^zz++++=EXTRAWORD
Breath ^nn++++=Breath
steamed ^vbd+++xvbn+=steamed
before ^in++++=before
us ^pp1o+pp1+++=us.
. ^zz++++=EXTRAWORD
Frost ^np++++=Frost
whitened ^jj+atrb+++=whitened
leaves ^nns++++=leaves
that ^tht+rel+subj++=that
had ^vbd+hvd+aux++=had
been ^vprf+ben+vrb+xvbnx+=been
green ^nn++++=green
moments ^nns+nom+++=moments
earlier ^jjr++++=earlier.
. ^zz++++=EXTRAWORD
Larta ^np+++??+=Larta
stopped ^vbd+++xvbn+=stopped
beneath ^in+pl+++=beneath
a ^at++++=a
lightning ^nn++++=lightning-blasted
- ^zz++++=EXTRAWORD
blasted ^vbd+++xvbn+=EXTRAWORD
oak ^nn++++=oak.
. ^zz++++=EXTRAWORD
" ^zz++++="No
no ^at++++=EXTRAWORD
higher ^jjr++++=higher,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
whispered ^vbd+vpub++xvbnx+=whispered.
. ^zz++++=EXTRAWORD
Balbutius ^np+++??+=Balbutius
ordered ^vbd+++xvbn+=ordered
him ^pp3o+pp3+++=him
forward ^rb++++=forward.
. ^zz++++=EXTRAWORD
" ^zz++++="No
no ^at++++=EXTRAWORD
higher ^nn++++=higher.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
have ^vb+hv+aux++=have
opened ^vprf+++xvbnx+=opened
the ^ati++++=the
door ^nn++++=door."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="What
what ^wdt+who+++=EXTRAWORD
door ^nn++++=door?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
demanded ^vbd+vsua++xvbnx+=demanded.
. ^zz++++=EXTRAWORD
The ^ati++++=The
guide ^nn++++=guide
looked ^vbd+++xvbn+=looked
upward ^jjb++++=upward.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
remaining ^jj+atrb++xvbg+=remaining
expression ^nn++++=expression
was ^vbd+bedz+vrb++=was
not ^xnot++not++=not
fear ^nn++++=fear
as ^ql++++=as
men ^nns++++=men
commonly ^rb++++=commonly
know ^vb+vprv+++=know
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
a ^at++++=a
total ^jj+atrb+++=total
collapse ^nn++++=collapse
of ^in++++=of
the ^ati++++=the
mind ^nn++++=mind
before ^cs+sub+++=before
something ^pn++++=something
already ^rb++++=already
perceived ^vbd+vprv++xvbn+=perceived.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
drew ^vbd+++xvbnx+=drew
the ^ati++++=the
small ^jj+atrb+++=small
utility ^nn+nom+++=utility
knife ^nn++++=knife
from ^in++++=from
his ^pp$+pp3+++=his
belt ^nn++++=belt.
. ^zz++++=EXTRAWORD
Asellius ^np+++??+=Asellius
moved ^vbd+++xvbn+=moved
to ^to++++=to
restrain ^vbi++++=restrain
him ^pp3o+pp3+++=him;
; ^zz++++=EXTRAWORD
yet ^rb++++=yet
with ^in++++=with
astonishing ^jj+atrb+++=astonishing
swiftness ^nns+nom+++=swiftness
Larta ^np+++??+=Larta
thrust ^vbd+++xvbn+=thrust
the ^ati++++=the
blade ^nn++++=blade
beneath ^rb++++=beneath
his ^pp$+pp3+++=his
own ^ap++++=own
jaw ^nn++++=jaw
and ^cc++++=and
tore ^vbd+++xvbn+=tore
it ^pp3+it+++=it
sideways ^jjb++++=sideways.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
fell ^vbd+++xvbnx+=fell
without ^in++++=without
a ^at++++=a
cry ^nn++++=cry,
, ^zz++++=EXTRAWORD
blood ^nn++++=blood
steaming ^vwbg+++xvbg+=steaming
blackly ^rb++++=blackly
upon ^in++++=upon
the ^ati++++=the
frost ^nn++++=frost.
. ^zz++++=EXTRAWORD
The ^ati++++=The
drums ^nns++++=drums
resumed ^vbd+++xvbn+=resumed.
. ^zz++++=EXTRAWORD
Balbutius ^np+++??+=Balbutius
wished ^vbd+vprv++xvbn+=wished
then ^rn+tm+++=then
to ^to++++=to
withdraw ^vbi++++=withdraw.
. ^zz++++=EXTRAWORD
Even ^rb++++=Even
Asellius ^np+++??+=Asellius
had ^vbd+hvd+aux++=had
lost ^vprf+++xvbnx+=lost
his ^pp$+pp3+++=his
sneer ^vb++++=sneer.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
the ^ati++++=the
path ^nn++++=path
behind ^in+pl+++=behind
us ^pp1o+pp1+++=us
was ^vbd+bedz+aux++=was
obstructed ^vpsv++by+xvbnx+=obstructed
by ^in++++=by
maddened ^jj+atrb++xvbn+=maddened
horses ^nns++++=horses,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Scribonius ^np+++??+=Scribonius,
, ^zz++++=EXTRAWORD
whose ^whp+rel+obj++=whose
authority ^nn+nom+++=authority
had ^vb+hv+aux++=had
once ^rb+tm+splt++=once
made ^vprf+++xvbnx+=made
hesitation ^nn+nom+++=hesitation
impossible ^jj++++=impossible,
, ^zz++++=EXTRAWORD
stared ^j+++xvbn+=stared
at ^rb++++=at
the ^ati++++=the
seven ^cd++++=seven
fires ^nns++++=fires
above ^jjb++++=above.
. ^zz++++=EXTRAWORD
" ^zz++++="They
they ^pp3a+pp3+++=EXTRAWORD
expect ^vb+vprv+++=expect
retreat ^nn++++=retreat,"
, ^zz++++=EXTRAWORD
