# ^zz++++=##
# ^zz++++=EXTRAWORD
Root ^nn++++=Root
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
At ^rb++++=At
the ^ati++++=the
sawmill ^nn+++??+=sawmill
the ^ati++++=the
foreman ^nn++++=foreman
told ^vbd+vpub++xvbn+=told
him ^pp3o+pp3+++=him
to ^to++++=to
come ^vbi++++=come
again ^rb+tm+++=again
in ^in++++=in
autumn ^nn++++=autumn.
. ^zz++++=EXTRAWORD
At ^rb++++=At
two ^cd++++=two
farms ^nns++++=farms
he ^pp3a+pp3+++=he
was ^vbd+bedz+aux++=was
refused ^vpsv++agls+xvbnx+=refused
without ^in++++=without
explanation ^nn+nom+++=explanation,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
was ^vbd+bedz+vrb++=was
kinder ^jjr+pred+++=kinder
but ^cc++++=but
no ^at++++=no
more ^rbr++++=more
useful ^jj++++=useful.
. ^zz++++=EXTRAWORD
On ^in++++=On
the ^ati++++=the
eleventh ^od++++=eleventh
day ^nn++++=day
Ellis ^np++++=Ellis
heard ^vbd+vprv++xvbn+=heard
that ^tht+vcmp+++=that
Thomas ^np++++=Thomas
Fillmore ^np+++??+=Fillmore
wanted ^vbd+++xvbn+=wanted
a ^at++++=a
piece ^nn++++=piece
of ^in++++=of
rough ^nn++++=rough
pasture ^vb++++=pasture
cleared ^vbd+++xvbn+=cleared.
. ^zz++++=EXTRAWORD
Fillmore ^np+++??+=Fillmore
owned ^vbd+++xvbn+=owned
forty ^cd++++=forty
acres ^nns++++=acres
west ^np+pl+++=west
of ^in++++=of
Dalrymple ^np+++??+=Dalrymple,
, ^zz++++=EXTRAWORD
besides ^rb+cnj+++=besides
two ^cd++++=two
houses ^nns++++=houses
in ^in++++=in
the ^ati++++=the
village ^nn+nom+++=village
and ^cc++++=and
money ^nn++++=money
at ^in++++=at
interest ^nn++++=interest.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+vrb++=was
not ^xnot++not++=not
poor ^jj++++=poor,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
his ^pp$+pp3+++=his
shrewd ^jj+atrb+++=shrewd,
, ^zz++++=EXTRAWORD
nutcracker ^jjr+atrb+++=nutcracker
face ^nn++++=face
always ^rb++++=always
suggested ^vprf+++xvbn+=suggested
that ^tht+vcmp+++=that
poverty ^nn++++=poverty
was ^vbd+bedz+aux++=was
standing ^vbg+++xvbgx+=standing
behind ^rp+pl+++=behind
him ^pp3o+pp3+++=him
with ^in++++=with
a ^at++++=a
club ^nn++++=club.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
disliked ^vbd+++xvbnx+=disliked
paying ^vbg+++xvbg+=paying
wages ^nns++++=wages
and ^cc++++=and
had ^vb+hv+aux++=had
therefore ^rb+cnj+splt++=therefore
failed ^vprf+++xvbnx+=failed
to ^to+vcmp+++=to
find ^vbi+vprv+++=find
a ^at++++=a
man ^nn++++=man
willing ^jj++++=willing
to ^to+jcmp+++=to
undertake ^vbi++++=undertake
the ^ati++++=the
pasture ^nn++++=pasture.
. ^zz++++=EXTRAWORD
The ^ati++++=The
field ^nn++++=field
contained ^vbd+++xvbn+=contained
elderberry ^nn++++=elderberry
bushes ^nns++++=bushes
that ^tht+rel+subj++=that
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
cut ^vpsv++agls+xvbnx+=cut,
, ^zz++++=EXTRAWORD
burned ^j+++xvbn+=burned,
, ^zz++++=EXTRAWORD
grazed ^j+++xvbn+=grazed,
, ^zz++++=EXTRAWORD
cursed ^j+++xvbn+=cursed,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
neglected ^vpsv++agls+xvbn+=neglected
for ^in++++=for
twenty ^cd++++=twenty
years ^nns++++=years.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
did ^vbd+dod+aux++=did
not ^xnot++not++=not
seem ^vb+seem+++=seem
to ^to+vcmp+++=to
mind ^vbi+v+++=mind
either ^dtx++++=either
moon ^nn++++=moon
or ^cc++++=or
mowing ^vbg+++xvbg+=mowing.
. ^zz++++=EXTRAWORD
Their ^pp$+pp3+++=Their
roots ^nns++++=roots
were ^vbd+bed+vrb++=were
thick ^jj+pred+++=thick,
, ^zz++++=EXTRAWORD
twisted ^j+++xvbn+=twisted,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
deep ^jj++++=deep,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
every ^at++++=every
spring ^nn++++=spring
they ^pp3a+pp3+++=they
sent ^vbd+++xvbnx+=sent
up ^rb+phrv+++=up
new ^jj+atrb+++=new
shoots ^nns++++=shoots
with ^in++++=with
the ^ati++++=the
cheerful ^jj+atrb+++=cheerful
persistence ^nn+nom+++=persistence
of ^in++++=of
weeds ^nns++++=weeds
that ^tht+rel+subj++=that
know ^vb+vprv+tht0++=know
the ^ati++++=the
landowner ^nn+nom+++=landowner
is ^vbz+bez+vrb++=is
stingy ^nn+++??+=stingy.
. ^zz++++=EXTRAWORD
Ellis ^np++++=Ellis
found ^vbd+vprv++xvbn+=found
Fillmore ^np+++??+=Fillmore
repairing ^vwbg+++xvbg+=repairing
a ^at++++=a
gate ^nn++++=gate.
. ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
want ^vb++++=want
them ^pp3o+pp3+++=them
elders ^nns++++=elders
grubbed ^vbd+++xvbn+=grubbed
out ^rp+pl+++=out?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
asked ^vbd+vsua++xvbnx+=asked.
. ^zz++++=EXTRAWORD
" ^zz++++="Root
root ^nn++++=EXTRAWORD
and ^cc++++=and
branch ^nn++++=branch,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
replied ^vbd+vpub++xvbn+=replied
Fillmore ^np+++??+=Fillmore.
. ^zz++++=EXTRAWORD
" ^zz++++="Every
every ^at++++=EXTRAWORD
last ^ap++++=last
one ^pn++++=one."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="What
what ^wdt+who+++=EXTRAWORD
will ^md+prd+++=will
you ^pp2+pp2+++=you
pay ^vb++++=pay?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Fillmore ^np+++??+=Fillmore
named ^vbd+++xvbn+=named
a ^at++++=a
sum ^nn++++=sum
so ^rb+emph+++=so
small ^jj++++=small
that ^cs+sub+++=that
Ellis ^np++++=Ellis
thought ^vbd+++xvbn+=thought
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
misunderstood ^vprf+++xvbn+=misunderstood.
. ^zz++++=EXTRAWORD
" ^zz++++="For
for ^in++++=EXTRAWORD
the ^ati++++=the
whole ^nn++++=whole
pasture ^vb++++=pasture?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="For
for ^in++++=EXTRAWORD
the ^ati++++=the
whole ^nn++++=whole
pasture ^vb++++=pasture.
. ^zz++++=EXTRAWORD
Take ^vb++++=Take
it ^pp3+it+++=it
or ^cc++++=or
leave ^vb++++=leave
it ^pp3+it+++=it."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="How
how ^wrb+who+++=EXTRAWORD
many ^ap++++=many
acres ^nns++++=acres?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Nigh
nigh ^rb++++=EXTRAWORD
on ^in++++=on
six ^cd++++=six."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Ellis ^np++++=Ellis
looked ^vbd+++xvbn+=looked
through ^in++++=through
the ^ati++++=the
gate ^nn++++=gate.
. ^zz++++=EXTRAWORD
The ^ati++++=The
elderberries ^nns++++=elderberries
stood ^vbd+++xvbn+=stood
in ^in++++=in
dark ^nn++++=dark,
, ^zz++++=EXTRAWORD
stubborn ^jj+atrb+++=stubborn
companies ^nns++++=companies,
, ^zz++++=EXTRAWORD
some ^dti++++=some
taller ^jjr++++=taller
than ^in++++=than
his ^pp$+pp3+++=his
head ^nn++++=head.
. ^zz++++=EXTRAWORD
" ^zz++++="How
how ^wrb+who+++=EXTRAWORD
long ^rb++++=long
may ^md+pos+++=may
I ^pp1a+pp1+++=I
have ^vb+hv+vrb++=have?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Till
till ^cs+sub+++=EXTRAWORD
the ^ati++++=the
first ^rb++++=first
of ^in++++=of
September ^nr+nom+++=September."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I'll
i ^pp1a+pp1+++=EXTRAWORD
'll ^md+prd+++0=EXTRAWORD
do ^vb+do+vrb++=do
it ^pp3+it+++=it."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Fillmore ^np++++=Fillmore's
's ^$++++=EXTRAWORD
eyebrows ^nns++++=eyebrows
rose ^vbd+++xvbn+=rose.
. ^zz++++=EXTRAWORD
" ^zz++++="Ye
ye ^pp2+pp2+++=EXTRAWORD
will ^md+prd+++=will?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Yes,
yes ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
sir ^npt++++=sir."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Mind,
mind ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
pay ^nn++++=pay
when ^wrb+who+++=when
the ^ati++++=the
work ^nn++++=work's
's ^$++++=EXTRAWORD
done ^vwbn+++xvbn+=done.
. ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
ye ^pp2+pp2+++=ye
quit ^vb++++=quit
halfway ^rb+cnj+++=halfway,
, ^zz++++=EXTRAWORD
ye ^pp2+pp2+++=ye
get ^vb++++=get
nothing ^pn++++=nothing."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="That
that ^dt+pdem+++=EXTRAWORD
is ^vbz+bez+vrb++=is
hard ^jj+atrb+++=hard
terms ^nns++++=terms."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="It's
it ^pp3+it+++=EXTRAWORD
's ^vbz+bez+vrb++0=EXTRAWORD
my ^pp$+pp1+++=my
terms ^nns++++=terms."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Ellis ^np++++=Ellis
looked ^vbd+++xvbn+=looked
again ^rb+tm+++=again
at ^in++++=at
the ^ati++++=the
field ^nn++++=field.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
he ^pp3a+pp3+++=he
thought ^vbd+++xvbnx+=thought
of ^in++++=of
his ^pp$+pp3+++=his
mother ^nn++++=mother
bending ^vwbg+++xvbg+=bending
over ^rp++++=over
her ^pp3o+pp3+++=her
sewing ^nn++++=sewing
beside ^in+pl+++=beside
the ^ati++++=the
window ^nn++++=window.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
accept ^vb+vprv+++=accept
them ^pp3o+pp3+++=them."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Fillmore ^np+++??+=Fillmore
wrote ^vbd+vprv++xvbn+=wrote
the ^ati++++=the
agreement ^nn+nom+++=agreement
on ^in++++=on
the ^ati++++=the
back ^nn++++=back
of ^in++++=of
an ^at++++=an
old ^jj+atrb+++=old
seed ^nn++++=seed
bill ^nn++++=bill.
. ^zz++++=EXTRAWORD
" ^zz++++="There,"
there ^rn+pl+++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said.
. ^zz++++=EXTRAWORD
" ^zz++++="If
if ^cs+cnd+++=EXTRAWORD
ye ^pp2+pp2+++=ye
clear ^vb++++=clear
it ^pp3+it+++=it
clean ^jj++++=clean,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I'll
'll ^md+prd+++0=EXTRAWORD
pay ^vb++++=pay.
. ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
ye ^pp2+pp2+++=ye
do ^vb+do+vrb++=don't,
n't ^xnot++not++0=EXTRAWORD
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
wo ^&fw++++=won't."
n't ^xnot++not++0=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
The ^ati++++=The
next ^ap++++=next
morning ^nn++++=morning
Ellis ^np++++=Ellis
began ^vbd+++xvbn+=began.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
had ^vb+hv+vrb++=had
an ^at++++=an
axe ^nn++++=axe,
, ^zz++++=EXTRAWORD
a ^at++++=a
mattock ^nn+++??+=mattock,
, ^zz++++=EXTRAWORD
a ^at++++=a
spade ^nn++++=spade,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
length ^nn++++=length
of ^in++++=of
chain ^nn++++=chain
borrowed ^vbd+++xvbn+=borrowed
from ^in++++=from
Hiram ^np+++??+=Hiram
Bell ^nn++++=Bell.
. ^zz++++=EXTRAWORD
First ^rb++++=First
he ^pp3a+pp3+++=he
cut ^vbd+++xvbnx+=cut
the ^ati++++=the
stems ^nns++++=stems
close ^in+cmpx+++=close
to ^in"++++=to
the ^ati++++=the
ground ^nn++++=ground.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
he ^pp3a+pp3+++=he
dug ^vbd+++xvbnx+=dug
around ^rp++++=around
the ^ati++++=the
roots ^nns++++=roots,
, ^zz++++=EXTRAWORD
chopping ^jj+++xvbg+=chopping
through ^in++++=through
the ^ati++++=the
lesser ^jjr+atrb+++=lesser
fibres ^nns++++=fibres
and ^cc++++=and
prying ^jj++++=prying
at ^in++++=at
the ^ati++++=the
great ^jj+atrb+++=great
central ^jj+atrb+++=central
knots ^nns++++=knots.
. ^zz++++=EXTRAWORD
Some ^dti++++=Some
came ^vbd+++xvbn+=came
out ^rp+pl+++=out
after ^in++++=after
an ^at++++=an
hour ^nn++++=hour.
. ^zz++++=EXTRAWORD
Others ^aps++++=Others
required ^jj+++xvbn+=required
half ^abn++++=half
a ^at++++=a
day ^nn++++=day.
. ^zz++++=EXTRAWORD
One ^cd1++++=One
seemed ^vbd+seem++xvbn+=seemed
to ^to+vcmp+++=to
Ellis ^vbi++++=Ellis
to ^to++++=to
reach ^vbi++++=reach
directly ^rb++++=directly
beneath ^in+pl+++=beneath
Dalrymple ^np+++??+=Dalrymple
Mill ^nn++++=Mill
and ^cc++++=and
take ^vb++++=take
hold ^nn++++=hold
of ^in++++=of
its ^pp$+it+++=its
foundation ^nn+nom+++=foundation.
. ^zz++++=EXTRAWORD
At ^in++++=At
noon ^nn++++=noon
he ^pp3a+pp3+++=he
ate ^vbd+++xvbnx+=ate
bread ^nn++++=bread
and ^cc++++=and
cheese ^nn++++=cheese
beneath ^in+pl+++=beneath
an ^at++++=an
elm ^nn++++=elm.
. ^zz++++=EXTRAWORD
At ^in++++=At
sunset ^nn++++=sunset
he ^pp3a+pp3+++=he
went ^vbd+++xvbnx+=went
home ^nr++++=home
with ^in++++=with
blistered ^jj+atrb++xvbn+=blistered
hands ^nns++++=hands
and ^cc++++=and
aching ^jj+atrb++xvbg+=aching
shoulders ^nns+nom+++=shoulders.
. ^zz++++=EXTRAWORD
" ^zz++++="Well?"
well ^rb++++=EXTRAWORD
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
asked ^vbd+vsua+tht0+xvbn+=asked
his ^pp$+pp3+++=his
mother ^nn++++=mother.
. ^zz++++=EXTRAWORD
" ^zz++++="It
it ^pp3+it+++=EXTRAWORD
is ^vbz+bez+vrb++=is
hard ^jj+atrb+++=hard
work ^nn++++=work."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
feared ^vbd+vprv+tht0+xvbnx+=feared
it ^pp3+it+++=it
would ^md+prd+++=would
be ^vb+be+vrb++=be."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="But
but ^cc++++=EXTRAWORD
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
work ^nn++++=work,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Ellis ^np++++=Ellis
added ^vbd+vpub++xvbn+=added,
, ^zz++++=EXTRAWORD
smiling ^jj+++xvbg+=smiling.
. ^zz++++=EXTRAWORD
The ^ati++++=The
blisters ^nns+nom+++=blisters
broke ^vbd+++xvbn+=broke,
, ^zz++++=EXTRAWORD
healed ^j+++xvbn+=healed,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
hardened ^jj+++xvbn+=hardened.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
back ^rp++++=back
ceased ^vprf+++xvbn+=ceased
to ^in++++=to
ache ^nn++++=ache
so ^rb++++=so
sharply ^rb++++=sharply.
. ^zz++++=EXTRAWORD
Every ^at++++=Every
evening ^nn++++=evening
a ^at++++=a
larger ^jjr+atrb+++=larger
brown ^jj+atrb+++=brown
space ^nn++++=space
showed ^vbd+vprv++xvbn+=showed
behind ^rp+pl+++=behind
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
the ^ati++++=the
green ^jj+atrb+++=green
enemy ^nn++++=enemy
before ^cs+sub+++=before
him ^pp3o+pp3+++=him
appeared ^vbd+seem++xvbn+=appeared
as ^ql++++=as
thick ^jj++++=thick
as ^in++++=as
ever ^rb++++=ever.
. ^zz++++=EXTRAWORD
People ^nns++++=People
travelling ^vwbg+++xvbg+=travelling
the ^ati++++=the
Westdale ^np+++??+=Westdale
road ^nn++++=road
saw ^vbd+vprv++xvbn+=saw
him ^pp3o+pp3+++=him
at ^in++++=at
labour ^nn++++=labour.
. ^zz++++=EXTRAWORD
Some ^dti++++=Some
praised ^jj+++xvbn+=praised
him ^pp3o+pp3+++=him;
; ^zz++++=EXTRAWORD
some ^dti++++=some
laughed ^jj+++xvbn+=laughed.
. ^zz++++=EXTRAWORD
" ^zz++++="Fillmore
fillmore ^nn+++??+=EXTRAWORD
has ^vbz+hvz+aux++=has
caught ^vprf+++xvbnx+=caught
another ^ppls++++=another
one ^pn++++=one,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Hiram ^np+++??+=Hiram
Bell ^nn++++=Bell.
. ^zz++++=EXTRAWORD
" ^zz++++="That
that ^dt+dem+++=EXTRAWORD
boy ^nn++++=boy'll
'll ^md+prd+++0=EXTRAWORD
never ^rb++++=never
finish ^nn++++=finish."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="He's
he ^pp3a+pp3+++=EXTRAWORD
's ^vbz+bez+vrb++0=EXTRAWORD
Joel ^np+++??+=Joel
Duncan ^np++++=Duncan's
's ^$++++=EXTRAWORD
son ^nn++++=son,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
replied ^vbd+vpub++xvbn+=replied
the ^ati++++=the
blacksmith ^nn++++=blacksmith.
. ^zz++++=EXTRAWORD
" ^zz++++="He'll
he ^pp3a+pp3+++=EXTRAWORD
'll ^md+prd+++0=EXTRAWORD
tire ^vb++++=tire
of ^in++++=of
it ^pp3+it+++=it."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Ellis ^np++++=Ellis
heard ^vbd+vprv++xvbn+=heard
such ^abl++++=such
remarks ^vbz+vpub+++=remarks.
. ^zz++++=EXTRAWORD
Sometimes ^rb++++=Sometimes
he ^pp3a+pp3+++=he
flushed ^vbd+++xvbnx+=flushed,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
he ^pp3a+pp3+++=he
kept ^vbd+++xvbnx+=kept
his ^pp$+pp3+++=his
temper ^nn++++=temper
and ^cc++++=and
swung ^vbd+++xvbn+=swung
the ^ati++++=the
mattock ^nn+++??+=mattock.
. ^zz++++=EXTRAWORD
Once ^rb+tm+++=Once
Timothy ^np++++=Timothy
drove ^vbd+++xvbn+=drove
past ^jjb++++=past
in ^in++++=in
his ^pp$+pp3+++=his
buggy ^nn+++??+=buggy.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
saw ^vbd+vprv++xvbnx+=saw
Ellis ^np++++=Ellis
knee ^nn++++=knee-deep
- ^zz++++=EXTRAWORD
deep ^jj++++=EXTRAWORD
in ^in++++=in
a ^at++++=a
trench ^nn++++=trench,
, ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
shirt ^nn++++=shirt
dark ^nn++++=dark
with ^in++++=with
sweat ^nn++++=sweat.
. ^zz++++=EXTRAWORD
" ^zz++++="Still
still ^rb++++=EXTRAWORD
at ^in++++=at
it ^pp3+it+++=it?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
called ^vbd+++xvbnx+=called.
. ^zz++++=EXTRAWORD
" ^zz++++="Yes,
yes ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
sir ^npt++++=sir."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="How
how ^wrb+who+++=EXTRAWORD
long ^rb++++=long
have ^vb+hv+aux++=have
ye ^pp2+pp2+++=ye
been ^vprf+ben+aux+xvbn+=been
working ^vbg+++xvbgx+=working?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Three
three ^cd++++=EXTRAWORD
weeks ^nns++++=weeks
yesterday ^nr+tm+++=yesterday."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Timothy ^np++++=Timothy
glanced ^vbd+++xvbn+=glanced
over ^in++++=over
the ^ati++++=the
cleared ^jj+atrb++xvbn+=cleared
ground ^nn++++=ground.
. ^zz++++=EXTRAWORD
" ^zz++++="Fillmore
fillmore ^nn+++??+=EXTRAWORD
paying ^vwbg+++xvbg+=paying
by ^in++++=by
the ^ati++++=the
day ^nn++++=day?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="No,
no ^at++++=EXTRAWORD
, ^zz++++=EXTRAWORD
sir ^npt++++=sir.
. ^zz++++=EXTRAWORD
By ^in++++=By
the ^ati++++=the
job ^nn++++=job."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Then
then ^rn+tm+++=EXTRAWORD
he ^pp3a+pp3+++=he
has ^vbz+hvz+vrb++=has
the ^ati++++=the
best ^nn++++=best
of ^in++++=of
the ^ati++++=the
bargain ^nn++++=bargain."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
knew ^vbd+vprv++xvbnx+=knew
the ^ati++++=the
terms ^nns++++=terms."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Timothy ^np++++=Timothy
clicked ^vbd+++xvbn+=clicked
to ^in++++=to
his ^pp$+pp3+++=his
horse ^nn++++=horse
and ^cc++++=and
drove ^vpsv++agls+xvbn+=drove
on ^in+strn+++=on.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
said ^vbd+vpub+tht0+xvbnx+=said
nothing ^pn++++=nothing
more ^rbr++++=more,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
three ^cd++++=three
days ^nns++++=days
later ^rbr+tm+++=later
he ^pp3a+pp3+++=he
passed ^vbd+++xvbnx+=passed
again ^rb+cnj+++=again,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
the ^ati++++=the
pasture ^nn++++=pasture
was ^vbd+bedz+vrb++=was
not ^xnot++not++=not
on ^in++++=on
the ^ati++++=the
shortest ^jjt++++=shortest
road ^npl++++=road
to ^in++++=to
the ^ati++++=the
mill ^nn++++=mill.
. ^zz++++=EXTRAWORD
July ^nr++++=July
was ^vbd+bedz+vrb++=was
hot ^jj+pred+++=hot.
. ^zz++++=EXTRAWORD
The ^ati++++=The
earth ^nn++++=earth
baked ^vbd+++xvbn+=baked
hard ^jj++++=hard,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
roots ^nns++++=roots
seemed ^vbd+seem++xvbn+=seemed
to ^to+vcmp+++=to
grip ^vbi++++=grip
it ^pp3+it+++=it
more ^rbr++++=more
fiercely ^rb++++=fiercely.
. ^zz++++=EXTRAWORD
Ellis ^np++++=Ellis
rose ^vbd+++xvbn+=rose
at ^rb++++=at
five ^cd++++=five,
, ^zz++++=EXTRAWORD
milked ^xvbn+++xvbn+=milked
Mrs ^npt++++=Mrs.
. ^zz++++=EXTRAWORD
Crane ^np++++=Crane's
's ^$++++=EXTRAWORD
cow ^nn++++=cow
in ^in++++=in
exchange ^in"++++=exchange
for ^in"++++=for
milk ^nn++++=milk,
, ^zz++++=EXTRAWORD
ate ^j+++xvbn+=ate
his ^pp$+pp3+++=his
breakfast ^nn++++=breakfast,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
walked ^vbd+++xvbn+=walked
two ^cd++++=two
miles ^nns++++=miles
to ^in++++=to
the ^ati++++=the
pasture ^nn++++=pasture.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
worked ^vbd+++xvbnx+=worked
until ^in++++=until
dusk ^nn++++=dusk
except ^cs+sub+++=except
on ^in++++=on
Sundays ^nrs++++=Sundays,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
he ^pp3a+pp3+++=he
took ^vbd+++xvbnx+=took
his ^pp$+pp3+++=his
mother ^nn++++=mother
to ^in++++=to
church ^npl++++=church
and ^cc++++=and
read ^vb+vprv++xvbn+=read
aloud ^rb++++=aloud
to ^in++++=to
her ^pp$+pp3+++=her
in ^in++++=in
the ^ati++++=the
afternoon ^nn++++=afternoon.
. ^zz++++=EXTRAWORD
By ^in++++=By
the ^ati++++=the
middle ^nn++++=middle
of ^in++++=of
August ^nr++++=August,
, ^zz++++=EXTRAWORD
four ^cd++++=four
acres ^nns++++=acres
were ^vbd+bed+aux++=were
cleared ^vpsv++agls+xvbnx+=cleared.
. ^zz++++=EXTRAWORD
One ^cd1++++=One
morning ^nn++++=morning
Jacob ^np++++=Jacob
Green ^npl++++=Green
stopped ^vbd+++xvbn+=stopped
his ^pp$+pp3+++=his
wagon ^nn++++=wagon
at ^in++++=at
the ^ati++++=the
gate ^nn++++=gate.
. ^zz++++=EXTRAWORD
Green ^npl++++=Green
owned ^vbd+++xvbn+=owned
the ^ati++++=the
largest ^jjt+atrb+++=largest
dairy ^nn++++=dairy
farm ^nn++++=farm
in ^in++++=in
the ^ati++++=the
township ^nn+nom+++=township
and ^cc++++=and
paid ^vbd+++xvbn+=paid
fair ^jj+atrb+++=fair
wages ^nns++++=wages.
. ^zz++++=EXTRAWORD
" ^zz++++="Ellis,"
ellis ^np++++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
called ^vbd+++xvbnx+=called,
, ^zz++++=EXTRAWORD
" ^zz++++="come
come ^vprf+++xvbn+=EXTRAWORD
here ^rn+pl+++=here
a ^at++++=a
minute ^nn++++=minute."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Ellis ^np++++=Ellis
laid ^vbd+++xvbn+=laid
down ^rb+phrv+++=down
his ^pp$+pp3+++=his
axe ^nn++++=axe.
. ^zz++++=EXTRAWORD
" ^zz++++="I've
i ^pp1a+pp1+++=EXTRAWORD
've ^vb+hv+aux++0=EXTRAWORD
been ^vprf+ben+aux+xvbnx+=been
watching ^vbg+++xvbgx+=watching
