Jacob ^np++++=Jacob
, ^zz++++=EXTRAWORD
under ^in++++=under
the ^ati++++=the
hearth ^nn++++=hearth-stone,
- ^zz++++=EXTRAWORD
stone ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
among ^in++++=among
the ^ati++++=the
dog ^nn++++=dog-harness,
- ^zz++++=EXTRAWORD
harness ^nns+nom+++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
once ^rb+tm+++=once
in ^in++++=in
the ^ati++++=the
stove ^nn++++=stove-pipe
- ^zz++++=EXTRAWORD
pipe ^nn++++=EXTRAWORD
a ^at++++=a
device ^nn++++=device
which ^whp+rel+obj++=which
nearly ^rb+down+++=nearly
ruined ^jj+++xvbn+=ruined
him ^pp3o+pp3+++=him
when ^wrb+who+++=when
he ^pp3a+pp3+++=he
forgot ^vbd+vprv++xvbnx+=forgot
and ^cc+phrs+++=and
kindled ^vbd+++xvbn+=kindled
the ^ati++++=the
morning ^nn++++=morning
fire ^nn++++=fire.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
was ^vbd+bedz+vrb++=was
one ^cd1++++=one
further ^jjb+atrb+++=further
complication ^nn+nom+++=complication.
. ^zz++++=EXTRAWORD
Kent ^np++++=Kent
walked ^vbd+++xvbn+=walked
in ^in++++=in
his ^pp$+pp3+++=his
sleep ^nn++++=sleep.
. ^zz++++=EXTRAWORD
Somnambulism ^np+nom++??+=Somnambulism
is ^vbz+bez+vrb++=is
a ^at++++=a
charitable ^jj+atrb+++=charitable
contrivance ^nn+nom+++=contrivance
by ^in++++=by
which ^whp+rel+pied++=which
the ^ati++++=the
body ^nn++++=body
escapes ^nns++++=escapes
for ^in++++=for
a ^ap++++=a
few ^ap"++++=few
hours ^nns++++=hours
from ^in++++=from
the ^ati++++=the
tyranny ^nn++++=tyranny
of ^in++++=of
the ^ati++++=the
mind ^nn++++=mind.
. ^zz++++=EXTRAWORD
In ^in++++=In
Kent ^np++++=Kent's
's ^$++++=EXTRAWORD
case ^nn++++=case
the ^ati++++=the
liberated ^jj+atrb++xvbn+=liberated
body ^nn++++=body
displayed ^vbd+++xvbn+=displayed
no ^at++++=no
gaiety ^nn++++=gaiety.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
continued ^vbd+++xvbn+=continued
the ^ati++++=the
business ^nns+nom+++=business
of ^in++++=of
concealment ^nn+nom+++=concealment.
. ^zz++++=EXTRAWORD
Men ^nns++++=Men
had ^vbd+hvd+aux++=had
seen ^vprf+++xvbnx+=seen
him ^pp3o+pp3+++=him
rise ^nn++++=rise
with ^in++++=with
closed ^jj+atrb++xvbn+=closed
eyes ^nns++++=eyes,
, ^zz++++=EXTRAWORD
shuffle ^nn++++=shuffle
about ^in++++=about
the ^ati++++=the
cabin ^nn++++=cabin,
, ^zz++++=EXTRAWORD
test ^nn++++=test
the ^ati++++=the
latch ^nn++++=latch,
, ^zz++++=EXTRAWORD
mutter ^nn++++=mutter
calculations ^nns+nom+++=calculations,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
return ^nn++++=return
to ^in++++=to
bed ^nn++++=bed.
. ^zz++++=EXTRAWORD
Once ^rb+tm+++=Once
he ^pp3a+pp3+++=he
saddled ^vbd+++xvbnx+=saddled
the ^ati++++=the
mule ^nn++++=mule
at ^in++++=at
three ^cd++++=three
in ^in++++=in
the ^ati++++=the
morning ^nn++++=morning
and ^cc++++=and
attempted ^vb+++xvbn+=attempted
to ^to+vcmp+++=to
put ^vbi++++=put
it ^pp3+it+++=it
into ^in++++=into
a ^at++++=a
packing ^jj+++xvbg+=packing-case.
- ^zz++++=EXTRAWORD
case ^nn++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Another ^dt++++=Another
time ^nn++++=time
he ^pp3a+pp3+++=he
buried ^vbd+++xvbnx+=buried
twelve ^cd++++=twelve
pounds ^nns++++=pounds
of ^in++++=of
bacon ^nn++++=bacon
in ^in++++=in
the ^ati++++=the
snow ^nn++++=snow,
, ^zz++++=EXTRAWORD
then ^rn+tm+++=then
accused ^vbd+++xvbn+=accused
his ^pp$+pp3+++=his
guests ^nns++++=guests
of ^in++++=of
eating ^xvbg+++xvbg+=eating
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
Kent ^np++++=Kent
denied ^vbd+vpub++xvbn+=denied
these ^dt+dem+++=these
performances ^nns+nom+++=performances.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
distrusted ^vbd+++xvbnx+=distrusted
witnesses ^nns+nom+++=witnesses
on ^in++++=on
principle ^nn++++=principle,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
he ^pp3a+pp3+++=he
held ^vbd+vprv++xvbnx+=held
that ^tht+vcmp+++=that
a ^at++++=a
man ^nn++++=man
asleep ^jj++++=asleep
could ^md+pos+++=could
not ^xnot++not++=not
properly ^rb++++=properly
be ^vb+be+aux++=be
said ^vpsv++agls+xvbnx+=said
to ^to+vcmp+++=to
perform ^vbi++++=perform
anything ^pn++++=anything.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
metaphysical ^jj+atrb+++=metaphysical
distinction ^nn+nom+++=distinction
comforted ^vbd+++xvbn+=comforted
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
it ^pp3+it+++=it
did ^vbd+dod+aux++=did
not ^xnot++not++=not
recover ^vb++++=recover
the ^ati++++=the
bacon ^nn++++=bacon.
. ^zz++++=EXTRAWORD
So ^ql++++=So
matters ^nns+nom+++=matters
stood ^vbd+++xvbn+=stood
when ^wrb+who+++=when
Jim ^np++++=Jim
Cardegee ^np+nom++??+=Cardegee
came ^vbd+++xvbn+=came
up ^rp++++=up
the ^ati++++=the
Crooked ^nn++++=Crooked
Elbow ^npl++++=Elbow
trail ^nn++++=trail.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
late ^jj+pred+++=late
in ^in++++=in
January ^nr+nom+++=January,
, ^zz++++=EXTRAWORD
at ^rb++++=at
that ^dt+dem+++=that
uncertain ^jj+atrb+++=uncertain
hour ^nn++++=hour
when ^wrb+who+++=when
the ^ati++++=the
day ^nn++++=day
had ^vbd+hvd+aux++=had
ceased ^vprf+++xvbnx+=ceased
without ^in++++=without
the ^ati++++=the
night ^nn++++=night
having ^vwbg+hvg++xvbg+=having
formally ^rb++++=formally
begun ^vbd+++xvbn+=begun.
. ^zz++++=EXTRAWORD
The ^ati++++=The
Yukon ^np+++??+=Yukon
lay ^vbd+++xvbn+=lay
beneath ^in+pl+++=beneath
a ^at++++=a
white ^jj+atrb+++=white
shroud ^nn++++=shroud,
, ^zz++++=EXTRAWORD
rough ^jj++++=rough-breasted
- ^zz++++=EXTRAWORD
breasted ^jj+++xvbn+=EXTRAWORD
where ^wrb+who+++=where
pressure ^nn++++=pressure-ridges
- ^zz++++=EXTRAWORD
ridges ^nns++++=EXTRAWORD
thrust ^vbd+++xvbn+=thrust
through ^in++++=through
the ^ati++++=the
snow ^nn++++=snow.
. ^zz++++=EXTRAWORD
Frost ^np++++=Frost
smoked ^vbd+++xvbn+=smoked
above ^jjb++++=above
the ^ati++++=the
open ^nn++++=open
leads ^vbz++++=leads.
. ^zz++++=EXTRAWORD
The ^ati++++=The
spruce ^nn++++=spruce-trees,
- ^zz++++=EXTRAWORD
trees ^nns++++=EXTRAWORD
, ^zz++++=EXTRAWORD
black ^jj++++=black
and ^cc+phrs+++=and
rigid ^jj++++=rigid,
, ^zz++++=EXTRAWORD
bore ^j+++xvbn+=bore
their ^pp$+pp3+++=their
burdens ^nns++++=burdens
like ^in++++=like
funeral ^nn++++=funeral
mutes ^nns+++??+=mutes.
. ^zz++++=EXTRAWORD
Across ^in+pl+++=Across
this ^dt+dem+++=this
mortuary ^nn+nom+++=mortuary
landscape ^nn++++=landscape
moved ^vbd+++xvbn+=moved
five ^cd++++=five
dogs ^nns++++=dogs,
, ^zz++++=EXTRAWORD
a ^at++++=a
low ^jj++++=low
sled ^jj+++xvbn+=sled,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
man ^nn++++=man
whose ^whp+rel+obj++=whose
voice ^nn++++=voice
arrived ^vbd+++xvbn+=arrived
half ^abn++++=half
a ^at++++=a
mile ^nn++++=mile
before ^in++++=before
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
" ^zz++++="Gee,
gee ^np++++=EXTRAWORD
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
lop ^nn++++=lop-eared
- ^zz++++=EXTRAWORD
eared ^vwbn+++xvbn+=EXTRAWORD
sons ^npt++++=sons
of ^in++++0=o'
perdition ^nn+nom+++=perdition!
! ^zz++++=EXTRAWORD
Gee ^np++++=Gee,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
says ^vbz+vpub+++=says!
! ^zz++++=EXTRAWORD
Wot ^np+++??+=Wot
d ^zz++++=d'you
'you ^nn+++??+=EXTRAWORD
think ^vb+vprv+tht0++=think
this ^dt+pdem+++=this
is ^vbz+bez+vrb++=is
a ^at++++=a
bloomin ^nn+++??+=bloomin'
' ^zz++++=EXTRAWORD
regatta ^nn++++=regatta?
? ^zz++++=EXTRAWORD
Lay ^j+++xvbn+=Lay
into ^in++++=into
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
Noah ^np++++=Noah!
! ^zz++++=EXTRAWORD
Straighten ^np+++??+=Straighten
that ^tht+rel+++=that
tow ^nn++++=tow-line,
- ^zz++++=EXTRAWORD
line ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
Judas ^np+++??+=Judas!
! ^zz++++=EXTRAWORD
' ^zz++++='Ere,
ere ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
long ^jj++++=long-faced
- ^zz++++=EXTRAWORD
faced ^vbd+++xvbn+=EXTRAWORD
swab ^nn++++=swab,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I'll
'll ^md+prd+++0=EXTRAWORD
teach ^vb+vsua+tht0++=teach
you ^pp2+pp2+++=you
to ^to++++=to
foul ^vbi++++=foul
your ^pp$+pp2+++=your
own ^ap++++=own
rudder ^jjr++++=rudder!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
The ^ati++++=The
dogs ^nns++++=dogs,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
had ^vb+hv+vrb++=had
long ^rb++++=long
since ^cs+sub+++=since
discovered ^vbd+vprv++xvbn+=discovered
that ^tht+vcmp+++=that
Cardegee ^np+nom+++=Cardegee's
's ^$++++=EXTRAWORD
profanity ^nn+nom+++=profanity
was ^vbd+bedz+vrb++=was
atmospheric ^jj+pred+++=atmospheric
rather ^rb++++=rather
than ^in++++=than
punitive ^jj++++=punitive,
, ^zz++++=EXTRAWORD
trotted ^j+++xvbn+=trotted
with ^in++++=with
resigned ^jj+atrb++xvbn+=resigned
ears ^nns++++=ears.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
strode ^vbd+++xvbnx+=strode
behind ^in+pl+++=behind
the ^ati++++=the
sled ^jj+++xvbn+=sled,
, ^zz++++=EXTRAWORD
short ^jj++++=short,
, ^zz++++=EXTRAWORD
immense ^jj++++=immense
in ^in++++=in
the ^ati++++=the
shoulder ^nn+nom+++=shoulder,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
bow ^nn++++=bow-legged
- ^zz++++=EXTRAWORD
legged ^jj+++xvbn+=EXTRAWORD
from ^in++++=from
years ^nns++++=years
at ^rb++++=at
sea ^nn++++=sea.
. ^zz++++=EXTRAWORD
A ^at++++=A
sealskin ^nn++++=sealskin
cap ^nn++++=cap
sat ^vbd+++xvbn+=sat
upon ^in++++=upon
a ^at++++=a
crop ^nn++++=crop
of ^in++++=of
grizzled ^jj+atrb+++=grizzled
hair ^nn++++=hair;
; ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
cheeks ^nns++++=cheeks
were ^vbd+bed+vrb++=were
purple ^jj+pred+++=purple
with ^in++++=with
cold ^nn++++=cold;
; ^zz++++=EXTRAWORD
frost ^np++++=frost
hung ^vbd+++xvbn+=hung
in ^in++++=in
stalactites ^nns++++=stalactites
from ^in++++=from
his ^pp$+pp3+++=his
moustache ^nn++++=moustache.
. ^zz++++=EXTRAWORD
From ^in++++=From
his ^pp$+pp3+++=his
left ^vbd+++xvbn+=left
temple ^npl++++=temple
to ^in++++=to
the ^ati++++=the
corner ^nn++++=corner
of ^in++++=of
his ^pp$+pp3+++=his
mouth ^nn++++=mouth
ran ^vbd+++xvbn+=ran
a ^at++++=a
red ^jj+atrb+++=red,
, ^zz++++=EXTRAWORD
puckered ^jj+atrb++xvbn+=puckered
scar ^nn++++=scar.
. ^zz++++=EXTRAWORD
Kent ^np++++=Kent
saw ^vbd+vprv++xvbn+=saw
the ^ati++++=the
scar ^nn++++=scar
through ^in++++=through
the ^ati++++=the
window ^nn++++=window.
. ^zz++++=EXTRAWORD
For ^in++++=For
a ^at++++=a
moment ^nn++++=moment
he ^pp3a+pp3+++=he
did ^vbd+dod+aux++=did
not ^xnot++not++=not
breathe ^vb++++=breathe.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
recurring ^jj+atrb+++=recurring
nightmare ^nn++++=nightmare,
, ^zz++++=EXTRAWORD
until ^cs+sub+++=until
then ^rn+tm+++=then
an ^at++++=an
inhabitant ^nn+nom+++=inhabitant
of ^in++++=of
the ^ati++++=the
immaterial ^jj+atrb+++=immaterial
world ^nn++++=world,
, ^zz++++=EXTRAWORD
had ^vbd+hvd+aux++=had
put ^vprf+++xvbnx+=put
on ^rb+phrv+++=on
sea ^nn++++=sea-boots
- ^zz++++=EXTRAWORD
boots ^nns++++=EXTRAWORD
and ^cc++++=and
was ^vbd+bedz+aux++=was
abusing ^vbg+++xvbgx+=abusing
dogs ^nns++++=dogs
within ^in++++=within
one ^cd1++++=one
hundred ^cd++++=hundred
yards ^nns++++=yards
of ^in++++=of
the ^ati++++=the
cabin ^nn++++=cabin.
. ^zz++++=EXTRAWORD
Superstition ^nn+nom+++=Superstition,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
is ^vbz+bez+aux++=is
only ^rb+down+splt++=only
fear ^vb++++=fear
decorated ^vbd+++xvbn+=decorated
with ^in++++=with
theory ^nn++++=theory,
, ^zz++++=EXTRAWORD
sprang ^j+++xvbn+=sprang
full ^jj++++=full-grown
- ^zz++++=EXTRAWORD
grown ^vprf+++xvbn+=EXTRAWORD
in ^in++++=in
Kent ^np++++=Kent's
's ^$++++=EXTRAWORD
mind ^nn++++=mind.
. ^zz++++=EXTRAWORD
Here ^rn+pl+++=Here
was ^vbd+bedz+vrb++=was
proof ^nn++++=proof
conclusive ^jj+atrb+++=conclusive,
, ^zz++++=EXTRAWORD
mathematical ^jj+atrb+++=mathematical
proof ^nn++++=proof
that ^tht+ncmp+++=that
his ^pp$+pp3+++=his
dream ^nn++++=dream
had ^vbd+hvd+aux++=had
been ^vprf+ben+vrb+xvbnx+=been
a ^at++++=a
warning ^nn++++=warning.
. ^zz++++=EXTRAWORD
The ^ati++++=The
man ^nn++++=man
had ^vbd+hvd+aux++=had
come ^vprf+++xvbn+=come
for ^in+ppvb+++=for
the ^ati++++=the
gold ^nn++++=gold.
. ^zz++++=EXTRAWORD
Cardegee ^np+nom++??+=Cardegee
kicked ^vbd+++xvbn+=kicked
snow ^nn++++=snow
from ^in++++=from
his ^pp$+pp3+++=his
boots ^nns++++=boots
and ^cc++++=and
entered ^vpsv++agls+xvbn+=entered
without ^in++++=without
ceremony ^nn++++=ceremony.
. ^zz++++=EXTRAWORD
" ^zz++++="Evenin',
evenin ^nn+++??+=EXTRAWORD
', ^nn+++??+=EXTRAWORD
matey ^nn+++??+=matey.
. ^zz++++=EXTRAWORD
Blisterin ^np+++??+=Blisterin'
' ^zz++++=EXTRAWORD
little ^ap++++=little
climate ^nn+nom+++=climate
you ^pp2+pp2+++=you
got ^vbd+++xvbn+=got
' ^zz++++='ere.
ere ^nn+++??+=EXTRAWORD
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I've
've ^vb+hv+aux++0=EXTRAWORD
sailed ^vprf+++xvbnx+=sailed
the ^ati++++=the
Roarin ^np+++??+=Roarin'
' ^zz++++=EXTRAWORD
Forties ^cds++++=Forties
with ^in++++=with
the ^ati++++=the
deck ^nn++++=deck-load
- ^zz++++=EXTRAWORD
load ^nn++++=EXTRAWORD
walkin ^nn+++??+=walkin'
' ^zz++++=EXTRAWORD
overboard ^rb+cnj+++=overboard,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
this ^dt+dem+++=this
' ^zz++++='ere
ere ^nn+++??+=EXTRAWORD
country ^nn++++=country
freezes ^vbz++++=freezes
a ^at++++=a
man ^nn++++=man's
's ^$++++=EXTRAWORD
thoughts ^nns++++=thoughts
before ^cs+sub+++=before
' ^zz++++='e
e ^zz++++=EXTRAWORD
can ^md+pos+++=can
think ^vb+vprv+++=think
' ^zz++++='em."
em ^nn+++??+=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Two
two ^cd++++=EXTRAWORD
dollars ^nns++++=dollars,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Kent ^np++++=Kent
said ^vbd+vpub++xvbn+=said.
. ^zz++++=EXTRAWORD
Cardegee ^np+nom++??+=Cardegee
peered ^vbd+++xvbn+=peered
about ^in+strn+++=about.
. ^zz++++=EXTRAWORD
" ^zz++++="Two
two ^cd++++=EXTRAWORD
dollars ^nns++++=dollars
wot ^wpr++++=wot?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Shelter.
shelter ^nn++++=EXTRAWORD
. ^zz++++=EXTRAWORD
One ^pn++++=One
for ^in++++=for
the ^ati++++=the
fire ^nn++++=fire."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Fire!"
fire ^nn++++=EXTRAWORD
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Cardegee ^np+nom++??+=Cardegee
approached ^vbd+++xvbn+=approached
the ^ati++++=the
stove ^nn++++=stove
and ^cc++++=and
held ^vbd+vprv+tht0+xvbn+=held
his ^pp$+pp3+++=his
mittens ^nns+++??+=mittens
over ^in++++=over
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
call ^vb++++=call
that ^dt+dem+++=that
a ^at++++=a
fire ^nn++++=fire?
? ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I've
've ^vb+hv+aux++0=EXTRAWORD
seen ^vprf+++xvbnx+=seen
warmer ^jjr+atrb+++=warmer
glows ^nns+++??+=glows
on ^in++++=on
a ^at++++=a
dead ^jj+atrb+++=dead
cod ^nn++++=cod's
's ^$++++=EXTRAWORD
conscience ^nn+nom+++=conscience."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Fifty
fifty ^cd++++=EXTRAWORD
cents ^nns++++=cents
for ^in++++=for
snow ^np++++=snow-water."
- ^zz++++=EXTRAWORD
water ^nn++++=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Cardegee ^np+nom++??+=Cardegee
turned ^vbd+++xvbn+=turned
slowly ^rb++++=slowly.
. ^zz++++=EXTRAWORD
The ^ati++++=The
scar ^nn++++=scar
twisted ^vbd+++xvbn+=twisted
when ^wrb+who+++=when
he ^pp3a+pp3+++=he
grinned ^vbd+++xvbnx+=grinned,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Kent ^np++++=Kent's
's ^$++++=EXTRAWORD
scalp ^nn++++=scalp
tightened ^vbd+++xvbn+=tightened.
. ^zz++++=EXTRAWORD
" ^zz++++="Wot's
wot ^wpr++++=EXTRAWORD
's ^vbz+bez+vrb++0=EXTRAWORD
the ^ati++++=the
matter ^nn++++=matter
with ^in++++=with
you ^pp2+pp2+++=you?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Nothing."
nothing ^pn++++=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Then
then ^rn+tm+++=EXTRAWORD
why ^wrb+who+++=why're
're ^vb+ber+vrb++0=EXTRAWORD
you ^pp2+pp2+++=you
sellin ^nn+++??+=sellin'
' ^zz++++=EXTRAWORD
the ^ati++++=the
weather ^nn++++=weather
by ^in++++=by
the ^ati++++=the
spoonful ^nn+nom+++=spoonful?
? ^zz++++=EXTRAWORD
Who ^whp+who+++=Who
made ^vwbn+++xvbn+=made
you ^pp2+pp2+++=you
skipper ^nn++++=skipper
of ^in++++0=o'
this ^dt+dem+++=this
deck ^nn++++=deck-house?"
- ^zz++++=EXTRAWORD
house ^npl++++=EXTRAWORD
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="It's
it ^pp3+it+++=EXTRAWORD
's ^vbz+bez+vrb++0=EXTRAWORD
my ^pp$+pp1+++=my
cabin ^nn++++=cabin."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Built
built ^vwbn+++xvbn+=EXTRAWORD
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
did ^vbd+dod+vrb++=did
you ^pp2+pp2+++=you?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
own ^ap++++=own
it ^pp3+it+++=it."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Aye,
aye ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++0=an'
I ^pp1a+pp1+++=I
own ^ap++++=own
the ^ati++++=the
North ^np+pl+++=North
Star ^nn++++=Star,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
I ^pp1a+pp1+++=I
do ^vb+do+vrb++=don't
n't ^xnot++not++0=EXTRAWORD
charge ^nn++++=charge
sailors ^nns++++=sailors
for ^in++++=for
steerage ^nn+nom+++=steerage."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Cardegee ^np+nom++??+=Cardegee
removed ^vwbn+++xvbn+=removed
his ^pp$+pp3+++=his
coat ^nn++++=coat.
. ^zz++++=EXTRAWORD
" ^zz++++="Three
three ^cd++++=EXTRAWORD
dollars ^nns++++=dollars
and ^cc++++0=an'
a ^at++++=a
half ^nn++++=half,
, ^zz++++=EXTRAWORD
is ^vbz+bez+vrb++=is
it ^pp3+it+++=it?
? ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I'll
'll ^md+prd+++0=EXTRAWORD
pay ^vb++++=pay.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
ai ^vb+be+++=ain't
n't ^xnot++not++0=EXTRAWORD
goin ^nn+++??+=goin'
' ^zz++++=EXTRAWORD
outside ^jjb++++=outside
to ^to++++=to
freeze ^vbi++++=freeze
merely ^rb+down+++=merely
to ^to++++=to
improve ^vbi++++=improve
your ^pp$+pp2+++=your
morals ^nns++++=morals."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
flung ^vbd+++xvbnx+=flung
a ^at++++=a
small ^jj+atrb+++=small
buckskin ^nn+++??+=buckskin
pouch ^nn+++??+=pouch
upon ^in++++=upon
the ^ati++++=the
table ^nn++++=table.
. ^zz++++=EXTRAWORD
Kent ^np++++=Kent
caught ^vbd+++xvbn+=caught
it ^pp3+it+++=it
before ^cs+sub+++=before
it ^pp3+it+++=it
ceased ^vbd+++xvbn+=ceased
sliding ^jj+++xvbg+=sliding
and ^cc+phrs+++=and
weighed ^jj+++xvbn+=weighed
it ^pp3+it+++=it
in ^in++++=in
his ^pp$+pp3+++=his
palm ^nn++++=palm.
. ^zz++++=EXTRAWORD
" ^zz++++="Light,"
light ^jj++++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said.
. ^zz++++=EXTRAWORD
" ^zz++++="Light?
light ^jj++++=EXTRAWORD
? ^zz++++=EXTRAWORD
Wot ^np+++??+=Wot
d ^zz++++=d'you
'you ^nn+++??+=EXTRAWORD
mean ^jj++++=mean,
, ^zz++++=EXTRAWORD
light ^jj++++=light?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Not
not ^xnot++not++=EXTRAWORD
three ^cd++++=three
dollars ^nns++++=dollars
and ^cc++++=and
a ^at++++=a
half ^nn++++=half."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Cardegee ^np+nom++??+=Cardegee
snatched ^vbd+++xvbn+=snatched
it ^pp3+it+++=it
back ^jjb++++=back,
, ^zz++++=EXTRAWORD
opened ^j+++xvbn+=opened
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
spilled ^vbd+++xvbn+=spilled
several ^ap++++=several
pinches ^nns++++=pinches
of ^in++++=of
dust ^nn++++=dust
into ^in++++=into
Kent ^np++++=Kent's
's ^$++++=EXTRAWORD
scale ^nn++++=scale.
. ^zz++++=EXTRAWORD
" ^zz++++="There!
there ^rn+pl+++=EXTRAWORD
! ^zz++++=EXTRAWORD
Weigh ^vb++++=Weigh
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
assay ^nn++++=assay
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
marry ^vb++++=marry
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
and ^cc+cls+++0=an'
raise ^vb++++=raise
a ^at++++=a
family ^nn++++=family
by ^in++++=by
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
tell ^vb++++=tell
Jim ^np++++=Jim
Cardegee ^np+nom++??+=Cardegee
' ^zz++++='is
is ^vbz+bez+aux++=EXTRAWORD
reckoning ^nn++++=reckoning's
's ^$++++=EXTRAWORD
light ^nn++++=light."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="You're
you ^pp2+pp2+++=EXTRAWORD
're ^vb+ber+vrb++0=EXTRAWORD
a ^at++++=a
sailor ^nn++++=sailor."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Wot's
wot ^wpr++++=EXTRAWORD
's ^vbz+bez+vrb++0=EXTRAWORD
that ^cs+sub+++=that
to ^in++++=to
you ^pp2+pp2+++=you?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Where'd
where ^wrb+who+++=EXTRAWORD
'd ^md+prd+vrb++0=EXTRAWORD
you ^pp2+pp2+++=you
get ^vb++++=get
the ^ati++++=the
scar ^nn++++=scar?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Cardegee ^np+nom+++=Cardegee's
's ^$++++=EXTRAWORD
eyes ^nns++++=eyes
narrowed ^vbd+++xvbn+=narrowed.
. ^zz++++=EXTRAWORD
" ^zz++++="Wot's
wot ^wpr++++=EXTRAWORD
's ^vbz+bez+vrb++0=EXTRAWORD
that ^cs+sub+++=that
to ^in++++=to
you ^pp2+pp2+++=you?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="How'd
how ^wrb+who+++0=EXTRAWORD
'd ^md+prd+vrb++=EXTRAWORD
you ^pp2+pp2+++=you
get ^vb++++=get
it ^pp3+it+++=it?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="From
