# ^zz++++=###
# ^zz++++=EXTRAWORD
# ^zz++++=EXTRAWORD
Easter ^np++++=Easter
theatrical ^jj++++=theatrical,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
he ^pp3a+pp3+++=he
smiled ^vbd+++xvbnx+=smiled;
; ^zz++++=EXTRAWORD
yet ^rb++++=yet
during ^in++++=during
the ^ati++++=the
night ^nn++++=night
he ^pp3a+pp3+++=he
woke ^vbd+++xvbnx+=woke
twice ^rb++++=twice
with ^in++++=with
the ^ati++++=the
same ^ap++++=same
words ^nns++++=words
in ^in++++=in
his ^pp$+pp3+++=his
mind ^nn++++=mind.
. ^zz++++=EXTRAWORD
From ^in++++=From
Moscow ^np++++=Moscow
he ^pp3a+pp3+++=he
travelled ^vbd+++xvbnx+=travelled
to ^in++++=to
Odessa ^np+++??+=Odessa,
, ^zz++++=EXTRAWORD
intending ^vb+++xvbg+=intending
to ^to+vcmp+++=to
take ^vbi++++=take
the ^ati++++=the
steamer ^nn++++=steamer
to ^in++++=to
Sevastopol ^np+++??+=Sevastopol
and ^cc++++=and
then ^rn+tm+++=then
continue ^vb++++=continue
to ^in++++=to
his ^pp$+pp3+++=his
regiment ^nn+nom+++=regiment
in ^in++++=in
Crimea ^np++++=Crimea.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
Easter ^np++++=Easter
Eve ^nn++++=Eve.
. ^zz++++=EXTRAWORD
Odessa ^np+++??+=Odessa
lay ^vbd+++xvbn+=lay
beneath ^in+pl+++=beneath
a ^at++++=a
pale ^nn++++=pale,
, ^zz++++=EXTRAWORD
windy ^jj+atrb+++=windy
sky ^nn++++=sky;
; ^zz++++=EXTRAWORD
the ^ati++++=the
sea ^nn++++=sea
was ^vbd+bedz+vrb++=was
the ^ati++++=the
colour ^nn++++=colour
of ^in++++=of
a ^at++++=a
sword ^nn++++=sword
blade ^nn++++=blade,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
steep ^jj+atrb+++=steep
streets ^nns++++=streets
leading ^vwbg+++xvbg+=leading
down ^rp++++=down
toward ^in++++=toward
the ^ati++++=the
harbour ^nn++++=harbour
glittered ^vbd+++xvbn+=glittered
after ^in++++=after
rain ^nn++++=rain.
. ^zz++++=EXTRAWORD
Cabs ^np+++??+=Cabs
rattled ^vwbn+++xvbn+=rattled
over ^in++++=over
the ^ati++++=the
stones ^nns++++=stones,
, ^zz++++=EXTRAWORD
Greek ^jj+atrb+++=Greek
merchants ^nns+nom+++=merchants
shouted ^vbd+vpub++xvbn+=shouted,
, ^zz++++=EXTRAWORD
bells ^nns++++=bells
rang ^vbd+++xvbn+=rang
from ^in++++=from
churches ^npl++++=churches
hidden ^vbd+++xvbn+=hidden
among ^in++++=among
warehouses ^nns++++=warehouses,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
everywhere ^rb++++=everywhere
women ^nns++++=women
carried ^vbd+++xvbn+=carried
covered ^vprf+++xvbn+=covered
baskets ^nns++++=baskets
from ^in++++=from
which ^whp+rel+pied++=which
came ^vbd+++xvbn+=came
the ^ati++++=the
warm ^jj+atrb+++=warm
smells ^nns++++=smells
of ^in++++=of
saffron ^nn++++=saffron
bread ^nn++++=bread,
, ^zz++++=EXTRAWORD
smoked ^jj+atrb++xvbn+=smoked
fish ^nns++++=fish
and ^cc++++=and
vanilla ^nn+++??+=vanilla.
. ^zz++++=EXTRAWORD
The ^ati++++=The
steamer ^nn++++=steamer,
, ^zz++++=EXTRAWORD
the ^ati++++=the
*saint ^jj+++xvbn+=*Saint
Olga* ^np+++??+=Olga*,
, ^zz++++=EXTRAWORD
was ^vbd+bedz+vrb++=was
small ^jj+pred+++=small,
, ^zz++++=EXTRAWORD
freshly ^rb++++=freshly
painted ^jj+++xvbn+=painted
and ^cc++++=and
almost ^rb+hdg+++=almost
empty ^jj++++=empty.
. ^zz++++=EXTRAWORD
Most ^ql+emph+++=Most
sensible ^jj+atrb+++=sensible
travellers ^nns+nom+++=travellers,
, ^zz++++=EXTRAWORD
the ^ati++++=the
clerk ^nn++++=clerk
informed ^vbd+++xvbn+=informed
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
preferred ^vb+++xvbn+=preferred
to ^to+vcmp+++=to
spend ^vbi++++=spend
Easter ^np++++=Easter
on ^in++++=on
land ^nn++++=land
rather ^rb++++=rather
than ^in++++=than
among ^in++++=among
ropes ^nns++++=ropes,
, ^zz++++=EXTRAWORD
seasick ^jj+atrb+++=seasick
children ^nns++++=children
and ^cc++++=and
indifferent ^jj+atrb+++=indifferent
cooks ^nns++++=cooks.
. ^zz++++=EXTRAWORD
Voznitsin ^np+++??+=Voznitsin
found ^vbd+vprv++xvbn+=found
this ^dt+dem+++=this
circumstance ^nn+nom+++=circumstance
pleasant ^jj++++=pleasant.
. ^zz++++=EXTRAWORD
The ^ati++++=The
wet ^jj+atrb+++=wet
deck ^nn++++=deck
shone ^vbd+++xvbn+=shone;
; ^zz++++=EXTRAWORD
brass ^nn++++=brass
fittings ^nns++++=fittings
glimmered ^vbd+++xvbn+=glimmered
in ^in++++=in
the ^ati++++=the
milky ^nn+++??+=milky
light ^jj++++=light;
; ^zz++++=EXTRAWORD
from ^in++++=from
below ^in+pl+++=below
came ^vbd+++xvbn+=came
the ^ati++++=the
odours ^nns++++=odours
of ^in++++=of
hot ^jj+atrb+++=hot
metal ^nn++++=metal,
, ^zz++++=EXTRAWORD
varnish ^nn++++=varnish,
, ^zz++++=EXTRAWORD
oranges ^nns++++=oranges,
, ^zz++++=EXTRAWORD
tar ^nn++++=tar
and ^cc++++=and
something ^pn++++=something
anciently ^jj+atrb+++=anciently
marine ^jj+atrb+++=marine
seaweed ^nn++++=seaweed,
, ^zz++++=EXTRAWORD
rope ^nn++++=rope
and ^cc++++=and
fish ^nn++++=fish
scales ^nns++++=scales
which ^whp+rel+obj++=which
no ^at++++=no
cleanliness ^nns+nom+++=cleanliness
could ^md+pos+++=could
conquer ^vb++++=conquer.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
placed ^vbd+++xvbnx+=placed
his ^pp$+pp3+++=his
valise ^nn++++=valise
in ^in++++=in
the ^ati++++=the
cabin ^nn++++=cabin
and ^cc++++=and
returned ^vpsv++agls+xvbn+=returned
to ^in++++=to
the ^ati++++=the
deck ^nn++++=deck
as ^ql++++=as
the ^ati++++=the
last ^jj+atrb+++=last
cargo ^nn++++=cargo
was ^vbd+bedz+aux++=was
loaded ^vpsv++agls+xvbnx+=loaded.
. ^zz++++=EXTRAWORD
A ^at++++=A
cage ^nn++++=cage
containing ^vwbg+++xvbg+=containing
two ^cd++++=two
turkeys ^vbz+++??+=turkeys
stood ^vprf+++xvbn+=stood
beside ^in+pl+++=beside
the ^ati++++=the
hatch ^nn++++=hatch.
. ^zz++++=EXTRAWORD
The ^ati++++=The
birds ^nns++++=birds,
, ^zz++++=EXTRAWORD
naked ^jj++++=naked-headed
- ^zz++++=EXTRAWORD
headed ^vbd+++xvbn+=EXTRAWORD
and ^cc++++=and
mournful ^jj++++=mournful,
, ^zz++++=EXTRAWORD
thrust ^j+++xvbn+=thrust
their ^pp$+pp3+++=their
necks ^nns++++=necks
forward ^rb++++=forward
with ^in++++=with
the ^ati++++=the
solemnity ^nn+nom+++=solemnity
of ^in++++=of
antediluvian ^jj+atrb+++=antediluvian
monsters ^nns+nom+++=monsters.
. ^zz++++=EXTRAWORD
Near ^in+pl+++=Near
them ^pp3o+pp3+++=them
a ^at++++=a
sailor ^nn++++=sailor
slept ^vbd+++xvbn+=slept
upon ^in++++=upon
a ^at++++=a
coil ^nn++++=coil
of ^in++++=of
rope ^nn++++=rope,
, ^zz++++=EXTRAWORD
one ^cd1++++=one
cheek ^nn++++=cheek
flattened ^vwbn+++xvbn+=flattened
against ^in++++=against
his ^pp$+pp3+++=his
sleeve ^nn++++=sleeve.
. ^zz++++=EXTRAWORD
Only ^rb+down+++=Only
three ^cd++++=three
first ^od++++=first-class
- ^zz++++=EXTRAWORD
class ^nn++++=EXTRAWORD
passengers ^nns+nom+++=passengers
were ^vbd+bed+vrb++=were
visible ^jj+pred+++=visible:
: ^zz++++=EXTRAWORD
a ^at++++=a
stout ^jj+atrb+++=stout
commercial ^jj+atrb+++=commercial
traveller ^nn+nom+++=traveller
who ^whp+rel+subj++=who
immediately ^rb+tm+++=immediately
disappeared ^vbd+seem++xvbn+=disappeared
into ^in++++=into
the ^ati++++=the
dining ^jj+atrb++xvbg+=dining
saloon ^nn++++=saloon,
, ^zz++++=EXTRAWORD
a ^at++++=a
young ^jj+atrb+++=young
woman ^nn++++=woman
in ^in++++=in
a ^at++++=a
blue ^jj+atrb+++=blue
cloak ^nn++++=cloak,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
an ^at++++=an
older ^jjr++++=older
lady ^npt++++=lady
seated ^vbd+++xvbn+=seated
beneath ^in+pl+++=beneath
the ^ati++++=the
awning ^nn++++=awning.
. ^zz++++=EXTRAWORD
The ^ati++++=The
older ^jjr++++=older
lady ^npt++++=lady
was ^vbd+bedz+vrb++=was
perhaps ^rb++++=perhaps
thirty ^cd++++=thirty-eight,
- ^zz++++=EXTRAWORD
eight ^cd++++=EXTRAWORD
, ^zz++++=EXTRAWORD
perhaps ^rb++++=perhaps
forty ^cd++++=forty-five
- ^zz++++=EXTRAWORD
five ^cd++++=EXTRAWORD
an ^at++++=an
age ^nn++++=age
which ^whp+rel+obj++=which
Voznitsin ^np+++??+=Voznitsin,
, ^zz++++=EXTRAWORD
where ^wrb+who+++=where
women ^nns++++=women
were ^vbd+bed+aux++=were
concerned ^vpsv++agls+xvbnx+=concerned,
, ^zz++++=EXTRAWORD
ordinarily ^rb++++=ordinarily
judged ^vbd+vprv++xvbn+=judged
with ^in++++=with
cruel ^jj+atrb+++=cruel
accuracy ^nn+nom+++=accuracy.
. ^zz++++=EXTRAWORD
Her ^pp$+pp3+++=Her
figure ^nn++++=figure
had ^vbd+hvd+aux++=had
thickened ^vprf+++xvbn+=thickened;
; ^zz++++=EXTRAWORD
her ^pp$+pp3+++=her
hair ^nn++++=hair,
, ^zz++++=EXTRAWORD
under ^in++++=under
a ^at++++=a
travelling ^jj+atrb++xvbg+=travelling
hat ^nn++++=hat,
, ^zz++++=EXTRAWORD
was ^vbd+bedz+aux++=was
threaded ^vpsv++agls+xvbnx+=threaded
with ^in++++=with
grey ^nn++++=grey;
; ^zz++++=EXTRAWORD
the ^ati++++=the
skin ^nn++++=skin
around ^rp++++=around
her ^pp3o+pp3+++=her
eyes ^nns++++=eyes
was ^vbd+bedz+aux++=was
delicately ^rb++splt++=delicately
folded ^vpsv++agls+xvbnx+=folded.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
wore ^vbd+++xvbnx+=wore
gloves ^nns++++=gloves
of ^in++++=of
good ^jj+atrb+++=good
quality ^nn+nom+++=quality,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
one ^cd1++++=one
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
mended ^vpsv++agls+xvbnx+=mended
near ^in+pl+++=near
the ^ati++++=the
thumb ^nn++++=thumb,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
held ^vpsv++agls+xvbn+=held
on ^in++++=on
her ^pp$+pp3+++=her
knees ^nns++++=knees
a ^at++++=a
small ^jj+atrb+++=small
leather ^nn++++=leather
case ^nn++++=case.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
was ^vbd+bedz+vrb++=was
nothing ^pn++++=nothing
remarkable ^jj++++=remarkable
in ^in++++=in
her ^pp$+pp3+++=her
appearance ^nn+nom+++=appearance.
. ^zz++++=EXTRAWORD
Nevertheless ^rb+cnj+++=Nevertheless,
, ^zz++++=EXTRAWORD
as ^ql++++=as
Voznitsin ^np+++??+=Voznitsin
passed ^vbd+++xvbn+=passed,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
raised ^vbd+++xvbnx+=raised
her ^pp3o+pp3+++=her
eyes ^nns++++=eyes,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
something ^pn++++=something
in ^in++++=in
the ^ati++++=the
movement ^nn+nom+++=movement
quick ^jj++++=quick,
, ^zz++++=EXTRAWORD
expectant ^jj++++=expectant,
, ^zz++++=EXTRAWORD
almost ^rb+hdg+++=almost
mischievous ^jj++++=mischievous
made ^vbd+++xvbn+=made
him ^pp3o+pp3+++=him
look ^vb++++=look
again ^rb+tm+++=again.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She,
, ^zz++++=EXTRAWORD
too ^rb+cnj+++=too,
, ^zz++++=EXTRAWORD
looked ^j+++xvbn+=looked
at ^rb++++=at
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
bowed ^vbd+++xvbnx+=bowed
with ^in++++=with
the ^ati++++=the
involuntary ^jj+atrb+++=involuntary
politeness ^nns+nom+++=politeness
of ^in++++=of
travellers ^nns+nom+++=travellers
who ^whp+rel+subj++=who
expect ^vb+vprv+++=expect
to ^to+vcmp+++=to
share ^vbi++++=share
several ^ap++++=several
meals ^nns++++=meals
and ^cc++++=and
perhaps ^rb++++=perhaps
a ^at++++=a
storm ^nn++++=storm.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
walked ^vbd+++xvbnx+=walked
to ^in++++=to
the ^ati++++=the
stern ^nn++++=stern.
. ^zz++++=EXTRAWORD
The ^ati++++=The
gangway ^nn++++=gangway
was ^vbd+bedz+aux++=was
drawn ^vpsv++agls+xvbnx+=drawn
up ^rb+phrv+++=up;
; ^zz++++=EXTRAWORD
the ^ati++++=the
water ^nn++++=water
widened ^vbd+++xvbn+=widened
between ^in++++=between
the ^ati++++=the
steamer ^nn++++=steamer
and ^cc++++=and
the ^ati++++=the
quay ^nn++++=quay;
; ^zz++++=EXTRAWORD
handkerchiefs ^nns+++??+=handkerchiefs
fluttered ^vbd+++xvbn+=fluttered,
, ^zz++++=EXTRAWORD
though ^rb+cnj+++=though
hardly ^rb+down+++=hardly
anyone ^pn++++=anyone
on ^in++++=on
shore ^nn++++=shore
had ^vbd+hvd+aux++=had
come ^vprf+++xvbn+=come
to ^to++++=to
bid ^vbi++++=bid
farewell ^nn++++=farewell
to ^in++++=to
those ^dt+dem+++=those
aboard ^in+strn+++=aboard.
. ^zz++++=EXTRAWORD
Odessa ^np+++??+=Odessa
began ^vbd+++xvbn+=began
to ^to++++=to
move ^vbi++++=move
slowly ^rb++++=slowly
away ^rp+pl+++=away,
, ^zz++++=EXTRAWORD
its ^pp$+it+++=its
houses ^nns++++=houses
rising ^vwbg+++xvbg+=rising
in ^in++++=in
pale ^jj+atrb+++=pale
terraces ^nns++++=terraces,
, ^zz++++=EXTRAWORD
its ^pp$+it+++=its
cupolas ^nns+++??+=cupolas
and ^cc++++=and
chimneys ^nns++++=chimneys
suspended ^vwbn+++xvbn+=suspended
in ^in++++=in
a ^at++++=a
rose ^vbd+++xvbn+=rose-grey
- ^zz++++=EXTRAWORD
grey ^np++++=EXTRAWORD
mist ^nn++++=mist.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
Voznitsin ^np+++??+=Voznitsin
turned ^vbd+++xvbn+=turned,
, ^zz++++=EXTRAWORD
the ^ati++++=the
lady ^nn++++=lady
was ^vbd+bedz+aux++=was
still ^rb++splt++=still
watching ^vbg+++xvbgx+=watching
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
" ^zz++++="Forgive
forgive ^vb++++=EXTRAWORD
me ^pp1o+pp1+++=me,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
said ^vbd+vpub++xvbnx+=said.
. ^zz++++=EXTRAWORD
" ^zz++++="Are
are ^vb+ber+vrb++=EXTRAWORD
you ^pp2+pp2+++=you
not ^xnot++not++=not
Nikolai ^np+++??+=Nikolai
Andreyevich ^np+++??+=Andreyevich
Voznitsin ^np+++??+=Voznitsin?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Her ^pp$+pp3+++=Her
voice ^nn++++=voice
struck ^vbd+++xvbn+=struck
him ^pp3o+pp3+++=him
more ^rbr++++=more
forcibly ^rb++++=forcibly
than ^cs+sub+++=than
her ^pp3o+pp3+++=her
eyes ^nns++++=eyes
had ^vbd+hvd+aux++=had
done ^vprf+++xvbnx+=done.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
deeper ^jjr+pred+++=deeper
than ^in++++=than
the ^ati++++=the
voice ^nn++++=voice
he ^pp3a+pp3+++=he
remembered ^vbd+vprv++xvbnx+=remembered,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
careful ^jj++++=careful,
, ^zz++++=EXTRAWORD
as ^ql++++=as
women ^nns++++=women's
's ^$++++=EXTRAWORD
voices ^nns++++=voices
become ^vb++++=become
after ^in++++=after
years ^nns++++=years
of ^in++++=of
ordering ^xvbg+++xvbg+=ordering
servants ^nns+nom+++=servants
and ^cc++++=and
calming ^jj+atrb+++=calming
children ^nns++++=children;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
beneath ^in+pl+++=beneath
it ^pp3+it+++=it
sounded ^vbd+++xvbn+=sounded
a ^at++++=a
lighter ^jjr+atrb+++=lighter
note ^nn++++=note,
, ^zz++++=EXTRAWORD
teasing ^jj++++=teasing
and ^cc+phrs+++=and
swift ^jj++++=swift.
. ^zz++++=EXTRAWORD
" ^zz++++="Yes,"
yes ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
replied ^vbd+vpub++xvbnx+=replied.
. ^zz++++=EXTRAWORD
" ^zz++++="And
and ^cc++++=EXTRAWORD
you ^pp2+pp2+++=you
" ^zz++++="
She ^pp3a+pp3+++=She
smiled ^vbd+++xvbnx+=smiled,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
in ^in++++=in
the ^ati++++=the
smile ^nn++++=smile
her ^pp3o+pp3+++=her
ageing ^vbg+++xvbg+=ageing
face ^nn++++=face
was ^vbd+bedz+vrb++=was
for ^in++++=for
one ^cd1++++=one
instant ^jj++++=instant
displaced ^vpsv++by+xvbn+=displaced
by ^in++++=by
another ^ppls++++=another:
: ^zz++++=EXTRAWORD
a ^at++++=a
narrow ^jj++++=narrow
brown ^jj++++=brown
face ^vb++++=face
sprinkled ^vbd+++xvbn+=sprinkled
with ^in++++=with
freckles ^nns+++??+=freckles,
, ^zz++++=EXTRAWORD
with ^in++++=with
red ^jj+atrb+++=red
lips ^nns++++=lips
and ^cc++++=and
eyes ^nns++++=eyes
that ^tht+rel+subj++=that
never ^rb++++=never
asked ^vbd+vsua++xvbn+=asked
permission ^nn++++=permission
before ^in++++=before
laughing ^nn++++=laughing.
. ^zz++++=EXTRAWORD
" ^zz++++="Lenotchka
lenotchka ^nn+++??+=EXTRAWORD
Yurlof ^np+++??+=Yurlof!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Elena
elena ^nn+++??+=EXTRAWORD
Sergeyevna ^np+++??+=Sergeyevna
Lvova ^np+++??+=Lvova
now ^rn+tm+++=now."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Lenotchka!"
lenotchka ^nn+++??+=EXTRAWORD
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
seized ^vbd+++xvbnx+=seized
both ^abx++++=both
her ^pp$+pp3+++=her
hands ^nns++++=hands.
. ^zz++++=EXTRAWORD
The ^ati++++=The
leather ^nn++++=leather
case ^nn++++=case
fell ^vbd+++xvbn+=fell
from ^in++++=from
her ^pp$+pp3+++=her
knees ^nns++++=knees;
; ^zz++++=EXTRAWORD
neither ^dt++neg++=neither
noticed ^jj+++xvbn+=noticed
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
Voznitsin ^np+++??+=Voznitsin
looked ^vbd+++xvbn+=looked
at ^rb++++=at
her ^pp3o+pp3+++=her
forehead ^nn++++=forehead,
, ^zz++++=EXTRAWORD
her ^pp$+pp3+++=her
cheeks ^nns++++=cheeks,
, ^zz++++=EXTRAWORD
the ^ati++++=the
grey ^jj+atrb+++=grey
hair ^nn++++=hair
beside ^in+pl+++=beside
her ^pp$+pp3+++=her
ear ^nn++++=ear,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
then ^rn+tm+++=then
again ^rb+tm+++=again
at ^rb++++=at
her ^pp3o+pp3+++=her
eyes ^nns++++=eyes.
. ^zz++++=EXTRAWORD
Recognition ^nn+nom+++=Recognition
did ^vbd+dod+aux++=did
not ^xnot++not++=not
occur ^vb++++=occur
all ^rb++++=all
at ^rb++++=at
once ^rb"+tm+++=once;
; ^zz++++=EXTRAWORD
it ^pp3+it+++=it
advanced ^vbd+++xvbn+=advanced
in ^in++++=in
waves ^nns++++=waves,
, ^zz++++=EXTRAWORD
the ^ati++++=the
woman ^nn++++=woman
alternating ^jj++++=alternating
with ^in++++=with
the ^ati++++=the
girl ^nn++++=girl,
, ^zz++++=EXTRAWORD
so ^ql++++=so
that ^cs+sub+++=that
he ^pp3a+pp3+++=he
saw ^vbd+vprv++xvbnx+=saw
now ^rn+tm+++=now
Madame ^npt++++=Madame
Lvova ^np+++??+=Lvova,
, ^zz++++=EXTRAWORD
respectably ^rb++++=respectably
dressed ^vbd+++xvbn+=dressed
and ^cc++++=and
a ^rb++++=a
little ^rb"++++=little
tired ^jj+++xvbn+=tired,
, ^zz++++=EXTRAWORD
now ^rn+dspt+++=now
Lenotchka ^np+++??+=Lenotchka
running ^vwbg+++xvbg+=running
through ^in++++=through
a ^at++++=a
garden ^nn++++=garden
with ^in++++=with
one ^cd1++++=one
stocking ^nn++++=stocking
falling ^vwbg+++xvbg+=falling
down ^rp++++=down.
. ^zz++++=EXTRAWORD
" ^zz++++="Kolya,"
kolya ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
said ^vbd+vpub++xvbnx+=said
softly ^rb++++=softly.
. ^zz++++=EXTRAWORD
" ^zz++++="How
how ^wrb+who+++=EXTRAWORD
extraordinary ^jj++++=extraordinary!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
No ^at++++=No
one ^cd1++++=one
had ^vbd+hvd+aux++=had
called ^vprf+++xvbnx+=called
him ^pp3o+pp3+++=him
Kolya ^np+++??+=Kolya
for ^in++++=for
many ^ap++++=many
years ^nns++++=years.
. ^zz++++=EXTRAWORD
The ^ati++++=The
name ^nn++++=name
seemed ^vbd+seem++xvbn+=seemed
to ^to+vcmp+++=to
touch ^vbi++++=touch
him ^pp3o+pp3+++=him
physically ^rb+cnj+++=physically,
, ^zz++++=EXTRAWORD
like ^in++++=like
a ^at++++=a
hand ^nn++++=hand
laid ^vbd+++xvbn+=laid
on ^rb+phrv+++=on
his ^pp$+pp3+++=his
bare ^jj+atrb+++=bare
head ^nn++++=head.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
sat ^vbd+++xvbnx+=sat
side ^nn++++=side
by ^in++++=by
side ^nn++++=side.
. ^zz++++=EXTRAWORD
For ^in++++=For
a ^at++++=a
while ^cs+sub+++=while
they ^pp3a+pp3+++=they
could ^md+pos+++=could
only ^rb+down+++=only
laugh ^nn++++=laugh
and ^cc++++=and
ask ^vb++++=ask
questions ^nns+nom+++=questions
without ^in++++=without
waiting ^xvbg+++xvbg+=waiting
for ^in++++=for
answers ^nns+nom+++=answers.
. ^zz++++=EXTRAWORD
" ^zz++++="Your
your ^pp$+pp2+++=EXTRAWORD
mother ^nn++++=mother?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Dead,
dead ^jj++++=EXTRAWORD
, ^zz++++=EXTRAWORD
twelve ^cd++++=twelve
years ^nns++++=years
ago ^rb++++=ago."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="And
and ^cc++++=EXTRAWORD
Sergei ^np+++??+=Sergei?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Poor
poor ^jj+atrb+++=EXTRAWORD
Seryozha ^np+++??+=Seryozha
died ^vbd+++xvbn+=died
in ^in++++=in
Turkestan ^np+nom++??+=Turkestan.
. ^zz++++=EXTRAWORD
Fever ^nn++++=Fever.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
remember ^nn+nom+++=remember
how ^wrb+who+++=how
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
always ^rb++++=always
catching ^xvbg+++xvbg+=catching
beetles ^vbz+++??+=beetles?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="And
and ^cc++++=EXTRAWORD
Katya ^np+++??+=Katya?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="A
a ^at++++=EXTRAWORD
doctor ^nn++++=doctor,
, ^zz++++=EXTRAWORD
imagine ^vb+vprv+++=imagine!
! ^zz++++=EXTRAWORD
In ^in++++=In
Tver ^np+++??+=Tver.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
terrifies ^vbz++++=terrifies
the ^ati++++=the
whole ^jj+atrb+++=whole
province ^nn++++=province
and ^cc++++=and
cures ^nns++++=cures
half ^nn++++=half
of ^in++++=of
it ^pp3+it+++=it."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
are ^vb+ber+aux++=are
married ^vpsv++agls+xvbnx+=married?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Of
of ^in+emph+++=EXTRAWORD
course ^nn+emph"+++=course.
. ^zz++++=EXTRAWORD
To ^in++++=To
Dmitri ^np+++??+=Dmitri
Pavlovich ^np+++??+=Pavlovich
Lvov ^np+++??+=Lvov.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
serves ^vbz++++=serves
in ^in++++=in
the ^ati++++=the
Ministry ^nn++++=Ministry
of ^in++++=of
Finance ^nn+nom+++=Finance.
. ^zz++++=EXTRAWORD
A ^at++++=A
very ^ql+amp+++=very
good ^jj+atrb+++=good
man ^nn++++=man
you ^pp2+pp2+++=you
need ^vb++++=need
not ^xnot++not++=not
look ^vb++++=look
so ^ql+emph+++=so
solemn ^jj++++=solemn.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
I ^pp1a+pp1+++=I
have ^vb+hv+vrb++=have
a ^at++++=a
daughter ^nn+nom+++=daughter."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="A
a ^at++++=EXTRAWORD
daughter ^nn+nom+++=daughter!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Seventeen.
seventeen ^cd++++=EXTRAWORD
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
is ^vbz+bez+vrb++=is
below ^in+strn+++=below,
, ^zz++++=EXTRAWORD
quarrelling ^vbg+nom++xvbg+=quarrelling
with ^in++++=with
a ^at++++=a
trunk ^nn++++=trunk."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="And
and ^cc++++=EXTRAWORD
you ^pp2+pp2+++=you?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
asked ^vbd+vsua++xvbnx+=asked.
. ^zz++++=EXTRAWORD
" ^zz++++="Wife?
wife ^nn++++=EXTRAWORD
? ^zz++++=EXTRAWORD
