# ^zz++++=###
# ^zz++++=EXTRAWORD
# ^zz++++=EXTRAWORD
Deposition ^nn+nom+++=Deposition
might ^md+pos+++=might
have ^vb+hv+aux++=have
hidden ^vprf+++xvbnx+=hidden
among ^in++++=among
the ^ati++++=the
rigging ^nn++++=rigging
until ^cs+sub+++=until
hunger ^nn++++=hunger
brought ^vbd+++xvbn+=brought
me ^pp1o+pp1+++=me
down ^rp++++=down.
. ^zz++++=EXTRAWORD
Or ^cc+cls+++=Or
escaped ^vpsv++agls+xvbn+=escaped
in ^in++++=in
port ^nn++++=port
and ^cc++++=and
been ^vprf+ben+aux+xvbn+=been
shot ^vpsv++agls+xvbnx+=shot
beside ^in+pl+++=beside
a ^at++++=a
warehouse ^nn++++=warehouse.
. ^zz++++=EXTRAWORD
Such ^abl++++=Such
possibilities ^nns+nom+++=possibilities
are ^vb+ber+vrb++=are
not ^xnot++not++=not
freedom ^nn+nom+++=freedom.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
are ^vb+ber+vrb++=are
conclusions ^nns++++=conclusions.
. ^zz++++=EXTRAWORD
What ^wdt+who+++=What
I ^pp1a+pp1+++=I
needed ^vbd+++xvbnx+=needed
was ^vbd+bedz+vrb++=was
a ^at++++=a
way ^nn++++=way
out ^rp+pl+++=out.
. ^zz++++=EXTRAWORD
Do ^vb+do+aux++=Do
not ^xnot++not++=not
make ^vb++++=make
the ^ati++++=the
common ^jj+atrb+++=common
error ^nn++++=error
of ^in++++=of
giving ^xvbg+++xvbg+=giving
grandeur ^nn++++=grandeur
to ^in++++=to
this ^dt+dem+++=this
phrase ^nn++++=phrase.
. ^zz++++=EXTRAWORD
A ^at++++=A
way ^nn++++=way
out ^rp+pl+++=out
need ^nn++++=need
not ^xnot++not++=not
lead ^nn++++=lead
upward ^jjb++++=upward.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
need ^vb++++=need
not ^xnot++not++=not
lead ^vb++++=lead
home ^nr++++=home.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
need ^vb++++=need
not ^xnot++not++=not
even ^rb++++=even
lead ^vb++++=lead
into ^in++++=into
open ^jj+atrb+++=open
air ^nn++++=air.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
is ^vbz+bez+vrb++=is
simply ^rb++++=simply
the ^ati++++=the
direction ^nn+nom+++=direction
in ^in++++=in
which ^whp+rel+pied++=which
destruction ^nn+nom+++=destruction
is ^vbz+bez+vrb++=is
not ^xnot++not++=not,
, ^zz++++=EXTRAWORD
for ^in++++=for
the ^ati++++=the
moment ^nn++++=moment,
, ^zz++++=EXTRAWORD
waiting ^vbg+++xvbg+=waiting
with ^in++++=with
its ^pp$+it+++=its
mouth ^nn++++=mouth
open ^nn++++=open.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
pressed ^vbd+++xvbnx+=pressed
my ^pp$+pp1+++=my
back ^jjb++++=back
against ^in++++=against
the ^ati++++=the
boards ^nns++++=boards
and ^cc++++=and
looked ^vpsv++agls+xvbn+=looked
through ^in++++=through
the ^ati++++=the
bars ^nns++++=bars.
. ^zz++++=EXTRAWORD
Looking ^vbg+++xvbg+=Looking
was ^vbd+bedz+vrb++=was
the ^ati++++=the
one ^cd1++++=one
movement ^nn+nom+++=movement
allowed ^vwbn+++xvbn+=allowed
me ^pp1o+pp1+++=me,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
therefore ^rb+cnj+++=therefore
I ^pp1a+pp1+++=I
developed ^vbd+++xvbnx+=developed
it ^pp3+it+++=it
professionally ^rb++++=professionally.
. ^zz++++=EXTRAWORD
The ^ati++++=The
sailors ^nns++++=sailors
came ^vbd+++xvbn+=came
and ^cc+phrs+++=and
went ^vbd+++xvbn+=went.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
inspected ^vbd+++xvbnx+=inspected
me ^pp1o+pp1+++=me,
, ^zz++++=EXTRAWORD
laughed ^j+++xvbn+=laughed
at ^in++++=at
me ^pp1o+pp1+++=me,
, ^zz++++=EXTRAWORD
poked ^jj+atrb++xvbn+=poked
straw ^nn++++=straw
through ^in++++=through
the ^ati++++=the
bars ^nns++++=bars,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
called ^vbd+++xvbn+=called
me ^pp1o+pp1+++=me
names ^nns++++=names
that ^tht+rel+obj++=that
I ^pp1a+pp1+++=I
later ^rbr+tm+++=later
learned ^jj+++xvbn+=learned
were ^vbd+bed+aux++=were
also ^rb++splt++=also
used ^vpsv++agls+xvbnx+=used
affectionately ^rb++++=affectionately
among ^in++++=among
themselves ^ppls+pp3+++=themselves.
. ^zz++++=EXTRAWORD
Their ^pp$+pp3+++=Their
cruelty ^nn++++=cruelty
has ^vbz+hvz+aux++=has
been ^vprf+ben+aux+xvbnx+=been
exaggerated ^vpsv++agls+xvbnx+=exaggerated.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
did ^vbd+dod+vrb++=did
not ^xnot++not++=not
hate ^nn++++=hate
me ^pp1o+pp1+++=me.
. ^zz++++=EXTRAWORD
Hatred ^nn++++=Hatred
requires ^vbz++++=requires
attention ^nn+nom+++=attention.
. ^zz++++=EXTRAWORD
To ^in++++=To
them ^pp3o+pp3+++=them
I ^pp1a+pp1+++=I
was ^vbd+bedz+vrb++=was
cargo ^nn++++=cargo
that ^tht+rel+subj++=that
breathed ^vbd+++xvbn+=breathed
and ^cc++++=and
sometimes ^rb++++=sometimes
amused ^jj+++xvbn+=amused
them ^pp3o+pp3+++=them.
. ^zz++++=EXTRAWORD
One ^cd1++++=One
man ^nn++++=man
rubbed ^vbd+++xvbn+=rubbed
salt ^nn++++=salt
into ^in++++=into
my ^pp$+pp1+++=my
shoulder ^nn+nom+++=shoulder
wound ^vbd+++xvbn+=wound,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
only ^rb+down+++=only
to ^to++++=to
see ^vbi+vprv+++=see
whether ^cs+who+++=whether
I ^pp1a+pp1+++=I
would ^md+prd+++=would
shriek ^vb++++=shriek.
. ^zz++++=EXTRAWORD
Another ^dt++++=Another
gave ^vbd+++xvbn+=gave
me ^pp1o+pp1+++=me
a ^at++++=a
lump ^nn++++=lump
of ^in++++=of
sugar ^nn++++=sugar
afterward ^rb++++=afterward.
. ^zz++++=EXTRAWORD
A ^at++++=A
third ^od++++=third
extinguished ^vbd+++xvbn+=extinguished
his ^pp$+pp3+++=his
cigar ^nn++++=cigar
on ^in++++=on
the ^ati++++=the
boards ^nns++++=boards
near ^in+pl+++=near
my ^pp$+pp1+++=my
hand ^nn++++=hand
and ^cc++++=and
apologized ^vbd+++xvbn+=apologized
when ^wrb+who+++=when
the ^ati++++=the
spark ^nn++++=spark
reached ^vbd+++xvbn+=reached
my ^pp$+pp1+++=my
fur ^nn++++=fur,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
he ^pp3a+pp3+++=he
apologized ^vbd+++xvbnx+=apologized
to ^in++++=to
the ^ati++++=the
cigar ^nn++++=cigar.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
were ^vbd+bed+vrb++=were,
, ^zz++++=EXTRAWORD
on ^in++++=on
the ^ati++++=the
whole ^nn++++=whole,
, ^zz++++=EXTRAWORD
ordinary ^jj+atrb+++=ordinary
decent ^jj+atrb+++=decent
men ^nns++++=men.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
say ^vb+vpub+++=say
this ^dt+dem+++=this
without ^in++++=without
irony ^nn++++=irony
or ^cc++++=or
with ^in++++=with
only ^rb+down+++=only
that ^dt+dem+++=that
quantity ^nn+nom+++=quantity
of ^in++++=of
irony ^nn++++=irony
necessary ^jj++++=necessary
for ^in++++=for
accuracy ^nn+nom+++=accuracy.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
spat ^vbd+++xvbnx+=spat
continually ^rb++++=continually.
. ^zz++++=EXTRAWORD
At ^rb++++=At
first ^rb"++++=first
I ^pp1a+pp1+++=I
believed ^vbd+vprv++xvbnx+=believed
spitting ^jj++++=spitting
to ^to++++=to
be ^vbi++vrb++=be
a ^at++++=a
symptom ^nn++++=symptom
of ^in++++=of
illness ^nns+nom+++=illness.
. ^zz++++=EXTRAWORD
Soon ^rb+tm+++=Soon
I ^pp1a+pp1+++=I
saw ^vbd+vprv++xvbnx+=saw
that ^tht+vcmp+++=that
it ^pp3+it+++=it
had ^vb+hv+vrb++=had
a ^at++++=a
social ^jj+atrb+++=social
function ^nn+nom+++=function.
. ^zz++++=EXTRAWORD
A ^at++++=A
man ^nn++++=man
spat ^vbd+++xvbn+=spat
before ^in++++=before
lifting ^xvbg+++xvbg+=lifting
a ^at++++=a
rope ^nn++++=rope,
, ^zz++++=EXTRAWORD
after ^in++++=after
telling ^xvbg+++xvbg+=telling
a ^at++++=a
joke ^nn++++=joke,
, ^zz++++=EXTRAWORD
upon ^in++++=upon
losing ^xvbg+++xvbg+=losing
at ^rb++++=at
cards ^nns++++=cards,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
into ^in++++=into
the ^ati++++=the
sea ^nn++++=sea
when ^wrb+who+++=when
no ^at++++=no
more ^rbr++++=more
appropriate ^jj+atrb+++=appropriate
surface ^nn++++=surface
was ^vbd+bedz+vrb++=was
available ^jj+pred+++=available.
. ^zz++++=EXTRAWORD
The ^ati++++=The
act ^nn++++=act
accompanied ^vbd+++xvbn+=accompanied
decision ^nn++++=decision.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
a ^at++++=a
form ^nn++++=form
of ^in++++=of
punctuation ^nn+nom+++=punctuation
performed ^vwbn+++xvbn+=performed
by ^in++++=by
the ^ati++++=the
mouth ^nn++++=mouth.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
began ^vbd+++xvbnx+=began
to ^to++++=to
practice ^vbi++++=practice.
. ^zz++++=EXTRAWORD
My ^pp$+pp1+++=My
first ^rb++++=first
attempts ^nns++++=attempts
lacked ^vbd+++xvbn+=lacked
direction ^nn+nom+++=direction.
. ^zz++++=EXTRAWORD
Saliva ^nn++++=Saliva
ran ^vbd+++xvbn+=ran
down ^rb+phrv+++=down
my ^pp$+pp1+++=my
chin ^nn++++=chin
and ^cc++++=and
gathered ^vpsv++agls+xvbn+=gathered
in ^in++++=in
the ^ati++++=the
fur ^nn++++=fur
of ^in++++=of
my ^pp$+pp1+++=my
chest ^nn++++=chest.
. ^zz++++=EXTRAWORD
The ^ati++++=The
men ^nns++++=men
applauded ^vwbn+++xvbn+=applauded.
. ^zz++++=EXTRAWORD
Encouraged ^xvbn+++xvbn+=Encouraged,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
drew ^vbd+++xvbnx+=drew
the ^ati++++=the
moisture ^nn++++=moisture
into ^in++++=into
my ^pp$+pp1+++=my
mouth ^nn++++=mouth,
, ^zz++++=EXTRAWORD
pushed ^xvbn+++xvbn+=pushed
it ^pp3+it+++=it
forward ^rb++++=forward
with ^in++++=with
my ^pp$+pp1+++=my
tongue ^nn++++=tongue,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
one ^cd1++++=one
morning ^nn++++=morning
projected ^vbd+++xvbn+=projected
it ^pp3+it+++=it
through ^in++++=through
the ^ati++++=the
bars ^nns++++=bars
onto ^in++++=onto
the ^ati++++=the
boot ^nn++++=boot
of ^in++++=of
the ^ati++++=the
cook ^nn++++=cook's
's ^$++++=EXTRAWORD
assistant ^nn+nom+++=assistant.
. ^zz++++=EXTRAWORD
The ^ati++++=The
success ^nns+nom+++=success
was ^vbd+bedz+vrb++=was
immediate ^jj+pred+++=immediate.
. ^zz++++=EXTRAWORD
The ^ati++++=The
assistant ^nn+nom+++=assistant
struck ^vbd+++xvbn+=struck
the ^ati++++=the
bars ^nns++++=bars
with ^in++++=with
a ^at++++=a
ladle ^nn+++??+=ladle,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
the ^ati++++=the
others ^aps++++=others
laughed ^jj+++xvbn+=laughed
until ^cs+sub+++=until
one ^pn++++=one
of ^in++++=of
them ^pp3o+pp3+++=them
sat ^vbd+++xvbn+=sat
down ^rb+phrv+++=down.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
had ^vbd+hvd+aux++=had
done ^vprf+++xvbnx+=done
what ^wdt+who+++=what
they ^pp3a+pp3+++=they
did ^vbd+dod+vrb++=did.
. ^zz++++=EXTRAWORD
More ^rbr++++=More
importantly ^rb+cnj+++=importantly,
, ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
had ^vbd+hvd+aux++=had
recognized ^vprf++tht0+xvbnx+=recognized
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
Recognition ^nn+nom+++=Recognition,
, ^zz++++=EXTRAWORD
gentlemen ^nns++++=gentlemen,
, ^zz++++=EXTRAWORD
is ^vbz+bez+vrb++=is
a ^at++++=a
hinge ^nn++++=hinge.
. ^zz++++=EXTRAWORD
Before ^cs+sub+++=Before
that ^dt+dem+++=that
moment ^nn++++=moment
they ^pp3a+pp3+++=they
looked ^vbd+++xvbnx+=looked
at ^rb++++=at
me ^pp1o+pp1+++=me.
. ^zz++++=EXTRAWORD
Afterward ^rb+cnj+++=Afterward,
, ^zz++++=EXTRAWORD
occasionally ^rb+cnj+++=occasionally,
, ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
looked ^vbd+++xvbnx+=looked
for ^in++++=for
me ^pp1o+pp1+++=me.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
repeated ^vbd+++xvbnx+=repeated
the ^ati++++=the
trick ^nn++++=trick.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
learned ^vbd+++xvbnx+=learned
to ^to+vcmp+++=to
spit ^vb++++=spit
to ^in++++=to
the ^ati++++=the
left ^nn+++xvbn+=left,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
never ^rb++++=never
elegantly ^rb++++=elegantly
to ^in++++=to
the ^ati++++=the
right ^nn++++=right,
, ^zz++++=EXTRAWORD
perhaps ^rb++++=perhaps
because ^cs+cos+++=because
of ^in"++++=of
the ^ati++++=the
shoulder ^nn+nom+++=shoulder
wound ^vbd+++xvbn+=wound.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
learned ^vbd+++xvbnx+=learned
to ^to+vcmp+++=to
shake ^vbi++++=shake
hands ^nns++++=hands
through ^in++++=through
the ^ati++++=the
bars ^nns++++=bars.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
custom ^nn++++=custom
puzzled ^vbd+++xvbn+=puzzled
me ^pp1o+pp1+++=me
longer ^rbr++++=longer.
. ^zz++++=EXTRAWORD
A ^at++++=A
man ^nn++++=man
extends ^vbz++++=extends
an ^at++++=an
empty ^jj+atrb+++=empty
hand ^nn++++=hand
to ^to++++=to
demonstrate ^nn+nom+++=demonstrate
he ^pp3a+pp3+++=he
carries ^vbz++++=carries
no ^at++++=no
weapon ^nn++++=weapon,
, ^zz++++=EXTRAWORD
then ^rn+tm+++=then
grips ^vbz++++=grips
firmly ^rb++++=firmly
enough ^dt++++=enough
to ^to++++=to
show ^vbi+vprv+++=show
that ^tht+vcmp+++=that
he ^pp3a+pp3+++=he
could ^md+pos+++=could
use ^vb++++=use
one ^pn++++=one.
. ^zz++++=EXTRAWORD
Civilization ^nn+nom+++=Civilization
contains ^vbz++++=contains
many ^ap++++=many
such ^abl++++=such
compressed ^jj+atrb++xvbn+=compressed
negotiations ^nns+nom+++=negotiations.
. ^zz++++=EXTRAWORD
Smoking ^xvbg+++xvbg+=Smoking
followed ^vwbn+vprv++xvbn+=followed.
. ^zz++++=EXTRAWORD
A ^at++++=A
sailor ^nn++++=sailor
named ^vbd+++xvbn+=named
Voss ^np+++??+=Voss
though ^cs+sub+++=though
three ^cd++++=three
later ^rbr+tm+++=later
claimed ^vbd+vpub+tht0+xvbn+=claimed
the ^ati++++=the
honor ^nn++++=honor
pushed ^vwbn+++xvbn+=pushed
a ^at++++=a
lighted ^jj+atrb++xvbn+=lighted
pipe ^nn++++=pipe
between ^in++++=between
the ^ati++++=the
bars ^nns++++=bars.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
bit ^nn++++=bit
through ^in++++=through
the ^ati++++=the
stem ^nn++++=stem.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
roared ^vbd+++xvbnx+=roared.
. ^zz++++=EXTRAWORD
A ^at++++=A
second ^od++++=second
pipe ^nn++++=pipe
was ^vbd+bedz+aux++=was
offered ^vpsv++agls+xvbnx+=offered.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
held ^vbd+vprv+tht0+xvbnx+=held
it ^pp3+it+++=it
correctly ^rb++++=correctly
after ^in++++=after
watching ^xvbg+++xvbg+=watching
them ^pp3o+pp3+++=them,
, ^zz++++=EXTRAWORD
drew ^jj+atrb++xvbn+=drew
smoke ^nn++++=smoke
into ^in++++=into
my ^pp$+pp1+++=my
mouth ^nn++++=mouth,
, ^zz++++=EXTRAWORD
swallowed ^j+++xvbn+=swallowed
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
collapsed ^jj+atrb++xvbn+=collapsed
coughing ^nn++++=coughing
against ^in++++=against
the ^ati++++=the
boards ^nns++++=boards.
. ^zz++++=EXTRAWORD
The ^ati++++=The
pain ^nn++++=pain
was ^vbd+bedz+vrb++=was
severe ^jj+pred+++=severe,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
the ^ati++++=the
effect ^nn++++=effect
upon ^in++++=upon
the ^ati++++=the
audience ^nn+nom+++=audience
was ^vbd+bedz+vrb++=was
excellent ^jj+pred+++=excellent.
. ^zz++++=EXTRAWORD
Within ^in++++=Within
a ^at++++=a
week ^nn++++=week
I ^pp1a+pp1+++=I
could ^md+pos+++=could
keep ^vb++++=keep
a ^at++++=a
pipe ^nn++++=pipe
between ^in++++=between
my ^pp$+pp1+++=my
lips ^nns++++=lips,
, ^zz++++=EXTRAWORD
puff ^vb++++=puff
twice ^rb+cnj+++=twice,
, ^zz++++=EXTRAWORD
remove ^nn++++=remove
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
inspect ^vb++++=inspect
the ^ati++++=the
bowl ^nn++++=bowl,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
nod ^nn++++=nod
as ^ql++++=as
Voss ^np+++??+=Voss
did ^vbd+dod+vrb++=did.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
never ^rb++++=never
liked ^vbd+++xvbn+=liked
tobacco ^nn++++=tobacco.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
still ^rb++++=still
do ^vb+do+vrb++=do
not ^xnot++not++=not.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
smoke ^nn++++=smoke
after ^cs+sub+++=after
dinner ^nn++++=dinner
because ^cs+cos+++=because
refusal ^nn++++=refusal
makes ^vbz++++=makes
hosts ^nns++++=hosts
nervous ^jj++++=nervous
and ^cc+cls+++=and
because ^cs+cos+++=because
the ^ati++++=the
management ^nn+nom+++=management
of ^in++++=of
smoke ^nn++++=smoke
about ^in++++=about
the ^ati++++=the
face ^nn++++=face
gives ^vbz++++=gives
one ^cd1++++=one
time ^nn++++=time
to ^to++++=to
prepare ^vbi++++=prepare
an ^at++++=an
answer ^nn++++=answer.
. ^zz++++=EXTRAWORD
Alcohol ^nn++++=Alcohol
was ^vbd+bedz+vrb++=was
more ^rbr++++=more
difficult ^jj+pred+++=difficult.
. ^zz++++=EXTRAWORD
The ^ati++++=The
bottle ^nn++++=bottle
came ^vbd+++xvbn+=came
to ^in++++=to
me ^pp1o+pp1+++=me
on ^in++++=on
a ^at++++=a
hot ^jj+atrb+++=hot
evening ^nn++++=evening.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
contained ^vbd+++xvbn+=contained
raw ^jj+atrb+++=raw
spirits ^nns++++=spirits.
. ^zz++++=EXTRAWORD
One ^cd1++++=One
sailor ^nn++++=sailor
uncorked ^vbd+++xvbn+=uncorked
it ^pp3+it+++=it
with ^in++++=with
his ^pp$+pp3+++=his
teeth ^nns++++=teeth,
, ^zz++++=EXTRAWORD
drank ^j+++xvbn+=drank,
, ^zz++++=EXTRAWORD
smacked ^j+++xvbn+=smacked
his ^pp$+pp3+++=his
lips ^nns++++=lips,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
handed ^vbd+++xvbn+=handed
it ^pp3+it+++=it
through ^in++++=through
the ^ati++++=the
bars ^nns++++=bars.
. ^zz++++=EXTRAWORD
The ^ati++++=The
smell ^nn++++=smell
repelled ^vwbn+++xvbn+=repelled
me ^pp1o+pp1+++=me.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
threw ^vbd+++xvbnx+=threw
the ^ati++++=the
bottle ^nn++++=bottle
down ^in+strn+++=down.
. ^zz++++=EXTRAWORD
Fortunately ^rb++++=Fortunately
it ^pp3+it+++=it
did ^vbd+dod+aux++=did
not ^xnot++not++=not
break ^vb++++=break,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
my ^pp$+pp1+++=my
education ^nn+nom+++=education
might ^md+pos+++=might
have ^vb+hv+aux++=have
ended ^vprf+++xvbnx+=ended
there ^rn+pl+++=there.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
shouted ^vbd+vpub++xvbnx+=shouted,
, ^zz++++=EXTRAWORD
demonstrated ^j+++xvbn+=demonstrated
again ^rb+cnj+++=again,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
forced ^vbd+++xvbn+=forced
the ^ati++++=the
bottle ^nn++++=bottle
into ^in++++=into
my ^pp$+pp1+++=my
hand ^nn++++=hand.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
raised ^vbd+++xvbnx+=raised
it ^pp3+it+++=it
as ^ql++++=as
they ^pp3a+pp3+++=they
did ^vbd+dod+vrb++=did,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
at ^in++++=at
the ^ati++++=the
last ^jj+atrb+++=last
moment ^nn++++=moment
I ^pp1a+pp1+++=I
could ^md+pos+++=could
not ^xnot++not++=not
drink ^vb++++=drink.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
poured ^vbd+++xvbnx+=poured
it ^pp3+it+++=it
into ^in++++=into
the ^ati++++=the
grating ^nn++++=grating.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
disappointed ^jj+++xvbn+=disappointed
them ^pp3o+pp3+++=them.
. ^zz++++=EXTRAWORD
Disappointment ^nn+nom+++=Disappointment
in ^in++++=in
a ^at++++=a
crowd ^nn++++=crowd
is ^vbz+bez+vrb++=is
dangerous ^jj+pred+++=dangerous.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
shook ^vbd+++xvbnx+=shook
the ^ati++++=the
cage ^nn++++=cage,
, ^zz++++=EXTRAWORD
jabbed ^j+++xvbn+=jabbed
me ^pp1o+pp1+++=me
with ^in++++=with
a ^at++++=a
broom ^nn++++=broom
handle ^nn++++=handle,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
showed ^vbd+vprv++xvbn+=showed
their ^pp$+pp3+++=their
teeth ^nns++++=teeth.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
understood ^vbd+vprv++xvbnx+=understood
no ^at++++=no
words ^nns++++=words,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
the ^ati++++=the
examination ^nn+nom+++=examination
conditions ^nns+nom+++=conditions
were ^vbd+bed+vrb++=were
plain ^nn++++=plain.
. ^zz++++=EXTRAWORD
During ^in++++=During
the ^ati++++=the
next ^ap++++=next
attempts ^nns++++=attempts
I ^pp1a+pp1+++=I
swallowed ^vbd+++xvbnx+=swallowed
small ^jj+atrb+++=small
quantities ^nns+nom+++=quantities.
. ^zz++++=EXTRAWORD
My ^pp$+pp1+++=My
throat ^nn++++=throat
burned ^vbd+++xvbn+=burned;
; ^zz++++=EXTRAWORD
my ^pp$+pp1+++=my
stomach ^nn++++=stomach
convulsed ^vbd+++xvbn+=convulsed;
; ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
fouled ^vbd+++xvbnx+=fouled
the ^ati++++=the
cage ^nn++++=cage.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
restored ^jj+++xvbn+=restored
their ^pp$+pp3+++=their
good ^jj+atrb+++=good
humor ^nn++++=humor.
. ^zz++++=EXTRAWORD
Men ^nns++++=Men
forgive ^vb++++=forgive
failure ^nn++++=failure
readily ^rb++++=readily
when ^wrb+who+++=when
it ^pp3+it+++=it
ends ^vbz++++=ends
in ^in++++=in
filth ^nn++++=filth.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
persisted ^vbd+++xvbnx+=persisted.
. ^zz++++=EXTRAWORD
Not ^xnot++not++=Not
because ^cs+cos+++=because
I ^pp1a+pp1+++=I
wanted ^vbd+++xvbnx+=wanted
the ^ati++++=the
liquor ^nn++++=liquor,
, ^zz++++=EXTRAWORD
nor ^cc+cls+neg++=nor
because ^cs+cos+++=because
I ^pp1a+pp1+++=I
had ^vbd+hvd+aux++=had
discovered ^vprf+++xvbnx+=discovered
an ^at++++=an
admiration ^nn+nom+++=admiration
for ^in++++=for
my ^pp$+pp1+++=my
instructors ^nns++++=instructors.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
persisted ^vbd+++xvbnx+=persisted
because ^cs+cos+++=because
beyond ^in++++=beyond
the ^ati++++=the
bottle ^nn++++=bottle
stood ^vbd+++xvbn+=stood
the ^ati++++=the
door ^nn++++=door
of ^in++++=of
the ^ati++++=the
box ^nn++++=box.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
could ^md+pos+++=could
not ^xnot++not++=not
yet ^rb++++=yet
see ^vb+vprv+++=see
how ^wrb+who+whcl++=how
the ^ati++++=the
two ^cd++++=two
were ^vbd+bed+aux++=were
connected ^vpsv++agls+xvbnx+=connected,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
I ^pp1a+pp1+++=I
saw ^vbd+vprv++xvbnx+=saw
that ^tht+vcmp+++=that
the ^ati++++=the
men ^nns++++=men
passed ^vbd+++xvbn+=passed
freely ^rb++++=freely
where ^wrb+who+++=where
I ^pp1a+pp1+++=I
could ^md+pos+++=could
not ^xnot++not++=not,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
bottle ^nn++++=bottle
belonged ^vbd+++xvbn+=belonged
to ^in++++=to
their ^pp$+pp3+++=their
passage ^nn+nom+++=passage.
. ^zz++++=EXTRAWORD
One ^cd1++++=One
evening ^nn++++=evening,
, ^zz++++=EXTRAWORD
with ^in++++=with
the ^ati++++=the
entire ^nn++++=entire
watch ^vb++++=watch
assembled ^vbd+++xvbn+=assembled,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
uncorked ^vbd+++xvbnx+=uncorked
a ^at++++=a
bottle ^nn++++=bottle,
, ^zz++++=EXTRAWORD
raised ^j+++xvbn+=raised
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
drank ^j+++xvbn+=drank
without ^in++++=without
stopping ^xvbg+++xvbg+=stopping,
, ^zz++++=EXTRAWORD
tossed ^j+++xvbn+=tossed
it ^pp3+it+++=it
away ^rp+pl+++=away,
, ^zz++++=EXTRAWORD
slapped ^j+++xvbn+=slapped
my ^pp$+pp1+++=my
belly ^nn++++=belly,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
cried ^vbd+++xvbn+=cried
out ^rp+pl+++=out.
. ^zz++++=EXTRAWORD
The ^ati++++=The
sound ^nn++++=sound
I ^pp1a+pp1+++=I
