Adventure ^nn++++=Adventure
surrounding ^jj+++xvbg+=surrounding
the ^ati++++=the
carriage ^nn+nom+++=carriage,
, ^zz++++=EXTRAWORD
leaping ^vbg+++xvbg+=leaping
against ^in++++=against
the ^ati++++=the
panels ^nns++++=panels,
, ^zz++++=EXTRAWORD
smashing ^jj++++=smashing
the ^ati++++=the
windows ^nns++++=windows,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
converting ^jj+++xvbg+=converting
him ^pp3o+pp3+++=him
into ^in++++=into
a ^at++++=a
brief ^jj+atrb+++=brief
but ^cc+phrs+++=but
memorable ^jj+atrb+++=memorable
interruption ^nn+nom+++=interruption
in ^in++++=in
the ^ati++++=the
dietary ^jj+atrb+++=dietary
routine ^nn++++=routine
of ^in++++=of
Central ^jj+atrb+++=Central
European ^jj+atrb+++=European
wildlife ^nn+++??+=wildlife.
. ^zz++++=EXTRAWORD
Millicent ^np+++??+=Millicent
would ^md+prd+++=would
receive ^vb++++=receive
a ^at++++=a
telegram ^nn++++=telegram.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
firm ^nn++++=firm
would ^md+prd+++=would
send ^vb++++=send
a ^at++++=a
wreath ^nn++++=wreath.
. ^zz++++=EXTRAWORD
Somebody ^pn++++=Somebody
else ^rb+cnj+++=else
would ^md+prd+++=would
marry ^vb++++=marry
her ^pp$+pp3+++=her,
, ^zz++++=EXTRAWORD
probably ^rb++++=probably
a ^at++++=a
man ^nn++++=man
who ^whp+rel+subj++=who
considered ^vbd+vprv++xvbn+=considered
Thursday ^nr++++=Thursday
inconvenient ^jj++++=inconvenient.
. ^zz++++=EXTRAWORD
The ^ati++++=The
woman ^nn++++=woman
opened ^vbd+++xvbn+=opened
her ^pp$+pp3+++=her
basket ^nn++++=basket
and ^cc++++=and
took ^vbd+++xvbn+=took
out ^rp+pl+++=out
a ^at++++=a
packet ^nn++++=packet
wrapped ^vbd+++xvbn+=wrapped
in ^in++++=in
cloth ^nn++++=cloth.
. ^zz++++=EXTRAWORD
" ^zz++++="Have
have ^vb+hv+vrb++=EXTRAWORD
you ^pp2+pp2+++=you
food ^nn++++=food?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
John ^np++++=John
James ^np++++=James
asked ^vbd+vsua++xvbn+=asked.
. ^zz++++=EXTRAWORD
" ^zz++++="A
a ^rb++++=EXTRAWORD
little ^rb"++++=little."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
The ^ati++++=The
word ^nn++++=word
exposed ^vbd+++xvbn+=exposed
two ^cd++++=two
thick ^jj+atrb+++=thick
slices ^nns++++=slices
of ^in++++=of
bread ^nn++++=bread,
, ^zz++++=EXTRAWORD
a ^at++++=a
piece ^nn++++=piece
of ^in++++=of
cheese ^nn++++=cheese,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
three ^cd++++=three
dark ^jj+atrb+++=dark
sausages ^nns+nom+++=sausages.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
should ^md+nec+++=should
be ^vb+be+vrb++=be
glad ^jj+pred+++=glad
to ^to+jcmp+++=to
purchase ^vb++++=purchase
some ^dti++++=some."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="They
they ^pp3a+pp3+++=EXTRAWORD
are ^vb+ber+vrb++=are
not ^xnot++not++=not
for ^in++++=for
sale ^nn++++=sale."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Under ^in++++=Under
ordinary ^jj+atrb+++=ordinary
conditions ^nns+nom+++=conditions
John ^np++++=John
James ^np++++=James
disliked ^vbd+++xvbn+=disliked
bargaining ^nn++++=bargaining.
. ^zz++++=EXTRAWORD
In ^in++++=In
the ^ati++++=the
present ^jj+atrb+++=present
circumstances ^nns+nom+++=circumstances
he ^pp3a+pp3+++=he
discovered ^vbd+vprv++xvbnx+=discovered
that ^tht+vcmp+++=that
civilisation ^nn+nom+++=civilisation
rests ^vbz++++=rests
less ^rbr++++=less
securely ^rb++++=securely
upon ^in++++=upon
fixed ^xvbn+++xvbn+=fixed
prices ^nns++++=prices
than ^cs+sub+++=than
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
supposed ^vprf+++xvbnx+=supposed.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
will ^md+prd+++=will
pay ^vb++++=pay
you ^pp2+pp2+++=you
two ^cd++++=two
kronen ^jj+++xvbn+=kronen
for ^in++++=for
one ^cd1++++=one
sausage ^nn+nom+++=sausage."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="They
they ^pp3a+pp3+++=EXTRAWORD
cost ^nn++++=cost
more ^ql++++=more
than ^cs+sub+++=than
that ^dt+dem+++=that
in ^in++++=in
Agram ^np+++??+=Agram."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
bought ^vbd+++xvbnx+=bought
sausages ^nns+nom+++=sausages
in ^in++++=in
Agram ^np+++??+=Agram
yesterday ^nr+tm+++=yesterday."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Then
then ^rn+tm+++=EXTRAWORD
you ^pp2+pp2+++=you
should ^md+nec+++=should
have ^vb+hv+aux++=have
kept ^vprf+++xvbnx+=kept
them ^pp3o+pp3+++=them."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
cut ^vbd+++xvbnx+=cut
a ^at++++=a
slice ^nn++++=slice
from ^in++++=from
the ^ati++++=the
loaf ^nn++++=loaf
and ^cc++++=and
ate ^vbd+++xvbn+=ate
it ^pp3+it+++=it
with ^in++++=with
tranquil ^jj+atrb+++=tranquil
thoroughness ^nns+nom+++=thoroughness.
. ^zz++++=EXTRAWORD
" ^zz++++="Three
three ^cd++++=EXTRAWORD
kronen ^jj+++xvbn+=kronen,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
John ^np++++=John
James ^np++++=James.
. ^zz++++=EXTRAWORD
" ^zz++++="No."
no ^at++++=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Four."
four ^cd++++=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
The ^ati++++=The
woman ^nn++++=woman
glanced ^vbd+++xvbn+=glanced
toward ^in++++=toward
the ^ati++++=the
window ^nn++++=window,
, ^zz++++=EXTRAWORD
where ^wrb+who+++=where
darkness ^nns+nom+++=darkness
was ^vbd+bedz+aux++=was
assembling ^nvbg+++xvbg+=assembling
among ^in++++=among
the ^ati++++=the
trees ^nns++++=trees.
. ^zz++++=EXTRAWORD
" ^zz++++="Eight
eight ^cd++++=EXTRAWORD
kronen ^jj+++xvbn+=kronen
for ^in++++=for
a ^at++++=a
sausage ^nn+nom+++=sausage
and ^cc++++=and
bread ^nn++++=bread."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Eight!
eight ^cd++++=EXTRAWORD
! ^zz++++=EXTRAWORD
That ^dt+pdem+++=That
is ^vbz+bez+vrb++=is
outrageous ^jj+pred+++=outrageous."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="They
they ^pp3a+pp3+++=EXTRAWORD
may ^md+pos+++=may
be ^vb+be+vrb++=be
cheaper ^jjr+pred+++=cheaper
in ^in++++=in
Agram ^np+++??+=Agram,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
said ^vbd+vpub++xvbnx+=said.
. ^zz++++=EXTRAWORD
" ^zz++++="They
they ^pp3a+pp3+++=EXTRAWORD
may ^md+pos+++=may
be ^vb+be+vrb++=be
free ^jj+pred+++=free
in ^in++++=in
Paradise ^nn++++=Paradise.
. ^zz++++=EXTRAWORD
Here ^rn+pl+++=Here
they ^pp3a+pp3+++=they
are ^vb+ber+vrb++=are
eight ^cd++++=eight
kronen ^jj+++xvbn+=kronen."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
John ^np++++=John
James ^np++++=James
paid ^vbd+++xvbn+=paid.
. ^zz++++=EXTRAWORD
The ^ati++++=The
sausage ^nn+nom+++=sausage
was ^vbd+bedz+vrb++=was
tough ^jj+pred+++=tough,
, ^zz++++=EXTRAWORD
heavily ^rb++++=heavily
seasoned ^jj++++=seasoned,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
profoundly ^rb++++=profoundly
comforting ^jj++++=comforting.
. ^zz++++=EXTRAWORD
Hunger ^nn++++=Hunger
subdued ^jj++++=subdued
his ^pp$+pp3+++=his
indignation ^nn+nom+++=indignation
but ^cc++++=but
did ^vbd+dod+aux++=did
not ^xnot++not++=not
abolish ^vb++++=abolish
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
reflected ^vbd+vprv++xvbnx+=reflected
that ^tht+vcmp+++=that
the ^ati++++=the
peasantry ^nn++++=peasantry,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
much ^ap++++=much
praised ^jj+++xvbn+=praised
in ^in++++=in
poetry ^nn++++=poetry,
, ^zz++++=EXTRAWORD
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
insufficiently ^rb++splt++=insufficiently
examined ^vpsv++by+xvbn+=examined
by ^in++++=by
commercial ^jj+atrb+++=commercial
auditors ^nns++++=auditors.
. ^zz++++=EXTRAWORD
" ^zz++++="Aren't
are ^vb+ber+vrb++=EXTRAWORD
n't ^xnot++not++0=EXTRAWORD
you ^pp2+pp2+++=you
afraid ^jj++++=afraid?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
asked ^vbd+vsua++xvbnx+=asked.
. ^zz++++=EXTRAWORD
" ^zz++++="No."
no ^at++++=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="But
but ^cc+cls+++=EXTRAWORD
if ^cs+cnd+++=if
wolves ^nps++++=wolves
come ^vb++++=come?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="They
they ^pp3a+pp3+++=EXTRAWORD
will ^md+prd+++=will
not ^xnot++not++=not
eat ^vb++++=eat
me ^pp1o+pp1+++=me
today ^nr+tm+++=today."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Why
why ^wrb+who+++=EXTRAWORD
not ^xnot++not++=not
today ^nr+tm+++=today?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="It
it ^pp3+it+++=EXTRAWORD
is ^vbz+bez+vrb++=is
my ^pp$+pp1+++=my
name ^nn++++=name
day ^nn++++=day."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
John ^np++++=John
James ^np++++=James
waited ^vbd+++xvbn+=waited
for ^in++++=for
an ^at++++=an
explanation ^nn+nom+++=explanation
belonging ^vwbg+++xvbg+=belonging
to ^in++++=to
the ^ati++++=the
ordinary ^jj+atrb+++=ordinary
world ^nn++++=world.
. ^zz++++=EXTRAWORD
None ^pn++++=None
arrived ^vbd+++xvbn+=arrived.
. ^zz++++=EXTRAWORD
" ^zz++++="What
what ^wdt+who+++=EXTRAWORD
difference ^nn+nom+++=difference
can ^md+pos+++=can
that ^dt+pdem+++=that
make ^vb++++=make?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="My
my ^pp$+pp1+++=EXTRAWORD
patron ^nn++++=patron
saint ^nn++++=saint
protects ^vbz++++=protects
me ^pp1o+pp1+++=me
on ^in++++=on
my ^pp$+pp1+++=my
name ^nn++++=name
day ^nn++++=day."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="From
from ^in++++=EXTRAWORD
wolves ^nps++++=wolves?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="From
from ^in++++=EXTRAWORD
everything ^pn++++=everything."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
The ^ati++++=The
woman ^nn++++=woman
spoke ^vbd+++xvbn+=spoke
with ^in++++=with
a ^at++++=a
certainty ^nn++++=certainty
which ^whp+rel+obj++=which,
, ^zz++++=EXTRAWORD
in ^in++++=in
a ^at++++=a
boardroom ^nn+++??+=boardroom,
, ^zz++++=EXTRAWORD
would ^md+prd+++=would
have ^vb+hv+aux++=have
been ^vprf+ben+aux+xvbnx+=been
considered ^vpsv++agls+xvbnx+=considered
evidence ^nn+nom+++=evidence
of ^in++++=of
unsound ^jj+atrb+++=unsound
management ^nn+nom+++=management.
. ^zz++++=EXTRAWORD
In ^in++++=In
a ^at++++=a
darkening ^jj+++xvbg+=darkening
forest ^npl++++=forest
it ^pp3+it+++=it
acquired ^vbd+++xvbn+=acquired
an ^at++++=an
uncomfortable ^jj+atrb+++=uncomfortable
grandeur ^nn++++=grandeur.
. ^zz++++=EXTRAWORD
" ^zz++++="But
but ^cc++++=EXTRAWORD
the ^ati++++=the
wolves ^nps++++=wolves
cannot ^md+pos+not++=cannot
know ^vb+vprv+++=know
what ^wdt+who+whcl++=what
day ^nn++++=day
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
protested ^vbd+vpub++xvbnx+=protested.
. ^zz++++=EXTRAWORD
" ^zz++++="The
the ^ati++++=EXTRAWORD
saint ^nn++++=saint
knows ^vbz+vprv+++=knows."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="That
that ^dt+pdem+++=EXTRAWORD
is ^vbz+bez+vrb++=is
not ^xnot++not++=not
the ^ati++++=the
same ^ap++++=same
thing ^nn++++=thing."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="It
it ^pp3+it+++=EXTRAWORD
is ^vbz+bez+vrb++=is
enough ^qlp++++=enough."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
John ^np++++=John
James ^np++++=James
wished ^vbd+vprv+tht0+xvbn+=wished
he ^pp3a+pp3+++=he
possessed ^vbd+++xvbnx+=possessed
her ^pp3o+pp3+++=her
faith ^nn++++=faith,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
he ^pp3a+pp3+++=he
would ^md+prd+++=would
have ^vb+hv+aux++=have
preferred ^vprf+++xvbnx+=preferred
it ^pp3+it+++=it
supported ^vpsv++by+xvbn+=supported
by ^in++++=by
statistics ^nn++++=statistics.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
asked ^vbd+vsua++xvbnx+=asked
whether ^cs+who+++=whether
the ^ati++++=the
protection ^nn+nom+++=protection
might ^md+pos+++=might
extend ^vb++++=extend
to ^in++++=to
fellow ^jjb+atrb+++=fellow
travellers ^nns+nom+++=travellers.
. ^zz++++=EXTRAWORD
" ^zz++++="No,"
no ^at++++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
said ^vbd+vpub++xvbnx+=said.
. ^zz++++=EXTRAWORD
" ^zz++++="It
it ^pp3+it+++=EXTRAWORD
is ^vbz+bez+vrb++=is
not ^xnot++not++=not
your ^pp$+pp2+++=your
name ^nn++++=name
day ^nn++++=day."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
The ^ati++++=The
distinction ^nn+nom+++=distinction
seemed ^vbd+seem++xvbn+=seemed
theologically ^rb++++=theologically
narrow ^jj++++=narrow.
. ^zz++++=EXTRAWORD
Darkness ^nns+nom+++=Darkness
now ^rn+tm+++=now
pressed ^vbd+++xvbn+=pressed
against ^in++++=against
the ^ati++++=the
windows ^nns++++=windows,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
snow ^nn++++=snow
had ^vb+hv+aux++=had
nearly ^rb+down+splt++=nearly
covered ^vprf+++xvbnx+=covered
the ^ati++++=the
rails ^nns++++=rails.
. ^zz++++=EXTRAWORD
Once ^rb+tm+++=Once
there ^ex+pex+++=there
came ^vbd+++xvbn+=came
a ^at++++=a
distant ^jj+atrb+++=distant
sound ^nn++++=sound
which ^whp+rel+subj++=which
might ^md+pos+++=might
have ^vb+hv+aux++=have
been ^vprf+ben+vrb+xvbnx+=been
a ^at++++=a
branch ^nn++++=branch
breaking ^vwbg+++xvbg+=breaking
or ^cc++++=or
an ^at++++=an
animal ^nn++++=animal
moving ^vwbg+++xvbg+=moving
through ^in++++=through
undergrowth ^nn++++=undergrowth.
. ^zz++++=EXTRAWORD
John ^np++++=John
James ^np++++=James
stopped ^vbd+++xvbn+=stopped
chewing ^vbg+++xvbg+=chewing.
. ^zz++++=EXTRAWORD
The ^ati++++=The
woman ^nn++++=woman
continued ^vbd+++xvbn+=continued
eating ^nvbg+++xvbg+=eating.
. ^zz++++=EXTRAWORD
A ^at++++=A
second ^od++++=second
sound ^vb++++=sound
followed ^vbd+vprv++xvbn+=followed,
, ^zz++++=EXTRAWORD
nearer ^rbr++++=nearer
than ^in++++=than
the ^ati++++=the
first ^rb++++=first.
. ^zz++++=EXTRAWORD
" ^zz++++="There!"
there ^rn+pl+++=EXTRAWORD
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
whispered ^vbd+vpub++xvbnx+=whispered.
. ^zz++++=EXTRAWORD
" ^zz++++="Yes."
yes ^uh++++=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="What
what ^wdt+who+++=EXTRAWORD
was ^vbd+bedz+vrb++=was
it ^pp3+it+++=it?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Something
something ^pn++++=EXTRAWORD
in ^in++++=in
the ^ati++++=the
forest ^nn++++=forest."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
found ^vbd+vprv++xvbnx+=found
this ^dt+dem+++=this
accurate ^jj++++=accurate
but ^cc+phrs+++=but
unhelpful ^jj++++=unhelpful.
. ^zz++++=EXTRAWORD
The ^ati++++=The
carriage ^nn+nom+++=carriage
lamp ^nn++++=lamp
had ^vbd+hvd+aux++=had
gone ^vprf+++xvbnx+=gone
out ^rp+pl+++=out
when ^wrb+who+++=when
the ^ati++++=the
coupling ^nn+nom+++=coupling
broke ^vbd+++xvbn+=broke,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
only ^rb+down+++=only
a ^at++++=a
pallid ^jj+atrb+++=pallid
reflection ^nn+nom+++=reflection
from ^in++++=from
the ^ati++++=the
snow ^nn++++=snow
entered ^vbd+++xvbn+=entered
the ^ati++++=the
compartment ^nn+nom+++=compartment.
. ^zz++++=EXTRAWORD
The ^ati++++=The
woman ^nn++++=woman
became ^vbd+++xvbn+=became
a ^at++++=a
dark ^jj+atrb+++=dark
triangular ^jj+atrb+++=triangular
shape ^nn++++=shape
opposite ^jj++++=opposite
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
Her ^pp$+pp3+++=Her
basket ^nn++++=basket
remained ^vbd+++xvbn+=remained
on ^in++++=on
her ^pp$+pp3+++=her
knees ^nns++++=knees,
, ^zz++++=EXTRAWORD
guarded ^j+++xvbn+=guarded
with ^in++++=with
the ^ati++++=the
instinctive ^jj+atrb+++=instinctive
vigilance ^nn+nom+++=vigilance
of ^in++++=of
finance ^nn+nom+++=finance.
. ^zz++++=EXTRAWORD
Minutes ^nns++++=Minutes
passed ^vbd+++xvbn+=passed.
. ^zz++++=EXTRAWORD
John ^np++++=John
James ^np++++=James
counted ^vbd+++xvbn+=counted
them ^pp3o+pp3+++=them
by ^in++++=by
heartbeats ^nns++++=heartbeats,
, ^zz++++=EXTRAWORD
an ^at++++=an
extravagant ^jj+atrb+++=extravagant
method ^nn++++=method.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
a ^at++++=a
pale ^jj++++=pale
head ^jjb++++=head
appeared ^jj+++xvbn+=appeared
at ^rb++++=at
the ^ati++++=the
lower ^jjr++++=lower
corner ^npl++++=corner
of ^in++++=of
the ^ati++++=the
window ^nn++++=window.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
vanished ^vbd+++xvbn+=vanished
almost ^rb+hdg+++=almost
at ^rb++++=at
once ^rb"+tm+++=once.
. ^zz++++=EXTRAWORD
John ^np++++=John
James ^np++++=James
rose ^vbd+++xvbn+=rose
so ^ql++++=so
violently ^rb++++=violently
that ^cs+sub+++=that
his ^pp$+pp3+++=his
knee ^nn++++=knee
struck ^vbd+++xvbn+=struck
the ^ati++++=the
opposite ^jj+atrb+++=opposite
seat ^nn++++=seat.
. ^zz++++=EXTRAWORD
" ^zz++++="There
there ^ex+pex+++=EXTRAWORD
is ^vbz+bez+vrb++=is
one ^cd1++++=one
outside ^jjb++++=outside."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
The ^ati++++=The
woman ^nn++++=woman
turned ^vbd+++xvbn+=turned
her ^pp$+pp3+++=her
head ^jjb++++=head.
. ^zz++++=EXTRAWORD
Another ^dt++++=Another
shape ^nn++++=shape
came ^vbd+++xvbn+=came
level ^nn++++=level
with ^in++++=with
the ^ati++++=the
glass ^nn++++=glass:
: ^zz++++=EXTRAWORD
pointed ^jj+atrb++xvbn+=pointed
ears ^nns++++=ears,
, ^zz++++=EXTRAWORD
a ^at++++=a
long ^jj+atrb+++=long
muzzle ^nn++++=muzzle,
, ^zz++++=EXTRAWORD
bright ^jj+atrb+++=bright
eyes ^nns++++=eyes.
. ^zz++++=EXTRAWORD
A ^at++++=A
second ^od++++=second
head ^jjb++++=head
appeared ^jj+++xvbn+=appeared
behind ^in+pl+++=behind
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
Their ^pp$+pp3+++=Their
breath ^nn++++=breath
clouded ^vbd+++xvbn+=clouded
the ^ati++++=the
pane ^nn+++??+=pane.
. ^zz++++=EXTRAWORD
" ^zz++++="Wolves,"
wolves ^nps++++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
John ^np++++=John
James ^np++++=James,
, ^zz++++=EXTRAWORD
with ^in++++=with
the ^ati++++=the
hushed ^jj+atrb+++=hushed
conviction ^nn+nom+++=conviction
of ^in++++=of
a ^at++++=a
man ^nn++++=man
whose ^whp+rel+obj++=whose
worst ^jjt+atrb+++=worst
expectations ^nns+nom+++=expectations
have ^vb+hv+aux++=have
at ^rb++splt++=at
last ^rb"++++=last
shown ^vbd+vprv++xvbn+=shown
proper ^jj+atrb+++=proper
respect ^nn++++=respect
for ^in++++=for
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
The ^ati++++=The
animals ^nns+nom+++=animals
moved ^vbd+++xvbn+=moved
away ^rp+pl+++=away.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
heard ^vbd+vprv+tht0+xvbnx+=heard
them ^pp3o+pp3+++=them
circling ^vbg+nom++xvbg+=circling
the ^ati++++=the
carriage ^nn+nom+++=carriage,
, ^zz++++=EXTRAWORD
their ^pp$+pp3+++=their
paws ^nns+++??+=paws
crunching ^vwbg+++xvbg+=crunching
the ^ati++++=the
crusted ^jj+atrb++xvbn+=crusted
snow ^nn++++=snow.
. ^zz++++=EXTRAWORD
Once ^rb+tm+++=Once
something ^pn++++=something
scratched ^vbd+++xvbn+=scratched
at ^rb++++=at
the ^ati++++=the
door ^nn++++=door.
. ^zz++++=EXTRAWORD
" ^zz++++="We
we ^pp1a+pp1+++=EXTRAWORD
must ^md+nec+++=must
barricade ^vb+++??+=barricade
it ^pp3+it+++=it."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="It
it ^pp3+it+++=EXTRAWORD
is ^vbz+bez+aux++=is
shut ^vpsv++agls+xvbnx+=shut."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="They
they ^pp3a+pp3+++=EXTRAWORD
may ^md+pos+++=may
break ^vb++++=break
the ^ati++++=the
glass ^nn++++=glass."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Then
then ^rn+tm+++=EXTRAWORD
shutting ^vbg+++xvbg+=shutting
it ^pp3+it+++=it
again ^rb+tm+++=again
will ^md+prd+++=will
not ^xnot++not++=not
help ^vb++++=help."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
John ^np++++=John
James ^np++++=James
pulled ^vbd+++xvbn+=pulled
two ^cd++++=two
leather ^nn++++=leather
straps ^nns++++=straps
from ^in++++=from
the ^ati++++=the
luggage ^nn+nom+++=luggage
rack ^nn++++=rack
and ^cc++++=and
attempted ^vb+++xvbn+=attempted
to ^to+vcmp+++=to
fasten ^vbi++++=fasten
the ^ati++++=the
handle ^nn++++=handle
to ^in++++=to
the ^ati++++=the
seat ^nn++++=seat.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
hands ^nns++++=hands
trembled ^vbd+++xvbn+=trembled,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
made ^vprf+++xvbn+=made
the ^ati++++=the
operation ^nn+nom+++=operation
resemble ^vb++++=resemble
an ^at++++=an
intricate ^jj+atrb+++=intricate
religious ^jj+atrb+++=religious
ceremony ^nn++++=ceremony
performed ^vwbn+++xvbn+=performed
by ^in++++=by
an ^at++++=an
unbeliever ^nn+nom+++=unbeliever.
. ^zz++++=EXTRAWORD
The ^ati++++=The
woman ^nn++++=woman
gathered ^vbd+++xvbn+=gathered
her ^pp3o+pp3+++=her
shawl ^nn++++=shawl
around ^rp++++=around
her ^pp3o+pp3+++=her
and ^cc++++=and
lifted ^vbd+++xvbn+=lifted
the ^ati++++=the
basket ^nn++++=basket.
. ^zz++++=EXTRAWORD
" ^zz++++="What
what ^wdt+who+whq++=EXTRAWORD
are ^vb+ber+aux++=are
you ^pp2+pp2+++=you
doing ^vbg+++xvbg+=doing?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
am ^vb+bem+aux++=am
going ^vbg+++xvbgx+=going."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Going
going ^vbg+++xvbg+=EXTRAWORD
where ^wrb+who+++=where?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="To
to ^in++++=EXTRAWORD
the ^ati++++=the
inn ^nn++++=inn."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
For ^in++++=For
a ^at++++=a
moment ^nn++++=moment
his ^pp$+pp3+++=his
fear ^nn++++=fear
surrendered ^vbd+++xvbn+=surrendered
to ^in++++=to
scandalised ^jj+atrb+++=scandalised
astonishment ^nn+nom+++=astonishment.
. ^zz++++=EXTRAWORD
" ^zz++++="What
what ^wdt+who+++=EXTRAWORD
inn ^nn++++=inn?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="The
the ^ati++++=EXTRAWORD
inn ^nn++++=inn
beyond ^in++++=beyond
the ^ati++++=the
trees ^nns++++=trees."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
said ^vbd+vpub+tht0+xvbn+=said
nothing ^pn++++=nothing
about ^in++++=about
an ^at++++=an
inn ^nn++++=inn."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="You
