# ^zz++++=###
# ^zz++++=EXTRAWORD
# ^zz++++=EXTRAWORD
Memoranda ^np+++??+=Memoranda
. ^zz++++=EXTRAWORD
After ^cs+sub+++=After
this ^dt+dem+++=this
education ^nn+nom+++=education
he ^pp3a+pp3+++=he
becomes ^vbz++++=becomes
a ^at++++=a
knowing ^jj+++xvbg+=knowing
' ^zz++++='Gee,
gee ^np++++=EXTRAWORD
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
the ^ati++++=the
advancement ^nn+nom+++=advancement
brings ^vbz++++=brings
no ^at++++=no
increase ^nn++++=increase
of ^in++++=of
pay ^nn++++=pay.
. ^zz++++=EXTRAWORD
Knowledge ^nn++++=Knowledge
is ^vbz+bez+vrb++=is
its ^pp$+it+++=its
own ^ap++++=own
reward ^nn++++=reward,
, ^zz++++=EXTRAWORD
especially ^rb++++=especially
when ^wrb+who+++=when
acquired ^vpsv++by+xvbn+=acquired
by ^in++++=by
another ^dt++++=another
man ^nn++++=man's
's ^$++++=EXTRAWORD
labor ^nn++++=labor.
. ^zz++++=EXTRAWORD
Sailors ^nns++++=Sailors,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
are ^vb+ber+vrb++=are
jealous ^jj+atrb+++=jealous
guardians ^nns++++=guardians
of ^in++++=of
equality ^nn+nom+++=equality
whenever ^nn+nom+++=whenever
anyone ^pn++++=anyone
above ^rb++++=above
them ^pp3o+pp3+++=them
is ^vbz+bez+aux++=is
concerned ^vpsv++agls+xvbnx+=concerned,
, ^zz++++=EXTRAWORD
regard ^nn++++=regard
the ^ati++++=the
Fogo ^np+++??+=Fogo
hand ^nn++++=hand
with ^in++++=with
contempt ^nn++++=contempt
for ^in++++=for
working ^xvbg+++xvbg+=working
cheaply ^rb++++=cheaply.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
blame ^vb++++=blame
him ^pp3o+pp3+++=him
for ^in++++=for
lowering ^xvbg+++xvbg+=lowering
wages ^nns++++=wages,
, ^zz++++=EXTRAWORD
as ^in++++=as
a ^at++++=a
drowning ^jj+atrb++xvbg+=drowning
man ^nn++++=man
might ^md+pos+++=might
blame ^vb++++=blame
the ^ati++++=the
rope ^nn++++=rope
for ^in++++=for
being ^xvbg+++xvbg+=being
thin ^jj++++=thin;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
having ^vbg+++xvbg+=having
beaten ^jj+++xvbn+=beaten
him ^pp3o+pp3+++=him
for ^in++++=for
taking ^xvbg+++xvbg+=taking
less ^rbr++++=less,
, ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
beat ^vbd+++xvbnx+=beat
him ^pp3o+pp3+++=him
again ^rb+tm+++=again
for ^in++++=for
asking ^xvbg+++xvbg+=asking
more ^rbr++++=more.
. ^zz++++=EXTRAWORD
" ^zz++++="There's
there ^ex+pex+++=EXTRAWORD
's ^vbz+bez+vrb++0=EXTRAWORD
too ^ql++++=too
many ^ap++++=many
of ^in++++=of
' ^zz++++='em,"
em ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
says ^vbz+vpub+++=says
Jack ^np++++=Jack.
. ^zz++++=EXTRAWORD
" ^zz++++="Then
then ^rn+tm+++=EXTRAWORD
why ^wrb+who+++=why
ship ^nn++++=ship
them ^pp3o+pp3+++=them?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
asks ^vbz++++=asks
an ^at++++=an
inexperienced ^jj+atrb+++=inexperienced
landsman ^nn+nom+++=landsman.
. ^zz++++=EXTRAWORD
" ^zz++++="Because
because ^cs+cos+++=EXTRAWORD
they ^pp3a+pp3+++=they're
're ^vb+ber+vrb++0=EXTRAWORD
cheap ^jj+pred+++=cheap,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
says ^vbz+vpub+++=says
Jack ^np++++=Jack,
, ^zz++++=EXTRAWORD
closing ^jj+++xvbg+=closing
the ^ati++++=the
argument ^nn+nom+++=argument
in ^in++++=in
the ^ati++++=the
manner ^nn++++=manner
of ^in++++=of
Socrates ^nns+nom++??+=Socrates,
, ^zz++++=EXTRAWORD
Fox ^nn++++=Fox,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
second ^od++++=second
mate ^nn++++=mate.
. ^zz++++=EXTRAWORD
During ^in++++=During
ordinary ^jj+atrb+++=ordinary
weather ^nn++++=weather
the ^ati++++=the
recruit ^nn++++=recruit
is ^vbz+bez+vrb++=is
a ^at++++=a
' ^zz++++='Gee.
gee ^np++++=EXTRAWORD
. ^zz++++=EXTRAWORD
In ^in++++=In
a ^at++++=a
gale ^nn++++=gale,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
top ^nn++++=top-hamper
- ^zz++++=EXTRAWORD
hamper ^nn++++=EXTRAWORD
must ^md+nec+++=must
come ^vprf+++xvbn+=come
down ^rp++++=down
and ^cc++++=and
the ^ati++++=the
watch ^nn++++=watch
is ^vbz+bez+aux++=is
worn ^vpsv++agls+xvbnx+=worn
hollow ^jj++++=hollow,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
becomes ^vbz++++=becomes
a ^at++++=a
man ^nn++++=man.
. ^zz++++=EXTRAWORD
" ^zz++++="Men
men ^nns++++=EXTRAWORD
aloft ^rb++++=aloft!
! ^zz++++=EXTRAWORD
Hands ^nns++++=Hands
by ^in++++=by
the ^ati++++=the
halyards ^nns+++??+=halyards!
! ^zz++++=EXTRAWORD
Where ^wrb+who+whq++=Where
are ^vb+ber+aux++=are
those ^dt+dem+++=those
men ^nns++++=men?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
The ^ati++++=The
storm ^nn++++=storm
passes ^vbz++++=passes;
; ^zz++++=EXTRAWORD
the ^ati++++=the
title ^nn++++=title
is ^vbz+bez+aux++=is
withdrawn ^vpsv++agls+xvbnx+=withdrawn.
. ^zz++++=EXTRAWORD
" ^zz++++="Here,
here ^rn+pl+++=EXTRAWORD
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
' ^zz++++='Gees,
gees ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
scrub ^nn++++=scrub
up ^rp++++=up
that ^dt+dem+++=that
blubber ^nn++++=blubber!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Thus ^rb+cnj+++=Thus
humanity ^nn+nom+++=humanity,
, ^zz++++=EXTRAWORD
like ^in++++=like
extra ^jj+atrb+++=extra
sail ^nn++++=sail,
, ^zz++++=EXTRAWORD
is ^vbz+bez+aux++=is
set ^vpsv++agls+xvbnx+=set
only ^rb+down+++=only
when ^wrb+who+++=when
required ^jj+++xvbn+=required
and ^cc+phrs+++=and
taken ^jj+++xvbn+=taken
in ^in++++=in
at ^in++++=at
the ^ati++++=the
first ^od++++=first
moderation ^nn+nom+++=moderation
of ^in++++=of
weather ^nn++++=weather.
. ^zz++++=EXTRAWORD
The ^ati++++=The
selection ^nn+nom+++=selection
of ^in++++=of
these ^dt+dem+++=these
islanders ^nns+nom+++=islanders
is ^vbz+bez+vrb++=is
an ^at++++=an
art ^nn++++=art,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
captains ^nns++++=captains
who ^whp+rel+obj++=who
practice ^nn++++=practice
it ^pp3+it+++=it
are ^vb+ber+aux++=are
sometimes ^rb++splt++=sometimes
called ^vpsv++agls+xvbnx+=called
' ^zz++++='Gee
gee ^uh++++=EXTRAWORD
jockeys ^nns++++=jockeys,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
they ^pp3a+pp3+++=they
do ^vb+do+aux++=do
not ^xnot++not++=not
ride ^vb++++=ride
the ^ati++++=the
article ^nn++++=article
except ^in++++=except
figuratively ^nn++++=figuratively.
. ^zz++++=EXTRAWORD
The ^ati++++=The
inexperienced ^jj+atrb+++=inexperienced
master ^nn++++=master
judges ^nns++++=judges
by ^in++++=by
face ^nn++++=face
and ^cc++++=and
assurances ^nns+nom+++=assurances.
. ^zz++++=EXTRAWORD
The ^ati++++=The
prudent ^jj+atrb+++=prudent
one ^cd1++++=one
examines ^vbz++++=examines
bone ^nn++++=bone,
, ^zz++++=EXTRAWORD
wind ^nn++++=wind,
, ^zz++++=EXTRAWORD
bottom ^nn++++=bottom,
, ^zz++++=EXTRAWORD
joints ^nns++++=joints,
, ^zz++++=EXTRAWORD
teeth ^nns++++=teeth,
, ^zz++++=EXTRAWORD
temper ^nn++++=temper,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
probable ^jj+atrb+++=probable
endurance ^nn+nom+++=endurance,
, ^zz++++=EXTRAWORD
much ^ap++++=much
as ^ql++++=as
he ^pp3a+pp3+++=he
would ^md+prd+++=would
inspect ^vb++++=inspect
a ^at++++=a
horse ^nn++++=horse,
, ^zz++++=EXTRAWORD
with ^in++++=with
this ^dt+dem+++=this
commercial ^jj+atrb+++=commercial
advantage ^nn+nom+++=advantage:
: ^zz++++=EXTRAWORD
a ^at++++=a
horse ^nn++++=horse
may ^md+pos+++=may
kick ^vb++++=kick
during ^in++++=during
inspection ^nn+nom+++=inspection,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
a ^at++++=a
poor ^jj+atrb+++=poor
man ^nn++++=man
hoping ^vwbg+vprv++xvbg+=hoping
for ^in++++=for
wages ^nns++++=wages
commonly ^rb++++=commonly
stands ^vbz++++=stands
still ^jj+pred+++=still.
. ^zz++++=EXTRAWORD
The ^ati++++=The
candidate ^nn+nom+++=candidate
is ^vbz+bez+aux++=is
ordered ^vpsv++agls+xvbnx+=ordered
to ^to+vcmp+++=to
walk ^vbi++++=walk,
, ^zz++++=EXTRAWORD
run ^j+++xvbn+=run,
, ^zz++++=EXTRAWORD
stoop ^nn+++??+=stoop,
, ^zz++++=EXTRAWORD
leap ^vb++++=leap,
, ^zz++++=EXTRAWORD
cough ^nn++++=cough,
, ^zz++++=EXTRAWORD
shout ^vb++++=shout,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
lift ^nn++++=lift
a ^at++++=a
stone ^nn++++=stone.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
chest ^nn++++=chest
is ^vbz+bez+aux++=is
thumped ^vpsv++agls+xvbnx+=thumped
as ^in++++=as
a ^at++++=a
cask ^nn+++??+=cask
is ^vbz+bez+aux++=is
sounded ^vpsv++agls+xvbnx+=sounded;
; ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
arms ^nns++++=arms
are ^vb+ber+aux++=are
pulled ^vpsv++agls+xvbnx+=pulled
fore ^jjb++++=fore
and ^cc+phrs+++=and
aft ^jjb++++=aft;
; ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
knees ^nns++++=knees
are ^vb+ber+aux++=are
discussed ^vpsv++agls+xvbnx+=discussed
in ^in++++=in
his ^pp$+pp3+++=his
presence ^nn+nom+++=presence;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
his ^pp$+pp3+++=his
age ^nn++++=age,
, ^zz++++=EXTRAWORD
stated ^vpbn+vpub++xvbn+=stated
by ^in++++=by
himself ^ppl+pp3+++=himself
as ^ql++++=as
twenty ^cd++++=twenty-two,
- ^zz++++=EXTRAWORD
two ^cd++++=EXTRAWORD
, ^zz++++=EXTRAWORD
is ^vbz+bez+aux++=is
corrected ^vpsv++by+xvbnx+=corrected
by ^in++++=by
the ^ati++++=the
captain ^npt++++=captain
to ^to++++=to
thirty ^cd++++=thirty-six,
- ^zz++++=EXTRAWORD
six ^cd++++=EXTRAWORD
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
eighteen ^cd++++=eighteen,
, ^zz++++=EXTRAWORD
according ^in+cmpx+++=according
to ^in"++++=to
the ^ati++++=the
berth ^nn+++??+=berth
requiring ^vwbg+++xvbg+=requiring
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
he ^pp3a+pp3+++=he
smiles ^vbz++++=smiles,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
has ^vbz+hvz+vrb++=has
a ^at++++=a
good ^jj+atrb+++=good
temper ^nn++++=temper.
. ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
he ^pp3a+pp3+++=he
does ^vbz+doz+vrb++=does
not ^xnot++not++=not,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
is ^vbz+bez+vrb++=is
sulky ^jj+pred+++=sulky.
. ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
he ^pp3a+pp3+++=he
understands ^vbz++++=understands
the ^ati++++=the
questions ^nns+nom+++=questions,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
is ^vbz+bez+vrb++=is
cunning ^jj+pred+++=cunning;
; ^zz++++=EXTRAWORD
if ^cs+cnd+++=if
he ^pp3a+pp3+++=he
fails ^vbz++++=fails
to ^to+vcmp+++=to
understand ^vbi+vprv+++=understand,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
is ^vbz+bez+vrb++=is
stupid ^jj+pred+++=stupid.
. ^zz++++=EXTRAWORD
A ^at++++=A
perfect ^jj+atrb+++=perfect
examination ^nn+nom+++=examination
cannot ^md+pos+not++=cannot
be ^vb+be+aux++=be
failed ^vpsv++agls+xvbnx+=failed,
, ^zz++++=EXTRAWORD
because ^cs+cos+++=because
every ^at++++=every
answer ^nn++++=answer
proves ^vbz+vprv+++=proves
the ^ati++++=the
examiner ^nn+nom+++=examiner
correct ^jj++++=correct.
. ^zz++++=EXTRAWORD
Yet ^rb++++=Yet
deception ^nn+nom+++=deception
will ^md+prd+++=will
occur ^vb++++=occur.
. ^zz++++=EXTRAWORD
The ^ati++++=The
islander ^jjr++++=islander,
, ^zz++++=EXTRAWORD
having ^xvbg+++xvbg+=having
observed ^vbn+vprv++xvbn+=observed
that ^tht+vcmp+++=that
sound ^jj+atrb+++=sound
legs ^nns++++=legs
possess ^nns+nom+++=possess
a ^at++++=a
market ^nn++++=market
value ^nn++++=value,
, ^zz++++=EXTRAWORD
sometimes ^rb++++=sometimes
endeavors ^vb++++=endeavors
to ^to+vcmp+++=to
exhibit ^vbi++++=exhibit
them ^pp3o+pp3+++=them
whether ^cs+who+++=whether
Providence ^np+nom++??+=Providence
has ^vbz+hvz+aux++=has
supplied ^vprf+++xvbnx+=supplied
them ^pp3o+pp3+++=them
or ^cc++++=or
not ^xnot++not++=not.
. ^zz++++=EXTRAWORD
In ^in++++=In
this ^dt+dem+++=this
he ^pp3a+pp3+++=he
differs ^nns+nom+++=differs
little ^jj++++=little
from ^in++++=from
ships ^nns++++=ships
advertised ^vbd+++xvbn+=advertised
as ^ql++++=as
copper ^nn++++=copper-fastened,
- ^zz++++=EXTRAWORD
fastened ^vprf+++xvbn+=EXTRAWORD
, ^zz++++=EXTRAWORD
politicians ^nns++++=politicians
advertised ^vbd+++xvbn+=advertised
as ^ql++++=as
incorruptible ^jj++++=incorruptible,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
patent ^nn++++=patent
medicines ^nns++++=medicines
advertised ^vbd+++xvbn+=advertised
as ^ql++++=as
universal ^nn+nom+++=universal;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
captains ^nns++++=captains,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
tolerate ^nn+nom+++=tolerate
exaggeration ^nn+nom+++=exaggeration
only ^rb+down+++=only
in ^in++++=in
their ^pp$+pp3+++=their
own ^ap++++=own
statements ^nns+nom+++=statements,
, ^zz++++=EXTRAWORD
resent ^vb++++=resent
the ^ati++++=the
practice ^nn++++=practice.
. ^zz++++=EXTRAWORD
A ^at++++=A
notable ^jj+atrb+++=notable
case ^nn++++=case
occurred ^vbd+++xvbn+=occurred
aboard ^in+pl+++=aboard
the ^ati++++=the
*jeroboam* ^nn+++??+=*Jeroboam*,
, ^zz++++=EXTRAWORD
commanded ^vpbn+vpub++xvbn+=commanded
by ^in++++=by
Captain ^nn++++=Captain
Peleg ^np+++??+=Peleg
Snipe ^np+++??+=Snipe.
. ^zz++++=EXTRAWORD
Needing ^jj+atrb++xvbg+=Needing
one ^cd1++++=one
additional ^jj+atrb+++=additional
hand ^nn++++=hand,
, ^zz++++=EXTRAWORD
Snipe ^np+++??+=Snipe
selected ^vwbn+++xvbn+=selected
a ^at++++=a
lively ^jj+atrb+++=lively
fellow ^jjb+atrb+++=fellow
named ^jj+++xvbn+=named
Manuel ^np++++=Manuel,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
sprang ^vbd+++xvbn+=sprang
over ^in++++=over
a ^at++++=a
wall ^nn++++=wall,
, ^zz++++=EXTRAWORD
ran ^j+++xvbn+=ran
twice ^rb++++=twice
around ^in++++=around
a ^at++++=a
tamarind ^nn+++??+=tamarind
tree ^nn++++=tree,
, ^zz++++=EXTRAWORD
lifted ^j+++xvbn+=lifted
a ^at++++=a
keg ^nn+++??+=keg,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
executed ^vbd+++xvbn+=executed
several ^ap++++=several
movements ^nns+nom+++=movements
suggesting ^vwbg+vpub++xvbg+=suggesting
a ^at++++=a
close ^jj+atrb+++=close
acquaintance ^nn+nom+++=acquaintance
with ^in++++=with
Apollo ^np++++=Apollo
Belvedere ^np+++??+=Belvedere.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
wore ^vbd+++xvbnx+=wore
loose ^jj+atrb+++=loose
trousers ^nns+nom+++=trousers,
, ^zz++++=EXTRAWORD
as ^ql++++=as
is ^vbz+bez+vrb++=is
customary ^jj+pred+++=customary
in ^in++++=in
warm ^jj+atrb+++=warm
climates ^nns+nom+++=climates
and ^cc++++=and
convenient ^jj++++=convenient
in ^in++++=in
commercial ^jj+atrb+++=commercial
demonstrations ^nns+nom+++=demonstrations.
. ^zz++++=EXTRAWORD
The ^ati++++=The
captain ^nn++++=captain,
, ^zz++++=EXTRAWORD
delighted ^j+++xvbn+=delighted
with ^in++++=with
his ^pp$+pp3+++=his
agility ^nn+nom+++=agility,
, ^zz++++=EXTRAWORD
shipped ^j+++xvbn+=shipped
him ^pp3o+pp3+++=him
at ^in++++=at
a ^at++++=a
rate ^nn++++=rate
which ^whp+rel+subj++=which
would ^md+prd+++=would
hardly ^rb+down+++=hardly
have ^vb+hv+aux++=have
tempted ^vprf+++xvbnx+=tempted
a ^at++++=a
respectable ^jj+atrb+++=respectable
Newfoundland ^np++++=Newfoundland
dog ^nn++++=dog.
. ^zz++++=EXTRAWORD
For ^in++++=For
the ^ati++++=the
first ^rb++++=first
day ^nn++++=day
Manuel ^np++++=Manuel
worked ^vbd+++xvbn+=worked
cheerfully ^rb++++=cheerfully.
. ^zz++++=EXTRAWORD
On ^in++++=On
the ^ati++++=the
second ^od++++=second
he ^pp3a+pp3+++=he
moved ^vbd+++xvbnx+=moved
slowly ^rb++++=slowly.
. ^zz++++=EXTRAWORD
On ^in++++=On
the ^ati++++=the
third ^nn++++=third
he ^pp3a+pp3+++=he
remained ^vbd+++xvbnx+=remained
in ^in++++=in
his ^pp$+pp3+++=his
bunk ^nn++++=bunk.
. ^zz++++=EXTRAWORD
The ^ati++++=The
mate ^nn++++=mate,
, ^zz++++=EXTRAWORD
attributing ^j++++=attributing
this ^dt+dem+++=this
to ^in++++=to
laziness ^nns+nom+++=laziness,
, ^zz++++=EXTRAWORD
prescribed ^jj+atrb++xvbn+=prescribed
rope ^nn++++=rope's-ending,
's-ending, ^nn+++??+=EXTRAWORD
that ^tht+rel+++=that
universal ^nn+nom+++=universal
maritime ^jj++++=maritime
remedy ^vb++++=remedy
recommended ^vbd+vsua++xvbn+=recommended
for ^in++++=for
fatigue ^nn++++=fatigue,
, ^zz++++=EXTRAWORD
homesickness ^nns+nom+++=homesickness,
, ^zz++++=EXTRAWORD
fever ^nn++++=fever,
, ^zz++++=EXTRAWORD
defective ^jj+atrb+++=defective
English ^nn++++=English,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
fractured ^jj+atrb++xvbn+=fractured
confidence ^nn+nom+++=confidence.
. ^zz++++=EXTRAWORD
The ^ati++++=The
remedy ^nn++++=remedy
failed ^vbd+++xvbn+=failed.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
then ^rn+tm+++=then
appeared ^vprf+++xvbn+=appeared
that ^tht+vcmp+++=that
the ^ati++++=the
man ^nn++++=man
suffered ^vbd+++xvbn+=suffered
from ^in++++=from
elephantiasis ^nns+++??+=elephantiasis,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
had ^vbd+hvd+aux++=had
concealed ^vprf+++xvbnx+=concealed
beneath ^rb++++=beneath
his ^pp$+pp3+++=his
capacious ^jj+atrb+++=capacious
garments ^nns+nom+++=garments
a ^at++++=a
leg ^nn++++=leg
of ^in++++=of
such ^abl++++=such
heroic ^jj+atrb+++=heroic
dimensions ^nns++++=dimensions
that ^tht+rel+obj++=that
Hercules ^np+++??+=Hercules
might ^md+pos+++=might
have ^vb+hv+aux++=have
claimed ^vprf+++xvbnx+=claimed
it ^pp3+it+++=it
after ^in++++=after
death ^nn++++=death.
. ^zz++++=EXTRAWORD
During ^in++++=During
his ^pp$+pp3+++=his
exhibition ^nn+nom+++=exhibition
ashore ^rb+pl+++=ashore
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
performed ^vprf+++xvbnx+=performed
chiefly ^rb++++=chiefly
upon ^in++++=upon
the ^ati++++=the
other ^ap++++=other
leg ^nn++++=leg,
, ^zz++++=EXTRAWORD
assisted ^j+++xvbn+=assisted,
, ^zz++++=EXTRAWORD
some ^dti++++=some
said ^vbd+vpub++xvbn+=said,
, ^zz++++=EXTRAWORD
by ^in++++=by
two ^cd++++=two
cousins ^nns++++=cousins
behind ^in+pl+++=behind
the ^ati++++=the
wall ^nn++++=wall.
. ^zz++++=EXTRAWORD
Once ^rb+tm+++=Once
at ^rb++++=at
sea ^nn++++=sea
the ^ati++++=the
concealed ^jj+atrb++xvbn+=concealed
member ^nn++++=member
swelled ^vbd+++xvbn+=swelled
until ^cs+sub+++=until
it ^pp3+it+++=it
became ^vbd+++xvbn+=became
less ^rbr++++=less
a ^at++++=a
limb ^nn++++=limb
than ^in++++=than
a ^at++++=a
passenger ^nn+nom+++=passenger,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
demanded ^vbd+vsua++xvbn+=demanded
accommodations ^nns+nom+++=accommodations
of ^in++++=of
its ^pp$+it+++=its
own ^ap++++=own.
. ^zz++++=EXTRAWORD
Captain ^npt++++=Captain
Snipe ^np+++??+=Snipe
was ^vbd+bedz+aux++=was
outraged ^vpsv++agls+xvbnx+=outraged
not ^xnot++not++=not
at ^in++++=at
the ^ati++++=the
disease ^nn++++=disease,
, ^zz++++=EXTRAWORD
which ^whp+rel+obj++=which
he ^pp3a+pp3+++=he
regarded ^vbd+++xvbnx+=regarded
as ^ql++++=as
an ^at++++=an
act ^nn++++=act
of ^in++++=of
God ^np++++=God,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
at ^in++++=at
the ^ati++++=the
loss ^nn++++=loss
of ^in++++=of
labor ^nn++++=labor,
, ^zz++++=EXTRAWORD
which ^whp+rel+obj++=which
he ^pp3a+pp3+++=he
regarded ^vbd+++xvbnx+=regarded
as ^ql++++=as
personal ^jj+atrb+++=personal
fraud ^nn++++=fraud.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
entered ^vbd+++xvbnx+=entered
in ^in++++=in
the ^ati++++=the
log ^&fo++++=log
that ^cs+sub+++=that
Manuel ^np++++=Manuel
had ^vb+hv+aux++=had
" ^zz++++="hung
hung ^vbd+++xvbn+=EXTRAWORD
fire ^nn++++=fire."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
The ^ati++++=The
mate ^nn++++=mate
called ^vbd+++xvbn+=called
him ^pp3o+pp3+++=him
lumber ^vb++++=lumber.
. ^zz++++=EXTRAWORD
The ^ati++++=The
crew ^nn++++=crew
called ^vbd+++xvbn+=called
him ^pp3o+pp3+++=him
worse ^jjr++++=worse.
. ^zz++++=EXTRAWORD
Unable ^jj++++=Unable
to ^to+jcmp+++=to
climb ^vbi++++=climb,
, ^zz++++=EXTRAWORD
pull ^vb++++=pull,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
stand ^nn++++=stand
in ^in++++=in
a ^at++++=a
rolling ^jj+atrb++xvbg+=rolling
boat ^nn++++=boat,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
was ^vbd+bedz+aux++=was
carried ^vpsv++agls+xvbnx+=carried
about ^in++++=about
the ^ati++++=the
Pacific ^nn++++=Pacific
for ^in++++=for
nearly ^rb+down+++=nearly
three ^cd++++=three
years ^nns++++=years,
, ^zz++++=EXTRAWORD
from ^in++++=from
Fogo ^np+++??+=Fogo
to ^in++++=to
the ^ati++++=the
Brazil ^np++++=Brazil
Banks ^np++++=Banks,
, ^zz++++=EXTRAWORD
around ^rp++++=around
Cape ^npl++++=Cape
Horn ^np++++=Horn,
, ^zz++++=EXTRAWORD
among ^in++++=among
the ^ati++++=the
islands ^nns++++=islands,
, ^zz++++=EXTRAWORD
north ^nr+pl+++=north
toward ^in++++=toward
Japan ^np++++=Japan,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
home ^nr++++=home
again ^rb+cnj+++=again,
, ^zz++++=EXTRAWORD
occupying ^vbg+++xvbg+=occupying
space ^nn++++=space,
, ^zz++++=EXTRAWORD
eating ^nvbg+++xvbg+=eating
biscuit ^nn++++=biscuit,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
reminding ^vbg+++xvbg+=reminding
the ^ati++++=the
captain ^npt++++=captain
daily ^jj++++=daily
that ^dt+dem+++=that
a ^at++++=a
bargain ^nn++++=bargain
may ^md+pos+++=may
have ^vb+hv+vrb++=have
a ^at++++=a
soul ^nn++++=soul
inconveniently ^jj++++=inconveniently
attached ^jj+++xvbn+=attached
to ^in++++=to
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
Manuel ^np++++=Manuel
bore ^vbd+++xvbn+=bore
all ^abn++++=all
this ^dt+dem+++=this
with ^in++++=with
a ^at++++=a
silence ^nn+nom+++=silence
which ^whp+rel+obj++=which
the ^ati++++=the
officers ^nns+nom+++=officers
praised ^vbd+++xvbn+=praised
as ^ql++++=as
evidence ^nn+nom+++=evidence
that ^tht+rel+obj++=that
his ^pp$+pp3+++=his
intellect ^nn++++=intellect
was ^vbd+bedz+vrb++=was
small ^jj+pred+++=small.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
sometimes ^rb++++=sometimes
sat ^vbd+++xvbn+=sat
near ^rb++++=near
him ^pp3o+pp3+++=him
during ^in++++=during
the ^ati++++=the
middle ^jjb+atrb+++=middle
watch ^nn++++=watch.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
knew ^vbd+vprv++xvbnx+=knew
enough ^qlp++++=enough
English ^jj++++=English
to ^to++++=to
ask ^vbi++++=ask
where ^wrb+who+++=where
the ^ati++++=the
ship ^nn++++=ship
was ^vbd+bedz+aux++=was
bound ^vpsv++agls+xvbnx+=bound,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I
knew ^vbd+vprv++xvbnx+=knew
enough ^dt++++=enough
honesty ^nn++++=honesty
to ^to++++=to
tell ^vbi++++=tell
him ^pp3o+pp3+++=him
I ^pp1a+pp1+++=I
did ^vbd+dod+aux++=did
not ^xnot++not++=not
know ^vb+vprv+++=know.
. ^zz++++=EXTRAWORD
" ^zz++++="Home?"
home ^nr++++=EXTRAWORD
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
would ^md+prd+++=would
say ^vb+vpub+++=say.
