# ^zz++++=##
# ^zz++++=EXTRAWORD
How ^wrb+who+++=How
, ^zz++++=EXTRAWORD
" ^zz++++="ye
ye ^pp2+pp2+++=EXTRAWORD
adore ^vb++++=adore
the ^ati++++=the
Widow ^nn++++=Widow
Tracle ^np+++??+=Tracle."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
laid ^vbd+++xvbnx+=laid
his ^pp$+pp3+++=his
hand ^nn++++=hand
upon ^in++++=upon
his ^pp$+pp3+++=his
waistcoat ^nn++++=waistcoat.
. ^zz++++=EXTRAWORD
" ^zz++++="Ah!
ah ^uh++++=EXTRAWORD
! ^zz++++=EXTRAWORD
madame ^npt++++=madame
ees ^vbz+bez+vrb++=ees
an ^at++++=an
ang ^nn+++??+=ang
le ^&fw++++=le!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Never
never ^rb++++=EXTRAWORD
mind ^vb+++??+=mind
what ^wdt+who+++=what
she ^pp3a+pp3+++=she
is ^vbz+bez+vrb++=is,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
says ^vbz+vpub+tht0++=says
I ^pp1a+pp1+++=I.
. ^zz++++=EXTRAWORD
" ^zz++++="Ye
ye ^pp2+pp2+++=EXTRAWORD
adore ^vb++++=adore
her ^pp$+pp3+++=her."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Je
je ^&fw++++=EXTRAWORD
swee ^nn++++=swee
pully ^jj+atrb+++=pully
wou ^nn+++??+=wou
br ^nn+++??+=br
l ^zz++++=l
d ^zz++++=d'amour!"
'amour!" ^nn+++??+=EXTRAWORD
" ^zz++++="And
and ^cc++++=EXTRAWORD
very ^ql+amp+++=very
likely ^jj++++=likely
ye ^pp2+pp2+++=ye
deserve ^vb++++=deserve
it ^pp3+it+++=it,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
says ^vbz+vpub+tht0++=says
I ^pp1a+pp1+++=I.
. ^zz++++=EXTRAWORD
" ^zz++++="But
but ^cc++++=EXTRAWORD
ye ^pp2+pp2+++=ye're
're ^vb+ber+vrb++0=EXTRAWORD
a ^at++++=a
gintleman ^nn+nom+++=gintleman,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I'm
'm ^vb+bem+vrb++0=EXTRAWORD
another ^dt++++=another.
. ^zz++++=EXTRAWORD
Introduce ^vb++++=Introduce
me ^pp1o+pp1+++=me."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
At ^rb++++=At
that ^dt+dem+++=that
he ^pp3a+pp3+++=he
jumped ^vbd+++xvbnx+=jumped
from ^in++++=from
his ^pp$+pp3+++=his
chair ^nn++++=chair.
. ^zz++++=EXTRAWORD
" ^zz++++="Introduce!
introduce ^vb++++=EXTRAWORD
! ^zz++++=EXTRAWORD
Sir ^npt++++=Sir
Patrique ^np+++??+=Patrique
to ^in++++=to
Madame ^npt++++=Madame
Tracle ^np+++??+=Tracle?
? ^zz++++=EXTRAWORD
Jamais ^np+++??+=Jamais!
! ^zz++++=EXTRAWORD
Nevvaire ^np+++??+=Nevvaire!
! ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
ees ^vbz+bez+aux++=ees
too ^ql++++=too
magnifique ^vb+++??+=magnifique.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
see ^vb+vprv+tht0++=see
you ^pp2+pp2+++=you
she ^pp3a+pp3+++=she
love ^nn++++=love
you ^pp2+pp2+++=you
Alphonse ^np++++=Alphonse
ees ^vbz+bez+aux++=ees
destroy ^vb++++=destroy!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
There ^rn+pl+++=There,
, ^zz++++=EXTRAWORD
ye ^pp2+pp2+++=ye
percave ^nn+++??+=percave,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
knew ^vbd+vprv++xvbnx+=knew
me ^pp1o+pp1+++=me
power ^nn++++=power.
. ^zz++++=EXTRAWORD
Still ^rb+cnj+++=Still,
, ^zz++++=EXTRAWORD
by ^in++++=by
representing ^xvbg+++xvbg+=representing
that ^dt+dem+++=that
I ^pp1a+pp1+++=I
cared ^vbd+++xvbnx+=cared
nothing ^pn++++=nothing
for ^in++++=for
the ^ati++++=the
widow ^nn++++=widow
and ^cc++++=and
only ^rb+down+++=only
wished ^vbd+vprv++xvbn+=wished
to ^to+vcmp+++=to
discuss ^vbi++++=discuss
agriculture ^nn++++=agriculture
wid ^in++++=wid
her ^pp$+pp3+++=her,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
soothed ^vbd+++xvbnx+=soothed
his ^pp$+pp3+++=his
fears ^nns++++=fears.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
also ^rb++++=also
held ^vbd+vprv+tht0+xvbn+=held
his ^pp$+pp3+++=his
hat ^nn++++=hat
out ^rp+pl+++=out
the ^ati++++=the
window ^nn++++=window
until ^cs+sub+++=until
he ^pp3a+pp3+++=he
consented ^vbd+++xvbnx+=consented.
. ^zz++++=EXTRAWORD
So ^ql++++=So
it ^pp3+it+++=it
was ^vbd+bedz+aux++=was
settled ^vpsv++agls+xvbnx+=settled
that ^dt+dem+++=that
we ^pp1a+pp1+++=we
should ^md+nec+++=should
call ^vb++++=call
the ^ati++++=the
following ^jj+atrb++xvbg+=following
Tuesday ^nr++++=Tuesday
at ^in++++=at
three ^cd++++=three.
. ^zz++++=EXTRAWORD
On ^in++++=On
Tuesday ^nr++++=Tuesday
I ^pp1a+pp1+++=I
dressed ^vbd+++xvbnx+=dressed
mesilf ^nn+++??+=mesilf
wid ^in++++=wid
such ^abl++++=such
splendour ^nn++++=splendour
that ^tht+rel+obj++=that
the ^ati++++=the
looking ^jj+++xvbg+=looking-glass
- ^zz++++=EXTRAWORD
glass ^nn++++=EXTRAWORD
cracked ^vbd+++xvbn+=cracked
from ^in++++=from
pure ^jj+atrb+++=pure
admiration ^nn+nom+++=admiration.
. ^zz++++=EXTRAWORD
Me ^pp1o+pp1+++=Me
coat ^nn++++=coat
was ^vbd+bedz+vrb++=was
green ^nn++++=green,
, ^zz++++=EXTRAWORD
me ^pp1o+pp1+++=me
waistcoat ^nn++++=waistcoat
crimson ^nn+++??+=crimson,
, ^zz++++=EXTRAWORD
me ^pp1o+pp1+++=me
breeches ^nns++++=breeches
lavender ^nn+nom+++=lavender,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
me ^pp1o+pp1+++=me
neckcloth ^nn+++??+=neckcloth
had ^vb+hv+vrb++=had
enough ^qlp++++=enough
linen ^nn++++=linen
in ^in++++=in
it ^pp3+it+++=it
to ^to++++=to
sail ^vbi++++=sail
a ^at++++=a
small ^jj+atrb+++=small
boat ^nn++++=boat.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
put ^vbd+++xvbnx+=put
a ^at++++=a
diamond ^nn++++=diamond
pin ^np++++=pin
in ^in++++=in
the ^ati++++=the
cloth ^nn++++=cloth,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
only ^rb+down+++=only
glass ^nn++++=glass
on ^in++++=on
weekdays ^nns++++=weekdays,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
rubbed ^vbd+++xvbn+=rubbed
me ^pp1o+pp1+++=me
hair ^nn++++=hair
wid ^in++++=wid
bear ^nn++++=bear's
's ^$++++=EXTRAWORD
grease ^nn++++=grease
till ^cs+sub+++=till
a ^at++++=a
fly ^vb++++=fly
that ^dt+dem+++=that
landed ^jj+++xvbn+=landed
upon ^in++++=upon
it ^pp3+it+++=it
skated ^vbd+++xvbn+=skated
from ^in++++=from
one ^cd1++++=one
ear ^nn++++=ear
to ^in++++=to
the ^ati++++=the
other ^ap++++=other.
. ^zz++++=EXTRAWORD
The ^ati++++=The
Count ^nn++++=Count
arrived ^vbd+++xvbn+=arrived
in ^in++++=in
pale ^nn++++=pale
blue ^jj++++=blue,
, ^zz++++=EXTRAWORD
smelling ^vbg+nom++xvbg+=smelling
of ^in++++=of
violets ^nns+nom+++=violets
and ^cc++++=and
vanity ^nn++++=vanity.
. ^zz++++=EXTRAWORD
" ^zz++++="Sir
sir ^npt++++=EXTRAWORD
Patrique ^np+++??+=Patrique,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
says ^vbz+vpub+tht0++=says
he ^pp3a+pp3+++=he,
, ^zz++++=EXTRAWORD
staring ^vbg+++xvbg+=staring
at ^rb++++=at
me ^pp1o+pp1+++=me,
, ^zz++++=EXTRAWORD
" ^zz++++="you
you ^pp2+pp2+++=EXTRAWORD
ees ^vbz+bez+aux++=ees
how ^wrb+who+++=how
say ^vb+vpub+++=say?
? ^zz++++=EXTRAWORD
ver ^jjr++++=ver'
' ^zz++++=EXTRAWORD
visible ^jj++++=visible."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Count,"
count ^npt++++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
says ^vbz+vpub+tht0++=says
I ^pp1a+pp1+++=I,
, ^zz++++=EXTRAWORD
" ^zz++++="that's
that ^dt+pdem+++=EXTRAWORD
's ^vbz+bez+vrb++0=EXTRAWORD
the ^ati++++=the
object ^nn++++=object
of ^in++++=of
dress ^nn++++=dress."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
And ^cc++++=And
away ^rp+pl+++=away
we ^pp1a+pp1+++=we
went ^vbd+++xvbn+=went.
. ^zz++++=EXTRAWORD
Mrs ^npt++++=Mrs.
. ^zz++++=EXTRAWORD
Tracle ^np++++=Tracle
received ^vbd+++xvbn+=received
us ^pp1o+pp1+++=us
in ^in++++=in
her ^pp$+pp3+++=her
drawing ^nvbg+++xvbg+=drawing-room.
- ^zz++++=EXTRAWORD
room ^nn++++=EXTRAWORD
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
a ^at++++=a
beautiful ^jj+atrb+++=beautiful
apartment ^nn+nom+++=apartment,
, ^zz++++=EXTRAWORD
full ^jj++++=full
of ^in++++=of
chairs ^nns++++=chairs
nobody ^pn++++=nobody
could ^md+pos+++=could
sit ^vb++++=sit
upon ^in+strn+++=upon,
, ^zz++++=EXTRAWORD
tables ^nns++++=tables
nobody ^pn++++=nobody
could ^md+pos+++=could
put ^vb+++xvbn+=put
anything ^pn++++=anything
upon ^in+strn+++=upon,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
little ^jj+atrb+++=little
china ^np++++=china
shepherdesses ^nns+nom++??+=shepherdesses
that ^tht+rel+++=that
looked ^jj+++xvbn+=looked
as ^cs+sub+++=as
if ^cs+cnd+++=if
they ^pp3a+pp3+++=they'd
'd ^md+prd+aux++0=EXTRAWORD
never ^rb++splt++=never
seen ^vprf+++xvbnx+=seen
a ^at++++=a
sheep ^nn++++=sheep.
. ^zz++++=EXTRAWORD
In ^in++++=In
the ^ati++++=the
middle ^nn++++=middle
stood ^vbd+++xvbn+=stood
a ^at++++=a
long ^jj+atrb+++=long
sofa ^nn++++=sofa
covered ^vbd+++xvbn+=covered
in ^in++++=in
yellow ^jj+atrb+++=yellow
satin ^nn++++=satin.
. ^zz++++=EXTRAWORD
The ^ati++++=The
widow ^nn++++=widow
herself ^ppl+pp3+++=herself
sat ^vbd+++xvbn+=sat
near ^in+pl+++=near
the ^ati++++=the
fire ^nn++++=fire,
, ^zz++++=EXTRAWORD
dressed ^j+++xvbn+=dressed
in ^in++++=in
mourning ^xvbg+++xvbg+=mourning,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
a ^at++++=a
bit ^nn++++=bit
of ^in++++=of
pink ^jj+atrb+++=pink
ribbon ^nn++++=ribbon
at ^rb++++=at
her ^pp3o+pp3+++=her
throat ^nn++++=throat
which ^whp+rel+obj++=which,
, ^zz++++=EXTRAWORD
ye ^pp2+pp2+++=ye
may ^md+pos+++=may
swear ^vbd+vpub++xvbn+=swear,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
had ^vbd+hvd+aux++=had
put ^vprf+++xvbnx+=put
on ^rb+phrv+++=on
expressly ^rb++++=expressly
for ^in++++=for
Sir ^npt++++=Sir
Pathrick ^np+++??+=Pathrick
O ^zz++++=O'Grandison,
'grandison, ^nn+++??+=EXTRAWORD
Barronitt ^np+++??+=Barronitt.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
she ^pp3a+pp3+++=she
saw ^vbd+vprv++xvbnx+=saw
the ^ati++++=the
Count ^nn++++=Count
she ^pp3a+pp3+++=she
smiled ^vbd+++xvbnx+=smiled.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
she ^pp3a+pp3+++=she
saw ^vbd+vprv++xvbnx+=saw
me ^pp1o+pp1+++=me
she ^pp3a+pp3+++=she
stopped ^vbd+++xvbnx+=stopped
smiling ^jj+++xvbg+=smiling.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There's
's ^vbz+bez+vrb++0=EXTRAWORD
love ^nn++++=love
for ^in++++=for
ye ^pp2+pp2+++=ye!
! ^zz++++=EXTRAWORD
Her ^pp$+pp3+++=Her
feelings ^nns+nom+++=feelings
were ^vbd+bed+vrb++=were
too ^ql++++=too
deep ^jj++++=deep
for ^in++++=for
merriment ^nn+nom+++=merriment.
. ^zz++++=EXTRAWORD
" ^zz++++="Madame,"
madame ^npt++++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
says ^vbz+vpub+++=says
the ^ati++++=the
Count ^nn++++=Count,
, ^zz++++=EXTRAWORD
bending ^nvbg+++xvbg+=bending
himself ^ppl+pp3+++=himself
till ^in++++=till
his ^pp$+pp3+++=his
nose ^nn++++=nose
nearly ^rb+down+++=nearly
touched ^vbd+++xvbn+=touched
the ^ati++++=the
carpet ^nn++++=carpet,
, ^zz++++=EXTRAWORD
" ^zz++++="permittez-moi
permittez ^nn+++??+=EXTRAWORD
- ^zz++++=EXTRAWORD
moi ^&fw++++=EXTRAWORD
pr ^nn+++??+=pr
sentay ^nn+++??+=sentay
le ^&fw++++=le
grand ^jj++++=grand,
, ^zz++++=EXTRAWORD
le ^&fw++++=le
terrible ^jj++++=terrible,
, ^zz++++=EXTRAWORD
le ^&fw++++=le
charmant ^jj+atrb+++=charmant
Sir ^npt++++=Sir
Patrique ^np+++??+=Patrique
O ^zz++++=O'Grandisong."
'grandisong." ^nn+++??+=EXTRAWORD
I ^pp1a+pp1+++=I
stepped ^vbd+++xvbnx+=stepped
forward ^rb+cnj+++=forward,
, ^zz++++=EXTRAWORD
caught ^j+++xvbn+=caught
me ^pp1o+pp1+++=me
spur ^nn++++=spur
in ^in++++=in
the ^ati++++=the
rug ^nn++++=rug,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
made ^vbd+++xvbn+=made
an ^at++++=an
obaysance ^nn+nom+++=obaysance
so ^rb+emph+++=so
profound ^jj++++=profound
that ^cs+sub+++=that
me ^pp1o+pp1+++=me
forehead ^nn++++=forehead
struck ^vbd+++xvbn+=struck
a ^at++++=a
china ^np++++=china
shepherdess ^nns+nom+++=shepherdess
off ^in+pl+++=off
the ^ati++++=the
table ^nn++++=table.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
caught ^vbd+++xvbnx+=caught
the ^ati++++=the
little ^jj+atrb+++=little
figure ^nn++++=figure
before ^cs+sub+++=before
it ^pp3+it+++=it
reached ^vbd+++xvbn+=reached
the ^ati++++=the
floor ^nn++++=floor,
, ^zz++++=EXTRAWORD
however ^rb+cnj+++=however,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
put ^vb+++xvbn+=put
it ^pp3+it+++=it
into ^in++++=into
me ^pp1o+pp1+++=me
pocket ^nn++++=pocket
wid ^in++++=wid
perfect ^jj+atrb+++=perfect
composure ^nn++++=composure.
. ^zz++++=EXTRAWORD
" ^zz++++="Madam,"
madam ^npt++++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
says ^vbz+vpub+tht0++=says
I ^pp1a+pp1+++=I,
, ^zz++++=EXTRAWORD
" ^zz++++="Sir
sir ^npt++++=EXTRAWORD
Pathrick ^np+++??+=Pathrick
O ^zz++++=O'Grandison,
'grandison, ^nn+++??+=EXTRAWORD
Barronitt ^np+++??+=Barronitt,
, ^zz++++=EXTRAWORD
places ^nns++++=places
his ^pp$+pp3+++=his
title ^nn++++=title,
, ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
sword ^nn++++=sword,
, ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
estates ^nns+nom+++=estates,
, ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
education ^nn+nom+++=education,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
every ^at++++=every
drop ^nn++++=drop
of ^in++++=of
his ^pp$+pp3+++=his
ancient ^jj+atrb+++=ancient
blood ^nn++++=blood
at ^rb++++=at
yer ^pp$++++=yer
feet ^nns++++=feet."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
hope ^nn++++=hope
you ^pp2+pp2+++=you
will ^md+prd+++=will
place ^vb++++=place
yourself ^ppl+pp2+++=yourself
on ^in++++=on
a ^at++++=a
chair ^nn++++=chair,
, ^zz++++=EXTRAWORD
Sir ^npt++++=Sir
Patrick ^np++++=Patrick,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
says ^vbz+vpub+tht0++=says
she ^pp3a+pp3+++=she.
. ^zz++++=EXTRAWORD
A ^at++++=A
modest ^jj+atrb+++=modest
woman ^nn++++=woman!
! ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
could ^md+pos+++=couldn't
n't ^xnot++not++0=EXTRAWORD
accept ^vb+vprv+++=accept
everything ^pn++++=everything
at ^rb++++=at
once ^rb"+tm+++=once.
. ^zz++++=EXTRAWORD
The ^ati++++=The
Count ^nn++++=Count
flew ^vbd+++xvbn+=flew
to ^in++++=to
her ^pp$+pp3+++=her
right ^jj+atrb+++=right
side ^nn++++=side.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
flew ^vbd+++xvbnx+=flew
to ^in++++=to
her ^pp$+pp3+++=her
left ^vbd+++xvbn+=left.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
reached ^vbd+++xvbnx+=reached
the ^ati++++=the
sofa ^nn++++=sofa
first ^rb+cnj+++=first,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
I ^pp1a+pp1+++=I
sat ^vbd+++xvbnx+=sat
down ^rb+phrv+++=down
first ^rb+cnj+++=first,
, ^zz++++=EXTRAWORD
partly ^rb+down+++=partly
upon ^in++++=upon
the ^ati++++=the
cushion ^nn++++=cushion
and ^cc++++=and
partly ^rb+down+++=partly
upon ^in++++=upon
his ^pp$+pp3+++=his
coat ^nn++++=coat-tail,
- ^zz++++=EXTRAWORD
tail ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
detained ^vbd+++xvbn+=detained
him ^pp3o+pp3+++=him
very ^ql+amp+++=very
prettily ^rb++++=prettily
until ^cs+sub+++=until
he ^pp3a+pp3+++=he
gave ^vbd+++xvbnx+=gave
it ^pp3+it+++=it
a ^at++++=a
tug ^nn++++=tug.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
there ^ex+pex+++=there
we ^pp1a+pp1+++=we
were ^vbd+bed+vrb++=were,
, ^zz++++=EXTRAWORD
the ^ati++++=the
widow ^nn++++=widow
in ^in++++=in
the ^ati++++=the
middle ^jjb++++=middle,
, ^zz++++=EXTRAWORD
the ^ati++++=the
Count ^npt++++=Count
on ^in++++=on
one ^cd1++++=one
side ^nn++++=side,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
me ^pp1o+pp1+++=me
on ^in++++=on
the ^ati++++=the
other ^ap++++=other,
, ^zz++++=EXTRAWORD
like ^in++++=like
a ^at++++=a
rose ^nn+++xvbn+=rose
between ^in++++=between
a ^at++++=a
pair ^nn++++=pair
of ^in++++=of
thorns ^nns++++=thorns
though ^cs+sub+++=though
I ^pp1a+pp1+++=I'll
'll ^md+prd+++0=EXTRAWORD
lave ^vb+++??+=lave
ye ^pp2+pp2+++=ye
to ^to++++=to
judge ^vbi++++=judge
which ^whp+who+++=which
was ^vbd+bedz+vrb++=was
the ^ati++++=the
rose ^nn+++xvbn+=rose.
. ^zz++++=EXTRAWORD
The ^ati++++=The
Count ^nn++++=Count
began ^vbd+++xvbn+=began:
: ^zz++++=EXTRAWORD
" ^zz++++="Madame,
madame ^npt++++=EXTRAWORD
, ^zz++++=EXTRAWORD
la ^&fw++++=la
weather ^nn++++=weather
ees ^vbz+bez+vrb++=ees
charmante ^nn+++??+=charmante."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="It
it ^pp3+it+++=EXTRAWORD
has ^vbz+hvz+aux++=has
been ^vprf+ben+aux+xvbnx+=been
raining ^vbg+++xvbgx+=raining
for ^in++++=for
a ^at++++=a
week ^nn++++=week,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
says ^vbz+vpub+tht0++=says
she ^pp3a+pp3+++=she.
. ^zz++++=EXTRAWORD
" ^zz++++="Ah,
ah ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
oui ^nn+++??+=oui!
! ^zz++++=EXTRAWORD
Frinch ^np+++??+=Frinch
rain ^nn++++=rain
tr ^nn++++=tr
s ^zz++++=s
l ^zz++++=l
gant ^nn++++=gant."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Madam,"
madam ^npt++++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
says ^vbz+vpub+tht0++=says
I ^pp1a+pp1+++=I,
, ^zz++++=EXTRAWORD
" ^zz++++="we
we ^pp1a+pp1+++=EXTRAWORD
have ^vb+hv+vrb++=have
rain ^nn++++=rain
in ^in++++=in
Ireland ^np++++=Ireland
that ^tht+rel+subj++=that
would ^md+prd+++=would
drown ^vb++++=drown
this ^dt+dem+++=this
poor ^jj+atrb+++=poor
foreign ^jj+atrb+++=foreign
drizzle ^nn++++=drizzle
in ^in++++=in
five ^cd++++=five
minutes ^nns++++=minutes.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
remember ^nn+nom+++=remember
a ^at++++=a
shower ^nn++++=shower
in ^in++++=in
Ballybrogan ^np+nom++??+=Ballybrogan
that ^tht+rel+subj++=that
filled ^vbd+++xvbn+=filled
seven ^cd++++=seven
wells ^np++++=wells,
, ^zz++++=EXTRAWORD
floated ^j+++xvbn+=floated
Father ^npt++++=Father
O ^zz++++=O'Murtagh
'murtagh ^nn++be+??+0=EXTRAWORD
out ^rp+pl+++=out
of ^in++++=of
his ^pp$+pp3+++=his
chapel ^nn++++=chapel,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
washed ^vbd+++xvbn+=washed
a ^at++++=a
cow ^nn++++=cow
through ^in++++=through
the ^ati++++=the
second ^od++++=second-storey
- ^zz++++=EXTRAWORD
storey ^nn++++=EXTRAWORD
window ^nn++++=window
of ^in++++=of
a ^at++++=a
mill ^nn++++=mill."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Indeed?"
indeed ^rb++++=EXTRAWORD
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
says ^vbz+vpub+tht0++=says
she ^pp3a+pp3+++=she.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
looked ^vbd+++xvbnx+=looked
toward ^in++++=toward
the ^ati++++=the
bell ^nn++++=bell-rope,
- ^zz++++=EXTRAWORD
rope ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
overcome ^j+++xvbn+=overcome
wid ^in++++=wid
astonishment ^nn+nom+++=astonishment
at ^in++++=at
me ^pp1o+pp1+++=me
conversational ^jj+atrb+++=conversational
powers ^nns++++=powers.
. ^zz++++=EXTRAWORD
Thin ^jj++++=Thin
the ^ati++++=the
Count ^nn++++=Count
spoke ^vbd+++xvbn+=spoke
of ^in++++=of
music ^nn++++=music.
. ^zz++++=EXTRAWORD
" ^zz++++="Madame
madame ^npt++++=EXTRAWORD
play ^nn++++=play
ze ^ati++++=ze
harpicord ^nn+++??+=harpicord?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="A
a ^rb++++=EXTRAWORD
little ^rb"++++=little."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Sir
sir ^npt++++=EXTRAWORD
Patrique ^np+++??+=Patrique,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
says ^vbz+vpub+tht0++=says
he ^pp3a+pp3+++=he,
, ^zz++++=EXTRAWORD
sneering ^vbg+++xvbg+=sneering,
, ^zz++++=EXTRAWORD
" ^zz++++="perhaps
perhaps ^rb++++=EXTRAWORD
play ^vb++++=play
some ^dti++++=some
instrument ^nn+nom+++=instrument?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Every
every ^at++++=EXTRAWORD
instrument ^nn+nom+++=instrument,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
says ^vbz+vpub+tht0++=says
I ^pp1a+pp1+++=I.
. ^zz++++=EXTRAWORD
This ^dt+pdem+++=This
was ^vbd+bedz+vrb++=was
near ^in+pl+++=near
enough ^qlp++++=enough
to ^in++++=to
truth ^nn++++=truth,
, ^zz++++=EXTRAWORD
for ^in++++=for
I ^pp1a+pp1+++=I
had ^vb+hv+aux++=had
once ^rb+tm+splt++=once
beaten ^vprf+++xvbnx+=beaten
a ^at++++=a
drum ^nn++++=drum
and ^cc++++=and
frequently ^rb++++=frequently
rung ^vprf+++xvbn+=rung
a ^at++++=a
dinner ^nn++++=dinner-bell.
- ^zz++++=EXTRAWORD
bell ^nn++++=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++="The
the ^ati++++=EXTRAWORD
flute ^nn++++=flute?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
asks ^vbz++++=asks
the ^ati++++=the
widow ^nn++++=widow.
. ^zz++++=EXTRAWORD
" ^zz++++="Like
like ^in++++=EXTRAWORD
an ^at++++=an
angel ^nn++++=angel."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="The
the ^ati++++=EXTRAWORD
violin ^nn++++=violin?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Like
like ^in++++=EXTRAWORD
two ^cd++++=two
angels ^nns++++=angels."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="The
the ^ati++++=EXTRAWORD
pianoforte ^nn+++??+=pianoforte?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Like
like ^in++++=EXTRAWORD
the ^ati++++=the
whole ^jj+atrb+++=whole
heavenly ^jj+atrb+++=heavenly
choir ^nn++++=choir
dancing ^vwbg+++xvbg+=dancing
a ^at++++=a
jig ^nn++++=jig
upon ^in++++=upon
a ^at++++=a
tin ^nn++++=tin
roof ^nn++++=roof."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Mrs ^npt++++=Mrs.
. ^zz++++=EXTRAWORD
Tracle ^np++++=Tracle
covered ^vbd+++xvbn+=covered
her ^pp3o+pp3+++=her
mouth ^nn++++=mouth.
