Into ^in++++=Into
, ^zz++++=EXTRAWORD
where ^wrb+who+++=where
black ^jj+atrb+++=black
pines ^nns++++=pines
leaned ^vbd+++xvbn+=leaned
over ^in++++=over
ravines ^nns+++??+=ravines
and ^cc++++=and
wolves ^nps++++=wolves
cried ^vbd+++xvbn+=cried
at ^in++++=at
sunset ^nn++++=sunset;
; ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
traversed ^vbd+++xvbnx+=traversed
the ^ati++++=the
salt ^nn++++=salt
flats ^nns++++=flats
of ^in++++=of
Yath ^np+++??+=Yath,
, ^zz++++=EXTRAWORD
wherein ^wrb+who+++=wherein
the ^ati++++=the
moon ^np++++=moon
made ^vbd+++xvbn+=made
a ^at++++=a
second ^od++++=second
sky ^nn++++=sky
beneath ^in+pl+++=beneath
their ^pp$+pp3+++=their
feet ^nns++++=feet;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
they ^pp3a+pp3+++=they
slept ^vbd+++xvbnx+=slept
in ^in++++=in
ruined ^jj+atrb++xvbn+=ruined
temples ^nns++++=temples
whose ^whp+rel+obj++=whose
gods ^nns++++=gods
had ^vbd+hvd+aux++=had
lost ^vprf+++xvbnx+=lost
their ^pp$+pp3+++=their
names ^nns++++=names.
. ^zz++++=EXTRAWORD
In ^in++++=In
villages ^nns+nom+++=villages
Iranon ^np+++??+=Iranon
sang ^vbd+++xvbn+=sang
for ^in++++=for
bread ^nn++++=bread,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
sometimes ^rb++++=sometimes
men ^nns++++=men
listened ^vbd+++xvbn+=listened,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
more ^rbr++++=more
often ^rb++++=often
they ^pp3a+pp3+++=they
demanded ^vbd+vsua++xvbnx+=demanded
jests ^nns+++??+=jests,
, ^zz++++=EXTRAWORD
war ^nn++++=war-ballads,
- ^zz++++=EXTRAWORD
ballads ^nns++++=EXTRAWORD
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
prophecies ^nns++++=prophecies
concerning ^in++++=concerning
the ^ati++++=the
price ^nn++++=price
of ^in++++=of
grain ^nn++++=grain.
. ^zz++++=EXTRAWORD
Always ^rb++++=Always
he ^pp3a+pp3+++=he
sang ^vbd+++xvbnx+=sang
instead ^rb+cnj+++=instead
of ^in++++=of
Aira ^np+++??+=Aira,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
always ^rb++++=always
he ^pp3a+pp3+++=he
asked ^vbd+vsua++xvbnx+=asked
whence ^wrb+who+++=whence
ran ^vbd+++xvbn+=ran
the ^ati++++=the
road ^nn++++=road
to ^in++++=to
the ^ati++++=the
city ^nn++++=city
of ^in++++=of
marble ^nn++++=marble
and ^cc++++=and
beryl ^np++++=beryl.
. ^zz++++=EXTRAWORD
Romnod ^np+++??+=Romnod
grew ^vbd+++xvbn+=grew
tall ^jj++++=tall,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
first ^od++++=first
shadow ^nn++++=shadow
of ^in++++=of
a ^at++++=a
beard ^nn++++=beard
came ^vbd+++xvbn+=came
upon ^in+ppvb+++=upon
his ^pp$+pp3+++=his
cheeks ^nns++++=cheeks;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
Iranon ^np+++??+=Iranon
remained ^vbd+++xvbn+=remained
as ^ql++++=as
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
entered ^vprf+++xvbnx+=entered
Teloth ^np+++??+=Teloth,
, ^zz++++=EXTRAWORD
slender ^jj++++=slender
and ^cc+phrs+++=and
golden ^jj++++=golden-haired,
- ^zz++++=EXTRAWORD
haired ^jj++++=EXTRAWORD
, ^zz++++=EXTRAWORD
with ^in++++=with
the ^ati++++=the
same ^ap++++=same
clear ^jj+atrb+++=clear
brow ^nn++++=brow
and ^cc++++=and
eyes ^nns++++=eyes
wherein ^wrb+who+++=wherein
distant ^jj+atrb+++=distant
towers ^nns++++=towers
seemed ^vbd+seem++xvbn+=seemed
reflected ^vbd+vprv++xvbn+=reflected.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
Romnod ^np+++??+=Romnod
marvelled ^vbd+++xvbn+=marvelled,
, ^zz++++=EXTRAWORD
Iranon ^np+++??+=Iranon
answered ^vbd+vpub++xvbn+=answered
that ^tht+vcmp+++=that
those ^dt+pdem+++=those
born ^vbd+++xvbn+=born
in ^in++++=in
Aira ^np+++??+=Aira
carried ^vbd+++xvbn+=carried
its ^pp$+it+++=its
youth ^nn++++=youth
until ^cs+sub+++=until
they ^pp3a+pp3+++=they
came ^vbd+++xvbnx+=came
home ^nr++++=home.
. ^zz++++=EXTRAWORD
At ^rb++++=At
last ^rb"++++=last,
, ^zz++++=EXTRAWORD
from ^in++++=from
a ^at++++=a
pass ^vb++++=pass
above ^jjb++++=above
a ^at++++=a
warm ^jj+atrb+++=warm
and ^cc+phrs+++=and
fragrant ^jj+atrb+++=fragrant
valley ^nn++++=valley,
, ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
beheld ^vb+++??+=beheld
Oonai ^np+++??+=Oonai.
. ^zz++++=EXTRAWORD
Its ^pp$+it+++=Its
domes ^nns+++??+=domes
were ^vbd+bed+aux++=were
rose ^vpsv++agls+xvbnx+=rose
and ^cc++++=and
amber ^nn++++=amber
in ^in++++=in
the ^ati++++=the
evening ^nn++++=evening,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
its ^pp$+it+++=its
terraces ^nns++++=terraces
descended ^vbd+++xvbn+=descended
among ^in++++=among
groves ^nns++++=groves
of ^in++++=of
fig ^nn++++=fig
and ^cc++++=and
almond ^nn++++=almond
to ^in++++=to
a ^at++++=a
river ^nn++++=river
shining ^vwbg+++xvbg+=shining
blue ^jj++++=blue.
. ^zz++++=EXTRAWORD
Bells ^nns++++=Bells
sounded ^vbd+++xvbn+=sounded
from ^in++++=from
towers ^nns++++=towers
of ^in++++=of
tinted ^jj+atrb+++=tinted
marble ^nn++++=marble;
; ^zz++++=EXTRAWORD
fountains ^nns++++=fountains
lifted ^vbd+++xvbn+=lifted
crystal ^nn++++=crystal
plumes ^nns+++??+=plumes
above ^jjb+atrb+++=above
gardens ^nns++++=gardens;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
along ^in++++=along
the ^ati++++=the
walls ^nns++++=walls
fluttered ^vbd+++xvbn+=fluttered
banners ^nns+nom+++=banners
of ^in++++=of
scarlet ^jj++++=scarlet,
, ^zz++++=EXTRAWORD
peacock ^nn++++=peacock-green,
- ^zz++++=EXTRAWORD
green ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
cloth ^nn++++=cloth-of-gold.
- ^zz++++=EXTRAWORD
of ^in++++=EXTRAWORD
- ^zz++++=EXTRAWORD
gold ^nn++++=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++="Surely,"
surely ^rb+cnj+++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
cried ^vbd+++xvbn+=cried
Romnod ^np+++??+=Romnod,
, ^zz++++=EXTRAWORD
" ^zz++++="this
this ^dt+pdem+++=EXTRAWORD
is ^vbz+bez+vrb++=is
almost ^rb+hdg+++=almost
Aira ^np+++??+=Aira!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
But ^cc++++=But
Iranon ^np+++??+=Iranon
looked ^vbd+++xvbn+=looked
long ^rb++++=long
upon ^in++++=upon
the ^ati++++=the
city ^nn++++=city
and ^cc++++=and
shook ^vbd+++xvbn+=shook
his ^pp$+pp3+++=his
head ^nn++++=head.
. ^zz++++=EXTRAWORD
" ^zz++++="Aira's
aira ^nn+++??+=EXTRAWORD
's ^$++++=EXTRAWORD
towers ^nns++++=towers
are ^vb+ber+vrb++=are
more ^rbr++++=more
slender ^jj+pred+++=slender,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
Nithra ^np+++??+=Nithra
is ^vbz+bez+vrb++=is
clearer ^jjr+pred+++=clearer
than ^cs+sub+++=than
that ^dt+dem+++=that
river ^npl++++=river.
. ^zz++++=EXTRAWORD
Yet ^rb++++=Yet
perhaps ^rb++++=perhaps
the ^ati++++=the
people ^nn++++=people
of ^in++++=of
Oonai ^np+++??+=Oonai
remember ^nn+nom+++=remember
beauty ^nn++++=beauty,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
through ^rp++++=through
them ^pp3o+pp3+++=them
we ^pp1a+pp1+++=we
may ^md+pos+++=may
learn ^vb+vprv+++=learn
tidings ^nns++++=tidings
of ^in++++=of
my ^pp$+pp1+++=my
home ^nr++++=home."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
At ^rb++++=At
the ^ati++++=the
gate ^nn++++=gate
stood ^vbd+++xvbn+=stood
revellers ^nns+nom+++=revellers
crowned ^vwbn+++xvbn+=crowned
with ^in++++=with
vines ^nns++++=vines,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
when ^wrb+who+++=when
they ^pp3a+pp3+++=they
saw ^vbd+vprv++xvbnx+=saw
the ^ati++++=the
fair ^jj++++=fair
stranger ^jjr++++=stranger
and ^cc++++=and
his ^pp$+pp3+++=his
silver ^nn++++=silver-stringed
- ^zz++++=EXTRAWORD
stringed ^jj+atrb++xvbn+=EXTRAWORD
lute ^nn+++??+=lute,
, ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
drew ^vbd+++xvbnx+=drew
him ^pp3o+pp3+++=him
into ^in++++=into
their ^pp$+pp3+++=their
procession ^nn++++=procession.
. ^zz++++=EXTRAWORD
Thus ^rb+cnj+++=Thus
Iranon ^np+++??+=Iranon
entered ^vbd+++xvbn+=entered
Oonai ^np+++??+=Oonai
beneath ^in+pl+++=beneath
showers ^nns+nom+++=showers
of ^in++++=of
rose ^nn+++xvbn+=rose
petals ^nns++++=petals,
, ^zz++++=EXTRAWORD
whilst ^cs+sub+++=whilst
Romnod ^np+++??+=Romnod
laughed ^vbd+++xvbn+=laughed
among ^in++++=among
girls ^nns++++=girls
whose ^whp+rel+obj++=whose
bracelets ^nns+nom+++=bracelets
chimed ^vbd+++xvbn+=chimed
as ^ql++++=as
they ^pp3a+pp3+++=they
walked ^vbd+++xvbnx+=walked.
. ^zz++++=EXTRAWORD
That ^dt+dem+++=That
night ^nn++++=night
Iranon ^np+++??+=Iranon
sang ^vbd+++xvbn+=sang
in ^in++++=in
the ^ati++++=the
palace ^nn++++=palace
of ^in++++=of
the ^ati++++=the
magistrate ^nn+nom+++=magistrate.
. ^zz++++=EXTRAWORD
Lamps ^nns++++=Lamps
of ^in++++=of
perfumed ^jj+atrb++xvbn+=perfumed
oil ^nn++++=oil
burned ^vbd+++xvbn+=burned
in ^in++++=in
chains ^nns++++=chains
of ^in++++=of
gold ^nn++++=gold;
; ^zz++++=EXTRAWORD
wine ^nn++++=wine
glowed ^vbd+++xvbn+=glowed
purple ^nn++++=purple
in ^in++++=in
cups ^nns++++=cups
of ^in++++=of
jade ^nn+++??+=jade;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
guests ^nns++++=guests
reclined ^vbd+++xvbn+=reclined
upon ^in++++=upon
satin ^nn++++=satin
couches ^nns++++=couches
beneath ^in+pl+++=beneath
painted ^vbd+++xvbn+=painted
ceilings ^nns+nom+++=ceilings.
. ^zz++++=EXTRAWORD
Iranon ^np+++??+=Iranon
sang ^vbd+++xvbn+=sang
first ^od++++=first
of ^in++++=of
twilight ^nn++++=twilight
on ^in++++=on
the ^ati++++=the
Nithra ^np+++??+=Nithra,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
swans ^nn++++=swans
passed ^vbd+++xvbn+=passed
between ^in++++=between
the ^ati++++=the
reflections ^nns+nom+++=reflections
of ^in++++=of
towers ^nns++++=towers.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
sang ^vbd+++xvbnx+=sang
of ^in++++=of
the ^ati++++=the
little ^jj+atrb+++=little
Kra ^np+++??+=Kra
beneath ^rb++++=beneath
green ^npl++++=green
branches ^nns++++=branches,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
of ^in++++=of
moonbeams ^nns+++??+=moonbeams
lying ^vwbg+++xvbg+=lying
white ^jj++++=white
upon ^in++++=upon
the ^ati++++=the
palace ^nn++++=palace
floor ^nn++++=floor.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
sang ^vbd+++xvbnx+=sang
of ^in++++=of
a ^at++++=a
kingly ^jj+atrb+++=kingly
father ^nn++++=father,
, ^zz++++=EXTRAWORD
grave ^jj++++=grave
and ^cc+phrs+++=and
gentle ^jj++++=gentle,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
listened ^vbd+++xvbn+=listened
from ^in++++=from
an ^at++++=an
ivory ^nn++++=ivory
throne ^nn++++=throne;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
of ^in++++=of
Aira ^np++++=Aira's
's ^$++++=EXTRAWORD
people ^nns++++=people
waiting ^vwbg+++xvbg+=waiting
through ^in++++=through
the ^ati++++=the
years ^nns++++=years
for ^in++++=for
their ^pp$+pp3+++=their
lost ^xvbn+++xvbn+=lost
prince ^npt++++=prince
to ^to++++=to
return ^vbi++++=return.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
the ^ati++++=the
last ^jj+atrb+++=last
chord ^nn++++=chord
faded ^vbd+++xvbn+=faded,
, ^zz++++=EXTRAWORD
the ^ati++++=the
feasters ^nns+nom+++=feasters
were ^vbd+bed+vrb++=were
silent ^jj+pred+++=silent.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
they ^pp3a+pp3+++=they
shouted ^vbd+vpub+tht0+xvbnx+=shouted
his ^pp$+pp3+++=his
name ^nn++++=name,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
women ^nns++++=women
cast ^vbd+++xvbn+=cast
necklaces ^nns+++??+=necklaces
at ^rb++++=at
his ^pp$+pp3+++=his
feet ^nns++++=feet,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
magistrate ^npt+nom+++=magistrate
placed ^vwbn+++xvbn+=placed
upon ^in++++=upon
him ^pp3o+pp3+++=him
a ^at++++=a
robe ^nn++++=robe
of ^in++++=of
fresh ^jj++++=fresh
purple ^jj++++=purple
clasped ^jj+++xvbn+=clasped
with ^in++++=with
beryl ^np++++=beryl.
. ^zz++++=EXTRAWORD
" ^zz++++="Remain
remain ^vb++++=EXTRAWORD
in ^in++++=in
Oonai ^np+++??+=Oonai,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
said ^vbd+vpub++xvbnx+=said,
, ^zz++++=EXTRAWORD
" ^zz++++="and
and ^cc++++=EXTRAWORD
sing ^vb++++=sing
every ^at++++=every
night ^nn++++=night,
, ^zz++++=EXTRAWORD
for ^in++++=for
no ^at++++=no
voice ^nn++++=voice
so ^ql+emph+++=so
sweet ^jj++++=sweet
hath ^vbz+hvz+aux++=hath
been ^vprf+ben+aux+xvbnx+=been
heard ^vpsv++agls+xvbnx+=heard
among ^in++++=among
us ^pp1o+pp1+++=us."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Iranon ^np+++??+=Iranon
dwelt ^vbd+++xvbn+=dwelt
therefore ^rb+cnj+++=therefore
in ^in++++=in
a ^at++++=a
chamber ^nn++++=chamber
overlooking ^vwbg+++xvbg+=overlooking
gardens ^nns++++=gardens
where ^wrb+who+++=where
fountains ^nns++++=fountains
murmured ^vbd+++xvbn+=murmured
continually ^rb++++=continually.
. ^zz++++=EXTRAWORD
Servants ^nns+nom+++=Servants
combed ^vbd+++xvbn+=combed
his ^pp$+pp3+++=his
golden ^jj+atrb+++=golden
hair ^nn++++=hair
and ^cc++++=and
brought ^vbd+++xvbn+=brought
him ^pp3o+pp3+++=him
fruits ^nns++++=fruits
upon ^in++++=upon
silver ^nn++++=silver
plates ^nns++++=plates.
. ^zz++++=EXTRAWORD
Wherever ^nn+nom+++=Wherever
he ^pp3a+pp3+++=he
walked ^vbd+++xvbnx+=walked,
, ^zz++++=EXTRAWORD
men ^nns++++=men
greeted ^vbd+++xvbn+=greeted
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
children ^nns++++=children
followed ^vbd+vprv++xvbn+=followed
to ^to++++=to
hear ^vbi+vprv+++=hear
of ^in++++=of
Aira ^np+++??+=Aira.
. ^zz++++=EXTRAWORD
For ^in++++=For
a ^at++++=a
season ^nn++++=season
he ^pp3a+pp3+++=he
believed ^vbd+vprv++xvbnx+=believed
that ^tht+vcmp+++=that
Oonai ^np+++??+=Oonai
might ^md+pos+++=might
be ^vb+be+vrb++=be
the ^ati++++=the
vestibule ^nn++++=vestibule
of ^in++++=of
his ^pp$+pp3+++=his
homeland ^nn++++=homeland,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
that ^tht+vcmp+++=that
some ^dti++++=some
caravan ^nn++++=caravan
master ^nn++++=master
or ^cc++++=or
mariner ^nn++++=mariner
would ^md+prd+++=would
at ^rb++splt++=at
last ^rb"++++=last
recall ^vb+vprv+++=recall
the ^ati++++=the
road ^nn++++=road.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
Romnod ^np+++??+=Romnod
drank ^vbd+++xvbn+=drank
deeply ^rb++++=deeply
of ^in++++=of
Oonai ^np+++??+=Oonai.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
clothed ^vbd+++xvbnx+=clothed
himself ^ppl+pp3+++=himself
in ^in++++=in
scarlet ^jj++++=scarlet,
, ^zz++++=EXTRAWORD
bound ^xvbn+++xvbn+=bound
vine ^nn++++=vine
leaves ^nns++++=leaves
about ^in++++=about
his ^pp$+pp3+++=his
brow ^nn++++=brow,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
went ^vbd+++xvbn+=went
nightly ^jj++++=nightly
among ^in++++=among
dancers ^nns+nom+++=dancers,
, ^zz++++=EXTRAWORD
dice ^nns++++=dice-players,
- ^zz++++=EXTRAWORD
players ^nns+nom+++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
drinkers ^nns+nom+++=drinkers.
. ^zz++++=EXTRAWORD
At ^rb++++=At
first ^rb"++++=first
he ^pp3a+pp3+++=he
returned ^vbd+++xvbnx+=returned
before ^cs+sub+++=before
dawn ^nn++++=dawn
and ^cc++++=and
begged ^vbd+++xvbn+=begged
Iranon ^np+++??+=Iranon
for ^in++++=for
one ^cd1++++=one
more ^rbr++++=more
tale ^nn++++=tale
of ^in++++=of
the ^ati++++=the
Nithra ^np+++??+=Nithra.
. ^zz++++=EXTRAWORD
Later ^rbr+tm+++=Later
he ^pp3a+pp3+++=he
returned ^vbd+++xvbnx+=returned
at ^rb++++=at
noon ^nn++++=noon,
, ^zz++++=EXTRAWORD
wine ^nn++++=wine-reddened
- ^zz++++=EXTRAWORD
reddened ^vbd+++xvbn+=EXTRAWORD
and ^cc++++=and
laughing ^nvbg+++xvbg+=laughing,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
asked ^vbd+vsua++xvbn+=asked
instead ^rb+cnj+++=instead
for ^in++++=for
coins ^nns++++=coins.
. ^zz++++=EXTRAWORD
Still ^rb++++=Still
later ^rbr+tm+++=later
he ^pp3a+pp3+++=he
ceased ^vbd+++xvbnx+=ceased
to ^to++++=to
return ^vbi++++=return,
, ^zz++++=EXTRAWORD
save ^vb++++=save
when ^wrb+who+++=when
feasts ^nns++++=feasts
had ^vbd+hvd+aux++=had
ended ^vprf+++xvbnx+=ended
and ^cc++++=and
other ^ap++++=other
doors ^nns++++=doors
were ^vbd+bed+aux++=were
shut ^vpsv++agls+xvbnx+=shut.
. ^zz++++=EXTRAWORD
The ^ati++++=The
years ^nns++++=years
moved ^vbd+++xvbn+=moved
over ^in++++=over
Oonai ^np+++??+=Oonai
like ^in++++=like
silent ^jj+atrb+++=silent
birds ^nns++++=birds.
. ^zz++++=EXTRAWORD
Fashions ^nns++++=Fashions
altered ^vwbn+++xvbn+=altered,
, ^zz++++=EXTRAWORD
magistrates ^nns+nom+++=magistrates
died ^vbd+++xvbn+=died,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
children ^nns++++=children
who ^whp+rel+subj++=who
had ^vbd+hvd+aux++=had
followed ^vprf++tht0+xvbnx+=followed
Iranon ^np+++??+=Iranon
grew ^vbd+++xvbn+=grew
broad ^jj++++=broad
and ^cc+phrs+++=and
heavy ^jj++++=heavy.
. ^zz++++=EXTRAWORD
Romnod ^np++++=Romnod's
's ^$++++=EXTRAWORD
beard ^nn++++=beard
became ^vbd+++xvbn+=became
thick ^jj++++=thick,
, ^zz++++=EXTRAWORD
then ^rn+tm+++=then
streaked ^vbd+++xvbn+=streaked
with ^in++++=with
grey ^nn++++=grey;
; ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
clear ^jj+atrb+++=clear
gaze ^nn++++=gaze
clouded ^vbd+++xvbn+=clouded,
, ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
laughter ^nn+nom+++=laughter
coarsened ^vbd+++xvbn+=coarsened,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
his ^pp$+pp3+++=his
hands ^nns++++=hands
trembled ^vbd+++xvbn+=trembled
when ^wrb+who+++=when
no ^at++++=no
cup ^nn++++=cup
was ^vbd+bedz+vrb++=was
near ^in+strn+++=near.
. ^zz++++=EXTRAWORD
Iranon ^np+++??+=Iranon
remained ^vbd+++xvbn+=remained
young ^jj++++=young.
. ^zz++++=EXTRAWORD
" ^zz++++="Come
come ^vprf+++xvbn+=EXTRAWORD
away ^rp+pl+++=away,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Iranon ^np+++??+=Iranon
pleaded ^vbd+vpub++xvbn+=pleaded
one ^cd1++++=one
moonless ^jj+atrb+++=moonless
night ^nn++++=night.
. ^zz++++=EXTRAWORD
" ^zz++++="No
no ^at++++=EXTRAWORD
man ^nn++++=man
here ^rn+pl+++=here
knoweth ^vbz++++=knoweth
Aira ^np+++??+=Aira,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
beauty ^nn++++=beauty
without ^in++++=without
remembrance ^nn+nom+++=remembrance
is ^vbz+bez+vrb++=is
but ^cc++++=but
a ^at++++=a
flower ^nn++++=flower
cast ^vbd+++xvbn+=cast
into ^in++++=into
wine ^nn++++=wine.
. ^zz++++=EXTRAWORD
Let ^j+++xvbn+=Let
us ^pp1o+pp1+++=us
seek ^vb++++=seek
eastward ^rb+cnj+++=eastward,
, ^zz++++=EXTRAWORD
where ^wrb+who+++=where
the ^ati++++=the
merchants ^nns+nom+++=merchants
of ^in++++=of
Sidrak ^np+++??+=Sidrak
travel ^nn++++=travel."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Romnod ^np+++??+=Romnod
lay ^vbd+++xvbn+=lay
amid ^in++++=amid
cushions ^nns++++=cushions,
, ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
face ^nn++++=face
swollen ^jj++++=swollen
and ^cc+phrs+++=and
old ^jj++++=old
beneath ^in+pl+++=beneath
a ^at++++=a
wilted ^jj+atrb++xvbn+=wilted
crown ^nn++++=crown.
. ^zz++++=EXTRAWORD
" ^zz++++="Aira?"
aira ^nn+++??+=EXTRAWORD
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
muttered ^vbd+++xvbnx+=muttered.
. ^zz++++=EXTRAWORD
" ^zz++++="We
we ^pp1a+pp1+++=EXTRAWORD
have ^vb+hv+vrb++=have
fountains ^nns++++=fountains,
, ^zz++++=EXTRAWORD
girls ^nns++++=girls,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
wine ^nn++++=wine.
. ^zz++++=EXTRAWORD
What ^wdt+who+++=What
more ^ql++++=more
could ^md+pos+++=could
thy ^pp$+pp2+++=thy
dream ^nn++++=dream-city
- ^zz++++=EXTRAWORD
city ^nn++++=EXTRAWORD
give ^vb++++=give?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Not
not ^xnot++not++=EXTRAWORD
dream ^nn++++=dream-city,"
- ^zz++++=EXTRAWORD
city ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Iranon ^np+++??+=Iranon.
. ^zz++++=EXTRAWORD
" ^zz++++="My
my ^pp$+pp1+++=EXTRAWORD
home ^nr++++=home."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Romnod ^np+++??+=Romnod
laughed ^vbd+++xvbn+=laughed
until ^cs+sub+++=until
coughing ^nn++++=coughing
seized ^vbd+++xvbn+=seized
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
" ^zz++++="Then
then ^rn+tm+++=EXTRAWORD
seek ^vb++++=seek
it ^pp3+it+++=it
alone ^rb+cnj+++=alone,
, ^zz++++=EXTRAWORD
prince ^npt++++=prince.
. ^zz++++=EXTRAWORD
Teloth ^np+++??+=Teloth
was ^vbd+bedz+vrb++=was
stone ^nn++++=stone,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Oonai ^np+++??+=Oonai
is ^vbz+bez+vrb++=is
wine ^nn++++=wine,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
perhaps ^rb++++=perhaps
Aira ^np+++??+=Aira
is ^vbz+bez+vrb++=is
only ^rb+down+++=only
the ^ati++++=the
song ^nn++++=song
between ^in++++=between
them ^pp3o+pp3+++=them."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Before ^cs+sub+++=Before
dawn ^nn++++=dawn
Romnod ^np+++??+=Romnod
died ^vbd+++xvbn+=died.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
found ^vbd+vprv++xvbnx+=found
him ^pp3o+pp3+++=him
beside ^in+pl+++=beside
an ^at++++=an
overturned ^jj+atrb++xvbn+=overturned
cup ^nn++++=cup,
, ^zz++++=EXTRAWORD
whilst ^cs+sub+++=whilst
musicians ^nns++++=musicians
played ^vbd+++xvbn+=played
in ^in++++=in
the ^ati++++=the
courtyard ^nn++++=courtyard
and ^cc++++=and
green ^jj+atrb+++=green
morning ^nn++++=morning
shone ^vbd+++xvbn+=shone
through ^in++++=through
the ^ati++++=the
lattice ^nn++++=lattice.
. ^zz++++=EXTRAWORD
The ^ati++++=The
people ^nn++++=people
of ^in++++=of
Oonai ^np+++??+=Oonai
buried ^vwbn+++xvbn+=buried
him ^pp3o+pp3+++=him
beyond ^in++++=beyond
the ^ati++++=the
southern ^jj+atrb+++=southern
wall ^nn++++=wall,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
for ^in++++=for
one ^cd1++++=one
evening ^nn++++=evening
Iranon ^np+++??+=Iranon
sang ^vbd+++xvbn+=sang
a ^at++++=a
lament ^vb++++=lament
above ^rb++++=above
his ^pp$+pp3+++=his
grave ^nn++++=grave.
. ^zz++++=EXTRAWORD
Few ^ap++++=Few
attended ^jj+++xvbn+=attended,
, ^zz++++=EXTRAWORD
for ^in++++=for
a ^at++++=a
troupe ^nn+++??+=troupe
of ^in++++=of
masked ^xvbn+++xvbn+=masked
acrobats ^nns++++=acrobats
had ^vb+hv+aux++=had
newly ^rb++splt++=newly
arrived ^vprf+++xvbnx+=arrived
from ^in++++=from
Thalarion ^np+++??+=Thalarion.
. ^zz++++=EXTRAWORD
Thereafter ^nn+nom+++=Thereafter
Oonai ^np+++??+=Oonai
wearied ^vprf+++xvbn+=wearied
of ^in++++=of
Iranon ^np+++??+=Iranon.
. ^zz++++=EXTRAWORD
