# ^zz++++=#
Traditions ^nns+nom+++=Traditions
as ^ql++++=as
she ^pp3a+pp3+++=she
supposed ^vbd+vprv++xvbnx+=supposed,
, ^zz++++=EXTRAWORD
to ^in++++=to
every ^at++++=every
groom ^nn++++=groom
and ^cc++++=and
kitchen ^nn++++=kitchen-maid
- ^zz++++=EXTRAWORD
maid ^np++++=EXTRAWORD
in ^in++++=in
the ^ati++++=the
castle ^nn++++=castle.
. ^zz++++=EXTRAWORD
" ^zz++++="Show
show ^nn++++=EXTRAWORD
me ^pp1o+pp1+++=me,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
said ^vbd+vpub++xvbnx+=said,
, ^zz++++=EXTRAWORD
" ^zz++++="one
one ^cd1++++=EXTRAWORD
proof ^nn++++=proof
of ^in++++=of
this ^dt+dem+++=this
famous ^jj+atrb+++=famous
learning ^nvbg+++xvbg+=learning."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
The ^ati++++=The
earl ^npt++++=earl
refused ^vbd+++xvbn+=refused
with ^in++++=with
gentleness ^nns+nom+++=gentleness.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
renewed ^vbd+++xvbnx+=renewed
her ^pp3o+pp3+++=her
request ^nn++++=request.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
again ^rb+tm+++=again
refused ^vbd+++xvbn+=refused,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
told ^vbd+vpub+tht0+xvbn+=told
her ^pp$+pp3+++=her
there ^rn+pl+++=there
were ^vbd+bed+vrb++=were
appearances ^nns+nom+++=appearances
which ^wdt+who+whcl++=which
the ^ati++++=the
senses ^nns++++=senses
could ^md+pos+++=could
endure ^vb++++=endure,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
the ^ati++++=the
reason ^nn++++=reason
knew ^vbd+vprv++xvbn+=knew
them ^pp3o+pp3+++=them
to ^to++++=to
be ^vbi++vrb++=be
harmless ^jj+pred+++=harmless,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
others ^aps++++=others
which ^whp+rel+obj++=which,
, ^zz++++=EXTRAWORD
being ^vbg+beg++xvbg+=being
once ^rb+tm+++=once
admitted ^vwbn+vpub++xvbn+=admitted
to ^in++++=to
the ^ati++++=the
imagination ^nn+nom+++=imagination,
, ^zz++++=EXTRAWORD
might ^md+pos+++=might
trouble ^vb++++=trouble
it ^pp3+it+++=it
until ^in++++=until
death ^nn++++=death.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
warning ^nn++++=warning,
, ^zz++++=EXTRAWORD
as ^ql++++=as
warnings ^nns++++=warnings
commonly ^rb++++=commonly
do ^vb+do+vrb++=do
with ^in++++=with
the ^ati++++=the
young ^jj++++=young
and ^cc+phrs+++=and
imperious ^jj++++=imperious,
, ^zz++++=EXTRAWORD
increased ^j+++xvbn+=increased
her ^pp3o+pp3+++=her
desire ^nn++++=desire.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
wept ^vbd+++xvbnx+=wept,
, ^zz++++=EXTRAWORD
accused ^j+++xvbn+=accused
him ^pp3o+pp3+++=him
of ^in++++=of
distrust ^nn++++=distrust,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
declared ^vprf++tht0+xvbn+=declared
that ^tht+vcmp+++=that,
, ^zz++++=EXTRAWORD
if ^cs+cnd+++=if
his ^pp$+pp3+++=his
art ^nn++++=art
were ^vbd+bed+vrb++=were
lawful ^jj+pred+++=lawful,
, ^zz++++=EXTRAWORD
there ^ex+pex+++=there
could ^md+pos+++=could
be ^vb+be+vrb++=be
no ^at++++=no
danger ^nn++++=danger
in ^in++++=in
beholding ^xvbg+++xvbg+=beholding
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and,
, ^zz++++=EXTRAWORD
if ^cs+cnd+++=if
unlawful ^jj++++=unlawful,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
had ^vb+hv+vrb++=had
a ^at++++=a
wife ^nn++++=wife's
's ^vbz+bez+vrb++0=EXTRAWORD
right ^nn++++=right
to ^to+ncmp+++=to
know ^vbi+vprv+++=know
the ^ati++++=the
peril ^nn++++=peril
in ^in++++=in
which ^whp+rel+pied++=which
she ^pp3a+pp3+++=she
lived ^vbd+++xvbnx+=lived.
. ^zz++++=EXTRAWORD
At ^rb++++=At
length ^rb"++++=length
the ^ati++++=the
earl ^npt++++=earl
consented ^vbd+++xvbn+=consented.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
led ^vbd+++xvbnx+=led
her ^pp$+pp3+++=her
at ^in++++=at
midnight ^nn++++=midnight
into ^in++++=into
a ^at++++=a
lofty ^np++++=lofty
chamber ^nn++++=chamber
overlooking ^vwbg+++xvbg+=overlooking
the ^ati++++=the
lake ^nn++++=lake.
. ^zz++++=EXTRAWORD
The ^ati++++=The
walls ^nns++++=walls
were ^vbd+bed+aux++=were
hung ^vpsv++agls+xvbnx+=hung
with ^in++++=with
dark ^jj+atrb+++=dark
arras ^nns+++??+=arras;
; ^zz++++=EXTRAWORD
a ^at++++=a
lamp ^nn++++=lamp
burned ^vbd+++xvbn+=burned
upon ^in++++=upon
a ^at++++=a
stone ^nn++++=stone
table ^nn++++=table;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
all ^abn++++=all
doors ^nns++++=doors
were ^vbd+bed+aux++=were
fastened ^vpsv++agls+xvbnx+=fastened.
. ^zz++++=EXTRAWORD
Before ^in++++=Before
beginning ^xvbg+++xvbg+=beginning,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
required ^vbd+++xvbnx+=required
of ^in++++=of
her ^pp3o+pp3+++=her
a ^at++++=a
solemn ^jj+atrb+++=solemn
promise ^nn++++=promise
that ^tht+ncmp+++=that,
, ^zz++++=EXTRAWORD
whatever ^nn+nom+++=whatever
shape ^nn++++=shape
she ^pp3a+pp3+++=she
saw ^vbd+vprv++xvbnx+=saw,
, ^zz++++=EXTRAWORD
whatever ^nn+nom+++=whatever
sound ^nn++++=sound
she ^pp3a+pp3+++=she
heard ^vbd+vprv++xvbnx+=heard,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
would ^md+prd+++=would
neither ^rb++splt++=neither
scream ^vb++++=scream
nor ^cc++neg++=nor
utter ^jjb++++=utter
a ^at++++=a
word ^nn++++=word.
. ^zz++++=EXTRAWORD
Speech ^nn++++=Speech,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said,
, ^zz++++=EXTRAWORD
would ^md+prd+++=would
break ^vb++++=break
the ^ati++++=the
governing ^jj+atrb++xvbg+=governing
charm ^nn++++=charm
and ^cc++++=and
deliver ^vb++++=deliver
them ^pp3o+pp3+++=them
both ^abx++++=both
to ^in++++=to
a ^at++++=a
power ^nn++++=power
which ^whp+rel+obj++=which
he ^pp3a+pp3+++=he
might ^md+pos+++=might
invoke ^vb++++=invoke
but ^cc++++=but
could ^md+pos+++=could
not ^xnot++not++=not
then ^rn+tm+++=then
withstand ^vb++++=withstand.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
promised ^vbd+vpub++xvbnx+=promised
readily ^rb++++=readily.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
removed ^vbd+++xvbnx+=removed
his ^pp$+pp3+++=his
cloak ^nn++++=cloak,
, ^zz++++=EXTRAWORD
drew ^j+++xvbn+=drew
a ^at++++=a
circle ^nn++++=circle
upon ^in++++=upon
the ^ati++++=the
floor ^nn++++=floor,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
stepped ^vpsv++agls+xvbn+=stepped
within ^in++++=within
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
For ^in++++=For
a ^rb++++=a
little ^rb"++++=little
while ^cs+sub+++=while
nothing ^pn++++=nothing
occurred ^vbd+++xvbn+=occurred.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
the ^ati++++=the
lamp ^nn++++=lamp
sank ^vbd+++xvbn+=sank
to ^in++++=to
a ^at++++=a
blue ^jj+atrb+++=blue
spark ^nn++++=spark,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
no ^at++++=no
wind ^nn++++=wind,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
earl ^npt++++=earl
appeared ^vbd+seem++xvbn+=appeared
to ^to+vcmp+++=to
diminish ^vbi++++=diminish.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
shoulders ^nns+nom+++=shoulders
narrowed ^vbd+++xvbn+=narrowed;
; ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
garments ^nns+nom+++=garments
clung ^vbd+++xvbn+=clung
to ^in++++=to
him ^pp3o+pp3+++=him
and ^cc++++=and
became ^vbd+++xvbn+=became
glossy ^jj++++=glossy;
; ^zz++++=EXTRAWORD
feathers ^nns+nom+++=feathers
sprang ^vbd+++xvbn+=sprang
in ^in++++=in
a ^at++++=a
ghastly ^jj+atrb+++=ghastly
succession ^nn++++=succession
along ^in++++=along
his ^pp$+pp3+++=his
arms ^nns++++=arms
and ^cc++++=and
breast ^nn++++=breast;
; ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
nose ^nn++++=nose
curved ^jj++++=curved
to ^in++++=to
a ^at++++=a
hooked ^jj+atrb++xvbn+=hooked
beak ^nn++++=beak;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
where ^wrb+who+++=where
the ^ati++++=the
grave ^nn++++=grave
and ^cc++++=and
courtly ^jj+atrb+++=courtly
gentleman ^nn+nom+++=gentleman
had ^vbd+hvd+aux++=had
stood ^vprf+++xvbnx+=stood,
, ^zz++++=EXTRAWORD
a ^at++++=a
great ^jj+atrb+++=great
black ^jj+atrb+++=black
bird ^nn++++=bird
beat ^vbd+++xvbn+=beat
its ^pp$+it+++=its
wings ^nns++++=wings
against ^in++++=against
the ^ati++++=the
dusky ^nn+++??+=dusky
air ^nn++++=air.
. ^zz++++=EXTRAWORD
The ^ati++++=The
countess ^nns+nom+++=countess
clasped ^vbd+++xvbn+=clasped
her ^pp$+pp3+++=her
hands ^nns++++=hands,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
remembered ^vbd+vprv++xvbn+=remembered
her ^pp$+pp3+++=her
oath ^nn++++=oath.
. ^zz++++=EXTRAWORD
The ^ati++++=The
bird ^nn++++=bird
rose ^vbd+++xvbn+=rose,
, ^zz++++=EXTRAWORD
circled ^j+++xvbn+=circled
the ^ati++++=the
room ^nn++++=room,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
descended ^vpsv++agls+xvbn+=descended
within ^in++++=within
the ^ati++++=the
ring ^nn++++=ring.
. ^zz++++=EXTRAWORD
In ^in++++=In
an ^at++++=an
instant ^nn+nom+++=instant
it ^pp3+it+++=it
was ^vbd+bedz+aux++=was
gone ^vpsv++agls+xvbnx+=gone,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
there ^ex+pex+++=there
crouched ^vbd+++xvbn+=crouched
in ^in++++=in
its ^pp$+it+++=its
place ^nn++++=place
a ^at++++=a
monstrous ^jj+atrb+++=monstrous
hound ^nn++++=hound,
, ^zz++++=EXTRAWORD
long ^jj++++=long-bodied,
- ^zz++++=EXTRAWORD
bodied ^jj+++xvbn+=EXTRAWORD
, ^zz++++=EXTRAWORD
yellow ^jj++++=yellow-eyed,
- ^zz++++=EXTRAWORD
eyed ^vbd+++xvbn+=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
foam ^nn++++=foam-lipped,
- ^zz++++=EXTRAWORD
lipped ^jj+++xvbn+=EXTRAWORD
, ^zz++++=EXTRAWORD
with ^in++++=with
teeth ^nn++++=teeth
that ^tht+rel+subj++=that
shone ^vbd+++xvbn+=shone
like ^in++++=like
wet ^jj+atrb+++=wet
ivory ^nn++++=ivory.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
gathered ^vbd+++xvbn+=gathered
itself ^ppl++++=itself
and ^cc++++=and
sprang ^vpsv++agls+xvbn+=sprang
toward ^in++++=toward
her ^pp$+pp3+++=her,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
the ^ati++++=the
invisible ^jj+atrb+++=invisible
boundary ^nn+nom+++=boundary
checked ^vwbn+++xvbn+=checked
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
Its ^pp$+it+++=Its
paws ^vbz+++??+=paws
struck ^vprf+++xvbn+=struck
the ^ati++++=the
stones ^nns++++=stones;
; ^zz++++=EXTRAWORD
its ^pp$+it+++=its
tongue ^nn++++=tongue
quivered ^vbd+++xvbn+=quivered;
; ^zz++++=EXTRAWORD
its ^pp$+it+++=its
eyes ^nns++++=eyes,
, ^zz++++=EXTRAWORD
enormous ^jj++++=enormous
and ^cc++++=and
almost ^rb+hdg+++=almost
human ^jj++++=human
in ^in++++=in
their ^pp$+pp3+++=their
malice ^nn++++=malice,
, ^zz++++=EXTRAWORD
never ^rb++++=never
left ^jj+++xvbn+=left
her ^pp3o+pp3+++=her
face ^nn++++=face.
. ^zz++++=EXTRAWORD
Still ^rb++++=Still
she ^pp3a+pp3+++=she
was ^vbd+bedz+vrb++=was
silent ^jj+pred+++=silent.
. ^zz++++=EXTRAWORD
The ^ati++++=The
hound ^nn++++=hound
melted ^vbd+++xvbn+=melted
downward ^jjb++++=downward,
, ^zz++++=EXTRAWORD
as ^in++++=as
wax ^nn++++=wax
sinks ^vbz++++=sinks
before ^in++++=before
heat ^nn++++=heat,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
became ^vbd+++xvbn+=became
a ^at++++=a
serpent ^nn++++=serpent,
, ^zz++++=EXTRAWORD
green ^nn++++=green
and ^cc++++=and
gold ^nn++++=gold,
, ^zz++++=EXTRAWORD
whose ^whp+rel+subj++=whose
folds ^vbz++++=folds
multiplied ^vbd+++xvbn+=multiplied
until ^cs+sub+++=until
they ^pp3a+pp3+++=they
filled ^vbd+++xvbnx+=filled
the ^ati++++=the
circle ^nn++++=circle.
. ^zz++++=EXTRAWORD
Its ^pp$+it+++=Its
head ^jjb++++=head
rose ^vbd+++xvbn+=rose
to ^in++++=to
the ^ati++++=the
height ^nn++++=height
of ^in++++=of
a ^at++++=a
man ^nn++++=man's
's ^$++++=EXTRAWORD
breast ^nn++++=breast.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
swayed ^vbd+++xvbn+=swayed
before ^in++++=before
her ^pp$+pp3+++=her,
, ^zz++++=EXTRAWORD
opened ^j+++xvbn+=opened
a ^at++++=a
pale ^jj+atrb+++=pale
mouth ^nn++++=mouth,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
hissed ^vbd+++xvbn+=hissed
her ^pp$+pp3+++=her
Christian ^jj+atrb+++=Christian
name ^nn++++=name.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
trembled ^vbd+++xvbnx+=trembled,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
did ^vbd+dod+aux++=did
not ^xnot++not++=not
speak ^vb++++=speak.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then,
, ^zz++++=EXTRAWORD
after ^cs+sub+++=after
several ^ap++++=several
other ^ap++++=other
transformations ^nns+nom+++=transformations
which ^whp+rel+obj++=which
Miss ^npt++++=Miss
Anne ^np++++=Anne
enumerated ^vwbn+++xvbn+=enumerated
and ^cc++++=and
among ^in++++=among
them ^pp3o+pp3+++=them
a ^at++++=a
wolf ^nn++++=wolf,
, ^zz++++=EXTRAWORD
a ^at++++=a
skeleton ^nn++++=skeleton
wrapped ^vbd+++xvbn+=wrapped
in ^in++++=in
a ^at++++=a
friar ^nn+++??+=friar's
's ^$++++=EXTRAWORD
habit ^nn++++=habit,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^rb++++=a
little ^rb"++++=little
child ^nn++++=child
with ^in++++=with
the ^ati++++=the
face ^nn++++=face
of ^in++++=of
an ^at++++=an
aged ^jj+atrb+++=aged
man ^nn++++=man
the ^ati++++=the
earl ^npt++++=earl
resumed ^vbd+++xvbn+=resumed
his ^pp$+pp3+++=his
own ^ap++++=own
appearance ^nn+nom+++=appearance.
. ^zz++++=EXTRAWORD
The ^ati++++=The
countess ^nns+nom+++=countess
laughed ^vbd+++xvbn+=laughed
from ^in++++=from
relief ^nn++++=relief,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
would ^md+prd+++=would
have ^vb+hv+aux++=have
run ^vprf+++xvbnx+=run
to ^in+ppvb+++=to
him ^pp3o+pp3+++=him;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
he ^pp3a+pp3+++=he
raised ^vbd+++xvbnx+=raised
his ^pp$+pp3+++=his
hand ^nn++++=hand.
. ^zz++++=EXTRAWORD
" ^zz++++="One
one ^cd1++++=EXTRAWORD
trial ^nn++++=trial
remains ^nns++++=remains,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said.
. ^zz++++=EXTRAWORD
" ^zz++++="It
it ^pp3+it+++=EXTRAWORD
is ^vbz+bez+vrb++=is
the ^ati++++=the
shortest ^nn++++=shortest."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
became ^vbd+++xvbnx+=became
a ^at++++=a
column ^nn++++=column
of ^in++++=of
fire ^nn++++=fire.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
ascended ^vbd+++xvbn+=ascended
almost ^rb+hdg+++=almost
to ^in++++=to
the ^ati++++=the
roof ^nn++++=roof,
, ^zz++++=EXTRAWORD
making ^vbg+++xvbg+=making
the ^ati++++=the
silver ^nn++++=silver
clasps ^nns+++??+=clasps
of ^in++++=of
the ^ati++++=the
hangings ^nns++++=hangings
shine ^vb++++=shine
and ^cc++++=and
reddening ^nvbg+++xvbg+=reddening
every ^at++++=every
stone ^nn++++=stone
in ^in++++=in
the ^ati++++=the
chamber ^nn++++=chamber.
. ^zz++++=EXTRAWORD
In ^in++++=In
the ^ati++++=the
heart ^nn++++=heart
of ^in++++=of
the ^ati++++=the
flame ^nn++++=flame
his ^pp$+pp3+++=his
face ^nn++++=face
appeared ^vbd+seem++xvbn+=appeared,
, ^zz++++=EXTRAWORD
calm ^nn++++=calm
and ^cc++++=and
sorrowful ^nn+nom+++=sorrowful.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
the ^ati++++=the
fire ^nn++++=fire
fell ^vbd+++xvbn+=fell
suddenly ^rb++++=suddenly
inward ^jjb++++=inward;
; ^zz++++=EXTRAWORD
the ^ati++++=the
room ^nn++++=room
was ^vbd+bedz+vrb++=was
dark ^jj+pred+++=dark;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
from ^in++++=from
above ^in+pl+++=above
came ^vbd+++xvbn+=came
a ^at++++=a
rushing ^nvbg+++xvbg+=rushing,
, ^zz++++=EXTRAWORD
leathery ^jj+atrb+++=leathery
sound ^nn++++=sound.
. ^zz++++=EXTRAWORD
A ^at++++=A
creature ^nn++++=creature
dropped ^vbd+++xvbn+=dropped
at ^rb++++=at
her ^pp3o+pp3+++=her
feet ^nns++++=feet.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
neither ^dt++neg++=neither
beast ^nn++++=beast
nor ^cc++neg++=nor
bird ^nn++++=bird,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
it ^pp3+it+++=it
possessed ^vbd+++xvbn+=possessed
something ^pn++++=something
of ^in++++=of
both ^abx++++=both:
: ^zz++++=EXTRAWORD
a ^at++++=a
grey ^nn++++=grey,
, ^zz++++=EXTRAWORD
shrunken ^jj+atrb+++=shrunken
body ^nn++++=body,
, ^zz++++=EXTRAWORD
arms ^nns++++=arms
prolonged ^vbd+++xvbn+=prolonged
like ^in++++=like
wings ^nns++++=wings,
, ^zz++++=EXTRAWORD
yellow ^jj+atrb+++=yellow
skin ^nn++++=skin
hanging ^vwbg+++xvbg+=hanging
in ^in++++=in
folds ^nns++++=folds,
, ^zz++++=EXTRAWORD
a ^at++++=a
round ^in++++=round
head ^nn++++=head
without ^in++++=without
hair ^nn++++=hair,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
great ^jj+atrb+++=great
lidless ^jj+atrb+++=lidless
eyes ^nns++++=eyes.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
came ^vbd+++xvbn+=came
crawling ^jj+++xvbg+=crawling
over ^in++++=over
the ^ati++++=the
stones ^nns++++=stones,
, ^zz++++=EXTRAWORD
not ^xnot++not++=not
quickly ^rb+cnj+++=quickly,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
with ^in++++=with
a ^at++++=a
dreadful ^jj+atrb+++=dreadful
certainty ^nn++++=certainty,
, ^zz++++=EXTRAWORD
raising ^jj+atrb++xvbg+=raising
one ^cd1++++=one
hand ^nn++++=hand
after ^in++++=after
another ^ppls++++=another.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
it ^pp3+it+++=it
reached ^vbd+++xvbn+=reached
the ^ati++++=the
hem ^nn++++=hem
of ^in++++=of
her ^pp$+pp3+++=her
gown ^nn++++=gown,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
looked ^vbd+++xvbn+=looked
up ^rp++++=up
and ^cc++++=and
grinned ^vbd+++xvbn+=grinned.
. ^zz++++=EXTRAWORD
The ^ati++++=The
countess ^nns+nom+++=countess
screamed ^vbd+++xvbn+=screamed.
. ^zz++++=EXTRAWORD
At ^rb++++=At
that ^dt+dem+++=that
cry ^nn++++=cry
there ^ex+pex+++=there
arose ^vbd+++xvbn+=arose
beneath ^in+pl+++=beneath
the ^ati++++=the
castle ^nn++++=castle
a ^at++++=a
noise ^nn++++=noise
like ^in++++=like
thunder ^nn++++=thunder
confined ^vwbn+++xvbn+=confined
underground ^jjb++++=underground.
. ^zz++++=EXTRAWORD
The ^ati++++=The
floors ^nn++++=floors
heaved ^vbd+++xvbn+=heaved;
; ^zz++++=EXTRAWORD
bells ^nns++++=bells
rang ^vbd+++xvbn+=rang
without ^in++++=without
hands ^nns++++=hands;
; ^zz++++=EXTRAWORD
doors ^nns++++=doors
flew ^vbd+++xvbn+=flew
open ^jj++++=open;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
through ^rp++++=through
passage ^npl+nom+++=passage,
, ^zz++++=EXTRAWORD
gallery ^nn+nom+++=gallery,
, ^zz++++=EXTRAWORD
kitchen ^nn++++=kitchen,
, ^zz++++=EXTRAWORD
chapel ^nn++++=chapel,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
stable ^nn++++=stable
ran ^vbd+++xvbn+=ran
one ^cd1++++=one
universal ^nn+nom+++=universal
shriek ^vb++++=shriek.
. ^zz++++=EXTRAWORD
The ^ati++++=The
earl ^npt++++=earl
stood ^vbd+++xvbn+=stood
again ^rb+tm+++=again
before ^in++++=before
his ^pp$+pp3+++=his
wife ^nn++++=wife,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
his ^pp$+pp3+++=his
face ^nn++++=face
had ^vbd+hvd+aux++=had
changed ^vprf+++xvbnx+=changed.
. ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
have ^vb+hv+aux++=have
broken ^vprf+++xvbnx+=broken
the ^ati++++=the
spell ^nn++++=spell,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said.
. ^zz++++=EXTRAWORD
Before ^cs+sub+++=Before
she ^pp3a+pp3+++=she
could ^md+pos+++=could
answer ^vb++++=answer,
, ^zz++++=EXTRAWORD
the ^ati++++=the
chamber ^nn++++=chamber
sank ^vbd+++xvbn+=sank.
. ^zz++++=EXTRAWORD
Tower ^nn++++=Tower,
, ^zz++++=EXTRAWORD
battlement ^nn+nom+++=battlement,
, ^zz++++=EXTRAWORD
hall ^npl++++=hall,
, ^zz++++=EXTRAWORD
household ^nn++++=household,
, ^zz++++=EXTRAWORD
horses ^nns++++=horses,
, ^zz++++=EXTRAWORD
hounds ^nns++++=hounds,
, ^zz++++=EXTRAWORD
men ^nns++++=men-at-arms,
- ^zz++++=EXTRAWORD
at ^in++++=EXTRAWORD
- ^zz++++=EXTRAWORD
arms ^nns++++=EXTRAWORD
, ^zz++++=EXTRAWORD
serving ^vbg+++xvbg+=serving-women,
- ^zz++++=EXTRAWORD
women ^nns++++=EXTRAWORD
, ^zz++++=EXTRAWORD
chaplain ^npt++++=chaplain,
, ^zz++++=EXTRAWORD
cook ^nn++++=cook,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
scullion ^vb+++??+=scullion
descended ^vbd+++xvbn+=descended
together ^nn+nom+++=together,
, ^zz++++=EXTRAWORD
not ^xnot++not++=not
in ^in++++=in
ruin ^nn++++=ruin
and ^cc++++=and
confusion ^nn++++=confusion,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
entire ^jjb++++=entire,
, ^zz++++=EXTRAWORD
as ^in++++=as
a ^at++++=a
ship ^nn++++=ship
settles ^vbz++++=settles
beneath ^in+pl+++=beneath
still ^rb+atrb+++=still
water ^nn++++=water.
. ^zz++++=EXTRAWORD
The ^ati++++=The
lake ^npl++++=lake
closed ^vbd+++xvbn+=closed
above ^rb++++=above
them ^pp3o+pp3+++=them.
. ^zz++++=EXTRAWORD
By ^in++++=By
dawn ^nn++++=dawn
nothing ^pn++++=nothing
remained ^vbd+++xvbn+=remained
upon ^in++++=upon
the ^ati++++=the
shore ^nn++++=shore
but ^cc++++=but
scattered ^xvbn+++xvbn+=scattered
stones ^nns++++=stones
and ^cc++++=and
a ^at++++=a
long ^jj+atrb+++=long
line ^nn++++=line
of ^in++++=of
bubbles ^nns++++=bubbles
rising ^vwbg+++xvbg+=rising
among ^in++++=among
the ^ati++++=the
reeds ^nns++++=reeds.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
catastrophe ^nn++++=catastrophe,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
need ^nn++++=need
hardly ^rb+down+++=hardly
observe ^vb+vprv+++=observe,
, ^zz++++=EXTRAWORD
cannot ^md+pos+not++=cannot
be ^vb+be+aux++=be
made ^vpsv++agls+xvbnx+=made
consistent ^jj++++=consistent
with ^in++++=with
the ^ati++++=the
visible ^jj+atrb+++=visible
castle ^nn++++=castle;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
Miss ^npt++++=Miss
Anne ^np++++=Anne
explained ^vbd+vpub++xvbn+=explained
that ^tht+vcmp+++=that
the ^ati++++=the
ruins ^nns++++=ruins
we ^pp1a+pp1+++=we
knew ^vbd+vprv++xvbn+=knew
belonged ^vbd+++xvbn+=belonged
to ^in++++=to
an ^at++++=an
outer ^jjb+atrb+++=outer
building ^nvbg+++xvbg+=building,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
the ^ati++++=the
enchanted ^jj+atrb++xvbn+=enchanted
residence ^nn+nom+++=residence
stood ^vbd+++xvbn+=stood
farther ^rbr++++=farther
toward ^in++++=toward
the ^ati++++=the
water ^nn++++=water.
. ^zz++++=EXTRAWORD
Indeed ^rb+cnj+++=Indeed,
, ^zz++++=EXTRAWORD
in ^in++++=in
a ^at++++=a
dry ^jj+atrb+++=dry
season ^nn++++=season
some ^dti++++=some
foundations ^nns+nom+++=foundations
may ^md+pos+++=may
yet ^rb++++=yet
be ^vb+be+aux++=be
traced ^vpsv++agls+xvbnx+=traced
below ^rb++++=below
the ^ati++++=the
surface ^nn++++=surface,
