One ^pn++++=One,
will ^md+prd+++=will
know ^vb+vprv+tht0++=know
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
false ^jj+pred+++=false.
. ^zz++++=EXTRAWORD
" ^zz++++="Hello,
hello ^rb+dspt+++=EXTRAWORD
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
That ^dt+pdem+++=That
is ^vbz+bez+vrb++=is
tender ^jj+pred+++=tender.
. ^zz++++=EXTRAWORD
Too ^ql++++=Too
tender ^jj++++=tender.
. ^zz++++=EXTRAWORD
" ^zz++++="Yes?"
yes ^uh++++=EXTRAWORD
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Cold ^jj++++=Cold.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
likes ^nns++++=likes
me ^pp1o+pp1+++=me
cold ^jj++++=cold
sometimes ^rb++++=sometimes.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
gives ^vbz++++=gives
him ^pp3o+pp3+++=him
something ^pn++++=something
to ^to++++=to
thaw ^vbi++++=thaw.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
if ^cs+cnd+++=if
I ^pp1a+pp1+++=I
am ^vb+bem+vrb++=am
too ^ql++++=too
cold ^jj++++=cold,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
will ^md+prd+++=will
be ^vb+be+aux++=be
relieved ^vpsv++agls+xvbnx+=relieved.
. ^zz++++=EXTRAWORD
Oh ^uh++++=Oh,
, ^zz++++=EXTRAWORD
damn ^jj++++=damn
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
Fifty ^cd++++=Fifty-six,
- ^zz++++=EXTRAWORD
six ^cd++++=EXTRAWORD
, ^zz++++=EXTRAWORD
fifty ^cd++++=fifty-seven,
- ^zz++++=EXTRAWORD
seven ^cd++++=EXTRAWORD
, ^zz++++=EXTRAWORD
fifty ^cd++++=fifty-eight,
- ^zz++++=EXTRAWORD
eight ^cd++++=EXTRAWORD
, ^zz++++=EXTRAWORD
fifty ^cd++++=fifty-nine,
- ^zz++++=EXTRAWORD
nine ^cd++++=EXTRAWORD
, ^zz++++=EXTRAWORD
sixty ^cd++++=sixty.
. ^zz++++=EXTRAWORD
No ^at++++=No,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
do ^vb+do+vrb++=do
not ^xnot++not++=not
damn ^jj++++=damn
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
God ^np++++=God,
, ^zz++++=EXTRAWORD
disregard ^vb++++=disregard
that ^dt+pdem+++=that.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
only ^rb+down+++=only
a ^at++++=a
phrase ^nn++++=phrase.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
know ^vb+vprv+++=know
phrases ^nns++++=phrases.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
permitted ^vbd+++xvbn+=permitted
poets ^nns++++=poets.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
love ^nn++++=love
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
That ^dt+pdem+++=That
must ^md+nec+++=must
count ^vb++++=count
for ^in++++=for
something ^pn++++=something.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
say ^vb+vpub+tht0++=say
love ^nn++++=love
is ^vbz+bez+vrb++=is
holy ^jj+pred+++=holy,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
they ^pp3a+pp3+++=they
usually ^rb+down+++=usually
mean ^vb+vprv+++=mean
the ^ati++++=the
kind ^nn++++=kind
with ^in++++=with
rings ^nns++++=rings
and ^cc++++=and
relatives ^nns++++=relatives.
. ^zz++++=EXTRAWORD
Mine ^nn++++=Mine
has ^vbz+hvz+vrb++=has
no ^at++++=no
witnesses ^nns+nom+++=witnesses.
. ^zz++++=EXTRAWORD
Perhaps ^rb++++=Perhaps
that ^dt+pdem+++=that
makes ^vbz++++=makes
it ^pp3+it+++=it
unholy ^rb++++=unholy.
. ^zz++++=EXTRAWORD
Perhaps ^rb++++=Perhaps
this ^dt+pdem+++=this
is ^vbz+bez+vrb++=is
punishment ^nn+nom+++=punishment.
. ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
punishment ^nn+nom+++=punishment,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
disproportionate ^jj+pred+++=disproportionate.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
have ^vb+hv+aux++=have
not ^xnot++not++=not
murdered ^vwbn+++xvbn+=murdered
anybody ^pn++++=anybody.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
have ^vb+hv+vrb++=have
only ^ap+down+++=only
wanted ^jj+++xvbn+=wanted
what ^wdt+who+++=what
belonged ^vbd+++xvbn+=belonged
partly ^rb+down+++=partly
to ^in++++=to
someone ^pn++++=someone
else ^rb+cnj+++=else.
. ^zz++++=EXTRAWORD
Partly ^rb+down+++=Partly.
. ^zz++++=EXTRAWORD
Nobody ^pn++++=Nobody
can ^md+pos+++=can
belong ^vb++++=belong
altogether ^nn+nom+++=altogether.
. ^zz++++=EXTRAWORD
That ^dt+pdem+++=That
would ^md+prd+++=would
be ^vb+be+vrb++=be
slavery ^nn+nom+++=slavery,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
everybody ^pn++++=everybody
is ^vbz+bez+vrb++=is
against ^in++++=against
slavery ^nn+nom+++=slavery.
. ^zz++++=EXTRAWORD
Sixty ^cd++++=Sixty-one,
- ^zz++++=EXTRAWORD
one ^pn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
sixty ^cd++++=sixty-two,
- ^zz++++=EXTRAWORD
two ^cd++++=EXTRAWORD
, ^zz++++=EXTRAWORD
sixty ^cd++++=sixty-three,
- ^zz++++=EXTRAWORD
three ^cd++++=EXTRAWORD
, ^zz++++=EXTRAWORD
sixty ^cd++++=sixty-four,
- ^zz++++=EXTRAWORD
four ^cd++++=EXTRAWORD
, ^zz++++=EXTRAWORD
sixty ^cd++++=sixty-five.
- ^zz++++=EXTRAWORD
five ^cd++++=EXTRAWORD
. ^zz++++=EXTRAWORD
What ^wdt+who+++=What
if ^cs+cnd+++=if
he ^pp3a+pp3+++=he
has ^vbz+hvz+aux++=has
been ^vprf+ben+aux+xvbnx+=been
hurt ^vpsv++agls+xvbnx+=hurt?
? ^zz++++=EXTRAWORD
A ^at++++=A
cab ^nn++++=cab.
. ^zz++++=EXTRAWORD
Wet ^jj+atrb+++=Wet
pavement ^nn+nom+++=pavement.
. ^zz++++=EXTRAWORD
A ^at++++=A
crowd ^nn++++=crowd
under ^in++++=under
a ^at++++=a
streetlamp ^nn+++??+=streetlamp.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
hat ^nn++++=hat
in ^in++++=in
the ^ati++++=the
road ^nn++++=road.
. ^zz++++=EXTRAWORD
No ^at++++=No.
. ^zz++++=EXTRAWORD
No ^at++++=No,
, ^zz++++=EXTRAWORD
no ^at++++=no,
, ^zz++++=EXTRAWORD
no ^at++++=no.
. ^zz++++=EXTRAWORD
Let ^j+++xvbn+=Let
him ^pp3o+pp3+++=him
be ^vb+be+vrb++=be
alive ^jj+pred+++=alive.
. ^zz++++=EXTRAWORD
Let ^j+++xvbn+=Let
him ^pp3o+pp3+++=him
be ^vb+be+aux++=be
laughing ^vbg+++xvbgx+=laughing
with ^in++++=with
another ^dt++++=another
woman ^nn++++=woman,
, ^zz++++=EXTRAWORD
let ^j+++xvbn+=let
him ^pp3o+pp3+++=him
be ^vb+be+aux++=be
forgetting ^vbg+vprv++xvbgx+=forgetting
me ^pp1o+pp1+++=me,
, ^zz++++=EXTRAWORD
let ^j+++xvbn+=let
him ^pp3o+pp3+++=him
be ^vb+be+vrb++=be
cruel ^jj+pred+++=cruel
and ^cc+phrs+++=and
safe ^jj++++=safe.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
take ^vb++++=take
it ^pp3+it+++=it
back ^jjb++++=back.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
take ^vb++++=take
every ^at++++=every
bad ^jj+atrb+++=bad
thought ^nn+++xvbn+=thought
back ^jjb++++=back.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
if ^cs+cnd+++=if
he ^pp3a+pp3+++=he
were ^vbd+bed+vrb++=were
dead ^jj+pred+++=dead,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
could ^md+pos+++=could
not ^xnot++not++=not
leave ^nn++++=leave
me ^pp1o+pp1+++=me
for ^in++++=for
anyone ^pn++++=anyone.
. ^zz++++=EXTRAWORD
That ^dt+pdem+++=That
is ^vbz+bez+vrb++=is
vile ^jj+pred+++=vile.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
am ^vb+bem+vrb++=am
vile ^jj+pred+++=vile.
. ^zz++++=EXTRAWORD
Still ^rb+cnj+++=Still,
, ^zz++++=EXTRAWORD
no ^at++++=no
one ^cd1++++=one
changes ^nns++++=changes
after ^in++++=after
death ^nn++++=death.
. ^zz++++=EXTRAWORD
The ^ati++++=The
last ^jj+atrb+++=last
thing ^nn++++=thing
becomes ^vbz++++=becomes
permanent ^jj++++=permanent.
. ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
his ^pp$+pp3+++=his
last ^jj+atrb+++=last
words ^nns++++=words
to ^in++++=to
me ^pp1o+pp1+++=me
were ^vbd+bed+vrb++=were,
, ^zz++++=EXTRAWORD
" ^zz++++="I'll
i ^pp1a+pp1+++=EXTRAWORD
'll ^md+prd+++0=EXTRAWORD
ring ^vb++++=ring
you ^pp2+pp2+++=you,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
then ^rn+tm+++=then
forever ^rb++++=forever
he ^pp3a+pp3+++=he
would ^md+prd+++=would
be ^vb+be+vrb++=be
a ^at++++=a
man ^nn++++=man
about ^in++++=about
to ^in++++=to
ring ^nn++++=ring
me ^pp1o+pp1+++=me.
. ^zz++++=EXTRAWORD
That ^dt+pdem+++=That
is ^vbz+bez+vrb++=is
almost ^rb+hdg+++=almost
worse ^jjr+pred+++=worse.
. ^zz++++=EXTRAWORD
Sixty ^cd++++=Sixty-six,
- ^zz++++=EXTRAWORD
six ^cd++++=EXTRAWORD
, ^zz++++=EXTRAWORD
sixty ^cd++++=sixty-seven,
- ^zz++++=EXTRAWORD
seven ^cd++++=EXTRAWORD
, ^zz++++=EXTRAWORD
sixty ^cd++++=sixty-eight,
- ^zz++++=EXTRAWORD
eight ^cd++++=EXTRAWORD
, ^zz++++=EXTRAWORD
sixty ^cd++++=sixty-nine,
- ^zz++++=EXTRAWORD
nine ^cd++++=EXTRAWORD
, ^zz++++=EXTRAWORD
seventy ^cd++++=seventy.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
could ^md+pos+++=could
call ^vb++++=call
the ^ati++++=the
station ^nn+nom+++=station
and ^cc++++=and
ask ^vb++++=ask
if ^cs+cnd+++=if
the ^ati++++=the
train ^nn++++=train
arrived ^vbd+++xvbn+=arrived.
. ^zz++++=EXTRAWORD
That ^dt+pdem+++=That
would ^md+prd+++=would
not ^xnot++not++=not
be ^vb+be+aux++=be
calling ^nvbg+++xvbg+=calling
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
That ^dt+pdem+++=That
would ^md+prd+++=would
be ^vb+be+aux++=be
gathering ^vbg+++xvbgx+=gathering
public ^jj+atrb+++=public
information ^nn+nom+++=information.
. ^zz++++=EXTRAWORD
A ^at++++=A
citizen ^nn++++=citizen
has ^vbz+hvz+vrb++=has
rights ^nns++++=rights.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
which ^whp+who+++=which
train ^nn++++=train?
? ^zz++++=EXTRAWORD
The ^ati++++=The
eight ^cd++++=eight-fourteen?
- ^zz++++=EXTRAWORD
fourteen ^cd++++=EXTRAWORD
? ^zz++++=EXTRAWORD
Or ^cc+cls+++=Or
the ^ati++++=the
eight ^cd++++=eight-twenty-six?
- ^zz++++=EXTRAWORD
twenty ^cd++++=EXTRAWORD
- ^zz++++=EXTRAWORD
six ^cd++++=EXTRAWORD
? ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
said ^vbd+vpub+tht0+xvbnx+=said
something ^pn++++=something
about ^in++++=about
changing ^xvbg+++xvbg+=changing
at ^rb++++=at
Norbury ^np+++??+=Norbury.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
should ^md+nec+++=should
have ^vb+hv+aux++=have
listened ^vprf+++xvbnx+=listened.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
was ^vbd+bedz+aux++=was
watching ^vbg+++xvbgx+=watching
his ^pp$+pp3+++=his
mouth ^nn++++=mouth.
. ^zz++++=EXTRAWORD
That ^dt+pdem+++=That
is ^vbz+bez+vrb++=is
the ^ati++++=the
trouble ^nn++++=trouble
with ^in++++=with
loving ^xvbg+++xvbg+=loving
someone ^pn++++=someone;
; ^zz++++=EXTRAWORD
practical ^jj+atrb+++=practical
details ^nns++++=details
perish ^vb++++=perish.
. ^zz++++=EXTRAWORD
Seventy ^cd++++=Seventy-one,
- ^zz++++=EXTRAWORD
one ^pn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
seventy ^cd++++=seventy-two,
- ^zz++++=EXTRAWORD
two ^cd++++=EXTRAWORD
, ^zz++++=EXTRAWORD
seventy ^cd++++=seventy-three,
- ^zz++++=EXTRAWORD
three ^cd++++=EXTRAWORD
, ^zz++++=EXTRAWORD
seventy ^cd++++=seventy-four,
- ^zz++++=EXTRAWORD
four ^cd++++=EXTRAWORD
, ^zz++++=EXTRAWORD
seventy ^cd++++=seventy-five.
- ^zz++++=EXTRAWORD
five ^cd++++=EXTRAWORD
. ^zz++++=EXTRAWORD
The ^ati++++=The
telephone ^nn++++=telephone
sits ^vbz++++=sits
there ^rn+pl+++=there
as ^cs+sub+++=as
if ^cs+cnd+++=if
it ^pp3+it+++=it
knows ^vbz+vprv+++=knows.
. ^zz++++=EXTRAWORD
Smug ^np+++??+=Smug
ivory ^nn++++=ivory
beast ^nn++++=beast.
. ^zz++++=EXTRAWORD
Its ^pp$+it+++=Its
cord ^nn++++=cord
curls ^nns++++=curls
on ^in++++=on
the ^ati++++=the
table ^nn++++=table
like ^in++++=like
a ^at++++=a
tail ^nn++++=tail.
. ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
I ^pp1a+pp1+++=I
smashed ^vbd+++xvbnx+=smashed
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
might ^md+pos+++=might
be ^vb+be+aux++=be
calling ^nvbg+++xvbg+=calling
at ^rb++++=at
that ^dt+dem+++=that
very ^ql+amp+++=very
instant ^nn+nom+++=instant.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
would ^md+prd+++=would
hear ^vb+vprv+++=hear
emptiness ^nns+nom+++=emptiness
and ^cc++++=and
think ^vb+vprv+tht0++=think
I ^pp1a+pp1+++=I
had ^vbd+hvd+aux++=had
gone ^vprf+++xvbnx+=gone
out ^rp+pl+++=out.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
he ^pp3a+pp3+++=he
would ^md+prd+++=would
want ^vb++++=want
me ^pp1o+pp1+++=me.
. ^zz++++=EXTRAWORD
Perhaps ^rb++++=Perhaps
I ^pp1a+pp1+++=I
should ^md+nec+++=should
go ^vb++++=go
out ^rp+pl+++=out.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
could ^md+pos+++=could
put ^vbd+++xvbn+=put
on ^rb+phrv+++=on
my ^pp$+pp1+++=my
coat ^nn++++=coat
and ^cc++++=and
walk ^nn++++=walk
around ^rp++++=around
the ^ati++++=the
block ^nn++++=block.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
would ^md+prd+++=would
ring ^vb++++=ring
while ^cs+sub+++=while
I ^pp1a+pp1+++=I
was ^vbd+bedz+vrb++=was
on ^in++++=on
the ^ati++++=the
stairs ^nns++++=stairs.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
know ^vb+vprv+tht0++=know
he ^pp3a+pp3+++=he
would ^md+prd+++=would.
. ^zz++++=EXTRAWORD
Fate ^nn++++=Fate
adores ^nns+++??+=adores
a ^at++++=a
cheap ^jj+atrb+++=cheap
trick ^nn++++=trick.
. ^zz++++=EXTRAWORD
No ^at++++=No.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
shall ^md+prd+++=shall
stay ^vb++++=stay.
. ^zz++++=EXTRAWORD
Seventy ^cd++++=Seventy-six,
- ^zz++++=EXTRAWORD
six ^cd++++=EXTRAWORD
, ^zz++++=EXTRAWORD
seventy ^cd++++=seventy-seven,
- ^zz++++=EXTRAWORD
seven ^cd++++=EXTRAWORD
, ^zz++++=EXTRAWORD
seventy ^cd++++=seventy-eight,
- ^zz++++=EXTRAWORD
eight ^cd++++=EXTRAWORD
, ^zz++++=EXTRAWORD
seventy ^cd++++=seventy-nine,
- ^zz++++=EXTRAWORD
nine ^cd++++=EXTRAWORD
, ^zz++++=EXTRAWORD
eighty ^cd++++=eighty.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
used ^md"++pmd"++=used
to ^to++++=to
call ^vb++++=call
before ^cs+sub+++=before
I ^pp1a+pp1+++=I
expected ^vbd+++xvbnx+=expected
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
In ^in++++=In
the ^ati++++=the
beginning ^jj+++xvbg+=beginning
he ^pp3a+pp3+++=he
called ^vbd+++xvbnx+=called
twice ^rb++++=twice
in ^in++++=in
one ^cd1++++=one
evening ^nn++++=evening
because ^cs+cos+++=because
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
forgotten ^vprf+++xvbnx+=forgotten
to ^to+vcmp+++=to
say ^vbi+vpub+tht0++=say
something ^pn++++=something.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
nothing ^pn++++=nothing
something ^pn++++=something
about ^in++++=about
rain ^nn++++=rain.
. ^zz++++=EXTRAWORD
Imagine ^vb+vprv+++=Imagine
having ^vbg+hvg++xvbg+=having
so ^ql++++=so
much ^ap++++=much
love ^nn++++=love
that ^tht+rel+++=that
one ^cd1++++=one
spends ^vbz++++=spends
it ^pp3+it+++=it
on ^in++++=on
weather ^nn++++=weather.
. ^zz++++=EXTRAWORD
Now ^rn+dspt+++=Now
he ^pp3a+pp3+++=he
remembers ^nns+nom+++=remembers
everything ^pn++++=everything
at ^rb++++=at
once ^rb"+tm+++=once.
. ^zz++++=EXTRAWORD
Economy ^nn++++=Economy.
. ^zz++++=EXTRAWORD
That ^dt+pdem+++=That
is ^vbz+bez+vrb++=is
what ^wdt+who+++=what
affection ^nn+nom+++=affection
becomes ^vbz++++=becomes:
: ^zz++++=EXTRAWORD
economy ^nn++++=economy.
. ^zz++++=EXTRAWORD
Perhaps ^rb++++=Perhaps
I ^pp1a+pp1+++=I
have ^vb+hv+aux++=have
been ^vprf+ben+vrb+xvbnx+=been
too ^ql++++=too
available ^jj++++=available.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
warn ^vb+vpub+tht0++=warn
you ^pp2+pp2+++=you.
. ^zz++++=EXTRAWORD
Never ^rb++++=Never
answer ^nn++++=answer
on ^in++++=on
the ^ati++++=the
first ^od++++=first
ring ^vb++++=ring.
. ^zz++++=EXTRAWORD
Never ^rb++++=Never
say ^vb+vpub+tht0++=say
you ^pp2+pp2+++=you
are ^vb+ber+vrb++=are
free ^jj+pred+++=free.
. ^zz++++=EXTRAWORD
Never ^rb++++=Never
say ^vb+vpub+tht0++=say
you ^pp2+pp2+++=you
missed ^vbd+++xvbn+=missed
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
Never ^rb++++=Never
cry ^vb++++=cry
where ^wrb+who+++=where
he ^pp3a+pp3+++=he
can ^md+pos+++=can
hear ^vb+vprv+++=hear.
. ^zz++++=EXTRAWORD
Be ^vb+be+vrb++=Be
sweet ^jj+pred+++=sweet,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
not ^xnot++not++=not
sticky ^jj++++=sticky;
; ^zz++++=EXTRAWORD
interested ^jj++++=interested,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
not ^xnot++not++=not
eager ^jj++++=eager;
; ^zz++++=EXTRAWORD
loving ^jj+++xvbg+=loving,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
not ^xnot++not++=not
in ^in++++=in
love ^nn++++=love.
. ^zz++++=EXTRAWORD
A ^at++++=A
woman ^nn++++=woman
must ^md+nec+++=must
balance ^nn+nom+++=balance
twenty ^cd++++=twenty
teacups ^nns++++=teacups
and ^cc++++=and
pretend ^vb+vprv+tht0++=pretend
her ^pp$+pp3+++=her
hands ^nns++++=hands
are ^vb+ber+vrb++=are
empty ^jj+pred+++=empty.
. ^zz++++=EXTRAWORD
Eighty ^cd++++=Eighty-one,
- ^zz++++=EXTRAWORD
one ^pn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
eighty ^cd++++=eighty-two,
- ^zz++++=EXTRAWORD
two ^cd++++=EXTRAWORD
, ^zz++++=EXTRAWORD
eighty ^cd++++=eighty-three,
- ^zz++++=EXTRAWORD
three ^cd++++=EXTRAWORD
, ^zz++++=EXTRAWORD
eighty ^cd++++=eighty-four,
- ^zz++++=EXTRAWORD
four ^cd++++=EXTRAWORD
, ^zz++++=EXTRAWORD
eighty ^cd++++=eighty-five.
- ^zz++++=EXTRAWORD
five ^cd++++=EXTRAWORD
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
did ^vbd+dod+vrb++=did
cry ^nn++++=cry
last ^rb++++=last
Thursday ^nr++++=Thursday.
. ^zz++++=EXTRAWORD
Only ^rb+down+++=Only
a ^rb++++=a
little ^rb"++++=little.
. ^zz++++=EXTRAWORD
Two ^cd++++=Two
tears ^nns++++=tears,
, ^zz++++=EXTRAWORD
perhaps ^rb++++=perhaps
three ^cd++++=three.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
turned ^vbd+++xvbnx+=turned
my ^pp$+pp1+++=my
face ^nn++++=face
away ^rp+pl+++=away.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
saw ^vbd+vprv++xvbnx+=saw.
. ^zz++++=EXTRAWORD
Men ^nns++++=Men
see ^vb+vprv+++=see
tears ^nns++++=tears
the ^ati++++=the
way ^nn++++=way
sailors ^nns++++=sailors
see ^vb+vprv+++=see
rocks ^nns++++=rocks.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
said ^vbd+vpub++xvbnx+=said,
, ^zz++++=EXTRAWORD
" ^zz++++="Don't
do ^vb+do+aux++=EXTRAWORD
n't ^xnot++not++0=EXTRAWORD
make ^vb++++=make
things ^nns++++=things
difficult ^jj++++=difficult."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
said ^vbd+vpub++xvbnx+=said,
, ^zz++++=EXTRAWORD
" ^zz++++="I'm
i ^pp1a+pp1+++=EXTRAWORD
'm ^vb+bem+vrb++0=EXTRAWORD
not ^xnot++not++=not."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
That ^dt+pdem+++=That
was ^vbd+bedz+vrb++=was
a ^at++++=a
lie ^nn++++=lie.
. ^zz++++=EXTRAWORD
Existing ^vbg+++xvbg+=Existing
is ^vbz+bez+aux++=is
making ^vbg+++xvbgx+=making
things ^nns++++=things
difficult ^jj++++=difficult.
. ^zz++++=EXTRAWORD
Eighty ^cd++++=Eighty-six,
- ^zz++++=EXTRAWORD
six ^cd++++=EXTRAWORD
, ^zz++++=EXTRAWORD
eighty ^cd++++=eighty-seven,
- ^zz++++=EXTRAWORD
seven ^cd++++=EXTRAWORD
, ^zz++++=EXTRAWORD
eighty ^cd++++=eighty-eight,
- ^zz++++=EXTRAWORD
eight ^cd++++=EXTRAWORD
, ^zz++++=EXTRAWORD
eighty ^cd++++=eighty-nine,
- ^zz++++=EXTRAWORD
nine ^cd++++=EXTRAWORD
, ^zz++++=EXTRAWORD
ninety ^cd++++=ninety.
. ^zz++++=EXTRAWORD
Please ^uh++++=Please
let ^vb+++xvbn+=let
him ^pp3o+pp3+++=him
call ^vb++++=call
before ^in++++=before
one ^cd1++++=one
hundred ^cd++++=hundred.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
will ^md+prd+++=will
never ^rb++splt++=never
cry ^vb++++=cry
again ^rb+tm+++=again.
. ^zz++++=EXTRAWORD
My ^pp$+pp1+++=My
eyes ^nns++++=eyes
may ^md+pos+++=may
burst ^vbd+++xvbn+=burst,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
I ^pp1a+pp1+++=I
shall ^md+prd+++=shall
call ^vb++++=call
it ^pp3+it+++=it
hay ^nn++++=hay
fever ^nn++++=fever.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
will ^md+prd+++=will
be ^vb+be+vrb++=be
easy ^jj+pred+++=easy
and ^cc+phrs+++=and
lovely ^jj++++=lovely.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
will ^md+prd+++=will
ask ^vb++++=ask
for ^in+ppvb+++=for
nothing ^pn++++=nothing.
. ^zz++++=EXTRAWORD
How ^wrb+who+++=How
revolting ^vbg+++xvbg+=revolting.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
shall ^md+prd+++=shall
ask ^vb++++=ask
for ^in+ppvb+++=for
everything ^pn++++=everything.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
shall ^md+prd+++=shall
say ^vb+vpub+++=say,
, ^zz++++=EXTRAWORD
" ^zz++++="Love
love ^nn++++=EXTRAWORD
me ^pp1o+pp1+++=me
properly ^rb++++=properly
or ^cc++++=or
go ^vb++++=go."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
That ^dt+pdem+++=That
is ^vbz+bez+vrb++=is
what ^wdt+who+++=what
a ^at++++=a
proud ^jj+atrb+++=proud
woman ^nn++++=woman
would ^md+prd+++=would
say ^vb+vpub+++=say.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
then ^rn+tm+++=then
he ^pp3a+pp3+++=he
would ^md+prd+++=would
go ^vb++++=go.
. ^zz++++=EXTRAWORD
Ninety ^cd++++=Ninety-one,
- ^zz++++=EXTRAWORD
one ^pn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
ninety ^cd++++=ninety-two,
- ^zz++++=EXTRAWORD
two ^cd++++=EXTRAWORD
, ^zz++++=EXTRAWORD
ninety ^cd++++=ninety-three,
- ^zz++++=EXTRAWORD
three ^cd++++=EXTRAWORD
, ^zz++++=EXTRAWORD
ninety ^cd++++=ninety-four,
- ^zz++++=EXTRAWORD
four ^cd++++=EXTRAWORD
, ^zz++++=EXTRAWORD
ninety ^cd++++=ninety-five.
- ^zz++++=EXTRAWORD
five ^cd++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Maybe ^rb+hdg+++=Maybe
the ^ati++++=the
telephone ^nn++++=telephone
is ^vbz+bez+aux++=is
broken ^vpsv++agls+xvbnx+=broken.
. ^zz++++=EXTRAWORD
Of ^in+emph+++=Of
course ^nn+emph"+++=course.
. ^zz++++=EXTRAWORD
Why ^wrb+who+whq++=Why
did ^vbd+dod+vrb++=did
I ^pp1a+pp1+++=I
not ^xnot++not++=not
think ^vb+vprv+++=think
of ^in++++=of
