Frances ^nns+nom+++=Frances
said ^vbd+vpub++xvbnx+=said.
. ^zz++++=EXTRAWORD
" ^zz++++="Of
of ^in+emph+++=EXTRAWORD
course ^nn+emph"+++=course
not ^xnot++not++=not.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
spoke ^vbd+++xvbnx+=spoke
properly ^rb++++=properly
and ^cc++++=and
kept ^vbd+++xvbn+=kept
his ^pp$+pp3+++=his
nails ^nns++++=nails
clean ^jj++++=clean."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="So
so ^ql++++=EXTRAWORD
does ^vbz+doz+vrb++=does
parson ^nn++++=parson."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Frances ^nns+nom+++=Frances
turned ^vbd+++xvbn+=turned
away ^rb+phrv+++=away.
. ^zz++++=EXTRAWORD
The ^ati++++=The
objects ^nns++++=objects
about ^in++++=about
her ^pp$+pp3+++=her
had ^vbd+hvd+aux++=had
acquired ^vprf+++xvbnx+=acquired
a ^at++++=a
cruel ^jj+atrb+++=cruel
distinctness ^nns+nom+++=distinctness:
: ^zz++++=EXTRAWORD
the ^ati++++=the
split ^nn+++xvbn+=split
casing ^nn++++=casing
of ^in++++=of
a ^at++++=a
chestnut ^nn++++=chestnut
under ^in++++=under
her ^pp$+pp3+++=her
hand ^nn++++=hand;
; ^zz++++=EXTRAWORD
a ^at++++=a
strand ^nn++++=strand
of ^in++++=of
sheep ^nns++++=sheep's
's ^$++++=EXTRAWORD
wool ^nn++++=wool
caught ^vbd+++xvbn+=caught
on ^in++++=on
a ^at++++=a
thorn ^nn++++=thorn;
; ^zz++++=EXTRAWORD
the ^ati++++=the
yellow ^jj+atrb+++=yellow
dust ^nn++++=dust
in ^in++++=in
the ^ati++++=the
seams ^nns++++=seams
of ^in++++=of
Anne ^np++++=Anne's
's ^$++++=EXTRAWORD
boots ^nns++++=boots.
. ^zz++++=EXTRAWORD
Each ^dt++++=Each
thing ^nn++++=thing
persisted ^vbd+++xvbn+=persisted,
, ^zz++++=EXTRAWORD
complete ^jj++++=complete
and ^cc+phrs+++=and
needless ^jj++++=needless,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
the ^ati++++=the
life ^nn++++=life
Frances ^nns+nom+++=Frances
had ^vb+hv+aux++=had
secretly ^rb++splt++=secretly
composed ^vprf+++xvbnx+=composed
for ^in++++=for
herself ^ppl+pp3+++=herself
fell ^vbd+++xvbn+=fell
to ^in++++=to
pieces ^nns++++=pieces
without ^in++++=without
making ^xvbg+++xvbg+=making
a ^at++++=a
sound ^nn++++=sound.
. ^zz++++=EXTRAWORD
For ^in++++=For
years ^nns++++=years
she ^pp3a+pp3+++=she
had ^vbd+hvd+aux++=had
loved ^vprf+++xvbnx+=loved
Jimmy ^np++++=Jimmy
in ^in++++=in
futures ^nns+++??+=futures.
. ^zz++++=EXTRAWORD
Next ^ap++++=Next
winter ^nn++++=winter
he ^pp3a+pp3+++=he
would ^md+prd+++=would
understand ^vb+vprv+++=understand.
. ^zz++++=EXTRAWORD
At ^in++++=At
Christmas ^np++++=Christmas
he ^pp3a+pp3+++=he
would ^md+prd+++=would
come ^vb++++=come.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
his ^pp$+pp3+++=his
prospects ^nns++++=prospects
improved ^vbd+++xvbn+=improved,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
his ^pp$+pp3+++=his
mother ^npt++++=mother
ceased ^vbd+++xvbn+=ceased
objecting ^vbg+++xvbg+=objecting,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
Frances ^nns+nom+++=Frances
had ^vb+hv+vrb++=had
a ^at++++=a
better ^jjr+atrb+++=better
dress ^nn++++=dress,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
they ^pp3a+pp3+++=they
were ^vbd+bed+vrb++=were
both ^abx++++=both
older ^jjr++++=older
and ^cc++++=and
less ^rbr++++=less
afraid ^jj++++=afraid
then ^rn+tm+++=then
his ^pp$+pp3+++=his
half ^abn++++=half-smiles
- ^zz++++=EXTRAWORD
smiles ^vbz++++=EXTRAWORD
and ^cc++++=and
half ^abn++++=half-confidences
- ^zz++++=EXTRAWORD
confidences ^nns+nom+++=EXTRAWORD
would ^md+prd+++=would
join ^vb++++=join
into ^in++++=into
certainty ^nn++++=certainty.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
had ^vbd+hvd+aux++=had
lived ^vprf+++xvbnx+=lived
among ^in++++=among
these ^dt+dem+++=these
postponed ^jj+atrb++xvbn+=postponed
arrivals ^nns+nom+++=arrivals
until ^cs+sub+++=until
they ^pp3a+pp3+++=they
seemed ^vbd+seem++xvbnx+=seemed
more ^rbr++++=more
substantial ^jj++++=substantial
than ^in++++=than
any ^dti++++=any
day ^nn++++=day
she ^pp3a+pp3+++=she
actually ^rb+amp+++=actually
inhabited ^vwbn+++xvbn+=inhabited.
. ^zz++++=EXTRAWORD
Now ^rn+dspt+++=Now
he ^pp3a+pp3+++=he
was ^vbd+bedz+aux++=was
engaged ^vpsv++agls+xvbnx+=engaged
to ^in++++=to
a ^at++++=a
woman ^nn++++=woman
with ^in++++=with
pearls ^nns++++=pearls.
. ^zz++++=EXTRAWORD
Anne ^np++++=Anne
sat ^vbd+++xvbn+=sat
up ^rp++++=up.
. ^zz++++=EXTRAWORD
" ^zz++++="What's
what ^wdt+who+++=EXTRAWORD
's ^vbz+bez+vrb++0=EXTRAWORD
that ^dt+pdem+++=that?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
There ^ex+pex+++=There
was ^vbd+bedz+vrb++=was
a ^at++++=a
movement ^nn+nom+++=movement
in ^in++++=in
the ^ati++++=the
thin ^jj+atrb+++=thin
grass ^nn++++=grass,
, ^zz++++=EXTRAWORD
not ^xnot++not++=not
the ^ati++++=the
glide ^nn++++=glide
of ^in++++=of
a ^at++++=a
snake ^nn++++=snake
nor ^cc++neg++=nor
the ^ati++++=the
quick ^jj+atrb+++=quick
neat ^jj+atrb+++=neat
flight ^nn++++=flight
of ^in++++=of
a ^at++++=a
mouse ^nn++++=mouse,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
a ^at++++=a
blunt ^jj+atrb+++=blunt,
, ^zz++++=EXTRAWORD
laborious ^jj+atrb+++=laborious
disturbance ^nn+nom+++=disturbance
of ^in++++=of
the ^ati++++=the
soil ^nn++++=soil.
. ^zz++++=EXTRAWORD
A ^at++++=A
small ^nn++++=small
mound ^vb+++??+=mound
lifted ^vbd+++xvbn+=lifted,
, ^zz++++=EXTRAWORD
cracked ^j+++xvbn+=cracked,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
subsided ^vprf+++xvbn+=subsided.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then,
, ^zz++++=EXTRAWORD
as ^cs+sub+++=as
if ^cs+cnd+++=if
pushed ^vbd+++xvbn+=pushed
upward ^jjb++++=upward
by ^in++++=by
the ^ati++++=the
heat ^nn++++=heat
itself ^ppl++++=itself,
, ^zz++++=EXTRAWORD
a ^at++++=a
mole ^nn++++=mole
broke ^vbd+++xvbn+=broke
through ^in+strn+++=through.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
came ^vbd+++xvbn+=came
into ^in+ppvb+++=into
the ^ati++++=the
light ^nn++++=light
foolishly ^rb++++=foolishly.
. ^zz++++=EXTRAWORD
Its ^pp$+it+++=Its
black ^jj+atrb+++=black
fur ^nn++++=fur
had ^vb+hv+vrb++=had
a ^at++++=a
bluish ^jj+atrb+++=bluish
bloom ^nn++++=bloom,
, ^zz++++=EXTRAWORD
soft ^jj++++=soft
as ^in++++=as
soot ^nn++++=soot
beneath ^in+pl+++=beneath
glass ^nn++++=glass.
. ^zz++++=EXTRAWORD
Its ^pp$+it+++=Its
pointed ^jj+atrb++xvbn+=pointed
nose ^nn++++=nose
worked ^vbd+++xvbn+=worked
with ^in++++=with
desperate ^jj+atrb+++=desperate
delicacy ^nn+nom+++=delicacy;
; ^zz++++=EXTRAWORD
the ^ati++++=the
pale ^jj+atrb+++=pale
hands ^nns++++=hands,
, ^zz++++=EXTRAWORD
spread ^j+++xvbn+=spread
sideways ^jjb++++=sideways,
, ^zz++++=EXTRAWORD
paddled ^j+++xvbn+=paddled
at ^in++++=at
the ^ati++++=the
hard ^jj+atrb+++=hard
surface ^nn++++=surface.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
moved ^vbd+++xvbn+=moved
in ^in++++=in
a ^at++++=a
crooked ^jj+atrb+++=crooked
rush ^nn++++=rush,
, ^zz++++=EXTRAWORD
stopped ^j+++xvbn+=stopped,
, ^zz++++=EXTRAWORD
opened ^j+++xvbn+=opened
its ^pp$+it+++=its
pink ^jj+atrb+++=pink
mouth ^nn++++=mouth,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
rushed ^vbd+++xvbn+=rushed
again ^rb+tm+++=again.
. ^zz++++=EXTRAWORD
" ^zz++++="Oh!"
oh ^uh++++=EXTRAWORD
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Frances ^nns+nom+++=Frances
said ^vbd+vpub++xvbn+=said.
. ^zz++++=EXTRAWORD
" ^zz++++="Poor
poor ^jj+atrb+++=EXTRAWORD
thing ^nn++++=thing."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Anne ^np++++=Anne
was ^vbd+bedz+vrb++=was
already ^rb++++=already
on ^rp++++=on
her ^pp3o+pp3+++=her
knees ^nns++++=knees.
. ^zz++++=EXTRAWORD
" ^zz++++="Don't
do ^vb+do+aux++=EXTRAWORD
n't ^xnot++not++0=EXTRAWORD
touch ^vb++++=touch
it ^pp3+it+++=it."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="It'll
it ^pp3+it+++=EXTRAWORD
'll ^md+prd+++0=EXTRAWORD
spoil ^vb++++=spoil
the ^ati++++=the
pasture ^nn++++=pasture."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="What
what ^wdt+who+++=EXTRAWORD
can ^md+pos+++=can
that ^dt+dem+++=that
one ^cd1++++=one
little ^jj+atrb+++=little
creature ^nn++++=creature
spoil ^vb++++=spoil?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="More
more ^ql++++=EXTRAWORD
than ^cs+sub+++=than
you ^pp2+pp2+++=you'd
'd ^md+prd+aux++0=EXTRAWORD
think ^vb+vprv+++=think."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Anne ^np++++=Anne
dropped ^vbd+++xvbn+=dropped
her ^pp$+pp3+++=her
hat ^nn++++=hat
over ^in++++=over
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
The ^ati++++=The
felt ^nn++++=felt
twitched ^vbd+++xvbn+=twitched
and ^cc+phrs+++=and
travelled ^vbd+++xvbn+=travelled
an ^at++++=an
inch ^nn++++=inch.
. ^zz++++=EXTRAWORD
Frances ^nns+nom+++=Frances
leaned ^vbd+++xvbn+=leaned
forward ^rb+cnj+++=forward,
, ^zz++++=EXTRAWORD
suddenly ^rb++++=suddenly
intent ^jj++++=intent.
. ^zz++++=EXTRAWORD
Beneath ^in+pl+++=Beneath
the ^ati++++=the
crown ^nn++++=crown
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
a ^at++++=a
frantic ^jj+atrb+++=frantic
scratching ^nvbg+++xvbg+=scratching,
, ^zz++++=EXTRAWORD
minute ^nn++++=minute
yet ^rb++++=yet
violent ^jj++++=violent,
, ^zz++++=EXTRAWORD
like ^in++++=like
rain ^nn++++=rain
trapped ^vbd+++xvbn+=trapped
in ^in++++=in
a ^at++++=a
box ^nn++++=box.
. ^zz++++=EXTRAWORD
" ^zz++++="Let
let ^vb+++xvbn+=EXTRAWORD
it ^pp3+it+++=it
go ^vb++++=go,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
said ^vbd+vpub++xvbnx+=said.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
want ^vb++++=want
to ^to+vcmp+++=to
see ^vbi+vprv+tht0++=see
it ^pp3+it+++=it."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Anne ^np++++=Anne
slipped ^vbd+++xvbn+=slipped
her ^pp3o+pp3+++=her
hand ^nn++++=hand
under ^in++++=under
the ^ati++++=the
brim ^nn++++=brim.
. ^zz++++=EXTRAWORD
A ^at++++=A
moment ^nn++++=moment
later ^rbr+tm+++=later
she ^pp3a+pp3+++=she
cried ^vbd+++xvbnx+=cried
out ^rp+pl+++=out
and ^cc++++=and
flung ^vbd+++xvbn+=flung
the ^ati++++=the
hat ^nn++++=hat
aside ^rp++++=aside.
. ^zz++++=EXTRAWORD
The ^ati++++=The
mole ^nn++++=mole
lay ^vbd+++xvbn+=lay
exposed ^vbd+++xvbn+=exposed,
, ^zz++++=EXTRAWORD
its ^pp$+it+++=its
mouth ^nn++++=mouth
wide ^jj++++=wide,
, ^zz++++=EXTRAWORD
its ^pp$+it+++=its
blind ^jj++++=blind
head ^jjb++++=head
lifted ^jj+++xvbn+=lifted.
. ^zz++++=EXTRAWORD
One ^pn++++=One
of ^in++++=of
Anne ^np++++=Anne's
's ^$++++=EXTRAWORD
fingers ^nns+nom+++=fingers
showed ^vbd+vprv++xvbn+=showed
a ^at++++=a
bright ^jj+atrb+++=bright
bead ^nn++++=bead
of ^in++++=of
blood ^nn++++=blood.
. ^zz++++=EXTRAWORD
" ^zz++++="It
it ^pp3+it+++=EXTRAWORD
bit ^nn++++=bit
me ^pp1o+pp1+++=me!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Of
of ^in+emph+++=EXTRAWORD
course ^nn+emph"+++=course
it ^pp3+it+++=it
bit ^nn++++=bit
you ^pp2+pp2+++=you.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
were ^vbd+bed+aux++=were
crushing ^vbg+++xvbgx+=crushing
it ^pp3+it+++=it."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
were ^vbd+bed+vrb++=weren't
n't ^xnot++not++0=EXTRAWORD
crushing ^jj+++xvbg+=crushing
it ^pp3+it+++=it."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
The ^ati++++=The
mole ^nn++++=mole
turned ^vbd+++xvbn+=turned
upon ^in++++=upon
itself ^ppl++++=itself.
. ^zz++++=EXTRAWORD
Its ^pp$+it+++=Its
hands ^nns++++=hands,
, ^zz++++=EXTRAWORD
absurdly ^rb++++=absurdly
broad ^jj++++=broad
and ^cc+phrs+++=and
human ^jj++++=human,
, ^zz++++=EXTRAWORD
seized ^j+++xvbn+=seized
nothing ^pn++++=nothing;
; ^zz++++=EXTRAWORD
its ^pp$+it+++=its
body ^nn++++=body
shone ^vbd+++xvbn+=shone
black ^nn++++=black
in ^in++++=in
the ^ati++++=the
sun ^nn++++=sun.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
seemed ^vbd+seem++xvbn+=seemed
naked ^jj++++=naked
despite ^in++++=despite
its ^pp$+it+++=its
fur ^nn++++=fur,
, ^zz++++=EXTRAWORD
all ^abn++++=all
appetite ^nn++++=appetite
and ^cc++++=and
terror ^nn++++=terror,
, ^zz++++=EXTRAWORD
thrust ^j+++xvbn+=thrust
into ^in++++=into
a ^at++++=a
world ^nn++++=world
for ^in++++=for
which ^whp+rel+pied++=which
it ^pp3+it+++=it
had ^vb+hv+vrb++=had
no ^at++++=no
eyes ^nns++++=eyes.
. ^zz++++=EXTRAWORD
Anne ^np++++=Anne
caught ^vbd+++xvbn+=caught
up ^rp++++=up
the ^ati++++=the
rabbit ^nn++++=rabbit
basket ^nn++++=basket.
. ^zz++++=EXTRAWORD
" ^zz++++="No,"
no ^at++++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Frances ^nns+nom+++=Frances
said ^vbd+vpub++xvbn+=said.
. ^zz++++=EXTRAWORD
Anne ^np++++=Anne
brought ^vbd+++xvbn+=brought
the ^ati++++=the
wooden ^jj+atrb+++=wooden
rim ^nn++++=rim
down ^in+strn+++=down.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
was ^vbd+bedz+vrb++=was
a ^at++++=a
soft ^jj+atrb+++=soft
blow ^nn++++=blow.
. ^zz++++=EXTRAWORD
The ^ati++++=The
creature ^nn++++=creature
contracted ^vbd+++xvbn+=contracted.
. ^zz++++=EXTRAWORD
Anne ^np++++=Anne
struck ^vbd+++xvbn+=struck
again ^rb+cnj+++=again,
, ^zz++++=EXTRAWORD
more ^rbr++++=more
accurately ^rb++++=accurately.
. ^zz++++=EXTRAWORD
The ^ati++++=The
small ^jj+atrb+++=small
mouth ^nn++++=mouth
remained ^vbd+++xvbn+=remained
open ^jj++++=open,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
the ^ati++++=the
body ^nn++++=body
no ^at++++=no
longer ^rbr++++=longer
answered ^vbd+vpub++xvbn+=answered
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
One ^cd1++++=One
forefoot ^nn+++??+=forefoot
was ^vbd+bedz+aux++=was
doubled ^vpsv++agls+xvbnx+=doubled
under ^in+strn+++=under;
; ^zz++++=EXTRAWORD
the ^ati++++=the
other ^ap++++=other
rested ^jj+atrb++xvbn+=rested
palm ^nn++++=palm-upward
- ^zz++++=EXTRAWORD
upward ^jjb++++=EXTRAWORD
upon ^in++++=upon
the ^ati++++=the
dust ^nn++++=dust.
. ^zz++++=EXTRAWORD
For ^in++++=For
several ^ap++++=several
seconds ^nns++++=seconds
neither ^dt++neg++=neither
sister ^nn++++=sister
moved ^vbd+++xvbn+=moved.
. ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
beast ^nn++++=beast,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Frances ^nns+nom+++=Frances
whispered ^vbd+++xvbn+=whispered.
. ^zz++++=EXTRAWORD
" ^zz++++="It
it ^pp3+it+++=EXTRAWORD
bit ^nn++++=bit
me ^pp1o+pp1+++=me."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
could ^md+pos+++=could
have ^vb+hv+aux++=have
let ^vprf+++xvbnx+=let
it ^pp3+it+++=it
go ^vb++++=go."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="And
and ^cc++++=EXTRAWORD
have ^vb+hv+vrb++=have
it ^pp3+it+++=it
digging ^jj+++xvbg+=digging?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="It
it ^pp3+it+++=EXTRAWORD
was ^vbd+bedz+vrb++=was
alive ^jj+pred+++=alive."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="So's
so ^ql++++=EXTRAWORD
's ^vbz+bez+vrb++0=EXTRAWORD
everything ^pn++++=everything
till ^in++++=till
it ^pp3+it+++=it's
's ^vbz+bez+vrb++0=EXTRAWORD
dead ^jj++++=dead."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Anne ^np++++=Anne
sucked ^vbd+++xvbn+=sucked
her ^pp$+pp3+++=her
finger ^nn++++=finger.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
was ^vbd+bedz+aux++=was
disturbed ^vpsv++agls+xvbnx+=disturbed
less ^rbr++++=less
by ^in++++=by
the ^ati++++=the
killing ^nn++++=killing
than ^in++++=than
by ^in++++=by
Frances ^nns+nom+++=Frances's
's ^$++++=EXTRAWORD
gaze ^nn++++=gaze,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
made ^vprf+++xvbn+=made
her ^pp$+pp3+++=her
feel ^vb+vprv+++=feel
large ^jj++++=large
and ^cc+phrs+++=and
clumsy ^jj++++=clumsy.
. ^zz++++=EXTRAWORD
Yet ^rb++++=Yet
beneath ^in+pl+++=beneath
this ^dt+dem+++=this
discomfort ^nn++++=discomfort
she ^pp3a+pp3+++=she
remained ^vbd+++xvbnx+=remained
sure ^jj++++=sure.
. ^zz++++=EXTRAWORD
A ^at++++=A
mole ^nn++++=mole
in ^in++++=in
a ^at++++=a
pasture ^nn++++=pasture
was ^vbd+bedz+vrb++=was
damage ^nn++++=damage;
; ^zz++++=EXTRAWORD
a ^at++++=a
bite ^nn++++=bite
was ^vbd+bedz+vrb++=was
pain ^nn++++=pain;
; ^zz++++=EXTRAWORD
a ^at++++=a
blow ^nn++++=blow
ended ^vbd+++xvbn+=ended
both ^abx++++=both.
. ^zz++++=EXTRAWORD
Things ^nns++++=Things
were ^vbd+bed+vrb++=were
vexatious ^jj+pred+++=vexatious
chiefly ^rb++++=chiefly
when ^wrb+who+++=when
people ^nns++++=people
refused ^vbd+++xvbn+=refused
to ^to+vcmp+++=to
finish ^vbi++++=finish
them ^pp3o+pp3+++=them.
. ^zz++++=EXTRAWORD
Frances ^nns+nom+++=Frances
stared ^vbd+++xvbn+=stared
at ^rb++++=at
the ^ati++++=the
little ^ap++++=little
black ^jj+atrb+++=black
body ^nn++++=body.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
expected ^vbd+vprv++xvbnx+=expected
pity ^nn++++=pity
to ^to++++=to
rise ^vbi++++=rise
in ^in++++=in
her ^pp$+pp3+++=her
again ^rb+cnj+++=again,
, ^zz++++=EXTRAWORD
sharp ^jj++++=sharp
and ^cc+phrs+++=and
luxurious ^jj++++=luxurious.
. ^zz++++=EXTRAWORD
Instead ^rb+cnj+++=Instead
something ^pn++++=something
in ^in++++=in
her ^pp$+pp3+++=her
went ^vbd+++xvbn+=went
level ^nn++++=level.
. ^zz++++=EXTRAWORD
The ^ati++++=The
chestnut ^nn++++=chestnut
casing ^nn++++=casing,
, ^zz++++=EXTRAWORD
the ^ati++++=the
wool ^nn++++=wool
on ^in++++=on
the ^ati++++=the
thorn ^nn++++=thorn,
, ^zz++++=EXTRAWORD
the ^ati++++=the
shrivelled ^jj+atrb+++=shrivelled
berries ^nns++++=berries
suddenly ^rb++++=suddenly
they ^pp3a+pp3+++=they
were ^vbd+bed+vrb++=were
merely ^rb+down+++=merely
things ^nns++++=things.
. ^zz++++=EXTRAWORD
The ^ati++++=The
hawk ^nn+++??+=hawk
was ^vbd+bedz+aux++=was
gone ^vpsv++agls+xvbnx+=gone.
. ^zz++++=EXTRAWORD
The ^ati++++=The
sun ^nn++++=sun
still ^rb++++=still
pressed ^vbd+++xvbn+=pressed
on ^in++++=on
her ^pp$+pp3+++=her
forehead ^nn++++=forehead,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
it ^pp3+it+++=it
no ^at++++=no
longer ^rbr++++=longer
accused ^vbd+++xvbn+=accused
her ^pp$+pp3+++=her.
. ^zz++++=EXTRAWORD
Even ^rb++++=Even
Jimmy ^np++++=Jimmy's
's ^$++++=EXTRAWORD
engagement ^nn+nom+++=engagement
seemed ^vbd+seem++xvbn+=seemed
to ^to+vcmp+++=to
have ^vbi++++=have
moved ^vbd+++xvbn+=moved
away ^in+pl+++=away
from ^in"++++=from
the ^ati++++=the
centre ^nn++++=centre
of ^in++++=of
existence ^nn+nom+++=existence.
. ^zz++++=EXTRAWORD
A ^at++++=A
mole ^nn++++=mole
had ^vbd+hvd+aux++=had
struggled ^vprf+++xvbnx+=struggled,
, ^zz++++=EXTRAWORD
bitten ^j+++xvbn+=bitten,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
been ^vprf+ben+aux+xvbn+=been
killed ^vpsv++agls+xvbnx+=killed.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
was ^vbd+bedz+vrb++=was
no ^at++++=no
appeal ^nn++++=appeal
beyond ^in++++=beyond
the ^ati++++=the
fact ^nn++++=fact.
. ^zz++++=EXTRAWORD
" ^zz++++="Give
give ^vb++++=EXTRAWORD
us ^pp1o+pp1+++=us
your ^pp$+pp2+++=your
hand ^nn++++=hand,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Anne ^np++++=Anne
said ^vbd+vpub++xvbn+=said.
. ^zz++++=EXTRAWORD
Frances ^nns+nom+++=Frances
bound ^vwbn+++xvbn+=bound
the ^ati++++=the
bitten ^jj+atrb++xvbn+=bitten
finger ^nn++++=finger
with ^in++++=with
her ^pp$+pp3+++=her
handkerchief ^nn++++=handkerchief.
. ^zz++++=EXTRAWORD
" ^zz++++="You've
you ^pp2+pp2+++=EXTRAWORD
've ^vb+hv+aux++0=EXTRAWORD
spoiled ^vprf+++xvbnx+=spoiled
it ^pp3+it+++=it
with ^in++++=with
blood ^nn++++=blood."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="It'll
it ^pp3+it+++=EXTRAWORD
'll ^md+prd+++0=EXTRAWORD
wash ^vb++++=wash."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="It
it ^pp3+it+++=EXTRAWORD
was ^vbd+bedz+vrb++=was
a ^at++++=a
good ^jj+atrb+++=good
handkerchief ^nn++++=handkerchief."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Then
then ^rn+tm+++=EXTRAWORD
you ^pp2+pp2+++=you
should ^md+nec+++=shouldn't
n't ^xnot++not++0=EXTRAWORD
have ^vb+hv+aux++=have
offered ^vprf+++xvbnx+=offered."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Frances ^nns+nom+++=Frances
laughed ^vbd+++xvbn+=laughed,
, ^zz++++=EXTRAWORD
wearily ^rb++++=wearily
and ^cc++++=and
without ^in++++=without
resentment ^nn+nom+++=resentment.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
left ^vbd+++xvbnx+=left
the ^ati++++=the
mole ^nn++++=mole
beside ^in+pl+++=beside
the ^ati++++=the
thorn ^nn++++=thorn
tree ^nn++++=tree,
, ^zz++++=EXTRAWORD
a ^at++++=a
small ^jj+atrb+++=small
black ^jj+atrb+++=black
knot ^nn++++=knot
upon ^in++++=upon
the ^ati++++=the
immense ^jj++++=immense
brown ^jj++++=brown
common ^jj++++=common,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
went ^vbd+++xvbn+=went
home ^nr++++=home.
. ^zz++++=EXTRAWORD
Near ^in+pl+++=Near
the ^ati++++=the
lane ^nn++++=lane
they ^pp3a+pp3+++=they
met ^vbd+++xvbnx+=met
Tom ^np++++=Tom
Smedley ^np+++??+=Smedley
coming ^vwbg+++xvbg+=coming
through ^in++++=through
a ^at++++=a
gate ^nn++++=gate.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
had ^vb+hv+vrb++=had
a ^at++++=a
fork ^nn++++=fork
over ^in++++=over
his ^pp$+pp3+++=his
shoulder ^nn+nom+++=shoulder
and ^cc++++=and
his ^pp$+pp3+++=his
shirt ^nn++++=shirt-sleeves
- ^zz++++=EXTRAWORD
sleeves ^nns++++=EXTRAWORD
rolled ^vbd+++xvbn+=rolled
high ^jj++++=high.
. ^zz++++=EXTRAWORD
The ^ati++++=The
sun ^nn++++=sun
had ^vbd+hvd+aux++=had
darkened ^vprf+++xvbnx+=darkened
his ^pp$+pp3+++=his
face ^nn++++=face
and ^cc++++=and
arms ^nns++++=arms,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
under ^in++++=under
the ^ati++++=the
brim ^nn++++=brim
of ^in++++=of
his ^pp$+pp3+++=his
hat ^nn++++=hat
his ^pp$+pp3+++=his
