# ^zz++++=##
# ^zz++++=EXTRAWORD
Hundred ^cd++++=HUNDRED
" ^zz++++=EXTRAWORD
" ^zz++++="The
the ^ati++++=EXTRAWORD
State ^nn++++=State
of ^in++++=of
Georgia ^np+++??+=Georgia?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Yes,
yes ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
sir ^npt++++=sir.
. ^zz++++=EXTRAWORD
State ^np++++=State's
's ^$++++=EXTRAWORD
got ^vbd+++xvbn+=got
a ^at++++=a
mighty ^jj+atrb+++=mighty
strong ^jj+atrb+++=strong
arm ^nn++++=arm."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
coat ^nn++++=coat
had ^vbd+hvd+aux++=had
fallen ^vprf+++xvbn+=fallen
low ^jj++++=low
enough ^qlp++++=enough
to ^to++++=to
reveal ^vbi+vprv+++=reveal
what ^wdt+who+whcl++=what
lay ^jjb+++xvbn+=lay
beneath ^in+strn+++=beneath.
. ^zz++++=EXTRAWORD
Colonel ^npt++++=Colonel
Dabney ^np+++??+=Dabney,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
had ^vbd+hvd+aux++=had
seen ^vprf++tht0+xvbnx+=seen
men ^nns++++=men
wounded ^vbd+++xvbn+=wounded
in ^in++++=in
battle ^nn++++=battle
and ^cc++++=and
had ^vbd+hvd+aux++=had
acquired ^vprf+++xvbnx+=acquired
the ^ati++++=the
veteran ^nn++++=veteran's
's ^$++++=EXTRAWORD
privilege ^nn++++=privilege
of ^in++++=of
speaking ^xvbg+++xvbg+=speaking
lightly ^rb++++=lightly
about ^in++++=about
blood ^nn++++=blood,
, ^zz++++=EXTRAWORD
did ^vbd+dod+aux++=did
not ^xnot++not++=not
speak ^vb++++=speak
lightly ^rb++++=lightly
then ^rn+tm+++=then.
. ^zz++++=EXTRAWORD
The ^ati++++=The
man ^nn++++=man's
's ^vbz+bez+vrb++0=EXTRAWORD
back ^jjb++++=back
was ^vbd+bedz+vrb++=was
a ^at++++=a
map ^nn++++=map
drawn ^vwbn+++xvbn+=drawn
in ^in++++=in
raised ^jj+atrb++xvbn+=raised
and ^cc+phrs+++=and
twisted ^jj+atrb++xvbn+=twisted
scars ^nns++++=scars.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
were ^vbd+bed+vrb++=were
old ^jj+atrb+++=old
ridges ^nns++++=ridges,
, ^zz++++=EXTRAWORD
smooth ^jj++++=smooth
and ^cc+phrs+++=and
white ^jj++++=white;
; ^zz++++=EXTRAWORD
newer ^jjr+atrb+++=newer
seams ^nns++++=seams,
, ^zz++++=EXTRAWORD
purple ^jj++++=purple
at ^rb++++=at
the ^ati++++=the
edges ^nns++++=edges;
; ^zz++++=EXTRAWORD
crossing ^vbg+++xvbg+=crossing
lines ^nns++++=lines;
; ^zz++++=EXTRAWORD
knots ^nns++++=knots;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
one ^cd1++++=one
broad ^jj+atrb+++=broad,
, ^zz++++=EXTRAWORD
angry ^jj+atrb+++=angry
wound ^nn+++xvbn+=wound
not ^xnot++not++=not
wholly ^rb++++=wholly
closed ^jj+++xvbn+=closed.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
a ^at++++=a
fine ^jj+atrb+++=fine
piece ^nn++++=piece
of ^in++++=of
mosaic ^nn++++=mosaic,
, ^zz++++=EXTRAWORD
if ^cs+cnd+++=if
one ^cd1++++=one
may ^md+pos+++=may
employ ^vb++++=employ
so ^rb+emph+++=so
civilised ^jj++++=civilised
a ^at++++=a
word ^nn++++=word
for ^in++++=for
so ^rb+emph+++=so
barbarous ^jj++++=barbarous
a ^at++++=a
workmanship ^nn+nom+++=workmanship.
. ^zz++++=EXTRAWORD
One ^pn++++=One
of ^in++++=of
the ^ati++++=the
ladies ^nns++++=ladies
began ^vbd+++xvbn+=began
to ^to++++=to
cry ^vbi++++=cry.
. ^zz++++=EXTRAWORD
Baker ^np++++=Baker
looked ^vbd+++xvbn+=looked
at ^in++++=at
her ^pp$+pp3+++=her
in ^in++++=in
alarm ^nn++++=alarm.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
ai ^vb+be+++=ain't
n't ^xnot++not++0=EXTRAWORD
done ^vpsv++agls+xvbn+=done
nothin ^nn+++??+=nothin'
' ^zz++++=EXTRAWORD
to ^in++++=to
her ^pp$+pp3+++=her."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="No,"
no ^at++++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Clayton ^np++++=Clayton.
. ^zz++++=EXTRAWORD
" ^zz++++="Put
put ^vbd+++xvbn+=EXTRAWORD
on ^rb+phrv+++=on
your ^pp$+pp2+++=your
coat ^nn++++=coat."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
was ^vbd+bedz+vrb++=was
jess ^nn++++=jess
fixin ^nn+++??+=fixin'
' ^zz++++=EXTRAWORD
for ^in++++=for
it ^pp3+it+++=it."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="There
there ^ex+pex+++=EXTRAWORD
will ^md+prd+++=will
be ^vb+be+vrb++=be
no ^at++++=no
whipping ^jj+++xvbg+=whipping
here ^rn+pl+++=here."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Baker ^np++++=Baker
slowly ^rb++++=slowly
covered ^vbd+++xvbn+=covered
himself ^ppl+pp3+++=himself.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
still ^rb++++=still
looked ^vbd+++xvbn+=looked
doubtful ^jj++++=doubtful,
, ^zz++++=EXTRAWORD
like ^in++++=like
a ^at++++=a
dog ^nn++++=dog
to ^to++++=to
whom ^whp+wpor+++=whom
kindness ^nns+nom+++=kindness
is ^vbz+bez+vrb++=is
only ^rb+down+++=only
another ^dt++++=another
trick ^nn++++=trick
of ^in++++=of
the ^ati++++=the
stick ^nn++++=stick.
. ^zz++++=EXTRAWORD
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Clayton ^np++++=Clayton
conducted ^vbd+++xvbn+=conducted
him ^pp3o+pp3+++=him
around ^in++++=around
the ^ati++++=the
house ^nn++++=house,
, ^zz++++=EXTRAWORD
not ^xnot++not++=not
through ^in++++=through
the ^ati++++=the
lobby ^nn++++=lobby,
, ^zz++++=EXTRAWORD
where ^wrb+who+++=where
brass ^nn++++=brass,
, ^zz++++=EXTRAWORD
mirrors ^nns++++=mirrors,
, ^zz++++=EXTRAWORD
chandeliers ^nns+nom+++=chandeliers
and ^cc++++=and
social ^jj+atrb+++=social
prejudice ^nn++++=prejudice
were ^vbd+bed+aux++=were
all ^abn++++=all
kept ^vbd+++xvbn+=kept
in ^rb+phrv+++=in
a ^at++++=a
state ^nn++++=state
of ^in++++=of
brilliant ^jj+atrb+++=brilliant
polish ^nn++++=polish.
. ^zz++++=EXTRAWORD
The ^ati++++=The
cook ^nn++++=cook
gave ^vbd+++xvbn+=gave
him ^pp3o+pp3+++=him
food ^nn++++=food.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
ate ^vbd+++xvbnx+=ate
standing ^vbg+++xvbg+=standing
until ^cs+sub+++=until
she ^pp3a+pp3+++=she
compelled ^vbd+++xvbnx+=compelled
him ^pp3o+pp3+++=him
to ^to++++=to
sit ^vbi++++=sit;
; ^zz++++=EXTRAWORD
then ^rn+tm+++=then
he ^pp3a+pp3+++=he
held ^vbd+vprv+tht0+xvbnx+=held
his ^pp$+pp3+++=his
plate ^nn++++=plate
in ^in++++=in
both ^abx++++=both
hands ^nns++++=hands,
, ^zz++++=EXTRAWORD
glancing ^vbg+++xvbg+=glancing
about ^rb++++=about
as ^cs+sub+++=as
though ^cs+sub+++=though
a ^at++++=a
keeper ^nn++++=keeper
might ^md+pos+++=might
reclaim ^vb+++??+=reclaim
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
That ^dt+dem+++=That
night ^nn++++=night
he ^pp3a+pp3+++=he
slept ^vbd+++xvbnx+=slept
in ^in++++=in
the ^ati++++=the
small ^jj+atrb+++=small
room ^nn++++=room
above ^in+pl+++=above
the ^ati++++=the
carriage ^nn+nom+++=carriage
house ^nn++++=house.
. ^zz++++=EXTRAWORD
At ^rb++++=At
least ^rb"++++=least
a ^at++++=a
bed ^nn++++=bed
was ^vbd+bedz+aux++=was
provided ^vpsv++agls+xvbnx+=provided
for ^in+ppvb+++=for
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
At ^in++++=At
midnight ^nn++++=midnight
the ^ati++++=the
stable ^jj+atrb+++=stable
boy ^nn++++=boy
found ^vbd+vprv+tht0+xvbn+=found
him ^pp3o+pp3+++=him
curled ^vbd+++xvbn+=curled
upon ^in++++=upon
the ^ati++++=the
floor ^nn++++=floor
beneath ^in+pl+++=beneath
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
" ^zz++++="Bed's
bed ^nn++++=EXTRAWORD
's ^$++++=EXTRAWORD
too ^ql++++=too
soft ^jj++++=soft,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Baker ^np++++=Baker
explained ^vbd+vpub++xvbn+=explained.
. ^zz++++=EXTRAWORD
" ^zz++++="Makes
makes ^vbz++++=EXTRAWORD
a ^at++++=a
man ^nn++++=man
sink ^nn++++=sink.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
do ^vb+do+vrb++=don't
n't ^xnot++not++0=EXTRAWORD
keer ^nn++++=keer
for ^in++++=for
sinkin ^nn+++??+=sinkin'
' ^zz++++=EXTRAWORD
where ^wrb+who+++=where
I ^pp1a+pp1+++=I
can ^md+pos+++=can't
n't ^xnot++not++0=EXTRAWORD
see ^vb+vprv+++=see
what ^wdt+who+++=what's
's ^vbz+bez+vrb++0=EXTRAWORD
comin ^nn+++??+=comin'."
'." ^nn+++??+=EXTRAWORD
In ^in++++=In
the ^ati++++=the
morning ^nn++++=morning
he ^pp3a+pp3+++=he
reported ^vbd+vpub++xvbnx+=reported
for ^in++++=for
work ^nn++++=work
before ^cs+sub+++=before
any ^dti++++=any
task ^nn++++=task
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
assigned ^vpsv++agls+xvbnx+=assigned
to ^in++++=to
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
Thus ^rb+cnj+++=Thus
Baker ^np++++=Baker,
, ^zz++++=EXTRAWORD
otherwise ^rb+cnj+++=otherwise
Hundred ^cd++++=Hundred
and ^cc++++=and
One ^pn++++=One,
, ^zz++++=EXTRAWORD
entered ^j+++xvbn+=entered
the ^ati++++=the
service ^nn++++=service
of ^in++++=of
the ^ati++++=the
Clayton ^np+++??+=Clayton
House ^nn++++=House.
. ^zz++++=EXTRAWORD
No ^at++++=No
inquiry ^nn++++=inquiry
was ^vbd+bedz+aux++=was
immediately ^rb+tm+splt++=immediately
made ^vpsv++agls+xvbnx+=made
into ^in++++=into
his ^pp$+pp3+++=his
history ^nn++++=history.
. ^zz++++=EXTRAWORD
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Clayton ^np++++=Clayton
possessed ^vbd+++xvbn+=possessed
that ^dt+dem+++=that
uncommon ^jj+atrb+++=uncommon
delicacy ^nn+nom+++=delicacy
which ^whp+rel+subj++=which
understands ^vbz++++=understands
that ^cs+sub+++=that
curiosity ^nn+nom+++=curiosity
may ^md+pos+++=may
become ^vprf+++xvbn+=become
cruelty ^nn++++=cruelty
merely ^rb+down+++=merely
by ^in++++=by
putting ^nn++++=putting
on ^in++++=on
a ^at++++=a
clean ^jj+atrb+++=clean
collar ^nn++++=collar.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
saw ^vbd+vprv++xvbnx+=saw
that ^tht+vcmp+++=that
the ^ati++++=the
man ^nn++++=man
had ^vbd+hvd+aux++=had
escaped ^vprf+++xvbnx+=escaped
from ^in++++=from
some ^dti++++=some
penal ^jj+atrb+++=penal
establishment ^nn+nom+++=establishment;
; ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
suspected ^vbd+vprv++xvbnx+=suspected
that ^tht+vcmp+++=that
officers ^nns+nom+++=officers
might ^md+pos+++=might
come ^vb++++=come;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
he ^pp3a+pp3+++=he
knew ^vbd+vprv++xvbnx+=knew
perfectly ^rb+amp+++=perfectly
well ^rb++++=well
what ^wdt+who+++=what
the ^ati++++=the
law ^nn++++=law
expected ^vwbn+++xvbn+=expected
of ^in++++=of
a ^at++++=a
respectable ^jj+atrb+++=respectable
citizen ^nn++++=citizen.
. ^zz++++=EXTRAWORD
Yet ^rb++++=Yet
respectability ^nn+nom+++=respectability,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
an ^at++++=an
excellent ^jj+atrb+++=excellent
coat ^nn++++=coat
for ^in++++=for
public ^nn++++=public
wear ^vb++++=wear,
, ^zz++++=EXTRAWORD
should ^md+nec+++=should
not ^xnot++not++=not
always ^rb++++=always
be ^vb+be+aux++=be
permitted ^vpsv++agls+xvbnx+=permitted
to ^to+vcmp+++=to
button ^vb++++=button
itself ^ppl++++=itself
over ^in++++=over
the ^ati++++=the
heart ^nn++++=heart.
. ^zz++++=EXTRAWORD
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Clayton ^np++++=Clayton
therefore ^rb+cnj+++=therefore
gave ^vbd+++xvbn+=gave
Baker ^np++++=Baker
a ^at++++=a
broom ^nn++++=broom.
. ^zz++++=EXTRAWORD
The ^ati++++=The
broom ^nn++++=broom
was ^vbd+bedz+vrb++=was
a ^at++++=a
sceptre ^np++++=sceptre.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
appointed ^vbd+++xvbn+=appointed
him ^pp3o+pp3+++=him
to ^in++++=to
a ^at++++=a
kingdom ^nn+nom+++=kingdom
of ^in++++=of
corridors ^nns++++=corridors,
, ^zz++++=EXTRAWORD
verandas ^nns+++??+=verandas,
, ^zz++++=EXTRAWORD
steps ^nns++++=steps
and ^cc++++=and
paths ^nns++++=paths;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Baker ^np++++=Baker
ruled ^vbd+vsua++xvbn+=ruled
that ^tht+vcmp+++=that
dusty ^jj+atrb+++=dusty
realm ^nn++++=realm
with ^in++++=with
a ^at++++=a
zeal ^nn++++=zeal
beyond ^in++++=beyond
constitutional ^jj+atrb+++=constitutional
restraint ^nn++++=restraint.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
swept ^vbd+++xvbnx+=swept
before ^in++++=before
breakfast ^nn++++=breakfast,
, ^zz++++=EXTRAWORD
after ^in++++=after
breakfast ^nn++++=breakfast
and ^cc++++=and,
, ^zz++++=EXTRAWORD
if ^cs+cnd+++=if
not ^xnot++not++=not
prevented ^vbd+++xvbn+=prevented,
, ^zz++++=EXTRAWORD
during ^in++++=during
breakfast ^nn++++=breakfast.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
carried ^vbd+++xvbnx+=carried
trunks ^nns++++=trunks
until ^in++++=until
the ^ati++++=the
hotel ^npl++++=hotel
porter ^nn++++=porter,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
had ^vb+hv+aux++=had
previously ^rb+tm+splt++=previously
believed ^vprf+++xvbnx+=believed
labour ^nn++++=labour
a ^at++++=a
form ^nn++++=form
of ^in++++=of
personal ^jj+atrb+++=personal
insult ^nn++++=insult,
, ^zz++++=EXTRAWORD
grew ^j+++xvbn+=grew
anxious ^jj++++=anxious
for ^in++++=for
his ^pp$+pp3+++=his
position ^nn+nom+++=position.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
fetched ^vbd+++xvbnx+=fetched
water ^nn++++=water,
, ^zz++++=EXTRAWORD
split ^j+++xvbn+=split
wood ^np++++=wood,
, ^zz++++=EXTRAWORD
blacked ^jj+atrb++xvbn+=blacked
stoves ^nns++++=stoves,
, ^zz++++=EXTRAWORD
peeled ^jj+atrb++xvbn+=peeled
vegetables ^nns++++=vegetables
and ^cc++++=and
removed ^vbd+++xvbn+=removed
spiders ^nns+nom+++=spiders
with ^in++++=with
a ^at++++=a
severity ^nn+nom+++=severity
that ^tht+rel+subj++=that
suggested ^vprf+++xvbn+=suggested
former ^ap++++=former
official ^jj+atrb+++=official
relations ^nns+nom+++=relations
with ^in++++=with
vermin ^nn++++=vermin.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
boots ^nns++++=boots,
, ^zz++++=EXTRAWORD
meanwhile ^rb+cnj+++=meanwhile,
, ^zz++++=EXTRAWORD
underwent ^jj+atrb+++=underwent
moral ^jj+atrb+++=moral
improvement ^nn+nom+++=improvement.
. ^zz++++=EXTRAWORD
At ^rb++++=At
first ^rb"++++=first
they ^pp3a+pp3+++=they
entered ^vbd+++xvbnx+=entered
the ^ati++++=the
house ^nn++++=house
as ^ql++++=as
outlaws ^nns++++=outlaws,
, ^zz++++=EXTRAWORD
scattering ^vbg+++xvbg+=scattering
red ^jj+atrb+++=red
earth ^nn++++=earth
and ^cc++++=and
making ^vbg+++xvbg+=making
no ^at++++=no
apology ^nn++++=apology.
. ^zz++++=EXTRAWORD
Under ^in++++=Under
the ^ati++++=the
influence ^nn+nom+++=influence
of ^in++++=of
soap ^nn++++=soap,
, ^zz++++=EXTRAWORD
grease ^nn++++=grease
and ^cc++++=and
occupation ^nn+nom+++=occupation,
, ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
became ^vbd+++xvbnx+=became
chastened ^jj++++=chastened.
. ^zz++++=EXTRAWORD
The ^ati++++=The
right ^jj+atrb+++=right
boot ^nn++++=boot
lost ^vbd+++xvbn+=lost
its ^pp$+it+++=its
swagger ^jjr++++=swagger;
; ^zz++++=EXTRAWORD
the ^ati++++=the
left ^nn++++=left
acquired ^vbd+++xvbn+=acquired
confidence ^nn+nom+++=confidence;
; ^zz++++=EXTRAWORD
both ^abx++++=both
submitted ^jj+++xvbn+=submitted
to ^to++++=to
blacking ^vbi++++=blacking,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
the ^ati++++=the
substance ^nn+nom+++=substance
collected ^vwbn+++xvbn+=collected
in ^in++++=in
their ^pp$+pp3+++=their
cracks ^nns++++=cracks
like ^in++++=like
ink ^nn++++=ink
in ^in++++=in
an ^at++++=an
ancient ^jj+atrb+++=ancient
manuscript ^nn++++=manuscript.
. ^zz++++=EXTRAWORD
On ^in++++=On
Sundays ^nrs++++=Sundays
Baker ^np++++=Baker
polished ^jj++++=polished
them ^pp3o+pp3+++=them
until ^cs+sub+++=until
they ^pp3a+pp3+++=they
shone ^vbd+++xvbnx+=shone
at ^in++++=at
the ^ati++++=the
extreme ^nn++++=extreme
points ^nns++++=points,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
they ^pp3a+pp3+++=they
stood ^vbd+++xvbnx+=stood
beneath ^rb++++=beneath
his ^pp$+pp3+++=his
trousers ^nns+nom+++=trousers
with ^in++++=with
the ^ati++++=the
gratified ^jj+atrb++xvbn+=gratified
solemnity ^nn+nom+++=solemnity
of ^in++++=of
two ^cd++++=two
country ^nn++++=country
gentlemen ^nns++++=gentlemen
admitted ^vwbn+vpub++xvbn+=admitted,
, ^zz++++=EXTRAWORD
after ^in++++=after
long ^rb++++=long
exclusion ^nn++++=exclusion,
, ^zz++++=EXTRAWORD
into ^in++++=into
genteel ^jj+atrb+++=genteel
society ^nn++++=society.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
was ^vbd+bedz+vrb++=was
comedy ^nn++++=comedy
in ^in++++=in
Baker ^np++++=Baker,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
none ^rb++++=none
of ^in++++=of
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
intentional ^jj+pred+++=intentional.
. ^zz++++=EXTRAWORD
Ask ^vb++++=Ask
him ^pp3o+pp3+++=him
whether ^cs+who+++=whether
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
carried ^vprf+++xvbnx+=carried
a ^at++++=a
trunk ^nn++++=trunk
to ^in++++=to
Number ^nn++++=Number
Twelve ^cd++++=Twelve,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
he ^pp3a+pp3+++=he
would ^md+prd+++=would
answer ^vb++++=answer:
: ^zz++++=EXTRAWORD
" ^zz++++="Me?"
me ^pp1o+pp1+++=EXTRAWORD
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Yes,
yes ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Trunk?"
trunk ^nn++++=EXTRAWORD
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="The
the ^ati++++=EXTRAWORD
trunk ^nn++++=trunk
belonging ^vwbg+++xvbg+=belonging
to ^in++++=to
Number ^nn++++=Number
Twelve ^cd++++=Twelve."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Well,
well ^rb+cnj+++=EXTRAWORD
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I'll
'll ^md+prd+++0=EXTRAWORD
tell ^vb++++=tell
you ^pp2+pp2+++=you.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
carried ^vbd+++xvbnx+=carried
one ^cd1++++=one
trunk ^nn++++=trunk,
, ^zz++++=EXTRAWORD
two ^cd++++=two
boxes ^nns++++=boxes,
, ^zz++++=EXTRAWORD
a ^at++++=a
bird ^nn++++=bird
cage ^nn++++=cage
and ^cc++++0=an'
a ^at++++=a
lady ^nn++++=lady
with ^in++++=with
a ^at++++=a
sprained ^jj+atrb+++=sprained
ankle ^nn++++=ankle.
. ^zz++++=EXTRAWORD
Which ^whp+who+++=Which
one ^cd1++++=one
was ^vbd+bedz+vrb++=was
Number ^nn++++=Number
Twelve ^cd++++=Twelve
I ^pp1a+pp1+++=I
could ^md+pos+++=couldn't
n't ^xnot++not++0=EXTRAWORD
say ^vb+vpub+++=say
pertickler ^jjr++++=pertickler."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
called ^vbd+++xvbnx+=called
the ^ati++++=the
corridor ^nn++++=corridor
the ^ati++++=the
" ^zz++++="curryder,"
curryder ^jjr++++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
the ^ati++++=the
chandelier ^nn+nom+++=chandelier
the ^ati++++=the
" ^zz++++="shandy-dear,"
shandy ^nn+++??+=EXTRAWORD
- ^zz++++=EXTRAWORD
dear ^jj++++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
and ^cc++++=and
the ^ati++++=the
proprietor ^nn++++=proprietor
" ^zz++++="Cap'n,"
cap ^nn++++=EXTRAWORD
'n," ^nn+++??+=EXTRAWORD
despite ^in++++=despite
repeated ^jj+atrb++xvbn+=repeated
correction ^nn+nom+++=correction.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
asked ^vbd+vsua++xvbn+=asked
whether ^cs+who+++=whether
he ^pp3a+pp3+++=he
preferred ^vbd+++xvbnx+=preferred
apple ^nn++++=apple
pie ^nn++++=pie
or ^cc++++=or
peach ^nn++++=peach,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
gazed ^vbd+++xvbnx+=gazed
upon ^in++++=upon
both ^abx++++=both
with ^in++++=with
the ^ati++++=the
moral ^jj+atrb+++=moral
agony ^nn++++=agony
of ^in++++=of
a ^at++++=a
judge ^nn++++=judge
required ^vbd+++xvbn+=required
to ^to+vcmp+++=to
condemn ^vbi++++=condemn
one ^cd1++++=one
innocent ^jj+atrb+++=innocent
prisoner ^nn+nom+++=prisoner.
. ^zz++++=EXTRAWORD
" ^zz++++="Pie?"
pie ^nn++++=EXTRAWORD
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
would ^md+prd+++=would
say ^vb+vpub+++=say.
. ^zz++++=EXTRAWORD
" ^zz++++="Well,
well ^rb+cnj+++=EXTRAWORD
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I'll
'll ^md+prd+++0=EXTRAWORD
tell ^vb++++=tell
you ^pp2+pp2+++=you.
. ^zz++++=EXTRAWORD
Apple ^nn++++=Apple
fills ^vbz++++=fills
a ^at++++=a
man ^nn++++=man.
. ^zz++++=EXTRAWORD
Peach ^nn++++=Peach
makes ^vbz++++=makes
him ^pp3o+pp3+++=him
wish ^vb+vprv+tht0++=wish
he ^pp3a+pp3+++=he
had ^vb+hv+vrb++=had
more ^rbr++++=more.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
reckin ^nn+++??+=reckin
I ^pp1a+pp1+++=I'll
'll ^md+prd+++0=EXTRAWORD
take ^vb++++=take
both ^abx++++=both
and ^cc++++0=an'
keep ^vb++++=keep
from ^in++++=from
showin ^nn+++??+=showin'
' ^zz++++=EXTRAWORD
favour ^nn++++=favour."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
The ^ati++++=The
guests ^nns++++=guests
laughed ^vbd+++xvbn+=laughed
at ^in+ppvb+++=at
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
At ^rb++++=At
first ^rb"++++=first
Baker ^np++++=Baker
laughed ^vbd+++xvbn+=laughed
too ^rb+cnj+++=too,
, ^zz++++=EXTRAWORD
a ^at++++=a
fraction ^nn+nom+++=fraction
of ^in++++=of
a ^at++++=a
second ^od++++=second
late ^jj++++=late,
, ^zz++++=EXTRAWORD
having ^xvbg+++xvbg+=having
learned ^vprf+++xvbn+=learned
that ^tht+vcmp+++=that
when ^wrb+who+++=when
others ^aps++++=others
displayed ^jj+++xvbn+=displayed
their ^pp$+pp3+++=their
teeth ^nn++++=teeth
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
prudent ^jj+pred+++=prudent
to ^in++++=to
display ^nn++++=display
his ^pp$+pp3+++=his
own ^ap++++=own.
. ^zz++++=EXTRAWORD
Gradually ^rb++++=Gradually
he ^pp3a+pp3+++=he
discovered ^vbd+vprv++xvbnx+=discovered
that ^tht+vcmp+++=that
this ^dt+dem+++=this
laughter ^nn+nom+++=laughter
did ^vbd+dod+aux++=did
not ^xnot++not++=not
precede ^vb+++??+=precede
a ^at++++=a
blow ^nn++++=blow.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
his ^pp$+pp3+++=his
smile ^nn++++=smile
ceased ^vbd+++xvbn+=ceased
to ^to++++=to
be ^vbi++vrb++=be
defensive ^jj+pred+++=defensive.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
came ^vbd+++xvbn+=came
slowly ^rb+cnj+++=slowly,
, ^zz++++=EXTRAWORD
awkwardly ^rb+cnj+++=awkwardly,
, ^zz++++=EXTRAWORD
almost ^rb+hdg+++=almost
shamefacedly ^rb+cnj+++=shamefacedly,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
it ^pp3+it+++=it
belonged ^vbd+++xvbn+=belonged
to ^in++++=to
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
Children ^nns++++=Children
made ^vbd+++xvbn+=made
the ^ati++++=the
discovery ^nn+nom+++=discovery
first ^rb++++=first.
