# ^zz++++=##
# ^zz++++=EXTRAWORD
Sketch ^nn++++=SKETCH
. ^zz++++=EXTRAWORD
Astern ^rb+cnj+++=Astern,
, ^zz++++=EXTRAWORD
the ^ati++++=the
phosphorescent ^nn++++=phosphorescent
wake ^vb++++=wake
opened ^vbd+++xvbn+=opened
like ^in++++=like
a ^at++++=a
green ^nn++++=green
wound ^vbd+++xvbn+=wound
and ^cc++++=and
slowly ^rb++++=slowly
closed ^jj+++xvbn+=closed.
. ^zz++++=EXTRAWORD
About ^in++++=About
one ^cd1++++=one
bell ^nn++++=bell
I ^pp1a+pp1+++=I
descended ^vbd+++xvbnx+=descended
for ^in++++=for
a ^at++++=a
coat ^nn++++=coat,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and,
, ^zz++++=EXTRAWORD
returning ^vbg+++xvbg+=returning,
, ^zz++++=EXTRAWORD
found ^j+++xvbn+=found
the ^ati++++=the
tortoises ^vbz++++=tortoises
awake ^jj++++=awake.
. ^zz++++=EXTRAWORD
Or ^cc+cls+++=Or
perhaps ^rb++++=perhaps
they ^pp3a+pp3+++=they
had ^vb+hv+aux++=had
never ^rb++splt++=never
slept ^vprf+++xvbnx+=slept.
. ^zz++++=EXTRAWORD
Their ^pp$+pp3+++=Their
heads ^nns++++=heads
were ^vbd+bed+aux++=were
extended ^vpsv++agls+xvbnx+=extended;
; ^zz++++=EXTRAWORD
their ^pp$+pp3+++=their
eyes ^nns++++=eyes
caught ^vbd+++xvbn+=caught
the ^ati++++=the
moon ^nn++++=moon;
; ^zz++++=EXTRAWORD
their ^pp$+pp3+++=their
feet ^nns++++=feet
moved ^vbd+++xvbn+=moved
with ^in++++=with
that ^dt+pdem+++=that
measured ^vbd+++xvbn+=measured,
, ^zz++++=EXTRAWORD
futile ^jj+atrb+++=futile
regularity ^nn+nom+++=regularity
which ^whp+rel+obj++=which,
, ^zz++++=EXTRAWORD
in ^in++++=in
darkness ^nns+nom+++=darkness,
, ^zz++++=EXTRAWORD
seemed ^j+++xvbn+=seemed
less ^rbr++++=less
animal ^nn++++=animal
than ^in++++=than
mechanical ^nn++++=mechanical.
. ^zz++++=EXTRAWORD
One ^cd1++++=One
shell ^nn++++=shell
struck ^vbd+++xvbn+=struck
another ^ppls++++=another:
: ^zz++++=EXTRAWORD
hollowly ^jj++++=hollowly
solemnly ^rb++++=solemnly.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
stopped ^vbd+++xvbnx+=stopped.
. ^zz++++=EXTRAWORD
Reader ^nn++++=Reader,
, ^zz++++=EXTRAWORD
ridicule ^nn++++=ridicule
the ^ati++++=the
confession ^nn++++=confession
if ^cs+cnd+++=if
you ^pp2+pp2+++=you
choose ^vb++++=choose,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
I ^pp1a+pp1+++=I
then ^rn+tm+++=then
experienced ^vbd+++xvbn+=experienced
a ^at++++=a
fancy ^jj++++=fancy
so ^ql+emph+++=so
absolute ^jj++++=absolute
that ^dt+dem+++=that
for ^in++++=for
some ^dti++++=some
moments ^nns+nom+++=moments
it ^pp3+it+++=it
overmastered ^vbd+++xvbn+=overmastered
sight ^nn++++=sight.
. ^zz++++=EXTRAWORD
The ^ati++++=The
deck ^nn++++=deck
widened ^vbd+++xvbn+=widened;
; ^zz++++=EXTRAWORD
the ^ati++++=the
bulwarks ^nn++++=bulwarks
vanished ^vbd+++xvbn+=vanished;
; ^zz++++=EXTRAWORD
our ^pp$+pp1+++=our
masts ^nns+++??+=masts
became ^vbd+++xvbn+=became
pillars ^nns++++=pillars
without ^in++++=without
summit ^nn++++=summit.
. ^zz++++=EXTRAWORD
The ^ati++++=The
three ^cd++++=three
creatures ^nns++++=creatures
enlarged ^vbd+++xvbn+=enlarged
into ^in++++=into
gigantic ^jj+atrb+++=gigantic
bearers ^nns+nom+++=bearers
of ^in++++=of
the ^ati++++=the
earth ^nn++++=earth,
, ^zz++++=EXTRAWORD
condemned ^j+++xvbn+=condemned
to ^in++++=to
march ^nr++++=march
beneath ^in+pl+++=beneath
its ^pp$+it+++=its
cities ^nns++++=cities,
, ^zz++++=EXTRAWORD
wars ^nns++++=wars,
, ^zz++++=EXTRAWORD
temples ^nns++++=temples,
, ^zz++++=EXTRAWORD
debts ^nns++++=debts,
, ^zz++++=EXTRAWORD
coronations ^nns+nom+++=coronations,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
graves ^nns++++=graves.
. ^zz++++=EXTRAWORD
On ^in++++=On
their ^pp$+pp3+++=their
backs ^vbz++++=backs
rested ^vprf+++xvbn+=rested
Babylon ^np++++=Babylon
and ^cc++++=and
London ^np++++=London,
, ^zz++++=EXTRAWORD
Delhi ^np++++=Delhi
and ^cc++++=and
Lima ^np++++=Lima;
; ^zz++++=EXTRAWORD
every ^at++++=every
cathedral ^npl+nom+++=cathedral
pressed ^vbd+++xvbn+=pressed
upon ^in++++=upon
one ^cd1++++=one
scarred ^jj+atrb++xvbn+=scarred
plate ^nn++++=plate;
; ^zz++++=EXTRAWORD
every ^at++++=every
prison ^nn++++=prison
upon ^in++++=upon
another ^dt++++=another.
. ^zz++++=EXTRAWORD
Yet ^rb++++=Yet
they ^pp3a+pp3+++=they
advanced ^vbd+++xvbnx+=advanced
nowhere ^rb+pl+++=nowhere.
. ^zz++++=EXTRAWORD
Their ^pp$+pp3+++=Their
feet ^nns++++=feet
labored ^vbd+++xvbn+=labored
in ^in++++=in
vacancy ^nn++++=vacancy.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
the ^ati++++=the
fancy ^nn++++=fancy
altered ^vwbn+++xvbn+=altered.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
were ^vbd+bed+vrb++=were
not ^xnot++not++=not
bearers ^nns+nom+++=bearers,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
judges ^nns++++=judges
three ^cd++++=three
black ^jj++++=black-robed
- ^zz++++=EXTRAWORD
robed ^jj+atrb++xvbn+=EXTRAWORD
assessors ^nns++++=assessors
sent ^vbd+++xvbn+=sent
from ^in++++=from
some ^dti++++=some
reptilian ^jj+atrb+++=reptilian
antiquity ^nn+nom+++=antiquity
to ^to++++=to
examine ^vbi++++=examine
mankind ^nn++++=mankind.
. ^zz++++=EXTRAWORD
Their ^pp$+pp3+++=Their
accusation ^nn+nom+++=accusation
was ^vbd+bedz+aux++=was
silence ^nn+nom+++=silence.
. ^zz++++=EXTRAWORD
Their ^pp$+pp3+++=Their
evidence ^nn+nom+++=evidence
was ^vbd+bedz+vrb++=was
endurance ^nn+nom+++=endurance.
. ^zz++++=EXTRAWORD
What ^wdt+who+++=What
defense ^nn+++??+=defense
could ^md+pos+++=could
we ^pp1a+pp1+++=we
offer ^nn++++=offer?
? ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
had ^vbd+hvd+aux++=had
dragged ^vprf+++xvbnx+=dragged
them ^pp3o+pp3+++=them
from ^in++++=from
their ^pp$+pp3+++=their
path ^nn++++=path,
, ^zz++++=EXTRAWORD
inverted ^xvbn+++xvbn+=inverted
them ^pp3o+pp3+++=them,
, ^zz++++=EXTRAWORD
appraised ^j+++xvbn+=appraised
their ^pp$+pp3+++=their
flesh ^nn++++=flesh,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
debated ^vbd+++xvbn+=debated
the ^ati++++=the
best ^jjt+atrb+++=best
sauce ^nn++++=sauce;
; ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they,
, ^zz++++=EXTRAWORD
having ^vbg+hvg++xvbg+=having
perhaps ^rb++++=perhaps
seen ^vbd+vprv++xvbn+=seen
two ^cd++++=two
centuries ^nns++++=centuries
of ^in++++=of
suns ^nns+++??+=suns
rise ^vb++++=rise
over ^in++++=over
Albemarle ^np+++??+=Albemarle,
, ^zz++++=EXTRAWORD
did ^vbd+dod+vrb++=did
not ^xnot++not++=not
so ^ql++++=so
much ^ap++++=much
as ^ql++++=as
hiss ^vb++++=hiss.
. ^zz++++=EXTRAWORD
" ^zz++++="Ugly
ugly ^jj+atrb+++=EXTRAWORD
old ^jj+atrb+++=old
coffins ^nns+++??+=coffins,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
muttered ^vbd+++xvbn+=muttered
the ^ati++++=the
helmsman ^nn+nom+++=helmsman
behind ^in+pl+++=behind
me ^pp1o+pp1+++=me.
. ^zz++++=EXTRAWORD
The ^ati++++=The
words ^nns++++=words
broke ^vbd+++xvbn+=broke
the ^ati++++=the
enchantment ^nn+nom+++=enchantment,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
not ^xnot++not++=not
entirely ^rb+amp+++=entirely.
. ^zz++++=EXTRAWORD
Coffins ^np+++??+=Coffins,
, ^zz++++=EXTRAWORD
indeed ^rb++++=indeed
but ^cc++++=but
coffins ^nns+++??+=coffins
carrying ^vwbg+++xvbg+=carrying
their ^pp$+pp3+++=their
occupants ^nns+nom+++=occupants
alive ^jj++++=alive;
; ^zz++++=EXTRAWORD
tombs ^nns++++=tombs
walking ^vwbg+++xvbg+=walking
about ^in++++=about
with ^in++++=with
patience ^nn+nom+++=patience
enclosed ^vbd+++xvbn+=enclosed.
. ^zz++++=EXTRAWORD
A ^at++++=A
squall ^nn+++??+=squall
came ^vbd+++xvbn+=came
near ^in+pl+++=near
dawn ^nn++++=dawn.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
shortened ^jj+atrb+++=shortened
sail ^nn++++=sail,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
in ^in++++=in
the ^ati++++=the
confusion ^nn++++=confusion
one ^cd1++++=one
tortoise ^vb++++=tortoise
slid ^vbd+++xvbn+=slid
several ^ap++++=several
feet ^nns++++=feet
across ^in+pl+++=across
the ^ati++++=the
wet ^jj+atrb+++=wet
planks ^nns++++=planks,
, ^zz++++=EXTRAWORD
fetching ^jj+++xvbg+=fetching
up ^in+cmpx+++=up
against ^in"++++=against
a ^at++++=a
gun ^nn++++=gun-carriage.
- ^zz++++=EXTRAWORD
carriage ^nn+nom+++=EXTRAWORD
. ^zz++++=EXTRAWORD
There ^rn+pl+++=There
he ^pp3a+pp3+++=he
resumed ^vbd+++xvbnx+=resumed
his ^pp$+pp3+++=his
motions ^nns+nom+++=motions
as ^in++++=as
calmly ^rb++++=calmly
as ^cs+sub+++=as
though ^cs+sub+++=though
traversing ^vbg+++xvbg+=traversing
an ^at++++=an
island ^nn++++=island.
. ^zz++++=EXTRAWORD
Neither ^dt++neg++=Neither
thunder ^nn++++=thunder
nor ^cc++neg++=nor
our ^pp$+pp1+++=our
stamping ^xvbg+++xvbg+=stamping
altered ^vprf+++xvbn+=altered
his ^pp$+pp3+++=his
rate ^nn++++=rate.
. ^zz++++=EXTRAWORD
A ^at++++=A
man ^nn++++=man
may ^md+pos+++=may
be ^vb+be+vrb++=be
brave ^jj+pred+++=brave
because ^cs+cos+++=because
danger ^nn++++=danger
inflames ^nns+++??+=inflames
him ^pp3o+pp3+++=him;
; ^zz++++=EXTRAWORD
the ^ati++++=the
tortoise ^nn++++=tortoise
seems ^vbz+seem+++=seems
brave ^jj++++=brave
because ^cs+cos+++=because
danger ^nn++++=danger
cannot ^md+pos+not++=cannot
revise ^vb++++=revise
his ^pp$+pp3+++=his
schedule ^nn++++=schedule.
. ^zz++++=EXTRAWORD
With ^in++++=With
morning ^nn++++=morning,
, ^zz++++=EXTRAWORD
philosophy ^nn++++=philosophy
yielded ^vbd+++xvbn+=yielded
to ^in++++=to
appetite ^nn++++=appetite.
. ^zz++++=EXTRAWORD
The ^ati++++=The
cook ^nn++++=cook
appeared ^vbd+seem++xvbn+=appeared
with ^in++++=with
knives ^nns++++=knives.
. ^zz++++=EXTRAWORD
Sailors ^nns++++=Sailors
gathered ^vbd+++xvbn+=gathered,
, ^zz++++=EXTRAWORD
discussing ^vbg+++xvbg+=discussing
steaks ^nns++++=steaks.
. ^zz++++=EXTRAWORD
The ^ati++++=The
sentimental ^jj+atrb+++=sentimental
boy ^nn++++=boy
who ^whp+rel+subj++=who
had ^vbd+hvd+aux++=had
supposed ^vprf+++xvbnx+=supposed
that ^tht+vcmp+++=that
one ^cd1++++=one
captive ^jj++++=captive
sought ^xvbn+++xvbn+=sought
the ^ati++++=the
place ^nn++++=place
of ^in++++=of
his ^pp$+pp3+++=his
hatching ^nn++++=hatching
now ^rn+tm+++=now
asked ^vbd+vsua++xvbn+=asked
whether ^cs+who+++=whether
the ^ati++++=the
yellow ^jj+atrb+++=yellow
fat ^nn++++=fat
would ^md+prd+++=would
fry ^vb++++=fry
well ^rb++++=well.
. ^zz++++=EXTRAWORD
Thus ^rb+cnj+++=Thus
rapidly ^rb++++=rapidly
does ^vbz+doz+vrb++=does
sympathy ^nn++++=sympathy
change ^nn++++=change
watches ^vbz++++=watches
aboard ^in+pl+++=aboard
ship ^nn++++=ship.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
will ^md+prd+++=will
not ^xnot++not++=not
embellish ^vb++++=embellish
the ^ati++++=the
slaughter ^nn+nom+++=slaughter.
. ^zz++++=EXTRAWORD
The ^ati++++=The
creatures ^nns++++=creatures
died ^vbd+++xvbn+=died;
; ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
ate ^vbd+++xvbn+=ate
them ^pp3o+pp3+++=them.
. ^zz++++=EXTRAWORD
The ^ati++++=The
flesh ^nn++++=flesh
was ^vbd+bedz+vrb++=was
rich ^jj+pred+++=rich,
, ^zz++++=EXTRAWORD
delicate ^jj++++=delicate,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
abundant ^jj++++=abundant,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
same ^ap++++=same
men ^nns++++=men
who ^whp+rel+subj++=who
had ^vbd+hvd+aux++=had
mocked ^vprf+++xvbnx+=mocked
their ^pp$+pp3+++=their
appearance ^nn+nom+++=appearance
praised ^vbd+++xvbn+=praised
their ^pp$+pp3+++=their
flavor ^nn++++=flavor
with ^in++++=with
tears ^nns++++=tears
of ^in++++=of
grease ^nn++++=grease
in ^in++++=in
their ^pp$+pp3+++=their
eyes ^nns++++=eyes.
. ^zz++++=EXTRAWORD
Soup ^nn++++=Soup
steamed ^vbd+++xvbn+=steamed
in ^in++++=in
the ^ati++++=the
forecastle ^nn+++??+=forecastle;
; ^zz++++=EXTRAWORD
steaks ^nns++++=steaks
hissed ^vbd+++xvbn+=hissed
in ^in++++=in
the ^ati++++=the
galley ^nn++++=galley;
; ^zz++++=EXTRAWORD
portions ^nns+nom+++=portions
were ^vbd+bed+aux++=were
salted ^vpsv++agls+xvbnx+=salted
down ^rp++++=down.
. ^zz++++=EXTRAWORD
For ^in++++=For
two ^cd++++=two
days ^nns++++=days
the ^ati++++=the
ship ^nn++++=ship,
, ^zz++++=EXTRAWORD
lately ^rb+tm+++=lately
rationed ^vbd+++xvbn+=rationed
on ^in++++=on
hard ^jj+atrb+++=hard
biscuit ^nn++++=biscuit
and ^cc++++=and
ancient ^jj+atrb+++=ancient
pork ^nn++++=pork,
, ^zz++++=EXTRAWORD
became ^j+++xvbn+=became
a ^at++++=a
floating ^jj+atrb++xvbg+=floating
banquet ^nn++++=banquet
hall ^nn++++=hall.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
observe ^vb+vprv+++=observe
the ^ati++++=the
economy ^nn++++=economy
of ^in++++=of
seafaring ^nn++++=seafaring
life ^nn++++=life,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
permits ^vbz++++=permits
no ^at++++=no
grandeur ^nn++++=grandeur
to ^to++++=to
survive ^vbi++++=survive
without ^in++++=without
employment ^nn+nom+++=employment.
. ^zz++++=EXTRAWORD
The ^ati++++=The
shells ^nps++++=shells,
, ^zz++++=EXTRAWORD
cleaned ^xvbn+++xvbn+=cleaned
and ^cc+phrs+++=and
scraped ^xvbn+++xvbn+=scraped,
, ^zz++++=EXTRAWORD
were ^vbd+bed+aux++=were
not ^xnot++not++=not
committed ^vbd+++xvbn+=committed
to ^in++++=to
the ^ati++++=the
deep ^nn++++=deep.
. ^zz++++=EXTRAWORD
One ^cd1++++=One
became ^vbd+++xvbn+=became
a ^at++++=a
basin ^nn++++=basin
for ^in++++=for
washing ^xvbg+++xvbg+=washing
clothes ^nns++++=clothes;
; ^zz++++=EXTRAWORD
another ^dt++++=another
held ^vbn+vprv++xvbn+=held
potatoes ^nns++++=potatoes;
; ^zz++++=EXTRAWORD
a ^at++++=a
third ^nn++++=third,
, ^zz++++=EXTRAWORD
inverted ^xvbn+++xvbn+=inverted
upon ^in++++=upon
a ^at++++=a
cask ^nn+++??+=cask,
, ^zz++++=EXTRAWORD
served ^j+++xvbn+=served
as ^ql++++=as
a ^at++++=a
table ^nn++++=table
from ^in++++=from
which ^whp+rel+pied++=which
the ^ati++++=the
mate ^nn++++=mate
ate ^vbd+++xvbn+=ate
duff ^nn+++??+=duff
on ^in++++=on
Sundays ^nrs++++=Sundays.
. ^zz++++=EXTRAWORD
Those ^dt+dem+++=Those
shields ^nns++++=shields
which ^whp+rel+obj++=which
my ^pp$+pp1+++=my
midnight ^nn++++=midnight
reverie ^nn++++=reverie
had ^vbd+hvd+aux++=had
placed ^vprf+++xvbnx+=placed
under ^in++++=under
empires ^nns++++=empires
now ^rn+tm+++=now
supported ^xvbn+++xvbn+=supported
onions ^nns++++=onions,
, ^zz++++=EXTRAWORD
stockings ^nns++++=stockings,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
molasses ^nn++++=molasses.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
once ^rb+tm+++=once
saw ^vbd+vprv+tht0+xvbn+=saw
the ^ati++++=the
carpenter ^nn+nom+++=carpenter
sit ^vb++++=sit
in ^in++++=in
the ^ati++++=the
largest ^jjt++++=largest,
, ^zz++++=EXTRAWORD
drawing ^nvbg+++xvbg+=drawing
oakum ^nn+++??+=oakum
from ^in++++=from
a ^at++++=a
coil ^nn++++=coil,
, ^zz++++=EXTRAWORD
like ^in++++=like
a ^at++++=a
gray ^np++++=gray
child ^nn++++=child
in ^in++++=in
an ^at++++=an
enormous ^jj+atrb+++=enormous
cradle ^nn++++=cradle.
. ^zz++++=EXTRAWORD
" ^zz++++="Comfortable?"
comfortable ^jj++++=EXTRAWORD
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
asked ^vbd+vsua++xvbnx+=asked.
. ^zz++++=EXTRAWORD
" ^zz++++="Ay,"
ay ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub+tht0+xvbn+=said
he ^pp3a+pp3+++=he.
. ^zz++++=EXTRAWORD
" ^zz++++="Better
better ^jjr++++=EXTRAWORD
than ^in++++=than
the ^ati++++=the
owner ^nn++++=owner
found ^vbd+vprv+tht0+xvbn+=found
it ^pp3+it+++=it."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
There ^ex+pex+++=There
is ^vbz+bez+vrb++=is
the ^ati++++=the
human ^jj+atrb+++=human
epitaph ^nn++++=epitaph.
. ^zz++++=EXTRAWORD
Yet ^rb++++=Yet
the ^ati++++=the
underside ^nn++++=underside
of ^in++++=of
that ^dt+dem+++=that
shell ^nn++++=shell
remained ^vbd+++xvbn+=remained
bright ^jj++++=bright.
. ^zz++++=EXTRAWORD
No ^at++++=No
scraping ^nn++++=scraping
dulled ^vwbn+++xvbn+=dulled
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
Whenever ^nn+nom+++=Whenever
the ^ati++++=the
vessel ^nn++++=vessel
rolled ^vbd+++xvbn+=rolled
and ^cc++++=and
the ^ati++++=the
shell ^nn++++=shell
shifted ^vbd+++xvbn+=shifted,
, ^zz++++=EXTRAWORD
a ^at++++=a
mellow ^jj+atrb+++=mellow
gleam ^nn++++=gleam
appeared ^vbd+seem++xvbn+=appeared
beneath ^rb++++=beneath
its ^pp$+it+++=its
rim ^nn++++=rim.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
came ^vbd+++xvbnx+=came
to ^to++++=to
regard ^vbi++++=regard
this ^dt+dem+++=this
as ^in++++=as
a ^at++++=a
small ^jj+atrb+++=small
rebuke ^nn++++=rebuke
to ^in++++=to
summary ^nn+nom+++=summary
judgment ^nn+nom+++=judgment.
. ^zz++++=EXTRAWORD
Black ^jj++++=Black
above ^jjb++++=above,
, ^zz++++=EXTRAWORD
golden ^jj++++=golden
below ^rb++++=below;
; ^zz++++=EXTRAWORD
monstrous ^jj++++=monstrous
in ^in++++=in
motion ^nn++++=motion,
, ^zz++++=EXTRAWORD
excellent ^jj++++=excellent
in ^in++++=in
soup ^nn++++=soup;
; ^zz++++=EXTRAWORD
venerable ^jj++++=venerable
as ^ql++++=as
Saturn ^np+++??+=Saturn,
, ^zz++++=EXTRAWORD
useful ^jj++++=useful
as ^in++++=as
a ^at++++=a
wash ^vb++++=wash-tub
- ^zz++++=EXTRAWORD
tub ^nn++++=EXTRAWORD
the ^ati++++=the
tortoise ^nn++++=tortoise
refuses ^vbz++++=refuses
singular ^jj+atrb+++=singular
interpretation ^nn+nom+++=interpretation.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
may ^md+pos+++=may
not ^xnot++not++=not
men ^nns++++=men
do ^vb+do+vrb++=do
the ^ati++++=the
same ^ap++++=same?
? ^zz++++=EXTRAWORD
The ^ati++++=The
officer ^npt++++=officer
most ^ql+emph+++=most
polished ^jj++++=polished
outwardly ^rb++++=outwardly
may ^md+pos+++=may
conceal ^vb++++=conceal
a ^at++++=a
cellar ^nn++++=cellar
of ^in++++=of
cruelty ^nn++++=cruelty;
; ^zz++++=EXTRAWORD
the ^ati++++=the
tar ^nn++++=tar
whose ^whp+rel+obj++=whose
face ^nn++++=face
resembles ^vbz++++=resembles
a ^at++++=a
badly ^rb++++=badly
repaired ^vbd+++xvbn+=repaired
boot ^nn++++=boot
may ^md+pos+++=may
harbor ^vb++++=harbor
charity ^nn+nom+++=charity.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
are ^vb+ber+vrb++=are
all ^abn++++=all
shells ^nps++++=shells,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
few ^ap++++=few
of ^in++++=of
us ^pp1o+pp1+++=us
bear ^vb+vprv+++=bear
our ^pp$+pp1+++=our
contradiction ^nn+nom+++=contradiction
so ^rb++++=so
visibly ^rb++++=visibly.
. ^zz++++=EXTRAWORD
Still ^rb+cnj+++=Still,
, ^zz++++=EXTRAWORD
on ^in++++=on
quiet ^nn++++=quiet
nights ^nns++++=nights,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
the ^ati++++=the
empty ^jj+atrb+++=empty
carapaces ^nns+++??+=carapaces
knocked ^vbd+++xvbn+=knocked
together ^nn+nom+++=together
in ^in++++=in
the ^ati++++=the
hold ^nn++++=hold,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
remembered ^vbd+vprv++xvbnx+=remembered
the ^ati++++=the
three ^cd++++=three
heads ^vbz++++=heads
lifted ^vbd+++xvbn+=lifted
to ^in++++=to
the ^ati++++=the
moon ^nn++++=moon;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
sometimes ^rb+cnj+++=sometimes,
, ^zz++++=EXTRAWORD
between ^in++++=between
sleep ^nn++++=sleep
and ^cc++++=and
waking ^nvbg+++xvbg+=waking,
, ^zz++++=EXTRAWORD
heard ^j+++xvbn+=heard
a ^at++++=a
slow ^jj+atrb+++=slow
scraping ^nn++++=scraping
beneath ^in+pl+++=beneath
the ^ati++++=the
ship ^nn++++=ship,
, ^zz++++=EXTRAWORD
as ^cs+sub+++=as
if ^cs+cnd+++=if
the ^ati++++=the
slaughtered ^jj+atrb++xvbn+=slaughtered
pilgrims ^nns++++=pilgrims
had ^vbd+hvd+aux++=had
resumed ^vprf+++xvbnx+=resumed
their ^pp$+pp3+++=their
journey ^nn++++=journey
along ^in++++=along
the ^ati++++=the
floor ^nn++++=floor
of ^in++++=of
the ^ati++++=the
sea ^nn++++=sea.
. ^zz++++=EXTRAWORD
-- ^--+clp+++=--##
# ^zz++++=EXTRAWORD
# ^zz++++=EXTRAWORD
Sketch ^nn++++=SKETCH
Fourth ^od++++=FOURTH
# ^zz++++=###
# ^zz++++=EXTRAWORD
# ^zz++++=EXTRAWORD
Of ^in++++=OF
Reptilian ^np+++??+=REPTILIAN
Melancholy ^jj++++=MELANCHOLY
> ^zz++++=>
No ^at++++=No
lash ^nn++++=lash
pursues ^vbz++++=pursues,
, ^zz++++=EXTRAWORD
no ^at++++=no
tyrant ^nn++++=tyrant
bids ^nns++++=bids
him ^pp3o+pp3+++=him
strain ^nn++++=strain;
; ^zz++++=EXTRAWORD
> ^zz++++=>
His ^pp$+pp3+++=His
will ^md+prd+++=will
itself ^ppl++++=itself
becomes ^vbz++++=becomes
the ^ati++++=the
captive ^jj+atrb+++=captive's
's ^vbz+bez+vrb++0=EXTRAWORD
chain ^nn++++=chain.
. ^zz++++=EXTRAWORD
> ^zz++++=>
Through ^in++++=Through
thorn ^nn++++=thorn
and ^cc++++=and
stone ^nn++++=stone
he ^pp3a+pp3+++=he
holds ^vbz+vprv+++=holds
the ^ati++++=the
fatal ^jj+atrb+++=fatal
line ^nn++++=line,
, ^zz++++=EXTRAWORD
> ^zz++++=>
And ^cc++++=And
makes ^vbz++++=makes
his ^pp$+pp3+++=his
prison ^nn++++=prison
by ^in++++=by
a ^at++++=a
law ^nn++++=law
divine ^jj++++=divine.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
has ^vbz+hvz+aux++=has
been ^vprf+ben+aux+xvbnx+=been
asserted ^vpsv++by+xvbnx+=asserted
by ^in++++=by
persons ^nns++++=persons
who ^whp+rel+subj++=who
prefer ^vb+vprv+++=prefer
a ^at++++=a
universe ^nn++++=universe
of ^in++++=of
labels ^nns++++=labels
that ^tht+rel+++=that
melancholy ^jj++++=melancholy
belongs ^vbz++++=belongs
only ^rb+down+++=only
to ^in++++=to
man ^nn++++=man.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
would ^md+prd+++=would
advise ^vb+vpub+++=advise
such ^abl++++=such
philosophers ^nns+nom+++=philosophers
to ^to++++=to
spend ^vbi++++=spend
an ^at++++=an
afternoon ^nn++++=afternoon
with ^in++++=with
an ^at++++=an
ancient ^nn++++=ancient
tortoise ^vb++++=tortoise
upon ^in++++=upon
a ^at++++=a
waterless ^jj+atrb+++=waterless
island ^nn++++=island.
. ^zz++++=EXTRAWORD
Not ^xnot++not++=Not
that ^cs+sub+++=that
the ^ati++++=the
creature ^nn++++=creature
sighs ^nns++++=sighs,
, ^zz++++=EXTRAWORD
quotes ^vbz++++=quotes
elegies ^nns+++??+=elegies,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
refuses ^vbz++++=refuses
dinner ^nn++++=dinner.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
sadness ^nns+nom+++=sadness,
, ^zz++++=EXTRAWORD
if ^cs+cnd+++=if
sadness ^nns+nom+++=sadness
it ^pp3+it+++=it
be ^vb+be+aux++=be,
, ^zz++++=EXTRAWORD
lies ^vbz++++=lies
deeper ^jjr++++=deeper
than ^in++++=than
conduct ^nn++++=conduct.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
is ^vbz+bez+vrb++=is
architectural ^jj+pred+++=architectural.
. ^zz++++=EXTRAWORD
Nature ^nn++++=Nature
has ^vbz+hvz+aux++=has
built ^vprf+++xvbnx+=built
sorrow ^nn++++=sorrow
into ^in++++=into
his ^pp$+pp3+++=his
form ^nn++++=form:
: ^zz++++=EXTRAWORD
a ^at++++=a
