Merchant ^nn+nom+++=Merchant
Coffee ^nn++++=Coffee
was ^vbd+bedz+aux++=was
served ^vpsv++agls+xvbnx+=served,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
conversation ^nn+nom+++=conversation
turned ^vbd+++xvbn+=turned,
, ^zz++++=EXTRAWORD
by ^in++++=by
that ^dt+dem+++=that
easy ^jj+atrb+++=easy
descent ^nn++++=descent
common ^jj++++=common
after ^in++++=after
dinner ^nn++++=dinner,
, ^zz++++=EXTRAWORD
from ^in++++=from
poetry ^nn++++=poetry
to ^in++++=to
taxation ^nn+nom+++=taxation
and ^cc++++=and
from ^in++++=from
taxation ^nn+nom+++=taxation
to ^in++++=to
the ^ati++++=the
late ^jj+atrb+++=late
ministry ^nn++++=ministry.
. ^zz++++=EXTRAWORD
" ^zz++++="The
the ^ati++++=EXTRAWORD
ministry ^nn++++=ministry
fell ^vbd+++xvbn+=fell,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Judge ^nn++++=Judge
Krag ^np+++??+=Krag,
, ^zz++++=EXTRAWORD
" ^zz++++="because
because ^cs+cos+++=EXTRAWORD
it ^pp3+it+++=it
offended ^vbd+++xvbn+=offended
the ^ati++++=the
landed ^jj+atrb++xvbn+=landed
interest ^nn++++=interest."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Certainly,"
certainly ^rb+cnj+++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Vahl ^np+++??+=Vahl.
. ^zz++++=EXTRAWORD
" ^zz++++="Everybody
everybody ^pn++++=EXTRAWORD
knows ^vbz+vprv+++=knows
it ^pp3+it+++=it."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Henrik ^np+++??+=Henrik,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
had ^vb+hv+aux++=had
hitherto ^rb++splt++=hitherto
listened ^vprf+++xvbnx+=listened
with ^in++++=with
the ^ati++++=the
amiable ^jj+atrb+++=amiable
impatience ^nn+nom+++=impatience
of ^in++++=of
one ^cd1++++=one
allowing ^jj+atrb++xvbg+=allowing
error ^nn++++=error
time ^nn++++=time
to ^to++++=to
expose ^vbi++++=expose
itself ^ppl++++=itself,
, ^zz++++=EXTRAWORD
leaned ^j+++xvbn+=leaned
forward ^rb++++=forward.
. ^zz++++=EXTRAWORD
" ^zz++++="Pardon
pardon ^nn++++=EXTRAWORD
me ^pp1o+pp1+++=me,
, ^zz++++=EXTRAWORD
Father ^nn++++=Father,
, ^zz++++=EXTRAWORD
but ^cs+sub+++=but
that ^cs"++++=that
was ^vbd+bedz+vrb++=was
not ^xnot++not++=not
the ^ati++++=the
cause ^nn++++=cause."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
There ^ex+pex+++=There
was ^vbd+bedz+vrb++=was
a ^at++++=a
small ^jj+atrb+++=small
silence ^nn+nom+++=silence.
. ^zz++++=EXTRAWORD
" ^zz++++="What
what ^wdt+who+whq++=EXTRAWORD
was ^vbd+bedz+aux++=was
not ^xnot++not++=not
the ^ati++++=the
cause ^nn++++=cause?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
asked ^vbn+vsua++xvbn+=asked
Vahl ^np+++??+=Vahl.
. ^zz++++=EXTRAWORD
" ^zz++++="The
the ^ati++++=EXTRAWORD
opposition ^nn+nom+++=opposition
of ^in++++=of
the ^ati++++=the
landed ^jj+atrb++xvbn+=landed
interest ^nn++++=interest.
. ^zz++++=EXTRAWORD
The ^ati++++=The
decisive ^nn++++=decisive
vote ^vb++++=vote
concerned ^vbd+++xvbn+=concerned
the ^ati++++=the
commercial ^jj+atrb+++=commercial
tariff ^nn++++=tariff,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
coastal ^jj+atrb+++=coastal
deputies ^nns++++=deputies
divided ^vwbn+++xvbn+=divided
against ^in++++=against
the ^ati++++=the
government ^nn+nom+++=government."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
think ^vb+vprv+++=think,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
the ^ati++++=the
merchant ^nn+nom+++=merchant,
, ^zz++++=EXTRAWORD
smiling ^jj+++xvbg+=smiling,
, ^zz++++=EXTRAWORD
" ^zz++++="that
that ^dt+dem+++=EXTRAWORD
I ^pp1a+pp1+++=I
remember ^nn+nom+++=remember
the ^ati++++=the
circumstances ^nns+nom+++=circumstances."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="No
no ^at++++=EXTRAWORD
doubt ^nn++++=doubt;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
the ^ati++++=the
division ^nn++++=division
lists ^nns++++=lists
were ^vbd+bed+aux++=were
published ^vpsv++agls+xvbnx+=published.
. ^zz++++=EXTRAWORD
Professor ^npt++++=Professor
Rosing ^np+++??+=Rosing
analysed ^vwbn+++xvbn+=analysed
them ^pp3o+pp3+++=them
in ^in++++=in
his ^pp$+pp3+++=his
lectures ^nns++++=lectures."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Professor
professor ^npt++++=EXTRAWORD
Rosing ^np+++??+=Rosing!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
exclaimed ^vbd+++xvbn+=exclaimed
Captain ^npt++++=Captain
Dahl ^np+++??+=Dahl,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
had ^vb+hv+aux++=had
never ^rb++splt++=never
attended ^vprf+++xvbnx+=attended
a ^at++++=a
lecture ^nn++++=lecture
and ^cc+cls+++=and
therefore ^rb+cnj+++=therefore
entertained ^vbd+++xvbn+=entertained
a ^at++++=a
natural ^jj+atrb+++=natural
suspicion ^nn++++=suspicion
of ^in++++=of
professors ^nns++++=professors.
. ^zz++++=EXTRAWORD
Merchant ^nn+nom+++=Merchant
Vahl ^np++++=Vahl's
's ^$++++=EXTRAWORD
smile ^nn++++=smile
became ^vbd+++xvbn+=became
more ^rbr++++=more
elaborate ^jj++++=elaborate.
. ^zz++++=EXTRAWORD
" ^zz++++="My
my ^pp$+pp1+++=EXTRAWORD
dear ^jj+atrb+++=dear
Henrik ^np+++??+=Henrik,
, ^zz++++=EXTRAWORD
lectures ^nns++++=lectures
are ^vb+ber+vrb++=are
excellent ^jj+atrb+++=excellent
things ^nns++++=things,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
public ^jj+atrb+++=public
affairs ^nns++++=affairs
are ^vb+ber+vrb++=are
not ^xnot++not++=not
learned ^jj+++xvbn+=learned
from ^in++++=from
a ^at++++=a
desk ^nn++++=desk.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
was ^vbd+bedz+vrb++=was
in ^in++++=in
the ^ati++++=the
capital ^nn++++=capital
that ^tht+rel+++=that
very ^ql+amp+++=very
week ^nn++++=week."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="But
but ^cc++++=EXTRAWORD
the ^ati++++=the
date ^nn++++=date
you ^pp2+pp2+++=you
mentioned ^vbd+vpub++xvbn+=mentioned
was ^vbd+bedz+vrb++=was
two ^cd++++=two
months ^nns++++=months
earlier ^jjr++++=earlier."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Are
are ^vb+ber+aux++=EXTRAWORD
you ^pp2+pp2+++=you
correcting ^vbg+++xvbg+=correcting
my ^pp$+pp1+++=my
dates ^vbz++++=dates?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
am ^vb+bem+aux++=am
only ^rb+down+splt++=only
saying ^vbg+++xvbgx+=saying
that ^tht+vcmp+++=that
the ^ati++++=the
ministry ^nn++++=ministry
resigned ^vbd+++xvbn+=resigned
in ^in++++=in
March ^nn++++=March,
, ^zz++++=EXTRAWORD
not ^xnot++not++=not
January ^nr+nom+++=January."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Several ^ap++++=Several
guests ^nns++++=guests
examined ^vwbn+++xvbn+=examined
their ^pp$+pp3+++=their
coffee ^nn++++=coffee-cups.
- ^zz++++=EXTRAWORD
cups ^nns++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Solicitor ^nn++++=Solicitor
Bentsen ^np+++??+=Bentsen
coughed ^vbd+++xvbn+=coughed
behind ^in+pl+++=behind
his ^pp$+pp3+++=his
hand ^nn++++=hand,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
young ^jj+atrb+++=young
lady ^npt++++=lady
at ^rb++++=at
the ^ati++++=the
pianoforte ^nn++++=pianoforte
struck ^vbd+++xvbn+=struck
three ^cd++++=three
notes ^nns++++=notes
without ^in++++=without
knowing ^xvbg+++xvbg+=knowing
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
Vahl ^np++++=Vahl's
's ^$++++=EXTRAWORD
colour ^nn++++=colour
deepened ^vbd+++xvbn+=deepened.
. ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
return ^vb++++=return
after ^cs+sub+++=after
three ^cd++++=three
years ^nns++++=years
and ^cc++++=and
tell ^vb++++=tell
me ^pp1o+pp1+++=me
what ^wdt+who+++=what
I ^pp1a+pp1+++=I
myself ^ppl+pp1+++=myself
witnessed ^vbd+++xvbn+=witnessed?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="If
if ^cs+cnd+++=EXTRAWORD
you ^pp2+pp2+++=you
witnessed ^vbd+++xvbn+=witnessed
it ^pp3+it+++=it
in ^in++++=in
January ^nr+nom+++=January,
, ^zz++++=EXTRAWORD
Father ^nn++++=Father,
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
witnessed ^vbd+++xvbn+=witnessed
something ^pn++++=something
else ^rb+cnj+++=else."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
A ^at++++=A
snicker ^nn++++=snicker
escaped ^vbd+++xvbn+=escaped
one ^pn++++=one
of ^in++++=of
the ^ati++++=the
captains ^nns++++=captains.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+aux++=was
instantly ^rb+tm+splt++=instantly
suppressed ^vpsv++agls+xvbnx+=suppressed,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
suppressed ^jj+atrb++xvbn+=suppressed
laughter ^nn+nom+++=laughter,
, ^zz++++=EXTRAWORD
like ^in++++=like
a ^at++++=a
mouse ^nn++++=mouse
behind ^rp+pl+++=behind
wainscoting ^nn++++=wainscoting,
, ^zz++++=EXTRAWORD
is ^vbz+bez+vrb++=is
often ^rb++++=often
more ^ql++++=more
disturbing ^jj+++xvbg+=disturbing
than ^in++++=than
laughter ^nn+nom+++=laughter
openly ^rb++++=openly
admitted ^vbd+vpub++xvbn+=admitted.
. ^zz++++=EXTRAWORD
" ^zz++++="Henrik,"
henrik ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Madame ^npt++++=Madame
Vahl ^np+++??+=Vahl,
, ^zz++++=EXTRAWORD
" ^zz++++="your
your ^pp$+pp2+++=EXTRAWORD
father ^nn++++=father
naturally ^rb++++=naturally
knows ^vbz+vprv+++=knows
what ^wdt+who+whcl++=what
he ^pp3a+pp3+++=he
is ^vbz+bez+aux++=is
speaking ^vbg+++xvbgx+=speaking
about ^in+strn+++=about."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="The
the ^ati++++=EXTRAWORD
lists ^nns++++=lists
are ^vb+ber+vrb++=are
quite ^rb++++=quite
clear ^jj+pred+++=clear,
, ^zz++++=EXTRAWORD
Mother ^nn++++=Mother."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="The
the ^ati++++=EXTRAWORD
lists ^nns++++=lists!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
cried ^vbd+++xvbn+=cried
Vahl ^np+++??+=Vahl.
. ^zz++++=EXTRAWORD
" ^zz++++="Always
always ^rb++++=EXTRAWORD
lists ^nns++++=lists,
, ^zz++++=EXTRAWORD
books ^nns++++=books,
, ^zz++++=EXTRAWORD
professors ^nns++++=professors!
! ^zz++++=EXTRAWORD
Do ^vb+do+aux++=Do
you ^pp2+pp2+++=you
suppose ^vb+vprv+++=suppose
a ^rb++++=a
little ^rb"++++=little
university ^npl+nom+++=university
learning ^xvbg+++xvbg+=learning
authorises ^vbz++++=authorises
you ^pp2+pp2+++=you
to ^to++++=to
contradict ^vbi++++=contradict
your ^pp$+pp2+++=your
elders ^nns++++=elders
before ^in++++=before
their ^pp$+pp3+++=their
friends ^nns++++=friends?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Henrik ^np+++??+=Henrik
stared ^vbd+++xvbn+=stared
at ^rb++++=at
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
only ^rb+down+++=only
just ^rb+emph+++=just
now ^rn+tm+++=now
that ^cs+sub+++=that
the ^ati++++=the
young ^nn++++=young
ought ^md+nec+++=ought
to ^in++++=to
correct ^jj++++=correct
the ^ati++++=the
errors ^nns++++=errors
of ^in++++=of
the ^ati++++=the
old ^nn++++=old."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
The ^ati++++=The
words ^nns++++=words
were ^vbd+bed+vrb++=were
accurate ^jj+pred+++=accurate;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
accuracy ^nn+nom+++=accuracy,
, ^zz++++=EXTRAWORD
at ^rb++++=at
an ^at++++=an
inconvenient ^jj+atrb+++=inconvenient
moment ^nn++++=moment,
, ^zz++++=EXTRAWORD
is ^vbz+bez+vrb++=is
one ^pn++++=one
of ^in++++=of
the ^ati++++=the
least ^rbt++++=least
pardonable ^jj+atrb+++=pardonable
forms ^nns++++=forms
of ^in++++=of
insolence ^nn+nom+++=insolence.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
said ^vbd+vpub+tht0+xvbnx+=said
nothing ^pn++++=nothing
about ^in++++=about
impertinence ^nn+nom+++=impertinence."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
was ^vbd+bedz+vrb++=was
not ^xnot++not++=not
impertinent ^jj++++=impertinent."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
imply ^vb+vprv+++=imply
that ^tht+vcmp+++=that
I ^pp1a+pp1+++=I
do ^vb+do+aux++=do
not ^xnot++not++=not
know ^vb+vprv+++=know
the ^ati++++=the
month ^nn++++=month
in ^in++++=in
which ^whp+rel+pied++=which
an ^at++++=an
event ^nn++++=event
occurred ^vbd+++xvbn+=occurred
under ^in++++=under
my ^pp$+pp1+++=my
own ^ap++++=own
eyes ^nns++++=eyes."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
imply ^vb+vprv+++=imply
only ^rb+down+++=only
that ^dt+dem+++=that
you ^pp2+pp2+++=you
are ^vb+ber+aux++=are
mistaken ^vpsv++agls+xvbnx+=mistaken."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Only!"
only ^rb+down+++=EXTRAWORD
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="And
and ^cc++++=EXTRAWORD
I ^pp1a+pp1+++=I
am ^vb+bem+vrb++=am
right ^jj+pred+++=right."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
There ^ex+pex+++=There
are ^vb+ber+vrb++=are
households ^nns++++=households
in ^in++++=in
which ^whp+rel+pied++=which
the ^ati++++=the
phrase ^nn++++=phrase
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
am ^vb+bem+vrb++=am
right ^jj+pred+++=right"
" ^zz++++=EXTRAWORD
may ^md+pos+++=may
be ^vb+be+aux++=be
received ^vpsv++agls+xvbnx+=received
as ^ql++++=as
a ^at++++=a
contribution ^nn+nom+++=contribution
to ^in++++=to
discussion ^nn++++=discussion;
; ^zz++++=EXTRAWORD
the ^ati++++=the
Vahl ^np+++??+=Vahl
household ^nn++++=household
was ^vbd+bedz+vrb++=was
not ^xnot++not++=not
one ^pn++++=one
of ^in++++=of
them ^pp3o+pp3+++=them.
. ^zz++++=EXTRAWORD
Madame ^npt++++=Madame
Vahl ^np+++??+=Vahl
set ^vbd+++xvbn+=set
down ^rb+phrv+++=down
the ^ati++++=the
coffee ^nn++++=coffee-pot.
- ^zz++++=EXTRAWORD
pot ^vb++++=EXTRAWORD
. ^zz++++=EXTRAWORD
The ^ati++++=The
Judge ^nn++++=Judge
frowned ^vbd+++xvbn+=frowned
judicially ^rb+cnj+++=judicially,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
without ^in++++=without
having ^nn+nn+aux++=having
heard ^vbd+vprv++xvbn+=heard
the ^ati++++=the
evidence ^nn+nom+++=evidence;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Solicitor ^nn++++=Solicitor
Bentsen ^np+++??+=Bentsen
attempted ^vbd+++xvbn+=attempted
mediation ^nn+nom+++=mediation
by ^in++++=by
remarking ^nvbg+++xvbg+=remarking
that ^tht+ncmp+++=that,
, ^zz++++=EXTRAWORD
as ^in++++=as
the ^ati++++=the
proverb ^nn++++=proverb
said ^vbd+vpub++xvbn+=said,
, ^zz++++=EXTRAWORD
a ^at++++=a
father ^nn++++=father
might ^md+pos+++=might
be ^vb+be+vrb++=be
wrong ^jj+pred+++=wrong
in ^in++++=in
the ^ati++++=the
calendar ^nn++++=calendar
and ^cc++++=and
right ^nn++++=right
in ^in++++=in
the ^ati++++=the
almanac ^nn+++??+=almanac.
. ^zz++++=EXTRAWORD
Nobody ^pn++++=Nobody
understood ^vbd+vprv++xvbn+=understood
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
frequently ^rb++++=frequently
happened ^vbd+++xvbn+=happened
with ^in++++=with
the ^ati++++=the
solicitor ^nn++++=solicitor's
's ^$++++=EXTRAWORD
proverbs ^nns++++=proverbs.
. ^zz++++=EXTRAWORD
Merchant ^nn+nom+++=Merchant
Vahl ^np+++??+=Vahl
rose ^vbd+++xvbn+=rose.
. ^zz++++=EXTRAWORD
" ^zz++++="So
so ^ql++++=EXTRAWORD
this ^dt+pdem+++=this
is ^vbz+bez+vrb++=is
the ^ati++++=the
liberty ^nn++++=liberty
we ^pp1a+pp1+++=we
have ^vb+hv+aux++=have
been ^vprf+ben+aux+xvbnx+=been
celebrating ^vbg+++xvbgx+=celebrating!
! ^zz++++=EXTRAWORD
A ^at++++=A
son ^nn++++=son
returns ^nns++++=returns
to ^in++++=to
his ^pp$+pp3+++=his
father ^nn++++=father's
's ^$++++=EXTRAWORD
house ^nn++++=house
in ^to++++=in
order ^vb++++=order
to ^to+vcmp+++=to
give ^vb++++=give
him ^pp3o+pp3+++=him
lessons ^nns++++=lessons
before ^in++++=before
his ^pp$+pp3+++=his
guests ^nns++++=guests."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
invited ^vbd+++xvbn+=invited
independence ^nn+nom+++=independence."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
invited ^vbd+++xvbnx+=invited
no ^at++++=no
such ^abl++++=such
exhibition ^nn+nom+++=exhibition!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
toasted ^vbd+++xvbn+=toasted
it ^pp3+it+++=it."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Be
be ^vb+be+vrb++=EXTRAWORD
silent ^jj+pred+++=silent!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Henrik ^np+++??+=Henrik
became ^vbd+++xvbn+=became
very ^ql+amp+++=very
pale ^nn++++=pale.
. ^zz++++=EXTRAWORD
Youth ^nn++++=Youth
can ^md+pos+++=can
endure ^vb++++=endure
injustice ^nn++++=injustice
better ^jjr++++=better
than ^in++++=than
humiliation ^nn+nom+++=humiliation,
, ^zz++++=EXTRAWORD
chiefly ^rb++++=chiefly
because ^cs+cos+++=because
it ^pp3+it+++=it
does ^vbz+doz+aux++=does
not ^xnot++not++=not
yet ^rb++++=yet
know ^vb+vprv+++=know
how ^wrb+who+whcl++=how
common ^jj++++=common
both ^abx++++=both
are ^vb+ber+vrb++=are.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
will ^md+prd+++=will
not ^xnot++not++=not
say ^vb+vpub+tht0++=say
I ^pp1a+pp1+++=I
am ^vb+bem+vrb++=am
wrong ^jj+pred+++=wrong
when ^wrb+who+++=when
I ^pp1a+pp1+++=I
am ^vb+bem+vrb++=am
right ^jj+pred+++=right,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said.
. ^zz++++=EXTRAWORD
" ^zz++++="Then
then ^rn+tm+++=EXTRAWORD
you ^pp2+pp2+++=you
may ^md+pos+++=may
leave ^vb++++=leave
the ^ati++++=the
room ^nn++++=room."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
The ^ati++++=The
old ^jj+atrb+++=old
Adjunct ^nn++++=Adjunct,
, ^zz++++=EXTRAWORD
Master ^nn++++=Master
Lind ^np+++??+=Lind,
, ^zz++++=EXTRAWORD
had ^vbd+hvd+aux++=had
watched ^vprf+++xvbnx+=watched
the ^ati++++=the
dispute ^nn++++=dispute
through ^in++++=through
half ^abn++++=half-closed
- ^zz++++=EXTRAWORD
closed ^jj+atrb++xvbn+=EXTRAWORD
eyes ^nns++++=eyes.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+vrb++=was
Henrik ^np++++=Henrik's
's ^$++++=EXTRAWORD
former ^ap++++=former
teacher ^nn++++=teacher
and ^cc++++=and
had ^vb+hv+aux++=had
once ^rb+tm+splt++=once
beaten ^vprf+++xvbnx+=beaten
him ^pp3o+pp3+++=him
for ^in++++=for
confusing ^xvbg+++xvbg+=confusing
Hannibal ^np+nom++??+=Hannibal
with ^in++++=with
Hasdrubal ^np+nom++??+=Hasdrubal,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
he ^pp3a+pp3+++=he
now ^rn+tm+++=now
remembered ^vbd+vprv++xvbn+=remembered
only ^rb+down+++=only
that ^dt+dem+++=that
the ^ati++++=the
boy ^nn++++=boy
had ^vbd+hvd+aux++=had
possessed ^vprf+++xvbnx+=possessed
an ^at++++=an
unusually ^rb++++=unusually
honest ^jj+atrb+++=honest
face ^nn++++=face.
. ^zz++++=EXTRAWORD
Teachers ^nns+nom+++=Teachers
generally ^rb+down+++=generally
forget ^vb+vprv+tht0++=forget
their ^pp$+pp3+++=their
punishments ^nns+nom+++=punishments
sooner ^rbr++++=sooner
than ^in++++=than
their ^pp$+pp3+++=their
pupils ^nns++++=pupils
do ^vb+do+vrb++=do;
; ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
have ^vb+hv+vrb++=have
more ^rbr++++=more
of ^in++++=of
them ^pp3o+pp3+++=them
to ^to++++=to
remember ^nn+nom+++=remember.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
rose ^vbd+++xvbnx+=rose,
, ^zz++++=EXTRAWORD
placed ^xvbn+++xvbn+=placed
a ^at++++=a
hand ^nn++++=hand
upon ^in++++=upon
Henrik ^np++++=Henrik's
's ^$++++=EXTRAWORD
arm ^vb++++=arm,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
said ^vbd+vpub++xvbn+=said:
: ^zz++++=EXTRAWORD
" ^zz++++="Come,
come ^vprf+++xvbn+=EXTRAWORD
, ^zz++++=EXTRAWORD
my ^pp$+pp1+++=my
dear ^jj+atrb+++=dear
boy ^nn++++=boy.
. ^zz++++=EXTRAWORD
The ^ati++++=The
evening ^nn++++=evening
is ^vbz+bez+vrb++=is
warm ^jj+pred+++=warm."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
went ^vbd+++xvbnx+=went
through ^in++++=through
the ^ati++++=the
glass ^nn++++=glass
doors ^nns++++=doors
into ^in++++=into
the ^ati++++=the
garden ^nn++++=garden.
. ^zz++++=EXTRAWORD
Behind ^in+pl+++=Behind
them ^pp3o+pp3+++=them
the ^ati++++=the
company ^nn++++=company
began ^vbd+++xvbn+=began,
, ^zz++++=EXTRAWORD
in ^in++++=in
cautious ^jj+atrb+++=cautious
murmurs ^nns++++=murmurs,
, ^zz++++=EXTRAWORD
to ^to++++=to
repair ^vbi++++=repair
the ^ati++++=the
shattered ^jj+atrb++xvbn+=shattered
dignity ^nn+nom+++=dignity
of ^in++++=of
the ^ati++++=the
host ^nn++++=host.
. ^zz++++=EXTRAWORD
Madame ^npt++++=Madame
Vahl ^np+++??+=Vahl
wept ^vbd+++xvbn+=wept;
; ^zz++++=EXTRAWORD
Merchant ^nn+nom+++=Merchant
Vahl ^np+++??+=Vahl
declared ^vbd+vpub+tht0+xvbn+=declared
he ^pp3a+pp3+++=he
had ^vb+hv+aux++=had
never ^rb++splt++=never
been ^vprf+ben+vrb+xvbnx+=been
so ^ql+emph+++=so
insulted ^jj+++xvbn+=insulted;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Judge ^nn++++=Judge
Krag ^np+++??+=Krag
observed ^vbd+vprv++xvbn+=observed
that ^tht+vcmp+++=that
universities ^nns+nom+++=universities
were ^vbd+bed+vrb++=were
useful ^jj+atrb+++=useful
institutions ^nns+nom+++=institutions,
, ^zz++++=EXTRAWORD
provided ^jj+atrb++xvbn+=provided
young ^jj+atrb+++=young
men ^nns++++=men
did ^vbd+dod+aux++=did
not ^xnot++not++=not
remain ^vb++++=remain
at ^in++++=at
them ^pp3o+pp3+++=them
too ^ql++++=too
long ^rb++++=long.
. ^zz++++=EXTRAWORD
The ^ati++++=The
garden ^npl++++=garden
descended ^vbd+++xvbn+=descended
towards ^in++++=towards
the ^ati++++=the
fjord ^nn+++??+=fjord.
. ^zz++++=EXTRAWORD
The ^ati++++=The
sunset ^nn++++=sunset
lay ^vbd+++xvbn+=lay
red ^jj++++=red
upon ^in++++=upon
the ^ati++++=the
water ^nn++++=water,
, ^zz++++=EXTRAWORD
the ^ati++++=the
birches ^nns++++=birches
were ^vbd+bed+vrb++=were
motionless ^jj+pred+++=motionless,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
from ^in++++=from
the ^ati++++=the
drawing ^jj+++xvbg+=drawing-room
- ^zz++++=EXTRAWORD
room ^nn++++=EXTRAWORD
came ^vbd+++xvbn+=came
the ^ati++++=the
first ^rb++++=first
uncertain ^jj+atrb+++=uncertain
measures ^nns++++=measures
of ^in++++=of
a ^at++++=a
nocturne ^nn+++??+=nocturne.
. ^zz++++=EXTRAWORD
Henrik ^np+++??+=Henrik
