# ^zz++++=###
# ^zz++++=EXTRAWORD
# ^zz++++=EXTRAWORD
White ^jj++++=White
buying ^vbg+++xvbgx+=buying
him ^pp3o+pp3+++=him
because ^cs+cos+++=because
the ^ati++++=the
station ^nn+nom+++=station
can ^md+pos+++=can
stand ^vb++++=stand
the ^ati++++=the
loss ^nn++++=loss
better ^jjr++++=better
than ^cs+sub+++=than
you ^pp2+pp2+++=you
can ^md+pos+++=can."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
The ^ati++++=The
drover ^nn++++=drover
counted ^vbd+++xvbn+=counted
the ^ati++++=the
notes ^nns++++=notes
twice ^rb+cnj+++=twice,
, ^zz++++=EXTRAWORD
not ^xnot++not++=not
from ^in++++=from
distrust ^nn++++=distrust
but ^cc+cls+++=but
because ^cs+cos+++=because
his ^pp$+pp3+++=his
fingers ^nns+nom+++=fingers
trembled ^vbd+++xvbn+=trembled.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
he ^pp3a+pp3+++=he
put ^vbd+++xvbnx+=put
them ^pp3o+pp3+++=them
inside ^jjb++++=inside
his ^pp$+pp3+++=his
shirt ^nn++++=shirt.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
brought ^vbd+++xvbn+=brought
him ^pp3o+pp3+++=him
beef ^nn++++=beef
and ^cc++++=and
bread ^nn++++=bread,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
he ^pp3a+pp3+++=he
ate ^vbd+++xvbnx+=ate
a ^rb++++=a
little ^rb"++++=little,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
Sandy ^np++++=Sandy
bullied ^vbd+++xvbn+=bullied
him ^pp3o+pp3+++=him
over ^in++++=over
every ^at++++=every
mouthful ^nn+nom+++=mouthful.
. ^zz++++=EXTRAWORD
" ^zz++++="You'll
you ^pp2+pp2+++=EXTRAWORD
'll ^md+prd+++0=EXTRAWORD
camp ^vb++++=camp
in ^in++++=in
the ^ati++++=the
spare ^jj+atrb+++=spare
room ^nn++++=room,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Sandy ^np++++=Sandy.
. ^zz++++=EXTRAWORD
" ^zz++++="And
and ^cc+cls+++=EXTRAWORD
if ^cs+cnd+++=if
ye ^pp2+pp2+++=ye
die ^vb++++=die
in ^in++++=in
it ^pp3+it+++=it
I ^pp1a+pp1+++=I'll
'll ^md+prd+++0=EXTRAWORD
charge ^vb+vpub+tht0++=charge
your ^pp$+pp2+++=your
estate ^nn++++=estate
for ^in++++=for
the ^ati++++=the
sheets ^nns++++=sheets."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Next ^ap++++=Next
morning ^nn++++=morning
the ^ati++++=the
mailman ^nn++++=mailman
took ^vbd+++xvbn+=took
him ^pp3o+pp3+++=him
toward ^in++++=toward
the ^ati++++=the
railway ^nn++++=railway.
. ^zz++++=EXTRAWORD
Before ^cs+sub+++=Before
he ^pp3a+pp3+++=he
climbed ^vbd+++xvbnx+=climbed
to ^in++++=to
the ^ati++++=the
box ^nn++++=box-seat,
- ^zz++++=EXTRAWORD
seat ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
the ^ati++++=the
drover ^nn++++=drover
went ^vbd+++xvbn+=went
to ^in++++=to
the ^ati++++=the
grey ^nn++++=grey,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
was ^vbd+bedz+aux++=was
tied ^vpsv++agls+xvbnx+=tied
near ^in+pl+++=near
the ^ati++++=the
stable ^nn++++=stable.
. ^zz++++=EXTRAWORD
For ^in++++=For
a ^at++++=a
while ^cs+sub+++=while
he ^pp3a+pp3+++=he
rubbed ^vbd+++xvbnx+=rubbed
the ^ati++++=the
pony ^nn++++=pony
between ^in++++=between
the ^ati++++=the
eyes ^nns++++=eyes.
. ^zz++++=EXTRAWORD
The ^ati++++=The
horse ^nn++++=horse,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
had ^vbd+hvd+aux++=had
shown ^vprf+++xvbnx+=shown
no ^at++++=no
affection ^nn+nom+++=affection
for ^in++++=for
anyone ^pn++++=anyone,
, ^zz++++=EXTRAWORD
pushed ^xvbn+++xvbn+=pushed
his ^pp$+pp3+++=his
muzzle ^nn++++=muzzle
against ^in++++=against
the ^ati++++=the
man ^nn++++=man's
's ^$++++=EXTRAWORD
chest ^nn++++=chest.
. ^zz++++=EXTRAWORD
" ^zz++++="He's
he ^pp3a+pp3+++=EXTRAWORD
's ^vbz+bez+vrb++0=EXTRAWORD
white ^jj++++=white
when ^wrb+who+++=when
he ^pp3a+pp3+++=he's
's ^vbz+bez+aux++0=EXTRAWORD
wanted ^vpsv++agls+xvbnx+=wanted,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
the ^ati++++=the
drover ^nn++++=drover
said ^vbd+vpub++xvbn+=said
to ^in+vcmp+++=to
Sandy ^jj++++=Sandy.
. ^zz++++=EXTRAWORD
" ^zz++++="What's
what ^wdt+who+++=EXTRAWORD
's ^vbz+bez+vrb++0=EXTRAWORD
that ^dt+pdem+++=that?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="White
white ^jj++++=EXTRAWORD
when ^wrb+who+++=when
he ^pp3a+pp3+++=he's
's ^vbz+bez+aux++0=EXTRAWORD
wanted ^vpsv++agls+xvbnx+=wanted."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Aye,
aye ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
black ^nn++++=black
when ^wrb+who+++=when
he ^pp3a+pp3+++=he's
's ^vbz+bez+vrb++0=EXTRAWORD
no ^rb+cnj+++=no,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
suppose ^vb+vprv+++=suppose."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
The ^ati++++=The
drover ^nn++++=drover
mounted ^vbd+++xvbn+=mounted
beside ^in+pl+++=beside
the ^ati++++=the
mailman ^nn++++=mailman.
. ^zz++++=EXTRAWORD
As ^in++++=As
the ^ati++++=the
coach ^nn++++=coach
moved ^vbd+++xvbn+=moved
off ^in+strn+++=off,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
looked ^vbd+++xvbnx+=looked
back ^jjb++++=back.
. ^zz++++=EXTRAWORD
" ^zz++++="White
white ^jj++++=EXTRAWORD
when ^wrb+who+++=when
he ^pp3a+pp3+++=he's
's ^vbz+bez+aux++0=EXTRAWORD
wanted ^vpsv++agls+xvbnx+=wanted,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
called ^vbd+++xvbnx+=called
again ^rb+tm+++=again.
. ^zz++++=EXTRAWORD
That ^dt+pdem+++=That
was ^vbd+bedz+vrb++=was
his ^pp$+pp3+++=his
farewell ^nn++++=farewell.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
put ^vbd+++xvbn+=put
the ^ati++++=the
grey ^nn++++=grey
in ^in++++=in
the ^ati++++=the
horse ^nn++++=horse-paddock
- ^zz++++=EXTRAWORD
paddock ^nn++++=EXTRAWORD
and ^cc++++=and
called ^jj+++xvbn+=called
him ^pp3o+pp3+++=him
Whitey ^np+++??+=Whitey
for ^in++++=for
want ^in"++++=want
of ^in"++++=of
imagination ^nn+nom+++=imagination.
. ^zz++++=EXTRAWORD
For ^in++++=For
six ^cd++++=six
weeks ^nns++++=weeks
he ^pp3a+pp3+++=he
did ^vbd+dod+vrb++=did
nothing ^pn++++=nothing
except ^in++++=except
recover ^vb++++=recover
his ^pp$+pp3+++=his
appetite ^nn++++=appetite.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
ate ^vbd+++xvbnx+=ate
with ^in++++=with
steady ^jj+atrb+++=steady
application ^nn+nom+++=application
and ^cc++++=and
escaped ^vprf+++xvbn+=escaped
work ^nn++++=work
with ^in++++=with
genius ^nn++++=genius.
. ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
the ^ati++++=the
night ^nn++++=night-horses
- ^zz++++=EXTRAWORD
horses ^nns++++=EXTRAWORD
were ^vbd+bed+aux++=were
brought ^vpsv++agls+xvbnx+=brought
in ^rb+cnj+++=in,
, ^zz++++=EXTRAWORD
Whitey ^np+++??+=Whitey
was ^vbd+bedz+vrb++=was
behind ^in+pl+++=behind
a ^at++++=a
log ^&fo++++=log.
. ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
the ^ati++++=the
stockyard ^nn+++??+=stockyard
gate ^nn++++=gate
was ^vbd+bedz+aux++=was
left ^vpsv++agls+xvbnx+=left
open ^jj++++=open,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
through ^in++++=through
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
caught ^xvbn+++xvbn+=caught,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
allowed ^vbd+++xvbnx+=allowed
the ^ati++++=the
saddle ^nn++++=saddle
to ^to++++=to
be ^vbi+vbi+aux++=be
put ^vpsv++agls+xvbnx+=put
on ^rb+phrv+++=on
with ^in++++=with
the ^ati++++=the
resignation ^nn+nom+++=resignation
of ^in++++=of
a ^at++++=a
martyr ^nn++++=martyr
and ^cc++++=and
moved ^vbd+++xvbn+=moved
away ^rp+pl+++=away
at ^in++++=at
a ^at++++=a
pace ^nn++++=pace
that ^tht+rel+subj++=that
gave ^vbd+++xvbn+=gave
a ^at++++=a
man ^nn++++=man
time ^nn++++=time
to ^in++++=to
reconsider ^jjr++++=reconsider
his ^pp$+pp3+++=his
destination ^nn+nom+++=destination.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
would ^md+prd+++=would
not ^xnot++not++=not
trot ^nn++++=trot
unless ^cs+cnd+++=unless
the ^ati++++=the
road ^nn++++=road
sloped ^vbd+++xvbn+=sloped
downhill ^rb+cnj+++=downhill,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
even ^rb++++=even
then ^rn+tm+++=then
he ^pp3a+pp3+++=he
preferred ^vbd+++xvbnx+=preferred
to ^to+vcmp+++=to
stumble ^vbi++++=stumble.
. ^zz++++=EXTRAWORD
A ^at++++=A
stockman ^nn+nom+++=stockman
named ^vbd+++xvbn+=named
Billy ^np++++=Billy
Crow ^nn++++=Crow
rode ^vbd+++xvbn+=rode
him ^pp3o+pp3+++=him
after ^cs+sub+++=after
cattle ^nns++++=cattle
and ^cc++++=and
came ^vbd+++xvbn+=came
home ^nr++++=home
at ^rb++++=at
dark ^jj+atrb+++=dark,
, ^zz++++=EXTRAWORD
leading ^jj+++xvbg+=leading
Whitey ^np+++??+=Whitey
and ^cc++++=and
using ^jj+atrb++xvbg+=using
language ^nn+nom+++=language
that ^tht+rel+subj++=that
caused ^vprf+++xvbn+=caused
the ^ati++++=the
cook ^nn++++=cook
to ^to++++=to
cross ^vbi++++=cross
himself ^ppl+pp3+++=himself,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
a ^at++++=a
Presbyterian ^nn++++=Presbyterian.
. ^zz++++=EXTRAWORD
" ^zz++++="As
as ^ql++++=EXTRAWORD
useful ^jj++++=useful
as ^in++++=as
side ^nn++++=side-pockets
- ^zz++++=EXTRAWORD
pockets ^nns++++=EXTRAWORD
to ^in++++=to
a ^at++++=a
pig ^nn++++=pig,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Billy ^np++++=Billy
reported ^vbd+vpub++xvbn+=reported.
. ^zz++++=EXTRAWORD
Sandy ^jj++++=Sandy
defended ^jj+++xvbn+=defended
the ^ati++++=the
horse ^nn++++=horse
because ^cs+cos+++=because
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
bought ^vprf+++xvbnx+=bought
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
" ^zz++++="There's
there ^ex+pex+++=EXTRAWORD
's ^vbz+bez+vrb++0=EXTRAWORD
nothing ^pn++++=nothing
wrong ^jj+atrb+++=wrong
wi ^nn+++??+=wi'
' ^zz++++=EXTRAWORD
the ^ati++++=the
beast ^nn++++=beast
that ^tht+rel+++=that
feed ^nn++++=feed
and ^cc++++=and
work ^nn++++=work
will ^md+prd+++=will
no ^at++++=no
cure ^nn++++=cure."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="He's
he ^pp3a+pp3+++=EXTRAWORD
's ^vbz+bez+vrb++0=EXTRAWORD
'd ^md+prd+vrb++=had
the ^ati++++=the
feed ^nn++++=feed,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Billy ^np++++=Billy.
. ^zz++++=EXTRAWORD
" ^zz++++="Then
then ^rn+tm+++=EXTRAWORD
give ^vb++++=give
him ^pp3o+pp3+++=him
the ^ati++++=the
work ^nn++++=work."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
gave ^vbd+++xvbn+=gave
him ^pp3o+pp3+++=him
work ^nn++++=work.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
received ^vbd+++xvbnx+=received
it ^pp3+it+++=it
without ^in++++=without
enthusiasm ^nn++++=enthusiasm
and ^cc++++=and
returned ^vbd+++xvbn+=returned
as ^ql++++=as
little ^ap++++=little
as ^ql++++=as
possible ^jj++++=possible.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
became ^vbd+++xvbnx+=became
a ^at++++=a
camp ^nn++++=camp-horse,
- ^zz++++=EXTRAWORD
horse ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
carrying ^vbg+++xvbg+=carrying
packs ^nns++++=packs,
, ^zz++++=EXTRAWORD
rations ^nns+nom+++=rations,
, ^zz++++=EXTRAWORD
hobbles ^nns+++??+=hobbles,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
once ^rb+tm+++=once
a ^at++++=a
sick ^jj+atrb+++=sick
calf ^nn++++=calf.
. ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
a ^at++++=a
mob ^nn++++=mob
walked ^vbd+++xvbn+=walked,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
walked ^vbd+++xvbnx+=walked.
. ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
it ^pp3+it+++=it
trotted ^vbd+++xvbn+=trotted,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
walked ^vbd+++xvbnx+=walked
more ^rbr++++=more
urgently ^rb++++=urgently.
. ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
it ^pp3+it+++=it
galloped ^vbd+++xvbn+=galloped,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
waited ^vbd+++xvbnx+=waited
for ^in++++=for
it ^pp3+it+++=it
to ^to++++=to
come ^vbi++++=come
back ^jjb++++=back.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
he ^pp3a+pp3+++=he
never ^rb++++=never
tired ^jj+++xvbn+=tired.
. ^zz++++=EXTRAWORD
After ^cs+sub+++=After
forty ^cd++++=forty
miles ^nns++++=miles
he ^pp3a+pp3+++=he
looked ^vbd+++xvbnx+=looked
as ^ql++++=as
disreputable ^jj++++=disreputable
as ^ql++++=as
he ^pp3a+pp3+++=he
had ^vb+hv+vrb++=had
at ^rb++++=at
the ^ati++++=the
first ^od++++=first
mile ^nn++++=mile
and ^cc++++=and
no ^at++++=no
worse ^nn++++=worse.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
never ^rb++++=never
got ^vbd+++xvbn+=got
a ^at++++=a
sore ^jj++++=sore
back ^jjb++++=back,
, ^zz++++=EXTRAWORD
never ^rb++++=never
pulled ^vbd+++xvbn+=pulled
a ^at++++=a
shoe ^nn++++=shoe,
, ^zz++++=EXTRAWORD
never ^rb++++=never
refused ^vbd+++xvbn+=refused
water ^nn++++=water,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
could ^md+pos+++=could
live ^vb++++=live
on ^in++++=on
country ^nn++++=country
that ^tht+rel+subj++=that
would ^md+prd+++=would
disappoint ^vb++++=disappoint
a ^at++++=a
goat ^nn++++=goat.
. ^zz++++=EXTRAWORD
These ^dt+dem+++=These
virtues ^nns++++=virtues,
, ^zz++++=EXTRAWORD
being ^vbg+beg++xvbg+=being
unobtrusive ^jj++++=unobtrusive,
, ^zz++++=EXTRAWORD
did ^vbd+dod+aux++=did
not ^xnot++not++=not
raise ^vb++++=raise
him ^pp3o+pp3+++=him
in ^in++++=in
our ^pp$+pp1+++=our
estimation ^nn+nom+++=estimation.
. ^zz++++=EXTRAWORD
A ^at++++=A
station ^nn+nom+++=station
horse ^nn++++=horse
is ^vbz+bez+aux++=is
judged ^vpsv++by+xvbnx+=judged
by ^in++++=by
what ^wdt+who+++=what
he ^pp3a+pp3+++=he
does ^vbz+doz+vrb++=does
in ^in++++=in
excitement ^nn+nom+++=excitement,
, ^zz++++=EXTRAWORD
not ^xnot++not++=not
by ^in++++=by
his ^pp$+pp3+++=his
capacity ^nn+nom+++=capacity
for ^in++++=for
enduring ^xvbg+++xvbg+=enduring
boredom ^nn+nom+++=boredom.
. ^zz++++=EXTRAWORD
The ^ati++++=The
chance ^nn++++=chance
came ^vbd+++xvbn+=came
in ^in++++=in
autumn ^nn++++=autumn.
. ^zz++++=EXTRAWORD
A ^at++++=A
mob ^nn++++=mob
of ^in++++=of
brumbies ^nns+++??+=brumbies
had ^vbd+hvd+aux++=had
appeared ^vprf+++xvbnx+=appeared
in ^in++++=in
the ^ati++++=the
ranges ^nns++++=ranges
beyond ^in++++=beyond
Cattle ^nns++++=Cattle
Creek ^nn++++=Creek
twelve ^cd++++=twelve
mares ^nns++++=mares,
, ^zz++++=EXTRAWORD
some ^dti++++=some
young ^jj+atrb+++=young
stuff ^nn++++=stuff,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
black ^jj+atrb+++=black
stallion ^nn++++=stallion
with ^in++++=with
a ^at++++=a
tail ^nn++++=tail
like ^in++++=like
a ^at++++=a
flag ^nn++++=flag.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
had ^vbd+hvd+aux++=had
broken ^vprf+++xvbnx+=broken
into ^in+ppvb+++=into
the ^ati++++=the
horse ^nn++++=horse-paddock
- ^zz++++=EXTRAWORD
paddock ^nn++++=EXTRAWORD
twice ^rb+cnj+++=twice,
, ^zz++++=EXTRAWORD
taken ^xvbn+++xvbn+=taken
three ^cd++++=three
station ^nn+nom+++=station
mares ^nns++++=mares
with ^in++++=with
them ^pp3o+pp3+++=them,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
treated ^vbd+++xvbn+=treated
our ^pp$+pp1+++=our
fences ^nns++++=fences
as ^cs+sub+++=as
if ^cs+cnd+++=if
wire ^nn++++=wire
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
invented ^vpsv++agls+xvbnx+=invented
for ^in++++=for
their ^pp$+pp3+++=their
amusement ^nn+nom+++=amusement.
. ^zz++++=EXTRAWORD
Sandy ^np++++=Sandy
decided ^vbd+vprv+tht0+xvbn+=decided
they ^pp3a+pp3+++=they
must ^md+nec+++=must
be ^vb+be+aux++=be
run ^vpsv++agls+xvbnx+=run
in ^in+strn+++=in.
. ^zz++++=EXTRAWORD
Every ^at++++=Every
man ^nn++++=man
at ^in++++=at
Buckalong ^np+++??+=Buckalong
wanted ^vbd+++xvbn+=wanted
the ^ati++++=the
black ^jj+atrb+++=black
stallion ^nn++++=stallion.
. ^zz++++=EXTRAWORD
Billy ^np++++=Billy
said ^vbd+vpub+tht0+xvbn+=said
he ^pp3a+pp3+++=he
would ^md+prd+++=would
make ^vb++++=make
a ^at++++=a
racer ^nn++++=racer.
. ^zz++++=EXTRAWORD
Thompson ^np++++=Thompson
the ^ati++++=the
head ^jjb+atrb+++=head
stockman ^nn+nom+++=stockman
said ^vbd+vpub+tht0+xvbn+=said
he ^pp3a+pp3+++=he
would ^md+prd+++=would
make ^vb++++=make
a ^at++++=a
stock ^nn++++=stock-horse.
- ^zz++++=EXTRAWORD
horse ^nn++++=EXTRAWORD
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
said ^vbd+vpub+tht0+xvbn+=said
he ^pp3a+pp3+++=he
would ^md+prd+++=would
probably ^rb++splt++=probably
break ^vb++++=break
Billy ^np++++=Billy's
's ^$++++=EXTRAWORD
neck ^nn++++=neck,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
was ^vbd+bedz+vrb++=was
another ^dt++++=another
recommendation ^nn+nom+++=recommendation.
. ^zz++++=EXTRAWORD
The ^ati++++=The
brumbies ^nns+++??+=brumbies
knew ^vbd+vprv++xvbn+=knew
the ^ati++++=the
ranges ^nns++++=ranges
better ^jjr++++=better
than ^cs+sub+++=than
we ^pp1a+pp1+++=we
did ^vbd+dod+aux++=did
and ^cc++++=and
had ^vbd+hvd+aux++=had
become ^vprf+++xvbn+=become
as ^ql++++=as
cunning ^jj++++=cunning
as ^ql++++=as
policemen ^nns++++=policemen.
. ^zz++++=EXTRAWORD
For ^in++++=For
three ^cd++++=three
mornings ^nns++++=mornings
they ^pp3a+pp3+++=they
let ^vbd+++xvbnx+=let
us ^pp1o+pp1+++=us
sight ^nn++++=sight
them ^pp3o+pp3+++=them
and ^cc++++=and
then ^rn+tm+++=then
vanished ^vbd+++xvbn+=vanished
through ^in++++=through
gullies ^nns+++??+=gullies
where ^wrb+who+++=where
no ^at++++=no
sensible ^jj+atrb+++=sensible
horse ^nn++++=horse
would ^md+prd+++=would
put ^vb+++xvbn+=put
a ^at++++=a
foot ^nn++++=foot.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
wore ^vbd+++xvbn+=wore
down ^rb+phrv+++=down
our ^pp$+pp1+++=our
best ^jjt+atrb+++=best
mounts ^nns++++=mounts,
, ^zz++++=EXTRAWORD
tore ^j+++xvbn+=tore
our ^pp$+pp1+++=our
clothes ^nns++++=clothes
in ^in++++=in
hop ^nn++++=hop-scrub,
- ^zz++++=EXTRAWORD
scrub ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
lost ^jj+atrb++xvbn+=lost
one ^cd1++++=one
pack ^nn++++=pack-bag,
- ^zz++++=EXTRAWORD
bag ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
two ^cd++++=two
bridles ^nns+++??+=bridles,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
most ^ap+emph+++=most
of ^in++++=of
our ^pp$+pp1+++=our
dignity ^nn+nom+++=dignity.
. ^zz++++=EXTRAWORD
On ^in++++=On
the ^ati++++=the
fourth ^od++++=fourth
day ^nn++++=day
we ^pp1a+pp1+++=we
had ^vb+hv+aux++=had
only ^rb+down+splt++=only
tired ^vprf+++xvbnx+=tired
horses ^nns++++=horses
left ^vbd+++xvbn+=left.
. ^zz++++=EXTRAWORD
" ^zz++++="Take
take ^vb++++=EXTRAWORD
the ^ati++++=the
grey ^nn++++=grey,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Sandy ^np++++=Sandy
to ^in++++=to
young ^jj+atrb+++=young
Alec ^np++++=Alec,
, ^zz++++=EXTRAWORD
the ^ati++++=the
lightest ^nn++++=lightest
of ^in++++=of
us ^pp1o+pp1+++=us.
. ^zz++++=EXTRAWORD
Alec ^np++++=Alec
protested ^vbd+vpub++xvbn+=protested.
. ^zz++++=EXTRAWORD
" ^zz++++="Take
take ^vb++++=EXTRAWORD
him ^pp3o+pp3+++=him,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Sandy ^jj++++=Sandy
repeated ^jj+++xvbn+=repeated.
. ^zz++++=EXTRAWORD
" ^zz++++="If
if ^cs+cnd+++=EXTRAWORD
he ^pp3a+pp3+++=he
canna ^nn+++??+=canna
catch ^vb++++=catch
the ^ati++++=the
brumbies ^nns+++??+=brumbies,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
can ^md+pos+++=can
carry ^vb++++=carry
ye ^pp2+pp2+++=ye
home ^nr++++=home
after ^cs+sub+++=after
the ^ati++++=the
others ^aps++++=others
are ^vb+ber+aux++=are
done ^vpsv++agls+xvbnx+=done."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
found ^vbd+vprv++xvbn+=found
the ^ati++++=the
mob ^nn++++=mob
at ^in++++=at
sunrise ^nn++++=sunrise
on ^in++++=on
a ^at++++=a
long ^rb++++=long
open ^jj+atrb+++=open
ridge ^nn++++=ridge.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
stood ^vbd+++xvbnx+=stood
with ^in++++=with
their ^pp$+pp3+++=their
heads ^nns++++=heads
up ^rp++++=up,
, ^zz++++=EXTRAWORD
the ^ati++++=the
black ^jj+atrb+++=black
stallion ^nn++++=stallion
between ^in++++=between
us ^pp1o+pp1+++=us
and ^cc++++=and
the ^ati++++=the
mares ^nns++++=mares.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
he ^pp3a+pp3+++=he
wheeled ^vbd+++xvbnx+=wheeled,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
whole ^jj+atrb+++=whole
mob ^nn++++=mob
streamed ^vbd+++xvbn+=streamed
over ^in++++=over
the ^ati++++=the
shoulder ^nn+nom+++=shoulder
of ^in++++=of
the ^ati++++=the
hill ^nn++++=hill.
. ^zz++++=EXTRAWORD
Our ^pp$+pp1+++=Our
horses ^nns++++=horses
jumped ^vbd+++xvbn+=jumped
after ^in++++=after
them ^pp3o+pp3+++=them.
. ^zz++++=EXTRAWORD
For ^in++++=For
the ^ati++++=the
first ^od++++=first
mile ^nn++++=mile
Whitey ^np+++??+=Whitey
occupied ^vbd+++xvbn+=occupied
his ^pp$+pp3+++=his
usual ^jj+atrb+++=usual
place ^nn++++=place
at ^in++++=at
the ^ati++++=the
rear ^jjb++++=rear,
, ^zz++++=EXTRAWORD
travelling ^vbg+nom++xvbg+=travelling
with ^in++++=with
his ^pp$+pp3+++=his
nose ^nn++++=nose
out ^rp+pl+++=out
and ^cc++++=and
his ^pp$+pp3+++=his
ears ^nns++++=ears
hanging ^vwbg+++xvbg+=hanging
sideways ^jjb++++=sideways.
. ^zz++++=EXTRAWORD
Alec ^np++++=Alec
kicked ^vbd+++xvbn+=kicked,
, ^zz++++=EXTRAWORD
whipped ^j+++xvbn+=whipped,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
addressed ^vbd+++xvbn+=addressed
him ^pp3o+pp3+++=him
personally ^rb++++=personally.
. ^zz++++=EXTRAWORD
Whitey ^np+++??+=Whitey
ignored ^vwbn+++xvbn+=ignored
all ^abn++++=all
three ^cd++++=three.
. ^zz++++=EXTRAWORD
The ^ati++++=The
brumbies ^nn++++=brumbies
crossed ^vbd+++xvbn+=crossed
a ^at++++=a
stony ^jj+atrb+++=stony
flat ^nn++++=flat,
, ^zz++++=EXTRAWORD
took ^j+++xvbn+=took
a ^at++++=a
low ^jj+atrb+++=low
rise ^nn++++=rise,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
headed ^vpsv++agls+xvbn+=headed
for ^in+ppvb+++=for
broken ^jj+atrb++xvbn+=broken
country ^nn++++=country.
. ^zz++++=EXTRAWORD
Billy ^np++++=Billy
and ^cc++++=and
Thompson ^np++++=Thompson
were ^vbd+bed+vrb++=were
nearest ^jjt+pred+++=nearest;
; ^zz++++=EXTRAWORD
