# ^zz++++=##
# ^zz++++=EXTRAWORD
Cock ^nn++++=Cock-eye
occupied ^vbd+++xvbn+=occupied
a ^at++++=a
narrow ^jj+atrb+++=narrow
gorge ^nn+++??+=gorge
between ^in++++=between
timbered ^jj+atrb+++=timbered
slopes ^nns++++=slopes.
. ^zz++++=EXTRAWORD
A ^at++++=A
stamp ^nn++++=stamp
mill ^nn++++=mill
thudded ^vbd+++xvbn+=thudded
night ^nn++++=night
and ^cc++++=and
day ^nn++++=day
below ^rb++++=below
the ^ati++++=the
mine ^nn++++=mine,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
river ^nn++++=river,
, ^zz++++=EXTRAWORD
clear ^jj++++=clear
and ^cc++++=and
cold ^nn++++=cold
from ^in++++=from
the ^ati++++=the
snow ^nn++++=snow
fields ^nns++++=fields,
, ^zz++++=EXTRAWORD
ran ^j+++xvbn+=ran
past ^jjb++++=past
the ^ati++++=the
cabins ^nns++++=cabins
with ^in++++=with
a ^at++++=a
noise ^nn++++=noise
that ^tht+rel+subj++=that
made ^vprf+++xvbn+=made
silence ^nn+nom+++=silence
impossible ^jj++++=impossible.
. ^zz++++=EXTRAWORD
" ^zz++++="The
the ^ati++++=EXTRAWORD
place ^nn++++=place
was ^vbd+bedz+aux++=was
called ^vpsv++agls+xvbnx+=called
Prosperity ^nn+nom+++=Prosperity,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Bunt ^np+++??+=Bunt
explained ^vbd+vpub++xvbn+=explained,
, ^zz++++=EXTRAWORD
" ^zz++++="because
because ^cs+cos+++=EXTRAWORD
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=wasn't
n't ^xnot++not++0=EXTRAWORD
none ^rb++++=none
in ^in++++=in
sight ^nn++++=sight.
. ^zz++++=EXTRAWORD
Them ^pp3o+pp3+++=Them
names ^nns++++=names
works ^nns++++=works
by ^in++++=by
opposition ^nn+nom+++=opposition.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
knowed ^vbd+++xvbnx+=knowed
a ^at++++=a
town ^nn++++=town
called ^vbd+++xvbn+=called
Temperance ^np+nom++??+=Temperance
that ^tht+rel+subj++=that
maintained ^vprf+++xvbn+=maintained
seven ^cd++++=seven
saloons ^nns+++??+=saloons
and ^cc++++=and
no ^at++++=no
pump ^nn++++=pump,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
another ^dt++++=another
called ^jj+atrb++xvbn+=called
Harmony ^nn++++=Harmony
where ^wrb+who+++=where
they ^pp3a+pp3+++=they
buried ^vbd+++xvbnx+=buried
three ^cd++++=three
men ^nns++++=men
after ^in++++=after
an ^at++++=an
election ^nn+nom+++=election
for ^in++++=for
dog ^nn++++=dog-catcher.
- ^zz++++=EXTRAWORD
catcher ^jjr++++=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++="Prosperity
prosperity ^nn+nom+++=EXTRAWORD
had ^vb+hv+vrb++=had
a ^at++++=a
mine ^nn++++=mine
boss ^nn++++=boss
named ^vbd+++xvbn+=named
Colonel ^npt++++=Colonel
Jim ^np++++=Jim
Sturgis ^np+++??+=Sturgis.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+vrb++=wasn't
n't ^xnot++not++0=EXTRAWORD
no ^at++++=no
colonel ^npt++++=colonel,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
he ^pp3a+pp3+++0=he'd
'd ^vbd+hvd+aux++=EXTRAWORD
bought ^vprf+++xvbnx+=bought
a ^at++++=a
gray ^np++++=gray
coat ^nn++++=coat
with ^in++++=with
brass ^nn++++=brass
buttons ^nns++++=buttons
from ^in++++=from
a ^at++++=a
military ^jj+atrb+++=military
gentleman ^nn+nom+++=gentleman
who ^whp+rel+subj++=who
had ^vbd+hvd+aux++=had
got ^vprf+++xvbnx+=got
reduced ^vpsv++by+xvbn+=reduced
by ^in++++=by
poker ^nn++++=poker,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
title ^nn++++=title
come ^vb++++=come
with ^in++++=with
the ^ati++++=the
garment ^nn+nom+++=garment.
. ^zz++++=EXTRAWORD
Colonel ^npt++++=Colonel
Jim ^np++++=Jim
was ^vbd+bedz+aux++=was
built ^vpsv++agls+xvbnx+=built
thick ^jj++++=thick
and ^cc++++=and
square ^nn++++=square,
, ^zz++++=EXTRAWORD
like ^in++++=like
somebody ^pn++++=somebody
had ^vbd+hvd+aux++=had
started ^vprf+++xvbnx+=started
to ^to++++=to
make ^vbi++++=make
a ^at++++=a
courthouse ^nn+++??+=courthouse
and ^cc++++=and
quit ^vb++++=quit
at ^in++++=at
the ^ati++++=the
first ^od++++=first
story ^nn++++=story.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
did ^vbd+dod+aux++=didn't
n't ^xnot++not++0=EXTRAWORD
scare ^vb++++=scare
worth ^in++++=worth
a ^at++++=a
cent ^nnu"++++=cent,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
he ^pp3a+pp3+++=he
hated ^vbd+++xvbnx+=hated
a ^at++++=a
thief ^nn++++=thief
the ^ati++++=the
way ^nn++++=way
a ^at++++=a
wet ^jj+atrb+++=wet
cat ^nn++++=cat
hates ^vbz++++=hates
everything ^pn++++=everything.
. ^zz++++=EXTRAWORD
" ^zz++++="The
the ^ati++++=EXTRAWORD
marshal ^nn++++=marshal
was ^vbd+bedz+vrb++=was
old ^jj+atrb+++=old
Dad ^npt++++=Dad
Weaver ^np++++=Weaver.
. ^zz++++=EXTRAWORD
Dad ^npt++++=Dad
had ^vb+hv+vrb++=had
a ^at++++=a
badge ^nn++++=badge,
, ^zz++++=EXTRAWORD
a ^at++++=a
shotgun ^nn++++=shotgun,
, ^zz++++=EXTRAWORD
rheumatism ^nn+nom+++=rheumatism,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
theory ^nn++++=theory
that ^tht+ncmp+++=that
every ^at++++=every
citizen ^nn++++=citizen
was ^vbd+bedz+vrb++=was
innocent ^jj+pred+++=innocent
till ^in++++=till
caught ^nn++++=caught
with ^in++++=with
the ^ati++++=the
property ^nn++++=property
still ^rb+atrb+++=still
warm ^jj++++=warm.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
theory ^nn++++=theory
give ^vb++++=give
Blacklock ^np+++??+=Blacklock
considerable ^jj+atrb+++=considerable
freedom ^nn+nom+++=freedom."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Blacklock ^np+++??+=Blacklock
had ^vbd+hvd+aux++=had
come ^vprf+++xvbn+=come
to ^in++++=to
Prosperity ^nn+nom+++=Prosperity
with ^in++++=with
a ^at++++=a
pack ^nn++++=pack
mule ^nn++++=mule,
, ^zz++++=EXTRAWORD
two ^cd++++=two
revolvers ^nns+nom+++=revolvers,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
thirty ^cd++++=thirty-seven
- ^zz++++=EXTRAWORD
seven ^cd++++=EXTRAWORD
dollars ^nns++++=dollars.
. ^zz++++=EXTRAWORD
By ^in++++=By
the ^ati++++=the
end ^nn++++=end
of ^in++++=of
his ^pp$+pp3+++=his
first ^od++++=first
month ^nn++++=month
the ^ati++++=the
mule ^nn++++=mule
had ^vbd+hvd+aux++=had
become ^vprf+++xvbn+=become
two ^cd++++=two
mules ^nns++++=mules,
, ^zz++++=EXTRAWORD
the ^ati++++=the
revolvers ^nns+nom+++=revolvers
had ^vbd+hvd+aux++=had
become ^vprf+++xvbn+=become
four ^cd++++=four,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
thirty ^cd++++=thirty-seven
- ^zz++++=EXTRAWORD
seven ^cd++++=EXTRAWORD
dollars ^nns++++=dollars
had ^vbd+hvd+aux++=had
multiplied ^vprf+++xvbnx+=multiplied
mysteriously ^rb++++=mysteriously
while ^cs+sub+++=while
the ^ati++++=the
money ^nn++++=money
of ^in++++=of
other ^ap++++=other
men ^nns++++=men
underwent ^jj++++=underwent
a ^at++++=a
corresponding ^nn++++=corresponding
decline ^vb++++=decline.
. ^zz++++=EXTRAWORD
" ^zz++++="He
he ^pp3a+pp3+++=EXTRAWORD
dealt ^vbd+++xvbnx+=dealt
faro ^nn+++??+=faro,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Bunt ^np+++??+=Bunt
continued ^vbd+++xvbn+=continued,
, ^zz++++=EXTRAWORD
" ^zz++++="and
and ^cc++++=EXTRAWORD
the ^ati++++=the
cards ^nns++++=cards
was ^vbd+bedz+aux++=was
affected ^vpsv++by+xvbnx+=affected
by ^in++++=by
his ^pp$+pp3+++=his
personality ^nn+nom+++=personality.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They'd
'd ^md+prd+aux++0=EXTRAWORD
behave ^vb++++=behave
for ^in++++=for
anybody ^pn++++=anybody
else ^rb+cnj+++=else,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
soon ^rb+tm+++=soon
as ^in++++=as
Cock ^nn++++=Cock-eye
- ^zz++++=EXTRAWORD
eye ^nn++++=EXTRAWORD
took ^vbd+++xvbn+=took
hold ^nn++++=hold
of ^in++++=of
the ^ati++++=the
box ^nn++++=box
they ^pp3a+pp3+++=they
become ^vb++++=become
dishonest ^jj++++=dishonest.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
could ^md+pos+++=could
turn ^vb++++=turn
a ^at++++=a
king ^nn++++=king
into ^in++++=into
a ^at++++=a
trey ^nn+++??+=trey
merely ^rb+down+++=merely
by ^in++++=by
rubbin ^nn+++??+=rubbin'
' ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
thumb ^nn++++=thumb
on ^in++++=on
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
won ^vbd+++xvbnx+=won
so ^ql+emph+++=so
steady ^jj++++=steady
that ^dt+dem+++=that
luck ^nn++++=luck
got ^vbd+++xvbn+=got
ashamed ^jj+atrb+++=ashamed
and ^cc+phrs+++=and
left ^jj+atrb++xvbn+=left
town ^nn++++=town.
. ^zz++++=EXTRAWORD
" ^zz++++="Then
then ^rn+tm+++=EXTRAWORD
one ^cd1++++=one
night ^nn++++=night
a ^at++++=a
miner ^nn++++=miner
named ^vbd+++xvbn+=named
Oregon ^np+++??+=Oregon
Pike ^np++++=Pike
observed ^vbd+vprv+tht0+xvbn+=observed
a ^at++++=a
ace ^nn++++=ace
emerge ^vb++++=emerge
from ^in++++=from
Blacklock ^np++++=Blacklock's
's ^$++++=EXTRAWORD
sleeve ^nn++++=sleeve.
. ^zz++++=EXTRAWORD
Oregon ^np+++??+=Oregon
spoke ^vbd+++xvbn+=spoke
about ^in++++=about
it ^pp3+it+++=it
not ^xnot++not++=not
loud ^jj++++=loud,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
definite ^jj++++=definite
and ^cc++++=and
Blacklock ^np+++??+=Blacklock
shot ^vbd+++xvbn+=shot
him ^pp3o+pp3+++=him
through ^in++++=through
the ^ati++++=the
shoulder ^nn+nom+++=shoulder.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
claimed ^vbd+vpub++xvbnx+=claimed
self ^nn++++=self-defense,
- ^zz++++=EXTRAWORD
defense ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
sayin ^nn+++??+=sayin'
' ^zz++++=EXTRAWORD
Oregon ^np+++??+=Oregon
had ^vbd+hvd+aux++=had
been ^vprf+ben+vrb+xvbnx+=been
approachin ^nn+++??+=approachin'
' ^zz++++=EXTRAWORD
him ^pp3o+pp3+++=him
with ^in++++=with
a ^at++++=a
hostile ^jj+atrb+++=hostile
expression ^nn++++=expression.
. ^zz++++=EXTRAWORD
Dad ^npt++++=Dad
Weaver ^np++++=Weaver
locked ^vbd+++xvbn+=locked
him ^pp3o+pp3+++=him
up ^rp++++=up,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
the ^ati++++=the
jail ^nn++++=jail
window ^nn++++=window
come ^vb++++=come
loose ^jj++++=loose
before ^in++++=before
mornin ^nn+++??+=mornin'.
'. ^nn+++??+=EXTRAWORD
Curious ^jj+atrb+++=Curious
thing ^nn++++=thing.
. ^zz++++=EXTRAWORD
The ^ati++++=The
screws ^nns++++=screws
was ^vbd+bedz+aux++=was
all ^abn++++=all
found ^vbd+vprv++xvbn+=found
in ^in++++=in
Blacklock ^np++++=Blacklock's
's ^$++++=EXTRAWORD
pocket ^nn++++=pocket
afterward ^rb+cnj+++=afterward,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
the ^ati++++=the
evidence ^nn+nom+++=evidence
was ^vbd+bedz+vrb++=wasn't
n't ^xnot++not++0=EXTRAWORD
what ^wdt+who+++=what
Dad ^npt++++=Dad
called ^vbd+++xvbn+=called
consecutive ^jj++++=consecutive."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Blacklock ^np+++??+=Blacklock
remained ^vbd+++xvbn+=remained
because ^cs+cos+++=because
leaving ^vbg+++xvbg+=leaving
would ^md+prd+++=would
have ^vb+hv+aux++=have
resembled ^vprf+++xvbnx+=resembled
retreat ^nn++++=retreat,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
his ^pp$+pp3+++=his
vanity ^nn++++=vanity
was ^vbd+bedz+aux++=was
as ^cs+sub+++=as
pronounced ^vbd+++xvbn+=pronounced
as ^ql++++=as
his ^pp$+pp3+++=his
lawlessness ^nns+nom+++=lawlessness.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+aux++=was
suspected ^vpsv++agls+xvbnx+=suspected
of ^in++++=of
robbing ^xvbg+++xvbg+=robbing
the ^ati++++=the
mine ^nn++++=mine
payroll ^nn++++=payroll,
, ^zz++++=EXTRAWORD
of ^in++++=of
altering ^xvbg+++xvbg+=altering
the ^ati++++=the
brands ^nns++++=brands
on ^in++++=on
six ^cd++++=six
horses ^nns++++=horses,
, ^zz++++=EXTRAWORD
of ^in++++=of
burning ^xvbg+++xvbg+=burning
a ^at++++=a
stable ^jj++++=stable
whose ^whp+who+++=whose
owner ^nn++++=owner
had ^vbd+hvd+aux++=had
declined ^vprf+++xvbnx+=declined
him ^pp3o+pp3+++=him
credit ^nn++++=credit,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
of ^in++++=of
shooting ^xvbg+++xvbg+=shooting
a ^at++++=a
man ^nn++++=man
called ^vbd+++xvbn+=called
Lily ^np++++=Lily
Morgan ^np++++=Morgan
in ^in++++=in
the ^ati++++=the
leg ^nn++++=leg
during ^in++++=during
a ^at++++=a
difference ^nn+nom+++=difference
over ^in++++=over
the ^ati++++=the
rules ^nns++++=rules
of ^in++++=of
draw ^nn++++=draw
poker ^nn++++=poker.
. ^zz++++=EXTRAWORD
" ^zz++++="Every
every ^at++++=EXTRAWORD
time ^nn++++=time,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Bunt ^np+++??+=Bunt,
, ^zz++++=EXTRAWORD
" ^zz++++="we
we ^pp1a+pp1+++=EXTRAWORD
knowed ^vbd+++xvbn+=knowed
he ^pp3a+pp3+++=he
done ^vbd+++xvbnx+=done
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
knowin ^nn+++??+=knowin'
' ^zz++++=EXTRAWORD
and ^cc++++=and
provin ^nn+++??+=provin'
' ^zz++++=EXTRAWORD
is ^vbz+bez+vrb++=is
two ^cd++++=two
separate ^jj+atrb+++=separate
horses ^nns++++=horses.
. ^zz++++=EXTRAWORD
The ^ati++++=The
law ^nn++++=law
would ^md+prd+++=would
climb ^vb++++=climb
onto ^in++++=onto
one ^cd1++++=one
and ^cc++++=and
justice ^nn++++=justice
onto ^in++++=onto
the ^ati++++=the
other ^ap++++=other,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Blacklock ^np+++??+=Blacklock
would ^md+prd+++=would
slap ^vb++++=slap
both ^abx++++=both
behind ^in+pl+++=behind
and ^cc++++=and
watch ^nn++++=watch
them ^pp3o+pp3+++0='em
run ^vbd+++xvbn+=run
opposite ^jj+atrb+++=opposite
ways ^nns++++=ways.
. ^zz++++=EXTRAWORD
" ^zz++++="Finally
finally ^rb++++=EXTRAWORD
Colonel ^npt++++=Colonel
Jim ^np++++=Jim
calls ^nns++++=calls
him ^pp3o+pp3+++=him
into ^in++++=into
the ^ati++++=the
office ^nn++++=office.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
was ^vbd+bedz+vrb++=was
there ^rn+pl+++=there,
, ^zz++++=EXTRAWORD
for ^in++++=for
I ^pp1a+pp1+++=I
was ^vbd+bedz+vrb++=was
teamin ^nn+++??+=teamin'
' ^zz++++=EXTRAWORD
ore ^nn++++=ore
and ^cc++++=and
had ^vbd+hvd+aux++=had
come ^vprf+++xvbn+=come
in ^in++++=in
to ^to++++=to
collect ^vbi++++=collect
seventy ^cd++++=seventy-six
- ^zz++++=EXTRAWORD
six ^cd++++=EXTRAWORD
dollars ^nns++++=dollars,
, ^zz++++=EXTRAWORD
which ^whp+rel+obj++=which
the ^ati++++=the
company ^nn++++=company
treasured ^vbd+++xvbn+=treasured
so ^ql+emph+++=so
affectionate ^jj++++=affectionate
they ^pp3a+pp3+++=they
could ^md+pos+++=couldn't
n't ^xnot++not++0=EXTRAWORD
bear ^vb+vprv+++=bear
to ^to+vcmp+++=to
part ^vb++++=part
with ^in+ppvb+++=with
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
" ^zz++++="'Blacklock,'
' ^zz++++=EXTRAWORD
blacklock ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
says ^vbz+vpub+++=says
the ^ati++++=the
colonel ^nn++++=colonel,
, ^zz++++=EXTRAWORD
' ^zz++++='I
i ^pp1a+pp1+++=EXTRAWORD
can ^md+pos+++=can't
n't ^xnot++not++0=EXTRAWORD
hang ^vb++++=hang
you ^pp2+pp2+++=you
legal ^jj++++=legal,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I'm
'm ^vb+bem+vrb++0=EXTRAWORD
too ^ql++++=too
busy ^jj++++=busy
to ^to++++=to
hang ^vbi++++=hang
you ^pp2+pp2+++=you
informal ^jj++++=informal.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
you ^pp2+pp2+++=you're
're ^vb+ber+vrb++0=EXTRAWORD
through ^in++++=through
in ^in++++=in
Prosperity ^nn+nom+++=Prosperity.'
. ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
" ^zz++++="Cock-eye
cock ^nn++++=EXTRAWORD
- ^zz++++=EXTRAWORD
eye ^nn++++=EXTRAWORD
leans ^vbz++++=leans
against ^in++++=against
the ^ati++++=the
wall ^nn++++=wall.
. ^zz++++=EXTRAWORD
One ^cd1++++=One
eye ^nn++++=eye
studies ^nns++++=studies
the ^ati++++=the
colonel ^nn++++=colonel
and ^cc++++=and
the ^ati++++=the
other ^ap++++=other
examines ^vbz++++=examines
a ^at++++=a
calendar ^nn++++=calendar.
. ^zz++++=EXTRAWORD
" ^zz++++="'What
' ^zz++++=EXTRAWORD
what ^wdt+who+++=EXTRAWORD
for ^in+strn+++=for?'
? ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
says ^vbz+vpub+tht0++=says
he ^pp3a+pp3+++=he.
. ^zz++++=EXTRAWORD
" ^zz++++="'For
' ^zz++++=EXTRAWORD
for ^in++++=EXTRAWORD
bein ^nn+++??+=bein'
' ^zz++++=EXTRAWORD
a ^at++++=a
plague ^nn++++=plague,
, ^zz++++=EXTRAWORD
a ^at++++=a
scandal ^nn++++=scandal,
, ^zz++++=EXTRAWORD
a ^at++++=a
public ^jj+atrb+++=public
expense ^nn++++=expense,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
general ^jj+atrb+++=general
misapplication ^nn+nom+++=misapplication
of ^in++++=of
meat ^nn++++=meat,'
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
says ^vbz+vpub+++=says
Colonel ^npt++++=Colonel
Jim ^np++++=Jim.
. ^zz++++=EXTRAWORD
" ^zz++++="'That
' ^zz++++=EXTRAWORD
that ^dt+dem+++=EXTRAWORD
ai ^nn+be+++=ain't
n't ^xnot++not++0=EXTRAWORD
law ^nn++++=law,'
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
says ^vbz+vpub+++=says
Blacklock ^np+++??+=Blacklock.
. ^zz++++=EXTRAWORD
" ^zz++++="'No,'
' ^zz++++=EXTRAWORD
no ^at++++=EXTRAWORD
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
says ^vbz+vpub+++=says
the ^ati++++=the
colonel ^nn++++=colonel.
. ^zz++++=EXTRAWORD
' ^zz++++='It's
it ^pp3+it+++=EXTRAWORD
's ^vbz+bez+vrb++0=EXTRAWORD
mining ^nn++++=mining
regulations ^nns+nom+++=regulations.'
. ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
" ^zz++++="Then
then ^rn+tm+++=EXTRAWORD
he ^pp3a+pp3+++=he
gives ^vbz++++=gives
Cock ^nn++++=Cock-eye
- ^zz++++=EXTRAWORD
eye ^nn++++=EXTRAWORD
till ^in++++=till
sundown ^nn++++=sundown
to ^to++++=to
move ^vbi++++=move
outen ^vbd+++xvbn+=outen
camp ^npl++++=camp.
. ^zz++++=EXTRAWORD
Blacklock ^np+++??+=Blacklock
argued ^vwbn+vpub++xvbn+=argued
some ^dti++++=some,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
eight ^cd++++=eight
men ^nns++++=men
gathered ^vbd+++xvbn+=gathered
outside ^jjb++++=outside
with ^in++++=with
rifles ^nns++++=rifles,
, ^zz++++=EXTRAWORD
all ^abn++++=all
persuaded ^jj+++xvbn+=persuaded
in ^in++++=in
the ^ati++++=the
same ^ap++++=same
direction ^nn+nom+++=direction.
. ^zz++++=EXTRAWORD
So ^ql++++=So
he ^pp3a+pp3+++=he
loaded ^vbd+++xvbnx+=loaded
his ^pp$+pp3+++=his
blankets ^nns++++=blankets,
, ^zz++++=EXTRAWORD
two ^cd++++=two
fryin ^nn+++??+=fryin'
' ^zz++++=EXTRAWORD
pans ^nns++++=pans
of ^in++++=of
doubtful ^jj+atrb+++=doubtful
ownership ^nn+nom+++=ownership,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
spotted ^jj+atrb++xvbn+=spotted
deck ^nn++++=deck
of ^in++++=of
cards ^nns++++=cards
onto ^in++++=onto
his ^pp$+pp3+++=his
mule ^nn++++=mule
and ^cc++++=and
departed ^vbd+++xvbn+=departed
up ^rp++++=up
the ^ati++++=the
river ^nn++++=river."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Five ^cd++++=Five
miles ^nns++++=miles
above ^jjb+atrb+++=above
Prosperity ^nn+nom+++=Prosperity
the ^ati++++=the
gorge ^nn++++=gorge
opened ^vbd+++xvbn+=opened
into ^in++++=into
a ^at++++=a
high ^jj+atrb+++=high
meadow ^nn++++=meadow,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
there ^rn+pl+++=there
Blacklock ^np+++??+=Blacklock
established ^vbd+vprv++xvbn+=established
himself ^ppl+pp3+++=himself
in ^in++++=in
an ^at++++=an
abandoned ^jj+atrb++xvbn+=abandoned
trapper ^nn++++=trapper's
's ^$++++=EXTRAWORD
cabin ^nn++++=cabin.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+vrb++=was
out ^rp+pl+++=out
of ^in++++=of
the ^ati++++=the
camp ^nn++++=camp,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
not ^xnot++not++=not
out ^rp+pl+++=out
of ^in++++=of
communication ^nn+nom+++=communication
with ^in++++=with
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
came ^vbd+++xvbnx+=came
down ^in++++=down
every ^at++++=every
few ^ap++++=few
days ^nns++++=days
to ^to++++=to
buy ^vbi++++=buy
flour ^nn++++=flour,
, ^zz++++=EXTRAWORD
coffee ^nn++++=coffee,
, ^zz++++=EXTRAWORD
cartridges ^nns+++??+=cartridges,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
expensive ^jj+atrb+++=expensive
cigars ^nns++++=cigars.
. ^zz++++=EXTRAWORD
Since ^cs+sub+++=Since
he ^pp3a+pp3+++=he
was ^vbd+bedz+aux++=was
known ^vpsv++agls+xvbnx+=known
not ^xnot++not++=not
to ^in++++=to
work ^nn++++=work,
, ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
prosperity ^nn+nom+++=prosperity
attracted ^vbd+++xvbn+=attracted
attention ^nn+nom+++=attention.
. ^zz++++=EXTRAWORD
" ^zz++++="No
no ^at++++=EXTRAWORD
honest ^jj+atrb+++=honest
man ^nn++++=man
could ^md+pos+++=could
live ^vb++++=live
up ^rp++++=up
there ^rn+pl+++=there
on ^rp++++=on
the ^ati++++=the
scenery ^nn+nom+++=scenery,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Bunt ^np+++??+=Bunt
said ^vbd+vpub++xvbn+=said.
. ^zz++++=EXTRAWORD
" ^zz++++="It
it ^pp3+it+++=EXTRAWORD
was ^vbd+bedz+vrb++=was
handsome ^jj+atrb+++=handsome
scenery ^nn+nom+++=scenery,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
it ^pp3+it+++=it
lacked ^vbd+++xvbn+=lacked
nutrition ^nn+nom+++=nutrition.
. ^zz++++=EXTRAWORD
Yet ^rb++++=Yet
Cock ^nn++++=Cock-eye
- ^zz++++=EXTRAWORD
eye ^nn++++=EXTRAWORD
kept ^vbd+++xvbn+=kept
fat ^nn++++=fat.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++0=He'd
'd ^md+prd+aux++=EXTRAWORD
come ^vprf+++xvbn+=come
into ^in+ppvb+++=into
the ^ati++++=the
store ^nn++++=store
with ^in++++=with
gold ^nn++++=gold
pieces ^nns++++=pieces
when ^wrb+who+++=when
everybody ^pn++++=everybody
knowed ^vbd+++xvbn+=knowed
the ^ati++++=the
last ^rb++++=last
dust ^nn++++=dust
he ^pp3a+pp3+++=he
owned ^vbd+++xvbnx+=owned
had ^vbd+hvd+aux++=had
departed ^vprf+++xvbnx+=departed
in ^in++++=in
a ^at++++=a
poker ^nn++++=poker
game ^nn++++=game.
. ^zz++++=EXTRAWORD
Colonel ^npt++++=Colonel
Jim ^np++++=Jim
says ^vbz+vpub+++=says
to ^to+vcmp+++=to
me ^pp1o+pp1+++=me,
, ^zz++++=EXTRAWORD
' ^zz++++='Bunt,
bunt ^jj+++xvbn+=EXTRAWORD
, ^zz++++=EXTRAWORD
that ^dt+dem+++=that
reptile ^nn+++??+=reptile's
's ^$++++=EXTRAWORD
found ^vbd+vprv++xvbn+=found
some ^dti++++=some
new ^jj+atrb+++=new
villainy ^nn+++??+=villainy.'
. ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
" ^zz++++="'Likely,'
' ^zz++++=EXTRAWORD
likely ^jj++++=EXTRAWORD
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
says ^vbz+vpub+tht0++=says
I ^pp1a+pp1+++=I.
. ^zz++++=EXTRAWORD
' ^zz++++='He's
he ^pp3a+pp3+++=EXTRAWORD
's ^vbz+bez+aux++0=EXTRAWORD
got ^vpsv++agls+xvbnx+=got
a ^at++++=a
genius ^nn++++=genius
