Vienna ^np++++=VIENNA,
: ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
should ^md+nec+++=should
have ^vb+hv+aux++=have
applied ^vprf+++xvbnx+=applied
it ^pp3+it+++=it
further ^jjb++++=further.
. ^zz++++=EXTRAWORD
Instead ^rb+cnj+++=Instead
of ^in++++=of
clothing ^nn++++=clothing
our ^pp$+pp1+++=our
admirals ^nns+nom+++=admirals
and ^cc++++=and
generals ^nns+nom+++=generals,
, ^zz++++=EXTRAWORD
for ^in++++=for
courts ^nns++++=courts-martial
- ^zz++++=EXTRAWORD
martial ^jj++++=EXTRAWORD
and ^cc++++=and
other ^ap++++=other
public ^jj+atrb+++=public
functions ^nns+nom+++=functions,
, ^zz++++=EXTRAWORD
in ^in++++=in
superb ^jj+atrb+++=superb
dress ^nn++++=dress
uniforms ^nns++++=uniforms
blazing ^jj++++=blazing
with ^in++++=with
colour ^nn++++=colour
and ^cc++++=and
gold ^nn++++=gold,
, ^zz++++=EXTRAWORD
the ^ati++++=the
Government ^nn+nom+++=Government
would ^md+prd+++=would
put ^vb+++xvbn+=put
them ^pp3o+pp3+++=them
in ^in++++=in
swallow ^vb++++=swallow-tails
- ^zz++++=EXTRAWORD
tails ^vbz++++=EXTRAWORD
and ^cc++++=and
white ^jj+atrb+++=white
cravats ^nns+++??+=cravats,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
make ^vb++++=make
them ^pp3o+pp3+++=them
look ^vb++++=look
like ^in++++=like
ambassadors ^npt++++=ambassadors
and ^cc++++=and
lackeys ^nns+++??+=lackeys.
. ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
I ^pp1a+pp1+++=I
am ^vb+bem+vrb++=am
wrong ^jj+pred+++=wrong
in ^in++++=in
making ^xvbg+++xvbg+=making
Franklin ^np++++=Franklin
the ^ati++++=the
father ^nn++++=father
of ^in++++=of
our ^pp$+pp1+++=our
curious ^jj+atrb+++=curious
official ^jj+atrb+++=official
clothes ^nns++++=clothes,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
no ^at++++=no
matter ^nn++++=matter--he
-- ^--+clp+++=EXTRAWORD
he ^pp3a+pp3+++=EXTRAWORD
will ^md+prd+++=will
be ^vb+be+vrb++=be
able ^jj++pmd"++=able
to ^to+jcmp+pmd++=to
stand ^vb++++=stand
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
is ^vbz+bez+vrb++=is
my ^pp$+pp1+++=my
opinion ^nn++++=opinion--and
-- ^--+clp+++=EXTRAWORD
and ^cc+cls+++=EXTRAWORD
I ^pp1a+pp1+++=I
make ^vb++++=make
no ^at++++=no
charge ^nn++++=charge
for ^in++++=for
the ^ati++++=the
suggestion ^nn+nom+++=suggestion--that,
-- ^--+clp+++=EXTRAWORD
that ^dt+pdem+++=EXTRAWORD
, ^zz++++=EXTRAWORD
whenever ^nn+nom+++=whenever
we ^pp1a+pp1+++=we
appoint ^vb++++=appoint
an ^at++++=an
ambassador ^nn++++=ambassador
or ^cc++++=or
a ^at++++=a
minister ^nn+nom+++=minister,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
ought ^md"+nec+pmd"++=ought
to ^md+nec+++=to
confer ^vb++++=confer
upon ^in++++=upon
him ^pp3o+pp3+++=him
the ^ati++++=the
temporary ^jj+atrb+++=temporary
rank ^nn++++=rank
of ^in++++=of
admiral ^nn++++=admiral
or ^cc++++=or
general ^jj++++=general,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
allow ^vb++++=allow
him ^pp3o+pp3+++=him
to ^to++++=to
wear ^vbi++++=wear
the ^ati++++=the
corresponding ^jj+atrb++xvbg+=corresponding
uniform ^nn++++=uniform
at ^rb++++=at
public ^jj+atrb+++=public
functions ^nns+nom+++=functions
in ^in++++=in
foreign ^jj+atrb+++=foreign
countries ^nns++++=countries.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
would ^md+prd+++=would
recommend ^vb+vsua+++=recommend
this ^dt+dem+++=this
for ^in++++=for
the ^ati++++=the
reason ^nn++++=reason
that ^tht+ncmp+++=that
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
not ^xnot++not++=not
consonant ^nn+nom+++=consonant
with ^in++++=with
the ^ati++++=the
dignity ^nn+nom+++=dignity
of ^in++++=of
the ^ati++++=the
United ^np++++=United
States ^nns++++=States
of ^in++++=of
America ^np++++=America
that ^tht+rel+obj++=that
her ^pp3o+pp3+++=her
representative ^npt++++=representative
should ^md+nec+++=should
appear ^vb+seem+++=appear
upon ^in++++=upon
occasions ^nns++++=occasions
of ^in++++=of
state ^nn++++=state
in ^in++++=in
a ^at++++=a
dress ^nn++++=dress
which ^whp+rel+subj++=which
makes ^vbz++++=makes
him ^pp3o+pp3+++=him
glaringly ^rb++++=glaringly
conspicuous ^jj++++=conspicuous;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
that ^dt+pdem+++=that
is ^vbz+bez+vrb++=is
what ^wdt+who+++=what
his ^pp$+pp3+++=his
present ^jj+atrb+++=present
undertaker ^nn+nom+++=undertaker-outfit
- ^zz++++=EXTRAWORD
outfit ^nn++++=EXTRAWORD
does ^vbz+doz+vrb++=does
when ^wrb+who+++=when
it ^pp3+it+++=it
appears ^vbz+seem+++=appears,
, ^zz++++=EXTRAWORD
with ^in++++=with
its ^pp$+it+++=its
dismal ^jj+atrb+++=dismal
smudge ^nn+++??+=smudge,
, ^zz++++=EXTRAWORD
in ^in++++=in
the ^ati++++=the
midst ^nn++++=midst
of ^in++++=of
the ^ati++++=the
butterfly ^nn++++=butterfly
splendours ^nns++++=splendours
of ^in++++=of
a ^at++++=a
Continental ^jj+atrb+++=Continental
court ^nn++++=court.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
is ^vbz+bez+vrb++=is
a ^at++++=a
most ^ql+emph+++=most
trying ^jj+atrb++xvbg+=trying
position ^nn+nom+++=position
for ^in++++=for
a ^at++++=a
shy ^jj+atrb+++=shy
man ^nn++++=man,
, ^zz++++=EXTRAWORD
a ^at++++=a
modest ^jj+atrb+++=modest
man ^nn++++=man,
, ^zz++++=EXTRAWORD
a ^at++++=a
man ^nn++++=man
accustomed ^vbd+++xvbn+=accustomed
to ^in++++=to
being ^nn++++=being
like ^in++++=like
other ^ap++++=other
people ^nns++++=people.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
is ^vbz+bez+vrb++=is
the ^ati++++=the
most ^ql+emph+++=most
striking ^jj+atrb++xvbg+=striking
figure ^nn++++=figure
present ^nn++++=present;
; ^zz++++=EXTRAWORD
there ^ex+pex+++=there
is ^vbz+bez+vrb++=is
no ^at++++=no
hiding ^nn++++=hiding
from ^in++++=from
the ^ati++++=the
multitudinous ^jj+atrb+++=multitudinous
eyes ^nns++++=eyes.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
would ^md+prd+++=would
be ^vb+be+vrb++=be
funny ^jj+pred+++=funny,
, ^zz++++=EXTRAWORD
if ^cs+cnd+++=if
it ^pp3+it+++=it
were ^vbd+bed+vrb++=were
not ^xnot++not++=not
such ^abl++++=such
a ^at++++=a
cruel ^jj+atrb+++=cruel
spectacle ^nn++++=spectacle,
, ^zz++++=EXTRAWORD
to ^to++++=to
see ^vbi+vprv+++=see
the ^ati++++=the
hunted ^jj+atrb++xvbn+=hunted
creature ^nn++++=creature
in ^in++++=in
his ^pp$+pp3+++=his
solemn ^jj+atrb+++=solemn
sables ^nns+++??+=sables
scuffling ^vwbg+++xvbg+=scuffling
around ^rb++++=around
in ^cs+sub+++=in
that ^cs"++++=that
sea ^nn++++=sea
of ^in++++=of
vivid ^jj+atrb+++=vivid
colour ^nn++++=colour,
, ^zz++++=EXTRAWORD
like ^in++++=like
a ^at++++=a
mislaid ^nn+++??+=mislaid
Presbyterian ^jj++++=Presbyterian
in ^in++++=in
perdition ^nn+nom+++=perdition.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
are ^vb+ber+vrb++=are
all ^abn++++=all
aware ^jj++++=aware
that ^tht+jcmp+++=that
our ^pp$+pp1+++=our
representative ^jj+atrb+++=representative's
's ^vbz+bez+aux++0=EXTRAWORD
dress ^nn++++=dress
should ^md+nec+++=should
not ^xnot++not++=not
compel ^vb++++=compel
too ^ql++++=too
much ^ap++++=much
attention ^nn+nom+++=attention;
; ^zz++++=EXTRAWORD
for ^in++++=for
anybody ^pn++++=anybody
but ^cc++++=but
an ^at++++=an
Indian ^jj++++=Indian
chief ^jjb++++=chief
knows ^vbz+vprv+++=knows
that ^tht+vcmp+++=that
that ^dt+pdem+++=that
is ^vbz+bez+vrb++=is
a ^at++++=a
vulgarity ^nn+nom+++=vulgarity.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
am ^vb+bem+aux++=am
saying ^vbg+++xvbgx+=saying
these ^dt+dem+++=these
things ^nns++++=things
in ^in++++=in
the ^ati++++=the
interest ^nn++++=interest
of ^in++++=of
our ^pp$+pp1+++=our
national ^jj+atrb+++=national
pride ^nn++++=pride
and ^cc++++=and
dignity ^nn+nom+++=dignity.
. ^zz++++=EXTRAWORD
Our ^pp$+pp1+++=Our
representative ^nn++++=representative
is ^vbz+bez+vrb++=is
the ^ati++++=the
flag ^nn++++=flag.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
is ^vbz+bez+vrb++=is
the ^ati++++=the
Republic ^nn++++=Republic.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
is ^vbz+bez+vrb++=is
the ^ati++++=the
United ^np++++=United
States ^nns++++=States
of ^in++++=of
America ^np++++=America.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
when ^wrb+who+++=when
these ^dt+dem+++=these
embodiments ^nns+nom+++=embodiments
pass ^vb++++=pass
by ^in+strn+++=by,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
do ^vb+do+aux++=do
not ^xnot++not++=not
want ^vb++++=want
them ^pp3o+pp3+++=them
scoffed ^vbd+++xvbn+=scoffed
at ^in+strn+++=at;
; ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
desire ^nn++++=desire
that ^tht+rel+obj++=that
people ^nns++++=people
shall ^md+prd+++=shall
be ^vb+be+aux++=be
obliged ^jj++agls+xvbnx+=obliged
to ^to+jcmp+++=to
concede ^vbi+vsua+++=concede
that ^tht+vcmp+++=that
they ^pp3a+pp3+++=they
are ^vb+ber+vrb++=are
worthily ^jj++++=worthily
clothed ^jj+++xvbn+=clothed,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
politely ^rb++++=politely.
. ^zz++++=EXTRAWORD
Our ^pp$+pp1+++=Our
Government ^nn+nom+++=Government
is ^vbz+bez+vrb++=is
oddly ^rb++++=oddly
inconsistent ^jj+pred+++=inconsistent
in ^in++++=in
this ^dt+dem+++=this
matter ^nn++++=matter
of ^in++++=of
official ^jj+atrb+++=official
dress ^nn++++=dress.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
its ^pp$+it+++=its
representative ^nn++++=representative
is ^vbz+bez+vrb++=is
a ^at++++=a
civilian ^nn++++=civilian
who ^whp+rel+subj++=who
has ^vbz+hvz+aux++=has
not ^xnot++not++=not
been ^vprf+ben+vrb+xvbn+=been
a ^at++++=a
solider ^jjr++++=solider,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
restricts ^vbz++++=restricts
him ^pp3o+pp3+++=him
to ^in++++=to
the ^ati++++=the
black ^nn++++=black
swallow ^vb++++=swallow-tail
- ^zz++++=EXTRAWORD
tail ^nn++++=EXTRAWORD
and ^cc++++=and
white ^jj+atrb+++=white
tie ^nn++++=tie;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
if ^cs+cnd+++=if
he ^pp3a+pp3+++=he
is ^vbz+bez+vrb++=is
a ^at++++=a
civilian ^nn++++=civilian
who ^whp+rel+subj++=who
has ^vbz+hvz+aux++=has
been ^vprf+ben+vrb+xvbnx+=been
a ^at++++=a
solider ^jjr++++=solider,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
allows ^vbz++++=allows
him ^pp3o+pp3+++=him
to ^to++++=to
wear ^vbi++++=wear
the ^ati++++=the
uniform ^nn++++=uniform
of ^in++++=of
his ^pp$+pp3+++=his
former ^ap++++=former
rank ^nn++++=rank
as ^ql++++=as
an ^at++++=an
official ^jj+atrb+++=official
dress ^nn++++=dress.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
General ^jj+atrb+++=General
Sickles ^np+++??+=Sickles
was ^vbd+bedz+vrb++=was
minister ^npt+nom+++=minister
to ^in++++=to
Spain ^np++++=Spain,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
always ^rb++++=always
wore ^vbd+++xvbn+=wore,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
on ^in++++=on
official ^jj+atrb+++=official
duty ^nn++++=duty,
, ^zz++++=EXTRAWORD
the ^ati++++=the
dress ^nn++++=dress
uniform ^nn++++=uniform
of ^in++++=of
a ^at++++=a
major ^jj++++=major-general.
- ^zz++++=EXTRAWORD
general ^jj++++=EXTRAWORD
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
General ^jj+atrb+++=General
Grant ^np++++=Grant
visited ^vbd+++xvbn+=visited
foreign ^jj+atrb+++=foreign
courts ^nns++++=courts,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
went ^vbd+++xvbnx+=went
handsomely ^rb++++=handsomely
and ^cc+phrs+++=and
properly ^rb++++=properly
ablaze ^nn+++??+=ablaze
in ^in++++=in
the ^ati++++=the
uniform ^nn++++=uniform
of ^in++++=of
a ^at++++=a
full ^jj++++=full
general ^jj++++=general,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
was ^vbd+bedz+aux++=was
introduced ^vpsv++by+xvbnx+=introduced
by ^in++++=by
diplomatic ^jj+atrb+++=diplomatic
survivals ^nns+nom+++=survivals
of ^in++++=of
his ^pp$+pp3+++=his
own ^ap++++=own
Presidential ^jj+atrb+++=Presidential
Administration ^nn+nom+++=Administration.
. ^zz++++=EXTRAWORD
The ^ati++++=The
latter ^ap++++=latter,
, ^zz++++=EXTRAWORD
by ^in++++=by
official ^jj+atrb+++=official
necessity ^nn+nom+++=necessity,
, ^zz++++=EXTRAWORD
went ^j+++xvbn+=went
in ^in++++=in
the ^ati++++=the
meek ^jj+atrb+++=meek
and ^cc+phrs+++=and
lowly ^jj+atrb+++=lowly
swallow-tail ^nn+++??+=swallow-tail--a
-- ^--+clp+++=EXTRAWORD
a ^at++++=EXTRAWORD
deliciously ^rb++++=deliciously
sarcastic ^jj+atrb+++=sarcastic
contrast ^nn++++=contrast:
: ^zz++++=EXTRAWORD
the ^ati++++=the
one ^cd1++++=one
dress ^nn++++=dress
representing ^vwbg+++xvbg+=representing
the ^ati++++=the
honest ^jj+atrb+++=honest
and ^cc+phrs+++=and
honourable ^jj+atrb+++=honourable
dignity ^nn+nom+++=dignity
of ^in++++=of
the ^ati++++=the
nation ^nn++++=nation;
; ^zz++++=EXTRAWORD
the ^ati++++=the
other ^ap++++=other,
, ^zz++++=EXTRAWORD
the ^ati++++=the
cheap ^jj+atrb+++=cheap
hypocrisy ^nn++++=hypocrisy
of ^in++++=of
the ^ati++++=the
Republican ^jj+atrb+++=Republican
Simplicity ^nn+nom+++=Simplicity
tradition ^nn+nom+++=tradition.
. ^zz++++=EXTRAWORD
In ^in++++=In
Paris ^np++++=Paris
our ^pp$+pp1+++=our
present ^vb++++=present
representative ^nn++++=representative
can ^md+pos+++=can
perform ^vb++++=perform
his ^pp$+pp3+++=his
official ^jj+atrb+++=official
functions ^nns+nom+++=functions
reputably ^jj++++=reputably
clothed ^jj+++xvbn+=clothed;
; ^zz++++=EXTRAWORD
for ^in++++=for
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
an ^at++++=an
officer ^nn++++=officer
in ^in++++=in
the ^ati++++=the
Civil ^jj+atrb+++=Civil
War ^nn++++=War.
. ^zz++++=EXTRAWORD
In ^in++++=In
London ^np++++=London
our ^pp$+pp1+++=our
late ^jj+atrb+++=late
ambassador ^nn++++=ambassador
was ^vbd+bedz+aux++=was
similarly ^rb+cnj+splt++=similarly
situated ^vpsv++agls+xvbnx+=situated;
; ^zz++++=EXTRAWORD
for ^in++++=for
he ^pp3a+pp3+++=he,
, ^zz++++=EXTRAWORD
also ^rb+cnj+++=also,
, ^zz++++=EXTRAWORD
was ^vbd+bedz+vrb++=was
an ^at++++=an
officer ^nn++++=officer
in ^in++++=in
the ^ati++++=the
Civil ^jj+atrb+++=Civil
War ^nn++++=War.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Choate ^np++++=Choate
must ^md+nec+++=must
represent ^vb++++=represent
the ^ati++++=the
Great ^jj+atrb+++=Great
Republic ^nn++++=Republic--even
-- ^--+clp+++=EXTRAWORD
even ^rb++++=EXTRAWORD
at ^rb++++=at
official ^jj+atrb+++=official
breakfasts ^nns++++=breakfasts
at ^in++++=at
seven ^cd++++=seven
in ^in++++=in
the ^ati++++=the
morning ^nn++++=morning--in
-- ^--+clp+++=EXTRAWORD
in ^cs+sub+++=EXTRAWORD
that ^cs"++++=that
same ^ap++++=same
old ^jj++++=old
funny ^jj++++=funny
swallow ^vb++++=swallow-tail.
- ^zz++++=EXTRAWORD
tail ^nn++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Our ^pp$+pp1+++=Our
Government ^np+nom+++=Government's
's ^$++++=EXTRAWORD
notions ^nns+nom+++=notions
about ^in++++=about
proprieties ^nns+++??+=proprieties
of ^in++++=of
costume ^nn++++=costume
are ^vb+ber+vrb++=are
indeed ^qlp++++=indeed
very ^ap+amp+++=very,
, ^zz++++=EXTRAWORD
very ^ql+amp+++=very
odd ^jj++++=odd--as
-- ^--+clp+++=EXTRAWORD
as ^in++++=EXTRAWORD
suggested ^nn++++=suggested
by ^in++++=by
that ^dt+dem+++=that
last ^rb++++=last
fact ^nn++++=fact.
. ^zz++++=EXTRAWORD
The ^ati++++=The
swallow ^vb++++=swallow-tail
- ^zz++++=EXTRAWORD
tail ^nn++++=EXTRAWORD
is ^vbz+bez+aux++=is
recognised ^vpsv++agls+xvbnx+=recognised
the ^ati++++=the
world ^nn++++=world
over ^in++++=over
as ^ql++++=as
not ^xnot++not++=not
wearable ^jj++++=wearable
in ^in++++=in
the ^ati++++=the
daytime ^nn++++=daytime;
; ^zz++++=EXTRAWORD
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
a ^at++++=a
night ^nn++++=night-dress,
- ^zz++++=EXTRAWORD
dress ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
night ^nn++++=night-dress
- ^zz++++=EXTRAWORD
dress ^nn++++=EXTRAWORD
only ^rb+down+++=only--a
-- ^--+clp+++=EXTRAWORD
a ^at++++=EXTRAWORD
night ^nn++++=night-shirt
- ^zz++++=EXTRAWORD
shirt ^nn++++=EXTRAWORD
is ^vbz+bez+vrb++=is
not ^xnot++not++=not
more ^rbr++++=more
so ^rb++++=so.
. ^zz++++=EXTRAWORD
Yet ^rb+cnj+++=Yet,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
our ^pp$+pp1+++=our
representative ^nn++++=representative
makes ^vbz++++=makes
an ^at++++=an
official ^nn++++=official
visit ^vb++++=visit
in ^in++++=in
the ^ati++++=the
morning ^nn++++=morning,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
is ^vbz+bez+aux++=is
obliged ^vpsv++by+xvbnx+=obliged
by ^in++++=by
his ^pp$+pp3+++=his
Government ^nn+nom+++=Government
to ^to++++=to
go ^vbi++++=go
in ^cs+sub+++=in
that ^cs"++++=that
night ^nn++++=night-dress.
- ^zz++++=EXTRAWORD
dress ^nn++++=EXTRAWORD
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
makes ^vbz++++=makes
the ^ati++++=the
very ^ap+amp+++=very
cab ^nn++++=cab-horses
- ^zz++++=EXTRAWORD
horses ^nns++++=EXTRAWORD
laugh ^nn++++=laugh.
. ^zz++++=EXTRAWORD
The ^ati++++=The
truth ^nn++++=truth
is ^vbz+bez+vrb++=is,
, ^zz++++=EXTRAWORD
that ^dt+dem+++=that
for ^in++++=for
awhile ^rb++++=awhile
during ^in++++=during
the ^ati++++=the
present ^jj+atrb+++=present
century ^nn++++=century,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
up ^in+cmpx+++=up
to ^in"++++=to
something ^pn++++=something
short ^jj++++=short
of ^in++++=of
forty ^cd++++=forty
years ^nns++++=years
ago ^rb+cnj+++=ago,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
had ^vb+hv+vrb++=had
a ^at++++=a
lucid ^jj+atrb+++=lucid
interval ^nn+nom+++=interval,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
dropped ^vbd+++xvbn+=dropped
the ^ati++++=the
Republican ^jj+atrb+++=Republican
Simplicity ^nn+nom+++=Simplicity
sham ^nn++++=sham,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
dressed ^vbd+++xvbn+=dressed
our ^pp$+pp1+++=our
foreign ^jj+atrb+++=foreign
representatives ^nns++++=representatives
in ^in++++=in
a ^at++++=a
handsome ^jj++++=handsome
and ^cc+phrs+++=and
becoming ^jj+atrb++xvbg+=becoming
official ^jj+atrb+++=official
costume ^nn++++=costume.
. ^zz++++=EXTRAWORD
This ^dt+pdem+++=This
was ^vbd+bedz+aux++=was
discarded ^vpsv++by+xvbnx+=discarded
by ^in++++=by-and-by,
- ^zz++++=EXTRAWORD
and ^cc++++=EXTRAWORD
- ^zz++++=EXTRAWORD
by ^in+strn+++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
swallow ^vb++++=swallow-tail
- ^zz++++=EXTRAWORD
tail ^nn++++=EXTRAWORD
substituted ^vwbn+++xvbn+=substituted.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
believe ^vb+vprv+tht0++=believe
it ^pp3+it+++=it
is ^vbz+bez+aux++=is
not ^xnot++not++=not
now ^rn+tm+++=now
known ^vprf+++xvbn+=known
which ^wdt+who+whcl++=which
statesman ^nn+nom+++=statesman
brought ^vbd+++xvbn+=brought
about ^rb+phrv+++=about
this ^dt+dem+++=this
change ^nn++++=change;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
we ^pp1a+pp1+++=we
all ^rb++++=all
know ^vb+vprv+tht0++=know
that ^tht+vcmp+++=that,
, ^zz++++=EXTRAWORD
stupid ^jj++++=stupid
as ^ql++++=as
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
as ^in++++=as
to ^in++++=to
diplomatic ^jj+atrb+++=diplomatic
proprieties ^nns+++??+=proprieties
in ^in++++=in
dress ^nn++++=dress,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
would ^md+prd+++=would
not ^xnot++not++=not
have ^vb+hv+aux++=have
sent ^vprf+++xvbnx+=sent
his ^pp$+pp3+++=his
daughter ^nn+nom+++=daughter
to ^in++++=to
a ^at++++=a
state ^nn++++=state
ball ^nn++++=ball
in ^in++++=in
a ^at++++=a
corn ^nn++++=corn-shucking
- ^zz++++=EXTRAWORD
shucking ^jj+atrb++xvbg+=EXTRAWORD
costume ^nn++++=costume,
, ^zz++++=EXTRAWORD
nor ^cc+cls+neg++=nor
to ^in++++=to
a ^at++++=a
corn ^nn++++=corn-shucking
- ^zz++++=EXTRAWORD
shucking ^jj+++xvbg+=EXTRAWORD
in ^in++++=in
a ^at++++=a
state ^nn++++=state-ball
- ^zz++++=EXTRAWORD
ball ^nn++++=EXTRAWORD
costume ^nn++++=costume,
, ^zz++++=EXTRAWORD
to ^to++++=to
be ^vbi+vbi+aux++=be
harshly ^rb++splt++=harshly
criticised ^vpsv++agls+xvbnx+=criticised
as ^ql++++=as
an ^at++++=an
ill ^jj++++=ill-mannered
- ^zz++++=EXTRAWORD
mannered ^jj+atrb+++=EXTRAWORD
offender ^nn+nom+++=offender
against ^in++++=against
the ^ati++++=the
proprieties ^nns+++??+=proprieties
of ^in++++=of
custom ^nn++++=custom
in ^in++++=in
both ^abx++++=both
places ^nns++++=places.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
we ^pp1a+pp1+++=we
know ^vb+vprv+++=know
another ^dt++++=another
thing ^nn++++=thing,
, ^zz++++=EXTRAWORD
viz ^rb++++=viz.
. ^zz++++=EXTRAWORD
that ^tht+vcmp+++=that
he ^pp3a+pp3+++=he
himself ^ppl+pp3+++=himself
would ^md+prd+++=would
not ^xnot++not++=not
have ^vb+hv+aux++=have
wounded ^vprf+++xvbnx+=wounded
the ^ati++++=the
tastes ^nns++++=tastes
and ^cc++++=and
feelings ^nns+nom+++=feelings
of ^in++++=of
a ^at++++=a
family ^nn++++=family
of ^in++++=of
mourners ^nns+nom+++=mourners
by ^in++++=by
attending ^xvbg+++xvbg+=attending
a ^at++++=a
funeral ^nn++++=funeral
in ^in++++=in
their ^pp$+pp3+++=their
house ^nn++++=house
in ^in++++=in
a ^at++++=a
costume ^nn++++=costume
which ^whp+rel+subj++=which
was ^vbd+bedz+vrb++=was
an ^at++++=an
offence ^nn+nom+++=offence
against ^in++++=against
the ^ati++++=the
dignities ^nns+nom+++=dignities
and ^cc++++=and
decorum ^nn++++=decorum
prescribed ^vwbn+++xvbn+=prescribed
by ^in++++=by
tradition ^nn+nom+++=tradition
and ^cc++++=and
sanctified ^jj++++=sanctified
by ^in++++=by
custom ^nn++++=custom.
. ^zz++++=EXTRAWORD
Yet ^rb++++=Yet
that ^dt+dem+++=that
man ^nn++++=man
was ^vbd+bedz+vrb++=was
so ^ql+emph+++=so
heedless ^jj++++=heedless
as ^ql++++=as
not ^xnot++not++=not
to ^to++++=to
reflect ^vbi+vprv+++=reflect
that ^tht+vcmp+++=that
all ^abn++++=all
the ^ati++++=the
social ^jj+atrb+++=social
customs ^nns++++=customs
of ^in++++=of
civilised ^jj+atrb+++=civilised
peoples ^nns++++=peoples
are ^vb+ber+aux++=are
entitled ^vpsv++agls+xvbnx+=entitled
to ^in++++=to
respectful ^jj+atrb+++=respectful
observance ^nn+nom+++=observance,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
that ^tht+vcmp+++=that
no ^at++++=no
man ^nn++++=man
with ^in++++=with
a ^at++++=a
right ^jj+atrb+++=right
spirit ^nn++++=spirit
of ^in++++=of
courtesy ^nn++++=courtesy
in ^in++++=in
him ^pp3o+pp3+++=him
ever ^rb++++=ever
has ^vbz+hvz+vrb++=has
any ^dti++++=any
disposition ^nn+nom+++=disposition
to ^to++++=to
transgress ^nns+nom+++=transgress
these ^dt+dem+++=these
customs ^nns++++=customs.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
is ^vbz+bez+vrb++=is
still ^rb++++=still
another ^dt++++=another
argument ^nn+nom+++=argument
for ^in++++=for
a ^at++++=a
rational ^jj+atrb+++=rational
diplomatic ^jj+atrb+++=diplomatic
dress ^nn++++=dress--a
-- ^--+clp+++=EXTRAWORD
a ^at++++=EXTRAWORD
business ^nns+nom+++=business
argument ^nn+nom+++=argument.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
are ^vb+ber+vrb++=are
a ^at++++=a
trading ^jj+atrb++xvbg+=trading
nation ^nn++++=nation;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
our ^pp$+pp1+++=our
representative ^nn++++=representative
is ^vbz+bez+vrb++=is
a ^at++++=a
business ^nns+nom+++=business
agent ^nn++++=agent.
