He ^pp3a+pp3+++=He
window ^nn++++=window.
. ^zz++++=EXTRAWORD
Wonderful ^jj+atrb+++=Wonderful
thing ^nn++++=thing,
, ^zz++++=EXTRAWORD
Wilderspin ^np+++??+=Wilderspin,
, ^zz++++=EXTRAWORD
if ^cs+cnd+++=if
you ^pp2+pp2+++=you
come ^vb++++=come
to ^to++++=to
think ^vbi+vprv+++=think
of ^in++++=of
it ^pp3+it+++=it."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Yes,"
yes ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Wilderspin ^np+++??+=Wilderspin;
; ^zz++++=EXTRAWORD
" ^zz++++="isn't
is ^vbz+bez+vrb++=EXTRAWORD
n't ^xnot++not++0=EXTRAWORD
it ^pp3+it+++=it?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
A ^at++++=A
day ^nn++++=day
or ^cc++++=or
two ^cd++++=two
after ^in++++=after
this ^dt+dem+++=this
Bailey ^np++++=Bailey
had ^vb+hv+vrb++=had
a ^at++++=a
brilliant ^jj+atrb+++=brilliant
morning ^nn++++=morning.
. ^zz++++=EXTRAWORD
Indeed ^rb+cnj+++=Indeed,
, ^zz++++=EXTRAWORD
towards ^in++++=towards
the ^ati++++=the
end ^nn++++=end
of ^in++++=of
the ^ati++++=the
affair ^nn++++=affair,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
became ^vbd+++xvbn+=became
almost ^rb+hdg+++=almost
as ^in++++=as
exciting ^jj++++=exciting
as ^ql++++=as
any ^dti++++=any
window ^nn++++=window
show ^vb+vprv+++=show
very ^ql+amp+++=very
well ^rb++++=well
could ^md+pos+++=could
be ^vb+be+vrb++=be.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
will ^md+prd+++=will,
, ^zz++++=EXTRAWORD
however ^rb+cnj+++=however,
, ^zz++++=EXTRAWORD
begin ^vb++++=begin
at ^in++++=at
the ^ati++++=the
beginning ^nvbg+++xvbg+=beginning.
. ^zz++++=EXTRAWORD
Bailey ^np++++=Bailey
was ^vbd+bedz+vrb++=was
all ^abn++++=all
alone ^rb++++=alone
in ^in++++=in
the ^ati++++=the
house ^nn++++=house,
, ^zz++++=EXTRAWORD
for ^in++++=for
his ^pp$+pp3+++=his
housekeeper ^nn+nom+++=housekeeper
had ^vbd+hvd+aux++=had
gone ^vprf+++xvbnx+=gone
into ^in++++=into
the ^ati++++=the
town ^nn++++=town
three ^cd++++=three
miles ^nns++++=miles
away ^rp+pl+++=away
to ^to++++=to
pay ^vbi++++=pay
bills ^nns++++=bills,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
servant ^nn+nom+++=servant
had ^vb+hv+vrb++=had
her ^pp$+pp3+++=her
holiday ^nn++++=holiday.
. ^zz++++=EXTRAWORD
The ^ati++++=The
morning ^nn++++=morning
began ^vbd+++xvbn+=began
dull ^jj++++=dull.
. ^zz++++=EXTRAWORD
A ^at++++=A
canoe ^nn+++??+=canoe
went ^vbd+++xvbn+=went
up ^rp++++=up
about ^in++++=about
half ^abn++++=half-past
- ^zz++++=EXTRAWORD
past ^jjb++++=EXTRAWORD
nine ^cd++++=nine,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
later ^rbr+tm+++=later
a ^at++++=a
boat ^nn++++=boat-load
- ^zz++++=EXTRAWORD
load ^nn++++=EXTRAWORD
of ^in++++=of
camping ^xvbg+++xvbg+=camping
men ^nns++++=men
came ^vbd+++xvbn+=came
down ^rp++++=down.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
this ^dt+pdem+++=this
was ^vbd+bedz+vrb++=was
mere ^jjb+atrb+++=mere
margin ^nn++++=margin.
. ^zz++++=EXTRAWORD
Things ^nns++++=Things
became ^vbd+++xvbn+=became
cheerful ^jj++++=cheerful
about ^in++++=about
ten ^cd++++=ten
o ^zz++++=o'clock.
'clock. ^nn+++??+=EXTRAWORD
It ^pp3+it+++=It
began ^vbd+++xvbn+=began
with ^in++++=with
something ^pn++++=something
white ^jj++++=white
fluttering ^jj+++xvbg+=fluttering
in ^in++++=in
the ^ati++++=the
remote ^jj+atrb+++=remote
distance ^nn+nom+++=distance
where ^wrb+who+++=where
the ^ati++++=the
three ^cd++++=three
poplars ^vbz+++??+=poplars
marked ^vbd+++xvbn+=marked
the ^ati++++=the
river ^nn++++=river
bend ^nn++++=bend.
. ^zz++++=EXTRAWORD
" ^zz++++="Pocket-handkerchief,"
pocket ^nn++++=EXTRAWORD
- ^zz++++=EXTRAWORD
handkerchief ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Bailey ^np++++=Bailey,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
he ^pp3a+pp3+++=he
saw ^vbd+vprv+tht0+xvbnx+=saw
it ^pp3+it+++=it
" ^zz++++="No.
no ^at++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Too ^ql++++=Too
big ^jj++++=big!
! ^zz++++=EXTRAWORD
Flag ^nn++++=Flag
perhaps ^rb++++=perhaps."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
However ^rb+cnj+++=However,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
not ^xnot++not++=not
a ^at++++=a
flag ^nn++++=flag,
, ^zz++++=EXTRAWORD
for ^in++++=for
it ^pp3+it+++=it
jumped ^vbd+++xvbn+=jumped
about ^in+strn+++=about.
. ^zz++++=EXTRAWORD
" ^zz++++="Man
man ^nn++++=EXTRAWORD
in ^in++++=in
whites ^nns++++=whites
running ^vwbg+++xvbg+=running
fast ^rb+cnj+++=fast,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
this ^dt+dem+++=this
way ^nn++++=way,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Bailey ^np++++=Bailey.
. ^zz++++=EXTRAWORD
" ^zz++++="That's
that ^dt+pdem+++=EXTRAWORD
's ^vbz+bez+vrb++0=EXTRAWORD
luck ^nn++++=luck!
! ^zz++++=EXTRAWORD
But ^cc+cls+++=But
his ^pp$+pp3+++=his
whites ^nns++++=whites
are ^vb+ber+vrb++=are
precious ^jj++++=precious
loose ^jj++++=loose!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
a ^at++++=a
singular ^jj+atrb+++=singular
thing ^nn++++=thing
happened ^vbd+++xvbn+=happened.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
was ^vbd+bedz+vrb++=was
a ^at++++=a
minute ^nn++++=minute
pink ^jj+atrb+++=pink
gleam ^nn++++=gleam
among ^in++++=among
the ^ati++++=the
dark ^jj+atrb+++=dark
trees ^nns++++=trees
in ^in++++=in
the ^ati++++=the
distance ^nn+nom+++=distance,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^rb++++=a
little ^rb"++++=little
puff ^vb++++=puff
of ^in++++=of
pale ^nn++++=pale
grey ^np++++=grey
that ^tht+rel+subj++=that
began ^vbd+++xvbn+=began
to ^to++++=to
drift ^vbi++++=drift
and ^cc+phrs+++=and
vanish ^vb++++=vanish
eastward ^rb++++=eastward.
. ^zz++++=EXTRAWORD
The ^ati++++=The
man ^nn++++=man
in ^in++++=in
white ^nn++++=white
jumped ^vbd+++xvbn+=jumped
and ^cc+phrs+++=and
continued ^vbd+++xvbn+=continued
running ^jj+++xvbg+=running.
. ^zz++++=EXTRAWORD
Presently ^rb+tm+++=Presently
the ^ati++++=the
report ^nn++++=report
of ^in++++=of
the ^ati++++=the
shot ^nn++++=shot
arrived ^vbd+++xvbn+=arrived.
. ^zz++++=EXTRAWORD
" ^zz++++="What
what ^wdt+who+++=EXTRAWORD
the ^ati++++=the
devil ^nn++++=devil!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Bailey ^np++++=Bailey.
. ^zz++++=EXTRAWORD
" ^zz++++="Looks
looks ^nns++++=EXTRAWORD
as ^cs+sub+++=as
if ^cs+cnd+++=if
someone ^pn++++=someone
was ^vbd+bedz+aux++=was
shooting ^vbg+++xvbgx+=shooting
at ^rb++++=at
him ^pp3o+pp3+++=him."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
sat ^vbd+++xvbnx+=sat
up ^rp++++=up
stiffly ^rb++++=stiffly
and ^cc++++=and
stared ^vprf+++xvbn+=stared
hard ^jj++++=hard.
. ^zz++++=EXTRAWORD
The ^ati++++=The
white ^jj+atrb+++=white
figure ^nn++++=figure
was ^vbd+bedz+aux++=was
coming ^vbg+++xvbgx+=coming
along ^in++++=along
the ^ati++++=the
pathway ^nn++++=pathway
through ^in++++=through
the ^ati++++=the
corn ^nn++++=corn.
. ^zz++++=EXTRAWORD
" ^zz++++="It's
it ^pp3+it+++=EXTRAWORD
's ^vbz+bez+vrb++0=EXTRAWORD
one ^pn++++=one
of ^in++++=of
those ^dt+dem+++=those
niggers ^nns+nom+++=niggers
from ^in++++=from
the ^ati++++=the
Fitzgibbon ^np+++??+=Fitzgibbon's,"
's," ^vb+++??+=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Bailey ^np++++=Bailey;
; ^zz++++=EXTRAWORD
" ^zz++++="or
or ^cc++++=EXTRAWORD
may ^md+pos+++=may
I ^pp1a+pp1+++=I
be ^vb+be+aux++=be
hanged ^vpsv++agls+xvbnx+=hanged!
! ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
wonder ^vb++++=wonder
why ^wrb+who+++=why
he ^pp3a+pp3+++=he
keeps ^vbz++++=keeps
sawing ^nvbg+++xvbg+=sawing
with ^in++++=with
his ^pp$+pp3+++=his
arm ^nn++++=arm."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
three ^cd++++=three
other ^ap++++=other
figures ^nns++++=figures
became ^vbd+++xvbn+=became
indistinctly ^rb++++=indistinctly
visible ^jj++++=visible
against ^in++++=against
the ^ati++++=the
dark ^jj+atrb+++=dark
background ^nn++++=background
of ^in++++=of
the ^ati++++=the
trees ^nns++++=trees.
. ^zz++++=EXTRAWORD
Abruptly ^rb++++=Abruptly
on ^in++++=on
the ^ati++++=the
opposite ^rb++++=opposite
bank ^npl++++=bank
a ^at++++=a
man ^nn++++=man
walked ^vbd+++xvbn+=walked
into ^in+ppvb+++=into
the ^ati++++=the
picture ^nn++++=picture.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+vrb++=was
black ^jj+pred+++=black-bearded,
- ^zz++++=EXTRAWORD
bearded ^jj++++=EXTRAWORD
, ^zz++++=EXTRAWORD
dressed ^j+++xvbn+=dressed
in ^in++++=in
flannels ^nns++++=flannels,
, ^zz++++=EXTRAWORD
had ^vb+hv+vrb++=had
a ^at++++=a
red ^jj+atrb+++=red
belt ^nn++++=belt,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
vast ^jj+atrb+++=vast
grey ^np++++=grey
felt ^vbd+vprv++xvbn+=felt
hat ^nn++++=hat.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
walked ^vbd+++xvbnx+=walked,
, ^zz++++=EXTRAWORD
leaning ^vbg+++xvbg+=leaning
very ^ql+amp+++=very
much ^ap++++=much
forward ^rb++++=forward
and ^cc++++=and
with ^in++++=with
his ^pp$+pp3+++=his
hands ^nns++++=hands
swinging ^vwbg+++xvbg+=swinging
before ^in++++=before
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
Behind ^in+pl+++=Behind
him ^pp3o+pp3+++=him
one ^cd1++++=one
could ^md+pos+++=could
see ^vb+vprv+tht0++=see
the ^ati++++=the
grass ^nn++++=grass
swept ^vwbn+++xvbn+=swept
by ^in++++=by
the ^ati++++=the
towing ^jj+++xvbg+=towing-rope
- ^zz++++=EXTRAWORD
rope ^nn++++=EXTRAWORD
of ^in++++=of
the ^ati++++=the
boat ^nn++++=boat
he ^pp3a+pp3+++=he
was ^vbd+bedz+aux++=was
dragging ^vbg+++xvbgx+=dragging.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+vrb++=was
steadfastly ^rb++++=steadfastly
regarding ^in++++=regarding
the ^ati++++=the
white ^jj+atrb+++=white
figure ^vb++++=figure
that ^tht+vcmp+subj++=that
was ^vbd+bedz+aux++=was
hurrying ^vbg+++xvbgx+=hurrying
through ^in++++=through
the ^ati++++=the
corn ^nn++++=corn.
. ^zz++++=EXTRAWORD
Suddenly ^rb++++=Suddenly
he ^pp3a+pp3+++=he
stopped ^vbd+++xvbnx+=stopped.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then,
, ^zz++++=EXTRAWORD
with ^in++++=with
a ^at++++=a
peculiar ^jj+atrb+++=peculiar
gesture ^nn++++=gesture,
, ^zz++++=EXTRAWORD
Bailey ^np++++=Bailey
could ^md+pos+++=could
see ^vb+vprv+++=see
that ^tht+vcmp+++=that
he ^pp3a+pp3+++=he
began ^vbd+++xvbnx+=began
pulling ^nvbg+++xvbg+=pulling
in ^in++++=in
the ^ati++++=the
tow ^nn++++=tow-rope
- ^zz++++=EXTRAWORD
rope ^nn++++=EXTRAWORD
hand ^nn++++=hand
over ^in++++=over
hand ^nn++++=hand.
. ^zz++++=EXTRAWORD
Over ^in++++=Over
the ^ati++++=the
water ^nn++++=water
could ^md+pos+++=could
be ^vb+be+aux++=be
heard ^vpsv++agls+xvbnx+=heard
the ^ati++++=the
voices ^nns++++=voices
of ^in++++=of
the ^ati++++=the
people ^nn++++=people
in ^in++++=in
the ^ati++++=the
still ^rb+atrb+++=still
invisible ^jj+atrb+++=invisible
boat ^nn++++=boat.
. ^zz++++=EXTRAWORD
" ^zz++++="What
what ^wdt+who+whq++=EXTRAWORD
are ^vb+ber+aux++=are
you ^pp2+pp2+++=you
after ^in+strn+++=after,
, ^zz++++=EXTRAWORD
Hagshot ^np+++??+=Hagshot?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
someone ^pn++++=someone.
. ^zz++++=EXTRAWORD
The ^ati++++=The
individual ^nn+nom+++=individual
with ^in++++=with
the ^ati++++=the
red ^jj+atrb+++=red
belt ^nn++++=belt
shouted ^vbd+vpub++xvbn+=shouted
something ^pn++++=something
that ^dt+pdem+++=that
was ^vbd+bedz+vrb++=was
inaudible ^jj+pred+++=inaudible,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
went ^vpsv++agls+xvbn+=went
on ^in++++=on
lugging ^nn++++=lugging
in ^in++++=in
the ^ati++++=the
rope ^nn++++=rope,
, ^zz++++=EXTRAWORD
looking ^vbg+++xvbg+=looking
over ^in++++=over
his ^pp$+pp3+++=his
shoulder ^nn+nom+++=shoulder
at ^in++++=at
the ^ati++++=the
advancing ^jj+atrb++xvbg+=advancing
white ^jj+atrb+++=white
figure ^nn++++=figure
as ^ql++++=as
he ^pp3a+pp3+++=he
did ^vbd+dod+vrb++=did
so ^rb++++=so.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
came ^vbd+++xvbnx+=came
down ^in++++=down
the ^ati++++=the
bank ^nn++++=bank,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
rope ^nn++++=rope
bent ^vbd+++xvbn+=bent
a ^at++++=a
lane ^nn++++=lane
among ^in++++=among
the ^ati++++=the
reeds ^nns++++=reeds
and ^cc++++=and
lashed ^vbd+++xvbn+=lashed
the ^ati++++=the
water ^nn++++=water
between ^in++++=between
his ^pp$+pp3+++=his
pulls ^vbz++++=pulls.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
just ^rb+emph+++=just
the ^ati++++=the
bows ^nns++++=bows
of ^in++++=of
the ^ati++++=the
boat ^nn++++=boat
came ^vbd+++xvbn+=came
into ^in+ppvb+++=into
view ^nn++++=view,
, ^zz++++=EXTRAWORD
with ^in++++=with
the ^ati++++=the
towing ^jj+++xvbg+=towing-mast
- ^zz++++=EXTRAWORD
mast ^nn++++=EXTRAWORD
and ^cc++++=and
a ^at++++=a
tall ^jj++++=tall,
, ^zz++++=EXTRAWORD
fair ^jj++++=fair-haired
- ^zz++++=EXTRAWORD
haired ^jj+atrb+++=EXTRAWORD
man ^nn++++=man
standing ^vwbg+++xvbg+=standing
up ^rp++++=up
and ^cc++++=and
trying ^vbg+++xvbg+=trying
to ^to+vcmp+++=to
see ^vbi+vprv+++=see
over ^in++++=over
the ^ati++++=the
bank ^nn++++=bank.
. ^zz++++=EXTRAWORD
The ^ati++++=The
boat ^nn++++=boat
bumped ^vbd+++xvbn+=bumped
unexpectedly ^rb++++=unexpectedly
among ^in++++=among
the ^ati++++=the
reeds ^nns++++=reeds,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
tall ^jj++++=tall,
, ^zz++++=EXTRAWORD
fair ^jj++++=fair-haired
- ^zz++++=EXTRAWORD
haired ^jj+atrb+++=EXTRAWORD
man ^nn++++=man
disappeared ^vbd+seem++xvbn+=disappeared
suddenly ^rb+cnj+++=suddenly,
, ^zz++++=EXTRAWORD
having ^vbg+hvg++xvbg+=having
apparently ^rb++++=apparently
fallen ^vprf+++xvbn+=fallen
back ^jjb++++=back
into ^in++++=into
the ^ati++++=the
invisible ^jj+atrb+++=invisible
part ^nn++++=part
of ^in++++=of
the ^ati++++=the
boat ^nn++++=boat.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
was ^vbd+bedz+vrb++=was
a ^at++++=a
curse ^nn++++=curse
and ^cc++++=and
some ^dti++++=some
indistinct ^nn+++??+=indistinct
laughter ^nn+nom+++=laughter.
. ^zz++++=EXTRAWORD
Hagshot ^np+++??+=Hagshot
did ^vbd+dod+aux++=did
not ^xnot++not++=not
laugh ^vb++++=laugh,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
hastily ^rb++++=hastily
clambered ^vbd+++xvbn+=clambered
into ^in++++=into
the ^ati++++=the
boat ^nn++++=boat
and ^cc++++=and
pushed ^vpsv++agls+xvbn+=pushed
off ^in+strn+++=off.
. ^zz++++=EXTRAWORD
Abruptly ^rb++++=Abruptly
the ^ati++++=the
boat ^nn++++=boat
passed ^vbd+++xvbn+=passed
out ^rp+pl+++=out
of ^in++++=of
Bailey ^np++++=Bailey's
's ^$++++=EXTRAWORD
sight ^nn++++=sight.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
still ^rb+atrb+++=still
audible ^jj+pred+++=audible.
. ^zz++++=EXTRAWORD
The ^ati++++=The
melody ^nn++++=melody
of ^in++++=of
voices ^nns++++=voices
suggested ^vbd+vpub++xvbn+=suggested
that ^tht+vcmp+++=that
its ^pp$+it+++=its
occupants ^nns+nom+++=occupants
were ^vbd+bed+vrb++=were
busy ^jj++++=busy
telling ^jj+++xvbg+=telling
each ^dt++++=each
other ^ap++++=other
what ^wdt+who+++=what
to ^to++++=to
do ^vbi++++=do.
. ^zz++++=EXTRAWORD
The ^ati++++=The
running ^jj+atrb++xvbg+=running
figure ^nn++++=figure
was ^vbd+bedz+aux++=was
drawing ^vbg+++xvbgx+=drawing
near ^in+pl+++=near
the ^ati++++=the
bank ^nn++++=bank.
. ^zz++++=EXTRAWORD
Bailey ^np++++=Bailey
could ^md+pos+++=could
now ^rn+tm+splt++=now
see ^vb+vprv+++=see
clearly ^rb++++=clearly
that ^cs+sub+++=that
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
one ^pn++++=one
of ^in++++=of
Fitzgibbon ^np++++=Fitzgibbon's
's ^$++++=EXTRAWORD
Orientals ^nns+nom++??+=Orientals,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
began ^vbd+++xvbn+=began
to ^to++++=to
realise ^vbi+vprv+++=realise
what ^wdt+who+whcl++=what
the ^ati++++=the
sinuous ^jj+atrb+++=sinuous
thing ^nn++++=thing
the ^ati++++=the
man ^nn++++=man
carried ^vbd+++xvbn+=carried
in ^in++++=in
his ^pp$+pp3+++=his
hand ^nn++++=hand
might ^md+pos+++=might
be ^vb+be+vrb++=be.
. ^zz++++=EXTRAWORD
Three ^cd++++=Three
other ^ap++++=other
men ^nns++++=men
followed ^vbd+vprv++xvbn+=followed
one ^cd1++++=one
another ^dt++++=another
through ^in++++=through
the ^ati++++=the
corn ^nn++++=corn,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
foremost ^nn++++=foremost
carried ^vbd+++xvbn+=carried
what ^wdt+who+++=what
was ^vbd+bedz+vrb++=was
probably ^rb++++=probably
the ^ati++++=the
gun ^nn++++=gun.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
were ^vbd+bed+vrb++=were
perhaps ^rb++++=perhaps
two ^cd++++=two
hundred ^cd++++=hundred
yards ^nns++++=yards
or ^cc++++=or
more ^rbr++++=more
behind ^in+pl+++=behind
the ^ati++++=the
Malay ^nn++++=Malay.
. ^zz++++=EXTRAWORD
" ^zz++++="It's
it ^pp3+it+++=EXTRAWORD
's ^vbz+bez+vrb++0=EXTRAWORD
a ^at++++=a
man ^nn++++=man
hunt ^nn++++=hunt,
, ^zz++++=EXTRAWORD
by ^in++++=by
all ^abn++++=all
that ^dt+pdem+++=that's
's ^vbz+bez+vrb++0=EXTRAWORD
holy ^jj++++=holy!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Bailey ^np++++=Bailey.
. ^zz++++=EXTRAWORD
The ^ati++++=The
Malay ^nn++++=Malay
stopped ^vbd+++xvbn+=stopped
for ^in++++=for
a ^at++++=a
moment ^nn++++=moment
and ^cc++++=and
surveyed ^vbd+++xvbn+=surveyed
the ^ati++++=the
bank ^nn++++=bank
to ^in++++=to
the ^ati++++=the
right ^nn++++=right.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
he ^pp3a+pp3+++=he
left ^vbd+++xvbnx+=left
the ^ati++++=the
path ^nn++++=path,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and,
, ^zz++++=EXTRAWORD
breaking ^vbg+++xvbg+=breaking
through ^in++++=through
the ^ati++++=the
corn ^nn++++=corn,
, ^zz++++=EXTRAWORD
vanished ^j+++xvbn+=vanished
in ^cs+sub+++=in
that ^cs"++++=that
direction ^nn+nom+++=direction.
. ^zz++++=EXTRAWORD
The ^ati++++=The
three ^cd++++=three
pursuers ^nns+nom+++=pursuers
followed ^vbd+vprv++xvbn+=followed
suit ^nn++++=suit,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
their ^pp$+pp3+++=their
heads ^nns++++=heads
and ^cc++++=and
gesticulating ^vbg+++xvbg+=gesticulating
arms ^nns++++=arms
above ^in+pl+++=above
the ^ati++++=the
corn ^nn++++=corn,
, ^zz++++=EXTRAWORD
after ^in++++=after
a ^at++++=a
brief ^jj+atrb+++=brief
interval ^nn+nom+++=interval,
, ^zz++++=EXTRAWORD
also ^rb++++=also
went ^vbd+++xvbn+=went
out ^rp+pl+++=out
of ^in++++=of
Bailey ^np++++=Bailey's
's ^$++++=EXTRAWORD
field ^nn++++=field
of ^in++++=of
vision ^nn++++=vision.
. ^zz++++=EXTRAWORD
Bailey ^np++++=Bailey
so ^rb++++=so
far ^rb+pl+++=far
forgot ^vbd+vprv+tht0+xvbn+=forgot
himself ^ppl+pp3+++=himself
as ^in++++=as
to ^in++++=to
swear ^nn+++xvbn+=swear.
. ^zz++++=EXTRAWORD
" ^zz++++="Just
just ^rb+emph+++=EXTRAWORD
as ^ql++++=as
things ^nns++++=things
were ^vbd+bed+aux++=were
getting ^vbg+++xvbgx+=getting
lively ^jj++++=lively!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said.
. ^zz++++=EXTRAWORD
Something ^pn++++=Something
like ^in++++=like
a ^at++++=a
woman ^nn++++=woman's
's ^$++++=EXTRAWORD
shriek ^vb++++=shriek
came ^vbd+++xvbn+=came
through ^in++++=through
the ^ati++++=the
air ^nn++++=air.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
shouts ^nns++++=shouts,
, ^zz++++=EXTRAWORD
a ^at++++=a
howl ^nn++++=howl,
, ^zz++++=EXTRAWORD
a ^at++++=a
dull ^jj+atrb+++=dull
whack ^nn++++=whack
upon ^in++++=upon
the ^ati++++=the
balcony ^nn++++=balcony
outside ^jjb++++=outside
that ^cs+sub+++=that
made ^xvbn+++xvbn+=made
Bailey ^np++++=Bailey
jump ^nn++++=jump,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
then ^rn+tm+++=then
the ^ati++++=the
report ^nn++++=report
of ^in++++=of
a ^at++++=a
gun ^nn++++=gun.
. ^zz++++=EXTRAWORD
" ^zz++++="This
this ^dt+pdem+++=EXTRAWORD
is ^vbz+bez+vrb++=is
precious ^jj++++=precious
hard ^jj++++=hard
on ^in++++=on
an ^at++++=an
invalid ^nn++++=invalid,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Bailey ^np++++=Bailey.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
more ^ql++++=more
was ^vbd+bedz+aux++=was
to ^to++++=to
happen ^vbi+v+++=happen
yet ^rb++++=yet
in ^in++++=in
his ^pp$+pp3+++=his
picture ^nn++++=picture.
. ^zz++++=EXTRAWORD
In ^in++++=In
fact ^nn++++=fact,
, ^zz++++=EXTRAWORD
a ^at++++=a
great ^jj+atrb+++=great
deal ^nn++++=deal
more ^rbr++++=more.
. ^zz++++=EXTRAWORD
The ^ati++++=The
Malay ^nn++++=Malay
appeared ^vbd+seem++xvbn+=appeared
again ^rb+cnj+++=again,
, ^zz++++=EXTRAWORD
running ^jj+++xvbg+=running
now ^rn+tm+++=now
along ^in++++=along
the ^ati++++=the
bank ^nn++++=bank
up ^rp++++=up
stream ^nn++++=stream.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
stride ^nn++++=stride
had ^vb+hv+vrb++=had
more ^rbr++++=more
swing ^nn++++=swing
and ^cc++++=and
less ^rbr++++=less
pace ^nn++++=pace
in ^in++++=in
it ^pp3+it+++=it
than ^in++++=than
before ^in+strn+++=before.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+vrb++=was
threatening ^jj+pred+++=threatening
someone ^pn++++=someone
ahead ^rb+pl+++=ahead
with ^in++++=with
the ^ati++++=the
ugly ^jj+atrb+++=ugly
krees ^nn++++=krees
he ^pp3a+pp3+++=he
carried ^vbd+++xvbnx+=carried.
. ^zz++++=EXTRAWORD
The ^ati++++=The
blade ^nn++++=blade,
, ^zz++++=EXTRAWORD
Bailey ^np++++=Bailey
noticed ^vbd+vprv++xvbn+=noticed,
, ^zz++++=EXTRAWORD
was ^vbd+bedz+vrb++=was
dull ^jj+pred+++=dull
it ^pp3+it+++=it
did ^vbd+dod+aux++=did
not ^xnot++not++=not
shine ^vb++++=shine
as ^in++++=as
steel ^nn++++=steel
should ^md+nec+++=should.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
came ^vbd+++xvbn+=came
the ^ati++++=the
tall ^jj+atrb+++=tall,
, ^zz++++=EXTRAWORD
fair ^jj+atrb+++=fair
man ^nn++++=man,
, ^zz++++=EXTRAWORD
brandishing ^jj+++xvbg+=brandishing
a ^at++++=a
