That ^dt+dem+++=That
breathless ^jj+atrb+++=breathless
hunter ^nn++++=hunter
came ^vbd+++xvbn+=came
so ^rb++++=so
nigh ^rb++++=nigh
his ^pp$+pp3+++=his
seemingly ^rb++++=seemingly
unsuspecting ^jj+atrb+++=unsuspecting
prey ^nn++++=prey,
, ^zz++++=EXTRAWORD
that ^tht+vcmp+++=that
his ^pp$+pp3+++=his
entire ^jjb+atrb+++=entire
dazzling ^jj+atrb++xvbg+=dazzling
hump ^nn+++??+=hump
was ^vbd+bedz+vrb++=was
distinctly ^rb++++=distinctly
visible ^jj+pred+++=visible,
, ^zz++++=EXTRAWORD
sliding ^jj+++xvbg+=sliding
along ^in++++=along
the ^ati++++=the
sea ^nn++++=sea
as ^cs+sub+++=as
if ^cs+cnd+++=if
an ^at++++=an
isolated ^jj+atrb++xvbn+=isolated
thing ^nn++++=thing,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
continually ^rb++++=continually
set ^vbd+++xvbn+=set
in ^in++++=in
a ^at++++=a
revolving ^jj+atrb++xvbg+=revolving
ring ^nn++++=ring
of ^in++++=of
finest ^jjt++++=finest,
, ^zz++++=EXTRAWORD
fleecy ^nn+++??+=fleecy,
, ^zz++++=EXTRAWORD
greenish ^jj+atrb+++=greenish
foam ^nn++++=foam.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
saw ^vbd+vprv+tht0+xvbn+=saw
the ^ati++++=the
vast ^nn++++=vast
involved ^vbd+++xvbn+=involved
wrinkles ^nns++++=wrinkles
of ^in++++=of
the ^ati++++=the
slightly ^rb+down+++=slightly
projecting ^vbg+++xvbg+=projecting
head ^jjb++++=head
beyond ^in+strn+++=beyond.
. ^zz++++=EXTRAWORD
Before ^in++++=Before
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
far ^rb+pl+++=far
out ^rp+pl+++=out
on ^in++++=on
the ^ati++++=the
soft ^jj++++=soft
Turkish ^jj++++=Turkish-rugged
- ^zz++++=EXTRAWORD
rugged ^jj+atrb+++=EXTRAWORD
waters ^nns++++=waters,
, ^zz++++=EXTRAWORD
went ^j+++xvbn+=went
the ^ati++++=the
glistening ^jj+atrb+++=glistening
white ^jj+atrb+++=white
shadow ^nn++++=shadow
from ^in++++=from
his ^pp$+pp3+++=his
broad ^jj++++=broad,
, ^zz++++=EXTRAWORD
milky ^nn+++??+=milky
forehead ^nn++++=forehead,
, ^zz++++=EXTRAWORD
a ^at++++=a
musical ^jj+atrb+++=musical
rippling ^nn+nom+++=rippling
playfully ^rb++++=playfully
accompanying ^jj+++xvbg+=accompanying
the ^ati++++=the
shade ^nn++++=shade;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
behind ^in+strn+++=behind,
, ^zz++++=EXTRAWORD
the ^ati++++=the
blue ^jj+atrb+++=blue
waters ^nns++++=waters
interchangeably ^rb++++=interchangeably
flowed ^vbd+++xvbn+=flowed
over ^in++++=over
into ^in++++=into
the ^ati++++=the
moving ^jj+++xvbg+=moving
valley ^npl++++=valley
of ^in++++=of
his ^pp$+pp3+++=his
steady ^jj++++=steady
wake ^vb++++=wake;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
on ^in++++=on
either ^dtx++++=either
hand ^nn++++=hand
bright ^jj+atrb+++=bright
bubbles ^nns++++=bubbles
arose ^vbd+++xvbn+=arose
and ^cc+phrs+++=and
danced ^vbd+++xvbn+=danced
by ^in++++=by
his ^pp$+pp3+++=his
side ^nn++++=side.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
these ^dt+pdem+++=these
were ^vbd+bed+aux++=were
broken ^vpsv++agls+xvbnx+=broken
again ^rb+tm+++=again
by ^in++++=by
the ^ati++++=the
light ^nn++++=light
toes ^nns++++=toes
of ^in++++=of
hundreds ^cds++++=hundreds
of ^in++++=of
gay ^jj+atrb+++=gay
fowl ^nn+++??+=fowl
softly ^rb++++=softly
feathering ^vbg+++xvbg+=feathering
the ^ati++++=the
sea ^nn++++=sea,
, ^zz++++=EXTRAWORD
alternate ^nn+nom+++=alternate
with ^in++++=with
their ^pp$+pp3+++=their
fitful ^jj+atrb+++=fitful
flight ^nn++++=flight;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
like ^vb++++=like
to ^to+vcmp+++=to
some ^vbi++++=some
flag ^nn++++=flag-staff
- ^zz++++=EXTRAWORD
staff ^nn++++=EXTRAWORD
rising ^vwbg+++xvbg+=rising
from ^in++++=from
the ^ati++++=the
painted ^jj+++xvbn+=painted
hull ^np++++=hull
of ^in++++=of
an ^at++++=an
argosy ^nn+++??+=argosy,
, ^zz++++=EXTRAWORD
the ^ati++++=the
tall ^jj+atrb+++=tall
but ^cc+phrs+++=but
shattered ^jj+atrb++xvbn+=shattered
pole ^nn++++=pole
of ^in++++=of
a ^at++++=a
recent ^jj+atrb+++=recent
lance ^np++++=lance
projected ^vbd+++xvbn+=projected
from ^in++++=from
the ^ati++++=the
white ^jj+atrb+++=white
whale ^nn++++=whale's
's ^vbz+bez+vrb++0=EXTRAWORD
back ^jjb++++=back;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
and ^cc++++=and
intervals ^nns+nom+++=intervals
one ^pn++++=one
of ^in++++=of
the ^ati++++=the
cloud ^nn++++=cloud
of ^in++++=of
soft ^jj++++=soft-toed
- ^zz++++=EXTRAWORD
toed ^vbd+++xvbn+=EXTRAWORD
fowls ^nns++++=fowls
hovering ^vwbg+++xvbg+=hovering,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
to ^to++++=to
and ^cc++++=and
fro ^rb++++=fro
skimming ^jj+++xvbg+=skimming
like ^in++++=like
a ^at++++=a
canopy ^nn++++=canopy
over ^in++++=over
the ^ati++++=the
fish ^nn++++=fish,
, ^zz++++=EXTRAWORD
silently ^rb++++=silently
perched ^jj+++xvbn+=perched
and ^cc+phrs+++=and
rocked ^jj+++xvbn+=rocked
on ^in++++=on
this ^dt+dem+++=this
pole ^nn++++=pole,
, ^zz++++=EXTRAWORD
the ^ati++++=the
long ^jj+atrb+++=long
tail ^nn++++=tail
feathers ^nns+nom+++=feathers
streaming ^vwbg+++xvbg+=streaming
like ^in++++=like
pennons ^nns+++??+=pennons.
. ^zz++++=EXTRAWORD
A ^at++++=A
gentle ^jj+atrb+++=gentle
joyousness ^nns+nom+++=joyousness
a ^at++++=a
mighty ^jj+atrb+++=mighty
mildness ^nns+nom+++=mildness
of ^in++++=of
repose ^nn++++=repose
in ^in++++=in
swiftness ^nns+nom+++=swiftness,
, ^zz++++=EXTRAWORD
invested ^j+++xvbn+=invested
the ^ati++++=the
gliding ^jj+atrb++xvbg+=gliding
whale ^nn++++=whale.
. ^zz++++=EXTRAWORD
Not ^xnot++not++=Not
the ^ati++++=the
white ^jj+atrb+++=white
bull ^np++++=bull
Jupiter ^np+++??+=Jupiter
swimming ^vwbg+++xvbg+=swimming
away ^rp+pl+++=away
with ^in++++=with
ravished ^jj+++xvbn+=ravished
Europa ^np+++??+=Europa
clinging ^vwbg+++xvbg+=clinging
to ^in++++=to
his ^pp$+pp3+++=his
graceful ^jj+atrb+++=graceful
horns ^nns++++=horns;
; ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
lovely ^jj+atrb+++=lovely,
, ^zz++++=EXTRAWORD
leering ^jj+atrb+++=leering
eyes ^nns++++=eyes
sideways ^jjb+atrb+++=sideways
intent ^nn++++=intent
upon ^in++++=upon
the ^ati++++=the
maid ^nn++++=maid;
; ^zz++++=EXTRAWORD
with ^in++++=with
smooth ^jj+atrb+++=smooth
bewitching ^jj+atrb+++=bewitching
fleetness ^nns+nom+++=fleetness,
, ^zz++++=EXTRAWORD
rippling ^nn+nom+++=rippling
straight ^rb++++=straight
for ^in++++=for
the ^ati++++=the
nuptial ^jj+atrb+++=nuptial
bower ^np++++=bower
in ^in++++=in
Crete ^np+++??+=Crete;
; ^zz++++=EXTRAWORD
not ^xnot++not++=not
Jove ^nn++++=Jove,
, ^zz++++=EXTRAWORD
not ^xnot++not++=not
that ^dt+dem+++=that
great ^jj+atrb+++=great
majesty ^nn++++=majesty
Supreme ^jj++++=Supreme!
! ^zz++++=EXTRAWORD
did ^vbd+dod+vrb++=did
surpass ^nns+++??+=surpass
the ^ati++++=the
glorified ^jj+atrb++xvbn+=glorified
white ^jj+atrb+++=white
whale ^nn++++=whale
as ^ql++++=as
he ^pp3a+pp3+++=he
so ^rb++++=so
divinely ^rb++++=divinely
swam ^vbd+++xvbn+=swam.
. ^zz++++=EXTRAWORD
On ^rp++++=On
each ^ppls++++=each
soft ^jj+atrb+++=soft
side ^nn++++=side
coincident ^jj++++=coincident
with ^in++++=with
the ^ati++++=the
parted ^jj+atrb++xvbn+=parted
swell ^nn++++=swell,
, ^zz++++=EXTRAWORD
that ^dt+dem+++=that
but ^cc++++=but
once ^rb+tm+++=once
leaving ^jj+++xvbg+=leaving
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
then ^rn+tm+++=then
flowed ^vbd+++xvbn+=flowed
so ^rb+emph+++=so
wide ^jj++++=wide
away ^rp+pl+++=away
on ^rp++++=on
each ^ppls++++=each
bright ^jj+atrb+++=bright
side ^nn++++=side,
, ^zz++++=EXTRAWORD
the ^ati++++=the
whale ^nn++++=whale
shed ^vbd+++xvbn+=shed
off ^in+pl+++=off
enticings ^nns+++??+=enticings.
. ^zz++++=EXTRAWORD
No ^at++++=No
wonder ^vb++++=wonder
there ^ex+pex+++=there
had ^vbd+hvd+aux++=had
been ^vprf+ben+vrb+xvbnx+=been
some ^dti++++=some
among ^in++++=among
the ^ati++++=the
hunters ^nns+nom+++=hunters
who ^whp+rel+obj++=who
namelessly ^jj++++=namelessly
transported ^jj+++xvbn+=transported
and ^cc+phrs+++=and
allured ^jj+++xvbn+=allured
by ^in++++=by
all ^abn++++=all
this ^dt+dem+++=this
serenity ^nn+nom+++=serenity,
, ^zz++++=EXTRAWORD
had ^vbd+hvd+aux++=had
ventured ^vprf+++xvbnx+=ventured
to ^to+vcmp+++=to
assail ^vb+++??+=assail
it ^pp3+it+++=it;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
had ^vb+hv+aux++=had
fatally ^rb++splt++=fatally
found ^vprf+++xvbnx+=found
that ^tht+vcmp+++=that
quietude ^nn+++??+=quietude
but ^cc++++=but
the ^ati++++=the
vesture ^nn+++??+=vesture
of ^in++++=of
tornadoes ^nns+++??+=tornadoes.
. ^zz++++=EXTRAWORD
Yet ^rb++++=Yet
calm ^nn++++=calm,
, ^zz++++=EXTRAWORD
enticing ^jj+atrb+++=enticing
calm ^nn++++=calm,
, ^zz++++=EXTRAWORD
oh ^uh++++=oh,
, ^zz++++=EXTRAWORD
whale ^nn++++=whale!
! ^zz++++=EXTRAWORD
thou ^pp2+pp2+++=thou
glidest ^jjt++++=glidest
on ^in+strn+++=on,
, ^zz++++=EXTRAWORD
to ^in++++=to
all ^abn++++=all
who ^whp+who+++=who
for ^in++++=for
the ^ati++++=the
first ^od++++=first
time ^nn++++=time
eye ^nn++++=eye
thee ^pp2+pp2+++=thee,
, ^zz++++=EXTRAWORD
no ^at++++=no
matter ^nn++++=matter
how ^wrb+who+++=how
many ^ap++++=many
in ^cs+sub+++=in
that ^cs"++++=that
same ^ap++++=same
way ^nn++++=way
thou ^pp2+pp2+++=thou
mayest ^md++md++0=may'st
have ^vb+hv+aux++=have
bejuggled ^vprf+++xvbnx+=bejuggled
and ^cc+phrs+++=and
destroyed ^vpsv++agls+xvbn+=destroyed
before ^in+strn+++=before.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
thus ^rb+cnj+++=thus,
, ^zz++++=EXTRAWORD
through ^in++++=through
the ^ati++++=the
serene ^jj+atrb+++=serene
tranquillities ^nns+nom+++=tranquillities
of ^in++++=of
the ^ati++++=the
tropical ^jj+atrb+++=tropical
sea ^nn++++=sea,
, ^zz++++=EXTRAWORD
among ^in++++=among
waves ^nns++++=waves
whose ^whp+rel+obj++=whose
hand ^nn++++=hand-clappings
- ^zz++++=EXTRAWORD
clappings ^nns+++??+=EXTRAWORD
were ^vbd+bed+aux++=were
suspended ^vpsv++by+xvbnx+=suspended
by ^in++++=by
exceeding ^xvbg+++xvbg+=exceeding
rapture ^nn++++=rapture,
, ^zz++++=EXTRAWORD
Moby ^np++++=Moby
Dick ^np++++=Dick
moved ^vbd+++xvbn+=moved
on ^in+strn+++=on,
, ^zz++++=EXTRAWORD
still ^rb++++=still
withholding ^vbg+++xvbg+=withholding
from ^in++++=from
sight ^nn++++=sight
the ^ati++++=the
full ^jj+atrb+++=full
terrors ^nns++++=terrors
of ^in++++=of
his ^pp$+pp3+++=his
submerged ^jj+atrb++xvbn+=submerged
trunk ^nn++++=trunk,
, ^zz++++=EXTRAWORD
entirely ^rb+amp+++=entirely
hiding ^vbg+++xvbg+=hiding
the ^ati++++=the
wretched ^jj+atrb+++=wretched
hideousness ^nns+nom+++=hideousness
of ^in++++=of
his ^pp$+pp3+++=his
jaw ^nn++++=jaw.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
soon ^rb+tm+++=soon
the ^ati++++=the
fore ^jjb+atrb+++=fore
part ^nn++++=part
of ^in++++=of
him ^pp3o+pp3+++=him
slowly ^rb++++=slowly
rose ^nn+++xvbn+=rose
from ^in++++=from
the ^ati++++=the
water ^nn++++=water;
; ^zz++++=EXTRAWORD
for ^in++++=for
an ^at++++=an
instant ^nn+nom+++=instant
his ^pp$+pp3+++=his
whole ^jj+atrb+++=whole
marbleized ^jj+atrb++xvbn+=marbleized
body ^nn++++=body
formed ^vbd+++xvbn+=formed
a ^at++++=a
high ^jj++++=high
arch ^jjb++++=arch,
, ^zz++++=EXTRAWORD
like ^in++++=like
Virginia ^np++++=Virginia's
's ^$++++=EXTRAWORD
Natural ^jj+atrb+++=Natural
Bridge ^nn++++=Bridge,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
warningly ^rb++++=warningly
waving ^vbg+++xvbg+=waving
his ^pp$+pp3+++=his
bannered ^jj+atrb++xvbn+=bannered
flukes ^nns+++??+=flukes
in ^in++++=in
the ^ati++++=the
air ^nn++++=air,
, ^zz++++=EXTRAWORD
the ^ati++++=the
grand ^jj+atrb+++=grand
god ^np++++=god
revealed ^vbd+vprv++xvbn+=revealed
himself ^ppl+pp3+++=himself,
, ^zz++++=EXTRAWORD
sounded ^j+++xvbn+=sounded,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
went ^vbd+++xvbn+=went
out ^rp+pl+++=out
of ^in++++=of
sight ^nn++++=sight.
. ^zz++++=EXTRAWORD
Hoveringly ^np+++??+=Hoveringly
halting ^vwbg+++xvbg+=halting,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
dipping ^vbg+++xvbg+=dipping
on ^in++++=on
the ^ati++++=the
wing ^nn++++=wing,
, ^zz++++=EXTRAWORD
the ^ati++++=the
white ^jj+atrb+++=white
sea ^nn++++=sea-fowls
- ^zz++++=EXTRAWORD
fowls ^nns++++=EXTRAWORD
longingly ^rb++++=longingly
lingered ^vbd+++xvbn+=lingered
over ^in++++=over
the ^ati++++=the
agitated ^jj+atrb++xvbn+=agitated
pool ^nn++++=pool
that ^tht+rel+obj++=that
he ^pp3a+pp3+++=he
left ^vbd+++xvbnx+=left.
. ^zz++++=EXTRAWORD
With ^in++++=With
oars ^nns+++??+=oars
apeak ^nn+++??+=apeak,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
paddles ^nns++++=paddles
down ^in+strn+++=down,
, ^zz++++=EXTRAWORD
the ^ati++++=the
sheets ^nns++++=sheets
of ^in++++=of
their ^pp$+pp3+++=their
sails ^nns++++=sails
adrift ^rb+cnj+++=adrift,
, ^zz++++=EXTRAWORD
the ^ati++++=the
three ^cd++++=three
boats ^nns++++=boats
now ^rn+tm+++=now
stilly ^rb++++=stilly
floated ^vbd+++xvbn+=floated,
, ^zz++++=EXTRAWORD
awaiting ^vbg+++xvbg+=awaiting
Moby ^np++++=Moby
Dick ^np++++=Dick's
's ^$++++=EXTRAWORD
reappearance ^nn+nom+++=reappearance.
. ^zz++++=EXTRAWORD
" ^zz++++="An
an ^at++++=EXTRAWORD
hour ^nn++++=hour,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Ahab ^np+++??+=Ahab,
, ^zz++++=EXTRAWORD
standing ^xvbg+++xvbg+=standing
rooted ^xvbn+++xvbn+=rooted
in ^in++++=in
his ^pp$+pp3+++=his
boat ^nn++++=boat's
's ^$++++=EXTRAWORD
stern ^nn++++=stern;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
he ^pp3a+pp3+++=he
gazed ^vbd+++xvbnx+=gazed
beyond ^in++++=beyond
the ^ati++++=the
whale ^nn++++=whale's
's ^$++++=EXTRAWORD
place ^nn++++=place,
, ^zz++++=EXTRAWORD
towards ^in++++=towards
the ^ati++++=the
dim ^jj+atrb+++=dim
blue ^nn++++=blue
spaces ^nns++++=spaces
and ^cc++++=and
wide ^jj+atrb+++=wide
wooing ^jj+atrb++xvbg+=wooing
vacancies ^nns++++=vacancies
to ^in++++=to
leeward ^rb++++=leeward.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
only ^rb+down+++=only
an ^at++++=an
instant ^nn+nom+++=instant;
; ^zz++++=EXTRAWORD
for ^in++++=for
again ^rb+tm+++=again
his ^pp$+pp3+++=his
eyes ^nns++++=eyes
seemed ^vbd+seem++xvbn+=seemed
whirling ^vbg+nom++xvbg+=whirling
round ^rb++++=round
in ^in++++=in
his ^pp$+pp3+++=his
head ^nn++++=head
as ^ql++++=as
he ^pp3a+pp3+++=he
swept ^vbd+++xvbnx+=swept
the ^ati++++=the
watery ^jj+atrb+++=watery
circle ^nn++++=circle.
. ^zz++++=EXTRAWORD
The ^ati++++=The
breeze ^nn++++=breeze
now ^rn+tm+++=now
freshened ^jj+++xvbn+=freshened.
. ^zz++++=EXTRAWORD
The ^ati++++=The
sea ^nn++++=sea
began ^vbd+++xvbn+=began
to ^to++++=to
swell ^vbi++++=swell.
. ^zz++++=EXTRAWORD
" ^zz++++="The
the ^ati++++=EXTRAWORD
birds ^nns++++=birds!
! ^zz++++=EXTRAWORD
the ^ati++++=the
birds ^nns++++=birds!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
cried ^vbd+++xvbn+=cried
Tashtego ^np+++??+=Tashtego.
. ^zz++++=EXTRAWORD
In ^in++++=In
long ^rb++++=long
Indian ^jj+atrb+++=Indian
file ^nn++++=file,
, ^zz++++=EXTRAWORD
as ^ql++++=as
when ^wrb+who+++=when
herons ^nns+++??+=herons
take ^vb++++=take
wing ^nn++++=wing,
, ^zz++++=EXTRAWORD
the ^ati++++=the
white ^jj+atrb+++=white
birds ^nns++++=birds
were ^vbd+bed+vrb++=were
now ^rn+tm+++=now
all ^abn++++=all
flying ^jj+++xvbg+=flying
towards ^in++++=towards
Ahab ^np++++=Ahab's
's ^$++++=EXTRAWORD
boat ^nn++++=boat;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
when ^wrb+who+++=when
within ^in++++=within
a ^ap++++=a
few ^ap"++++=few
yards ^nns++++=yards
began ^vbd+++xvbn+=began
fluttering ^vbg+++xvbg+=fluttering
over ^in++++=over
the ^ati++++=the
water ^nn++++=water
there ^rn+pl+++=there,
, ^zz++++=EXTRAWORD
wheeling ^vbg+nom++xvbg+=wheeling
round ^rb++++=round
and ^cc++++=and
round ^nn++++=round,
, ^zz++++=EXTRAWORD
with ^in++++=with
joyous ^jj+atrb+++=joyous,
, ^zz++++=EXTRAWORD
expectant ^jj+atrb+++=expectant
cries ^nns++++=cries.
. ^zz++++=EXTRAWORD
Their ^pp$+pp3+++=Their
vision ^nn++++=vision
was ^vbd+bedz+vrb++=was
keener ^jjr+pred+++=keener
than ^in++++=than
man ^nn++++=man's.
's. ^nn+++??+=EXTRAWORD
Ahab ^np+++??+=Ahab
could ^md+pos+++=could
discover ^nn+nom+++=discover
no ^at++++=no
sign ^nn++++=sign
in ^in++++=in
the ^ati++++=the
sea ^nn++++=sea.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
suddenly ^rb++++=suddenly
as ^ql++++=as
he ^pp3a+pp3+++=he
peered ^vbd+++xvbnx+=peered
down ^rp++++=down
and ^cc+phrs+++=and
down ^rp++++=down
into ^in++++=into
its ^pp$+it+++=its
depths ^nns++++=depths,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
profoundly ^rb++++=profoundly
saw ^vbd+vprv++xvbn+=saw
a ^at++++=a
white ^jj+atrb+++=white
living ^jj+atrb++xvbg+=living
spot ^nn++++=spot
no ^at++++=no
bigger ^nn++++=bigger
than ^in++++=than
a ^at++++=a
white ^jj+atrb+++=white
weasel ^nn++++=weasel,
, ^zz++++=EXTRAWORD
with ^in++++=with
wonderful ^jj+atrb+++=wonderful
celerity ^nn+nom+++=celerity
uprising ^nn++++=uprising,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
magnifying ^jj+++xvbg+=magnifying
as ^ql++++=as
it ^pp3+it+++=it
rose ^vbd+++xvbn+=rose,
, ^zz++++=EXTRAWORD
till ^cs+sub+++=till
it ^pp3+it+++=it
turned ^vbd+++xvbn+=turned,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
then ^rn+tm+++=then
there ^ex+pex+++=there
were ^vbd+bed+aux++=were
plainly ^rb++splt++=plainly
revealed ^vpsv++agls+xvbnx+=revealed
two ^cd++++=two
long ^rb++++=long
crooked ^jj+atrb+++=crooked
rows ^nns++++=rows
of ^in++++=of
white ^jj+atrb+++=white,
, ^zz++++=EXTRAWORD
glistening ^jj+atrb+++=glistening
teeth ^nns++++=teeth,
, ^zz++++=EXTRAWORD
floating ^vbg+++xvbg+=floating
up ^rp++++=up
the ^ati++++=the
undiscoverable ^jj+atrb+++=undiscoverable
bottom ^nn++++=bottom.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
Moby ^np++++=Moby
Dick ^np++++=Dick's
's ^$++++=EXTRAWORD
open ^jj+atrb+++=open
mouth ^nn++++=mouth
and ^cc++++=and
scrolled ^jj+atrb++xvbn+=scrolled
jaw ^nn++++=jaw;
; ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
vast ^jj++++=vast,
, ^zz++++=EXTRAWORD
shadowed ^xvbn+++xvbn+=shadowed
bulk ^nn++++=bulk
still ^rb++++=still
half ^rb++++=half
blending ^vbg+++xvbg+=blending
with ^in++++=with
the ^ati++++=the
blue ^nn++++=blue
of ^in++++=of
the ^ati++++=the
sea ^nn++++=sea.
. ^zz++++=EXTRAWORD
The ^ati++++=The
glittering ^jj+atrb+++=glittering
mouth ^nn++++=mouth
yawned ^vbd+++xvbn+=yawned
beneath ^in+pl+++=beneath
the ^ati++++=the
boat ^nn++++=boat
like ^in++++=like
an ^at++++=an
open ^jj++++=open-doored
- ^zz++++=EXTRAWORD
doored ^jj+atrb++xvbn+=EXTRAWORD
marble ^nn++++=marble
tomb ^nn++++=tomb;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
giving ^jj+atrb++xvbg+=giving
one ^cd1++++=one
sidelong ^jj+atrb+++=sidelong
sweep ^nn++++=sweep
with ^in++++=with
his ^pp$+pp3+++=his
steering ^nvbg+++xvbg+=steering
oar ^nn++++=oar,
, ^zz++++=EXTRAWORD
Ahab ^np+++??+=Ahab
whirled ^vbd+++xvbn+=whirled
the ^ati++++=the
craft ^nn++++=craft
aside ^rp++++=aside
from ^in++++=from
this ^dt+dem+++=this
tremendous ^jj+atrb+++=tremendous
apparition ^nn+nom+++=apparition.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then,
, ^zz++++=EXTRAWORD
calling ^vbg+nom++xvbg+=calling
upon ^in++++=upon
Fedallah ^np+++??+=Fedallah
to ^in++++=to
change ^nn++++=change
places ^nns++++=places
with ^in++++=with
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
went ^vbd+++xvbnx+=went
forward ^rb+phrv+++=forward
to ^in+ppvb+++=to
the ^ati++++=the
bows ^nns++++=bows,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
seizing ^vbg+++xvbg+=seizing
Perth ^np++++=Perth's
's ^$++++=EXTRAWORD
harpoon ^nn+++??+=harpoon,
, ^zz++++=EXTRAWORD
commanded ^j+++xvbn+=commanded
his ^pp$+pp3+++=his
crew ^nn++++=crew
to ^to++++=to
grasp ^vbi+vprv+++=grasp
their ^pp$+pp3+++=their
oars ^nns+++??+=oars
and ^cc++++=and
stand ^nn++++=stand
by ^in++++=by
to ^in++++=to
stern ^nn++++=stern.
. ^zz++++=EXTRAWORD
Now ^rn+dspt+++=Now,
, ^zz++++=EXTRAWORD
by ^in++++=by
reason ^nn++++=reason
of ^in++++=of
this ^dt+dem+++=this
timely ^jj++++=timely
spinning ^jj+++xvbg+=spinning
round ^in++++=round
the ^ati++++=the
boat ^nn++++=boat
upon ^in++++=upon
its ^pp$+it+++=its
axis ^nn++++=axis,
, ^zz++++=EXTRAWORD
its ^pp$+it+++=its
bow ^nn++++=bow,
, ^zz++++=EXTRAWORD
by ^in++++=by
anticipation ^nn+nom+++=anticipation,
, ^zz++++=EXTRAWORD
was ^vbd+bedz+aux++=was
made ^vpsv++agls+xvbnx+=made
to ^to+vcmp+++=to
face ^vbi++++=face
the ^ati++++=the
whale ^nn++++=whale's
's ^vbz+bez+vrb++0=EXTRAWORD
head ^jjb++++=head
while ^cs+sub+++=while
yet ^rb++++=yet
under ^in++++=under
water ^nn++++=water.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
as ^cs+sub+++=as
if ^cs+cnd+++=if
perceiving ^nn++++=perceiving
this ^dt+dem+++=this
stratagem ^nn+++??+=stratagem,
, ^zz++++=EXTRAWORD
Moby ^np++++=Moby
Dick ^np++++=Dick,
, ^zz++++=EXTRAWORD
with ^in++++=with
that ^dt+dem+++=that
malicious ^jj+atrb+++=malicious
intelligence ^nn+nom+++=intelligence
ascribed ^vwbn+++xvbn+=ascribed
to ^in++++=to
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
sidelingly ^jj++++=sidelingly
transplanted ^jj+++xvbn+=transplanted
himself ^ppl+pp3+++=himself,
, ^zz++++=EXTRAWORD
as ^ql++++=as
it ^pp3+it+++=it
were ^vbd+bed+vrb++=were,
, ^zz++++=EXTRAWORD
in ^in++++=in
an ^at++++=an
instant ^nn+nom+++=instant,
, ^zz++++=EXTRAWORD
shooting ^vbg+++xvbg+=shooting
his ^pp$+pp3+++=his
plated ^jj+++xvbn+=plated
head ^jjb++++=head
lengthwise ^rb++++=lengthwise
beneath ^in+pl+++=beneath
the ^ati++++=the
boat ^nn++++=boat.
. ^zz++++=EXTRAWORD
Through ^in++++=Through
and ^cc++++=and
through ^in+strn+++=through;
; ^zz++++=EXTRAWORD
through ^in++++=through
every ^at++++=every
plank ^nn++++=plank
and ^cc++++=and
each ^dt++++=each
rib ^nn+++??+=rib,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
thrilled ^jj++++=thrilled
for ^in++++=for
an ^at++++=an
instant ^nn+nom+++=instant,
, ^zz++++=EXTRAWORD
the ^ati++++=the
whale ^nn++++=whale
obliquely ^rb++++=obliquely
lying ^vbg+++xvbg+=lying
on ^in++++=on
his ^pp$+pp3+++=his
back ^jjb++++=back,
, ^zz++++=EXTRAWORD
in ^in++++=in
the ^ati++++=the
manner ^nn++++=manner
of ^in++++=of
a ^at++++=a
biting ^jj+atrb++xvbg+=biting
shark ^nn+++??+=shark,
