It ^pp3+it+++=It's
. ^zz++++=EXTRAWORD
Tracle ^np++++=Tracle
had ^vb+hv+vrb++=had
a ^at++++=a
puncheon ^nn+++??+=puncheon
for ^in++++=for
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
At ^rb++++=At
the ^ati++++=the
hearin ^nn+++??+=hearin'
' ^zz++++=EXTRAWORD
of ^in++++=of
this ^dt+pdem+++=this,
, ^zz++++=EXTRAWORD
ye ^pp2+pp2+++=ye
may ^md+pos+++=may
swear ^vbd+vpub++xvbn+=swear,
, ^zz++++=EXTRAWORD
though ^rb+cnj+++=though,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
was ^vbd+bedz+vrb++=was
as ^ql++++=as
mad ^jj++++=mad
as ^in++++=as
a ^at++++=a
grasshopper ^nn+nom+++=grasshopper,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
I ^pp1a+pp1+++=I
remimbered ^vbd+++xvbnx+=remimbered
that ^dt+dem+++=that
I ^pp1a+pp1+++=I
was ^vbd+bedz+vrb++=was
Sir ^npt++++=Sir
Pathrick ^np+++??+=Pathrick
O ^zz++++=O'Grandison,
'grandison, ^nn+++??+=EXTRAWORD
Barronitt ^np+++??+=Barronitt,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
that ^tht+vcmp+++=that
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=wasn't
n't ^xnot++not++0=EXTRAWORD
althegither ^jjr++++=althegither
gentaal ^jj++++=gentaal
to ^to++++=to
lit ^vbi++++=lit
the ^ati++++=the
anger ^nn++++=anger
git ^np++++=git
the ^ati++++=the
upper ^jjb+atrb+++=upper
hand ^nn++++=hand
of ^in++++0=o'
the ^ati++++=the
purliteness ^nns+nom+++=purliteness,
, ^zz++++=EXTRAWORD
so ^ql++++=so
I ^pp1a+pp1+++=I
made ^vbd+++xvbnx+=made
light ^jj++++=light
of ^in++++0=o'
the ^ati++++=the
matter ^nn++++=matter
and ^cc++++=and
kipt ^jj+++xvbn+=kipt
dark ^jj++++=dark,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
got ^vbd+++xvbn+=got
quite ^rb++++=quite
sociable ^jj++++=sociable
wid ^in++++=wid
the ^ati++++=the
little ^jj+atrb+++=little
chap ^nn++++=chap,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
afther ^jjr++++=afther
a ^at++++=a
while ^cs+sub+++=while
what ^wdt+who+++=what
did ^vbd+dod+aux++=did
he ^pp3a+pp3+++=he
do ^vb+do+aux++=do
but ^cc++++=but
ask ^vb++++=ask
me ^pp1o+pp1+++=me
to ^to++++=to
go ^vbi++++=go
wid ^in++++=wid
him ^pp3o+pp3+++=him
to ^in++++=to
the ^ati++++=the
widdy ^nn+++??+=widdy's,
's, ^nn+++??+=EXTRAWORD
saying ^vwbg+++xvbg+=saying
he ^pp3a+pp3+++=he
wud ^nn+++??+=wud
give ^vb++++=give
me ^pp1o+pp1+++=me
the ^ati++++=the
feshionable ^jj+atrb+++=feshionable
inthroduction ^nn+nom+++=inthroduction
to ^in++++=to
her ^pp$+pp3+++=her
leddyship ^nn+nom+++=leddyship.
. ^zz++++=EXTRAWORD
" ^zz++++="Is
is ^vbz+bez+vrb++=EXTRAWORD
it ^pp3+it+++=it
there ^ex+pex+++=there
ye ^pp2+pp2+++=ye
are ^vb+ber+vrb++=are?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub+tht0+xvbn+=said
I ^pp1a+pp1+++=I
thin ^jj++++=thin
to ^in++++=to
mesilf ^nn+++??+=mesilf,
, ^zz++++=EXTRAWORD
" ^zz++++="and
and ^cc++++=EXTRAWORD
it ^pp3+it+++=it's
's ^vbz+bez+vrb++0=EXTRAWORD
thrue ^nn+++??+=thrue
for ^in++++=for
you ^pp2+pp2+++=you,
, ^zz++++=EXTRAWORD
Pathrick ^np+++??+=Pathrick,
, ^zz++++=EXTRAWORD
that ^tht+vcmp+++=that
ye ^pp2+pp2+++=ye're
're ^vb+ber+vrb++0=EXTRAWORD
the ^ati++++=the
fortunittest ^jjt+atrb+++=fortunittest
mortal ^nn++++=mortal
in ^in++++=in
life ^nn++++=life.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We'll
'll ^md+prd+++0=EXTRAWORD
soon ^rb+tm+splt++=soon
see ^vb+vprv+++=see
now ^rn+tm+++=now
whither ^jjr++++=whither
it ^pp3+it+++=it's
's ^vbz+bez+vrb++0=EXTRAWORD
your ^pp$+pp2+++=your
swate ^nn++++=swate
silf ^nn+++??+=silf,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
whither ^jjr++++=whither
it ^pp3+it+++=it's
's ^vbz+bez+vrb++0=EXTRAWORD
little ^rb++++=little
Mounseer ^np+nom++??+=Mounseer
Maiter ^np+++??+=Maiter-di-dauns,
- ^zz++++=EXTRAWORD
di ^&fw++++=EXTRAWORD
- ^zz++++=EXTRAWORD
dauns ^nns+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
that ^tht+vcmp+++=that
Misthress ^nns+nom++??+=Misthress
Tracle ^np+++??+=Tracle
is ^vbz+bez+vrb++=is
head ^nn++++=head
and ^cc++++=and
ears ^nns++++=ears
in ^in++++=in
the ^ati++++=the
love ^nn++++=love
wid ^in+strn+++=wid."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Wid ^in++++=Wid
that ^dt+dem+++=that
we ^pp1a+pp1+++=we
wint ^vbd+++xvbn+=wint
aff ^nn+++??+=aff
to ^in++++=to
the ^ati++++=the
widdy ^nn+++??+=widdy's,
's, ^nn+++??+=EXTRAWORD
next ^ap++++=next
door ^nn++++=door,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
ye ^pp2+pp2+++=ye
may ^md+pos+++=may
well ^rb++++=well
say ^vb+vpub+tht0++=say
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
an ^at++++=an
illigant ^jj+atrb+++=illigant
place ^nn++++=place;
; ^zz++++=EXTRAWORD
so ^ql++++=so
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
was ^vbd+bedz+vrb++=was
a ^at++++=a
carpet ^nn++++=carpet
all ^abn++++=all
over ^in++++=over
the ^ati++++=the
floor ^nn++++=floor,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
in ^in++++=in
one ^cd1++++=one
corner ^npl++++=corner
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
a ^at++++=a
forty ^cd++++=forty-pinny
- ^zz++++=EXTRAWORD
pinny ^nn+++??+=EXTRAWORD
and ^cc++++=and
a ^at++++=a
Jew ^np++++=Jew's
's ^$++++=EXTRAWORD
harp ^nn++++=harp
and ^cc++++=and
the ^ati++++=the
divil ^nn+++??+=divil
knows ^vbz+vprv+++=knows
what ^wdt+who+whcl++=what
ilse ^nn+++??+=ilse,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
in ^in++++=in
another ^ppls++++=another
corner ^npl++++=corner
was ^vbd+bedz+aux++=was
a ^at++++=a
sofy ^vb++++=sofy,
, ^zz++++=EXTRAWORD
the ^ati++++=the
beautifullest ^jjt+atrb+++=beautifullest
thing ^nn++++=thing
in ^in++++=in
all ^abn++++=all
natur ^&fw++++=natur,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
sitting ^vbg+++xvbg+=sitting
on ^in++++=on
the ^ati++++=the
sofy ^vb++++=sofy,
, ^zz++++=EXTRAWORD
sure ^jj++++=sure
enough ^dt++++=enough,
, ^zz++++=EXTRAWORD
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
the ^ati++++=the
swate ^nn++++=swate
little ^ap++++=little
angel ^nn++++=angel,
, ^zz++++=EXTRAWORD
Misthress ^nns+nom++??+=Misthress
Tracle ^np+++??+=Tracle.
. ^zz++++=EXTRAWORD
" ^zz++++="The
the ^ati++++=EXTRAWORD
tip ^nn++++=tip
of ^in++++0=o'
the ^ati++++=the
mornin ^nn+++??+=mornin'
' ^zz++++=EXTRAWORD
to ^in++++=to
ye ^pp2+pp2+++=ye,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
says ^vbz+vpub+tht0++=says
I ^pp1a+pp1+++=I,
, ^zz++++=EXTRAWORD
" ^zz++++="Mrs.
mrs ^npt++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Tracle ^np++++=Tracle,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
and ^cc++++=and
thin ^jj++++=thin
I ^pp1a+pp1+++=I
made ^vbd+++xvbnx+=made
sich ^&fw++++=sich
an ^at++++=an
illigant ^jj+atrb+++=illigant
obaysance ^nn+nom+++=obaysance
that ^tht+rel+obj++=that
it ^pp3+it+++=it
wud ^jj+++??+=wud
ha ^uh++++=ha
quite ^rb++++=quite
althegither ^jjr++++=althegither
bewildered ^jj+++xvbn+=bewildered
the ^ati++++=the
brain ^nn++++=brain
of ^in++++0=o'
ye ^pp2+pp2+++=ye.
. ^zz++++=EXTRAWORD
" ^zz++++="Wully
wully ^jj++++=EXTRAWORD
woo ^vb++++=woo,
, ^zz++++=EXTRAWORD
pully ^jj++++=pully
woo ^vb++++=woo,
, ^zz++++=EXTRAWORD
plump ^jj++++=plump
in ^in++++=in
the ^ati++++=the
mud ^nn++++=mud,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
says ^vbz+vpub+++=says
the ^ati++++=the
little ^rb++++=little
furrenner ^jjr++++=furrenner
Frinchman ^np+nom++??+=Frinchman,
, ^zz++++=EXTRAWORD
" ^zz++++="and
and ^cc++++=EXTRAWORD
sure ^jj+atrb+++=sure
Mrs ^npt++++=Mrs.
. ^zz++++=EXTRAWORD
Tracle ^np++++=Tracle,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
says ^vbz+vpub+tht0++=says
he ^pp3a+pp3+++=he,
, ^zz++++=EXTRAWORD
that ^tht+vcmp+++=that
he ^pp3a+pp3+++=he
did ^vbd+dod+vrb++=did,
, ^zz++++=EXTRAWORD
" ^zz++++="isn't
is ^vbz+bez+vrb++=EXTRAWORD
n't ^xnot++not++0=EXTRAWORD
this ^dt+dem+++=this
gintleman ^nn+nom+++=gintleman
here ^rn+pl+++=here
jist ^nn++++=jist
his ^pp$+pp3+++=his
reverence ^nn+nom+++=reverence
Sir ^npt++++=Sir
Pathrick ^np+++??+=Pathrick
O ^zz++++=O'Grandison,
'grandison, ^nn+++??+=EXTRAWORD
Barronitt ^np+++??+=Barronitt,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
is ^vbz+bez+vrb++=isn't
n't ^xnot++not++0=EXTRAWORD
he ^pp3a+pp3+++=he
althegither ^jjr++++=althegither
and ^cc++++=and
entirely ^rb+amp+++=entirely
the ^ati++++=the
most ^ql+emph+++=most
particular ^jj+atrb+++=particular
frind ^nn+++??+=frind
and ^cc++++=and
acquaintance ^nn+nom+++=acquaintance
that ^tht+rel+obj++=that
I ^pp1a+pp1+++=I
have ^vb+hv+vrb++=have
in ^in++++=in
the ^ati++++=the
houl ^nn+++??+=houl
world ^nn++++=world?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
And ^cc++++=And
wid ^in++++=wid
that ^dt+dem+++=that
the ^ati++++=the
widdy ^nn+++??+=widdy,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
gits ^nns+++??+=gits
up ^rp++++=up
from ^in++++=from
the ^ati++++=the
sofy ^vb++++=sofy,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
makes ^vbz++++=makes
the ^ati++++=the
swatest ^jjt+atrb+++=swatest
curthchy ^nn+++??+=curthchy
nor ^cc++neg++=nor
iver ^jjr++++=iver
was ^vbd+bedz+aux++=was
seen ^vpsv++agls+xvbnx+=seen;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
thin ^jj++++=thin
down ^in++++=down
she ^pp3a+pp3+++=she
sits ^vbz++++=sits
like ^in++++=like
an ^at++++=an
angel ^nn++++=angel;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
thin ^jj++++=thin,
, ^zz++++=EXTRAWORD
by ^in++++=by
the ^ati++++=the
powers ^nns++++=powers,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
that ^dt+dem+++=that
little ^ap++++=little
spalpeen ^jj+++xvbn+=spalpeen
Mounseer ^np+nom++??+=Mounseer
Maiter ^np+++??+=Maiter-di-dauns
- ^zz++++=EXTRAWORD
di ^&fw++++=EXTRAWORD
- ^zz++++=EXTRAWORD
dauns ^nns+++??+=EXTRAWORD
that ^tht+rel+++=that
plumped ^jj+++xvbn+=plumped
his ^pp$+pp3+++=his
silf ^nn+++??+=silf
right ^jj++++=right
down ^rp++++=down
by ^in++++=by
the ^ati++++=the
right ^jj+atrb+++=right
side ^nn++++=side
of ^in++++=of
her ^pp$+pp3+++=her.
. ^zz++++=EXTRAWORD
Och ^uh++++=Och
hon ^npt++++=hon!
! ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
ixpicted ^vbd+++xvbnx+=ixpicted
the ^ati++++=the
two ^cd++++=two
eyes ^nns++++=eyes
of ^in++++0=o'
me ^pp1o+pp1+++=me
wud ^jj+++??+=wud
ha ^uh++++=ha
cum ^&fw++++=cum'd
'd ^md+prd+vrb++0=EXTRAWORD
out ^rp+pl+++=out
of ^in++++=of
my ^pp$+pp1+++=my
head ^jjb++++=head
on ^in++++=on
the ^ati++++=the
spot ^nn++++=spot,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
was ^vbd+bedz+aux++=was
so ^ql++++=so
dispirate ^nn+nom+++=dispirate
mad ^jj++++=mad!
! ^zz++++=EXTRAWORD
Howiver ^np+++??+=Howiver,
, ^zz++++=EXTRAWORD
" ^zz++++="Bait
bait ^nn++++=EXTRAWORD
who ^whp+rel+obj++=who!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
says ^vbz+vpub+tht0++=says
I ^pp1a+pp1+++=I,
, ^zz++++=EXTRAWORD
after ^in++++=after
awhile ^rb++++=awhile.
. ^zz++++=EXTRAWORD
" ^zz++++="Is
is ^vbz+bez+vrb++=EXTRAWORD
it ^pp3+it+++=it
there ^ex+pex+++=there
ye ^pp2+pp2+++=ye
are ^vb+ber+vrb++=are,
, ^zz++++=EXTRAWORD
Mounseer ^np+nom++??+=Mounseer
Maiter ^np+++??+=Maiter-di-dauns?"
- ^zz++++=EXTRAWORD
di ^&fw++++=EXTRAWORD
- ^zz++++=EXTRAWORD
dauns ^vbz+++??+=EXTRAWORD
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
and ^cc++++=and
so ^ql++++=so
down ^rp++++=down
I ^pp1a+pp1+++=I
plumped ^vbd+++xvbnx+=plumped
on ^in++++=on
the ^ati++++=the
lift ^nn++++=lift
side ^nn++++=side
of ^in++++=of
her ^pp$+pp3+++=her
leddyship ^nn+nom+++=leddyship,
, ^zz++++=EXTRAWORD
to ^to++++=to
be ^vbi+vbi+aux++=be
aven ^vpsv++agls+xvbnx+=aven
with ^in++++=with
the ^ati++++=the
willain ^nn+++??+=willain.
. ^zz++++=EXTRAWORD
Botheration ^np+nom++??+=Botheration!
! ^zz++++=EXTRAWORD
it ^pp3+it+++=it
wud ^jj+++??+=wud
ha ^uh++++=ha
done ^vprf+++xvbn+=done
your ^pp$+pp2+++=your
heart ^nn++++=heart
good ^jj++++=good
to ^to+jcmp+++=to
percave ^vb+++??+=percave
the ^ati++++=the
illigant ^nn+nom+++=illigant
double ^jj+atrb+++=double
wink ^nn++++=wink
that ^tht+rel+obj++=that
I ^pp1a+pp1+++=I
gived ^vbd+++xvbnx+=gived
her ^pp3o+pp3+++=her
jist ^nn++++=jist
thin ^jj+atrb+++=thin
right ^nn++++=right
in ^in++++=in
the ^ati++++=the
face ^nn++++=face
with ^in++++=with
both ^abx++++=both
eyes ^nns++++=eyes.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
the ^ati++++=the
little ^jj+atrb+++=little
ould ^np++++=ould
Frinchman ^np+nom++??+=Frinchman
he ^pp3a+pp3+++=he
niver ^jjr++++=niver
beginned ^jj+++xvbn+=beginned
to ^in++++=to
suspict ^nn+++??+=suspict
me ^pp1o+pp1+++=me
at ^rb++++=at
all ^abn++++=all
at ^rb++++=at
all ^abn++++=all,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
disperate ^nn+nom+++=disperate
hard ^jj++++=hard
it ^pp3+it+++=it
was ^vbd+bedz+aux++=was
he ^pp3a+pp3+++=he
made ^vbd+++xvbnx+=made
the ^ati++++=the
love ^vb++++=love
to ^to+vcmp+++=to
her ^pp$+pp3+++=her
leddyship ^nn+nom+++=leddyship.
. ^zz++++=EXTRAWORD
" ^zz++++="Woully
woully ^jj+atrb+++=EXTRAWORD
wou ^nn+++??+=wou,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
says ^vbz+vpub+tht0++=says
he ^pp3a+pp3+++=he,
, ^zz++++=EXTRAWORD
Pully ^np+++??+=Pully
wou ^nn+++??+=wou,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
says ^vbz+vpub+tht0++=says
he ^pp3a+pp3+++=he,
, ^zz++++=EXTRAWORD
" ^zz++++="Plump
plump ^jj++++=EXTRAWORD
in ^in++++=in
the ^ati++++=the
mud ^nn++++=mud,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
says ^vbz+vpub+tht0++=says
he ^pp3a+pp3+++=he.
. ^zz++++=EXTRAWORD
" ^zz++++="That's
that ^dt+pdem+++=EXTRAWORD
's ^vbz+bez+vrb++0=EXTRAWORD
all ^rb++++=all
to ^in++++=to
no ^ati++neg++=no
use ^nn++++=use,
, ^zz++++=EXTRAWORD
Mounseer ^np+nom++??+=Mounseer
Frog ^np+++??+=Frog,
, ^zz++++=EXTRAWORD
mavourneen ^j+++xvbn+=mavourneen,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
thinks ^vbz+vprv+tht0++=thinks
I ^pp1a+pp1+++=I;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I
talked ^vbd+++xvbnx+=talked
as ^ql++++=as
hard ^jj++++=hard
and ^cc++++=and
as ^ql++++=as
fast ^rb++++=fast
as ^ql++++=as
I ^pp1a+pp1+++=I
could ^md+pos+++=could
all ^rb++++=all
the ^ati++++=the
while ^cs+sub+++=while,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
throth ^nn+++??+=throth
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
mesilf ^nn+++??+=mesilf
jist ^nn++++=jist
that ^tht+rel+subj++=that
divarted ^vprf+++xvbn+=divarted
her ^pp$+pp3+++=her
leddyship ^nn+nom+++=leddyship
complately ^jj++++=complately
and ^cc+phrs+++=and
intirely ^jj++++=intirely,
, ^zz++++=EXTRAWORD
by ^in++++=by
rason ^nn+++??+=rason
of ^in++++=of
the ^ati++++=the
illigant ^jj+atrb+++=illigant
conversation ^nn+nom+++=conversation
that ^tht+rel+obj++=that
I ^pp1a+pp1+++=I
kipt ^vbd+++xvbnx+=kipt
up ^rp++++=up
wid ^in++++=wid
her ^pp$+pp3+++=her
all ^abn++++=all
about ^in++++=about
the ^ati++++=the
dear ^jj+atrb+++=dear
bogs ^nns++++=bogs
of ^in++++=of
Connaught ^np+++??+=Connaught.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
by ^in++++=by
and ^cc++++=and
by ^in++++=by
she ^pp3a+pp3+++=she
gived ^vbd+++xvbnx+=gived
me ^pp1o+pp1+++=me
such ^abl++++=such
a ^at++++=a
swate ^nn++++=swate
smile ^nn++++=smile,
, ^zz++++=EXTRAWORD
from ^in++++=from
one ^cd1++++=one
ind ^np++++=ind
of ^in++++=of
her ^pp$+pp3+++=her
mouth ^nn++++=mouth
to ^in++++=to
the ^ati++++=the
ither ^jjr++++=ither,
, ^zz++++=EXTRAWORD
that ^tht+vcmp+++=that
it ^pp3+it+++=it
made ^vbd+++xvbn+=made
me ^pp1o+pp1+++=me
as ^ql++++=as
bould ^vb+++??+=bould
as ^ql++++=as
a ^at++++=a
pig ^nn++++=pig,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I
jist ^nn++++=jist
took ^vbd+++xvbn+=took
hould ^nn+++??+=hould
of ^in++++=of
the ^ati++++=the
ind ^np++++=ind
of ^in++++=of
her ^pp$+pp3+++=her
little ^ap++++=little
finger ^nn++++=finger
in ^in++++=in
the ^ati++++=the
most ^ql+emph+++=most
dillikitest ^jjt+atrb+++=dillikitest
manner ^nn++++=manner
in ^in++++=in
natur ^&fw++++=natur,
, ^zz++++=EXTRAWORD
looking ^vbg+++xvbg+=looking
at ^rb++++=at
her ^pp$+pp3+++=her
all ^abn++++=all
the ^ati++++=the
while ^cs+sub+++=while
out ^rp+pl+++=out
of ^in++++0=o'
the ^ati++++=the
whites ^nns++++=whites
of ^in++++=of
my ^pp$+pp1+++=my
eyes ^nns++++=eyes.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
then ^rn+tm+++=then
ounly ^jj+atrb+++=ounly
percave ^nn+++??+=percave
the ^ati++++=the
cuteness ^nns+nom+++=cuteness
of ^in++++=of
the ^ati++++=the
swate ^nn++++=swate
angel ^nn++++=angel,
, ^zz++++=EXTRAWORD
for ^in++++=for
no ^at++++=no
sooner ^rbr++++=sooner
did ^vbd+dod+vrb++=did
she ^pp3a+pp3+++=she
obsarve ^nn+++??+=obsarve
that ^tht+rel+obj++=that
I ^pp1a+pp1+++=I
was ^vbd+bedz+vrb++=was
afther ^jjr+pred+++=afther
the ^ati++++=the
squazing ^jj+++xvbg+=squazing
of ^in++++=of
her ^pp$+pp3+++=her
flipper ^jjr++++=flipper,
, ^zz++++=EXTRAWORD
than ^in++++=than
she ^pp3a+pp3+++=she
up ^rp++++=up
wid ^in++++=wid
it ^pp3+it+++=it
in ^in++++=in
a ^at++++=a
jiffy ^nn++++=jiffy,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
put ^vb+++xvbn+=put
it ^pp3+it+++=it
away ^rp+pl+++=away
behind ^rp+pl+++=behind
her ^pp3o+pp3+++=her
back ^jjb++++=back,
, ^zz++++=EXTRAWORD
jist ^nn++++=jist
as ^ql++++=as
much ^ap++++=much
as ^in++++=as
to ^in"++++=to
say ^vb+vpub+++=say,
, ^zz++++=EXTRAWORD
" ^zz++++="Now
now ^rn+tm+++=EXTRAWORD
thin ^jj++++=thin,
, ^zz++++=EXTRAWORD
Sir ^npt++++=Sir
Pathrick ^np+++??+=Pathrick
O ^zz++++=O'Grandison,
'grandison, ^nn+++??+=EXTRAWORD
there ^ex+pex+++=there's
's ^vbz+bez+vrb++0=EXTRAWORD
a ^at++++=a
bitther ^jjr+atrb+++=bitther
chance ^nn++++=chance
for ^in++++=for
ye ^pp2+pp2+++=ye,
, ^zz++++=EXTRAWORD
mavourneen ^j+++xvbn+=mavourneen,
, ^zz++++=EXTRAWORD
for ^in++++=for
it ^pp3+it+++=it's
's ^vbz+bez+vrb++0=EXTRAWORD
not ^xnot++not++=not
altogether ^nn+nom+++=altogether
the ^ati++++=the
gentaal ^jj+atrb+++=gentaal
thing ^nn++++=thing
to ^to++++=to
be ^vbi++vrb++=be
afther ^jjr+pred+++=afther
the ^ati++++=the
squazing ^jj+++xvbg+=squazing
of ^in++++=of
my ^pp$+pp1+++=my
flipper ^jjr++++=flipper
right ^jj++++=right
full ^jj++++=full
in ^in++++=in
the ^ati++++=the
sight ^nn++++=sight
of ^in++++=of
that ^dt+dem+++=that
little ^ap++++=little
furrenner ^jjr++++=furrenner
Frinchman ^np+nom++??+=Frinchman,
, ^zz++++=EXTRAWORD
Mounseer ^np+nom++??+=Mounseer
Maiter ^np+++??+=Maiter-di-dauns."
- ^zz++++=EXTRAWORD
di ^&fw++++=EXTRAWORD
- ^zz++++=EXTRAWORD
dauns ^nns+++??+=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Wid ^in++++=Wid
that ^dt+dem+++=that
I ^pp1a+pp1+++=I
giv ^nn+++??+=giv'd
'd ^md+prd+vrb++0=EXTRAWORD
her ^pp$+pp3+++=her
a ^at++++=a
big ^jj+atrb+++=big
wink ^nn++++=wink
jist ^nn++++=jist
to ^to++++=to
say ^vbi+vpub+++=say,
, ^zz++++=EXTRAWORD
" ^zz++++="lit
lit ^jj+++xvbn+=EXTRAWORD
Sir ^npt++++=Sir
Pathrick ^np+++??+=Pathrick
alone ^rb++++=alone
for ^in++++=for
the ^ati++++=the
likes ^nns++++=likes
of ^in++++0=o'
them ^pp3o+pp3+++=them
thricks ^nns+++??+=thricks,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
and ^cc++++=and
thin ^jj++++=thin
I ^pp1a+pp1+++=I
wint ^vbd+++xvbnx+=wint
aisy ^nn+++??+=aisy
to ^in++++=to
work ^nn++++=work,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
you ^pp2+pp2+++=you'd
'd ^md+prd+aux++0=EXTRAWORD
have ^vb+hv+aux++=have
died ^vprf+++xvbnx+=died
wid ^in++++=wid
the ^ati++++=the
divarsion ^nn+++??+=divarsion
to ^in++++=to
behould ^nn+++??+=behould
how ^wrb+who+++=how
cliverly ^rb++++=cliverly
I ^pp1a+pp1+++=I
slipped ^vbd+++xvbnx+=slipped
my ^pp$+pp1+++=my
right ^jj++++=right
arm ^vb++++=arm
betwane ^nn+++??+=betwane
the ^ati++++=the
back ^nn++++=back
of ^in++++0=o'
the ^ati++++=the
sofy ^vb++++=sofy,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
back ^nn++++=back
of ^in++++=of
her ^pp$+pp3+++=her
leddyship ^nn+nom+++=leddyship,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
there ^rn+pl+++=there,
, ^zz++++=EXTRAWORD
sure ^jj++++=sure
enough ^dt++++=enough,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
found ^vbd+vprv++xvbnx+=found
a ^at++++=a
swate ^nn++++=swate
little ^ap++++=little
flipper ^jjr++++=flipper
all ^abn++++=all
a ^at++++=a
waiting ^vb+++xvbg+=waiting
to ^to+vcmp+++=to
say ^vbi+vpub+++=say,
, ^zz++++=EXTRAWORD
" ^zz++++="the
the ^ati++++=EXTRAWORD
tip ^nn++++=tip
of ^in++++0=o'
the ^ati++++=the
mornin ^nn+++??+=mornin'
' ^zz++++=EXTRAWORD
to ^in++++=to
ye ^pp2+pp2+++=ye,
, ^zz++++=EXTRAWORD
Sir ^npt++++=Sir
Pathrick ^np+++??+=Pathrick
O ^zz++++=O'Grandison,
'grandison, ^nn+++??+=EXTRAWORD
Barronitt ^np+++??+=Barronitt."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
And ^cc++++=And
was ^vbd+bedz+vrb++=wasn't
n't ^xnot++not++0=EXTRAWORD
it ^pp3+it+++=it
mesilf ^nn+++??+=mesilf,
, ^zz++++=EXTRAWORD
sure ^jj++++=sure,
, ^zz++++=EXTRAWORD
that ^dt+dem+++=that
jist ^nn++++=jist
giv ^nn+++??+=giv'd
'd ^md+prd+vrb++0=EXTRAWORD
it ^pp3+it+++=it
the ^ati++++=the
laste ^nn+++??+=laste
little ^ap++++=little
bit ^nn++++=bit
of ^in++++=of
a ^at++++=a
squaze ^nn+++??+=squaze
in ^in++++=in
the ^ati++++=the
world ^nn++++=world,
, ^zz++++=EXTRAWORD
all ^abn++++=all
