His ^pp$+pp3+++=His
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
it ^pp3+it+++=it
may ^md+pos+++=may
yet ^rb++++=yet
go ^vb++++=go
well ^jj+pred+++=well.
. ^zz++++=EXTRAWORD
Let ^j+++xvbn+=Let
us ^pp1o+pp1+++=us
make ^vb++++=make
the ^ati++++=the
case ^nn++++=case
complete ^jj++++=complete.
. ^zz++++=EXTRAWORD
Bring ^vb++++=Bring
a ^at++++=a
kid ^nn++++=kid
and ^cc++++=and
my ^pp$+pp1+++=my
tulwar ^nn+++??+=tulwar.
. ^zz++++=EXTRAWORD
See ^vb+vprv+++=See
you ^pp2+pp2+++=you
not ^xnot++not++=not
now ^rn+tm+++=now,
, ^zz++++=EXTRAWORD
O ^zz++++=O
fools ^nns++++=fools?
? ^zz++++=EXTRAWORD
A ^at++++=A
kick ^nn++++=kick
for ^in++++=for
a ^at++++=a
horse ^nn++++=horse,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
a ^at++++=a
word ^nn++++=word
is ^vbz+bez+vrb++=is
enough ^qlp++++=enough
for ^in++++=for
a ^at++++=a
man ^nn++++=man.'
. ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
of ^in++++=of
the ^ati++++=the
Thana ^np+++??+=Thana,
, ^zz++++=EXTRAWORD
perceiving ^nn++++=perceiving
quickly ^rb++++=quickly
what ^wdt+who+++=what
was ^vbd+bedz+vrb++=was
in ^in++++=in
the ^ati++++=the
mind ^nn++++=mind
of ^in++++=of
the ^ati++++=the
Havildar ^np+++??+=Havildar,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
greatly ^rb+amp+++=greatly
fearing ^vbg+vprv++xvbg+=fearing
that ^tht+vcmp+++=that
the ^ati++++=the
service ^nn++++=service
would ^md+prd+++=would
be ^vb+be+aux++=be
lost ^vpsv++agls+xvbnx+=lost,
, ^zz++++=EXTRAWORD
made ^jj+atrb++xvbn+=made
haste ^nn++++=haste
to ^to++++=to
take ^vbi++++=take
the ^ati++++=the
kid ^nn++++=kid
into ^in++++=into
the ^ati++++=the
inner ^jjb+atrb+++=inner
room ^nn++++=room,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
attended ^vpsv++agls+xvbn+=attended
to ^in++++=to
the ^ati++++=the
words ^nns++++=words
of ^in++++=of
the ^ati++++=the
Havildar ^np+++??+=Havildar.
. ^zz++++=EXTRAWORD
it ^pp3+it+++0='Twenty
wenty ^nn+++??+=EXTRAWORD
dacoits ^nns+++??+=dacoits
came ^vbd+++xvbn+=came,'
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
the ^ati++++=the
Havildar ^np+++??+=Havildar,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
we ^pp1a+pp1+++=we,
, ^zz++++=EXTRAWORD
taking ^vbg+++xvbg+=taking
his ^pp$+pp3+++=his
words ^nns++++=words,
, ^zz++++=EXTRAWORD
repeated ^j+++xvbn+=repeated
after ^in++++=after
him ^pp3o+pp3+++=him
according ^in+cmpx+++=according
to ^in++++=to
custom ^nn++++=custom.
. ^zz++++=EXTRAWORD
' ^zz++++='There
there ^ex+pex+++=EXTRAWORD
was ^vbd+bedz+vrb++=was
a ^at++++=a
great ^jj+atrb+++=great
fight ^nn++++=fight,'
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
the ^ati++++=the
Havildar ^np+++??+=Havildar,
, ^zz++++=EXTRAWORD
' ^zz++++='and
and ^cc++++=EXTRAWORD
of ^in++++=of
us ^pp1o+pp1+++=us
no ^at++++=no
man ^nn++++=man
escaped ^vbd+++xvbn+=escaped
unhurt ^nn+++??+=unhurt.
. ^zz++++=EXTRAWORD
The ^ati++++=The
bars ^nns++++=bars
of ^in++++=of
the ^ati++++=the
window ^nn++++=window
were ^vbd+bed+aux++=were
broken ^vpsv++agls+xvbnx+=broken.
. ^zz++++=EXTRAWORD
Suruj ^np+++??+=Suruj
Bul ^np+++??+=Bul,
, ^zz++++=EXTRAWORD
see ^vb+vprv+++=see
thou ^pp2+pp2+++=thou
to ^in++++=to
that ^dt+pdem+++=that;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and,
, ^zz++++=EXTRAWORD
O ^zz++++=O
men ^nns++++=men,
, ^zz++++=EXTRAWORD
put ^jj+atrb++xvbn+=put
speed ^nn++++=speed
into ^in++++=into
your ^pp$+pp2+++=your
work ^nn++++=work,
, ^zz++++=EXTRAWORD
for ^in++++=for
a ^at++++=a
runner ^nn++++=runner
must ^md+nec+++=must
go ^vb++++=go
with ^in++++=with
the ^ati++++=the
news ^nn++++=news
to ^in++++=to
The ^ati++++=The
Tiger ^nn++++=Tiger
of ^in++++=of
Gokral ^np+++??+=Gokral-Seetarun.'
- ^zz++++=EXTRAWORD
seetarun ^nn+++??+=EXTRAWORD
. ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
Thereon ^rb+cnj+++=Thereon,
, ^zz++++=EXTRAWORD
Suruj ^np+++??+=Suruj
Bul ^np+++??+=Bul,
, ^zz++++=EXTRAWORD
leaning ^vbg+++xvbg+=leaning
with ^in++++=with
his ^pp$+pp3+++=his
shoulder ^nn+nom+++=shoulder,
, ^zz++++=EXTRAWORD
brake ^nn++++=brake
in ^in++++=in
the ^ati++++=the
bars ^nns++++=bars
of ^in++++=of
the ^ati++++=the
window ^nn++++=window,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I,
, ^zz++++=EXTRAWORD
beating ^vbg+++xvbg+=beating
her ^pp$+pp3+++=her
with ^in++++=with
a ^at++++=a
whip ^nn++++=whip,
, ^zz++++=EXTRAWORD
made ^j+++xvbn+=made
the ^ati++++=the
Havildar ^np++++=Havildar's
's ^$++++=EXTRAWORD
mare ^nn++++=mare
skip ^vb++++=skip
among ^in++++=among
the ^ati++++=the
melon ^nn++++=melon-beds
- ^zz++++=EXTRAWORD
beds ^nns++++=EXTRAWORD
till ^cs+sub+++=till
they ^pp3a+pp3+++=they
were ^vbd+bed+aux++=were
much ^ap++++=much
trodden ^vprf+++xvbn+=trodden
with ^in++++=with
hoof ^nn++++=hoof-prints.
- ^zz++++=EXTRAWORD
prints ^nns++++=EXTRAWORD
. ^zz++++=EXTRAWORD
These ^dt+dem+++=These
things ^nns++++=things
being ^xvbg+++xvbg+=being
made ^vbd+++xvbn+=made,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
returned ^vbd+++xvbnx+=returned
to ^in++++=to
the ^ati++++=the
Thana ^np+++??+=Thana,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
goat ^nn++++=goat
was ^vbd+bedz+vrb++=was
slain ^nn+++??+=slain,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
certain ^jj+atrb+++=certain
portions ^nns+nom+++=portions
of ^in++++=of
the ^ati++++=the
walls ^nns++++=walls
were ^vbd+bed+vrb++=were
blackened ^jj+pred+++=blackened
with ^in++++=with
fire ^nn++++=fire,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
each ^dt++++=each
man ^nn++++=man
dipped ^vbd+++xvbn+=dipped
his ^pp$+pp3+++=his
clothes ^nns++++=clothes
a ^rb++++=a
little ^rb"++++=little
into ^in++++=into
the ^ati++++=the
blood ^nn++++=blood
of ^in++++=of
the ^ati++++=the
goat ^nn++++=goat.
. ^zz++++=EXTRAWORD
Know ^vb+vprv+++=Know,
, ^zz++++=EXTRAWORD
O ^zz++++=O
Sahib ^np+++??+=Sahib,
, ^zz++++=EXTRAWORD
that ^tht+vcmp+++=that
a ^at++++=a
wound ^nn++++=wound
made ^vwbn+++xvbn+=made
by ^in++++=by
man ^nn++++=man
upon ^in++++=upon
his ^pp$+pp3+++=his
own ^ap++++=own
body ^nn++++=body
can ^md+pos+++=can,
, ^zz++++=EXTRAWORD
by ^in++++=by
those ^dt+dem+++=those
skilled ^jj++++=skilled,
, ^zz++++=EXTRAWORD
be ^vb+be+aux++=be
easily ^rb++splt++=easily
discerned ^vpsv++agls+xvbnx+=discerned
from ^in++++=from
a ^at++++=a
wound ^nn++++=wound
wrought ^vwbn+++xvbn+=wrought
by ^in++++=by
another ^dt++++=another
man ^nn++++=man.
. ^zz++++=EXTRAWORD
Therefore ^rb+cnj+++=Therefore,
, ^zz++++=EXTRAWORD
the ^ati++++=the
Havildar ^np+++??+=Havildar,
, ^zz++++=EXTRAWORD
taking ^vbg+++xvbg+=taking
his ^pp$+pp3+++=his
tulwar ^nn+++??+=tulwar,
, ^zz++++=EXTRAWORD
smote ^jj+atrb++xvbn+=smote
one ^pn++++=one
of ^in++++=of
us ^pp1o+pp1+++=us
lightly ^rb++++=lightly
on ^in++++=on
the ^ati++++=the
forearm ^nn++++=forearm
in ^in++++=in
the ^ati++++=the
fat ^nn++++=fat,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
another ^dt++++=another
on ^in++++=on
the ^ati++++=the
leg ^nn++++=leg,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
third ^od++++=third
on ^rp++++=on
the ^ati++++=the
back ^nn++++=back
of ^in++++=of
the ^ati++++=the
hand ^nn++++=hand.
. ^zz++++=EXTRAWORD
Thus ^rb+cnj+++=Thus
dealt ^vbd+++xvbn+=dealt
he ^pp3a+pp3+++=he
with ^in++++=with
all ^rb++++=all
of ^in++++=of
us ^pp1o+pp1+++=us
till ^in++++=till
the ^ati++++=the
blood ^nn++++=blood
came ^vbd+++xvbn+=came;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Suruj ^np+++??+=Suruj
Bul ^np+++??+=Bul,
, ^zz++++=EXTRAWORD
more ^rbr++++=more
eager ^jj++++=eager
than ^in++++=than
the ^ati++++=the
others ^aps++++=others,
, ^zz++++=EXTRAWORD
took ^j+++xvbn+=took
out ^rp+pl+++=out
much ^ap++++=much
hair ^nn++++=hair.
. ^zz++++=EXTRAWORD
O ^zz++++=O
Sahib ^np+++??+=Sahib,
, ^zz++++=EXTRAWORD
never ^rb++++=never
was ^vbd+bedz+aux++=was
so ^ql++++=so
perfect ^vb++++=perfect
an ^at++++=an
arrangement ^nn+nom+++=arrangement.
. ^zz++++=EXTRAWORD
Yea ^np+++??+=Yea,
, ^zz++++=EXTRAWORD
even ^rb++++=even
I ^pp1a+pp1+++=I
would ^md+prd+++=would
have ^vb+hv+aux++=have
sworn ^vprf+++xvbn+=sworn
that ^tht+vcmp+++=that
the ^ati++++=the
Thana ^np+++??+=Thana
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
treated ^vpsv++agls+xvbnx+=treated
as ^ql++++=as
we ^pp1a+pp1+++=we
said ^vbd+vpub++xvbn+=said.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
was ^vbd+bedz+vrb++=was
smoke ^nn++++=smoke
and ^cc++++=and
breaking ^nvbg+++xvbg+=breaking
and ^cc++++=and
blood ^nn++++=blood
and ^cc++++=and
trampled ^vbd+++xvbn+=trampled
earth ^nn++++=earth.
. ^zz++++=EXTRAWORD
' ^zz++++='Ride
ride ^vb++++=EXTRAWORD
now ^rn+tm+++=now,
, ^zz++++=EXTRAWORD
Maula ^np+++??+=Maula
Baksh ^np+++??+=Baksh,'
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
said ^vbd+vpub+tht0+xvbn+=said
the ^ati++++=the
Havildar, ^np+++??+=Havildar,'to
'to ^vbd+++xvbn+0=EXTRAWORD
the ^ati++++=the
house ^nn++++=house
of ^in++++=of
the ^ati++++=the
Stunt ^nn++++=Stunt
Sahib ^np+++??+=Sahib,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
carry ^vb++++=carry
the ^ati++++=the
news ^nn++++=news
of ^in++++=of
the ^ati++++=the
dacoity ^nn+nom+++=dacoity.
. ^zz++++=EXTRAWORD
Do ^vb+do+vrb++=Do
you ^pp2+pp2+++=you
also ^rb+cnj+++=also,
, ^zz++++=EXTRAWORD
O ^zz++++=O
Afzal ^np+++??+=Afzal
Khan ^npt++++=Khan,
, ^zz++++=EXTRAWORD
run ^j+++xvbn+=run
there ^rn+pl+++=there,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
take ^vb++++=take
heed ^nn++++=heed
that ^tht+rel+obj++=that
you ^pp2+pp2+++=you
are ^vb+ber+aux++=are
mired ^vpsv++agls+xvbnx+=mired
with ^in++++=with
sweat ^nn++++=sweat
and ^cc++++=and
dust ^nn++++=dust
on ^in++++=on
your ^pp$+pp2+++=your
incoming ^jj++++=incoming.
. ^zz++++=EXTRAWORD
The ^ati++++=The
blood ^nn++++=blood
will ^md+prd+++=will
be ^vb+be+vrb++=be
dry ^jj+pred+++=dry
on ^in++++=on
the ^ati++++=the
clothes ^nns++++=clothes.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
will ^md+prd+++=will
stay ^vb++++=stay
and ^cc+phrs+++=and
send ^vb++++=send
a ^at++++=a
straight ^nn++++=straight
report ^vb++++=report
to ^to+vcmp+++=to
the ^ati++++=the
Dipty ^np+++??+=Dipty
Sahib ^np+++??+=Sahib,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
we ^pp1a+pp1+++=we
will ^md+prd+++=will
catch ^vb++++=catch
certain ^jj++++=certain
that ^tht+jcmp+++=that
ye ^pp2+pp2+++=ye
know ^vb+vprv+++=know
of ^in+strn+++=of,
, ^zz++++=EXTRAWORD
villagers ^nns+nom+++=villagers,
, ^zz++++=EXTRAWORD
so ^ql++++=so
that ^cs+sub+++=that
all ^abn++++=all
may ^md+pos+++=may
be ^vb+be+vrb++=be
ready ^jj+pred+++=ready
against ^in++++=against
the ^ati++++=the
Dipty ^np+++??+=Dipty
Sahib ^np++++=Sahib's
's ^$++++=EXTRAWORD
arrival ^nn++++=arrival.'
. ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
Thus ^rb+cnj+++=Thus
Maula ^np+++??+=Maula
Baksh ^np+++??+=Baksh
rode ^vbd+++xvbn+=rode
and ^cc++++=and
I ^pp1a+pp1+++=I
ran ^vbd+++xvbnx+=ran
hanging ^vbg+++xvbg+=hanging
on ^in++++=on
the ^ati++++=the
stirrup ^nn++++=stirrup,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
together ^nn+nom+++=together
we ^pp1a+pp1+++=we
came ^vbd+++xvbn+=came
in ^in++++=in
an ^at++++=an
evil ^jj+atrb+++=evil
plight ^nn++++=plight
before ^in++++=before
The ^ati++++=The
Tiger ^nn++++=Tiger
of ^in++++=of
Gokral ^np+++??+=Gokral-Seetarun
- ^zz++++=EXTRAWORD
seetarun ^nn+++??+=EXTRAWORD
in ^in++++=in
the ^ati++++=the
Rohestri ^np+++??+=Rohestri
tehsil ^nn+++??+=tehsil.
. ^zz++++=EXTRAWORD
Our ^pp$+pp1+++=Our
tale ^nn++++=tale
was ^vbd+bedz+vrb++=was
long ^rb++++=long
and ^cc++++=and
correct ^jj++++=correct,
, ^zz++++=EXTRAWORD
Sahib ^np+++??+=Sahib,
, ^zz++++=EXTRAWORD
for ^in++++=for
we ^pp1a+pp1+++=we
gave ^vbd+++xvbn+=gave
even ^rb++++=even
the ^ati++++=the
names ^nns++++=names
of ^in++++=of
the ^ati++++=the
dacoits ^nns+++??+=dacoits
and ^cc++++=and
the ^ati++++=the
issue ^nn++++=issue
of ^in++++=of
the ^ati++++=the
fight ^nn++++=fight
and ^cc++++=and
besought ^vprf+++xvbn+=besought
him ^pp3o+pp3+++=him
to ^to++++=to
come ^vbi++++=come.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
The ^ati++++=The
Tiger ^nn++++=Tiger
made ^vbd+++xvbn+=made
no ^at++++=no
sign ^vb++++=sign,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
only ^rb+down+++=only
smiled ^vbd+++xvbn+=smiled
after ^in++++=after
the ^ati++++=the
manner ^nn++++=manner
of ^in++++=of
Sahibs ^np+++??+=Sahibs
when ^wrb+who+++=when
they ^pp3a+pp3+++=they
have ^vb+hv+vrb++=have
a ^at++++=a
wickedness ^nns+nom+++=wickedness
in ^in++++=in
their ^pp$+pp3+++=their
hearts ^nns++++=hearts.
. ^zz++++=EXTRAWORD
' ^zz++++='Swear
swear ^nn+++xvbn+=EXTRAWORD
ye ^pp2+pp2+++=ye
to ^in++++=to
the ^ati++++=the
rapport ^nn+++??+=rapport?'
? ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
said ^vbd+vpub+tht0+xvbn+=said
he ^pp3a+pp3+++=he,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
we ^pp1a+pp1+++=we
said ^vbd+vpub++xvbn+=said:
: ^zz++++=EXTRAWORD
' ^zz++++='Thy
thy ^pp$+pp2+++=EXTRAWORD
servants ^nns+nom+++=servants
swear ^vbd+++xvbn+=swear.
. ^zz++++=EXTRAWORD
The ^ati++++=The
blood ^nn++++=blood
of ^in++++=of
the ^ati++++=the
fight ^nn++++=fight
is ^vbz+bez+vrb++=is
but ^cc++++=but
newly ^rb++++=newly
dry ^jj++++=dry
upon ^in++++=upon
us ^pp1o+pp1+++=us.
. ^zz++++=EXTRAWORD
Judge ^nn++++=Judge
thou ^pp2+pp2+++=thou
if ^cs+cnd+++=if
it ^pp3+it+++=it
be ^vb+be+vrb++=be
the ^ati++++=the
blood ^nn++++=blood
of ^in++++=of
the ^ati++++=the
servants ^nns+nom+++=servants
of ^in++++=of
the ^ati++++=the
Presence ^nn+nom+++=Presence,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
not ^xnot++not++=not.'
. ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
And ^cc++++=And
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said:
: ^zz++++=EXTRAWORD
' ^zz++++='I
i ^pp1a+pp1+++=EXTRAWORD
see ^vb+vprv+++=see.
. ^zz++++=EXTRAWORD
Ye ^pp2+pp2+++=Ye
have ^vb+hv+aux++=have
done ^vprf+++xvbnx+=done
well ^jj+pred+++=well.'
. ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
But ^cc++++=But
he ^pp3a+pp3+++=he
did ^vbd+dod+aux++=did
not ^xnot++not++=not
call ^vb++++=call
for ^in+ppvb+++=for
his ^pp$+pp3+++=his
horse ^nn++++=horse
or ^cc++++=or
his ^pp$+pp3+++=his
devil ^nn++++=devil-carriage,
- ^zz++++=EXTRAWORD
carriage ^nn+nom+++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
scour ^vb++++=scour
the ^ati++++=the
land ^nn++++=land
as ^ql++++=as
was ^vbd+bedz+vrb++=was
his ^pp$+pp3+++=his
custom ^nn++++=custom.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
said ^vbd+vpub++xvbnx+=said:
: ^zz++++=EXTRAWORD
' ^zz++++='Rest
rest ^nn++++=EXTRAWORD
now ^rn+tm+++=now
and ^cc++++=and
eat ^vb++++=eat
bread ^nn++++=bread,
, ^zz++++=EXTRAWORD
for ^in++++=for
ye ^pp2+pp2+++=ye
be ^vb+be+aux++=be
wearied ^vprf+++xvbn+=wearied
men ^nns++++=men.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
will ^md+prd+++=will
wait ^vb++++=wait
the ^ati++++=the
coming ^jj+++xvbg+=coming
of ^in++++=of
the ^ati++++=the
Dipty ^np+++??+=Dipty
Sahib ^np+++??+=Sahib.'
. ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
Now ^rn+tm+++=Now
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
the ^ati++++=the
order ^vb++++=order
that ^tht+vcmp+++=that
the ^ati++++=the
Havildar ^np+++??+=Havildar
of ^in++++=of
the ^ati++++=the
Thana ^np+++??+=Thana
should ^md+nec+++=should
send ^vb++++=send
a ^at++++=a
straight ^nn++++=straight
report ^vb++++=report
of ^in++++=of
all ^abn++++=all
dacoities ^nns+nom+++=dacoities
to ^in++++=to
the ^ati++++=the
Dipty ^np+++??+=Dipty
Sahib ^np+++??+=Sahib.
. ^zz++++=EXTRAWORD
At ^in++++=At
noon ^nn++++=noon
came ^vbd+++xvbn+=came
he ^pp3a+pp3+++=he,
, ^zz++++=EXTRAWORD
a ^at++++=a
fat ^nn++++=fat
man ^nn++++=man
and ^cc++++=and
an ^at++++=an
old ^jj++++=old,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
overbearing ^jj++++=overbearing
withal ^rb+cnj+++=withal,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
we ^pp1a+pp1+++=we
of ^in++++=of
the ^ati++++=the
Thana ^np+++??+=Thana
had ^vb+hv+vrb++=had
no ^at++++=no
fear ^nn++++=fear
of ^in++++=of
his ^pp$+pp3+++=his
anger ^nn++++=anger;
; ^zz++++=EXTRAWORD
dreading ^jj+++xvbg+=dreading
more ^rbr++++=more
the ^ati++++=the
silences ^nns+nom+++=silences
of ^in++++=of
The ^ati++++=The
Tiger ^nn++++=Tiger
of ^in++++=of
Gokral ^np+++??+=Gokral-Seetarun.
- ^zz++++=EXTRAWORD
seetarun ^nn+++??+=EXTRAWORD
. ^zz++++=EXTRAWORD
With ^in++++=With
him ^pp3o+pp3+++=him
came ^vbd+++xvbn+=came
Ram ^vb++++=Ram
Baksh ^np+++??+=Baksh,
, ^zz++++=EXTRAWORD
the ^ati++++=the
Havildar ^np+++??+=Havildar,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
others ^aps++++=others,
, ^zz++++=EXTRAWORD
guarding ^nvbg+++xvbg+=guarding
ten ^cd++++=ten
men ^nns++++=men
of ^in++++=of
the ^ati++++=the
village ^nn+nom+++=village
of ^in++++=of
Howli ^np+++??+=Howli--all
-- ^--+clp+++=EXTRAWORD
all ^abn++++=EXTRAWORD
men ^nns++++=men
evil ^jj++++=evil
affected ^jj+++xvbn+=affected
towards ^in++++=towards
the ^ati++++=the
Police ^nns++++=Police
of ^in++++=of
the ^ati++++=the
Sirkar ^np+++??+=Sirkar.
. ^zz++++=EXTRAWORD
As ^ql++++=As
prisoners ^nns+nom+++=prisoners
they ^pp3a+pp3+++=they
came ^vbd+++xvbnx+=came,
, ^zz++++=EXTRAWORD
the ^ati++++=the
irons ^nns++++=irons
upon ^in++++=upon
their ^pp$+pp3+++=their
hands ^nns++++=hands,
, ^zz++++=EXTRAWORD
crying ^nvbg+++xvbg+=crying
for ^in++++=for
mercy ^nn++++=mercy--Imam
-- ^--+clp+++=EXTRAWORD
imam ^npt++++=EXTRAWORD
Baksh ^np+++??+=Baksh,
, ^zz++++=EXTRAWORD
the ^ati++++=the
farmer ^nn++++=farmer,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
had ^vbd+hvd+aux++=had
denied ^vprf++tht0+xvbnx+=denied
his ^pp$+pp3+++=his
wife ^nn++++=wife
to ^in++++=to
the ^ati++++=the
Havildar ^np+++??+=Havildar,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
others ^aps++++=others,
, ^zz++++=EXTRAWORD
ill ^jj++++=ill-conditioned
- ^zz++++=EXTRAWORD
conditioned ^vbd+++xvbn+=EXTRAWORD
rascals ^nns+nom+++=rascals
against ^in++++=against
whom ^whp+rel+pied++=whom
we ^pp1a+pp1+++=we
of ^in++++=of
the ^ati++++=the
Thane ^np+++??+=Thane
bore ^vbd+++xvbn+=bore
spite ^in"++++=spite.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+aux++=was
well ^rb++++=well
done ^vbd+++xvbn+=done,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
Havildar ^np+++??+=Havildar
was ^vbd+bedz+vrb++=was
proud ^jj+pred+++=proud.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
the ^ati++++=the
Dipty ^np+++??+=Dipty
Sahib ^np+++??+=Sahib
was ^vbd+bedz+vrb++=was
angry ^jj+pred+++=angry
with ^in++++=with
the ^ati++++=the
Stunt ^nn++++=Stunt
for ^in++++=for
lack ^nn++++=lack
of ^in++++=of
zeal ^nn++++=zeal,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
said ^vbd+vpub++xvbn+=said
' ^zz++++='Dam-Dam'
dam ^nn++++=EXTRAWORD
- ^zz++++=EXTRAWORD
dam ^nn++++=EXTRAWORD
' ^zz++++=EXTRAWORD
after ^in++++=after
the ^ati++++=the
custom ^nn++++=custom
of ^in++++=of
the ^ati++++=the
English ^jj+atrb+++=English
people ^nns++++=people,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
extolled ^vbd+++xvbn+=extolled
the ^ati++++=the
Havildar ^np+++??+=Havildar.
. ^zz++++=EXTRAWORD
Yunkum ^np+++??+=Yunkum
Sahib ^np+++??+=Sahib
lay ^vbd+++xvbn+=lay
still ^jj+pred+++=still
in ^in++++=in
his ^pp$+pp3+++=his
long ^jj+atrb+++=long
chair ^nn++++=chair.
. ^zz++++=EXTRAWORD
' ^zz++++='Have
have ^vb+hv+vrb++=EXTRAWORD
the ^ati++++=the
men ^nns++++=men
sworn ^vprf+++xvbn+=sworn?'
? ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Yunkum ^np+++??+=Yunkum
Sahib ^np+++??+=Sahib.
. ^zz++++=EXTRAWORD
' ^zz++++='Aye,
aye ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
captured ^vbd+++xvbn+=captured
ten ^cd++++=ten
evildoers ^nns+nom+++=evildoers,'
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
the ^ati++++=the
Dipty ^np+++??+=Dipty
Sahib ^np+++??+=Sahib.
. ^zz++++=EXTRAWORD
' ^zz++++='There
there ^ex+pex+++=EXTRAWORD
be ^vb+be+vrb++=be
more ^rbr++++=more
abroad ^rb+pl+++=abroad
in ^in++++=in
_your_ ^nn+++??+=_your_
charge ^nn++++=charge.
. ^zz++++=EXTRAWORD
Take ^vb++++=Take
horse ^nn++++=horse--ride,
-- ^--+clp+++=EXTRAWORD
ride ^vb++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
go ^vb++++=go
in ^in++++=in
the ^ati++++=the
name ^nn++++=name
of ^in++++=of
the ^ati++++=the
Sirkar ^np+++??+=Sirkar!'
! ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
' ^zz++++='Truly
truly ^rb++++=EXTRAWORD
there ^ex+pex+++=there
be ^vb+be+vrb++=be
more ^ql++++=more
evil ^nn++++=evil-doers
- ^zz++++=EXTRAWORD
doers ^nns++++=EXTRAWORD
abroad ^rb+cnj+++=abroad,'
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Yunkum ^np+++??+=Yunkum
Sahib ^np+++??+=Sahib,
, ^zz++++=EXTRAWORD
' ^zz++++='but
but ^cc++++=EXTRAWORD
there ^ex+pex+++=there
is ^vbz+bez+vrb++=is
no ^at++++=no
need ^nn++++=need
of ^in++++=of
a ^at++++=a
horse ^nn++++=horse.
. ^zz++++=EXTRAWORD
Come ^vprf+++xvbn+=Come
all ^abn++++=all
men ^nns++++=men
with ^in++++=with
me ^pp1o+pp1+++=me.'
. ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
saw ^vbd+vprv++xvbnx+=saw
the ^ati++++=the
mark ^nn++++=mark
of ^in++++=of
a ^at++++=a
string ^nn++++=string
