Puppy ^np+++??+=PUPPY
good ^jj+atrb+++=good
laugh ^nn++++=laugh
when ^wrb+who+++=when
he ^pp3a+pp3+++0=he'd
'd ^md+prd+aux++=EXTRAWORD
accidentally ^rb++splt++=accidentally
knocked ^vprf+++xvbnx+=knocked
off ^in+pl+++=off
her ^pp$+pp3+++=her
glasses ^nns++++=glasses.
. ^zz++++=EXTRAWORD
So ^ql++++=So
her ^pp$+pp3+++=her
mother ^nn++++=mother
could ^md+pos+++=could
go ^vb++++=go
right ^nn++++=right
ahead ^rb+pl+++=ahead
and ^cc++++=and
claim ^nn++++=claim
that ^tht+ncmp+++=that
she ^pp3a+pp3+++=she
was ^vbd+bedz+aux++=was
spoiling ^nvbg+++xvbg+=spoiling
the ^ati++++=the
kids ^nns++++=kids.
. ^zz++++=EXTRAWORD
These ^dt+pdem+++=These
were ^vbd+bed+vrb++=were
not ^xnot++not++=not
spoiled ^jj+atrb++xvbn+=spoiled
kids ^nns++++=kids.
. ^zz++++=EXTRAWORD
These ^dt+pdem+++=These
were ^vbd+bed+vrb++=were
well ^rb++++=well-loved
- ^zz++++=EXTRAWORD
loved ^xvbn+++xvbn+=EXTRAWORD
kids ^nns++++=kids.
. ^zz++++=EXTRAWORD
At ^rb++++=At
least ^rb"++++=least
she ^pp3a+pp3+++0=she'd
'd ^md+prd+aux++=EXTRAWORD
never ^rb++splt++=never
left ^vprf+++xvbnx+=left
one ^pn++++=one
of ^in++++=of
them ^pp3o+pp3+++=them
standing ^nvbg+++xvbg+=standing
in ^in++++=in
a ^at++++=a
blizzard ^nn++++=blizzard
for ^in++++=for
two ^cd++++=two
hours ^nns++++=hours
after ^in++++=after
a ^at++++=a
junior ^jj++++=junior-high
- ^zz++++=EXTRAWORD
high ^jj+atrb+++=EXTRAWORD
dance ^nn++++=dance.
. ^zz++++=EXTRAWORD
At ^rb++++=At
least ^rb"++++=least
she ^pp3a+pp3+++0=she'd
'd ^md+prd+vrb++=EXTRAWORD
never ^rb++++=never
drunkenly ^jj++++=drunkenly
snapped ^jj+++xvbn+=snapped
at ^rb++++=at
one ^pn++++=one
of ^in++++=of
them ^pp3o+pp3+++=them,
, ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
hardly ^rb+down+++=hardly
consider ^nn+nom+++=consider
you ^pp2+pp2+++=you
college ^npl++++=college
material ^nn++++=material."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
At ^rb++++=At
least ^rb"++++=least
she ^pp3a+pp3+++0=she'd
'd ^md+prd+aux++=EXTRAWORD
never ^rb++splt++=never
locked ^vprf+++xvbnx+=locked
one ^pn++++=one
of ^in++++=of
them ^pp3o+pp3+++=them
in ^in++++=in
a ^at++++=a
closet ^nn++++=closet
( ^zz++++=(a
a ^at++++=EXTRAWORD
closet ^nn++++=closet!)
! ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
while ^cs+sub+++=while
entertaining ^jj+++xvbg+=entertaining
a ^at++++=a
literal ^jj++++=literal
ditchdigger ^jjr++++=ditchdigger
in ^in++++=in
the ^ati++++=the
parlor ^nn++++=parlor.
. ^zz++++=EXTRAWORD
Oh ^uh++++=Oh,
, ^zz++++=EXTRAWORD
God ^np++++=God,
, ^zz++++=EXTRAWORD
what ^wdt+who+++=what
a ^at++++=a
beautiful ^jj+atrb+++=beautiful
world ^nn++++=world!
! ^zz++++=EXTRAWORD
The ^ati++++=The
autumn ^nn++++=autumn
colors ^nns++++=colors,
, ^zz++++=EXTRAWORD
that ^tht+vcmp+++=that
glinting ^nn++++=glinting
river ^nn++++=river,
, ^zz++++=EXTRAWORD
that ^tht+vcmp+++=that
lead ^nn++++=lead-colored
- ^zz++++=EXTRAWORD
colored ^jj+atrb++xvbn+=EXTRAWORD
cloud ^nn++++=cloud
pointing ^vwbg+++xvbg+=pointing
down ^rp++++=down
like ^in++++=like
a ^at++++=a
rounded ^jj+atrb++xvbn+=rounded
arrow ^nn++++=arrow
at ^rb++++=at
that ^dt+dem+++=that
half ^abn++++=half-remodeled
- ^zz++++=EXTRAWORD
remodeled ^jj+++xvbn+=EXTRAWORD
Mcdonald ^np++++=McDonald's
's ^vbz+bez+aux++0=EXTRAWORD
standing ^vbg+++xvbg+=standing
above ^rb++++=above
I ^pp1a+pp1+++=I-90
- ^zz++++=EXTRAWORD
90 ^cd++++=EXTRAWORD
like ^in++++=like
a ^at++++=a
castle ^nn++++=castle.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
time ^nn++++=time
would ^md+prd+++=would
be ^vb+be+vrb++=be
different ^jj+pred+++=different,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
was ^vbd+bedz+vrb++=was
sure ^jj+pred+++=sure
of ^in++++=of
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
The ^ati++++=The
kids ^nns++++=kids
would ^md+prd+++=would
care ^vb+vprv+++=care
for ^in+ppvb+++=for
this ^dt+dem+++=this
pet ^np++++=pet
themselves ^ppls+pp3+++=themselves,
, ^zz++++=EXTRAWORD
since ^cs+sub+++=since
a ^at++++=a
puppy ^nn+++??+=puppy
was ^vbd+bedz+vrb++=wasn't
n't ^xnot++not++0=EXTRAWORD
scaly ^jj++++=scaly
and ^cc++++=and
did ^vbd+dod+vrb++=didn't
n't ^xnot++not++0=EXTRAWORD
bite ^nn++++=bite.
. ^zz++++=EXTRAWORD
( ^zz++++=("Ho
" ^zz++++=EXTRAWORD
ho ^uh++++=EXTRAWORD
Ho ^uh++++=HO!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Robert ^np++++=Robert
had ^vbd+hvd+aux++=had
said ^vprf+++xvbnx+=said
the ^ati++++=the
first ^od++++=first
time ^nn++++=time
the ^ati++++=the
iguana ^nn+++??+=iguana
bit ^nn++++=bit
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
see ^vb+vprv+tht0++=see
you ^pp2+pp2+++=you
have ^vb+hv+vrb++=have
an ^at++++=an
opinion ^nn++++=opinion
on ^in++++=on
the ^ati++++=the
matter! ^nn+++??+=matter!")
" ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
Thank ^vb++++=Thank
you ^pp2+pp2+++=you,
, ^zz++++=EXTRAWORD
Lord ^npt++++=Lord,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
thought ^vbd+++xvbnx+=thought,
, ^zz++++=EXTRAWORD
as ^in++++=as
the ^ati++++=the
Lexus ^np+++??+=Lexus
flew ^vbd+++xvbn+=flew
through ^in++++=through
the ^ati++++=the
cornfield ^nn+++??+=cornfield.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
have ^vb+hv+aux++=have
given ^vprf+++xvbnx+=given
me ^pp1o+pp1+++=me
so ^ql++++=so
much ^ap++++=much:
: ^zz++++=EXTRAWORD
struggles ^nns++++=struggles
and ^cc++++=and
the ^ati++++=the
strength ^nn++++=strength
to ^to++++=to
overcome ^vbi++++=overcome
them ^pp3o+pp3+++=them;
; ^zz++++=EXTRAWORD
grace ^nn++++=grace,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
new ^jj+atrb+++=new
chances ^nns+nom+++=chances
every ^at++++=every
day ^nn++++=day
to ^to++++=to
spread ^vbi++++=spread
that ^dt+dem+++=that
grace ^nn++++=grace
around ^rp++++=around.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
in ^in++++=in
her ^pp$+pp3+++=her
mind ^nn++++=mind
she ^pp3a+pp3+++=she
sang ^vbd+++xvbnx+=sang
out ^rp+pl+++=out,
, ^zz++++=EXTRAWORD
as ^ql++++=as
she ^pp3a+pp3+++=she
sometimes ^rb++++=sometimes
did ^vbd+dod+aux++=did
when ^wrb+who+++=when
feeling ^nvbg+++xvbg+=feeling
that ^tht+ncmp+++=that
the ^ati++++=the
world ^nn++++=world
was ^vbd+bedz+vrb++=was
good ^jj+pred+++=good
and ^cc++++=and
she ^pp3a+pp3+++=she
had ^vb+hv+aux++=had
at ^rb++splt++=at
last ^rb"++++=last
found ^vbd+vprv+tht0+xvbn+=found
her ^pp$+pp3+++=her
place ^nn++++=place
in ^in++++=in
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
" ^zz++++="Ho
ho ^uh++++=EXTRAWORD
Ho ^uh++++=HO,
, ^zz++++=EXTRAWORD
ho ^uh++++=ho
Ho ^uh++++=HO!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Callie ^np+++??+=Callie
pulled ^vbd+++xvbn+=pulled
back ^jjb++++=back
the ^ati++++=the
blind ^nn++++=blind.
. ^zz++++=EXTRAWORD
Yes ^uh++++=Yes.
. ^zz++++=EXTRAWORD
Awesome ^np+++??+=Awesome.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+aux++=was
still ^rb++splt++=still
solved ^vpsv++agls+xvbnx+=solved
so ^ql++++=so
perfect ^vb++++=perfect.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
was ^vbd+bedz+vrb++=was
plenty ^nn++++=plenty
for ^in++++=for
him ^pp3o+pp3+++=him
to ^to++++=to
do ^vbi++++=do
back ^rp++++=back
there ^rn+pl+++=there.
. ^zz++++=EXTRAWORD
A ^at++++=A
yard ^nn++++=yard
could ^md+pos+++=could
be ^vb+be+vrb++=be
a ^at++++=a
whole ^jj+atrb+++=whole
world ^nn++++=world.
. ^zz++++=EXTRAWORD
Like ^in++++=Like
her ^pp$+pp3+++=her
yard ^nn++++=yard
when ^wrb+who+++=when
she ^pp3a+pp3+++=she
was ^vbd+bedz+vrb++=was
a ^at++++=a
kid ^nn++++=kid
had ^vbd+hvd+aux++=had
been ^vprf+ben+vrb+xvbnx+=been
a ^at++++=a
whole ^jj+atrb+++=whole
world ^nn++++=world.
. ^zz++++=EXTRAWORD
From ^in++++=From
the ^ati++++=the
three ^cd++++=three
holes ^nns++++=holes
in ^in++++=in
their ^pp$+pp3+++=their
wood ^nn++++=wood
fence ^nn++++=fence
she ^pp3a+pp3+++0=she'd
'd ^vbd+hvd+aux++=EXTRAWORD
been ^vprf+ben+vrb+xvbnx+=been
able ^jj++pmd"++=able
to ^to+jcmp+pmd++=to
see ^vb+vprv+++=see
Exxon ^np+++??+=Exxon
( ^zz++++=(Hole
hole ^nn++++=EXTRAWORD
One ^cd1++++=One)
) ^zz++++=EXTRAWORD
and ^cc++++=and
Accident ^nn++++=Accident
Corner ^nn++++=Corner
( ^zz++++=(Hole
hole ^nn++++=EXTRAWORD
Two ^cd++++=Two),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Hole ^nn++++=Hole
Three ^cd++++=Three
was ^vbd+bedz+vrb++=was
actually ^rb+amp+++=actually
two ^cd++++=two
holes ^nns++++=holes
that ^tht+rel+++=that
if ^cs+cnd+++=if
you ^pp2+pp2+++=you
lined ^vbd+++xvbn+=lined
them ^pp3o+pp3+++=them
up ^rp++++=up
right ^rb++++=right
your ^pp$+pp2+++=your
eyes ^nns++++=eyes
would ^md+prd+++=would
do ^vb+do+vrb++=do
this ^dt+dem+++=this
weird ^jj+atrb+++=weird
crossing ^jj+atrb++xvbg+=crossing
thing ^nn++++=thing
and ^cc++++=and
you ^pp2+pp2+++=you
could ^md+pos+++=could
play ^vb++++=play
Oh ^uh++++=Oh
My ^pp$+pp1+++=My
God ^nn++++=God
I ^pp1a+pp1+++=I
Am ^vb+bem+vrb++=Am
So ^ql++++=So
High ^np++++=High
by ^in++++=by
staggering ^jj++++=staggering
away ^rp+pl+++=away
with ^in++++=with
your ^pp$+pp2+++=your
eyes ^nns++++=eyes
crossed ^vbd+++xvbn+=crossed,
, ^zz++++=EXTRAWORD
going ^vbg+++xvbg+=going,
, ^zz++++=EXTRAWORD
" ^zz++++="Peace,
peace ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
man ^nn++++=man,
, ^zz++++=EXTRAWORD
peace ^nn++++=peace."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
When ^wrb+who+++=When
Bo ^np+++??+=Bo
got ^vbd+++xvbn+=got
older ^jjr++++=older,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
would ^md+prd+++=would
be ^vb+be+vrb++=be
different ^jj+pred+++=different.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
he ^pp3a+pp3+++0=he'd
'd ^md+prd+vrb++=EXTRAWORD
need ^nn++++=need
his ^pp$+pp3+++=his
freedom ^nn+nom+++=freedom.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
now ^rn+tm+++=now
he ^pp3a+pp3+++=he
just ^rb+emph+++=just
needed ^vbd+++xvbn+=needed
not ^xnot++not++=not
to ^to++++=to
get ^vbi++++=get
killed ^vprf+++xvbn+=killed.
. ^zz++++=EXTRAWORD
Once ^rb+tm+++=Once
they ^pp3a+pp3+++=they'd
'd ^vbd+hvd+aux++0=EXTRAWORD
found ^vprf+++xvbnx+=found
him ^pp3o+pp3+++=him
way ^nn++++=way
over ^in++++=over
on ^in++++=on
Testament ^nn+nom+++=Testament.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
that ^dt+pdem+++=that
was ^vbd+bedz+vrb++=was
across ^in+pl+++=across
I ^pp1a+pp1+++=I-90.
- ^zz++++=EXTRAWORD
90 ^cd++++=EXTRAWORD
. ^zz++++=EXTRAWORD
How ^wrb+who+whq++=How
had ^vb+hv+vrb++=had
he ^pp3a+pp3+++=he
crossed ^vbd+++xvbnx+=crossed
I ^pp1a+pp1+++=I-90?
- ^zz++++=EXTRAWORD
90 ^cd++++=EXTRAWORD
? ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
knew ^vbd+vprv++xvbnx+=knew
how ^wrb+who+whcl++=how.
. ^zz++++=EXTRAWORD
Darted ^j+++xvbn+=Darted.
. ^zz++++=EXTRAWORD
That ^dt+pdem+++=That's
's ^vbz+bez+vrb++0=EXTRAWORD
how ^wrb+who+++=how
he ^pp3a+pp3+++=he
crossed ^vbd+++xvbnx+=crossed
streets ^nns++++=streets.
. ^zz++++=EXTRAWORD
Once ^rb+tm+++=Once
a ^at++++=a
total ^jj++++=total
stranger ^jjr++++=stranger
had ^vbd+hvd+aux++=had
called ^vprf+++xvbnx+=called
them ^pp3o+pp3+++=them
from ^in++++=from
Hightown ^np+++??+=Hightown
Plaza ^np++++=Plaza.
. ^zz++++=EXTRAWORD
Even ^rb++++=Even
Dr ^npt++++=Dr.
. ^zz++++=EXTRAWORD
Brile ^np++++=Brile
had ^vbd+hvd+aux++=had
said ^vprf+++xvbnx+=said
it ^pp3+it+++=it:
: ^zz++++=EXTRAWORD
" ^zz++++="Callie,
callie ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
this ^dt+dem+++=this
boy ^nn++++=boy
is ^vbz+bez+aux++=is
going ^vbg+++xvbgx+=going
to ^in++++=to
end ^nn++++=end
up ^rp++++=up
dead ^jj++++=dead
if ^cs+cnd+++=if
you ^pp2+pp2+++=you
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
get ^vb++++=get
this ^dt+dem+++=this
under ^in++++=under
control ^nn++++=control.
. ^zz++++=EXTRAWORD
Is ^vbz+bez+aux++=Is
he ^pp3a+pp3+++=he
taking ^vbg+++xvbg+=taking
the ^ati++++=the
medications ^nns+nom+++=medications?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Well ^rb+cnj+++=Well,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
and ^cc++++=and
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=wasn't.
n't ^xnot++not++0=EXTRAWORD
. ^zz++++=EXTRAWORD
The ^ati++++=The
meds ^nn++++=meds
made ^vbd+++xvbn+=made
him ^pp3o+pp3+++=him
grind ^vb+++??+=grind
his ^pp$+pp3+++=his
teeth ^nns++++=teeth
and ^cc++++=and
his ^pp$+pp3+++=his
fist ^nn++++=fist
would ^md+prd+++=would
suddenly ^rb++++=suddenly
pound ^nn++++=pound
down ^rp++++=down.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++0=He'd
'd ^vbd+hvd+aux++=EXTRAWORD
broken ^vprf+++xvbnx+=broken
plates ^nns++++=plates
that ^tht+rel+obj++=that
way ^nn++++=way,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
once ^rb+tm+++=once
a ^at++++=a
glass ^nn++++=glass
tabletop ^nn+++??+=tabletop
and ^cc++++=and
got ^vbd+++xvbn+=got
four ^cd++++=four
stitches ^nns++++=stitches
in ^in++++=in
his ^pp$+pp3+++=his
wrist ^nn++++=wrist.
. ^zz++++=EXTRAWORD
Today ^nr+tm+++=Today
he ^pp3a+pp3+++=he
did ^vbd+dod+aux++=didn't
n't ^xnot++not++0=EXTRAWORD
need ^vb++++=need
the ^ati++++=the
meds ^nns+++??+=meds
because ^cs+cos+++=because
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
safe ^jj+pred+++=safe
in ^in++++=in
the ^ati++++=the
yard ^nn++++=yard,
, ^zz++++=EXTRAWORD
because ^cs+cos+++=because
she ^pp3a+pp3+++0=she'd
'd ^vbd+hvd+aux++=EXTRAWORD
fixed ^vprf+++xvbnx+=fixed
it ^pp3+it+++=it
so ^ql++++=so
perfect ^vb++++=perfect.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+vrb++=was
out ^rp+pl+++=out
there ^ex+pex+++=there
practicing ^vbg+++xvbg+=practicing
pitching ^nvbg+++xvbg+=pitching
by ^in++++=by
filling ^xvbg+++xvbg+=filling
his ^pp$+pp3+++=his
Yankees ^nns+nom+++=Yankees
helmet ^nn++++=helmet
with ^in++++=with
pebbles ^nns++++=pebbles
and ^cc++++=and
winging ^jj+++xvbg+=winging
them ^pp3o+pp3+++=them
at ^in++++=at
the ^ati++++=the
tree ^nn++++=tree.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
looked ^vbd+++xvbnx+=looked
up ^rp++++=up
and ^cc++++=and
saw ^vbd+vprv++xvbn+=saw
her ^pp3o+pp3+++=her
and ^cc++++=and
did ^vbd+dod+vrb++=did
the ^ati++++=the
thing ^nn++++=thing
where ^wrb+who+++=where
he ^pp3a+pp3+++=he
blew ^vbd+++xvbnx+=blew
a ^at++++=a
kiss ^nn++++=kiss.
. ^zz++++=EXTRAWORD
Sweet ^jj++++=Sweet
little ^ap++++=little
man ^nn++++=man.
. ^zz++++=EXTRAWORD
Now ^rn+dspt+++=Now
all ^rb++++=all
she ^pp3a+pp3+++=she
had ^md"++pmd"++=had
to ^md+nec+++=to
worry ^vb+vprv+++=worry
about ^in++++=about
was ^vbd+bedz+vrb++=was
the ^ati++++=the
pup ^nn++++=pup.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
hoped ^vbd+vprv++xvbnx+=hoped
the ^ati++++=the
lady ^nn++++=lady
who ^whp+rel+subj++=who'd
'd ^vbd+hvd+aux++0=EXTRAWORD
called ^vprf+++xvbnx+=called
would ^md+prd+++=would
actually ^rb+amp+splt++=actually
show ^vb+vprv+++=show
up ^rp++++=up.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
a ^at++++=a
nice ^jj+atrb+++=nice
pup ^nn++++=pup.
. ^zz++++=EXTRAWORD
White ^jj++++=White,
, ^zz++++=EXTRAWORD
with ^in++++=with
brown ^jj++++=brown
around ^rp++++=around
one ^cd1++++=one
eye ^nn++++=eye.
. ^zz++++=EXTRAWORD
Cute ^jj++++=Cute.
. ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
the ^ati++++=the
lady ^nn++++=lady
showed ^vbd+vprv++xvbn+=showed
up ^rp++++=up,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++0=she'd
'd ^md+prd+aux++=EXTRAWORD
definitely ^rb++splt++=definitely
want ^vb++++=want
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
if ^cs+cnd+++=if
she ^pp3a+pp3+++=she
took ^vbd+++xvbnx+=took
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
Jimmy ^np++++=Jimmy
was ^vbd+bedz+vrb++=was
off ^in+pl+++=off
the ^ati++++=the
hook ^nn++++=hook.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++0=He'd
'd ^vbd+hvd+aux++=EXTRAWORD
hated ^vprf+++xvbnx+=hated
doing ^vbg+++xvbg+=doing
it ^pp3+it+++=it
that ^dt+dem+++=that
time ^nn++++=time
with ^in++++=with
the ^ati++++=the
kittens ^nns+++??+=kittens.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
if ^cs+cnd+++=if
no ^at++++=no
one ^cd1++++=one
took ^vbd+++xvbn+=took
the ^ati++++=the
pup ^nn++++=pup
he ^pp3a+pp3+++0=he'd
'd ^md+prd+aux++=EXTRAWORD
do ^vb+do+vrb++=do
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++0=He'd
'd ^md+prd+aux++=EXTRAWORD
have ^vb+hv+vrb++=have
to ^in+strn+++=to.
. ^zz++++=EXTRAWORD
Because ^cs+cos+++=Because
his ^pp$+pp3+++=his
feeling ^nvbg+++xvbg+=feeling
was ^vbd+bedz+vrb++=was,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
you ^pp2+pp2+++=you
said ^vbd+vpub+tht0+xvbn+=said
you ^pp2+pp2+++=you
were ^vbd+bed+aux++=were
going ^md"++pmd"++=going
to ^md+prd+++=to
do ^vb++++=do
a ^at++++=a
thing ^nn++++=thing
and ^cc++++=and
did ^vbd+dod+aux++=didn't
n't ^xnot++not++0=EXTRAWORD
do ^vb+do+vrb++=do
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
that ^dt+pdem+++=that
was ^vbd+bedz+vrb++=was
how ^wrb+who+++=how
kids ^nns++++=kids
got ^vbd+++xvbn+=got
into ^in+ppvb+++=into
drugs ^nns++++=drugs.
. ^zz++++=EXTRAWORD
Plus ^in++++=Plus
he ^pp3a+pp3+++0=he'd
'd ^vbd+hvd+aux++=EXTRAWORD
been ^vprf+ben+aux+xvbnx+=been
raised ^vpsv++agls+xvbnx+=raised
on ^in++++=on
a ^at++++=a
farm ^nn++++=farm,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
near ^in+pl+++=near
a ^at++++=a
farm ^nn++++=farm
anyways ^rb+cnj+++=anyways,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
anybody ^pn++++=anybody
raised ^vbd+++xvbn+=raised
on ^in++++=on
a ^at++++=a
farm ^nn++++=farm
knew ^vbd+vprv++xvbn+=knew
you ^pp2+pp2+++=you
had ^md"++pmd"++=had
to ^md+nec+++=to
do ^vb++++=do
what ^wdt+who+++=what
you ^pp2+pp2+++=you
had ^md"++pmd"++=had
to ^md+nec+++=to
do ^vb++++=do
in ^in++++=in
terms ^nns++++=terms
of ^in++++=of
sick ^jj+atrb+++=sick
animals ^nns+nom+++=animals
or ^cc++++=or
extra ^jj+atrb+++=extra
animals ^nns+nom+++=animals
the ^ati++++=the
pup ^nn++++=pup
being ^vwbg+beg++xvbg+=being
not ^xnot++not++=not
sick ^jj++++=sick,
, ^zz++++=EXTRAWORD
just ^rb+emph+++=just
extra ^jj++++=extra.
. ^zz++++=EXTRAWORD
That ^dt+dem+++=That
time ^nn++++=time
with ^in++++=with
the ^ati++++=the
kittens ^nns+++??+=kittens,
, ^zz++++=EXTRAWORD
Brianna ^np+++??+=Brianna
and ^cc++++=and
Jessi ^np+++??+=Jessi
had ^vbd+hvd+aux++=had
called ^vprf+++xvbnx+=called
him ^pp3o+pp3+++=him
a ^at++++=a
murderer ^nn+nom+++=murderer,
, ^zz++++=EXTRAWORD
getting ^vbg+++xvbg+=getting
Bo ^np+++??+=Bo
all ^abn++++=all
worked ^jj+++xvbn+=worked
up ^rp++++=up,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Jimmy ^np++++=Jimmy
had ^vbd+hvd+aux++=had
yelled ^vprf+++xvbnx+=yelled,
, ^zz++++=EXTRAWORD
" ^zz++++="Look,
look ^vb++++=EXTRAWORD
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
kids ^nns++++=kids,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
was ^vbd+bedz+aux++=was
raised ^vpsv++agls+xvbnx+=raised
on ^in++++=on
a ^at++++=a
farm ^nn++++=farm
and ^cc++++=and
you ^pp2+pp2+++=you
got ^vbd+++xvbn+=got
to ^to+vcmp+++=to
do ^vbi++++=do
what ^wdt+who+++=what
you ^pp2+pp2+++=you
got ^vbd+++xvbn+=got
to ^to+vcmp+++=to
do ^vbi++++=do!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
he ^pp3a+pp3+++0=he'd
'd ^vbd+hvd+aux++=EXTRAWORD
cried ^vprf+++xvbnx+=cried
in ^in++++=in
bed ^nn++++=bed,
, ^zz++++=EXTRAWORD
saying ^vbg+++xvbg+=saying
how ^wrb+who+++=how
the ^ati++++=the
kittens ^nns+++??+=kittens
had ^vbd+hvd+aux++=had
mewed ^vprf+++xvbnx+=mewed
in ^in++++=in
the ^ati++++=the
bag ^nn++++=bag
all ^rb++++=all
the ^ati++++=the
way ^nn++++=way
to ^in++++=to
the ^ati++++=the
pond ^nn++++=pond,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
how ^wrb+who+++=how
he ^pp3a+pp3+++=he
wished ^vbd+vprv+tht0+xvbnx+=wished
he ^pp3a+pp3+++0=he'd
'd ^md+prd+aux++=EXTRAWORD
never ^rb++splt++=never
been ^vprf+ben+aux+xvbnx+=been
raised ^vpsv++agls+xvbnx+=raised
on ^in++++=on
a ^at++++=a
farm ^nn++++=farm,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
she ^pp3a+pp3+++0=she'd
'd ^md+prd+aux++=EXTRAWORD
almost ^rb+hdg+splt++=almost
said ^vprf+++xvbnx+=said,
, ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
mean ^jj++++=mean
near ^in+pl+++=near
a ^at++++=a
farm ^nn++++=farm"
" ^zz++++=EXTRAWORD
( ^zz++++=(his
his ^pp$+pp3+++=EXTRAWORD
dad ^npt++++=dad
had ^vbd+hvd+aux++=had
run ^vprf+++xvbnx+=run
a ^at++++=a
car ^nn++++=car
wash ^vb++++=wash
outside ^jjb++++=outside
Cortland ^np+++??+=Cortland),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
sometimes ^rb++++=sometimes
when ^wrb+who+++=when
she ^pp3a+pp3+++=she
got ^vbd+++xvbnx+=got
too ^ql++++=too
smart ^jj++++=smart-assed
- ^zz++++=EXTRAWORD
assed ^jj+++xvbn+=EXTRAWORD
he ^pp3a+pp3+++=he
would ^md+prd+++=would
do ^vb+do+vrb++=do
this ^dt+dem+++=this
hard ^jj+atrb+++=hard
pinching ^jj+atrb++xvbg+=pinching
thing ^nn++++=thing
on ^rp++++=on
her ^pp3o+pp3+++=her
arm ^vb++++=arm
while ^cs+sub+++=while
waltzing ^jj+++xvbg+=waltzing
her ^pp3o+pp3+++=her
around ^rp++++=around
the ^ati++++=the
bedroom ^nn++++=bedroom,
, ^zz++++=EXTRAWORD
as ^cs+sub+++=as
if ^cs+cnd+++=if
the ^ati++++=the
place ^nn++++=place
where ^wrb+who+++=where
he ^pp3a+pp3+++=he
was ^vbd+bedz+aux++=was
