1535 ^cd++++=1535
fond ^jj++++=fond,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
his ^pp$+pp3+++=his
household ^nn++++=household
at ^in++++=at
Chelsea ^np++++=Chelsea
was ^vbd+bedz+vrb++=was
thus ^rb+cnj+++=thus
a ^at++++=a
large ^jj+atrb+++=large
and ^cc+phrs+++=and
joyous ^jj+atrb+++=joyous
family ^nn++++=family
home ^nr++++=home
of ^in++++=of
children ^nns++++=children
and ^cc++++=and
grandchildren ^nn++++=grandchildren,
, ^zz++++=EXTRAWORD
delighting ^vbg+++xvbg+=delighting
in ^in++++=in
the ^ati++++=the
kind ^nn++++=kind,
, ^zz++++=EXTRAWORD
bright ^jj+atrb+++=bright
smiles ^nns++++=smiles
of ^in++++=of
the ^ati++++=the
open ^jj+atrb+++=open
face ^nn++++=face
under ^in++++=under
the ^ati++++=the
square ^jj+atrb+++=square
cap ^nn++++=cap,
, ^zz++++=EXTRAWORD
that ^tht+vcmp+++=that
the ^ati++++=the
great ^jj+atrb+++=great
painter ^nn++++=painter
Holbein ^np+++??+=Holbein
has ^vbz+hvz+aux++=has
sent ^vprf+++xvbnx+=sent
down ^rp++++=down
to ^in++++=to
us ^pp1o+pp1+++=us
as ^in++++=as
a ^at++++=a
familiar ^jj+atrb+++=familiar
sight ^nn++++=sight.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
these ^dt+dem+++=these
glad ^jj+atrb+++=glad
days ^nns++++=days
were ^vbd+bed+vrb++=were
not ^xnot++not++=not
to ^in++++=to
last ^ap++++=last
for ^rb++++=for
ever ^rb"++++=ever.
. ^zz++++=EXTRAWORD
The ^ati++++=The
trying ^jj+atrb++xvbg+=trying
times ^nns++++=times
of ^in++++=of
the ^ati++++=the
reign ^nn++++=reign
of ^in++++=of
Henry ^np++++=Henry
Viii ^np+++??+=VIII.
. ^zz++++=EXTRAWORD
were ^vbd+bed+aux++=were
beginning ^vbg+++xvbgx+=beginning,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
question ^nn+nom+++=question
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
stirred ^vpsv++agls+xvbnx+=stirred
whether ^cs+who+++=whether
the ^ati++++=the
King ^np++++=King's
's ^$++++=EXTRAWORD
marriage ^nn+nom+++=marriage
with ^in++++=with
Katherine ^np++++=Katherine
of ^in++++=of
Aragon ^np++++=Aragon
had ^vbd+hvd+aux++=had
been ^vprf+ben+vrb+xvbnx+=been
a ^at++++=a
lawful ^jj+atrb+++=lawful
one ^pn++++=one.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
Sir ^npt++++=Sir
Thomas ^np++++=Thomas
More ^ql++++=More
found ^vbd+vprv++xvbn+=found
that ^tht+vcmp+++=that
the ^ati++++=the
King ^nn++++=King
was ^vbd+bedz+aux++=was
determined ^jj++agls+xvbnx+=determined
to ^to+jcmp+++=to
take ^vbi++++=take
his ^pp$+pp3+++=his
own ^ap++++=own
course ^nn++++=course,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
to ^in++++=to
divorce ^nn++++=divorce
himself ^ppl+pp3+++=himself
without ^in++++=without
permission ^nn++++=permission
from ^in++++=from
the ^ati++++=the
Pope ^np++++=Pope,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
against ^in++++=against
his ^pp$+pp3+++=his
conscience ^nn+nom+++=conscience
to ^to++++=to
remain ^vbi++++=remain
in ^in++++=in
office ^nn++++=office
when ^wrb+who+++=when
acts ^nns++++=acts
were ^vbd+bed+aux++=were
being ^vbg+beg+aux+xvbg+=being
done ^vprf+++xvbn+=done
which ^whp+who+++=which
he ^pp3a+pp3+++=he
could ^md+pos+++=could
not ^xnot++not++=not
think ^vb+vprv+++=think
right ^nn++++=right
or ^cc++++=or
lawful ^jj++++=lawful.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
therefore ^rb+cnj+++=therefore
resigned ^vbd+++xvbn+=resigned
his ^pp$+pp3+++=his
office ^nn++++=office
as ^ql++++=as
Lord ^npt++++=Lord
Chancellor ^npt++++=Chancellor,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and,
, ^zz++++=EXTRAWORD
feeling ^nvbg+++xvbg+=feeling
himself ^ppl+pp3+++=himself
free ^jj++++=free
from ^in++++=from
the ^ati++++=the
load ^nn++++=load
and ^cc++++=and
temptation ^nn+nom+++=temptation,
, ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
gay ^jj+atrb+++=gay
spirits ^nns++++=spirits
rose ^vbd+++xvbn+=rose
higher ^jjr++++=higher
than ^in++++=than
ever ^rb++++=ever.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
manner ^nn++++=manner
of ^in++++=of
communicating ^jj++++=communicating
the ^ati++++=the
change ^nn++++=change
to ^in++++=to
his ^pp$+pp3+++=his
wife ^nn++++=wife,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
had ^vbd+hvd+aux++=had
been ^vprf+ben+vrb+xvbnx+=been
very ^ql+amp+++=very
proud ^jj++++=proud
of ^in++++=of
his ^pp$+pp3+++=his
state ^nn++++=state
and ^cc++++=and
dignity ^nn+nom+++=dignity,
, ^zz++++=EXTRAWORD
was ^vbd+bedz+vrb++=was
thus ^rb+cnj+++=thus.
. ^zz++++=EXTRAWORD
At ^rb++++=At
church ^npl++++=church,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
the ^ati++++=the
service ^nn++++=service
was ^vbd+bedz+vrb++=was
over ^in+strn+++=over,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
had ^vb+hv+aux++=had
always ^rb++splt++=always
been ^vprf+ben+vrb+xvbnx+=been
the ^ati++++=the
custom ^nn++++=custom
for ^in++++=for
one ^pn++++=one
of ^in++++=of
his ^pp$+pp3+++=his
attendants ^nns+nom+++=attendants
to ^to++++=to
summon ^vbi++++=summon
Lady ^npt++++=Lady
More ^rbr++++=More
by ^in++++=by
coming ^xvbg+++xvbg+=coming
to ^in++++=to
her ^pp$+pp3+++=her
closet ^nn++++=closet
door ^nn++++=door,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
saying ^nvbg+++xvbg+=saying,
, ^zz++++=EXTRAWORD
' ^zz++++='Madam,
madam ^npt++++=EXTRAWORD
, ^zz++++=EXTRAWORD
my ^pp$+pp1+++=my
lord ^npt++++=lord
is ^vbz+bez+aux++=is
gone ^vpsv++agls+xvbnx+=gone.'
. ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
On ^in++++=On
the ^ati++++=the
day ^nn++++=day
after ^in++++=after
his ^pp$+pp3+++=his
resignation ^nn+nom+++=resignation,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
himself ^ppl+pp3+++=himself
stepped ^vbd+++xvbn+=stepped
up ^rp++++=up,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
with ^in++++=with
a ^at++++=a
low ^nn++++=low
bow ^vb++++=bow
said ^vbd+vpub++xvbn+=said,
, ^zz++++=EXTRAWORD
' ^zz++++='Madam,
madam ^npt++++=EXTRAWORD
, ^zz++++=EXTRAWORD
my ^pp$+pp1+++=my
lord ^npt++++=lord
is ^vbz+bez+aux++=is
gone ^vpsv++agls+xvbnx+=gone,'
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
for ^in++++=for
in ^in++++=in
good ^nn++++=good
soothe ^vb++++=soothe
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
no ^at++++=no
longer ^rbr++++=longer
Chancellor ^npt++++=Chancellor,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
only ^rb+down+++=only
plain ^nn++++=plain
Sir ^npt++++=Sir
Thomas ^np++++=Thomas.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
thoroughly ^rb+amp+++=thoroughly
enjoyed ^vbd+++xvbn+=enjoyed
his ^pp$+pp3+++=his
leisure ^nn++++=leisure,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
not ^xnot++not++=not
long ^jj++++=long
left ^vwbn+++xvbn+=left
in ^in++++=in
tranquillity ^nn+nom+++=tranquillity.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
Anne ^np++++=Anne
Boleyn ^np+++??+=Boleyn
was ^vbd+bedz+aux++=was
crowned ^vpsv++agls+xvbnx+=crowned,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
was ^vbd+bedz+aux++=was
invited ^vpsv++agls+xvbnx+=invited
to ^to++++=to
be ^vbi+vbi+aux++=be
present ^vb++++=present,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
twenty ^cd++++=twenty
pounds ^nns++++=pounds
were ^vbd+bed+aux++=were
offered ^vpsv++agls+xvbnx+=offered
him ^pp3o+pp3+++=him
to ^to++++=to
buy ^vbi++++=buy
a ^at++++=a
suitably ^rb++++=suitably
splendid ^jj+atrb+++=splendid
dress ^nn++++=dress
for ^in++++=for
the ^ati++++=the
occasion ^nn++++=occasion;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
his ^pp$+pp3+++=his
conscience ^nn+nom+++=conscience
would ^md+prd+++=would
not ^xnot++not++=not
allow ^vb++++=allow
him ^pp3o+pp3+++=him
to ^to++++=to
accept ^vbi+vprv+++=accept
the ^ati++++=the
invitation ^nn+nom+++=invitation,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
he ^pp3a+pp3+++=he
well ^rb++++=well
knew ^vbd+vprv++xvbn+=knew
the ^ati++++=the
terrible ^jj+atrb+++=terrible
peril ^nn++++=peril
he ^pp3a+pp3+++=he
ran ^vbd+++xvbnx+=ran
by ^in++++=by
offending ^xvbg+++xvbg+=offending
the ^ati++++=the
King ^nn++++=King
and ^cc++++=and
Queen ^nn++++=Queen.
. ^zz++++=EXTRAWORD
Thenceforth ^np+++??+=Thenceforth
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
a ^at++++=a
determination ^nn+nom+++=determination
to ^to+ncmp+++=to
ruin ^vbi++++=ruin
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
First ^rb+cnj+++=First,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
was ^vbd+bedz+aux++=was
accused ^vpsv++agls+xvbnx+=accused
of ^in++++=of
taking ^xvbg+++xvbg+=taking
bribes ^nns++++=bribes
when ^wrb+who+++=when
administering ^vbg+++xvbg+=administering
justice ^nn++++=justice.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+aux++=was
said ^vpsv++agls+xvbnx+=said
that ^tht+vcmp+++=that
a ^at++++=a
gilt ^jj+atrb+++=gilt
cup ^nn++++=cup
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
given ^vpsv++agls+xvbnx+=given
to ^in++++=to
him ^pp3o+pp3+++=him
as ^in++++=as
a ^at++++=a
New ^jj+atrb+++=New
Year ^np++++=Year's
's ^$++++=EXTRAWORD
gift ^nn++++=gift,
, ^zz++++=EXTRAWORD
by ^in++++=by
one ^cd1++++=one
lady ^nn++++=lady,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
pair ^nn++++=pair
of ^in++++=of
gloves ^nns++++=gloves
filled ^vbd+++xvbn+=filled
with ^in++++=with
gold ^nn++++=gold
coins ^nns++++=coins
by ^in++++=by
another ^dt++++=another;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
it ^pp3+it+++=it
turned ^vbd+++xvbn+=turned
out ^rb+cnj+++=out,
, ^zz++++=EXTRAWORD
on ^in++++=on
examination ^nn+nom+++=examination,
, ^zz++++=EXTRAWORD
that ^tht+vcmp+++=that
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
drunk ^vprf+++xvbnx+=drunk
the ^ati++++=the
wine ^nn++++=wine
out ^rp+pl+++=out
of ^in++++=of
the ^ati++++=the
cup ^nn++++=cup,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
accepted ^vbd+vprv++xvbn+=accepted
the ^ati++++=the
gloves ^nns++++=gloves,
, ^zz++++=EXTRAWORD
because ^cs+cos+++=because
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
ill ^jj+atrb+++=ill
manners ^nns+nom+++=manners
to ^to++++=to
refuse ^vbi++++=refuse
a ^at++++=a
lady ^nn++++=lady's
's ^$++++=EXTRAWORD
gift ^nn++++=gift,
, ^zz++++=EXTRAWORD
yet ^rb++++=yet
he ^pp3a+pp3+++=he
had ^vb+hv+vrb++=had
in ^in++++=in
both ^abx++++=both
cases ^nns++++=cases
given ^vwbn+++xvbn+=given
back ^rb+phrv+++=back
the ^ati++++=the
gold ^nn++++=gold.
. ^zz++++=EXTRAWORD
Next ^ap++++=Next,
, ^zz++++=EXTRAWORD
a ^at++++=a
charge ^nn++++=charge
was ^vbd+bedz+aux++=was
brought ^vpsv++agls+xvbnx+=brought
that ^dt+dem+++=that
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
leaguing ^vbg+++xvbgx+=leaguing
with ^in++++=with
a ^at++++=a
half ^abn++++=half-crazy
- ^zz++++=EXTRAWORD
crazy ^jj+atrb+++=EXTRAWORD
woman ^nn++++=woman
called ^vbd+++xvbn+=called
the ^ati++++=the
Nun ^nn++++=Nun
of ^in++++=of
Kent ^np++++=Kent,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
had ^vbd+hvd+aux++=had
said ^vprf+++xvbnx+=said
violent ^jj+atrb+++=violent
things ^nns++++=things
about ^in++++=about
the ^ati++++=the
King ^nn++++=King.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+aux++=was
sent ^vpsv++agls+xvbnx+=sent
for ^in++++=for
to ^to++++=to
be ^vbi+vbi+aux++=be
examined ^vpsv++by+xvbnx+=examined
by ^in++++=by
Henry ^np++++=Henry
and ^cc++++=and
his ^pp$+pp3+++=his
Council ^nn++++=Council,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
this ^dt+dem+++=this
he ^pp3a+pp3+++=he
well ^rb++++=well
knew ^vbd+vprv++xvbn+=knew
was ^vbd+bedz+vrb++=was
the ^ati++++=the
interview ^nn++++=interview
on ^in++++=on
which ^whp+rel+pied++=which
his ^pp$+pp3+++=his
safety ^nn++++=safety
would ^md+prd+++=would
turn ^vb++++=turn,
, ^zz++++=EXTRAWORD
since ^cs+sub+++=since
the ^ati++++=the
accusation ^nn+nom+++=accusation
was ^vbd+bedz+vrb++=was
a ^at++++=a
mere ^jjb+atrb+++=mere
pretext ^nn++++=pretext,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
real ^jj+atrb+++=real
purpose ^nn++++=purpose
of ^in++++=of
the ^ati++++=the
King ^nn++++=King
was ^vbd+bedz+aux++=was
to ^to++++=to
see ^vbi+vprv+++=see
whether ^cs+who+++=whether
he ^pp3a+pp3+++=he
would ^md+prd+++=would
go ^vb++++=go
along ^rb+phrv+++=along
with ^in+ppvb+++=with
him ^pp3o+pp3+++=him
in ^in++++=in
breaking ^xvbg+++xvbg+=breaking
away ^in+pl+++=away
from ^in"++++=from
Rome ^np++++=Rome--a
-- ^--+clp+++=EXTRAWORD
a ^at++++=EXTRAWORD
proceeding ^jj+++xvbg+=proceeding
that ^cs+sub+++=that
Sir ^npt++++=Sir
Thomas ^np++++=Thomas,
, ^zz++++=EXTRAWORD
both ^abx++++=both
as ^in++++=as
churchman ^nn+nom+++=churchman
and ^cc++++=and
as ^in++++=as
lawyer ^nn++++=lawyer,
, ^zz++++=EXTRAWORD
could ^md+pos+++=could
not ^xnot++not++=not
think ^vb+vprv+++=think
legal ^jj++++=legal.
. ^zz++++=EXTRAWORD
Whether ^cs+who+++=Whether
we ^pp1a+pp1+++=we
agree ^vb+vpub+++=agree
or ^cc++++=or
not ^xnot++not++=not
in ^in++++=in
his ^pp$+pp3+++=his
views ^nns++++=views,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
must ^md+nec+++=must
always ^rb++++=always
be ^vb+be+aux++=be
remembered ^vpsv++agls+xvbnx+=remembered
that ^tht+vcmp+++=that
he ^pp3a+pp3+++=he
ran ^vbd+++xvbnx+=ran
into ^in+ppvb+++=into
danger ^nn++++=danger
by ^in++++=by
speaking ^xvbg+++xvbg+=speaking
the ^ati++++=the
truth ^nn++++=truth,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
doing ^vbg+++xvbg+=doing
what ^wdt+who+++=what
he ^pp3a+pp3+++=he
thought ^vbd+++xvbnx+=thought
right ^jj++++=right.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
really ^rb+emph+++=really
loved ^vbd+++xvbn+=loved
his ^pp$+pp3+++=his
master ^nn++++=master,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
he ^pp3a+pp3+++=he
knew ^vbd+vprv++xvbnx+=knew
the ^ati++++=the
humor ^nn++++=humor
of ^in++++=of
Henry ^np++++=Henry
Viii ^np+++??+=VIII.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
temptation ^nn+nom+++=temptation
was ^vbd+bedz+vrb++=was
sore ^jj+pred+++=sore;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
when ^wrb+who+++=when
he ^pp3a+pp3+++=he
came ^vbd+++xvbnx+=came
down ^rp++++=down
from ^in++++=from
his ^pp$+pp3+++=his
conference ^nn+nom+++=conference
with ^in++++=with
the ^ati++++=the
King ^nn++++=King
in ^in++++=in
the ^ati++++=the
Tower ^nn++++=Tower,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
was ^vbd+bedz+aux++=was
rowed ^vpsv++agls+xvbnx+=rowed
down ^in++++=down
the ^ati++++=the
river ^nn++++=river
to ^in++++=to
Chelsea ^np++++=Chelsea,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
so ^ql++++=so
merry ^np++++=merry
that ^tht+rel+obj++=that
William ^np++++=William
Roper ^np++++=Roper,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
waiting ^vbg+++xvbgx+=waiting
for ^in++++=for
him ^pp3o+pp3+++=him
in ^in++++=in
the ^ati++++=the
boat ^nn++++=boat,
, ^zz++++=EXTRAWORD
thought ^j+++xvbn+=thought
he ^pp3a+pp3+++=he
must ^md+nec+++=must
be ^vb+be+vrb++=be
safe ^jj+pred+++=safe,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
said ^vbd+vpub++xvbn+=said,
, ^zz++++=EXTRAWORD
as ^ql++++=as
they ^pp3a+pp3+++=they
landed ^vbd+++xvbnx+=landed
and ^cc+phrs+++=and
walked ^vbd+++xvbn+=walked
up ^rp++++=up
the ^ati++++=the
garden- ^nn+++??+=garden-'I
'i ^nn+++??+=EXTRAWORD
trust ^vb+vprv+++=trust,
, ^zz++++=EXTRAWORD
sir ^npt++++=sir,
, ^zz++++=EXTRAWORD
all ^abn++++=all
is ^vbz+bez+vrb++=is
well ^rb+cnj+++=well,
, ^zz++++=EXTRAWORD
since ^cs+sub+++=since
you ^pp2+pp2+++=you
are ^vb+ber+vrb++=are
so ^ql++++=so
merry ^np++++=merry?'
? ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
' ^zz++++='It
it ^pp3+it+++=EXTRAWORD
is ^vbz+bez+vrb++=is
so ^rb+cnj+++=so,
, ^zz++++=EXTRAWORD
indeed ^rb+cnj+++=indeed,
, ^zz++++=EXTRAWORD
son ^nn++++=son,
, ^zz++++=EXTRAWORD
thank ^vb++++=thank
God ^nn++++=God!'
! ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
' ^zz++++='Are
are ^vb+ber+vrb++=EXTRAWORD
you ^pp2+pp2+++=you
then ^rn+tm+++=then,
, ^zz++++=EXTRAWORD
sir ^npt++++=sir,
, ^zz++++=EXTRAWORD
put ^j+++xvbn+=put
out ^rp+pl+++=out
of ^in++++=of
the ^ati++++=the
bill ^nn++++=bill?'
? ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
' ^zz++++='Wouldest
wouldest ^jjt++++=EXTRAWORD
thou ^pp2+pp2+++=thou
know ^vb+vprv+++=know,
, ^zz++++=EXTRAWORD
son ^nn++++=son
why ^wrb+who+++=why
I ^pp1a+pp1+++=I
am ^vb+bem+vrb++=am
so ^ql+emph+++=so
joyful ^jj++++=joyful?
? ^zz++++=EXTRAWORD
In ^in++++=In
good ^jj+atrb+++=good
faith ^nn++++=faith
I ^pp1a+pp1+++=I
rejoice ^vb++++=rejoice
that ^cs+sub+++=that
I ^pp1a+pp1+++=I
have ^vb+hv+aux++=have
given ^vprf+++xvbnx+=given
the ^ati++++=the
devil ^nn++++=devil
a ^at++++=a
foul ^jj+atrb+++=foul
fall ^nn++++=fall;
; ^zz++++=EXTRAWORD
because ^cs+cos+++=because
I ^pp1a+pp1+++=I
have ^vb+hv+vrb++=have
with ^in++++=with
those ^dt+dem+++=those
lords ^npt++++=lords
gone ^vbd+++xvbn+=gone
so ^ql++++=so
far ^rb+pl+++=far
that ^cs+sub+++=that
without ^in++++=without
great ^nn++++=great
shame ^vb++++=shame
I ^pp1a+pp1+++=I
can ^md+pos+++=can
never ^rb++splt++=never
go ^vb++++=go
back ^jjb++++=back,'
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
answered ^vbd+vpub++xvbnx+=answered,
, ^zz++++=EXTRAWORD
meaning ^vbg+vprv++xvbg+=meaning
that ^tht+vcmp+++=that
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
enabled ^vpsv++agls+xvbnx+=enabled
to ^to+vcmp+++=to
hold ^vbi+vprv+++=hold
so ^ql++++=so
firmly ^rb++++=firmly
to ^in++++=to
his ^pp$+pp3+++=his
opinions ^nns++++=opinions,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
speak ^vb++++=speak
them ^pp3o+pp3+++=them
out ^rp+pl+++=out
so ^rb++++=so
boldly ^rb+cnj+++=boldly,
, ^zz++++=EXTRAWORD
that ^dt+dem+++=that
henceforth ^rb++++=henceforth
the ^ati++++=the
temptation ^nn+nom+++=temptation
to ^to+ncmp+++=to
dissemble ^vbi++++=dissemble
them ^pp3o+pp3+++=them
and ^cc++++=and
please ^uh++++=please
the ^ati++++=the
King ^nn++++=King
would ^md+prd+++=would
be ^vb+be+vrb++=be
much ^ap++++=much
lessened ^jj+++xvbn+=lessened.
. ^zz++++=EXTRAWORD
That ^tht+vcmp+++=That
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
held ^vprf++tht0+xvbnx+=held
his ^pp$+pp3+++=his
purpose ^nn++++=purpose
in ^in++++=in
spite ^in"++++=spite
of ^in"++++=of
the ^ati++++=the
weakness ^nns+nom+++=weakness
of ^in++++=of
mortal ^jj+atrb+++=mortal
nature ^nn++++=nature,
, ^zz++++=EXTRAWORD
was ^vbd+bedz+vrb++=was
true ^jj+atrb+++=true
joy ^nn++++=joy
to ^in++++=to
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
so ^ql++++=so
well ^rb++++=well
aware ^jj++++=aware
of ^in++++=of
the ^ati++++=the
consequences ^nns+nom+++=consequences
that ^tht+rel+++=that
when ^wrb+who+++=when
his ^pp$+pp3+++=his
daughter ^nn+nom+++=daughter
Margaret ^np++++=Margaret
came ^vbd+++xvbn+=came
to ^in++++=to
him ^pp3o+pp3+++=him
the ^ati++++=the
next ^ap++++=next
day ^nn++++=day
with ^in++++=with
the ^ati++++=the
glad ^jj+atrb+++=glad
tidings ^nns++++=tidings
that ^tht+rel+obj++=that
the ^ati++++=the
charge ^nn++++=charge
against ^in++++=against
him ^pp3o+pp3+++=him
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
given ^vpsv++agls+xvbnx+=given
up ^rb+cnj+++=up,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
calmly ^rb++++=calmly
answered ^vbd+vpub++xvbn+=answered
her ^pp$+pp3+++=her,
, ^zz++++=EXTRAWORD
' ^zz++++='In
in ^in++++=EXTRAWORD
faith ^nn++++=faith,
, ^zz++++=EXTRAWORD
Meg ^np++++=Meg,
, ^zz++++=EXTRAWORD
what ^wdt+who+whq++=what
is ^vbz+bez+aux++=is
put ^vpsv++agls+xvbnx+=put
off ^rb+phrv+++=off
is ^vbz+bez+aux++=is
not ^xnot++not++=not
given ^vbd+++xvbn+=given
up ^rb+phrv+++=up.'
. ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
One ^cd1++++=One
day ^nn++++=day,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
asked ^vprf+++xvbnx+=asked
Margaret ^np++++=Margaret
how ^wrb+who+++=how
the ^ati++++=the
world ^nn++++=world
went ^vbd+++xvbn+=went
with ^in++++=with
the ^ati++++=the
new ^jj+atrb+++=new
Queen ^npt++++=Queen,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
she ^pp3a+pp3+++=she
replied ^vbd+vpub++xvbnx+=replied,
, ^zz++++=EXTRAWORD
' ^zz++++='In
in ^in++++=EXTRAWORD
faith ^nn++++=faith,
, ^zz++++=EXTRAWORD
father ^nn++++=father,
, ^zz++++=EXTRAWORD
never ^rb++++=never
better ^jjr++++=better;
; ^zz++++=EXTRAWORD
there ^ex+pex+++=there
is ^vbz+bez+vrb++=is
nothing ^pn++++=nothing
else ^rb+cnj+++=else
in ^in++++=in
the ^ati++++=the
court ^nn++++=court
but ^cc++++=but
dancing ^nvbg+++xvbg+=dancing
and ^cc++++=and
sporting ^nn++++=sporting,'
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
replied ^vbd+vpub++xvbnx+=replied,
, ^zz++++=EXTRAWORD
with ^in++++=with
sad ^jj+atrb+++=sad
foresight ^nn++++=foresight,
, ^zz++++=EXTRAWORD
' ^zz++++='Never
never ^rb++++=EXTRAWORD
better ^jjr++++=better.
. ^zz++++=EXTRAWORD
Alas ^uh++++=Alas,
, ^zz++++=EXTRAWORD
Meg ^np++++=Meg!
! ^zz++++=EXTRAWORD
it ^pp3+it+++=it
pitieth ^vbz++++=pitieth
me ^pp1o+pp1+++=me
to ^to++++=to
remember ^nn+nom+++=remember
unto ^in++++=unto
what ^wdt+who+++=what
misery ^nn++++=misery,
, ^zz++++=EXTRAWORD
poor ^jj+atrb+++=poor
soul ^nn++++=soul,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
will ^md+prd+++=will
shortly ^rb+tm+splt++=shortly
come ^vb++++=come.
. ^zz++++=EXTRAWORD
These ^dt+dem+++=These
dances ^nns++++=dances
of ^in++++=of
hers ^pp$$++++=hers
will ^md+prd+++=will
prove ^vb+vprv+++=prove
such ^abl++++=such
dances ^nns++++=dances
that ^tht+rel+obj++=that
she ^pp3a+pp3+++=she
will ^md+prd+++=will
spurn ^vb++++=spurn
off ^in+pl+++=off
our ^pp$+pp1+++=our
heads ^nns++++=heads
like ^in++++=like
footballs ^nns+++??+=footballs,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
it ^pp3+it+++=it
will ^md+prd+++=will
not ^xnot++not++=not
be ^vb+be+vrb++=be
