Before ^cs+sub+++=Before
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
even ^rb++++=even
coquetted ^vwbn+++xvbn+=coquetted
enough ^qlp++++=enough
with ^in++++=with
the ^ati++++=the
commercial ^jj+atrb+++=commercial
travellers ^nns+nom+++=travellers
to ^to++++=to
send ^vbi++++=send
them ^pp3o+pp3+++=them
away ^rp+pl+++=away
without ^in++++=without
ill ^jj++++=ill-will
- ^zz++++=EXTRAWORD
will ^md+prd+++=EXTRAWORD
for ^in++++=for
the ^ati++++=the
establishment ^nn+nom+++=establishment
which ^whp+rel+subj++=which
refused ^vbd+++xvbn+=refused
to ^to+vcmp+++=to
buy ^vbi++++=buy
from ^in++++=from
them ^pp3o+pp3+++=them.
. ^zz++++=EXTRAWORD
" ^zz++++="A
a ^rb++++=EXTRAWORD
little ^rb"++++=little
_badinage_ ^nn+++??+=_badinage_
does ^vbz+doz+vrb++=does
no ^at++++=no
harm ^nn++++=harm,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
said ^vbd+vpub++xvbnx+=said,
, ^zz++++=EXTRAWORD
" ^zz++++="it
it ^pp3+it+++=EXTRAWORD
keeps ^vbz++++=keeps
people ^nns++++=people
from ^in++++=from
getting ^xvbg+++xvbg+=getting
angry ^jj++++=angry
because ^cs+cos+++=because
they ^pp3a+pp3+++=they
can ^md+pos+++=can't
n't ^xnot++not++0=EXTRAWORD
do ^vb+do+vrb++=do
any ^dti++++=any
more ^rbr++++=more
business ^nns+nom+++=business."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
But ^cc++++=But
in ^in++++=in
the ^ati++++=the
house ^nn++++=house
she ^pp3a+pp3+++=she
was ^vbd+bedz+vrb++=was
dull ^jj+pred+++=dull
and ^cc+phrs+++=and
absent ^jj++++=absent-minded.
- ^zz++++=EXTRAWORD
minded ^jj+++xvbn+=EXTRAWORD
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
went ^vbd+++xvbnx+=went
about ^in+ppvb+++=about
as ^cs+sub+++=as
if ^cs+cnd+++=if
she ^pp3a+pp3+++=she
had ^vbd+hvd+aux++=had
lost ^vprf+++xvbnx+=lost
something ^pn++++=something.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
sat ^vbd+++xvbnx+=sat
in ^in++++=in
her ^pp$+pp3+++=her
rocking ^vbg+++xvbg+=rocking-chair,
- ^zz++++=EXTRAWORD
chair ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
with ^in++++=with
her ^pp$+pp3+++=her
hands ^nns++++=hands
in ^in++++=in
her ^pp$+pp3+++=her
lap ^nn++++=lap,
, ^zz++++=EXTRAWORD
as ^cs+sub+++=as
if ^cs+cnd+++=if
she ^pp3a+pp3+++=she
were ^vbd+bed+aux++=were
waiting ^vbg+++xvbgx+=waiting
for ^in++++=for
something ^pn++++=something.
. ^zz++++=EXTRAWORD
The ^ati++++=The
yellow ^jj++++=yellow
light ^jj++++=light
of ^in++++=of
the ^ati++++=the
lamp ^nn++++=lamp
shone ^vbd+++xvbn+=shone
upon ^in++++=upon
her ^pp$+pp3+++=her
face ^nn++++=face
and ^cc++++=and
hurt ^nn+++xvbn+=hurt
her ^pp3o+pp3+++=her
eyes ^nns++++=eyes.
. ^zz++++=EXTRAWORD
A ^at++++=A
tear ^nn++++=tear
fell ^vbd+++xvbn+=fell
upon ^in++++=upon
her ^pp$+pp3+++=her
knitting ^nvbg+++xvbg+=knitting.
. ^zz++++=EXTRAWORD
The ^ati++++=The
old ^jj+atrb+++=old
_tante_ ^nn+++??+=_tante_
Bergeron ^np+++??+=Bergeron,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
came ^vbd+++xvbn+=came
in ^in++++=in
to ^to++++=to
keep ^vbi++++=keep
house ^npl++++=house
for ^in++++=for
her ^pp$+pp3+++=her
while ^cs+sub+++=while
she ^pp3a+pp3+++=she
was ^vbd+bedz+vrb++=was
busy ^jj+pred+++=busy
with ^in++++=with
the ^ati++++=the
store ^nn++++=store,
, ^zz++++=EXTRAWORD
diagnosed ^xvbn+++xvbn+=diagnosed
her ^pp3o+pp3+++=her
malady ^nn++++=malady
and ^cc++++=and
was ^vbd+bedz+vrb++=was
displeased ^jj+pred+++=displeased
with ^in++++=with
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
are ^vb+ber+vrb++=are
love ^nn++++=love-sick,"
- ^zz++++=EXTRAWORD
sick ^jj++++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub+tht0+xvbn+=said
she ^pp3a+pp3+++=she.
. ^zz++++=EXTRAWORD
" ^zz++++="That
that ^dt+pdem+++=EXTRAWORD
is ^vbz+bez+vrb++=is
bad ^jj+pred+++=bad.
. ^zz++++=EXTRAWORD
Especially ^rb++++=Especially
for ^in++++=for
a ^at++++=a
married ^jj+atrb++xvbn+=married
woman ^nn++++=woman.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
is ^vbz+bez+vrb++=is
wrong ^jj+pred+++=wrong
to ^to+jcmp+++=to
love ^vb++++=love
any ^dti++++=any
of ^in++++=of
God ^np++++=God's
's ^$++++=EXTRAWORD
creatures ^nns++++=creatures
too ^ql++++=too
much ^ap++++=much.
. ^zz++++=EXTRAWORD
Trouble ^nn++++=Trouble
will ^md+prd+++=will
come ^vb++++=come
of ^in++++=of
it ^pp3+it+++=it--_voyons
-- ^--+clp+++=EXTRAWORD
_voyons ^nns+++??+=EXTRAWORD
voir_ ^nn+++??+=voir_."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="But,
but ^cc++++=EXTRAWORD
, ^zz++++=EXTRAWORD
aunty ^npt++++=aunty,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
answered ^vbd+vpub++xvbn+=answered
Toinette ^np+nom++??+=Toinette,
, ^zz++++=EXTRAWORD
" ^zz++++="Prosper
prosper ^jjr++++=EXTRAWORD
is ^vbz+bez+vrb++=is
not ^xnot++not++=not
just ^rb+emph+++=just
any ^dti++++=any
of ^in++++=of
God ^np++++=God's
's ^$++++=EXTRAWORD
creatures ^nns++++=creatures.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
is ^vbz+bez+vrb++=is
mine ^nn++++=mine.
. ^zz++++=EXTRAWORD
How ^wrb+who+whq++=How
could ^md+pos+++=could
I ^pp1a+pp1+++=I
love ^nn++++=love
him ^pp3o+pp3+++=him
too ^ql++++=too
much ^ap++++=much?
? ^zz++++=EXTRAWORD
Besides ^rb++++=Besides,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
do ^vb+do+vrb++=do
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
does ^vbz+doz+vrb++=does
itself ^ppl++++=itself.
. ^zz++++=EXTRAWORD
How ^wrb+who+whq++=How
can ^md+pos+++=can
I ^pp1a+pp1+++=I
help ^vb++++=help
it ^pp3+it+++=it?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="It
it ^pp3+it+++=EXTRAWORD
is ^vbz+bez+vrb++=is
a ^at++++=a
malady ^nn++++=malady,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
sighed ^vbd+++xvbn+=sighed
the ^ati++++=the
old ^jj+atrb+++=old
woman ^nn++++=woman
shaking ^vwbg+++xvbg+=shaking
her ^pp3o+pp3+++=her
head ^jjb++++=head.
. ^zz++++=EXTRAWORD
" ^zz++++="It
it ^pp3+it+++=EXTRAWORD
is ^vbz+bez+vrb++=is
a ^at++++=a
malady ^nn++++=malady
of ^in++++=of
youth ^nn++++=youth,
, ^zz++++=EXTRAWORD
my ^pp$+pp1+++=my
child ^nn++++=child.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
is ^vbz+bez+vrb++=is
danger ^nn++++=danger
in ^in++++=in
it ^pp3+it+++=it--and
-- ^--+clp+++=EXTRAWORD
and ^cc+cls+++=EXTRAWORD
for ^in++++=for
Prosper ^np+++??+=Prosper
too ^ql++++=too!
! ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
make ^vb++++=make
an ^at++++=an
idol ^nn++++=idol
of ^in++++=of
a ^at++++=a
man ^nn++++=man
and ^cc++++=and
you ^pp2+pp2+++=you
spoil ^vb++++=spoil
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
upset ^vbd+++xvbn+=upset
his ^pp$+pp3+++=his
mind ^nn++++=mind.
. ^zz++++=EXTRAWORD
Men ^nns++++=Men
are ^vb+ber+vrb++=are
like ^in++++=like
that ^dt+pdem+++=that.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
will ^md+prd+++=will
bring ^vb++++=bring
trouble ^nn++++=trouble
upon ^in++++=upon
your ^pp$+pp2+++=your
man ^nn++++=man,
, ^zz++++=EXTRAWORD
if ^cs+cnd+++=if
you ^pp2+pp2+++=you
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
take ^vb++++=take
care ^nn++++=care.
. ^zz++++=EXTRAWORD
God ^np++++=God
will ^md+prd+++=will
send ^vb++++=send
you ^pp2+pp2+++=you
a ^at++++=a
warning ^nn++++=warning--perhaps
-- ^--+clp+++=EXTRAWORD
perhaps ^rb++++=EXTRAWORD
a ^at++++=a
countersign ^nn+++??+=countersign
of ^in++++=of
death ^nn++++=death."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="What
what ^wdt+who+++=EXTRAWORD
is ^vbz+bez+vrb++=is
that ^tht+vcmp+++=that,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
cried ^vbd+++xvbn+=cried
Toinette ^np+nom++??+=Toinette,
, ^zz++++=EXTRAWORD
her ^pp$+pp3+++=her
heart ^nn++++=heart
shaking ^vwbg+++xvbg+=shaking
within ^in++++=within
her ^pp$+pp3+++=her
breast ^nn++++=breast,
, ^zz++++=EXTRAWORD
" ^zz++++="what
what ^wdt+who+whq++=EXTRAWORD
do ^vb+do+aux++=do
you ^pp2+pp2+++=you
mean ^vb+vprv+++=mean
with ^in++++=with
your ^pp$+pp2+++=your
countersign ^nn+++??+=countersign
of ^in++++=of
death ^nn++++=death?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
The ^ati++++=The
old ^jj+atrb+++=old
woman ^nn++++=woman
nodded ^vbd+++xvbn+=nodded
her ^pp$+pp3+++=her
head ^jjb++++=head
mysteriously ^rb++++=mysteriously
and ^cc++++=and
leaned ^vbd+++xvbn+=leaned
forward ^rb+cnj+++=forward,
, ^zz++++=EXTRAWORD
putting ^jj+++xvbg+=putting
her ^pp3o+pp3+++=her
gnarled ^jj+atrb+++=gnarled
hand ^nn++++=hand
on ^in++++=on
Toinette ^np+nom+++=Toinette's
's ^vbz+bez+vrb++0=EXTRAWORD
round ^in++++=round
knee ^nn++++=knee
and ^cc++++=and
peering ^vbg+++xvbg+=peering
with ^in++++=with
her ^pp$+pp3+++=her
faded ^vbd+++xvbn+=faded
eyes ^nns++++=eyes
into ^in++++=into
the ^ati++++=the
girl ^nn++++=girl's
's ^vbz+bez+vrb++0=EXTRAWORD
wild ^jj++++=wild-flower
- ^zz++++=EXTRAWORD
flower ^nn++++=EXTRAWORD
face ^nn++++=face.
. ^zz++++=EXTRAWORD
" ^zz++++="It
it ^pp3+it+++=EXTRAWORD
is ^vbz+bez+vrb++=is
the ^ati++++=the
word ^nn++++=word,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub+tht0+xvbn+=said
she ^pp3a+pp3+++=she,
, ^zz++++=EXTRAWORD
" ^zz++++="that
that ^dt+dem+++=EXTRAWORD
death ^nn++++=death
speaks ^vbz++++=speaks
before ^cs+sub+++=before
he ^pp3a+pp3+++=he
crosses ^vbz++++=crosses
the ^ati++++=the
threshold ^nn++++=threshold.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
gives ^vbz++++=gives
a ^at++++=a
sign ^nn++++=sign--sometimes
-- ^--+clp+++=EXTRAWORD
sometimes ^rb++++=EXTRAWORD
one ^cd1++++=one
thing ^nn++++=thing,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
sometimes ^rb++++=sometimes
another ^dt++++=another--before
-- ^--+clp+++=EXTRAWORD
before ^cs+sub+++=EXTRAWORD
he ^pp3a+pp3+++=he
comes ^vbz++++=comes
in ^in+strn+++=in.
. ^zz++++=EXTRAWORD
Our ^pp$+pp1+++=Our
folk ^jjb++++=folk
in ^in++++=in
Brittany ^np++++=Brittany
have ^vb+hv+aux++=have
understood ^vprf+++xvbnx+=understood
about ^in++++=about
that ^dt+dem+++=that
for ^in++++=for
a ^at++++=a
long ^jj+atrb+++=long
time ^nn++++=time.
. ^zz++++=EXTRAWORD
My ^pp$+pp1+++=My
grandmother ^nn+nom+++=grandmother
has ^vbz+hvz+aux++=has
told ^vprf+++xvbnx+=told
me ^pp1o+pp1+++=me.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
always ^rb++++=always
comes ^vbz++++=comes
to ^to++++=to
one ^cd1++++=one
who ^whp+rel+subj++=who
has ^vbz+hvz+aux++=has
gone ^vprf+++xvbnx+=gone
too ^ql++++=too
far ^rb+cnj+++=far,
, ^zz++++=EXTRAWORD
to ^to++++=to
one ^cd1++++=one
who ^whp+rel+subj++=who
is ^vbz+bez+vrb++=is
like ^in++++=like
you ^pp2+pp2+++=you.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
must ^md+nec+++=must
be ^vb+be+vrb++=be
careful ^jj+pred+++=careful.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
must ^md+nec+++=must
go ^vb++++=go
to ^in++++=to
Mass ^nn++++=Mass
every ^at++++=every
day ^nn++++=day
and ^cc++++=and
pray ^vb+vsua+++=pray
that ^tht+vcmp+++=that
your ^pp$+pp2+++=your
malady ^nn++++=malady
may ^md+pos+++=may
be ^vb+be+aux++=be
restrained ^vpsv++agls+xvbnx+=restrained."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
So ^ql++++=So
Toinette ^np+nom++??+=Toinette,
, ^zz++++=EXTRAWORD
having ^xvbg+++xvbg+=having
tasted ^vprf+++xvbn+=tasted
of ^in++++=of
the ^ati++++=the
strange ^jj+atrb+++=strange
chalice ^nn++++=chalice
of ^in++++=of
fear ^nn++++=fear,
, ^zz++++=EXTRAWORD
went ^j+++xvbn+=went
to ^in++++=to
the ^ati++++=the
church ^npl++++=church
early ^jj++++=early
every ^at++++=every
morning ^nn++++=morning
while ^cs+sub+++=while
Prosper ^np+++??+=Prosper
was ^vbd+bedz+vrb++=was
away ^rp+pl+++=away
and ^cc++++=and
prayed ^vbd+vsua++xvbn+=prayed
that ^tht+vcmp+++=that
she ^pp3a+pp3+++=she
might ^md+pos+++=might
not ^xnot++not++=not
love ^nn++++=love
him ^pp3o+pp3+++=him
so ^ql++++=so
much ^ap++++=much
as ^in++++=as
to ^in"++++=to
make ^vb++++=make
God ^nn++++=God
jealous ^jj++++=jealous.
. ^zz++++=EXTRAWORD
The ^ati++++=The
absurdity ^nn+nom+++=absurdity
of ^in++++=of
such ^abl++++=such
a ^at++++=a
prayer ^nn++++=prayer
never ^rb++++=never
occurred ^vbd+++xvbn+=occurred
to ^in++++=to
her ^pp$+pp3+++=her.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
made ^vbd+++xvbnx+=made
it ^pp3+it+++=it
with ^in++++=with
childish ^jj+atrb+++=childish
simplicity ^nn+nom+++=simplicity.
. ^zz++++=EXTRAWORD
Probably ^rb++++=Probably
it ^pp3+it+++=it
did ^vbd+dod+vrb++=did
no ^at++++=no
harm ^nn++++=harm.
. ^zz++++=EXTRAWORD
For ^in++++=For
when ^wrb+who+++=when
Prosper ^np+++??+=Prosper
came ^vbd+++xvbn+=came
home ^nr++++=home
she ^pp3a+pp3+++=she
loved ^vbd+++xvbnx+=loved
him ^pp3o+pp3+++=him
more ^ql++++=more
than ^cs+sub+++=than
ever ^rb++++=ever.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
she ^pp3a+pp3+++=she
went ^vbd+++xvbnx+=went
to ^in++++=to
High ^jj+atrb+++=High
Mass ^nn++++=Mass
every ^at++++=every
Sunday ^nr++++=Sunday
morning ^nn++++=morning
with ^in++++=with
him ^pp3o+pp3+++=him
and ^cc++++=and
prayed ^vpsv++agls+xvbn+=prayed
for ^in++++=for
other ^ap++++=other
things ^nns++++=things.
. ^zz++++=EXTRAWORD
After ^cs+sub+++=After
four ^cd++++=four
years ^nns++++=years
there ^ex+pex+++=there
came ^vbd+++xvbn+=came
a ^at++++=a
day ^nn++++=day
when ^wrb+who+++=when
Prosper ^np+++??+=Prosper
must ^md+nec+++=must
go ^vb++++=go
away ^rp+pl+++=away
for ^in++++=for
a ^at++++=a
longer ^rbr++++=longer
absence ^nn+nom+++=absence.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
was ^vbd+bedz+vrb++=was
an ^at++++=an
affair ^nn++++=affair
connected ^vbd+++xvbn+=connected
with ^in++++=with
the ^ati++++=the
Department ^nn+nom+++=Department
of ^in++++=of
Forests ^nns++++=Forests
and ^cc++++=and
Fisheries ^nns+nom+++=Fisheries,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
could ^md+pos+++=could
only ^rb+down+++=only
be ^vb+be+aux++=be
arranged ^vpsv++agls+xvbnx+=arranged
at ^rb++++=at
Ottawa ^np++++=Ottawa.
. ^zz++++=EXTRAWORD
Thither ^np+++??+=Thither
he ^pp3a+pp3+++=he
must ^md+nec+++=must
go ^vb++++=go
to ^to++++=to
see ^vbi+vprv+++=see
the ^ati++++=the
lawyers ^nns+nom+++=lawyers,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
there ^rn+pl+++=there
he ^pp3a+pp3+++=he
must ^md+nec+++=must
stay ^vb++++=stay
perhaps ^rb++++=perhaps
a ^at++++=a
month ^nn++++=month,
, ^zz++++=EXTRAWORD
perhaps ^rb++++=perhaps
two ^cd++++=two.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
can ^md+pos+++=can
imagine ^vb+vprv+++=imagine
that ^tht+vcmp+++=that
Toinette ^np+nom++??+=Toinette
was ^vbd+bedz+vrb++=was
desolate ^jj+pred+++=desolate.
. ^zz++++=EXTRAWORD
The ^ati++++=The
draught ^nn++++=draught
of ^in++++=of
fear ^vb++++=fear
that ^tht+vcmp+++=that
_tante_ ^nn+++??+=_tante_
Bergeron ^np+++??+=Bergeron
had ^vbd+hvd+aux++=had
given ^vprf+++xvbnx+=given
her ^pp$+pp3+++=her
grew ^vbd+++xvbn+=grew
more ^rbr++++=more
potent ^jj++++=potent
and ^cc++++=and
bitter ^nn++++=bitter
in ^in++++=in
her ^pp$+pp3+++=her
simple ^jj+atrb+++=simple
heart ^nn++++=heart.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
the ^ati++++=the
strange ^jj+atrb+++=strange
thing ^nn++++=thing
was ^vbd+bedz+vrb++=was
that ^dt+pdem+++=that,
, ^zz++++=EXTRAWORD
although ^cs+con+++=although
she ^pp3a+pp3+++=she
was ^vbd+bedz+vrb++=was
ignorant ^jj+pred+++=ignorant
of ^in++++=of
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
apparently ^rb++++=apparently
something ^pn++++=something
true ^jj++++=true
in ^in++++=in
the ^ati++++=the
warning ^nn++++=warning
which ^whp+rel+obj++=which
the ^ati++++=the
old ^jj+atrb+++=old
woman ^nn++++=woman
had ^vbd+hvd+aux++=had
given ^vprf+++xvbnx+=given.
. ^zz++++=EXTRAWORD
For ^in++++=For
jealousy ^nn++++=jealousy--that
-- ^--+clp+++=EXTRAWORD
that ^dt+dem+++=EXTRAWORD
vine ^nn++++=vine
with ^in++++=with
flying ^xvbg+++xvbg+=flying
seeds ^nns++++=seeds
and ^cc++++=and
strangling ^jj+atrb+++=strangling
creepers ^nns+nom+++=creepers--had
-- ^--+clp+++=EXTRAWORD
had ^vbd+hvd+aux++=EXTRAWORD
taken ^vprf+++xvbnx+=taken
root ^nn++++=root
in ^in++++=in
the ^ati++++=the
heart ^nn++++=heart
of ^in++++=of
Prosper ^np+++??+=Prosper
Leclere ^np+++??+=Leclere.
. ^zz++++=EXTRAWORD
Yes ^uh++++=Yes,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
know ^vb+vprv+tht0++=know
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
contrary ^in+cmpx+++=contrary
to ^in"++++=to
all ^abn++++=all
the ^ati++++=the
rules ^nns++++=rules
and ^cc++++=and
to ^in++++=to
all ^abn++++=all
the ^ati++++=the
proverbs ^nns++++=proverbs,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
so ^ql++++=so
it ^pp3+it+++=it
happened ^vbd+++xvbn+=happened.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
is ^vbz+bez+vrb++=is
not ^xnot++not++=not
true ^jj++++=true
that ^tht+jcmp+++=that
the ^ati++++=the
strongest ^jjt+atrb+++=strongest
love ^nn++++=love
is ^vbz+bez+vrb++=is
the ^ati++++=the
most ^ql+emph+++=most
jealous ^jj++++=jealous.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
is ^vbz+bez+vrb++=is
the ^ati++++=the
lesser ^jjr+atrb+++=lesser
love ^nn++++=love,
, ^zz++++=EXTRAWORD
the ^ati++++=the
love ^nn++++=love
which ^whp+rel+subj++=which
receives ^vbz++++=receives
more ^ql++++=more
than ^cs+sub+++=than
it ^pp3+it+++=it
gives ^vbz++++=gives,
, ^zz++++=EXTRAWORD
that ^dt+pdem+++=that
lies ^vbz++++=lies
open ^jj++++=open
to ^in++++=to
the ^ati++++=the
floating ^jj+atrb++xvbg+=floating
germs ^nns++++=germs
of ^in++++=of
mistrust ^nn++++=mistrust
and ^cc++++=and
suspicion ^nn++++=suspicion.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
so ^ql++++=so
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
Prosper ^np+++??+=Prosper
who ^whp+rel+subj++=who
began ^vbd+++xvbn+=began
to ^to++++=to
have ^vbi++++=have
doubts ^nns++++=doubts
whether ^cs+who+++=whether
Toinette ^np+nom++??+=Toinette
thought ^vbd+++xvbn+=thought
of ^in++++=of
him ^pp3o+pp3+++=him
as ^ql++++=as
much ^ap++++=much
when ^wrb+who+++=when
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
away ^rp+pl+++=away
as ^ql++++=as
when ^wrb+who+++=when
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
with ^in++++=with
her ^pp$+pp3+++=her;
; ^zz++++=EXTRAWORD
whether ^cs+who+++=whether
her ^pp$+pp3+++=her
gladness ^nns+nom+++=gladness
when ^wrb+who+++=when
he ^pp3a+pp3+++=he
came ^vbd+++xvbnx+=came
home ^nr++++=home
was ^vbd+bedz+vrb++=was
not ^xnot++not++=not
something ^pn++++=something
that ^cs+sub+++=that
she ^pp3a+pp3+++=she
put ^vbd+++xvbnx+=put
on ^rb+phrv+++=on
to ^in++++=to
fool ^nn++++=fool
him ^pp3o+pp3+++=him
and ^cc++++=and
humour ^nn++++=humour
him ^pp3o+pp3+++=him;
; ^zz++++=EXTRAWORD
whether ^cs+who+++=whether
her ^pp$+pp3+++=her
_badinage_ ^nn+++??+=_badinage_
with ^in++++=with
the ^ati++++=the
commercial ^jj+atrb+++=commercial
travellers ^nns+nom+++=travellers
( ^zz++++=(and
and ^cc++++=EXTRAWORD
especially ^rb++++=especially
with ^in++++=with
that ^dt+dem+++=that
good ^jj++++=good-looking
- ^zz++++=EXTRAWORD
looking ^vbg+++xvbg+=EXTRAWORD
Irishman ^nn+nom+++=Irishman,
, ^zz++++=EXTRAWORD
Flaherty ^np+++??+=Flaherty
from ^in++++=from
Montreal ^np+nom++??+=Montreal,
, ^zz++++=EXTRAWORD
of ^in++++=of
whom ^whp+rel+pied++=whom
the ^ati++++=the
village ^nn+nom+++=village
gossips ^nns++++=gossips
had ^vb+hv+vrb++=had
much ^ap++++=much
to ^to++++=to
say ^vbi+vpub+++=say)
) ^zz++++=EXTRAWORD
might ^md+pos+++=might
not ^xnot++not++=not
be ^vb+be+vrb++=be
more ^rbr++++=more
serious ^jj+pred+++=serious
than ^in++++=than
it ^pp3+it+++=it
looked ^vbd+++xvbn+=looked;
; ^zz++++=EXTRAWORD
whether ^cs+who+++=whether--ah,
-- ^--+clp+++=EXTRAWORD
ah ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
well ^rb+cnj+++=well,
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
know ^vb+vprv+++=know,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
a ^at++++=a
man ^nn++++=man
begins ^vbz++++=begins
to ^to++++=to
follow ^vbi+vprv+++=follow
fool ^jjb+atrb+++=fool
thoughts ^nns++++=thoughts
like ^in++++=like
that ^dt+pdem+++=that,
, ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
carry ^vb++++=carry
him ^pp3o+pp3+++=him
pretty ^rb++++=pretty
far ^rb+pl+++=far
astray ^rb++++=astray
in ^in++++=in
the ^ati++++=the
wilderness ^nns+nom+++=wilderness.
. ^zz++++=EXTRAWORD
Prosper ^np+++??+=Prosper
was ^vbd+bedz+vrb++=was
a ^at++++=a
good ^jj++++=good
fellow ^jjb++++=fellow
with ^in++++=with
a ^at++++=a
touch ^nn++++=touch
of ^in++++=of
the ^ati++++=the
prig ^nn++++=prig
in ^in++++=in
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+vrb++=was
a ^at++++=a
Catholic ^nn++++=Catholic
with ^in++++=with
a ^at++++=a
Puritan ^jj+atrb+++=Puritan
temperament ^nn+nom+++=temperament
and ^cc++++=and
a ^at++++=a
Gallic ^np+++??+=Gallic
imagination ^nn+nom+++=imagination.
. ^zz++++=EXTRAWORD
The ^ati++++=The
idolatry ^nn++++=idolatry
of ^in++++=of
Toinette ^np+nom++??+=Toinette
had ^vb+hv+vrb++=had,
, ^zz++++=EXTRAWORD
as ^in++++=as
a ^at++++=a
matter ^nn++++=matter
of ^in++++=of
fact ^nn++++=fact,
, ^zz++++=EXTRAWORD
spoiled ^j+++xvbn+=spoiled
him ^pp3o+pp3+++=him
a ^rb++++=a
little ^rb"++++=little;
; ^zz++++=EXTRAWORD
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
so ^ql++++=so
much ^ap++++=much
that ^dt+dem+++=that
he ^pp3a+pp3+++=he
weakly ^rb++++=weakly
questioned ^vbd+vpub++xvbn+=questioned
the ^ati++++=the
reality ^nn+nom+++=reality
of ^in++++=of
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
as ^cs+sub+++=as
if ^cs+cnd+++=if
it ^pp3+it+++=it
were ^vbd+bed+vrb++=were
too ^ql++++=too
good ^jj++++=good
to ^to+jcmp+++=to
be ^vbi++vrb++=be
true ^jj+pred+++=true.
. ^zz++++=EXTRAWORD
All ^abn++++=All
the ^ati++++=the
time ^nn++++=time
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
in ^in++++=in
Ottawa ^np++++=Ottawa
and ^cc++++=and
on ^in++++=on
the ^ati++++=the
