[ ^zz++++=[1]
been ^vprf+ben+vrb+xvbnx+=been
an ^at++++=an
uncertain ^jj+atrb+++=uncertain
element ^nn+nom+++=element
which ^whp+rel+subj++=which
had ^vbd+hvd+aux++=had
diffused ^vprf+++xvbnx+=diffused
its ^pp$+it+++=its
dubious ^jj+atrb+++=dubious
character ^nn+nom+++=character
over ^in++++=over
all ^abn++++=all--had
-- ^--+clp+++=EXTRAWORD
had ^vbd+hvd+aux++=EXTRAWORD
leavened ^vprf+++xvbnx+=leavened
the ^ati++++=the
whole ^jj+atrb+++=whole
mass ^nn++++=mass
with ^in++++=with
unreality ^nn+nom+++=unreality.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
did ^vbd+dod+aux++=did
not ^xnot++not++=not
like ^vb++++=like
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
At ^rb++++=At
the ^ati++++=the
breakfast ^nn++++=breakfast
table ^nn++++=table
the ^ati++++=the
next ^ap++++=next
morning ^nn++++=morning
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
a ^at++++=a
new ^jj+atrb+++=new
face ^nn++++=face;
; ^zz++++=EXTRAWORD
opposite ^jj++++=opposite
me ^pp1o+pp1+++=me
sat ^vbd+++xvbn+=sat
a ^at++++=a
young ^jj+atrb+++=young
woman ^nn++++=woman
at ^in++++=at
whom ^whp+rel+pied++=whom
I ^pp1a+pp1+++=I
merely ^rb+down+++=merely
glanced ^vbd+++xvbn+=glanced
as ^ql++++=as
I ^pp1a+pp1+++=I
took ^vbd+++xvbnx+=took
my ^pp$+pp1+++=my
seat ^nn++++=seat.
. ^zz++++=EXTRAWORD
In ^in++++=In
speaking ^xvbg+++xvbg+=speaking
to ^in++++=to
the ^ati++++=the
high ^jj+atrb+++=high
and ^cc+phrs+++=and
mighty ^jj+atrb+++=mighty
female ^nn++++=female
personage ^nn+nom+++=personage
who ^whp+rel+subj++=who
condescended ^vbd+++xvbn+=condescended
to ^to++++=to
seem ^vbi+seem+++=seem
to ^to+vcmp+++=to
wait ^vbi++++=wait
upon ^in++++=upon
us ^pp1o+pp1+++=us,
, ^zz++++=EXTRAWORD
this ^dt+dem+++=this
girl ^nn++++=girl
soon ^rb+tm+++=soon
invited ^vbd+++xvbn+=invited
my ^pp$+pp1+++=my
attention ^nn+nom+++=attention
by ^in++++=by
the ^ati++++=the
sound ^nn++++=sound
of ^in++++=of
her ^pp$+pp3+++=her
voice ^nn++++=voice,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
was ^vbd+bedz+vrb++=was
like ^in+strn+++=like,
, ^zz++++=EXTRAWORD
yet ^rb++++=yet
not ^xnot++not++=not
altogether ^nn+nom+++=altogether
like ^in+strn+++=like,
, ^zz++++=EXTRAWORD
the ^ati++++=the
one ^cd1++++=one
still ^rb++++=still
murmuring ^vbg+++xvbg+=murmuring
in ^in++++=in
my ^pp$+pp1+++=my
memory ^nn++++=memory
of ^in++++=of
the ^ati++++=the
previous ^jj+atrb+++=previous
evening ^nn++++=evening's
's ^$++++=EXTRAWORD
adventure ^nn++++=adventure.
. ^zz++++=EXTRAWORD
A ^at++++=A
moment ^nn++++=moment
later ^rbr+tm+++=later
another ^dt++++=another
girl ^nn++++=girl,
, ^zz++++=EXTRAWORD
a ^ap++++=a
few ^ap"++++=few
years ^nns++++=years
older ^jjr++++=older,
, ^zz++++=EXTRAWORD
entered ^j+++xvbn+=entered
the ^ati++++=the
room ^nn++++=room
and ^cc++++=and
sat ^vpsv++agls+xvbn+=sat
at ^in++++=at
the ^ati++++=the
left ^nn+++xvbn+=left
of ^in++++=of
the ^ati++++=the
other ^ap++++=other,
, ^zz++++=EXTRAWORD
speaking ^vbg+++xvbg+=speaking
to ^in++++=to
her ^pp3o+pp3+++=her
a ^at++++=a
gentle ^jj++++=gentle
" ^zz++++="good
good ^jj+atrb+++=EXTRAWORD
morning ^nn++++=morning."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
By ^in++++=By
_her_ ^nn+++??+=_her_
voice ^nn++++=voice
I ^pp1a+pp1+++=I
was ^vbd+bedz+aux++=was
startled ^vpsv++agls+xvbnx+=startled:
: ^zz++++=EXTRAWORD
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
without ^in++++=without
doubt ^nn++++=doubt
the ^ati++++=the
one ^pn++++=one
of ^in++++=of
which ^whp+rel+pied++=which
the ^ati++++=the
first ^od++++=first
girl ^nn++++=girl's
's ^$++++=EXTRAWORD
had ^vbd+hvd+aux++=had
reminded ^vprf+++xvbnx+=reminded
me ^pp1o+pp1+++=me.
. ^zz++++=EXTRAWORD
Here ^rn+pl+++=Here
was ^vbd+bedz+vrb++=was
the ^ati++++=the
lady ^nn++++=lady
of ^in++++=of
the ^ati++++=the
sylvan ^jj+atrb+++=sylvan
incident ^nn++++=incident
sitting ^vwbg+++xvbg+=sitting
bodily ^jj++++=bodily
before ^in++++=before
me ^pp1o+pp1+++=me,
, ^zz++++=EXTRAWORD
" ^zz++++="in
in ^in++++=EXTRAWORD
her ^pp$+pp3+++=her
habit ^nn++++=habit
as ^ql++++=as
she ^pp3a+pp3+++=she
lived ^vbd+++xvbnx+=lived."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Evidently ^rb++++=Evidently
enough ^dt++++=enough
the ^ati++++=the
two ^cd++++=two
were ^vbd+bed+vrb++=were
sisters ^nns+nom+++=sisters.
. ^zz++++=EXTRAWORD
With ^in++++=With
a ^at++++=a
nebulous ^jj++++=nebulous
kind ^rb++++=kind
of ^rb"++++=of
apprehension ^nn++++=apprehension
that ^tht+rel+obj++=that
I ^pp1a+pp1+++=I
might ^md+pos+++=might
be ^vb+be+aux++=be
recognized ^vpsv++agls+xvbnx+=recognized
as ^ql++++=as
the ^ati++++=the
mute ^jj+atrb+++=mute
inglorious ^jj+atrb+++=inglorious
hero ^nn++++=hero
of ^in++++=of
an ^at++++=an
adventure ^nn++++=adventure
which ^whp+rel+subj++=which
had ^vb+hv+vrb++=had
in ^in++++=in
my ^pp$+pp1+++=my
consciousness ^nns+nom+++=consciousness
and ^cc++++=and
conscience ^nn+nom+++=conscience
something ^pn++++=something
of ^in++++=of
the ^ati++++=the
character ^nn+nom+++=character
of ^in++++=of
eavesdropping ^xvbg+++xvbg+=eavesdropping,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
allowed ^vbd+++xvbnx+=allowed
myself ^ppl+pp1+++=myself
only ^rb+down+++=only
a ^at++++=a
hasty ^jj+atrb+++=hasty
cup ^nn++++=cup
of ^in++++=of
the ^ati++++=the
lukewarm ^nn+++??+=lukewarm
coffee ^nn++++=coffee
thoughtfully ^rb++++=thoughtfully
provided ^vpsv++by+xvbn+=provided
by ^in++++=by
the ^ati++++=the
prescient ^jj+atrb+++=prescient
waitress ^nns+nom+++=waitress
for ^in++++=for
the ^ati++++=the
emergency ^nn++++=emergency,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
left ^vbd+++xvbn+=left
the ^ati++++=the
table ^nn++++=table.
. ^zz++++=EXTRAWORD
As ^ql++++=As
I ^pp1a+pp1+++=I
passed ^vbd+++xvbnx+=passed
out ^rp+pl+++=out
of ^in++++=of
the ^ati++++=the
house ^nn++++=house
into ^in++++=into
the ^ati++++=the
grounds ^nns++++=grounds
I ^pp1a+pp1+++=I
heard ^vbd+vprv++xvbnx+=heard
a ^at++++=a
rich ^jj++++=rich,
, ^zz++++=EXTRAWORD
strong ^jj+atrb+++=strong
male ^jj+atrb+++=male
voice ^nn++++=voice
singing ^vwbg+++xvbg+=singing
an ^at++++=an
aria ^nn++++=aria
from ^in++++=from
" ^zz++++="Rigoletto."
rigoletto ^np++++=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
am ^vb+bem+aux++=am
bound ^jj++agls+xvbnx+=bound
to ^to+jcmp+++=to
say ^vbi+vpub+++=say
that ^tht+vcmp+++=that
it ^pp3+it+++=it
was ^vbd+bedz+aux++=was
exquisitely ^rb++splt++=exquisitely
sung ^vpsv++agls+xvbnx+=sung,
, ^zz++++=EXTRAWORD
too ^rb+cnj+++=too,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
something ^pn++++=something
in ^in++++=in
the ^ati++++=the
performance ^nn+nom+++=performance
that ^tht+rel+++=that
displeased ^jj++++=displeased
me ^pp1o+pp1+++=me,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
could ^md+pos+++=could
say ^vb+vpub+++=say
neither ^rb++neg++=neither
what ^wdt+who+++=what
nor ^cc+cls+neg++=nor
why ^wrb+who+++=why,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I
walked ^vbd+++xvbnx+=walked
rapidly ^rb++++=rapidly
away ^rp+pl+++=away.
. ^zz++++=EXTRAWORD
Returning ^vbg+++xvbg+=Returning
later ^rbr+tm+++=later
in ^in++++=in
the ^ati++++=the
day ^nn++++=day
I ^pp1a+pp1+++=I
saw ^vbd+vprv++xvbnx+=saw
the ^ati++++=the
elder ^nn++++=elder
of ^in++++=of
the ^ati++++=the
two ^cd++++=two
young ^jj+atrb+++=young
women ^nns++++=women
standing ^vwbg+++xvbg+=standing
on ^in++++=on
the ^ati++++=the
porch ^nn++++=porch
and ^cc++++=and
near ^rb++++=near
her ^pp3o+pp3+++=her
a ^at++++=a
tall ^jj+atrb+++=tall
man ^nn++++=man
in ^in++++=in
black ^jj+atrb+++=black
clothing ^nn++++=clothing--the
-- ^--+clp+++=EXTRAWORD
the ^ati++++=EXTRAWORD
man ^nn++++=man
whom ^whp+rel+obj++=whom
I ^pp1a+pp1+++=I
had ^vbd+hvd+aux++=had
expected ^vprf+++xvbnx+=expected
to ^to+vcmp+++=to
see ^vbi+vprv+++=see.
. ^zz++++=EXTRAWORD
All ^abn++++=All
day ^nn++++=day
the ^ati++++=the
desire ^nn++++=desire
to ^to+ncmp+++=to
know ^vbi+vprv+++=know
something ^pn++++=something
of ^in++++=of
these ^dt+dem+++=these
persons ^nns++++=persons
had ^vbd+hvd+aux++=had
been ^vprf+ben+vrb+xvbnx+=been
uppermost ^jj++++=uppermost
in ^in++++=in
my ^pp$+pp1+++=my
mind ^nn++++=mind
and ^cc++++=and
I ^pp1a+pp1+++=I
now ^rn+tm+++=now
resolved ^vbd+vsua++xvbn+=resolved
to ^to+vcmp+++=to
learn ^vbi+vprv+++=learn
what ^wdt+who+whcl++=what
I ^pp1a+pp1+++=I
could ^md+pos+++=could
of ^in++++=of
them ^pp3o+pp3+++=them
in ^in++++=in
any ^dti++++=any
way ^nn++++=way
that ^tht+rel+subj++=that
was ^vbd+bedz+vrb++=was
neither ^dt++neg++=neither
dishonorable ^jj++++=dishonorable
nor ^cc+phrs+neg++=nor
low ^jj++++=low.
. ^zz++++=EXTRAWORD
The ^ati++++=The
man ^nn++++=man
was ^vbd+bedz+aux++=was
talking ^vbg+++xvbgx+=talking
easily ^rb++++=easily
and ^cc+phrs+++=and
affably ^rb++++=affably
to ^in++++=to
his ^pp$+pp3+++=his
companion ^nn++++=companion,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
at ^in++++=at
the ^ati++++=the
sound ^nn++++=sound
of ^in++++=of
my ^pp$+pp1+++=my
footsteps ^nns++++=footsteps
on ^in++++=on
the ^ati++++=the
gravel ^nn++++=gravel
walk ^nn++++=walk
he ^pp3a+pp3+++=he
ceased ^vbd+++xvbnx+=ceased,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
turning ^nvbg+++xvbg+=turning
about ^in++++=about
looked ^vbd+++xvbn+=looked
me ^pp1o+pp1+++=me
full ^jj++++=full
in ^in++++=in
the ^ati++++=the
face ^nn++++=face.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+vrb++=was
apparently ^rb++++=apparently
of ^in++++=of
middle ^jjb+atrb+++=middle
age ^nn++++=age,
, ^zz++++=EXTRAWORD
dark ^jj++++=dark
and ^cc++++=and
uncommonly ^rb++++=uncommonly
handsome ^jj++++=handsome.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
attire ^nn++++=attire
was ^vbd+bedz+vrb++=was
faultless ^jj+pred+++=faultless,
, ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
bearing ^nvbg+++xvbg+=bearing
easy ^jj++++=easy
and ^cc+phrs+++=and
graceful ^jj++++=graceful,
, ^zz++++=EXTRAWORD
the ^ati++++=the
look ^nn++++=look
which ^whp+rel+obj++=which
he ^pp3a+pp3+++=he
turned ^vbd+++xvbnx+=turned
upon ^in++++=upon
me ^pp1o+pp1+++=me
open ^jj++++=open,
, ^zz++++=EXTRAWORD
free ^jj++++=free,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
devoid ^in++++=devoid
of ^in"++++=of
any ^dti++++=any
suggestion ^nn+nom+++=suggestion
of ^in++++=of
rudeness ^nns+nom+++=rudeness.
. ^zz++++=EXTRAWORD
Nevertheless ^rb+cnj+++=Nevertheless
it ^pp3+it+++=it
affected ^vbd+++xvbn+=affected
me ^pp1o+pp1+++=me
with ^in++++=with
a ^at++++=a
distinct ^jj+atrb+++=distinct
emotion ^nn+nom+++=emotion
which ^whp+rel+obj++=which
on ^in++++=on
subsequent ^jj+atrb+++=subsequent
analysis ^nn++++=analysis
in ^in++++=in
memory ^nn++++=memory
appeared ^vbd+seem++xvbn+=appeared
to ^to+vcmp+++=to
be ^vbi+vbi+aux++=be
compounded ^vpsv++agls+xvbnx+=compounded
of ^in++++=of
hatred ^nn++++=hatred
and ^cc++++=and
dread ^nn++++=dread--I
-- ^--+clp+++=EXTRAWORD
i ^pp1a+pp1+++=EXTRAWORD
am ^vb+bem+vrb++=am
unwilling ^jj+pred+++=unwilling
to ^to+jcmp+++=to
call ^vbi++++=call
it ^pp3+it+++=it
fear ^nn++++=fear.
. ^zz++++=EXTRAWORD
A ^at++++=A
second ^od++++=second
later ^rbr+tm+++=later
the ^ati++++=the
man ^nn++++=man
and ^cc++++=and
woman ^nn++++=woman
had ^vbd+hvd+aux++=had
disappeared ^vprf+++xvbnx+=disappeared.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
seemed ^vbd+seem++xvbnx+=seemed
to ^to+vcmp+++=to
have ^vbi++++=have
a ^at++++=a
trick ^nn++++=trick
of ^in++++=of
disappearing ^nn++++=disappearing.
. ^zz++++=EXTRAWORD
On ^in++++=On
entering ^xvbg+++xvbg+=entering
the ^ati++++=the
house ^nn++++=house,
, ^zz++++=EXTRAWORD
however ^rb+cnj+++=however,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
saw ^vbd+vprv++xvbnx+=saw
them ^pp3o+pp3+++=them
through ^in++++=through
the ^ati++++=the
open ^jj+atrb+++=open
doorway ^nn++++=doorway
of ^in++++=of
the ^ati++++=the
parlor ^nn++++=parlor
as ^ql++++=as
I ^pp1a+pp1+++=I
passed ^vbd+++xvbnx+=passed;
; ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
had ^vb+hv+aux++=had
merely ^rb+down+splt++=merely
stepped ^vprf+++xvbnx+=stepped
through ^in++++=through
a ^at++++=a
window ^nn++++=window
which ^whp+rel+subj++=which
opened ^vbd+++xvbn+=opened
down ^rp++++=down
to ^in++++=to
the ^ati++++=the
floor ^nn++++=floor.
. ^zz++++=EXTRAWORD
Cautiously ^rb++++=Cautiously
" ^zz++++="approached"
approached ^vbd+++xvbn+=EXTRAWORD
" ^zz++++=EXTRAWORD
on ^in++++=on
the ^ati++++=the
subject ^nn++++=subject
of ^in++++=of
her ^pp$+pp3+++=her
new ^jj+atrb+++=new
guests ^nns++++=guests
my ^pp$+pp1+++=my
landlady ^nn++++=landlady
proved ^vbd+vprv++xvbn+=proved
not ^xnot++not++=not
ungracious ^jj++++=ungracious.
. ^zz++++=EXTRAWORD
Restated ^np+++??+=Restated
with ^in+strn+++=with,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
hope ^nn++++=hope,
, ^zz++++=EXTRAWORD
some ^dti++++=some
small ^jj+atrb+++=small
reverence ^nn+nom+++=reverence
for ^in++++=for
English ^jj+atrb+++=English
grammar ^nn++++=grammar
the ^ati++++=the
facts ^nns++++=facts
were ^vbd+bed+vrb++=were
these ^dt+pdem+++=these:
: ^zz++++=EXTRAWORD
the ^ati++++=the
two ^cd++++=two
girls ^nns++++=girls
were ^vbd+bed+vrb++=were
Pauline ^np++++=Pauline
and ^cc++++=and
Eva ^np+++??+=Eva
Maynard ^np+++??+=Maynard
of ^in++++=of
San ^np++++=San
Francisco ^np++++=Francisco;
; ^zz++++=EXTRAWORD
the ^ati++++=the
elder ^jjr++++=elder
was ^vbd+bedz+vrb++=was
Pauline ^np++++=Pauline.
. ^zz++++=EXTRAWORD
The ^ati++++=The
man ^nn++++=man
was ^vbd+bedz+vrb++=was
Richard ^np++++=Richard
Benning ^np+++??+=Benning,
, ^zz++++=EXTRAWORD
their ^pp$+pp3+++=their
guardian ^nn++++=guardian,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
had ^vbd+hvd+aux++=had
been ^vprf+ben+vrb+xvbnx+=been
the ^ati++++=the
most ^ql+emph+++=most
intimate ^jj+atrb+++=intimate
friend ^nn++++=friend
of ^in++++=of
their ^pp$+pp3+++=their
father ^nn++++=father,
, ^zz++++=EXTRAWORD
now ^rn+dspt+++=now
deceased ^jj++++=deceased.
. ^zz++++=EXTRAWORD
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Benning ^np++++=Benning
had ^vbd+hvd+aux++=had
brought ^vprf+++xvbnx+=brought
them ^pp3o+pp3+++=them
to ^in++++=to
Brownville ^np+++??+=Brownville
in ^in++++=in
the ^ati++++=the
hope ^vb++++=hope
that ^tht+vcmp+++=that
the ^ati++++=the
mountain ^nn++++=mountain
climate ^nn+nom+++=climate
might ^md+pos+++=might
benefit ^vb++++=benefit
Eva ^np+++??+=Eva,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
was ^vbd+bedz+aux++=was
thought ^vpsv++agls+xvbnx+=thought
to ^to+vcmp+++=to
be ^vbi++vrb++=be
in ^in++++=in
danger ^nn++++=danger
of ^in++++=of
consumption ^nn+nom+++=consumption.
. ^zz++++=EXTRAWORD
Upon ^in++++=Upon
these ^dt+dem+++=these
short ^jj+atrb+++=short
and ^cc+phrs+++=and
simple ^jj+atrb+++=simple
annals ^nns++++=annals
the ^ati++++=the
landlady ^nn++++=landlady
wrought ^vbd+++xvbn+=wrought
an ^at++++=an
embroidery ^nn+nom+++=embroidery
of ^in++++=of
eulogium ^nn+++??+=eulogium
which ^whp+rel+obj++=which
abundantly ^rb++++=abundantly
attested ^jj++++=attested
her ^pp$+pp3+++=her
faith ^nn++++=faith
in ^in++++=in
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Benning ^np++++=Benning's
's ^$++++=EXTRAWORD
will ^md+prd+++=will
and ^cc++++=and
ability ^nn+nom+++=ability
to ^to+ncmp+++=to
pay ^vbi++++=pay
for ^in++++=for
the ^ati++++=the
best ^jjt++++=best
that ^cs+sub+++=that
her ^pp3o+pp3+++=her
house ^npl++++=house
afforded ^vbd+++xvbn+=afforded.
. ^zz++++=EXTRAWORD
That ^tht+vcmp+++=That
he ^pp3a+pp3+++=he
had ^vb+hv+vrb++=had
a ^at++++=a
good ^jj+atrb+++=good
heart ^nn++++=heart
was ^vbd+bedz+vrb++=was
evident ^jj+pred+++=evident
to ^in++++=to
her ^pp$+pp3+++=her
from ^in++++=from
his ^pp$+pp3+++=his
devotion ^nn+nom+++=devotion
to ^in++++=to
his ^pp$+pp3+++=his
two ^cd++++=two
beautiful ^jj+atrb+++=beautiful
wards ^nns++++=wards
and ^cc++++=and
his ^pp$+pp3+++=his
really ^rb+emph+++=really
touching ^jj+atrb++xvbg+=touching
solicitude ^nn+++??+=solicitude
for ^in++++=for
their ^pp$+pp3+++=their
comfort ^nn++++=comfort.
. ^zz++++=EXTRAWORD
The ^ati++++=The
evidence ^nn+nom+++=evidence
impressed ^vwbn+++xvbn+=impressed
me ^pp1o+pp1+++=me
as ^in++++=as
insufficient ^jj++++=insufficient
and ^cc++++=and
I ^pp1a+pp1+++=I
silently ^rb++++=silently
found ^vbd+vprv++xvbn+=found
the ^ati++++=the
Scotch ^np++++=Scotch
verdict ^nn++++=verdict,
, ^zz++++=EXTRAWORD
" ^zz++++="Not
not ^xnot++not++=EXTRAWORD
proven ^vbd+vprv++xvbn+=proven."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Certainly ^rb++++=Certainly
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Benning ^np++++=Benning
was ^vbd+bedz+vrb++=was
most ^ql+emph+++=most
attentive ^jj++++=attentive
to ^in++++=to
his ^pp$+pp3+++=his
wards ^nns++++=wards.
. ^zz++++=EXTRAWORD
In ^in++++=In
my ^pp$+pp1+++=my
strolls ^vbz++++=strolls
about ^in++++=about
the ^ati++++=the
country ^nn++++=country
I ^pp1a+pp1+++=I
frequently ^rb++++=frequently
encountered ^vwbn+++xvbn+=encountered
them ^pp3o+pp3+++=them--sometimes
-- ^--+clp+++=EXTRAWORD
sometimes ^rb++++=EXTRAWORD
in ^in++++=in
company ^nn++++=company
with ^in++++=with
other ^ap++++=other
guests ^nns++++=guests
of ^in++++=of
the ^ati++++=the
hotel ^nn++++=hotel--exploring
-- ^--+clp+++=EXTRAWORD
exploring ^vbg+++xvbg+=EXTRAWORD
the ^ati++++=the
gulches ^nns+++??+=gulches,
, ^zz++++=EXTRAWORD
fishing ^nvbg+++xvbg+=fishing,
, ^zz++++=EXTRAWORD
rifle ^nn++++=rifle
shooting ^vwbg+++xvbg+=shooting,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
otherwise ^rb+cnj+++=otherwise
wiling ^nn++++=wiling
away ^rp+pl+++=away
the ^ati++++=the
monotony ^nn++++=monotony
of ^in++++=of
country ^nn++++=country
life ^nn++++=life;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
although ^cs+con+++=although
I ^pp1a+pp1+++=I
watched ^vbd+++xvbnx+=watched
them ^pp3o+pp3+++=them
as ^in++++=as
closely ^rb++++=closely
as ^in++++=as
good ^jj+atrb+++=good
manners ^nns+nom+++=manners
would ^md+prd+++=would
permit ^vb++++=permit
I ^pp1a+pp1+++=I
saw ^vbd+vprv+tht0+xvbnx+=saw
nothing ^pn++++=nothing
that ^dt+pdem+++=that
would ^md+prd+++=would
in ^in++++=in
any ^dti++++=any
way ^nn++++=way
explain ^vb+vpub+++=explain
the ^ati++++=the
strange ^jj+atrb+++=strange
words ^nns++++=words
that ^tht+rel+obj++=that
I ^pp1a+pp1+++=I
had ^vbd+hvd+aux++=had
overheard ^vprf+++xvbn+=overheard
in ^in++++=in
the ^ati++++=the
wood ^nn++++=wood.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
had ^vbd+hvd+aux++=had
grown ^vprf+++xvbnx+=grown
tolerably ^rb++++=tolerably
well ^rb++++=well
acquainted ^vbd+++xvbn+=acquainted
with ^in++++=with
the ^ati++++=the
young ^jj+atrb+++=young
ladies ^nns++++=ladies
and ^cc++++=and
could ^md+pos+++=could
exchange ^vb++++=exchange
looks ^nns++++=looks
and ^cc++++=and
even ^rb++++=even
greetings ^nns++++=greetings
with ^in++++=with
their ^pp$+pp3+++=their
guardian ^nn++++=guardian
without ^in++++=without
actual ^jj+atrb+++=actual
repugnance ^nn+nom+++=repugnance.
. ^zz++++=EXTRAWORD
A ^at++++=A
month ^nn++++=month
went ^vwbn+++xvbn+=went
by ^in++++=by
and ^cc++++=and
I ^pp1a+pp1+++=I
had ^vb+hv+aux++=had
almost ^rb+hdg+splt++=almost
ceased ^vprf+++xvbnx+=ceased
to ^in++++=to
interest ^nn++++=interest
myself ^ppl+pp1+++=myself
in ^in++++=in
their ^pp$+pp3+++=their
affairs ^nns++++=affairs
when ^wrb+who+++=when
one ^cd1++++=one
night ^nn++++=night
our ^pp$+pp1+++=our
entire ^jjb++++=entire
little ^ap++++=little
community ^nn+nom+++=community
was ^vbd+bedz+aux++=was
thrown ^vpsv++agls+xvbnx+=thrown
into ^in++++=into
excitement ^nn+nom+++=excitement
by ^in++++=by
an ^at++++=an
event ^nn++++=event
which ^whp+rel+subj++=which
vividly ^rb++++=vividly
recalled ^vbd+vprv++xvbn+=recalled
my ^pp$+pp1+++=my
experience ^nn+nom+++=experience
in ^in++++=in
the ^ati++++=the
forest ^nn++++=forest.
. ^zz++++=EXTRAWORD
This ^dt+pdem+++=This
was ^vbd+bedz+vrb++=was
the ^ati++++=the
death ^nn++++=death
of ^in++++=of
the ^ati++++=the
elder ^jjr+atrb+++=elder
girl ^nn++++=girl,
, ^zz++++=EXTRAWORD
Pauline ^np++++=Pauline.
. ^zz++++=EXTRAWORD
The ^ati++++=The
sisters ^nns+nom+++=sisters
had ^vbd+hvd+aux++=had
occupied ^vprf+++xvbnx+=occupied
the ^ati++++=the
same ^ap++++=same
bedroom ^nn++++=bedroom
on ^in++++=on
the ^ati++++=the
third ^nn++++=third
floor ^nn++++=floor
of ^in++++=of
the ^ati++++=the
house ^nn++++=house.
. ^zz++++=EXTRAWORD
Waking ^vbg+++xvbg+=Waking
in ^in++++=in
the ^ati++++=the
gray ^np++++=gray
of ^in++++=of
the ^ati++++=the
morning ^nn++++=morning
Eva ^np+++??+=Eva
had ^vbd+hvd+aux++=had
found ^vprf+++xvbnx+=found
Pauline ^np++++=Pauline
dead ^jj++++=dead
beside ^in+pl+++=beside
her ^pp$+pp3+++=her.
. ^zz++++=EXTRAWORD
Later ^rbr+tm+++=Later,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
the ^ati++++=the
poor ^jj+atrb+++=poor
girl ^nn++++=girl
was ^vbd+bedz+vrb++=was
weeping ^nn++++=weeping
beside ^in+pl+++=beside
the ^ati++++=the
body ^nn++++=body
amid ^in++++=amid
a ^at++++=a
throng ^nn++++=throng
of ^in++++=of
sympathetic ^jj++++=sympathetic
if ^cs+cnd+++=if
not ^xnot++not++=not
very ^ql+amp+++=very
considerate ^jj+atrb+++=considerate
persons ^nns++++=persons,
, ^zz++++=EXTRAWORD
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Benning ^np++++=Benning
entered ^vbd+++xvbn+=entered
the ^ati++++=the
room ^nn++++=room
and ^cc++++=and
appeared ^vbd+seem++xvbn+=appeared
to ^to+vcmp+++=to
be ^vbi++vrb++=be
about ^md"++pmd"++=about
to ^md+prd+++=to
take ^vb++++=take
her ^pp$+pp3+++=her
hand ^nn++++=hand.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
drew ^vbd+++xvbnx+=drew
away ^in+pl+++=away
from ^in"++++=from
the ^ati++++=the
side ^nn++++=side
of ^in++++=of
the ^ati++++=the
dead ^jj++++=dead
and ^cc+phrs+++=and
moved ^jj+++xvbn+=moved
slowly ^rb++++=slowly
toward ^in++++=toward
the ^ati++++=the
door ^nn++++=door.
. ^zz++++=EXTRAWORD
" ^zz++++="It
it ^pp3+it+++=EXTRAWORD
is ^vbz+bez+vrb++=is
you ^pp2+pp2+++=you,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
said ^vbd+vpub++xvbnx+=said--"you
-- ^--+clp+++=EXTRAWORD
" ^zz++++=EXTRAWORD
you ^pp2+pp2+++=EXTRAWORD
who ^whp+who+++=who
have ^vb+hv+aux++=have
done ^vprf+++xvbnx+=done
this ^dt+pdem+++=this.
. ^zz++++=EXTRAWORD
