Sailormen ^np+++??+=Sailormen
staring ^vbg+++xvbg+=staring
at ^in++++=at
' ^zz++++='im.
im ^&fw++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
Bill ^nn++++=Bill
turned ^vbd+++xvbn+=turned
to ^in++++=to
the ^ati++++=the
boy ^nn++++=boy.
. ^zz++++=EXTRAWORD
" ^zz++++="Go
go ^vb++++=EXTRAWORD
and ^cc+phrs+++=and
tell ^vb++++=tell
the ^ati++++=the
skipper ^nn++++=skipper
' ^zz++++='e's
e ^zz++++=EXTRAWORD
's ^vbz+bez+aux++0=EXTRAWORD
gone ^vbd+++xvbn+=gone,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
' ^zz++++='e
e ^zz++++=EXTRAWORD
says ^vbz+vpub+++=says,
, ^zz++++=EXTRAWORD
" ^zz++++="and
and ^cc++++=EXTRAWORD
mind ^nn++++=mind,
, ^zz++++=EXTRAWORD
for ^in++++=for
your ^pp$+pp2+++=your
own ^ap++++=own
sake ^nn++++=sake,
, ^zz++++=EXTRAWORD
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
tell ^vb++++=tell
the ^ati++++=the
skipper ^nn++++=skipper
or ^cc++++=or
anybody ^pn++++=anybody
else ^rb+cnj+++=else
that ^cs+sub+++=that
you ^pp2+pp2+++=you've
've ^vb+hv+aux++0=EXTRAWORD
thrown ^vprf+++xvbnx+=thrown
all ^abn++++=all
that ^dt+dem+++=that
money ^nn++++=money
overboard ^rb+pl+++=overboard."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Why
why ^wrb+who+++=EXTRAWORD
not ^xnot++not++=not?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
says ^vbz+vpub+++=says
Jimmy ^np++++=Jimmy.
. ^zz++++=EXTRAWORD
" ^zz++++="Becos
becos ^nns+++??+=EXTRAWORD
you ^pp2+pp2+++=you'll
'll ^md+prd+++0=EXTRAWORD
be ^vb+be+aux++=be
locked ^vpsv++agls+xvbnx+=locked
up ^rp++++=up
for ^in++++=for
it ^pp3+it+++=it,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
says ^vbz+vpub+++=says
Bill ^nn++++=Bill;
; ^zz++++=EXTRAWORD
" ^zz++++="you'd
you ^pp2+pp2+++=EXTRAWORD
'd ^md+prd+vrb++0=EXTRAWORD
no ^at++++=no
business ^nns+nom+++=business
to ^to++++=to
do ^vbi++++=do
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You've
've ^vb+hv+aux++0=EXTRAWORD
been ^vprf+ben+aux+xvbnx+=been
and ^cc+phrs+++=and
broke ^vbd+++xvbn+=broke
the ^ati++++=the
law ^nn++++=law.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
ought ^md+nec+++=ought
to ^to++++=to
ha ^uh++++=ha'
' ^zz++++=EXTRAWORD
been ^vprf+ben+aux+xvbn+=been
left ^vpsv++agls+xvbnx+=left
to ^in++++=to
somebody ^pn++++=somebody."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Jimmy ^nn++++=Jimmy
looked ^vbd+++xvbn+=looked
scared ^xvbn+++xvbn+=scared,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
arter ^jjr++++=arter
' ^zz++++='e
e ^zz++++=EXTRAWORD
was ^vbd+bedz+aux++=was
gone ^vpsv++agls+xvbnx+=gone
I ^pp1a+pp1+++=I
turned ^vbd+++xvbnx+=turned
to ^in++++=to
Bill ^nn++++=Bill,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I
looks ^vbz++++=looks
at ^in++++=at
' ^zz++++='im
im ^&fw++++=EXTRAWORD
and ^cc++++=and
I ^pp1a+pp1+++=I
says ^vbz+vpub+++=says
" ^zz++++="What's
what ^wdt+who+++=EXTRAWORD
's ^vbz+bez+vrb++0=EXTRAWORD
the ^ati++++=the
little ^ap++++=little
game ^nn++++=game,
, ^zz++++=EXTRAWORD
Bill ^nn++++=Bill?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Game?"
game ^nn++++=EXTRAWORD
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Bill ^nn++++=Bill,
, ^zz++++=EXTRAWORD
snorting ^jj++++=snorting
at ^rb++++=at
me ^pp1o+pp1+++=me.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
want ^vb++++=want
the ^ati++++=the
pore ^jj+atrb+++=pore
boy ^nn++++=boy
to ^to++++=to
get ^vbi++++=get
into ^in+ppvb+++=into
trouble ^nn++++=trouble,
, ^zz++++=EXTRAWORD
do ^vb+do+vrb++=do
I ^pp1a+pp1+++=I?
? ^zz++++=EXTRAWORD
Pore ^np+++??+=Pore
little ^jj+atrb+++=little
chap ^nn++++=chap.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
was ^vbd+bedz+vrb++=was
young ^jj+pred+++=young
yourself ^ppl+pp2+++=yourself
once ^rb+tm+++=once."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Yes,"
yes ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
says ^vbz+vpub+++=says;
; ^zz++++=EXTRAWORD
" ^zz++++="but
but ^cc++++=EXTRAWORD
I ^pp1a+pp1+++=I'm
'm ^vb+bem+vrb++0=EXTRAWORD
a ^at++++=a
bit ^nn++++=bit
older ^jjr++++=older
now ^rn+tm+++=now,
, ^zz++++=EXTRAWORD
Bill ^nn++++=Bill,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
unless ^cs+cnd+++=unless
you ^pp2+pp2+++=you
tell ^vb++++=tell
me ^pp1o+pp1+++=me
what ^wdt+who+++=what
your ^pp$+pp2+++=your
little ^ap++++=little
game ^nn++++=game
is ^vbz+bez+vrb++=is,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
shall ^md+prd+++=shall
tell ^vb++++=tell
the ^ati++++=the
skipper ^nn++++=skipper
myself ^ppl+pp1+++=myself,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
chaps ^nns++++=chaps
too ^rb++++=too.
. ^zz++++=EXTRAWORD
Pore ^np+++??+=Pore
old ^jj+atrb+++=old
Thomas ^np++++=Thomas
told ^vbd+vpub++xvbn+=told
' ^zz++++='im
im ^&fw++++=EXTRAWORD
to ^to++++=to
do ^vbi++++=do
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
so ^ql++++=so
where ^wrb+who+++=where's
's ^vbz+bez+vrb++0=EXTRAWORD
the ^ati++++=the
boy ^nn++++=boy
to ^to++++=to
blame ^vbi++++=blame?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Do
do ^vb+do+aux++=EXTRAWORD
you ^pp2+pp2+++=you
think ^vb+vprv+tht0++=think
Jimmy ^np++++=Jimmy
did ^vbd+dod+vrb++=did?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
says ^vbz+vpub+++=says
Bill ^nn++++=Bill,
, ^zz++++=EXTRAWORD
screwing ^vbg+++xvbg+=screwing
up ^rp++++=up
his ^pp$+pp3+++=his
nose ^nn++++=nose
at ^in++++=at
me ^pp1o+pp1+++=me.
. ^zz++++=EXTRAWORD
" ^zz++++="That
that ^dt+dem+++=EXTRAWORD
little ^ap++++=little
varmint ^vprf+++xvbn+=varmint
is ^vbz+bez+aux++=is
walking ^vbg+++xvbgx+=walking
about ^in++++=about
worth ^in++++=worth
six ^cd++++=six
' ^zz++++='undered
undered ^jj+atrb++xvbn+=EXTRAWORD
quid ^nns++++=quid.
. ^zz++++=EXTRAWORD
Now ^rn+dspt+++=Now
you ^pp2+pp2+++=you
keep ^vb++++=keep
your ^pp$+pp2+++=your
mouth ^nn++++=mouth
shut ^vbd+++xvbn+=shut
and ^cc++++=and
I ^pp1a+pp1+++=I'll
'll ^md+prd+++0=EXTRAWORD
make ^vb++++=make
it ^pp3+it+++=it
worth ^in++++=worth
your ^pp$+pp2+++=your
while ^cs+sub+++=while."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
I ^pp1a+pp1+++=I
see ^vb+vprv+++=see
Bill ^np++++=Bill's
's ^$++++=EXTRAWORD
game ^nn++++=game.
. ^zz++++=EXTRAWORD
" ^zz++++="All
all ^abn++++=EXTRAWORD
right ^jj++++=right,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I'll
'll ^md+prd+++0=EXTRAWORD
keep ^vb++++=keep
quiet ^jj++++=quiet
for ^in+cmpx+++=for
the ^in"++++=the
sake ^in"++++=sake
of ^in"++++=of
my ^pp$+pp1+++=my
half ^nn++++=half,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
says ^vbz+vpub+++=says,
, ^zz++++=EXTRAWORD
looking ^vbg+++xvbg+=looking
at ^in++++=at
' ^zz++++='im.
im ^&fw++++=EXTRAWORD
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
thought ^vbd+++xvbnx+=thought
he ^pp3a+pp3+++0=he'd
'd ^md+prd+vrb++=EXTRAWORD
ha ^uh++++=ha'
' ^zz++++=EXTRAWORD
choked ^vbd+++xvbn+=choked,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
langwidge ^nn+++??+=langwidge
' ^zz++++='e
e ^zz++++=EXTRAWORD
see ^vb+vprv+++=see
fit ^jj++++=fit
to ^to+jcmp+++=to
use ^vbi++++=use
was ^vbd+bedz+vrb++=was
a ^at++++=a'most
'most ^nn++be+??+0=EXTRAWORD
as ^ql++++=as
much ^ap++++=much
as ^ql++++=as
I ^pp1a+pp1+++=I
could ^md+pos+++=could
answer ^vb++++=answer.
. ^zz++++=EXTRAWORD
" ^zz++++="Very
very ^ql+amp+++=EXTRAWORD
well ^rb+cnj+++=well,
, ^zz++++=EXTRAWORD
then ^rn+tm+++=then,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
' ^zz++++='e
e ^zz++++=EXTRAWORD
says ^vbz+vpub+++=says,
, ^zz++++=EXTRAWORD
at ^rb++++=at
last ^rb"++++=last,
, ^zz++++=EXTRAWORD
" ^zz++++="halves
halves ^nns++++=EXTRAWORD
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
ai ^vb+be+++=ain't
n't ^xnot++not++0=EXTRAWORD
robbery ^nn+nom+++=robbery
becos ^nns+++??+=becos
it ^pp3+it+++=it
belongs ^vbz++++=belongs
to ^in++++=to
nobody ^pn++++=nobody,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
it ^pp3+it+++=it
ai ^vb+be+++=ain't
n't ^xnot++not++0=EXTRAWORD
the ^ati++++=the
boy ^nn++++=boy's
's ^$++++=EXTRAWORD
becos ^nns+++??+=becos
' ^zz++++='e
e ^zz++++=EXTRAWORD
was ^vbd+bedz+aux++=was
told ^vpsv++agls+xvbnx+=told
to ^to+vcmp+++=to
throw ^vbi++++=throw
it ^pp3+it+++=it
overboard ^rb+pl+++=overboard."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
buried ^vbd+++xvbnx+=buried
pore ^jj+atrb+++=pore
old ^jj+atrb+++=old
Thomas ^np++++=Thomas
next ^ap++++=next
morning ^nn++++=morning,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
arter ^jjr++++=arter
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
all ^abn++++=all
over ^in++++=over
Bill ^nn++++=Bill
put ^vbd+++xvbn+=put
' ^zz++++='is
is ^vbz+bez+vrb++=EXTRAWORD
' ^zz++++='and
and ^cc++++=EXTRAWORD
on ^in++++=on
the ^ati++++=the
boy ^nn++++=boy's
's ^$++++=EXTRAWORD
shoulder ^nn+nom+++=shoulder
as ^ql++++=as
they ^pp3a+pp3+++=they
walked ^vbd+++xvbnx+=walked
for ^in++++=for'ard
'ard ^nn+++??+=EXTRAWORD
and ^cc++++=and
' ^zz++++='e
e ^zz++++=EXTRAWORD
says ^vbz+vpub+++=says,
, ^zz++++=EXTRAWORD
" ^zz++++="Poor
poor ^jj+atrb+++=EXTRAWORD
old ^jj+atrb+++=old
Thomas ^np++++=Thomas
' ^zz++++='as
as ^cs+sub+++=EXTRAWORD
gone ^vprf+++xvbn+=gone
to ^to++++=to
look ^vbi++++=look
for ^in++++=for
' ^zz++++='is
is ^vbz+bez+vrb++=EXTRAWORD
money ^nn++++=money,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
says ^vbz+vpub+++=says;
; ^zz++++=EXTRAWORD
" ^zz++++="wonder
wonder ^vb++++=EXTRAWORD
whether ^cs+who+++=whether
' ^zz++++='e'll
e ^zz++++=EXTRAWORD
'll ^md+prd+++0=EXTRAWORD
find ^vb+vprv+tht0++=find
it ^pp3+it+++=it!
! ^zz++++=EXTRAWORD
Was ^vbd+bedz+vrb++=Was
it ^pp3+it+++=it
a ^at++++=a
big ^jj+atrb+++=big
bundle ^nn++++=bundle,
, ^zz++++=EXTRAWORD
Jimmy ^np++++=Jimmy?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="No,"
no ^at++++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
says ^vbz+vpub+++=says
the ^ati++++=the
boy ^nn++++=boy,
, ^zz++++=EXTRAWORD
shaking ^vbg+++xvbg+=shaking
' ^zz++++='is
is ^vbz+bez+vrb++=EXTRAWORD
' ^zz++++='ead.
ead ^nn+++??+=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++="They
they ^pp3a+pp3+++=EXTRAWORD
was ^vbd+bedz+vrb++=was
six ^cd++++=six
' ^zz++++='undered
undered ^jj+atrb++xvbn+=EXTRAWORD
pound ^nn++++=pound
notes ^nns++++=notes
and ^cc++++=and
two ^cd++++=two
sovereigns ^nns++++=sovereigns,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I
wrapped ^vbd+++xvbnx+=wrapped
the ^ati++++=the
sovereigns ^nns++++=sovereigns
up ^rp++++=up
in ^in++++=in
the ^ati++++=the
notes ^nns++++=notes
to ^to++++=to
make ^vbi++++=make
them ^pp3o+pp3+++0='em
sink ^nn++++=sink.
. ^zz++++=EXTRAWORD
Fancy ^jj+atrb+++=Fancy
throwing ^jj+atrb++xvbg+=throwing
money ^nn++++=money
away ^rp+pl+++=away
like ^in++++=like
that ^dt+pdem+++=that,
, ^zz++++=EXTRAWORD
Bill ^nn++++=Bill:
: ^zz++++=EXTRAWORD
seems ^vbz+seem+++=seems
a ^in++++=a
sin ^in"++++=sin,
, ^zz++++=EXTRAWORD
do ^vb+do+vrb++=don't
n't ^xnot++not++0=EXTRAWORD
it ^pp3+it+++=it?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Bill ^nn++++=Bill
did ^vbd+dod+vrb++=didn't
n't ^xnot++not++0=EXTRAWORD
answer ^nn++++=answer
' ^zz++++='im,
im ^&fw++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
that ^dt+dem+++=that
afternoon ^nn++++=afternoon
the ^ati++++=the
other ^ap++++=other
chaps ^nns++++=chaps
below ^rb++++=below
being ^vbg+beg++xvbg+=being
asleep ^jj++++=asleep
we ^pp1a+pp1+++=we
searched ^vbd+++xvbn+=searched
' ^zz++++='is
is ^vbz+bez+vrb++=EXTRAWORD
bunk ^nn++++=bunk
through ^in++++=through
and ^cc++++=and
through ^in++++=through
without ^in++++=without
any ^dti++++=any
luck ^nn++++=luck,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
at ^rb++++=at
last ^rb"++++=last
Bill ^nn++++=Bill
sat ^vbd+++xvbn+=sat
down ^rb+phrv+++=down
and ^cc++++=and
swore ^vbd+vpub++xvbn+=swore
' ^zz++++='e
e ^zz++++=EXTRAWORD
must ^md+nec+++=must
ha ^uh++++=ha'
' ^zz++++=EXTRAWORD
got ^vbd+++xvbn+=got
it ^pp3+it+++=it
about ^in++++=about
' ^zz++++='im.
im ^&fw++++=EXTRAWORD
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
waited ^vbd+++xvbn+=waited
till ^cs+sub+++=till
night ^nn++++=night,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
when ^wrb+who+++=when
everybody ^pn++++=everybody
was ^vbd+bedz+aux++=was
snoring ^vbg+++xvbgx+=snoring
' ^zz++++='ard
ard ^nn+++??+=EXTRAWORD
we ^pp1a+pp1+++=we
went ^vbd+++xvbn+=went
over ^rb+phrv+++=over
to ^in+ppvb+++=to
the ^ati++++=the
boy ^nn++++=boy's
's ^$++++=EXTRAWORD
bunk ^nn++++=bunk
and ^cc++++=and
went ^vbd+++xvbn+=went
all ^abn++++=all
through ^in++++=through
' ^zz++++='is
is ^vbz+bez+vrb++=EXTRAWORD
pockets ^nns++++=pockets
and ^cc++++=and
felt ^vbd+vprv++xvbn+=felt
the ^ati++++=the
linings ^nns++++=linings,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
then ^rn+tm+++=then
we ^pp1a+pp1+++=we
went ^vbd+++xvbn+=went
back ^jjb++++=back
to ^in++++=to
our ^pp$+pp1+++=our
side ^nn++++=side
and ^cc++++=and
Bill ^nn++++=Bill
said ^vbd+vpub++xvbn+=said
wot ^wpr++++=wot
' ^zz++++='e
e ^zz++++=EXTRAWORD
thought ^vbd+++xvbn+=thought
about ^rp++++=about
Jimmy ^nn++++=Jimmy
in ^in++++=in
whispers ^nns+nom+++=whispers.
. ^zz++++=EXTRAWORD
" ^zz++++="He
he ^pp3a+pp3+++=EXTRAWORD
must ^md+nec+++=must
ha ^uh++++=ha'
' ^zz++++=EXTRAWORD
got ^vbd+++xvbn+=got
it ^pp3+it+++=it
tied ^vbd+++xvbn+=tied
round ^rb++++=round
' ^zz++++='is
is ^vbz+bez+vrb++=EXTRAWORD
waist ^nn++++=waist
next ^ap++++=next
to ^to++++=to
' ^zz++++='is
is ^vbz+bez+vrb++=EXTRAWORD
skin ^nn++++=skin,
, ^zz++++=EXTRAWORD
like ^in++++=like
Thomas ^np++++=Thomas
' ^zz++++='ad,"
ad ^&fw++++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
says ^vbz+vpub+++=says.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
stood ^vbd+++xvbn+=stood
there ^rn+pl+++=there
in ^in++++=in
the ^ati++++=the
dark ^jj+atrb+++=dark
whispering ^nvbg+++xvbg+=whispering,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
then ^rn+tm+++=then
Bill ^nn++++=Bill
could ^md+pos+++=couldn't
n't ^xnot++not++0=EXTRAWORD
stand ^vb++++=stand
it ^pp3+it+++=it
any ^dti++++=any
longer ^rbr++++=longer,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
' ^zz++++='e
e ^zz++++=EXTRAWORD
went ^vbd+++xvbn+=went
over ^in++++=over
on ^in++++=on
tiptoe ^nn+++??+=tiptoe
to ^in++++=to
the ^ati++++=the
bunk ^nn++++=bunk
ag ^nn++++=ag'in.
'in. ^nn+++??+=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+vrb++=was
tremblin ^nn+++??+=tremblin'
' ^zz++++=EXTRAWORD
with ^in++++=with
excitement ^nn+nom+++=excitement
and ^cc++++=and
I ^pp1a+pp1+++=I
was ^vbd+bedz+vrb++=wasn't
n't ^xnot++not++0=EXTRAWORD
much ^ap++++=much
better ^jjr++++=better,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
all ^rb++++=all
of ^in++++=of
a ^at++++=a
sudden ^jj++++=sudden
the ^ati++++=the
cook ^nn++++=cook
sat ^vbd+++xvbn+=sat
up ^rp++++=up
in ^in++++=in
' ^zz++++='is
is ^vbz+bez+vrb++=EXTRAWORD
bunk ^nn++++=bunk
with ^in++++=with
a ^at++++=a
dreadful ^jj++++=dreadful
laughing ^xvbg+++xvbg+=laughing
scream ^vb++++=scream
and ^cc+phrs+++=and
called ^vbd+++xvbn+=called
out ^rp+pl+++=out
that ^cs+sub+++=that
somebody ^pn++++=somebody
was ^vbd+bedz+vrb++=was
ticklin ^nn+++??+=ticklin'
' ^zz++++=EXTRAWORD
' ^zz++++='im.
im ^&fw++++=EXTRAWORD
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
got ^vbd+++xvbnx+=got
into ^in+ppvb+++=into
my ^pp$+pp1+++=my
bunk ^nn++++=bunk
and ^cc++++=and
Bill ^nn++++=Bill
got ^vbd+++xvbn+=got
into ^in+ppvb+++=into
' ^zz++++='is,
is ^vbz+bez+vrb++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
we ^pp1a+pp1+++=we
lay ^vbd+++xvbn+=lay
there ^rn+pl+++=there
listening ^jj+++xvbg+=listening
while ^cs+sub+++=while
the ^ati++++=the
cook ^nn++++=cook,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
was ^vbd+bedz+vrb++=was
a ^at++++=a
terrible ^jj+atrb+++=terrible
ticklish ^jj+atrb+++=ticklish
man ^nn++++=man,
, ^zz++++=EXTRAWORD
leaned ^j+++xvbn+=leaned
out ^rp+pl+++=out
of ^in++++=of
' ^zz++++='is
is ^vbz+bez+vrb++=EXTRAWORD
bunk ^nn++++=bunk
and ^cc++++=and
said ^vprf+++xvbn+=said
wot ^wpr++++=wot
' ^zz++++='e'd
e ^zz++++=EXTRAWORD
'd ^md+prd+aux++0=EXTRAWORD
do ^vb+do+vrb++=do
if ^cs+cnd+++=if
it ^pp3+it+++=it
' ^zz++++='appened
appened ^jj+atrb++xvbn+=EXTRAWORD
ag ^nn++++=ag'in.
'in. ^nn+++??+=EXTRAWORD
" ^zz++++="Go
go ^vb++++=EXTRAWORD
to ^to++++=to
sleep ^vbi++++=sleep,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
says ^vbz+vpub+++=says
Walter ^np++++=Walter
Jones ^np++++=Jones;
; ^zz++++=EXTRAWORD
" ^zz++++="you're
you ^pp2+pp2+++=EXTRAWORD
're ^vb+ber+vrb++0=EXTRAWORD
dreamin ^nn+++??+=dreamin'.
'. ^nn+++??+=EXTRAWORD
Who ^whp+rel+obj++=Who
d ^zz++++=d'you
'you ^nn+++??+=EXTRAWORD
think ^vb+vprv+++=think
would ^md+prd+++=would
want ^vb++++=want
to ^to+vcmp+++=to
tickle ^vbi+++??+=tickle
you ^pp2+pp2+++=you?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
tell ^vb++++=tell
you ^pp2+pp2+++=you,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
says ^vbz+vpub+++=says
the ^ati++++=the
cook ^nn++++=cook,
, ^zz++++=EXTRAWORD
" ^zz++++="somebody
somebody ^pn++++=EXTRAWORD
come ^vprf+++xvbn+=come
over ^in++++=over
and ^cc++++=and
tickled ^vbd+++xvbn+=tickled
me ^pp1o+pp1+++=me
with ^in++++=with
a ^at++++=a
' ^zz++++='and
and ^cc++++=EXTRAWORD
the ^ati++++=the
size ^nn++++=size
of ^in++++=of
a ^at++++=a
leg ^nn++++=leg
of ^in++++0=o'
mutton ^nn++++=mutton.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
feel ^vb+vprv+++=feel
creepy ^nn+++??+=creepy
all ^abn++++=all
over ^in+strn+++=over."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Bill ^nn++++=Bill
gave ^vbd+++xvbn+=gave
it ^pp3+it+++=it
up ^rp++++=up
for ^in++++=for
that ^dt+dem+++=that
night ^nn++++=night,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
the ^ati++++=the
next ^ap++++=next
day ^nn++++=day
' ^zz++++='e
e ^zz++++=EXTRAWORD
pretended ^vbd+vprv++xvbn+=pretended
to ^to+vcmp+++=to
think ^vbi+vprv+tht0++=think
Jimmy ^np++++=Jimmy
was ^vbd+bedz+vrb++=was
gettin ^nn+++??+=gettin'
' ^zz++++=EXTRAWORD
fat ^nn++++=fat
and ^cc++++0=an'
' ^zz++++='e
e ^zz++++=EXTRAWORD
caught ^vbd+++xvbn+=caught
' ^zz++++='old
old ^jj++++=EXTRAWORD
of ^in++++=of
' ^zz++++='im
im ^&fw++++=EXTRAWORD
and ^cc++++=and
prodded ^vbd+++xvbn+=prodded
' ^zz++++='im
im ^&fw++++=EXTRAWORD
all ^abn++++=all
over ^in+strn+++=over.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
thought ^vbd+++xvbnx+=thought
' ^zz++++='e
e ^zz++++=EXTRAWORD
felt ^vprf+++xvbn+=felt
something ^pn++++=something
round ^in++++=round
' ^zz++++='is
is ^vbz+bez+vrb++=EXTRAWORD
waist ^nn++++=waist,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
' ^zz++++='e
e ^zz++++=EXTRAWORD
could ^md+pos+++=couldn't
n't ^xnot++not++0=EXTRAWORD
be ^vb+be+vrb++=be
sure ^jj+pred+++=sure,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Jimmy ^nn++++=Jimmy
made ^vbd+++xvbn+=made
such ^abl++++=such
a ^at++++=a
noise ^nn++++=noise
that ^tht+rel+obj++=that
the ^ati++++=the
other ^ap++++=other
chaps ^nns++++=chaps
interfered ^vbd+++xvbn+=interfered
and ^cc+phrs+++=and
told ^vbd+vpub++xvbn+=told
Bill ^nn++++=Bill
to ^to++++=to
leave ^vbi++++=leave
' ^zz++++='im
im ^&fw++++=EXTRAWORD
alone ^rb++++=alone.
. ^zz++++=EXTRAWORD
For ^in++++=For
a ^at++++=a
whole ^jj+atrb+++=whole
week ^nn++++=week
we ^pp1a+pp1+++=we
tried ^vbd+++xvbn+=tried
to ^to+vcmp+++=to
find ^vbi+vprv+++=find
that ^tht+vcmp+++=that
money ^nn++++=money,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
could ^md+pos+++=couldn't,
n't ^xnot++not++0=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Bill ^nn++++=Bill
said ^vbd+vpub+tht0+xvbn+=said
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
a ^at++++=a
suspicious ^jj+atrb+++=suspicious
thing ^nn++++=thing
that ^tht+rel+++=that
Jimmy ^nn++++=Jimmy
kept ^vbd+++xvbn+=kept
aft ^jjb++++=aft
a ^at++++=a
good ^jj+atrb+++=good
deal ^nn++++=deal
more ^rbr++++=more
than ^in++++=than
' ^zz++++='e
e ^zz++++=EXTRAWORD
used ^vbd+++xvbn+=used
to ^in+strn+++=to,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
' ^zz++++='e
e ^zz++++=EXTRAWORD
got ^vprf+++xvbn+=got
an ^at++++=an
idea ^nn++++=idea
that ^tht+ncmp+++=that
the ^ati++++=the
boy ^nn++++=boy
might ^md+pos+++=might
ha ^uh++++=ha'
' ^zz++++=EXTRAWORD
' ^zz++++='idden
