High ^jj++++=High
, ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
did ^vbd+dod+aux++=did
not ^xnot++not++=not
know ^vb+vprv+++=know
what ^wdt+who+whcl++=what
tears ^nns++++=tears
were ^vbd+bed+vrb++=were,
, ^zz++++=EXTRAWORD
for ^in++++=for
I ^pp1a+pp1+++=I
lived ^vbd+++xvbnx+=lived
in ^in++++=in
the ^ati++++=the
Palace ^nn++++=Palace
of ^in++++=of
Sanssouci ^np+++??+=SansSouci,
, ^zz++++=EXTRAWORD
where ^wrb+who+++=where
sorrow ^nn++++=sorrow
is ^vbz+bez+aux++=is
not ^xnot++not++=not
allowed ^vb++pmd"+xvbn+=allowed
to ^to+vcmp+pmd++=to
enter ^vb++++=enter.
. ^zz++++=EXTRAWORD
In ^in++++=In
the ^ati++++=the
daytime ^nn++++=daytime
I ^pp1a+pp1+++=I
played ^vbd+++xvbnx+=played
with ^in++++=with
my ^pp$+pp1+++=my
companions ^nns++++=companions
in ^in++++=in
the ^ati++++=the
garden ^nn++++=garden,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
in ^in++++=in
the ^ati++++=the
evening ^nn++++=evening
I ^pp1a+pp1+++=I
led ^vbd+++xvbnx+=led
the ^ati++++=the
dance ^nn++++=dance
in ^in++++=in
the ^ati++++=the
Great ^jj+atrb+++=Great
Hall ^npl++++=Hall.
. ^zz++++=EXTRAWORD
Round ^in++++=Round
the ^ati++++=the
garden ^nn++++=garden
ran ^vbd+++xvbn+=ran
a ^at++++=a
very ^ql+amp+++=very
lofty ^np++++=lofty
wall ^nn++++=wall,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
I ^pp1a+pp1+++=I
never ^rb++++=never
cared ^vbd+++xvbn+=cared
to ^to+vcmp+++=to
ask ^vbi++++=ask
what ^wdt+who+++=what
lay ^jjb+++xvbn+=lay
beyond ^in++++=beyond
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
everything ^pn++++=everything
about ^rb++++=about
me ^pp1o+pp1+++=me
was ^vbd+bedz+vrb++=was
so ^ql+emph+++=so
beautiful ^jj++++=beautiful.
. ^zz++++=EXTRAWORD
My ^pp$+pp1+++=My
courtiers ^nns+nom+++=courtiers
called ^vbd+++xvbn+=called
me ^pp1o+pp1+++=me
the ^ati++++=the
Happy ^jj+atrb+++=Happy
Prince ^nn++++=Prince,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
happy ^jj++++=happy
indeed ^rb++++=indeed
I ^pp1a+pp1+++=I
was ^vbd+bedz+vrb++=was,
, ^zz++++=EXTRAWORD
if ^cs+cnd+++=if
pleasure ^nn++++=pleasure
be ^vb+be+vrb++=be
happiness ^nns+nom+++=happiness.
. ^zz++++=EXTRAWORD
So ^ql++++=So
I ^pp1a+pp1+++=I
lived ^vbd+++xvbnx+=lived,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
so ^ql++++=so
I ^pp1a+pp1+++=I
died ^vbd+++xvbnx+=died.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
now ^rn+tm+++=now
that ^cs+sub+++=that
I ^pp1a+pp1+++=I
am ^vb+bem+vrb++=am
dead ^jj+pred+++=dead
they ^pp3a+pp3+++=they
have ^vb+hv+aux++=have
set ^vprf+++xvbnx+=set
me ^pp1o+pp1+++=me
up ^rp++++=up
here ^rn+pl+++=here
so ^ql++++=so
high ^np++++=high
that ^tht+rel+obj++=that
I ^pp1a+pp1+++=I
can ^md+pos+++=can
see ^vb+vprv+++=see
all ^rb++++=all
the ^ati++++=the
ugliness ^nns+nom+++=ugliness
and ^cc++++=and
all ^rb++++=all
the ^ati++++=the
misery ^nn++++=misery
of ^in++++=of
my ^pp$+pp1+++=my
city ^nn++++=city,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
though ^cs+sub+++=though
my ^pp$+pp1+++=my
heart ^nn++++=heart
is ^vbz+bez+aux++=is
made ^vpsv++agls+xvbnx+=made
of ^in++++=of
lead ^nn++++=lead
yet ^rb++++=yet
I ^pp1a+pp1+++=I
cannot ^md+pos+not++=cannot
chose ^vbd+++xvbn+=chose
but ^cc++++=but
weep ^nn++++=weep."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="What!
what ^wdt+who+++=EXTRAWORD
! ^zz++++=EXTRAWORD
is ^vbz+bez+vrb++=is
he ^pp3a+pp3+++=he
not ^xnot++not++=not
solid ^jj+atrb+++=solid
gold ^nn++++=gold?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
the ^ati++++=the
Swallow ^nn++++=Swallow
to ^in++++=to
himself ^ppl+pp3+++=himself.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+vrb++=was
too ^ql++++=too
polite ^jj++++=polite
to ^to++++=to
make ^vbi++++=make
any ^dti++++=any
personal ^jj+atrb+++=personal
remarks ^nns++++=remarks
out ^rp+pl+++=out
loud ^jj++++=loud.
. ^zz++++=EXTRAWORD
" ^zz++++="Far
far ^rb+pl+++=EXTRAWORD
away ^rp+pl+++=away,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
continued ^vbd+++xvbn+=continued
the ^ati++++=the
statue ^nn++++=statue
in ^in++++=in
a ^at++++=a
low ^jj+atrb+++=low
musical ^jj+atrb+++=musical
voice ^nn++++=voice,
, ^zz++++=EXTRAWORD
" ^zz++++="far
far ^rb+pl+++=EXTRAWORD
away ^rp+pl+++=away
in ^in++++=in
a ^rb++++=a
little ^rb"++++=little
street ^nn++++=street
there ^ex+pex+++=there
is ^vbz+bez+vrb++=is
a ^at++++=a
poor ^jj+atrb+++=poor
house ^nn++++=house.
. ^zz++++=EXTRAWORD
One ^pn++++=One
of ^in++++=of
the ^ati++++=the
windows ^nns++++=windows
is ^vbz+bez+vrb++=is
open ^jj+pred+++=open,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
through ^in++++=through
it ^pp3+it+++=it
I ^pp1a+pp1+++=I
can ^md+pos+++=can
see ^vb+vprv+tht0++=see
a ^at++++=a
woman ^nn++++=woman
seated ^vbd+++xvbn+=seated
at ^rb++++=at
a ^at++++=a
table ^nn++++=table.
. ^zz++++=EXTRAWORD
Her ^pp$+pp3+++=Her
face ^nn++++=face
is ^vbz+bez+vrb++=is
thin ^jj+pred+++=thin
and ^cc+phrs+++=and
worn ^jj+++xvbn+=worn,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
she ^pp3a+pp3+++=she
has ^vbz+hvz+vrb++=has
coarse ^jj+atrb+++=coarse,
, ^zz++++=EXTRAWORD
red ^jj+atrb+++=red
hands ^nns++++=hands,
, ^zz++++=EXTRAWORD
all ^abn++++=all
pricked ^vpsv++by+xvbn+=pricked
by ^in++++=by
the ^ati++++=the
needle ^nn++++=needle,
, ^zz++++=EXTRAWORD
for ^in++++=for
she ^pp3a+pp3+++=she
is ^vbz+bez+vrb++=is
a ^at++++=a
seamstress ^nns+nom+++=seamstress.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
is ^vbz+bez+aux++=is
embroidering ^vbg+++xvbgx+=embroidering
passionflowers ^nns+nom+++=passionflowers
on ^in++++=on
a ^at++++=a
satin ^nn++++=satin
gown ^nn++++=gown
for ^in++++=for
the ^ati++++=the
loveliest ^nn++++=loveliest
of ^in++++=of
the ^ati++++=the
Queen ^np++++=Queen's
's ^$++++=EXTRAWORD
maids ^nns++++=maids-ofhonour
- ^zz++++=EXTRAWORD
ofhonour ^nn+++??+=EXTRAWORD
to ^to++++=to
wear ^vbi++++=wear
at ^in++++=at
the ^ati++++=the
next ^ap++++=next
Court ^nn++++=Court-ball.
- ^zz++++=EXTRAWORD
ball ^nn++++=EXTRAWORD
. ^zz++++=EXTRAWORD
In ^in++++=In
a ^at++++=a
bed ^nn++++=bed
in ^in++++=in
the ^ati++++=the
corner ^nn++++=corner
of ^in++++=of
the ^ati++++=the
room ^nn++++=room
her ^pp$+pp3+++=her
little ^ap++++=little
boy ^nn++++=boy
is ^vbz+bez+aux++=is
lying ^vbg+++xvbgx+=lying
ill ^jj++++=ill.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
has ^vbz+hvz+vrb++=has
a ^at++++=a
fever ^nn++++=fever,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
is ^vbz+bez+aux++=is
asking ^vbg+vsua++xvbgx+=asking
for ^in+ppvb+++=for
oranges ^nns++++=oranges.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
mother ^nn++++=mother
has ^vbz+hvz+vrb++=has
nothing ^pn++++=nothing
to ^to++++=to
give ^vbi++++=give
him ^pp3o+pp3+++=him
but ^cc++++=but
river ^nn++++=river
water ^nn++++=water,
, ^zz++++=EXTRAWORD
so ^ql++++=so
he ^pp3a+pp3+++=he
is ^vbz+bez+aux++=is
crying ^vbg+++xvbgx+=crying.
. ^zz++++=EXTRAWORD
Swallow ^vb++++=Swallow,
, ^zz++++=EXTRAWORD
Swallow ^vb++++=Swallow,
, ^zz++++=EXTRAWORD
little ^ap++++=little
Swallow ^vb++++=Swallow,
, ^zz++++=EXTRAWORD
will ^md+prd+++=will
you ^pp2+pp2+++=you
not ^xnot++not++=not
bring ^vb++++=bring
her ^pp3o+pp3+++=her
the ^ati++++=the
ruby ^np++++=ruby
out ^rp+pl+++=out
of ^in++++=of
my ^pp$+pp1+++=my
sword ^nn++++=sword-hilt?
- ^zz++++=EXTRAWORD
hilt ^jj+++xvbn+=EXTRAWORD
? ^zz++++=EXTRAWORD
My ^pp$+pp1+++=My
feet ^nns++++=feet
are ^vb+ber+aux++=are
fastened ^vpsv++agls+xvbnx+=fastened
to ^in++++=to
this ^dt+dem+++=this
pedestal ^nn+nom+++=pedestal
and ^cc++++=and
I ^pp1a+pp1+++=I
cannot ^md+pos+not++=cannot
move ^vb++++=move."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
am ^vb+bem+aux++=am
waited ^vpsv++agls+xvbnx+=waited
for ^in++++=for
in ^in++++=in
Egypt ^np++++=Egypt,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
the ^ati++++=the
Swallow ^nn++++=Swallow.
. ^zz++++=EXTRAWORD
" ^zz++++="My
my ^pp$+pp1+++=EXTRAWORD
friends ^nns++++=friends
are ^vb+ber+aux++=are
flying ^vbg+++xvbgx+=flying
up ^rp++++=up
and ^cc++++=and
down ^in++++=down
the ^ati++++=the
Nile ^np++++=Nile,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
talking ^vbg+++xvbg+=talking
to ^in++++=to
the ^ati++++=the
large ^jj+atrb+++=large
lotusflowers ^nns+nom+++=lotusflowers.
. ^zz++++=EXTRAWORD
Soon ^rb+tm+++=Soon
they ^pp3a+pp3+++=they
will ^md+prd+++=will
go ^vb++++=go
to ^to++++=to
sleep ^vbi++++=sleep
in ^in++++=in
the ^ati++++=the
tomb ^nn++++=tomb
of ^in++++=of
the ^ati++++=the
great ^jj+atrb+++=great
King ^npt++++=King.
. ^zz++++=EXTRAWORD
The ^ati++++=The
King ^nn++++=King
is ^vbz+bez+vrb++=is
there ^rn+pl+++=there
himself ^ppl+pp3+++=himself
in ^in++++=in
his ^pp$+pp3+++=his
painted ^jj+atrb++xvbn+=painted
coffin ^nn++++=coffin.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
is ^vbz+bez+aux++=is
wrapped ^vpsv++agls+xvbnx+=wrapped
in ^in++++=in
yellow ^jj+atrb+++=yellow
linen ^nn++++=linen,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
embalmed ^jj++++=embalmed
with ^in++++=with
spices ^nns++++=spices.
. ^zz++++=EXTRAWORD
Round ^in++++=Round
his ^pp$+pp3+++=his
neck ^nn++++=neck
is ^vbz+bez+vrb++=is
a ^at++++=a
chain ^nn++++=chain
of ^in++++=of
pale ^nn++++=pale
green ^nn++++=green
jade ^nn+++??+=jade,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
his ^pp$+pp3+++=his
hands ^nns++++=hands
are ^vb+ber+aux++=are
like ^in++++=like
withered ^vbd+++xvbn+=withered
leaves ^nns++++=leaves."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Swallow,
swallow ^vb++++=EXTRAWORD
, ^zz++++=EXTRAWORD
Swallow ^vb++++=Swallow,
, ^zz++++=EXTRAWORD
little ^ap++++=little
Swallow ^vb++++=Swallow,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
the ^ati++++=the
Prince ^nn++++=Prince,
, ^zz++++=EXTRAWORD
" ^zz++++="will
will ^md+prd+++=EXTRAWORD
you ^pp2+pp2+++=you
not ^xnot++not++=not
stay ^vb++++=stay
with ^in++++=with
me ^pp1o+pp1+++=me
for ^in++++=for
one ^cd1++++=one
night ^nn++++=night,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
be ^vb+be+vrb++=be
my ^pp$+pp1+++=my
messenger ^nn+nom+++=messenger?
? ^zz++++=EXTRAWORD
The ^ati++++=The
boy ^nn++++=boy
is ^vbz+bez+vrb++=is
so ^ql+emph+++=so
thirsty ^jj++++=thirsty,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
mother ^npt++++=mother
so ^ql+emph+++=so
sad ^jj++++=sad."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
think ^vb+vprv+tht0++=think
I ^pp1a+pp1+++=I
like ^vb++++=like
boys ^nns++++=boys,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
answered ^vbd+vpub++xvbn+=answered
the ^ati++++=the
Swallow ^nn++++=Swallow.
. ^zz++++=EXTRAWORD
" ^zz++++="Last
last ^rb++++=EXTRAWORD
summer ^nn++++=summer,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
I ^pp1a+pp1+++=I
was ^vbd+bedz+aux++=was
staying ^vbg+++xvbgx+=staying
on ^in++++=on
the ^ati++++=the
river ^nn++++=river,
, ^zz++++=EXTRAWORD
there ^ex+pex+++=there
were ^vbd+bed+vrb++=were
two ^cd++++=two
rude ^jj+atrb+++=rude
boys ^nns++++=boys,
, ^zz++++=EXTRAWORD
the ^ati++++=the
miller ^nn++++=miller's
's ^$++++=EXTRAWORD
sons ^nns++++=sons,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
were ^vbd+bed+aux++=were
always ^rb++splt++=always
throwing ^vbg+++xvbgx+=throwing
stones ^nns++++=stones
at ^in++++=at
me ^pp1o+pp1+++=me.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
never ^rb++++=never
hit ^nn+++xvbn+=hit
me ^pp1o+pp1+++=me,
, ^zz++++=EXTRAWORD
of ^in+emph+++=of
course ^nn+emph"+++=course;
; ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
swallows ^nns+++??+=swallows
fly ^vb++++=fly
far ^rb+pl+++=far
too ^ql++++=too
well ^rb++++=well
for ^in++++=for
that ^dt+pdem+++=that,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
besides ^rb++++=besides,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
come ^vb++++=come
of ^in++++=of
a ^at++++=a
family ^nn++++=family
famous ^jj++++=famous
for ^in++++=for
its ^pp$+it+++=its
agility ^nn+nom+++=agility;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
still ^rb+cnj+++=still,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
a ^at++++=a
mark ^nn++++=mark
of ^in++++=of
disrespect ^nn++++=disrespect."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
But ^cc++++=But
the ^ati++++=the
Happy ^jj+atrb+++=Happy
Prince ^npt++++=Prince
looked ^vbd+++xvbn+=looked
so ^ql+emph+++=so
sad ^jj++++=sad
that ^tht+jcmp+++=that
the ^ati++++=the
little ^nn++++=little
Swallow ^vb++++=Swallow
was ^vbd+bedz+vrb++=was
sorry ^uh++++=sorry.
. ^zz++++=EXTRAWORD
" ^zz++++="It
it ^pp3+it+++=EXTRAWORD
is ^vbz+bez+vrb++=is
very ^ql+amp+++=very
cold ^jj++++=cold
here ^rn+pl+++=here,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said;
; ^zz++++=EXTRAWORD
" ^zz++++="but
but ^cc++++=EXTRAWORD
I ^pp1a+pp1+++=I
will ^md+prd+++=will
stay ^vb++++=stay
with ^in++++=with
you ^pp2+pp2+++=you
for ^in++++=for
one ^cd1++++=one
night ^nn++++=night,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
be ^vb+be+vrb++=be
your ^pp$+pp2+++=your
messenger ^nn+nom+++=messenger."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Thank
thank ^vb++++=EXTRAWORD
you ^pp2+pp2+++=you,
, ^zz++++=EXTRAWORD
little ^ap++++=little
Swallow ^vb++++=Swallow,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
the ^ati++++=the
Prince ^nn++++=Prince.
. ^zz++++=EXTRAWORD
So ^cs+sub+++=So
the ^ati++++=the
Swallow ^nn++++=Swallow
picked ^vbd+++xvbn+=picked
out ^rp+pl+++=out
the ^ati++++=the
great ^jj+atrb+++=great
ruby ^np++++=ruby
from ^in++++=from
the ^ati++++=the
Prince ^np++++=Prince's
's ^$++++=EXTRAWORD
sword ^nn++++=sword,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
flew ^vbd+++xvbn+=flew
away ^rp+pl+++=away
with ^in++++=with
it ^pp3+it+++=it
in ^in++++=in
his ^pp$+pp3+++=his
beak ^nn++++=beak
over ^in++++=over
the ^ati++++=the
roofs ^nns++++=roofs
of ^in++++=of
the ^ati++++=the
town ^nn++++=town.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
passed ^vbd+++xvbnx+=passed
by ^in++++=by
the ^ati++++=the
cathedral ^nn+nom+++=cathedral
tower ^nn++++=tower,
, ^zz++++=EXTRAWORD
where ^wrb+who+++=where
the ^ati++++=the
white ^jj+atrb+++=white
marble ^nn++++=marble
angels ^nns++++=angels
were ^vbd+bed+vrb++=were
sculptured ^jj+pred+++=sculptured.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
passed ^vbd+++xvbnx+=passed
by ^in++++=by
the ^ati++++=the
palace ^nn++++=palace
and ^cc++++=and
heard ^vbd+vprv++xvbn+=heard
the ^ati++++=the
sound ^nn++++=sound
of ^in++++=of
dancing ^xvbg+++xvbg+=dancing.
. ^zz++++=EXTRAWORD
A ^at++++=A
beautiful ^jj+atrb+++=beautiful
girl ^nn++++=girl
came ^vbd+++xvbn+=came
out ^rp+pl+++=out
on ^in++++=on
the ^ati++++=the
balcony ^nn++++=balcony
with ^in++++=with
her ^pp$+pp3+++=her
lover ^nn++++=lover.
. ^zz++++=EXTRAWORD
" ^zz++++="How
how ^wrb+who+++=EXTRAWORD
wonderful ^jj++++=wonderful
the ^ati++++=the
stars ^nns++++=stars
are ^vb+ber+vrb++=are,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said
to ^to+vcmp+++=to
her ^pp$+pp3+++=her,
, ^zz++++=EXTRAWORD
" ^zz++++="and
and ^cc+cls+++=EXTRAWORD
how ^wrb+who+++=how
wonderful ^jj++++=wonderful
is ^vbz+bez+vrb++=is
the ^ati++++=the
power ^nn++++=power
of ^in++++=of
love ^nn++++=love!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
hope ^vb++++=hope
my ^pp$+pp1+++=my
dress ^nn++++=dress
will ^md+prd+++=will
be ^vb+be+vrb++=be
ready ^jj+pred+++=ready
in ^in++++=in
time ^nn++++=time
for ^in++++=for
the ^ati++++=the
State ^nn++++=State-ball,"
- ^zz++++=EXTRAWORD
ball ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
answered ^vbd+vpub++xvbnx+=answered;
; ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
have ^vb+hv+aux++=have
ordered ^vprf+++xvbnx+=ordered
passion ^nn++++=passion-flowers
- ^zz++++=EXTRAWORD
flowers ^nns+nom+++=EXTRAWORD
to ^to++++=to
be ^vbi+vbi+aux++=be
embroidered ^vpsv++agls+xvbnx+=embroidered
on ^in++++=on
it ^pp3+it+++=it;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
the ^ati++++=the
seamstresses ^nns+nom++??+=seamstresses
are ^vb+ber+vrb++=are
so ^ql+emph+++=so
lazy ^jj++++=lazy."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
passed ^vbd+++xvbnx+=passed
over ^rb+phrv+++=over
the ^ati++++=the
river ^nn++++=river,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
saw ^vbd+vprv++xvbn+=saw
the ^ati++++=the
lanterns ^nns++++=lanterns
hanging ^vwbg+++xvbg+=hanging
to ^in++++=to
the ^ati++++=the
masts ^nns+++??+=masts
of ^in++++=of
the ^ati++++=the
ships ^nns++++=ships.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
passed ^vbd+++xvbnx+=passed
over ^rb+phrv+++=over
the ^ati++++=the
Ghetto ^nn++++=Ghetto,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
saw ^vbd+vprv++xvbn+=saw
the ^ati++++=the
old ^jj+atrb+++=old
Jews ^nn++++=Jews
bargaining ^nn++++=bargaining
with ^in++++=with
each ^dt++++=each
other ^ap++++=other,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
weighing ^nvbg+++xvbg+=weighing
out ^rp+pl+++=out
money ^nn++++=money
in ^in++++=in
copper ^nn++++=copper
scales ^nns++++=scales.
. ^zz++++=EXTRAWORD
At ^rb++++=At
last ^rb"++++=last
he ^pp3a+pp3+++=he
came ^vbd+++xvbnx+=came
to ^in++++=to
the ^ati++++=the
poor ^jj+atrb+++=poor
house ^nn++++=house
and ^cc++++=and
looked ^vpsv++agls+xvbn+=looked
in ^in+strn+++=in.
. ^zz++++=EXTRAWORD
The ^ati++++=The
boy ^nn++++=boy
was ^vbd+bedz+aux++=was
tossing ^vbg+++xvbgx+=tossing
feverishly ^jj++++=feverishly
on ^in++++=on
his ^pp$+pp3+++=his
bed ^nn++++=bed,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
mother ^nn++++=mother
had ^vbd+hvd+aux++=had
fallen ^vprf+++xvbn+=fallen
asleep ^jj++++=asleep,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
was ^vbd+bedz+vrb++=was
so ^ql+emph+++=so
tired ^jj+++xvbn+=tired.
. ^zz++++=EXTRAWORD
In ^in++++=In
he ^pp3a+pp3+++=he
hopped ^vbd+++xvbnx+=hopped,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
laid ^vbd+++xvbn+=laid
the ^ati++++=the
great ^jj+atrb+++=great
ruby ^np++++=ruby
on ^in++++=on
the ^ati++++=the
table ^nn++++=table
beside ^in+pl+++=beside
the ^ati++++=the
woman ^nn++++=woman's
's ^$++++=EXTRAWORD
thimble ^nn+++??+=thimble.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
he ^pp3a+pp3+++=he
flew ^vbd+++xvbnx+=flew
gently ^rb++++=gently
round ^in++++=round
the ^ati++++=the
bed ^nn++++=bed,
, ^zz++++=EXTRAWORD
fanning ^jj+++xvbg+=fanning
the ^ati++++=the
boy ^nn++++=boy's
's ^$++++=EXTRAWORD
forehead ^nn++++=forehead
with ^in++++=with
his ^pp$+pp3+++=his
wings ^nns++++=wings.
. ^zz++++=EXTRAWORD
" ^zz++++="How
how ^wrb+who+++=EXTRAWORD
cool ^jj++++=cool
I ^pp1a+pp1+++=I
feel ^vb+vprv+++=feel,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
the ^ati++++=the
boy ^nn++++=boy,
, ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
must ^md+nec+++=must
be ^vb+be+aux++=be
getting ^vbg+++xvbgx+=getting
better ^jjr++++=better";
" ^zz++++=EXTRAWORD
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
he ^pp3a+pp3+++=he
sank ^vbd+++xvbnx+=sank
into ^in++++=into
a ^at++++=a
delicious ^jj++++=delicious
slumber ^jjr++++=slumber.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
the ^ati++++=the
Swallow ^nn++++=Swallow
flew ^vbd+++xvbn+=flew
back ^jjb++++=back
to ^in++++=to
the ^ati++++=the
Happy ^jj+atrb+++=Happy
Prince ^nn++++=Prince,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
told ^vbd+vpub++xvbn+=told
him ^pp3o+pp3+++=him
what ^wdt+who+++=what
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
done ^vprf+++xvbnx+=done.
. ^zz++++=EXTRAWORD
" ^zz++++="It
it ^pp3+it+++=EXTRAWORD
is ^vbz+bez+vrb++=is
curious ^jj+pred+++=curious,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
remarked ^vbd+vpub++xvbnx+=remarked,
, ^zz++++=EXTRAWORD
" ^zz++++="but
but ^cc++++=EXTRAWORD
I ^pp1a+pp1+++=I
feel ^vb+vprv+++=feel
quite ^rb++++=quite
warm ^jj++++=warm
now ^rn+tm+++=now,
, ^zz++++=EXTRAWORD
although ^cs+con+++=although
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
so ^ql+emph+++=so
cold ^jj++++=cold."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="That
that ^dt+pdem+++=EXTRAWORD
is ^vbz+bez+vrb++=is
because ^cs+cos+++=because
you ^pp2+pp2+++=you
have ^vb+hv+aux++=have
done ^vprf+++xvbnx+=done
a ^at++++=a
good ^jj+atrb+++=good
action ^nn++++=action,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
the ^ati++++=the
Prince ^nn++++=Prince.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
the ^ati++++=the
little ^nn++++=little
Swallow ^vb++++=Swallow
began ^vbd+++xvbn+=began
to ^to++++=to
think ^vbi+vprv+++=think,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
then ^rn+tm+++=then
he ^pp3a+pp3+++=he
fell ^vbd+++xvbnx+=fell
asleep ^jj++++=asleep.
. ^zz++++=EXTRAWORD
Thinking ^nvbg+++xvbg+=Thinking
always ^rb++++=always
made ^vbd+++xvbn+=made
him ^pp3o+pp3+++=him
sleepy ^jj++++=sleepy.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
day ^nn++++=day
broke ^vbd+++xvbn+=broke
he ^pp3a+pp3+++=he
