Of ^in+emph+++=Of
son ^nn++++=son
was ^vbd+bedz+vrb++=was
about ^in++++=about
the ^ati++++=the
worst ^jjt+atrb+++=worst
punishment ^nn+nom+++=punishment
a ^at++++=a
chap ^nn++++=chap
could ^md+pos+++=could
have ^vb+hv+vrb++=have.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
what ^wdt+who+++=what
made ^vprf+++xvbn+=made
it ^pp3+it+++=it
rougher ^jjr++++=rougher
than ^in++++=than
ever ^rb++++=ever
was ^vbd+bedz+vrb++=was
that ^tht+vcmp+++=that
she ^pp3a+pp3+++=she
was ^vbd+bedz+vrb++=was
positively ^rb++++=positively
all ^abn++++=all
that ^dt+dem+++=that
he ^pp3a+pp3+++=he
had ^vb+hv+vrb++=had.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
was ^vbd+bedz+vrb++=wasn't
n't ^xnot++not++0=EXTRAWORD
only ^rb+down+++=only
a ^at++++=a
combined ^jj+atrb++xvbn+=combined
parent ^nn++++=parent,
, ^zz++++=EXTRAWORD
as ^ql++++=as
it ^pp3+it+++=it
were ^vbd+bed+vrb++=were,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
she ^pp3a+pp3+++=she
had ^vbd+hvd+aux++=had
quarrelled ^vprf+++xvbnx+=quarrelled
with ^in++++=with
all ^abn++++=all
her ^pp3o+pp3+++=her
own ^ap++++=own
and ^cc++++=and
the ^ati++++=the
governor ^nn++++=governor's
's ^$++++=EXTRAWORD
relations ^nns+nom+++=relations
before ^cs+sub+++=before
Reggie ^np+++??+=Reggie
had ^vbd+hvd+aux++=had
won ^vprf+++xvbnx+=won
his ^pp$+pp3+++=his
first ^od++++=first
trouser ^nn++++=trouser
pockets ^nns++++=pockets.
. ^zz++++=EXTRAWORD
So ^ql++++=So
that ^dt+dem+++=that
whenever ^nn+nom+++=whenever
Reggie ^np+++??+=Reggie
was ^vbd+bedz+vrb++=was
homesick ^jj+pred+++=homesick
out ^rp+pl+++=out
there ^rn+pl+++=there,
, ^zz++++=EXTRAWORD
sitting ^vbg+++xvbg+=sitting
on ^in++++=on
his ^pp$+pp3+++=his
dark ^jj+atrb+++=dark
veranda ^nn++++=veranda
by ^in++++=by
starlight ^nn+++??+=starlight,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
the ^ati++++=the
gramophone ^nn++++=gramophone
cried ^vbd+++xvbn+=cried,
, ^zz++++=EXTRAWORD
" ^zz++++="Dear,
dear ^jj++++=EXTRAWORD
, ^zz++++=EXTRAWORD
what ^wdt+who+whq++=what
is ^vbz+bez+aux++=is
Life ^nn++++=Life
but ^cc++++=but
Love ^nn++++=Love?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
only ^ap+down+++=only
vision ^nn++++=vision
was ^vbd+bedz+vrb++=was
of ^in++++=of
the ^ati++++=the
mater ^jjr++++=mater,
, ^zz++++=EXTRAWORD
tall ^jj++++=tall
and ^cc+phrs+++=and
stout ^jj++++=stout,
, ^zz++++=EXTRAWORD
rustling ^jj++++=rustling
down ^rp++++=down
the ^ati++++=the
garden ^nn++++=garden
path ^nn++++=path,
, ^zz++++=EXTRAWORD
with ^in++++=with
Chinny ^np+++??+=Chinny
and ^cc++++=and
Biddy ^np++++=Biddy
at ^rb++++=at
her ^pp3o+pp3+++=her
heels ^nns++++=heels
. ^zz++++=...
. ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
The ^ati++++=The
mater ^jjr++++=mater,
, ^zz++++=EXTRAWORD
with ^in++++=with
her ^pp$+pp3+++=her
scissors ^nns++++=scissors
outspread ^nn+++??+=outspread
to ^to++++=to
snap ^vbi++++=snap
the ^ati++++=the
head ^nn++++=head
of ^in++++=of
a ^at++++=a
dead ^jj++++=dead
something ^pn++++=something
or ^cc++++=or
other ^ap++++=other,
, ^zz++++=EXTRAWORD
stopped ^j+++xvbn+=stopped
at ^rb++++=at
the ^ati++++=the
sight ^nn++++=sight
of ^in++++=of
Reggie ^np+++??+=Reggie.
. ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
are ^vb+ber+aux++=are
not ^xnot++not++=not
going ^vbg+++xvbg+=going
out ^rp+pl+++=out,
, ^zz++++=EXTRAWORD
Reginald ^np++++=Reginald?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
asked ^vbd+vsua++xvbnx+=asked,
, ^zz++++=EXTRAWORD
seeing ^vbg+vprv++xvbg+=seeing
that ^tht+vcmp+++=that
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was.
. ^zz++++=EXTRAWORD
" ^zz++++="I'll
i ^pp1a+pp1+++=EXTRAWORD
'll ^md+prd+++0=EXTRAWORD
be ^vb+be+vrb++=be
back ^jjb+pred+++=back
for ^in++++=for
tea ^nn++++=tea,
, ^zz++++=EXTRAWORD
mater ^jjr++++=mater,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Reggie ^np+++??+=Reggie
weakly ^rb+cnj+++=weakly,
, ^zz++++=EXTRAWORD
plunging ^vbg+++xvbg+=plunging
his ^pp$+pp3+++=his
hands ^nns++++=hands
into ^in++++=into
his ^pp$+pp3+++=his
jacket ^nn++++=jacket
pockets ^nns++++=pockets.
. ^zz++++=EXTRAWORD
Snip ^np+++??+=Snip.
. ^zz++++=EXTRAWORD
Off ^in+pl+++=Off
came ^vbd+++xvbn+=came
a ^at++++=a
head ^nn++++=head.
. ^zz++++=EXTRAWORD
Reggie ^np+++??+=Reggie
almost ^rb+hdg+++=almost
jumped ^vbd+++xvbn+=jumped.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
should ^md+nec+++=should
have ^vb+hv+aux++=have
thought ^vprf+++xvbnx+=thought
you ^pp2+pp2+++=you
could ^md+pos+++=could
have ^vb+hv+aux++=have
spared ^vprf+++xvbnx+=spared
your ^pp$+pp2+++=your
mother ^nn++++=mother
your ^pp$+pp2+++=your
last ^jj+atrb+++=last
afternoon ^nn++++=afternoon,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub+tht0+xvbn+=said
she ^pp3a+pp3+++=she.
. ^zz++++=EXTRAWORD
Silence ^nn+nom+++=Silence.
. ^zz++++=EXTRAWORD
The ^ati++++=The
Pekes ^np+++??+=Pekes
stared ^vbd+++xvbn+=stared.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
understood ^vbd+vprv++xvbnx+=understood
every ^at++++=every
word ^nn++++=word
of ^in++++=of
the ^ati++++=the
mater ^jjr+atrb+++=mater's.
's. ^nn+++??+=EXTRAWORD
Biddy ^np++++=Biddy
lay ^vbd+++xvbn+=lay
down ^rb+phrv+++=down
with ^in++++=with
her ^pp$+pp3+++=her
tongue ^nn++++=tongue
poked ^vbd+++xvbn+=poked
out ^rp+pl+++=out;
; ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
was ^vbd+bedz+vrb++=was
so ^ql++++=so
fat ^nn++++=fat
and ^cc++++=and
glossy ^jj++++=glossy
she ^pp3a+pp3+++=she
looked ^vbd+++xvbnx+=looked
like ^in++++=like
a ^at++++=a
lump ^nn++++=lump
of ^in++++=of
half ^abn++++=half-melted
- ^zz++++=EXTRAWORD
melted ^vbd+++xvbn+=EXTRAWORD
toffee ^nn++++=toffee.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
Chinny ^np++++=Chinny's
's ^$++++=EXTRAWORD
porcelain ^nn++++=porcelain
eyes ^nns++++=eyes
gloomed ^vbd+++xvbn+=gloomed
at ^rb++++=at
Reginald ^np++++=Reginald,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
he ^pp3a+pp3+++=he
sniffed ^vbd+++xvbnx+=sniffed
faintly ^rb+cnj+++=faintly,
, ^zz++++=EXTRAWORD
as ^cs+sub+++=as
though ^cs+sub+++=though
the ^ati++++=the
whole ^jj+atrb+++=whole
world ^nn++++=world
were ^vbd+bed+vrb++=were
one ^cd1++++=one
unpleasant ^jj+atrb+++=unpleasant
smell ^nn++++=smell.
. ^zz++++=EXTRAWORD
Snip ^np+++??+=Snip,
, ^zz++++=EXTRAWORD
went ^j+++xvbn+=went
the ^ati++++=the
scissors ^nns++++=scissors
again ^rb+tm+++=again.
. ^zz++++=EXTRAWORD
Poor ^jj+atrb+++=Poor
little ^jj+atrb+++=little
beggars ^nns++++=beggars;
; ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
were ^vbd+bed+aux++=were
getting ^vbg+++xvbgx+=getting
it ^pp3+it+++=it!
! ^zz++++=EXTRAWORD
" ^zz++++="And
and ^cc+cls+++=EXTRAWORD
where ^wrb+who+++=where
are ^vb+ber+aux++=are
you ^pp2+pp2+++=you
going ^vbg+++xvbg+=going,
, ^zz++++=EXTRAWORD
if ^cs+cnd+++=if
your ^pp$+pp2+++=your
mother ^nn++++=mother
may ^md+pos+++=may
ask ^vb++++=ask?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
asked ^vbd+vsua++xvbn+=asked
the ^ati++++=the
mater ^nn++++=mater.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
over ^in++++=over
at ^rb++++=at
last ^rb"++++=last,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
Reggie ^np+++??+=Reggie
did ^vbd+dod+vrb++=did
not ^xnot++not++=not
slow ^jj++++=slow
down ^rp++++=down
until ^cs+sub+++=until
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
out ^rp+pl+++=out
of ^in++++=of
sight ^nn++++=sight
of ^in++++=of
the ^ati++++=the
house ^nn++++=house
and ^cc++++=and
half ^abn++++=half-way
- ^zz++++=EXTRAWORD
way ^nn++++=EXTRAWORD
to ^in++++=to
Colonel ^npt++++=Colonel
Proctor ^np+++??+=Proctor's.
's. ^nn+++??+=EXTRAWORD
Then ^rn+tm+++=Then
only ^rb+down+++=only
he ^pp3a+pp3+++=he
noticed ^vbd+vprv++xvbnx+=noticed
what ^wdt+who+whcl++=what
a ^at++++=a
tophole ^nn+++??+=tophole
afternoon ^nn++++=afternoon
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
raining ^vbg+++xvbgx+=raining
all ^rb++++=all
the ^ati++++=the
morning ^nn++++=morning,
, ^zz++++=EXTRAWORD
late ^jj+atrb+++=late
summer ^nn++++=summer
rain ^nn++++=rain,
, ^zz++++=EXTRAWORD
warm ^jj++++=warm,
, ^zz++++=EXTRAWORD
heavy ^jj++++=heavy,
, ^zz++++=EXTRAWORD
quick ^jj++++=quick,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
now ^rn+tm+++=now
the ^ati++++=the
sky ^nn++++=sky
was ^vbd+bedz+vrb++=was
clear ^jj+pred+++=clear,
, ^zz++++=EXTRAWORD
except ^in++++=except
for ^in"++++=for
a ^at++++=a
long ^jj+atrb+++=long
tail ^nn++++=tail
of ^in++++=of
little ^ap++++=little
clouds ^nns++++=clouds,
, ^zz++++=EXTRAWORD
like ^in++++=like
duckings ^nns+++??+=duckings,
, ^zz++++=EXTRAWORD
sailing ^nvbg+++xvbg+=sailing
over ^in++++=over
the ^ati++++=the
forest ^nn++++=forest.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
was ^vbd+bedz+vrb++=was
just ^rb+emph+++=just
enough ^dt++++=enough
wind ^nn++++=wind
to ^to++++=to
shake ^vbi++++=shake
the ^ati++++=the
last ^rb++++=last
drops ^nns++++=drops
off ^in+pl+++=off
the ^ati++++=the
trees ^nns++++=trees;
; ^zz++++=EXTRAWORD
one ^cd1++++=one
warm ^jj+atrb+++=warm
star ^nn++++=star
splashed ^vbd+++xvbn+=splashed
on ^in++++=on
his ^pp$+pp3+++=his
hand ^nn++++=hand.
. ^zz++++=EXTRAWORD
Ping ^np+++??+=Ping!
! ^zz++++=EXTRAWORD
another ^dt++++=another
drummed ^jj+++xvbn+=drummed
on ^in++++=on
his ^pp$+pp3+++=his
hat ^nn++++=hat.
. ^zz++++=EXTRAWORD
The ^ati++++=The
empty ^jj+atrb+++=empty
road ^npl++++=road
gleamed ^vbd+++xvbn+=gleamed,
, ^zz++++=EXTRAWORD
the ^ati++++=the
hedges ^nns++++=hedges
smelled ^vbd+++xvbn+=smelled
of ^in++++=of
briar ^nn++++=briar,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
how ^wrb+who+++=how
big ^jj++++=big
and ^cc+phrs+++=and
bright ^jj++++=bright
the ^ati++++=the
hollyhocks ^nns+++??+=hollyhocks
glowed ^vbd+++xvbn+=glowed
in ^in++++=in
the ^ati++++=the
cottage ^nn+nom+++=cottage
gardens ^nns++++=gardens.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
here ^rn+pl+++=here
was ^vbd+bedz+vrb++=was
Colonel ^npt++++=Colonel
Proctor ^np++++=Proctor's
's ^$++++=EXTRAWORD
here ^rn+pl+++=here
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
already ^rb++++=already.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
hand ^nn++++=hand
was ^vbd+bedz+vrb++=was
on ^in++++=on
the ^ati++++=the
gate ^nn++++=gate,
, ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
elbow ^nn++++=elbow
jogged ^vbd+++xvbn+=jogged
the ^ati++++=the
syringa ^nn+++??+=syringa
bushes ^nns++++=bushes,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
petals ^nns++++=petals
and ^cc++++=and
pollen ^nn++++=pollen
scattered ^vbd+++xvbn+=scattered
over ^in++++=over
his ^pp$+pp3+++=his
coat ^nn++++=coat
sleeve ^nn++++=sleeve.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
wait ^vb++++=wait
a ^at++++=a
bit ^nn++++=bit.
. ^zz++++=EXTRAWORD
This ^dt+pdem+++=This
was ^vbd+bedz+vrb++=was
too ^ql++++=too
quick ^jj++++=quick
altogether ^nn+nom+++=altogether.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++0=He'd
'd ^vbd+hvd+aux++=EXTRAWORD
meant ^vprf+++xvbnx+=meant
to ^to+vcmp+++=to
think ^vbi+vprv+++=think
the ^ati++++=the
whole ^jj+atrb+++=whole
thing ^nn++++=thing
out ^rp+pl+++=out
again ^rb+tm+++=again.
. ^zz++++=EXTRAWORD
Here ^rn+pl+++=Here,
, ^zz++++=EXTRAWORD
steady ^jj++++=steady.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
he ^pp3a+pp3+++=he
was ^vbd+bedz+aux++=was
walking ^vbg+++xvbgx+=walking
up ^rp++++=up
the ^ati++++=the
path ^nn++++=path,
, ^zz++++=EXTRAWORD
with ^in++++=with
the ^ati++++=the
huge ^jj+atrb+++=huge
rose ^nn+++xvbn+=rose
bushes ^nns++++=bushes
on ^in++++=on
either ^dtx++++=either
side ^nn++++=side.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
can ^md+pos+++=can't
n't ^xnot++not++0=EXTRAWORD
be ^vb+be+aux++=be
done ^vpsv++agls+xvbnx+=done
like ^in++++=like
this ^dt+pdem+++=this.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
his ^pp$+pp3+++=his
hand ^nn++++=hand
had ^vbd+hvd+aux++=had
grasped ^vprf+++xvbnx+=grasped
the ^ati++++=the
bell ^nn++++=bell,
, ^zz++++=EXTRAWORD
given ^vpbn+v++xvbn+=given
it ^pp3+it+++=it
a ^at++++=a
pull ^vb++++=pull,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
started ^vbd+++xvbn+=started
it ^pp3+it+++=it
pealing ^nn+nom+++=pealing
wildly ^rb+cnj+++=wildly,
, ^zz++++=EXTRAWORD
as ^cs+sub+++=as
if ^cs+cnd+++=if
he ^pp3a+pp3+++0=he'd
'd ^md+prd+aux++=EXTRAWORD
come ^vprf+++xvbn+=come
to ^to++++=to
say ^vbi+vpub+tht0++=say
the ^ati++++=the
house ^nn++++=house
was ^vbd+bedz+vrb++=was
on ^in++++=on
fire ^nn++++=fire.
. ^zz++++=EXTRAWORD
The ^ati++++=The
housemaid ^nn++++=housemaid
must ^md+nec+++=must
have ^vb+hv+aux++=have
been ^vprf+ben+vrb+xvbnx+=been
in ^in++++=in
the ^ati++++=the
hall ^nn++++=hall,
, ^zz++++=EXTRAWORD
too ^rb+cnj+++=too,
, ^zz++++=EXTRAWORD
for ^in++++=for
the ^ati++++=the
front ^jjb+atrb+++=front
door ^nn++++=door
flashed ^vbd+++xvbn+=flashed
open ^jj++++=open,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Reggie ^np+++??+=Reggie
was ^vbd+bedz+aux++=was
shut ^vpsv++agls+xvbnx+=shut
in ^rb+phrv+++=in
the ^ati++++=the
empty ^jj+atrb+++=empty
drawingroom ^nn+++??+=drawingroom
before ^cs+sub+++=before
that ^dt+dem+++=that
confounded ^jj+atrb+++=confounded
bell ^nn++++=bell
had ^vbd+hvd+aux++=had
stopped ^vprf+++xvbnx+=stopped
ringing ^vbg+++xvbg+=ringing.
. ^zz++++=EXTRAWORD
Strangely ^rb++++=Strangely
enough ^dt++++=enough,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
it ^pp3+it+++=it
did ^vbd+dod+vrb++=did,
, ^zz++++=EXTRAWORD
the ^ati++++=the
big ^jj+atrb+++=big
room ^nn++++=room,
, ^zz++++=EXTRAWORD
shadowy ^jj++++=shadowy,
, ^zz++++=EXTRAWORD
with ^in++++=with
some ^dti++++=some
one ^cd1++++=one's
's ^vbz+bez+vrb++0=EXTRAWORD
parasol ^nn++++=parasol
lying ^vwbg+++xvbg+=lying
on ^in++++=on
top ^nn++++=top
of ^in++++=of
the ^ati++++=the
grand ^jj+atrb+++=grand
piano ^nn++++=piano,
, ^zz++++=EXTRAWORD
bucked ^j+++xvbn+=bucked
him ^pp3o+pp3+++=him
up ^rp++++=up
or ^cc+phrs+++=or
rather ^rb+cnj+++=rather,
, ^zz++++=EXTRAWORD
excited ^j+++xvbn+=excited
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
so ^ql++++=so
quiet ^nn++++=quiet,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
yet ^rb++++=yet
in ^in++++=in
one ^cd1++++=one
moment ^nn++++=moment
the ^ati++++=the
door ^nn++++=door
would ^md+prd+++=would
open ^vb++++=open,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
his ^pp$+pp3+++=his
fate ^nn++++=fate
be ^vb+be+aux++=be
decided ^vpsv++agls+xvbnx+=decided.
. ^zz++++=EXTRAWORD
The ^ati++++=The
feeling ^nvbg+++xvbg+=feeling
was ^vbd+bedz+vrb++=was
not ^xnot++not++=not
unlike ^in++++=unlike
that ^dt+dem+++=that
of ^in++++=of
being ^xvbg+++xvbg+=being
at ^rb++++=at
the ^ati++++=the
dentist ^nn+nom+++=dentist's;
's; ^nn+++??+=EXTRAWORD
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
almost ^rb+hdg+++=almost
reckless ^jj+pred+++=reckless.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
at ^in++++=at
the ^ati++++=the
same ^ap++++=same
time ^nn++++=time,
, ^zz++++=EXTRAWORD
to ^in++++=to
his ^pp$+pp3+++=his
immense ^jj+atrb+++=immense
surprise ^nn++++=surprise,
, ^zz++++=EXTRAWORD
Reggie ^np+++??+=Reggie
heard ^vbd+vprv++xvbn+=heard
himself ^ppl+pp3+++=himself
saying ^nvbg+++xvbg+=saying,
, ^zz++++=EXTRAWORD
" ^zz++++="Lord,
lord ^npt++++=EXTRAWORD
, ^zz++++=EXTRAWORD
Thou ^pp2+pp2+++=Thou
knowest ^jjt++++=knowest,
, ^zz++++=EXTRAWORD
Thou ^pp2+pp2+++=Thou
hast ^&fw++++=hast
not ^xnot++not++=not
done ^vprf+++xvbn+=done
much ^ap++++=much
for ^in++++=for
me ^pp1o+pp1+++=me
. ^zz++++=...
. ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++="
That ^tht+rel+++=That
pulled ^jj+++xvbn+=pulled
him ^pp3o+pp3+++=him
up ^rp++++=up;
; ^zz++++=EXTRAWORD
that ^cs+sub+++=that
made ^vprf+++xvbn+=made
him ^pp3o+pp3+++=him
realize ^vb+vprv+++=realize
again ^rb+tm+++=again
how ^wrb+who+++=how
dead ^jj++++=dead
serious ^jj++++=serious
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was.
. ^zz++++=EXTRAWORD
Too ^ql++++=Too
late ^jj++++=late.
. ^zz++++=EXTRAWORD
The ^ati++++=The
door ^nn++++=door
handle ^vb++++=handle
turned ^vbd+++xvbn+=turned.
. ^zz++++=EXTRAWORD
Anne ^np++++=Anne
came ^vbd+++xvbn+=came
in ^in+strn+++=in,
, ^zz++++=EXTRAWORD
crossed ^j+++xvbn+=crossed
the ^ati++++=the
shadowy ^jj+atrb+++=shadowy
space ^nn++++=space
between ^in++++=between
them ^pp3o+pp3+++=them,
, ^zz++++=EXTRAWORD
gave ^j+++xvbn+=gave
him ^pp3o+pp3+++=him
her ^pp$+pp3+++=her
hand ^nn++++=hand,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
said ^vbd+vpub++xvbn+=said,
, ^zz++++=EXTRAWORD
in ^in++++=in
her ^pp$+pp3+++=her
small ^jj+atrb+++=small,
, ^zz++++=EXTRAWORD
soft ^jj+atrb+++=soft
voice ^nn++++=voice,
, ^zz++++=EXTRAWORD
" ^zz++++="I'm
i ^pp1a+pp1+++=EXTRAWORD
'm ^vb+bem+vrb++0=EXTRAWORD
so ^ql++++=so
sorry ^uh++++=sorry,
, ^zz++++=EXTRAWORD
father ^nn++++=father
is ^vbz+bez+vrb++=is
out ^rp+pl+++=out.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
mother ^nn++++=mother
is ^vbz+bez+aux++=is
having ^vbg+hvg++xvbg+=having
a ^at++++=a
day ^nn++++=day
in ^in++++=in
town ^nn++++=town,
, ^zz++++=EXTRAWORD
hat ^nn++++=hat-hunting.
- ^zz++++=EXTRAWORD
hunting ^nvbg+++xvbg+=EXTRAWORD
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There's
's ^vbz+bez+vrb++0=EXTRAWORD
only ^rb+down+++=only
me ^pp1o+pp1+++=me
to ^to++++=to
entertain ^vbi++++=entertain
you ^pp2+pp2+++=you,
, ^zz++++=EXTRAWORD
Reggie ^np+++??+=Reggie."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Reggie ^np+++??+=Reggie
gasped ^vbd+++xvbn+=gasped,
, ^zz++++=EXTRAWORD
pressed ^j+++xvbn+=pressed
his ^pp$+pp3+++=his
own ^ap++++=own
hat ^nn++++=hat
to ^in++++=to
his ^pp$+pp3+++=his
jacket ^nn++++=jacket
buttons ^nns++++=buttons,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
stammered ^vbd+++xvbn+=stammered
out ^rp+pl+++=out,
, ^zz++++=EXTRAWORD
" ^zz++++="As
as ^in++++=EXTRAWORD
a ^at++++=a
matter ^nn++++=matter
of ^in++++=of
fact ^nn++++=fact,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I've
've ^vb+hv+aux++0=EXTRAWORD
only ^ap+down+++=only
come ^vprf+++xvbn+=come
. ^zz++++=...
. ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
to ^to++++=to
say ^vbi+vpub+++=say
good ^jj++++=good-bye."
- ^zz++++=EXTRAWORD
bye ^rb++++=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Oh!"
oh ^uh++++=EXTRAWORD
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
cried ^vbd+++xvbn+=cried
Anne ^np++++=Anne
softly ^rb++++=softly
she ^pp3a+pp3+++=she
stepped ^vbd+++xvbnx+=stepped
back ^jjb++++=back
from ^in++++=from
him ^pp3o+pp3+++=him
and ^cc++++=and
her ^pp$+pp3+++=her
grey ^np++++=grey
eyes ^nns++++=eyes
danced ^vbd+++xvbn+=danced
" ^zz++++="what
what ^wdt+who+++=EXTRAWORD
a ^at++++=a
very ^ql+amp+++=very
short ^jj++++=short
visit ^vb++++=visit!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then,
, ^zz++++=EXTRAWORD
watching ^jj+++xvbg+=watching
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
her ^pp$+pp3+++=her
chin ^nn++++=chin
tilted ^vbd+++xvbn+=tilted,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
laughed ^vbd+++xvbnx+=laughed
outright ^rb+cnj+++=outright,
, ^zz++++=EXTRAWORD
a ^at++++=a
long ^jj+atrb+++=long,
, ^zz++++=EXTRAWORD
soft ^jj+atrb+++=soft
peal ^nn++++=peal,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
walked ^vpsv++agls+xvbn+=walked
away ^rb+phrv+++=away
from ^in+ppvb+++=from
him ^pp3o+pp3+++=him
over ^in++++=over
to ^in++++=to
the ^ati++++=the
piano ^nn++++=piano,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
leaned ^vpsv++agls+xvbn+=leaned
against ^in++++=against
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
playing ^vbg+++xvbg+=playing
with ^in++++=with
the ^ati++++=the
tassel ^nn+++??+=tassel
of ^in++++=of
the ^ati++++=the
parasol ^nn++++=parasol.
. ^zz++++=EXTRAWORD
" ^zz++++="I'm
i ^pp1a+pp1+++=EXTRAWORD
'm ^vb+bem+vrb++0=EXTRAWORD
so ^ql++++=so
sorry ^uh++++=sorry,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
said ^vbd+vpub++xvbnx+=said,
, ^zz++++=EXTRAWORD
" ^zz++++="to
to ^to++++=EXTRAWORD
be ^vbi+vbi+aux++=be
laughing ^vbg+++xvbgx+=laughing
like ^in++++=like
this ^dt+pdem+++=this.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
know ^vb+vprv+++=know
why ^wrb+who+whcl++=why
I ^pp1a+pp1+++=I
do ^vb+do+vrb++=do.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It's
's ^vbz+bez+vrb++0=EXTRAWORD
just ^rb+emph+++=just
a ^at++++=a
bad ^jj++++=bad
ha ^uh++++=ha
habit ^nn++++=habit."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
And ^cc++++=And
suddenly ^rb++++=suddenly
she ^pp3a+pp3+++=she
stamped ^vbd+++xvbnx+=stamped
her ^pp3o+pp3+++=her
grey ^np++++=grey
shoe ^nn++++=shoe,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
took ^vbd+++xvbn+=took
a ^at++++=a
pocket ^nn++++=pocket-handkerchief
- ^zz++++=EXTRAWORD
handkerchief ^nn++++=EXTRAWORD
out ^rp+pl+++=out
of ^in++++=of
her ^pp$+pp3+++=her
white ^jj+atrb+++=white
woolly ^jj+atrb+++=woolly
jacket ^nn++++=jacket.
. ^zz++++=EXTRAWORD
" ^zz++++="I
