[ ^zz++++=[This
last ^jj+atrb+++=last
breath ^nn++++=breath,
, ^zz++++=EXTRAWORD
the ^ati++++=the
death ^nn++++=death-gasp,
- ^zz++++=EXTRAWORD
gasp ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
of ^in++++=of
expiring ^xvbg+++xvbg+=expiring
nature ^nn++++=nature?
? ^zz++++=EXTRAWORD
When ^wrb+who+++=When
that ^dt+dem+++=that
time ^nn++++=time
comes ^vbz++++=comes,
, ^zz++++=EXTRAWORD
away ^rp+pl+++=away
my ^pp$+pp1+++=my
darts ^nns+++??+=darts
and ^cc++++=and
shroud ^nn++++=shroud
I ^pp1a+pp1+++=I'll
'll ^md+prd+++0=EXTRAWORD
hurl ^vb++++=hurl.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
shall ^md+prd+++=shall
I ^pp1a+pp1+++=I
free ^jj++++=free
my ^pp$+pp1+++=my
horse ^nn++++=horse,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
he ^pp3a+pp3+++=he
shall ^md+prd+++=shall
graze ^vb+++??+=graze
upon ^in++++=upon
the ^ati++++=the
grass ^nn++++=grass
that ^tht+rel+subj++=that
grows ^vbz++++=grows
upon ^in++++=upon
the ^ati++++=the
Pyramids ^np+++??+=Pyramids,
, ^zz++++=EXTRAWORD
sleep ^nn++++=sleep
in ^in++++=in
the ^ati++++=the
palaces ^nns++++=palaces
of ^in++++=of
emperors ^nns++++=emperors,
, ^zz++++=EXTRAWORD
drink ^vb++++=drink
the ^ati++++=the
last ^rb++++=last
drop ^vb++++=drop
of ^in++++=of
water ^nn++++=water
from ^in++++=from
the ^ati++++=the
sea ^nn++++=sea,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
snuff ^nn++++=snuff
the ^ati++++=the
odour ^nn++++=odour
of ^in++++=of
the ^ati++++=the
last ^rb++++=last
slow ^jj++++=slow
drop ^vb++++=drop
of ^in++++=of
blood ^nn++++=blood!
! ^zz++++=EXTRAWORD
By ^in++++=By
day ^nn++++=day,
, ^zz++++=EXTRAWORD
by ^in++++=by
night ^nn++++=night,
, ^zz++++=EXTRAWORD
through ^in++++=through
the ^ati++++=the
countless ^jj+atrb+++=countless
ages ^nns++++=ages,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
shall ^md+prd+++=shall
roam ^vb++++=roam
through ^in++++=through
fields ^nns++++=fields
eternal ^jj++++=eternal
as ^in++++=as
the ^ati++++=the
fancy ^nn++++=fancy
takes ^vbz++++=takes
him ^pp3o+pp3+++=him;
; ^zz++++=EXTRAWORD
shall ^md+prd+++=shall
leap ^vb++++=leap
with ^in++++=with
one ^cd1++++=one
great ^jj++++=great
bound ^xvbn+++xvbn+=bound
from ^in++++=from
Atlas ^nn++++=Atlas
to ^in++++=to
the ^ati++++=the
Himalayas ^np+++??+=Himalayas;
; ^zz++++=EXTRAWORD
shall ^md+prd+++=shall
course ^rb+cnj+++=course,
, ^zz++++=EXTRAWORD
in ^in++++=in
his ^pp$+pp3+++=his
insolent ^jj+atrb+++=insolent
pride ^nn++++=pride,
, ^zz++++=EXTRAWORD
from ^in++++=from
heaven ^nn++++=heaven
to ^in++++=to
earth ^nn++++=earth;
; ^zz++++=EXTRAWORD
disport ^nn+++??+=disport
himself ^ppl+pp3+++=himself
by ^in++++=by
caracoling ^nn+nom+++=caracoling
in ^in++++=in
the ^ati++++=the
dust ^nn++++=dust
of ^in++++=of
crumbled ^jj+atrb+++=crumbled
empires ^nns++++=empires;
; ^zz++++=EXTRAWORD
shall ^md+prd+++=shall
speed ^vb++++=speed
across ^in+pl+++=across
the ^ati++++=the
beds ^nns++++=beds
of ^in++++=of
dried ^jj+++xvbn+=dried-up
- ^zz++++=EXTRAWORD
up ^rp++++=EXTRAWORD
oceans ^nns++++=oceans;
; ^zz++++=EXTRAWORD
shall ^md+prd+++=shall
bound ^xvbn+++xvbn+=bound
o ^zz++++=o'er
'er ^jjr+atrb+++0=EXTRAWORD
ruins ^nns++++=ruins
of ^in++++=of
enormous ^jj+atrb+++=enormous
cities ^nns++++=cities;
; ^zz++++=EXTRAWORD
inhale ^vb++++=inhale
the ^ati++++=the
void ^nn++++=void
with ^in++++=with
swelling ^nn+nom+++=swelling
chest ^nn++++=chest,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
roll ^nn++++=roll
and ^cc++++=and
stretch ^nn++++=stretch
at ^rb++++=at
ease ^nn++++=ease.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
haply ^rb+cnj+++=haply,
, ^zz++++=EXTRAWORD
faithful ^jj+atrb+++=faithful
one ^pn++++=one,
, ^zz++++=EXTRAWORD
weary ^jj++++=weary
as ^ql++++=as
I ^pp1a+pp1+++=I,
, ^zz++++=EXTRAWORD
thou ^pp2+pp2+++=thou
finally ^rb++++=finally
shalt ^md++++=shalt
seek ^vb++++=seek
some ^dti++++=some
precipice ^nn++++=precipice
from ^in++++=from
which ^whp+rel+pied++=which
to ^to++++=to
cast ^vbi++++=cast
thyself ^ppl++++=thyself;
; ^zz++++=EXTRAWORD
shalt ^md++++=shalt
halt ^vb++++=halt,
, ^zz++++=EXTRAWORD
panting ^vbg+++xvbg+=panting
before ^in++++=before
the ^ati++++=the
mysterious ^jj+atrb+++=mysterious
ocean ^nn++++=ocean
of ^in++++=of
infinity ^nn+nom+++=infinity;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
then ^rn+tm+++=then,
, ^zz++++=EXTRAWORD
with ^in++++=with
foaming ^xvbg+++xvbg+=foaming
mouth ^nn++++=mouth,
, ^zz++++=EXTRAWORD
dilated ^xvbn+++xvbn+=dilated
nostrils ^nns++++=nostrils,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
extended ^jj+atrb++xvbn+=extended
neck ^nn++++=neck
turned ^vbd+++xvbn+=turned
towards ^in++++=towards
the ^ati++++=the
horizon ^nn++++=horizon,
, ^zz++++=EXTRAWORD
thou ^pp2+pp2+++=thou
shalt ^md++++=shalt,
, ^zz++++=EXTRAWORD
as ^ql++++=as
I ^pp1a+pp1+++=I,
, ^zz++++=EXTRAWORD
pray ^vb+vsua+++=pray
for ^in++++=for
eternal ^jj+atrb+++=eternal
sleep ^nn++++=sleep;
; ^zz++++=EXTRAWORD
for ^in++++=for
repose ^nn++++=repose
for ^in++++=for
thy ^pp$+pp2+++=thy
fiery ^jj+atrb+++=fiery
feet ^nns++++=feet;
; ^zz++++=EXTRAWORD
for ^in++++=for
a ^at++++=a
bed ^nn++++=bed
of ^in++++=of
green ^nn++++=green
leaves ^nns++++=leaves,
, ^zz++++=EXTRAWORD
whereon ^wrb+who+++=whereon
reclining ^jj+++xvbg+=reclining
thou ^pp2+pp2+++=thou
canst ^nn+++??+=canst
close ^jj++++=close
thy ^pp$+pp2+++=thy
burning ^jj+atrb++xvbg+=burning
eyes ^nns++++=eyes
forever ^rb++++=forever.
. ^zz++++=EXTRAWORD
There ^rn+pl+++=There,
, ^zz++++=EXTRAWORD
waiting ^vbg+++xvbg+=waiting
motionless ^jj++++=motionless
upon ^in++++=upon
the ^ati++++=the
brink ^nn++++=brink,
, ^zz++++=EXTRAWORD
thou ^pp2+pp2+++=thou
shalt ^md++++=shalt
desire ^vb++++=desire
a ^at++++=a
power ^nn++++=power
stronger ^jjr++++=stronger
than ^in++++=than
thyself ^ppl++++=thyself
to ^to++++=to
kill ^vbi++++=kill
thee ^pp2+pp2+++=thee
at ^in++++=at
a ^at++++=a
single ^jj+atrb+++=single
blow ^nn++++=blow
shalt ^md++++=shalt
pray ^vb+vsua+++=pray
for ^in++++=for
union ^nn++++=union
with ^in++++=with
the ^ati++++=the
dying ^jj+atrb++xvbg+=dying
storm ^nn++++=storm,
, ^zz++++=EXTRAWORD
the ^ati++++=the
faded ^jj+atrb++xvbn+=faded
flower ^nn++++=flower,
, ^zz++++=EXTRAWORD
the ^ati++++=the
shrunken ^jj+atrb+++=shrunken
corpse ^nn++++=corpse.
. ^zz++++=EXTRAWORD
Thou ^pp2+pp2+++=Thou
shalt ^md++++=shalt
seek ^vb++++=seek
sleep ^nn++++=sleep,
, ^zz++++=EXTRAWORD
because ^cs+cos+++=because
eternal ^jj+atrb+++=eternal
life ^nn++++=life
is ^vbz+bez+vrb++=is
torture ^nn++++=torture,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
tomb ^nn++++=tomb
is ^vbz+bez+vrb++=is
peace ^nn++++=peace.
. ^zz++++=EXTRAWORD
Why ^wrb+who+whq++=Why
are ^vb+ber+vrb++=are
we ^pp1a+pp1+++=we
here ^rn+pl+++=here?
? ^zz++++=EXTRAWORD
What ^wdt+who+++=What
hurricane ^nn++++=hurricane
has ^vbz+hvz+aux++=has
hurled ^vprf+++xvbnx+=hurled
us ^pp1o+pp1+++=us
into ^in++++=into
this ^dt+dem+++=this
abyss ^nn++++=abyss?
? ^zz++++=EXTRAWORD
What ^wdt+who+++=What
tempest ^nn++++=tempest
soon ^rb+tm+++=soon
shall ^md+prd+++=shall
bear ^vb+vprv+++=bear
us ^pp1o+pp1+++=us
away ^rp+pl+++=away
towards ^in++++=towards
the ^ati++++=the
forgotten ^jj+atrb++xvbn+=forgotten
planets ^nns++++=planets
whence ^wrb+who+++=whence
we ^pp1a+pp1+++=we
came ^vbd+++xvbn+=came?
? ^zz++++=EXTRAWORD
Till ^cs+sub+++=Till
then ^rn+tm+++=then,
, ^zz++++=EXTRAWORD
my ^pp$+pp1+++=my
glorious ^jj+atrb+++=glorious
steed ^nn++++=steed,
, ^zz++++=EXTRAWORD
thou ^pp2+pp2+++=thou
shalt ^md++++=shalt
run ^vb+++xvbn+=run
thy ^pp$+pp2+++=thy
course ^nn++++=course;
; ^zz++++=EXTRAWORD
thou ^pp2+pp2+++=thou
mayst ^nn++++=mayst
please ^uh++++=please
thine ^pp$+pp2+++=thine
ear ^nn++++=ear
with ^in++++=with
the ^ati++++=the
crunching ^jj+++xvbg+=crunching
of ^in++++=of
the ^ati++++=the
heads ^nn++++=heads
crushed ^vwbn+++xvbn+=crushed
under ^in++++=under
thy ^pp$+pp2+++=thy
feet ^nns++++=feet.
. ^zz++++=EXTRAWORD
Thy ^pp$+pp2+++=Thy
course ^nn++++=course
is ^vbz+bez+vrb++=is
long ^rb+cnj+++=long,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
courage ^nn+nom+++=courage!
! ^zz++++=EXTRAWORD
Long ^rb++++=Long
time ^nn++++=time
hast ^&fw++++=hast
thou ^pp2+pp2+++=thou
carried ^vbd+++xvbn+=carried
me ^pp1o+pp1+++=me:
: ^zz++++=EXTRAWORD
but ^cc+cls+++=but
longer ^rbr++++=longer
time ^nn++++=time
still ^rb++++=still
must ^md+nec+++=must
elapse ^vb++++=elapse,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
yet ^rb++++=yet
we ^pp1a+pp1+++=we
shall ^md+prd+++=shall
not ^xnot++not++=not
age ^nn++++=age.
. ^zz++++=EXTRAWORD
Stars ^nns++++=Stars
may ^md+pos+++=may
be ^vb+be+aux++=be
quenched ^vpsv++agls+xvbnx+=quenched,
, ^zz++++=EXTRAWORD
the ^ati++++=the
mountains ^nns++++=mountains
crumble ^vb++++=crumble,
, ^zz++++=EXTRAWORD
the ^ati++++=the
earth ^nn++++=earth
finally ^rb++++=finally
wear ^vb++++=wear
away ^rp+pl+++=away
its ^pp$+it+++=its
diamond ^nn++++=diamond
axis ^nn++++=axis;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
we ^pp1a+pp1+++=we
two ^cd++++=two,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
alone ^rb++++=alone
are ^vb+ber+vrb++=are
immortal ^jj+pred+++=immortal,
, ^zz++++=EXTRAWORD
for ^in++++=for
the ^ati++++=the
impalpable ^jj+atrb+++=impalpable
lives ^nns++++=lives
forever ^rb++++=forever!
! ^zz++++=EXTRAWORD
But ^cc+cls+++=But
today ^nr+tm+++=to-day
them ^pp3o+pp3+++=them
canst ^nn+++??+=canst
lie ^vb++++=lie
at ^rb++++=at
my ^pp$+pp1+++=my
feet ^nns++++=feet,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
polish ^jj++++=polish
thy ^pp$+pp2+++=thy
teeth ^nns++++=teeth
against ^in++++=against
the ^ati++++=the
moss ^np++++=moss-grown
- ^zz++++=EXTRAWORD
grown ^xvbn+++xvbn+=EXTRAWORD
tombs ^nns++++=tombs,
, ^zz++++=EXTRAWORD
for ^in++++=for
Satan ^np++++=Satan
has ^vbz+hvz+aux++=has
abandoned ^vprf+++xvbnx+=abandoned
me ^pp1o+pp1+++=me,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
power ^nn++++=power
unknown ^jj++++=unknown
compels ^vbz++++=compels
me ^pp1o+pp1+++=me
to ^to++++=to
obey ^vbi++++=obey
his ^pp$+pp3+++=his
will ^md+prd+++=will.
. ^zz++++=EXTRAWORD
Lo ^np++++=Lo!
! ^zz++++=EXTRAWORD
the ^ati++++=the
dead ^nn++++=dead
seek ^vb++++=seek
to ^to+vcmp+++=to
rise ^vbi++++=rise
from ^in++++=from
their ^pp$+pp3+++=their
graves ^nns++++=graves.
. ^zz++++=EXTRAWORD
Satan ^np++++=Satan,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
love ^nn++++=love
thee ^pp2+pp2+++=thee!
! ^zz++++=EXTRAWORD
Thou ^pp2+pp2+++=Thou
alone ^rb++++=alone
canst ^nn+++??+=canst
comprehend ^nn+++??+=comprehend
my ^pp$+pp1+++=my
joys ^nns++++=joys
and ^cc++++=and
my ^pp$+pp1+++=my
deliriums ^nns+++??+=deliriums.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But,
, ^zz++++=EXTRAWORD
more ^rbr++++=more
fortunate ^jj++++=fortunate
than ^cs+sub+++=than
I ^pp1a+pp1+++=I,
, ^zz++++=EXTRAWORD
thou ^pp2+pp2+++=thou
wilt ^md+prd+++=wilt
some ^dti++++=some
day ^nn++++=day,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
earth ^nn++++=earth
shall ^md+prd+++=shall
be ^vb+be+vrb++=be
no ^at++++=no
more ^rbr++++=more,
, ^zz++++=EXTRAWORD
recline ^vb++++=recline
and ^cc++++=and
sleep ^nn++++=sleep
within ^in++++=within
the ^ati++++=the
realms ^nns++++=realms
of ^in++++=of
space ^nn++++=space.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
I ^pp1a+pp1+++=I,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
have ^vb+hv+aux++=have
lived ^vprf+++xvbnx+=lived
so ^ql++++=so
long ^rb+cnj+++=long,
, ^zz++++=EXTRAWORD
have ^vb+hv+aux++=have
worked ^vprf+++xvbnx+=worked
so ^pn++++=so
ceaselessly ^rb+cnj+++=ceaselessly,
, ^zz++++=EXTRAWORD
with ^in++++=with
only ^rb+down+++=only
virtuous ^jj+atrb+++=virtuous
loves ^nns++++=loves
and ^cc++++=and
solemn ^jj+atrb+++=solemn
thoughts ^nns++++=thoughts,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
must ^md+nec+++=must
endure ^vb++++=endure
immortality ^nn+nom+++=immortality.
. ^zz++++=EXTRAWORD
Man ^nn++++=Man
has ^vbz+hvz+vrb++=has
his ^pp$+pp3+++=his
tomb ^nn++++=tomb,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
glory ^nn++++=glory
its ^pp$+it+++=its
oblivion ^nn++++=oblivion;
; ^zz++++=EXTRAWORD
the ^ati++++=the
day ^nn++++=day
dies ^vbz++++=dies
into ^in++++=into
night ^nn++++=night
but ^cc++++=but
I ^pp1a+pp1+++=I
! ^zz++++=!
And ^cc+cls+++=And
I ^pp1a+pp1+++=I
am ^vb+bem+aux++=am
doomed ^jj++agls+xvbnx+=doomed
to ^to+jcmp+++=to
lasting ^vbg+++xvbg+=lasting
solitude ^nn++++=solitude
upon ^in++++=upon
my ^pp$+pp1+++=my
way ^nn++++=way,
, ^zz++++=EXTRAWORD
strewn ^j+++xvbn+=strewn
with ^in++++=with
the ^ati++++=the
bones ^nns++++=bones
of ^in++++=of
men ^nns++++=men
and ^cc++++=and
marked ^vpsv++by+xvbn+=marked
by ^in++++=by
ruins ^nns++++=ruins.
. ^zz++++=EXTRAWORD
Angels ^nns++++=Angels
have ^vb+hv+vrb++=have
fellow ^jjb++++=fellow-angels;
- ^zz++++=EXTRAWORD
angels ^nns++++=EXTRAWORD
; ^zz++++=EXTRAWORD
demons ^nns++++=demons
their ^pp$+pp3+++=their
companions ^nns++++=companions
of ^in++++=of
darkness ^nns+nom+++=darkness;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
I ^pp1a+pp1+++=I
hear ^vb+vprv+++=hear
only ^rb+down+++=only
sounds ^nns++++=sounds
of ^in++++=of
a ^at++++=a
clanking ^jj+atrb++xvbg+=clanking
scythe ^nn++++=scythe,
, ^zz++++=EXTRAWORD
my ^pp$+pp1+++=my
whistling ^jj+atrb+++=whistling
arrows ^nns++++=arrows,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
my ^pp$+pp1+++=my
speeding ^nvbg+++xvbg+=speeding
horse ^nn++++=horse.
. ^zz++++=EXTRAWORD
Always ^rb++++=Always
the ^ati++++=the
echo ^nn++++=echo
of ^in++++=of
the ^ati++++=the
surging ^nn++++=surging
billows ^nns+++??+=billows
that ^tht+rel+obj++=that
sweep ^nn++++=sweep
over ^in++++=over
and ^cc++++=and
engulf ^vb++++=engulf
mankind ^nn++++=mankind!
! ^zz++++=EXTRAWORD
Satan ^np++++=SATAN.
. ^zz++++=EXTRAWORD
Dost ^np+++??+=Dost
thou ^pp2+pp2+++=thou
complain ^vb+vpub+++=complain,
, ^zz++++=EXTRAWORD
thou ^pp2+pp2+++=thou,
, ^zz++++=EXTRAWORD
the ^ati++++=the
most ^ql+emph+++=most
fortunate ^jj+atrb+++=fortunate
creature ^nn++++=creature
under ^in++++=under
heaven ^nn++++=heaven?
? ^zz++++=EXTRAWORD
The ^ati++++=The
only ^rb+cnj+++=only,
, ^zz++++=EXTRAWORD
splendid ^jj++++=splendid,
, ^zz++++=EXTRAWORD
great ^jj++++=great,
, ^zz++++=EXTRAWORD
unchangeable ^jj+atrb+++=unchangeable,
, ^zz++++=EXTRAWORD
eternal ^jj+atrb+++=eternal
one ^pn++++=one
like ^in++++=like
God ^np++++=God,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
is ^vbz+bez+aux++=is
the ^ati++++=the
only ^rb+down+++=only
Being ^vbg+beg++xvbg+=Being
that ^tht+vcmp+++=that
equals ^nns++++=equals
thee ^pp2+pp2+++=thee!
! ^zz++++=EXTRAWORD
Dost ^np+++??+=Dost
thou ^pp2+pp2+++=thou
repine ^nn+++??+=repine,
, ^zz++++=EXTRAWORD
who ^whp+rel+obj++=who
some ^dti++++=some
day ^nn++++=day
in ^in++++=in
thy ^pp$+pp2+++=thy
turn ^nn++++=turn
shalt ^md++++=shalt
disappear ^vb+seem+++=disappear
forever ^rb+cnj+++=forever,
, ^zz++++=EXTRAWORD
after ^cs+sub+++=after
thou ^pp2+pp2+++=thou
hast ^&fw++++=hast
crushed ^vbd+++xvbn+=crushed
the ^ati++++=the
universe ^nn++++=universe
beneath ^in+pl+++=beneath
thy ^pp$+pp2+++=thy
horse ^nn++++=horse's
's ^$++++=EXTRAWORD
feet ^nns++++=feet?
? ^zz++++=EXTRAWORD
When ^wrb+who+++=When
God ^np++++=God's
's ^$++++=EXTRAWORD
work ^nn++++=work
of ^in++++=of
creating ^xvbg+++xvbg+=creating
has ^vbz+hvz+aux++=has
ceased ^vprf+++xvbnx+=ceased;
; ^zz++++=EXTRAWORD
when ^wrb+who+++=when
the ^ati++++=the
heavens ^nns++++=heavens
have ^vb+hv+aux++=have
disappeared ^vprf+++xvbnx+=disappeared
and ^cc++++=and
the ^ati++++=the
stars ^nns++++=stars
are ^vb+ber+aux++=are
quenched ^vpsv++agls+xvbnx+=quenched;
; ^zz++++=EXTRAWORD
when ^wrb+who+++=when
spirits ^nns++++=spirits
rise ^nn++++=rise
from ^in++++=from
their ^pp$+pp3+++=their
retreats ^nns++++=retreats
and ^cc++++=and
wander ^vb++++=wander
in ^in++++=in
the ^ati++++=the
depths ^nns++++=depths
with ^in++++=with
sighs ^nns++++=sighs
and ^cc++++=and
groans ^nn++++=groans;
; ^zz++++=EXTRAWORD
then ^rn+tm+++=then,
, ^zz++++=EXTRAWORD
what ^wdt+who+++=what
unpicturable ^jj+atrb+++=unpicturable
delight ^nn++++=delight
for ^in++++=for
thee ^pp2+pp2+++=thee!
! ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
shalt ^md++++=shalt
thou ^pp2+pp2+++=thou
sit ^vb++++=sit
on ^in++++=on
the ^ati++++=the
eternal ^jj+atrb+++=eternal
thrones ^nns+++??+=thrones
of ^in++++=of
heaven ^nn++++=heaven
and ^cc++++=and
of ^in++++=of
hell ^nn++++=hell
shalt ^md++++=shalt
overthrow ^vb++++=overthrow
the ^ati++++=the
planets ^nns++++=planets,
, ^zz++++=EXTRAWORD
stars ^nns++++=stars,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
worlds ^nns++++=worlds
shalt ^md++++=shalt
loose ^jj++++=loose
thy ^pp$+pp2+++=thy
steed ^nn++++=steed
in ^in++++=in
fields ^nns++++=fields
of ^in++++=of
emeralds ^nns+++??+=emeralds
and ^cc++++=and
diamonds ^nns++++=diamonds
shalt ^md++++=shalt
make ^vb++++=make
his ^pp$+pp3+++=his
litter ^nn++++=litter
of ^in++++=of
the ^ati++++=the
wings ^nns++++=wings
torn ^vbd+++xvbn+=torn
from ^in++++=from
the ^ati++++=the
angels ^nns++++=angels,
, ^zz++++=EXTRAWORD
shalt ^md++++=shalt
cover ^vb++++=cover
him ^pp3o+pp3+++=him
with ^in++++=with
the ^ati++++=the
robe ^nn++++=robe
of ^in++++=of
righteousness ^nns+nom+++=righteousness!
! ^zz++++=EXTRAWORD
Thy ^pp$+pp2+++=Thy
saddle ^nn++++=saddle
shall ^md+prd+++=shall
be ^vb+be+aux++=be
broidered ^vpsv++agls+xvbnx+=broidered
with ^in++++=with
the ^ati++++=the
stars ^nns++++=stars
of ^in++++=of
the ^ati++++=the
empyrean ^nn+nom+++=empyrean,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
then ^rn+tm+++=then
thou ^pp2+pp2+++=thou
wilt ^md+prd+++=wilt
destroy ^vb++++=destroy
it ^pp3+it+++=it!
! ^zz++++=EXTRAWORD
After ^cs+sub+++=After
thou ^pp2+pp2+++=thou
hast ^&fw++++=hast
annihilated ^vbd+++xvbn+=annihilated
everything ^pn++++=everything,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
naught ^vbd+++xvbn+=naught
remains ^nns++++=remains
but ^cc++++=but
empty ^jj+atrb+++=empty
space ^nn++++=space,
, ^zz++++=EXTRAWORD
thy ^pp$+pp2+++=thy
coffin ^nn++++=coffin
shattered ^vbd+++xvbn+=shattered
and ^cc++++=and
thine ^pp$+pp2+++=thine
arrows ^nns++++=arrows
broken ^vbd+++xvbn+=broken,
, ^zz++++=EXTRAWORD
then ^rn+tm+++=then
make ^vb++++=make
thyself ^ppl++++=thyself
a ^at++++=a
crown ^nn++++=crown
of ^in++++=of
stone ^nn++++=stone
from ^in++++=from
heaven ^nn++++=heaven's
's ^vbz+bez+vrb++0=EXTRAWORD
highest ^jjt+atrb+++=highest
mount ^nn++++=mount,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
cast ^nn+++xvbn+=cast
thyself ^ppl++++=thyself
into ^in++++=into
the ^ati++++=the
abyss ^nn++++=abyss
of ^in++++=of
oblivion ^nn++++=oblivion.
. ^zz++++=EXTRAWORD
Thy ^pp$+pp2+++=Thy
fall ^nn++++=fall
may ^md+pos+++=may
last ^rb++++=last
a ^at++++=a
million ^cd++++=million
aeons ^nns+++??+=aeons,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
thou ^pp2+pp2+++=thou
shalt ^md++++=shalt
die ^vb++++=die
at ^rb++++=at
last ^rb"++++=last.
. ^zz++++=EXTRAWORD
Because ^cs+cos+++=Because
the ^ati++++=the
world ^nn++++=world
must ^md+nec+++=must
end ^vb++++=end;
; ^zz++++=EXTRAWORD
all ^abn++++=all,
, ^zz++++=EXTRAWORD
all ^abn++++=all
must ^md+nec+++=must
die ^vb++++=die,
, ^zz++++=EXTRAWORD
except ^in++++=except
Satan ^np++++=Satan!
! ^zz++++=EXTRAWORD
Immortal ^jj++++=Immortal
more ^ql++++=more
than ^cs+sub+++=than
God ^np++++=God!
! ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
live ^vb++++=live
to ^to++++=to
bring ^vbi++++=bring
chaos ^nn++++=chaos
into ^in++++=into
other ^ap++++=other
worlds ^nns++++=worlds!
! ^zz++++=EXTRAWORD
Death ^nn++++=DEATH.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
thou ^pp2+pp2+++=thou
hast ^&fw++++=hast
not ^xnot++not++=not,
, ^zz++++=EXTRAWORD
as ^ql++++=as
I ^pp1a+pp1+++=I,
, ^zz++++=EXTRAWORD
this ^dt+dem+++=this
vista ^nn++++=vista
of ^in++++=of
eternal ^jj+atrb+++=eternal
nothingness ^nns+nom+++=nothingness
before ^in++++=before
thee ^pp2+pp2+++=thee;
; ^zz++++=EXTRAWORD
thou ^pp2+pp2+++=thou
dost ^nn+++??+=dost
not ^xnot++not++=not
suffer ^vb++++=suffer
with ^in++++=with
this ^dt+dem+++=this
death ^nn++++=death-like
- ^zz++++=EXTRAWORD
like ^in++++=EXTRAWORD
cold ^jj++++=cold,
, ^zz++++=EXTRAWORD
as ^ql++++=as
I ^pp1a+pp1+++=I.
. ^zz++++=EXTRAWORD
Satan ^np++++=SATAN.
. ^zz++++=EXTRAWORD
Nay ^uh++++=Nay,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
I ^pp1a+pp1+++=I
quiver ^nn++++=quiver
under ^in++++=under
fierce ^jj+atrb+++=fierce
and ^cc+phrs+++=and
unrelaxing ^jj+atrb++xvbg+=unrelaxing
hearts ^nns++++=hearts
of ^in++++=of
molten ^jj+atrb+++=molten
lava ^nn++++=lava,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
burn ^vb++++=burn
the ^ati++++=the
doomed ^jj+++xvbn+=doomed
and ^cc++++=and
which ^whp+rel+obj++=which
even ^rb++++0=e'en
I ^pp1a+pp1+++=I
cannot ^md+pos+not++=cannot
escape ^vb++++=escape.
. ^zz++++=EXTRAWORD
For ^in++++=For
thou ^pp2+pp2+++=thou,
, ^zz++++=EXTRAWORD
at ^rb++++=at
least ^rb"++++=least,
, ^zz++++=EXTRAWORD
hast ^&fw++++=hast
only ^rb+down+++=only
to ^to++++=to
destroy ^vbi++++=destroy.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
I ^pp1a+pp1+++=I
bring ^vb++++=bring
birth ^nn++++=birth
and ^cc++++=and
I ^pp1a+pp1+++=I
give ^vb++++=give
life ^nn++++=life.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
direct ^jj+atrb+++=direct
empires ^nns++++=empires
and ^cc++++=and
govern ^vb++++=govern
the ^ati++++=the
affairs ^nns++++=affairs
of ^in++++=of
States ^np++++=States
and ^cc++++=and
of ^in++++=of
hearts ^nns++++=hearts.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
must ^md+nec+++=must
be ^vb+be+vrb++=be
everywhere ^rb++++=everywhere.
