Eight ^cd++++=Eight
up ^rb+phrv+++=up
a ^at++++=a
bold ^jj+atrb+++=bold
face ^nn++++=face.
. ^zz++++=EXTRAWORD
Little ^ap++++=Little
Chandler ^np+nom+++=Chandler
remembered ^vwbn+vprv++xvbn+=remembered
( ^zz++++=(and
and ^cc++++=EXTRAWORD
the ^ati++++=the
remembrance ^nn+nom+++=remembrance
brought ^vbd+++xvbn+=brought
a ^at++++=a
slight ^jj++++=slight
flush ^rb++++=flush
of ^in++++=of
pride ^nn++++=pride
to ^in++++=to
his ^pp$+pp3+++=his
cheek ^nn++++=cheek)
) ^zz++++=EXTRAWORD
one ^pn++++=one
of ^in++++=of
Ignatius ^np+++??+=Ignatius
Gallaher ^np+nom+++=Gallaher's
's ^$++++=EXTRAWORD
sayings ^nns+++??+=sayings
when ^wrb+who+++=when
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
in ^in++++=in
a ^at++++=a
tight ^jj+atrb+++=tight
corner ^npl++++=corner:
: ^zz++++=EXTRAWORD
` ^zz++++=`Half-time
half ^abn++++=EXTRAWORD
- ^zz++++=EXTRAWORD
time ^nn++++=EXTRAWORD
now ^rn+tm+++=now,
, ^zz++++=EXTRAWORD
boys ^nns++++=boys,'
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
used ^md"++pmd"++=used
to ^to++++=to
say ^vb+vpub+++=say
light ^nn++++=light-heartedly.
- ^zz++++=EXTRAWORD
heartedly ^jj++++=EXTRAWORD
. ^zz++++=EXTRAWORD
` ^zz++++=`Where's
where ^wrb+who+++=EXTRAWORD
's ^vbz+bez+vrb++0=EXTRAWORD
my ^pp$+pp1+++=my
considering ^vbg+++xvbg+=considering
cap ^nn++++=cap?'
? ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
That ^dt+pdem+++=That
was ^vbd+bedz+vrb++=was
Ignatius ^np+++??+=Ignatius
Gallaher ^np+nom++??+=Gallaher
all ^rb++++=all
out ^rp+pl+++=out;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and,
, ^zz++++=EXTRAWORD
damn ^vb++++=damn
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
could ^md+pos+++=couldn't
n't ^xnot++not++0=EXTRAWORD
but ^cc++++=but
admire ^vb++++=admire
him ^pp3o+pp3+++=him
for ^in++++=for
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
Little ^ap++++=Little
Chandler ^np+nom+++=Chandler
quickened ^vbd+++xvbn+=quickened
his ^pp$+pp3+++=his
pace ^nn++++=pace.
. ^zz++++=EXTRAWORD
For ^in++++=For
the ^ati++++=the
first ^od++++=first
time ^nn++++=time
in ^in++++=in
his ^pp$+pp3+++=his
life ^nn++++=life
he ^pp3a+pp3+++=he
felt ^vbd+vprv+tht0+xvbnx+=felt
himself ^ppl+pp3+++=himself
superior ^jj++++=superior
to ^in++++=to
the ^ati++++=the
people ^nn++++=people
he ^pp3a+pp3+++=he
passed ^vbd+++xvbnx+=passed.
. ^zz++++=EXTRAWORD
For ^in++++=For
the ^ati++++=the
first ^od++++=first
time ^nn++++=time
his ^pp$+pp3+++=his
soul ^nn++++=soul
revolted ^vbd+++xvbn+=revolted
against ^in++++=against
the ^ati++++=the
dull ^jj+atrb+++=dull
inelegance ^nn+nom+++=inelegance
of ^in++++=of
Capel ^np+++??+=Capel
Street ^nn++++=Street.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
was ^vbd+bedz+vrb++=was
no ^at++++=no
doubt ^nn++++=doubt
about ^in++++=about
it ^pp3+it+++=it:
: ^zz++++=EXTRAWORD
if ^cs+cnd+++=if
you ^pp2+pp2+++=you
wanted ^vbd+++xvbn+=wanted
to ^to+vcmp+++=to
succeed ^vbi++++=succeed
you ^pp2+pp2+++=you
had ^md"++pmd"++=had
to ^md+nec+++=to
go ^vb++++=go
away ^rp+pl+++=away.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
could ^md+pos+++=could
do ^vb+do+vrb++=do
nothing ^pn++++=nothing
in ^in++++=in
Dublin ^np++++=Dublin.
. ^zz++++=EXTRAWORD
As ^ql++++=As
he ^pp3a+pp3+++=he
crossed ^vbd+++xvbnx+=crossed
Grattan ^np+++??+=Grattan
Bridge ^nn++++=Bridge
he ^pp3a+pp3+++=he
looked ^vbd+++xvbnx+=looked
down ^rp++++=down
the ^ati++++=the
river ^nn++++=river
towards ^in++++=towards
the ^ati++++=the
lower ^jjr+atrb+++=lower
quays ^nns++++=quays
and ^cc++++=and
pitied ^vbd+++xvbn+=pitied
the ^ati++++=the
poor ^jj+atrb+++=poor
stunted ^jj+atrb+++=stunted
houses ^nns++++=houses.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
seemed ^vbd+seem++xvbnx+=seemed
to ^to+vcmp+++=to
him ^vbi++++=him
a ^at++++=a
band ^nn++++=band
of ^in++++=of
tramps ^nns+++??+=tramps,
, ^zz++++=EXTRAWORD
huddled ^j+++xvbn+=huddled
together ^nn+nom+++=together
along ^in++++=along
the ^ati++++=the
river ^nn++++=river-banks,
- ^zz++++=EXTRAWORD
banks ^nns++++=EXTRAWORD
, ^zz++++=EXTRAWORD
their ^pp$+pp3+++=their
old ^jj+atrb+++=old
coats ^nns++++=coats
covered ^vbd+++xvbn+=covered
with ^in++++=with
dust ^nn++++=dust
and ^cc++++=and
soot ^nn++++=soot,
, ^zz++++=EXTRAWORD
stupefied ^xvbn+++xvbn+=stupefied
by ^in++++=by
the ^ati++++=the
panorama ^nn++++=panorama
of ^in++++=of
sunset ^nn++++=sunset
and ^cc++++=and
waiting ^nvbg+++xvbg+=waiting
for ^in++++=for
the ^ati++++=the
first ^od++++=first
chill ^vb++++=chill
of ^in++++=of
night ^nn++++=night
to ^to++++=to
bid ^vbi++++=bid
them ^pp3o+pp3+++=them
arise ^vb++++=arise,
, ^zz++++=EXTRAWORD
shake ^vb++++=shake
themselves ^ppls+pp3+++=themselves
and ^cc++++=and
begone ^nn+++??+=begone.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
wondered ^vbd+vprv++xvbnx+=wondered
whether ^cs+who+++=whether
he ^pp3a+pp3+++=he
could ^md+pos+++=could
write ^vb++++=write
a ^at++++=a
poem ^nn++++=poem
to ^to++++=to
express ^nns+nom+++=express
his ^pp$+pp3+++=his
idea ^nn++++=idea.
. ^zz++++=EXTRAWORD
Perhaps ^rb++++=Perhaps
Gallaher ^np+nom++??+=Gallaher
might ^md+pos+++=might
be ^vb+be+vrb++=be
able ^jj++pmd"++=able
to ^to+jcmp+pmd++=to
get ^vb++++=get
it ^pp3+it+++=it
into ^in++++=into
some ^dti++++=some
London ^np++++=London
paper ^nn++++=paper
for ^in++++=for
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
Could ^md+pos+++=Could
he ^pp3a+pp3+++=he
write ^vb++++=write
something ^pn++++=something
original ^jj++++=original?
? ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+vrb++=was
not ^xnot++not++=not
sure ^jj++++=sure
what ^wdt+who+++=what
idea ^nn++++=idea
he ^pp3a+pp3+++=he
wished ^vbd+vprv++xvbnx+=wished
to ^to+vcmp+++=to
express ^nns+nom+++=express,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
the ^ati++++=the
thought ^vprf+++xvbn+=thought
that ^tht+vcmp+++=that
a ^at++++=a
poetic ^jj+atrb+++=poetic
moment ^nn++++=moment
had ^vbd+hvd+aux++=had
touched ^vprf+++xvbnx+=touched
him ^pp3o+pp3+++=him
took ^vbd+++xvbn+=took
life ^nn++++=life
within ^in++++=within
him ^pp3o+pp3+++=him
like ^in++++=like
an ^at++++=an
infant ^nn++++=infant
hope ^nn++++=hope.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
stepped ^vbd+++xvbnx+=stepped
onward ^jjb++++=onward
bravely ^rb++++=bravely.
. ^zz++++=EXTRAWORD
Every ^at++++=Every
step ^nn++++=step
brought ^vbd+++xvbn+=brought
him ^pp3o+pp3+++=him
nearer ^in+cmpx+++=nearer
to ^in++++=to
London ^np++++=London,
, ^zz++++=EXTRAWORD
farther ^rbr++++=farther
from ^in++++=from
his ^pp$+pp3+++=his
own ^ap++++=own
sober ^jj+atrb+++=sober
inartistic ^nn++++=inartistic
life ^nn++++=life.
. ^zz++++=EXTRAWORD
A ^at++++=A
light ^nn++++=light
began ^vbd+++xvbn+=began
to ^to++++=to
tremble ^vbi++++=tremble
on ^in++++=on
the ^ati++++=the
horizon ^nn++++=horizon
of ^in++++=of
his ^pp$+pp3+++=his
mind ^nn++++=mind.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+vrb++=was
not ^xnot++not++=not
so ^rb+emph+++=so
old ^jj++++=old
thirty ^cd++++=thirty-two.
- ^zz++++=EXTRAWORD
two ^cd++++=EXTRAWORD
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
temperament ^nn+nom+++=temperament
might ^md+pos+++=might
be ^vb+be+aux++=be
said ^vpsv++agls+xvbnx+=said
to ^to+vcmp+++=to
be ^vbi++vrb++=be
just ^rb+emph+++=just
at ^in++++=at
the ^ati++++=the
point ^nn++++=point
of ^in++++=of
maturity ^nn+nom+++=maturity.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
were ^vbd+bed+vrb++=were
so ^ql++++=so
many ^ap++++=many
different ^jj+atrb+++=different
moods ^nns++++=moods
and ^cc++++=and
impressions ^nns++++=impressions
that ^tht+rel+obj++=that
he ^pp3a+pp3+++=he
wished ^vbd+vprv++xvbnx+=wished
to ^to+vcmp+++=to
express ^nns+nom+++=express
in ^in++++=in
verse ^nn++++=verse.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
felt ^vbd+vprv++xvbnx+=felt
them ^pp3o+pp3+++=them
within ^in++++=within
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
tried ^vbd+++xvbnx+=tried
to ^to+vcmp+++=to
weigh ^vbi++++=weigh
his ^pp$+pp3+++=his
soul ^nn++++=soul
to ^to++++=to
see ^vbi+vprv+++=see
if ^cs+cnd+++=if
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
a ^at++++=a
poet ^nn++++=poet's
's ^$++++=EXTRAWORD
soul ^nn++++=soul.
. ^zz++++=EXTRAWORD
Melancholy ^jj++++=Melancholy
was ^vbd+bedz+vrb++=was
the ^ati++++=the
dominant ^jj+atrb+++=dominant
note ^nn++++=note
of ^in++++=of
his ^pp$+pp3+++=his
temperament ^nn+nom+++=temperament,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
thought ^vbd+++xvbnx+=thought,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
a ^at++++=a
melancholy ^nn++++=melancholy
tempered ^vwbn+++xvbn+=tempered
by ^in++++=by
recurrences ^nns+nom+++=recurrences
of ^in++++=of
faith ^nn++++=faith
and ^cc++++=and
resignation ^nn+nom+++=resignation
and ^cc++++=and
simple ^jj+atrb+++=simple
joy ^nn++++=joy.
. ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
he ^pp3a+pp3+++=he
could ^md+pos+++=could
give ^vb++++=give
expression ^nn++++=expression
to ^in++++=to
it ^pp3+it+++=it
in ^in++++=in
a ^at++++=a
book ^nn++++=book
of ^in++++=of
poems ^nns++++=poems
perhaps ^rb++++=perhaps
men ^nns++++=men
would ^md+prd+++=would
listen ^vb++++=listen.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
would ^md+prd+++=would
never ^rb++++=never
be ^vb+be+vrb++=be
popular ^jj+pred+++=popular:
: ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
saw ^vbd+vprv+tht0+xvbnx+=saw
that ^tht+vcmp+++=that.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
could ^md+pos+++=could
not ^xnot++not++=not
sway ^vb++++=sway
the ^ati++++=the
crowd ^nn++++=crowd,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
he ^pp3a+pp3+++=he
might ^md+pos+++=might
appeal ^vb++++=appeal
to ^in++++=to
a ^rb++++=a
little ^rb"++++=little
circle ^nn++++=circle
of ^in++++=of
kindred ^nn++++=kindred
minds ^nns++++=minds.
. ^zz++++=EXTRAWORD
The ^ati++++=The
English ^jj+atrb+++=English
critics ^nns++++=critics,
, ^zz++++=EXTRAWORD
perhaps ^rb+cnj+++=perhaps,
, ^zz++++=EXTRAWORD
would ^md+prd+++=would
recognize ^vb+vprv+++=recognize
him ^pp3o+pp3+++=him
as ^ql++++=as
one ^pn++++=one
of ^in++++=of
the ^ati++++=the
Celtic ^jj+atrb+++=Celtic
school ^nn++++=school
by ^in++++=by
reason ^nn++++=reason
of ^in++++=of
the ^ati++++=the
melancholy ^jj+atrb+++=melancholy
tone ^nn++++=tone
of ^in++++=of
his ^pp$+pp3+++=his
poems ^nns++++=poems;
; ^zz++++=EXTRAWORD
besides ^rb++++=besides
that ^dt+pdem+++=that,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
would ^md+prd+++=would
put ^vb+++xvbn+=put
in ^rb+phrv+++=in
allusions ^nns++++=allusions.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
began ^vbd+++xvbnx+=began
to ^to++++=to
invent ^vbi++++=invent
sentences ^nns+nom+++=sentences
and ^cc++++=and
phrases ^nns++++=phrases
from ^in++++=from
the ^ati++++=the
notice ^nn++++=notice
which ^whp+rel+obj++=which
his ^pp$+pp3+++=his
book ^nn++++=book
would ^md+prd+++=would
get ^vb++++=get.
. ^zz++++=EXTRAWORD
` ^zz++++=`Mr
mr ^npt++++=EXTRAWORD
Chandler ^np+nom+++=Chandler
has ^vbz+hvz+vrb++=has
the ^ati++++=the
gift ^nn++++=gift
of ^in++++=of
easy ^jj+atrb+++=easy
and ^cc+phrs+++=and
graceful ^jj+atrb+++=graceful
verse ^nn++++=verse'...
'... ^nn+++??+=EXTRAWORD
` ^zz++++=`A
a ^at++++=EXTRAWORD
wistful ^jj+atrb+++=wistful
sadness ^nns+nom+++=sadness
pervades ^vbz++++=pervades
these ^dt+dem+++=these
poems ^nns++++=poems'...
'... ^nn+++??+=EXTRAWORD
` ^zz++++=`The
the ^ati++++=EXTRAWORD
Celtic ^jj+atrb+++=Celtic
note ^nn++++=note'.
'. ^nn+++??+=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
a ^at++++=a
pity ^nn++++=pity
his ^pp$+pp3+++=his
name ^nn++++=name
was ^vbd+bedz+vrb++=was
not ^xnot++not++=not
more ^ql++++=more
Irish ^jj++++=Irish-looking.
- ^zz++++=EXTRAWORD
looking ^vbg+++xvbg+=EXTRAWORD
. ^zz++++=EXTRAWORD
Perhaps ^rb++++=Perhaps
it ^pp3+it+++=it
would ^md+prd+++=would
be ^vb+be+vrb++=be
better ^jjr+pred+++=better
to ^to+jcmp+++=to
insert ^vbi++++=insert
his ^pp$+pp3+++=his
mother ^nn++++=mother's
's ^$++++=EXTRAWORD
name ^nn++++=name
before ^in++++=before
the ^ati++++=the
surname ^nn++++=surname:
: ^zz++++=EXTRAWORD
Thomas ^np++++=Thomas
Malone ^np++++=Malone
Chandler ^np+nom+++=Chandler;
; ^zz++++=EXTRAWORD
or ^cc+cls+++=or
better ^jjr++++=better
still ^rb++++=still:
: ^zz++++=EXTRAWORD
T ^zz++++=T.
. ^zz++++=EXTRAWORD
Malone ^np++++=Malone
Chandler ^np+nom+++=Chandler.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
would ^md+prd+++=would
speak ^vb++++=speak
to ^in++++=to
Gallaher ^np+nom++??+=Gallaher
about ^in++++=about
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
pursued ^vbd+++xvbnx+=pursued
his ^pp$+pp3+++=his
reverie ^nn++++=reverie
so ^rb++++=so
ardently ^rb++++=ardently
that ^cs+sub+++=that
he ^pp3a+pp3+++=he
passed ^vbd+++xvbnx+=passed
his ^pp$+pp3+++=his
street ^nn++++=street
and ^cc++++=and
had ^md"++pmd"++=had
to ^md+nec+++=to
turn ^vb++++=turn
back ^rb+phrv+++=back.
. ^zz++++=EXTRAWORD
As ^ql++++=As
he ^pp3a+pp3+++=he
came ^vbd+++xvbnx+=came
near ^in+pl+++=near
Corless ^np++++=Corless's
's ^$++++=EXTRAWORD
his ^pp$+pp3+++=his
former ^ap++++=former
agitation ^nn+nom+++=agitation
began ^vbd+++xvbn+=began
to ^to++++=to
overmaster ^nn+nom+++=overmaster
him ^pp3o+pp3+++=him
and ^cc++++=and
he ^pp3a+pp3+++=he
halted ^vbd+++xvbnx+=halted
before ^in++++=before
the ^ati++++=the
door ^nn++++=door
in ^in++++=in
indecision ^nn++++=indecision.
. ^zz++++=EXTRAWORD
Finally ^rb++++=Finally
he ^pp3a+pp3+++=he
opened ^vbd+++xvbnx+=opened
the ^ati++++=the
door ^nn++++=door
and ^cc++++=and
entered ^vbd+++xvbn+=entered.
. ^zz++++=EXTRAWORD
The ^ati++++=The
light ^nn++++=light
and ^cc++++=and
noise ^nn++++=noise
of ^in++++=of
the ^ati++++=the
bar ^nn++++=bar
held ^vbd+vprv++xvbn+=held
him ^pp3o+pp3+++=him
at ^in++++=at
the ^ati++++=the
doorway ^nn++++=doorway
for ^in++++=for
a ^ap++++=a
few ^ap"++++=few
moments ^nns+nom+++=moments.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
looked ^vbd+++xvbnx+=looked
about ^rb++++=about
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
his ^pp$+pp3+++=his
sight ^nn++++=sight
was ^vbd+bedz+aux++=was
confused ^vpsv++by+xvbnx+=confused
by ^in++++=by
the ^ati++++=the
shining ^nn++++=shining
of ^in++++=of
many ^ap++++=many
red ^jj+atrb+++=red
and ^cc+phrs+++=and
green ^jj+atrb+++=green
wine ^nn++++=wine-glasses.
- ^zz++++=EXTRAWORD
glasses ^nns++++=EXTRAWORD
. ^zz++++=EXTRAWORD
The ^ati++++=The
bar ^nn++++=bar
seemed ^vbd+seem++xvbn+=seemed
to ^to+vcmp+++=to
him ^vbi++++=him
to ^to++++=to
be ^vbi++vrb++=be
full ^jj+pred+++=full
of ^in++++=of
people ^nns++++=people
and ^cc++++=and
he ^pp3a+pp3+++=he
felt ^vbd+vprv++xvbnx+=felt
that ^tht+vcmp+++=that
the ^ati++++=the
people ^nns++++=people
were ^vbd+bed+aux++=were
observing ^vbg+++xvbgx+=observing
him ^pp3o+pp3+++=him
curiously ^rb++++=curiously.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
glanced ^vbd+++xvbnx+=glanced
quickly ^rb++++=quickly
to ^in++++=to
right ^nn++++=right
and ^cc++++=and
left ^vbd+++xvbn+=left
( ^zz++++=(frowning
frowning ^vbg+++xvbg+=EXTRAWORD
slightly ^rb+down+++=slightly
to ^to++++=to
make ^vbi++++=make
his ^pp$+pp3+++=his
errand ^nn++++=errand
appear ^vb+seem+++=appear
serious ^jj++++=serious),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
when ^wrb+who+++=when
his ^pp$+pp3+++=his
sight ^nn++++=sight
cleared ^vwbn+++xvbn+=cleared
a ^rb++++=a
little ^rb"++++=little
he ^pp3a+pp3+++=he
saw ^vbd+vprv++xvbnx+=saw
that ^tht+vcmp+++=that
nobody ^pn++++=nobody
had ^vbd+hvd+aux++=had
turned ^vprf+++xvbnx+=turned
to ^to++++=to
look ^vbi++++=look
at ^in++++=at
him ^pp3o+pp3+++=him:
: ^zz++++=EXTRAWORD
and ^cc+cls+++=and
there ^rn+pl+++=there,
, ^zz++++=EXTRAWORD
Sure ^jj++++=Sure
enough ^dt++++=enough,
, ^zz++++=EXTRAWORD
was ^vbd+bedz+vrb++=was
Ignatius ^np+++??+=Ignatius
Gallaher ^np+nom++??+=Gallaher
leaning ^vwbg+++xvbg+=leaning
with ^in++++=with
his ^pp$+pp3+++=his
back ^jjb++++=back
against ^in++++=against
the ^ati++++=the
counter ^nn++++=counter
and ^cc++++=and
his ^pp$+pp3+++=his
feet ^nns++++=feet
planted ^vwbn+++xvbn+=planted
far ^rb+pl+++=far
apart ^in+strn+++=apart.
. ^zz++++=EXTRAWORD
` ^zz++++=`Hallo,
hallo ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
Tommy ^np++++=Tommy,
, ^zz++++=EXTRAWORD
old ^jj+atrb+++=old
hero ^nn++++=hero,
, ^zz++++=EXTRAWORD
here ^rn+pl+++=here
you ^pp2+pp2+++=you
are ^vb+ber+vrb++=are!
! ^zz++++=EXTRAWORD
What ^wdt+who+whq++=What
is ^vbz+bez+aux++=is
it ^pp3+it+++=it
to ^to++++=to
be ^vbi++vrb++=be?
? ^zz++++=EXTRAWORD
What ^wdt+who+whq++=What
will ^md+prd+++=will
you ^pp2+pp2+++=you
have ^vb+hv+vrb++=have?
? ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I'm
'm ^vb+bem+aux++0=EXTRAWORD
taking ^vbg+++xvbgx+=taking
whisky ^nn++++=whisky:
: ^zz++++=EXTRAWORD
better ^jjr+atrb+++=better
stuff ^nn++++=stuff
than ^in++++=than
we ^pp1a+pp1+++=we
get ^vb++++=get
across ^in+pl+++=across
the ^ati++++=the
water ^nn++++=water.
. ^zz++++=EXTRAWORD
Soda ^nn++++=Soda?
? ^zz++++=EXTRAWORD
Lithia ^np+++??+=Lithia?
? ^zz++++=EXTRAWORD
No ^at++++=No
mineral ^nn++++=mineral?
? ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I'm
'm ^vb+bem+vrb++0=EXTRAWORD
the ^ati++++=the
same ^ap++++=same.
. ^zz++++=EXTRAWORD
Spoils ^np+++??+=Spoils
the ^ati++++=the
flavour. ^nn+++??+=flavour...
. ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Here ^rn+pl+++=Here,
, ^zz++++=EXTRAWORD
garon ^nn+++??+=garon,
, ^zz++++=EXTRAWORD
bring ^vb++++=bring
us ^pp1o+pp1+++=us
two ^cd++++=two
halves ^nns++++=halves
of ^in++++=of
malt ^jj+atrb++xvbn+=malt
whisky ^nn++++=whisky,
, ^zz++++=EXTRAWORD
like ^in++++=like
a ^at++++=a
good ^jj+atrb+++=good
fellow. ^nn+++??+=fellow...
. ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Well ^rb+cnj+++=Well,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
how ^wrb+who+whq++=how
have ^vb+hv+vrb++=have
you ^pp2+pp2+++=you
been ^vprf+ben+aux+xvbn+=been
pulling ^nvbg+++xvbg+=pulling
along ^in++++=along
since ^cs+sub+++=since
I ^pp1a+pp1+++=I
saw ^vbd+vprv+tht0+xvbnx+=saw
you ^pp2+pp2+++=you
last ^rb++++=last?
? ^zz++++=EXTRAWORD
Dear ^uh++++=Dear
God ^nn++++=God,
, ^zz++++=EXTRAWORD
how ^wrb+who+++=how
old ^jj++++=old
we ^pp1a+pp1+++=we're
're ^vb+ber+aux++0=EXTRAWORD
getting ^vbg+++xvbgx+=getting!
! ^zz++++=EXTRAWORD
Do ^vb+do+aux++=Do
you ^pp2+pp2+++=you
see ^vb+vprv+++=see
any ^dti++++=any
signs ^nns++++=signs
of ^in++++=of
ageing ^xvbg+++xvbg+=ageing
in ^in++++=in
me ^pp1o+pp1+++=me
eh ^uh++++=eh,
, ^zz++++=EXTRAWORD
what ^wdt+who+++=what?
? ^zz++++=EXTRAWORD
A ^rb++++=A
little ^rb"++++=little
grey ^jj++++=grey
and ^cc+phrs+++=and
thin ^jj++++=thin
on ^in++++=on
the ^ati++++=the
top ^jjb++++=top
what ^wdt+who+++=what?'
? ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
Ignatius ^np+++??+=Ignatius
Gallaher ^np+nom++??+=Gallaher
took ^vbd+++xvbn+=took
off ^rb+phrv+++=off
his ^pp$+pp3+++=his
hat ^nn++++=hat
and ^cc++++=and
displayed ^vbd+++xvbn+=displayed
a ^at++++=a
large ^jj++++=large
closely ^rb++++=closely-cropped
- ^zz++++=EXTRAWORD
cropped ^xvbn+++xvbn+=EXTRAWORD
head ^jjb++++=head.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
face ^nn++++=face
was ^vbd+bedz+vrb++=was
heavy ^jj+pred+++=heavy,
, ^zz++++=EXTRAWORD
pale ^nn++++=pale,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
clean ^jj++++=clean-shaven.
- ^zz++++=EXTRAWORD
shaven ^jj++++=EXTRAWORD
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
eyes ^nns++++=eyes,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
were ^vbd+bed+vrb++=were
of ^in++++=of
bluish ^jj+atrb+++=bluish
slate ^nn++++=slate-colour,
- ^zz++++=EXTRAWORD
colour ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
relieved ^j+++xvbn+=relieved
his ^pp$+pp3+++=his
unhealthy ^jj+atrb+++=unhealthy
pallor ^nn++++=pallor
and ^cc++++=and
shone ^vbd+++xvbn+=shone
out ^rp+pl+++=out
plainly ^rb++++=plainly
above ^jjb++++=above
the ^ati++++=the
vivid ^jj+atrb+++=vivid
orange ^np++++=orange
tie ^nn++++=tie
he ^pp3a+pp3+++=he
wore ^vbd+++xvbnx+=wore.
. ^zz++++=EXTRAWORD
Between ^in++++=Between
these ^dt+dem+++=these
rival ^jjb+atrb+++=rival
features ^nns++++=features
the ^ati++++=the
lips ^nns++++=lips
appeared ^vbd+seem++xvbn+=appeared
very ^ql+amp+++=very
long ^rb++++=long
and ^cc++++=and
shapeless ^jj++++=shapeless
and ^cc+phrs+++=and
colourless ^jj++++=colourless.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
bent ^vbd+++xvbnx+=bent
his ^pp$+pp3+++=his
head ^nn++++=head
and ^cc++++=and
felt ^vpsv++agls+xvbn+=felt
with ^in++++=with
two ^cd++++=two
sympathetic ^jj+atrb+++=sympathetic
fingers ^nns+nom+++=fingers
the ^ati++++=the
thin ^jj+atrb+++=thin
hair ^nn++++=hair
at ^in++++=at
the ^ati++++=the
crown ^nn++++=crown.
. ^zz++++=EXTRAWORD
Little ^ap++++=Little
Chandler ^np+nom+++=Chandler
shook ^vbd+++xvbn+=shook
his ^pp$+pp3+++=his
head ^jjb++++=head
as ^in++++=as
a ^at++++=a
denial ^nn++++=denial.
. ^zz++++=EXTRAWORD
Ignatius ^np+++??+=Ignatius
Gallaher ^np+nom++??+=Gallaher
put ^vbd+++xvbn+=put
on ^rb+phrv+++=on
his ^pp$+pp3+++=his
hat ^nn++++=hat
again ^rb+tm+++=again.
. ^zz++++=EXTRAWORD
` ^zz++++=`It
it ^pp3+it+++=EXTRAWORD
pulls ^vbz++++=pulls
you ^pp2+pp2+++=you
down ^rp++++=down,'
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said.
. ^zz++++=EXTRAWORD
` ^zz++++=`Press
press ^nn++++=EXTRAWORD
life ^nn++++=life.
. ^zz++++=EXTRAWORD
Always ^rb++++=Always
hurry ^nn++++=hurry
and ^cc++++=and
scurry ^vb++++=scurry,
, ^zz++++=EXTRAWORD
looking ^vbg+++xvbg+=looking
for ^in++++=for
