During ^in++++=During
soul ^nn++++=soul,
, ^zz++++=EXTRAWORD
Nell ^np++++=Nell,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
cried ^vbd+++xvbnx+=cried,
, ^zz++++=EXTRAWORD
" ^zz++++="this
this ^dt+dem+++=EXTRAWORD
yere ^nn+++??+=yere
ai ^vb+be+++=ain't
n't ^xnot++not++0=EXTRAWORD
fitten ^vb+++xvbn+=fitten
fer ^&fw++++=fer
a ^at++++=a
hog ^nn++++=hog
to ^to++++=to
eat ^vbi++++=eat!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
The ^ati++++=The
girl ^nn++++=girl
did ^vbd+dod+vrb++=did
not ^xnot++not++=not
mind ^nn++++=mind;
; ^zz++++=EXTRAWORD
nor ^cc+cls+neg++=nor
did ^vbd+dod+vrb++=did
Billy ^np++++=Billy.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
the ^ati++++=the
country ^nn++++=country's
's ^$++++=EXTRAWORD
mode ^nn++++=mode
of ^in++++=of
speech ^nn++++=speech.
. ^zz++++=EXTRAWORD
The ^ati++++=The
stranger ^nn++++=stranger
dropped ^vbd+++xvbn+=dropped
his ^pp$+pp3+++=his
knife ^nn++++=knife.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
wonder ^vb++++=wonder
you ^pp2+pp2+++=you
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
like ^vb++++=like
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
then ^rn+tm+++=then,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub+tht0+xvbn+=said
he ^pp3a+pp3+++=he,
, ^zz++++=EXTRAWORD
with ^in++++=with
a ^at++++=a
funny ^jj+atrb+++=funny
little ^jj+atrb+++=little
blaze ^nn++++=blaze
of ^in++++=of
anger ^nn++++=anger.
. ^zz++++=EXTRAWORD
" ^zz++++="Meanin'
meanin ^nn+++??+=EXTRAWORD
' ^zz++++=EXTRAWORD
what ^wdt+who+++=what?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
shouted ^vbd+vpub++xvbn+=shouted
Charley ^np++++=Charley,
, ^zz++++=EXTRAWORD
threateningly ^rb++++=threateningly.
. ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
sure ^jj++++=sure
must ^md+nec+++=mustn't
n't ^xnot++not++0=EXTRAWORD
speak ^vb++++=speak
to ^in++++=to
a ^at++++=a
lady ^npt++++=lady
that ^tht+rel+++=that
way ^nn++++=way,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
replied ^vbd+vpub++xvbn+=replied
the ^ati++++=the
stranger ^nn+nom+++=stranger,
, ^zz++++=EXTRAWORD
firmly ^rb+cnj+++=firmly,
, ^zz++++=EXTRAWORD
in ^in++++=in
his ^pp$+pp3+++=his
little ^jj+atrb+++=little
piping ^nn++++=piping
voice ^nn++++=voice.
. ^zz++++=EXTRAWORD
Billy ^np++++=Billy
caught ^vbd+++xvbn+=caught
the ^ati++++=the
point ^nn++++=point
and ^cc++++=and
exploded ^vpsv++agls+xvbn+=exploded
in ^in++++=in
a ^at++++=a
mighty ^jj+atrb+++=mighty
guffaw ^nn++++=guffaw.
. ^zz++++=EXTRAWORD
" ^zz++++="Bully
bully ^nn++++=EXTRAWORD
fer ^&fw++++=fer
you ^pp2+pp2+++=you!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
cried ^vbd+++xvbnx+=cried,
, ^zz++++=EXTRAWORD
slapping ^jj+++xvbg+=slapping
his ^pp$+pp3+++=his
knee ^nn++++=knee;
; ^zz++++=EXTRAWORD
" ^zz++++="struck
struck ^vprf+++xvbn+=EXTRAWORD
pyrites ^nns++++=pyrites
( ^zz++++=(he
he ^pp3a+pp3+++=EXTRAWORD
pronounced ^vbd+++xvbnx+=pronounced
it ^pp3+it+++=it
pie ^nn++++=pie-rights)
- ^zz++++=EXTRAWORD
rights ^nns++++=EXTRAWORD
) ^zz++++=EXTRAWORD
fer ^&fw++++=fer
shore ^nn++++=shore
that ^tht+rel+++=that
trip ^nn++++=trip,
, ^zz++++=EXTRAWORD
Charley ^np++++=Charley."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
The ^ati++++=The
girl ^nn++++=girl,
, ^zz++++=EXTRAWORD
too ^rb+cnj+++=too,
, ^zz++++=EXTRAWORD
laughed ^j+++xvbn+=laughed,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
quietly ^rb++++=quietly.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
was ^vbd+bedz+vrb++=was
just ^rb+emph+++=just
a ^rb++++=a
little ^rb"++++=little
touched ^vbd+++xvbn+=touched,
, ^zz++++=EXTRAWORD
though ^rb+cnj+++=though
only ^rb+down+++=only
this ^dt+dem+++=this
winter ^nn++++=winter
she ^pp3a+pp3+++=she
had ^vbd+hvd+aux++=had
left ^vprf+++xvbnx+=left
Bismarck ^np++++=Bismarck
because ^cs+cos+++=because
the ^ati++++=the
place ^nn++++=place
would ^md+prd+++=would
have ^vb+hv+vrb++=have
no ^at++++=no
more ^rbr++++=more
of ^in++++=of
her ^pp$+pp3+++=her.
. ^zz++++=EXTRAWORD
In ^in+cmpx+++=In
the ^in"++++=the
face ^in"++++=face
of ^in"++++=of
Billy ^np++++=Billy's
's ^$++++=EXTRAWORD
approval ^nn+nom+++=approval,
, ^zz++++=EXTRAWORD
the ^ati++++=the
patriarch ^nn++++=patriarch
fell ^vbd+++xvbn+=fell
silent ^jj++++=silent.
. ^zz++++=EXTRAWORD
About ^in++++=About
midnight ^nn++++=midnight
the ^ati++++=the
four ^cd++++=four
inmates ^nns+nom+++=inmates
of ^in++++=of
the ^ati++++=the
frontier ^nn+nom+++=frontier
hotel ^nn++++=hotel
were ^vbd+bed+aux++=were
awakened ^vpsv++by+xvbnx+=awakened
by ^in++++=by
a ^at++++=a
tremendous ^jj+atrb+++=tremendous
racket ^nn++++=racket
outside ^jjb++++=outside.
. ^zz++++=EXTRAWORD
The ^ati++++=The
stranger ^nn+nom+++=stranger
arose ^vbd+++xvbn+=arose,
, ^zz++++=EXTRAWORD
fully ^rb+amp+++=fully
clothed ^vbd+++xvbn+=clothed,
, ^zz++++=EXTRAWORD
from ^in++++=from
his ^pp$+pp3+++=his
bunk ^nn++++=bunk,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
peered ^vpsv++agls+xvbn+=peered
through ^in++++=through
the ^ati++++=the
narrow ^jj+atrb+++=narrow
open ^jj+atrb+++=open
window ^nn++++=window.
. ^zz++++=EXTRAWORD
A ^at++++=A
dozen ^cd++++=dozen
horses ^nns++++=horses
were ^vbd+bed+aux++=were
standing ^vbg+++xvbgx+=standing
grouped ^xvbn+++xvbn+=grouped
in ^in++++=in
charge ^in"++++=charge
of ^in"++++=of
a ^at++++=a
single ^jj+atrb+++=single
mounted ^jj+atrb++xvbn+=mounted
man ^nn++++=man,
, ^zz++++=EXTRAWORD
indistinguishable ^jj++++=indistinguishable
in ^in++++=in
the ^ati++++=the
dark ^nn++++=dark.
. ^zz++++=EXTRAWORD
Out ^rp+pl+++=Out
of ^in++++=of
the ^ati++++=the
open ^jj+atrb+++=open
door ^nn++++=door
a ^at++++=a
broad ^jj+atrb+++=broad
band ^nn++++=band
of ^in++++=of
light ^nn++++=light
streamed ^vbd+++xvbn+=streamed
from ^in++++=from
the ^ati++++=the
saloon ^nn++++=saloon,
, ^zz++++=EXTRAWORD
whence ^wrb+who+++=whence
came ^vbd+++xvbn+=came
the ^ati++++=the
noise ^nn++++=noise
of ^in++++=of
voices ^nns++++=voices
and ^cc++++=and
of ^in++++=of
boots ^nns++++=boots
tramping ^vwbg+++xvbg+=tramping
about ^in+strn+++=about.
. ^zz++++=EXTRAWORD
" ^zz++++="It
it ^pp3+it+++=EXTRAWORD
is ^vbz+bez+vrb++=is
Black ^jj+atrb+++=Black
Hank ^np++++=Hank,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Billy ^np++++=Billy,
, ^zz++++=EXTRAWORD
at ^in++++=at
his ^pp$+pp3+++=his
elbow ^nn++++=elbow,
, ^zz++++=EXTRAWORD
" ^zz++++="Black
black ^jj+atrb+++=EXTRAWORD
Hank ^np++++=Hank
and ^cc++++=and
his ^pp$+pp3+++=his
outfit ^nn++++=outfit.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
hitches ^nns+++??+=hitches
to ^in++++=to
this ^dt+dem+++=this
yere ^nn+++??+=yere
snubbin ^nn+++??+=snubbin'-post
'-post ^nn+++??+=EXTRAWORD
occasional ^jj++++=occasional."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Black ^jj+atrb+++=Black
Hank ^np++++=Hank
in ^in++++=in
the ^ati++++=the
Hills ^nns++++=Hills
would ^md+prd+++=would
have ^vb+hv+aux++=have
translated ^vprf+++xvbnx+=translated
to ^in++++=to
Jesse ^np+++??+=Jesse
James ^np++++=James
farther ^rbr++++=farther
south ^nr+pl+++=south.
. ^zz++++=EXTRAWORD
The ^ati++++=The
stranger ^nn++++=stranger
turned ^vbd+++xvbn+=turned
suddenly ^rb++++=suddenly
energetic ^jj++++=energetic.
. ^zz++++=EXTRAWORD
" ^zz++++="Don't
do ^vb+do+vrb++=EXTRAWORD
n't ^xnot++not++0=EXTRAWORD
you ^pp2+pp2+++=you
make ^vb++++=make
no ^at++++=no
fight ^nn++++=fight?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
asked ^vbd+vsua++xvbnx+=asked.
. ^zz++++=EXTRAWORD
" ^zz++++="Fight?"
fight ^nn++++=EXTRAWORD
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Billy ^np++++=Billy,
, ^zz++++=EXTRAWORD
wondering ^vbg+++xvbg+=wondering.
. ^zz++++=EXTRAWORD
" ^zz++++="Fight?
fight ^nn++++=EXTRAWORD
? ^zz++++=EXTRAWORD
Co ^nn++++=Co'se
'se ^nn+++??+=EXTRAWORD
not ^xnot++not++=not.
. ^zz++++=EXTRAWORD
Hank ^np++++=Hank
do ^vb+do+vrb++=don't
n't ^xnot++not++0=EXTRAWORD
plunder ^nn++++=plunder
me ^pp1o+pp1+++=me
none ^rb++++=none.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
jest ^rb++++=jest
ambles ^nns+++??+=ambles
along ^in++++=along
and ^cc++++0=an'
helps ^vbz++++=helps
himself ^ppl+pp3+++=himself,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
leaves ^nns++++=leaves
th ^zz++++=th'
' ^zz++++=EXTRAWORD
dust ^nn++++=dust
fer ^&fw++++=fer
it ^pp3+it+++=it
every ^at++++=every
time ^nn++++=time.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
jest ^rb++++=jest
lays ^vbz++++=lays
low ^jj++++=low
and ^cc++++0=an'
lets ^vbz++++=lets
him ^pp3o+pp3+++=him
operate ^nn+nom+++=operate.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
never ^rb++++=never
has ^vbz+hvz+vrb++=has
no ^at++++=no
dealin ^nn+++??+=dealin's
's ^vbz+bez+vrb++0=EXTRAWORD
with ^in++++=with
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
understand ^vb+vprv+++=understand.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
jest ^rb++++=jest
nat ^np++++=nat'rally
'rally ^rb++++0=EXTRAWORD
waltzes ^nns+++??+=waltzes
in ^in++++=in
and ^cc++++0=an'
plants ^nns++++=plants
his ^pp$+pp3+++=his
grub ^nn++++=grub-hooks
- ^zz++++=EXTRAWORD
hooks ^nns++++=EXTRAWORD
on ^in++++=on
what ^wdt+who+++=what
he ^pp3a+pp3+++=he
needs ^nns++++=needs.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
know ^vb+vprv+++=know
nothin ^nn+++??+=nothin'
' ^zz++++=EXTRAWORD
about ^in++++=about
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I'm
'm ^vb+bem+vrb++0=EXTRAWORD
dead ^jj++++=dead
asleep ^jj++++=asleep."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
bestowed ^vbd+++xvbnx+=bestowed
a ^at++++=a
shadowy ^jj+atrb+++=shadowy
wink ^nn++++=wink
on ^in++++=on
the ^ati++++=the
stranger ^nn++++=stranger
Below ^in+strn+++=Below,
, ^zz++++=EXTRAWORD
the ^ati++++=the
outlaws ^nns++++=outlaws
moved ^vbd+++xvbn+=moved
here ^rn+pl+++=here
and ^cc++++=and
there ^rn+pl+++=there.
. ^zz++++=EXTRAWORD
" ^zz++++="Billy!"
billy ^np++++=EXTRAWORD
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
shouted ^vbd+vpub++xvbn+=shouted
a ^at++++=a
commanding ^jj+atrb++xvbg+=commanding
voice ^nn++++=voice,
, ^zz++++=EXTRAWORD
" ^zz++++="Billy
billy ^np++++=EXTRAWORD
Knapp ^np+++??+=Knapp!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
The ^ati++++=The
hotel ^nn++++=hotel-keeper
- ^zz++++=EXTRAWORD
keeper ^nn++++=EXTRAWORD
looked ^vbd+++xvbn+=looked
perplexed ^vbd+++xvbn+=perplexed.
. ^zz++++=EXTRAWORD
" ^zz++++="Now,
now ^rn+tm+++=EXTRAWORD
, ^zz++++=EXTRAWORD
what ^wdt+who+++=what's
's ^vbz+bez+vrb++0=EXTRAWORD
he ^pp3a+pp3+++=he
tollin ^nn+++??+=tollin'
' ^zz++++=EXTRAWORD
me ^pp1o+pp1+++=me
for ^in+strn+++=for?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
asked ^vbd+vsua++xvbnx+=asked
of ^in++++=of
the ^ati++++=the
man ^nn++++=man
by ^in++++=by
his ^pp$+pp3+++=his
side ^nn++++=side.
. ^zz++++=EXTRAWORD
" ^zz++++="Billy!"
billy ^np++++=EXTRAWORD
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
shouted ^vbd+vpub++xvbn+=shouted
the ^ati++++=the
voice ^nn++++=voice
again ^rb+cnj+++=again,
, ^zz++++=EXTRAWORD
" ^zz++++="come
come ^vprf+++xvbn+=EXTRAWORD
down ^rp++++=down
here ^rn+pl+++=here,
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
Siwash ^np+++??+=Siwash.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
want ^vb++++=want
to ^to+vcmp+++=to
palaver ^vbi++++=palaver
with ^in++++=with
you ^pp2+pp2+++=you!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="All
all ^abn++++=EXTRAWORD
right ^jj++++=right,
, ^zz++++=EXTRAWORD
Hank ^np++++=Hank,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
replied ^vbd+vpub++xvbn+=replied
Billy ^np++++=Billy.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
went ^vbd+++xvbnx+=went
to ^in++++=to
his ^pp$+pp3+++=his
" ^zz++++="room,"
room ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
and ^cc++++=and
buckled ^vprf+++xvbn+=buckled
on ^in++++=on
a ^at++++=a
heavy ^jj+atrb+++=heavy
belt ^nn++++=belt;
; ^zz++++=EXTRAWORD
then ^rn+tm+++=then
descended ^vbd+++xvbn+=descended
the ^ati++++=the
steep ^jj+atrb+++=steep
stairs ^nns++++=stairs.
. ^zz++++=EXTRAWORD
The ^ati++++=The
bar ^nn++++=bar-room
- ^zz++++=EXTRAWORD
room ^nn++++=EXTRAWORD
was ^vbd+bedz+aux++=was
lighted ^vpsv++agls+xvbnx+=lighted
and ^cc+phrs+++=and
filled ^vpsv++agls+xvbn+=filled
with ^in++++=with
men ^nns++++=men.
. ^zz++++=EXTRAWORD
Some ^dti++++=Some
of ^in++++=of
them ^pp3o+pp3+++=them
were ^vbd+bed+aux++=were
drinking ^vbg+++xvbgx+=drinking
and ^cc+phrs+++=and
eating ^vbg+++xvbg+=eating;
; ^zz++++=EXTRAWORD
others ^aps++++=others
were ^vbd+bed+vrb++=were
strapping ^jj+atrb+++=strapping
provisions ^nns++++=provisions
into ^in++++=into
portable ^jj+atrb+++=portable
form ^nn++++=form.
. ^zz++++=EXTRAWORD
Against ^in++++=Against
the ^ati++++=the
corner ^nn++++=corner
of ^in++++=of
the ^ati++++=the
bar ^nn++++=bar
a ^at++++=a
tall ^jj+atrb+++=tall
figure ^nn++++=figure
of ^in++++=of
a ^at++++=a
man ^nn++++=man
leaned ^vbd+++xvbn+=leaned
smoking ^vbg+++xvbg+=smoking--a
-- ^--+clp+++=EXTRAWORD
a ^at++++=EXTRAWORD
man ^nn++++=man
lithe ^nn+++??+=lithe,
, ^zz++++=EXTRAWORD
active ^jj++++=active,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
muscular ^jj++++=muscular,
, ^zz++++=EXTRAWORD
with ^in++++=with
a ^at++++=a
keen ^jj+atrb+++=keen
dark ^jj+atrb+++=dark
face ^nn++++=face,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
black ^jj+atrb+++=black
eyebrows ^nns++++=eyebrows
which ^whp+rel+subj++=which
met ^vbd+++xvbn+=met
over ^in++++=over
his ^pp$+pp3+++=his
nose ^nn++++=nose.
. ^zz++++=EXTRAWORD
Billy ^np++++=Billy
walked ^vbd+++xvbn+=walked
silently ^rb++++=silently
to ^in++++=to
this ^dt+dem+++=this
man ^nn++++=man.
. ^zz++++=EXTRAWORD
" ^zz++++="What
what ^wdt+who+whq++=EXTRAWORD
is ^vbz+bez+aux++=is
it ^pp3+it+++=it?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
asked ^vbd+vsua++xvbnx+=asked,
, ^zz++++=EXTRAWORD
shortly ^rb+tm+++=shortly.
. ^zz++++=EXTRAWORD
" ^zz++++="This
this ^dt+dem+++=EXTRAWORD
yere ^nn+++??+=yere
ai ^vb+be+++=ain't
n't ^xnot++not++0=EXTRAWORD
in ^in++++=in
th ^zz++++=th'
' ^zz++++=EXTRAWORD
agreement ^nn+nom+++=agreement."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
know ^vb+vprv+tht0++=know
that ^tht+vcmp+++=that,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
replied ^vbd+vpub++xvbn+=replied
the ^ati++++=the
stranger ^nn+nom+++=stranger.
. ^zz++++=EXTRAWORD
" ^zz++++="Then
then ^rn+tm+++=EXTRAWORD
leave ^vb++++=leave
yore ^nn+++??+=yore
dust ^nn++++=dust
and ^cc++++=and
vamoose ^nn+++??+=vamoose."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="My
my ^pp$+pp1+++=EXTRAWORD
dust ^nn++++=dust
is ^vbz+bez+vrb++=is
there ^rn+pl+++=there,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
replied ^vbd+vpub++xvbn+=replied
Black ^np++++=Black
Hank ^np++++=Hank,
, ^zz++++=EXTRAWORD
placing ^nvbg+++xvbg+=placing
his ^pp$+pp3+++=his
hand ^nn++++=hand
on ^in++++=on
a ^at++++=a
buckskin ^nn+++??+=buckskin
bag ^nn++++=bag
at ^in++++=at
his ^pp$+pp3+++=his
side ^nn++++=side,
, ^zz++++=EXTRAWORD
" ^zz++++="and
and ^cc++++=EXTRAWORD
you ^pp2+pp2+++=you're
're ^vb+ber+aux++0=EXTRAWORD
paid ^vpsv++agls+xvbnx+=paid,
, ^zz++++=EXTRAWORD
Billy ^np++++=Billy
Knapp ^np+++??+=Knapp.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
want ^vb++++=want
to ^to+vcmp+++=to
ask ^vbi++++=ask
you ^pp2+pp2+++=you
a ^at++++=a
question ^nn+nom+++=question.
. ^zz++++=EXTRAWORD
Standing ^vbg+++xvbg+=Standing
Rock ^npl++++=Rock
has ^vbz+hvz+aux++=has
sent ^vprf+++xvbnx+=sent
fifty ^cd++++=fifty
thousand ^cd++++=thousand
dollars ^nns++++=dollars
in ^in++++=in
greenbacks ^nns+++??+=greenbacks
to ^to++++=to
Spotted ^vbi++++=Spotted
Tail ^nn++++=Tail.
. ^zz++++=EXTRAWORD
The ^ati++++=The
messenger ^nn+nom+++=messenger
went ^vbd+++xvbn+=went
through ^in++++=through
here ^rn+pl+++=here
to ^to++++=to-day.
- ^zz++++=EXTRAWORD
day ^nn++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Have ^vb+hv+aux++=Have
you ^pp2+pp2+++=you
seen ^vbd+vprv++xvbn+=seen
him ^pp3o+pp3+++=him?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Nary
nary ^nn++++=EXTRAWORD
messenger ^nn+nom+++=messenger,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
replied ^vbd+vpub++xvbn+=replied
Billy ^np++++=Billy,
, ^zz++++=EXTRAWORD
in ^in++++=in
relief ^nn++++=relief.
. ^zz++++=EXTRAWORD
" ^zz++++="Stage
stage ^nn++++=EXTRAWORD
goes ^vbz++++=goes
empty ^jj++++=empty."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Charley ^np++++=Charley
had ^vbd+hvd+aux++=had
crept ^vprf+++xvbnx+=crept
down ^rp++++=down
the ^ati++++=the
stairs ^nns++++=stairs
and ^cc++++=and
into ^in++++=into
the ^ati++++=the
room ^nn++++=room.
. ^zz++++=EXTRAWORD
" ^zz++++="What
what ^wdt+who+++=EXTRAWORD
in ^in++++=in
hell ^nn++++=hell
are ^vb+ber+vrb++=are
yo ^nn+++??+=yo'
' ^zz++++=EXTRAWORD
doin ^nn+++??+=doin'
' ^zz++++=EXTRAWORD
yere ^nn+++??+=yere,
, ^zz++++=EXTRAWORD
yo ^nn+++??+=yo'
' ^zz++++=EXTRAWORD
ranikaboo ^nn+++??+=ranikaboo
ijit ^nn+++??+=ijit?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
inquired ^vbd+++xvbn+=inquired
Billy ^np++++=Billy,
, ^zz++++=EXTRAWORD
truculently ^jj++++=truculently.
. ^zz++++=EXTRAWORD
" ^zz++++="That
that ^dt+dem+++=EXTRAWORD
thar ^nn+++??+=thar
stage ^nn++++=stage
ai ^vb+be+++=ain't
n't ^xnot++not++0=EXTRAWORD
what ^wdt+who+++=what
you ^pp2+pp2+++=you
calls ^nns++++=calls
empty ^jj++++=empty,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
observed ^vbn+vprv++xvbn+=observed
Charley ^np++++=Charley,
, ^zz++++=EXTRAWORD
unmoved ^jj++++=unmoved.
. ^zz++++=EXTRAWORD
A ^at++++=A
light ^nn++++=light
broke ^vbd+++xvbn+=broke
on ^in++++=on
Billy ^np++++=Billy's
's ^$++++=EXTRAWORD
mind ^nn++++=mind.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
remarked ^vbd+vpub++xvbnx+=remarked
the ^ati++++=the
valise ^nn++++=valise
which ^whp+rel+obj++=which
the ^ati++++=the
stranger ^jjr++++=stranger
had ^vb+hv+vrb++=had
so ^ql++++=so
carefully ^rb++++=carefully
guarded ^jj+++xvbn+=guarded;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
though ^cs+sub+++=though
his ^pp$+pp3+++=his
common ^jj++++=common-sense
- ^zz++++=EXTRAWORD
sense ^nn++++=EXTRAWORD
told ^vbd+vpub++xvbn+=told
him ^pp3o+pp3+++=him
that ^cs+sub+++=that
an ^at++++=an
inoffensive ^jj++++=inoffensive
non ^&fw++++=non-combatant
- ^zz++++=EXTRAWORD
combatant ^jj++++=EXTRAWORD
such ^abl++++=such
as ^ql++++=as
his ^pp$+pp3+++=his
guest ^nn++++=guest
would ^md+prd+++=would
hardly ^rb+down+++=hardly
be ^vb+be+aux++=be
chosen ^vpsv++agls+xvbnx+=chosen
as ^ql++++=as
express ^jjb+atrb+++=express
messenger ^nn+nom+++=messenger,
, ^zz++++=EXTRAWORD
still ^rb++++=still
the ^ati++++=the
bare ^jj+atrb+++=bare
possibility ^nn+nom+++=possibility
remained ^vbd+++xvbn+=remained.
. ^zz++++=EXTRAWORD
" ^zz++++="Yo're
yo ^nn+++??+=EXTRAWORD
're ^vb+ber+vrb++0=EXTRAWORD
right ^jj+pred+++=right,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
agreed ^vbd+vpub++xvbnx+=agreed,
, ^zz++++=EXTRAWORD
carelessly ^rb+cnj+++=carelessly,
, ^zz++++=EXTRAWORD
" ^zz++++="thar
thar ^nn+++??+=EXTRAWORD
is ^vbz+bez+vrb++=is
one ^cd1++++=one
tenderfoot ^nn+++??+=tenderfoot,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
knows ^vbz+vprv+++=knows
as ^ql++++=as
much ^ap++++=much
of ^in++++=of
ridin ^nn+++??+=ridin'
' ^zz++++=EXTRAWORD
express ^jjb++++=express
as ^in++++=as
a ^at++++=a
pig ^nn++++=pig
does ^vbz+doz+vrb++=does
of ^in++++=of
a ^at++++=a
ruffled ^jj+atrb++xvbn+=ruffled
shirt ^nn++++=shirt."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
notes ^nns++++=notes
he ^pp3a+pp3+++=he's
's ^vbz+bez+vrb++0=EXTRAWORD
almighty ^jj++++=almighty
particular ^jj++++=particular
about ^in++++=about
that ^dt+dem+++=that
carpet ^nn++++=carpet-bag
- ^zz++++=EXTRAWORD
bag ^nn++++=EXTRAWORD
of ^in++++=of
his ^pp$+pp3+++=his'n,"
'n," ^nn+++??+=EXTRAWORD
insisted ^vbd+vpub++xvbn+=insisted
Charley ^np++++=Charley.
. ^zz++++=EXTRAWORD
The ^ati++++=The
man ^nn++++=man
against ^in++++=against
the ^ati++++=the
counter ^nn++++=counter
had ^vbd+hvd+aux++=had
lost ^vprf+++xvbnx+=lost
nothing ^pn++++=nothing
of ^in++++=of
the ^ati++++=the
scene ^nn++++=scene.
. ^zz++++=EXTRAWORD
Billy ^np++++=Billy's
's ^$++++=EXTRAWORD
denial ^nn++++=denial,
, ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
hesitation ^nn+nom+++=hesitation,
, ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
half ^abn++++=half-truth
- ^zz++++=EXTRAWORD
truth ^nn++++=EXTRAWORD
all ^abn++++=all
looked ^jj+++xvbn+=looked
suspicious ^jj++++=suspicious
to ^in++++=to
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
With ^in++++=With
one ^cd1++++=one
swift ^jj++++=swift,
, ^zz++++=EXTRAWORD
round ^in++++=round
