Side ^nn++++=Side
her ^pp$+pp3+++=her
dusty ^jj+atrb+++=dusty
stacks ^nns++++=stacks
of ^in++++=of
jars ^nns++++=jars
and ^cc++++=and
boxes ^nns++++=boxes.
. ^zz++++=EXTRAWORD
Once ^rb+tm+++=Once
she ^pp3a+pp3+++=she
had ^vbd+hvd+aux++=had
called ^vprf+++xvbnx+=called
upon ^in++++=upon
her ^pp$+pp3+++=her
neighbour ^nn++++=neighbour,
, ^zz++++=EXTRAWORD
somewhat ^rb+down+++=somewhat
for ^in++++=for
courtesy ^nn++++=courtesy's
's ^$++++=EXTRAWORD
sake ^nn++++=sake,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
more ^rbr++++=more
for ^in++++=for
curiosity ^nn+nom+++=curiosity's,
's, ^nn+++??+=EXTRAWORD
and ^cc++++=and
since ^rb++++=since
then ^rn+tm+++=then
the ^ati++++=the
agreeable ^jj+atrb+++=agreeable
scent ^nn++++=scent
of ^in++++=of
violet ^np++++=violet
and ^cc++++=and
lilac ^jj+atrb+++=lilac
perfumery ^nn+nom+++=perfumery
dwelt ^vbd+++xvbn+=dwelt
always ^rb++++=always
in ^in++++=in
her ^pp$+pp3+++=her
memory ^nn++++=memory,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
mirages ^nns+nom+++=mirages
of ^in++++=of
scrupulously ^rb++++=scrupulously
polished ^jj+atrb+++=polished
nickel ^nn++++=nickel
and ^cc++++=and
glass ^nn++++=glass
hung ^vbd+++xvbn+=hung
always ^rb++++=always
before ^in++++=before
her ^pp$+pp3+++=her
eyes ^nns++++=eyes.
. ^zz++++=EXTRAWORD
The ^ati++++=The
air ^nn++++=air
of ^in++++=of
her ^pp$+pp3+++=her
own ^ap++++=own
shop ^nn++++=shop
was ^vbd+bedz+vrb++=was
heavy ^jj+pred+++=heavy
with ^in++++=with
the ^ati++++=the
pungent ^jj+atrb+++=pungent
odours ^nns++++=odours
of ^in++++=of
raw ^jj+atrb+++=raw
vegetables ^nns++++=vegetables,
, ^zz++++=EXTRAWORD
cheeses ^nns+nom++??+=cheeses,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
dried ^xvbn+++xvbn+=dried
fish ^nns++++=fish,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
no ^at++++=no
brilliance ^nn+nom+++=brilliance
redeemed ^vbd+++xvbn+=redeemed
the ^ati++++=the
sardine ^nn+++??+=sardine
and ^cc++++=and
biscuit ^nn++++=biscuit
boxes ^nns++++=boxes
which ^whp+rel+subj++=which
surrounded ^xvbn+++xvbn+=surrounded
her ^pp$+pp3+++=her.
. ^zz++++=EXTRAWORD
Life ^nn++++=Life
became ^vbd+++xvbn+=became
a ^at++++=a
bitter ^jj+atrb+++=bitter
thing ^nn++++=thing
to ^in++++=to
Alexandrine ^np+++??+=Alexandrine
Caille ^np+++??+=Caille,
, ^zz++++=EXTRAWORD
for ^in++++=for
if ^cs+cnd+++=if
nothing ^pn++++=nothing
is ^vbz+bez+vrb++=is
more ^rbr++++=more
gratifying ^jj+pred+++=gratifying
than ^in++++=than
one ^cd1++++=one's
's ^vbz+bez+vrb++0=EXTRAWORD
own ^ap++++=own
success ^nns+nom+++=success,
, ^zz++++=EXTRAWORD
surely ^rb++++=surely
nothing ^pn++++=nothing
is ^vbz+bez+vrb++=is
less ^ql++++=less
so ^cs+sub+++=so
than ^cs+sub+++=than
that ^dt+dem+++=that
of ^in++++=of
one ^cd1++++=one's
's ^vbz+bez+vrb++0=EXTRAWORD
neighbour ^nn++++=neighbour.
. ^zz++++=EXTRAWORD
Moreover ^nn+nom+++=Moreover,
, ^zz++++=EXTRAWORD
her ^pp$+pp3+++=her
visit ^vb++++=visit
had ^vb+hv+aux++=had
never ^rb++splt++=never
been ^vprf+ben+aux+xvbnx+=been
returned ^vpsv++agls+xvbnx+=returned,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
this ^dt+pdem+++=this
again ^rb+tm+++=again
was ^vbd+bedz+vrb++=was
fuel ^nn++++=fuel
for ^in++++=for
her ^pp$+pp3+++=her
rage ^nn++++=rage.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
the ^ati++++=the
sharpest ^jjt+atrb+++=sharpest
thorn ^nn++++=thorn
in ^in++++=in
her ^pp$+pp3+++=her
flesh ^nn++++=flesh
and ^cc++++=and
even ^rb++++=even
in ^cs+sub+++=in
that ^cs"++++=that
of ^in++++=of
her ^pp$+pp3+++=her
phlegmatic ^jj+atrb+++=phlegmatic
husband ^nn++++=husband
was ^vbd+bedz+vrb++=was
the ^ati++++=the
base ^nn++++=base
desertion ^nn+nom+++=desertion
to ^in++++=to
the ^ati++++=the
enemy ^nn++++=enemy's
's ^$++++=EXTRAWORD
camp ^nn++++=camp
of ^in++++=of
Abel ^np+++??+=Abel
Flique ^np+++??+=Flique.
. ^zz++++=EXTRAWORD
In ^in++++=In
the ^ati++++=the
days ^nns++++=days
when ^wrb+who+++=when
Madame ^npt++++=Madame
Caille ^np+++??+=Caille
was ^vbd+bedz+vrb++=was
unmarried ^jj+pred+++=unmarried,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
when ^wrb+who+++=when
her ^pp$+pp3+++=her
ninety ^cd++++=ninety
kilos ^nns+++??+=kilos
were ^vbd+bed+vrb++=were
fifty ^cd++++=fifty
still ^rb+cnj+++=still,
, ^zz++++=EXTRAWORD
Abel ^np+++??+=Abel
had ^vbd+hvd+aux++=had
been ^vprf+ben+vrb+xvbnx+=been
youngest ^jjt+atrb+++=youngest
commis ^nns+++??+=commis
in ^in++++=in
the ^ati++++=the
very ^ap+amp+++=very
shop ^nn++++=shop
over ^in++++=over
which ^whp+rel+pied++=which
she ^pp3a+pp3+++=she
now ^rn+tm+++=now
held ^vbd+vprv++xvbn+=held
sway ^vb++++=sway,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
most ^ql+emph+++=most
devoted ^jj+atrb++xvbn+=devoted
suitor ^nn++++=suitor
in ^in++++=in
all ^abn++++=all
her ^pp3o+pp3+++=her
train ^nn++++=train.
. ^zz++++=EXTRAWORD
Even ^rb++++=Even
after ^in++++=after
his ^pp$+pp3+++=his
prowess ^nns+nom+++=prowess
in ^in++++=in
the ^ati++++=the
black ^jj+atrb+++=black
days ^nns++++=days
of ^in++++=of
' ^zz++++='71
71 ^cd++++=EXTRAWORD
had ^vbd+hvd+aux++=had
won ^vprf+++xvbnx+=won
him ^pp3o+pp3+++=him
the ^ati++++=the
attention ^nn+nom+++=attention
of ^in++++=of
the ^ati++++=the
civil ^jj+atrb+++=civil
authorities ^nns+nom+++=authorities,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
grateful ^jj+atrb+++=grateful
municipality ^nn+nom+++=municipality
had ^vbd+hvd+aux++=had
transformed ^vprf+++xvbnx+=transformed
the ^ati++++=the
grocer ^nn++++=grocer-soldier
- ^zz++++=EXTRAWORD
soldier ^nn++++=EXTRAWORD
into ^in++++=into
a ^at++++=a
guardian ^nn++++=guardian
of ^in++++=of
law ^nn++++=law
and ^cc++++=and
order ^nn++++=order,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
still ^rb++++=still
hung ^vbd+++xvbn+=hung
upon ^in++++=upon
the ^ati++++=the
favour ^nn++++=favour
of ^in++++=of
his ^pp$+pp3+++=his
heart ^nn++++=heart's
's ^$++++=EXTRAWORD
first ^od++++=first
love ^vb++++=love,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
only ^rb+down+++=only
gave ^vbd+++xvbn+=gave
up ^rb+phrv+++=up
the ^ati++++=the
struggle ^nn++++=struggle
when ^wrb+who+++=when
Jean ^np++++=Jean-Baptiste
- ^zz++++=EXTRAWORD
baptiste ^nn+++??+=EXTRAWORD
bore ^vbd+++xvbn+=bore
off ^in+pl+++=off
the ^ati++++=the
prize ^nn++++=prize
and ^cc++++=and
enthroned ^jj+++xvbn+=enthroned
her ^pp$+pp3+++=her
in ^in++++=in
state ^nn++++=state
as ^ql++++=as
presiding ^jj+atrb++xvbg+=presiding
genius ^nn++++=genius
of ^in++++=of
his ^pp$+pp3+++=his
newly ^rb++++=newly
acquired ^vprf+++xvbn+=acquired
picerie ^nn+++??+=picerie.
. ^zz++++=EXTRAWORD
Later ^rbr+tm+++=Later,
, ^zz++++=EXTRAWORD
an ^at++++=an
unwittingly ^rb++++=unwittingly
kindly ^jj+atrb+++=kindly
prefect ^nn++++=prefect
had ^vbd+hvd+aux++=had
transferred ^vprf+++xvbnx+=transferred
Abel ^np+++??+=Abel
to ^in++++=to
the ^ati++++=the
seventeenth ^od++++=seventeenth
arrondissement ^nn+nom+++=arrondissement,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
so ^rb++++=so
the ^ati++++=the
old ^jj+atrb+++=old
friendship ^nn+nom+++=friendship
was ^vbd+bedz+aux++=was
picked ^vpsv++agls+xvbnx+=picked
up ^rp++++=up
where ^wrb+who+++=where
it ^pp3+it+++=it
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
dropped ^vpsv++agls+xvbnx+=dropped,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
ruddy ^jj++++=ruddy-faced
- ^zz++++=EXTRAWORD
faced ^vbd+++xvbn+=EXTRAWORD
agent ^nn++++=agent
found ^vbd+vprv++xvbn+=found
it ^pp3+it+++=it
both ^abx++++=both
convenient ^jj++++=convenient
and ^cc+phrs+++=and
agreeable ^jj++++=agreeable
to ^to++++=to
drop ^vbi++++=drop
in ^in++++=in
frequently ^rb++++=frequently
at ^in++++=at
Madame ^npt++++=Madame
Caille ^np++++=Caille's
's ^vbz+bez+vrb++0=EXTRAWORD
on ^in++++=on
his ^pp$+pp3+++=his
way ^nn++++=way
home ^nr++++=home,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
exchange ^nn++++=exchange
a ^ap++++=a
few ^ap"++++=few
words ^nns++++=words
of ^in++++=of
reminiscence ^nn+nom+++=reminiscence
or ^cc++++=or
banter ^jjr++++=banter
for ^in++++=for
a ^at++++=a
box ^nn++++=box
of ^in++++=of
sardines ^nns+++??+=sardines
or ^cc++++=or
a ^at++++=a
minute ^nn++++=minute
package ^nn+nom+++=package
of ^in++++=of
tea ^nn++++=tea.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But,
, ^zz++++=EXTRAWORD
with ^in++++=with
the ^ati++++=the
deterioration ^nn+nom+++=deterioration
in ^in++++=in
his ^pp$+pp3+++=his
old ^jj+atrb+++=old
friends ^nns++++=friends'
' ^zz++++=EXTRAWORD
wares ^nns++++=wares,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
almost ^rb+hdg+++=almost
simultaneous ^jj+atrb+++=simultaneous
appearance ^nn+nom+++=appearance
of ^in++++=of
the ^ati++++=the
Salon ^nn++++=Salon
Malakoff ^np+++??+=Malakoff,
, ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
loyalty ^nn++++=loyalty
wavered ^vbd+++xvbn+=wavered.
. ^zz++++=EXTRAWORD
Flique ^np+++??+=Flique
sampled ^vbd+++xvbn+=sampled
the ^ati++++=the
advantages ^nns+nom+++=advantages
of ^in++++=of
Hippolyte ^np++++=Hippolyte's
's ^$++++=EXTRAWORD
establishment ^nn+nom+++=establishment,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and,
, ^zz++++=EXTRAWORD
being ^xvbg+++xvbg+=being
won ^vbd+++xvbn+=won
over ^rb+phrv+++=over
thereby ^rb+cnj+++=thereby,
, ^zz++++=EXTRAWORD
returned ^j+++xvbn+=returned
again ^rb+tm+++=again
and ^cc+phrs+++=and
again ^rb+tm+++=again.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
hearty ^jj+atrb+++=hearty
laugh ^nn++++=laugh
came ^vbd+++xvbn+=came
to ^to++++=to
be ^vbi+vbi+aux++=be
heard ^vpsv++agls+xvbnx+=heard
almost ^rb+hdg+++=almost
daily ^jj++++=daily
in ^in++++=in
the ^ati++++=the
salle ^&fw++++=salle
de ^&fw++++=de
coiffure ^nn+++??+=coiffure,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
because ^cs+cos+++=because
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
a ^at++++=a
brave ^jj++++=brave
homme ^&fw++++=homme
and ^cc++++=and
a ^at++++=a
good ^jj+atrb+++=good
customer ^nn+nom+++=customer,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
did ^vbd+dod+aux++=did
not ^xnot++not++=not
stand ^vb++++=stand
upon ^in++++=upon
a ^at++++=a
question ^nn+nom+++=question
of ^in++++=of
a ^ap++++=a
few ^ap"++++=few
sous ^&fw++++=sous,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
allowed ^vbd+++xvbn+=allowed
Hippolyte ^np+++??+=Hippolyte
to ^in++++=to
work ^nn++++=work
his ^pp$+pp3+++=his
will ^md+prd+++=will,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
trim ^nn++++=trim
and ^cc++++=and
curl ^nn++++=curl
and ^cc++++=and
perfume ^nn++++=perfume
him ^pp3o+pp3+++=him
to ^in++++=to
his ^pp$+pp3+++=his
heart ^nn++++=heart's
's ^$++++=EXTRAWORD
content ^nn++++=content,
, ^zz++++=EXTRAWORD
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
always ^rb++++=always
a ^at++++=a
welcome ^nn++++=welcome
for ^in++++=for
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
smile ^nn++++=smile
from ^in++++=from
Madame ^npt++++=Madame
Sergeot ^np+++??+=Sergeot,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
occasionally ^rb++++=occasionally
a ^rb++++=a
little ^rb"++++=little
present ^jj++++=present
of ^in++++=of
brillantine ^nn+++??+=brillantine
or ^cc++++=or
perfumery ^nn+nom+++=perfumery,
, ^zz++++=EXTRAWORD
for ^in++++=for
friendship ^nn+nom+++=friendship's
's ^$++++=EXTRAWORD
sake ^nn++++=sake,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
because ^cs+cos+++=because
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
well ^rb++++=well
to ^to++++=to
have ^vbi++vrb++=have
the ^ati++++=the
good ^jj++++=good-will
- ^zz++++=EXTRAWORD
will ^md+prd+++=EXTRAWORD
of ^in++++=of
the ^ati++++=the
all ^abn++++=all-powerful
- ^zz++++=EXTRAWORD
powerful ^jj+atrb+++=EXTRAWORD
police ^nns++++=police.
. ^zz++++=EXTRAWORD
From ^in++++=From
her ^pp$+pp3+++=her
window ^nn++++=window
Madame ^npt++++=Madame
Caille ^np+++??+=Caille
observed ^vbd+vprv++xvbn+=observed
the ^ati++++=the
comings ^nns+++??+=comings
and ^cc++++=and
goings ^nns+++??+=goings
of ^in++++=of
Abel ^np+++??+=Abel
with ^in++++=with
a ^at++++=a
resentful ^jj+atrb+++=resentful
eye ^nn++++=eye.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
rarely ^rb++++=rarely
now ^rn+tm+++=now
that ^cs+sub+++=that
he ^pp3a+pp3+++=he
glanced ^vbd+++xvbnx+=glanced
into ^in++++=into
the ^ati++++=the
picerie ^nn+++??+=picerie
as ^ql++++=as
he ^pp3a+pp3+++=he
passed ^vbd+++xvbnx+=passed,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
still ^rb++++=still
more ^rbr++++=more
rarely ^rb++++=rarely
that ^cs+sub+++=that
he ^pp3a+pp3+++=he
greeted ^vbd+++xvbnx+=greeted
his ^pp$+pp3+++=his
former ^ap++++=former
flame ^nn++++=flame
with ^in++++=with
a ^at++++=a
stiff ^jj+atrb+++=stiff
nod ^nn++++=nod.
. ^zz++++=EXTRAWORD
Once ^rb+tm+++=Once
she ^pp3a+pp3+++=she
had ^vbd+hvd+aux++=had
hailed ^vprf+++xvbnx+=hailed
him ^pp3o+pp3+++=him
from ^in++++=from
the ^ati++++=the
doorway ^nn++++=doorway,
, ^zz++++=EXTRAWORD
sardines ^nns+++??+=sardines
in ^in++++=in
hand ^nn++++=hand,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
replied ^vprf+++xvbnx+=replied
that ^tht+vcmp+++=that
he ^pp3a+pp3+++=he
was ^vbd+bedz+aux++=was
pressed ^vpsv++agls+xvbnx+=pressed
for ^in++++=for
time ^nn++++=time,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
had ^vbd+hvd+aux++=had
passed ^vprf+++xvbnx+=passed
rapidly ^rb++++=rapidly
on ^in+strn+++=on.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
indeed ^qlp++++=indeed
did ^vbd+dod+aux++=did
blackness ^nns+nom+++=blackness
descend ^vb++++=descend
upon ^in++++=upon
the ^ati++++=the
soul ^nn++++=soul
of ^in++++=of
Alexandrine ^np+++??+=Alexandrine,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
in ^in++++=in
her ^pp$+pp3+++=her
deepest ^jjt+atrb+++=deepest
consciousness ^nns+nom+++=consciousness
she ^pp3a+pp3+++=she
vowed ^vbd+++xvbnx+=vowed
to ^to++++=to
have ^vbi++vrb++=have
revenge ^nn++++=revenge.
. ^zz++++=EXTRAWORD
Neither ^dt++neg++=Neither
the ^ati++++=the
occasion ^nn++++=occasion
nor ^cc++neg++=nor
the ^ati++++=the
method ^nn++++=method
was ^vbd+bedz+vrb++=was
as ^ql++++=as
yet ^rb++++=yet
clear ^jj++++=clear
to ^in++++=to
her ^pp$+pp3+++=her,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
she ^pp3a+pp3+++=she
pursed ^vbd+++xvbnx+=pursed
her ^pp$+pp3+++=her
lips ^nns++++=lips
ominously ^rb+cnj+++=ominously,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
bided ^jj+++xvbn+=bided
her ^pp3o+pp3+++=her
time ^nn++++=time.
. ^zz++++=EXTRAWORD
In ^in++++=In
the ^ati++++=the
existence ^nn+nom+++=existence
of ^in++++=of
Madame ^npt++++=Madame
Caille ^np+++??+=Caille
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
one ^cd1++++=one
emphatic ^jj+atrb+++=emphatic
consolation ^nn+nom+++=consolation
for ^in++++=for
all ^abn++++=all
misfortunes ^nns++++=misfortunes,
, ^zz++++=EXTRAWORD
the ^ati++++=the
which ^wdt+who+whq++=which
was ^vbd+bedz+aux++=was
none ^pn++++=none
other ^ap++++=other
than ^in++++=than
Zut ^np+++??+=Zut,
, ^zz++++=EXTRAWORD
a ^at++++=a
white ^jj+atrb+++=white
angora ^nn+++??+=angora
cat ^nn++++=cat
of ^in++++=of
surpassing ^jj+atrb+++=surpassing
beauty ^nn++++=beauty
and ^cc++++=and
prodigious ^jj+atrb+++=prodigious
size ^nn++++=size.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
had ^vbd+hvd+aux++=had
come ^vprf+++xvbn+=come
into ^in+ppvb+++=into
Alexandrine ^np++++=Alexandrine's
's ^$++++=EXTRAWORD
possession ^nn++++=possession
as ^in++++=as
a ^at++++=a
kitten ^nn++++=kitten,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and,
, ^zz++++=EXTRAWORD
what ^wdt+who+++=what
with ^in++++=with
much ^ap++++=much
eating ^jj+++xvbg+=eating
and ^cc++++=and
an ^at++++=an
inherent ^jj+atrb+++=inherent
distaste ^nn++++=distaste
for ^in++++=for
exercise ^nn++++=exercise,
, ^zz++++=EXTRAWORD
had ^vbd+hvd+aux++=had
attained ^vprf+++xvbnx+=attained
her ^pp$+pp3+++=her
present ^vb++++=present
proportions ^nns+nom+++=proportions
and ^cc++++=and
her ^pp$+pp3+++=her
superb ^jj+atrb+++=superb
air ^nn++++=air
of ^in++++=of
unconcern ^nn++++=unconcern.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
from ^in++++=from
the ^ati++++=the
latter ^ap++++=latter
that ^cs+sub+++=that
she ^pp3a+pp3+++=she
derived ^vbd+++xvbnx+=derived
her ^pp$+pp3+++=her
name ^nn++++=name,
, ^zz++++=EXTRAWORD
the ^ati++++=the
which ^whp+who+++=which,
, ^zz++++=EXTRAWORD
in ^in++++=in
Parisian ^jj+atrb+++=Parisian
argot ^nn+++??+=argot,
, ^zz++++=EXTRAWORD
at ^rb++++=at
once ^rb"+tm+++=once
means ^in++++=means
everything ^pn++++=everything
and ^cc++++=and
nothing ^pn++++=nothing,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
is ^vbz+bez+aux++=is
chiefly ^rb++splt++=chiefly
taken ^vpsv++agls+xvbnx+=taken
to ^to+vcmp+++=to
signify ^vbi++++=signify
complete ^jj+atrb+++=complete
and ^cc+phrs+++=and
magnificent ^jj+atrb+++=magnificent
indifference ^nn+nom+++=indifference
to ^in++++=to
all ^abn++++=all
things ^nns++++=things
mundane ^jj++++=mundane
and ^cc++++=and
material ^nn++++=material:
: ^zz++++=EXTRAWORD
and ^cc+cls+++=and
in ^in++++=in
the ^ati++++=the
matter ^nn++++=matter
of ^in++++=of
indifference ^nn+nom+++=indifference
Zut ^np+++??+=Zut
was ^vbd+bedz+vrb++=was
past ^nn++++=past-mistress.
- ^zz++++=EXTRAWORD
mistress ^nns+nom+++=EXTRAWORD
. ^zz++++=EXTRAWORD
Even ^rb++++=Even
for ^in++++=for
Madame ^npt++++=Madame
Caille ^np+++??+=Caille
herself ^ppl+pp3+++=herself,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
fed ^vbd+++xvbn+=fed
her ^pp$+pp3+++=her
with ^in++++=with
the ^ati++++=the
choicest ^jjt+atrb+++=choicest
morsels ^nns++++=morsels
from ^in++++=from
her ^pp$+pp3+++=her
own ^ap++++=own
plate ^nn++++=plate,
, ^zz++++=EXTRAWORD
brushed ^j+++xvbn+=brushed
her ^pp3o+pp3+++=her
fine ^jj+atrb+++=fine
fur ^nn++++=fur
with ^in++++=with
excessive ^jj+atrb+++=excessive
care ^nn++++=care,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
addressed ^xvbn+++xvbn+=addressed
caressing ^xvbg+++xvbg+=caressing
remarks ^vbz+vpub+++=remarks
to ^in++++=to
her ^pp$+pp3+++=her
at ^in++++=at
minute ^nn++++=minute
intervals ^nns+nom+++=intervals
throughout ^in++++=throughout
the ^ati++++=the
day ^nn++++=day,
, ^zz++++=EXTRAWORD
Zut ^np+++??+=Zut
manifested ^vbd+++xvbn+=manifested
a ^at++++=a
lack ^nn++++=lack
of ^in++++=of
interest ^nn++++=interest
that ^tht+rel+subj++=that
amounted ^vbd+++xvbn+=amounted
to ^in++++=to
contempt ^nn++++=contempt.
. ^zz++++=EXTRAWORD
As ^ql++++=As
she ^pp3a+pp3+++=she
basked ^vbd+++xvbnx+=basked
in ^in++++=in
the ^ati++++=the
warm ^jj+atrb+++=warm
sun ^nn++++=sun
at ^in++++=at
the ^ati++++=the
shop ^nn++++=shop
door ^nn++++=door,
, ^zz++++=EXTRAWORD
the ^ati++++=the
round ^in++++=round
face ^nn++++=face
of ^in++++=of
her ^pp3o+pp3+++=her
mistress ^nns+nom+++=mistress
beamed ^vbd+++xvbn+=beamed
upon ^in++++=upon
her ^pp$+pp3+++=her
from ^in++++=from
the ^ati++++=the
little ^jj+atrb+++=little
desk ^nn++++=desk,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
voice ^nn++++=voice
of ^in++++=of
her ^pp3o+pp3+++=her
mistress ^nns+nom+++=mistress
sent ^vbd+++xvbn+=sent
fulsome ^nn+++??+=fulsome
flattery ^nn+nom+++=flattery
winging ^vwbg+++xvbg+=winging
toward ^in++++=toward
her ^pp$+pp3+++=her
on ^in++++=on
the ^ati++++=the
heavy ^jj+atrb+++=heavy
air ^nn++++=air.
. ^zz++++=EXTRAWORD
Was ^vbd+bedz+vrb++=Was
she ^pp3a+pp3+++=she
beautiful ^jj++++=beautiful,
, ^zz++++=EXTRAWORD
mon ^&fw++++=mon
Dieu ^np+++??+=Dieu!
! ^zz++++=EXTRAWORD
In ^in++++=In
effect ^nn++++=effect,
, ^zz++++=EXTRAWORD
all ^abn++++=all
that ^dt+dem+++=that
one ^cd1++++=one
could ^md+pos+++=could
dream ^vb++++=dream
of ^in++++=of
the ^ati++++=the
most ^ql+emph+++=most
beautiful ^jj++++=beautiful!
! ^zz++++=EXTRAWORD
And ^cc+cls+++=And
her ^pp$+pp3+++=her
eyes ^nns++++=eyes,
, ^zz++++=EXTRAWORD
of ^in++++=of
a ^at++++=a
blue ^nn++++=blue
like ^in++++=like
the ^ati++++=the
heaven ^nn++++=heaven,
, ^zz++++=EXTRAWORD
were ^vbd+bed+vrb++=were
they ^pp3a+pp3+++=they
not ^xnot++not++=not
wise ^jj++++=wise
and ^cc++++=and
calm ^nn++++=calm?
? ^zz++++=EXTRAWORD
Mon ^np+++??+=Mon
Dieu ^np+++??+=Dieu,
, ^zz++++=EXTRAWORD
yes ^uh++++=yes!
! ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
a ^at++++=a
cat ^nn++++=cat
among ^in++++=among
thousands ^cds++++=thousands,
, ^zz++++=EXTRAWORD
a ^at++++=a
mimi ^nn+++??+=mimi
almost ^rb+hdg+++=almost
divine ^jj++++=divine.
. ^zz++++=EXTRAWORD
Jean ^np++++=Jean-Baptiste,
- ^zz++++=EXTRAWORD
baptiste ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
appealed ^j+++xvbn+=appealed
to ^in++++=to
for ^in++++=for
confirmation ^nn+nom+++=confirmation
of ^in++++=of
these ^dt+dem+++=these
statements ^nns+nom+++=statements,
, ^zz++++=EXTRAWORD
replied ^vb+++xvbn+=replied
that ^tht+vcmp+++=that
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
so ^rb++++=so.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
was ^vbd+bedz+vrb++=was
no ^at++++=no
denying ^vb+++xvbg+=denying
that ^tht+vcmp+++=that
this ^dt+pdem+++=this
was ^vbd+bedz+vrb++=was
a ^at++++=a
magnificent ^jj+atrb+++=magnificent
beast ^nn++++=beast.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
of ^in++++=of
a ^at++++=a
chic ^nn++++=chic.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
caressing ^jj+++xvbg+=caressing
( ^zz++++=(which
which ^whp+who+++=EXTRAWORD
was ^vbd+bedz+vrb++=was
exaggeration ^nn+nom+++=exaggeration).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
of ^in++++=of
an ^at++++=an
affection ^nn+nom+++=affection
( ^zz++++=(which
which ^whp+who+++=EXTRAWORD
was ^vbd+bedz+vrb++=was
doubtful ^jj+pred+++=doubtful).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
courageous ^jj++++=courageous
( ^zz++++=(which
which ^whp+who+++=EXTRAWORD
was ^vbd+bedz+vrb++=was
wholly ^rb++++=wholly
untrue ^jj+pred+++=untrue).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Mazette ^np+nom++??+=Mazette,
, ^zz++++=EXTRAWORD
yes ^uh++++=yes!
! ^zz++++=EXTRAWORD
A ^at++++=A
cat ^nn++++=cat
of ^in++++=of
cats ^nns++++=cats!
! ^zz++++=EXTRAWORD
