During ^in++++=During
, ^zz++++=EXTRAWORD
violent ^jj++++=violent,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
unconquered ^vpsv++agls+xvbn+=unconquered
to ^in++++=to
the ^ati++++=the
last ^ap++++=last;
; ^zz++++=EXTRAWORD
for ^in++++=for
we ^pp1a+pp1+++=we
are ^vb+ber+aux++=are
told ^vpsv++agls+xvbnx+=told
that ^tht+vcmp+++=that
he ^pp3a+pp3+++=he
never ^rb++++=never
ceased ^vprf+++xvbn+=ceased
fighting ^nvbg+++xvbg+=fighting
and ^cc++++=and
thumping ^nvbg+++xvbg+=thumping
as ^ql++++=as
long ^rb++++=long
as ^ql++++=as
he ^pp3a+pp3+++=he
could ^md+pos+++=could
close ^vb++++=close
a ^at++++=a
fist ^nn++++=fist
or ^cc++++=or
wield ^nn+++??+=wield
a ^at++++=a
cudgel ^nn+++??+=cudgel.
. ^zz++++=EXTRAWORD
In ^in++++=In
the ^ati++++=the
mean ^jj+atrb+++=mean
time ^nn++++=time
a ^at++++=a
course ^nn++++=course
of ^in++++=of
kind ^nn++++=kind
and ^cc++++=and
gentle ^jj+atrb+++=gentle
treatment ^nn+nom+++=treatment
and ^cc++++=and
wholesome ^jj++++=wholesome
regimen ^jj+++xvbn+=regimen,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and,
, ^zz++++=EXTRAWORD
above ^jjb++++=above
all ^rb+cnj+++=all,
, ^zz++++=EXTRAWORD
the ^ati++++=the
tender ^jj+atrb+++=tender
and ^cc+phrs+++=and
affectionate ^jj+atrb+++=affectionate
assiduity ^nn+nom+++=assiduity
of ^in++++=of
his ^pp$+pp3+++=his
brother ^nn++++=brother,
, ^zz++++=EXTRAWORD
the ^ati++++=the
prince ^nn++++=prince,
, ^zz++++=EXTRAWORD
produced ^j+++xvbn+=produced
the ^ati++++=the
most ^ql+emph+++=most
salutary ^jj+atrb+++=salutary
effects ^nns++++=effects
upon ^in++++=upon
Count ^nn++++=Count
Antoine ^np+++??+=Antoine.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
gradually ^rb++++=gradually
recovered ^vbd+++xvbn+=recovered
his ^pp$+pp3+++=his
reason ^nn++++=reason;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
a ^at++++=a
degree ^nn++++=degree
of ^in++++=of
violence ^nn+nom+++=violence
seemed ^vbd+seem++xvbn+=seemed
always ^rb++++=always
lurking ^vbg+++xvbg+=lurking
at ^in++++=at
the ^ati++++=the
bottom ^nn++++=bottom
of ^in++++=of
his ^pp$+pp3+++=his
character ^nn+nom+++=character,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
he ^pp3a+pp3+++=he
required ^vbd+++xvbnx+=required
to ^to+vcmp+++=to
be ^vbi+vbi+aux++=be
treated ^vpsv++agls+xvbnx+=treated
with ^in++++=with
the ^ati++++=the
greatest ^jjt+atrb+++=greatest
caution ^nn+nom+++=caution
and ^cc++++=and
mildness ^nns+nom+++=mildness,
, ^zz++++=EXTRAWORD
for ^in++++=for
the ^ati++++=the
least ^rbt++++=least
contradiction ^nn+nom+++=contradiction
exasperated ^jj++++=exasperated
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
In ^in++++=In
this ^dt+dem+++=this
state ^nn++++=state
of ^in++++=of
mental ^jj+atrb+++=mental
convalescence ^nn+nom+++=convalescence,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
began ^vbd+++xvbnx+=began
to ^to++++=to
find ^vbi+vprv+++=find
the ^ati++++=the
supervision ^nn++++=supervision
and ^cc++++=and
restraints ^nns++++=restraints
of ^in++++=of
brotherly ^jj+atrb+++=brotherly
affection ^nn+nom+++=affection
insupportable ^jj++++=insupportable;
; ^zz++++=EXTRAWORD
so ^ql++++=so
he ^pp3a+pp3+++=he
left ^vbd+++xvbnx+=left
the ^ati++++=the
Netherlands ^np++++=Netherlands
furtively ^rb+cnj+++=furtively,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
repaired ^vpsv++agls+xvbn+=repaired
to ^in++++=to
Paris ^np++++=Paris,
, ^zz++++=EXTRAWORD
whither ^jjr++++=whither,
, ^zz++++=EXTRAWORD
in ^in++++=in
fact ^nn++++=fact,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
is ^vbz+bez+aux++=is
said ^vpsv++tht0+xvbnx+=said
he ^pp3a+pp3+++=he
was ^vbd+bedz+aux++=was
called ^vpsv++by+xvbnx+=called
by ^in++++=by
motives ^nns++++=motives
of ^in++++=of
interest ^nn++++=interest,
, ^zz++++=EXTRAWORD
to ^to++++=to
make ^vbi++++=make
arrangements ^nns+nom+++=arrangements
concerning ^in++++=concerning
a ^at++++=a
valuable ^jj+atrb+++=valuable
estate ^nn++++=estate
which ^whp+rel+obj++=which
he ^pp3a+pp3+++=he
inherited ^vbd+++xvbnx+=inherited
from ^in++++=from
his ^pp$+pp3+++=his
relative ^nn++++=relative,
, ^zz++++=EXTRAWORD
the ^ati++++=the
Princess ^nns+nom+++=Princess
d ^zz++++=d'Epinay.
'epinay. ^nn+++??+=EXTRAWORD
On ^in++++=On
his ^pp$+pp3+++=his
arrival ^nn++++=arrival
in ^in++++=in
Paris ^np++++=Paris,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
called ^vbd+++xvbnx+=called
upon ^in++++=upon
the ^ati++++=the
Marquis ^npt++++=Marquis
of ^in++++=of
Crqui ^np+++??+=Crqui,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
other ^ap++++=other
of ^in++++=of
the ^ati++++=the
high ^jj+atrb+++=high
nobility ^nn+nom+++=nobility
with ^in++++=with
whom ^whp+rel+pied++=whom
he ^pp3a+pp3+++=he
was ^vbd+bedz+aux++=was
connected ^vpsv++agls+xvbnx+=connected.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+aux++=was
received ^vpsv++agls+xvbnx+=received
with ^in++++=with
great ^jj+atrb+++=great
courtesy ^nn++++=courtesy;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but,
, ^zz++++=EXTRAWORD
as ^ql++++=as
he ^pp3a+pp3+++=he
brought ^vbd+++xvbnx+=brought
no ^at++++=no
letters ^nns+nom+++=letters
from ^in++++=from
his ^pp$+pp3+++=his
elder ^jjr+atrb+++=elder
brother ^nn++++=brother,
, ^zz++++=EXTRAWORD
the ^ati++++=the
prince ^nn++++=prince,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
as ^in++++=as
various ^jj+atrb+++=various
circumstances ^nns+nom+++=circumstances
of ^in++++=of
his ^pp$+pp3+++=his
previous ^jj+atrb+++=previous
history ^nn++++=history
had ^vbd+hvd+aux++=had
transpired ^vprf+++xvbnx+=transpired,
, ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
did ^vbd+dod+aux++=did
not ^xnot++not++=not
receive ^vb++++=receive
him ^pp3o+pp3+++=him
into ^in++++=into
their ^pp$+pp3+++=their
families ^nns++++=families,
, ^zz++++=EXTRAWORD
nor ^cc+cls+neg++=nor
introduce ^vb++++=introduce
him ^pp3o+pp3+++=him
to ^in++++=to
their ^pp$+pp3+++=their
ladies ^nns++++=ladies.
. ^zz++++=EXTRAWORD
Still ^rb++++=Still
they ^pp3a+pp3+++=they
fted ^vbd+++xvbnx+=fted
him ^pp3o+pp3+++=him
in ^in++++=in
bachelor ^nn++++=bachelor
style ^nn++++=style,
, ^zz++++=EXTRAWORD
gave ^j+++xvbn+=gave
him ^pp3o+pp3+++=him
gay ^jj+atrb+++=gay
and ^cc+phrs+++=and
elegant ^jj+atrb+++=elegant
suppers ^nns+nom+++=suppers
at ^in++++=at
their ^pp$+pp3+++=their
separate ^jj+atrb+++=separate
apartments ^nns+nom+++=apartments,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
took ^vbd+++xvbn+=took
him ^pp3o+pp3+++=him
to ^in++++=to
their ^pp$+pp3+++=their
boxes ^nns++++=boxes
at ^rb++++=at
the ^ati++++=the
theatres ^nns++++=theatres.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+aux++=was
often ^rb++splt++=often
noticed ^vpsv++agls+xvbnx+=noticed,
, ^zz++++=EXTRAWORD
too ^rb+cnj+++=too,
, ^zz++++=EXTRAWORD
at ^rb++++=at
the ^ati++++=the
doors ^nns++++=doors
of ^in++++=of
the ^ati++++=the
most ^ql+emph+++=most
fashionable ^jj+atrb+++=fashionable
churches ^nns++++=churches,
, ^zz++++=EXTRAWORD
taking ^vbg+++xvbg+=taking
his ^pp$+pp3+++=his
stand ^nn++++=stand
among ^in++++=among
the ^ati++++=the
young ^jj+atrb+++=young
men ^nns++++=men
of ^in++++=of
fashion ^nn++++=fashion;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
at ^rb++++=at
such ^abl++++=such
times ^nns++++=times,
, ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
tall ^jj+atrb+++=tall,
, ^zz++++=EXTRAWORD
elegant ^jj+atrb+++=elegant
figure ^nn++++=figure,
, ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
pale ^nn++++=pale
but ^cc++++=but
handsome ^jj+atrb+++=handsome
countenance ^nn+nom+++=countenance,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
his ^pp$+pp3+++=his
flashing ^jj+atrb++xvbg+=flashing
eyes ^nns++++=eyes,
, ^zz++++=EXTRAWORD
distinguished ^j+++xvbn+=distinguished
him ^pp3o+pp3+++=him
from ^in++++=from
among ^in++++=among
the ^ati++++=the
crowd ^nn++++=crowd;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
ladies ^nns++++=ladies
declared ^vbd+vpub++xvbn+=declared
that ^tht+vcmp+++=that
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
almost ^rb+hdg+++=almost
impossible ^jj+pred+++=impossible
to ^to+jcmp+++=to
support ^vbi++++=support
his ^pp$+pp3+++=his
ardent ^jj+atrb+++=ardent
gaze ^nn++++=gaze.
. ^zz++++=EXTRAWORD
The ^ati++++=The
Count ^nn++++=Count
did ^vbd+dod+aux++=did
not ^xnot++not++=not
afflict ^vb++++=afflict
himself ^ppl+pp3+++=himself
much ^ap++++=much
at ^rb++++=at
his ^pp$+pp3+++=his
limited ^jj+atrb++xvbn+=limited
circulation ^nn+nom+++=circulation
in ^in++++=in
the ^ati++++=the
fastidious ^jj+atrb+++=fastidious
circles ^nns++++=circles
of ^in++++=of
the ^ati++++=the
high ^jj+atrb+++=high
aristocracy ^nn+nom+++=aristocracy.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
relished ^vbd+++xvbnx+=relished
society ^nn++++=society
of ^in++++=of
a ^at++++=a
wilder ^jjr++++=wilder
and ^cc++++=and
less ^rbr++++=less
ceremonious ^jj+atrb+++=ceremonious
cast ^nn+++xvbn+=cast;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
meeting ^nvbg+++xvbg+=meeting
with ^in++++=with
loose ^jj+atrb+++=loose
companions ^nns++++=companions
to ^in++++=to
his ^pp$+pp3+++=his
taste ^nn++++=taste,
, ^zz++++=EXTRAWORD
soon ^rb+tm+++=soon
ran ^vbd+++xvbn+=ran
into ^in+ppvb+++=into
all ^abn++++=all
the ^ati++++=the
excesses ^nns+nom+++=excesses
of ^in++++=of
the ^ati++++=the
capital ^nn++++=capital,
, ^zz++++=EXTRAWORD
in ^cs+sub+++=in
that ^cs"++++=that
most ^ql+emph+++=most
licentious ^jj+atrb+++=licentious
period ^nn++++=period.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
is ^vbz+bez+aux++=is
said ^vpsv++tht0+xvbnx+=said
that ^tht+vcmp+++=that,
, ^zz++++=EXTRAWORD
in ^in++++=in
the ^ati++++=the
course ^nn++++=course
of ^in++++=of
his ^pp$+pp3+++=his
wild ^jj+atrb+++=wild
career ^nn++++=career,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
had ^vb+hv+vrb++=had
an ^at++++=an
intrigue ^nn++++=intrigue
with ^in++++=with
a ^at++++=a
lady ^nn++++=lady
of ^in++++=of
quality ^nn+nom+++=quality,
, ^zz++++=EXTRAWORD
a ^at++++=a
favorite ^nn++++=favorite
of ^in++++=of
the ^ati++++=the
Regent ^nn++++=Regent;
; ^zz++++=EXTRAWORD
that ^tht+vcmp+++=that
he ^pp3a+pp3+++=he
was ^vbd+bedz+aux++=was
surprised ^vpsv++by+xvbnx+=surprised
by ^in++++=by
that ^dt+dem+++=that
prince ^npt++++=prince
in ^in++++=in
one ^pn++++=one
of ^in++++=of
his ^pp$+pp3+++=his
interviews ^nns++++=interviews;
; ^zz++++=EXTRAWORD
that ^dt+dem+++=that
sharp ^jj+atrb+++=sharp
words ^nns++++=words
passed ^vbd+++xvbn+=passed
between ^in++++=between
them ^pp3o+pp3+++=them;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
that ^tht+vcmp+++=that
the ^ati++++=the
jealousy ^nn++++=jealousy
and ^cc++++=and
vengeance ^nn+nom+++=vengeance
thus ^rb+cnj+++=thus
awakened ^vbd+++xvbn+=awakened,
, ^zz++++=EXTRAWORD
ended ^j+++xvbn+=ended
only ^rb+down+++=only
with ^in++++=with
his ^pp$+pp3+++=his
life ^nn++++=life.
. ^zz++++=EXTRAWORD
About ^in++++=About
this ^dt+dem+++=this
time ^nn++++=time,
, ^zz++++=EXTRAWORD
the ^ati++++=the
famous ^jj+atrb+++=famous
Mississippi ^np+++??+=Mississippi
scheme ^nn++++=scheme
of ^in++++=of
Law ^nn++++=Law
was ^vbd+bedz+vrb++=was
at ^in++++=at
its ^pp$+it+++=its
height ^nn++++=height,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
rather ^rb++++=rather
it ^pp3+it+++=it
began ^vbd+++xvbn+=began
to ^to++++=to
threaten ^vbi++++=threaten
that ^dt+dem+++=that
disastrous ^jj+atrb+++=disastrous
catastrophe ^nn++++=catastrophe
which ^whp+rel+subj++=which
convulsed ^xvbn+++xvbn+=convulsed
the ^ati++++=the
whole ^jj+atrb+++=whole
financial ^jj+atrb+++=financial
world ^nn++++=world.
. ^zz++++=EXTRAWORD
Every ^at++++=Every
effort ^nn++++=effort
was ^vbd+bedz+aux++=was
making ^vbg+++xvbgx+=making
to ^to++++=to
keep ^vbi++++=keep
the ^ati++++=the
bubble ^nn++++=bubble
inflated ^vwbn+++xvbn+=inflated.
. ^zz++++=EXTRAWORD
The ^ati++++=The
vagrant ^jj+atrb+++=vagrant
population ^nn+nom+++=population
of ^in++++=of
France ^np++++=France
was ^vbd+bedz+aux++=was
swept ^vpsv++agls+xvbnx+=swept
off ^in+pl+++=off
from ^in++++=from
the ^ati++++=the
streets ^nns++++=streets
at ^in++++=at
night ^nn++++=night,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
conveyed ^vpsv++agls+xvbn+=conveyed
to ^in++++=to
Havre ^np+++??+=Havre
de ^&fw++++=de
Grace ^nn++++=Grace,
, ^zz++++=EXTRAWORD
to ^to++++=to
be ^vbi+vbi+aux++=be
shipped ^vpsv++agls+xvbnx+=shipped
to ^in++++=to
the ^ati++++=the
projected ^jj+atrb++xvbn+=projected
colonies ^nns++++=colonies;
; ^zz++++=EXTRAWORD
even ^rb++++=even
laboring ^jj+atrb++xvbg+=laboring
people ^nns++++=people
and ^cc++++=and
mechanics ^nn++++=mechanics
were ^vbd+bed+aux++=were
thus ^rb+cnj+splt++=thus
crimped ^vpsv++agls+xvbnx+=crimped
and ^cc++++=and
spirited ^jj++++=spirited
away ^rp+pl+++=away.
. ^zz++++=EXTRAWORD
As ^ql++++=As
Count ^npt++++=Count
Antoine ^np+++??+=Antoine
was ^vbd+bedz+vrb++=was
in ^in++++=in
the ^ati++++=the
habit ^nn++++=habit
of ^in++++=of
sallying ^xvbg+++xvbg+=sallying
forth ^np++++=forth
at ^rb++++=at
night ^nn++++=night,
, ^zz++++=EXTRAWORD
in ^in++++=in
disguise ^nn++++=disguise,
, ^zz++++=EXTRAWORD
in ^in++++=in
pursuit ^nn++++=pursuit
of ^in++++=of
his ^pp$+pp3+++=his
pleasures ^nns++++=pleasures,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
came ^vbd+++xvbnx+=came
near ^in+pl+++=near
being ^nn+nn+aux++=being
carried ^vbd+++xvbn+=carried
off ^rb+phrv+++=off
by ^in++++=by
a ^at++++=a
gang ^nn++++=gang
of ^in++++=of
crimps ^nns+++??+=crimps;
; ^zz++++=EXTRAWORD
it ^pp3+it+++=it
seemed ^vbd+seem++xvbn+=seemed,
, ^zz++++=EXTRAWORD
in ^in++++=in
fact ^nn++++=fact,
, ^zz++++=EXTRAWORD
as ^cs+sub+++=as
if ^cs+cnd+++=if
they ^pp3a+pp3+++=they
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
lying ^vbg+++xvbgx+=lying
in ^in++++=in
wait ^nn++++=wait
for ^in++++=for
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
as ^ql++++=as
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
experienced ^vprf+++xvbnx+=experienced
very ^ql+amp+++=very
rough ^np++++=rough
treatment ^nn+nom+++=treatment
at ^in++++=at
their ^pp$+pp3+++=their
hands ^nns++++=hands.
. ^zz++++=EXTRAWORD
Complaint ^nn++++=Complaint
was ^vbd+bedz+aux++=was
made ^vpsv++agls+xvbnx+=made
of ^in++++=of
his ^pp$+pp3+++=his
case ^nn++++=case
by ^in++++=by
his ^pp$+pp3+++=his
relation ^nn+nom+++=relation,
, ^zz++++=EXTRAWORD
the ^ati++++=the
Marquis ^npt++++=Marquis
de ^&fw++++=de
Crqui ^np+++??+=Crqui,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
took ^vbd+++xvbn+=took
much ^ap++++=much
interest ^nn++++=interest
in ^in++++=in
the ^ati++++=the
youth ^nn++++=youth;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
the ^ati++++=the
Marquis ^npt++++=Marquis
received ^vbd+++xvbn+=received
mysterious ^jj+atrb+++=mysterious
intimations ^nns+nom+++=intimations
not ^xnot++not++=not
to ^to++++=to
interfere ^vbi++++=interfere
in ^in++++=in
the ^ati++++=the
matter ^nn++++=matter,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
to ^to++++=to
advise ^vbi+vpub+++=advise
the ^ati++++=the
Count ^nn++++=Count
to ^to++++=to
quit ^vbi++++=quit
Paris ^np++++=Paris
immediately ^rb+tm+++=immediately;
; ^zz++++=EXTRAWORD
" ^zz++++="If
if ^cs+cnd+++=EXTRAWORD
he ^pp3a+pp3+++=he
lingers ^nns+nom+++=lingers,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
is ^vbz+bez+aux++=is
lost ^vpsv++agls+xvbnx+=lost!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
This ^dt+pdem+++=This
has ^vbz+hvz+aux++=has
been ^vprf+ben+aux+xvbnx+=been
cited ^vpsv++agls+xvbnx+=cited
as ^ql++++=as
a ^at++++=a
proof ^nn++++=proof
that ^tht+ncmp+++=that
vengeance ^nn+nom+++=vengeance
was ^vbd+bedz+aux++=was
dogging ^vbg+++xvbgx+=dogging
at ^rb++++=at
the ^ati++++=the
heels ^nns++++=heels
of ^in++++=of
the ^ati++++=the
unfortunate ^jj+atrb+++=unfortunate
youth ^nn++++=youth,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
only ^rb+down+++=only
watching ^vbg+++xvbg+=watching
for ^in+ppvb+++=for
an ^at++++=an
opportunity ^nn+nom+++=opportunity
to ^to+ncmp+++=to
destroy ^vbi++++=destroy
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
Such ^abl++++=Such
opportunity ^nn+nom+++=opportunity
occurred ^vbd+++xvbn+=occurred
but ^cc++++=but
too ^rb++++=too
soon ^rb+tm+++=soon.
. ^zz++++=EXTRAWORD
Among ^in++++=Among
the ^ati++++=the
loose ^jj+atrb+++=loose
companions ^nns++++=companions
with ^in++++=with
whom ^whp+rel+pied++=whom
the ^ati++++=the
Count ^npt++++=Count
had ^vbd+hvd+aux++=had
become ^vb++++=become
intimate ^jj++++=intimate,
, ^zz++++=EXTRAWORD
were ^vbd+bed+vrb++=were
two ^cd++++=two
who ^whp+rel+subj++=who
lodged ^vbd+++xvbn+=lodged
in ^in++++=in
the ^ati++++=the
same ^ap++++=same
hotel ^nn++++=hotel
with ^in++++=with
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
One ^cd1++++=One
was ^vbd+bedz+vrb++=was
a ^at++++=a
youth ^nn++++=youth
only ^rb+down+++=only
twenty ^cd++++=twenty
years ^nns++++=years
of ^in++++=of
age ^nn++++=age,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
passed ^vbd+++xvbn+=passed
himself ^ppl+pp3+++=himself
off ^in+pl+++=off
as ^ql++++=as
the ^ati++++=the
Chevalier ^np+nom++??+=Chevalier
d ^zz++++=d'Etampes,
'etampes, ^nn+++??+=EXTRAWORD
but ^cc+cls+++=but
whose ^whp+who+++=whose
real ^jj+atrb+++=real
name ^nn++++=name
was ^vbd+bedz+vrb++=was
Lestang ^np+++??+=Lestang,
, ^zz++++=EXTRAWORD
the ^ati++++=the
prodigal ^jj+atrb+++=prodigal
son ^nn++++=son
of ^in++++=of
a ^at++++=a
Flemish ^jj+atrb+++=Flemish
banker ^nn++++=banker.
. ^zz++++=EXTRAWORD
The ^ati++++=The
other ^ap++++=other,
, ^zz++++=EXTRAWORD
named ^j+++xvbn+=named
Laurent ^np+++??+=Laurent
de ^&fw++++=de
Mille ^np+++??+=Mille,
, ^zz++++=EXTRAWORD
a ^at++++=a
Piedmontese ^np+nom++??+=Piedmontese,
, ^zz++++=EXTRAWORD
was ^vbd+bedz+vrb++=was
a ^at++++=a
cashiered ^jj+++xvbn+=cashiered
captain ^npt++++=captain,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
at ^in++++=at
the ^ati++++=the
time ^nn++++=time
an ^at++++=an
esquire ^nn+++??+=esquire
in ^in++++=in
the ^ati++++=the
service ^nn++++=service
of ^in++++=of
the ^ati++++=the
dissolute ^jj+atrb+++=dissolute
Princess ^nns+nom+++=Princess
de ^&fw++++=de
Carignan ^np+nom++??+=Carignan,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
kept ^vbd+++xvbn+=kept
gambling ^nn+nom+++=gambling-tables
- ^zz++++=EXTRAWORD
tables ^nns++++=EXTRAWORD
in ^in++++=in
her ^pp3o+pp3+++=her
palace ^npl++++=palace.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
is ^vbz+bez+vrb++=is
probable ^jj+pred+++=probable
that ^tht+jcmp+++=that
gambling ^nn+nom+++=gambling
propensities ^nns+nom+++=propensities
had ^vbd+hvd+aux++=had
driven ^vprf+++xvbnx+=driven
these ^dt+dem+++=these
young ^jj+atrb+++=young
men ^nns++++=men
together ^nn+nom+++=together,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
that ^tht+vcmp+++=that
their ^pp$+pp3+++=their
losses ^nns++++=losses
had ^vbd+hvd+aux++=had
brought ^vprf+++xvbnx+=brought
them ^pp3o+pp3+++=them
to ^in++++=to
desperate ^jj+atrb+++=desperate
measures ^nns++++=measures:
: ^zz++++=EXTRAWORD
certain ^jj++++=certain
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is,
, ^zz++++=EXTRAWORD
that ^dt+dem+++=that
all ^abn++++=all
Paris ^np++++=Paris
was ^vbd+bedz+aux++=was
suddenly ^rb++splt++=suddenly
astounded ^vpsv++by+xvbnx+=astounded
by ^in++++=by
a ^at++++=a
murder ^nn++++=murder
which ^whp+rel+obj++=which
they ^pp3a+pp3+++=they
were ^vbd+bed+aux++=were
said ^vpsv++agls+xvbnx+=said
to ^to+vcmp+++=to
have ^vbi+vbi+aux++=have
committed ^vprf+++xvbnx+=committed.
. ^zz++++=EXTRAWORD
What ^wdt+who+++=What
made ^vprf+++xvbn+=made
the ^ati++++=the
crime ^nn++++=crime
more ^rbr++++=more
startling ^jj++++=startling,
, ^zz++++=EXTRAWORD
was ^vbd+bedz+vrb++=was,
, ^zz++++=EXTRAWORD
that ^tht+vcmp+++=that
it ^pp3+it+++=it
seemed ^vbd+seem++xvbn+=seemed
connected ^vbd+++xvbn+=connected
with ^in++++=with
the ^ati++++=the
great ^jj+atrb+++=great
Mississippi ^np+++??+=Mississippi
scheme ^nn++++=scheme,
, ^zz++++=EXTRAWORD
at ^rb++++=at
that ^dt+dem+++=that
time ^nn++++=time
the ^ati++++=the
fruitful ^jj+atrb+++=fruitful
source ^nn++++=source
of ^in++++=of
all ^abn++++=all
kinds ^nns++++=kinds
of ^in++++=of
panics ^nns++++=panics
and ^cc++++=and
agitations ^nns+nom+++=agitations.
. ^zz++++=EXTRAWORD
A ^at++++=A
Jew ^nn++++=Jew,
, ^zz++++=EXTRAWORD
a ^at++++=a
stock ^nn++++=stock-broker,
- ^zz++++=EXTRAWORD
broker ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
dealt ^vbd+++xvbn+=dealt
largely ^rb++++=largely
in ^in++++=in
shares ^nns++++=shares
of ^in++++=of
the ^ati++++=the
bank ^nn++++=bank
of ^in++++=of
Law ^nn++++=Law,
, ^zz++++=EXTRAWORD
founded ^j+++xvbn+=founded
on ^in++++=on
the ^ati++++=the
Mississippi ^np+++??+=Mississippi
scheme ^nn++++=scheme,
, ^zz++++=EXTRAWORD
was ^vbd+bedz+vrb++=was
the ^ati++++=the
victim ^nn++++=victim.
. ^zz++++=EXTRAWORD
The ^ati++++=The
story ^nn++++=story
of ^in++++=of
his ^pp$+pp3+++=his
death ^nn++++=death
is ^vbz+bez+aux++=is
variously ^rb++splt++=variously
related ^vpsv++agls+xvbnx+=related.
. ^zz++++=EXTRAWORD
The ^ati++++=The
darkest ^jjt+atrb+++=darkest
account ^nn++++=account
states ^nns++++=states,
, ^zz++++=EXTRAWORD
that ^tht+vcmp+++=that
the ^ati++++=the
Jew ^nn++++=Jew
was ^vbd+bedz+aux++=was
decoyed ^vpsv++by+xvbnx+=decoyed
by ^in++++=by
these ^dt+dem+++=these
young ^jj+atrb+++=young
men ^nns++++=men
into ^in++++=into
an ^at++++=an
obscure ^jj+atrb+++=obscure
tavern ^nn++++=tavern,
, ^zz++++=EXTRAWORD
under ^in++++=under
pretext ^nn++++=pretext
of ^in++++=of
negotiating ^xvbg+++xvbg+=negotiating
with ^in++++=with
him ^pp3o+pp3+++=him
for ^in++++=for
bank ^nn++++=bank
shares ^vbz++++=shares
to ^in++++=to
the ^ati++++=the
amount ^nn++++=amount
of ^in++++=of
one ^cd1++++=one
hundred ^cd++++=hundred
thousand ^cd++++=thousand
crowns ^nns++++=crowns,
, ^zz++++=EXTRAWORD
which ^whp+rel+obj++=which
he ^pp3a+pp3+++=he
had ^vb+hv+vrb++=had
with ^in++++=with
him ^pp3o+pp3+++=him
in ^in++++=in
his ^pp$+pp3+++=his
pocket ^nn++++=pocket-book.
- ^zz++++=EXTRAWORD
book ^nn++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Lestang ^np+++??+=Lestang
kept ^vbd+++xvbn+=kept
watch ^vb++++=watch
upon ^in++++=upon
the ^ati++++=the
stairs ^nns++++=stairs.
. ^zz++++=EXTRAWORD
The ^ati++++=The
Count ^nn++++=Count
and ^cc++++=and
De ^&fw++++=De
Mille ^np+++??+=Mille
entered ^vbd+++xvbn+=entered
with ^in++++=with
the ^ati++++=the
Jew ^nn++++=Jew
