Mme ^npt++++=Mme.
to ^in++++=to
them ^pp3o+pp3+++=them.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
had ^vbd+hvd+aux++=had
been ^vprf+ben+vrb+xvbnx+=been
no ^at++++=no
change ^nn++++=change
made ^vbd+++xvbn+=made
in ^in++++=in
the ^ati++++=the
vegetable ^nn++++=vegetable
garden ^nn++++=garden,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but-yes
- ^zz++++=EXTRAWORD
yes ^uh++++=EXTRAWORD
there ^rn+pl+++=there
had ^vb+hv+vrb++=had;
; ^zz++++=EXTRAWORD
Adrienne ^np++++=Adrienne's
's ^$++++=EXTRAWORD
quick ^jj+atrb+++=quick
eye ^nn++++=eye
at ^rb++++=at
once ^rb"+tm+++=once
detected ^vbd+++xvbn+=detected
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
Last ^rb++++=Last
year ^nn++++=year
old ^jj+atrb+++=old
Philippe ^np+++??+=Philippe
had ^vbd+hvd+aux++=had
planted ^vprf+++xvbnx+=planted
his ^pp$+pp3+++=his
cabbages ^nns+nom+++=cabbages
in ^in++++=in
a ^at++++=a
large ^jj+atrb+++=large
square ^nn++++=square
to ^in++++=to
the ^ati++++=the
right ^nn++++=right.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
year ^nn++++=year
they ^pp3a+pp3+++=they
were ^vbd+bed+aux++=were
set ^vpsv++agls+xvbnx+=set
out ^rb+phrv+++=out
in ^in++++=in
an ^at++++=an
oblong ^jj+atrb+++=oblong
bed ^nn++++=bed
to ^in++++=to
the ^ati++++=the
left ^nn+++xvbn+=left.
. ^zz++++=EXTRAWORD
How ^wrb+who+++=How
it ^pp3+it+++=it
made ^vbd+++xvbn+=made
Sister ^npt++++=Sister
Agathe ^np+++??+=Agathe
laugh ^nn++++=laugh
to ^to++++=to
think ^vbi+vprv+tht0++=think
Adrienne ^np+++??+=Adrienne
should ^md+nec+++=should
have ^vb+hv+aux++=have
noticed ^vprf+++xvbnx+=noticed
such ^abl++++=such
a ^at++++=a
trifle ^nn++++=trifle!
! ^zz++++=EXTRAWORD
And ^cc+cls+++=And
old ^jj+atrb+++=old
Philippe ^np+++??+=Philippe,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
was ^vbd+bedz+vrb++=was
nailing ^nn+nom+++=nailing
a ^at++++=a
broken ^jj+atrb++xvbn+=broken
trellis ^nn++++=trellis
not ^xnot++not++=not
far ^rb+pl+++=far
off ^in+strn+++=off,
, ^zz++++=EXTRAWORD
was ^vbd+bedz+aux++=was
called ^vpsv++agls+xvbnx+=called
forward ^rb+phrv+++=forward
to ^in+ppvb+++=to
be ^vbi+vbi+aux++=be
told ^vpsv++agls+xvbnx+=told
about ^in++++=about
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
never ^rb++++=never
failed ^vbd+++xvbn+=failed
to ^to+vcmp+++=to
tell ^vbi++++=tell
Adrienne ^np+++??+=Adrienne
how ^wrb+who+++=how
well ^rb++++=well
she ^pp3a+pp3+++=she
looked ^vbd+++xvbnx+=looked,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
how ^wrb+who+++=how
she ^pp3a+pp3+++=she
was ^vbd+bedz+aux++=was
growing ^vbg+++xvbgx+=growing
younger ^jjr++++=younger
each ^dt++++=each
year ^nn++++=year.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
his ^pp$+pp3+++=his
delight ^nn++++=delight
to ^to++++=to
recall ^vbi+vprv+++=recall
certain ^jj++++=certain
of ^in++++=of
her ^pp$+pp3+++=her
youthful ^jj+atrb+++=youthful
and ^cc+phrs+++=and
mischievous ^jj+atrb+++=mischievous
escapades ^nns++++=escapades.
. ^zz++++=EXTRAWORD
Never ^rb++++=Never
would ^md+prd+++=would
he ^pp3a+pp3+++=he
forget ^vb+vprv+++=forget
that ^tht+vcmp+++=that
day ^nn++++=day
she ^pp3a+pp3+++=she
disappeared ^vbd+seem++xvbnx+=disappeared;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
whole ^jj+atrb+++=whole
convent ^nn++++=convent
in ^in++++=in
a ^at++++=a
hubbub ^nn++++=hubbub
about ^in++++=about
it ^pp3+it+++=it!
! ^zz++++=EXTRAWORD
And ^cc+cls+++=And
how ^wrb+who+++=how
at ^rb++++=at
last ^rb"++++=last
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
he ^pp3a+pp3+++=he
who ^whp+who+++=who
discovered ^vbd+vprv+tht0+xvbn+=discovered
her ^pp$+pp3+++=her
perched ^vwbn+++xvbn+=perched
among ^in++++=among
the ^ati++++=the
tallest ^jjt+atrb+++=tallest
branches ^nns++++=branches
of ^in++++=of
the ^ati++++=the
highest ^jjt+atrb+++=highest
tree ^nn++++=tree
on ^in++++=on
the ^ati++++=the
grounds ^nns++++=grounds,
, ^zz++++=EXTRAWORD
where ^wrb+who+++=where
she ^pp3a+pp3+++=she
had ^vbd+hvd+aux++=had
climbed ^vprf+++xvbnx+=climbed
to ^to++++=to
see ^vbi+vprv+++=see
if ^cs+cnd+++=if
she ^pp3a+pp3+++=she
could ^md+pos+++=could
get ^vb++++=get
a ^at++++=a
glimpse ^nn++++=glimpse
of ^in++++=of
Paris ^np++++=Paris!
! ^zz++++=EXTRAWORD
And ^cc+cls+++=And
her ^pp$+pp3+++=her
punishment ^nn+nom+++=punishment
afterwards! ^nn+++??+=afterwards!-half
- ^zz++++=EXTRAWORD
half ^abn++++=EXTRAWORD
of ^in++++=of
the ^ati++++=the
Gospel ^nn++++=Gospel
of ^in++++=of
Palm ^nn++++=Palm
Sunday ^nr++++=Sunday
to ^to++++=to
learn ^vbi+vprv+++=learn
by ^in++++=by
heart ^nn++++=heart!
! ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
may ^md+pos+++=may
laugh ^vb++++=laugh
over ^in++++=over
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
my ^pp$+pp1+++=my
good ^jj+atrb+++=good
Philippe ^np+++??+=Philippe,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
we ^pp1a+pp1+++=we
must ^md+nec+++=must
remember ^nn+nom+++=remember
that ^tht+vcmp+++=that
Madame ^npt++++=Madame
is ^vbz+bez+vrb++=is
older ^jjr+pred+++=older
and ^cc+phrs+++=and
wiser ^jjr++++=wiser
now ^rn+tm+++=now."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
know ^vb+vprv+++=know
well ^jj+pred+++=well,
, ^zz++++=EXTRAWORD
Sister ^nn++++=Sister
Agathe ^np+++??+=Agathe,
, ^zz++++=EXTRAWORD
that ^tht+vcmp+++=that
one ^cd1++++=one
ceases ^vbz++++=ceases
to ^to++++=to
commit ^vbi++++=commit
follies ^nns++++=follies
after ^in++++=after
the ^ati++++=the
first ^od++++=first
days ^nns++++=days
of ^in++++=of
youth ^nn++++=youth."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
And ^cc++++=And
Adrienne ^np+++??+=Adrienne
seemed ^vbd+seem++xvbn+=seemed
greatly ^rb+amp+++=greatly
impressed ^vpsv++by+xvbn+=impressed
by ^in++++=by
the ^ati++++=the
wisdom ^nn++++=wisdom
of ^in++++=of
Sister ^nn++++=Sister
Agathe ^np+++??+=Agathe
and ^cc++++=and
old ^jj+atrb+++=old
Philippe ^np+++??+=Philippe,
, ^zz++++=EXTRAWORD
the ^ati++++=the
convent ^nn++++=convent
gardener ^nn+nom+++=gardener.
. ^zz++++=EXTRAWORD
A ^rb++++=A
little ^rb"++++=little
later ^rbr+tm+++=later
when ^wrb+who+++=when
they ^pp3a+pp3+++=they
sat ^vbd+++xvbnx+=sat
upon ^in++++=upon
a ^at++++=a
rustic ^jj+atrb+++=rustic
bench ^nn++++=bench
which ^whp+rel+subj++=which
overlooked ^vbd+vprv++xvbn+=overlooked
the ^ati++++=the
smiling ^jj+atrb++xvbg+=smiling
landscape ^nn++++=landscape
about ^rb++++=about
them ^pp3o+pp3+++=them,
, ^zz++++=EXTRAWORD
Adrienne ^np+++??+=Adrienne
was ^vbd+bedz+aux++=was
saying ^vbg+++xvbgx+=saying
to ^to+vcmp+++=to
Sister ^vb++++=Sister
Agathe ^np+++??+=Agathe,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
held ^vbd+vprv++xvbn+=held
her ^pp$+pp3+++=her
hand ^nn++++=hand
and ^cc++++=and
stroked ^vbd+++xvbn+=stroked
it ^pp3+it+++=it
fondly ^rb++++=fondly:
: ^zz++++=EXTRAWORD
" ^zz++++="Do
do ^vb+do+aux++=EXTRAWORD
you ^pp2+pp2+++=you
remember ^nn+nom+++=remember
my ^pp$+pp1+++=my
first ^od++++=first
visit ^vb++++=visit,
, ^zz++++=EXTRAWORD
four ^cd++++=four
years ^nns++++=years
ago ^rb+cnj+++=ago,
, ^zz++++=EXTRAWORD
Sister ^nn++++=Sister
Agathe ^np+++??+=Agathe?
? ^zz++++=EXTRAWORD
and ^cc+cls+++=and
what ^wdt+who+++=what
a ^at++++=a
surprise ^nn++++=surprise
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
to ^to++++=to
you ^pp2+pp2+++=you
all ^rb++++=all!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="As
as ^cs+sub+++=EXTRAWORD
if ^cs+cnd+++=if
I ^pp1a+pp1+++=I
could ^md+pos+++=could
forget ^vb+vprv+tht0++=forget
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
dear ^jj+atrb+++=dear
child ^nn++++=child!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="And
and ^cc++++=EXTRAWORD
I ^pp1a+pp1+++=I!
! ^zz++++=EXTRAWORD
Always ^rb++++=Always
shall ^md+prd+++=shall
I ^pp1a+pp1+++=I
remember ^nn+nom+++=remember
that ^tht+vcmp+++=that
morning ^nn++++=morning
as ^ql++++=as
I ^pp1a+pp1+++=I
walked ^vbd+++xvbnx+=walked
along ^in++++=along
the ^ati++++=the
boulevard ^&fw++++=boulevard
with ^in++++=with
a ^at++++=a
heaviness ^nns+nom+++=heaviness
of ^in++++=of
heart ^nn++++=heart-oh,
- ^zz++++=EXTRAWORD
oh ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
a ^at++++=a
heaviness ^nns+nom+++=heaviness
which ^whp+rel+obj++=which
I ^pp1a+pp1+++=I
hate ^vb++++=hate
to ^to+vcmp+++=to
recall ^vbi+vprv+++=recall.
. ^zz++++=EXTRAWORD
Suddenly ^rb++++=Suddenly
there ^ex+pex+++=there
was ^vbd+bedz+aux++=was
wafted ^vpsv++agls+xvbnx+=wafted
to ^in++++=to
me ^pp1o+pp1+++=me
the ^ati++++=the
sweet ^jj+atrb+++=sweet
odor ^nn++++=odor
of ^in++++=of
lilac ^jj+atrb+++=lilac
blossoms ^nns+++??+=blossoms.
. ^zz++++=EXTRAWORD
A ^at++++=A
young ^jj+atrb+++=young
girl ^nn++++=girl
had ^vbd+hvd+aux++=had
passed ^vprf+++xvbnx+=passed
me ^pp1o+pp1+++=me
by ^in+strn+++=by,
, ^zz++++=EXTRAWORD
carrying ^vbg+++xvbg+=carrying
a ^at++++=a
great ^jj+atrb+++=great
bunch ^nn++++=bunch
of ^in++++=of
them ^pp3o+pp3+++=them.
. ^zz++++=EXTRAWORD
Did ^vbd+dod+aux++=Did
you ^pp2+pp2+++=you
ever ^rb++++=ever
know ^vb+vprv+++=know,
, ^zz++++=EXTRAWORD
Sister ^nn++++=Sister
Agathe ^np+++??+=Agathe,
, ^zz++++=EXTRAWORD
that ^tht+vcmp+++=that
there ^ex+pex+++=there
is ^vbz+bez+vrb++=is
nothing ^pn++++=nothing
which ^whp+who+++=which
so ^rb++++=so
keenly ^rb++++=keenly
revives ^nns++++=revives
a ^at++++=a
memory ^nn++++=memory
as ^in++++=as
a ^at++++=a
perfume ^nn++++=perfume-an
- ^zz++++=EXTRAWORD
an ^at++++=EXTRAWORD
odor ^nn++++=odor?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
believe ^vb+vprv+tht0++=believe
you ^pp2+pp2+++=you
are ^vb+ber+vrb++=are
right ^jj+pred+++=right,
, ^zz++++=EXTRAWORD
Adrienne ^np+++??+=Adrienne.
. ^zz++++=EXTRAWORD
For ^in++++=For
now ^rn+tm+++=now
that ^cs+sub+++=that
you ^pp2+pp2+++=you
speak ^vb++++=speak
of ^in++++=of
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
can ^md+pos+++=can
feel ^vb+vprv+++=feel
how ^wrb+who+whcl++=how
the ^ati++++=the
odor ^nn++++=odor
of ^in++++=of
fresh ^jj+atrb+++=fresh
bread ^nn++++=bread-when
- ^zz++++=EXTRAWORD
when ^wrb+who+++=EXTRAWORD
Sister ^nn++++=Sister
Jeanne ^np++++=Jeanne
bakes ^nns+++??+=bakes-always
- ^zz++++=EXTRAWORD
always ^rb++++=EXTRAWORD
makes ^vbz++++=makes
me ^pp1o+pp1+++=me
think ^vb+vprv+++=think
of ^in++++=of
the ^ati++++=the
great ^jj+atrb+++=great
kitchen ^nn++++=kitchen
of ^in++++=of
ma ^npt++++=ma
tante ^nn+++??+=tante
de ^&fw++++=de
Sierge ^np+++??+=Sierge,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
crippled ^xvbn+++xvbn+=crippled
Julie ^np++++=Julie,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
sat ^vbd+++xvbn+=sat
always ^rb++++=always
knitting ^nvbg+++xvbg+=knitting
at ^rb++++=at
the ^ati++++=the
sunny ^jj+atrb+++=sunny
window ^nn++++=window.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
I ^pp1a+pp1+++=I
never ^rb++++=never
smell ^vb++++=smell
the ^ati++++=the
sweet ^jj+atrb+++=sweet
scented ^jj+atrb++xvbn+=scented
honeysuckle ^nn++++=honeysuckle
without ^in++++=without
living ^xvbg+++xvbg+=living
again ^rb+tm+++=again
through ^in++++=through
the ^ati++++=the
blessed ^jj+atrb++xvbn+=blessed
day ^nn++++=day
of ^in++++=of
my ^pp$+pp1+++=my
first ^od++++=first
communion ^nn++++=communion."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Well,
well ^rb+cnj+++=EXTRAWORD
, ^zz++++=EXTRAWORD
that ^dt+pdem+++=that
is ^vbz+bez+vrb++=is
how ^wrb+who+++=how
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
with ^in++++=with
me ^pp1o+pp1+++=me,
, ^zz++++=EXTRAWORD
Sister ^nn++++=Sister
Agathe ^np+++??+=Agathe,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
the ^ati++++=the
scent ^nn++++=scent
of ^in++++=of
the ^ati++++=the
lilacs ^nns++++=lilacs
at ^rb++++=at
once ^rb"+tm+++=once
changed ^vbd+++xvbn+=changed
the ^ati++++=the
whole ^jj++++=whole
current ^jj++++=current
of ^in++++=of
my ^pp$+pp1+++=my
thoughts ^nns++++=thoughts
and ^cc++++=and
my ^pp$+pp1+++=my
despondency ^nn++++=despondency.
. ^zz++++=EXTRAWORD
The ^ati++++=The
boulevard ^&fw++++=boulevard,
, ^zz++++=EXTRAWORD
its ^pp$+it+++=its
noises ^nns++++=noises,
, ^zz++++=EXTRAWORD
its ^pp$+it+++=its
passing ^nvbg+++xvbg+=passing
throng ^nn++++=throng.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
vanished ^j+++xvbn+=vanished
from ^in++++=from
before ^rb++++=before
my ^pp$+pp1+++=my
senses ^nns++++=senses
as ^in++++=as
completely ^rb+amp+++=completely
as ^cs+sub+++=as
if ^cs+cnd+++=if
they ^pp3a+pp3+++=they
had ^vbd+hvd+aux++=had
been ^vprf+ben+vrb+xvbnx+=been
spirited ^jj++++=spirited
away ^rp+pl+++=away.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
was ^vbd+bedz+aux++=was
standing ^vbg+++xvbgx+=standing
here ^rn+pl+++=here
with ^in++++=with
my ^pp$+pp1+++=my
feet ^nns++++=feet
sunk ^vbd+++xvbn+=sunk
in ^in++++=in
the ^ati++++=the
green ^jj+atrb+++=green
sward ^nn++++=sward
as ^ql++++=as
they ^pp3a+pp3+++=they
are ^vb+ber+vrb++=are
now ^rn+tm+++=now.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
could ^md+pos+++=could
see ^vb+vprv+++=see
the ^ati++++=the
sunlight ^nn++++=sunlight
glancing ^vwbg+++xvbg+=glancing
from ^in++++=from
that ^dt+dem+++=that
old ^jj+atrb+++=old
white ^jj+atrb+++=white
stone ^nn++++=stone
wall ^nn++++=wall,
, ^zz++++=EXTRAWORD
could ^md+pos+++=could
hear ^vb+vprv+++=hear
the ^ati++++=the
notes ^nns++++=notes
of ^in++++=of
birds ^nns++++=birds,
, ^zz++++=EXTRAWORD
just ^rb+emph+++=just
as ^ql++++=as
we ^pp1a+pp1+++=we
hear ^vb+vprv+++=hear
them ^pp3o+pp3+++=them
now ^rn+tm+++=now,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
humming ^jj+++xvbg+=humming
of ^in++++=of
insects ^nns++++=insects
in ^in++++=in
the ^ati++++=the
air ^nn++++=air.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
through ^in++++=through
all ^abn++++=all
I ^pp1a+pp1+++=I
could ^md+pos+++=could
see ^vb+vprv+++=see
and ^cc++++=and
could ^md+pos+++=could
smell ^vb++++=smell
the ^ati++++=the
lilac ^jj+atrb+++=lilac
blossoms ^nns+++??+=blossoms,
, ^zz++++=EXTRAWORD
nodding ^vbg+++xvbg+=nodding
invitingly ^rb++++=invitingly
to ^in++++=to
me ^pp1o+pp1+++=me
from ^in++++=from
their ^pp$+pp3+++=their
thick ^jj++++=thick-leaved
- ^zz++++=EXTRAWORD
leaved ^jj+atrb++xvbn+=EXTRAWORD
branches ^nns++++=branches.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
seems ^vbz+seem+++=seems
to ^to+vcmp+++=to
me ^vbi++++=me
they ^pp3a+pp3+++=they
are ^vb+ber+vrb++=are
richer ^jjr+pred+++=richer
than ^in++++=than
ever ^rb++++=ever
this ^dt+dem+++=this
year ^nn++++=year,
, ^zz++++=EXTRAWORD
Sister ^nn++++=Sister
Agathe ^np+++??+=Agathe.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
do ^vb+do+aux++=do
you ^pp2+pp2+++=you
know ^vb+vprv+++=know,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
became ^vbd+++xvbnx+=became
like ^in++++=like
an ^at++++=an
enrag ^nn+++??+=enrag
e ^zz++++=e;
; ^zz++++=EXTRAWORD
nothing ^pn++++=nothing
could ^md+pos+++=could
have ^vb+hv+aux++=have
kept ^vprf+++xvbnx+=kept
me ^pp1o+pp1+++=me
back ^jjb++++=back.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
do ^vb+do+aux++=do
not ^xnot++not++=not
remember ^nn+nom+++=remember
now ^rn+tm+++=now
where ^wrb+who+++=where
I ^pp1a+pp1+++=I
was ^vbd+bedz+aux++=was
going ^vbg+++xvbgx+=going;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
I ^pp1a+pp1+++=I
turned ^vbd+++xvbnx+=turned
and ^cc+phrs+++=and
retraced ^vbd+++xvbn+=retraced
my ^pp$+pp1+++=my
steps ^nns++++=steps
homeward ^rb++++=homeward
in ^in++++=in
a ^at++++=a
perfect ^jj+atrb+++=perfect
fever ^nn++++=fever
of ^in++++=of
agitation ^nn+nom+++=agitation:
: ^zz++++=EXTRAWORD
' ^zz++++='Sophie!
sophie ^np++++=EXTRAWORD
! ^zz++++=EXTRAWORD
My ^pp$+pp1+++=My
little ^jj+atrb+++=little
trunk ^nn++++=trunk-quick-the
- ^zz++++=EXTRAWORD
quick ^jj++++=EXTRAWORD
- ^zz++++=EXTRAWORD
the ^ati++++=EXTRAWORD
black ^jj+atrb+++=black
one ^pn++++=one!
! ^zz++++=EXTRAWORD
A ^at++++=A
mere ^jjb+atrb+++=mere
handful ^nn+nom+++=handful
of ^in++++=of
clothes ^nns++++=clothes!
! ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
am ^vb+bem+aux++=am
going ^vbg+++xvbgx+=going
away ^rp+pl+++=away.
. ^zz++++=EXTRAWORD
Do ^vb+do+aux++=Don't
n't ^xnot++not++0=EXTRAWORD
ask ^vb++++=ask
me ^pp1o+pp1+++=me
any ^dti++++=any
questions ^nns+nom+++=questions.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
shall ^md+prd+++=shall
be ^vb+be+vrb++=be
back ^jjb+pred+++=back
in ^in++++=in
a ^at++++=a
fortnight ^nn++++=fortnight.'
. ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
And ^cc++++=And
every ^at++++=every
year ^nn++++=year
since ^cs+sub+++=since
then ^rn+tm+++=then
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
the ^ati++++=the
same ^ap++++=same.
. ^zz++++=EXTRAWORD
At ^rb++++=At
the ^ati++++=the
very ^ql+amp+++=very
first ^rb++++=first
whiff ^nn++++=whiff
of ^in++++=of
a ^at++++=a
lilac ^nn++++=lilac
blossom ^vb++++=blossom,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
am ^vb+bem+aux++=am
gone ^vpsv++agls+xvbnx+=gone!
! ^zz++++=EXTRAWORD
There ^ex+pex+++=There
is ^vbz+bez+vrb++=is
no ^at++++=no
holding ^jj+++xvbg+=holding
me ^pp1o+pp1+++=me
back ^jjb++++=back."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="And
and ^cc+cls+++=EXTRAWORD
how ^wrb+who+++=how
I ^pp1a+pp1+++=I
wait ^vb++++=wait
for ^in++++=for
you ^pp2+pp2+++=you,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
watch ^vb++++=watch
those ^dt+dem+++=those
lilac ^nn++++=lilac
bushes ^nns++++=bushes,
, ^zz++++=EXTRAWORD
Adrienne ^np+++??+=Adrienne!
! ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
you ^pp2+pp2+++=you
should ^md+nec+++=should
once ^rb+tm+splt++=once
fail ^vb++++=fail
to ^to+vcmp+++=to
come ^vbi++++=come,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
would ^md+prd+++=would
be ^vb+be+vrb++=be
like ^in++++=like
the ^ati++++=the
spring ^nn++++=spring
coming ^vwbg+++xvbg+=coming
without ^in++++=without
the ^ati++++=the
sunshine ^nn++++=sunshine
or ^cc++++=or
the ^ati++++=the
song ^nn++++=song
of ^in++++=of
birds ^nns++++=birds.
. ^zz++++=EXTRAWORD
" ^zz++++="But
but ^cc++++=EXTRAWORD
do ^vb+do+aux++=do
you ^pp2+pp2+++=you
know ^vb+vprv+++=know,
, ^zz++++=EXTRAWORD
dear ^jj+atrb+++=dear
child ^nn++++=child,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
have ^vb+hv+aux++=have
sometimes ^rb++splt++=sometimes
feared ^vprf+++xvbnx+=feared
that ^tht+vcmp+++=that
in ^in++++=in
moments ^nns+nom+++=moments
of ^in++++=of
despondency ^nn++++=despondency
such ^abl++++=such
as ^ql++++=as
you ^pp2+pp2+++=you
have ^vb+hv+aux++=have
just ^rb+emph+splt++=just
described ^vprf+++xvbnx+=described,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
fear ^vb++++=fear
that ^tht+vcmp+++=that
you ^pp2+pp2+++=you
do ^vb+do+vrb++=do
not ^xnot++not++=not
turn ^nn++++=turn
as ^ql++++=as
you ^pp2+pp2+++=you
might ^md+pos+++=might
to ^in++++=to
our ^pp$+pp1+++=our
Blessed ^jj+atrb++xvbn+=Blessed
Mother ^nn++++=Mother
in ^in++++=in
heaven ^nn++++=heaven,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
is ^vbz+bez+vrb++=is
ever ^rb++++=ever
ready ^jj+pred+++=ready
to ^to+jcmp+++=to
comfort ^vb++++=comfort
and ^cc++++=and
solace ^nn++++=solace
an ^at++++=an
afflicted ^jj+atrb++xvbn+=afflicted
heart ^nn++++=heart
with ^in++++=with
the ^ati++++=the
precious ^jj+atrb+++=precious
balm ^nn+++??+=balm
of ^in++++=of
her ^pp$+pp3+++=her
sympathy ^nn++++=sympathy
and ^cc++++=and
love ^nn++++=love."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Perhaps
perhaps ^rb++++=EXTRAWORD
I ^pp1a+pp1+++=I
do ^vb+do+vrb++=do
not ^xnot++not++=not,
, ^zz++++=EXTRAWORD
dear ^uh++++=dear
Sister ^nn++++=Sister
Agathe ^np+++??+=Agathe.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
you ^pp2+pp2+++=you
cannot ^md+pos+not++=cannot
picture ^vb++++=picture
the ^ati++++=the
annoyances ^nns+nom+++=annoyances
which ^whp+rel+obj++=which
I ^pp1a+pp1+++=I
am ^vb+bem+aux++=am
constantly ^rb++splt++=constantly
submitted ^vpsv++agls+xvbnx+=submitted
to ^in+strn+++=to.
. ^zz++++=EXTRAWORD
That ^tht+vcmp+++=That
Sophie ^np++++=Sophie
alone ^rb+cnj+++=alone,
, ^zz++++=EXTRAWORD
with ^in++++=with
her ^pp$+pp3+++=her
detestable ^jj+atrb+++=detestable
ways ^nns++++=ways!
! ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
assure ^vb++++=assure
you ^pp2+pp2+++=you
she ^pp3a+pp3+++=she
of ^in++++=of
herself ^ppl+pp3+++=herself
is ^vbz+bez+vrb++=is
enough ^qlp++++=enough
to ^to++++=to
drive ^vbi++++=drive
me ^pp1o+pp1+++=me
to ^in++++=to
St ^npt++++=St.
. ^zz++++=EXTRAWORD
Lazare ^np+++??+=Lazare."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Indeed,
indeed ^rb+cnj+++=EXTRAWORD
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
do ^vb+do+aux++=do
understand ^vb+vprv+++=understand
that ^tht+vcmp+++=that
the ^ati++++=the
trials ^nns++++=trials
of ^in++++=of
one ^cd1++++=one
living ^nvbg+++xvbg+=living
in ^in++++=in
the ^ati++++=the
world ^nn++++=world
must ^md+nec+++=must
be ^vb+be+vrb++=be
very ^ql+amp+++=very
great ^np++++=great,
, ^zz++++=EXTRAWORD
Adrienne ^np+++??+=Adrienne;
; ^zz++++=EXTRAWORD
particularly ^rb++++=particularly
for ^in++++=for
you ^pp2+pp2+++=you,
, ^zz++++=EXTRAWORD
my ^pp$+pp1+++=my
poor ^jj+atrb+++=poor
child ^nn++++=child,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
have ^md"++pmd"++=have
to ^md+nec+++=to
bear ^vb+vprv+++=bear
them ^pp3o+pp3+++=them
alone ^rb+cnj+++=alone,
, ^zz++++=EXTRAWORD
since ^cs+sub+++=since
Almighty ^jj+atrb+++=Almighty
God ^nn++++=God
was ^vbd+bedz+aux++=was
pleased ^jj++agls+xvbnx+=pleased
to ^to+jcmp+++=to
call ^vbi++++=call
to ^in++++=to
himself ^ppl+pp3+++=himself
