Adventures ^nns++++=Adventures,
. ^zz++++=EXTRAWORD
In ^in++++=In
the ^ati++++=the
third ^od++++=third-class
- ^zz++++=EXTRAWORD
class ^nn++++=EXTRAWORD
compartment ^nn+nom+++=compartment
next ^in+cmpx+++=next
to ^in"++++=to
his ^pp$+pp3+++=his
own ^ap++++=own
he ^pp3a+pp3+++=he
remembered ^vbd+vprv++xvbnx+=remembered
to ^to+vcmp+++=to
have ^vbi+vbi+aux++=have
seen ^vprf+++xvbnx+=seen
a ^at++++=a
peasant ^nn+nom+++=peasant
woman ^nn++++=woman,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
had ^vbd+hvd+aux++=had
entered ^vprf+++xvbnx+=entered
the ^ati++++=the
train ^nn++++=train
at ^rb++++=at
a ^at++++=a
small ^jj+atrb+++=small
wayside ^nn++++=wayside
station ^nn+nom+++=station.
. ^zz++++=EXTRAWORD
" ^zz++++="With
with ^in+cmpx+++=EXTRAWORD
the ^in"++++=the
exception ^in"++++=exception
of ^in"++++=of
that ^dt+dem+++=that
woman ^nn++++=woman,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
exclaimed ^vbd+++xvbnx+=exclaimed
dramatically ^rb++++=dramatically
to ^in++++=to
himself ^ppl+pp3+++=himself,
, ^zz++++=EXTRAWORD
" ^zz++++="the
the ^ati++++=EXTRAWORD
nearest ^jjt+atrb+++=nearest
living ^jj+atrb++xvbg+=living
beings ^nns++++=beings
are ^vb+ber+vrb++=are
probably ^rb++++=probably
a ^at++++=a
pack ^nn++++=pack
of ^in++++=of
wolves ^nps++++=wolves."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Before ^in++++=Before
making ^xvbg+++xvbg+=making
his ^pp$+pp3+++=his
way ^nn++++=way
to ^in++++=to
the ^ati++++=the
third ^od++++=third-class
- ^zz++++=EXTRAWORD
class ^nn++++=EXTRAWORD
compartment ^nn+nom+++=compartment
to ^to++++=to
acquaint ^vbi++++=acquaint
his ^pp$+pp3+++=his
fellow ^jjb++++=fellow-traveller
- ^zz++++=EXTRAWORD
traveller ^nn+nom+++=EXTRAWORD
with ^in++++=with
the ^ati++++=the
extent ^nn++++=extent
of ^in++++=of
the ^ati++++=the
disaster ^nn+nom+++=disaster
Abbleway ^np+++??+=Abbleway
hurriedly ^rb++++=hurriedly
pondered ^vbd+++xvbn+=pondered
the ^ati++++=the
question ^nn+nom+++=question
of ^in++++=of
the ^ati++++=the
woman ^nn++++=woman's
's ^$++++=EXTRAWORD
nationality ^nn+nom+++=nationality.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
had ^vbd+hvd+aux++=had
acquired ^vprf+++xvbnx+=acquired
a ^at++++=a
smattering ^jj+++xvbg+=smattering
of ^in++++=of
Slavonic ^jj+atrb+++=Slavonic
tongues ^nns++++=tongues
during ^in++++=during
his ^pp$+pp3+++=his
residence ^nn+nom+++=residence
in ^in++++=in
Vienna ^np++++=Vienna,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
felt ^vbd+vprv++xvbn+=felt
competent ^jj++++=competent
to ^to+jcmp+++=to
grapple ^vbi++++=grapple
with ^in++++=with
several ^ap++++=several
racial ^jj+atrb+++=racial
possibilities ^nns+nom+++=possibilities.
. ^zz++++=EXTRAWORD
" ^zz++++="If
if ^cs+cnd+++=EXTRAWORD
she ^pp3a+pp3+++=she
is ^vbz+bez+vrb++=is
Croat ^np+++??+=Croat
or ^cc++++=or
Serb ^np+++??+=Serb
or ^cc++++=or
Bosniak ^np+++??+=Bosniak
I ^pp1a+pp1+++=I
shall ^md+prd+++=shall
be ^vb+be+vrb++=be
able ^jj++pmd"++=able
to ^to+jcmp+pmd++=to
make ^vb++++=make
her ^pp3o+pp3+++=her
understand ^vb+vprv+++=understand,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
promised ^vbd+vpub+tht0+xvbnx+=promised
himself ^ppl+pp3+++=himself.
. ^zz++++=EXTRAWORD
" ^zz++++="If
if ^cs+cnd+++=EXTRAWORD
she ^pp3a+pp3+++=she
is ^vbz+bez+vrb++=is
Magyar ^np++++=Magyar,
, ^zz++++=EXTRAWORD
heaven ^nn++++=heaven
help ^nn++++=help
me ^pp1o+pp1+++=me!
! ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
shall ^md+prd+++=shall
have ^md"++pmd"++=have
to ^md+nec+++=to
converse ^vb++++=converse
entirely ^rb+amp+++=entirely
by ^in++++=by
signs ^nns++++=signs."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
entered ^vbd+++xvbnx+=entered
the ^ati++++=the
carriage ^nn+nom+++=carriage
and ^cc++++=and
made ^vbd+++xvbn+=made
his ^pp$+pp3+++=his
momentous ^jj+atrb+++=momentous
announcement ^nn+nom+++=announcement
in ^in++++=in
the ^ati++++=the
best ^jjt+atrb+++=best
approach ^nn++++=approach
to ^in++++=to
Croat ^np+++??+=Croat
speech ^nn++++=speech
that ^tht+rel+obj++=that
he ^pp3a+pp3+++=he
could ^md+pos+++=could
achieve ^vb++++=achieve.
. ^zz++++=EXTRAWORD
" ^zz++++="The
the ^ati++++=EXTRAWORD
train ^nn++++=train
has ^vbz+hvz+aux++=has
broken ^vprf+++xvbnx+=broken
away ^rp+pl+++=away
and ^cc++++=and
left ^jj+++xvbn+=left
us ^pp1o+pp1+++=us!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
The ^ati++++=The
woman ^nn++++=woman
shook ^vbd+++xvbn+=shook
her ^pp$+pp3+++=her
head ^jjb++++=head
with ^in++++=with
a ^at++++=a
movement ^nn+nom+++=movement
that ^tht+rel+subj++=that
might ^md+pos+++=might
be ^vb+be+aux++=be
intended ^vpsv++agls+xvbnx+=intended
to ^to+vcmp+++=to
convey ^vbi++++=convey
resignation ^nn+nom+++=resignation
to ^in++++=to
the ^ati++++=the
will ^nn++++=will
of ^in++++=of
heaven ^nn++++=heaven,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
probably ^rb++++=probably
meant ^vbd+vprv++xvbn+=meant
noncomprehension ^nn+++??+=noncomprehension.
. ^zz++++=EXTRAWORD
Abbleway ^np+++??+=Abbleway
repeated ^vbd+++xvbn+=repeated
his ^pp$+pp3+++=his
information ^nn+nom+++=information
with ^in++++=with
variations ^nns+nom+++=variations
of ^in++++=of
Slavonic ^jj+atrb+++=Slavonic
tongues ^nns++++=tongues
and ^cc++++=and
generous ^jj+atrb+++=generous
displays ^nns++++=displays
of ^in++++=of
pantomime ^nn++++=pantomime.
. ^zz++++=EXTRAWORD
" ^zz++++="Ah,"
ah ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
the ^ati++++=the
woman ^nn++++=woman
at ^rb++++=at
last ^rb"++++=last
in ^in++++=in
German ^jj+atrb+++=German
dialect ^nn++++=dialect,
, ^zz++++=EXTRAWORD
" ^zz++++="the
the ^ati++++=EXTRAWORD
train ^nn++++=train
has ^vbz+hvz+aux++=has
gone ^vprf+++xvbnx+=gone?
? ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
are ^vb+ber+aux++=are
left ^vpsv++agls+xvbnx+=left.
. ^zz++++=EXTRAWORD
Ah ^uh++++=Ah,
, ^zz++++=EXTRAWORD
so ^rb++++=so."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
seemed ^vbd+seem++xvbnx+=seemed
about ^in++++=about
as ^ql++++=as
much ^ap++++=much
interested ^jj++++=interested
as ^cs+sub+++=as
though ^cs+sub+++=though
Abbleway ^np+++??+=Abbleway
had ^vbd+hvd+aux++=had
told ^vprf++tht0+xvbnx+=told
her ^pp$+pp3+++=her
the ^ati++++=the
result ^nn++++=result
of ^in++++=of
the ^ati++++=the
municipal ^jj+atrb+++=municipal
elections ^nns+nom+++=elections
in ^in++++=in
Amsterdam ^np++++=Amsterdam.
. ^zz++++=EXTRAWORD
" ^zz++++="They
they ^pp3a+pp3+++=EXTRAWORD
will ^md+prd+++=will
find ^vb+vprv+++=find
out ^rp+pl+++=out
at ^in++++=at
some ^dti++++=some
station ^nn+nom+++=station,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
when ^wrb+who+++=when
the ^ati++++=the
line ^nn++++=line
is ^vbz+bez+vrb++=is
clear ^jj+pred+++=clear
of ^in++++=of
snow ^nn++++=snow
they ^pp3a+pp3+++=they
will ^md+prd+++=will
send ^vb++++=send
an ^at++++=an
engine ^nn++++=engine.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
happens ^vbz+vsua+++=happens
that ^tht+vcmp+++=that
way ^nn++++=way
sometimes ^rb++++=sometimes."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="We
we ^pp1a+pp1+++=EXTRAWORD
may ^md+pos+++=may
be ^vb+be+vrb++=be
here ^rn+pl+++=here
all ^rb++++=all
night ^nn++++=night!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
exclaimed ^vbd+++xvbn+=exclaimed
Abbleway ^np+++??+=Abbleway.
. ^zz++++=EXTRAWORD
The ^ati++++=The
woman ^nn++++=woman
nodded ^vbd+++xvbn+=nodded
as ^cs+sub+++=as
though ^cs+sub+++=though
she ^pp3a+pp3+++=she
thought ^vbd+++xvbnx+=thought
it ^pp3+it+++=it
possible ^jj++++=possible.
. ^zz++++=EXTRAWORD
" ^zz++++="Are
are ^vb+ber+vrb++=EXTRAWORD
there ^rn+pl+++=there
wolves ^nps++++=wolves
in ^in++++=in
these ^dt+dem+++=these
parts ^nns++++=parts?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
asked ^vbn+vsua++xvbn+=asked
Abbleway ^np+++??+=Abbleway
hurriedly ^rb++++=hurriedly.
. ^zz++++=EXTRAWORD
" ^zz++++="Many,"
many ^ap++++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
the ^ati++++=the
woman ^nn++++=woman;
; ^zz++++=EXTRAWORD
" ^zz++++="just
just ^rb+emph+++=EXTRAWORD
outside ^jjb++++=outside
this ^dt+dem+++=this
forest ^npl++++=forest
my ^pp$+pp1+++=my
aunt ^nn++++=aunt
was ^vbd+bedz+aux++=was
devoured ^vpsv++agls+xvbnx+=devoured
three ^cd++++=three
years ^nns++++=years
ago ^rb+cnj+++=ago,
, ^zz++++=EXTRAWORD
as ^ql++++=as
she ^pp3a+pp3+++=she
was ^vbd+bedz+aux++=was
coming ^vbg+++xvbgx+=coming
home ^nr++++=home
from ^in++++=from
market ^nn++++=market.
. ^zz++++=EXTRAWORD
The ^ati++++=The
horse ^nn++++=horse
and ^cc++++=and
a ^at++++=a
young ^jj+atrb+++=young
pig ^nn++++=pig
that ^tht+rel+subj++=that
was ^vbd+bedz+vrb++=was
in ^in++++=in
the ^ati++++=the
cart ^nn++++=cart
were ^vbd+bed+aux++=were
eaten ^vpsv++agls+xvbnx+=eaten
too ^ql++++=too.
. ^zz++++=EXTRAWORD
The ^ati++++=The
horse ^nn++++=horse
was ^vbd+bedz+vrb++=was
a ^at++++=a
very ^ql+amp+++=very
old ^jj+atrb+++=old
one ^pn++++=one,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
a ^at++++=a
beautiful ^jj+atrb+++=beautiful
young ^jj+atrb+++=young
pig ^nn++++=pig,
, ^zz++++=EXTRAWORD
oh ^uh++++=oh,
, ^zz++++=EXTRAWORD
so ^ql++++=so
fat ^nn++++=fat.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
cried ^vbd+++xvbnx+=cried
when ^wrb+who+++=when
I ^pp1a+pp1+++=I
heard ^vbd+vprv++xvbnx+=heard
that ^tht+vcmp+++=that
it ^pp3+it+++=it
was ^vbd+bedz+aux++=was
taken ^vpsv++agls+xvbnx+=taken.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
spare ^vb++++=spare
nothing ^pn++++=nothing."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="They
they ^pp3a+pp3+++=EXTRAWORD
may ^md+pos+++=may
attack ^vb++++=attack
us ^pp1o+pp1+++=us
here ^rn+pl+++=here,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Abbleway ^np+++??+=Abbleway
tremulously ^jj++++=tremulously;
; ^zz++++=EXTRAWORD
" ^zz++++="they
they ^pp3a+pp3+++=EXTRAWORD
could ^md+pos+++=could
easily ^rb++++=easily
break ^nn++++=break
in ^in+strn+++=in,
, ^zz++++=EXTRAWORD
these ^dt+dem+++=these
carriages ^nns+nom+++=carriages
are ^vb+ber+vrb++=are
like ^in++++=like
matchwood ^nn+++??+=matchwood.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
may ^md+pos+++=may
both ^abx++++=both
be ^vb+be+aux++=be
devoured ^vpsv++agls+xvbnx+=devoured."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="You,
you ^pp2+pp2+++=EXTRAWORD
, ^zz++++=EXTRAWORD
perhaps ^rb+cnj+++=perhaps,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
the ^ati++++=the
woman ^nn++++=woman
calmly ^rb++++=calmly;
; ^zz++++=EXTRAWORD
" ^zz++++="not
not ^xnot++not++=EXTRAWORD
me ^pp1o+pp1+++=me."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Why
why ^wrb+who+++=EXTRAWORD
not ^xnot++not++=not
you ^pp2+pp2+++=you?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
demanded ^vwbn+vsua++xvbn+=demanded
Abbleway ^np+++??+=Abbleway.
. ^zz++++=EXTRAWORD
" ^zz++++="It
it ^pp3+it+++=EXTRAWORD
is ^vbz+bez+vrb++=is
the ^ati++++=the
day ^nn++++=day
of ^in++++=of
Saint ^nn++++=Saint
Maria ^&fw++++=Maria
Kleopha ^np+++??+=Kleopha,
, ^zz++++=EXTRAWORD
my ^pp$+pp1+++=my
name ^nn++++=name-day.
- ^zz++++=EXTRAWORD
day ^nn++++=EXTRAWORD
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
would ^md+prd+++=would
not ^xnot++not++=not
allow ^vb++++=allow
me ^pp1o+pp1+++=me
to ^to++++=to
be ^vbi+vbi+aux++=be
eaten ^vpsv++by+xvbnx+=eaten
by ^in++++=by
wolves ^nps++++=wolves
on ^in++++=on
her ^pp$+pp3+++=her
day ^nn++++=day.
. ^zz++++=EXTRAWORD
Such ^abl++++=Such
a ^at++++=a
thing ^nn++++=thing
could ^md+pos+++=could
not ^xnot++not++=not
be ^vb+be+aux++=be
thought ^vpsv++agls+xvbnx+=thought
of ^in+strn+++=of.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You,
, ^zz++++=EXTRAWORD
yes ^uh++++=yes,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
not ^xnot++not++=not
me ^pp1o+pp1+++=me."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Abbleway ^np+++??+=Abbleway
changed ^vbd+++xvbn+=changed
the ^ati++++=the
subject ^nn++++=subject.
. ^zz++++=EXTRAWORD
" ^zz++++="It
it ^pp3+it+++=EXTRAWORD
is ^vbz+bez+vrb++=is
only ^rb+down+++=only
afternoon ^nn++++=afternoon
now ^rn+tm+++=now;
; ^zz++++=EXTRAWORD
if ^cs+cnd+++=if
we ^pp1a+pp1+++=we
are ^vb+ber+aux++=are
to ^to++++=to
be ^vbi+vbi+aux++=be
left ^vpsv++agls+xvbnx+=left
here ^rn+pl+++=here
till ^in++++=till
morning ^nn++++=morning
we ^pp1a+pp1+++=we
shall ^md+prd+++=shall
be ^vb+be+aux++=be
starving ^vbg+++xvbgx+=starving."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
have ^vb+hv+vrb++=have
here ^rn+pl+++=here
some ^dti++++=some
good ^jj+atrb+++=good
eatables ^nns++++=eatables,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
the ^ati++++=the
woman ^nn++++=woman
tranquilly ^rb++++=tranquilly;
; ^zz++++=EXTRAWORD
" ^zz++++="on
on ^in++++=EXTRAWORD
my ^pp$+pp1+++=my
festival ^nn+nom+++=festival
day ^nn++++=day
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
natural ^jj+pred+++=natural
that ^tht+jcmp+++=that
I ^pp1a+pp1+++=I
should ^md+nec+++=should
have ^vb+hv+vrb++=have
provision ^nn++++=provision
with ^in++++=with
me ^pp1o+pp1+++=me.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
have ^vb+hv+vrb++=have
five ^cd++++=five
good ^jj+atrb+++=good
bloodsausages ^nns+nom+++=bloodsausages;
; ^zz++++=EXTRAWORD
in ^in++++=in
the ^ati++++=the
town ^nn++++=town
shops ^nns++++=shops
they ^pp3a+pp3+++=they
cost ^nn++++=cost
twenty ^cd++++=twenty-five
- ^zz++++=EXTRAWORD
five ^cd++++=EXTRAWORD
heller ^np++++=heller
each ^dt++++=each.
. ^zz++++=EXTRAWORD
Things ^nns++++=Things
are ^vb+ber+vrb++=are
dear ^jj+pred+++=dear
in ^in++++=in
the ^ati++++=the
town ^nn++++=town
shops ^nns++++=shops."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
will ^md+prd+++=will
give ^vb++++=give
you ^pp2+pp2+++=you
fifty ^cd++++=fifty
heller ^np++++=heller
apiece ^rb++++=apiece
for ^in++++=for
a ^at++++=a
couple ^nn++++=couple
of ^in++++=of
them ^pp3o+pp3+++=them,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Abbleway ^np+++??+=Abbleway
with ^in++++=with
some ^dti++++=some
enthusiasm ^nn++++=enthusiasm.
. ^zz++++=EXTRAWORD
" ^zz++++="In
in ^in++++=EXTRAWORD
a ^at++++=a
railway ^nn++++=railway
accident ^nn++++=accident
things ^nns++++=things
become ^vb++++=become
very ^ql+amp+++=very
dear ^uh++++=dear,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
the ^ati++++=the
woman ^nn++++=woman;
; ^zz++++=EXTRAWORD
" ^zz++++="these
these ^dt+dem+++=EXTRAWORD
blood ^nn++++=blood-sausages
- ^zz++++=EXTRAWORD
sausages ^nns+nom+++=EXTRAWORD
are ^vb+ber+vrb++=are
four ^cd++++=four
kronen ^jj+++xvbn+=kronen
apiece ^rb++++=apiece."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Four
four ^cd++++=EXTRAWORD
kronen ^vwbn+++xvbn+=kronen!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
exclaimed ^vbd+++xvbn+=exclaimed
Abbleway ^np+++??+=Abbleway;
; ^zz++++=EXTRAWORD
" ^zz++++="four
four ^cd++++=EXTRAWORD
kronen ^jj+++xvbn+=kronen
for ^in++++=for
a ^at++++=a
blood ^nn++++=blood-sausage!"
- ^zz++++=EXTRAWORD
sausage ^nn+nom+++=EXTRAWORD
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
cannot ^md+pos+not++=cannot
get ^vb++++=get
them ^pp3o+pp3+++=them
any ^dti++++=any
cheaper ^jjr++++=cheaper
on ^in++++=on
this ^dt+dem+++=this
train ^nn++++=train,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
the ^ati++++=the
woman ^nn++++=woman,
, ^zz++++=EXTRAWORD
with ^in++++=with
relentless ^jj+atrb+++=relentless
logic ^nn++++=logic,
, ^zz++++=EXTRAWORD
" ^zz++++="because
because ^cs+cos+++=EXTRAWORD
there ^ex+pex+++=there
are ^vb+ber+vrb++=aren't
n't ^xnot++not++0=EXTRAWORD
any ^dti++++=any
others ^aps++++=others
to ^to++++=to
get ^vbi++++=get.
. ^zz++++=EXTRAWORD
In ^in++++=In
Agram ^np+++??+=Agram
you ^pp2+pp2+++=you
can ^md+pos+++=can
buy ^vb++++=buy
them ^pp3o+pp3+++=them
cheaper ^jjr++++=cheaper,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
in ^in++++=in
Paradise ^nn++++=Paradise
no ^at++++=no
doubt ^nn++++=doubt
they ^pp3a+pp3+++=they
will ^md+prd+++=will
be ^vb+be+aux++=be
given ^vpsv++agls+xvbnx+=given
to ^in++++=to
us ^pp1o+pp1+++=us
for ^in++++=for
nothing ^pn++++=nothing,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
here ^rn+pl+++=here
they ^pp3a+pp3+++=they
cost ^nn++++=cost
four ^cd++++=four
kronen ^vbd+++xvbn+=kronen
each ^ppls++++=each.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
have ^vb+hv+vrb++=have
a ^at++++=a
small ^jj+atrb+++=small
piece ^nn++++=piece
of ^in++++=of
Emmenthaler ^np+nom++??+=Emmenthaler
cheese ^nn++++=cheese
and ^cc++++=and
a ^at++++=a
honey ^nn++++=honey-cake
- ^zz++++=EXTRAWORD
cake ^nn++++=EXTRAWORD
and ^cc++++=and
a ^at++++=a
piece ^nn++++=piece
of ^in++++=of
bread ^nn++++=bread
that ^tht+rel+obj++=that
I ^pp1a+pp1+++=I
can ^md+pos+++=can
let ^vb+++xvbn+=let
you ^pp2+pp2+++=you
have ^vb+hv+vrb++=have.
. ^zz++++=EXTRAWORD
That ^dt+pdem+++=That
will ^md+prd+++=will
be ^vb+be+vrb++=be
another ^dt++++=another
three ^cd++++=three
kronen ^jj+++xvbn+=kronen,
, ^zz++++=EXTRAWORD
eleven ^cd++++=eleven
kronen ^jj+++xvbn+=kronen
in ^in++++=in
all ^abn++++=all.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
is ^vbz+bez+vrb++=is
a ^at++++=a
piece ^nn++++=piece
of ^in++++=of
ham ^nn++++=ham,
, ^zz++++=EXTRAWORD
but ^cs+sub+++=but
that ^cs"++++=that
I ^pp1a+pp1+++=I
cannot ^md+pos+not++=cannot
let ^vb+++xvbn+=let
you ^pp2+pp2+++=you
have ^vb+hv+vrb++=have
on ^in++++=on
my ^pp$+pp1+++=my
name ^nn++++=name-day."
- ^zz++++=EXTRAWORD
day ^nn++++=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Abbleway ^np+++??+=Abbleway
wondered ^vbd+vprv++xvbn+=wondered
to ^in++++=to
himself ^ppl+pp3+++=himself
what ^wdt+who+++=what
price ^nn++++=price
she ^pp3a+pp3+++=she
would ^md+prd+++=would
have ^vb+hv+aux++=have
put ^vprf+++xvbnx+=put
on ^rb+phrv+++=on
the ^ati++++=the
ham ^nn++++=ham,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
hurried ^vbd+++xvbn+=hurried
to ^to++++=to
pay ^vbi++++=pay
her ^pp3o+pp3+++=her
the ^ati++++=the
eleven ^cd++++=eleven
kronen ^vb+++xvbn+=kronen
before ^cs+sub+++=before
her ^pp$+pp3+++=her
emergency ^nn++++=emergency
tariff ^nn++++=tariff
expanded ^vbd+++xvbn+=expanded
into ^in++++=into
a ^at++++=a
famine ^nn++++=famine
tariff ^nn++++=tariff.
. ^zz++++=EXTRAWORD
As ^ql++++=As
he ^pp3a+pp3+++=he
was ^vbd+bedz+aux++=was
taking ^vbg+++xvbgx+=taking
possession ^nn++++=possession
of ^in++++=of
his ^pp$+pp3+++=his
modest ^jj+atrb+++=modest
store ^nn++++=store
of ^in++++=of
eatables ^nns++++=eatables
he ^pp3a+pp3+++=he
suddenly ^rb++++=suddenly
heard ^vbd+vprv++xvbn+=heard
a ^at++++=a
noise ^nn++++=noise
which ^whp+rel+subj++=which
set ^vb+++xvbn+=set
his ^pp$+pp3+++=his
heart ^nn++++=heart
thumping ^vwbg+++xvbg+=thumping
in ^in++++=in
a ^at++++=a
miserable ^jj+atrb+++=miserable
fever ^nn++++=fever
of ^in++++=of
fear ^nn++++=fear.
. ^zz++++=EXTRAWORD
' ^zz++++='There
there ^ex+pex+++=EXTRAWORD
was ^vbd+bedz+vrb++=was
a ^at++++=a
scraping ^nn++++=scraping
and ^cc++++=and
shuffling ^nvbg+++xvbg+=shuffling
as ^in++++=as
of ^in"++++=of
some ^dti++++=some
animal ^nn++++=animal
or ^cc++++=or
animals ^nns+nom+++=animals
trying ^vb+++xvbg+=trying
to ^to+vcmp+++=to
climb ^vbi++++=climb
up ^in+cmpx+++=up
to ^in"++++=to
the ^ati++++=the
footboard ^nn+++??+=footboard.
. ^zz++++=EXTRAWORD
In ^in++++=In
another ^dt++++=another
moment ^nn++++=moment,
, ^zz++++=EXTRAWORD
through ^in++++=through
the ^ati++++=the
snow ^np++++=snow-encrusted
- ^zz++++=EXTRAWORD
encrusted ^jj+atrb+++=EXTRAWORD
glass ^nn++++=glass
of ^in++++=of
the ^ati++++=the
carriage ^nn+nom+++=carriage
window ^nn++++=window,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
saw ^vbd+vprv++xvbnx+=saw
a ^at++++=a
gaunt ^np++++=gaunt
prick ^nn+++??+=prick-eared
- ^zz++++=EXTRAWORD
eared ^jj+++xvbn+=EXTRAWORD
head ^jjb++++=head,
, ^zz++++=EXTRAWORD
with ^in++++=with
gaping ^jj+atrb+++=gaping
jaw ^nn++++=jaw
and ^cc++++=and
lolling ^vbg+nom++xvbg+=lolling
tongue ^nn++++=tongue
and ^cc++++=and
gleaming ^vbg+++xvbg+=gleaming
teeth ^nns++++=teeth;
; ^zz++++=EXTRAWORD
a ^at++++=a
second ^od++++=second
later ^rbr+tm+++=later
another ^dt++++=another
head ^jjb+atrb+++=head
shot ^nn+++xvbn+=shot
up ^rp++++=up.
. ^zz++++=EXTRAWORD
" ^zz++++="There
there ^ex+pex+++=EXTRAWORD
are ^vb+ber+vrb++=are
hundreds ^cds++++=hundreds
of ^in++++=of
them ^pp3o+pp3+++=them,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
whispered ^vbd+vpub++xvbn+=whispered
Abbleway ^np+++??+=Abbleway;
; ^zz++++=EXTRAWORD
" ^zz++++="they
they ^pp3a+pp3+++=EXTRAWORD
have ^vb+hv+aux++=have
scented ^vprf+++xvbnx+=scented
us ^pp1o+pp1+++=us.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
will ^md+prd+++=will
tear ^vb++++=tear
the ^ati++++=the
carriage ^nn+nom+++=carriage
to ^in++++=to
pieces ^nns++++=pieces.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
shall ^md+prd+++=shall
be ^vb+be+aux++=be
devoured ^vpsv++agls+xvbnx+=devoured."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Not
not ^xnot++not++=EXTRAWORD
me ^pp1o+pp1+++=me,
, ^zz++++=EXTRAWORD
on ^in++++=on
my ^pp$+pp1+++=my
name ^nn++++=name-day.
- ^zz++++=EXTRAWORD
day ^nn++++=EXTRAWORD
