Roses ^nns++++=ROSES
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
asked ^vbn+vsua++xvbn+=asked
Belle ^np++++=Belle,
, ^zz++++=EXTRAWORD
hopingto ^nn+++??+=hopingto
find ^vb+vprv+tht0++=find
something ^pn++++=something
pleasant ^jj++++=pleasant
to ^to+jcmp+++=to
talk ^vbi++++=talk
about ^in+strn+++=about;
; ^zz++++=EXTRAWORD
for ^in++++=for
she ^pp3a+pp3+++=she
was ^vbd+bedz+vrb++=was
a ^at++++=a
kind ^nn++++=kind
littlesoul ^nn+++??+=littlesoul.
. ^zz++++=EXTRAWORD
" ^zz++++="No,
no ^at++++=EXTRAWORD
, ^zz++++=EXTRAWORD
miss ^npt++++=miss;
; ^zz++++=EXTRAWORD
I ^np++++=I've
've ^vb+hv+aux++0=EXTRAWORD
got ^vprf+++xvbnx+=got
no ^at++++=no
folks ^nns++++=folks
at ^rb++++=at
all ^abn++++=all."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Oh,
oh ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
dear ^jj++++=dear;
; ^zz++++=EXTRAWORD
how ^wrb+who+++=how
sad ^jj++++=sad!
! ^zz++++=EXTRAWORD
Why ^wrb+who+++=Why,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
takes ^vbz++++=takes
care ^nn++++=care
of ^in++++=of
you ^pp2+pp2+++=you?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
cried ^vbd+++xvbn+=cried
Belle,looking ^np+++??+=Belle,looking
quite ^abl++++=quite
distressed ^jj+++xvbn+=distressed.
. ^zz++++=EXTRAWORD
" ^zz++++="No
no ^at++++=EXTRAWORD
one ^pn++++=one;
; ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
take ^vb++++=take
care ^nn++++=care
of ^in++++=of
myself ^ppl+pp1+++=myself.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
work ^nn++++=work
for ^in++++=for
Madame ^npt++++=Madame,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
she ^pp3a+pp3+++=she
pays ^vbz++++=pays
me ^pp1o+pp1+++=me
adollar ^vb+++??+=adollar
a ^at++++=a
week ^nn++++=week.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
stay ^vb++++=stay
with ^in++++=with
Mrs ^npt++++=Mrs.
. ^zz++++=EXTRAWORD
Brown ^np++++=Brown,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
chore ^nn++++=chore
round ^nn++++=round
to ^to++++=to
pay ^vbi++++=pay
for ^in++++=for
mykeep ^nn+++??+=mykeep.
. ^zz++++=EXTRAWORD
My ^pp$+pp1+++=My
dollar ^nn++++=dollar
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
get ^vb++++=get
many ^ap++++=many
clothes ^nns++++=clothes,
, ^zz++++=EXTRAWORD
so ^ql++++=so
I ^pp1a+pp1+++=I
can ^md+pos+++=can't
n't ^xnot++not++0=EXTRAWORD
be ^vb+be+vrb++=be
as ^ql++++=as
neat ^jj++++=neat
as ^ql++++=as
I ^pp1a+pp1+++=I'dlike."
'dlike." ^nn+++??+=EXTRAWORD
And ^cc++++=And
the ^ati++++=the
forlorn ^jj+atrb+++=forlorn
look ^nn++++=look
came ^vbd+++xvbn+=came
back ^rp++++=back
to ^in++++=to
poor ^jj+atrb+++=poor
Lizzie ^np++++=Lizzie's
's ^$++++=EXTRAWORD
face ^nn++++=face.
. ^zz++++=EXTRAWORD
Belle ^np++++=Belle
said ^vbd+vpub+tht0+xvbn+=said
nothing ^pn++++=nothing,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
sat ^vpsv++agls+xvbn+=sat
among ^in++++=among
the ^ati++++=the
sofa ^nn++++=sofa
cushions ^nns++++=cushions,
, ^zz++++=EXTRAWORD
where ^wrb+who+++=where
she ^pp3a+pp3+++=she
hadthrown ^vbd+++xvbnx+=hadthrown
herself ^ppl+pp3+++=herself,
, ^zz++++=EXTRAWORD
looking ^vbg+++xvbg+=looking
soberly ^jj++++=soberly
at ^rb++++=at
this ^dt+dem+++=this
other ^ap++++=other
girl ^nn++++=girl,
, ^zz++++=EXTRAWORD
no ^at++++=no
older ^jjr+atrb+++=older
thanshe ^nn+++??+=thanshe
was ^vbd+bedz+vrb++=was,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
took ^vbd+++xvbn+=took
care ^nn++++=care
of ^in++++=of
herself ^ppl+pp3+++=herself
and ^cc++++=and
was ^vbd+bedz+vrb++=was
all ^abn++++=all
alone ^rb++++=alone
in ^in++++=in
the ^ati++++=the
world ^nn++++=world.
. ^zz++++=EXTRAWORD
Itwas ^np+++??+=Itwas
a ^at++++=a
new ^jj+atrb+++=new
idea ^nn++++=idea
to ^in++++=to
Belle ^np++++=Belle,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
was ^vbd+bedz+aux++=was
loved ^vpsv++agls+xvbnx+=loved
and ^cc++++=and
petted ^jj+++xvbn+=petted
as ^ql++++=as
an ^at++++=an
only ^rb+down+++=only
childis ^nns+++??+=childis
apt ^jj++++=apt
to ^to+jcmp+++=to
be ^vbi++vrb++=be.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
often ^rb++++=often
saw ^vbd+vprv++xvbn+=saw
beggars ^nns++++=beggars
and ^cc++++=and
pitied ^jj+++xvbn+=pitied
them ^pp3o+pp3+++=them,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
knew ^vbd+vprv++xvbn+=knew
verylittle ^nn+++??+=verylittle
about ^in++++=about
their ^pp$+pp3+++=their
wants ^nns++++=wants
and ^cc++++=and
lives ^nns++++=lives;
; ^zz++++=EXTRAWORD
so ^ql++++=so
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
like ^in++++=like
turning ^xvbg+++xvbg+=turning
a ^at++++=a
newpage ^nn+nom+++=newpage
in ^in++++=in
her ^pp$+pp3+++=her
happy ^jj+atrb+++=happy
life ^nn++++=life
to ^to++++=to
be ^vbi+vbi+aux++=be
brought ^vpsv++agls+xvbnx+=brought
so ^pn++++=so
near ^in+cmpx+++=near
to ^in++++=to
poverty ^nn++++=poverty
as ^in++++=as
thischance ^nn+nom+++=thischance
meeting ^vwbg+++xvbg+=meeting
with ^in++++=with
the ^ati++++=the
milliner ^jjr+atrb+++=milliner's
's ^vbz+bez+vrb++0=EXTRAWORD
girl ^nn++++=girl.
. ^zz++++=EXTRAWORD
" ^zz++++="Aren't
are ^vb+ber+vrb++=EXTRAWORD
n't ^xnot++not++0=EXTRAWORD
you ^pp2+pp2+++=you
afraid ^jj++++=afraid
and ^cc+phrs+++=and
lonely ^jj++++=lonely
and ^cc+phrs+++=and
unhappy ^jj++++=unhappy?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
said ^vbd+vpub++xvbnx+=said,
, ^zz++++=EXTRAWORD
slowly,trying ^jj+++xvbg+=slowly,trying
to ^to++++=to
understand ^vbi+vprv+++=understand
and ^cc+phrs+++=and
put ^vb+++xvbn+=put
herself ^ppl+pp3+++=herself
in ^in++++=in
Lizzie ^np++++=Lizzie's
's ^$++++=EXTRAWORD
place ^nn++++=place.
. ^zz++++=EXTRAWORD
" ^zz++++="Yes;
yes ^uh++++=EXTRAWORD
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
it ^pp3+it+++=it's
's ^vbz+bez+vrb++0=EXTRAWORD
no ^at++++=no
use ^nn++++=use.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
can ^md+pos+++=can't
n't ^xnot++not++0=EXTRAWORD
help ^vb++++=help
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
may ^md+pos+++=may
be ^vb+be+aux++=be
things ^nns++++=things
will ^md+prd+++=will
getbetter ^jjr++++=getbetter
by ^in++++=by
and ^cc++++=and
by ^in+strn+++=by,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I'll
'll ^md+prd+++0=EXTRAWORD
have ^vb+hv+vrb++=have
my ^pp$+pp1+++=my
wish ^nn++++=wish,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
answered ^vbd+vpub++xvbn+=answered
Lizzie ^np+++??+=Lizzie,
, ^zz++++=EXTRAWORD
morehopefully ^jj++++=morehopefully,
, ^zz++++=EXTRAWORD
because ^cs+cos+++=because
Belle ^np++++=Belle's
's ^$++++=EXTRAWORD
pity ^nn++++=pity
warmed ^vwbn+++xvbn+=warmed
her ^pp$+pp3+++=her
heart ^nn++++=heart
and ^cc++++=and
made ^xvbn+++xvbn+=made
hertroubles ^nns+++??+=hertroubles
seem ^vb+seem+++=seem
lighter ^jjr++++=lighter.
. ^zz++++=EXTRAWORD
" ^zz++++="What
what ^wdt+who+whq++=EXTRAWORD
is ^vbz+bez+aux++=is
your ^pp$+pp2+++=your
wish ^nn++++=wish?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
asked ^vbn+vsua++xvbn+=asked
Belle ^np++++=Belle,
, ^zz++++=EXTRAWORD
hoping ^vbg+vprv+tht0+xvbg+=hoping
mamma ^npt++++=mamma
would ^md+prd+++=wouldn't
n't ^xnot++not++0=EXTRAWORD
come ^vprf+++xvbn+=come
justyet ^nn+++??+=justyet,
, ^zz++++=EXTRAWORD
for ^in++++=for
she ^pp3a+pp3+++=she
was ^vbd+bedz+aux++=was
getting ^vbg+++xvbgx+=getting
interested ^jj++++=interested
in ^in++++=in
the ^ati++++=the
stranger ^nn+nom+++=stranger.
. ^zz++++=EXTRAWORD
" ^zz++++="To
to ^in++++=EXTRAWORD
have ^vbi++vrb++=have
a ^at++++=a
nice ^jj+atrb+++=nice
little ^jj+atrb+++=little
room ^nn++++=room,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
make ^vb++++=make
flowers ^nns+nom+++=flowers,
, ^zz++++=EXTRAWORD
like ^in++++=like
a ^at++++=a
French ^jj+atrb+++=French
girl ^nn++++=girl
Iknow ^np+++??+=Iknow.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It's
's ^vbz+bez+vrb++0=EXTRAWORD
such ^abl++++=such
pretty ^rb++++=pretty
work ^nn++++=work,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
she ^pp3a+pp3+++=she
gets ^vbz++++=gets
lots ^nns++++=lots
of ^in++++=of
money ^nn++++=money,
, ^zz++++=EXTRAWORD
for ^in++++=for
everyone ^pn++++=everyone
likes ^nns++++=likes
her ^pp3o+pp3+++=her
flowers ^nns+nom+++=flowers.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
shows ^nns++++=shows
me ^pp1o+pp1+++=me
how ^wrb+who+++=how,
, ^zz++++=EXTRAWORD
sometimes ^rb+cnj+++=sometimes,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I
can ^md+pos+++=can
doleaves ^vb+++??+=doleaves
first ^od++++=first-rate;
- ^zz++++=EXTRAWORD
rate ^nn++++=EXTRAWORD
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but--"
-- ^--+clp+++=EXTRAWORD
" ^zz++++=EXTRAWORD
There ^rn+pl+++=There
Lizzie ^np+++??+=Lizzie
stopped ^vbd+++xvbn+=stopped
suddenly ^rb+cnj+++=suddenly,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
color ^nn++++=color
rushed ^vbd+++xvbn+=rushed
up ^rp++++=up
to ^in++++=to
herforehead ^nn+++??+=herforehead;
; ^zz++++=EXTRAWORD
for ^in++++=for
she ^pp3a+pp3+++=she
remembered ^vbd+vprv++xvbnx+=remembered
the ^ati++++=the
little ^ap++++=little
rose ^nn+++xvbn+=rose
in ^in++++=in
her ^pp$+pp3+++=her
pocket ^nn++++=pocket
and ^cc++++=and
itweighed ^vpsv++agls+xvbn+=itweighed
upon ^in++++=upon
her ^pp$+pp3+++=her
conscience ^nn+nom+++=conscience
like ^in++++=like
a ^at++++=a
stone ^nn++++=stone.
. ^zz++++=EXTRAWORD
Before ^cs+sub+++=Before
Belle ^np++++=Belle
could ^md+pos+++=could
ask ^vb++++=ask
what ^wdt+who+++=what
was ^vbd+bedz+vrb++=was
the ^ati++++=the
matter ^nn++++=matter,
, ^zz++++=EXTRAWORD
Marie ^np++++=Marie
came ^vbd+++xvbn+=came
in ^in++++=in
with ^in++++=with
atray ^nn+++??+=atray
of ^in++++=of
cake ^nn++++=cake
and ^cc++++=and
fruit ^nn++++=fruit,
, ^zz++++=EXTRAWORD
saying ^vbg+++xvbg+=saying:
: ^zz++++=EXTRAWORD
" ^zz++++="Here's
here ^rn+pl+++=EXTRAWORD
's ^vbz+bez+vrb++0=EXTRAWORD
your ^pp$+pp2+++=your
lunch ^nn++++=lunch,
, ^zz++++=EXTRAWORD
Miss ^npt++++=Miss
Belle ^np++++=Belle."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Put
put ^vbd+++xvbn+=EXTRAWORD
it ^pp3+it+++=it
down ^rp++++=down,
, ^zz++++=EXTRAWORD
please ^uh++++=please;
; ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I'm
'm ^vb+bem+vrb++0=EXTRAWORD
not ^xnot++not++=not
ready ^jj++++=ready
for ^in++++=for
it ^pp3+it+++=it
yet ^rb++++=yet."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
And ^cc++++=And
Belle ^np++++=Belle
shook ^vbd+++xvbn+=shook
her ^pp$+pp3+++=her
head ^jjb++++=head
as ^ql++++=as
she ^pp3a+pp3+++=she
glanced ^vbd+++xvbnx+=glanced
at ^in++++=at
Lizzie ^np+++??+=Lizzie,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
was ^vbd+bedz+vrb++=was
staringhard ^nn+++??+=staringhard
at ^rb++++=at
the ^ati++++=the
fire ^nn++++=fire
with ^in++++=with
such ^abl++++=such
a ^at++++=a
troubled ^jj+atrb++xvbn+=troubled
face ^nn++++=face
that ^tht+rel+obj++=that
Belle ^np++++=Belle
could ^md+pos+++=could
not ^xnot++not++=not
bearto ^nn+++??+=bearto
see ^vb+vprv+++=see
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
Jumping ^jj+++xvbg+=Jumping
out ^rp+pl+++=out
of ^in++++=of
her ^pp$+pp3+++=her
nest ^nn++++=nest
of ^in++++=of
cushions ^nns++++=cushions,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
heaped ^vbd+++xvbnx+=heaped
a ^at++++=a
plate ^nn++++=plate
with ^in++++=with
goodthings ^nns+++??+=goodthings,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
going ^vbg+++xvbg+=going
to ^in++++=to
Lizzie ^np+++??+=Lizzie,
, ^zz++++=EXTRAWORD
offered ^j+++xvbn+=offered
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
saying ^vbg+++xvbg+=saying,
, ^zz++++=EXTRAWORD
with ^in++++=with
a ^at++++=a
gentlecourtesy ^nn+++??+=gentlecourtesy
that ^tht+rel+subj++=that
made ^vwbn+++xvbn+=made
the ^ati++++=the
act ^nn++++=act
doubly ^rb++++=doubly
sweet ^jj++++=sweet:
: ^zz++++=EXTRAWORD
" ^zz++++="Please
please ^uh++++=EXTRAWORD
have ^vb+hv+vrb++=have
some ^dti++++=some;
; ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
must ^md+nec+++=must
be ^vb+be+aux++=be
tired ^vpsv++agls+xvbnx+=tired
of ^in++++=of
waiting ^xvbg+++xvbg+=waiting."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
But ^cc++++=But
Lizzie ^np+++??+=Lizzie
could ^md+pos+++=could
not ^xnot++not++=not
take ^vb++++=take
it ^pp3+it+++=it;
; ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
could ^md+pos+++=could
only ^rb+down+++=only
cover ^nn++++=cover
her ^pp$+pp3+++=her
face ^nn++++=face
and ^cc++++=and
cry;for ^nn++++=cry;for
this ^dt+dem+++=this
kindness ^nns+nom+++=kindness
rent ^nn++++=rent
her ^pp3o+pp3+++=her
heart ^nn++++=heart
and ^cc++++=and
made ^vbd+++xvbn+=made
the ^ati++++=the
stolen ^jj+atrb++xvbn+=stolen
flower ^nn++++=flower
a ^at++++=a
burdentoo ^nn+++??+=burdentoo
heavy ^jj++++=heavy
to ^to++++=to
be ^vbi+vbi+aux++=be
borne ^vpsv++agls+xvbnx+=borne.
. ^zz++++=EXTRAWORD
" ^zz++++="Oh,
oh ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
do ^vb+do+vrb++=don't
n't ^xnot++not++0=EXTRAWORD
cry ^nn++++=cry
so ^ql++++=so!
! ^zz++++=EXTRAWORD
Are ^vb+ber+vrb++=Are
you ^pp2+pp2+++=you
sick ^jj++++=sick?
? ^zz++++=EXTRAWORD
Have ^vb+hv+aux++=Have
I ^pp1a+pp1+++=I
been ^vb+vbd+vrb+xvbnx+=been
rude ^jj++++=rude?
? ^zz++++=EXTRAWORD
Tell ^vb++++=Tell
me ^pp1o+pp1+++=me
all ^abn++++=all
aboutit ^nn+++??+=aboutit;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
if ^cs+cnd+++=if
I ^pp1a+pp1+++=I
can ^md+pos+++=can't
n't ^xnot++not++0=EXTRAWORD
do ^vb+do+vrb++=do
anything ^pn++++=anything,
, ^zz++++=EXTRAWORD
mamma ^npt++++=mamma
can ^md+pos+++=can,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Belle ^np++++=Belle,
, ^zz++++=EXTRAWORD
surprisedand ^vb+++??+=surprisedand
troubled ^vbd+++xvbn+=troubled.
. ^zz++++=EXTRAWORD
" ^zz++++="No;
no ^at++++=EXTRAWORD
; ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I'm
'm ^vb+bem+vrb++0=EXTRAWORD
not ^xnot++not++=not
sick ^jj++++=sick;
; ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I'm
'm ^vb+bem+vrb++0=EXTRAWORD
bad ^jj+pred+++=bad,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I
can ^md+pos+++=can't
n't ^xnot++not++0=EXTRAWORD
bear ^vb+vprv+++=bear
it ^pp3+it+++=it
when ^wrb+who+++=when
you ^pp2+pp2+++=you
are ^vb+ber+vrb++=are
so ^ql++++=so
goodto ^nn+++??+=goodto
me ^pp1o+pp1+++=me,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
sobbed ^vbd+++xvbn+=sobbed
Lizzie ^np+++??+=Lizzie,
, ^zz++++=EXTRAWORD
quite ^abl++++=quite
overcome ^vbd+++xvbn+=overcome
with ^in++++=with
penitence ^nn+nom+++=penitence;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
taking ^vbg+++xvbg+=taking
outthe ^nn+++??+=outthe
crumpled ^vbd+++xvbn+=crumpled
rose ^np+++xvbn+=rose,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
confessed ^vbd+vpub++xvbnx+=confessed
her ^pp3o+pp3+++=her
fault ^npl++++=fault
with ^in++++=with
many ^ap++++=many
tears ^nns++++=tears.
. ^zz++++=EXTRAWORD
" ^zz++++="Don't
do ^vb+do+aux++=EXTRAWORD
n't ^xnot++not++0=EXTRAWORD
feel ^vb+vprv+++=feel
so ^ql++++=so
much ^ap++++=much
about ^in++++=about
such ^abl++++=such
a ^rb++++=a
little ^rb"++++=little
thing ^nn++++=thing
as ^ql++++=as
that ^dt+pdem+++=that,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
began ^vbd+++xvbn+=began
Belle,warmly ^np+++??+=Belle,warmly;
; ^zz++++=EXTRAWORD
then ^rn+tm+++=then
checked ^vbd+++xvbn+=checked
herself ^ppl+pp3+++=herself,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
added ^jj+++xvbn+=added,
, ^zz++++=EXTRAWORD
more ^rbr++++=more
soberly ^rb+cnj+++=soberly,
, ^zz++++=EXTRAWORD
" ^zz++++="It
it ^pp3+it+++=EXTRAWORD
Was ^vbd+bedz+aux++=WAS
wrongto ^nn+++??+=wrongto
take ^vb++++=take
it ^pp3+it+++=it
without ^in++++=without
leave ^nn++++=leave;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
it ^pp3+it+++=it's
's ^vbz+bez+vrb++0=EXTRAWORD
all ^abn++++=all
right ^jj++++=right
now ^rn+tm+++=now,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I'll
'll ^md+prd+++0=EXTRAWORD
give ^vb++++=give
youas ^nns+++??+=youas
many ^ap++++=many
roses ^nns++++=roses
as ^ql++++=as
you ^pp2+pp2+++=you
want ^vb++++=want,
, ^zz++++=EXTRAWORD
for ^in++++=for
I ^pp1a+pp1+++=I
know ^vb+vprv+tht0++=know
you ^pp2+pp2+++=you
are ^vb+ber+vrb++=are
a ^at++++=a
good ^jj+atrb+++=good
girl ^nn++++=girl."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Thank
thank ^vb++++=EXTRAWORD
you ^pp2+pp2+++=you.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
did ^vbd+dod+aux++=didn't
n't ^xnot++not++0=EXTRAWORD
want ^vb++++=want
it ^pp3+it+++=it
only ^rb+down+++=only
because ^cs+cos+++=because
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
pretty ^rb+cnj+++=pretty,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
Iwanted ^np+++??+=Iwanted
to ^in++++=to
copy ^nn++++=copy
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
can ^md+pos+++=can't
n't ^xnot++not++0=EXTRAWORD
get ^vb++++=get
any ^dti++++=any
for ^in++++=for
myself ^ppl+pp1+++=myself,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
so ^ql++++=so
I ^pp1a+pp1+++=I
can ^md+pos+++=can't
n't ^xnot++not++0=EXTRAWORD
do ^vb+do+vrb++=do
mymake ^nn+++??+=mymake-believe
- ^zz++++=EXTRAWORD
believe ^vb+vprv+++=EXTRAWORD
ones ^cd1s++++=ones
well ^rb++++=well.
. ^zz++++=EXTRAWORD
Madame ^npt++++=Madame
will ^md+prd+++=won't
n't ^xnot++not++0=EXTRAWORD
even ^rb++++=even
lend ^vb++++=lend
me ^pp1o+pp1+++=me
the ^ati++++=the
old ^jj+atrb+++=old
ones ^cd1s++++=ones
inthe ^nn+++??+=inthe
store ^nn++++=store,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Estelle ^np+++??+=Estelle
has ^vbz+hvz+vrb++=has
none ^rb++++=none
to ^to++++=to
spare ^vbi++++=spare
for ^in++++=for
me ^pp1o+pp1+++=me,
, ^zz++++=EXTRAWORD
because ^cs+cos+++=because
I ^pp1a+pp1+++=I
can ^md+pos+++=can't
n't ^xnot++not++0=EXTRAWORD
payher ^jjr++++=payher
for ^in++++=for
teaching ^xvbg+++xvbg+=teaching
me ^pp1o+pp1+++=me.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
gives ^vbz++++=gives
me ^pp1o+pp1+++=me
bits ^nns++++=bits
of ^in++++=of
muslin ^nn++++=muslin
and ^cc++++=and
wire ^nn++++=wire
andthings ^nns+++??+=andthings,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
shows ^nns++++=shows
me ^pp1o+pp1+++=me
now ^rn+tm+++=now
and ^cc+phrs+++=and
then ^rn+tm+++=then.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
I ^pp1a+pp1+++=I
know ^vb+vprv+++=know
if ^cs+cnd+++=if
I ^pp1a+pp1+++=I
had ^vb+hv+vrb++=had
a ^at++++=a
real ^jj+atrb+++=real
floweri ^nn+++??+=flowerI
could ^md+pos+++=could
copy ^vb++++=copy
it ^pp3+it+++=it;
; ^zz++++=EXTRAWORD
so ^ql++++=so
she ^pp3a+pp3+++0=she'd
'd ^md+prd+aux++=EXTRAWORD
see ^vb+vprv+tht0++=see
I ^pp1a+pp1+++=I
did ^vbd+dod+aux++=did
know ^vb+vprv+tht0++=know
something ^pn++++=something,
, ^zz++++=EXTRAWORD
for ^in++++=for
I ^pp1a+pp1+++=I
try ^vb++++=try
realhard ^nn+++??+=realhard.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I'm
'm ^vb+bem+vrb++0=EXTRAWORD
So ^ql+emph+++=SO
tired ^jj+++xvbn+=tired
of ^in++++=of
slopping ^nn++++=slopping
round ^in++++=round
the ^ati++++=the
streets ^nns++++=streets,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++0=I'd
'd ^md+prd+aux++=EXTRAWORD
do ^vb+do+aux++=do
anything ^pn++++=anything
toearn ^vbd+++xvbn+=toearn
my ^pp$+pp1+++=my
living ^nvbg+++xvbg+=living
some ^dti++++=some
other ^ap++++=other
way ^nn++++=way."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Lizzie ^np+++??+=Lizzie
had ^vbd+hvd+aux++=had
poured ^vprf+++xvbnx+=poured
out ^rp+pl+++=out
her ^pp$+pp3+++=her
trouble ^nn++++=trouble
rapidly ^rb++++=rapidly;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
little ^jj+atrb+++=little
story ^nn++++=story
wasquite ^nn++++=wasquite
affecting ^vwbg+++xvbg+=affecting
when ^wrb+who+++=when
one ^cd1++++=one
saw ^vbd+vprv++xvbn+=saw
the ^ati++++=the
tears ^nns++++=tears
on ^rp++++=on
her ^pp3o+pp3+++=her
cheeks ^nns++++=cheeks,
, ^zz++++=EXTRAWORD
the ^ati++++=the
poorclothes ^nns+++??+=poorclothes,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
thin ^jj+atrb+++=thin
hands ^nns++++=hands
that ^tht+rel+subj++=that
held ^vprf+++xvbn+=held
the ^ati++++=the
stolen ^jj+atrb++xvbn+=stolen
rose ^nn+++xvbn+=rose.
. ^zz++++=EXTRAWORD
Belle ^np++++=Belle
wasmuch ^vb+++??+=wasmuch
touched ^vbd+++xvbn+=touched,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and,
, ^zz++++=EXTRAWORD
in ^in++++=in
her ^pp$+pp3+++=her
impetuous ^jj+atrb+++=impetuous
way ^nn++++=way,
, ^zz++++=EXTRAWORD
set ^j+++xvbn+=set
about ^in++++=about
mending ^xvbg+++xvbg+=mending
mattersas ^nns+++??+=mattersas
fast ^rb++++=fast
as ^ql++++=as
possible ^jj++++=possible.
. ^zz++++=EXTRAWORD
" ^zz++++="Put
put ^vbd+++xvbn+=EXTRAWORD
on ^rb+phrv+++=on
those ^dt+dem+++=those
boots ^nns++++=boots
and ^cc++++=and
that ^tht+vcmp+++=that
pair ^nn++++=pair
of ^in++++=of
dry ^jj+atrb+++=dry
stockings ^nns++++=stockings
right ^nn++++=right
away ^rp+pl+++=away.
. ^zz++++=EXTRAWORD
Thentuck ^np+++??+=Thentuck
as ^ql++++=as
much ^ap++++=much
cake ^nn++++=cake
and ^cc++++=and
fruit ^nn++++=fruit
into ^in++++=into
your ^pp$+pp2+++=your
pocket ^nn++++=pocket
as ^ql++++=as
it ^pp3+it+++=it
will ^md+prd+++=will
hold ^vb+vprv+++=hold.
. ^zz++++=EXTRAWORD
