Belle ^np++++=Belle
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
gripped ^vbd+++xvbnx+=gripped
her ^pp$+pp3+++=her
shoulders ^nns+nom+++=shoulders
with ^in++++=with
his ^pp$+pp3+++=his
strong ^jj+atrb+++=strong
hands ^nns++++=hands.
. ^zz++++=EXTRAWORD
" ^zz++++="I'll
i ^pp1a+pp1+++=EXTRAWORD
'll ^md+prd+++0=EXTRAWORD
keep ^vb++++=keep
you ^pp2+pp2+++=you
for ^in++++=for
good ^jj++++=good
the ^ati++++=the
next ^ap++++=next
time ^nn++++=time,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said.
. ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
might ^md+pos+++=might
as ^rb++splt++=as
well ^rb++++=well
make ^vb++++=make
up ^rp++++=up
your ^pp$+pp2+++=your
mind ^nn++++=mind
to ^in++++=to
that ^dt+pdem+++=that.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It's
's ^vbz+bez+vrb++0=EXTRAWORD
you ^pp2+pp2+++=you
and ^cc++++=and
me ^pp1o+pp1+++=me
for ^in++++=for
it ^pp3+it+++=it
and ^cc++++=and
I ^pp1a+pp1+++=I'm
'm ^vb+bem+aux++0=EXTRAWORD
going ^md"++pmd"++=going
to ^md+prd+++=to
have ^vbi++vrb++=have
you ^pp2+pp2+++=you
before ^cs+sub+++=before
I ^pp1a+pp1+++=I
get ^vb++++=get
through ^in+strn+++=through."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
One ^cd1++++=One
night ^nn++++=night
in ^in++++=in
January ^nr+nom+++=January
when ^wrb+who+++=when
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
a ^at++++=a
new ^jj+atrb+++=new
moon ^np++++=moon
George ^np++++=George
Willard ^np+++??+=Willard,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
was ^vbd+bedz+vrb++=was,
, ^zz++++=EXTRAWORD
in ^in++++=in
Ed ^np++++=Ed
Handby ^np++++=Handby's
's ^$++++=EXTRAWORD
mind ^nn++++=mind,
, ^zz++++=EXTRAWORD
the ^ati++++=the
only ^ap+down+++=only
obstacle ^nn++++=obstacle
to ^in++++=to
his ^pp$+pp3+++=his
getting ^vbg+++xvbg+=getting
Belle ^np++++=Belle
Carpenter ^nn+nom+++=Carpenter,
, ^zz++++=EXTRAWORD
went ^j+++xvbn+=went
for ^in++++=for
a ^at++++=a
walk ^nn++++=walk.
. ^zz++++=EXTRAWORD
Early ^jj++++=Early
that ^dt+dem+++=that
evening ^nn++++=evening
George ^np++++=George
went ^vbd+++xvbn+=went
into ^in++++=into
Ransom ^np+++??+=Ransom
Surbeck ^np++++=Surbeck's
's ^$++++=EXTRAWORD
pool ^nn++++=pool
room ^nn++++=room
with ^in++++=with
Seth ^np+++??+=Seth
Richmond ^np++++=Richmond
and ^cc++++=and
Art ^nn++++=Art
Wilson ^np++++=Wilson,
, ^zz++++=EXTRAWORD
son ^nn++++=son
of ^in++++=of
the ^ati++++=the
town ^nn++++=town
butcher ^nn++++=butcher.
. ^zz++++=EXTRAWORD
Seth ^np+++??+=Seth
Richmond ^np++++=Richmond
stood ^vbd+++xvbn+=stood
with ^in++++=with
his ^pp$+pp3+++=his
back ^jjb++++=back
against ^in++++=against
the ^ati++++=the
wall ^nn++++=wall
and ^cc++++=and
remained ^vbd+++xvbn+=remained
silent ^jj++++=silent,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
George ^np++++=George
Willard ^np+++??+=Willard
talked ^vbd+++xvbn+=talked.
. ^zz++++=EXTRAWORD
The ^ati++++=The
pool ^nn++++=pool
room ^nn++++=room
was ^vbd+bedz+aux++=was
filled ^vpsv++agls+xvbnx+=filled
with ^in++++=with
Winesburg ^np+++??+=Winesburg
boys ^nns++++=boys
and ^cc++++=and
they ^pp3a+pp3+++=they
talked ^vbd+++xvbnx+=talked
of ^in++++=of
women ^nns++++=women.
. ^zz++++=EXTRAWORD
The ^ati++++=The
young ^jj+atrb+++=young
reporter ^nn+nom+++=reporter
got ^vbd+++xvbn+=got
into ^in+ppvb+++=into
that ^dt+dem+++=that
vein ^nn++++=vein.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
said ^vbd+vpub++xvbnx+=said
that ^tht+vcmp+++=that
women ^nns++++=women
should ^md+nec+++=should
look ^vb++++=look
out ^rb+phrv+++=out
for ^in+ppvb+++=for
themselves ^ppls+pp3+++=themselves
that ^cs+sub+++=that
the ^ati++++=the
fellow ^jjb++++=fellow
who ^whp+who+++=who
went ^vbd+++xvbn+=went
out ^rp+pl+++=out
with ^in++++=with
a ^at++++=a
girl ^nn++++=girl
was ^vbd+bedz+vrb++=was
not ^xnot++not++=not
responsible ^jj++++=responsible
for ^in++++=for
what ^wdt+who+++=what
happened ^vbd+++xvbn+=happened.
. ^zz++++=EXTRAWORD
As ^ql++++=As
he ^pp3a+pp3+++=he
talked ^vbd+++xvbnx+=talked
he ^pp3a+pp3+++=he
looked ^vbd+++xvbnx+=looked
about ^in+strn+++=about,
, ^zz++++=EXTRAWORD
eager ^jj++++=eager
for ^in++++=for
attention ^nn+nom+++=attention.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
held ^vbd+vprv++xvbnx+=held
the ^ati++++=the
floor ^nn++++=floor
for ^in++++=for
five ^cd++++=five
minutes ^nns++++=minutes
and ^cc++++=and
then ^rn+tm+++=then
Art ^nn++++=Art
Wilson ^np++++=Wilson
began ^vbd+++xvbn+=began
to ^to++++=to
talk ^vbi++++=talk.
. ^zz++++=EXTRAWORD
Art ^nn++++=Art
was ^vbd+bedz+aux++=was
learning ^vbg+vprv++xvbgx+=learning
the ^ati++++=the
barber ^nn++++=barber's
's ^$++++=EXTRAWORD
trade ^nn++++=trade
in ^in++++=in
Cal ^np+++??+=Cal
Prouse ^np++++=Prouse's
's ^$++++=EXTRAWORD
shop ^nn++++=shop
and ^cc++++=and
already ^rb++++=already
began ^vbd+++xvbn+=began
to ^to++++=to
consider ^nn+nom+++=consider
himself ^ppl+pp3+++=himself
an ^at++++=an
authority ^nn+nom+++=authority
in ^in++++=in
such ^abl++++=such
matters ^nns+nom+++=matters
as ^ql++++=as
baseball ^nn++++=baseball,
, ^zz++++=EXTRAWORD
horse ^nn++++=horse
racing ^vwbg+++xvbg+=racing,
, ^zz++++=EXTRAWORD
drinking ^vbg+++xvbg+=drinking
and ^cc+phrs+++=and
going ^vbg+++xvbg+=going
about ^in+ppvb+++=about
with ^in++++=with
women ^nns++++=women.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
began ^vbd+++xvbnx+=began
to ^to++++=to
tell ^vbi++++=tell
of ^in++++=of
a ^at++++=a
night ^nn++++=night
when ^wrb+who+++=when
he ^pp3a+pp3+++=he
with ^in++++=with
two ^cd++++=two
men ^nns++++=men
from ^in++++=from
Winesburg ^np+++??+=Winesburg
went ^vbd+++xvbn+=went
into ^in++++=into
a ^at++++=a
house ^nn++++=house
of ^in++++=of
prostitution ^nn+nom+++=prostitution
at ^in++++=at
the ^ati++++=the
County ^nn++++=County
Seat ^nn++++=Seat.
. ^zz++++=EXTRAWORD
The ^ati++++=The
butcher ^nn++++=butcher's
's ^$++++=EXTRAWORD
son ^nn++++=son
held ^vbd+vprv++xvbn+=held
a ^at++++=a
cigar ^nn++++=cigar
in ^in++++=in
the ^ati++++=the
side ^nn++++=side
of ^in++++=of
his ^pp$+pp3+++=his
mouth ^nn++++=mouth
and ^cc++++=and
as ^ql++++=as
he ^pp3a+pp3+++=he
talked ^vbd+++xvbnx+=talked
spat ^vbd+++xvbn+=spat
on ^in++++=on
the ^ati++++=the
floor ^nn++++=floor.
. ^zz++++=EXTRAWORD
" ^zz++++="The
the ^ati++++=EXTRAWORD
women ^nns++++=women
in ^in++++=in
the ^ati++++=the
place ^nn++++=place
could ^md+pos+++=couldn't
n't ^xnot++not++0=EXTRAWORD
embarrass ^vb++++=embarrass
me ^pp1o+pp1+++=me
although ^cs+con+++=although
they ^pp3a+pp3+++=they
tried ^vbd+++xvbnx+=tried
hard ^jj++++=hard
enough ^qlp++++=enough,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
boasted ^vbd+vpub++xvbnx+=boasted.
. ^zz++++=EXTRAWORD
" ^zz++++="One
one ^pn++++=EXTRAWORD
of ^in++++=of
the ^ati++++=the
girls ^nns++++=girls
in ^in++++=in
the ^ati++++=the
house ^npl++++=house
tried ^vbd+++xvbn+=tried
to ^to+vcmp+++=to
get ^vbi++++=get
fresh ^jj++++=fresh
but ^cc++++=but
I ^pp1a+pp1+++=I
fooled ^vbd+++xvbnx+=fooled
her ^pp$+pp3+++=her.
. ^zz++++=EXTRAWORD
As ^ql++++=As
soon ^rb+tm+++=soon
as ^ql++++=as
she ^pp3a+pp3+++=she
began ^vbd+++xvbnx+=began
to ^to++++=to
talk ^vbi++++=talk
I ^pp1a+pp1+++=I
went ^vbd+++xvbnx+=went
and ^cc+phrs+++=and
sat ^vbd+++xvbn+=sat
in ^in++++=in
her ^pp$+pp3+++=her
lap ^nn++++=lap.
. ^zz++++=EXTRAWORD
Everyone ^pn++++=Everyone
in ^in++++=in
the ^ati++++=the
room ^nn++++=room
laughed ^vbd+++xvbn+=laughed
when ^wrb+who+++=when
I ^pp1a+pp1+++=I
kissed ^vbd+++xvbnx+=kissed
her ^pp$+pp3+++=her.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
taught ^vbd+vsua++xvbnx+=taught
her ^pp$+pp3+++=her
to ^to++++=to
let ^vbi++++=let
me ^pp1o+pp1+++=me
alone ^rb++++=alone."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
George ^np++++=George
Willard ^np+++??+=Willard
went ^vbd+++xvbn+=went
out ^rp+pl+++=out
of ^in++++=of
the ^ati++++=the
pool ^nn++++=pool
room ^nn++++=room
and ^cc++++=and
into ^in++++=into
Main ^jjb+atrb+++=Main
Street ^nn++++=Street.
. ^zz++++=EXTRAWORD
For ^in++++=For
days ^nns++++=days
the ^ati++++=the
weather ^nn++++=weather
had ^vbd+hvd+aux++=had
been ^vprf+ben+vrb+xvbnx+=been
bitter ^jj++++=bitter
cold ^jj++++=cold
with ^in++++=with
a ^at++++=a
high ^jj+atrb+++=high
wind ^nn++++=wind
blowing ^vwbg+++xvbg+=blowing
down ^rp++++=down
on ^in++++=on
the ^ati++++=the
town ^nn++++=town
from ^in++++=from
Lake ^nn++++=Lake
Erie ^np+++??+=Erie,
, ^zz++++=EXTRAWORD
eighteen ^cd++++=eighteen
miles ^nns++++=miles
to ^in++++=to
the ^ati++++=the
north ^np+pl+++=north,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
on ^in++++=on
that ^dt+dem+++=that
night ^nn++++=night
the ^ati++++=the
wind ^nn++++=wind
had ^vbd+hvd+aux++=had
died ^vprf+++xvbnx+=died
away ^rp+pl+++=away
and ^cc++++=and
a ^at++++=a
new ^jj+atrb+++=new
moon ^np++++=moon
made ^vbd+++xvbn+=made
the ^ati++++=the
night ^nn++++=night
unusually ^rb++++=unusually
lovely ^jj++++=lovely.
. ^zz++++=EXTRAWORD
Without ^in++++=Without
thinking ^xvbg+++xvbg+=thinking
where ^wrb+who+++=where
he ^pp3a+pp3+++=he
was ^vbd+bedz+aux++=was
going ^vbg+++xvbgx+=going
or ^cc+cls+++=or
what ^wdt+who+++=what
he ^pp3a+pp3+++=he
wanted ^vbd+++xvbnx+=wanted
to ^to+vcmp+++=to
do ^vbi++++=do
George ^np++++=George
went ^vbd+++xvbn+=went
out ^rp+pl+++=out
of ^in++++=of
Main ^jjb+atrb+++=Main
Street ^nn++++=Street
and ^cc++++=and
began ^vbd+++xvbn+=began
walking ^nvbg+++xvbg+=walking
in ^in++++=in
dimly ^rb++++=dimly
lighted ^jj+atrb++xvbn+=lighted
streets ^nns++++=streets
filled ^vbd+++xvbn+=filled
with ^in++++=with
frame ^nn++++=frame
houses ^nns++++=houses.
. ^zz++++=EXTRAWORD
Out ^rp+pl+++=Out
of ^in++++=of
doors ^nns++++=doors
under ^in++++=under
the ^ati++++=the
black ^jj+atrb+++=black
sky ^nn++++=sky
filled ^vbd+++xvbn+=filled
with ^in++++=with
stars ^nns++++=stars
he ^pp3a+pp3+++=he
forgot ^vbd+vprv+tht0+xvbnx+=forgot
his ^pp$+pp3+++=his
companions ^nns++++=companions
of ^in++++=of
the ^ati++++=the
pool ^nn++++=pool
room ^nn++++=room.
. ^zz++++=EXTRAWORD
Because ^cs+cos+++=Because
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
dark ^jj+pred+++=dark
and ^cc++++=and
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
alone ^rb++++=alone
he ^pp3a+pp3+++=he
began ^vbd+++xvbnx+=began
to ^to++++=to
talk ^vbi++++=talk
aloud ^rb++++=aloud.
. ^zz++++=EXTRAWORD
In ^in++++=In
a ^at++++=a
spirit ^nn++++=spirit
of ^in++++=of
play ^nn++++=play
he ^pp3a+pp3+++=he
reeled ^vbd+++xvbnx+=reeled
along ^in++++=along
the ^ati++++=the
street ^nn++++=street
imitating ^vwbg+++xvbg+=imitating
a ^at++++=a
drunken ^jj+atrb+++=drunken
man ^nn++++=man
and ^cc++++=and
then ^rn+tm+++=then
imagined ^vbd+vprv+tht0+xvbn+=imagined
himself ^ppl+pp3+++=himself
a ^at++++=a
soldier ^nn++++=soldier
clad ^jj++++=clad
in ^in++++=in
shining ^xvbg+++xvbg+=shining
boots ^nns++++=boots
that ^tht+rel+subj++=that
reached ^vprf+++xvbn+=reached
to ^in++++=to
the ^ati++++=the
knees ^nns++++=knees
and ^cc++++=and
wearing ^vbg+++xvbg+=wearing
a ^at++++=a
sword ^nn++++=sword
that ^tht+rel+subj++=that
jingled ^vprf+++xvbn+=jingled
as ^ql++++=as
he ^pp3a+pp3+++=he
walked ^vbd+++xvbnx+=walked.
. ^zz++++=EXTRAWORD
As ^in++++=As
a ^at++++=a
soldier ^nn++++=soldier
he ^pp3a+pp3+++=he
pictured ^vbd+++xvbnx+=pictured
himself ^ppl+pp3+++=himself
as ^in++++=as
an ^at++++=an
inspector ^nn++++=inspector,
, ^zz++++=EXTRAWORD
passing ^vbg+++xvbg+=passing
before ^cs+sub+++=before
a ^at++++=a
long ^jj+atrb+++=long
line ^nn++++=line
of ^in++++=of
men ^nns++++=men
who ^whp+rel+subj++=who
stood ^vbd+++xvbn+=stood
at ^rb++++=at
attention ^nn+nom+++=attention.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
began ^vbd+++xvbnx+=began
to ^to++++=to
examine ^vbi++++=examine
the ^ati++++=the
accoutrements ^nns+nom+++=accoutrements
of ^in++++=of
the ^ati++++=the
men ^nns++++=men.
. ^zz++++=EXTRAWORD
Before ^cs+sub+++=Before
a ^at++++=a
tree ^nn++++=tree
he ^pp3a+pp3+++=he
stopped ^vbd+++xvbnx+=stopped
and ^cc+phrs+++=and
began ^vbd+++xvbn+=began
to ^to++++=to
scold ^vbi+++??+=scold.
. ^zz++++=EXTRAWORD
" ^zz++++="Your
your ^pp$+pp2+++=EXTRAWORD
pack ^nn++++=pack
is ^vbz+bez+vrb++=is
not ^xnot++not++=not
in ^in++++=in
order ^nn++++=order,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said
sharply ^rb++++=sharply.
. ^zz++++=EXTRAWORD
" ^zz++++="How
how ^wrb+who+++=EXTRAWORD
many ^ap++++=many
times ^nns++++=times
will ^md+prd+++=will
I ^pp1a+pp1+++=I
have ^md"++pmd"++=have
to ^md+nec+++=to
speak ^vb++++=speak
of ^in++++=of
this ^dt+dem+++=this
matter ^nn++++=matter?
? ^zz++++=EXTRAWORD
Everything ^pn++++=Everything
must ^md+nec+++=must
be ^vb+be+vrb++=be
in ^in++++=in
order ^nn++++=order
here ^rn+pl+++=here.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
have ^vb+hv+vrb++=have
a ^at++++=a
difficult ^jj+atrb+++=difficult
task ^nn++++=task
before ^cs+sub+++=before
us ^pp1o+pp1+++=us
and ^cc++++=and
no ^at++++=no
difficult ^jj+atrb+++=difficult
task ^nn++++=task
can ^md+pos+++=can
be ^vb+be+aux++=be
done ^vpsv++agls+xvbnx+=done
without ^in++++=without
order ^nn++++=order."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Hypnotized ^np+++??+=Hypnotized
by ^in++++=by
his ^pp$+pp3+++=his
own ^ap++++=own
words ^nns++++=words
the ^ati++++=the
young ^jj+atrb+++=young
man ^nn++++=man
stumbled ^vbd+++xvbn+=stumbled
along ^in++++=along
the ^ati++++=the
board ^nn++++=board
sidewalk ^nn++++=sidewalk
saying ^vwbg+++xvbg+=saying
more ^ql++++=more
words ^nns++++=words.
. ^zz++++=EXTRAWORD
" ^zz++++="There
there ^ex+pex+++=EXTRAWORD
is ^vbz+bez+vrb++=is
a ^at++++=a
law ^nn++++=law
for ^in++++=for
armies ^nns++++=armies
and ^cc++++=and
for ^in++++=for
men ^nns++++=men
too ^rb+cnj+++=too,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
muttered ^vbd+++xvbnx+=muttered,
, ^zz++++=EXTRAWORD
lost ^j+++xvbn+=lost
in ^in++++=in
reflection ^nn+nom+++=reflection.
. ^zz++++=EXTRAWORD
" ^zz++++="The
the ^ati++++=EXTRAWORD
law ^nn++++=law
begins ^vbz++++=begins
with ^in++++=with
little ^jj+atrb+++=little
things ^nns++++=things
and ^cc++++=and
spreads ^vbz++++=spreads
out ^rp+pl+++=out
until ^cs+sub+++=until
it ^pp3+it+++=it
covers ^vbz++++=covers
everything ^pn++++=everything.
. ^zz++++=EXTRAWORD
In ^in++++=In
every ^at++++=every
little ^jj+atrb+++=little
thing ^nn++++=thing
there ^ex+pex+++=there
must ^md+nec+++=must
be ^vb+be+vrb++=be
order ^nn++++=order,
, ^zz++++=EXTRAWORD
in ^in++++=in
the ^ati++++=the
place ^nn++++=place
where ^wrb+who+++=where
men ^nns++++=men
work ^nn++++=work,
, ^zz++++=EXTRAWORD
in ^in++++=in
their ^pp$+pp3+++=their
clothes ^nns++++=clothes,
, ^zz++++=EXTRAWORD
in ^in++++=in
their ^pp$+pp3+++=their
thoughts ^nns++++=thoughts.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
myself ^ppl+pp1+++=myself
must ^md+nec+++=must
be ^vb+be+vrb++=be
orderly ^jj+pred+++=orderly.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
must ^md+nec+++=must
learn ^vb+vprv+++=learn
that ^tht+vcmp+++=that
law ^nn++++=law.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
must ^md+nec+++=must
get ^vb++++=get
myself ^ppl+pp1+++=myself
into ^in++++=into
touch ^nn++++=touch
with ^in++++=with
something ^pn++++=something
orderly ^jj++++=orderly
and ^cc+phrs+++=and
big ^jj++++=big
that ^dt+pdem+++=that
swings ^vbz++++=swings
through ^in++++=through
the ^ati++++=the
night ^nn++++=night
like ^in++++=like
a ^at++++=a
star ^nn++++=star.
. ^zz++++=EXTRAWORD
In ^in++++=In
my ^pp$+pp1+++=my
little ^jj+atrb+++=little
way ^nn++++=way
I ^pp1a+pp1+++=I
must ^md+nec+++=must
begin ^vb++++=begin
to ^to++++=to
learn ^vbi+vprv+tht0++=learn
something ^pn++++=something,
, ^zz++++=EXTRAWORD
to ^to++++=to
give ^vbi++++=give
and ^cc++++=and
swing ^nn++++=swing
and ^cc++++=and
work ^nn++++=work
with ^in++++=with
life ^nn++++=life,
, ^zz++++=EXTRAWORD
with ^in++++=with
the ^ati++++=the
law ^nn++++=law."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
George ^np++++=George
Willard ^np+++??+=Willard
stopped ^vwbn+++xvbn+=stopped
by ^in++++=by
a ^at++++=a
picket ^nn++++=picket
fence ^nn++++=fence
near ^in+pl+++=near
a ^at++++=a
street ^nn++++=street
lamp ^nn++++=lamp
and ^cc++++=and
his ^pp$+pp3+++=his
body ^nn++++=body
began ^vbd+++xvbn+=began
to ^to++++=to
tremble ^vbi++++=tremble.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
had ^vb+hv+vrb++=had
never ^rb++++=never
before ^cs+sub+++=before
thought ^vbd+++xvbn+=thought
such ^abl++++=such
thoughts ^nns++++=thoughts
as ^ql++++=as
had ^vb+hv+aux++=had
just ^rb+emph+splt++=just
come ^vb++++=come
into ^in+ppvb+++=into
his ^pp$+pp3+++=his
head ^nn++++=head
and ^cc++++=and
he ^pp3a+pp3+++=he
wondered ^vbd+vprv++xvbnx+=wondered
where ^wrb+who+whcl++=where
they ^pp3a+pp3+++=they
had ^vbd+hvd+aux++=had
come ^vprf+++xvbn+=come
from ^in+ppvb+++=from.
. ^zz++++=EXTRAWORD
For ^in++++=For
the ^ati++++=the
moment ^nn++++=moment
it ^pp3+it+++=it
seemed ^vbd+seem++xvbn+=seemed
to ^to+vcmp+++=to
him ^vbi++++=him
that ^cs+sub+++=that
some ^dti++++=some
voice ^nn++++=voice
outside ^in+cmpx+++=outside
of ^in"++++=of
himself ^ppl+pp3+++=himself
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
talking ^vbg+++xvbgx+=talking
as ^ql++++=as
he ^pp3a+pp3+++=he
walked ^vbd+++xvbnx+=walked.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+aux++=was
amazed ^vpsv++agls+xvbnx+=amazed
and ^cc+phrs+++=and
delighted ^vpsv++agls+xvbn+=delighted
with ^in++++=with
his ^pp$+pp3+++=his
own ^ap++++=own
mind ^nn++++=mind
and ^cc+cls+++=and
when ^wrb+who+++=when
he ^pp3a+pp3+++=he
walked ^vbd+++xvbnx+=walked
on ^in++++=on
again ^rb+tm+++=again
spoke ^vbd+++xvbn+=spoke
of ^in++++=of
the ^ati++++=the
matter ^nn++++=matter
with ^in++++=with
fervor ^nn++++=fervor.
. ^zz++++=EXTRAWORD
" ^zz++++="To
to ^to++++=EXTRAWORD
come ^vbi++++=come
out ^rb+phrv+++=out
of ^in+ppvb+++=of
Ransom ^np+++??+=Ransom
Surbeck ^np++++=Surbeck's
's ^$++++=EXTRAWORD
pool ^nn++++=pool
room ^nn++++=room
and ^cc++++=and
think ^vb+vprv+++=think
things ^nns++++=things
like ^in++++=like
that ^dt+pdem+++=that,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
whispered ^vbd+vpub++xvbnx+=whispered.
. ^zz++++=EXTRAWORD
" ^zz++++="It
it ^pp3+it+++=EXTRAWORD
is ^vbz+bez+vrb++=is
better ^jjr+pred+++=better
to ^to+jcmp+++=to
be ^vbi++vrb++=be
alone ^rb++++=alone.
. ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
I ^pp1a+pp1+++=I
talked ^vbd+++xvbnx+=talked
like ^in++++=like
Art ^nn++++=Art
Wilson ^np++++=Wilson
the ^ati++++=the
boys ^nns++++=boys
would ^md+prd+++=would
understand ^vb+vprv+++=understand
me ^pp1o+pp1+++=me
but ^cc++++=but
they ^pp3a+pp3+++=they
would ^md+prd+++=wouldn't
n't ^xnot++not++0=EXTRAWORD
understand ^vb+vprv+++=understand
what ^wdt+who+whcl++=what
I ^pp1a+pp1+++=I
have ^vb+hv+vrb++=have
been ^vprf+ben+aux+xvbnx+=been
thinking ^vbg+++xvbgx+=thinking
down ^rp++++=down
here ^rn+pl+++=here."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
In ^in++++=In
Winesburg ^np+++??+=Winesburg,
, ^zz++++=EXTRAWORD
as ^in++++=as
in ^in"++++=in
all ^abn++++=all
Ohio ^np+++??+=Ohio
towns ^nns++++=towns
of ^in++++=of
twenty ^cd++++=twenty
years ^nns++++=years
ago ^rb+cnj+++=ago,
, ^zz++++=EXTRAWORD
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
a ^at++++=a
section ^nn+nom+++=section
in ^in++++=in
which ^whp+rel+pied++=which
lived ^vbd+++xvbn+=lived
day ^nn++++=day
laborers ^nns+nom+++=laborers.
. ^zz++++=EXTRAWORD
As ^in++++=As
the ^ati++++=the
time ^nn++++=time
of ^in++++=of
factories ^nns++++=factories
had ^vb+hv+aux++=had
not ^xnot++not++=not
yet ^rb++++=yet
come ^vprf+++xvbn+=come
the ^ati++++=the
laborers ^nns+nom+++=laborers
worked ^vbd+++xvbn+=worked
in ^in++++=in
the ^ati++++=the
fields ^nns++++=fields
or ^cc++++=or
were ^vbd+bed+vrb++=were
section ^nn+nom+++=section
hands ^nns++++=hands
on ^in++++=on
the ^ati++++=the
railroads ^nns+++??+=railroads.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
worked ^vbd+++xvbnx+=worked
twelve ^cd++++=twelve
hours ^nns++++=hours
a ^at++++=a
day ^nn++++=day
and ^cc++++=and
received ^vbd+++xvbn+=received
one ^cd1++++=one
dollar ^nn++++=dollar
for ^in++++=for
the ^ati++++=the
long ^rb++++=long
day ^nn++++=day
of ^in++++=of
toil ^nn++++=toil.
. ^zz++++=EXTRAWORD
The ^ati++++=The
houses ^nns++++=houses
in ^in++++=in
which ^whp+rel+pied++=which
they ^pp3a+pp3+++=they
lived ^vbd+++xvbnx+=lived
were ^vbd+bed+aux++=were
small ^jj+pred+++=small
cheaply ^rb++++=cheaply
constructed ^vbd+++xvbn+=constructed
wooden ^jj+atrb+++=wooden
affairs ^nns++++=affairs
with ^in++++=with
a ^at++++=a
garden ^nn++++=garden
at ^rb++++=at
the ^ati++++=the
back ^nn++++=back.
. ^zz++++=EXTRAWORD
The ^ati++++=The
more ^rbr++++=more
comfortable ^jj++++=comfortable
among ^in++++=among
them ^pp3o+pp3+++=them
kept ^vbd+++xvbn+=kept
cows ^nns++++=cows
and ^cc++++=and
perhaps ^rb++++=perhaps
a ^at++++=a
pig ^nn++++=pig,
, ^zz++++=EXTRAWORD
housed ^j+++xvbn+=housed
in ^in++++=in
a ^rb++++=a
little ^rb"++++=little
shed ^nn+++xvbn+=shed
at ^rb++++=at
the ^ati++++=the
rear ^nn++++=rear
of ^in++++=of
the ^ati++++=the
garden ^nn++++=garden.
. ^zz++++=EXTRAWORD
With ^in++++=With
his ^pp$+pp3+++=his
head ^jjb++++=head
filled ^jj+++xvbn+=filled
with ^in++++=with
resounding ^jj+atrb+++=resounding
thoughts ^nns++++=thoughts
George ^np++++=George
Willard ^np+++??+=Willard
walked ^vbd+++xvbn+=walked
into ^in+ppvb+++=into
such ^abl++++=such
a ^at++++=a
street ^nn++++=street
on ^in++++=on
the ^ati++++=the
clear ^jj+atrb+++=clear
January ^nr+nom+++=January
night ^nn++++=night.
. ^zz++++=EXTRAWORD
The ^ati++++=The
street ^nn++++=street
was ^vbd+bedz+aux++=was
dimly ^rb++splt++=dimly
lighted ^vpsv++agls+xvbnx+=lighted
and ^cc++++=and
in ^in++++=in
places ^nns++++=places
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
no ^at++++=no
sidewalk ^nn++++=sidewalk.
. ^zz++++=EXTRAWORD
In ^in++++=In
the ^ati++++=the
scene ^nn++++=scene
that ^tht+rel+++=that
lay ^jjb+++xvbn+=lay
about ^rb++++=about
him ^pp3o+pp3+++=him
