Lark ^nn++++=Lark
a ^at++++=a
glaze ^nn++++=glaze
of ^in++++=of
bright ^jj+atrb+++=bright
blood ^nn++++=blood.
. ^zz++++=EXTRAWORD
" ^zz++++="Don't
do ^vb+do+vrb++=EXTRAWORD
n't ^xnot++not++0=EXTRAWORD
smile ^nn++++=smile
at ^rb++++=at
me ^pp1o+pp1+++=me,
, ^zz++++=EXTRAWORD
Dad ^npt++++=Dad,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Jackie ^np++++=Jackie
Gunner ^np+++??+=Gunner
said ^vbd+vpub++xvbn+=said.
. ^zz++++=EXTRAWORD
" ^zz++++="Okay,"
okay ^rb+cnj+++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
said ^vbd+vpub++xvbnx+=said.
. ^zz++++=EXTRAWORD
" ^zz++++="Tell
tell ^vb++++=EXTRAWORD
me ^pp1o+pp1+++=me
what ^wdt+who+++=what
my ^pp$+pp1+++=my
mom ^nn+++??+=mom
is ^vbz+bez+vrb++=is
like ^in+strn+++=like,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Jackie ^np++++=Jackie
Gunner ^np+++??+=Gunner
demanded ^vbd+vsua++xvbn+=demanded.
. ^zz++++=EXTRAWORD
" ^zz++++="Tell
tell ^vb++++=EXTRAWORD
us ^pp1o+pp1+++=us
everything ^pn++++=everything."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Mommy,"
mommy ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
echoed ^vbd+++xvbn+=echoed
Jamie ^np+++??+=Jamie
Lou ^np++++=Lou.
. ^zz++++=EXTRAWORD
" ^zz++++="She's
she ^pp3a+pp3+++=EXTRAWORD
's ^vbz+bez+aux++0=EXTRAWORD
pretty ^rb++++=pretty
cool ^vb++++=cool,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
said ^vbd+vpub++xvbnx+=said.
. ^zz++++=EXTRAWORD
" ^zz++++="Okay?"
okay ^rb+dspt+++=EXTRAWORD
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Jackie ^np++++=Jackie
Gunner ^np+++??+=Gunner
said ^vbd+vpub++xvbn+=said.
. ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
want ^vb++++=want
to ^to+vcmp+++=to
know ^vbi+vprv+++=know
right ^jj++++=right
now ^rn+tm+++=now?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
asked ^vbd+vsua++xvbnx+=asked.
. ^zz++++=EXTRAWORD
" ^zz++++="Well,
well ^rb+cnj+++=EXTRAWORD
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
exactly ^rb++++=exactly
got ^vbd+++xvbn+=got
a ^at++++=a
whole ^jj+atrb+++=whole
lot ^nn++++=lot
of ^in++++=of
time ^nn++++=time,
, ^zz++++=EXTRAWORD
Pops ^np+++??+=Pops."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="We're
we ^pp1a+pp1+++=EXTRAWORD
're ^vb+ber+aux++0=EXTRAWORD
not ^xnot++not++=not
gonna ^md+prd+++0=gonna
be ^vb+be+vrb++=be
people ^nns++++=people,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Jamie ^np+++??+=Jamie
Lou ^np++++=Lou
explained ^vbd+vpub++xvbn+=explained,
, ^zz++++=EXTRAWORD
suddenly ^rb++++=suddenly
somber ^jjr++++=somber.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
looked ^vbd+++xvbnx+=looked
at ^rb++++=at
her ^pp$+pp3+++=her.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
thought ^vbd+++xvbnx+=thought
of ^in++++=of
one ^cd1++++=one
place ^nn++++=place
to ^to++++=to
start ^vbi++++=start:
: ^zz++++=EXTRAWORD
my ^pp$+pp1+++=my
mother ^nn++++=mother's
's ^$++++=EXTRAWORD
Volvo ^np++++=Volvo.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
did ^vbd+dod+vrb++=did
this ^dt+dem+++=this
thing ^nn++++=thing
where ^wrb+who+++=where
if ^cs+cnd+++=if
you ^pp2+pp2+++=you
ever ^rb++++=ever
stopped ^vbd+++xvbn+=stopped
all ^abn++++=all
the ^ati++++=the
way ^nn++++=way,
, ^zz++++=EXTRAWORD
the ^ati++++=the
car ^nn++++=car
just ^rb+emph+++=just
shut ^vbd+++xvbn+=shut
off ^rb+phrv+++=off
about ^in++++=about
half ^abn++++=half
the ^ati++++=the
time ^nn++++=time.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You'd
'd ^md+prd+aux++0=EXTRAWORD
have ^vb+hv+vrb++=have
to ^in++++=to
rush ^nn++++=rush
to ^to++++=to
shift ^vbi++++=shift
into ^in++++=into
park ^nn++++=park,
, ^zz++++=EXTRAWORD
then ^rn+tm+++=then
twist ^vb++++=twist
the ^ati++++=the
key ^jjb++++=key
to ^to++++=to
off ^rp+pl+++=off,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
then ^rn+tm+++=then
turn ^vb++++=turn
it ^pp3+it+++=it
back ^jjb++++=back
on ^in++++=on
to ^to++++=to
get ^vbi++++=get
the ^ati++++=the
car ^nn++++=car
started ^vbd+++xvbn+=started
again ^rb+tm+++=again.
. ^zz++++=EXTRAWORD
It ^pp3+it+++0=It'd
'd ^md+prd+aux++=EXTRAWORD
get ^vb++++=get
going ^vbg+++xvbg+=going
just ^rb+emph+++=just
fine ^jj++++=fine,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
the ^ati++++=the
next ^ap++++=next
time ^nn++++=time
you ^pp2+pp2+++=you
stopped ^vbd+++xvbn+=stopped
lights ^nns++++=lights
out ^rp+pl+++=out.
. ^zz++++=EXTRAWORD
Eventually ^rb+cnj+++=Eventually,
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
got ^vbd+++xvbn+=got
the ^ati++++=the
hang ^nn++++=hang
of ^in++++=of
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
figured ^j+++xvbn+=figured
out ^rp+pl+++=out
all ^rb++++=all
the ^ati++++=the
little ^jj+atrb+++=little
tricks ^nns++++=tricks.
. ^zz++++=EXTRAWORD
Like ^in+strn+++=Like,
, ^zz++++=EXTRAWORD
if ^cs+cnd+++=if
I ^pp1a+pp1+++=I
shifted ^vbd+++xvbnx+=shifted
to ^in++++=to
neutral ^jj++++=neutral
just ^rb+emph+++=just
as ^ql++++=as
I ^pp1a+pp1+++=I
stopped ^vbd+++xvbnx+=stopped,
, ^zz++++=EXTRAWORD
the ^ati++++=the
engine ^nn++++=engine
would ^md+prd+++=would
maintain ^vb+vpub+++=maintain
a ^at++++=a
healthy ^jj+atrb+++=healthy
hum ^nn+++??+=hum.
. ^zz++++=EXTRAWORD
Or ^cc+cls+++=Or
you ^pp2+pp2+++=you
could ^md+pos+++=could
just ^rb+emph+splt++=just
never ^rb++++=never
stop ^vb++++=stop:
: ^zz++++=EXTRAWORD
slow ^jj++++=slow
down ^rp++++=down
early ^jj++++=early
for ^in++++=for
every ^at++++=every
red ^jj++++=red
light ^jj++++=light,
, ^zz++++=EXTRAWORD
roll ^nn++++=roll
every ^at++++=every
stop ^nn++++=stop
sign ^vb++++=sign.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
my ^pp$+pp1+++=my
third ^nn++++=third
time ^nn++++=time
driving ^vwbg+++xvbg+=driving
Jaclyn ^np+++??+=Jaclyn
anywhere ^rb++++=anywhere.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
were ^vbd+bed+vrb++=were
about ^in++++=about
five ^cd++++=five
feet ^nns++++=feet
into ^in++++=into
the ^ati++++=the
intersection ^nn+nom+++=intersection,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I
was ^vbd+bedz+aux++=was
still ^rb++splt++=still
inching ^vbg+++xvbgx+=inching
forward ^rb++++=forward.
. ^zz++++=EXTRAWORD
Jaclyn ^np+++??+=Jaclyn
pretended ^vbd+vprv+tht0+xvbn+=pretended
everything ^pn++++=everything
was ^vbd+bedz+vrb++=was
normal ^jj+pred+++=normal.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
wore ^vbd+++xvbnx+=wore
an ^at++++=an
acid ^nn++++=acid-washed
- ^zz++++=EXTRAWORD
washed ^vbd+++xvbn+=EXTRAWORD
denim ^nn+++??+=denim
jacket ^nn++++=jacket
over ^in++++=over
a ^at++++=a
tank ^nn++++=tank
top ^jjb++++=top
and ^cc++++=and
some ^dti++++=some
cargo ^nn++++=cargo
pants ^nns++++=pants.
. ^zz++++=EXTRAWORD
" ^zz++++="I'm
i ^pp1a+pp1+++=EXTRAWORD
'm ^vb+bem+vrb++0=EXTRAWORD
sorry ^uh++++=sorry,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
know ^vb+vprv+tht0++=know
I ^pp1a+pp1+++=I
look ^vb++++=look
crazy ^jj++++=crazy,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
she ^pp3a+pp3+++0=she'd
'd ^vbd+hvd+aux++=EXTRAWORD
said ^vprf+++xvbnx+=said
as ^ql++++=as
she ^pp3a+pp3+++=she
flipped ^vbd+++xvbnx+=flipped
the ^ati++++=the
passenger ^nn+nom+++=passenger-side
- ^zz++++=EXTRAWORD
side ^nn++++=EXTRAWORD
visor ^nn++++=visor
closed ^vbd+++xvbn+=closed
and ^cc++++=and
deflated ^jj++++=deflated
into ^in++++=into
the ^ati++++=the
passenger ^nn+nom+++=passenger
seat ^nn++++=seat
with ^in++++=with
a ^at++++=a
sigh ^nn++++=sigh.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++0=She'd
'd ^md+prd+aux++=EXTRAWORD
just ^rb+emph+splt++=just
gotten ^vprf+++xvbnx+=gotten
off ^rb+phrv+++=off
of ^in++++=of
work ^nn++++=work
at ^rb++++=at
a ^at++++=a
store ^nn++++=store
that ^tht+rel+subj++=that
sold ^vbd+++xvbn+=sold
things ^nns++++=things
like ^in++++=like
cargo ^nn++++=cargo
pants ^nns++++=pants
and ^cc++++=and
acid ^nn++++=acid-washed
- ^zz++++=EXTRAWORD
washed ^vbd+++xvbn+=EXTRAWORD
denim ^nn+++??+=denim
jackets ^nns++++=jackets.
. ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
do ^vb+do+aux++=do
look ^vb++++=look
a ^rb++++=a
little ^rb"++++=little
off ^in+strn+++=off.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
was ^vbd+bedz+aux++=wasn't
n't ^xnot++not++0=EXTRAWORD
gonna ^md+prd+++0=gonna
say ^vb+vpub+++=say
anything ^pn++++=anything,
, ^zz++++=EXTRAWORD
though ^rb+cnj+++=though,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
I ^pp1a+pp1+++0=I'd
'd ^vbd+hvd+aux++=EXTRAWORD
said ^vprf+++xvbnx+=said
with ^in++++=with
a ^at++++=a
stupid ^jj+atrb+++=stupid
chuckle ^nn++++=chuckle.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
knew ^vbd+vprv+tht0+xvbnx+=knew
she ^pp3a+pp3+++=she
knew ^vbd+vprv+tht0+xvbnx+=knew
she ^pp3a+pp3+++=she
looked ^vbd+++xvbnx+=looked
fine ^jj++++=fine.
. ^zz++++=EXTRAWORD
" ^zz++++="Watch
watch ^vb++++=EXTRAWORD
it ^pp3+it+++=it,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
said ^vbd+vpub++xvbnx+=said
through ^in++++=through
a ^at++++=a
real ^jj+atrb+++=real
smile ^nn++++=smile.
. ^zz++++=EXTRAWORD
The ^ati++++=The
car ^nn++++=car
behind ^in+pl+++=behind
me ^pp1o+pp1+++=me
honked ^vbd+++xvbn+=honked.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
ended ^vbd+++xvbn+=ended
up ^rp++++=up
at ^in++++=at
a ^at++++=a
Chinese ^jj+atrb+++=Chinese
spot ^nn++++=spot
close ^in+cmpx+++=close
to ^in"++++=to
my ^pp$+pp1+++=my
place ^nn++++=place.
. ^zz++++=EXTRAWORD
After ^cs+sub+++=After
we ^pp1a+pp1+++=we
put ^vbd+++xvbn+=put
our ^pp$+pp1+++=our
orders ^nns++++=orders
in ^in+strn+++=in,
, ^zz++++=EXTRAWORD
the ^ati++++=the
man ^nn++++=man
at ^in++++=at
the ^ati++++=the
counter ^nn++++=counter
asked ^vbd+vsua++xvbn+=asked,
, ^zz++++=EXTRAWORD
" ^zz++++="Separate
separate ^nn+nom+++=EXTRAWORD
or ^cc++++=or
together ^nn+nom+++=together?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Jaclyn ^np+++??+=Jaclyn
shot ^vbd+++xvbn+=shot
out ^rp+pl+++=out
a ^at++++=a
" ^zz++++="Together"
together ^nn+nom+++=EXTRAWORD
" ^zz++++=EXTRAWORD
before ^cs+sub+++=before
I ^pp1a+pp1+++=I
had ^vb+hv+vrb++=had
a ^at++++=a
chance ^nn++++=chance
to ^to+ncmp+++=to
be ^vbi++vrb++=be
awkward ^jj+pred+++=awkward.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
looked ^vbd+++xvbnx+=looked
at ^rb++++=at
her ^pp$+pp3+++=her,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
she ^pp3a+pp3+++=she
laughed ^vbd+++xvbnx+=laughed
the ^ati++++=the
laugh ^nn++++=laugh
she ^pp3a+pp3+++=she
does ^vbz+doz+vrb++=does
when ^wrb+who+++=when
she ^pp3a+pp3+++=she's
's ^vbz+bez+aux++0=EXTRAWORD
about ^md"++pmd"++=about
to ^md+prd+++=to
win ^vb++++=win
at ^in++++=at
something ^pn++++=something
or ^cc++++=or
is ^vbz+bez+aux++=is
caught ^vpsv++agls+xvbnx+=caught
in ^in++++=in
a ^at++++=a
lie ^nn++++=lie.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
deserve ^vb++++=deserve
something ^pn++++=something
for ^in++++=for
not ^xnot++not++=not
mentioning ^vbg+vpub++xvbg+=mentioning
the ^ati++++=the
less ^ql++++=less-than-road-worthy
- ^zz++++=EXTRAWORD
than ^in++++=EXTRAWORD
- ^zz++++=EXTRAWORD
road ^nn++++=EXTRAWORD
- ^zz++++=EXTRAWORD
worthy ^jj+atrb+++=EXTRAWORD
car ^nn++++=car
you ^pp2+pp2+++=you
got ^vbd+++xvbn+=got
me ^pp1o+pp1+++=me
riding ^nvbg+++xvbg+=riding
in ^in+strn+++=in,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
she ^pp3a+pp3+++0=she'd
'd ^vbd+hvd+aux++=EXTRAWORD
said ^vprf+++xvbnx+=said.
. ^zz++++=EXTRAWORD
" ^zz++++="Your
your ^pp$+pp2+++=EXTRAWORD
mom ^nn+++??+=mom's
's ^$++++=EXTRAWORD
a ^at++++=a
cool ^vb++++=cool
lady ^npt++++=lady,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
guess ^vb++++=guess,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
said ^vbd+vpub++xvbnx+=said
to ^to+vcmp+++=to
the ^ati++++=the
twins ^nns++++=twins.
. ^zz++++=EXTRAWORD
" ^zz++++="We've
we ^pp1a+pp1+++=EXTRAWORD
've ^vb+hv+aux++0=EXTRAWORD
been ^vprf+ben+vrb+xvbnx+=been
together ^nn+nom+++=together
for ^in++++=for
almost ^rb+hdg+++=almost
a ^at++++=a
year ^nn++++=year.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
we ^pp1a+pp1+++=we'll
'll ^md+prd+++0=EXTRAWORD
probably ^rb++splt++=probably
go ^vb++++=go
to ^in++++=to
different ^jj+atrb+++=different
colleges ^nns++++=colleges
in ^in++++=in
the ^ati++++=the
fall ^nn++++=fall."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Oh
oh ^uh++++=EXTRAWORD
no ^at++++=no,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Jamie ^np+++??+=Jamie
Lou ^np++++=Lou,
, ^zz++++=EXTRAWORD
heartbroken ^j+++xvbn+=heartbroken.
. ^zz++++=EXTRAWORD
" ^zz++++="Oh
oh ^uh++++=EXTRAWORD
no ^at++++=no,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Jackie ^np++++=Jackie
Gunner ^np+++??+=Gunner,
, ^zz++++=EXTRAWORD
mockingly ^rb++++=mockingly.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
used ^vbd+++xvbnx+=used
his ^pp$+pp3+++=his
arm ^vb++++=arm
to ^in++++=to
conk ^nn+++??+=conk
his ^pp$+pp3+++=his
sister ^nn++++=sister
over ^in++++=over
the ^ati++++=the
head ^nn++++=head.
. ^zz++++=EXTRAWORD
" ^zz++++="Chill,"
chill ^vb++++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
said ^vbd+vpub++xvbnx+=said.
. ^zz++++=EXTRAWORD
" ^zz++++="It's
it ^pp3+it+++=EXTRAWORD
's ^vbz+bez+vrb++0=EXTRAWORD
okay ^rb+cnj+++=okay,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Jamie ^np+++??+=Jamie
Lou ^np++++=Lou
said ^vbd+vpub++xvbn+=said.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
wrapped ^vbd+++xvbnx+=wrapped
Jackie ^np++++=Jackie
Gunner ^np+++??+=Gunner
in ^in++++=in
a ^at++++=a
big ^jj+atrb+++=big
hug ^nn++++=hug
and ^cc++++=and
kissed ^vbd+++xvbn+=kissed
the ^ati++++=the
side ^nn++++=side
of ^in++++=of
his ^pp$+pp3+++=his
head ^nn++++=head.
. ^zz++++=EXTRAWORD
Jackie ^np++++=Jackie
Gunner ^np+++??+=Gunner
did ^vbd+dod+aux++=did
not ^xnot++not++=not
look ^vb++++=look
impressed ^vbd+++xvbn+=impressed.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
turned ^vbd+++xvbnx+=turned
his ^pp$+pp3+++=his
attention ^nn+nom+++=attention
back ^jjb++++=back
to ^in++++=to
me ^pp1o+pp1+++=me.
. ^zz++++=EXTRAWORD
" ^zz++++="So
so ^ql++++=EXTRAWORD
what ^wdt+who+++=what?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
asked ^vbd+vsua++xvbnx+=asked.
. ^zz++++=EXTRAWORD
" ^zz++++="What
what ^wdt+who+++=EXTRAWORD
about ^rb++++=about
me ^pp1o+pp1+++=me?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="We
we ^pp1a+pp1+++=EXTRAWORD
are ^vb+ber+aux++=aren't
n't ^xnot++not++0=EXTRAWORD
gonna ^md+prd+++0=gonna
be ^vb+be+vrb++=be
people ^nns++++=people,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Jamie ^np+++??+=Jamie
Lou ^np++++=Lou
reminded ^vbd+vsua++xvbn+=reminded
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
Jackie ^np++++=Jackie
Gunner ^np+++??+=Gunner
ignored ^vwbn+++xvbn+=ignored
her ^pp$+pp3+++=her.
. ^zz++++=EXTRAWORD
" ^zz++++="Me
me ^pp1o+pp1+++=EXTRAWORD
and ^cc++++=and
Jaclyn ^np+++??+=Jaclyn
that ^tht+rel+subj++=that's
's ^vbz+bez+vrb++0=EXTRAWORD
her ^pp$+pp3+++=her
name ^nn++++=name
well ^rb+cnj+++=well,
, ^zz++++=EXTRAWORD
me ^pp1o+pp1+++=me
and ^cc++++=and
Jaclyn ^np+++??+=Jaclyn
did ^vbd+dod+aux++=did
she ^pp3a+pp3+++=she
missed ^vbd+++xvbnx+=missed
her ^pp$+pp3+++=her
period ^nn++++=period.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
were ^vbd+bed+vrb++=weren't
n't ^xnot++not++0=EXTRAWORD
very ^ql+amp+++=very
careful ^jj++++=careful
as ^in++++=as
far ^in"+pl+++=far
as ^in"++++=as
methods ^nns++++=methods,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
continued ^vbd+++xvbnx+=continued.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They're
're ^vb+ber+vrb++0=EXTRAWORD
far ^rb+pl+++=far
too ^rb++++=too
young ^jj++++=young
to ^to++++=to
hear ^vbi+vprv+++=hear
about ^in++++=about
this ^dt+dem+++=this
kind ^rb++++=kind
of ^rb"++++=of
thing ^nn++++=thing,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
thought ^vbd+++xvbnx+=thought.
. ^zz++++=EXTRAWORD
Jackie ^np++++=Jackie
Gunner ^np+++??+=Gunner
looked ^vbd+++xvbn+=looked
at ^rb++++=at
me ^pp1o+pp1+++=me
in ^in++++=in
his ^pp$+pp3+++=his
weird ^jj++++=weird
closed ^jj+++xvbn+=closed-eye
- ^zz++++=EXTRAWORD
eye ^nn++++=EXTRAWORD
kind ^rb+hdg+++=kind
of ^rb"+hdg"+++=of
way ^nn++++=way,
, ^zz++++=EXTRAWORD
like ^in++++=like
he ^pp3a+pp3+++=he
had ^vb+hv+vrb++=had
no ^at++++=no
idea ^nn++++=idea
what ^wdt+who+++=what
I ^pp1a+pp1+++=I
was ^vbd+bedz+aux++=was
talking ^vbg+++xvbgx+=talking
about ^in+strn+++=about.
. ^zz++++=EXTRAWORD
Jamie ^np+++??+=Jamie
Lou ^np++++=Lou
nodded ^vbd+++xvbn+=nodded
silently ^rb++++=silently.
. ^zz++++=EXTRAWORD
" ^zz++++="She
she ^pp3a+pp3+++=EXTRAWORD
took ^vbd+++xvbnx+=took
a ^at++++=a
test ^nn++++=test,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
said ^vbd+vpub++xvbnx+=said.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
spared ^vbd+++xvbnx+=spared
them ^pp3o+pp3+++=them
these ^dt+dem+++=these
details ^nns++++=details:
: ^zz++++=EXTRAWORD
Jaclyn ^np+++??+=Jaclyn
and ^cc++++=and
me ^pp1o+pp1+++=me
in ^in++++=in
the ^ati++++=the
drugstore ^nn++++=drugstore.
. ^zz++++=EXTRAWORD
Her ^pp$+pp3+++=Her
wiping ^vbg+++xvbg+=wiping
her ^pp$+pp3+++=her
eyes ^nns++++=eyes
and ^cc++++=and
saying ^nvbg+++xvbg+=saying,
, ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
look ^vb++++=look
crazy ^jj++++=crazy"
" ^zz++++=EXTRAWORD
before ^cs+sub+++=before
we ^pp1a+pp1+++=we
stepped ^vbd+++xvbn+=stepped
in ^in+strn+++=in.
. ^zz++++=EXTRAWORD
The ^ati++++=The
fact ^nn++++=fact
that ^tht+ncmp+++=that
the ^ati++++=the
store ^nn++++=store
was ^vbd+bedz+aux++=was
packed ^vpsv++agls+xvbnx+=packed,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
felt ^vbd+vprv++xvbn+=felt
like ^in++++=like
a ^at++++=a
mean ^jj+atrb+++=mean
joke ^nn++++=joke.
. ^zz++++=EXTRAWORD
How ^wrb+who+++=How
we ^pp1a+pp1+++=we
were ^vbd+bed+vrb++=were
afraid ^jj+pred+++=afraid
of ^in++++=of
getting ^nn++++=getting
to ^in++++=to
the ^ati++++=the
register ^nn+nom+++=register.
. ^zz++++=EXTRAWORD
How ^wrb+who+++=How
we ^pp1a+pp1+++=we
went ^vbd+++xvbn+=went
to ^in++++=to
the ^ati++++=the
register ^nn+nom+++=register.
. ^zz++++=EXTRAWORD
How ^wrb+who+++=How
we ^pp1a+pp1+++=we
were ^vbd+bed+aux++=were
quietly ^rb++splt++=quietly
connected ^vpsv++agls+xvbnx+=connected,
, ^zz++++=EXTRAWORD
as ^ql++++=as
close ^vb++++=close
as ^ql++++=as
we ^pp1a+pp1+++=we
had ^vb+hv+aux++=had
ever ^rb++splt++=ever
been ^vprf+ben+vrb+xvbnx+=been,
, ^zz++++=EXTRAWORD
as ^ql++++=as
we ^pp1a+pp1+++=we
averted ^vbd+++xvbn+=averted
our ^pp$+pp1+++=our
eyes ^nns++++=eyes
from ^in++++=from
those ^dt+dem+++=those
of ^in++++=of
the ^ati++++=the
strangers ^nns+nom+++=strangers
around ^rp++++=around
us ^pp1o+pp1+++=us.
. ^zz++++=EXTRAWORD
How ^wrb+who+++=How,
, ^zz++++=EXTRAWORD
if ^cs+cnd+++=if
I ^pp1a+pp1+++=I
had ^md"++pmd"++=had
to ^md+nec+++=to
pick ^vb++++=pick,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++0=I'd
'd ^md+prd+aux++=EXTRAWORD
say ^vb+vpub+++=say
the ^ati++++=the
hero ^nn++++=hero
of ^in++++=of
this ^dt+dem+++=this
whole ^jj+atrb+++=whole
thing ^nn++++=thing
was ^vbd+bedz+vrb++=was
the ^ati++++=the
young ^jj+atrb+++=young
woman ^nn++++=woman
behind ^in+pl+++=behind
the ^ati++++=the
store ^nn++++=store
counter ^nn++++=counter.
. ^zz++++=EXTRAWORD
How ^wrb+who+++=How
her ^pp$+pp3+++=her
brown ^jj+atrb+++=brown
eyes ^nns++++=eyes
melted ^vbd+++xvbn+=melted
wide ^jj++++=wide,
, ^zz++++=EXTRAWORD
then ^rn+tm+++=then
cooled ^vbd+++xvbn+=cooled
to ^in++++=to
a ^at++++=a
thin ^jj++++=thin,
, ^zz++++=EXTRAWORD
sharp ^jj++++=sharp,
, ^zz++++=EXTRAWORD
yet ^rb++++=yet
gentle ^jj+atrb+++=gentle
seriousness ^nns+nom+++=seriousness
when ^wrb+who+++=when
Jaclyn ^np+++??+=Jaclyn
pointed ^vbd+++xvbn+=pointed
behind ^in+pl+++=behind
her ^pp$+pp3+++=her
to ^in++++=to
the ^ati++++=the
purple ^jj+atrb+++=purple
box ^nn++++=box,
, ^zz++++=EXTRAWORD
hung ^j+++xvbn+=hung
not ^xnot++not++=not
far ^rb+pl+++=far
from ^rb"++++=from
the ^ati++++=the
cigarettes ^nns+nom+++=cigarettes
and ^cc++++=and
iphone ^jj+atrb++??+=iPhone
chargers ^nns+nom+++=chargers,
, ^zz++++=EXTRAWORD
99 ^cd++++=99
Percent ^nnu++++=PERCENT
Accuracy ^nn+nom+++=ACCURACY
emblazoned ^vwbn+++xvbn+=emblazoned
on ^in++++=on
its ^pp$+it+++=its
top ^jjb+atrb+++=top
right ^jj+atrb+++=right
corner ^npl++++=corner.
. ^zz++++=EXTRAWORD
How ^wrb+who+++=How
she ^pp3a+pp3+++=she
nodded ^vbd+++xvbnx+=nodded
and ^cc+phrs+++=and
tossed ^vbd+++xvbn+=tossed
the ^ati++++=the
