Somewhere ^rb++++=Somewhere
odd ^jj+atrb+++=odd
moments ^nns+nom+++=moments
during ^in++++=during
the ^ati++++=the
day ^nn++++=day
Sophy ^np++++=Sophy
had ^vbd+hvd+aux++=had
found ^vprf++tht0+xvbnx+=found
herself ^ppl+pp3+++=herself
rubbing ^vbg+++xvbg+=rubbing
the ^ati++++=the
spot ^nn++++=spot
furiously ^rb++++=furiously
with ^in++++=with
her ^pp$+pp3+++=her
unlovely ^jj+atrb+++=unlovely
handkerchief ^nn++++=handkerchief,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
shivering ^vbg+++xvbg+=shivering
a ^rb++++=a
little ^rb"++++=little.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
had ^vb+hv+aux++=had
never ^rb++splt++=never
told ^vprf+++xvbnx+=told
the ^ati++++=the
other ^ap++++=other
girls ^nns++++=girls
about ^in++++=about
that ^dt+dem+++=that
kiss ^nn++++=kiss.
. ^zz++++=EXTRAWORD
So ^ql++++=So--there
-- ^--+clp+++=EXTRAWORD
there ^rn+pl+++=EXTRAWORD
you ^pp2+pp2+++=you
have ^vb+hv+vrb++=have
Sophy ^np++++=Sophy
and ^cc++++=and
her ^pp$+pp3+++=her
costume ^nn++++=costume.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
may ^md+pos+++=may
take ^vb++++=take
her ^pp3o+pp3+++=her
or ^cc++++=or
leave ^vb++++=leave
her ^pp$+pp3+++=her.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
purposely ^rb++++=purposely
placed ^vbd+++xvbn+=placed
these ^dt+dem+++=these
defects ^nns++++=defects
in ^in++++=in
costuming ^xvbg+++xvbg+=costuming
right ^jj++++=right
at ^rb++++=at
the ^ati++++=the
beginning ^jj+++xvbg+=beginning
of ^in++++=of
the ^ati++++=the
story ^nn++++=story,
, ^zz++++=EXTRAWORD
so ^ql++++=so
that ^cs+sub+++=that
there ^ex+pex+++=there
should ^md+nec+++=should
be ^vb+be+vrb++=be
no ^at++++=no
false ^jj+atrb+++=false
pretenses ^nns+++??+=pretenses.
. ^zz++++=EXTRAWORD
One ^cd1++++=One
more ^rbr++++=more
detail ^nn++++=detail.
. ^zz++++=EXTRAWORD
About ^in++++=About
Sophy ^np++++=Sophy's
's ^$++++=EXTRAWORD
throat ^nn++++=throat
was ^vbd+bedz+vrb++=was
a ^at++++=a
slender ^jj++++=slender,
, ^zz++++=EXTRAWORD
near ^in+pl+++=near-gold
- ^zz++++=EXTRAWORD
gold ^nn++++=EXTRAWORD
chain ^nn++++=chain
from ^in++++=from
which ^whp+rel+pied++=which
was ^vbd+bedz+aux++=was
suspended ^vpsv++agls+xvbnx+=suspended
a ^at++++=a
cheap ^jj++++=cheap
and ^cc+phrs+++=and
glittering ^jj++++=glittering
La ^&fw++++=La
Valliere ^np+++??+=Valliere.
. ^zz++++=EXTRAWORD
Sophy ^np++++=Sophy
had ^vb+hv+aux++=had
not ^xnot++not++=not
intended ^vbd+vsua++xvbn+=intended
it ^pp3+it+++=it
as ^in++++=as
a ^at++++=a
sop ^nn++++=sop
to ^in++++=to
the ^ati++++=the
conventions ^nns+nom+++=conventions.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
an ^at++++=an
offering ^nn++++=offering
on ^in++++=on
the ^ati++++=the
shrine ^nn++++=shrine
of ^in++++=of
Fashion ^nn++++=Fashion,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
represented ^vbd+++xvbn+=represented
many ^ap++++=many
lunchless ^jj+atrb+++=lunchless
days ^nns++++=days.
. ^zz++++=EXTRAWORD
At ^rb++++=At
eleven ^cd++++=eleven
o'clock ^rb++++=o'clock
one ^cd1++++=one
August ^nr++++=August
morning ^nn++++=morning,
, ^zz++++=EXTRAWORD
Louie ^np++++=Louie
came ^vbd+++xvbn+=came
to ^in++++=to
Chicago ^np++++=Chicago
from ^in++++=from
Oskaloosa ^np+++??+=Oskaloosa,
, ^zz++++=EXTRAWORD
Iowa ^np+++??+=Iowa.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
was ^vbd+bedz+vrb++=was
no ^at++++=no
hay ^nn++++=hay
in ^in++++=in
his ^pp$+pp3+++=his
hair ^nn++++=hair.
. ^zz++++=EXTRAWORD
The ^ati++++=The
comic ^jj+atrb+++=comic
papers ^nns++++=papers
have ^vb+hv+aux++=have
long ^rb++splt++=long
insisted ^vprf+++xvbnx+=insisted
that ^tht+vcmp+++=that
the ^ati++++=the
country ^nn++++=country
boy ^nn++++=boy,
, ^zz++++=EXTRAWORD
on ^in++++=on
his ^pp$+pp3+++=his
first ^od++++=first
visit ^vb++++=visit
to ^in++++=to
the ^ati++++=the
city ^nn++++=city,
, ^zz++++=EXTRAWORD
is ^vbz+bez+aux++=is
known ^vpsv++by+xvbnx+=known
by ^in++++=by
his ^pp$+pp3+++=his
greased ^jj+atrb++xvbn+=greased
boots ^nns++++=boots
and ^cc++++=and
his ^pp$+pp3+++=his
high ^jj++++=high-water
- ^zz++++=EXTRAWORD
water ^nn++++=EXTRAWORD
pants ^nns++++=pants.
. ^zz++++=EXTRAWORD
Do ^vb+do+vrb++=Don't
n't ^xnot++not++0=EXTRAWORD
you ^pp2+pp2+++=you
believe ^vb+vprv+++=believe
them ^pp3o+pp3+++=them.
. ^zz++++=EXTRAWORD
The ^ati++++=The
small ^jj++++=small-town
- ^zz++++=EXTRAWORD
town ^nn++++=EXTRAWORD
boy ^nn++++=boy
is ^vbz+bez+vrb++=is
as ^ql++++=as
fastidious ^jj++++=fastidious
about ^in++++=about
the ^ati++++=the
height ^nn++++=height
of ^in++++=of
his ^pp$+pp3+++=his
heels ^nns++++=heels
and ^cc++++=and
the ^ati++++=the
stripe ^nn++++=stripe
of ^in++++=of
his ^pp$+pp3+++=his
shift ^nn++++=shift
and ^cc++++=and
the ^ati++++=the
roll ^nn++++=roll
of ^in++++=of
his ^pp$+pp3+++=his
hat ^nn++++=hat-brim
- ^zz++++=EXTRAWORD
brim ^nn++++=EXTRAWORD
as ^ql++++=as
are ^vb+ber+vrb++=are
his ^pp$+pp3+++=his
city ^nn++++=city
brothers ^nns+nom+++=brothers.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
peruses ^nns+++??+=peruses
the ^ati++++=the
slangily ^jj+atrb+++=slangily
worded ^jj+atrb+++=worded
ads ^nns+++??+=ads
of ^in++++=of
the ^ati++++=the
" ^zz++++="classy
classy ^jj+atrb+++=EXTRAWORD
clothes ^nns++++=clothes"
" ^zz++++=EXTRAWORD
tailors ^nns++++=tailors,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
when ^wrb+who+++=when
scarlet ^jj+atrb+++=scarlet
cravats ^nns+++??+=cravats
are ^vb+ber+aux++=are
worn ^vpsv++agls+xvbnx+=worn
the ^ati++++=the
small ^jj++++=small-town
- ^zz++++=EXTRAWORD
town ^nn++++=EXTRAWORD
boy ^nn++++=boy
is ^vbz+bez+vrb++=is
not ^xnot++not++=not
more ^rbr++++=more
than ^in++++=than
two ^cd++++=two
weeks ^nns++++=weeks
late ^jj++++=late
in ^in++++=in
acquiring ^xvbg+++xvbg+=acquiring
one ^cd1++++=one
that ^dt+pdem+++=that
glows ^vbz+++??+=glows
like ^in++++=like
a ^at++++=a
headlight ^nn+++??+=headlight.
. ^zz++++=EXTRAWORD
Louie ^np++++=Louie
found ^vbd+vprv++xvbn+=found
a ^at++++=a
rooming ^nn++++=rooming-house,
- ^zz++++=EXTRAWORD
house ^npl++++=EXTRAWORD
, ^zz++++=EXTRAWORD
shoved ^j+++xvbn+=shoved
his ^pp$+pp3+++=his
suitcase ^nn++++=suitcase
under ^in++++=under
the ^ati++++=the
bed ^nn++++=bed,
, ^zz++++=EXTRAWORD
changed ^j+++xvbn+=changed
his ^pp$+pp3+++=his
collar ^nn++++=collar,
, ^zz++++=EXTRAWORD
washed ^xvbn+++xvbn+=washed
his ^pp$+pp3+++=his
hands ^nns++++=hands
in ^in++++=in
the ^ati++++=the
gritty ^jj+atrb+++=gritty
water ^nn++++=water
of ^in++++=of
the ^ati++++=the
wash ^nn++++=wash
bowl ^nn++++=bowl,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
started ^vbd+++xvbn+=started
out ^rp+pl+++=out
to ^to++++=to
look ^vbi++++=look
for ^in++++=for
a ^at++++=a
job ^nn++++=job.
. ^zz++++=EXTRAWORD
Louie ^np++++=Louie
was ^vbd+bedz+vrb++=was
twenty ^cd++++=twenty-one.
- ^zz++++=EXTRAWORD
one ^pn++++=EXTRAWORD
. ^zz++++=EXTRAWORD
For ^in++++=For
the ^ati++++=the
last ^ap++++=last
four ^cd++++=four
years ^nns++++=years
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
employed ^vpsv++agls+xvbnx+=employed
in ^in++++=in
the ^ati++++=the
best ^jjt+atrb+++=best
shoe ^nn++++=shoe
store ^nn++++=store
at ^rb++++=at
home ^nr++++=home,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
he ^pp3a+pp3+++=he
knew ^vbd+vprv++xvbnx+=knew
shoe ^nn++++=shoe
leather ^nn++++=leather
from ^in++++=from
the ^ati++++=the
factory ^nn++++=factory
to ^in++++=to
the ^ati++++=the
ash ^nn++++=ash
barrel ^nn++++=barrel.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
almost ^rb+hdg+++=almost
a ^at++++=a
religion ^nn++++=religion
with ^in++++=with
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
Curiosity ^nn+nom+++=Curiosity,
, ^zz++++=EXTRAWORD
which ^whp+rel+obj++=which
plays ^nns++++=plays
leads ^vbz++++=leads
in ^in++++=in
so ^ql++++=so
many ^ap++++=many
life ^nn++++=life
dramas ^nns++++=dramas,
, ^zz++++=EXTRAWORD
led ^j+++xvbn+=led
Louie ^np++++=Louie
to ^in++++=to
the ^ati++++=the
rotunda ^nn+++??+=rotunda
of ^in++++=of
the ^ati++++=the
tallest ^jjt+atrb+++=tallest
building ^nvbg+++xvbg+=building.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+aux++=was
built ^vpsv++agls+xvbnx+=built
on ^in++++=on
the ^ati++++=the
hollow ^jj+atrb+++=hollow
center ^jjr+atrb+++=center
plan ^nn++++=plan,
, ^zz++++=EXTRAWORD
with ^in++++=with
a ^at++++=a
sheer ^nn++++=sheer
drop ^vb++++=drop
from ^in++++=from
the ^ati++++=the
twenty ^cd++++=twenty-somethingth
- ^zz++++=EXTRAWORD
somethingth ^nn+++??+=EXTRAWORD
to ^in++++=to
the ^ati++++=the
main ^jjb+atrb+++=main
floor ^nn++++=floor.
. ^zz++++=EXTRAWORD
Louie ^np++++=Louie
stationed ^vwbn+++xvbn+=stationed
himself ^ppl+pp3+++=himself
in ^in++++=in
the ^ati++++=the
center ^nn++++=center
of ^in++++=of
the ^ati++++=the
mosaic ^jj+atrb+++=mosaic
floor ^nn++++=floor,
, ^zz++++=EXTRAWORD
took ^j+++xvbn+=took
off ^in+pl+++=off
his ^pp$+pp3+++=his
hat ^nn++++=hat,
, ^zz++++=EXTRAWORD
bent ^j+++xvbn+=bent
backward ^jj++++=backward
almost ^rb+hdg+++=almost
double ^jj++++=double
and ^cc+phrs+++=and
gazed ^jj+++xvbn+=gazed,
, ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
mouth ^nn++++=mouth
wide ^jj+atrb+++=wide
open ^nn++++=open.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
he ^pp3a+pp3+++=he
brought ^vbd+++xvbnx+=brought
his ^pp$+pp3+++=his
muscles ^nns++++=muscles
slowly ^rb++++=slowly
back ^jjb++++=back
into ^in++++=into
normal ^jj+atrb+++=normal
position ^nn+nom+++=position
he ^pp3a+pp3+++=he
tried ^vbd+++xvbnx+=tried
hard ^jj++++=hard
not ^xnot++not++=not
to ^to++++=to
look ^vbi++++=look
impressed ^vbd+++xvbn+=impressed.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
glanced ^vbd+++xvbnx+=glanced
about ^rb+cnj+++=about,
, ^zz++++=EXTRAWORD
sheepishly ^jj++++=sheepishly,
, ^zz++++=EXTRAWORD
to ^to++++=to
see ^vbi+vprv+++=see
if ^cs+cnd+++=if
any ^dti++++=any
one ^cd1++++=one
was ^vbd+bedz+aux++=was
laughing ^vbg+++xvbgx+=laughing
at ^in+ppvb+++=at
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
his ^pp$+pp3+++=his
eye ^nn++++=eye
encountered ^vwbn+++xvbn+=encountered
the ^ati++++=the
electric ^jj++++=electric-lighted
- ^zz++++=EXTRAWORD
lighted ^vbd+++xvbn+=EXTRAWORD
glass ^nn++++=glass
display ^nn++++=display
case ^nn++++=case
of ^in++++=of
the ^ati++++=the
shoe ^nn++++=shoe
company ^nn++++=company
upstairs ^jjb++++=upstairs.
. ^zz++++=EXTRAWORD
The ^ati++++=The
case ^nn++++=case
was ^vbd+bedz+aux++=was
filled ^vpsv++agls+xvbnx+=filled
with ^in++++=with
pink ^jj+atrb+++=pink
satin ^nn++++=satin
slippers ^nns+nom+++=slippers
and ^cc++++=and
cunning ^jj+atrb+++=cunning
velvet ^nn++++=velvet
boots ^nns++++=boots,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
newest ^jjt+atrb+++=newest
thing ^nn++++=thing
in ^in++++=in
bronze ^jj+atrb+++=bronze
street ^nn++++=street
shoes ^nns++++=shoes.
. ^zz++++=EXTRAWORD
Louie ^np++++=Louie
took ^vbd+++xvbn+=took
the ^ati++++=the
next ^ap++++=next
elevator ^nn++++=elevator
up ^rp++++=up.
. ^zz++++=EXTRAWORD
The ^ati++++=The
shoe ^nn++++=shoe
display ^nn++++=display
had ^vbd+hvd+aux++=had
made ^vprf+++xvbnx+=made
him ^pp3o+pp3+++=him
feel ^vb+vprv+++=feel
as ^cs+sub+++=as
though ^cs+sub+++=though
some ^dti++++=some
one ^pn++++=one
from ^in++++=from
home ^nr++++=home
had ^vbd+hvd+aux++=had
slapped ^vprf+++xvbnx+=slapped
him ^pp3o+pp3+++=him
on ^in++++=on
the ^ati++++=the
back ^nn++++=back.
. ^zz++++=EXTRAWORD
The ^ati++++=The
God ^nn++++=God
of ^in++++=of
the ^ati++++=the
Jobless ^np+++??+=Jobless
was ^vbd+bedz+vrb++=was
with ^in++++=with
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
The ^ati++++=The
boss ^nn++++=boss
had ^vbd+hvd+aux++=had
fired ^vprf+++xvbnx+=fired
two ^cd++++=two
boys ^nns++++=boys
the ^ati++++=the
day ^nn++++=day
before ^in+strn+++=before.
. ^zz++++=EXTRAWORD
" ^zz++++="Oskaloosa!"
oskaloosa ^nn+++??+=EXTRAWORD
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
grinned ^vbd+++xvbn+=grinned
the ^ati++++=the
boss ^nn++++=boss,
, ^zz++++=EXTRAWORD
derisively ^rb++++=derisively.
. ^zz++++=EXTRAWORD
" ^zz++++="Do
do ^vb+do+aux++=EXTRAWORD
they ^pp3a+pp3+++=they
wear ^vb++++=wear
shoes ^nns++++=shoes
there ^rn+pl+++=there?
? ^zz++++=EXTRAWORD
What ^wdt+who+whq++=What
do ^vb+do+aux++=do
you ^pp2+pp2+++=you
know ^vb+vprv+++=know
about ^in++++=about
shoes ^nns++++=shoes,
, ^zz++++=EXTRAWORD
huh ^uh++++=huh
boy ^nn++++=boy?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Louie ^np++++=Louie
told ^vbd+vpub++xvbn+=told
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
The ^ati++++=The
boss ^nn++++=boss
shuffled ^vbd+++xvbn+=shuffled
the ^ati++++=the
papers ^nns++++=papers
on ^in++++=on
his ^pp$+pp3+++=his
desk ^nn++++=desk,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
chewed ^xvbn+++xvbn+=chewed
his ^pp$+pp3+++=his
cigar ^nn++++=cigar,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
tried ^vbd+++xvbn+=tried
not ^xnot++not++=not
to ^to++++=to
show ^vbi+vprv+++=show
his ^pp$+pp3+++=his
surprise ^nn++++=surprise.
. ^zz++++=EXTRAWORD
Louie ^np++++=Louie,
, ^zz++++=EXTRAWORD
quite ^rb++++=quite
innocently ^rb+cnj+++=innocently,
, ^zz++++=EXTRAWORD
was ^vbd+bedz+aux++=was
teaching ^vbg+vsua++xvbgx+=teaching
the ^ati++++=the
boss ^nn++++=boss
things ^nns++++=things
about ^in++++=about
the ^ati++++=the
shoe ^nn++++=shoe
business ^nns+nom+++=business.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
Louie ^np++++=Louie
had ^vbd+hvd+aux++=had
finished ^vprf+++xvbnx+=finished--"Well,
-- ^--+clp+++=EXTRAWORD
" ^zz++++=EXTRAWORD
well ^rb+cnj+++=EXTRAWORD
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
try ^vb++++=try
you ^pp2+pp2+++=you,
, ^zz++++=EXTRAWORD
anyhow ^rb+cnj+++=anyhow,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
the ^ati++++=the
boss ^nn++++=boss
grunted ^vbd+++xvbn+=grunted,
, ^zz++++=EXTRAWORD
grudgingly ^rb++++=grudgingly.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
give ^vb++++=give
you ^pp2+pp2+++=you
so ^ql++++=so-and-so
- ^zz++++=EXTRAWORD
and ^cc++++=EXTRAWORD
- ^zz++++=EXTRAWORD
so ^ql++++=EXTRAWORD
much ^ap++++=much."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
named ^vbd+++xvbnx+=named
a ^at++++=a
wage ^nn++++=wage
that ^tht+rel+subj++=that
would ^md+prd+++=would
have ^vb+hv+aux++=have
been ^vprf+ben+vrb+xvbnx+=been
ridiculous ^jj++++=ridiculous
if ^cs+cnd+++=if
it ^pp3+it+++=it
had ^vb+hv+aux++=had
not ^xnot++not++=not
been ^vprf+ben+vrb+xvbn+=been
so ^ql+emph+++=so
pathetic ^jj++++=pathetic.
. ^zz++++=EXTRAWORD
" ^zz++++="All
all ^abn++++=EXTRAWORD
right ^jj++++=right,
, ^zz++++=EXTRAWORD
sir ^npt++++=sir,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
answered ^vbd+vpub++xvbn+=answered
Louie ^np++++=Louie,
, ^zz++++=EXTRAWORD
promptly ^rb+cnj+++=promptly,
, ^zz++++=EXTRAWORD
like ^in++++=like
the ^ati++++=the
boys ^nns++++=boys
in ^in++++=in
the ^ati++++=the
Alger ^np+++??+=Alger
series ^nn++++=series.
. ^zz++++=EXTRAWORD
The ^ati++++=The
cost ^nn++++=cost
of ^in++++=of
living ^xvbg+++xvbg+=living
problem ^nn++++=problem
had ^vb+hv+aux++=had
never ^rb++splt++=never
bothered ^vprf+++xvbnx+=bothered
Louie ^np++++=Louie
in ^in++++=in
Oskaloosa ^np+++??+=Oskaloosa.
. ^zz++++=EXTRAWORD
The ^ati++++=The
boss ^nn++++=boss
hid ^vbd+++xvbn+=hid
a ^at++++=a
pleased ^jj+atrb++xvbn+=pleased
smile ^nn++++=smile.
. ^zz++++=EXTRAWORD
" ^zz++++="Miss
miss ^npt++++=EXTRAWORD
Epstein ^np++++=Epstein!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
bellowed ^vbd+++xvbnx+=bellowed,
, ^zz++++=EXTRAWORD
" ^zz++++="step
step ^vb++++=EXTRAWORD
this ^dt+dem+++=this
way ^nn++++=way!
! ^zz++++=EXTRAWORD
Miss ^npt++++=Miss
Epstein ^np++++=Epstein,
, ^zz++++=EXTRAWORD
kindly ^rb++++=kindly
show ^vb+vprv+++=show
this ^dt+dem+++=this
here ^rn+pl+++=here
young ^jj+atrb+++=young
man ^nn++++=man
so ^ql++++=so
he ^pp3a+pp3+++=he
gets ^vbz++++=gets
a ^at++++=a
line ^nn++++=line
on ^in++++=on
the ^ati++++=the
stock ^nn++++=stock.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
is ^vbz+bez+vrb++=is
from ^in++++=from
Oskaloosa ^np+++??+=Oskaloosa,
, ^zz++++=EXTRAWORD
Ioway ^np+++??+=Ioway.
. ^zz++++=EXTRAWORD
Look ^vb++++=Look
out ^rp+pl+++=out
she ^pp3a+pp3+++=she
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
sell ^vb++++=sell
you ^pp2+pp2+++=you
a ^at++++=a
gold ^nn++++=gold
brick ^nn++++=brick,
, ^zz++++=EXTRAWORD
Louie ^np++++=Louie."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
But ^cc++++=But
Louie ^np++++=Louie
was ^vbd+bedz+vrb++=was
not ^xnot++not++=not
listening ^nvbg+++xvbg+=listening.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+aux++=was
gazing ^vbg+++xvbgx+=gazing
at ^in++++=at
the ^ati++++=the
V ^zz++++=V
in ^in++++=in
Sophy ^np++++=Sophy
Epstein ^np++++=Epstein's
's ^$++++=EXTRAWORD
dress ^nn++++=dress
with ^in++++=with
all ^abn++++=all
his ^pp$+pp3+++=his
scandalized ^jj+atrb+++=scandalized
Oskaloosa ^np+++??+=Oskaloosa,
, ^zz++++=EXTRAWORD
Iowa ^np+++??+=Iowa,
, ^zz++++=EXTRAWORD
eyes ^nns++++=eyes.
. ^zz++++=EXTRAWORD
Louie ^np++++=Louie
was ^vbd+bedz+vrb++=was
no ^at++++=no
mollycoddle ^nn+++??+=mollycoddle.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
been ^vprf+ben+vrb+xvbnx+=been
in ^in++++=in
great ^nn++++=great
demand ^vb++++=demand
as ^ql++++=as
usher ^np++++=usher
at ^rb++++=at
the ^ati++++=the
Young ^jj+atrb+++=Young
Men ^np++++=Men's
's ^$++++=EXTRAWORD
Sunday ^nr++++=Sunday
Evening ^nn++++=Evening
Club ^nn++++=Club
service ^nn++++=service
at ^in++++=at
the ^ati++++=the
Congregational ^jj+atrb+++=Congregational
church ^nn++++=church,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
in ^in++++=in
his ^pp$+pp3+++=his
town ^nn++++=town
there ^ex+pex+++=there
had ^vbd+hvd+aux++=had
been ^vprf+ben+vrb+xvbnx+=been
no ^at++++=no
Sophy ^np++++=Sophy
Epsteins ^np+++??+=Epsteins
in ^in++++=in
too ^ql++++=too-tight
- ^zz++++=EXTRAWORD
tight ^jj+atrb+++=EXTRAWORD
princess ^nns+nom+++=princess
dresses ^nns+nom+++=dresses,
, ^zz++++=EXTRAWORD
cut ^j+++xvbn+=cut
into ^in++++=into
a ^at++++=a
careless ^jj+atrb+++=careless
V ^zz++++=V.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
Sophy ^np++++=Sophy
was ^vbd+bedz+vrb++=was
a ^at++++=a
city ^nn++++=city
product ^nn++++=product--I
-- ^--+clp+++=EXTRAWORD
i ^pp1a+pp1+++=EXTRAWORD
was ^vbd+bedz+vrb++=was
about ^md"++pmd"++=about
to ^md+prd+++=to
say ^vb+vpub+++=say
pure ^jj++++=pure
and ^cc+phrs+++=and
simple ^jj++++=simple,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
I ^pp1a+pp1+++=I
will ^md+prd+++=will
not ^xnot++not++=not--wise,
-- ^--+clp+++=EXTRAWORD
wise ^jj++++=EXTRAWORD
, ^zz++++=EXTRAWORD
bold ^jj++++=bold,
, ^zz++++=EXTRAWORD
young ^jj++++=young,
, ^zz++++=EXTRAWORD
old ^jj++++=old,
, ^zz++++=EXTRAWORD
underfed ^xvbn+++xvbn+=underfed,
, ^zz++++=EXTRAWORD
overworked ^jj++++=overworked,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
triumphantly ^rb++++=triumphantly
pretty ^jj++++=pretty.
. ^zz++++=EXTRAWORD
" ^zz++++="How-do!"
how ^wrb+who+++=EXTRAWORD
- ^zz++++=EXTRAWORD
do ^vb+do+vrb++=EXTRAWORD
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
cooed ^jj+++xvbn+=cooed
Sophy ^np++++=Sophy
in ^in++++=in
her ^pp$+pp3+++=her
best ^jjt+atrb+++=best
baby ^nn++++=baby
tones ^nns++++=tones.
. ^zz++++=EXTRAWORD
Louie ^np++++=Louie's
's ^$++++=EXTRAWORD
disapproving ^jj+atrb+++=disapproving
eyes ^nns++++=eyes
jumped ^vbd+++xvbn+=jumped
from ^in++++=from
the ^ati++++=the
objectionable ^jj+atrb+++=objectionable
V ^zz++++=V
in ^in++++=in
Sophy ^np++++=Sophy's
's ^$++++=EXTRAWORD
dress ^nn++++=dress
to ^in++++=to
the ^ati++++=the
lure ^nn++++=lure
of ^in++++=of
Sophy ^np++++=Sophy's
's ^$++++=EXTRAWORD
face ^nn++++=face,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
their ^pp$+pp3+++=their
expression ^nn++++=expression
underwent ^jj++++=underwent
a ^at++++=a
lightning ^nn++++=lightning
change ^nn++++=change.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
was ^vbd+bedz+vrb++=was
no ^at++++=no
disapproving ^jj+atrb+++=disapproving
Sophy ^np++++=Sophy's
's ^$++++=EXTRAWORD
face ^nn++++=face,
, ^zz++++=EXTRAWORD
no ^at++++=no
matter ^nn++++=matter
how ^wrb+who+++=how
long ^jj+atrb+++=long
one ^cd1++++=one
had ^vbd+hvd+aux++=had
dwelt ^vprf+++xvbnx+=dwelt
in ^in++++=in
Oskaloosa ^np+++??+=Oskaloosa.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
will ^md+prd+++=won't
n't ^xnot++not++0=EXTRAWORD
bite ^vb++++=bite
you ^pp2+pp2+++=you,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Sophy ^np++++=Sophy.
. ^zz++++=EXTRAWORD
" ^zz++++="I'm
i ^pp1a+pp1+++=EXTRAWORD
'm ^vb+bem+vrb++0=EXTRAWORD
never ^rb++++=never
vicious ^jj+pred+++=vicious
on ^in++++=on
Tuesdays ^nrs++++=Tuesdays.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We'll
'll ^md+prd+++0=EXTRAWORD
start ^vb++++=start
here ^rn+pl+++=here
with ^in++++=with
the ^ati++++=the
misses ^vbz++++=misses'
' ^zz++++=EXTRAWORD
and ^cc++++0=an'
children ^nns++++=children's,
's, ^nn+++??+=EXTRAWORD
and ^cc++++=and
work ^nn++++=work
over ^in++++=over
to ^in++++=to
the ^ati++++=the
other ^ap++++=other
side ^nn++++=side."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Whereupon ^cs+sub+++=Whereupon
Louie ^np++++=Louie
was ^vbd+bedz+aux++=was
introduced ^vpsv++agls+xvbnx+=introduced
into ^in++++=into
the ^ati++++=the
intricacies ^nns+nom+++=intricacies
of ^in++++=of
the ^ati++++=the
sample ^nn++++=sample
shoe ^nn++++=shoe
business ^nns+nom+++=business.
