To ^to++++=To-night
look ^vb++++=look
sweetish ^jj++++=sweetish
in ^in++++=in
riding ^xvbg+++xvbg+=riding
habits ^nns++++=habits.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
knew ^vbd+vprv++xvbnx+=knew
a ^at++++=a
case ^nn++++=case
once ^rb+tm+++=once.
. ^zz++++=EXTRAWORD
But ^cs+sub+++=But
that ^cs"++++=that
is ^vbz+bez+vrb++=is
another ^dt++++=another
story ^nn++++=story.
. ^zz++++=EXTRAWORD
That ^dt+dem+++=That
picnic ^nn++++=picnic
was ^vbd+bedz+aux++=was
called ^vpsv++agls+xvbnx+=called
the ^ati++++=the
" ^zz++++="Great
great ^jj+atrb+++=EXTRAWORD
Pop ^np++++=Pop
Picnic ^nn++++=Picnic,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
because ^cs+cos+++=because
every ^at++++=every
one ^cd1++++=one
knew ^vbd+vprv+tht0+xvbn+=knew
Saumarez ^np+++??+=Saumarez
would ^md+prd+++=would
propose ^vb++++=propose
then ^rn+tm+++=then
to ^in++++=to
the ^ati++++=the
eldest ^jjt++++=eldest
Miss ^npt++++=Miss
Copleigh ^np++++=Copleigh;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and,
, ^zz++++=EXTRAWORD
beside ^in+pl+++=beside
his ^pp$+pp3+++=his
affair ^nn++++=affair,
, ^zz++++=EXTRAWORD
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
another ^ppls++++=another
which ^whp+who+++=which
might ^md+pos+++=might
possibly ^rb++splt++=possibly
come ^vb++++=come
to ^in++++=to
happiness ^nns+nom+++=happiness.
. ^zz++++=EXTRAWORD
The ^ati++++=The
social ^jj+atrb+++=social
atmosphere ^nn++++=atmosphere
was ^vbd+bedz+aux++=was
heavily ^rb++splt++=heavily
charged ^vpsv++agls+xvbnx+=charged
and ^cc+phrs+++=and
wanted ^vbd+++xvbn+=wanted
clearing ^nvbg+++xvbg+=clearing.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
met ^vbd+++xvbn+=met
at ^rb++++=at
the ^ati++++=the
parade ^nn++++=parade-ground
- ^zz++++=EXTRAWORD
ground ^nn++++=EXTRAWORD
at ^in++++=at
ten ^cd++++=ten:
: ^zz++++=EXTRAWORD
the ^ati++++=the
night ^nn++++=night
was ^vbd+bedz+vrb++=was
fearfully ^rb++++=fearfully
hot ^jj+pred+++=hot.
. ^zz++++=EXTRAWORD
The ^ati++++=The
horses ^nns++++=horses
sweated ^vbd+++xvbn+=sweated
even ^rb++++=even
at ^in++++=at
walking ^xvbg+++xvbg+=walking-pace,
- ^zz++++=EXTRAWORD
pace ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
anything ^pn++++=anything
was ^vbd+bedz+vrb++=was
better ^jjr+pred+++=better
than ^in++++=than
sitting ^xvbg+++xvbg+=sitting
still ^rb++++=still
in ^in++++=in
our ^pp$+pp1+++=our
own ^ap++++=own
dark ^jj+atrb+++=dark
houses ^nns++++=houses.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
we ^pp1a+pp1+++=we
moved ^vbd+++xvbn+=moved
off ^in+pl+++=off
under ^in++++=under
the ^ati++++=the
full ^jj+atrb+++=full
moon ^nn++++=moon
we ^pp1a+pp1+++=we
were ^vbd+bed+vrb++=were
four ^cd++++=four
couples ^nns++++=couples,
, ^zz++++=EXTRAWORD
one ^cd1++++=one
triplet ^nn+nom+++=triplet,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Saumarez ^np++++=Saumarez
rode ^vbd+++xvbn+=rode
with ^in++++=with
the ^ati++++=the
Copleigh ^np+++??+=Copleigh
girls ^nns++++=girls,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I
loitered ^vbd+++xvbnx+=loitered
at ^rb++++=at
the ^ati++++=the
tail ^nn++++=tail
of ^in++++=of
the ^ati++++=the
procession ^nn++++=procession,
, ^zz++++=EXTRAWORD
wondering ^vbg+++xvbg+=wondering
with ^in++++=with
whom ^whp+rel+pied++=whom
Saumarez ^np+++??+=Saumarez
would ^md+prd+++=would
ride ^vb++++=ride
home ^nr++++=home.
. ^zz++++=EXTRAWORD
Every ^at++++=Every
one ^cd1++++=one
was ^vbd+bedz+vrb++=was
happy ^jj+pred+++=happy
and ^cc+phrs+++=and
contented ^jj++++=contented;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
we ^pp1a+pp1+++=we
all ^abn++++=all
felt ^vbd+vprv++xvbn+=felt
that ^tht+vcmp+++=that
things ^nns++++=things
were ^vbd+bed+aux++=were
going ^md"++pmd"++=going
to ^md+prd+++=to
happen ^vb+++??+=happen.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
rode ^vbd+++xvbn+=rode
slowly ^rb++++=slowly:
: ^zz++++=EXTRAWORD
and ^cc+cls+++=and
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
nearly ^rb+down+++=nearly
midnight ^nn++++=midnight
before ^cs+sub+++=before
we ^pp1a+pp1+++=we
reached ^vbd+++xvbn+=reached
the ^ati++++=the
old ^jj+atrb+++=old
tomb ^nn++++=tomb,
, ^zz++++=EXTRAWORD
facing ^vbg+++xvbg+=facing
the ^ati++++=the
ruined ^jj+atrb++xvbn+=ruined
tank ^nn++++=tank,
, ^zz++++=EXTRAWORD
in ^in++++=in
the ^ati++++=the
decayed ^jj+atrb++xvbn+=decayed
gardens ^nns++++=gardens
where ^wrb+who+++=where
we ^pp1a+pp1+++=we
were ^vbd+bed+aux++=were
going ^md"++pmd"++=going
to ^md+prd+++=to
eat ^vb++++=eat
and ^cc++++=and
drink ^nn++++=drink.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
was ^vbd+bedz+vrb++=was
late ^jj+pred+++=late
in ^in++++=in
coming ^xvbg+++xvbg+=coming
up ^rp++++=up;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
before ^cs+sub+++=before
I ^pp1a+pp1+++=I
went ^vbd+++xvbnx+=went
into ^in++++=into
the ^ati++++=the
garden ^nn++++=garden,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
saw ^vbd+vprv++xvbnx+=saw
that ^tht+vcmp+++=that
the ^ati++++=the
horizon ^nn++++=horizon
to ^in++++=to
the ^ati++++=the
north ^nr+pl+++=north
carried ^vbd+++xvbn+=carried
a ^at++++=a
faint ^jj++++=faint,
, ^zz++++=EXTRAWORD
dun ^jj++++=dun-colored
- ^zz++++=EXTRAWORD
colored ^jj+atrb++xvbn+=EXTRAWORD
feather ^nn++++=feather.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
no ^at++++=no
one ^cd1++++=one
would ^md+prd+++=would
have ^vb+hv+aux++=have
thanked ^vprf+++xvbnx+=thanked
me ^pp1o+pp1+++=me
for ^in++++=for
spoiling ^xvbg+++xvbg+=spoiling
so ^ql++++=so
well ^rb++++=well-managed
- ^zz++++=EXTRAWORD
managed ^vbd+++xvbn+=EXTRAWORD
an ^at++++=an
entertainment ^nn+nom+++=entertainment
as ^in++++=as
this ^dt+dem+++=this
picnic ^nn++++=picnic--and
-- ^--+clp+++=EXTRAWORD
and ^cc+cls+++=EXTRAWORD
a ^at++++=a
dust ^nn++++=dust-storm,
- ^zz++++=EXTRAWORD
storm ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
more ^rbr++++=more
or ^cc+phrs+++=or
less ^rbr++++=less,
, ^zz++++=EXTRAWORD
does ^vbz+doz+vrb++=does
no ^at++++=no
great ^jj+atrb+++=great
harm ^nn++++=harm.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
gathered ^vpsv++by+xvbn+=gathered
by ^in++++=by
the ^ati++++=the
tank ^nn++++=tank.
. ^zz++++=EXTRAWORD
Some ^dti++++=Some
one ^cd1++++=one
had ^vbd+hvd+aux++=had
brought ^vprf+++xvbnx+=brought
out ^rb+phrv+++=out
a ^at++++=a
banjo ^nn+++??+=banjo--which
-- ^--+clp+++=EXTRAWORD
which ^wdt+who+whq++=EXTRAWORD
is ^vbz+bez+aux++=is
a ^at++++=a
most ^ql+emph+++=most
sentimental ^jj+atrb+++=sentimental
instrument ^nn+nom+++=instrument--and
-- ^--+clp+++=EXTRAWORD
and ^cc+cls+++=EXTRAWORD
three ^cd++++=three
or ^cc++++=or
four ^cd++++=four
of ^in++++=of
us ^pp1o+pp1+++=us
sang ^vbd+++xvbn+=sang.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
must ^md+nec+++=must
not ^xnot++not++=not
laugh ^nn++++=laugh
at ^rb++++=at
this ^dt+pdem+++=this.
. ^zz++++=EXTRAWORD
Our ^pp$+pp1+++=Our
amusements ^nns+nom+++=amusements
in ^in++++=in
out ^rp+pl+++=out-of-the-way
- ^zz++++=EXTRAWORD
of ^in++++=EXTRAWORD
- ^zz++++=EXTRAWORD
the ^ati++++=EXTRAWORD
- ^zz++++=EXTRAWORD
way ^nn++++=EXTRAWORD
Stations ^nns+nom+++=Stations
are ^vb+ber+vrb++=are
very ^ql+amp+++=very
few ^ap++++=few
indeed ^qlp++++=indeed.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
we ^pp1a+pp1+++=we
talked ^vbd+++xvbn+=talked
in ^in++++=in
groups ^nns++++=groups
or ^cc++++=or
together ^nn+nom+++=together,
, ^zz++++=EXTRAWORD
lying ^vbg+++xvbg+=lying
under ^in++++=under
the ^ati++++=the
trees ^nns++++=trees,
, ^zz++++=EXTRAWORD
with ^in++++=with
the ^ati++++=the
sun ^nn++++=sun-baked
- ^zz++++=EXTRAWORD
baked ^jj+atrb++xvbn+=EXTRAWORD
roses ^nns++++=roses
dropping ^vwbg+++xvbg+=dropping
their ^pp$+pp3+++=their
petals ^nns++++=petals
on ^in++++=on
our ^pp$+pp1+++=our
feet ^nns++++=feet,
, ^zz++++=EXTRAWORD
until ^cs+sub+++=until
supper ^nn++++=supper
was ^vbd+bedz+vrb++=was
ready ^jj+pred+++=ready.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
a ^at++++=a
beautiful ^jj+atrb+++=beautiful
supper ^nn++++=supper,
, ^zz++++=EXTRAWORD
as ^ql++++=as
cold ^jj++++=cold
and ^cc++++=and
as ^cs+sub+++=as
iced ^vbd+++xvbn+=iced
as ^ql++++=as
you ^pp2+pp2+++=you
could ^md+pos+++=could
wish ^vb+vprv+++=wish;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
we ^pp1a+pp1+++=we
stayed ^vbd+++xvbn+=stayed
long ^rb++++=long
over ^in++++=over
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
had ^vbd+hvd+aux++=had
felt ^vprf+++xvbnx+=felt
that ^tht+vcmp+++=that
the ^ati++++=the
air ^nn++++=air
was ^vbd+bedz+aux++=was
growing ^vbg+++xvbgx+=growing
hotter ^jjr++++=hotter
and ^cc+phrs+++=and
hotter ^jjr++++=hotter;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
nobody ^pn++++=nobody
seemed ^vbd+seem++xvbn+=seemed
to ^to+vcmp+++=to
notice ^vbi+vprv+++=notice
it ^pp3+it+++=it
until ^cs+sub+++=until
the ^ati++++=the
moon ^nn++++=moon
went ^vbd+++xvbn+=went
out ^rp+pl+++=out
and ^cc++++=and
a ^at++++=a
burning ^jj+atrb++xvbg+=burning
hot ^jj+atrb+++=hot
wind ^nn++++=wind
began ^vbd+++xvbn+=began
lashing ^vbg+++xvbg+=lashing
the ^ati++++=the
orange ^nn++++=orange-trees
- ^zz++++=EXTRAWORD
trees ^nns++++=EXTRAWORD
with ^in++++=with
a ^at++++=a
sound ^nn++++=sound
like ^in++++=like
the ^ati++++=the
noise ^nn++++=noise
of ^in++++=of
the ^ati++++=the
sea ^nn++++=sea.
. ^zz++++=EXTRAWORD
Before ^cs+sub+++=Before
we ^pp1a+pp1+++=we
knew ^vbd+vprv++xvbn+=knew
where ^wrb+who+whcl++=where
we ^pp1a+pp1+++=we
were ^vbd+bed+vrb++=were,
, ^zz++++=EXTRAWORD
the ^ati++++=the
dust ^nn++++=dust-storm
- ^zz++++=EXTRAWORD
storm ^nn++++=EXTRAWORD
was ^vbd+bedz+vrb++=was
on ^in++++=on
us ^pp1o+pp1+++=us,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
everything ^pn++++=everything
was ^vbd+bedz+aux++=was
roaring ^vbg+++xvbgx+=roaring,
, ^zz++++=EXTRAWORD
whirling ^vbg+nom++xvbg+=whirling
darkness ^nns+nom+++=darkness.
. ^zz++++=EXTRAWORD
The ^ati++++=The
supper ^nn++++=supper-table
- ^zz++++=EXTRAWORD
table ^nn++++=EXTRAWORD
was ^vbd+bedz+aux++=was
blown ^vpsv++agls+xvbnx+=blown
bodily ^jj++++=bodily
into ^in++++=into
the ^ati++++=the
tank ^nn++++=tank.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
were ^vbd+bed+vrb++=were
afraid ^jj+pred+++=afraid
of ^in++++=of
staying ^xvbg+++xvbg+=staying
anywhere ^rb++++=anywhere
near ^in+pl+++=near
the ^ati++++=the
old ^jj+atrb+++=old
tomb ^nn++++=tomb
for ^in++++=for
fear ^nn++++=fear
it ^pp3+it+++=it
might ^md+pos+++=might
be ^vb+be+aux++=be
blown ^vpsv++agls+xvbnx+=blown
down ^rp++++=down.
. ^zz++++=EXTRAWORD
So ^ql++++=So
we ^pp1a+pp1+++=we
felt ^vbd+vprv+tht0+xvbn+=felt
our ^pp$+pp1+++=our
way ^nn++++=way
to ^in++++=to
the ^ati++++=the
orange ^nn++++=orange-trees
- ^zz++++=EXTRAWORD
trees ^nns++++=EXTRAWORD
where ^wrb+who+++=where
the ^ati++++=the
horses ^nns++++=horses
were ^vbd+bed+aux++=were
picketed ^vpsv++agls+xvbnx+=picketed
and ^cc+phrs+++=and
waited ^vpsv++agls+xvbn+=waited
for ^in++++=for
the ^ati++++=the
storm ^nn++++=storm
to ^to++++=to
blow ^vbi++++=blow
over ^rb++++=over.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
the ^ati++++=the
little ^ap++++=little
light ^jj++++=light
that ^dt+pdem+++=that
was ^vbd+bedz+aux++=was
left ^vpsv++agls+xvbnx+=left
vanished ^vprf+++xvbn+=vanished,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
you ^pp2+pp2+++=you
could ^md+pos+++=could
not ^xnot++not++=not
see ^vb+vprv+++=see
your ^pp$+pp2+++=your
hand ^nn++++=hand
before ^in++++=before
your ^pp$+pp2+++=your
face ^nn++++=face.
. ^zz++++=EXTRAWORD
The ^ati++++=The
air ^nn++++=air
was ^vbd+bedz+vrb++=was
heavy ^jj+pred+++=heavy
with ^in++++=with
dust ^nn++++=dust
and ^cc++++=and
sand ^nn++++=sand
from ^in++++=from
the ^ati++++=the
bed ^nn++++=bed
of ^in++++=of
the ^ati++++=the
river ^nn++++=river,
, ^zz++++=EXTRAWORD
that ^cs+sub+++=that
filled ^xvbn+++xvbn+=filled
boots ^nns++++=boots
and ^cc++++=and
pockets ^nns++++=pockets
and ^cc++++=and
drifted ^vbd+++xvbn+=drifted
down ^rp++++=down
necks ^nns++++=necks
and ^cc++++=and
coated ^xvbn+++xvbn+=coated
eyebrows ^nns++++=eyebrows
and ^cc++++=and
moustaches ^nns++++=moustaches.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
one ^pn++++=one
of ^in++++=of
the ^ati++++=the
worst ^jjt+atrb+++=worst
dust ^nn++++=dust-storms
- ^zz++++=EXTRAWORD
storms ^nns++++=EXTRAWORD
of ^in++++=of
the ^ati++++=the
year ^nn++++=year.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
were ^vbd+bed+vrb++=were
all ^abn++++=all
huddled ^jj+++xvbn+=huddled
together ^nn+nom+++=together
close ^in+cmpx+++=close
to ^in"++++=to
the ^ati++++=the
trembling ^jj+atrb++xvbg+=trembling
horses ^nns++++=horses,
, ^zz++++=EXTRAWORD
with ^in++++=with
the ^ati++++=the
thunder ^nn++++=thunder
clattering ^vwbg+++xvbg+=clattering
overhead ^jjb++++=overhead,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
lightning ^nn++++=lightning
spurting ^vwbg+++xvbg+=spurting
like ^in++++=like
water ^nn++++=water
from ^in++++=from
a ^at++++=a
sluice ^nn+++??+=sluice,
, ^zz++++=EXTRAWORD
all ^abn++++=all
ways ^nns++++=ways
at ^rb++++=at
once ^rb"+tm+++=once.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
was ^vbd+bedz+vrb++=was
no ^at++++=no
danger ^nn++++=danger,
, ^zz++++=EXTRAWORD
of ^in+emph+++=of
course ^nn+emph"+++=course,
, ^zz++++=EXTRAWORD
unless ^cs+cnd+++=unless
the ^ati++++=the
horses ^nns++++=horses
broke ^vbd+++xvbn+=broke
loose ^jj++++=loose.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
was ^vbd+bedz+aux++=was
standing ^vbg+++xvbgx+=standing
with ^in++++=with
my ^pp$+pp1+++=my
head ^nn++++=head
downward ^jjb++++=downward
and ^cc++++=and
my ^pp$+pp1+++=my
hands ^nns++++=hands
over ^in++++=over
my ^pp$+pp1+++=my
mouth ^nn++++=mouth,
, ^zz++++=EXTRAWORD
hearing ^vbg+vprv++xvbg+=hearing
the ^ati++++=the
trees ^nns++++=trees
thrashing ^vwbg+++xvbg+=thrashing
each ^dt++++=each
other ^ap++++=other.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
could ^md+pos+++=could
not ^xnot++not++=not
see ^vb+vprv+++=see
who ^whp+who+++=who
was ^vbd+bedz+vrb++=was
next ^ap++++=next
me ^pp1o+pp1+++=me
till ^in++++=till
the ^ati++++=the
flashes ^nns++++=flashes
came ^vbd+++xvbn+=came.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
I ^pp1a+pp1+++=I
found ^vbd+vprv++xvbnx+=found
that ^tht+vcmp+++=that
I ^pp1a+pp1+++=I
was ^vbd+bedz+aux++=was
packed ^vpsv++agls+xvbnx+=packed
near ^in+pl+++=near
Saumarez ^np+++??+=Saumarez
and ^cc++++=and
the ^ati++++=the
eldest ^jjt++++=eldest
Miss ^npt++++=Miss
Copleigh ^np++++=Copleigh,
, ^zz++++=EXTRAWORD
with ^in++++=with
my ^pp$+pp1+++=my
own ^ap++++=own
horse ^nn++++=horse
just ^rb+emph+++=just
in ^in++++=in
front ^in"++++=front
of ^in"++++=of
me ^pp1o+pp1+++=me.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
recognized ^vbd+vprv++xvbnx+=recognized
the ^ati++++=the
eldest ^jjt++++=eldest
Miss ^npt++++=Miss
Copleigh ^np++++=Copleigh,
, ^zz++++=EXTRAWORD
because ^cs+cos+++=because
she ^pp3a+pp3+++=she
had ^vb+hv+vrb++=had
a ^at++++=a
pagri ^nn+++??+=pagri
round ^in++++=round
her ^pp$+pp3+++=her
helmet ^nn++++=helmet,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
younger ^jjr++++=younger
had ^vb+hv+vrb++=had
not ^xnot++not++=not.
. ^zz++++=EXTRAWORD
All ^abn++++=All
the ^ati++++=the
electricity ^nn+nom+++=electricity
in ^in++++=in
the ^ati++++=the
air ^nn++++=air
had ^vbd+hvd+aux++=had
gone ^vprf+++xvbnx+=gone
into ^in++++=into
my ^pp$+pp1+++=my
body ^nn++++=body
and ^cc++++=and
I ^pp1a+pp1+++=I
was ^vbd+bedz+aux++=was
quivering ^vbg+++xvbgx+=quivering
and ^cc+phrs+++=and
tingling ^vbg+nom++xvbg+=tingling
from ^in++++=from
head ^nn++++=head
to ^in++++=to
foot ^nn++++=foot--exactly
-- ^--+clp+++=EXTRAWORD
exactly ^rb++++=EXTRAWORD
as ^in++++=as
a ^at++++=a
corn ^nn++++=corn
shoots ^nns++++=shoots
and ^cc++++=and
tingles ^nns+++??+=tingles
before ^in++++=before
rain ^nn++++=rain.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
a ^at++++=a
grand ^jj+atrb+++=grand
storm ^nn++++=storm.
. ^zz++++=EXTRAWORD
The ^ati++++=The
wind ^nn++++=wind
seemed ^vbd+seem++xvbn+=seemed
to ^to+vcmp+++=to
be ^vbi+vbi+aux++=be
picking ^vbg+++xvbgx+=picking
up ^rp++++=up
the ^ati++++=the
earth ^nn++++=earth
and ^cc++++=and
pitching ^nvbg+++xvbg+=pitching
it ^pp3+it+++=it
to ^in++++=to
leeward ^rb++++=leeward
in ^in++++=in
great ^jj+atrb+++=great
heaps ^nns++++=heaps;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
heat ^nn++++=heat
beat ^vbd+++xvbn+=beat
up ^rp++++=up
from ^in++++=from
the ^ati++++=the
ground ^nn++++=ground
like ^in++++=like
the ^ati++++=the
heat ^nn++++=heat
of ^in++++=of
the ^ati++++=the
Day ^nn++++=Day
of ^in++++=of
Judgment ^nn+nom+++=Judgment.
. ^zz++++=EXTRAWORD
The ^ati++++=The
storm ^nn++++=storm
lulled ^vbd+++xvbn+=lulled
slightly ^rb+down+++=slightly
after ^in++++=after
the ^ati++++=the
first ^od++++=first
half ^abn++++=half-hour,
- ^zz++++=EXTRAWORD
hour ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I
heard ^vbd+vprv++xvbnx+=heard
a ^at++++=a
despairing ^jj+++xvbg+=despairing
little ^ap++++=little
voice ^nn++++=voice
close ^in+cmpx+++=close
to ^in"++++=to
my ^pp$+pp1+++=my
ear ^nn++++=ear,
, ^zz++++=EXTRAWORD
saying ^vbg+++xvbg+=saying
to ^to+vcmp+++=to
itself ^ppl++++=itself,
, ^zz++++=EXTRAWORD
quietly ^rb++++=quietly
and ^cc+phrs+++=and
softly ^rb+cnj+++=softly,
, ^zz++++=EXTRAWORD
as ^cs+sub+++=as
if ^cs+cnd+++=if
some ^dti++++=some
lost ^jj+atrb++xvbn+=lost
soul ^nn++++=soul
were ^vbd+bed+aux++=were
flying ^vbg+++xvbgx+=flying
about ^in++++=about
with ^in++++=with
the ^ati++++=the
wind ^nn++++=wind:
: ^zz++++=EXTRAWORD
" ^zz++++="O
o ^zz++++=EXTRAWORD
my ^pp$+pp1+++=my
God ^nn++++=God!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
the ^ati++++=the
younger ^jjr++++=younger
Miss ^npt++++=Miss
Copleigh ^np++++=Copleigh
stumbled ^vbd+++xvbn+=stumbled
into ^in++++=into
my ^pp$+pp1+++=my
arms ^nns++++=arms,
, ^zz++++=EXTRAWORD
saying ^vbg+++xvbg+=saying:
: ^zz++++=EXTRAWORD
" ^zz++++="Where
where ^wrb+who+whq++=EXTRAWORD
is ^vbz+bez+vrb++=is
my ^pp$+pp1+++=my
horse ^nn++++=horse?
? ^zz++++=EXTRAWORD
Get ^vb++++=Get
my ^pp$+pp1+++=my
horse ^nn++++=horse.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
want ^vb++++=want
to ^to+vcmp+++=to
go ^vbi++++=go
home ^nr++++=home.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
Want ^vb++++=WANT
to ^to+vcmp+++=to
go ^vbi++++=go
home ^nr++++=home.
. ^zz++++=EXTRAWORD
Take ^vb++++=Take
me ^pp1o+pp1+++=me
home ^nr++++=home."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
thought ^vbd+++xvbnx+=thought
that ^tht+vcmp+++=that
the ^ati++++=the
lightning ^nn++++=lightning
and ^cc++++=and
the ^ati++++=the
black ^jj+atrb+++=black
darkness ^nns+nom+++=darkness
had ^vbd+hvd+aux++=had
frightened ^vprf+++xvbnx+=frightened
her ^pp$+pp3+++=her;
; ^zz++++=EXTRAWORD
so ^ql++++=so
I ^pp1a+pp1+++=I
said ^vbd+vpub+tht0+xvbnx+=said
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
no ^at++++=no
danger ^nn++++=danger,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
she ^pp3a+pp3+++=she
must ^md+nec+++=must
wait ^vb++++=wait
till ^cs+sub+++=till
the ^ati++++=the
storm ^nn++++=storm
blew ^vbd+++xvbn+=blew
over ^in+strn+++=over.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
answered ^vbd+vpub++xvbnx+=answered:
: ^zz++++=EXTRAWORD
" ^zz++++="It
it ^pp3+it+++=EXTRAWORD
is ^vbz+bez+vrb++=is
not ^xnot++not++=not
That ^dt+pdem+++=THAT!
! ^zz++++=EXTRAWORD
It ^pp3+it+++=It
is ^vbz+bez+vrb++=is
not ^xnot++not++=not
That ^dt+pdem+++=THAT!
! ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
want ^vb++++=want
to ^to+vcmp+++=to
go ^vbi++++=go
home ^nr++++=home!
! ^zz++++=EXTRAWORD
O ^zz++++=O
take ^vb++++=take
me ^pp1o+pp1+++=me
away ^in+pl+++=away
from ^in"++++=from
here ^rn+pl+++=here!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
said ^vbd+vpub++xvbnx+=said
that ^tht+vcmp+++=that
she ^pp3a+pp3+++=she
could ^md+pos+++=could
not ^xnot++not++=not
go ^vb++++=go
till ^in++++=till
the ^ati++++=the
light ^nn++++=light
came ^vbd+++xvbn+=came;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
I ^pp1a+pp1+++=I
felt ^vbd+vprv++xvbnx+=felt
her ^pp$+pp3+++=her
brush ^nn++++=brush
past ^nn++++=past
me ^pp1o+pp1+++=me
and ^cc++++=and
go ^vb++++=go
away ^rp+pl+++=away.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
too ^ql++++=too
dark ^jj++++=dark
to ^to++++=to
see ^vbi+vprv+++=see
where ^wrb+who+whcl++=where.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
the ^ati++++=the
whole ^jj+atrb+++=whole
sky ^nn++++=sky
was ^vbd+bedz+aux++=was
split ^vpsv++agls+xvbnx+=split
open ^jj++++=open
with ^in++++=with
one ^cd1++++=one
tremendous ^jj+atrb+++=tremendous
flash ^nn++++=flash,
, ^zz++++=EXTRAWORD
as ^cs+sub+++=as
if ^cs+cnd+++=if
the ^ati++++=the
end ^nn++++=end
of ^in++++=of
the ^ati++++=the
world ^nn++++=world
were ^vbd+bed+aux++=were
coming ^vbg+++xvbgx+=coming,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
all ^rb++++=all
the ^ati++++=the
women ^nns++++=women
shrieked ^vbd+++xvbn+=shrieked.
. ^zz++++=EXTRAWORD
Almost ^rb+hdg+++=Almost
directly ^rb++++=directly
after ^in++++=after
this ^dt+pdem+++=this,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
felt ^vbd+vprv++xvbnx+=felt
a ^at++++=a
man ^nn++++=man's
's ^$++++=EXTRAWORD
hand ^nn++++=hand
on ^in++++=on
my ^pp$+pp1+++=my
shoulder ^nn+nom+++=shoulder
and ^cc++++=and
heard ^vbn+vprv++xvbn+=heard
Saumarez ^np+++??+=Saumarez
