To ^in++++=TO
Communipaw ^np+++??+=Communipaw.
. ^zz++++=EXTRAWORD
At ^rb++++=At
the ^ati++++=the
time ^nn++++=time
when ^wrb+who+++=when
New ^jj++++=New-Amsterdam
- ^zz++++=EXTRAWORD
amsterdam ^np++++=EXTRAWORD
was ^vbd+bedz+aux++=was
invaded ^vpsv++agls+xvbnx+=invaded
and ^cc+phrs+++=and
conquered ^vpsv++by+xvbn+=conquered
by ^in++++=by
British ^jj+atrb+++=British
foes ^nns++++=foes,
, ^zz++++=EXTRAWORD
as ^ql++++=as
has ^vbz+hvz+aux++=has
been ^vprf+ben+aux+xvbnx+=been
related ^vpsv++agls+xvbnx+=related
in ^in++++=in
the ^ati++++=the
history ^nn++++=history
of ^in++++=of
the ^ati++++=the
venerable ^jj+atrb+++=venerable
Diedrich ^np+++??+=Diedrich,
, ^zz++++=EXTRAWORD
a ^at++++=a
great ^jj+atrb+++=great
dispersion ^nn++++=dispersion
took ^vbd+++xvbn+=took
place ^nn++++=place
among ^in++++=among
the ^ati++++=the
Dutch ^jj+atrb+++=Dutch
inhabitants ^nns+nom+++=inhabitants.
. ^zz++++=EXTRAWORD
Many ^ap++++=Many,
, ^zz++++=EXTRAWORD
like ^in++++=like
the ^ati++++=the
illustrious ^jj+atrb+++=illustrious
Peter ^np++++=Peter
Stuyvesant ^np+nom+++=Stuyvesant,
, ^zz++++=EXTRAWORD
buried ^xvbn+++xvbn+=buried
themselves ^ppls+pp3+++=themselves
in ^in++++=in
rural ^jj+atrb+++=rural
retreats ^nns++++=retreats
in ^in++++=in
the ^ati++++=the
Bowerie ^np+++??+=Bowerie;
; ^zz++++=EXTRAWORD
others ^aps++++=others,
, ^zz++++=EXTRAWORD
like ^in++++=like
Wolfert ^np+++??+=Wolfert
Acker ^np+++??+=Acker,
, ^zz++++=EXTRAWORD
took ^jj+atrb++xvbn+=took
refuge ^nn++++=refuge
in ^in++++=in
various ^jj+atrb+++=various
remote ^jj+atrb+++=remote
parts ^nns++++=parts
of ^in++++=of
the ^ati++++=the
Hudson ^np++++=Hudson;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
one ^cd1++++=one
staunch ^jj+atrb+++=staunch,
, ^zz++++=EXTRAWORD
unconquerable ^jj+atrb+++=unconquerable
band ^nn++++=band
that ^tht+rel+subj++=that
determined ^jj+++xvbn+=determined
to ^to+jcmp+++=to
keep ^vbi++++=keep
together ^nn+nom+++=together,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
preserve ^vb++++=preserve
themselves ^ppls+pp3+++=themselves,
, ^zz++++=EXTRAWORD
like ^in++++=like
seed ^nn++++=seed
corn ^nn++++=corn,
, ^zz++++=EXTRAWORD
for ^in++++=for
the ^ati++++=the
future ^jjb+atrb+++=future
fructification ^nn+nom+++=fructification
and ^cc++++=and
perpetuity ^nn+nom+++=perpetuity
of ^in++++=of
the ^ati++++=the
Knickerbocker ^np+nom++??+=Knickerbocker
race ^nn++++=race.
. ^zz++++=EXTRAWORD
These ^dt+pdem+++=These
were ^vbd+bed+aux++=were
headed ^vpsv++by+xvbnx+=headed
by ^in++++=by
one ^cd1++++=one
Garret ^np+++??+=Garret
Van ^&fw++++=Van
Horne ^np+++??+=Horne,
, ^zz++++=EXTRAWORD
a ^at++++=a
gigantic ^jj+atrb+++=gigantic
Dutchman ^np+nom++??+=Dutchman,
, ^zz++++=EXTRAWORD
the ^ati++++=the
Pelayo ^np+++??+=Pelayo
of ^in++++=of
the ^ati++++=the
New ^jj++++=New-Netherlands.
- ^zz++++=EXTRAWORD
netherlands ^np++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Under ^in++++=Under
his ^pp$+pp3+++=his
guidance ^nn+nom+++=guidance,
, ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
retreated ^vbd+++xvbnx+=retreated
across ^in+pl+++=across
the ^ati++++=the
bay ^nn++++=bay
and ^cc++++=and
buried ^vbd+++xvbn+=buried
themselves ^ppls+pp3+++=themselves
among ^in++++=among
the ^ati++++=the
marshes ^nns++++=marshes
of ^in++++=of
ancient ^jj+atrb+++=ancient
Pavonia ^np+++??+=Pavonia,
, ^zz++++=EXTRAWORD
as ^ql++++=as
did ^vbd+dod+vrb++=did
the ^ati++++=the
followers ^nns+nom+++=followers
of ^in++++=of
Pelayo ^np+++??+=Pelayo
among ^in++++=among
the ^ati++++=the
mountains ^nns++++=mountains
of ^in++++=of
Asturias ^np+++??+=Asturias,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
Spain ^np++++=Spain
was ^vbd+bedz+aux++=was
overrun ^vprf+++xvbn+=overrun
by ^in++++=by
its ^pp$+it+++=its
Arabian ^jj+atrb+++=Arabian
invaders ^nns+nom+++=invaders.
. ^zz++++=EXTRAWORD
The ^ati++++=The
gallant ^jj++++=gallant
Van ^&fw++++=Van
Horne ^np+++??+=Horne
set ^vbd+++xvbn+=set
up ^rb+phrv+++=up
his ^pp$+pp3+++=his
standard ^jj++++=standard
at ^rb++++=at
Communipaw ^np+++??+=Communipaw,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
invited ^vbd+++xvbn+=invited
all ^abn++++=all
those ^dt+dem+++=those
to ^in++++=to
rally ^nn++++=rally
under ^in++++=under
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
were ^vbd+bed+vrb++=were
true ^jj+atrb+++=true
Nederlanders ^nns+nom++??+=Nederlanders
at ^in++++=at
heart ^nn++++=heart,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
determined ^jj+++xvbn+=determined
to ^to+jcmp+++=to
resist ^vbi++++=resist
all ^abn++++=all
foreign ^jj+atrb+++=foreign
intermixture ^nn+++??+=intermixture
or ^cc++++=or
encroachment ^nn+nom+++=encroachment.
. ^zz++++=EXTRAWORD
A ^at++++=A
strict ^jj++++=strict
non ^&fw++++=non-intercourse
- ^zz++++=EXTRAWORD
intercourse ^nn+++??+=EXTRAWORD
was ^vbd+bedz+aux++=was
observed ^vpsv++agls+xvbnx+=observed
with ^in++++=with
the ^ati++++=the
captured ^jj+++xvbn+=captured
city ^npl++++=city;
; ^zz++++=EXTRAWORD
not ^xnot++not++=not
a ^at++++=a
boat ^nn++++=boat
ever ^rb++++=ever
crossed ^vbd+++xvbn+=crossed
to ^in++++=to
it ^pp3+it+++=it
from ^in++++=from
Communipaw ^np+++??+=Communipaw,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
English ^jj+atrb+++=English
language ^nn+nom+++=language
was ^vbd+bedz+aux++=was
rigorously ^rb++splt++=rigorously
tabooed ^vpsv++agls+xvbnx+=tabooed
throughout ^in++++=throughout
the ^ati++++=the
village ^nn+nom+++=village
and ^cc++++=and
its ^pp$+it+++=its
dependencies ^nns++++=dependencies.
. ^zz++++=EXTRAWORD
Every ^at++++=Every
man ^nn++++=man
was ^vbd+bedz+aux++=was
sworn ^vprf+++xvbn+=sworn
to ^to++++=to
wear ^vbi++++=wear
his ^pp$+pp3+++=his
hat ^nn++++=hat,
, ^zz++++=EXTRAWORD
cut ^j+++xvbn+=cut
his ^pp$+pp3+++=his
coat ^nn++++=coat,
, ^zz++++=EXTRAWORD
build ^nn++++=build
his ^pp$+pp3+++=his
house ^nn++++=house,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
harness ^nns+nom+++=harness
his ^pp$+pp3+++=his
horses ^nns++++=horses,
, ^zz++++=EXTRAWORD
exactly ^rb++++=exactly
as ^ql++++=as
his ^pp$+pp3+++=his
father ^nn++++=father
had ^vbd+hvd+aux++=had
done ^vprf+++xvbnx+=done
before ^in++++=before
him ^pp3o+pp3+++=him;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
to ^to++++=to
permit ^vbi++++=permit
nothing ^pn++++=nothing
but ^cc++++=but
the ^ati++++=the
Dutch ^jj+atrb+++=Dutch
language ^nn+nom+++=language
to ^to++++=to
be ^vbi+vbi+aux++=be
spoken ^vpsv++agls+xvbnx+=spoken
in ^in++++=in
his ^pp$+pp3+++=his
household ^nn++++=household.
. ^zz++++=EXTRAWORD
As ^in++++=As
a ^at++++=a
citadel ^nn++++=citadel
of ^in++++=of
the ^ati++++=the
place ^nn++++=place,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
strong ^jj++++=strong-hold
- ^zz++++=EXTRAWORD
hold ^nn++++=EXTRAWORD
for ^in++++=for
the ^ati++++=the
preservation ^nn+nom+++=preservation
and ^cc++++=and
defence ^nn+nom+++=defence
of ^in++++=of
every ^at++++=every
thing ^nn++++=thing
Dutch ^nn++++=Dutch,
, ^zz++++=EXTRAWORD
the ^ati++++=the
gallant ^jj++++=gallant
Van ^&fw++++=Van
Horne ^np+++??+=Horne
erected ^vwbn+++xvbn+=erected
a ^at++++=a
lordly ^jj+atrb+++=lordly
mansion ^nn++++=mansion,
, ^zz++++=EXTRAWORD
with ^in++++=with
a ^at++++=a
chimney ^nn++++=chimney
perched ^vbd+++xvbn+=perched
at ^rb++++=at
every ^at++++=every
corner ^nn++++=corner,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
thence ^rb++++=thence
derived ^vbd+++xvbn+=derived
the ^ati++++=the
aristocratical ^jj+atrb+++=aristocratical
name ^nn++++=name
of ^in++++=of
" ^zz++++="The
the ^ati++++=EXTRAWORD
House ^nn++++=House
of ^in++++=of
the ^ati++++=the
Four ^cd++++=Four
Chimneys ^nns++++=Chimneys."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Hither ^np+++??+=Hither
he ^pp3a+pp3+++=he
transferred ^vbd+++xvbnx+=transferred
many ^ap++++=many
of ^in++++=of
the ^ati++++=the
precious ^jj+atrb+++=precious
reliques ^nns+++??+=reliques
of ^in++++=of
New ^jj++++=New-Amsterdam;
- ^zz++++=EXTRAWORD
amsterdam ^np++++=EXTRAWORD
; ^zz++++=EXTRAWORD
the ^ati++++=the
great ^nn++++=great
round ^in++++=round-crowned
- ^zz++++=EXTRAWORD
crowned ^vprf+++xvbn+=EXTRAWORD
hat ^nn++++=hat
that ^tht+rel+subj++=that
once ^rb+tm+++=once
covered ^vwbn+++xvbn+=covered
the ^ati++++=the
capacious ^jj+atrb+++=capacious
head ^nn++++=head
of ^in++++=of
Walter ^np++++=Walter
the ^ati++++=the
Doubter ^np+++??+=Doubter,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
identical ^jj+atrb+++=identical
shoe ^nn++++=shoe
with ^in++++=with
which ^whp+rel+pied++=which
Peter ^np++++=Peter
the ^ati++++=the
Headstrong ^nn++++=Headstrong
kicked ^vbd+++xvbn+=kicked
his ^pp$+pp3+++=his
pusillanimous ^jj+atrb+++=pusillanimous
councillors ^nns++++=councillors
down ^rp++++=down-stairs.
- ^zz++++=EXTRAWORD
stairs ^nns++++=EXTRAWORD
. ^zz++++=EXTRAWORD
St ^npt++++=St.
. ^zz++++=EXTRAWORD
Nicholas ^np++++=Nicholas,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
is ^vbz+bez+aux++=is
said ^vpsv++agls+xvbnx+=said,
, ^zz++++=EXTRAWORD
took ^j+++xvbn+=took
this ^dt+dem+++=this
loyal ^jj+atrb+++=loyal
house ^nn++++=house
under ^in++++=under
his ^pp$+pp3+++=his
especial ^jj+atrb+++=especial
protection ^nn+nom+++=protection;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
Dutch ^jj++++=Dutch
soothsayer ^jjr++++=soothsayer
predicted ^jj+++xvbn+=predicted,
, ^zz++++=EXTRAWORD
that ^dt+dem+++=that
as ^ql++++=as
long ^jj++++=long
as ^ql++++=as
it ^pp3+it+++=it
should ^md+nec+++=should
stand ^vb++++=stand,
, ^zz++++=EXTRAWORD
Communipaw ^np+++??+=Communipaw
would ^md+prd+++=would
be ^vb+be+vrb++=be
safe ^jj+pred+++=safe
from ^in++++=from
the ^ati++++=the
intrusion ^nn++++=intrusion
either ^dtx++++=either
of ^in++++=of
Briton ^np+++??+=Briton
or ^cc++++=or
Yankee ^jj++++=Yankee.
. ^zz++++=EXTRAWORD
In ^in++++=In
this ^dt+dem+++=this
house ^nn++++=house
would ^md+prd+++=would
the ^ati++++=the
gallant ^jj++++=gallant
Van ^&fw++++=Van
Home ^nr++++=Home
and ^cc++++=and
his ^pp$+pp3+++=his
compeers ^nns+nom+++=compeers
hold ^nn++++=hold
frequent ^jj+atrb+++=frequent
councils ^nns++++=councils
of ^in++++=of
war ^nn++++=war,
, ^zz++++=EXTRAWORD
as ^in++++=as
to ^in++++=to
the ^ati++++=the
possibility ^nn+nom+++=possibility
of ^in++++=of
re ^in++++=re-conquering
- ^zz++++=EXTRAWORD
conquering ^jj+++xvbg+=EXTRAWORD
the ^ati++++=the
province ^nn++++=province
from ^in++++=from
the ^ati++++=the
British ^jj++++=British;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
here ^rn+pl+++=here
would ^md+prd+++=would
they ^pp3a+pp3+++=they
sit ^vb++++=sit
for ^in++++=for
hours ^nns++++=hours,
, ^zz++++=EXTRAWORD
nay ^uh++++=nay,
, ^zz++++=EXTRAWORD
days ^nns++++=days,
, ^zz++++=EXTRAWORD
together ^nn+nom+++=together
smoking ^vbg+++xvbg+=smoking
their ^pp$+pp3+++=their
pipes ^nns++++=pipes
and ^cc++++=and
keeping ^xvbg+++xvbg+=keeping
watch ^vb++++=watch
upon ^in++++=upon
the ^ati++++=the
growing ^jj+++xvbg+=growing
city ^npl++++=city
of ^in++++=of
New ^jj++++=New-York;
- ^zz++++=EXTRAWORD
york ^np++++=EXTRAWORD
; ^zz++++=EXTRAWORD
groaning ^jj+++xvbg+=groaning
in ^in++++=in
spirit ^nn++++=spirit
whenever ^nn+nom+++=whenever
they ^pp3a+pp3+++=they
saw ^vbd+vprv+tht0+xvbnx+=saw
a ^at++++=a
new ^jj+atrb+++=new
house ^npl++++=house
erected ^vwbn+++xvbn+=erected
or ^cc++++=or
ship ^nn++++=ship
launched ^vbd+++xvbn+=launched,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
persuading ^vbg+++xvbg+=persuading
themselves ^ppls+pp3+++=themselves
that ^dt+dem+++=that
Admiral ^nn++++=Admiral
Van ^&fw++++=Van
Tromp ^np+++??+=Tromp
would ^md+prd+++=would
one ^cd1++++=one
day ^nn++++=day
or ^cc++++=or
other ^ap++++=other
arrive ^vb++++=arrive
to ^to++++=to
sweep ^vbi++++=sweep
out ^rp+pl+++=out
the ^ati++++=the
invaders ^nns+nom+++=invaders
with ^in++++=with
the ^ati++++=the
broom ^nn++++=broom
which ^whp+rel+obj++=which
he ^pp3a+pp3+++=he
carried ^vbd+++xvbnx+=carried
at ^rb++++=at
his ^pp$+pp3+++=his
mast ^nn++++=mast-head.
- ^zz++++=EXTRAWORD
head ^nn++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Years ^nns++++=Years
rolled ^vwbn+++xvbn+=rolled
by ^in+strn+++=by,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
Van ^&fw++++=Van
Tromp ^np+++??+=Tromp
never ^rb++++=never
arrived ^vbd+++xvbn+=arrived.
. ^zz++++=EXTRAWORD
The ^ati++++=The
British ^nn++++=British
strengthened ^vwbn+++xvbn+=strengthened
themselves ^ppls+pp3+++=themselves
in ^in++++=in
the ^ati++++=the
land ^nn++++=land,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
captured ^jj+++xvbn+=captured
city ^npl++++=city
flourished ^vbd+++xvbn+=flourished
under ^in++++=under
their ^pp$+pp3+++=their
domination ^nn+nom+++=domination.
. ^zz++++=EXTRAWORD
Still ^rb+cnj+++=Still,
, ^zz++++=EXTRAWORD
the ^ati++++=the
worthies ^nns++++=worthies
of ^in++++=of
Communipaw ^np+++??+=Communipaw
would ^md+prd+++=would
not ^xnot++not++=not
despair ^vb++++=despair;
; ^zz++++=EXTRAWORD
something ^pn++++=something
or ^cc++++=or
other ^ap++++=other,
, ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
were ^vbd+bed+vrb++=were
sure ^jj+pred+++=sure,
, ^zz++++=EXTRAWORD
would ^md+prd+++=would
turn ^vb++++=turn
up ^rb+phrv+++=up
to ^to++++=to
restore ^vbi++++=restore
the ^ati++++=the
power ^nn++++=power
of ^in++++=of
the ^ati++++=the
Hogen ^np+++??+=Hogen
Mogens ^np+++??+=Mogens,
, ^zz++++=EXTRAWORD
the ^ati++++=the
Lord ^npt++++=Lord
States ^np++++=States-General;
- ^zz++++=EXTRAWORD
general ^jj++++=EXTRAWORD
; ^zz++++=EXTRAWORD
so ^ql++++=so
they ^pp3a+pp3+++=they
kept ^vbd+++xvbnx+=kept
smoking ^vbg+++xvbg+=smoking
and ^cc+phrs+++=and
smoking ^vbg+++xvbg+=smoking,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
watching ^jj+++xvbg+=watching
and ^cc+phrs+++=and
watching ^jj+++xvbg+=watching,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
turning ^vbg+++xvbg+=turning
the ^ati++++=the
same ^ap++++=same
few ^ap++++=few
thoughts ^nns++++=thoughts
over ^in++++=over
and ^cc++++=and
over ^rb++++=over
in ^in++++=in
a ^at++++=a
perpetual ^jj+atrb+++=perpetual
circle ^nn++++=circle,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
is ^vbz+bez+aux++=is
commonly ^rb++splt++=commonly
called ^vpsv++agls+xvbnx+=called
deliberating ^jj+++xvbg+=deliberating.
. ^zz++++=EXTRAWORD
In ^in++++=In
the ^ati++++=the
mean ^jj+atrb+++=mean
time ^nn++++=time,
, ^zz++++=EXTRAWORD
being ^xvbg+++xvbg+=being
hemmed ^vpsv++agls+xvbn+=hemmed
up ^rp++++=up
within ^in++++=within
a ^at++++=a
narrow ^jj+atrb+++=narrow
compass ^nn++++=compass,
, ^zz++++=EXTRAWORD
between ^in++++=between
the ^ati++++=the
broad ^jj+atrb+++=broad
bay ^nn++++=bay
and ^cc++++=and
the ^ati++++=the
Bergen ^np+++??+=Bergen
hills ^nns++++=hills,
, ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
grew ^vbd+++xvbnx+=grew
poorer ^jjr++++=poorer
and ^cc+phrs+++=and
poorer ^jjr++++=poorer,
, ^zz++++=EXTRAWORD
until ^cs+sub+++=until
they ^pp3a+pp3+++=they
had ^vb+hv+vrb++=had
scarce ^jj++++=scarce
the ^ati++++=the
wherewithal ^nn+nom+++=wherewithal
to ^to++++=to
maintain ^vbi+vpub+tht0++=maintain
their ^pp$+pp3+++=their
pipes ^nns++++=pipes
in ^in++++=in
fuel ^nn++++=fuel
during ^in++++=during
their ^pp$+pp3+++=their
endless ^jj+atrb+++=endless
deliberations ^nns+nom+++=deliberations.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
now ^rn+tm+++=now
must ^md+nec+++=must
I ^pp1a+pp1+++=I
relate ^vb++++=relate
a ^at++++=a
circumstance ^nn+nom+++=circumstance
which ^whp+rel+subj++=which
will ^md+prd+++=will
call ^vb++++=call
for ^in+ppvb+++=for
a ^rb++++=a
little ^rb"++++=little
exertion ^nn+nom+++=exertion
of ^in++++=of
faith ^nn++++=faith
on ^in+cmpx+++=on
the ^in"++++=the
part ^in"++++=part
of ^in"++++=of
the ^ati++++=the
reader ^nn++++=reader;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
I ^pp1a+pp1+++=I
can ^md+pos+++=can
only ^rb+down+splt++=only
say ^vb+vpub+++=say
that ^tht+vcmp+++=that
if ^cs+cnd+++=if
he ^pp3a+pp3+++=he
doubts ^nns++++=doubts
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
had ^vb+hv+vrb++=had
better ^jjr++++=better
not ^xnot++not++=not
utter ^jjb++++=utter
his ^pp$+pp3+++=his
doubts ^nns++++=doubts
in ^in++++=in
Communipaw ^np+++??+=Communipaw,
, ^zz++++=EXTRAWORD
as ^ql++++=as
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
among ^in++++=among
the ^ati++++=the
religious ^jj+atrb+++=religious
beliefs ^nns++++=beliefs
of ^in++++=of
the ^ati++++=the
place ^nn++++=place.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
is ^vbz+bez+vrb++=is,
, ^zz++++=EXTRAWORD
in ^in++++=in
fact ^nn++++=fact,
, ^zz++++=EXTRAWORD
nothing ^pn++++=nothing
more ^rbr++++=more
nor ^cc+phrs+neg++=nor
less ^rbr++++=less
than ^in++++=than
a ^at++++=a
miracle ^nn++++=miracle,
, ^zz++++=EXTRAWORD
worked ^xvbn+++xvbn+=worked
by ^in++++=by
the ^ati++++=the
blessed ^jj+++xvbn+=blessed
St ^npt++++=St.
. ^zz++++=EXTRAWORD
Nicholas ^np++++=Nicholas,
, ^zz++++=EXTRAWORD
for ^in++++=for
the ^ati++++=the
relief ^nn++++=relief
and ^cc++++=and
sustenance ^nn+nom+++=sustenance
of ^in++++=of
this ^dt+dem+++=this
loyal ^jj+atrb+++=loyal
community ^nn+nom+++=community.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
so ^ql+emph+++=so
happened ^jj+++xvbn+=happened,
, ^zz++++=EXTRAWORD
in ^in++++=in
this ^dt+dem+++=this
time ^nn++++=time
of ^in++++=of
extremity ^nn+nom+++=extremity,
, ^zz++++=EXTRAWORD
that ^dt+dem+++=that
in ^in++++=in
the ^ati++++=the
course ^nn++++=course
of ^in++++=of
cleaning ^xvbg+++xvbg+=cleaning
the ^ati++++=the
House ^nn++++=House
of ^in++++=of
the ^ati++++=the
Four ^cd++++=Four
Chimneys ^nns++++=Chimneys,
, ^zz++++=EXTRAWORD
by ^in++++=by
an ^at++++=an
ignorant ^jj+atrb+++=ignorant
housewife ^nn++++=housewife
who ^whp+rel+subj++=who
knew ^vbd+vprv++xvbn+=knew
nothing ^pn++++=nothing
of ^in++++=of
the ^ati++++=the
historic ^jj+atrb+++=historic
value ^nn++++=value
of ^in++++=of
the ^ati++++=the
reliques ^nns+++??+=reliques
it ^pp3+it+++=it
contained ^vbd+++xvbn+=contained,
, ^zz++++=EXTRAWORD
the ^ati++++=the
old ^jj+atrb+++=old
hat ^nn++++=hat
of ^in++++=of
Walter ^np++++=Walter
the ^ati++++=the
Doubter ^np+++??+=Doubter
and ^cc++++=and
the ^ati++++=the
executive ^nn++++=executive
shoe ^nn++++=shoe
of ^in++++=of
Peter ^np++++=Peter
the ^ati++++=the
Headstrong ^jj++++=Headstrong
were ^vbd+bed+aux++=were
thrown ^vpsv++agls+xvbnx+=thrown
out ^rb+phrv+++=out
of ^in++++=of
doors ^nns++++=doors
as ^in++++=as
rubbish ^nn++++=rubbish.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
mark ^nn++++=mark
the ^ati++++=the
consequence ^nn+nom+++=consequence.
. ^zz++++=EXTRAWORD
The ^ati++++=The
good ^jj+atrb+++=good
St ^npt++++=St.
. ^zz++++=EXTRAWORD
Nicholas ^np++++=Nicholas
kept ^vbd+++xvbn+=kept
watch ^vb++++=watch
over ^in++++=over
these ^dt+dem+++=these
precious ^jj+atrb+++=precious
reliques ^nns+++??+=reliques,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
wrought ^vwbn+++xvbn+=wrought
out ^rp+pl+++=out
of ^in++++=of
them ^pp3o+pp3+++=them
a ^at++++=a
wonderful ^jj+atrb+++=wonderful
providence ^nn+nom+++=providence.
. ^zz++++=EXTRAWORD
The ^ati++++=The
hat ^nn++++=hat
of ^in++++=of
Walter ^np++++=Walter
the ^ati++++=the
Doubter ^np+++??+=Doubter
falling ^vwbg+++xvbg+=falling
on ^in++++=on
a ^at++++=a
stercoraceous ^jj+atrb+++=stercoraceous
heap ^nn++++=heap
of ^in++++=of
compost ^nn++++=compost,
, ^zz++++=EXTRAWORD
in ^in++++=in
the ^ati++++=the
rear ^nn++++=rear
of ^in++++=of
the ^ati++++=the
house ^nn++++=house,
, ^zz++++=EXTRAWORD
began ^j+++xvbn+=began
forthwith ^rb++++=forthwith
to ^to++++=to
vegetate ^nn+nom+++=vegetate.
. ^zz++++=EXTRAWORD
Its ^pp$+it+++=Its
broad ^jj+atrb+++=broad
brim ^nn++++=brim,
, ^zz++++=EXTRAWORD
spread ^j+++xvbn+=spread
forth ^np++++=forth
grandly ^jj++++=grandly
and ^cc+phrs+++=and
exfoliated ^jj+++xvbn+=exfoliated,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
its ^pp$+it+++=its
round ^in++++=round
crown ^nn++++=crown
swelled ^vbd+++xvbn+=swelled
and ^cc+phrs+++=and
crimped ^vbd+++xvbn+=crimped
and ^cc+phrs+++=and
consolidated ^vbd+++xvbn+=consolidated
until ^cs+sub+++=until
the ^ati++++=the
whole ^nn++++=whole
became ^vbd+++xvbn+=became
a ^at++++=a
prodigious ^jj+atrb+++=prodigious
cabbage ^nn+nom+++=cabbage,
, ^zz++++=EXTRAWORD
rivalling ^nn+nom+++=rivalling
in ^in++++=in
magnitude ^nn++++=magnitude
the ^ati++++=the
capacious ^jj+atrb+++=capacious
head ^nn++++=head
of ^in++++=of
the ^ati++++=the
Doubter ^np+++??+=Doubter.
. ^zz++++=EXTRAWORD
In ^in++++=In
a ^at++++=a
word ^nn++++=word,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
the ^ati++++=the
origin ^nn++++=origin
of ^in++++=of
that ^dt+dem+++=that
renowned ^jj+atrb+++=renowned
species ^nn++++=species
of ^in++++=of
cabbage ^nn+nom+++=cabbage
known ^vbd+++xvbn+=known,
, ^zz++++=EXTRAWORD
by ^in++++=by
all ^abn++++=all
Dutch ^nn++++=Dutch
epicures ^nns++++=epicures,
, ^zz++++=EXTRAWORD
by ^in++++=by
the ^ati++++=the
name ^nn++++=name
of ^in++++=of
the ^ati++++=the
Governor ^np++++=Governor's
's ^$++++=EXTRAWORD
Head ^nn++++=Head,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
which ^whp+rel+subj++=which
is ^vbz+bez+vrb++=is
to ^in++++=to
this ^dt+dem+++=this
day ^nn++++=day
the ^ati++++=the
glory ^nn++++=glory
of ^in++++=of
Communipaw ^np+++??+=Communipaw.
. ^zz++++=EXTRAWORD
On ^in++++=On
the ^ati++++=the
other ^ap++++=other
hand ^nn++++=hand,
, ^zz++++=EXTRAWORD
the ^ati++++=the
shoe ^nn++++=shoe
of ^in++++=of
Peter ^np++++=Peter
Stuyvesant ^np+nom+++=Stuyvesant
being ^xvbg+++xvbg+=being
thrown ^vwbn+++xvbn+=thrown
into ^in++++=into
the ^ati++++=the
river ^nn++++=river,
, ^zz++++=EXTRAWORD
in ^in++++=in
front ^in"++++=front
of ^in"++++=of
the ^ati++++=the
house ^nn++++=house,
, ^zz++++=EXTRAWORD
gradually ^rb++++=gradually
hardened ^jj+++xvbn+=hardened
and ^cc+phrs+++=and
concreted ^jj+++xvbn+=concreted,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
became ^vbd+++xvbn+=became
covered ^vwbn+++xvbn+=covered
with ^in++++=with
barnacles ^nns+++??+=barnacles,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
at ^rb++++=at
length ^rb"++++=length
turned ^vbd+++xvbn+=turned
into ^in++++=into
a ^at++++=a
gigantic ^jj+atrb+++=gigantic
oyster ^nn++++=oyster;
; ^zz++++=EXTRAWORD
being ^vbg+beg++xvbg+=being
the ^ati++++=the
progenitor ^nn++++=progenitor
of ^in++++=of
