July ^nr++++=JULY
-- ^--+clp+++=EXTRAWORD
while ^cs+sub+++=EXTRAWORD
she ^pp3a+pp3+++=she
dwelt ^vbd+++xvbnx+=dwelt
on ^in+ppvb+++=on
the ^ati++++=the
magnitude ^nn++++=magnitude
of ^in++++=of
the ^ati++++=the
reward ^nn++++=reward
that ^tht+rel+obj++=that
I ^pp1a+pp1+++=I
should ^md+nec+++=should
receive ^vb++++=receive.
. ^zz++++=EXTRAWORD
Thus ^rb+cnj+++=Thus
encouraged ^vbd+++xvbn+=encouraged-shamed
- ^zz++++=EXTRAWORD
shamed ^vpsv++by+xvbn+=EXTRAWORD
by ^in++++=by
her ^pp$+pp3+++=her--led
-- ^--+clp+++=EXTRAWORD
led ^j+++xvbn+=EXTRAWORD
on ^in++++=on
by ^in++++=by
love ^nn++++=love
and ^cc++++=and
hope ^nn++++=hope,
, ^zz++++=EXTRAWORD
laughing ^vbg+++xvbg+=laughing
at ^in+ppvb+++=at
my ^pp$+pp1+++=my
late ^jj+atrb+++=late
fears ^nns++++=fears,
, ^zz++++=EXTRAWORD
with ^in++++=with
quick ^jj+atrb+++=quick
steps ^nns++++=steps
and ^cc++++=and
a ^at++++=a
light ^nn++++=light
heart ^nn++++=heart,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
returned ^vbd+++xvbnx+=returned
to ^to++++=to
accept ^vbi+vprv+++=accept
the ^ati++++=the
offers ^nn++++=offers
of ^in++++=of
the ^ati++++=the
alchymist ^nn+nom+++=alchymist,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
was ^vbd+bedz+aux++=was
instantly ^rb+tm+splt++=instantly
installed ^vpsv++agls+xvbnx+=installed
in ^in++++=in
my ^pp$+pp1+++=my
office ^nn++++=office.
. ^zz++++=EXTRAWORD
A ^at++++=A
year ^nn++++=year
passed ^vbd+++xvbn+=passed
away ^rp+pl+++=away.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
became ^vbd+++xvbnx+=became
possessed ^jj+++xvbn+=possessed
of ^in++++=of
no ^at++++=no
insignificant ^jj+atrb+++=insignificant
sum ^nn++++=sum
of ^in++++=of
money ^nn++++=money.
. ^zz++++=EXTRAWORD
Custom ^nn++++=Custom
had ^vbd+hvd+aux++=had
banished ^vprf+++xvbnx+=banished
my ^pp$+pp1+++=my
fears ^nns++++=fears.
. ^zz++++=EXTRAWORD
In ^in++++=In
spite ^in"++++=spite
of ^in"++++=of
the ^ati++++=the
most ^ql+emph+++=most
painful ^jj+atrb+++=painful
vigilance ^nn+nom+++=vigilance,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
had ^vb+hv+aux++=had
never ^rb++splt++=never
detected ^vprf+++xvbnx+=detected
the ^ati++++=the
trace ^nn++++=trace
of ^in++++=of
a ^at++++=a
cloven ^jj+atrb++xvbn+=cloven
foot ^nn++++=foot;
; ^zz++++=EXTRAWORD
nor ^cc+cls+neg++=nor
was ^vbd+bedz+vrb++=was
the ^ati++++=the
studious ^jj+atrb+++=studious
silence ^nn+nom+++=silence
of ^in++++=of
our ^pp$+pp1+++=our
abode ^nn++++=abode
ever ^rb++++=ever
disturbed ^vpsv++by+xvbn+=disturbed
by ^in++++=by
demoniac ^nn+++??+=demoniac
howls ^nns++++=howls.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
still ^rb++++=still
continued ^vbd+++xvbn+=continued
my ^pp$+pp1+++=my
stolen ^jj+atrb++xvbn+=stolen
interviews ^nns++++=interviews
with ^in++++=with
Bertha ^np+++??+=Bertha,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Hope ^nn++++=Hope
dawned ^vbd+++xvbn+=dawned
on ^in+ppvb+++=on
me ^pp1o+pp1+++=me--Hope--but
-- ^--+clp+++=EXTRAWORD
hope ^vb++++=EXTRAWORD
-- ^--+clp+++=EXTRAWORD
but ^cc+cls+++=EXTRAWORD
not ^xnot++not++=not
perfect ^jj+atrb+++=perfect
joy ^nn++++=joy;
; ^zz++++=EXTRAWORD
for ^in++++=for
Bertha ^np+++??+=Bertha
fancied ^vbd+++xvbn+=fancied
that ^tht+vcmp+++=that
love ^nn++++=love
and ^cc++++=and
security ^nn+nom+++=security
were ^vbd+bed+vrb++=were
enemies ^nns++++=enemies,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
her ^pp$+pp3+++=her
pleasure ^nn++++=pleasure
was ^vbd+bedz+aux++=was
to ^to++++=to
divide ^vbi++++=divide
them ^pp3o+pp3+++=them
in ^in++++=in
my ^pp$+pp1+++=my
bosom ^nn++++=bosom.
. ^zz++++=EXTRAWORD
Though ^cs+sub+++=Though
true ^jj++++=true
of ^in++++=of
heart ^nn++++=heart,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
was ^vbd+bedz+vrb++=was
somewhat ^rb+down+++=somewhat
of ^in++++=of
a ^at++++=a
coquette ^nn+nom+++=coquette
in ^in++++=in
manner ^nn++++=manner;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I
was ^vbd+bedz+vrb++=was
jealous ^jj+pred+++=jealous
as ^in++++=as
a ^at++++=a
Turk ^np+++??+=Turk.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
slighted ^vbd+++xvbnx+=slighted
me ^pp1o+pp1+++=me
in ^in++++=in
a ^at++++=a
thousand ^cd++++=thousand
ways ^nns++++=ways,
, ^zz++++=EXTRAWORD
yet ^rb++++=yet
would ^md+prd+++=would
never ^rb++splt++=never
acknowledge ^vb+vpub+++=acknowledge
herself ^ppl+pp3+++=herself
to ^to++++=to
be ^vbi++vrb++=be
in ^in++++=in
the ^ati++++=the
wrong ^nn++++=wrong.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
would ^md+prd+++=would
drive ^vb++++=drive
me ^pp1o+pp1+++=me
mad ^jj++++=mad
with ^in++++=with
anger ^nn++++=anger,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
then ^rn+tm+++=then
force ^nn++++=force
me ^pp1o+pp1+++=me
to ^to++++=to
beg ^vbi++++=beg
her ^pp$+pp3+++=her
pardon ^nn++++=pardon.
. ^zz++++=EXTRAWORD
Sometimes ^rb++++=Sometimes
she ^pp3a+pp3+++=she
fancied ^vbd+++xvbnx+=fancied
that ^tht+vcmp+++=that
I ^pp1a+pp1+++=I
was ^vbd+bedz+vrb++=was
not ^xnot++not++=not
sufficiently ^rb++++=sufficiently
submissive ^jj++++=submissive,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
then ^rn+tm+++=then
she ^pp3a+pp3+++=she
had ^vb+hv+vrb++=had
some ^dti++++=some
story ^nn++++=story
of ^in++++=of
a ^at++++=a
rival ^jjb++++=rival,
, ^zz++++=EXTRAWORD
favoured ^xvbn+++xvbn+=favoured
by ^in++++=by
her ^pp$+pp3+++=her
protectress ^nns+nom+++=protectress.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
was ^vbd+bedz+aux++=was
surrounded ^vpsv++by+xvbnx+=surrounded
by ^in++++=by
silk ^nn++++=silk-clad
- ^zz++++=EXTRAWORD
clad ^jj+atrb+++=EXTRAWORD
youths ^nns++++=youths--the
-- ^--+clp+++=EXTRAWORD
the ^ati++++=EXTRAWORD
rich ^jj++++=rich
and ^cc+phrs+++=and
gay ^jj++++=gay--What
-- ^--+clp+++=EXTRAWORD
what ^wdt+who+++=EXTRAWORD
chance ^nn++++=chance
had ^vb+hv+vrb++=had
the ^ati++++=the
sad ^jj++++=sad-robed
- ^zz++++=EXTRAWORD
robed ^jj+atrb++xvbn+=EXTRAWORD
scholar ^nn++++=scholar
of ^in++++=of
Cornelius ^np+++??+=Cornelius
compared ^vbd+++xvbn+=compared
with ^in++++=with
these ^dt+pdem+++=these?
? ^zz++++=EXTRAWORD
On ^in++++=On
one ^cd1++++=one
occasion ^nn++++=occasion,
, ^zz++++=EXTRAWORD
the ^ati++++=the
philosopher ^nn+nom+++=philosopher
made ^vbd+++xvbn+=made
such ^abl++++=such
large ^jj+atrb+++=large
demands ^nns++++=demands
upon ^in++++=upon
my ^pp$+pp1+++=my
time ^nn++++=time,
, ^zz++++=EXTRAWORD
that ^tht+vcmp+++=that
I ^pp1a+pp1+++=I
was ^vbd+bedz+vrb++=was
unable ^jj+pred+++=unable
to ^to+jcmp+++=to
meet ^vbi++++=meet
her ^pp$+pp3+++=her
as ^ql++++=as
I ^pp1a+pp1+++=I
was ^vbd+bedz+vrb++=was
wont ^nn++++=wont.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+aux++=was
engaged ^vpsv++agls+xvbnx+=engaged
in ^in++++=in
some ^dti++++=some
mighty ^ql++++=mighty
work ^vb++++=work,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I
was ^vbd+bedz+aux++=was
forced ^vpsv++agls+xvbnx+=forced
to ^to+vcmp+++=to
remain ^vbi++++=remain,
, ^zz++++=EXTRAWORD
day ^nn++++=day
and ^cc++++=and
night ^nn++++=night,
, ^zz++++=EXTRAWORD
feeding ^vbg+++xvbg+=feeding
his ^pp$+pp3+++=his
furnaces ^nns++++=furnaces
and ^cc++++=and
watching ^vbg+++xvbg+=watching
his ^pp$+pp3+++=his
chemical ^jj+atrb+++=chemical
preparations ^nns+nom+++=preparations.
. ^zz++++=EXTRAWORD
Bertha ^np+++??+=Bertha
waited ^vbd+++xvbn+=waited
for ^in++++=for
me ^pp1o+pp1+++=me
in ^rb++++=in
vain ^rb"++++=vain
at ^in++++=at
the ^ati++++=the
fountain ^nn++++=fountain.
. ^zz++++=EXTRAWORD
Her ^pp$+pp3+++=Her
haughty ^jj+atrb+++=haughty
spirit ^nn++++=spirit
fired ^vbd+++xvbn+=fired
at ^rb++++=at
this ^dt+dem+++=this
neglect ^nn++++=neglect;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
when ^wrb+who+++=when
at ^rb++++=at
last ^rb"++++=last
I ^pp1a+pp1+++=I
stole ^vbd+++xvbnx+=stole
out ^rp+pl+++=out
during ^in++++=during
the ^ati++++=the
few ^ap++++=few
short ^jj+atrb+++=short
minutes ^nns++++=minutes
allotted ^vbd+++xvbn+=allotted
to ^in++++=to
me ^pp1o+pp1+++=me
for ^in++++=for
slumber ^jjr++++=slumber,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
hoped ^vbd+vprv++xvbn+=hoped
to ^to+vcmp+++=to
be ^vbi+vbi+aux++=be
consoled ^vpsv++by+xvbnx+=consoled
by ^in++++=by
her ^pp$+pp3+++=her,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
received ^vbd+++xvbnx+=received
me ^pp1o+pp1+++=me
with ^in++++=with
disdain ^nn++++=disdain,
, ^zz++++=EXTRAWORD
dismissed ^j+++xvbn+=dismissed
me ^pp1o+pp1+++=me
in ^in++++=in
scorn ^nn++++=scorn,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
vowed ^vbd+++xvbn+=vowed
that ^tht+vcmp+++=that
any ^dti++++=any
man ^nn++++=man
should ^md+nec+++=should
possess ^nns+nom+++=possess
her ^pp$+pp3+++=her
hand ^nn++++=hand
rather ^rb++++=rather
than ^cs+sub+++=than
he ^pp3a+pp3+++=he
who ^whp+who+++=who
could ^md+pos+++=could
not ^xnot++not++=not
be ^vb+be+vrb++=be
in ^in++++=in
two ^cd++++=two
places ^nns++++=places
at ^rb++++=at
once ^rb"+tm+++=once
for ^in++++=for
her ^pp$+pp3+++=her
sake ^nn++++=sake.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
would ^md+prd+++=would
be ^vb+be+vrb++=be
revenged! ^nn+++??+=revenged!--And
-- ^--+clp+++=EXTRAWORD
and ^cc+cls+++=EXTRAWORD
truly ^rb++++=truly
she ^pp3a+pp3+++=she
was ^vbd+bedz+vrb++=was.
. ^zz++++=EXTRAWORD
In ^in++++=In
my ^pp$+pp1+++=my
dingy ^jj+atrb+++=dingy
retreat ^nn++++=retreat
I ^pp1a+pp1+++=I
heard ^vbd+vprv++xvbnx+=heard
that ^tht+vcmp+++=that
she ^pp3a+pp3+++=she
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
hunting ^vbg+++xvbgx+=hunting,
, ^zz++++=EXTRAWORD
attended ^xvbn+++xvbn+=attended
by ^in++++=by
Albert ^np++++=Albert
Hoffer ^np+++??+=Hoffer.
. ^zz++++=EXTRAWORD
Albert ^np++++=Albert
Hoffer ^np+++??+=Hoffer
was ^vbd+bedz+aux++=was
favoured ^vpsv++by+xvbnx+=favoured
by ^in++++=by
her ^pp$+pp3+++=her
protectress ^nns+nom+++=protectress,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
three ^cd++++=three
passed ^vbd+++xvbn+=passed
in ^in++++=in
cavalcade ^nn+++??+=cavalcade
before ^in++++=before
my ^pp$+pp1+++=my
smoky ^jj+atrb+++=smoky
window ^nn++++=window.
. ^zz++++=EXTRAWORD
Me ^pp1o+pp1+++=Methought
thought ^vbd+++xvbn+=EXTRAWORD
that ^tht+vcmp+++=that
they ^pp3a+pp3+++=they
mentioned ^vbd+vpub+tht0+xvbnx+=mentioned
my ^pp$+pp1+++=my
name ^nn++++=name--it
-- ^--+clp+++=EXTRAWORD
it ^pp3+it+++=EXTRAWORD
was ^vbd+bedz+aux++=was
followed ^vpsv++by+xvbnx+=followed
by ^in++++=by
a ^at++++=a
laugh ^nn++++=laugh
of ^in++++=of
derision ^nn++++=derision,
, ^zz++++=EXTRAWORD
as ^cs+sub+++=as
her ^pp3o+pp3+++=her
dark ^jj+atrb+++=dark
eyes ^nns++++=eyes
glanced ^vbd+++xvbn+=glanced
contemptuously ^rb++++=contemptuously
towards ^in++++=towards
my ^pp$+pp1+++=my
abode ^nn++++=abode.
. ^zz++++=EXTRAWORD
Jealousy ^nn++++=Jealousy,
, ^zz++++=EXTRAWORD
with ^in++++=with
all ^abn++++=all
its ^pp$+it+++=its
venom ^nn++++=venom,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
all ^rb++++=all
its ^pp$+it+++=its
misery ^nn++++=misery,
, ^zz++++=EXTRAWORD
entered ^j+++xvbn+=entered
my ^pp$+pp1+++=my
breast ^nn++++=breast.
. ^zz++++=EXTRAWORD
Now ^rn+dspt+++=Now
I ^pp1a+pp1+++=I
shed ^vbd+++xvbnx+=shed
a ^at++++=a
torrent ^nn++++=torrent
of ^in++++=of
tears ^nns++++=tears,
, ^zz++++=EXTRAWORD
to ^to++++=to
think ^vbi+vprv+++=think
that ^tht+vcmp+++=that
I ^pp1a+pp1+++=I
should ^md+nec+++=should
never ^rb++++=never
call ^nn++++=call
her ^pp3o+pp3+++=her
mine ^pp$$++++=mine;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and,
, ^zz++++=EXTRAWORD
anon ^nn+++??+=anon,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
imprecated ^vbd+++xvbnx+=imprecated
a ^at++++=a
thousand ^cd++++=thousand
curses ^nns++++=curses
on ^rp++++=on
her ^pp3o+pp3+++=her
inconstancy ^nn+++??+=inconstancy.
. ^zz++++=EXTRAWORD
Yet ^rb+cnj+++=Yet,
, ^zz++++=EXTRAWORD
still ^rb++++=still
I ^pp1a+pp1+++=I
must ^md+nec+++=must
stir ^vb++++=stir
the ^ati++++=the
fires ^nns++++=fires
of ^in++++=of
the ^ati++++=the
alchymist ^nn+nom+++=alchymist,
, ^zz++++=EXTRAWORD
still ^rb++++=still
attend ^vb++++=attend
on ^in++++=on
the ^ati++++=the
changes ^nns++++=changes
of ^in++++=of
his ^pp$+pp3+++=his
unintelligible ^jj+atrb+++=unintelligible
medicines ^nns++++=medicines.
. ^zz++++=EXTRAWORD
Cornelius ^np+++??+=Cornelius
had ^vbd+hvd+aux++=had
watched ^vprf+++xvbnx+=watched
for ^in+ppvb+++=for
three ^cd++++=three
days ^nns++++=days
and ^cc++++=and
nights ^nns++++=nights,
, ^zz++++=EXTRAWORD
nor ^cc+cls+neg++=nor
closed ^vbd+++xvbn+=closed
his ^pp$+pp3+++=his
eyes ^nns++++=eyes.
. ^zz++++=EXTRAWORD
The ^ati++++=The
progress ^nns+nom+++=progress
of ^in++++=of
his ^pp$+pp3+++=his
alembics ^nns++++=alembics
was ^vbd+bedz+vrb++=was
slower ^jjr+pred+++=slower
than ^in++++=than
he ^pp3a+pp3+++=he
expected ^vbd+vprv++xvbnx+=expected:
: ^zz++++=EXTRAWORD
in ^in++++=in
spite ^in"++++=spite
of ^in"++++=of
his ^pp$+pp3+++=his
anxiety ^nn++++=anxiety,
, ^zz++++=EXTRAWORD
sleep ^vb++++=sleep
weighed ^vbd+++xvbn+=weighed
upon ^in++++=upon
his ^pp$+pp3+++=his
eyelids ^nns++++=eyelids.
. ^zz++++=EXTRAWORD
Again ^rb+tm+++=Again
and ^cc+phrs+++=and
again ^rb+tm+++=again
he ^pp3a+pp3+++=he
threw ^vbd+++xvbnx+=threw
off ^rb+phrv+++=off
drowsiness ^nns+nom+++=drowsiness
with ^in++++=with
more ^rbr++++=more
than ^in++++=than
human ^jj+atrb+++=human
energy ^nn++++=energy;
; ^zz++++=EXTRAWORD
again ^rb+tm+++=again
and ^cc+phrs+++=and
again ^rb+tm+++=again
it ^pp3+it+++=it
stole ^vbd+++xvbn+=stole
away ^rp+pl+++=away
his ^pp$+pp3+++=his
senses ^nns++++=senses.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
eyed ^vbd+++xvbnx+=eyed
his ^pp$+pp3+++=his
crucibles ^nns+++??+=crucibles
wistfully ^rb++++=wistfully.
. ^zz++++=EXTRAWORD
" ^zz++++="Not
not ^xnot++not++=EXTRAWORD
ready ^jj++++=ready
yet ^rb+cnj+++=yet,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
murmured ^vbd+++xvbnx+=murmured;
; ^zz++++=EXTRAWORD
" ^zz++++="will
will ^md+prd+++=EXTRAWORD
another ^dt++++=another
night ^nn++++=night
pass ^vb++++=pass
before ^cs+sub+++=before
the ^ati++++=the
work ^nn++++=work
is ^vbz+bez+aux++=is
accomplished ^vpsv++agls+xvbnx+=accomplished?
? ^zz++++=EXTRAWORD
Winzy ^np+++??+=Winzy,
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
are ^vb+ber+vrb++=are
vigilant ^nn+nom+++=vigilant--you
-- ^--+clp+++=EXTRAWORD
you ^pp2+pp2+++=EXTRAWORD
are ^vb+ber+vrb++=are
faithful ^jj+pred+++=faithful--you
-- ^--+clp+++=EXTRAWORD
you ^pp2+pp2+++=EXTRAWORD
have ^vb+hv+aux++=have
slept ^vprf+++xvbnx+=slept,
, ^zz++++=EXTRAWORD
my ^pp$+pp1+++=my
boy ^nn++++=boy--you
-- ^--+clp+++=EXTRAWORD
you ^pp2+pp2+++=EXTRAWORD
slept ^vbd+++xvbn+=slept
last ^rb++++=last
night ^nn++++=night.
. ^zz++++=EXTRAWORD
Look ^vb++++=Look
at ^rb++++=at
that ^dt+dem+++=that
glass ^nn++++=glass
vessel ^nn++++=vessel.
. ^zz++++=EXTRAWORD
The ^ati++++=The
liquid ^nn++++=liquid
it ^pp3+it+++=it
contains ^vbz++++=contains
is ^vbz+bez+vrb++=is
of ^in++++=of
a ^at++++=a
soft ^nn++++=soft
rose ^vbd+++xvbn+=rose-colour:
- ^zz++++=EXTRAWORD
colour ^nn++++=EXTRAWORD
: ^zz++++=EXTRAWORD
the ^ati++++=the
moment ^nn++++=moment
it ^pp3+it+++=it
begins ^vbz++++=begins
to ^to++++=to
change ^vbi++++=change
its ^pp$+it+++=its
hue ^nn++++=hue,
, ^zz++++=EXTRAWORD
awaken ^vb++++=awaken
me ^pp1o+pp1+++=me--till
-- ^--+clp+++=EXTRAWORD
till ^cs+sub+++=EXTRAWORD
then ^rn+tm+++=then
I ^pp1a+pp1+++=I
may ^md+pos+++=may
close ^jj++++=close
my ^pp$+pp1+++=my
eyes ^nns++++=eyes.
. ^zz++++=EXTRAWORD
First ^rb+cnj+++=First,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
will ^md+prd+++=will
turn ^vb++++=turn
white ^jj++++=white,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
then ^rn+tm+++=then
emit ^vb++++=emit
golden ^jj+atrb+++=golden
flashes ^nns++++=flashes;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
wait ^vb++++=wait
not ^xnot++not++=not
till ^in++++=till
then ^rn+tm+++=then;
; ^zz++++=EXTRAWORD
when ^wrb+who+++=when
the ^ati++++=the
rose ^vbd+++xvbn+=rose-colour
- ^zz++++=EXTRAWORD
colour ^nn++++=EXTRAWORD
fades ^nns+++??+=fades,
, ^zz++++=EXTRAWORD
rouse ^np++++=rouse
me ^pp1o+pp1+++=me."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
scarcely ^rb+down+++=scarcely
heard ^vbd+vprv++xvbn+=heard
the ^ati++++=the
last ^jj+atrb+++=last
words ^nns++++=words,
, ^zz++++=EXTRAWORD
muttered ^j+++xvbn+=muttered,
, ^zz++++=EXTRAWORD
as ^ql++++=as
they ^pp3a+pp3+++=they
were ^vbd+bed+vrb++=were,
, ^zz++++=EXTRAWORD
in ^in++++=in
sleep ^nn++++=sleep.
. ^zz++++=EXTRAWORD
Even ^rb++++=Even
then ^rn+tm+++=then
he ^pp3a+pp3+++=he
did ^vbd+dod+aux++=did
not ^xnot++not++=not
quite ^rb++++=quite
yield ^vb++++=yield
to ^in++++=to
nature ^nn++++=nature.
. ^zz++++=EXTRAWORD
" ^zz++++="Winzy,
winzy ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
my ^pp$+pp1+++=my
boy ^nn++++=boy,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
again ^rb+tm+++=again
said ^vbd+vpub++xvbn+=said,
, ^zz++++=EXTRAWORD
" ^zz++++="do
do ^vb+do+aux++=EXTRAWORD
not ^xnot++not++=not
touch ^vb++++=touch
the ^ati++++=the
vessel ^nn++++=vessel--do
-- ^--+clp+++=EXTRAWORD
do ^vb+do+aux++=EXTRAWORD
not ^xnot++not++=not
put ^vb+++xvbn+=put
it ^pp3+it+++=it
to ^in++++=to
your ^pp$+pp2+++=your
lips ^nns++++=lips;
; ^zz++++=EXTRAWORD
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
a ^at++++=a
philter ^jjr++++=philter--a
-- ^--+clp+++=EXTRAWORD
a ^at++++=EXTRAWORD
philter ^jjr++++=philter
to ^to++++=to
cure ^vbi++++=cure
love ^nn++++=love;
; ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
would ^md+prd+++=would
not ^xnot++not++=not
cease ^vb++++=cease
to ^in++++=to
love ^nn++++=love
your ^pp$+pp2+++=your
Bertha ^np+++??+=Bertha--beware
-- ^--+clp+++=EXTRAWORD
beware ^vb++++=EXTRAWORD
to ^to++++=to
drink ^vbi++++=drink!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
And ^cc++++=And
he ^pp3a+pp3+++=he
slept ^vbd+++xvbnx+=slept.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
venerable ^jj++++=venerable
head ^jjb++++=head
sunk ^vprf+++xvbn+=sunk
on ^in++++=on
his ^pp$+pp3+++=his
breast ^nn++++=breast,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I
scarce ^jj++++=scarce
heard ^vbd+vprv+tht0+xvbn+=heard
his ^pp$+pp3+++=his
regular ^jj+atrb+++=regular
breathing ^nvbg+++xvbg+=breathing.
. ^zz++++=EXTRAWORD
For ^in++++=For
a ^ap++++=a
few ^ap"++++=few
minutes ^nns++++=minutes
I ^pp1a+pp1+++=I
watched ^vbd+++xvbnx+=watched
the ^ati++++=the
vessel ^nn++++=vessel--the
-- ^--+clp+++=EXTRAWORD
the ^ati++++=EXTRAWORD
rosy ^jj+atrb+++=rosy
hue ^nn++++=hue
of ^in++++=of
the ^ati++++=the
liquid ^nn++++=liquid
remained ^vbd+++xvbn+=remained
unchanged ^jj++++=unchanged.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
my ^pp$+pp1+++=my
thoughts ^nns++++=thoughts
wandered ^vbd+++xvbn+=wandered
-- ^--+clp+++=--they
they ^pp3a+pp3+++=EXTRAWORD
visited ^vbd+++xvbnx+=visited
the ^ati++++=the
fountain ^nn++++=fountain,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
dwelt ^vpsv++agls+xvbn+=dwelt
on ^in+ppvb+++=on
a ^at++++=a
thousand ^cd++++=thousand
charming ^jj+atrb++xvbg+=charming
scenes ^nns++++=scenes
never ^rb++++=never
to ^to++++=to
be ^vbi+vbi+aux++=be
renewed ^vpsv++agls+xvbnx+=renewed--never!
-- ^--+clp+++=EXTRAWORD
never ^rb++++=EXTRAWORD
! ^zz++++=EXTRAWORD
Serpents ^nns++++=Serpents
and ^cc++++=and
adders ^nn++++=adders
were ^vbd+bed+vrb++=were
in ^in++++=in
my ^pp$+pp1+++=my
heart ^nn++++=heart
as ^in++++=as
the ^ati++++=the
word ^nn++++=word
" ^zz++++="Never!"
never ^rb++++=EXTRAWORD
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
half ^abn++++=half
formed ^jj+++xvbn+=formed
itself ^ppl++++=itself
on ^in++++=on
my ^pp$+pp1+++=my
lips ^nns++++=lips.
. ^zz++++=EXTRAWORD
False ^jj+atrb+++=False
girl! ^nn+++??+=girl!--false
-- ^--+clp+++=EXTRAWORD
false ^jj++++=EXTRAWORD
and ^cc+phrs+++=and
cruel ^jj++++=cruel!
! ^zz++++=EXTRAWORD
Never ^rb++++=Never
more ^ql++++=more
would ^md+prd+++=would
she ^pp3a+pp3+++=she
smile ^nn++++=smile
on ^rp++++=on
me ^pp1o+pp1+++=me
as ^ql++++=as
that ^dt+dem+++=that
evening ^nn++++=evening
she ^pp3a+pp3+++=she
smiled ^vbd+++xvbnx+=smiled
on ^in+ppvb+++=on
Albert ^np++++=Albert.
. ^zz++++=EXTRAWORD
Worthless ^jj+atrb+++=Worthless,
, ^zz++++=EXTRAWORD
detested ^jj+atrb++xvbn+=detested
woman ^nn++++=woman!
! ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
would ^md+prd+++=would
not ^xnot++not++=not
remain ^vb++++=remain
unrevenged ^jj+++xvbn+=unrevenged--she
-- ^--+clp+++=EXTRAWORD
she ^pp3a+pp3+++=EXTRAWORD
should ^md+nec+++=should
see ^vb+vprv+tht0++=see
Albert ^np++++=Albert
expire ^vb++++=expire
at ^rb++++=at
her ^pp3o+pp3+++=her
feet ^nns++++=feet--she
-- ^--+clp+++=EXTRAWORD
she ^pp3a+pp3+++=EXTRAWORD
should ^md+nec+++=should
die ^vb++++=die
beneath ^in+pl+++=beneath
my ^pp$+pp1+++=my
vengeance ^nn+nom+++=vengeance.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
had ^vbd+hvd+aux++=had
smiled ^vprf+++xvbnx+=smiled
in ^in++++=in
disdain ^nn++++=disdain
and ^cc++++=and
triumph ^nn++++=triumph--she
-- ^--+clp+++=EXTRAWORD
she ^pp3a+pp3+++=EXTRAWORD
knew ^vbd+vprv+tht0+xvbnx+=knew
my ^pp$+pp1+++=my
wretchedness ^nns+nom+++=wretchedness
and ^cc++++=and
her ^pp$+pp3+++=her
power ^nn++++=power.
. ^zz++++=EXTRAWORD
