Of ^in++++=Of
rudimentary ^jj+atrb+++=rudimentary
wings ^nns++++=wings;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
the ^ati++++=the
general ^jj+atrb+++=general
outline ^nn++++=outline
of ^in++++=of
the ^ati++++=the
whole ^nn++++=whole
which ^whp+rel+subj++=which
made ^vprf+++xvbn+=made
it ^pp3+it+++=it
most ^ql+emph+++=most
shockingly ^rb++++=shockingly
frightful ^jj++++=frightful.
. ^zz++++=EXTRAWORD
Behind ^in+pl+++=Behind
the ^ati++++=the
figure ^nn++++=figure
was ^vbd+bedz+vrb++=was
a ^at++++=a
vague ^jj+atrb+++=vague
suggestion ^nn+nom+++=suggestion
of ^in++++=of
a ^at++++=a
Cyclopean ^np+nom++??+=Cyclopean
architectural ^jj+atrb+++=architectural
background ^nn++++=background.
. ^zz++++=EXTRAWORD
The ^ati++++=The
writing ^jj+++xvbg+=writing
accompanying ^jj+++xvbg+=accompanying
this ^dt+dem+++=this
oddity ^nn++++=oddity
was ^vbd+bedz+vrb++=was,
, ^zz++++=EXTRAWORD
aside ^rp++++=aside
from ^in++++=from
a ^at++++=a
stack ^nn++++=stack
of ^in++++=of
press ^nn++++=press
cuttings ^nns++++=cuttings,
, ^zz++++=EXTRAWORD
in ^in++++=in
Professor ^npt++++=Professor
Angell ^np++++=Angell's
's ^$++++=EXTRAWORD
most ^ql+emph+++=most
recent ^jj+atrb+++=recent
hand ^nn++++=hand;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
made ^vprf+++xvbn+=made
no ^at++++=no
pretension ^nn++++=pretension
to ^in++++=to
literary ^jj+atrb+++=literary
style ^nn++++=style.
. ^zz++++=EXTRAWORD
What ^wdt+who+++=What
seemed ^vbd+seem++xvbn+=seemed
to ^to+vcmp+++=to
be ^vbi++vrb++=be
the ^ati++++=the
main ^jjb+atrb+++=main
document ^nn+nom+++=document
was ^vbd+bedz+aux++=was
headed ^vpsv++agls+xvbnx+=headed
" ^zz++++="CTHULHU
cthulhu ^nn+++??+=EXTRAWORD
Cult ^nn++++=CULT"
" ^zz++++=EXTRAWORD
in ^in++++=in
characters ^nns+nom+++=characters
painstakingly ^rb++++=painstakingly
printed ^jj+++xvbn+=printed
to ^to++++=to
avoid ^vbi++++=avoid
the ^ati++++=the
erroneous ^jj++++=erroneous
reading ^jj+++xvbg+=reading
of ^in++++=of
a ^at++++=a
word ^nn++++=word
so ^rb+emph+++=so
unheard ^jj++++=unheard-of.
- ^zz++++=EXTRAWORD
of ^in+strn+++=EXTRAWORD
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
manuscript ^nn++++=manuscript
was ^vbd+bedz+aux++=was
divided ^vpsv++agls+xvbnx+=divided
into ^in++++=into
two ^cd++++=two
sections ^nns+nom+++=sections,
, ^zz++++=EXTRAWORD
the ^ati++++=the
first ^rb++++=first
of ^in++++=of
which ^whp+rel+pied++=which
was ^vbd+bedz+aux++=was
headed ^vpsv++agls+xvbnx+=headed
" ^zz++++="1925
1925 ^cd+date+++=EXTRAWORD
Dream ^nn++++=Dream
and ^cc++++=and
Dream ^nn++++=Dream
Work ^nn++++=Work
of ^in++++=of
H ^zz++++=H.
. ^zz++++=EXTRAWORD
A ^at++++=A.
. ^zz++++=EXTRAWORD
Wilcox ^np++++=Wilcox,
, ^zz++++=EXTRAWORD
7 ^zz++++=7
Thomas ^np++++=Thomas
St ^npl++++=St.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
Providence ^np+nom++??+=Providence,
, ^zz++++=EXTRAWORD
R ^zz++++=R.
. ^zz++++=EXTRAWORD
I. ^np+++??+=I.",
" ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
second ^rb+cnj+++=second,
, ^zz++++=EXTRAWORD
" ^zz++++="Narrative
narrative ^nn++++=EXTRAWORD
of ^in++++=of
Inspector ^nn++++=Inspector
John ^np++++=John
R ^zz++++=R.
. ^zz++++=EXTRAWORD
Legrasse ^np+++??+=Legrasse,
, ^zz++++=EXTRAWORD
121 ^cd++++=121
Bienville ^np+++??+=Bienville
St ^npl++++=St.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
New ^jj+atrb+++=New
Orleans ^nns+nom++??+=Orleans,
, ^zz++++=EXTRAWORD
La ^&fw++++=La.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
at ^rb++++=at
1908 ^cd+date+++=1908
A ^at++++=A.
. ^zz++++=EXTRAWORD
A ^at++++=A.
. ^zz++++=EXTRAWORD
S ^zz++++=S.
. ^zz++++=EXTRAWORD
Mtg ^np+++??+=Mtg.
. ^zz++++=EXTRAWORD
Notes ^nns++++=Notes
on ^in++++=on
Same ^ap++++=Same,
, ^zz++++=EXTRAWORD
& ^zz++++=&
Prof ^npt++++=Prof.
. ^zz++++=EXTRAWORD
Webb ^np++++=Webb's
's ^$++++=EXTRAWORD
Acct ^np+++??+=Acct."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
The ^ati++++=The
other ^ap++++=other
manuscript ^nn++++=manuscript
papers ^nns++++=papers
were ^vbd+bed+vrb++=were
all ^abn++++=all
brief ^jj+atrb+++=brief
notes ^nns++++=notes,
, ^zz++++=EXTRAWORD
some ^dti++++=some
of ^in++++=of
them ^pp3o+pp3+++=them
accounts ^nns++++=accounts
of ^in++++=of
the ^ati++++=the
queer ^jj+atrb+++=queer
dreams ^nps++++=dreams
of ^in++++=of
different ^jj+atrb+++=different
persons ^nns++++=persons,
, ^zz++++=EXTRAWORD
some ^dti++++=some
of ^in++++=of
them ^pp3o+pp3+++=them
citations ^nns+nom+++=citations
from ^in++++=from
theosophical ^jj+atrb+++=theosophical
books ^nns++++=books
and ^cc++++=and
magazines ^nns++++=magazines
( ^zz++++=(notably
notably ^rb++++=EXTRAWORD
W ^zz++++=W.
. ^zz++++=EXTRAWORD
Scott-elliot ^np++++=Scott-Elliot's
's ^$++++=EXTRAWORD
Atlantis ^np+++??+=Atlantis
and ^cc++++=and
the ^ati++++=the
Lost ^xvbn+++xvbn+=Lost
Lemuria ^np+++??+=Lemuria),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
rest ^nn++++=rest
comments ^nns+nom+++=comments
on ^in++++=on
long ^jj++++=long-surviving
- ^zz++++=EXTRAWORD
surviving ^vbg+++xvbg+=EXTRAWORD
secret ^nn++++=secret
societies ^nns++++=societies
and ^cc++++=and
hidden ^xvbn+++xvbn+=hidden
cults ^nns++++=cults,
, ^zz++++=EXTRAWORD
with ^in++++=with
references ^nns+nom+++=references
to ^in++++=to
passages ^nns+nom+++=passages
in ^in++++=in
such ^abl++++=such
mythological ^jj+atrb+++=mythological
and ^cc+phrs+++=and
anthropological ^jj+atrb+++=anthropological
source ^nn++++=source-books
- ^zz++++=EXTRAWORD
books ^nns++++=EXTRAWORD
as ^ql++++=as
Frazer ^np++++=Frazer's
's ^$++++=EXTRAWORD
Golden ^jj+atrb+++=Golden
Bough ^nn++++=Bough
and ^cc++++=and
Miss ^npt++++=Miss
Murray ^np++++=Murray's
's ^$++++=EXTRAWORD
Witch ^nn++++=Witch-Cult
- ^zz++++=EXTRAWORD
cult ^nn++++=EXTRAWORD
in ^in++++=in
Western ^jj+atrb+++=Western
Europe ^np++++=Europe.
. ^zz++++=EXTRAWORD
The ^ati++++=The
cuttings ^nns++++=cuttings
largely ^rb++++=largely
alluded ^vprf+++xvbn+=alluded
to ^in++++=to
outr ^jj+atrb++??+=outr
mental ^jj+atrb+++=mental
illness ^nns+nom+++=illness
and ^cc++++=and
outbreaks ^nns++++=outbreaks
of ^in++++=of
group ^nn++++=group
folly ^nn++++=folly
or ^cc++++=or
mania ^nn++++=mania
in ^in++++=in
the ^ati++++=the
spring ^nn++++=spring
of ^in++++=of
1925 ^cd+date+++=1925.
. ^zz++++=EXTRAWORD
The ^ati++++=The
first ^rb++++=first
half ^abn++++=half
of ^in++++=of
the ^ati++++=the
principal ^jjb+atrb+++=principal
manuscript ^nn++++=manuscript
told ^vbd+vpub++xvbn+=told
a ^at++++=a
very ^ql+amp+++=very
peculiar ^jj+atrb+++=peculiar
tale ^nn++++=tale.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
appears ^vbz+seem+++=appears
that ^tht+vcmp+++=that
on ^rp++++=on
1 ^zz++++=1
March ^nn++++=March
1925 ^cd+date+++=1925,
, ^zz++++=EXTRAWORD
a ^at++++=a
thin ^jj++++=thin,
, ^zz++++=EXTRAWORD
dark ^jj+atrb+++=dark
young ^jj+atrb+++=young
man ^nn++++=man
of ^in++++=of
neurotic ^jj+atrb+++=neurotic
and ^cc+phrs+++=and
excited ^jj+atrb++xvbn+=excited
aspect ^nn++++=aspect
had ^vbd+hvd+aux++=had
called ^vprf+++xvbnx+=called
upon ^in++++=upon
Professor ^npt++++=Professor
Angell ^np+++??+=Angell
bearing ^vwbg+++xvbg+=bearing
the ^ati++++=the
singular ^nn++++=singular
clay ^nn++++=clay
bas ^nns+++??+=bas-relief,
- ^zz++++=EXTRAWORD
relief ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
was ^vbd+bedz+vrb++=was
then ^rn+tm+++=then
exceedingly ^rb++++=exceedingly
damp ^jj++++=damp
and ^cc+phrs+++=and
fresh ^jj++++=fresh.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
card ^nn++++=card
bore ^vbd+++xvbn+=bore
the ^ati++++=the
name ^nn++++=name
of ^in++++=of
Henry ^np++++=Henry
Anthony ^np++++=Anthony
Wilcox ^np++++=Wilcox,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
my ^pp$+pp1+++=my
uncle ^nn++++=uncle
had ^vbd+hvd+aux++=had
recognized ^vprf+++xvbnx+=recognized
him ^pp3o+pp3+++=him
as ^in++++=as
the ^ati++++=the
youngest ^jjt+atrb+++=youngest
son ^nn++++=son
of ^in++++=of
an ^at++++=an
excellent ^jj+atrb+++=excellent
family ^nn++++=family
slightly ^rb+down+++=slightly
known ^vbd+vprv++xvbn+=known
to ^to+vcmp+++=to
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
had ^vb+hv+aux++=had
latterly ^rb++splt++=latterly
been ^vprf+ben+aux+xvbnx+=been
studying ^vbg+++xvbgx+=studying
sculpture ^nn++++=sculpture
at ^in++++=at
the ^ati++++=the
Rhode ^np+++??+=Rhode
Island ^nn++++=Island
School ^nn++++=School
of ^in++++=of
Design ^nn++++=Design
and ^cc++++=and
living ^jj+++xvbg+=living
alone ^rb++++=alone
at ^rb++++=at
the ^ati++++=the
Fleur ^np+++??+=Fleur-de-Lys
- ^zz++++=EXTRAWORD
de ^&fw++++=EXTRAWORD
- ^zz++++=EXTRAWORD
lys ^np++++=EXTRAWORD
Building ^vwbg+++xvbg+=Building
near ^in+pl+++=near
that ^dt+dem+++=that
institution ^nn+nom+++=institution.
. ^zz++++=EXTRAWORD
Wilcox ^np++++=Wilcox
was ^vbd+bedz+vrb++=was
a ^at++++=a
precocious ^jj+atrb+++=precocious
youth ^nn++++=youth
of ^in++++=of
known ^jj+atrb++xvbn+=known
genius ^nn++++=genius
but ^cc++++=but
great ^jj+atrb+++=great
eccentricity ^nn+nom+++=eccentricity,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
had ^vb+hv+vrb++=had
from ^in++++=from
childhood ^nn+nom+++=childhood
excited ^vbd+++xvbn+=excited
attention ^nn+nom+++=attention
through ^in++++=through
the ^ati++++=the
strange ^jj+atrb+++=strange
stories ^nns++++=stories
and ^cc++++=and
odd ^jj+atrb+++=odd
dreams ^nps++++=dreams
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
in ^in++++=in
the ^ati++++=the
habit ^nn++++=habit
of ^in++++=of
relating ^xvbg+++xvbg+=relating.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
called ^vbd+++xvbnx+=called
himself ^ppl+pp3+++=himself
" ^zz++++="psychically
psychically ^rb++++=EXTRAWORD
hypersensitive ^jj++++=hypersensitive",
" ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
the ^ati++++=the
staid ^jj++++=staid
folk ^jjb++++=folk
of ^in++++=of
the ^ati++++=the
ancient ^jj+atrb+++=ancient
commercial ^jj+atrb+++=commercial
city ^npl++++=city
dismissed ^vbd+++xvbn+=dismissed
him ^pp3o+pp3+++=him
as ^in++++=as
merely ^rb+down+++=merely
" ^zz++++="queer".
queer ^jj++++=EXTRAWORD
" ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Never ^rb++++=Never
mingling ^vbg+nom++xvbg+=mingling
much ^rb++++=much
with ^in++++=with
his ^pp$+pp3+++=his
kind ^nn++++=kind,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
dropped ^vprf+++xvbnx+=dropped
gradually ^rb++++=gradually
from ^in++++=from
social ^jj+atrb+++=social
visibility ^nn+nom+++=visibility,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
was ^vbd+bedz+aux++=was
now ^rn+tm+splt++=now
known ^vpsv++agls+xvbnx+=known
only ^rb+down+++=only
to ^in++++=to
a ^at++++=a
small ^jj+atrb+++=small
group ^nn++++=group
of ^in++++=of
aesthetes ^nns+++??+=aesthetes
from ^in++++=from
other ^ap++++=other
towns ^nns++++=towns.
. ^zz++++=EXTRAWORD
Even ^rb++++=Even
the ^ati++++=the
Providence ^np+nom++??+=Providence
Art ^nn++++=Art
Club ^nn++++=Club,
, ^zz++++=EXTRAWORD
anxious ^jj++++=anxious
to ^to+jcmp+++=to
preserve ^vbi++++=preserve
its ^pp$+it+++=its
conservatism ^nn+nom+++=conservatism,
, ^zz++++=EXTRAWORD
had ^vbd+hvd+aux++=had
found ^vprf+++xvbnx+=found
him ^pp3o+pp3+++=him
quite ^rb++++=quite
hopeless ^jj++++=hopeless.
. ^zz++++=EXTRAWORD
On ^in++++=On
the ^ati++++=the
occasion ^nn++++=occasion
of ^in++++=of
the ^ati++++=the
visit ^nn++++=visit,
, ^zz++++=EXTRAWORD
ran ^j+++xvbn+=ran
the ^ati++++=the
professor ^nn++++=professor's
's ^$++++=EXTRAWORD
manuscript ^nn++++=manuscript,
, ^zz++++=EXTRAWORD
the ^ati++++=the
sculptor ^nn++++=sculptor
abruptly ^rb++++=abruptly
asked ^vbd+vsua++xvbn+=asked
for ^in+ppvb+++=for
the ^ati++++=the
benefit ^nn++++=benefit
of ^in++++=of
his ^pp$+pp3+++=his
host ^nn++++=host's
's ^vbz+bez+vrb++0=EXTRAWORD
archaeological ^jj+atrb+++=archaeological
knowledge ^nn++++=knowledge
in ^in++++=in
identifying ^xvbg+++xvbg+=identifying
the ^ati++++=the
hieroglyphics ^nns++++=hieroglyphics
on ^in++++=on
the ^ati++++=the
bas ^nns+++??+=bas-relief.
- ^zz++++=EXTRAWORD
relief ^nn++++=EXTRAWORD
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
spoke ^vbd+++xvbnx+=spoke
in ^in++++=in
a ^at++++=a
dreamy ^jj+atrb+++=dreamy,
, ^zz++++=EXTRAWORD
stilted ^jj+atrb++xvbn+=stilted
manner ^nn++++=manner
which ^whp+rel+subj++=which
suggested ^vbd+vpub++xvbn+=suggested
pose ^nn++++=pose
and ^cc++++=and
alienated ^xvbn+++xvbn+=alienated
sympathy ^nn++++=sympathy;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
my ^pp$+pp1+++=my
uncle ^nn++++=uncle
showed ^vbd+vprv++xvbn+=showed
some ^dti++++=some
sharpness ^nns+nom+++=sharpness
in ^in++++=in
replying ^xvbg+++xvbg+=replying,
, ^zz++++=EXTRAWORD
for ^in++++=for
the ^ati++++=the
conspicuous ^jj+atrb+++=conspicuous
freshness ^nns+nom+++=freshness
of ^in++++=of
the ^ati++++=the
tablet ^nn++++=tablet
implied ^vbd+++xvbn+=implied
kinship ^nn+nom+++=kinship
with ^in++++=with
anything ^rb++++=anything
but ^rb"++++=but
archaeology ^nn++++=archaeology.
. ^zz++++=EXTRAWORD
Young ^jj+atrb+++=Young
Wilcox ^np++++=Wilcox's
's ^$++++=EXTRAWORD
rejoinder ^nn+nom+++=rejoinder,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
impressed ^vbd+++xvbn+=impressed
my ^pp$+pp1+++=my
uncle ^nn++++=uncle
enough ^qlp++++=enough
to ^to++++=to
make ^vbi++++=make
him ^pp3o+pp3+++=him
recall ^vb+vprv+++=recall
and ^cc++++=and
record ^nn++++=record
it ^pp3+it+++=it
verbatim ^rb+cnj+++=verbatim,
, ^zz++++=EXTRAWORD
was ^vbd+bedz+vrb++=was
of ^in++++=of
a ^at++++=a
fantastically ^rb++++=fantastically
poetic ^jj+atrb+++=poetic
cast ^nn+++xvbn+=cast
which ^whp+rel+subj++=which
must ^md+nec+++=must
have ^vb+hv+aux++=have
typified ^vprf+++xvbnx+=typified
his ^pp$+pp3+++=his
whole ^jj+atrb+++=whole
conversation ^nn+nom+++=conversation,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
which ^whp+rel+obj++=which
I ^pp1a+pp1+++=I
have ^vb+hv+aux++=have
since ^cs+sub+++=since
found ^vbd+vprv++xvbn+=found
highly ^rb+amp+++=highly
characteristic ^jj++++=characteristic
of ^in++++=of
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
said ^vbd+vpub++xvbnx+=said,
, ^zz++++=EXTRAWORD
" ^zz++++="It
it ^pp3+it+++=EXTRAWORD
is ^vbz+bez+vrb++=is
new ^jj+pred+++=new,
, ^zz++++=EXTRAWORD
indeed ^rb+cnj+++=indeed,
, ^zz++++=EXTRAWORD
for ^in++++=for
I ^pp1a+pp1+++=I
made ^vbd+++xvbnx+=made
it ^pp3+it+++=it
last ^jj+atrb+++=last
night ^nn++++=night
in ^in++++=in
a ^at++++=a
dream ^nn++++=dream
of ^in++++=of
strange ^jj+atrb+++=strange
cities ^nns++++=cities;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
dreams ^nps++++=dreams
are ^vb+ber+vrb++=are
older ^jjr+pred+++=older
than ^in++++=than
brooding ^nn++++=brooding
Tyre ^np+++??+=Tyre,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
the ^ati++++=the
contemplative ^jj+atrb+++=contemplative
Sphinx ^np+++??+=Sphinx,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
garden ^nn++++=garden-girdled
- ^zz++++=EXTRAWORD
girdled ^vbd+++xvbn+=EXTRAWORD
Babylon ^np++++=Babylon."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
then ^rn+tm+++=then
that ^cs+sub+++=that
he ^pp3a+pp3+++=he
began ^vbd+++xvbnx+=began
that ^cs+sub+++=that
rambling ^jj+atrb+++=rambling
tale ^nn++++=tale
which ^whp+rel+subj++=which
suddenly ^rb++++=suddenly
played ^vbd+++xvbn+=played
upon ^in++++=upon
a ^at++++=a
sleeping ^jj+atrb++xvbg+=sleeping
memory ^nn++++=memory
and ^cc++++=and
won ^vbd+++xvbn+=won
the ^ati++++=the
fevered ^jj+atrb++xvbn+=fevered
interest ^nn++++=interest
of ^in++++=of
my ^pp$+pp1+++=my
uncle ^nn++++=uncle.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
had ^vbd+hvd+aux++=had
been ^vprf+ben+vrb+xvbnx+=been
a ^at++++=a
slight ^jj+atrb+++=slight
earthquake ^nn++++=earthquake
tremor ^nn++++=tremor
the ^ati++++=the
night ^nn++++=night
before ^in+strn+++=before,
, ^zz++++=EXTRAWORD
the ^ati++++=the
most ^ql+emph+++=most
considerable ^jj++++=considerable
felt ^vbd+vprv++xvbn+=felt
in ^in++++=in
New ^jj+atrb+++=New
England ^np++++=England
for ^in++++=for
some ^dti++++=some
years ^nns++++=years;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Wilcox ^np++++=Wilcox's
's ^$++++=EXTRAWORD
imaginations ^nns+nom+++=imaginations
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
keenly ^rb++splt++=keenly
affected ^vpsv++agls+xvbn+=affected.
. ^zz++++=EXTRAWORD
Upon ^in++++=Upon
retiring ^xvbg+++xvbg+=retiring,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
had ^vb+hv+aux++=had
had ^vb+hv+vrb++=had
an ^at++++=an
unprecedented ^jj+atrb+++=unprecedented
dream ^nn++++=dream
of ^in++++=of
great ^jj+atrb+++=great
Cyclopean ^np+nom++??+=Cyclopean
cities ^nns++++=cities
of ^in++++=of
Titan ^nn++++=Titan
blocks ^nns++++=blocks
and ^cc++++=and
sky ^nn++++=sky-flung
- ^zz++++=EXTRAWORD
flung ^vbd+++xvbn+=EXTRAWORD
monoliths ^nns++++=monoliths,
, ^zz++++=EXTRAWORD
all ^abn++++=all
dripping ^jj+++xvbg+=dripping
with ^in++++=with
green ^nn++++=green
ooze ^vb++++=ooze
and ^cc++++=and
sinister ^jj++++=sinister
with ^in++++=with
latent ^jj+atrb+++=latent
horror ^nn++++=horror.
. ^zz++++=EXTRAWORD
Hieroglyphics ^np+++??+=Hieroglyphics
had ^vbd+hvd+aux++=had
covered ^vprf+++xvbnx+=covered
the ^ati++++=the
walls ^nns++++=walls
and ^cc++++=and
pillars ^nns++++=pillars,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
from ^in++++=from
some ^dti++++=some
undetermined ^jj+atrb+++=undetermined
point ^nn++++=point
below ^rb++++=below
had ^vbd+hvd+aux++=had
come ^vprf+++xvbn+=come
a ^at++++=a
voice ^nn++++=voice
that ^tht+rel+subj++=that
was ^vbd+bedz+vrb++=was
not ^xnot++not++=not
a ^at++++=a
voice ^nn++++=voice;
; ^zz++++=EXTRAWORD
a ^at++++=a
chaotic ^jj+atrb+++=chaotic
sensation ^nn+nom+++=sensation
which ^whp+rel+obj++=which
only ^rb+down+++=only
fancy ^jj++++=fancy
could ^md+pos+++=could
transmute ^vb+++??+=transmute
into ^in++++=into
sound ^nn++++=sound,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
which ^whp+who+++=which
he ^pp3a+pp3+++=he
attempted ^vbd+++xvbnx+=attempted
to ^to+vcmp+++=to
render ^vbi++++=render
by ^in++++=by
the ^ati++++=the
almost ^rb+hdg+++=almost
unpronounceable ^jj+atrb+++=unpronounceable
jumble ^nn++++=jumble
of ^in++++=of
letters ^nns+nom+++=letters,
, ^zz++++=EXTRAWORD
" ^zz++++="Cthulhu
cthulhu ^nn+++??+=EXTRAWORD
fhtagn ^nn+++??+=fhtagn".
" ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
verbal ^jj+atrb+++=verbal
jumble ^nn++++=jumble
was ^vbd+bedz+vrb++=was
the ^ati++++=the
key ^nn++++=key
to ^in++++=to
the ^ati++++=the
recollection ^nn+nom+++=recollection
which ^whp+rel+obj++=which
excited ^jj+atrb++xvbn+=excited
and ^cc+phrs+++=and
disturbed ^jj+++xvbn+=disturbed
Professor ^npt++++=Professor
Angell ^np+++??+=Angell.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
questioned ^vbd+vpub++xvbnx+=questioned
the ^ati++++=the
sculptor ^nn++++=sculptor
with ^in++++=with
scientific ^jj+atrb+++=scientific
minuteness ^nns+nom+++=minuteness;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
studied ^vpsv++agls+xvbn+=studied
with ^in++++=with
almost ^rb+hdg+++=almost
frantic ^jj+atrb+++=frantic
intensity ^nn+nom+++=intensity
the ^ati++++=the
bas ^nns+++??+=bas-relief
- ^zz++++=EXTRAWORD
relief ^nn++++=EXTRAWORD
on ^in++++=on
which ^whp+rel+pied++=which
the ^ati++++=the
youth ^nn++++=youth
had ^vbd+hvd+aux++=had
found ^vprf+++xvbnx+=found
himself ^ppl+pp3+++=himself
working ^jj+++xvbg+=working,
, ^zz++++=EXTRAWORD
chilled ^j+++xvbn+=chilled
and ^cc+phrs+++=and
clad ^jj++++=clad
only ^rb+down+++=only
in ^in++++=in
his ^pp$+pp3+++=his
nightclothes ^nns+++??+=nightclothes,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
waking ^vbg+++xvbg+=waking
had ^vbd+hvd+aux++=had
stolen ^vprf+++xvbnx+=stolen
bewilderingly ^jj++++=bewilderingly
over ^rp++++=over
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
My ^pp$+pp1+++=My
uncle ^npt++++=uncle
blamed ^vwbn+++xvbn+=blamed
his ^pp$+pp3+++=his
old ^jj+atrb+++=old
age ^nn++++=age,
, ^zz++++=EXTRAWORD
Wilcox ^np++++=Wilcox
afterward ^rb++++=afterward
said ^vbd+vpub++xvbn+=said,
, ^zz++++=EXTRAWORD
for ^in++++=for
his ^pp$+pp3+++=his
slowness ^nns+nom+++=slowness
in ^in++++=in
recognizing ^xvbg+++xvbg+=recognizing
both ^abx++++=both
hieroglyphics ^nns++++=hieroglyphics
and ^cc++++=and
pictorial ^jj+atrb+++=pictorial
design ^nn++++=design.
. ^zz++++=EXTRAWORD
Many ^ap++++=Many
of ^in++++=of
his ^pp$+pp3+++=his
questions ^nns+nom+++=questions
seemed ^vbd+seem++xvbn+=seemed
highly ^rb+amp+++=highly
out ^rp+pl+++=out
of ^in++++=of
place ^nn++++=place
to ^in++++=to
his ^pp$+pp3+++=his
visitor ^nn++++=visitor,
, ^zz++++=EXTRAWORD
especially ^rb++++=especially
those ^dt+pdem+++=those
which ^whp+rel+subj++=which
tried ^vbd+++xvbn+=tried
to ^to+vcmp+++=to
connect ^vbi++++=connect
the ^ati++++=the
latter ^ap++++=latter
with ^in++++=with
strange ^jj+atrb+++=strange
cults ^nns++++=cults
or ^cc++++=or
societies ^nns++++=societies;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Wilcox ^np++++=Wilcox
could ^md+pos+++=could
not ^xnot++not++=not
understand ^vb+vprv+++=understand
the ^ati++++=the
repeated ^jj+atrb++xvbn+=repeated
promises ^nns++++=promises
of ^in++++=of
silence ^nn+nom+++=silence
which ^whp+rel+obj++=which
he ^pp3a+pp3+++=he
was ^vbd+bedz+aux++=was
offered ^vpsv++agls+xvbnx+=offered
in ^in++++=in
exchange ^in"++++=exchange
for ^in"++++=for
an ^at++++=an
admission ^nn++++=admission
of ^in++++=of
membership ^nn+nom+++=membership
in ^in++++=in
some ^dti++++=some
widespread ^jj++++=widespread
mystical ^jj++++=mystical
or ^cc+phrs+++=or
paganly ^jj+atrb+++=paganly
religious ^jj+atrb+++=religious
body ^nn++++=body.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
Professor ^npt++++=Professor
Angell ^np+++??+=Angell
became ^vbd+++xvbn+=became
convinced ^jj+v++xvbn+=convinced
that ^tht+jcmp+++=that
the ^ati++++=the
sculptor ^nn++++=sculptor
was ^vbd+bedz+vrb++=was
indeed ^qlp++++=indeed
ignorant ^jj++++=ignorant
of ^in++++=of
any ^dti++++=any
cult ^nn++++=cult
or ^cc++++=or
system ^nn++++=system
of ^in++++=of
cryptic ^jj+atrb+++=cryptic
lore ^nn++++=lore,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
besieged ^vbd+++xvbnx+=besieged
his ^pp$+pp3+++=his
visitor ^nn++++=visitor
with ^in++++=with
