Sparrow ^np+++??+=SPARROW
treats ^vbz++++=treats
his ^pp$+pp3+++=his
mother ^nn++++=mother;
; ^zz++++=EXTRAWORD
that ^tht+vcmp+++=that
mothers ^nns+nom+++=mothers
were ^vbd+bed+vrb++=were
God ^np++++=God's
's ^$++++=EXTRAWORD
special ^jj+atrb+++=special
gift ^nn++++=gift
to ^in++++=to
us ^pp1o+pp1+++=us
all ^rb++++=all.
. ^zz++++=EXTRAWORD
And ^rb++++=And
so ^rb"++++=so
forth ^rb"++++=forth.
. ^zz++++=EXTRAWORD
Just ^rb+emph+++=Just
all ^rb++++=all
the ^ati++++=the
things ^nns++++=things
you ^pp2+pp2+++=you
would ^md+prd+++=would
expect ^vb+vprv+++=expect
her ^pp$+pp3+++=her
to ^to++++=to
say ^vbi+vpub+++=say,
, ^zz++++=EXTRAWORD
all ^abn++++=all
the ^ati++++=the
first ^od++++=first-order
- ^zz++++=EXTRAWORD
order ^to++++=EXTRAWORD
things ^nns++++=things
someone ^pn++++=someone
might ^md+pos+++=might
say ^vb+vpub+++=say
had ^vb+hv+aux++=had
she ^pp3a+pp3+++=she
made ^vbd+++xvbnx+=made
no ^at++++=no
attempt ^nn++++=attempt
to ^to+ncmp+++=to
think ^vbi+vprv+++=think
anew ^nn+++??+=anew
about ^in++++=about
the ^ati++++=the
thing ^nn++++=thing
in ^in++++=in
question ^nn+nom+++=question.
. ^zz++++=EXTRAWORD
Noticing ^vbg+++xvbg+=Noticing
that ^tht+vcmp+++=that
she ^pp3a+pp3+++=she
was ^vbd+bedz+aux++=was
having ^vbg+hvg++xvbg+=having
no ^at++++=no
effect ^nn++++=effect
on ^in++++=on
Randy ^np+++??+=Randy,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
started ^vbd+++xvbnx+=started
trying ^vbg+++xvbg+=trying
new ^jj+atrb+++=new
things ^nns++++=things,
, ^zz++++=EXTRAWORD
such ^abl++++=such
as ^ql++++=as
having ^jj+atrb++xvbg+=having
opinions ^nns++++=opinions
of ^in++++=of
her ^pp$+pp3+++=her
own ^ap++++=own.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
as ^cs+sub+++=as
if ^cs+cnd+++=if
she ^pp3a+pp3+++=she
were ^vbd+bed+aux++=were
just ^rb+emph+splt++=just
manufacturing ^vbg+++xvbgx+=manufacturing
these ^dt+dem+++=these
in ^to++++=in
order ^vb++++=order
to ^to+vcmp+++=to
have ^vbi++vrb++=have
them ^pp3o+pp3+++=them.
. ^zz++++=EXTRAWORD
" ^zz++++="Oh,
oh ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
know ^vb+vprv+++=know
what ^wdt+who+whcl++=what!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
she ^pp3a+pp3+++0=she'd
'd ^md+prd+aux++=EXTRAWORD
say ^vb+vpub+++=say.
. ^zz++++=EXTRAWORD
" ^zz++++="We
we ^pp1a+pp1+++=EXTRAWORD
should ^md+nec+++=should
put ^vb+++xvbn+=put
the ^ati++++=the
fudge ^nn+++??+=fudge
up ^rp++++=up
there ^rn+pl+++=there,
, ^zz++++=EXTRAWORD
with ^in++++=with
the ^ati++++=the
olives ^nns++++=olives."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Or ^cc++++=Or
" ^zz++++="So-and-so
so ^ql++++=EXTRAWORD
- ^zz++++=EXTRAWORD
and ^cc++++=EXTRAWORD
- ^zz++++=EXTRAWORD
so ^ql++++=EXTRAWORD
is ^vbz+bez+vrb++=is
such ^abl++++=such
a ^at++++=a
good ^jj+atrb+++=good
actor ^nn++++=actor.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
think ^vb+vprv+tht0++=think
I ^pp1a+pp1+++=I
have ^vb+hv+aux++=have
a ^rb++splt++=a
little ^rb"++++=little
crush ^vb++++=crush
on ^in++++=on
him ^pp3o+pp3+++=him."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
And ^cc++++=And
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
always ^rb++++=always
whatever ^nn+nom+++=whatever
actor ^nn++++=actor
was ^vbd+bedz+vrb++=was
on ^in++++=on
the ^ati++++=the
cover ^nn++++=cover
of ^in++++=of
some ^dti++++=some
magazine ^nn++++=magazine
that ^tht+rel+++=that
month ^nn++++=month,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
if ^cs+cnd+++=if
you ^pp2+pp2+++=you
pressed ^vbd+++xvbn+=pressed
her ^pp3o+pp3+++=her
on ^in++++=on
it ^pp3+it+++=it
you ^pp2+pp2+++=you'd
'd ^md+prd+aux++0=EXTRAWORD
find ^vb+vprv+tht0++=find
she ^pp3a+pp3+++0=she'd
'd ^md+prd+aux++=EXTRAWORD
never ^rb++splt++=never
seen ^vprf+++xvbnx+=seen
any ^dti++++=any
of ^in++++=of
his ^pp$+pp3+++=his
movies ^nns++++=movies.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
would ^md+prd+++=would
never ^rb++++=never
have ^vb+hv+aux++=have
described ^vprf+++xvbnx+=described
her ^pp$+pp3+++=her
as ^in++++=as
feminine ^nn++++=feminine.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
now ^rn+tm+++=now
she ^pp3a+pp3+++=she
decided ^vbd+vprv++xvbnx+=decided
that ^tht+vcmp+++=that
the ^ati++++=the
way ^nn++++=way
to ^in++++=to
Randy ^np++++=Randy's
's ^$++++=EXTRAWORD
heart ^nn++++=heart
was ^vbd+bedz+aux++=was
to ^to++++=to
become ^vbi++++=become
more ^rbr++++=more
girlish ^jj++++=girlish.
. ^zz++++=EXTRAWORD
Somewhere ^rb++++=Somewhere
she ^pp3a+pp3+++=she
got ^vbd+++xvbnx+=got
hold ^nn++++=hold
of ^in++++=of
a ^at++++=a
curling ^jj+atrb++xvbg+=curling
iron ^nn++++=iron
and ^cc++++=and
some ^dti++++=some
perfume ^nn++++=perfume.
. ^zz++++=EXTRAWORD
Imagine ^vb+vprv+++=Imagine
that ^tht+vcmp+++=that
trip ^nn++++=trip
to ^in++++=to
the ^ati++++=the
mall ^np++++=mall
in ^in++++=in
Werthley ^np+++??+=Werthley.
. ^zz++++=EXTRAWORD
Or ^cc+cls+++=Or
the ^ati++++=the
one ^pn++++=one
in ^in++++=in
Clover ^nn++++=Clover.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
did ^vbd+dod+aux++=didn't
n't ^xnot++not++0=EXTRAWORD
drive ^vb++++=drive.
. ^zz++++=EXTRAWORD
So ^ql++++=So
would ^md+prd+++=would
have ^vb+hv+aux++=have
taken ^vprf+++xvbnx+=taken
the ^ati++++=the
bus ^nn++++=bus.
. ^zz++++=EXTRAWORD
Soon ^rb+tm+++=Soon
the ^ati++++=the
store ^nn++++=store
smelled ^vbd+++xvbn+=smelled
of ^in++++=of
her ^pp$+pp3+++=her
new ^jj+atrb+++=new
perfume ^nn++++=perfume.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
started ^vbd+++xvbnx+=started,
, ^zz++++=EXTRAWORD
based ^xvbn+++xvbn+=based
on ^in++++=on
an ^at++++=an
article ^nn++++=article
in ^in++++=in
one ^pn++++=one
of ^in++++=of
the ^ati++++=the
women ^nns++++=women's
's ^$++++=EXTRAWORD
magazines ^nns++++=magazines
she ^pp3a+pp3+++0=she'd
'd ^vbd+hvd+aux++=EXTRAWORD
begun ^vprf+++xvbnx+=begun
reading ^vbg+++xvbg+=reading,
, ^zz++++=EXTRAWORD
to ^to++++=to
laugh ^vbi++++=laugh
more ^rbr++++=more.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
would ^md+prd+++=would
laugh ^vb++++=laugh
at ^rb++++=at
anything ^pn++++=anything
Randy ^np+++??+=Randy
said ^vbd+vpub++xvbn+=said,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
not ^xnot++not++=not
just ^rb+emph+++=just
the ^ati++++=the
things ^nns++++=things
that ^tht+rel+obj++=that
he ^pp3a+pp3+++=he
meant ^vbd+vprv++xvbnx+=meant
to ^to+vcmp+++=to
be ^vbi++vrb++=be
funny ^jj+pred+++=funny.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
would ^md+prd+++=would
look ^vb++++=look
over ^in+strn+++=over,
, ^zz++++=EXTRAWORD
startled ^j+++xvbn+=startled,
, ^zz++++=EXTRAWORD
at ^rb++++=at
such ^abl++++=such
a ^at++++=a
time ^nn++++=time.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
could ^md+pos+++=could
all ^rb++splt++=all
see ^vb+vprv+tht0++=see
a ^at++++=a
fall ^nn++++=fall
was ^vbd+bedz+aux++=was
coming ^vbg+++xvbgx+=coming.
. ^zz++++=EXTRAWORD
Randy ^np++++=Randy's
's ^$++++=EXTRAWORD
mother ^npt++++=mother
owned ^vbd+++xvbn+=owned
the ^ati++++=the
store ^nn++++=store
and ^cc++++=and
would ^md+prd+++=would
come ^vb++++=come
in ^in++++=in
behind ^in+pl+++=behind
those ^dt+dem+++=those
big ^jj+atrb+++=big
glasses ^nns++++=glasses,
, ^zz++++=EXTRAWORD
judging ^jj+++xvbg+=judging
everything ^pn++++=everything.
. ^zz++++=EXTRAWORD
Who ^whp+who+++=Who
the ^ati++++=the
hell ^nn++++=hell
put ^vbd+++xvbn+=put
the ^ati++++=the
fudge ^nn+++??+=fudge
way ^nn++++=way
up ^rp++++=up
there ^rn+pl+++=there?
? ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
would ^md+prd+++=would
demand ^vb++++=demand.
. ^zz++++=EXTRAWORD
What ^wdt+who+whq++=What
was ^vbd+bedz+aux++=was
that ^dt+dem+++=that
terrible ^jj+atrb+++=terrible
smell ^nn++++=smell?
? ^zz++++=EXTRAWORD
" ^zz++++="I'm
i ^pp1a+pp1+++=EXTRAWORD
'm ^vb+bem+aux++0=EXTRAWORD
wearing ^vbg+++xvbgx+=wearing
perfume ^nn++++=perfume,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Gloria ^np++++=Gloria
would ^md+prd+++=would
say ^vb+vpub+++=say.
. ^zz++++=EXTRAWORD
" ^zz++++="Well,
well ^rb+cnj+++=EXTRAWORD
, ^zz++++=EXTRAWORD
why ^wrb+who+++=why?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
the ^ati++++=the
mother ^nn++++=mother
would ^md+prd+++=would
snap ^vb++++=snap.
. ^zz++++=EXTRAWORD
" ^zz++++="Are
are ^vb+ber+aux++=EXTRAWORD
you ^pp2+pp2+++=you
going ^vbg+++xvbg+=going
on ^in++++=on
a ^at++++=a
date ^nn++++=date?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
That ^dt+pdem+++=That
was ^vbd+bedz+vrb++=was
the ^ati++++=the
punch ^nn++++=punch
line ^nn++++=line:
: ^zz++++=EXTRAWORD
the ^ati++++=the
idea ^nn++++=idea
of ^in++++=of
Gloria ^np++++=Gloria
on ^in++++=on
a ^at++++=a
date ^nn++++=date
with ^in++++=with
some ^dti++++=some
unlucky ^jj+atrb+++=unlucky
bastard ^nn++++=bastard.
. ^zz++++=EXTRAWORD
The ^ati++++=The
mother ^nn++++=mother
would ^md+prd+++=would
laugh ^vb++++=laugh
her ^pp3o+pp3+++=her
low ^jj++++=low
alcoholic ^jj++++=alcoholic
growl ^vb++++=growl
of ^in++++=of
a ^at++++=a
laugh ^nn++++=laugh
as ^cs+sub+++=as
if ^cs+cnd+++=if
this ^dt+pdem+++=this
was ^vbd+bedz+vrb++=was
the ^ati++++=the
most ^ql+emph+++=most
far ^rb+pl+++=far-fetched
- ^zz++++=EXTRAWORD
fetched ^vbd+++xvbn+=EXTRAWORD
idea ^nn++++=idea
ever ^rb++++=ever.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
she ^pp3a+pp3+++=she
was ^vbd+bedz+vrb++=wasn't
n't ^xnot++not++0=EXTRAWORD
only ^rb+down+++=only
mean ^jj++++=mean.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
had ^vb+hv+vrb++=had
an ^at++++=an
honest ^jj++++=honest,
, ^zz++++=EXTRAWORD
caring ^vbg+++xvbg+=caring
side ^nn++++=side
to ^in++++=to
her ^pp$+pp3+++=her,
, ^zz++++=EXTRAWORD
too ^rb++++=too.
. ^zz++++=EXTRAWORD
" ^zz++++="Don't
do ^vb+do+aux++=EXTRAWORD
n't ^xnot++not++0=EXTRAWORD
get ^vb++++=get
your ^pp$+pp2+++=your
hopes ^nns++++=hopes
up ^rp++++=up,
, ^zz++++=EXTRAWORD
sister ^nn++++=sister,
, ^zz++++=EXTRAWORD
men ^nns++++=men-wise,"
- ^zz++++=EXTRAWORD
wise ^jj++++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
she ^pp3a+pp3+++0=she'd
'd ^md+prd+aux++=EXTRAWORD
tell ^vb++++=tell
Gloria ^np++++=Gloria,
, ^zz++++=EXTRAWORD
in ^in++++=in
the ^ati++++=the
lettuce ^nn++++=lettuce-smelling
- ^zz++++=EXTRAWORD
smelling ^vbg+nom++xvbg+=EXTRAWORD
corner ^npl++++=corner
of ^in++++=of
the ^ati++++=the
stockroom ^nn+++??+=stockroom
where ^wrb+who+++=where
they ^pp3a+pp3+++=they
piled ^vbd+++xvbnx+=piled
the ^ati++++=the
cardboard ^nn++++=cardboard
boxes ^nns++++=boxes.
. ^zz++++=EXTRAWORD
" ^zz++++="You're
you ^pp2+pp2+++=EXTRAWORD
're ^vb+ber+vrb++0=EXTRAWORD
not ^xnot++not++=not
much ^rb++++=much
to ^to++++=to
look ^vbi++++=look
at ^in++++=at
but ^cc++++=but
" ^zz++++="
And ^cc++++=And
she ^pp3a+pp3+++0=she'd
'd ^md+prd+aux++=EXTRAWORD
think ^vb+vprv+++=think
to ^to++++=to
add ^vbi+vpub+tht0++=add
something ^pn++++=something
like ^in++++=like
" ^zz++++="you've
you ^pp2+pp2+++=EXTRAWORD
've ^vb+hv+aux++0=EXTRAWORD
got ^vprf+++xvbnx+=got
a ^at++++=a
good ^jj+atrb+++=good
heart ^nn++++=heart"
" ^zz++++=EXTRAWORD
or ^cc++++=or
" ^zz++++="you're
you ^pp2+pp2+++=EXTRAWORD
're ^vb+ber+vrb++0=EXTRAWORD
a ^at++++=a
hard ^jj+atrb+++=hard
worker ^nn++++=worker,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
but ^cc+cls+++=but
because ^cs+cos+++=because
she ^pp3a+pp3+++=she
prided ^vbd+++xvbnx+=prided
herself ^ppl+pp3+++=herself
on ^in++++=on
being ^xvbg+++xvbg+=being
laceratingly ^jj++++=laceratingly
honest ^jj++++=honest,
, ^zz++++=EXTRAWORD
as ^ql++++=as
these ^dt+dem+++=these
thoughts ^nns++++=thoughts
came ^vbd+++xvbn+=came
up ^rp++++=up,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
felt ^vbd+vprv+tht0+xvbnx+=felt
she ^pp3a+pp3+++=she
had ^vb+hv+aux++=had
to ^to++++=to
not ^xnot++not++=not
say ^vb+vpub+++=say
them ^pp3o+pp3+++=them,
, ^zz++++=EXTRAWORD
because ^cs+cos+++=because
this ^dt+dem+++=this
Gloria ^np++++=Gloria
had ^vb+hv+aux++=had
never ^rb++splt++=never
shown ^vprf+++xvbnx+=shown
any ^dti++++=any
evidence ^nn+nom+++=evidence
of ^in++++=of
having ^xvbg+++xvbg+=having
an ^at++++=an
especially ^rb++++=especially
good ^jj+atrb+++=good
heart ^nn++++=heart,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
as ^in++++=as
far ^in"+pl+++=far
as ^in"++++=as
being ^vbg+beg++xvbg+=being
a ^at++++=a
hard ^jj+atrb+++=hard
worker ^nn++++=worker,
, ^zz++++=EXTRAWORD
well ^rb+cnj+++=well,
, ^zz++++=EXTRAWORD
no ^at++++=no.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
showed ^vbd+vprv++xvbnx+=showed
up ^rp++++=up
every ^at++++=every
day ^nn++++=day,
, ^zz++++=EXTRAWORD
sure ^jj++++=sure,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
had ^vb+hv+vrb++=had
never ^rb+cnj+++=never,
, ^zz++++=EXTRAWORD
in ^in++++=in
the ^ati++++=the
mother ^nn++++=mother's
's ^$++++=EXTRAWORD
memory ^nn++++=memory,
, ^zz++++=EXTRAWORD
taken ^xvbn+++xvbn+=taken
any ^dti++++=any
special ^jj+atrb+++=special
interest ^nn++++=interest
in ^in++++=in
the ^ati++++=the
workings ^nns++++=workings
of ^in++++=of
the ^ati++++=the
store ^nn++++=store
or ^cc++++=or
had ^vb+hv+vrb++=had
a ^at++++=a
single ^jj+atrb+++=single
fresh ^jj+atrb+++=fresh,
, ^zz++++=EXTRAWORD
helpful ^jj+atrb+++=helpful
idea ^nn++++=idea
about ^in++++=about
anything ^pn++++=anything
at ^rb++++=at
all ^abn++++=all.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
strange ^jj+pred+++=strange
to ^to++++=to
have ^vbi+vbi+aux++=have
had ^vb+hv+vrb++=had
someone ^pn++++=someone
working ^jj+++xvbg+=working
for ^in++++=for
you ^pp2+pp2+++=you
for ^in++++=for
nearly ^rb+down+++=nearly
two ^cd++++=two
years ^nns++++=years
and ^cc++++=and
not ^xnot++not++=not
be ^vb+be+vrb++=be
able ^jj++pmd"++=able
to ^to+jcmp+pmd++=to
recall ^vb+vprv+++=recall
a ^at++++=a
single ^jj+atrb+++=single
occasion ^nn++++=occasion
on ^in++++=on
which ^whp+rel+pied++=which
she ^pp3a+pp3+++=she
had ^vbd+hvd+aux++=had
suggested ^vprf+++xvbnx+=suggested
anything ^pn++++=anything
to ^to++++=to
improve ^vbi++++=improve
or ^cc+phrs+++=or
liven ^vb+++xvbn+=liven
up ^rp++++=up
the ^ati++++=the
store ^nn++++=store,
, ^zz++++=EXTRAWORD
such ^abl++++=such
as ^ql++++=as,
, ^zz++++=EXTRAWORD
that ^dt+dem+++=that
gal ^nn++++=gal
they ^pp3a+pp3+++=they'd
'd ^vbd+hvd+aux++0=EXTRAWORD
fired ^vprf+++xvbnx+=fired,
, ^zz++++=EXTRAWORD
Irene ^np++++=Irene,
, ^zz++++=EXTRAWORD
had ^vb+hv+aux++=had
at ^rb++++=at
least ^rb"++++=least
had ^vb+hv+vrb++=had
the ^ati++++=the
idea ^nn++++=idea
of ^in++++=of
putting ^xvbg+++xvbg+=putting
a ^at++++=a
glass ^nn++++=glass
jar ^nn++++=jar
on ^in++++=on
the ^ati++++=the
counter ^nn++++=counter
into ^in++++=into
which ^whp+rel+pied++=which
people ^nns++++=people
could ^md+pos+++=could
drop ^vb++++=drop
spare ^vb++++=spare
change ^nn++++=change,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
would ^md+prd+++=would
then ^rn+tm+++=then
be ^vb+be+aux++=be
given ^vpsv++agls+xvbnx+=given
to ^in++++=to
the ^ati++++=the
local ^jj+atrb+++=local
children ^nns++++=children's
's ^$++++=EXTRAWORD
hospital ^nn+nom+++=hospital,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
which ^whp+who+++=which,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
turned ^vbd+++xvbn+=turned
out ^rb+cnj+++=out,
, ^zz++++=EXTRAWORD
Irene ^np++++=Irene
was ^vbd+bedz+aux++=was
cleverly ^rb++splt++=cleverly
pocketing ^vbg+++xvbgx+=pocketing
about ^in++++=about
half ^abn++++=half
of ^in+strn+++=of.
. ^zz++++=EXTRAWORD
Which ^wdt+who+whq++=Which
was ^vbd+bedz+aux++=was
why ^wrb+who+++=why
she ^pp3a+pp3+++0=she'd
'd ^vbd+hvd+aux++=EXTRAWORD
been ^vprf+ben+aux+xvbnx+=been
let ^vpsv++agls+xvbnx+=let
go ^vb++++=go.
. ^zz++++=EXTRAWORD
So ^rb+cnj+++=So,
, ^zz++++=EXTRAWORD
not ^xnot++not++=not
that ^cs+sub+++=that
clever ^jj++++=clever.
. ^zz++++=EXTRAWORD
Although ^cs+con+++=Although
pretty ^rb++++=pretty
clever ^jj++++=clever.
. ^zz++++=EXTRAWORD
Because ^cs+cos+++=Because
it ^pp3+it+++=it
had ^vbd+hvd+aux++=had
taken ^vprf+++xvbnx+=taken
them ^pp3o+pp3+++=them
nearly ^rb+down+++=nearly
a ^at++++=a
year ^nn++++=year
to ^to++++=to
catch ^vbi++++=catch
her ^pp$+pp3+++=her.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
at ^rb++++=at
least ^rb"++++=least
that ^cs+sub+++=that
Irene ^np++++=Irene
had ^vbd+hvd+aux++=had
shown ^vprf+++xvbnx+=shown
some ^dti++++=some
gumption ^nn+nom+++=gumption,
, ^zz++++=EXTRAWORD
some ^dti++++=some
desire ^nn++++=desire
to ^to+ncmp+++=to,
, ^zz++++=EXTRAWORD
well ^rb+cnj+++=well,
, ^zz++++=EXTRAWORD
improve ^vb++++=improve
her ^pp$+pp3+++=her
condition ^nn+nom+++=condition,
, ^zz++++=EXTRAWORD
one ^cd1++++=one
might ^md+pos+++=might
say ^vb+vpub+++=say.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
was ^vbd+bedz+vrb++=wasn't
n't ^xnot++not++0=EXTRAWORD
some ^dti++++=some
inert ^jj+atrb+++=inert
thing ^nn++++=thing
letting ^vwbg+++xvbg+=letting
life ^nn++++=life
just ^rb+emph+++=just
happen ^vb+++??+=happen
to ^to+vcmp+++=to
her ^pp$+pp3+++=her.
. ^zz++++=EXTRAWORD
Because ^cs+cos+++=Because
this ^dt+dem+++=this
opinionated ^jj+++xvbn+=opinionated
and ^cc++++=and
sometimes ^rb++++=sometimes
caring ^vbg+++xvbg+=caring
old ^jj+atrb+++=old
lady ^nn++++=lady
was ^vbd+bedz+vrb++=was
a ^at++++=a
sharp ^jj+atrb+++=sharp
observer ^nn+nom+++=observer,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
picked ^vbd+++xvbnx+=picked
up ^rp++++=up
on ^in++++=on
the ^ati++++=the
fact ^nn++++=fact
that ^tht+ncmp+++=that
her ^pp3o+pp3+++=her
son ^nn++++=son
was ^vbd+bedz+vrb++=was
in ^in++++=in
Gloria ^np++++=Gloria's
's ^$++++=EXTRAWORD
sights ^nns++++=sights.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
told ^vbd+vpub++xvbn+=told
him ^pp3o+pp3+++=him
so ^rb++++=so.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
just ^rb+emph+++=just
laughed ^vbd+++xvbn+=laughed.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
then ^rn+tm+++=then
started ^vbd+++xvbn+=started
to ^to++++=to
think ^vbi+vprv+++=think.
. ^zz++++=EXTRAWORD
Not ^xnot++not++=Not
about ^in++++=about
Gloria ^np++++=Gloria,
, ^zz++++=EXTRAWORD
exactly ^rb+cnj+++=exactly,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
about ^in++++=about
the ^ati++++=the
fact ^nn++++=fact
of ^in++++=of
her ^pp$+pp3+++=her
liking ^nvbg+++xvbg+=liking
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
liked ^vbd+++xvbnx+=liked
the ^ati++++=the
idea ^nn++++=idea
of ^in++++=of
her ^pp$+pp3+++=her
starting ^nvbg+++xvbg+=starting
to ^in++++=to
work ^nn++++=work
there ^rn+pl+++=there
two ^cd++++=two
years ^nns++++=years
ago ^rb++++=ago
in ^in++++=in
a ^at++++=a
neutral ^jj+atrb+++=neutral
state ^nn++++=state
and ^cc++++=and
then ^rn+tm+++=then
noticing ^vbg+++xvbg+=noticing
this ^dt+dem+++=this
man ^nn++++=man
who ^whp+rel+subj++=who
worked ^vbd+++xvbn+=worked
there ^rn+pl+++=there,
, ^zz++++=EXTRAWORD
that ^dt+pdem+++=that
is ^vbz+bez+vrb++=is,
, ^zz++++=EXTRAWORD
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
Randy ^np+++??+=Randy,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
coming ^nvbg+++xvbg+=coming
gradually ^rb++++=gradually
to ^to++++=to
prefer ^vbi+vprv+++=prefer
him ^pp3o+pp3+++=him
over ^in++++=over
all ^abn++++=all
of ^in++++=of
the ^ati++++=the
men ^nns++++=men
in ^in++++=in
town ^nn++++=town
and ^cc++++=and
over ^in++++=over
all ^abn++++=all
the ^ati++++=the
men ^nns++++=men
in ^in++++=in
the ^ati++++=the
world ^nn++++=world,
, ^zz++++=EXTRAWORD
apparently ^rb+cnj+++=apparently,
, ^zz++++=EXTRAWORD
coming ^vbg+++xvbg+=coming
to ^to++++=to
like ^vbi++++=like
him ^pp3o+pp3+++=him
the ^ati++++=the
most ^ap+emph+++=most,
, ^zz++++=EXTRAWORD
in ^in++++=in
some ^dti++++=some
special ^jj+atrb+++=special
way ^nn++++=way
he ^pp3a+pp3+++=he
did ^vbd+dod+aux++=didn't
n't ^xnot++not++0=EXTRAWORD
really ^rb+emph+++=really
know ^vb+vprv+++=know
about ^in++++=about
yet ^rb++++=yet
but ^cc++++=but
would ^md+prd+++=would
like ^vb++++=like
to ^to+vcmp+++=to
know ^vbi+vprv+++=know
more ^rbr++++=more
about ^rb++++=about.
. ^zz++++=EXTRAWORD
What ^wdt+who+whq++=What
was ^vbd+bedz+aux++=was
it ^pp3+it+++=it
about ^rb++++=about
him ^pp3o+pp3+++=him
that ^cs+sub+++=that
she ^pp3a+pp3+++=she
liked ^vbd+++xvbnx+=liked
so ^pn++++=so
much ^ap++++=much?
? ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
interesting ^jj+pred+++=interesting.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
liked ^vbd+++xvbnx+=liked,
, ^zz++++=EXTRAWORD
also ^rb+cnj+++=also,
, ^zz++++=EXTRAWORD
the ^ati++++=the
way ^nn++++=way
they ^pp3a+pp3+++=they
seemed ^vbd+seem++xvbnx+=seemed
to ^to+vcmp+++=to
agree ^vbi+vpub+++=agree
on ^in++++=on
everything ^pn++++=everything.
. ^zz++++=EXTRAWORD
That ^dt+pdem+++=That
was ^vbd+bedz+vrb++=wasn't
n't ^xnot++not++0=EXTRAWORD
the ^ati++++=the
case ^nn++++=case
with ^in++++=with
other ^ap++++=other
women ^nns++++=women.
. ^zz++++=EXTRAWORD
Other ^ap++++=Other
women ^nns++++=women
often ^rb++++=often
disagreed ^vbd+++xvbn+=disagreed
with ^in++++=with
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
he ^pp3a+pp3+++=he
said ^vbd+vpub+tht0+xvbnx+=said
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
about ^in++++=about
to ^in++++=to
rain ^nn++++=rain,
, ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
might ^md+pos+++=might
say ^vb+vpub+++=say,
, ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
doubt ^nn++++=doubt
it ^pp3+it+++=it"
" ^zz++++=EXTRAWORD
or ^cc++++=or
" ^zz++++="Doesn't
does ^vbz+doz+aux++=EXTRAWORD
n't ^xnot++not++0=EXTRAWORD
look ^vb++++=look
like ^in++++=like
it ^pp3+it+++=it"
" ^zz++++=EXTRAWORD
