Everybody ^pn++++=Everybody
I ^pp1a+pp1+++=I
haf ^nn+++??+=haf
not ^xnot++not++=not
long ^vb++++=long
to ^to+vcmp+++=to
live ^vbi++++=live.
. ^zz++++=EXTRAWORD
Oh ^uh++++=Oh,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
know ^vb+vprv+++=know,
, ^zz++++=EXTRAWORD
Leetle ^np+++??+=Leetle
Joyce ^np++++=Joyce
I ^pp1a+pp1+++=I
know ^vb+vprv+++=know
what ^wdt+who+whcl++=what
de ^&fw++++=de
doctor ^nn++++=doctor
look ^vb++++=look
lak ^nn+++??+=lak
and ^cc++++=and
I ^pp1a+pp1+++=I
want ^vb++++=want
to ^to+vcmp+++=to
hear ^vbi+vprv+++=hear
Madame ^npt++++=Madame
Laurin ^np+++??+=Laurin
sing ^vb++++=sing
' ^zz++++='fore
fore ^jjb++++=EXTRAWORD
I ^pp1a+pp1+++=I
die ^vb++++=die.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
know ^vb+vprv+tht0++=know
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
impossible ^jj+pred+++=impossible
but ^cc++++=but
I ^pp1a+pp1+++=I
long ^rb++++=long
for ^in++++=for
it ^pp3+it+++=it
so ^rb++++=so
just ^rb+emph+++=just
one ^cd1++++=one
leetle ^nn+++??+=leetle
song ^nn++++=song."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Denise ^np+++??+=Denise
put ^vbd+++xvbn+=put
her ^pp$+pp3+++=her
thin ^jj+atrb+++=thin
hands ^nns++++=hands
over ^rp++++=over
her ^pp3o+pp3+++=her
face ^nn++++=face
and ^cc++++=and
sobbed ^vbd+++xvbn+=sobbed
again ^rb+tm+++=again.
. ^zz++++=EXTRAWORD
Little ^ap++++=Little
Joyce ^np++++=Joyce
went ^vbd+++xvbn+=went
and ^cc+phrs+++=and
sat ^vbd+++xvbn+=sat
down ^rb+phrv+++=down
by ^in++++=by
the ^ati++++=the
window ^nn++++=window,
, ^zz++++=EXTRAWORD
looking ^vbg+++xvbg+=looking
out ^rp+pl+++=out
into ^in++++=into
the ^ati++++=the
white ^jj+atrb+++=white
birches ^nns++++=birches.
. ^zz++++=EXTRAWORD
Her ^pp$+pp3+++=Her
heart ^nn++++=heart
ached ^vbd+++xvbn+=ached
bitterly ^rb++++=bitterly.
. ^zz++++=EXTRAWORD
Dear ^jj+atrb+++=Dear
Denise ^np+++??+=Denise
was ^vbd+bedz+aux++=was
going ^md"++pmd"++=going
to ^md+prd+++=to
die ^vb++++=die
soon ^rb+tm+++=soon
oh ^uh++++=oh,
, ^zz++++=EXTRAWORD
very ^ql+amp+++=very
soon ^rb+tm+++=soon!
! ^zz++++=EXTRAWORD
Little ^ap++++=Little
Joyce ^np++++=Joyce,
, ^zz++++=EXTRAWORD
wise ^jj++++=wise
and ^cc+phrs+++=and
knowing ^jj+++xvbg+=knowing
beyond ^in++++=beyond
her ^pp$+pp3+++=her
years ^nns++++=years,
, ^zz++++=EXTRAWORD
saw ^vb+++xvbn+=saw
that ^tht+vcmp+++=that.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
Denise ^np+++??+=Denise
wanted ^vbd+++xvbn+=wanted
to ^to+vcmp+++=to
hear ^vbi+vprv+++=hear
Madame ^npt++++=Madame
Laurin ^np+++??+=Laurin
sing ^vb++++=sing.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
seemed ^vbd+seem++xvbn+=seemed
a ^at++++=a
foolish ^jj+atrb+++=foolish
thing ^nn++++=thing
to ^to++++=to
think ^vbi+vprv+++=think
of ^in+strn+++=of,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
Little ^jj+atrb+++=Little
Joyce ^np++++=Joyce
thought ^vbd+++xvbn+=thought
hard ^jj++++=hard
about ^in++++=about
it ^pp3+it+++=it;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
when ^wrb+who+++=when
she ^pp3a+pp3+++=she
had ^vbd+hvd+aux++=had
finished ^vprf+++xvbnx+=finished
thinking ^nvbg+++xvbg+=thinking,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
got ^vbd+++xvbnx+=got
her ^pp$+pp3+++=her
little ^ap++++=little
black ^jj+atrb+++=black
doll ^nn++++=doll
and ^cc++++=and
took ^vbd+++xvbn+=took
it ^pp3+it+++=it
to ^in++++=to
bed ^nn++++=bed
with ^in++++=with
her ^pp$+pp3+++=her,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
there ^rn+pl+++=there
she ^pp3a+pp3+++=she
cried ^vbd+++xvbnx+=cried
herself ^ppl+pp3+++=herself
to ^to++++=to
sleep ^vbi++++=sleep.
. ^zz++++=EXTRAWORD
At ^rb++++=At
the ^ati++++=the
breakfast ^nn++++=breakfast
table ^nn++++=table
next ^ap++++=next
morning ^nn++++=morning
the ^ati++++=the
Marshalls ^np+++??+=Marshalls
talked ^vbd+++xvbn+=talked
about ^in++++=about
the ^ati++++=the
concert ^nn++++=concert
and ^cc++++=and
the ^ati++++=the
wonderful ^jj+atrb+++=wonderful
Madame ^npt++++=Madame
Laurin ^np+++??+=Laurin.
. ^zz++++=EXTRAWORD
Little ^ap++++=Little
Joyce ^np++++=Joyce
listened ^vbd+++xvbn+=listened
in ^in++++=in
her ^pp$+pp3+++=her
usual ^jj+atrb+++=usual
silence ^nn+nom+++=silence;
; ^zz++++=EXTRAWORD
her ^pp$+pp3+++=her
crying ^nvbg+++xvbg+=crying
the ^ati++++=the
night ^nn++++=night
before ^in++++=before
had ^vb+hv+vrb++=had
not ^xnot++not++=not
improved ^jj+++xvbn+=improved
her ^pp3o+pp3+++=her
looks ^nns++++=looks
any ^dti++++=any.
. ^zz++++=EXTRAWORD
Never ^rb+cnj+++=Never,
, ^zz++++=EXTRAWORD
thought ^jj+atrb++xvbn+=thought
handsome ^jj+atrb+++=handsome
Grandmother ^nn+nom+++=Grandmother
Marshall ^np++++=Marshall,
, ^zz++++=EXTRAWORD
had ^vb+hv+aux++=had
she ^pp3a+pp3+++=she
appeared ^vbd+seem++xvbnx+=appeared
so ^ql+emph+++=so
sallow ^jj++++=sallow
and ^cc+phrs+++=and
homely ^jj++++=homely.
. ^zz++++=EXTRAWORD
Really ^rb+cnj+++=Really,
, ^zz++++=EXTRAWORD
Grandmother ^nn+nom+++=Grandmother
Marshall ^np++++=Marshall
could ^md+pos+++=could
not ^xnot++not++=not
have ^vb+hv+vrb++=have
the ^ati++++=the
patience ^nn+nom+++=patience
to ^to++++=to
look ^vbi++++=look
at ^in++++=at
her ^pp$+pp3+++=her.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
decided ^vbd+vprv++xvbnx+=decided
that ^tht+vcmp+++=that
she ^pp3a+pp3+++=she
would ^md+prd+++=would
not ^xnot++not++=not
take ^vb++++=take
Joyce ^np++++=Joyce
driving ^vwbg+++xvbg+=driving
with ^in++++=with
her ^pp$+pp3+++=her
and ^cc++++=and
Chrissie ^np+++??+=Chrissie
that ^tht+rel+++=that
afternoon ^nn++++=afternoon,
, ^zz++++=EXTRAWORD
as ^ql++++=as
she ^pp3a+pp3+++=she
had ^vbd+hvd+aux++=had
thought ^vprf+++xvbnx+=thought
of ^in+strn+++=of,
, ^zz++++=EXTRAWORD
after ^in++++=after
all ^abn++++=all.
. ^zz++++=EXTRAWORD
In ^in++++=In
the ^ati++++=the
forenoon ^nn++++=forenoon
it ^pp3+it+++=it
was ^vbd+bedz+aux++=was
discovered ^vpsv++agls+xvbnx+=discovered
that ^tht+vcmp+++=that
Denise ^np+++??+=Denise
was ^vbd+bedz+vrb++=was
much ^ap++++=much
worse ^jjr++++=worse,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
doctor ^nn++++=doctor
was ^vbd+bedz+aux++=was
sent ^vpsv++agls+xvbnx+=sent
for ^in+strn+++=for.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
came ^vbd+++xvbnx+=came,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
shook ^vbd+++xvbn+=shook
his ^pp$+pp3+++=his
head ^nn++++=head,
, ^zz++++=EXTRAWORD
that ^dt+dem+++=that
being ^jj+++xvbg+=being
really ^rb+emph+++=really
all ^rb++++=all
he ^pp3a+pp3+++=he
could ^md+pos+++=could
do ^vb+do+vrb++=do
under ^in++++=under
the ^ati++++=the
circumstances ^nns+nom+++=circumstances.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
he ^pp3a+pp3+++=he
went ^vbd+++xvbnx+=went
away ^rp+pl+++=away,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
was ^vbd+bedz+aux++=was
waylaid ^vwbn+++xvbn+=waylaid
at ^in++++=at
the ^ati++++=the
back ^jjb+atrb+++=back
door ^nn++++=door
by ^in++++=by
a ^at++++=a
small ^jj+atrb+++=small
gypsy ^nn++++=gypsy
with ^in++++=with
big ^jj++++=big,
, ^zz++++=EXTRAWORD
black ^jj+atrb+++=black,
, ^zz++++=EXTRAWORD
serious ^jj+atrb+++=serious
eyes ^nns++++=eyes
and ^cc++++=and
long ^rb++++=long
black ^jj+atrb+++=black
hair ^nn++++=hair.
. ^zz++++=EXTRAWORD
" ^zz++++="Is
is ^vbz+bez+vrb++=EXTRAWORD
Denise ^np+++??+=Denise
going ^md"++pmd"++=going
to ^md+prd+++=to
die ^vb++++=die?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Little ^ap++++=Little
Joyce ^np++++=Joyce
asked ^vbd+vsua++xvbn+=asked
in ^rb+phrv+++=in
the ^ati++++=the
blunt ^jj+atrb+++=blunt,
, ^zz++++=EXTRAWORD
straightforward ^jj+atrb+++=straightforward
fashion ^nn++++=fashion
Grandmother ^nn+nom+++=Grandmother
Marshall ^np++++=Marshall
found ^vbd+vprv++xvbn+=found
so ^ql++++=so
trying ^nvbg+++xvbg+=trying.
. ^zz++++=EXTRAWORD
The ^ati++++=The
doctor ^nn++++=doctor
looked ^vbd+++xvbn+=looked
at ^rb++++=at
her ^pp$+pp3+++=her
from ^in++++=from
under ^in++++=under
his ^pp$+pp3+++=his
shaggy ^jj+atrb+++=shaggy
brows ^nns++++=brows
and ^cc++++=and
decided ^vprf+++xvbn+=decided
that ^tht+vcmp+++=that
here ^rn+pl+++=here
was ^vbd+bedz+vrb++=was
one ^pn++++=one
of ^in++++=of
the ^ati++++=the
people ^nns++++=people
to ^to++++=to
whom ^whp+wpor+++=whom
you ^pp2+pp2+++=you
might ^md+pos+++=might
as ^rb++splt++=as
well ^rb++++=well
tell ^vb++++=tell
the ^ati++++=the
truth ^nn++++=truth
first ^od++++=first
as ^ql++++=as
last ^rb+cnj+++=last,
, ^zz++++=EXTRAWORD
because ^cs+cos+++=because
they ^pp3a+pp3+++=they
are ^vb+ber+aux++=are
bound ^jj++agls+xvbnx+=bound
to ^to+jcmp+++=to
have ^vbi++vrb++=have
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
" ^zz++++="Yes,"
yes ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said.
. ^zz++++=EXTRAWORD
" ^zz++++="Soon?"
soon ^rb+tm+++=EXTRAWORD
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Very
very ^ql+amp+++=EXTRAWORD
soon ^rb+cnj+++=soon,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I'm
'm ^vb+bem+vrb++0=EXTRAWORD
afraid ^jj+pred+++=afraid.
. ^zz++++=EXTRAWORD
In ^in++++=In
a ^ap++++=a
few ^ap"++++=few
days ^nns++++=days
at ^rb++++=at
most ^ql+emph+++=most."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Thank
thank ^vb++++=EXTRAWORD
you ^pp2+pp2+++=you,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Little ^ap++++=Little
Joyce ^np++++=Joyce
gravely ^np++++=gravely.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
went ^vbd+++xvbnx+=went
to ^in++++=to
her ^pp$+pp3+++=her
room ^nn++++=room
and ^cc++++=and
did ^vbd+dod+vrb++=did
something ^pn++++=something
with ^in++++=with
the ^ati++++=the
black ^jj+atrb+++=black
doll ^nn++++=doll.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
did ^vbd+dod+aux++=did
not ^xnot++not++=not
cry ^vb++++=cry,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
if ^cs+cnd+++=if
you ^pp2+pp2+++=you
could ^md+pos+++=could
have ^vb+hv+aux++=have
seen ^vprf+++xvbnx+=seen
her ^pp$+pp3+++=her
face ^nn++++=face
you ^pp2+pp2+++=you
would ^md+prd+++=would
have ^vb+hv+aux++=have
wished ^vprf++tht0+xvbnx+=wished
she ^pp3a+pp3+++=she
would ^md+prd+++=would
cry ^vb++++=cry.
. ^zz++++=EXTRAWORD
After ^cs+sub+++=After
dinner ^nn++++=dinner
Grandmother ^nn+nom+++=Grandmother
Marshall ^np++++=Marshall
and ^cc++++=and
Chrissie ^np+++??+=Chrissie
drove ^vbd+++xvbn+=drove
away ^rp+pl+++=away,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Uncle ^nn++++=Uncle
Roderick ^np++++=Roderick
and ^cc++++=and
Aunt ^nn++++=Aunt
Isabella ^np+++??+=Isabella
went ^vbd+++xvbn+=went
away ^rp+pl+++=away,
, ^zz++++=EXTRAWORD
too ^rb++++=too.
. ^zz++++=EXTRAWORD
Little ^ap++++=Little
Joyce ^np++++=Joyce
crept ^vbd+++xvbn+=crept
up ^in+cmpx+++=up
to ^in"++++=to
the ^ati++++=the
kitchen ^nn++++=kitchen
chamber ^nn++++=chamber.
. ^zz++++=EXTRAWORD
Denise ^np+++??+=Denise
was ^vbd+bedz+aux++=was
lying ^vbg+++xvbgx+=lying
in ^in++++=in
an ^at++++=an
uneasy ^jj+atrb+++=uneasy
sleep ^nn++++=sleep,
, ^zz++++=EXTRAWORD
with ^in++++=with
tear ^nn++++=tear
stains ^nns++++=stains
on ^rp++++=on
her ^pp3o+pp3+++=her
face ^nn++++=face.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
Little ^jj+atrb+++=Little
Joyce ^np++++=Joyce
tiptoed ^vbd+++xvbn+=tiptoed
down ^rp++++=down
and ^cc++++=and
sped ^vbd+++xvbn+=sped
away ^rp+pl+++=away
to ^in++++=to
the ^ati++++=the
hotel ^nn++++=hotel.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
did ^vbd+dod+aux++=did
not ^xnot++not++=not
know ^vb+vprv+++=know
just ^rb+emph+++=just
what ^wdt+who+++=what
she ^pp3a+pp3+++=she
would ^md+prd+++=would
say ^vb+vpub+++=say
or ^cc++++=or
do ^vb+do+vrb++=do
when ^wrb+who+++=when
she ^pp3a+pp3+++=she
got ^vbd+++xvbnx+=got
there ^rn+pl+++=there,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
she ^pp3a+pp3+++=she
thought ^vbd+++xvbnx+=thought
hard ^jj++++=hard
all ^abn++++=all
the ^ati++++=the
way ^nn++++=way
to ^in++++=to
the ^ati++++=the
end ^nn++++=end
of ^in++++=of
the ^ati++++=the
shore ^nn++++=shore
road ^npl++++=road.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
she ^pp3a+pp3+++=she
came ^vbd+++xvbnx+=came
out ^rp+pl+++=out
to ^in++++=to
the ^ati++++=the
shore ^nn++++=shore,
, ^zz++++=EXTRAWORD
a ^at++++=a
lady ^nn++++=lady
was ^vbd+bedz+aux++=was
sitting ^vbg+++xvbgx+=sitting
alone ^rb++++=alone
on ^in++++=on
a ^at++++=a
big ^jj+atrb+++=big
rock ^nn++++=rock
a ^at++++=a
lady ^nn++++=lady
with ^in++++=with
a ^at++++=a
dark ^nn++++=dark,
, ^zz++++=EXTRAWORD
beautiful ^jj+atrb+++=beautiful
face ^nn++++=face
and ^cc++++=and
wonderful ^jj+atrb+++=wonderful
eyes ^nns++++=eyes.
. ^zz++++=EXTRAWORD
Little ^ap++++=Little
Joyce ^np++++=Joyce
stopped ^vbd+++xvbn+=stopped
before ^cs+sub+++=before
her ^pp$+pp3+++=her
and ^cc++++=and
looked ^vbd+++xvbn+=looked
at ^rb++++=at
her ^pp3o+pp3+++=her
meditatively ^rb++++=meditatively.
. ^zz++++=EXTRAWORD
Perhaps ^rb++++=Perhaps
it ^pp3+it+++=it
would ^md+prd+++=would
be ^vb+be+vrb++=be
well ^rb++++=well
to ^to++++=to
ask ^vbi++++=ask
advice ^nn++++=advice
of ^in++++=of
this ^dt+dem+++=this
lady ^nn++++=lady.
. ^zz++++=EXTRAWORD
" ^zz++++="If
if ^cs+cnd+++=EXTRAWORD
you ^pp2+pp2+++=you
please ^uh++++=please,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Little ^ap++++=Little
Joyce ^np++++=Joyce,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
was ^vbd+bedz+vrb++=was
never ^rb++++=never
shy ^jj+pred+++=shy
with ^in++++=with
strangers ^nns+nom+++=strangers,
, ^zz++++=EXTRAWORD
for ^in++++=for
whose ^whp+rel+pied++=whose
opinion ^nn++++=opinion
she ^pp3a+pp3+++=she
did ^vbd+dod+vrb++=didn't
n't ^xnot++not++0=EXTRAWORD
care ^nn++++=care
at ^rb++++=at
all ^abn++++=all,
, ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
want ^vb++++=want
to ^to+vcmp+++=to
see ^vbi+vprv+++=see
Madame ^npt++++=Madame
Laurin ^np+++??+=Laurin
at ^in++++=at
the ^ati++++=the
hotel ^nn++++=hotel
and ^cc++++=and
ask ^vb++++=ask
her ^pp$+pp3+++=her
to ^to++++=to
do ^vbi++++=do
me ^pp1o+pp1+++=me
a ^at++++=a
very ^ql+amp+++=very
great ^np++++=great
favour ^nn++++=favour.
. ^zz++++=EXTRAWORD
Will ^md+prd+++=Will
you ^pp2+pp2+++=you
tell ^vb++++=tell
me ^pp1o+pp1+++=me
the ^ati++++=the
best ^jjt+atrb+++=best
way ^nn++++=way
to ^to++++=to
go ^vbi++++=go
about ^in+ppvb+++=about
seeing ^xvbg+++xvbg+=seeing
her ^pp$+pp3+++=her?
? ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
shall ^md+prd+++=shall
be ^vb+be+vrb++=be
much ^ap++++=much
obliged ^jj+++xvbn+=obliged
to ^to+jcmp+++=to
you ^pp2+pp2+++=you."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="What
what ^wdt+who+++=EXTRAWORD
is ^vbz+bez+vrb++=is
the ^ati++++=the
favour ^nn++++=favour
you ^pp2+pp2+++=you
want ^vb++++=want
to ^to+vcmp+++=to
ask ^vbi++++=ask
of ^in++++=of
Madame ^npt++++=Madame
Laurin ^np+++??+=Laurin?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
inquired ^vbd+++xvbn+=inquired
the ^ati++++=the
lady ^nn++++=lady,
, ^zz++++=EXTRAWORD
smiling ^jj+++xvbg+=smiling.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
want ^vb++++=want
to ^to+vcmp+++=to
ask ^vbi++++=ask
her ^pp$+pp3+++=her
if ^cs+cnd+++=if
she ^pp3a+pp3+++=she
will ^md+prd+++=will
come ^vb++++=come
and ^cc+phrs+++=and
sing ^vb++++=sing
for ^in++++=for
Denise ^np+++??+=Denise
before ^cs+sub+++=before
she ^pp3a+pp3+++=she
dies ^vbz++++=dies
before ^cs+sub+++=before
Denise ^np+++??+=Denise
dies ^vbz++++=dies,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
mean ^jj++++=mean.
. ^zz++++=EXTRAWORD
Denise ^np+++??+=Denise
is ^vbz+bez+vrb++=is
our ^pp$+pp1+++=our
French ^jj+atrb+++=French
girl ^nn++++=girl,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
doctor ^nn++++=doctor
says ^vbz+vpub+tht0++=says
she ^pp3a+pp3+++=she
cannot ^md+pos+not++=cannot
live ^vb++++=live
very ^ql+amp+++=very
long ^rb+cnj+++=long,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
she ^pp3a+pp3+++=she
wishes ^nns++++=wishes
with ^in++++=with
all ^abn++++=all
her ^pp3o+pp3+++=her
heart ^nn++++=heart
to ^to++++=to
hear ^vbi+vprv+++=hear
Madame ^npt++++=Madame
Laurin ^np+++??+=Laurin
sing ^vb++++=sing.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
is ^vbz+bez+vrb++=is
very ^ql+amp+++=very
bitter ^jj++++=bitter,
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
know ^vb+vprv+++=know,
, ^zz++++=EXTRAWORD
to ^to++++=to
be ^vbi+vbi+aux++=be
dying ^vbg+++xvbgx+=dying
and ^cc+phrs+++=and
want ^vb++++=want
something ^pn++++=something
very ^ql+amp+++=very
much ^ap++++=much
and ^cc++++=and
not ^xnot++not++=not
be ^vb+be+vrb++=be
able ^jj++pmd"++=able
to ^to+jcmp+pmd++=to
get ^vb++++=get
it ^pp3+it+++=it."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Do
do ^vb+do+aux++=EXTRAWORD
you ^pp2+pp2+++=you
think ^vb+vprv+++=think
Madame ^npt++++=Madame
Laurin ^np+++??+=Laurin
will ^md+prd+++=will
go ^vb++++=go?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
asked ^vbd+vsua++xvbn+=asked
the ^ati++++=the
lady ^nn++++=lady.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
know ^vb+vprv+++=know.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
am ^vb+bem+aux++=am
going ^md"++pmd"++=going
to ^md+prd+++=to
offer ^vb++++=offer
her ^pp$+pp3+++=her
my ^pp$+pp1+++=my
little ^ap++++=little
black ^jj+atrb+++=black
doll ^nn++++=doll.
. ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
she ^pp3a+pp3+++=she
will ^md+prd+++=will
not ^xnot++not++=not
come ^vb++++=come
for ^in+ppvb+++=for
that ^dt+pdem+++=that,
, ^zz++++=EXTRAWORD
there ^ex+pex+++=there
is ^vbz+bez+vrb++=is
nothing ^pn++++=nothing
else ^rb+cnj+++=else
I ^pp1a+pp1+++=I
can ^md+pos+++=can
do ^vb+do+vrb++=do."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
A ^at++++=A
flash ^nn++++=flash
of ^in++++=of
interest ^nn++++=interest
lighted ^vbd+++xvbn+=lighted
up ^rp++++=up
the ^ati++++=the
lady ^nn++++=lady's
's ^vbz+bez+vrb++0=EXTRAWORD
brown ^jj+atrb+++=brown
eyes ^nns++++=eyes.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
bent ^vbd+++xvbnx+=bent
forward ^rb++++=forward.
. ^zz++++=EXTRAWORD
" ^zz++++="Is
is ^vbz+bez+vrb++=EXTRAWORD
it ^pp3+it+++=it
your ^pp$+pp2+++=your
doll ^nn++++=doll
you ^pp2+pp2+++=you
have ^vb+hv+vrb++=have
in ^cs+sub+++=in
that ^cs"++++=that
box ^nn++++=box?
? ^zz++++=EXTRAWORD
Will ^md+prd+++=Will
you ^pp2+pp2+++=you
let ^vbd+++xvbn+=let
me ^pp1o+pp1+++=me
see ^vb+vprv+++=see
it ^pp3+it+++=it?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Little ^ap++++=Little
Joyce ^np++++=Joyce
nodded ^vbd+++xvbn+=nodded.
. ^zz++++=EXTRAWORD
Mutely ^np+++??+=Mutely
she ^pp3a+pp3+++=she
opened ^vbd+++xvbnx+=opened
the ^ati++++=the
box ^nn++++=box
and ^cc++++=and
took ^vbd+++xvbn+=took
out ^rp+pl+++=out
the ^ati++++=the
black ^jj+atrb+++=black
doll ^nn++++=doll.
. ^zz++++=EXTRAWORD
The ^ati++++=The
lady ^nn++++=lady
gave ^vbd+++xvbn+=gave
an ^at++++=an
exclamation ^nn+nom+++=exclamation
of ^in++++=of
amazed ^vbd+++xvbn+=amazed
delight ^nn++++=delight
and ^cc++++=and
almost ^rb+hdg+++=almost
snatched ^vbd+++xvbn+=snatched
it ^pp3+it+++=it
from ^in++++=from
Little ^jj+atrb+++=Little
Joyce ^np++++=Joyce.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
a ^at++++=a
very ^ql+amp+++=very
peculiar ^jj++++=peculiar
little ^ap++++=little
doll ^nn++++=doll
indeed ^qlp++++=indeed,
, ^zz++++=EXTRAWORD
carved ^j+++xvbn+=carved
out ^rp+pl+++=out
of ^in++++=of
some ^dti++++=some
black ^jj+atrb+++=black
polished ^jj+atrb+++=polished
wood ^nn++++=wood.
. ^zz++++=EXTRAWORD
" ^zz++++="Child,
child ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
where ^wrb+who+++=where
in ^in++++=in
the ^ati++++=the
world ^nn++++=world
did ^vbd+dod+aux++=did
you ^pp2+pp2+++=you
get ^vb++++=get
this ^dt+pdem+++=this?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
cried ^vbd+++xvbnx+=cried.
. ^zz++++=EXTRAWORD
" ^zz++++="Father
father ^npt++++=EXTRAWORD
got ^vbd+++xvbn+=got
it ^pp3+it+++=it
out ^rp+pl+++=out
of ^in++++=of
a ^at++++=a
grave ^nn++++=grave
in ^in++++=in
Egypt ^np++++=Egypt,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Little ^ap++++=Little
Joyce ^np++++=Joyce.
. ^zz++++=EXTRAWORD
" ^zz++++="It
it ^pp3+it+++=EXTRAWORD
was ^vbd+bedz+aux++=was
buried ^vpsv++agls+xvbnx+=buried
with ^in++++=with
the ^ati++++=the
mummy ^nn++++=mummy
of ^in++++=of
a ^rb++++=a
little ^rb"++++=little
girl ^nn++++=girl
who ^whp+rel+subj++=who
lived ^vbd+++xvbn+=lived
four ^cd++++=four
thousand ^cd++++=thousand
years ^nns++++=years
ago ^rb+cnj+++=ago,
, ^zz++++=EXTRAWORD
Uncle ^nn++++=Uncle
Roderick ^np++++=Roderick
says ^vbz+vpub+++=says.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
must ^md+nec+++=must
have ^vb+hv+aux++=have
loved ^vprf+++xvbnx+=loved
her ^pp$+pp3+++=her
doll ^nn++++=doll
very ^ap+amp+++=very
much ^ap++++=much
to ^in++++=to
have ^vbi+vbi+aux++=have
had ^vb+hv+aux++=had
it ^pp3+it+++=it
buried ^vbd+++xvbn+=buried
with ^in++++=with
her ^pp$+pp3+++=her,
, ^zz++++=EXTRAWORD
must ^md+nec+++=mustn't
n't ^xnot++not++0=EXTRAWORD
she ^pp3a+pp3+++=she?
? ^zz++++=EXTRAWORD
But ^cc+cls+++=But
she ^pp3a+pp3+++=she
could ^md+pos+++=could
not ^xnot++not++=not
have ^vb+hv+aux++=have
loved ^vprf+++xvbnx+=loved
