Violent ^jj+atrb+++=VIOLENT
was ^vbd+bedz+vrb++=was
a ^at++++=a
great ^nn++++=great
bronzed ^vbd+++xvbn+=bronzed
ape ^nn++++=ape
with ^in++++=with
a ^at++++=a
creamy ^jj+atrb+++=creamy
white ^jj+atrb+++=white
Elvis ^np++++=Elvis
pompadour ^np++++=pompadour.
. ^zz++++=EXTRAWORD
As ^ql++++=As
he ^pp3a+pp3+++=he
leaned ^vbd+++xvbnx+=leaned
back ^jjb++++=back,
, ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
unbuttoned ^jj+atrb++xvbn+=unbuttoned
shirt ^nn++++=shirt
spread ^vbd+++xvbn+=spread
open ^jj++++=open,
, ^zz++++=EXTRAWORD
displaying ^vbg+++xvbg+=displaying
his ^pp$+pp3+++=his
pectorals ^nns+nom+++=pectorals.
. ^zz++++=EXTRAWORD
Only ^ap+down+++=Only
Jimmy ^nn++++=Jimmy
seemed ^vbd+seem++xvbn+=seemed
to ^to+vcmp+++=to
notice ^vbi+vprv+++=notice
the ^ati++++=the
woman ^nn++++=woman.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
viewed ^vbd+++xvbnx+=viewed
the ^ati++++=the
proceedings ^nns++++=proceedings
as ^ql++++=as
she ^pp3a+pp3+++=she
had ^vbd+hvd+aux++=had
greeted ^vprf+++xvbnx+=greeted
the ^ati++++=the
Peytons ^np+++??+=Peytons
at ^in++++=at
the ^ati++++=the
door ^nn++++=door:
: ^zz++++=EXTRAWORD
with ^in++++=with
dumb ^jj+atrb+++=dumb
animal ^nn++++=animal
indifference ^nn+nom+++=indifference
through ^in++++=through
which ^whp+rel+pied++=which
muted ^vbd+++xvbn+=muted
anger ^nn++++=anger
only ^rb+down+++=only
occasionally ^rb++++=occasionally
flickered ^vbd+++xvbn+=flickered.
. ^zz++++=EXTRAWORD
Blotches ^nns++++=Blotches
marred ^vwbn+++xvbn+=marred
otherwise ^rb+cnj+++=otherwise
satisfactory ^jj+atrb+++=satisfactory
features ^nns++++=features.
. ^zz++++=EXTRAWORD
Lieutenant ^npt+nom+++=Lieutenant
Peyton ^np+++??+=Peyton
repeated ^vbd+++xvbn+=repeated
Welch ^np++++=Welch's
's ^$++++=EXTRAWORD
accusations ^nns+nom+++=accusations.
. ^zz++++=EXTRAWORD
" ^zz++++="He's
he ^pp3a+pp3+++=EXTRAWORD
's ^vbz+bez+vrb++0=EXTRAWORD
full ^jj++++=full
of ^in++++=of
it ^pp3+it+++=it."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Did
did ^vbd+dod+aux++=EXTRAWORD
you ^pp2+pp2+++=you
know ^vb+vprv+++=know
Mrs ^npt++++=Mrs.
. ^zz++++=EXTRAWORD
Welch ^np++++=Welch?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
asked ^vbd+vsua++xvbn+=asked
the ^ati++++=the
lieutenant ^nn+nom+++=lieutenant.
. ^zz++++=EXTRAWORD
" ^zz++++="Sure
sure ^jj++++=EXTRAWORD
I ^pp1a+pp1+++=I
knew ^vbd+vprv+tht0+xvbnx+=knew
her ^pp$+pp3+++=her.
. ^zz++++=EXTRAWORD
Lotsa ^np+++??+=Lotsa
guys ^nns++++=guys
knew ^vbd+vprv+tht0+xvbn+=knew
her ^pp$+pp3+++=her.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
was ^vbd+bedz+vrb++=was
hangin ^nn+++??+=hangin'
' ^zz++++=EXTRAWORD
around ^rp++++=around
the ^ati++++=the
Flat ^jj+atrb+++=Flat
Top ^jjb+atrb+++=Top
Bar ^nn++++=Bar--I
-- ^--+clp+++=EXTRAWORD
i ^pp1a+pp1+++=EXTRAWORD
dunno ^np++++=dunno,
, ^zz++++=EXTRAWORD
five ^cd++++=five,
, ^zz++++=EXTRAWORD
six ^cd++++=six
weeks ^nns++++=weeks
before ^cs+sub+++=before
I ^pp1a+pp1+++=I
got ^vbd+++xvbnx+=got
talkie ^nn+++??+=talkie'
' ^zz++++=EXTRAWORD
to ^in++++=to
her ^pp$+pp3+++=her."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="What
what ^wdt+who+++=EXTRAWORD
would ^md+prd+++=would
a ^at++++=a
woman ^nn++++=woman
from ^in++++=from
Indian ^jj+atrb+++=Indian
Village ^nn+nom+++=Village
be ^vb+be+aux++=be
doing ^vbg+++xvbgx+=doing
in ^in++++=in
a ^at++++=a
bar ^nn++++=bar
around ^in++++=around
here ^rn+pl+++=here?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Dimke ^np+++??+=Dimke
shrugged ^vbd+++xvbn+=shrugged.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
would ^md+prd+++=wouldn't
n't ^xnot++not++0=EXTRAWORD
go ^vb++++=go
to ^in++++=to
no ^ati++neg++=no
bars ^nns++++=bars
in ^in++++=in
Detroit ^np+++??+=Detroit
after ^in++++=after
dark ^nn++++=dark.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
got ^vbd+++xvbnx+=got
the ^ati++++=the
idea ^nn++++=idea
she ^pp3a+pp3+++=she
went ^vbd+++xvbnx+=went
to ^in++++=to
bars ^nns++++=bars
all ^abn++++=all
over ^in++++=over
the ^ati++++=the
place ^nn++++=place.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
mean ^jj++++=mean,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
was ^vbd+bedz+vrb++=was
lookin ^nn+++??+=lookin'
' ^zz++++=EXTRAWORD
for ^in++++=for
action ^nn++++=action.
. ^zz++++=EXTRAWORD
Or ^cc+cls+++=Or
maybe ^rb+hdg+++=maybe
she ^pp3a+pp3+++=she
just ^rb+emph+++=just
did ^vbd+dod+aux++=didn't
n't ^xnot++not++0=EXTRAWORD
want ^vb++++=want
to ^to+vcmp+++=to
go ^vbi++++=go
to ^in++++=to
no ^ati++neg++=no
bars ^nns++++=bars
around ^in++++=around
where ^wrb+who+++=where
she ^pp3a+pp3+++=she
lived ^vbd+++xvbnx+=lived
' ^zz++++='cause
cause ^nn++++=EXTRAWORD
she ^pp3a+pp3+++=she
thought ^vbd+++xvbnx+=thought
her ^pp3o+pp3+++=her
old ^jj+atrb+++=old
man ^nn++++=man
might ^md+pos+++=might
catch ^vb++++=catch
her ^pp$+pp3+++=her."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="She
she ^pp3a+pp3+++=EXTRAWORD
was ^vbd+bedz+vrb++=was
afraid ^jj+pred+++=afraid
of ^in++++=of
him ^pp3o+pp3+++=him?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
think ^vb+vprv+tht0++=think
she ^pp3a+pp3+++=she
was ^vbd+bedz+vrb++=was.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
got ^vbd+++xvbnx+=got
the ^ati++++=the
idea ^nn++++=idea
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
this ^dt+dem+++=this
wimp ^nn+++??+=wimp
she ^pp3a+pp3+++0=she'd
'd ^md+prd+aux++=EXTRAWORD
just ^rb+emph+splt++=just
married ^vprf+++xvbnx+=married
for ^in++++=for
his ^pp$+pp3+++=his
money ^nn++++=money;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I
asked ^vbd+vsua+tht0+xvbnx+=asked
her ^pp$+pp3+++=her
why ^wrb+who+++=why
she ^pp3a+pp3+++=she
did ^vbd+dod+vrb++=didn't
n't ^xnot++not++0=EXTRAWORD
leave ^nn++++=leave
him ^pp3o+pp3+++=him;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
she ^pp3a+pp3+++=she
said ^vbd+vpub++xvbnx+=said,
, ^zz++++=EXTRAWORD
' ^zz++++='That's
that ^dt+pdem+++=EXTRAWORD
's ^vbz+bez+vrb++0=EXTRAWORD
something ^pn++++=something
I ^pp1a+pp1+++0=I'd
'd ^md+prd+aux++=EXTRAWORD
rather ^rb++++=rather
not ^xnot++not++=not
go ^vb++++=go
into ^in++++=into';
'; ^nn+++??+=EXTRAWORD
and ^cc++++=and
she ^pp3a+pp3+++=she
got ^vbd+++xvbnx+=got
this ^dt+dem+++=this
funny ^jj+atrb+++=funny
look ^nn++++=look
in ^in++++=in
her ^pp$+pp3+++=her
eyes ^nns++++=eyes.
. ^zz++++=EXTRAWORD
Know ^vb+vprv+++=Know
what ^wdt+who+whcl++=what
I ^pp1a+pp1+++=I
mean ^vb+vprv+++=mean?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Yeah.
yeah ^uh++++=EXTRAWORD
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
got ^vbd+++xvbn+=got
to ^to+vcmp+++=to
know ^vbi+vprv+++=know
Mrs ^npt++++=Mrs.
. ^zz++++=EXTRAWORD
Welch ^np++++=Welch
quite ^abl++++=quite
well ^rb+cnj+++=well,
, ^zz++++=EXTRAWORD
did ^vbd+dod+vrb++=didn't
n't ^xnot++not++0=EXTRAWORD
you ^pp2+pp2+++=you?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Dimke ^np++++=Dimke's
's ^$++++=EXTRAWORD
face ^nn++++=face
went ^vbd+++xvbn+=went
cold ^nn++++=cold.
. ^zz++++=EXTRAWORD
" ^zz++++="Like
like ^in++++=EXTRAWORD
what ^wdt+who+++=what
do ^vb+do+aux++=do
you ^pp2+pp2+++=you
mean ^vb+vprv+++=mean?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Well,
well ^rb+cnj+++=EXTRAWORD
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
told ^vbd+vpub+tht0+xvbnx+=told
you ^pp2+pp2+++=you
about ^rb++++=about
her ^pp3o+pp3+++=her
marriage ^nn+nom+++=marriage.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
told ^vbd+vpub+tht0+xvbnx+=told
you ^pp2+pp2+++=you
about ^in++++=about
other ^ap++++=other
bars ^nns++++=bars
she ^pp3a+pp3+++=she
went ^vbd+++xvbnx+=went
to ^in+strn+++=to.
. ^zz++++=EXTRAWORD
Welch ^np++++=Welch
knew ^vbd+vprv+tht0+xvbn+=knew
your ^pp$+pp2+++=your
name ^nn++++=name
and ^cc++++=and
address ^nns+nom+++=address,
, ^zz++++=EXTRAWORD
which ^whp+rel+obj++=which
kind ^rb+hdg+++=kind
of ^rb"+hdg"+++=of
suggests ^vbz+vpub+tht0++=suggests
she ^pp3a+pp3+++=she
did ^vbd+dod+vrb++=did
too ^rb++++=too.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
mean ^jj++++=mean,
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
can ^md+pos+++=can't
n't ^xnot++not++0=EXTRAWORD
blame ^vb++++=blame
us ^pp1o+pp1+++=us
for ^in+strn+++=for--uhjumping
-- ^--+clp+++=EXTRAWORD
uhjumping ^jj+++xvbg+=EXTRAWORD
to ^in++++=to
conclusions ^nns++++=conclusions."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Jimmy ^np++++=Jimmy
flinched ^vbd+++xvbn+=flinched.
. ^zz++++=EXTRAWORD
Another ^dt++++=Another
shrug ^nn++++=shrug.
. ^zz++++=EXTRAWORD
" ^zz++++="So
so ^ql++++=EXTRAWORD
I ^pp1a+pp1+++=I
let ^vbd+++xvbnx+=let
her ^pp$+pp3+++=her
talk ^nn++++=talk
to ^in++++=to
me ^pp1o+pp1+++=me.
. ^zz++++=EXTRAWORD
So ^ql++++=So
I ^pp1a+pp1+++=I
let ^vbd+++xvbnx+=let
her ^pp$+pp3+++=her
think ^vb+vprv+tht0++=think
I ^pp1a+pp1+++=I
was ^vbd+bedz+vrb++=was
comin ^nn+++??+=comin'
' ^zz++++=EXTRAWORD
on ^in+cmpx+++=on
to ^in"++++=to
her ^pp$+pp3+++=her."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
and ^cc++++=and
Lieutenant ^npt+nom+++=Lieutenant
Peyton ^np+++??+=Peyton
studied ^vbd+++xvbn+=studied
each ^ppls++++=each
other ^ap++++=other.
. ^zz++++=EXTRAWORD
" ^zz++++="So
so ^ql++++=EXTRAWORD
maybe ^rb+hdg+++=maybe
I ^pp1a+pp1+++=I
was ^vbd+bedz+vrb++=was.
. ^zz++++=EXTRAWORD
Hey ^uh++++=Hey,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
been ^vprf+ben+aux+xvbnx+=been
married ^vpsv++agls+xvbnx+=married--what?--twelve
-- ^--+clp+++=EXTRAWORD
what? ^nn+++??+=EXTRAWORD
-- ^--+clp+++=EXTRAWORD
twelve ^cd++++=EXTRAWORD
years ^nns++++=years?
? ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
used ^md"++pmd"++=used
to ^to++++=to
be ^vbi++vrb++=be
real ^rb+emph+++=real
big ^jj++++=big
with ^in++++=with
the ^ati++++=the
ladies ^nns++++=ladies.
. ^zz++++=EXTRAWORD
So ^ql++++=So
I ^pp1a+pp1+++=I
let ^vbd+++xvbnx+=let
some ^dti++++=some
fine ^jj++++=fine-lookin'
- ^zz++++=EXTRAWORD
lookin ^nn+++??+=EXTRAWORD
' ^zz++++=EXTRAWORD
chick ^nn++++=chick
make ^vb++++=make
some ^dti++++=some
moves ^vbz++++=moves
on ^rp++++=on
me ^pp1o+pp1+++=me,
, ^zz++++=EXTRAWORD
show ^nn++++=show
me ^pp1o+pp1+++=me
I ^pp1a+pp1+++=I
still ^rb++++=still
got ^vbd+++xvbn+=got
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
Even ^rb++++=Even
the ^ati++++=the
most ^ql+emph+++=most
happily ^rb++++=happily
married ^jj+atrb++xvbn+=married
man ^nn++++=man's
's ^$++++=EXTRAWORD
gotta ^md+nec+++0=gotta
do ^vb+do+vrb++=do
that ^dt+dem+++=that
or ^cc++++=or
he ^pp3a+pp3+++=he
gets ^vbz++++=gets
stale ^jj++++=stale.
. ^zz++++=EXTRAWORD
Right ^jj++++=Right,
, ^zz++++=EXTRAWORD
hoe ^vb++++=hoe?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
guess ^vb++++=guess
so ^ql++++=so."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
were ^vbd+bed+aux++=were
precinct ^npl++++=precinct
bound ^vwbn+++xvbn+=bound.
. ^zz++++=EXTRAWORD
" ^zz++++="What
what ^wdt+who+whq++=EXTRAWORD
do ^vb+do+aux++=do
you ^pp2+pp2+++=you
think ^vb+vprv+++=think
of ^in++++=of
his ^pp$+pp3+++=his
story ^nn++++=story?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
asked ^vbn+vsua++xvbn+=asked
Jimmy ^np++++=Jimmy.
. ^zz++++=EXTRAWORD
" ^zz++++="Story's
story ^nn++++=EXTRAWORD
's ^vbz+bez+vrb++0=EXTRAWORD
fine ^jj++++=fine.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
did ^vbd+dod+aux++=did
you ^pp2+pp2+++=you
notice ^vb+vprv+++=notice
Mrs ^npt++++=Mrs.
. ^zz++++=EXTRAWORD
Dimke ^np++++=Dimke's
's ^$++++=EXTRAWORD
wrists ^nns++++=wrists?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Jimmy ^np++++=Jimmy
vaguely ^rb++++=vaguely
recalled ^vbd+vprv++xvbn+=recalled
bruises ^nns++++=bruises.
. ^zz++++=EXTRAWORD
" ^zz++++="And
and ^cc++++=EXTRAWORD
the ^ati++++=the
way ^nn++++=way
she ^pp3a+pp3+++=she
acted ^vbd+++xvbnx+=acted?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="She
she ^pp3a+pp3+++=EXTRAWORD
acted ^vbd+++xvbnx+=acted
bored ^vbd+++xvbn+=bored."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="She
she ^pp3a+pp3+++=EXTRAWORD
acted ^vbd+++xvbnx+=acted
scared ^xvbn+++xvbn+=scared.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
was ^vbd+bedz+aux++=was
scared ^vpsv++agls+xvbnx+=scared
to ^to++++=to
let ^vbi++++=let
us ^pp1o+pp1+++=us
see ^vb+vprv+++=see
how ^wrb+who+whcl++=how
scared ^jj+++xvbn+=scared
she ^pp3a+pp3+++=she
was ^vbd+bedz+vrb++=was,
, ^zz++++=EXTRAWORD
so ^ql++++=so
she ^pp3a+pp3+++=she
held ^vbd+vprv+tht0+xvbnx+=held
herself ^ppl+pp3+++=herself
in ^in+strn+++=in.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There's
's ^vbz+bez+vrb++0=EXTRAWORD
plenty ^nn++++=plenty
she ^pp3a+pp3+++=she
could ^md+pos+++=could
tell ^vb++++=tell
us ^pp1o+pp1+++=us,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
she ^pp3a+pp3+++=she
knows ^vbz+vprv+++=knows
what ^wdt+who+whcl++=what
he ^pp3a+pp3+++=he'll
'll ^md+prd+++0=EXTRAWORD
do ^vb+do+vrb++=do
to ^in++++=to
her ^pp$+pp3+++=her
if ^cs+cnd+++=if
she ^pp3a+pp3+++=she
does ^vbz+doz+vrb++=does."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="So
so ^ql++++=EXTRAWORD
it ^pp3+it+++=it's
's ^vbz+bez+vrb++0=EXTRAWORD
between ^in++++=between
Welch ^np++++=Welch
and ^cc++++=and
Dimke ^np+++??+=Dimke?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="One
one ^cd1++++=EXTRAWORD
thing ^nn++++=thing's
's ^vbz+bez+vrb++0=EXTRAWORD
sure ^jj++++=sure:
: ^zz++++=EXTRAWORD
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=wasn't
n't ^xnot++not++0=EXTRAWORD
him ^pp3o+pp3+++=him."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Him?"
him ^pp3o+pp3+++=EXTRAWORD
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Lieutenant ^npt+nom+++=Lieutenant
Peyton ^np+++??+=Peyton
grinned ^vbd+++xvbn+=grinned.
. ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
know ^vb+vprv+++=know."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
The ^ati++++=The
lieutenant ^nn+nom+++=lieutenant
flipped ^vbd+++xvbn+=flipped
on ^in++++=on
his ^pp$+pp3+++=his
office ^nn++++=office
light ^nn++++=light.
. ^zz++++=EXTRAWORD
" ^zz++++="The
the ^ati++++=EXTRAWORD
bloodstains ^nns++++=bloodstains
show ^nn++++=show
she ^pp3a+pp3+++=she
was ^vbd+bedz+aux++=was
killed ^vpsv++agls+xvbnx+=killed
in ^in++++=in
the ^ati++++=the
bedroom ^nn++++=bedroom.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
no ^at++++=no
sign ^nn++++=sign
of ^in++++=of
a ^at++++=a
struggle ^nn++++=struggle,
, ^zz++++=EXTRAWORD
so ^ql++++=so
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
evidently ^rb++++=evidently
someone ^pn++++=someone
she ^pp3a+pp3+++=she
trusted ^vbd+++xvbnx+=trusted."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
started ^vbd+++xvbnx+=started
going ^vbg+++xvbg+=going
through ^in++++=through
the ^ati++++=the
mail ^nn++++=mail
on ^in++++=on
his ^pp$+pp3+++=his
desk ^nn++++=desk.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
mean ^jj++++=mean,
, ^zz++++=EXTRAWORD
can ^md+pos+++=can
you ^pp2+pp2+++=you
see ^vb+vprv+tht0++=see
anyone ^pn++++=anyone
letting ^nvbg+++xvbg+=letting
him ^pp3o+pp3+++=him
get ^vb++++=get
that ^cs+sub+++=that
close ^jj++++=close--and
-- ^--+clp+++=EXTRAWORD
and ^cc+cls+++=EXTRAWORD
in ^in++++=in
her ^pp$+pp3+++=her
bedroom ^nn++++=bedroom
yet ^cc++++=yet?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
glanced ^vbd+++xvbnx+=glanced
at ^in++++=at
one ^pn++++=one
of ^in++++=of
the ^ati++++=the
envelopes ^nns++++=envelopes,
, ^zz++++=EXTRAWORD
started ^j+++xvbn+=started
moving ^jj+++xvbg+=moving
it ^pp3+it+++=it
to ^in++++=to
the ^ati++++=the
bottom ^nn++++=bottom,
, ^zz++++=EXTRAWORD
then ^rn+tm+++=then
glanced ^vbd+++xvbn+=glanced
at ^in++++=at
it ^pp3+it+++=it
again ^rb+tm+++=again.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
face ^nn++++=face
went ^vbd+++xvbn+=went
blank ^jj++++=blank.
. ^zz++++=EXTRAWORD
" ^zz++++="What's
what ^wdt+who+whq++=EXTRAWORD
's ^vbz+bez+vrb++0=EXTRAWORD
wrong ^jj++++=wrong,
, ^zz++++=EXTRAWORD
Dad ^npt++++=Dad?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
The ^ati++++=The
old ^jj+atrb+++=old
man ^nn++++=man
struggled ^vbd+++xvbn+=struggled
to ^to+vcmp+++=to
smile ^vb++++=smile.
. ^zz++++=EXTRAWORD
" ^zz++++="Now,
now ^rn+tm+++=EXTRAWORD
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
got ^vbd+++xvbn+=got
me ^pp1o+pp1+++=me
doing ^vbg+++xvbg+=doing
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
Where ^wrb+who+++=Where's
's ^vbz+bez+vrb++0=EXTRAWORD
the ^ati++++=the
letter ^nn++++=letter
opener ^jjr++++=opener?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
went ^vbd+++xvbnx+=went
through ^in++++=through
his ^pp$+pp3+++=his
top ^jjb+atrb+++=top
drawer ^nn++++=drawer,
, ^zz++++=EXTRAWORD
then ^rn+tm+++=then
the ^ati++++=the
second ^od++++=second
drawers ^nns+nom+++=drawers
on ^in++++=on
each ^dt++++=each
side ^nn++++=side,
, ^zz++++=EXTRAWORD
then ^rn+tm+++=then
the ^ati++++=the
next ^ap++++=next,
, ^zz++++=EXTRAWORD
growing ^jj+++xvbg+=growing
more ^rbr++++=more
frantic ^jj++++=frantic
with ^in++++=with
each ^dt++++=each
drawer ^nn++++=drawer.
. ^zz++++=EXTRAWORD
" ^zz++++="Where
where ^wrb+who+++=EXTRAWORD
the ^ati++++=the
hell ^nn++++=hell
is ^vbz+bez+vrb++=is
the ^ati++++=the
damn ^jj+atrb+++=damn
letter ^nn++++=letter
opener ^jjr++++=opener?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Dad."
dad ^npt++++=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
grabbed ^vbd+++xvbnx+=grabbed
the ^ati++++=the
envelope ^nn++++=envelope
and ^cc++++=and
ripped ^vpsv++agls+xvbn+=ripped
off ^in+pl+++=off
an ^at++++=an
edge ^nn++++=edge.
. ^zz++++=EXTRAWORD
Lieutenant ^npt+nom+++=Lieutenant
Peyton ^np+++??+=Peyton
snatched ^vbd+++xvbn+=snatched
it ^pp3+it+++=it
back ^jjb++++=back,
, ^zz++++=EXTRAWORD
clawed ^j+++xvbn+=clawed
out ^rp+pl+++=out
the ^ati++++=the
paper ^nn++++=paper
inside ^jjb++++=inside,
, ^zz++++=EXTRAWORD
shook ^j+++xvbn+=shook
it ^pp3+it+++=it
open ^jj++++=open,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
read ^vb+vprv+tht0+xvbn+=read
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
offered ^vbd+++xvbnx+=offered
it ^pp3+it+++=it
to ^in++++=to
his ^pp$+pp3+++=his
son ^nn++++=son
with ^in++++=with
a ^at++++=a
trembling ^jj+atrb++xvbg+=trembling
hand ^nn++++=hand,
, ^zz++++=EXTRAWORD
looking ^vbg+++xvbg+=looking
as ^cs+sub+++=as
if ^cs+cnd+++=if
he ^pp3a+pp3+++=he
were ^vbd+bed+aux++=were
going ^md"++pmd"++=going
to ^md+prd+++=to
vomit ^vb++++=vomit.
. ^zz++++=EXTRAWORD
The ^ati++++=The
hand ^nn++++=hand-printed
- ^zz++++=EXTRAWORD
printed ^xvbn+++xvbn+=EXTRAWORD
words ^nns++++=words
flew ^vbd+++xvbn+=flew
up ^rp++++=up
like ^in++++=like
fists ^nns++++=fists:
: ^zz++++=EXTRAWORD
" ^zz++++="Lucy
lucy ^np++++=EXTRAWORD
Welch ^np++++=Welch
was ^vbd+bedz+vrb++=was
my ^pp$+pp1+++=my
return ^nn++++=return
performance ^nn+nom+++=performance.
. ^zz++++=EXTRAWORD
Mephistopheles ^np+++??+=Mephistopheles."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Jimmy ^np++++=Jimmy
foggily ^jj++++=foggily
heard ^vbn+vprv++xvbn+=heard
his ^pp$+pp3+++=his
father ^nn++++=father:
: ^zz++++=EXTRAWORD
" ^zz++++="First
first ^rb++++=EXTRAWORD
good ^jj+atrb+++=good
hunch ^nn++++=hunch
you ^pp2+pp2+++=you
had ^vb+hv+vrb++=had
since ^cs+sub+++=since
you ^pp2+pp2+++=you
got ^vbd+++xvbn+=got
promoted ^vbd+++xvbn+=promoted
out ^rp+pl+++=out
of ^in++++=of
uniform ^nn++++=uniform;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
it ^pp3+it+++=it
had ^md"++pmd"++=had
to ^md+nec+++=to
be ^vbi++vrb++=be
about ^rb++++=about
him ^pp3o+pp3+++=him."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
The ^ati++++=The
bar ^nn++++=bar
was ^vbd+bedz+vrb++=was
on ^in++++=on
the ^ati++++=the
first ^od++++=first
level ^nn++++=level
of ^in++++=of
the ^ati++++=the
Renaissance ^nn+nom+++=Renaissance
Center ^np+++??+=Center.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
a ^at++++=a
slow ^jj+atrb+++=slow
night ^nn++++=night.
. ^zz++++=EXTRAWORD
The ^ati++++=The
bartender ^jjr++++=bartender
and ^cc++++=and
all ^rb++++=all
but ^cc++++=but
two ^cd++++=two
of ^in++++=of
the ^ati++++=the
patrons ^nns++++=patrons
were ^vbd+bed+aux++=were
engrossed ^vpsv++agls+xvbnx+=engrossed
in ^in++++=in
a ^at++++=a
televised ^jj+++xvbn+=televised
Tigers ^np+++??+=Tigers
game ^nn++++=game.
. ^zz++++=EXTRAWORD
The ^ati++++=The
Peytons ^np+++??+=Peytons
sat ^vbd+++xvbn+=sat,
, ^zz++++=EXTRAWORD
