Sir ^npt++++=Sir,
. ^zz++++=EXTRAWORD
In ^in++++=In
fact ^nn++++=fact,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
appears ^vbz+seem+++=appears
to ^to+vcmp+++=to
me ^vbi++++=me
that ^dt+dem+++=that
the ^ati++++=the
nomenclature ^nn++++=nomenclature
of ^in++++=of
the ^ati++++=the
country ^nn++++=country
is ^vbz+bez+vrb++=is
almost ^rb+hdg+++=almost
of ^in++++=of
sufficient ^jj+atrb+++=sufficient
importance ^nn+nom+++=importance
for ^in++++=for
the ^ati++++=the
foundation ^nn+nom+++=foundation
of ^in++++=of
a ^at++++=a
distinct ^jj+atrb+++=distinct
society ^nn++++=society;
; ^zz++++=EXTRAWORD
or ^cc+cls+++=or
rather ^rb+cnj+++=rather,
, ^zz++++=EXTRAWORD
a ^at++++=a
corresponding ^jj+atrb++xvbg+=corresponding
association ^nn+nom+++=association
of ^in++++=of
persons ^nns++++=persons
of ^in++++=of
taste ^nn++++=taste
and ^cc++++=and
judgment ^nn+nom+++=judgment,
, ^zz++++=EXTRAWORD
of ^in++++=of
all ^abn++++=all
parts ^nns++++=parts
of ^in++++=of
the ^ati++++=the
Union ^nn++++=Union.
. ^zz++++=EXTRAWORD
Such ^abl++++=Such
an ^at++++=an
association ^nn+nom+++=association,
, ^zz++++=EXTRAWORD
if ^cs+cnd+++=if
properly ^rb++++=properly
constituted ^vbd+++xvbn+=constituted
and ^cc+phrs+++=and
composed ^vbd+++xvbn+=composed,
, ^zz++++=EXTRAWORD
comprising ^jj+++xvbg+=comprising
especially ^rb++++=especially
all ^rb++++=all
the ^ati++++=the
literary ^jj+atrb+++=literary
talent ^nn++++=talent
of ^in++++=of
the ^ati++++=the
country ^nn++++=country,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
it ^pp3+it+++=it
might ^md+pos+++=might
not ^xnot++not++=not
have ^vb+hv+vrb++=have
legislative ^jj+atrb+++=legislative
power ^nn++++=power
in ^in++++=in
its ^pp$+it+++=its
enactments ^nns+nom+++=enactments,
, ^zz++++=EXTRAWORD
yet ^rb++++=yet
would ^md+prd+++=would
have ^vb+hv+vrb++=have
the ^ati++++=the
all ^abn++++=all-pervading
- ^zz++++=EXTRAWORD
pervading ^jj+atrb++xvbg+=EXTRAWORD
power ^nn++++=power
of ^in++++=of
the ^ati++++=the
press ^nn++++=press;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
changes ^nns++++=changes
in ^in++++=in
nomenclature ^nn++++=nomenclature
which ^whp+rel+obj++=which
it ^pp3+it+++=it
might ^md+pos+++=might
dictate ^nn+nom+++=dictate,
, ^zz++++=EXTRAWORD
being ^vbg+beg++xvbg+=being
at ^rb++++=at
once ^rb"+tm+++=once
adopted ^vpsv++by+xvbn+=adopted
by ^in++++=by
elegant ^jj+atrb+++=elegant
writers ^nns+nom+++=writers
in ^in++++=in
prose ^nn++++=prose
and ^cc++++=and
poetry ^nn++++=poetry,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
interwoven ^vpsv++agls+xvbn+=interwoven
with ^in++++=with
the ^ati++++=the
literature ^nn++++=literature
of ^in++++=of
the ^ati++++=the
country ^nn++++=country,
, ^zz++++=EXTRAWORD
would ^md+prd+++=would
ultimately ^rb++splt++=ultimately
pass ^vb++++=pass
into ^in++++=into
popular ^jj+atrb+++=popular
currency ^nn++++=currency.
. ^zz++++=EXTRAWORD
Should ^md+nec+++=Should
such ^abl++++=such
a ^at++++=a
reforming ^jj+atrb+++=reforming
association ^nn+nom+++=association
arise ^vb++++=arise,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
beg ^vb++++=beg
to ^to+vcmp+++=to
recommend ^vbi+vsua+++=recommend
to ^in++++=to
its ^pp$+it+++=its
attention ^nn+nom+++=attention
all ^rb++++=all
those ^dt+dem+++=those
mongrel ^nn+++??+=mongrel
names ^nns++++=names
that ^tht+rel+subj++=that
have ^vb+hv+vrb++=have
the ^ati++++=the
adjective ^nn++++=adjective
New ^jj++++=New
prefixed ^jj+++xvbn+=prefixed
to ^in++++=to
them ^pp3o+pp3+++=them,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
pray ^vb+vsua+tht0++=pray
they ^pp3a+pp3+++=they
may ^md+pos+++=may
be ^vb+be+vrb++=be
one ^cd1++++=one
and ^cc++++=and
all ^abn++++=all
kicked ^jj+++xvbn+=kicked
out ^rp+pl+++=out
of ^in++++=of
the ^ati++++=the
country ^nn++++=country.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
am ^vb+bem+vrb++=am
for ^in++++=for
none ^rb++++=none
of ^in++++=of
these ^dt+dem+++=these
second ^od++++=second-hand
- ^zz++++=EXTRAWORD
hand ^nn++++=EXTRAWORD
appellations ^nns+nom+++=appellations,
, ^zz++++=EXTRAWORD
that ^tht+vcmp+++=that
stamp ^nn++++=stamp
us ^pp1o+pp1+++=us
a ^at++++=a
second ^od++++=second-hand
- ^zz++++=EXTRAWORD
hand ^nn++++=EXTRAWORD
people ^nns++++=people,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
that ^dt+pdem+++=that
are ^vb+ber+aux++=are
to ^to++++=to
perpetuate ^nn+nom+++=perpetuate
us ^pp1o+pp1+++=us
a ^at++++=a
new ^jj+atrb+++=new
country ^nn++++=country
to ^in++++=to
the ^ati++++=the
end ^nn++++=end
of ^in++++=of
time ^nn++++=time.
. ^zz++++=EXTRAWORD
Odds ^nns++++=Odds
my ^pp$+pp1+++=my
life ^nn++++=life!
! ^zz++++=EXTRAWORD
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Editor ^np++++=Editor,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
hope ^nn++++=hope
and ^cc++++=and
trust ^nn++++=trust
we ^pp1a+pp1+++=we
are ^vb+ber+aux++=are
to ^to++++=to
live ^vbi++++=live
to ^to++++=to
be ^vbi++vrb++=be
an ^at++++=an
old ^jj+atrb+++=old
nation ^nn++++=nation,
, ^zz++++=EXTRAWORD
as ^cc+cls+++=as
well ^rb++++=well
as ^cc"++++=as
our ^pp$+pp1+++=our
neighbors ^nns++++=neighbors,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
have ^vb+hv+vrb++=have
no ^at++++=no
idea ^nn++++=idea
that ^tht+ncmp+++=that
our ^pp$+pp1+++=our
cities ^nns++++=cities,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
they ^pp3a+pp3+++=they
shall ^md+prd+++=shall
have ^vb+hv+aux++=have
attained ^vprf+++xvbnx+=attained
to ^in++++=to
venerable ^jj+atrb+++=venerable
antiquity ^nn+nom+++=antiquity,
, ^zz++++=EXTRAWORD
shall ^md+prd+++=shall
still ^rb++++=still
be ^vb+be+aux++=be
dubbed ^vpsv++agls+xvbnx+=dubbed
New ^jj++++=New-York,
- ^zz++++=EXTRAWORD
york ^np++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
New ^jj++++=New-London,
- ^zz++++=EXTRAWORD
london ^np++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
new ^jj++++=new
this ^dt+pdem+++=this
and ^cc++++=and
new ^jj++++=new
that ^dt+pdem+++=that,
, ^zz++++=EXTRAWORD
like ^in++++=like
the ^ati++++=the
Pont ^np++++=Pont-Neuf,
- ^zz++++=EXTRAWORD
neuf ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
( ^zz++++=(the
the ^ati++++=EXTRAWORD
New ^jj+atrb+++=New
Bridge ^npl++++=Bridge,)
, ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
at ^in++++=at
Paris ^np++++=Paris,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
is ^vbz+bez+vrb++=is
the ^ati++++=the
oldest ^jjt++++=oldest
bridge ^npl++++=bridge
in ^cs+sub+++=in
that ^cs"++++=that
capital ^nn++++=capital,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
like ^in++++=like
the ^ati++++=the
Vicar ^nn++++=Vicar
of ^in++++=of
Wakefield ^np++++=Wakefield's
's ^$++++=EXTRAWORD
horse ^nn++++=horse,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
continued ^vbd+++xvbn+=continued
to ^to++++=to
be ^vbi+vbi+aux++=be
called ^vpsv++agls+xvbnx+=called
" ^zz++++="the
the ^ati++++=EXTRAWORD
colt ^nn++++=colt,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
until ^cs+sub+++=until
he ^pp3a+pp3+++=he
died ^vbd+++xvbnx+=died
of ^in++++=of
old ^jj+atrb+++=old
age ^nn++++=age.
. ^zz++++=EXTRAWORD
Speaking ^vbg+++xvbg+=Speaking
of ^in++++=of
New ^jj++++=New-York,
- ^zz++++=EXTRAWORD
york ^np++++=EXTRAWORD
, ^zz++++=EXTRAWORD
reminds ^vbz++++=reminds
me ^pp1o+pp1+++=me
of ^in++++=of
some ^dti++++=some
observations ^nns+nom+++=observations
which ^whp+rel+obj++=which
I ^pp1a+pp1+++=I
met ^vbd+++xvbnx+=met
with ^in+ppvb+++=with
some ^dti++++=some
time ^nn++++=time
since ^in+strn+++=since,
, ^zz++++=EXTRAWORD
in ^in++++=in
one ^pn++++=one
of ^in++++=of
the ^ati++++=the
public ^jj+atrb+++=public
papers ^nns++++=papers,
, ^zz++++=EXTRAWORD
about ^in++++=about
the ^ati++++=the
name ^nn++++=name
of ^in++++=of
our ^pp$+pp1+++=our
state ^nn++++=state
and ^cc++++=and
city ^nn++++=city.
. ^zz++++=EXTRAWORD
The ^ati++++=The
writer ^nn++++=writer
proposes ^vbz+vsua+++=proposes
to ^in++++=to
substitute ^nn++++=substitute
for ^in++++=for
the ^ati++++=the
present ^jj+atrb+++=present
names ^nns++++=names,
, ^zz++++=EXTRAWORD
those ^dt+dem+++=those
of ^in++++=of
the ^ati++++=the
State ^nn++++=State
of ^in++++=of
Ontario ^np++++=Ontario,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
City ^nn++++=CITY
Of ^in++++=OF
Manhattan ^np+nom++??+=MANHATTAN.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
concur ^vb++++=concur
in ^in++++=in
his ^pp$+pp3+++=his
suggestion ^nn+nom+++=suggestion
most ^ql+emph+++=most
heartily ^rb++++=heartily.
. ^zz++++=EXTRAWORD
Though ^cs+sub+++=Though
born ^vbd+++xvbn+=born
and ^cc+phrs+++=and
brought ^vbd+++xvbn+=brought
up ^rb+phrv+++=up
in ^in++++=in
the ^ati++++=the
city ^nn++++=city
of ^in++++=of
New ^jj++++=New-York,
- ^zz++++=EXTRAWORD
york ^np++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
though ^cs+sub+++=though
I ^pp1a+pp1+++=I
love ^nn++++=love
every ^at++++=every
stick ^nn++++=stick
and ^cc++++=and
stone ^nn++++=stone
about ^in++++=about
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
yet ^rb++++=yet
I ^pp1a+pp1+++=I
do ^vb+do+vrb++=do
not ^xnot++not++=not,
, ^zz++++=EXTRAWORD
nor ^cc+cls+neg++=nor
ever ^rb++++=ever
did ^vbd+dod+aux++=did,
, ^zz++++=EXTRAWORD
relish ^vb++++=relish
its ^pp$+it+++=its
name ^nn++++=name.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
like ^in++++=like
neither ^dt++neg++=neither
its ^pp$+it+++=its
sound ^nn++++=sound
nor ^cc++neg++=nor
its ^pp$+it+++=its
significance ^nn+nom+++=significance.
. ^zz++++=EXTRAWORD
As ^in++++=As
to ^in"++++=to
its ^pp$+it+++=its
significance ^nn+nom+++=significance,
, ^zz++++=EXTRAWORD
the ^ati++++=the
very ^ap+amp+++=very
adjective ^nn++++=adjective
new ^jj++++=new
gives ^vbz++++=gives
to ^in++++=to
our ^pp$+pp1+++=our
great ^jj+atrb+++=great
commercial ^jj+atrb+++=commercial
metropolis ^nn++++=metropolis
a ^at++++=a
second ^od++++=second-hand
- ^zz++++=EXTRAWORD
hand ^nn++++=EXTRAWORD
character ^nn+nom+++=character,
, ^zz++++=EXTRAWORD
as ^cs+sub+++=as
if ^cs+cnd+++=if
referring ^vbg+++xvbg+=referring
to ^in++++=to
some ^dti++++=some
older ^jjr++++=older,
, ^zz++++=EXTRAWORD
more ^rbr++++=more
dignified ^jj++++=dignified,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
important ^jj+atrb+++=important
place ^nn++++=place,
, ^zz++++=EXTRAWORD
of ^in++++=of
which ^whp+rel+pied++=which
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
a ^at++++=a
mere ^jjb+atrb+++=mere
copy ^nn++++=copy;
; ^zz++++=EXTRAWORD
though ^cs+sub+++=though
in ^in++++=in
fact ^nn++++=fact,
, ^zz++++=EXTRAWORD
if ^cs+cnd+++=if
I ^pp1a+pp1+++=I
am ^vb+bem+aux++=am
rightly ^rb++splt++=rightly
informed ^vpsv++agls+xvbnx+=informed,
, ^zz++++=EXTRAWORD
the ^ati++++=the
whole ^jj+atrb+++=whole
name ^nn++++=name
commemorates ^nns+nom+++=commemorates
a ^at++++=a
grant ^nn++++=grant
by ^in++++=by
Charles ^np++++=Charles
Ii ^np+++??+=II.
. ^zz++++=EXTRAWORD
to ^in++++=to
his ^pp$+pp3+++=his
brother ^nn++++=brother,
, ^zz++++=EXTRAWORD
the ^ati++++=the
duke ^nn++++=duke
of ^in++++=of
York ^np++++=York,
, ^zz++++=EXTRAWORD
made ^j+++xvbn+=made
in ^in++++=in
the ^ati++++=the
spirit ^nn++++=spirit
of ^in++++=of
royal ^jj+atrb+++=royal
munificence ^nn+nom+++=munificence,
, ^zz++++=EXTRAWORD
of ^in++++=of
a ^at++++=a
tract ^nn++++=tract
of ^in++++=of
country ^nn++++=country
which ^whp+rel+subj++=which
did ^vbd+dod+aux++=did
not ^xnot++not++=not
belong ^vb++++=belong
to ^in++++=to
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
As ^in++++=As
to ^in++++=to
the ^ati++++=the
sound ^nn++++=sound,
, ^zz++++=EXTRAWORD
what ^wdt+who+whq++=what
can ^md+pos+++=can
you ^pp2+pp2+++=you
make ^vb++++=make
of ^in++++=of
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
either ^dtx++++=either
in ^in++++=in
poetry ^nn++++=poetry
or ^cc++++=or
prose ^nn++++=prose?
? ^zz++++=EXTRAWORD
New ^jj++++=New-York!
- ^zz++++=EXTRAWORD
york ^np++++=EXTRAWORD
! ^zz++++=EXTRAWORD
Why ^wrb+who+++=Why,
, ^zz++++=EXTRAWORD
Sir ^npt++++=Sir,
, ^zz++++=EXTRAWORD
if ^cs+cnd+++=if
it ^pp3+it+++=it
were ^vbd+bed+aux++=were
to ^to++++=to
share ^vbi++++=share
the ^ati++++=the
fate ^nn++++=fate
of ^in++++=of
Troy ^np+++??+=Troy
itself ^ppl++++=itself;
; ^zz++++=EXTRAWORD
to ^to++++=to
suffer ^vbi++++=suffer
a ^at++++=a
ten ^cd++++=ten
years ^nns++++=years'
' ^zz++++=EXTRAWORD
siege ^nn++++=siege,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
be ^vb+be+aux++=be
sacked ^vpsv++agls+xvbnx+=sacked
and ^cc+phrs+++=and
plundered ^vprf+++xvbn+=plundered;
; ^zz++++=EXTRAWORD
no ^at++++=no
modern ^jj+atrb+++=modern
Homer ^np++++=Homer
would ^md+prd+++=would
ever ^rb++++=ever
be ^vb+be+vrb++=be
able ^jj++pmd"++=able
to ^to+jcmp+pmd++=to
elevate ^nn+nom+++=elevate
the ^ati++++=the
name ^nn++++=name
to ^in++++=to
epic ^jj+atrb+++=epic
dignity ^nn+nom+++=dignity.
. ^zz++++=EXTRAWORD
Now ^rn+dspt+++=Now,
, ^zz++++=EXTRAWORD
Sir ^npt++++=Sir,
, ^zz++++=EXTRAWORD
Ontario ^np++++=ONTARIO
would ^md+prd+++=would
be ^vb+be+vrb++=be
a ^at++++=a
name ^nn++++=name
worthy ^jj++++=worthy
of ^in++++=of
the ^ati++++=the
empire ^nn++++=empire
state ^nn++++=state.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
bears ^vbz++++=bears
with ^in++++=with
it ^pp3+it+++=it
the ^ati++++=the
majesty ^nn++++=majesty
of ^in++++=of
that ^dt+dem+++=that
internal ^jj+atrb+++=internal
sea ^nn++++=sea
which ^whp+rel+subj++=which
washes ^vbz++++=washes
our ^pp$+pp1+++=our
northwestern ^jj+atrb++xvbn+=northwestern
shore ^nn++++=shore.
. ^zz++++=EXTRAWORD
Or ^cc+cls+++=Or,
, ^zz++++=EXTRAWORD
if ^cs+cnd+++=if
any ^dti++++=any
objection ^nn+nom+++=objection
should ^md+nec+++=should
be ^vb+be+aux++=be
made ^vpsv++agls+xvbnx+=made,
, ^zz++++=EXTRAWORD
from ^in++++=from
its ^pp$+it+++=its
not ^xnot++not++=not
being ^vbg+beg++xvbg+=being
completely ^rb+amp+++=completely
embraced ^vbd+++xvbn+=embraced
within ^in++++=within
our ^pp$+pp1+++=our
boundaries ^nns++++=boundaries,
, ^zz++++=EXTRAWORD
there ^ex+pex+++=there
is ^vbz+bez+vrb++=is
the ^ati++++=the
Mohegan ^np+++??+=MOHEGAN,
, ^zz++++=EXTRAWORD
one ^pn++++=one
of ^in++++=of
the ^ati++++=the
Indian ^jj+atrb+++=Indian
names ^nns++++=names
for ^in++++=for
that ^dt+dem+++=that
glorious ^jj+atrb+++=glorious
river ^nn++++=river,
, ^zz++++=EXTRAWORD
the ^ati++++=the
Hudson ^np++++=Hudson,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
would ^md+prd+++=would
furnish ^vb++++=furnish
an ^at++++=an
excellent ^jj+atrb+++=excellent
state ^nn++++=state
appellation ^nn+nom+++=appellation.
. ^zz++++=EXTRAWORD
So ^ql++++=So
also ^rb++++=also
New ^jj++++=New-York
- ^zz++++=EXTRAWORD
york ^np++++=EXTRAWORD
might ^md+pos+++=might
be ^vb+be+aux++=be
called ^vpsv++agls+xvbnx+=called
Manhatta ^np+++??+=Manhatta,
, ^zz++++=EXTRAWORD
as ^ql++++=as
it ^pp3+it+++=it
is ^vbz+bez+aux++=is
named ^vpsv++agls+xvbnx+=named
in ^in++++=in
some ^dti++++=some
of ^in++++=of
the ^ati++++=the
early ^nn++++=early
records ^vbz+vpub+++=records,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Manhattan ^np+nom++??+=Manhattan
used ^vwbn+++xvbn+=used
as ^ql++++=as
the ^ati++++=the
adjective ^nn++++=adjective.
. ^zz++++=EXTRAWORD
Manhattan ^np+nom++??+=Manhattan,
, ^zz++++=EXTRAWORD
however ^rb+cnj+++=however,
, ^zz++++=EXTRAWORD
stands ^vbz++++=stands
well ^jj+pred+++=well
as ^cs+sub+++=as
a ^at++++=a
substantive ^jj++++=substantive,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
" ^zz++++="Manhattanese,"
manhattanese ^nn+nom+++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
which ^whp+who+++=which
I ^pp1a+pp1+++=I
observe ^vb+vprv+++=observe
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Cooper ^np++++=COOPER
has ^vbz+hvz+aux++=has
adopted ^vprf+++xvbnx+=adopted
in ^in++++=in
some ^dti++++=some
of ^in++++=of
his ^pp$+pp3+++=his
writings ^nns++++=writings,
, ^zz++++=EXTRAWORD
would ^md+prd+++=would
be ^vb+be+vrb++=be
a ^at++++=a
very ^ql+amp+++=very
good ^jj+atrb+++=good
appellation ^nn+nom+++=appellation
for ^in++++=for
a ^at++++=a
citizen ^nn++++=citizen
of ^in++++=of
the ^ati++++=the
commercial ^jj+atrb+++=commercial
metropolis ^nn++++=metropolis.
. ^zz++++=EXTRAWORD
A ^at++++=A
word ^nn++++=word
or ^cc++++=or
two ^cd++++=two
more ^rbr++++=more,
, ^zz++++=EXTRAWORD
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Editor ^np++++=Editor,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I
have ^vb+hv+aux++=have
done ^vprf+++xvbnx+=done.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
want ^vb++++=want
a ^at++++=a
National ^jj+atrb+++=NATIONAL
Name ^nn++++=NAME.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
want ^vb++++=want
it ^pp3+it+++=it
poetically ^rb+cnj+++=poetically,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
we ^pp1a+pp1+++=we
want ^vb++++=want
it ^pp3+it+++=it
politically ^rb++++=politically.
. ^zz++++=EXTRAWORD
With ^in++++=With
the ^ati++++=the
poetical ^jj+atrb+++=poetical
necessity ^nn+nom+++=necessity
of ^in++++=of
the ^ati++++=the
case ^nn++++=case
I ^pp1a+pp1+++=I
shall ^md+prd+++=shall
not ^xnot++not++=not
trouble ^nn++++=trouble
myself ^ppl+pp1+++=myself.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
leave ^vb++++=leave
it ^pp3+it+++=it
to ^in++++=to
our ^pp$+pp1+++=our
poets ^nns++++=poets
to ^to++++=to
tell ^vbi++++=tell
how ^wrb+who+++=how
they ^pp3a+pp3+++=they
manage ^vb++++=manage
to ^to+vcmp+++=to
steer ^vbi++++=steer
that ^dt+dem+++=that
collocation ^nn+nom+++=collocation
of ^in++++=of
words ^nns++++=words,
, ^zz++++=EXTRAWORD
" ^zz++++="The
the ^ati++++=EXTRAWORD
United ^np++++=United
States ^nns++++=States
of ^in++++=of
North ^np+pl+++=North
America ^np++++=America,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
down ^rp++++=down
the ^ati++++=the
swelling ^nn+nom+++=swelling
tide ^nn++++=tide
of ^in++++=of
song ^nn++++=song,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
to ^to++++=to
float ^vbi++++=float
the ^ati++++=the
whole ^jj+atrb+++=whole
raft ^nn++++=raft
out ^rp+pl+++=out
upon ^in++++=upon
the ^ati++++=the
sea ^nn++++=sea
of ^in++++=of
heroic ^jj+atrb+++=heroic
poesy ^nn+++??+=poesy.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
am ^vb+bem+aux++=am
now ^rn+tm+splt++=now
speaking ^vbg+++xvbgx+=speaking
of ^in++++=of
the ^ati++++=the
mere ^jjb+atrb+++=mere
purposes ^nns++++=purposes
of ^in++++=of
common ^jj+atrb+++=common
life ^nn++++=life.
. ^zz++++=EXTRAWORD
How ^wrb+who+whq++=How
is ^vbz+bez+aux++=is
a ^at++++=a
citizen ^nn++++=citizen
of ^in++++=of
this ^dt+dem+++=this
republic ^nn++++=republic
to ^to++++=to
designate ^nn+nom+++=designate
himself ^ppl+pp3+++=himself?
? ^zz++++=EXTRAWORD
As ^in++++=As
an ^at++++=an
American ^nn+nom+++=American?
? ^zz++++=EXTRAWORD
There ^ex+pex+++=There
are ^vb+ber+vrb++=are
two ^cd++++=two
Americas ^nps++++=Americas,
, ^zz++++=EXTRAWORD
each ^dt++++=each
subdivided ^jj+++xvbn+=subdivided
into ^in++++=into
various ^jj+atrb+++=various
empires ^nns++++=empires,
, ^zz++++=EXTRAWORD
rapidly ^rb++++=rapidly
rising ^jj+++xvbg+=rising
in ^in++++=in
importance ^nn+nom+++=importance.
. ^zz++++=EXTRAWORD
As ^in++++=As
a ^at++++=a
citizen ^nn++++=citizen
of ^in++++=of
the ^ati++++=the
United ^np++++=United
States ^vbz+vpub+++=States?
? ^zz++++=EXTRAWORD
It ^pp3+it+++=It
is ^vbz+bez+vrb++=is
a ^at++++=a
clumsy ^jj+atrb+++=clumsy,
, ^zz++++=EXTRAWORD
lumbering ^jj+atrb++xvbg+=lumbering
title ^nn++++=title,
, ^zz++++=EXTRAWORD
yet ^rb++++=yet
still ^rb++++=still
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
not ^xnot++not++=not
distinctive ^jj++++=distinctive;
; ^zz++++=EXTRAWORD
for ^in++++=for
we ^pp1a+pp1+++=we
have ^vb+hv+vrb++=have
now ^rn+tm+++=now
the ^ati++++=the
United ^np++++=United
States ^nns++++=States
of ^in++++=of
Central ^jj+atrb+++=Central
America ^np++++=America;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
heaven ^nn++++=heaven
knows ^vbz+vprv+++=knows
how ^wrb+who+whcl++=how
many ^ap++++=many
" ^zz++++="United
united ^np++++=EXTRAWORD
States ^np++++=States"
" ^zz++++=EXTRAWORD
may ^md+pos+++=may
spring ^vb++++=spring
up ^rp++++=up
under ^in++++=under
the ^ati++++=the
Proteus ^np+++??+=Proteus
changes ^nns++++=changes
of ^in++++=of
Spanish ^jj+atrb+++=Spanish
America ^np++++=America.
. ^zz++++=EXTRAWORD
This ^dt+pdem+++=This
may ^md+pos+++=may
appear ^vb+seem+++=appear
matter ^nn++++=matter
of ^in++++=of
small ^jj+atrb+++=small
concernment ^nn+nom+++=concernment;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
any ^dti++++=any
one ^cd1++++=one
that ^dt+pdem+++=that
has ^vbz+hvz+aux++=has
travelled ^vprf+++xvbnx+=travelled
in ^in++++=in
foreign ^jj+atrb+++=foreign
countries ^nns++++=countries
must ^md+nec+++=must
be ^vb+be+vrb++=be
conscious ^jj+pred+++=conscious
of ^in++++=of
the ^ati++++=the
embarrassment ^nn+nom+++=embarrassment
and ^cc++++=and
circumlocution ^nn+nom+++=circumlocution
sometimes ^rb++++=sometimes
occasioned ^vpsv++by+xvbn+=occasioned
by ^in++++=by
the ^ati++++=the
want ^nn++++=want
of ^in++++=of
a ^at++++=a
perfectly ^rb+amp+++=perfectly
distinct ^jj++++=distinct
and ^cc+phrs+++=and
explicit ^jj+atrb+++=explicit
national ^jj+atrb+++=national
appellation ^nn+nom+++=appellation.
. ^zz++++=EXTRAWORD
In ^in++++=In
France ^np++++=France,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
I ^pp1a+pp1+++=I
have ^vb+hv+aux++=have
announced ^vprf++tht0+xvbnx+=announced
myself ^ppl+pp1+++=myself
as ^in++++=as
an ^at++++=an
American ^jj++++=American,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
have ^vb+hv+aux++=have
been ^vprf+ben+aux+xvbnx+=been
supposed ^vb++pmd"+xvbnx+=supposed
to ^to+vcmp+pmd++=to
belong ^vb++++=belong
to ^to++++=to
one ^pn++++=one
of ^in++++=of
the ^ati++++=the
French ^jj+atrb+++=French
colonies ^nns++++=colonies;
; ^zz++++=EXTRAWORD
in ^in++++=in
Spain ^np++++=Spain,
, ^zz++++=EXTRAWORD
to ^to++++=to
be ^vbi++vrb++=be
from ^in++++=from
Mexico ^np++++=Mexico,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
Peru ^np++++=Peru,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
some ^dti++++=some
other ^ap++++=other
Spanish ^jj++++=Spanish-American
- ^zz++++=EXTRAWORD
american ^jj+atrb+++=EXTRAWORD
country ^nn++++=country.
. ^zz++++=EXTRAWORD
Repeatedly ^rb++++=Repeatedly
have ^vb+hv+aux++=have
I ^pp1a+pp1+++=I
found ^vbd+vprv+tht0+xvbnx+=found
myself ^ppl+pp1+++=myself
involved ^vbd+++xvbn+=involved
in ^in++++=in
a ^at++++=a
long ^jj+atrb+++=long
