Horrible ^jj++++=Horrible
of ^in++++=of
the ^ati++++=the
house ^nn++++=house
I ^pp1a+pp1+++=I
followed ^vbd+vprv++xvbnx+=followed
the ^ati++++=the
bobbing ^jj+atrb++xvbg+=bobbing
candle ^nn++++=candle
in ^in++++=in
the ^ati++++=the
hand ^nn++++=hand
of ^in++++=of
this ^dt+dem+++=this
shaking ^jj+atrb++xvbg+=shaking
parody ^nn++++=parody
of ^in++++=of
man ^nn++++=man.
. ^zz++++=EXTRAWORD
The ^ati++++=The
electricity ^nn+nom+++=electricity
seemed ^vbd+seem++xvbn+=seemed
to ^to+vcmp+++=to
be ^vbi+vbi+aux++=be
turned ^vpsv++agls+xvbnx+=turned
off ^in+strn+++=off,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
when ^wrb+who+++=when
I ^pp1a+pp1+++=I
asked ^vbd+vsua+tht0+xvbnx+=asked
my ^pp$+pp1+++=my
guide ^nn++++=guide
he ^pp3a+pp3+++=he
said ^vbd+vpub+tht0+xvbnx+=said
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
for ^in++++=for
a ^at++++=a
definite ^jj+atrb+++=definite
reason ^nn++++=reason.
. ^zz++++=EXTRAWORD
" ^zz++++="It
it ^pp3+it+++=EXTRAWORD
would ^md+prd+++=would
be ^vb+be+aux++=be
too ^ql++++=too
much. ^vb+++??+=much...
. ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
would ^md+prd+++=would
not ^xnot++not++=not
dare ^vb++++=dare,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
continued ^vbd+++xvbnx+=continued
to ^to++++=to
mutter ^vbi++++=mutter.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
especially ^rb++++=especially
noted ^vbd+vprv+tht0+xvbn+=noted
his ^pp$+pp3+++=his
new ^jj+atrb+++=new
habit ^nn++++=habit
of ^in++++=of
muttering ^xvbg+++xvbg+=muttering,
, ^zz++++=EXTRAWORD
for ^in++++=for
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
not ^xnot++not++=not
like ^in++++=like
him ^pp3o+pp3+++=him
to ^to++++=to
talk ^vbi++++=talk
to ^in++++=to
himself ^ppl+pp3+++=himself.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
entered ^vbd+++xvbn+=entered
the ^ati++++=the
laboratory ^nn++++=laboratory
in ^in++++=in
the ^ati++++=the
attic ^nn++++=attic,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I
observed ^vbd+vprv++xvbnx+=observed
that ^tht+vcmp+++=that
detestable ^jj+atrb+++=detestable
electrical ^jj+atrb+++=electrical
machine ^nn++++=machine,
, ^zz++++=EXTRAWORD
glowing ^jj+++xvbg+=glowing
with ^in++++=with
a ^at++++=a
sickly ^jj+atrb+++=sickly,
, ^zz++++=EXTRAWORD
sinister ^jj+atrb+++=sinister
violet ^nn++++=violet
luminosity ^nn+nom+++=luminosity.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+aux++=was
connected ^vpsv++agls+xvbnx+=connected
with ^in++++=with
a ^at++++=a
powerful ^jj+atrb+++=powerful
chemical ^jj+atrb+++=chemical
battery ^nn+nom+++=battery,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
seemed ^vbd+seem++xvbn+=seemed
to ^to+vcmp+++=to
be ^vbi+vbi+aux++=be
receiving ^vbg+++xvbgx+=receiving
no ^at++++=no
current ^jj++++=current;
; ^zz++++=EXTRAWORD
for ^in++++=for
I ^pp1a+pp1+++=I
recalled ^vbd+vprv++xvbnx+=recalled
that ^tht+vcmp+++=that
in ^in++++=in
its ^pp$+it+++=its
experimental ^jj+atrb+++=experimental
stage ^nn++++=stage
it ^pp3+it+++=it
had ^vbd+hvd+aux++=had
sputtered ^vprf+++xvbnx+=sputtered
and ^cc+phrs+++=and
purred ^vbd+++xvbn+=purred
when ^wrb+who+++=when
in ^in++++=in
action ^nn++++=action.
. ^zz++++=EXTRAWORD
In ^in++++=In
reply ^nn++++=reply
to ^in++++=to
my ^pp$+pp1+++=my
question ^nn+nom+++=question
Tillinghast ^np+++??+=Tillinghast
mumbled ^vbd+++xvbn+=mumbled
that ^dt+dem+++=that
this ^dt+dem+++=this
permanent ^jj+atrb+++=permanent
glow ^nn++++=glow
was ^vbd+bedz+vrb++=was
not ^xnot++not++=not
electrical ^jj++++=electrical
in ^in++++=in
any ^dti++++=any
sense ^nn++++=sense
that ^tht+ncmp+++=that
I ^pp1a+pp1+++=I
could ^md+pos+++=could
understand ^vb+vprv+++=understand.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
now ^rn+tm+++=now
seated ^vbd+++xvbn+=seated
me ^pp1o+pp1+++=me
near ^in+pl+++=near
the ^ati++++=the
machine ^nn++++=machine,
, ^zz++++=EXTRAWORD
so ^ql++++=so
that ^cs+sub+++=that
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
on ^in++++=on
my ^pp$+pp1+++=my
right ^nn++++=right,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
turned ^vbd+++xvbn+=turned
a ^at++++=a
switch ^nn++++=switch
somewhere ^rb++++=somewhere
below ^in+pl+++=below
the ^ati++++=the
crowning ^jj+atrb+++=crowning
cluster ^nn+nom+++=cluster
of ^in++++=of
glass ^nn++++=glass
bulbs ^nns++++=bulbs.
. ^zz++++=EXTRAWORD
The ^ati++++=The
usual ^jj++++=usual
sputtering ^xvbg+++xvbg+=sputtering
began ^vbd+++xvbn+=began,
, ^zz++++=EXTRAWORD
turned ^j+++xvbn+=turned
to ^in++++=to
a ^at++++=a
whine ^nn++++=whine,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
terminated ^vpsv++agls+xvbn+=terminated
in ^in++++=in
a ^at++++=a
drone ^nn++++=drone
so ^rb+emph+++=so
soft ^jj++++=soft
as ^in++++=as
to ^in"++++=to
suggest ^vb+vpub+++=suggest
a ^at++++=a
return ^nn++++=return
to ^in++++=to
silence ^nn+nom+++=silence.
. ^zz++++=EXTRAWORD
Meanwhile ^rb++++=Meanwhile
the ^ati++++=the
luminosity ^nn+nom+++=luminosity
increased ^vbd+++xvbn+=increased,
, ^zz++++=EXTRAWORD
waned ^vprf+++xvbn+=waned
again ^rb+cnj+++=again,
, ^zz++++=EXTRAWORD
then ^rn+tm+++=then
assumed ^vbd+vprv++xvbn+=assumed
a ^at++++=a
pale ^nn++++=pale,
, ^zz++++=EXTRAWORD
outr ^nn+++??+=outr
colour ^nn++++=colour
or ^cc++++=or
blend ^nn++++=blend
of ^in++++=of
colours ^nns++++=colours
which ^whp+rel+obj++=which
I ^pp1a+pp1+++=I
could ^md+pos+++=could
neither ^dt++neg++=neither
place ^nn++++=place
nor ^cc++neg++=nor
describe ^vb++++=describe.
. ^zz++++=EXTRAWORD
Tillinghast ^np+++??+=Tillinghast
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
watching ^vbg+++xvbgx+=watching
me ^pp1o+pp1+++=me,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
noted ^vbd+vprv++xvbn+=noted
my ^pp$+pp1+++=my
puzzled ^jj+atrb++xvbn+=puzzled
expression ^nn++++=expression.
. ^zz++++=EXTRAWORD
" ^zz++++="Do
do ^vb+do+aux++=EXTRAWORD
you ^pp2+pp2+++=you
know ^vb+vprv+++=know
what ^wdt+who+whcl++=what
that ^dt+pdem+++=that
is ^vbz+bez+vrb++=is?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
whispered ^vbd+vpub++xvbnx+=whispered,
, ^zz++++=EXTRAWORD
" ^zz++++="That
that ^dt+pdem+++=EXTRAWORD
is ^vbz+bez+vrb++=is
ultra ^rb++++=ultra-violet."
- ^zz++++=EXTRAWORD
violet ^jj++++=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
chuckled ^vbd+++xvbnx+=chuckled
oddly ^rb++++=oddly
at ^in++++=at
my ^pp$+pp1+++=my
surprise ^nn++++=surprise.
. ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
thought ^vbd+++xvbn+=thought
ultra ^rb++++=ultra-violet
- ^zz++++=EXTRAWORD
violet ^jj++++=EXTRAWORD
was ^vbd+bedz+vrb++=was
invisible ^jj+pred+++=invisible,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
so ^ql++++=so
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
but ^cc++++=but
you ^pp2+pp2+++=you
can ^md+pos+++=can
see ^vb+vprv+tht0++=see
that ^tht+vcmp+++=that
and ^cc++++=and
many ^ap++++=many
other ^ap++++=other
invisible ^jj+atrb+++=invisible
things ^nns++++=things
now ^rn+tm+++=now.
. ^zz++++=EXTRAWORD
" ^zz++++="Listen
listen ^vb++++=EXTRAWORD
to ^in++++=to
me ^pp1o+pp1+++=me!
! ^zz++++=EXTRAWORD
The ^ati++++=The
waves ^nns++++=waves
from ^in++++=from
that ^dt+dem+++=that
thing ^nn++++=thing
are ^vb+ber+aux++=are
waking ^vbg+++xvbgx+=waking
a ^at++++=a
thousand ^cd++++=thousand
sleeping ^jj+atrb++xvbg+=sleeping
senses ^nns++++=senses
in ^in++++=in
us ^pp1o+pp1+++=us;
; ^zz++++=EXTRAWORD
senses ^nns++++=senses
which ^whp+rel+obj++=which
we ^pp1a+pp1+++=we
inherit ^vb++++=inherit
from ^in++++=from
aeons ^nns+++??+=aeons
of ^in++++=of
evolution ^nn+nom+++=evolution
from ^in++++=from
the ^ati++++=the
state ^nn++++=state
of ^in++++=of
detached ^jj+atrb++xvbn+=detached
electrons ^vb++++=electrons
to ^to+vcmp+++=to
the ^ati++++=the
state ^nn++++=state
of ^in++++=of
organic ^jj+atrb+++=organic
humanity ^nn+nom+++=humanity.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
have ^vb+hv+aux++=have
seen ^vprf+++xvbnx+=seen
the ^ati++++=the
truth ^nn++++=truth,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I
intend ^vb++++=intend
to ^to+vcmp+++=to
show ^vbi+vprv+tht0++=show
it ^pp3+it+++=it
to ^in++++=to
you ^pp2+pp2+++=you.
. ^zz++++=EXTRAWORD
Do ^vb+do+aux++=Do
you ^pp2+pp2+++=you
wonder ^vb++++=wonder
how ^wrb+who+++=how
it ^pp3+it+++=it
will ^md+prd+++=will
seem ^vb+seem+++=seem?
? ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
will ^md+prd+++=will
tell ^vb++++=tell
you ^pp2+pp2+++=you."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Here ^rn+pl+++=Here
Tillinghast ^np+++??+=Tillinghast
seated ^vbd+++xvbn+=seated
himself ^ppl+pp3+++=himself
directly ^rb++++=directly
opposite ^jj++++=opposite
me ^pp1o+pp1+++=me,
, ^zz++++=EXTRAWORD
blowing ^vbg+++xvbg+=blowing
out ^rp+pl+++=out
his ^pp$+pp3+++=his
candle ^nn++++=candle
and ^cc++++=and
staring ^jj+++xvbg+=staring
hideously ^rb++++=hideously
into ^in++++=into
my ^pp$+pp1+++=my
eyes ^nns++++=eyes.
. ^zz++++=EXTRAWORD
" ^zz++++="Your
your ^pp$+pp2+++=EXTRAWORD
existing ^jj+atrb++xvbg+=existing
sense ^nn++++=sense-organs
- ^zz++++=EXTRAWORD
organs ^nns++++=EXTRAWORD
ears ^nns++++=ears
first ^rb+cnj+++=first,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
think ^vb+vprv+++=think
will ^md+prd+++=will
pick ^vb++++=pick
up ^rp++++=up
many ^ap++++=many
of ^in++++=of
the ^ati++++=the
impressions ^nns++++=impressions,
, ^zz++++=EXTRAWORD
for ^in++++=for
they ^pp3a+pp3+++=they
are ^vb+ber+aux++=are
closely ^rb++splt++=closely
connected ^vpsv++agls+xvbnx+=connected
with ^in++++=with
the ^ati++++=the
dormant ^jj+atrb+++=dormant
organs ^nns++++=organs.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
there ^ex+pex+++=there
will ^md+prd+++=will
be ^vb+be+vrb++=be
others ^aps++++=others.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
have ^vb+hv+aux++=have
heard ^vprf+++xvbnx+=heard
of ^in++++=of
the ^ati++++=the
pineal ^jj+atrb+++=pineal
gland ^nn++++=gland?
? ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
laugh ^nn++++=laugh
at ^rb++++=at
the ^ati++++=the
shallow ^jj+atrb+++=shallow
endocrinologist ^nn+nom+++=endocrinologist,
, ^zz++++=EXTRAWORD
fellow ^jjb++++=fellow-dupe
- ^zz++++=EXTRAWORD
dupe ^nn++++=EXTRAWORD
and ^cc++++=and
fellow ^jjb++++=fellow-parvenu
- ^zz++++=EXTRAWORD
parvenu ^nn+++??+=EXTRAWORD
of ^in++++=of
the ^ati++++=the
Freudian ^np+++??+=Freudian.
. ^zz++++=EXTRAWORD
That ^dt+dem+++=That
gland ^nn++++=gland
is ^vbz+bez+vrb++=is
the ^ati++++=the
great ^jj+atrb+++=great
sense ^nn++++=sense
organ ^nn++++=organ
of ^in++++=of
organs ^nns++++=organs
I ^pp1a+pp1+++=I
have ^vb+hv+aux++=have
found ^vprf+++xvbnx+=found
out ^rp+pl+++=out.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
is ^vbz+bez+vrb++=is
like ^in++++=like
sight ^nn++++=sight
in ^in++++=in
the ^ati++++=the
end ^nn++++=end,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
transmits ^nns+++??+=transmits
visual ^jj+atrb+++=visual
pictures ^nns++++=pictures
to ^in++++=to
the ^ati++++=the
brain ^nn++++=brain.
. ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
you ^pp2+pp2+++=you
are ^vb+ber+vrb++=are
normal ^jj+pred+++=normal,
, ^zz++++=EXTRAWORD
that ^dt+pdem+++=that
is ^vbz+bez+vrb++=is
the ^ati++++=the
way ^nn++++=way
you ^pp2+pp2+++=you
ought ^md"+nec+pmd"++=ought
to ^md+nec+++=to
get ^vb++++=get
most ^ap+emph+++=most
of ^in++++=of
it. ^nn+++??+=it...
. ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
mean ^vb+vprv+++=mean
get ^vb++++=get
most ^ap+emph+++=most
of ^in++++=of
the ^ati++++=the
evidence ^nn+nom+++=evidence
from ^in++++=from
beyond ^in+strn+++=beyond."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
looked ^vbd+++xvbnx+=looked
about ^in++++=about
the ^ati++++=the
immense ^jj+atrb+++=immense
attic ^nn++++=attic
room ^nn++++=room
with ^in++++=with
the ^ati++++=the
sloping ^jj+atrb++xvbg+=sloping
south ^nr+pl+++=south
wall ^nn++++=wall,
, ^zz++++=EXTRAWORD
dimly ^rb++++=dimly
lit ^vpsv++by+xvbn+=lit
by ^in++++=by
rays ^nns++++=rays
which ^whp+rel+obj++=which
the ^ati++++=the
every ^at++++=every
day ^nn++++=day
eye ^nn++++=eye
cannot ^md+pos+not++=cannot
see ^vb+vprv+++=see.
. ^zz++++=EXTRAWORD
The ^ati++++=The
far ^rb+pl+++=far
corners ^nns+nom+++=corners
were ^vbd+bed+vrb++=were
all ^abn++++=all
shadows ^nps++++=shadows
and ^cc++++=and
the ^ati++++=the
whole ^jj+atrb+++=whole
place ^nn++++=place
took ^vbd+++xvbn+=took
on ^rb+phrv+++=on
a ^at++++=a
hazy ^jj+atrb+++=hazy
unreality ^nn+nom+++=unreality
which ^whp+rel+subj++=which
obscured ^xvbn+++xvbn+=obscured
its ^pp$+it+++=its
nature ^nn++++=nature
and ^cc++++=and
invited ^vbd+++xvbn+=invited
the ^ati++++=the
imagination ^nn+nom+++=imagination
to ^to+vcmp+++=to
symbolism ^nn+nom+++=symbolism
and ^cc++++=and
phantasm ^nn+++??+=phantasm.
. ^zz++++=EXTRAWORD
During ^in++++=During
the ^ati++++=the
interval ^nn+nom+++=interval
that ^tht+rel+obj++=that
Tillinghast ^np+++??+=Tillinghast
was ^vbd+bedz+vrb++=was
long ^rb++++=long
silent ^jj+pred+++=silent
I ^pp1a+pp1+++=I
fancied ^vbd+++xvbnx+=fancied
myself ^ppl+pp1+++=myself
in ^in++++=in
some ^dti++++=some
vast ^jj+atrb+++=vast
incredible ^jj+atrb+++=incredible
temple ^nn++++=temple
of ^in++++=of
long ^jj++++=long-dead
- ^zz++++=EXTRAWORD
dead ^jj+atrb+++=EXTRAWORD
gods ^nns++++=gods;
; ^zz++++=EXTRAWORD
some ^dti++++=some
vague ^jj+atrb+++=vague
edifice ^nn++++=edifice
of ^in++++=of
innumerable ^jj+atrb+++=innumerable
black ^jj+atrb+++=black
stone ^nn++++=stone
columns ^nns++++=columns
reaching ^vwbg+++xvbg+=reaching
up ^rp++++=up
from ^in++++=from
a ^at++++=a
floor ^nn++++=floor
of ^in++++=of
damp ^jj+atrb+++=damp
slabs ^nns++++=slabs
to ^in++++=to
a ^at++++=a
cloudy ^jj+atrb+++=cloudy
height ^nn++++=height
beyond ^in++++=beyond
the ^ati++++=the
range ^nn++++=range
of ^in++++=of
my ^pp$+pp1+++=my
vision ^nn++++=vision.
. ^zz++++=EXTRAWORD
The ^ati++++=The
picture ^nn++++=picture
was ^vbd+bedz+vrb++=was
very ^ql+amp+++=very
vivid ^jj++++=vivid
for ^in++++=for
a ^at++++=a
while ^cs+sub+++=while,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
gradually ^rb++++=gradually
gave ^vbd+++xvbn+=gave
way ^nn++++=way
to ^in++++=to
a ^at++++=a
more ^rbr++++=more
horrible ^jj+atrb+++=horrible
conception ^nn+nom+++=conception;
; ^zz++++=EXTRAWORD
that ^dt+dem+++=that
of ^in++++=of
utter ^jjb+atrb+++=utter,
, ^zz++++=EXTRAWORD
absolute ^jj+atrb+++=absolute
solitude ^nn++++=solitude
in ^in++++=in
infinite ^jj++++=infinite,
, ^zz++++=EXTRAWORD
sightless ^jj+atrb+++=sightless,
, ^zz++++=EXTRAWORD
soundless ^jj+atrb+++=soundless
space ^nn++++=space.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
seemed ^vprf+++xvbn+=seemed
to ^to+vcmp+++=to
be ^vbi++vrb++=be
a ^at++++=a
void ^jj++++=void,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
nothing ^pn++++=nothing
more ^rbr++++=more,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I
felt ^vbd+vprv++xvbnx+=felt
a ^at++++=a
childish ^jj+atrb+++=childish
fear ^nn++++=fear
which ^whp+rel+subj++=which
prompted ^vbd+++xvbn+=prompted
me ^pp1o+pp1+++=me
to ^to++++=to
draw ^vbi++++=draw
from ^in++++=from
my ^pp$+pp1+++=my
hip ^nn++++=hip
pocket ^nn++++=pocket
the ^ati++++=the
revolver ^nn+nom+++=revolver
I ^pp1a+pp1+++=I
carried ^vbd+++xvbnx+=carried
after ^cs+sub+++=after
dark ^jj++++=dark
since ^cs+sub+++=since
the ^ati++++=the
night ^nn++++=night
I ^pp1a+pp1+++=I
was ^vbd+bedz+aux++=was
held ^vpsv++agls+xvbnx+=held
up ^rp++++=up
in ^in++++=in
East ^np+pl+++=East
Providence ^np+nom++??+=Providence.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
from ^in++++=from
the ^ati++++=the
farthermost ^nn+++??+=farthermost
regions ^nns++++=regions
of ^in++++=of
remoteness ^nns+nom+++=remoteness,
, ^zz++++=EXTRAWORD
the ^ati++++=the
sound ^nn++++=sound
softly ^rb++++=softly
glided ^vbd+++xvbn+=glided
into ^in++++=into
existence ^nn+nom+++=existence.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
infinitely ^rb++++=infinitely
faint ^jj+pred+++=faint,
, ^zz++++=EXTRAWORD
subtly ^rb++++=subtly
vibrant ^jj++++=vibrant,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
unmistakably ^rb++++=unmistakably
musical ^jj++++=musical,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
held ^vbd+vprv++xvbn+=held
a ^at++++=a
quality ^nn+nom+++=quality
of ^in++++=of
surpassing ^jj+atrb+++=surpassing
wildness ^nns+nom+++=wildness
which ^whp+rel+subj++=which
made ^vbd+++xvbn+=made
its ^pp$+it+++=its
impact ^nn++++=impact
feel ^vb+vprv+++=feel
like ^in++++=like
a ^at++++=a
delicate ^jj+atrb+++=delicate
torture ^nn++++=torture
of ^in++++=of
my ^pp$+pp1+++=my
whole ^jj+atrb+++=whole
body ^nn++++=body.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
felt ^vbd+vprv++xvbnx+=felt
sensations ^nns+nom+++=sensations
like ^in++++=like
those ^dt+dem+++=those
one ^cd1++++=one
feels ^vbz+vprv+++=feels
when ^wrb+who+whcl++=when
accidentally ^rb++++=accidentally
scratching ^nvbg+++xvbg+=scratching
ground ^nn++++=ground
glass ^nn++++=glass.
. ^zz++++=EXTRAWORD
Simultaneously ^rb+tm+++=Simultaneously
there ^ex+pex+++=there
developed ^xvbn+++xvbn+=developed
something ^pn++++=something
like ^in++++=like
a ^at++++=a
cold ^jj+atrb+++=cold
draught ^nn++++=draught,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
apparently ^rb++++=apparently
swept ^vbd+++xvbn+=swept
past ^nn++++=past
me ^pp1o+pp1+++=me
from ^in++++=from
the ^ati++++=the
direction ^nn+nom+++=direction
of ^in++++=of
the ^ati++++=the
distant ^jj+atrb+++=distant
sound ^nn++++=sound.
. ^zz++++=EXTRAWORD
As ^ql++++=As
I ^pp1a+pp1+++=I
waited ^vbd+++xvbnx+=waited
breathlessly ^rb++++=breathlessly
I ^pp1a+pp1+++=I
perceived ^vbd+vprv++xvbnx+=perceived
that ^tht+vcmp+++=that
both ^abx++++=both
sound ^nn++++=sound
and ^cc++++=and
wind ^nn++++=wind
were ^vbd+bed+aux++=were
increasing ^vbg+++xvbgx+=increasing;
; ^zz++++=EXTRAWORD
the ^ati++++=the
effect ^nn++++=effect
being ^vwbg+beg++xvbg+=being
to ^to++++=to
give ^vbi++++=give
me ^pp1o+pp1+++=me
an ^at++++=an
odd ^jj+atrb+++=odd
notion ^nn++++=notion
of ^in++++=of
myself ^ppl+pp1+++=myself
as ^in++++=as
tied ^nn++++=tied
to ^in++++=to
a ^at++++=a
pair ^nn++++=pair
of ^in++++=of
rails ^nns++++=rails
in ^in++++=in
the ^ati++++=the
path ^nn++++=path
of ^in++++=of
a ^at++++=a
gigantic ^jj+atrb+++=gigantic
approaching ^jj+atrb++xvbg+=approaching
locomotive ^nn++++=locomotive.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
began ^vbd+++xvbnx+=began
to ^to++++=to
speak ^vbi++++=speak
to ^in++++=to
Tillinghast ^np+++??+=Tillinghast,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
as ^ql++++=as
I ^pp1a+pp1+++=I
did ^vbd+dod+vrb++=did
so ^ql++++=so
all ^abn++++=all
the ^ati++++=the
unusual ^jj+atrb+++=unusual
impressions ^nns++++=impressions
abruptly ^rb++++=abruptly
vanished ^jj+++xvbn+=vanished.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
saw ^vbd+vprv++xvbnx+=saw
only ^rb+down+++=only
the ^ati++++=the
man ^nn++++=man,
, ^zz++++=EXTRAWORD
the ^ati++++=the
glowing ^jj+atrb++xvbg+=glowing
machines ^nns++++=machines,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
dim ^jj+atrb+++=dim
apartment ^nn+nom+++=apartment.
. ^zz++++=EXTRAWORD
Tillinghast ^np+++??+=Tillinghast
was ^vbd+bedz+aux++=was
grinning ^vbg+++xvbgx+=grinning
repulsively ^jj++++=repulsively
at ^rb++++=at
the ^ati++++=the
revolver ^nn+nom+++=revolver
which ^whp+rel+obj++=which
I ^pp1a+pp1+++=I
had ^vb+hv+aux++=had
almost ^rb+hdg+splt++=almost
unconsciously ^rb++++=unconsciously
drawn ^vbd+++xvbn+=drawn,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
from ^in++++=from
his ^pp$+pp3+++=his
expression ^nn++++=expression
I ^pp1a+pp1+++=I
was ^vbd+bedz+vrb++=was
sure ^jj+pred+++=sure
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
seen ^vprf+++xvbnx+=seen
and ^cc+phrs+++=and
heard ^vbd+vprv++xvbn+=heard
as ^ql++++=as
much ^ap++++=much
as ^ql++++=as
I ^pp1a+pp1+++=I,
, ^zz++++=EXTRAWORD
if ^cs+cnd+++=if
not ^xnot++not++=not
a ^at++++=a
great ^jj+atrb+++=great
deal ^nn++++=deal
more ^rbr++++=more.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
whispered ^vbd+vpub++xvbnx+=whispered
what ^wdt+who+whcl++=what
I ^pp1a+pp1+++=I
had ^vbd+hvd+aux++=had
experienced ^vprf+++xvbnx+=experienced
and ^cc++++=and
he ^pp3a+pp3+++=he
bade ^vbd+++xvbnx+=bade
me ^pp1o+pp1+++=me
to ^to++++=to
remain ^vbi++++=remain
as ^ql++++=as
quiet ^nn++++=quiet
and ^cc++++=and
receptive ^jj++++=receptive
as ^in++++=as
possible ^nn++++=possible.
. ^zz++++=EXTRAWORD
" ^zz++++="Don't
do ^vb+do+aux++=EXTRAWORD
n't ^xnot++not++0=EXTRAWORD
move ^vb++++=move,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
cautioned ^vbd+++xvbnx+=cautioned,
, ^zz++++=EXTRAWORD
" ^zz++++="for
for ^in++++=EXTRAWORD
in ^in++++=in
these ^dt+dem+++=these
rays ^nns++++=rays
we ^pp1a+pp1+++=we
are ^vb+ber+vrb++=are
able ^jj++pmd"++=able
to ^to+jcmp+pmd++=to
be ^vbi+vbi+aux++=be
seen ^vprf+++xvbn+=seen
as ^cc++++=as
well ^rb++++=well
as ^cc"++++=as
to ^to++++=to
see ^vbi+vprv+++=see.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
told ^vbd+vpub+tht0+xvbnx+=told
you ^pp2+pp2+++=you
the ^ati++++=the
servants ^nns+nom+++=servants
left ^vbd+++xvbn+=left,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
I ^pp1a+pp1+++=I
did ^vbd+dod+aux++=didn't
n't ^xnot++not++0=EXTRAWORD
tell ^vb++++=tell
you ^pp2+pp2+++=you
how ^wrb+who+++=how.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
that ^dt+dem+++=that
thick ^jj++++=thick-witted
- ^zz++++=EXTRAWORD
witted ^jj+atrb++xvbn+=EXTRAWORD
house ^nn++++=house-keeper
- ^zz++++=EXTRAWORD
keeper ^nn++++=EXTRAWORD
she ^pp3a+pp3+++=she
turned ^vbd+++xvbnx+=turned
on ^rb+phrv+++=on
the ^ati++++=the
lights ^nns++++=lights
downstairs ^jjb++++=downstairs
after ^cs+sub+++=after
I ^pp1a+pp1+++=I
had ^vbd+hvd+aux++=had
warned ^vprf+++xvbnx+=warned
her ^pp$+pp3+++=her
not ^xnot++not++=not
