Such ^abl++++=SUCH
rub ^vb++++=rub
hard ^jj++++=hard
at ^rb++++=at
a ^at++++=a
spot ^nn++++=spot
on ^in++++=on
the ^ati++++=the
window ^nn++++=window-pane.
- ^zz++++=EXTRAWORD
pane ^nn+++??+=EXTRAWORD
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
rubbed ^vbd+++xvbnx+=rubbed
as ^cs+sub+++=as
if ^cs+cnd+++=if
she ^pp3a+pp3+++=she
would ^md+prd+++=would
rub ^vb++++=rub
something ^pn++++=something
out ^rb+phrv+++=out
for ^in+ppvb+++=for
eversome ^nn+++??+=eversome
stain ^nn++++=stain,
, ^zz++++=EXTRAWORD
some ^dti++++=some
indelible ^jj+atrb+++=indelible
contamination ^nn+nom+++=contamination.
. ^zz++++=EXTRAWORD
Indeed ^rb+cnj+++=Indeed,
, ^zz++++=EXTRAWORD
the ^ati++++=the
spot ^nn++++=spot
remained ^vbd+++xvbn+=remained
for ^in++++=for
all ^abn++++=all
her ^pp3o+pp3+++=her
rubbing ^vbg+++xvbg+=rubbing,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
back ^jjb++++=back
she ^pp3a+pp3+++=she
sank ^vbd+++xvbnx+=sank
with ^in++++=with
the ^ati++++=the
shudder ^nn++++=shudder
and ^cc++++=and
the ^ati++++=the
clutch ^nn++++=clutch
of ^in++++=of
the ^ati++++=the
arm ^nn++++=arm
I ^pp1a+pp1+++=I
had ^vbd+hvd+aux++=had
come ^vprf+++xvbn+=come
to ^to++++=to
expect ^vbi+vprv+++=expect.
. ^zz++++=EXTRAWORD
Something ^pn++++=Something
impelled ^vbd+++xvbn+=impelled
me ^pp1o+pp1+++=me
to ^to++++=to
take ^vbi++++=take
my ^pp$+pp1+++=my
glove ^nn++++=glove
and ^cc++++=and
rub ^vb++++=rub
my ^pp$+pp1+++=my
window ^nn++++=window.
. ^zz++++=EXTRAWORD
There ^rn+pl+++=There,
, ^zz++++=EXTRAWORD
too ^rb+cnj+++=too,
, ^zz++++=EXTRAWORD
was ^vbd+bedz+vrb++=was
a ^rb++++=a
little ^rb"++++=little
speck ^nn++++=speck
on ^in++++=on
the ^ati++++=the
glass ^nn++++=glass.
. ^zz++++=EXTRAWORD
For ^in++++=For
all ^abn++++=all
my ^pp$+pp1+++=my
rubbing ^nvbg+++xvbg+=rubbing,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
remained ^vbd+++xvbn+=remained.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
then ^rn+tm+++=then
the ^ati++++=the
spasm ^nn++++=spasm
went ^vbd+++xvbn+=went
through ^in++++=through
me ^pp1o+pp1+++=me;
; ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
crooked ^nn++++=crooked
my ^pp$+pp1+++=my
arm ^nn++++=arm
and ^cc++++=and
plucked ^vpsv++agls+xvbn+=plucked
at ^in++++=at
the ^ati++++=the
middle ^nn++++=middle
of ^in++++=of
my ^pp$+pp1+++=my
back ^nn++++=back.
. ^zz++++=EXTRAWORD
My ^pp$+pp1+++=My
skin ^nn++++=skin,
, ^zz++++=EXTRAWORD
too ^rb+cnj+++=too,
, ^zz++++=EXTRAWORD
felt ^j+++xvbn+=felt
like ^in++++=like
the ^ati++++=the
damp ^jj+atrb+++=damp
chicken ^nns++++=chicken's
's ^$++++=EXTRAWORD
skin ^nn++++=skin
in ^in++++=in
the ^ati++++=the
poulterer ^jjr+atrb+++=poulterer's
's ^vbz+bez+vrb++0=EXTRAWORD
shop ^nn++++=shop-window;
- ^zz++++=EXTRAWORD
window ^nn++++=EXTRAWORD
; ^zz++++=EXTRAWORD
one ^cd1++++=one
spot ^nn++++=spot
between ^in++++=between
the ^ati++++=the
shoulders ^nns+nom+++=shoulders
itched ^vbd+++xvbn+=itched
and ^cc+phrs+++=and
irritated ^vbd+++xvbn+=irritated,
, ^zz++++=EXTRAWORD
felt ^j+++xvbn+=felt
clammy ^jj++++=clammy,
, ^zz++++=EXTRAWORD
felt ^j+++xvbn+=felt
raw ^jj++++=raw.
. ^zz++++=EXTRAWORD
Could ^md+pos+++=Could
I ^pp1a+pp1+++=I
reach ^vb++++=reach
it ^pp3+it+++=it?
? ^zz++++=EXTRAWORD
Surreptitiously ^rb++++=Surreptitiously
I ^pp1a+pp1+++=I
tried ^vbd+++xvbnx+=tried.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
saw ^vbd+vprv++xvbnx+=saw
me ^pp1o+pp1+++=me.
. ^zz++++=EXTRAWORD
A ^at++++=A
smile ^nn++++=smile
of ^in++++=of
infinite ^jj+atrb+++=infinite
irony ^nn++++=irony,
, ^zz++++=EXTRAWORD
infinite ^jj+atrb+++=infinite
sorrow ^nn++++=sorrow,
, ^zz++++=EXTRAWORD
flitted ^j+++xvbn+=flitted
and ^cc+phrs+++=and
faded ^jj+++xvbn+=faded
from ^in++++=from
her ^pp$+pp3+++=her
face ^nn++++=face.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
she ^pp3a+pp3+++=she
had ^vbd+hvd+aux++=had
communicated ^vprf+++xvbnx+=communicated,
, ^zz++++=EXTRAWORD
shared ^j+++xvbn+=shared
her ^pp3o+pp3+++=her
secret ^nn++++=secret,
, ^zz++++=EXTRAWORD
passed ^j+++xvbn+=passed
her ^pp$+pp3+++=her
poison ^nn++++=poison;
; ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
would ^md+prd+++=would
speak ^vb++++=speak
no ^at++++=no
more ^rbr++++=more.
. ^zz++++=EXTRAWORD
Leaning ^vbg+++xvbg+=Leaning
back ^jjb++++=back
in ^in++++=in
my ^pp$+pp1+++=my
corner ^nn++++=corner,
, ^zz++++=EXTRAWORD
shielding ^jj+++xvbg+=shielding
my ^pp$+pp1+++=my
eyes ^nns++++=eyes
from ^in++++=from
her ^pp$+pp3+++=her
eyes ^nns++++=eyes,
, ^zz++++=EXTRAWORD
seeing ^vbg+vprv++xvbg+=seeing
only ^rb+down+++=only
the ^ati++++=the
slopes ^nns++++=slopes
and ^cc++++=and
hollows ^nns++++=hollows,
, ^zz++++=EXTRAWORD
greys ^nns++++=greys
and ^cc++++=and
purples ^nns+++??+=purples,
, ^zz++++=EXTRAWORD
of ^in++++=of
the ^ati++++=the
winter ^nn++++=winter's
's ^$++++=EXTRAWORD
landscape ^nn++++=landscape,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
read ^vbd+vprv+tht0+xvbnx+=read
her ^pp$+pp3+++=her
message ^nn+nom+++=message,
, ^zz++++=EXTRAWORD
deciphered ^xvbn+++xvbn+=deciphered
her ^pp$+pp3+++=her
secret ^nn++++=secret,
, ^zz++++=EXTRAWORD
reading ^vbg+++xvbg+=reading
it ^pp3+it+++=it
beneath ^rb++++=beneath
her ^pp$+pp3+++=her
gaze ^nn++++=gaze.
. ^zz++++=EXTRAWORD
Hilda ^np++++=Hilda's
's ^$++++=EXTRAWORD
the ^ati++++=the
sister ^nn++++=sister-in-law.
- ^zz++++=EXTRAWORD
in ^in++++=EXTRAWORD
- ^zz++++=EXTRAWORD
law ^nn++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Hilda ^np+++??+=Hilda?
? ^zz++++=EXTRAWORD
Hilda ^np+++??+=Hilda?
? ^zz++++=EXTRAWORD
Hilda ^np+++??+=Hilda
Marsh ^np++++=Marsh
Hilda ^np+++??+=Hilda
the ^ati++++=the
blooming ^nvbg+++xvbg+=blooming,
, ^zz++++=EXTRAWORD
the ^ati++++=the
full ^jj++++=full
bosomed ^jj+++xvbn+=bosomed,
, ^zz++++=EXTRAWORD
the ^ati++++=the
matronly ^nn++++=matronly.
. ^zz++++=EXTRAWORD
Hilda ^np+++??+=Hilda
stands ^vbz++++=stands
at ^rb++++=at
the ^ati++++=the
door ^nn++++=door
as ^in++++=as
the ^ati++++=the
cab ^nn++++=cab
draws ^vbz++++=draws
up ^rb+cnj+++=up,
, ^zz++++=EXTRAWORD
holding ^vbg+vprv++xvbg+=holding
a ^at++++=a
coin ^nn++++=coin.
. ^zz++++=EXTRAWORD
" ^zz++++="Poor
poor ^jj+atrb+++=EXTRAWORD
Minnie ^np+++??+=Minnie,
, ^zz++++=EXTRAWORD
more ^rbr++++=more
of ^in++++=of
a ^at++++=a
grasshopper ^nn+nom+++=grasshopper
than ^in++++=than
ever ^rb++++=ever
old ^jj+atrb+++=old
cloak ^nn++++=cloak
she ^pp3a+pp3+++=she
had ^vb+hv+vrb++=had
last ^rb++++=last
year ^nn++++=year.
. ^zz++++=EXTRAWORD
Well ^rb+cnj+++=Well,
, ^zz++++=EXTRAWORD
well ^rb+cnj+++=well,
, ^zz++++=EXTRAWORD
with ^in++++=with
two ^cd++++=two
children ^nns++++=children
these ^dt+dem+++=these
days ^nns++++=days
one ^cd1++++=one
can ^md+pos+++=can't
n't ^xnot++not++0=EXTRAWORD
do ^vb+do+vrb++=do
more ^rbr++++=more.
. ^zz++++=EXTRAWORD
No ^at++++=No,
, ^zz++++=EXTRAWORD
Minnie ^np+++??+=Minnie,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I've
've ^vb+hv+aux++0=EXTRAWORD
got ^vprf+++xvbnx+=got
it ^pp3+it+++=it;
; ^zz++++=EXTRAWORD
here ^rn+pl+++=here
you ^pp2+pp2+++=you
are ^vb+ber+vrb++=are,
, ^zz++++=EXTRAWORD
cabby ^nn+++??+=cabby
none ^pn++++=none
of ^in++++=of
your ^pp$+pp2+++=your
ways ^nns++++=ways
with ^in++++=with
me ^pp1o+pp1+++=me.
. ^zz++++=EXTRAWORD
Come ^vprf+++xvbn+=Come
in ^in+strn+++=in,
, ^zz++++=EXTRAWORD
Minnie ^np+++??+=Minnie.
. ^zz++++=EXTRAWORD
Oh ^uh++++=Oh,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
could ^md+pos+++=could
carry ^vb++++=carry
you ^pp2+pp2+++=you,
, ^zz++++=EXTRAWORD
let ^j+++xvbn+=let
alone ^rb++++=alone
your ^pp$+pp2+++=your
basket ^nn++++=basket!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
So ^ql++++=So
they ^pp3a+pp3+++=they
go ^vb++++=go
into ^in++++=into
the ^ati++++=the
dining ^jj+++xvbg+=dining-room.
- ^zz++++=EXTRAWORD
room ^nn++++=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++="Aunt
aunt ^nn++++=EXTRAWORD
Minnie ^np+++??+=Minnie,
, ^zz++++=EXTRAWORD
children ^nns++++=children."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Slowly ^rb++++=Slowly
the ^ati++++=the
knives ^nns++++=knives
and ^cc++++=and
forks ^vbz++++=forks
sink ^vb++++=sink
from ^in++++=from
the ^ati++++=the
upright ^nn++++=upright.
. ^zz++++=EXTRAWORD
Down ^rp++++=Down
they ^pp3a+pp3+++=they
get ^vb++++=get
( ^zz++++=(Bob
bob ^np++++=EXTRAWORD
and ^cc++++=and
Barbara ^np++++=Barbara),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
hold ^nn++++=hold
out ^rp+pl+++=out
hands ^nns++++=hands
stiffly ^rb++++=stiffly;
; ^zz++++=EXTRAWORD
back ^jjb++++=back
again ^rb+tm+++=again
to ^in++++=to
their ^pp$+pp3+++=their
chairs ^nns++++=chairs,
, ^zz++++=EXTRAWORD
staring ^vbg+++xvbg+=staring
between ^in++++=between
the ^ati++++=the
resumed ^jj+atrb++xvbn+=resumed
mouthfuls ^nns+nom+++=mouthfuls.
. ^zz++++=EXTRAWORD
[ ^zz++++=[But
but ^cc++++=EXTRAWORD
this ^dt+dem+++=this
we ^pp1a+pp1+++=we'll
'll ^md+prd+++0=EXTRAWORD
skip ^vb++++=skip;
; ^zz++++=EXTRAWORD
ornaments ^nns+nom+++=ornaments,
, ^zz++++=EXTRAWORD
curtains ^nns++++=curtains,
, ^zz++++=EXTRAWORD
trefoil ^nn+++??+=trefoil
china ^np++++=china
plate ^nn++++=plate,
, ^zz++++=EXTRAWORD
yellow ^jj+atrb+++=yellow
oblongs ^nns+++??+=oblongs
of ^in++++=of
cheese ^nn++++=cheese,
, ^zz++++=EXTRAWORD
white ^jj+atrb+++=white
squares ^nns++++=squares
of ^in++++=of
biscuits ^nns++++=biscuits
kip ^nn++++=kip
oh ^uh++++=oh,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
wait ^nn++++=wait!
! ^zz++++=EXTRAWORD
Half ^abn++++=Half-way
- ^zz++++=EXTRAWORD
way ^nn++++=EXTRAWORD
through ^in++++=through
luncheon ^nn++++=luncheon
one ^pn++++=one
of ^in++++=of
those ^dt+dem+++=those
shivers ^nns+nom+++=shivers;
; ^zz++++=EXTRAWORD
Bob ^np++++=Bob
stares ^nns+++??+=stares
at ^rb++++=at
her ^pp$+pp3+++=her,
, ^zz++++=EXTRAWORD
spoon ^nn++++=spoon
in ^in++++=in
mouth ^nn++++=mouth.
. ^zz++++=EXTRAWORD
" ^zz++++="Get
get ^vb++++=EXTRAWORD
on ^rb+phrv+++=on
with ^in+ppvb+++=with
your ^pp$+pp2+++=your
pudding ^nn++++=pudding,
, ^zz++++=EXTRAWORD
Bob ^np++++=Bob;"
; ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
but ^cc++++=but
Hilda ^np+++??+=Hilda
disapproves ^nns+++??+=disapproves.
. ^zz++++=EXTRAWORD
" ^zz++++="Why
why ^wrb+who+whq++=EXTRAWORD
should ^md+nec+++=should
she ^pp3a+pp3+++=she
twitch ^vb++++=twitch?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Skip ^vb++++=Skip,
, ^zz++++=EXTRAWORD
skip ^vb++++=skip,
, ^zz++++=EXTRAWORD
till ^cs+sub+++=till
we ^pp1a+pp1+++=we
reach ^vb++++=reach
the ^ati++++=the
landing ^jj+++xvbg+=landing
on ^in++++=on
the ^ati++++=the
upper ^jjb+atrb+++=upper
floor ^nn++++=floor;
; ^zz++++=EXTRAWORD
stairs ^nns++++=stairs
brass ^nn++++=brass-bound;
- ^zz++++=EXTRAWORD
bound ^vbd+++xvbn+=EXTRAWORD
; ^zz++++=EXTRAWORD
linoleum ^nn++++=linoleum
worn ^vbd+++xvbn+=worn;
; ^zz++++=EXTRAWORD
oh ^uh++++=oh,
, ^zz++++=EXTRAWORD
yes ^uh++++=yes!
! ^zz++++=EXTRAWORD
little ^ap++++=little
bedroom ^nn++++=bedroom
looking ^vwbg+++xvbg+=looking
out ^rp+pl+++=out
over ^in++++=over
the ^ati++++=the
roofs ^nns++++=roofs
of ^in++++=of
Eastbourne ^np++++=Eastbourne
zigzagging ^vwbg+++xvbg+=zigzagging
roofs ^nns++++=roofs
like ^in++++=like
the ^ati++++=the
spines ^nns++++=spines
of ^in++++=of
caterpillars ^nns++++=caterpillars,
, ^zz++++=EXTRAWORD
this ^dt+dem+++=this
way ^nn++++=way,
, ^zz++++=EXTRAWORD
that ^tht+vcmp+++=that
way ^nn++++=way,
, ^zz++++=EXTRAWORD
striped ^jj+atrb+++=striped
red ^nn++++=red
and ^cc++++=and
yellow ^nn++++=yellow,
, ^zz++++=EXTRAWORD
with ^in++++=with
blue ^jj++++=blue-black
- ^zz++++=EXTRAWORD
black ^jj++++=EXTRAWORD
slating ^jj+++xvbg+=slating].
] ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Now ^rn+dspt+++=Now,
, ^zz++++=EXTRAWORD
Minnie ^np+++??+=Minnie,
, ^zz++++=EXTRAWORD
the ^ati++++=the
door ^nn++++=door's
's ^$++++=EXTRAWORD
shut ^vbd+++xvbn+=shut;
; ^zz++++=EXTRAWORD
Hilda ^np+++??+=Hilda
heavily ^rb++++=heavily
descends ^vbz++++=descends
to ^in++++=to
the ^ati++++=the
basement ^nn+nom+++=basement;
; ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
unstrap ^vb+++??+=unstrap
the ^ati++++=the
straps ^nns++++=straps
of ^in++++=of
your ^pp$+pp2+++=your
basket ^nn++++=basket,
, ^zz++++=EXTRAWORD
lay ^j+++xvbn+=lay
on ^in++++=on
the ^ati++++=the
bed ^nn++++=bed
a ^at++++=a
meagre ^jj+atrb+++=meagre
nightgown ^nn++++=nightgown,
, ^zz++++=EXTRAWORD
stand ^vb++++=stand
side ^nn++++=side
by ^in++++=by
side ^nn++++=side
furred ^vbd+++xvbn+=furred
felt ^vbd+vprv++xvbn+=felt
slippers ^nns+nom+++=slippers.
. ^zz++++=EXTRAWORD
The ^ati++++=The
looking ^jj+++xvbg+=looking-glass
- ^zz++++=EXTRAWORD
glass ^nn++++=EXTRAWORD
no ^rb+cnj+++=no,
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
avoid ^vb++++=avoid
the ^ati++++=the
looking ^jj+++xvbg+=looking-glass.
- ^zz++++=EXTRAWORD
glass ^nn++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Some ^dti++++=Some
methodical ^jj+atrb+++=methodical
disposition ^nn+nom+++=disposition
of ^in++++=of
hat ^nn++++=hat-pins.
- ^zz++++=EXTRAWORD
pins ^nns++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Perhaps ^rb++++=Perhaps
the ^ati++++=the
shell ^nn++++=shell
box ^nn++++=box
has ^vbz+hvz+vrb++=has
something ^pn++++=something
in ^in++++=in
it ^pp3+it+++=it?
? ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
shake ^vb++++=shake
it ^pp3+it+++=it;
; ^zz++++=EXTRAWORD
it ^pp3+it+++=it's
's ^vbz+bez+vrb++0=EXTRAWORD
the ^ati++++=the
pearl ^nn++++=pearl
stud ^nn++++=stud
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
last ^rb++++=last
year ^nn++++=year
that ^tht+rel+subj++=that's
's ^vbz+bez+vrb++0=EXTRAWORD
all ^rb++++=all.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
then ^rn+tm+++=then
the ^ati++++=the
sniff ^nn+++??+=sniff,
, ^zz++++=EXTRAWORD
the ^ati++++=the
sigh ^nn++++=sigh,
, ^zz++++=EXTRAWORD
the ^ati++++=the
sitting ^jj+++xvbg+=sitting
by ^in++++=by
the ^ati++++=the
window ^nn++++=window.
. ^zz++++=EXTRAWORD
Three ^cd++++=Three
o'clock ^rb++++=o'clock
on ^in++++=on
a ^at++++=a
December ^nr+nom+++=December
afternoon ^nn++++=afternoon;
; ^zz++++=EXTRAWORD
the ^ati++++=the
rain ^nn++++=rain
drizzling ^vwbg+++xvbg+=drizzling;
; ^zz++++=EXTRAWORD
one ^cd1++++=one
light ^nn++++=light
low ^jj++++=low
in ^in++++=in
the ^ati++++=the
skylight ^nn++++=skylight
of ^in++++=of
a ^at++++=a
drapery ^nn+nom+++=drapery
emporium ^nn+++??+=emporium;
; ^zz++++=EXTRAWORD
another ^ppls++++=another
high ^np++++=high
in ^in++++=in
a ^at++++=a
servant ^nn+nom+++=servant's
's ^$++++=EXTRAWORD
bedroom ^nn++++=bedroom
this ^dt+dem+++=this
one ^cd1++++=one
goes ^vbz++++=goes
out ^rp+pl+++=out.
. ^zz++++=EXTRAWORD
That ^dt+pdem+++=That
gives ^vbz++++=gives
her ^pp$+pp3+++=her
nothing ^pn++++=nothing
to ^to++++=to
look ^vbi++++=look
at ^in+strn+++=at.
. ^zz++++=EXTRAWORD
A ^at++++=A
moment ^nn++++=moment's
's ^$++++=EXTRAWORD
blankness ^nns+nom+++=blankness
then ^rn+tm+++=then,
, ^zz++++=EXTRAWORD
what ^wdt+who+whq++=what
are ^vb+ber+aux++=are
you ^pp2+pp2+++=you
thinking ^nvbg+++xvbg+=thinking?
? ^zz++++=EXTRAWORD
( ^zz++++=(Let
let ^vb+++xvbn+=EXTRAWORD
me ^pp1o+pp1+++=me
peep ^nn++++=peep
across ^in+pl+++=across
at ^rb++++=at
her ^pp$+pp3+++=her
opposite ^in+strn+++=opposite;
; ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she's
's ^vbz+bez+vrb++0=EXTRAWORD
asleep ^jj++++=asleep
or ^cc+phrs+++=or
pretending ^jj+++xvbg+=pretending
it ^pp3+it+++=it;
; ^zz++++=EXTRAWORD
so ^ql++++=so
what ^wdt+who+whq++=what
would ^md+prd+++=would
she ^pp3a+pp3+++=she
think ^vb+vprv+++=think
about ^in++++=about
sitting ^xvbg+++xvbg+=sitting
at ^rb++++=at
the ^ati++++=the
window ^nn++++=window
at ^in++++=at
three ^cd++++=three
o'clock ^rb++++=o'clock
in ^in++++=in
the ^ati++++=the
afternoon ^nn++++=afternoon?
? ^zz++++=EXTRAWORD
Health ^nn++++=Health,
, ^zz++++=EXTRAWORD
money ^nn++++=money,
, ^zz++++=EXTRAWORD
hills ^nns++++=hills,
, ^zz++++=EXTRAWORD
her ^pp$+pp3+++=her
God ^np++++=God?)
? ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
Yes ^uh++++=Yes,
, ^zz++++=EXTRAWORD
sitting ^vbg+++xvbg+=sitting
on ^in++++=on
the ^ati++++=the
very ^ql+amp+++=very
edge ^np++++=edge
of ^in++++=of
the ^ati++++=the
chair ^nn++++=chair
looking ^vwbg+++xvbg+=looking
over ^in++++=over
the ^ati++++=the
roofs ^nns++++=roofs
of ^in++++=of
Eastbourne ^np++++=Eastbourne,
, ^zz++++=EXTRAWORD
Minnie ^np+++??+=Minnie
Marsh ^nn++++=Marsh
prays ^vbz+vsua+++=prays
to ^in++++=to
God ^np++++=God.
. ^zz++++=EXTRAWORD
That ^dt+pdem+++=That's
's ^vbz+bez+vrb++0=EXTRAWORD
all ^abn++++=all
very ^ql+amp+++=very
well ^rb++++=well;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
she ^pp3a+pp3+++=she
may ^md+pos+++=may
rub ^vb++++=rub
the ^ati++++=the
pane ^nn+++??+=pane
too ^ql++++=too,
, ^zz++++=EXTRAWORD
as ^cs+sub+++=as
though ^cs+sub+++=though
to ^to++++=to
see ^vbi+vprv+++=see
God ^np++++=God
better ^jjr++++=better;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
what ^wdt+who+++=what
God ^np++++=God
does ^vbz+doz+aux++=does
she ^pp3a+pp3+++=she
see ^vb+vprv+++=see?
? ^zz++++=EXTRAWORD
Who ^whp+who+++=Who's
's ^vbz+bez+vrb++0=EXTRAWORD
the ^ati++++=the
God ^nn++++=God
of ^in++++=of
Minnie ^np+++??+=Minnie
Marsh ^nn++++=Marsh,
, ^zz++++=EXTRAWORD
the ^ati++++=the
God ^nn++++=God
of ^in++++=of
the ^ati++++=the
back ^jjb+atrb+++=back
streets ^nns++++=streets
of ^in++++=of
Eastbourne ^np++++=Eastbourne,
, ^zz++++=EXTRAWORD
the ^ati++++=the
God ^nn++++=God
of ^in++++=of
three ^cd++++=three
o'clock ^rb++++=o'clock
in ^in++++=in
the ^ati++++=the
afternoon ^nn++++=afternoon?
? ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I,
, ^zz++++=EXTRAWORD
too ^rb+cnj+++=too,
, ^zz++++=EXTRAWORD
see ^vb+vprv+++=see
roofs ^nns++++=roofs,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
see ^vb+vprv+++=see
sky ^nn++++=sky;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but,
, ^zz++++=EXTRAWORD
oh ^uh++++=oh,
, ^zz++++=EXTRAWORD
dear ^jj++++=dear
this ^dt+dem+++=this
seeing ^jj+++xvbg+=seeing
of ^in++++=of
Gods ^nns++++=Gods!
! ^zz++++=EXTRAWORD
More ^ql++++=More
like ^vb++++=like
President ^npt++++=President
Kruger ^np++++=Kruger
than ^in++++=than
Prince ^npt++++=Prince
Albert ^np++++=Albert
that ^tht+rel+subj++=that's
's ^vbz+bez+vrb++0=EXTRAWORD
the ^ati++++=the
best ^jjt++++=best
I ^pp1a+pp1+++=I
can ^md+pos+++=can
do ^vb+do+vrb++=do
for ^in++++=for
him ^pp3o+pp3+++=him;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I
see ^vb+vprv+++=see
him ^pp3o+pp3+++=him
on ^in++++=on
a ^at++++=a
chair ^nn++++=chair,
, ^zz++++=EXTRAWORD
in ^in++++=in
a ^at++++=a
black ^jj+atrb+++=black
frock ^nn++++=frock-coat,
- ^zz++++=EXTRAWORD
coat ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
not ^xnot++not++=not
so ^ql++++=so
very ^ql+amp+++=very
high ^np++++=high
up ^rp++++=up
either ^dtx++++=either;
; ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
can ^md+pos+++=can
manage ^vb++++=manage
a ^at++++=a
cloud ^nn++++=cloud
or ^cc++++=or
two ^cd++++=two
for ^in++++=for
him ^pp3o+pp3+++=him
to ^to++++=to
sit ^vbi++++=sit
on ^in+strn+++=on;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
then ^rn+tm+++=then
his ^pp$+pp3+++=his
hand ^nn++++=hand
trailing ^vwbg+++xvbg+=trailing
in ^in++++=in
the ^ati++++=the
clouds ^nns++++=clouds
holds ^vbz+vprv+++=holds
a ^at++++=a
rod ^nn++++=rod,
, ^zz++++=EXTRAWORD
a ^at++++=a
truncheon ^nn+++??+=truncheon
is ^vbz+bez+vrb++=is
it?black ^nn+++??+=it?black,
, ^zz++++=EXTRAWORD
thick ^jj++++=thick,
, ^zz++++=EXTRAWORD
horned ^j+++xvbn+=horned
a ^at++++=a
brutal ^jj+atrb+++=brutal
old ^jj+atrb+++=old
bullyminnie ^nn+++??+=bullyMinnie's
's ^$++++=EXTRAWORD
God ^nn++++=God!
! ^zz++++=EXTRAWORD
Did ^vbd+dod+aux++=Did
he ^pp3a+pp3+++=he
send ^vb++++=send
the ^ati++++=the
itch ^nn++++=itch
and ^cc++++=and
the ^ati++++=the
patch ^nn++++=patch
and ^cc++++=and
the ^ati++++=the
twitch ^vb++++=twitch?
? ^zz++++=EXTRAWORD
Is ^vbz+bez+vrb++=Is
that ^tht+vcmp+++=that
why ^wrb+who+++=why
she ^pp3a+pp3+++=she
prays ^vbz+vsua+++=prays?
? ^zz++++=EXTRAWORD
What ^wdt+who+++=What
she ^pp3a+pp3+++=she
rubs ^nns+++??+=rubs
on ^in++++=on
the ^ati++++=the
window ^nn++++=window
is ^vbz+bez+vrb++=is
the ^ati++++=the
stain ^nn++++=stain
of ^in++++=of
sin ^nn++++=sin.
. ^zz++++=EXTRAWORD
Oh ^uh++++=Oh,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
committed ^vbd+++xvbnx+=committed
some ^dti++++=some
crime ^nn++++=crime!
! ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
have ^vb+hv+vrb++=have
my ^pp$+pp1+++=my
choice ^nn++++=choice
of ^in++++=of
crimes ^nns++++=crimes.
. ^zz++++=EXTRAWORD
The ^ati++++=The
woods ^nns++++=woods
flit ^nn+++??+=flit
and ^cc++++=and
fly ^nn++++=fly
in ^in++++=in
summer ^nn++++=summer
there ^ex+pex+++=there
are ^vb+ber+vrb++=are
bluebells ^nns+++??+=bluebells;
; ^zz++++=EXTRAWORD
in ^in++++=in
the ^ati++++=the
opening ^jj+++xvbg+=opening
there ^rn+pl+++=there,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
Spring ^nn++++=Spring
comes ^vbz++++=comes,
, ^zz++++=EXTRAWORD
primroses ^nns++++=primroses.
. ^zz++++=EXTRAWORD
A ^at++++=A
parting ^nvbg+++xvbg+=parting,
, ^zz++++=EXTRAWORD
was ^vbd+bedz+vrb++=was
