Those ^dt+dem+++=Those
horses ^nns++++=horses
toward ^in++++=toward
the ^ati++++=the
river ^nn++++=river,
, ^zz++++=EXTRAWORD
three ^cd++++=three
miles ^nns++++=miles
away ^rp+pl+++=away,
, ^zz++++=EXTRAWORD
leavin ^nn+++??+=leavin'
' ^zz++++=EXTRAWORD
them ^pp3o+pp3+++=them
two ^cd++++=two
savages ^nns+nom+++=savages
tearin ^nn+++??+=tearin'
' ^zz++++=EXTRAWORD
down ^rp++++=down
the ^ati++++=the
track ^nn++++=track
like ^in++++=like
mad ^nn++++=mad.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
glanced ^vbd+++xvbnx+=glanced
back ^rp++++=back
as ^ql++++=as
I ^pp1a+pp1+++=I
turned ^vbd+++xvbnx+=turned,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but,
, ^zz++++=EXTRAWORD
instead ^rb+cnj+++=instead
of ^in++++=of
seein ^nn+++??+=seein'
' ^zz++++=EXTRAWORD
the ^ati++++=the
boys ^nns++++=boys
in ^in++++=in
the ^ati++++=the
midst ^nn++++=midst
of ^in++++=of
a ^at++++=a
decent ^jj+atrb+++=decent
retreat ^nn++++=retreat,
, ^zz++++=EXTRAWORD
the ^ati++++=the
crowd ^nn++++=crowd
was ^vbd+bedz+vrb++=was
swarmin ^nn+++??+=swarmin'
' ^zz++++=EXTRAWORD
after ^in++++=after
them ^pp3o+pp3+++0='em
like ^in++++=like
a ^at++++=a
nest ^nn++++=nest
of ^in++++=of
angry ^jj+atrb+++=angry
hornets ^nns+++??+=hornets,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
Donnelly ^np++++=Donnelly,
, ^zz++++=EXTRAWORD
with ^in++++=with
his ^pp$+pp3+++=his
reins ^nns++++=reins
between ^in++++=between
his ^pp$+pp3+++=his
teeth ^nns++++=teeth,
, ^zz++++=EXTRAWORD
was ^vbd+bedz+vrb++=was
blazin ^nn+++??+=blazin'
' ^zz++++=EXTRAWORD
away ^rp+pl+++=away
at ^in++++=at
three ^cd++++=three
reds ^nns++++=reds
who ^whp+rel+subj++=who
were ^vbd+bed+vrb++=were
right ^jj++++=right
at ^rb++++=at
Barrett ^np++++=Barrett's
's ^$++++=EXTRAWORD
heels ^nns++++=heels
as ^ql++++=as
he ^pp3a+pp3+++=he
ran ^vbd+++xvbnx+=ran
for ^in++++=for
his ^pp$+pp3+++=his
horse ^nn++++=horse.
. ^zz++++=EXTRAWORD
Martin ^np++++=Martin
was ^vbd+bedz+vrb++=was
lashin ^nn+++??+=lashin'
' ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
jumpin ^nn+++??+=jumpin'
' ^zz++++=EXTRAWORD
cayuse ^nn++++=cayuse
away ^in+pl+++=away
from ^in"++++=from
the ^ati++++=the
mob ^nn++++=mob
which ^whp+rel+obj++=which
sputtered ^jj+++xvbn+=sputtered
and ^cc++++=and
spit ^nn++++=spit
angry ^jj+atrb+++=angry
shots ^nns++++=shots
after ^in++++=after
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
Bucks ^np++++=Bucks
were ^vbd+bed+vrb++=were
runnin ^nn+++??+=runnin'
' ^zz++++=EXTRAWORD
here ^rn+pl+++=here
and ^cc++++=and
there ^rn+pl+++=there
and ^cc++++=and
hastily ^rb++++=hastily
mountin ^nn+++??+=mountin'
' ^zz++++=EXTRAWORD
their ^pp$+pp3+++=their
ponies ^nns++++=ponies--while
-- ^--+clp+++=EXTRAWORD
while ^cs+sub+++=EXTRAWORD
an ^at++++=an
angry ^jj+atrb+++=angry
roar ^nn++++=roar
came ^vbd+++xvbn+=came
to ^in++++=to
me ^pp1o+pp1+++=me,
, ^zz++++=EXTRAWORD
punctuated ^xvbn+++xvbn+=punctuated
by ^in++++=by
the ^ati++++=the
poppin ^nn+++??+=poppin'
' ^zz++++=EXTRAWORD
of ^in++++=of
the ^ati++++=the
guns ^nns++++=guns.
. ^zz++++=EXTRAWORD
Hollis ^np++++=Hollis
and ^cc++++=and
I ^pp1a+pp1+++=I
reached ^vbd+++xvbnx+=reached
the ^ati++++=the
river ^nn++++=river
and ^cc++++=and
swam ^vbd+++xvbn+=swam
it ^pp3+it+++=it
half ^rb++++=half
a ^at++++=a
mile ^nn++++=mile
ahead ^rb+pl+++=ahead
of ^in++++=of
the ^ati++++=the
others ^aps++++=others
and ^cc++++=and
their ^pp$+pp3+++=their
yellin ^nn+++??+=yellin'
' ^zz++++=EXTRAWORD
bunch ^nn++++=bunch
of ^in++++=of
trailers ^nns+nom+++=trailers,
, ^zz++++=EXTRAWORD
so ^ql++++=so
we ^pp1a+pp1+++=we
were ^vbd+bed+vrb++=were
able ^jj++pmd"++=able
to ^to+jcmp+pmd++=to
protect ^vb++++=protect
them ^pp3o+pp3+++0='em
in ^in++++=in
their ^pp$+pp3+++=their
crossin ^nn+++??+=crossin'.
'. ^nn+++??+=EXTRAWORD
I ^pp1a+pp1+++=I
could ^md+pos+++=could
see ^vb+vprv+++=see
from ^in++++=from
their ^pp$+pp3+++=their
actions ^nns+nom+++=actions
that ^tht+rel+obj++=that
Bennett ^np++++=Bennett
and ^cc++++=and
Martin ^np++++=Martin
was ^vbd+bedz+vrb++=was
both ^abx++++=both
hurt ^nn+++xvbn+=hurt
and ^cc++++=and
I ^pp1a+pp1+++=I
judged ^vbd+vprv+tht0+xvbnx+=judged
the ^ati++++=the
deal ^nn++++=deal
had ^vb+hv+aux++=hadn't
n't ^xnot++not++0=EXTRAWORD
panned ^vbd+++xvbn+=panned
out ^rp+pl+++=out
exactly ^rb++++=exactly
accordin ^nn+++??+=accordin'
' ^zz++++=EXTRAWORD
to ^in++++=to
specifications ^nns+nom+++=specifications.
. ^zz++++=EXTRAWORD
The ^ati++++=The
Crows ^np+++??+=Crows
did ^vbd+dod+aux++=didn't
n't ^xnot++not++0=EXTRAWORD
attempt ^vb++++=attempt
to ^to+vcmp+++=to
cross ^vbi++++=cross
in ^in++++=in
the ^ati++++=the
teeth ^nns++++=teeth
of ^in++++=of
our ^pp$+pp1+++=our
fire ^nn++++=fire,
, ^zz++++=EXTRAWORD
however ^rb+cnj+++=however,
, ^zz++++=EXTRAWORD
being ^xvbg+++xvbg+=being
satisfied ^xvbn+++xvbn+=satisfied
with ^in++++=with
what ^wdt+who+++=what
they ^pp3a+pp3+++=they'd
'd ^vbd+hvd+aux++0=EXTRAWORD
done ^vprf+++xvbnx+=done,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
horses ^nns++++=horses
safely ^rb++++=safely
brought ^vbd+++xvbn+=brought
our ^pp$+pp1+++=our
three ^cd++++=three
comrades ^nns++++=comrades
drippin ^nn+++??+=drippin'
' ^zz++++=EXTRAWORD
up ^rp++++=up
the ^ati++++=the
bank ^nn++++=bank
to ^to++++=to
where ^wrb+who+++=where
we ^pp1a+pp1+++=we
lay ^vbd+++xvbn+=lay
takin ^nn+++??+=takin'
' ^zz++++=EXTRAWORD
pot ^nn++++=pot-shots
- ^zz++++=EXTRAWORD
shots ^nns++++=EXTRAWORD
at ^in++++=at
every ^at++++=every
bunch ^nn++++=bunch
of ^in++++=of
feathers ^nns+nom+++=feathers
that ^tht+rel+++=that
approached ^jj+++xvbn+=approached
the ^ati++++=the
opposite ^rb++++=opposite
bank ^npl++++=bank.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
got ^vbd+++xvbn+=got
Barrett ^np++++=Barrett's
's ^$++++=EXTRAWORD
arm ^vb++++=arm
into ^in++++=into
a ^at++++=a
sling ^nn++++=sling,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and,
, ^zz++++=EXTRAWORD
as ^ql++++=as
Martin ^np++++=Martin's
's ^$++++=EXTRAWORD
hurt ^vbd+++xvbn+=hurt
was ^vbd+bedz+vrb++=wasn't
n't ^xnot++not++0=EXTRAWORD
serious ^jj++++=serious,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
lost ^vbd+++xvbn+=lost
no ^at++++=no
time ^nn++++=time
in ^in++++=in
gettin ^nn+++??+=gettin'
' ^zz++++=EXTRAWORD
away ^rp+pl+++=away.
. ^zz++++=EXTRAWORD
" ^zz++++="They
they ^pp3a+pp3+++=EXTRAWORD
simply ^rb++++=simply
beat ^nn+++xvbn+=beat
us ^pp1o+pp1+++=us
to ^in++++=to
it ^pp3+it+++=it,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
complained ^vbd+vpub++xvbn+=complained
Barrett ^np+++??+=Barrett,
, ^zz++++=EXTRAWORD
as ^ql++++=as
we ^pp1a+pp1+++=we
rode ^vbd+++xvbn+=rode
south ^np+pl+++=south.
. ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
all ^abn++++=all
had ^vb+hv+aux++=had
jest ^rb++splt++=jest
started ^vprf+++xvbnx+=started
when ^wrb+who+++=when
young ^jj+atrb+++=young
Long ^jj+atrb+++=Long
Hair ^nn++++=Hair
grabs ^nns+++??+=grabs
the ^ati++++=the
sack ^nn++++=sack
and ^cc++++=and
ducks ^nns++++=ducks
through ^in++++=through
the ^ati++++=the
crowd ^nn++++=crowd,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
whole ^jj+atrb+++=whole
bunch ^nn++++=bunch
turns ^nns++++=turns
loose ^jj++++=loose
on ^rp++++=on
us ^pp1o+pp1+++=us
at ^rb++++=at
once ^rb"+tm+++=once.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
was ^vbd+bedz+vrb++=wasn't
n't ^xnot++not++0=EXTRAWORD
expectin ^nn+++??+=expectin'
' ^zz++++=EXTRAWORD
anything ^pn++++=anything
so ^ql+emph+++=so
early ^jj++++=early
in ^in++++=in
the ^ati++++=the
game ^nn++++=game,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
they ^pp3a+pp3+++=they
winged ^jj++++=winged
me ^pp1o+pp1+++=me
the ^ati++++=the
first ^od++++=first
clatter ^nn++++=clatter.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
thought ^vbd+++xvbnx+=thought
sure ^jj++++=sure
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
oft ^rb++++=oft
with ^in++++=with
me ^pp1o+pp1+++=me
when ^wrb+who+++=when
I ^pp1a+pp1+++=I
got ^vbd+++xvbnx+=got
this ^dt+dem+++=this
bullet ^nn++++=bullet
in ^in++++=in
the ^ati++++=the
shoulder ^nn+nom+++=shoulder,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
I ^pp1a+pp1+++=I
used ^vbd+++xvbnx+=used
the ^ati++++=the
gun ^nn++++=gun
in ^in++++=in
my ^pp$+pp1+++=my
left ^jj+atrb++xvbn+=left
hand ^nn++++=hand
and ^cc++++=and
broke ^vpsv++agls+xvbn+=broke
for ^in++++=for
the ^ati++++=the
nearest ^jjt+atrb+++=nearest
pony ^nn++++=pony."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="They
they ^pp3a+pp3+++=EXTRAWORD
got ^vbd+++xvbnx+=got
me ^pp1o+pp1+++=me,
, ^zz++++=EXTRAWORD
too ^rb+cnj+++=too,
, ^zz++++=EXTRAWORD
before ^cs+sub+++=before
I ^pp1a+pp1+++=I
saw ^vbd+vprv++xvbnx+=saw
what ^wdt+who+++=what
was ^vbd+bedz+vrb++=was
up ^rp++++=up,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
added ^vbd+vpub++xvbn+=added
Martin ^np++++=Martin;
; ^zz++++=EXTRAWORD
" ^zz++++="but
but ^cc++++=EXTRAWORD
I ^pp1a+pp1+++=I
tore ^vbd+++xvbnx+=tore
out ^rp+pl+++=out
of ^in++++=of
there ^rn+pl+++=there
like ^in++++=like
a ^at++++=a
jack ^np++++=jack-rabbit.
- ^zz++++=EXTRAWORD
rabbit ^nn++++=EXTRAWORD
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+aux++=was
all ^abn++++=all
done ^vwbn+++xvbn+=done
so ^ql+emph+++=so
cussed ^jj+++xvbn+=cussed
quick ^jj++++=quick
that ^cs+sub+++=that
the ^ati++++=the
first ^od++++=first
thing ^nn++++=thing
I ^pp1a+pp1+++=I
knew ^vbd+vprv+tht0+xvbnx+=knew
I ^pp1a+pp1+++0=I'd
'd ^vbd+hvd+aux++=EXTRAWORD
straddled ^vprf+++xvbnx+=straddled
my ^pp$+pp1+++=my
horse ^nn++++=horse
and ^cc++++=and
was ^vbd+bedz+vrb++=was
makin ^nn+++??+=makin'
' ^zz++++=EXTRAWORD
tracks ^nns++++=tracks.
. ^zz++++=EXTRAWORD
Who ^whp+who+whq++=Who'd
'd ^md+prd+aux++0=EXTRAWORD
a ^at++++=a
thought ^nn+++xvbn+=thought
them ^pp3o+pp3+++=them
durned ^vbd+++xvbn+=durned
Indians ^nn++++=Indians
was ^vbd+bedz+vrb++=was
dishonest ^jj+pred+++=dishonest
enough ^qlp++++=enough
fer ^&fw++++=fer
a ^at++++=a
trick ^nn++++=trick
like ^in++++=like
that ^dt+pdem+++=that?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
Donnelly ^np++++=Donnelly
spoke ^vbd+++xvbn+=spoke
up ^rp++++=up
and ^cc++++=and
says ^vbz+vpub+++=says:
: ^zz++++=EXTRAWORD
" ^zz++++="Boys,
boys ^nns++++=EXTRAWORD
, ^zz++++=EXTRAWORD
as ^in++++=as
fur ^nn++++=fur
as ^in++++=as
the ^ati++++=the
coin ^nn++++=coin
goes ^vbz++++=goes,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we're
're ^vb+ber+vrb++0=EXTRAWORD
out ^rp+pl+++=out
and ^cc++++0=an'
injured ^jj+++xvbn+=injured;
; ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
jest ^rb++++=jest
made ^vwbn+++xvbn+=made
a ^at++++=a
' ^zz++++='Mexican
mexican ^jj+atrb+++=EXTRAWORD
stand-off ^nn+++??+=stand-off'--lost
'--lost ^nn+++??+=EXTRAWORD
our ^pp$+pp1+++=our
money ^nn++++=money,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
saved ^vbd+++xvbn+=saved
our ^pp$+pp1+++=our
lives ^nns++++=lives--and
-- ^--+clp+++=EXTRAWORD
and ^cc+cls+++=EXTRAWORD
mighty ^ql++++=mighty
lucky ^np++++=lucky
at ^rb++++=at
that ^dt+pdem+++=that,
, ^zz++++=EXTRAWORD
from ^in++++=from
appearances ^nns+nom+++=appearances.
. ^zz++++=EXTRAWORD
What ^wdt+who+++=What
I ^pp1a+pp1+++=I
want ^vb++++=want
to ^to+vcmp+++=to
know ^vbi+vprv+++=know
now ^rn+tm+++=now
is ^vbz+bez+vrb++=is,
, ^zz++++=EXTRAWORD
how ^wrb+who+++=how
we ^pp1a+pp1+++=we're
're ^vb+ber+vrb++0=EXTRAWORD
all ^abn++++=all
goin ^nn+++??+=goin'
' ^zz++++=EXTRAWORD
to ^to++++=to
get ^vbi++++=get
home ^nr++++=home,
, ^zz++++=EXTRAWORD
clean ^jj++++=clean
across ^in+pl+++=across
the ^ati++++=the
State ^nn++++=State
of ^in++++=of
Texas ^np++++=Texas,
, ^zz++++=EXTRAWORD
without ^in++++=without
a ^at++++=a
dollar ^nn++++=dollar
in ^in++++=in
the ^ati++++=the
outfit ^nn++++=outfit,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
no ^at++++=no
assets ^nns++++=assets
but ^cc++++=but
our ^pp$+pp1+++=our
guns ^nns++++=guns
and ^cc++++=and
the ^ati++++=the
nags ^nns+++??+=nags."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
That ^dt+pdem+++=That
was ^vbd+bedz+vrb++=was
a ^at++++=a
sure ^jj+atrb+++=sure
tough ^jj+atrb+++=tough
proposition ^nn+nom+++=proposition,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
we ^pp1a+pp1+++=we
had ^vbd+hvd+aux++=had
left ^vprf+++xvbnx+=left
it ^pp3+it+++=it
teetotally ^rb++++=teetotally
out ^rp+pl+++=out
of ^in++++=of
calculations ^nns+nom+++=calculations.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We'd
'd ^vbd+hvd+aux++0=EXTRAWORD
bet ^vprf+++xvbnx+=bet
every ^at++++=every
bean ^nn++++=bean
on ^in++++=on
that ^dt+dem+++=that
race ^nn++++=race,
, ^zz++++=EXTRAWORD
not ^xnot++not++=not
seein ^nn+++??+=seein'
' ^zz++++=EXTRAWORD
how ^wrb+who+++=how
we ^pp1a+pp1+++=we
could ^md+pos+++=could
lose ^vb++++=lose.
. ^zz++++=EXTRAWORD
In ^in++++=In
them ^pp3o+pp3+++=them
days ^nns++++=days
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=wasn't
n't ^xnot++not++0=EXTRAWORD
a ^at++++=a
railroad ^nn++++=railroad
in ^cs+sub+++=in
that ^cs"++++=that
section ^nn+nom+++=section,
, ^zz++++=EXTRAWORD
ranches ^nns+++??+=ranches
were ^vbd+bed+vrb++=were
scatterin ^nn+++??+=scatterin',
', ^nn+++??+=EXTRAWORD
and ^cc++++=and
people ^nns++++=people
were ^vbd+bed+vrb++=weren't
n't ^xnot++not++0=EXTRAWORD
givin ^nn+++??+=givin'
' ^zz++++=EXTRAWORD
pink ^jj+atrb+++=pink
teas ^nns++++=teas
to ^in++++=to
every ^at++++=every
stranger ^jjr++++=stranger
that ^dt+pdem+++=that
rode ^vbd+++xvbn+=rode
up ^rp++++=up--especially
-- ^--+clp+++=EXTRAWORD
especially ^rb++++=EXTRAWORD
when ^wrb+who+++=when
they ^pp3a+pp3+++=they
were ^vbd+bed+vrb++=were
as ^in++++=as
hard ^jj++++=hard-lookin'
- ^zz++++=EXTRAWORD
lookin ^nn+++??+=EXTRAWORD
' ^zz++++=EXTRAWORD
as ^ql++++=as
we ^pp1a+pp1+++=we
were ^vbd+bed+vrb++=were.
. ^zz++++=EXTRAWORD
" ^zz++++="We've
we ^pp1a+pp1+++=EXTRAWORD
've ^md"++pmd"++0=EXTRAWORD
got ^vb++pmd"+xvbnx+=got
to ^to+vcmp+pmd++=to
eat ^vb++++=eat,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
so ^ql++++=so's
's ^vbz+bez+vrb++0=EXTRAWORD
the ^ati++++=the
horses ^nns++++=horses,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
says ^vbz+vpub+++=says
Hollis ^np++++=Hollis,
, ^zz++++=EXTRAWORD
" ^zz++++="but
but ^cc++++=EXTRAWORD
no ^at++++=no
rancher ^nn++++=rancher
is ^vbz+bez+vrb++=is
goin ^nn+++??+=goin'
' ^zz++++=EXTRAWORD
to ^to++++=to
welcome ^vbi++++=welcome
with ^in++++=with
open ^jj+atrb+++=open
arms ^nns++++=arms
as ^in++++=as
disreputable ^jj++++=disreputable
an ^at++++=an
outfit ^nn++++=outfit
as ^ql++++=as
we ^pp1a+pp1+++=we
are ^vb+ber+vrb++=are.
. ^zz++++=EXTRAWORD
Two ^cd++++=Two
men ^nns++++=men
shot ^vbd+++xvbn+=shot
up ^rp++++=up,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
rest ^nn++++=rest
of ^in++++=of
us ^pp1o+pp1+++=us
without ^in++++=without
beddin ^nn+++??+=beddin',
', ^nn+++??+=EXTRAWORD
grub ^nn++++=grub,
, ^zz++++=EXTRAWORD
money ^nn++++=money,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
explanations ^nns+nom+++=explanations.
. ^zz++++=EXTRAWORD
Them ^np++++=Them's
's ^$++++=EXTRAWORD
what ^wdt+who+++=what
we ^pp1a+pp1+++=we
need ^nn++++=need--explanations.
-- ^--+clp+++=EXTRAWORD
explanations ^nns+nom+++=EXTRAWORD
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
exactly ^rb++++=exactly
see ^vb+vprv+++=see
how ^wrb+who+whcl++=how
we ^pp1a+pp1+++=we're
're ^vb+ber+vrb++0=EXTRAWORD
goin ^nn+++??+=goin'
' ^zz++++=EXTRAWORD
to ^to++++=to
explain ^vbi+vpub+tht0++=explain
our ^pp$+pp1+++=our
fix ^vb++++=fix
to ^in++++=to
the ^ati++++=the
honest ^jj+atrb+++=honest
hay ^nn++++=hay-diggers,
- ^zz++++=EXTRAWORD
diggers ^nns+nom+++=EXTRAWORD
, ^zz++++=EXTRAWORD
either ^dtx++++=either.
. ^zz++++=EXTRAWORD
Everybody ^pn++++=Everybody'll
'll ^md+prd+++0=EXTRAWORD
think ^vb+vprv+tht0++=think
some ^dti++++=some
sheriff ^nn++++=sheriff
is ^vbz+bez+vrb++=is
after ^in++++=after
us ^pp1o+pp1+++=us,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
two ^cd++++=two
to ^to++++=to
one ^cd1++++=one
they ^pp3a+pp3+++=they'll
'll ^md+prd+++0=EXTRAWORD
put ^vb+++xvbn+=put
some ^dti++++=some
officer ^nn++++=officer
on ^in++++=on
our ^pp$+pp1+++=our
trail ^nn++++=trail,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
we ^pp1a+pp1+++=we'll
'll ^md+prd+++0=EXTRAWORD
have ^vb+hv+vrb++=have
more ^rbr++++=more
trouble ^nn++++=trouble.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
believe ^vb+vprv+tht0++=believe
I ^pp1a+pp1+++=I've
've ^vb+hv+aux++0=EXTRAWORD
'd ^md+prd+vrb++=had
all ^abn++++=all
I ^pp1a+pp1+++=I
want ^vb++++=want
for ^in++++=for
awhile ^rb++++=awhile."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I'll
i ^pp1a+pp1+++=EXTRAWORD
'll ^md+prd+++0=EXTRAWORD
tell ^vb++++=tell
you ^pp2+pp2+++=you
how ^wrb+who+++=how
we ^pp1a+pp1+++=we'll
'll ^md+prd+++0=EXTRAWORD
work ^vb++++=work
it ^pp3+it+++=it,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
says ^vbz+vpub+++=says.
. ^zz++++=EXTRAWORD
" ^zz++++="One
one ^pn++++=EXTRAWORD
of ^in++++=of
us ^pp1o+pp1+++=us'll
'll ^md+prd+++0=EXTRAWORD
be ^vb+be+vrb++=be
the ^ati++++=the
sheriff ^nn++++=sheriff
of ^in++++=of
Guadalupe ^np+++??+=Guadalupe
County ^nn++++=County,
, ^zz++++=EXTRAWORD
back ^jjb+atrb+++=back
home ^nr++++=home,
, ^zz++++=EXTRAWORD
with ^in++++=with
three ^cd++++=three
deputies ^nns++++=deputies,
, ^zz++++=EXTRAWORD
bringin ^nn+++??+=bringin'
' ^zz++++=EXTRAWORD
back ^jjb++++=back
a ^at++++=a
prisoner ^nn+nom+++=prisoner
that ^tht+rel+obj++=that
we ^pp1a+pp1+++=we've
've ^vb+hv+aux++0=EXTRAWORD
chased ^vprf+++xvbnx+=chased
across ^in+pl+++=across
the ^ati++++=the
State ^nn++++=State.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We'll
'll ^md+prd+++0=EXTRAWORD
ride ^vb++++=ride
up ^in+cmpx+++=up
to ^in"++++=to
a ^at++++=a
ranch ^nn++++=ranch
and ^cc++++0=an'
demand ^nn++++=demand
lodgin ^nn+++??+=lodgin'
' ^zz++++=EXTRAWORD
for ^in++++=for
ourselves ^ppls+pp1+++=ourselves
and ^cc++++=and
prisoner ^nn+nom+++=prisoner
in ^in++++=in
the ^ati++++=the
name ^nn++++=name
of ^in++++=of
the ^ati++++=the
State ^nn++++=State
of ^in++++=of
Texas ^np++++=Texas
and ^cc++++=and
say ^vb+vpub+++=say
that ^tht+vcmp+++=that
we ^pp1a+pp1+++=we'll
'll ^md+prd+++0=EXTRAWORD
pay ^vb++++=pay
with ^in++++=with
vouchers ^nns+nom+++=vouchers
on ^in++++=on
the ^ati++++=the
county ^nn++++=county
in ^in++++=in
the ^ati++++=the
morning ^nn++++=morning."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="No,
no ^at++++=EXTRAWORD
, ^zz++++=EXTRAWORD
sir ^npt++++=sir!
! ^zz++++=EXTRAWORD
not ^xnot++not++=not
fer ^&fw++++=fer
me ^pp1o+pp1+++=me,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
says ^vbz+vpub+++=says
Martin ^np++++=Martin.
. ^zz++++=EXTRAWORD
" ^zz++++="I'm
i ^pp1a+pp1+++=EXTRAWORD
'm ^vb+bem+vrb++0=EXTRAWORD
not ^xnot++not++=not
goin ^nn+++??+=goin'
' ^zz++++=EXTRAWORD
in ^in++++=in
fer ^&fw++++=fer
forgery ^nn+nom+++=forgery.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It's
's ^vbz+bez+vrb++0=EXTRAWORD
all ^abn++++=all
right ^nn++++=right
to ^to+ncmp+++=to
practice ^vb++++=practice
a ^rb++++=a
little ^rb"++++=little
mild ^jj+atrb+++=mild
deception ^nn+nom+++=deception
on ^in++++=on
our ^pp$+pp1+++=our
red ^jj+atrb+++=red
brothers ^nns+nom+++=brothers,
, ^zz++++=EXTRAWORD
as ^ql++++=as
we ^pp1a+pp1+++=we
figgered ^vbd+++xvbn+=figgered
on ^in++++=on
doing ^xvbg+++xvbg+=doing,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
I ^pp1a+pp1+++=I'm
'm ^vb+bem+vrb++0=EXTRAWORD
not ^xnot++not++=not
goin ^nn+++??+=goin'
' ^zz++++=EXTRAWORD
to ^to++++=to
try ^vbi++++=try
to ^to+vcmp+++=to
flimflam ^vbi+++??+=flimflam
the ^ati++++=the
State ^nn++++=State
of ^in++++=of
Texas ^np++++=Texas.
. ^zz++++=EXTRAWORD
Our ^pp$+pp1+++=Our
troubles ^nns++++=troubles
'd ^md+prd+aux++0='d
only ^rb+down+++=only
be ^vb+be+vrb++=be
startin ^nn+++??+=startin'
' ^zz++++=EXTRAWORD
if ^cs+cnd+++=if
we ^pp1a+pp1+++=we
began ^vbd+++xvbn+=began
that ^dt+dem+++=that
game ^nn++++=game."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Your
your ^pp$+pp2+++=EXTRAWORD
plan ^nn++++=plan's
's ^$++++=EXTRAWORD
all ^abn++++=all
right ^jj++++=right,
, ^zz++++=EXTRAWORD
Kid ^nn++++=Kid,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
says ^vbz+vpub+++=says
Bennett ^np++++=Bennett
to ^in++++=to
me ^pp1o+pp1+++=me.
. ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
be ^vb+be+vrb++=be
the ^ati++++=the
terrible ^jj+atrb+++=terrible
desperado ^nn+++??+=desperado
that ^tht+rel+obj++=that
I ^pp1a+pp1+++=I'm
'm ^vb+bem+vrb++0=EXTRAWORD
bringin ^nn+++??+=bringin'
' ^zz++++=EXTRAWORD
home ^nr++++=home
after ^in++++=after
a ^at++++=a
bloody ^jj+atrb+++=bloody
fight ^nn++++=fight,
, ^zz++++=EXTRAWORD
where ^wrb+who+++=where
you ^pp2+pp2+++=you
wounded ^vbd+++xvbn+=wounded
Martin ^np++++=Martin
and ^cc++++=and
me ^pp1o+pp1+++=me,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
' ^zz++++='most
most ^ql+emph+++=EXTRAWORD
