Towards ^in++++=Towards
the ^ati++++=the
24 ^cd++++=24
th ^zz++++=th
of ^in++++=of
December ^nr+nom+++=December
and ^cc++++=and
Christmas ^np++++=Christmas
Day ^nn++++=Day
there ^ex+pex+++=there
would ^md+prd+++=would
be ^vb+be+vrb++=be
horse ^nn++++=horse
races ^nns++++=races.
. ^zz++++=EXTRAWORD
To ^to++++=To
do ^vbi++++=do
justice ^nn++++=justice
to ^in++++=to
all ^abn++++=all
this ^dt+dem+++=this
melted ^jj+++xvbn+=melted
their ^pp$+pp3+++=their
money ^nn++++=money
fast ^nn++++=fast.
. ^zz++++=EXTRAWORD
Their ^pp$+pp3+++=Their
gay ^jj++++=gay
round ^in++++=round
of ^in++++=of
pleasure ^nn++++=pleasure
had ^vb+hv+aux++=had
no ^at++++=no
check ^vb+vprv+++=check
until ^in++++=until
the ^ati++++=the
last ^rb++++=last
day ^nn++++=day
of ^in++++=of
the ^ati++++=the
races ^nns++++=races.
. ^zz++++=EXTRAWORD
Heretofore ^np+++??+=Heretofore
they ^pp3a+pp3+++=they
had ^vbd+hvd+aux++=had
held ^vprf++tht0+xvbnx+=held
their ^pp$+pp3+++=their
own ^ap++++=own
in ^in++++=in
the ^ati++++=the
games ^nns++++=games,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
first ^rb++++=first
day ^nn++++=day
of ^in++++=of
the ^ati++++=the
races ^nns++++=races
they ^pp3a+pp3+++=they
had ^vb+hv+aux++=had
even ^rb++splt++=even
picked ^vprf+++xvbnx+=picked
several ^ap++++=several
winners ^nns+nom+++=winners.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
grief ^nn++++=grief
was ^vbd+bedz+vrb++=was
in ^in++++=in
store ^nn++++=store
for ^in++++=for
Baugh ^np+++??+=Baugh
the ^ati++++=the
leader ^nn++++=leader,
, ^zz++++=EXTRAWORD
Baugh ^np+++??+=Baugh
the ^ati++++=the
brains ^nns++++=brains
of ^in++++=of
the ^ati++++=the
trio ^nn++++=trio.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
had ^vbd+hvd+aux++=had
named ^vprf+++xvbnx+=named
the ^ati++++=the
winners ^nns+nom+++=winners
so ^rb++++=so
easily ^rb++++=easily
the ^ati++++=the
day ^nn++++=day
before ^in+strn+++=before,
, ^zz++++=EXTRAWORD
that ^dt+dem+++=that
now ^rn+tm+++=now
his ^pp$+pp3+++=his
confidence ^nn+nom+++=confidence
knew ^vbd+vprv++xvbn+=knew
no ^at++++=no
bounds ^nns++++=bounds.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
opinion ^nn++++=opinion
was ^vbd+bedz+vrb++=was
supreme ^jj+pred+++=supreme
on ^in++++=on
a ^at++++=a
running ^jj+atrb++xvbg+=running
horse ^nn++++=horse,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
he ^pp3a+pp3+++=he
cautioned ^vbd+++xvbnx+=cautioned
the ^ati++++=the
others ^aps++++=others
not ^xnot++not++=not
to ^in++++=to
risk ^nn++++=risk
their ^pp$+pp3+++=their
judgment ^nn+nom+++=judgment--in
-- ^--+clp+++=EXTRAWORD
in ^in++++=EXTRAWORD
fact ^nn++++=fact,
, ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
had ^vb+hv+aux++=had
better ^jjr++++=better
follow ^vb+vprv+++=follow
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
" ^zz++++="I'm
i ^pp1a+pp1+++=EXTRAWORD
'm ^vb+bem+aux++0=EXTRAWORD
going ^vbg+++xvbgx+=going
to ^to++++=to
back ^rp++++=back
that ^dt+dem+++=that
sorrel ^nn+++??+=sorrel
gelding ^nn++++=gelding,
, ^zz++++=EXTRAWORD
that ^cs+sub+++=that
won ^vprf+++xvbn+=won
yesterday ^nr+tm+++=yesterday
in ^in++++=in
the ^ati++++=the
free ^jj++++=free-for-all
- ^zz++++=EXTRAWORD
for ^in++++=EXTRAWORD
- ^zz++++=EXTRAWORD
all ^abn++++=EXTRAWORD
to ^to++++=to-day,"
- ^zz++++=EXTRAWORD
day ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub+tht0+xvbn+=said
he ^pp3a+pp3+++=he
to ^in++++=to
Stubb ^np+++??+=Stubb
and ^cc++++=and
Arab ^jj++++=Arab,
, ^zz++++=EXTRAWORD
" ^zz++++="and
and ^cc+cls+++=EXTRAWORD
if ^cs+cnd+++=if
you ^pp2+pp2+++=you
boys ^nns++++=boys
go ^vb++++=go
in ^in++++=in
with ^in++++=with
me ^pp1o+pp1+++=me,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we'll
'll ^md+prd+++0=EXTRAWORD
make ^vb++++=make
a ^at++++=a
killing ^nvbg+++xvbg+=killing."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
can ^md+pos+++=can
lose ^vb++++=lose
your ^pp$+pp2+++=your
money ^nn++++=money
on ^in++++=on
a ^at++++=a
horse ^nn++++=horse
race ^nn++++=race
too ^ql++++=too
quick ^jj++++=quick
to ^to+jcmp+++=to
suit ^vbi++++=suit
me ^pp1o+pp1+++=me,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
replied ^vbd+vpub++xvbn+=replied
Stubb ^np+++??+=Stubb.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
prefer ^vb+vprv+++=prefer
to ^to+vcmp+++=to
stick ^vbi++++=stick
to ^in++++=to
poker ^nn++++=poker;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
you ^pp2+pp2+++=you
go ^vb++++=go
ahead ^rb+pl+++=ahead
and ^cc++++=and
win ^vb++++=win
all ^abn++++=all
you ^pp2+pp2+++=you
can ^md+pos+++=can,
, ^zz++++=EXTRAWORD
for ^in++++=for
spring ^nn++++=spring
is ^vbz+bez+vrb++=is
a ^at++++=a
long ^jj+atrb+++=long
ways ^nns++++=ways
off ^in+pl+++=off
yet ^rb++++=yet."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="My
my ^pp$+pp1+++=EXTRAWORD
observation ^nn+nom+++=observation
of ^in++++=of
you ^pp2+pp2+++=you
as ^in++++=as
a ^at++++=a
poker ^nn++++=poker
player ^nn++++=player,
, ^zz++++=EXTRAWORD
my ^pp$+pp1+++=my
dear ^jj+atrb+++=dear
Stubby ^np+++??+=Stubby,
, ^zz++++=EXTRAWORD
is ^vbz+bez+vrb++=is
that ^tht+vcmp+++=that
you ^pp2+pp2+++=you
generally ^rb+down+++=generally
play ^vb++++=play
the ^ati++++=the
first ^od++++=first
hand ^nn++++=hand
to ^to++++=to
win ^vbi++++=win
and ^cc++++=and
all ^rb++++=all
the ^ati++++=the
rest ^nn++++=rest
to ^to++++=to
get ^vbi++++=get
even ^rb++++=even."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
used ^vbd+++xvbnx+=used
up ^rp++++=up
considerable ^jj+atrb+++=considerable
time ^nn++++=time
scoring ^vwbg+++xvbg+=scoring
for ^in++++=for
the ^ati++++=the
free ^jj++++=free-for-all
- ^zz++++=EXTRAWORD
for ^in++++=EXTRAWORD
- ^zz++++=EXTRAWORD
all ^abn++++=EXTRAWORD
running ^jj+atrb++xvbg+=running
race ^nn++++=race
Christmas ^np++++=Christmas
Day ^nn++++=Day,
, ^zz++++=EXTRAWORD
during ^in++++=during
which ^whp+rel+pied++=which
delay ^nn++++=delay
Baugh ^np+++??+=Baugh
not ^xnot++not++=not
only ^ap+down+++=only
got ^vprf+++xvbn+=got
all ^abn++++=all
his ^pp$+pp3+++=his
money ^nn++++=money
bet ^vbd+++xvbn+=bet,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
his ^pp$+pp3+++=his
watch ^nn++++=watch
and ^cc++++=and
a ^at++++=a
new ^jj+atrb+++=new
overcoat ^nn++++=overcoat.
. ^zz++++=EXTRAWORD
The ^ati++++=The
race ^nn++++=race
went ^vbd+++xvbn+=went
off ^rb+phrv+++=off
with ^in+ppvb+++=with
the ^ati++++=the
usual ^jj+atrb+++=usual
dash ^nn++++=dash,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
there ^ex+pex+++=there
were ^vbd+bed+vrb++=were
no ^at++++=no
more ^ql++++=more
bets ^nns++++=bets
in ^in++++=in
sight ^nn++++=sight;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
when ^wrb+who+++=when
it ^pp3+it+++=it
ended ^vbd+++xvbn+=ended
Baugh ^np+++??+=Baugh
buttoned ^vbd+++xvbn+=buttoned
up ^rp++++=up
the ^ati++++=the
top ^jjb+atrb+++=top
button ^nn++++=button
of ^in++++=of
his ^pp$+pp3+++=his
coat ^nn++++=coat,
, ^zz++++=EXTRAWORD
pulled ^j+++xvbn+=pulled
his ^pp$+pp3+++=his
hat ^nn++++=hat
down ^rp++++=down
over ^in++++=over
his ^pp$+pp3+++=his
eyes ^nns++++=eyes,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
walked ^vbd+++xvbn+=walked
back ^jjb++++=back
from ^in++++=from
the ^ati++++=the
race ^nn++++=race
track ^nn++++=track
in ^in++++=in
a ^at++++=a
meditative ^jj+atrb+++=meditative
state ^nn++++=state
of ^in++++=of
mind ^nn++++=mind,
, ^zz++++=EXTRAWORD
to ^to++++=to
meet ^vbi++++=meet
Stubb ^np+++??+=Stubb
and ^cc++++=and
Arab ^jj++++=Arab
Ab ^&fo++++=Ab.
. ^zz++++=EXTRAWORD
" ^zz++++="When
when ^wrb+who+++=EXTRAWORD
I ^pp1a+pp1+++=I
gamble ^vb++++=gamble
and ^cc+phrs+++=and
lose ^vb++++=lose
I ^pp1a+pp1+++=I
never ^rb++++=never
howl ^nn++++=howl,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Baugh ^np+++??+=Baugh
to ^in++++=to
his ^pp$+pp3+++=his
friends ^nns++++=friends,
, ^zz++++=EXTRAWORD
" ^zz++++="but
but ^cc++++=EXTRAWORD
I ^pp1a+pp1+++=I
do ^vb+do+aux++=do
love ^vb++++=love
a ^at++++=a
run ^nn+++xvbn+=run
for ^in++++=for
my ^pp$+pp1+++=my
money ^nn++++=money,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
I ^pp1a+pp1+++=I
did ^vbd+dod+aux++=didn't
n't ^xnot++not++0=EXTRAWORD
have ^vb+hv+vrb++=have
any ^dti++++=any
more ^rbr++++=more
chance ^nn++++=chance
today ^nr+tm+++=to-day
than ^in++++=than
a ^at++++=a
rabbit ^nn++++=rabbit.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I'll
'll ^md+prd+++0=EXTRAWORD
take ^vb++++=take
my ^pp$+pp1+++=my
hat ^nn++++=hat
off ^in+pl+++=off
to ^in++++=to
the ^ati++++=the
man ^nn++++=man
that ^tht+rel+subj++=that
got ^vprf+++xvbn+=got
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
however ^rb+cnj+++=however,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
charge ^nn++++=charge
it ^pp3+it+++=it
up ^in+cmpx+++=up
to ^in"++++=to
my ^pp$+pp1+++=my
tuition ^nn+nom+++=tuition
account ^nn++++=account."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
big ^jj+atrb+++=big
chump ^nn+++??+=chump,
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you!
! ^zz++++=EXTRAWORD
if ^cs+cnd+++=if
you ^pp2+pp2+++=you
had ^vb+hv+aux++=hadn't
n't ^xnot++not++0=EXTRAWORD
bet ^vb+vpub++xvbn+=bet
your ^pp$+pp2+++=your
overcoat ^nn++++=overcoat
it ^pp3+it+++=it
would ^md+prd+++=wouldn't
n't ^xnot++not++0=EXTRAWORD
be ^vb+be+vrb++=be
so ^ql+emph+++=so
bad ^jj++++=bad.
. ^zz++++=EXTRAWORD
What ^wdt+who+++=What
possessed ^xvbn+++xvbn+=possessed
you ^pp2+pp2+++=you
to ^to++++=to
bet ^vbi+vpub+++=bet
it ^pp3+it+++=it?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
asked ^vbn+vsua++xvbn+=asked
Stubb ^np+++??+=Stubb,
, ^zz++++=EXTRAWORD
half ^abn++++=half
reprovingly ^rb++++=reprovingly.
. ^zz++++=EXTRAWORD
" ^zz++++="Oh,
oh ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
hell ^nn++++=hell,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I'll
'll ^md+prd+++0=EXTRAWORD
not ^xnot++not++=not
need ^vb++++=need
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It's
's ^vbz+bez+aux++0=EXTRAWORD
not ^xnot++not++=not
going ^md"++pmd"++=going
to ^md+prd+++=to
be ^vbi++vrb++=be
a ^at++++=a
very ^ql+amp+++=very
cold ^jj+atrb+++=cold
winter ^nn++++=winter,
, ^zz++++=EXTRAWORD
nohow ^nn+++??+=nohow,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
replied ^vbd+vpub++xvbn+=replied
Baugh ^np+++??+=Baugh,
, ^zz++++=EXTRAWORD
as ^ql++++=as
he ^pp3a+pp3+++=he
threw ^vbd+++xvbnx+=threw
up ^rp++++=up
one ^cd1++++=one
eye ^nn++++=eye
toward ^in++++=toward
the ^ati++++=the
warm ^jj+atrb+++=warm
sun ^nn++++=sun.
. ^zz++++=EXTRAWORD
" ^zz++++="We
we ^pp1a+pp1+++=EXTRAWORD
need ^nn++++=need
exercise ^nn++++=exercise.
. ^zz++++=EXTRAWORD
Let ^vb++++0=Let's
us ^pp1o+pp1+++=EXTRAWORD
walk ^nn++++=walk
back ^rp++++=back
to ^in++++=to
town ^nn++++=town.
. ^zz++++=EXTRAWORD
Now ^rn+dspt+++=Now,
, ^zz++++=EXTRAWORD
this ^dt+pdem+++=this
is ^vbz+bez+vrb++=is
a ^rb++++=a
little ^rb"++++=little
unexpected ^jj++++=unexpected,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
what ^wdt+who+whq++=what
have ^vb+hv+aux++=have
I ^pp1a+pp1+++=I
got ^vbd+++xvbnx+=got
you ^pp2+pp2+++=you
boy ^nn++++=boy's
's ^vbz+bez+vrb++0=EXTRAWORD
for ^in+strn+++=for,
, ^zz++++=EXTRAWORD
if ^cs+cnd+++=if
you ^pp2+pp2+++=you
can ^md+pos+++=can't
n't ^xnot++not++0=EXTRAWORD
help ^vb++++=help
a ^at++++=a
friend ^nn++++=friend
in ^in++++=in
trouble ^nn++++=trouble.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There's
's ^vbz+bez+vrb++0=EXTRAWORD
one ^cd1++++=one
good ^jj+atrb+++=good
thing--i ^nn+++??+=thing--I've
've ^vb+hv+aux++0=EXTRAWORD
got ^vprf+++xvbnx+=got
my ^pp$+pp1+++=my
board ^nn++++=board
paid ^vbd+++xvbn+=paid
three ^cd++++=three
weeks ^nns++++=weeks
in ^in++++=in
advance ^nn+nom+++=advance;
; ^zz++++=EXTRAWORD
paid ^j+++xvbn+=paid
it ^pp3+it+++=it
this ^dt+dem+++=this
morning ^nn++++=morning
out ^rp+pl+++=out
of ^in++++=of
yesterday ^nr+tm+++=yesterday's
's ^$++++=EXTRAWORD
winnings ^nns++++=winnings.
. ^zz++++=EXTRAWORD
Lucky ^jj++++=Lucky,
, ^zz++++=EXTRAWORD
ai ^vb+be+++=ain't
n't ^xnot++not++0=EXTRAWORD
I ^pp1a+pp1+++=I?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Yes,
yes ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you're
're ^vb+ber+vrb++0=EXTRAWORD
powerful ^jj++++=powerful
lucky ^jj++++=lucky.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You're
're ^vb+ber+vrb++0=EXTRAWORD
alive ^jj+pred+++=alive,
, ^zz++++=EXTRAWORD
ai ^vb+be+++=ain't
n't ^xnot++not++0=EXTRAWORD
you ^pp2+pp2+++=you?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Stubb ^np+++??+=Stubb,
, ^zz++++=EXTRAWORD
rubbing ^vbg+++xvbg+=rubbing
salt ^jj++++=salt
into ^in++++=into
his ^pp$+pp3+++=his
wounds ^nns++++=wounds.
. ^zz++++=EXTRAWORD
" ^zz++++="Now,
now ^rn+tm+++=EXTRAWORD
, ^zz++++=EXTRAWORD
my ^pp$+pp1+++=my
dear ^jj+atrb+++=dear
Stubby ^np+++??+=Stubby,
, ^zz++++=EXTRAWORD
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
get ^vb++++=get
gay ^jj++++=gay
with ^in++++=with
the ^ati++++=the
leading ^jj+++xvbg+=leading
lady ^npt++++=lady;
; ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
may ^md+pos+++=may
get ^vb++++=get
in ^rb+phrv+++=in
a ^at++++=a
bad ^jj+atrb+++=bad
box ^nn++++=box
some ^dti++++=some
day ^nn++++=day
and ^cc++++=and
need ^nn++++=need
me ^pp1o+pp1+++=me."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
This ^dt+dem+++=This
turn ^nn++++=turn
of ^in++++=of
affairs ^nns++++=affairs
was ^vbd+bedz+aux++=was
looked ^vpsv++agls+xvbnx+=looked
upon ^in++++=upon
by ^in++++=by
Stubb ^np+++??+=Stubb
and ^cc++++=and
Arab ^jj++++=Arab
as ^ql++++=as
quite ^abl++++=quite
a ^at++++=a
joke ^nn++++=joke
on ^in++++=on
their ^pp$+pp3+++=their
leader ^nn++++=leader.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
no ^at++++=no
warning ^vb++++=warning
to ^to+vcmp+++=to
them ^pp3o+pp3+++=them,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
they ^pp3a+pp3+++=they
continued ^vbd+++xvbnx+=continued
to ^to++++=to
play ^vbi++++=play
their ^pp$+pp3+++=their
favorite ^jj+atrb+++=favorite
games ^nns++++=games,
, ^zz++++=EXTRAWORD
Stubb ^np+++??+=Stubb
at ^in++++=at
poker ^nn++++=poker,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
Arab ^jj++++=Arab
gave ^vbd+++xvbn+=gave
his ^pp$+pp3+++=his
attention ^nn+nom+++=attention
to ^in++++=to
monte ^np++++=monte.
. ^zz++++=EXTRAWORD
Things ^nns++++=Things
ran ^vbd+++xvbn+=ran
along ^in++++=along
for ^in++++=for
a ^ap++++=a
few ^ap"++++=few
weeks ^nns++++=weeks
in ^in++++=in
this ^dt+dem+++=this
manner ^nn++++=manner,
, ^zz++++=EXTRAWORD
Baugh ^np+++??+=Baugh
never ^rb++++=never
wanting ^nvbg+++xvbg+=wanting
for ^in++++=for
a ^at++++=a
dollar ^nn++++=dollar
or ^cc++++=or
the ^ati++++=the
necessary ^jj+atrb+++=necessary
liquids ^nns++++=liquids
that ^tht+rel+subj++=that
cheer ^vb++++=cheer
the ^ati++++=the
despondent ^nn++++=despondent.
. ^zz++++=EXTRAWORD
Finally ^rb++++=Finally
they ^pp3a+pp3+++=they
were ^vbd+bed+aux++=were
forced ^vpsv++agls+xvbnx+=forced
to ^to+vcmp+++=to
take ^vbi++++=take
an ^at++++=an
inventory ^nn++++=inventory
of ^in++++=of
their ^pp$+pp3+++=their
cash ^nn++++=cash
and ^cc++++=and
similar ^jj+atrb+++=similar
assets ^nns++++=assets.
. ^zz++++=EXTRAWORD
The ^ati++++=The
result ^nn++++=result
was ^vbd+bedz+vrb++=was
suggestive ^nn+pred+++=suggestive
that ^tht+ncmp+++=that
they ^pp3a+pp3+++=they
would ^md+prd+++=would
have ^md"++pmd"++=have
to ^md+nec+++=to
return ^vb++++=return
to ^in++++=to
the ^ati++++=the
chuck ^nn++++=chuck-line,
- ^zz++++=EXTRAWORD
line ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
unearth ^nn+++??+=unearth
some ^dti++++=some
other ^ap++++=other
resource ^nn++++=resource.
. ^zz++++=EXTRAWORD
The ^ati++++=The
condition ^nn+nom+++=condition
of ^in++++=of
their ^pp$+pp3+++=their
finances ^nns+nom+++=finances
lacked ^vbd+++xvbn+=lacked
little ^ap++++=little
of ^in++++=of
the ^ati++++=the
red ^jj++++=red-ink
- ^zz++++=EXTRAWORD
ink ^nn++++=EXTRAWORD
line ^nn++++=line.
. ^zz++++=EXTRAWORD
Baugh ^np+++??+=Baugh,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
had ^vbd+hvd+aux++=had
been ^vprf+ben+vrb+xvbnx+=been
silent ^jj++++=silent
during ^in++++=during
this ^dt+dem+++=this
pow ^nn+++??+=pow-wow,
- ^zz++++=EXTRAWORD
wow ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
finally ^rb++++=finally
said ^vbd+vpub++xvbn+=said,
, ^zz++++=EXTRAWORD
" ^zz++++="My
my ^pp$+pp1+++=EXTRAWORD
board ^nn++++=board
will ^md+prd+++=will
have ^md"++pmd"++=have
to ^md+nec+++=to
be ^vbi+vbi+aux++=be
provided ^vbd+vsua++xvbn+=provided
for ^in+ppvb+++=for
in ^in++++=in
a ^ap++++=a
few ^ap"++++=few
days ^nns++++=days,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
I ^pp1a+pp1+++=I
have ^vb+hv+vrb++=have
an ^at++++=an
idea ^nn++++=idea,
, ^zz++++=EXTRAWORD
struck ^j+++xvbn+=struck
it ^pp3+it+++=it
to ^to++++=to-day,
- ^zz++++=EXTRAWORD
day ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
if ^cs+cnd+++=if
she ^pp3a+pp3+++=she
works ^nns++++=works,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we'll
'll ^md+prd+++0=EXTRAWORD
pull ^vb++++=pull
through ^rb+phrv+++=through
to ^in++++=to
grass ^nn++++=grass
like ^in++++=like
four ^cd++++=four
time ^nn++++=time
winners ^nns+nom+++=winners."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="What
what ^wdt+who+++=EXTRAWORD
is ^vbz+bez+vrb++=is
it ^pp3+it+++=it?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
asked ^vbd+vsua++xvbn+=asked
the ^ati++++=the
other ^ap++++=other
two ^cd++++=two,
, ^zz++++=EXTRAWORD
in ^in++++=in
a ^at++++=a
chorus ^nn++++=chorus.
. ^zz++++=EXTRAWORD
" ^zz++++="There's
there ^ex+pex+++=EXTRAWORD
's ^vbz+bez+vrb++0=EXTRAWORD
a ^rb++++=a
little ^rb"++++=little
German ^jj++++=German
on ^in++++=on
a ^at++++=a
back ^jjb+atrb+++=back
street ^nn++++=street
here ^rn+pl+++=here,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
owns ^vbz++++=owns
a ^at++++=a
bar ^nn++++=bar-room
- ^zz++++=EXTRAWORD
room ^nn++++=EXTRAWORD
with ^in++++=with
a ^at++++=a
hotel ^npl++++=hotel
attached ^vbd+++xvbn+=attached.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
has ^vbz+hvz+vrb++=has
a ^at++++=a
mania ^nn++++=mania
to ^to++++=to
run ^vbi++++=run
for ^in++++=for
office ^nn++++=office;
; ^zz++++=EXTRAWORD
in ^in++++=in
fact ^nn++++=fact,
, ^zz++++=EXTRAWORD
there ^ex+pex+++=there's
's ^vbz+bez+vrb++0=EXTRAWORD
several ^ap++++=several
candidates ^nns+nom+++=candidates
announced ^vbd+vpub++xvbn+=announced
already ^rb++++=already.
. ^zz++++=EXTRAWORD
Now ^rn+dspt+++=Now,
, ^zz++++=EXTRAWORD
the ^ati++++=the
convention ^nn+nom+++=convention
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
meet ^vb++++=meet
until ^in++++=until
May ^md+pos+++=May,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
is ^vbz+bez+vrb++=is
in ^in++++=in
our ^pp$+pp1+++=our
favor ^nn++++=favor.
. ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
my ^pp$+pp1+++=my
game ^nn++++=game
succeeds ^vbz++++=succeeds,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
will ^md+prd+++=will
be ^vb+be+vrb++=be
back ^jjb+pred+++=back
at ^in++++=at
work ^nn++++=work
before ^in++++=before
that ^dt+dem+++=that
time ^nn++++=time.
. ^zz++++=EXTRAWORD
That ^dt+pdem+++=That
will ^md+prd+++=will
let ^vb+++xvbn+=let
us ^pp1o+pp1+++=us
out ^rp+pl+++=out
easy ^jj++++=easy."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
As ^ql++++=As
their ^pp$+pp3+++=their
finances ^nns+nom+++=finances
were ^vbd+bed+vrb++=were
on ^in++++=on
a ^at++++=a
parity ^nn++++=parity
with ^in++++=with
Baugh ^np+++??+=Baugh's,
's, ^nn+++??+=EXTRAWORD
the ^ati++++=the
others ^aps++++=others
were ^vbd+bed+vrb++=were
willing ^jj+pred+++=willing
to ^to+jcmp+++=to
undertake ^vbi++++=undertake
anything ^pn++++=anything
that ^cs+sub+++=that
looked ^vprf+++xvbn+=looked
likely ^jj++++=likely
to ^to+jcmp+++=to
tide ^vb++++=tide
them ^pp3o+pp3+++=them
over ^in++++=over
the ^ati++++=the
winter ^nn++++=winter.
. ^zz++++=EXTRAWORD
" ^zz++++="Leave
leave ^vb++++=EXTRAWORD
things ^nns++++=things
to ^in++++=to
me ^pp1o+pp1+++=me,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Baugh ^np+++??+=Baugh.
. ^zz++++=EXTRAWORD
" ^zz++++="I'll
i ^pp1a+pp1+++=EXTRAWORD
'll ^md+prd+++0=EXTRAWORD
send ^vb++++=send
a ^at++++=a
friend ^nn++++=friend
around ^rp++++=around
to ^in++++=to
sound ^jj++++=sound
our ^pp$+pp1+++=our
German ^nn++++=German,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
see ^vb+vprv+++=see
what ^wdt+who+whcl++=what
office ^nn++++=office
he ^pp3a+pp3+++=he
thinks ^vbz+vprv+tht0++=thinks
he ^pp3a+pp3+++0=he'd
'd ^md+prd+vrb++=EXTRAWORD
like ^vb++++=like
to ^to+vcmp+++=to
have ^vbi++++=have."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
The ^ati++++=The
information ^nn+nom+++=information
sought ^vbd+++xvbn+=sought
developed ^vprf+++xvbn+=developed
the ^ati++++=the
fact ^nn++++=fact
that ^tht+ncmp+++=that
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
the ^ati++++=the
office ^nn++++=office
of ^in++++=of
sheriff ^npt++++=sheriff
that ^tht+rel+obj++=that
he ^pp3a+pp3+++=he
wanted ^vbd+++xvbnx+=wanted.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
the ^ati++++=the
name ^nn++++=name
was ^vbd+bedz+aux++=was
furnished ^vpsv++agls+xvbnx+=furnished,
, ^zz++++=EXTRAWORD
