Any ^dti++++=Any
the ^ati++++=the
hard ^jj+atrb+++=hard
bun ^nn++++=bun
at ^in++++=at
the ^ati++++=the
back ^nn++++=back
of ^in++++=of
her ^pp$+pp3+++=her
head ^jjb++++=head
kept ^vbd+++xvbn+=kept
her ^pp$+pp3+++=her
awake ^jj++++=awake.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
lay ^vbd+++xvbnx+=lay
there ^rn+pl+++=there
with ^in++++=with
her ^pp$+pp3+++=her
eyes ^nns++++=eyes
wide ^jj+atrb+++=wide
open ^nn++++=open
and ^cc++++=and
sleepless ^jj++++=sleepless,
, ^zz++++=EXTRAWORD
staring ^vbg+++xvbg+=staring
into ^in++++=into
the ^ati++++=the
darkness ^nns+nom+++=darkness.
. ^zz++++=EXTRAWORD
At ^in++++=At
midnight ^nn++++=midnight
the ^ati++++=the
Kid ^nn++++=Kid
Next ^ap++++=Next
Door ^nn++++=Door
came ^vbd+++xvbn+=came
in ^in++++=in
whistling ^jj++++=whistling,
, ^zz++++=EXTRAWORD
like ^in++++=like
one ^cd1++++=one
unused ^jj++++=unused
to ^in++++=to
boarding ^nn++++=boarding-house
- ^zz++++=EXTRAWORD
house ^npl++++=EXTRAWORD
rules ^nns++++=rules.
. ^zz++++=EXTRAWORD
Gertie ^np+++??+=Gertie
liked ^vbd+++xvbn+=liked
him ^pp3o+pp3+++=him
for ^in++++=for
that ^dt+pdem+++=that.
. ^zz++++=EXTRAWORD
At ^rb++++=At
the ^ati++++=the
head ^nn++++=head
of ^in++++=of
the ^ati++++=the
stairs ^nns++++=stairs
he ^pp3a+pp3+++=he
stopped ^vbd+++xvbnx+=stopped
whistling ^jj++++=whistling
and ^cc++++=and
came ^vbd+++xvbn+=came
softly ^rb++++=softly
into ^in++++=into
his ^pp$+pp3+++=his
own ^ap++++=own
third ^nn++++=third
floor ^nn++++=floor
back ^jjb++++=back
just ^rb+emph+++=just
next ^in+cmpx+++=next
to ^in++++=to
Gertie ^np+++??+=Gertie's.
's. ^nn+++??+=EXTRAWORD
Gertie ^np+++??+=Gertie
liked ^vbd+++xvbn+=liked
him ^pp3o+pp3+++=him
for ^in++++=for
that ^dt+pdem+++=that,
, ^zz++++=EXTRAWORD
too ^rb++++=too.
. ^zz++++=EXTRAWORD
The ^ati++++=The
two ^cd++++=two
rooms ^nns++++=rooms
had ^vbd+hvd+aux++=had
been ^vprf+ben+vrb+xvbnx+=been
one ^pn++++=one
in ^in++++=in
the ^ati++++=the
fashionable ^jj+atrb+++=fashionable
days ^nns++++=days
of ^in++++=of
the ^ati++++=the
Nottingham ^np++++=Nottingham
curtain ^nn++++=curtain
district ^nn++++=district,
, ^zz++++=EXTRAWORD
long ^rb++++=long
before ^in++++=before
the ^ati++++=the
advent ^nn++++=advent
of ^in++++=of
Mis ^npt++++=Mis'
' ^zz++++=EXTRAWORD
Buck ^nn++++=Buck.
. ^zz++++=EXTRAWORD
That ^dt+dem+++=That
thrifty ^jj+atrb+++=thrifty
lady ^nn++++=lady,
, ^zz++++=EXTRAWORD
on ^in++++=on
coming ^nn++++=coming
into ^in++++=into
possession ^nn++++=possession,
, ^zz++++=EXTRAWORD
had ^vbd+hvd+aux++=had
caused ^vprf+++xvbnx+=caused
a ^at++++=a
flimsy ^jj+atrb+++=flimsy
partition ^nn+nom+++=partition
to ^to++++=to
be ^vbi+vbi+aux++=be
run ^vpsv++agls+xvbnx+=run
up ^rp++++=up,
, ^zz++++=EXTRAWORD
slicing ^vbg+++xvbg+=slicing
the ^ati++++=the
room ^nn++++=room
in ^in++++=in
twain ^nn+++??+=twain
and ^cc++++=and
doubling ^vbg+nom++xvbg+=doubling
its ^pp$+it+++=its
rental ^nn++++=rental.
. ^zz++++=EXTRAWORD
Lying ^vbg+++xvbg+=Lying
there ^rn+pl+++=there
Gertie ^np+++??+=Gertie
could ^md+pos+++=could
hear ^vb+vprv+++=hear
the ^ati++++=the
Kid ^nn++++=Kid
Next ^ap++++=Next
Door ^nn++++=Door
moving ^vwbg+++xvbg+=moving
about ^in++++=about
getting ^xvbg+++xvbg+=getting
ready ^jj++++=ready
for ^in++++=for
bed ^nn++++=bed
and ^cc++++=and
humming ^jj+++xvbg+=humming
" ^zz++++="Every
every ^at++++=EXTRAWORD
Little ^jj+atrb+++=Little
Movement ^nn+nom+++=Movement
Has ^vbz+hvz+vrb++=Has
a ^at++++=a
Meaning ^jj+++xvbg+=Meaning
of ^in++++=of
Its ^pp$+it+++=Its
Own ^ap++++=Own"
" ^zz++++=EXTRAWORD
very ^ql+amp+++=very
lightly ^rb+cnj+++=lightly,
, ^zz++++=EXTRAWORD
under ^in++++=under
his ^pp$+pp3+++=his
breath ^nn++++=breath.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
polished ^jj++++=polished
his ^pp$+pp3+++=his
shoes ^nns++++=shoes
briskly ^rb+cnj+++=briskly,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Gertie ^np+++??+=Gertie
smiled ^vbd+++xvbn+=smiled
there ^rn+pl+++=there
in ^in++++=in
the ^ati++++=the
darkness ^nns+nom+++=darkness
of ^in++++=of
her ^pp$+pp3+++=her
own ^ap++++=own
room ^nn++++=room
in ^in++++=in
sympathy ^nn++++=sympathy.
. ^zz++++=EXTRAWORD
Poor ^jj+atrb+++=Poor
kid ^nn++++=kid,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
had ^vb+hv+vrb++=had
his ^pp$+pp3+++=his
beauty ^nn++++=beauty
struggles ^nns++++=struggles,
, ^zz++++=EXTRAWORD
too ^rb++++=too.
. ^zz++++=EXTRAWORD
Gertie ^np+++??+=Gertie
had ^vb+hv+aux++=had
never ^rb++splt++=never
seen ^vprf+++xvbnx+=seen
the ^ati++++=the
Kid ^nn++++=Kid
Next ^ap++++=Next
Door ^nn++++=Door,
, ^zz++++=EXTRAWORD
although ^cs+con+++=although
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
come ^vprf+++xvbn+=come
four ^cd++++=four
months ^nns++++=months
ago ^rb++++=ago.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
she ^pp3a+pp3+++=she
knew ^vbd+vprv+tht0+xvbnx+=knew
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=wasn't
n't ^xnot++not++0=EXTRAWORD
a ^at++++=a
grouch ^nn+++??+=grouch,
, ^zz++++=EXTRAWORD
because ^cs+cos+++=because
he ^pp3a+pp3+++=he
alternately ^rb++++=alternately
whistled ^vbd+++xvbn+=whistled
and ^cc+phrs+++=and
sang ^vbd+++xvbn+=sang
off ^rp+pl+++=off-key
- ^zz++++=EXTRAWORD
key ^jjb+atrb+++=EXTRAWORD
tenor ^nn++++=tenor
while ^cs+sub+++=while
dressing ^vbg+++xvbg+=dressing
in ^in++++=in
the ^ati++++=the
morning ^nn++++=morning.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
had ^vb+hv+aux++=had
also ^rb++splt++=also
discovered ^vprf+++xvbnx+=discovered
that ^tht+vcmp+++=that
his ^pp$+pp3+++=his
bed ^nn++++=bed
must ^md+nec+++=must
run ^vb+++xvbn+=run
along ^in++++=along
the ^ati++++=the
same ^ap++++=same
wall ^nn++++=wall
against ^in++++=against
which ^whp+rel+pied++=which
her ^pp$+pp3+++=her
bed ^nn++++=bed
was ^vbd+bedz+aux++=was
pushed ^vpsv++agls+xvbnx+=pushed.
. ^zz++++=EXTRAWORD
Gertie ^np+++??+=Gertie
told ^vbd+vpub++xvbn+=told
herself ^ppl+pp3+++=herself
that ^dt+dem+++=that
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
something ^pn++++=something
almost ^rb+hdg+++=almost
immodest ^jjt++++=immodest
about ^in++++=about
being ^xvbg+++xvbg+=being
able ^jj++pmd"++=able
to ^to+jcmp+pmd++=to
hear ^vb+vprv+++=hear
him ^pp3o+pp3+++=him
breathing ^nvbg+++xvbg+=breathing
as ^ql++++=as
he ^pp3a+pp3+++=he
slept ^vbd+++xvbnx+=slept.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
had ^vbd+hvd+aux++=had
tumbled ^vprf+++xvbnx+=tumbled
into ^in++++=into
bed ^nn++++=bed
with ^in++++=with
a ^rb++++=a
little ^rb"++++=little
grunt ^jj+++xvbn+=grunt
of ^in++++=of
weariness ^nns+nom+++=weariness.
. ^zz++++=EXTRAWORD
Gertie ^np+++??+=Gertie
lay ^vbd+++xvbn+=lay
there ^rn+pl+++=there
another ^dt++++=another
hour ^nn++++=hour,
, ^zz++++=EXTRAWORD
staring ^vbg+++xvbg+=staring
into ^in++++=into
the ^ati++++=the
darkness ^nns+nom+++=darkness.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
she ^pp3a+pp3+++=she
began ^vbd+++xvbnx+=began
to ^to++++=to
cry ^vbi++++=cry
softly ^rb+cnj+++=softly,
, ^zz++++=EXTRAWORD
lying ^vbg+++xvbg+=lying
on ^rp++++=on
her ^pp3o+pp3+++=her
face ^nn++++=face
with ^in++++=with
her ^pp$+pp3+++=her
head ^jjb++++=head
between ^in++++=between
her ^pp$+pp3+++=her
arms ^nns++++=arms.
. ^zz++++=EXTRAWORD
The ^ati++++=The
cold ^jj+atrb+++=cold
cream ^nn++++=cream
and ^cc++++=and
the ^ati++++=the
salt ^nn++++=salt
tears ^nns++++=tears
mingled ^vbd+++xvbn+=mingled
and ^cc+phrs+++=and
formed ^vbd+++xvbn+=formed
a ^at++++=a
slippery ^jj+atrb+++=slippery
paste ^nn++++=paste.
. ^zz++++=EXTRAWORD
Gertie ^np+++??+=Gertie
wept ^vbd+++xvbn+=wept
on ^in++++=on
because ^cs+cos+++=because
she ^pp3a+pp3+++=she
could ^md+pos+++=couldn't
n't ^xnot++not++0=EXTRAWORD
help ^vb++++=help
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
The ^ati++++=The
longer ^rbr++++=longer
she ^pp3a+pp3+++=she
wept ^vbd+++xvbnx+=wept
the ^ati++++=the
more ^rbr++++=more
difficult ^jj++++=difficult
her ^pp$+pp3+++=her
sobs ^nns++++=sobs
became ^vbd+++xvbn+=became,
, ^zz++++=EXTRAWORD
until ^cs+sub+++=until
finally ^rb++++=finally
they ^pp3a+pp3+++=they
bordered ^vwbn+++xvbn+=bordered
on ^in++++=on
the ^ati++++=the
hysterical ^nn++++=hysterical.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
filled ^vbd+++xvbnx+=filled
her ^pp$+pp3+++=her
lungs ^nns++++=lungs
until ^cs+sub+++=until
they ^pp3a+pp3+++=they
ached ^vbd+++xvbnx+=ached
and ^cc+phrs+++=and
reached ^vbd+++xvbn+=reached
her ^pp$+pp3+++=her
throat ^nn++++=throat
with ^in++++=with
a ^at++++=a
force ^nn++++=force
that ^tht+rel+subj++=that
jerked ^vbd+++xvbn+=jerked
her ^pp$+pp3+++=her
head ^jjb++++=head
back ^jjb++++=back.
. ^zz++++=EXTRAWORD
" ^zz++++="Rap-rap-rap!"
rap ^nn++++=EXTRAWORD
- ^zz++++=EXTRAWORD
rap ^nn++++=EXTRAWORD
- ^zz++++=EXTRAWORD
rap ^nn++++=EXTRAWORD
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
sounded ^vbd+++xvbn+=sounded
sharply ^rb++++=sharply
from ^in++++=from
the ^ati++++=the
head ^nn++++=head
of ^in++++=of
her ^pp$+pp3+++=her
bed ^nn++++=bed.
. ^zz++++=EXTRAWORD
Gertie ^np+++??+=Gertie
stopped ^vbd+++xvbn+=stopped
sobbing ^vbg+++xvbg+=sobbing,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
her ^pp$+pp3+++=her
heart ^nn++++=heart
stopped ^vbd+++xvbn+=stopped
, ^zz++++=,beating.
beating ^nvbg+++xvbg+=EXTRAWORD
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
lay ^vbd+++xvbnx+=lay
tense ^jj++++=tense
and ^cc++++=and
still ^rb+cnj+++=still,
, ^zz++++=EXTRAWORD
listening ^jj+++xvbg+=listening.
. ^zz++++=EXTRAWORD
Everyone ^pn++++=Everyone
knows ^vbz+vprv+++=knows
that ^tht+vcmp+++=that
spooks ^nns+++??+=spooks
rap ^nn++++=rap
three ^cd++++=three
times ^nns++++=times
at ^rb++++=at
the ^ati++++=the
head ^nn++++=head
of ^in++++=of
one ^cd1++++=one's
's ^vbz+bez+vrb++0=EXTRAWORD
bed ^nn++++=bed.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It's
's ^vbz+bez+vrb++0=EXTRAWORD
a ^at++++=a
regular ^jj++++=regular
high ^jj++++=high-sign
- ^zz++++=EXTRAWORD
sign ^vb++++=EXTRAWORD
with ^in++++=with
them ^pp3o+pp3+++=them.
. ^zz++++=EXTRAWORD
" ^zz++++="Rap-rap-rap!"
rap ^nn++++=EXTRAWORD
- ^zz++++=EXTRAWORD
rap ^nn++++=EXTRAWORD
- ^zz++++=EXTRAWORD
rap ^nn++++=EXTRAWORD
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Gertie ^np++++=Gertie's
's ^$++++=EXTRAWORD
skin ^nn++++=skin
became ^vbd+++xvbn+=became
goose ^nn++++=goose-flesh,
- ^zz++++=EXTRAWORD
flesh ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
coldwater ^jjr+atrb+++=coldwater
effects ^nns++++=effects
chased ^vbd+++xvbn+=chased
up ^rp++++=up
and ^cc+phrs+++=and
down ^rp++++=down
her ^pp3o+pp3+++=her
spine ^nn++++=spine.
. ^zz++++=EXTRAWORD
" ^zz++++="What's
what ^wdt+who+++=EXTRAWORD
's ^vbz+bez+vrb++0=EXTRAWORD
your ^pp$+pp2+++=your
trouble ^nn++++=trouble
in ^in++++=in
there ^rn+pl+++=there?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
demanded ^vwbn+vsua++xvbn+=demanded
an ^at++++=an
unspooky ^nn+++??+=unspooky
voice ^nn++++=voice
so ^pn++++=so
near ^rb++++=near
that ^dt+dem+++=that
Gertie ^np+++??+=Gertie
jumped ^vbd+++xvbn+=jumped.
. ^zz++++=EXTRAWORD
" ^zz++++="Sick?"
sick ^jj++++=EXTRAWORD
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
the ^ati++++=the
Kid ^nn++++=Kid
Next ^ap++++=Next
Door ^nn++++=Door.
. ^zz++++=EXTRAWORD
" ^zz++++="N-no,
n ^zz++++=EXTRAWORD
- ^zz++++=EXTRAWORD
no ^at++++=EXTRAWORD
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I'm
'm ^vb+bem+vrb++0=EXTRAWORD
not ^xnot++not++=not
sick ^jj++++=sick,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
faltered ^vbd+++xvbn+=faltered
Gertie ^np+++??+=Gertie,
, ^zz++++=EXTRAWORD
her ^pp$+pp3+++=her
mouth ^nn++++=mouth
close ^in+cmpx+++=close
to ^in"++++=to
the ^ati++++=the
wall ^nn++++=wall.
. ^zz++++=EXTRAWORD
Just ^rb+emph+++=Just
then ^rn+tm+++=then
a ^at++++=a
belated ^jj+atrb+++=belated
sob ^nn++++=sob
that ^tht+rel+subj++=that
had ^vbd+hvd+aux++=had
stopped ^vprf+++xvbnx+=stopped
halfway ^rb++++=halfway
when ^wrb+who+++=when
the ^ati++++=the
raps ^nns+++??+=raps
began ^vbd+++xvbn+=began
hustled ^vbd+++xvbn+=hustled
on ^in++++=on
to ^to++++=to
join ^vbi++++=join
its ^pp$+it+++=its
sisters ^nns+nom+++=sisters.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
took ^vbd+++xvbn+=took
Gertie ^np+++??+=Gertie
by ^in++++=by
surprise ^nn++++=surprise,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
brought ^vbd+++xvbn+=brought
prompt ^jj+atrb+++=prompt
response ^nn++++=response
from ^in++++=from
the ^ati++++=the
other ^ap++++=other
side ^nn++++=side
of ^in++++=of
the ^ati++++=the
wall ^nn++++=wall.
. ^zz++++=EXTRAWORD
" ^zz++++="I'll
i ^pp1a+pp1+++=EXTRAWORD
'll ^md+prd+++0=EXTRAWORD
bet ^vb+vpub+tht0+xvbn+=bet
I ^pp1a+pp1+++=I
scared ^vbd+++xvbnx+=scared
you ^pp2+pp2+++=you
green ^nn++++=green.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
did ^vbd+dod+vrb++=didn't
n't ^xnot++not++0=EXTRAWORD
mean ^vb++++=mean
to ^to+vcmp+++=to,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but,
, ^zz++++=EXTRAWORD
on ^in++++=on
the ^ati++++=the
square ^nn++++=square,
, ^zz++++=EXTRAWORD
if ^cs+cnd+++=if
you ^pp2+pp2+++=you're
're ^vb+ber+aux++0=EXTRAWORD
feeling ^nvbg+++xvbg+=feeling
sick ^jj++++=sick,
, ^zz++++=EXTRAWORD
a ^rb++++=a
little ^rb"++++=little
nip ^nn++++=nip
of ^in++++=of
brandy ^nn++++=brandy
will ^md+prd+++=will
set ^vwbn+++xvbn+=set
you ^pp2+pp2+++=you
up ^rp++++=up.
. ^zz++++=EXTRAWORD
Excuse ^nn++++=Excuse
my ^pp$+pp1+++=my
mentioning ^vbg+vpub++xvbg+=mentioning
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
girlie ^nn++++=girlie,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
I ^pp1a+pp1+++0=I'd
'd ^md+prd+aux++=EXTRAWORD
do ^vb+do+vrb++=do
the ^ati++++=the
same ^ap++++=same
for ^in++++=for
my ^pp$+pp1+++=my
sister ^nn++++=sister.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
hate ^vb++++=hate
like ^in++++=like
sin ^nn++++=sin
to ^to++++=to
hear ^vbi+vprv+tht0++=hear
a ^at++++=a
woman ^nn++++=woman
suffer ^vb++++=suffer
like ^in++++=like
that ^dt+pdem+++=that,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and,
, ^zz++++=EXTRAWORD
anyway ^rb+cnj+++=anyway,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
know ^vb+vprv+++=know
whether ^cs+who+++=whether
you ^pp2+pp2+++=you're
're ^vb+ber+vrb++0=EXTRAWORD
fourteen ^cd++++=fourteen
or ^cc++++=or
forty ^cd++++=forty,
, ^zz++++=EXTRAWORD
so ^ql++++=so
it ^pp3+it+++=it's
's ^vbz+bez+vrb++0=EXTRAWORD
perfectly ^rb+amp+++=perfectly
respectable ^jj++++=respectable.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I'll
'll ^md+prd+++0=EXTRAWORD
get ^vb++++=get
the ^ati++++=the
bottle ^nn++++=bottle
and ^cc++++=and
leave ^vb++++=leave
it ^pp3+it+++=it
outside ^jjb++++=outside
your ^pp$+pp2+++=your
door ^nn++++=door."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="No
no ^at++++=EXTRAWORD
you ^pp2+pp2+++=you
do ^vb+do+vrb++=don't!"
n't ^xnot++not++0=EXTRAWORD
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
answered ^vbd+vpub++xvbn+=answered
Gertie ^np+++??+=Gertie
in ^in++++=in
a ^at++++=a
hollow ^jj+atrb+++=hollow
voice ^nn++++=voice,
, ^zz++++=EXTRAWORD
praying ^jj+++xvbg+=praying
meanwhile ^rb++++=meanwhile
that ^cs+sub+++=that
the ^ati++++=the
woman ^nn++++=woman
in ^in++++=in
the ^ati++++=the
room ^nn++++=room
below ^in+pl+++=below
might ^md+pos+++=might
be ^vb+be+aux++=be
sleeping ^vbg+++xvbgx+=sleeping.
. ^zz++++=EXTRAWORD
" ^zz++++="I'm
i ^pp1a+pp1+++=EXTRAWORD
'm ^vb+bem+vrb++0=EXTRAWORD
not ^xnot++not++=not
sick ^jj++++=sick,
, ^zz++++=EXTRAWORD
honestly ^rb++++=honestly
I ^pp1a+pp1+++=I'm
'm ^vb+bem+vrb++0=EXTRAWORD
not ^xnot++not++=not.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I'm
'm ^vb+bem+vrb++0=EXTRAWORD
just ^rb+emph+++=just
as ^ql++++=as
much ^ap++++=much
obliged ^jj+++xvbn+=obliged,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I'm
'm ^vb+bem+vrb++0=EXTRAWORD
dead ^jj+pred+++=dead
sorry ^uh++++=sorry
I ^pp1a+pp1+++=I
woke ^vbd+++xvbnx+=woke
you ^pp2+pp2+++=you
up ^rb+phrv+++=up
with ^in+ppvb+++=with
my ^pp$+pp1+++=my
blubbering ^nvbg+++xvbg+=blubbering.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
started ^vbd+++xvbnx+=started
out ^rp+pl+++=out
with ^in++++=with
the ^ati++++=the
soft ^jj+atrb+++=soft
pedal ^nn++++=pedal
on ^in+strn+++=on,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
things ^nns++++=things
got ^vbd+++xvbn+=got
away ^rb+phrv+++=away
from ^in"++++=from
me ^pp1o+pp1+++=me.
. ^zz++++=EXTRAWORD
Can ^md+pos+++=Can
you ^pp2+pp2+++=you
hear ^vb+vprv+++=hear
me ^pp1o+pp1+++=me?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Like
like ^in++++=EXTRAWORD
a ^at++++=a
phonograph ^nn+++??+=phonograph.
. ^zz++++=EXTRAWORD
Sure ^jj++++=Sure
you ^pp2+pp2+++=you
could ^md+pos+++=couldn't
n't ^xnot++not++0=EXTRAWORD
use ^vb++++=use
a ^at++++=a
sip ^nn++++=sip
of ^in++++=of
brandy ^nn++++=brandy
where ^wrb+who+++=where
it ^pp3+it+++0=it'd
'd ^md+prd+aux++=EXTRAWORD
do ^vb+do+vrb++=do
the ^ati++++=the
most ^ql+emph+++=most
good ^jj++++=good?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Sure."
sure ^jj++++=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Well,
well ^rb+cnj+++=EXTRAWORD
, ^zz++++=EXTRAWORD
then ^rn+tm+++=then,
, ^zz++++=EXTRAWORD
cut ^j+++xvbn+=cut
out ^rp+pl+++=out
the ^ati++++=the
weeps ^nns+++??+=weeps
and ^cc++++=and
get ^vb++++=get
your ^pp$+pp2+++=your
beauty ^nn++++=beauty
sleep ^nn++++=sleep,
, ^zz++++=EXTRAWORD
kid ^nn++++=kid.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
ai ^vb+be+++=ain't
n't ^xnot++not++0=EXTRAWORD
worth ^in++++=worth
sobbing ^nn++++=sobbing
over ^in+strn+++=over,
, ^zz++++=EXTRAWORD
anyway ^rb+cnj+++=anyway,
, ^zz++++=EXTRAWORD
believe ^vb+vprv+++=believe
me ^pp1o+pp1+++=me."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="He!"
he ^pp3a+pp3+++=EXTRAWORD
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
snorted ^vbd+++xvbn+=snorted
Gertie ^np+++??+=Gertie
indignantly ^rb++++=indignantly.
. ^zz++++=EXTRAWORD
" ^zz++++="You're
you ^pp2+pp2+++=EXTRAWORD
're ^vb+ber+vrb++0=EXTRAWORD
cold ^jj+pred+++=cold.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
never ^rb++++=never
was ^vbd+bedz+vrb++=was
anything ^pn++++=anything
in ^in++++=in
peg ^nn++++=peg-tops
- ^zz++++=EXTRAWORD
tops ^nns++++=EXTRAWORD
that ^tht+rel+subj++=that
could ^md+pos+++=could
make ^vb++++=make
me ^pp1o+pp1+++=me
carry ^vb++++=carry
on ^in++++=on
like ^in++++=like
the ^ati++++=the
heroine ^nn++++=heroine
of ^in++++=of
the ^ati++++=the
Elsie ^np+++??+=Elsie
series ^nn++++=series."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Lost
lost ^vbd+++xvbn+=EXTRAWORD
your ^pp$+pp2+++=your
job ^nn++++=job?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="No
no ^at++++=EXTRAWORD
such ^abl++++=such
luck ^nn++++=luck."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Well,
well ^rb+cnj+++=EXTRAWORD
, ^zz++++=EXTRAWORD
then ^rn+tm+++=then,
, ^zz++++=EXTRAWORD
what ^wdt+who+++=what
in ^in++++=in
Sam ^nn++++=Sam
Hill ^np++++=Hill
could ^md+pos+++=could
make ^vb++++=make
a ^at++++=a
woman ^nn++++=woman----"
-- ^--+clp+++=EXTRAWORD
-- ^--+clp+++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Lonesome!"
lonesome ^jj++++=EXTRAWORD
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
snapped ^xvbn+++xvbn+=snapped
Gertie ^np+++??+=Gertie.
. ^zz++++=EXTRAWORD
" ^zz++++="And
and ^cc++++=EXTRAWORD
the ^ati++++=the
floorwalker ^nn++++=floorwalker
got ^vbd+++xvbn+=got
fresh ^jj++++=fresh
to ^to++++=to-day.
- ^zz++++=EXTRAWORD
day ^nn++++=EXTRAWORD
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
I ^pp1a+pp1+++=I
found ^vbd+vprv++xvbnx+=found
two ^cd++++=two
gray ^np++++=gray
hairs ^nns++++=hairs
to ^to++++=to-night.
- ^zz++++=EXTRAWORD
night ^nn++++=EXTRAWORD
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
I ^pp1a+pp1+++0=I'd
'd ^md+prd+aux++=EXTRAWORD
give ^vb++++=give
my ^pp$+pp1+++=my
next ^ap++++=next
week ^nn++++=week's
's ^$++++=EXTRAWORD
pay ^nn++++=pay
envelope ^nn++++=envelope
to ^to++++=to
hear ^vbi+vprv+++=hear
the ^ati++++=the
double ^jj+atrb+++=double
click ^nn++++=click
that ^tht+rel+obj++=that
our ^pp$+pp1+++=our
front ^jjb+atrb+++=front
gate ^nn++++=gate
gives ^vbz++++=gives
back ^rb+phrv+++=back
home ^nr++++=home."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Back
back ^jjb+atrb+++=EXTRAWORD
home ^nr++++=home!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
echoed ^vbd+++xvbn+=echoed
the ^ati++++=the
Kid ^nn++++=Kid
Next ^ap++++=Next
Door ^nn++++=Door
in ^in++++=in
a ^at++++=a
dangerously ^rb++++=dangerously
loud ^jj+atrb+++=loud
voice ^nn++++=voice.
. ^zz++++=EXTRAWORD
" ^zz++++="Say,
say ^vb+vpub+++=EXTRAWORD
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
want ^vb++++=want
to ^to+vcmp+++=to
talk ^vbi++++=talk
to ^in++++=to
you ^pp2+pp2+++=you.
. ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
you ^pp2+pp2+++=you'll
'll ^md+prd+++0=EXTRAWORD
promise ^vb+vpub+tht0++=promise
you ^pp2+pp2+++=you
will ^md+prd+++=won't
n't ^xnot++not++0=EXTRAWORD
get ^vb++++=get
