Kenelm ^np+++??+=Kenelm
the ^ati++++=the
sort ^nn++++=sort.
. ^zz++++=EXTRAWORD
" ^zz++++="It's
it ^pp3+it+++=EXTRAWORD
's ^vbz+bez+vrb++0=EXTRAWORD
an ^at++++=an
extravagance ^nn+nom+++=extravagance,
, ^zz++++=EXTRAWORD
because ^cs+cos+++=because
it ^pp3+it+++=it's
's ^vbz+bez+vrb++0=EXTRAWORD
one ^pn++++=one
of ^in++++=of
the ^ati++++=the
most ^ql+emph+++=most
expensive ^jj+atrb+++=expensive
dishes ^nns++++=dishes
on ^in++++=on
the ^ati++++=the
menu ^nn++++=menu,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
at ^in++++=at
any ^dti++++=any
rate ^nn++++=rate
it ^pp3+it+++=it
proves ^vbz+vprv+++=proves
that ^tht+vcmp+++=that
I ^pp1a+pp1+++=I'm
'm ^vb+bem+vrb++0=EXTRAWORD
not ^xnot++not++=not
Lady ^nn++++=Lady
Starping ^np+++??+=Starping;
; ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
never ^rb++++=never
touches ^nns++++=touches
shell ^nn++++=shell-fish,
- ^zz++++=EXTRAWORD
fish ^nns++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
poor ^jj+atrb+++=poor
Lady ^nn++++=Lady
Braddleshrub ^np+++??+=Braddleshrub
has ^vbz+hvz+vrb++=has
no ^at++++=no
digestion ^nn+nom+++=digestion
at ^rb++++=at
all ^abn++++=all;
; ^zz++++=EXTRAWORD
if ^cs+cnd+++=if
I ^pp1a+pp1+++=I
am ^vb+bem+vrb++=am
her ^pp$+pp3+++=her
I ^pp1a+pp1+++=I
shall ^md+prd+++=shall
certainly ^rb++splt++=certainly
die ^vb++++=die
in ^in++++=in
agony ^nn++++=agony
in ^in++++=in
the ^ati++++=the
course ^nn++++=course
of ^in++++=of
the ^ati++++=the
afternoon ^nn++++=afternoon,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
duty ^nn++++=duty
of ^in++++=of
finding ^xvbg+++xvbg+=finding
out ^rp+pl+++=out
who ^whp+who+++=who
I ^pp1a+pp1+++=I
am ^vb+bem+aux++=am
will ^md+prd+++=will
devolve ^vb+++??+=devolve
on ^in++++=on
the ^ati++++=the
press ^nn++++=press
and ^cc++++=and
the ^ati++++=the
police ^nns++++=police
and ^cc++++=and
those ^dt+dem+++=those
sort ^nn++++=sort
of ^in++++=of
people ^nns++++=people;
; ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
shall ^md+prd+++=shall
be ^vb+be+vrb++=be
past ^jjb+atrb+++=past
caring ^nvbg+++xvbg+=caring.
. ^zz++++=EXTRAWORD
Lady ^npt++++=Lady
Knewford ^np+++??+=Knewford
does ^vbz+doz+aux++=doesn't
n't ^xnot++not++0=EXTRAWORD
know ^vb+vprv+++=know
one ^cd1++++=one
rose ^nn+++xvbn+=rose
from ^in++++=from
another ^dt++++=another
and ^cc++++=and
she ^pp3a+pp3+++=she
hates ^vbz++++=hates
men ^nns++++=men,
, ^zz++++=EXTRAWORD
so ^ql++++=so
she ^pp3a+pp3+++=she
would ^md+prd+++=wouldn't
n't ^xnot++not++0=EXTRAWORD
have ^vb+hv+aux++=have
spoken ^vprf+++xvbnx+=spoken
to ^in++++=to
you ^pp2+pp2+++=you
in ^in++++=in
any ^dti++++=any
case ^nn++++=case;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Lady ^nn++++=Lady
Mousehilton ^np+++??+=Mousehilton
flirts ^vbz++++=flirts
with ^in++++=with
every ^at++++=every
man ^nn++++=man
she ^pp3a+pp3+++=she
meets ^vbz++++=meets
I ^pp1a+pp1+++=I
have ^vb+hv+aux++=haven't
n't ^xnot++not++0=EXTRAWORD
flirted ^vbd+++xvbn+=flirted
with ^in++++=with
you ^pp2+pp2+++=you,
, ^zz++++=EXTRAWORD
have ^vb+hv+vrb++=have
I ^pp1a+pp1+++=I?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Jerton ^np+++??+=Jerton
hastily ^rb++++=hastily
gave ^vbd+++xvbn+=gave
the ^ati++++=the
required ^jj+atrb++xvbn+=required
assurance ^nn+nom+++=assurance.
. ^zz++++=EXTRAWORD
" ^zz++++="Well,
well ^rb+cnj+++=EXTRAWORD
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
see ^vb+vprv+++=see,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
continued ^vbd+++xvbn+=continued
the ^ati++++=the
lady ^nn++++=lady,
, ^zz++++=EXTRAWORD
" ^zz++++="that
that ^dt+pdem+++=EXTRAWORD
knocks ^vbz++++=knocks
four ^cd++++=four
off ^in+pl+++=off
the ^ati++++=the
list ^nn++++=list
at ^rb++++=at
once ^rb"+tm+++=once."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="It'll
it ^pp3+it+++=EXTRAWORD
'll ^md+prd+++0=EXTRAWORD
be ^vb+be+vrb++=be
rather ^rb++++=rather
a ^at++++=a
lengthy ^jj+atrb+++=lengthy
process ^nns+nom+++=process
bringing ^vwbg+++xvbg+=bringing
the ^ati++++=the
list ^nn++++=list
down ^rp++++=down
to ^to++++=to
one ^pn++++=one,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Jerton ^np+++??+=Jerton.
. ^zz++++=EXTRAWORD
" ^zz++++="Oh,
oh ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but,
, ^zz++++=EXTRAWORD
of ^in+emph+++=of
course ^nn+emph"+++=course,
, ^zz++++=EXTRAWORD
there ^ex+pex+++=there
are ^vb+ber+vrb++=are
heaps ^nns++++=heaps
of ^in++++=of
them ^pp3o+pp3+++=them
that ^cs+sub+++=that
I ^pp1a+pp1+++=I
could ^md+pos+++=couldn't
n't ^xnot++not++0=EXTRAWORD
possibly ^rb++++=possibly
be ^vb+be+vrb++=be
women ^nns++++=women
who ^whp+rel+subj++=who've
've ^vb+hv+aux++0=EXTRAWORD
got ^vprf+++xvbnx+=got
grandchildren ^nn++++=grandchildren
or ^cc++++=or
sons ^nns++++=sons
old ^jj++++=old
enough ^qlp++++=enough
to ^in++++=to
have ^vbi+vbi+aux++=have
celebrated ^vprf+++xvbnx+=celebrated
their ^pp$+pp3+++=their
coming ^nvbg+++xvbg+=coming
of ^in++++=of
age ^nn++++=age.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I've
've ^vb+hv+aux++0=EXTRAWORD
only ^ap+down+++=only
got ^vprf+++xvbn+=got
to ^to+vcmp+++=to
consider ^nn+nom+++=consider
the ^ati++++=the
ones ^pn++++=ones
about ^in++++=about
my ^pp$+pp1+++=my
own ^ap++++=own
age ^nn++++=age.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
tell ^vb++++=tell
you ^pp2+pp2+++=you
how ^wrb+who+++=how
you ^pp2+pp2+++=you
might ^md+pos+++=might
help ^vb++++=help
me ^pp1o+pp1+++=me
this ^dt+dem+++=this
afternoon ^nn++++=afternoon,
, ^zz++++=EXTRAWORD
if ^cs+cnd+++=if
you ^pp2+pp2+++=you
do ^vb+do+vrb++=don't
n't ^xnot++not++0=EXTRAWORD
mind ^nn++++=mind;
; ^zz++++=EXTRAWORD
go ^vb++++=go
through ^in++++=through
any ^dti++++=any
of ^in++++=of
the ^ati++++=the
back ^jjb+atrb+++=back
numbers ^nns+nom+++=numbers
of ^in++++=of
Country ^nn++++=Country
Life ^nn++++=Life
and ^cc++++=and
those ^dt+dem+++=those
sort ^nn++++=sort
of ^in++++=of
papers ^nns++++=papers
that ^tht+rel+obj++=that
you ^pp2+pp2+++=you
can ^md+pos+++=can
find ^vb+vprv+++=find
in ^in++++=in
the ^ati++++=the
smoking ^jj+++xvbg+=smoking-room,
- ^zz++++=EXTRAWORD
room ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
see ^vb+vprv+++=see
if ^cs+cnd+++=if
you ^pp2+pp2+++=you
come ^vprf+++xvbn+=come
across ^in+ppvb+++=across
my ^pp$+pp1+++=my
portrait ^nn++++=portrait
with ^in++++=with
infant ^nn++++=infant
son ^nn++++=son
or ^cc++++=or
anything ^pn++++=anything
of ^in++++=of
that ^dt+dem+++=that
sort ^nn++++=sort.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
will ^md+prd+++=won't
n't ^xnot++not++0=EXTRAWORD
take ^vb++++=take
you ^pp2+pp2+++=you
ten ^cd++++=ten
minutes ^nns++++=minutes.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I'll
'll ^md+prd+++0=EXTRAWORD
meet ^vb++++=meet
you ^pp2+pp2+++=you
in ^in++++=in
the ^ati++++=the
lounge ^nn++++=lounge
about ^in++++=about
tea ^nn++++=tea-time.
- ^zz++++=EXTRAWORD
time ^nn++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Thanks ^rb+dspt+++=Thanks
awfully ^ql++++=awfully."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
And ^cc++++=And
the ^ati++++=the
Fair ^jj++++=Fair
Unknown ^jj++++=Unknown,
, ^zz++++=EXTRAWORD
having ^vbg+hvg++xvbg+=having
graciously ^rb++++=graciously
pressed ^xvbn+++xvbn+=pressed
Jerton ^np+++??+=Jerton
into ^in++++=into
the ^ati++++=the
search ^nn++++=search
for ^in++++=for
her ^pp$+pp3+++=her
lost ^vbd+++xvbn+=lost
identity ^nn+nom+++=identity,
, ^zz++++=EXTRAWORD
rose ^j+++xvbn+=rose
and ^cc+phrs+++=and
left ^j+++xvbn+=left
the ^ati++++=the
room ^nn++++=room.
. ^zz++++=EXTRAWORD
As ^ql++++=As
she ^pp3a+pp3+++=she
passed ^vbd+++xvbnx+=passed
the ^ati++++=the
young ^jj+atrb+++=young
man ^nn++++=man's
's ^$++++=EXTRAWORD
table ^nn++++=table
she ^pp3a+pp3+++=she
halted ^vbd+++xvbnx+=halted
for ^in++++=for
a ^at++++=a
moment ^nn++++=moment
and ^cc++++=and
whispered ^jj+++xvbn+=whispered:
: ^zz++++=EXTRAWORD
" ^zz++++="Did
did ^vbd+dod+aux++=EXTRAWORD
you ^pp2+pp2+++=you
notice ^vb+vprv+++=notice
that ^tht+vcmp+++=that
I ^pp1a+pp1+++=I
tipped ^vbd+++xvbnx+=tipped
the ^ati++++=the
waiter ^nn++++=waiter
a ^at++++=a
shilling ^nn+nom+++=shilling?
? ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
can ^md+pos+++=can
cross ^vb++++=cross
Lady ^npt++++=Lady
Ulwight ^np+++??+=Ulwight
off ^in+pl+++=off
the ^ati++++=the
list ^nn++++=list;
; ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
would ^md+prd+++=would
have ^vb+hv+aux++=have
died ^vprf+++xvbnx+=died
rather ^rb++++=rather
than ^cs+sub+++=than
do ^vb+do+vrb++=do
that ^dt+pdem+++=that."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
At ^rb++++=At
five ^cd++++=five
o'clock ^rb++++=o'clock
Jerton ^np+++??+=Jerton
made ^vbd+++xvbn+=made
his ^pp$+pp3+++=his
way ^nn++++=way
to ^in++++=to
the ^ati++++=the
hotel ^nn++++=hotel
lounge ^nn++++=lounge;
; ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
spent ^vprf+++xvbnx+=spent
a ^at++++=a
diligent ^jj+atrb+++=diligent
but ^cc+phrs+++=but
fruitless ^jj+atrb+++=fruitless
quarter ^nn++++=quarter
of ^in++++=of
an ^at++++=an
hour ^nn++++=hour
among ^in++++=among
the ^ati++++=the
illustrated ^jj+atrb++xvbn+=illustrated
weeklies ^nns++++=weeklies
in ^in++++=in
the ^ati++++=the
smokingroom ^nn+++??+=smokingroom.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
new ^jj+atrb+++=new
acquaintance ^nn+nom+++=acquaintance
was ^vbd+bedz+aux++=was
seated ^vpsv++agls+xvbnx+=seated
at ^rb++++=at
a ^at++++=a
small ^jj++++=small
teatable ^jj++++=teatable,
, ^zz++++=EXTRAWORD
with ^in++++=with
a ^at++++=a
waiter ^nn++++=waiter
hovering ^vwbg+++xvbg+=hovering
in ^in++++=in
attendance ^nn+nom+++=attendance.
. ^zz++++=EXTRAWORD
" ^zz++++="China
china ^np++++=EXTRAWORD
tea ^nn++++=tea
or ^cc++++=or
Indian ^jj++++=Indian?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
asked ^vbd+vsua+tht0+xvbnx+=asked
as ^ql++++=as
Jerton ^np+++??+=Jerton
came ^vbd+++xvbn+=came
up ^rp++++=up.
. ^zz++++=EXTRAWORD
" ^zz++++="China,
china ^np++++=EXTRAWORD
, ^zz++++=EXTRAWORD
please ^uh++++=please,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
nothing ^pn++++=nothing
to ^to++++=to
eat ^vbi++++=eat.
. ^zz++++=EXTRAWORD
Have ^vb+hv+aux++=Have
you ^pp2+pp2+++=you
discovered ^vbd+vprv+tht0+xvbn+=discovered
anything ^pn++++=anything?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Only
only ^rb+down+++=EXTRAWORD
negative ^jj+atrb+++=negative
information ^nn+nom+++=information.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I'm
'm ^vb+bem+vrb++0=EXTRAWORD
not ^xnot++not++=not
Lady ^nn++++=Lady
Befnal ^np+++??+=Befnal.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
disapproves ^nns+++??+=disapproves
dreadfully ^rb++++=dreadfully
of ^in++++=of
any ^dti++++=any
form ^nn++++=form
of ^in++++=of
gambling ^nn+nom+++=gambling,
, ^zz++++=EXTRAWORD
so ^ql++++=so
when ^wrb+who+++=when
I ^pp1a+pp1+++=I
recognised ^vbd+vprv++xvbnx+=recognised
a ^at++++=a
well ^rb++++=well-known
- ^zz++++=EXTRAWORD
known ^jj+atrb++xvbn+=EXTRAWORD
book ^nn++++=book
maker ^nn++++=maker
in ^in++++=in
the ^ati++++=the
hotel ^nn++++=hotel
lobby ^nn++++=lobby
I ^pp1a+pp1+++=I
went ^vbd+++xvbnx+=went
and ^cc+phrs+++=and
put ^vbd+++xvbn+=put
a ^at++++=a
tenner ^nn++++=tenner
on ^in++++=on
an ^at++++=an
unnamed ^jj+atrb+++=unnamed
filly ^nn++++=filly
by ^in++++=by
William ^np++++=William
the ^ati++++=the
Third ^od++++=Third
out ^rp+pl+++=out
of ^in++++=of
Mitrovitza ^np+++??+=Mitrovitza
for ^in++++=for
the ^ati++++=the
three ^cd++++=three-fifteen
- ^zz++++=EXTRAWORD
fifteen ^cd++++=EXTRAWORD
race ^nn++++=race.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
suppose ^vb+vprv+++=suppose
the ^ati++++=the
fact ^nn++++=fact
of ^in++++=of
the ^ati++++=the
animal ^nn++++=animal
being ^vwbg+beg++xvbg+=being
nameless ^jj++++=nameless
was ^vbd+bedz+aux++=was
what ^wdt+who+++=what
attracted ^vbd+++xvbn+=attracted
me ^pp1o+pp1+++=me."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Did ^vbd+dod+aux++=Did
it ^pp3+it+++=it
win ^vb++++=win?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
asked ^vbn+vsua++xvbn+=asked
Jerton ^np+++??+=Jerton.
. ^zz++++=EXTRAWORD
" ^zz++++="No,
no ^at++++=EXTRAWORD
, ^zz++++=EXTRAWORD
came ^j+++xvbn+=came
in ^in++++=in
fourth ^rb+cnj+++=fourth,
, ^zz++++=EXTRAWORD
the ^ati++++=the
most ^ql+emph+++=most
irritating ^jj+atrb+++=irritating
thing ^nn++++=thing
a ^at++++=a
horse ^nn++++=horse
can ^md+pos+++=can
do ^vb+do+vrb++=do
when ^wrb+who+++=when
you ^pp2+pp2+++=you've
've ^vb+hv+aux++0=EXTRAWORD
backed ^vprf+++xvbnx+=backed
it ^pp3+it+++=it
win ^vb++++=win
or ^cc++++=or
place ^nn++++=place.
. ^zz++++=EXTRAWORD
Anyhow ^rb+cnj+++=Anyhow,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
know ^vb+vprv+++=know
now ^rn+tm+++=now
that ^cs+sub+++=that
I ^pp1a+pp1+++=I'm
'm ^vb+bem+vrb++0=EXTRAWORD
not ^xnot++not++=not
Lady ^nn++++=Lady
Befnal ^np+++??+=Befnal."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="It
it ^pp3+it+++=EXTRAWORD
seems ^vbz+seem+++=seems
to ^to+vcmp+++=to
me ^vbi++++=me
that ^dt+dem+++=that
the ^ati++++=the
knowledge ^nn++++=knowledge
was ^vbd+bedz+aux++=was
rather ^rb++splt++=rather
dearly ^rb++++=dearly
bought ^vbd+++xvbn+=bought,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
commented ^vbn+vpub++xvbn+=commented
Jerton ^np+++??+=Jerton.
. ^zz++++=EXTRAWORD
" ^zz++++="Well,
well ^rb+cnj+++=EXTRAWORD
, ^zz++++=EXTRAWORD
yes ^uh++++=yes,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
has ^vbz+hvz+aux++=has
rather ^rb++splt++=rather
cleared ^vprf+++xvbnx+=cleared
me ^pp1o+pp1+++=me
out ^rp+pl+++=out,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
admitted ^vbd+vpub++xvbn+=admitted
the ^ati++++=the
identity ^nn+nom+++=identity-seeker;
- ^zz++++=EXTRAWORD
seeker ^nn++++=EXTRAWORD
; ^zz++++=EXTRAWORD
" ^zz++++="a
a ^at++++=EXTRAWORD
florin ^nn++++=florin
is ^vbz+bez+vrb++=is
about ^in++++=about
all ^abn++++=all
I ^pp1a+pp1+++=I've
've ^vb+hv+aux++0=EXTRAWORD
got ^vprf+++xvbnx+=got
left ^vbd+++xvbn+=left
on ^rp++++=on
me ^pp1o+pp1+++=me.
. ^zz++++=EXTRAWORD
The ^ati++++=The
lobster ^nn+nom+++=lobster
Newburg ^np+++??+=Newburg
made ^vbd+++xvbn+=made
my ^pp$+pp1+++=my
lunch ^nn++++=lunch
rather ^rb++++=rather
an ^at++++=an
expensive ^jj+atrb+++=expensive
one ^pn++++=one,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and,
, ^zz++++=EXTRAWORD
of ^in+emph+++=of
course ^nn+emph"+++=course,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
had ^vb+hv+vrb++=had
to ^in++++=to
tip ^nn++++=tip
that ^tht+rel+++=that
boy ^nn++++=boy
for ^in++++=for
what ^wdt+who+++=what
he ^pp3a+pp3+++=he
did ^vbd+dod+vrb++=did
to ^in++++=to
the ^ati++++=the
Kestrel ^np+++??+=Kestrel-Smith
- ^zz++++=EXTRAWORD
smith ^np++++=EXTRAWORD
locks ^nns++++=locks.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I've
've ^vb+hv+aux++0=EXTRAWORD
got ^vprf+++xvbnx+=got
rather ^rb++++=rather
a ^at++++=a
useful ^jj+atrb+++=useful
idea ^nn++++=idea,
, ^zz++++=EXTRAWORD
though ^rb+cnj+++=though.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
feel ^vb+vprv+++=feel
certain ^jj++++=certain
that ^tht+jcmp+++=that
I ^pp1a+pp1+++=I
belong ^vb++++=belong
to ^in++++=to
the ^ati++++=the
Pivot ^nn++++=Pivot
Club ^nn++++=Club;
; ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I'll
'll ^md+prd+++0=EXTRAWORD
go ^vb++++=go
back ^jjb++++=back
to ^in++++=to
town ^nn++++=town
and ^cc++++=and
ask ^vb++++=ask
the ^ati++++=the
hall ^npl++++=hall
porter ^nn++++=porter
there ^rn+pl+++=there
if ^cs+cnd+++=if
there ^ex+pex+++=there
are ^vb+ber+vrb++=are
any ^dti++++=any
letters ^nns+nom+++=letters
for ^in++++=for
me ^pp1o+pp1+++=me.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
knows ^vbz+vprv+++=knows
all ^rb++++=all
the ^ati++++=the
members ^nns+nom+++=members
by ^in++++=by
sight ^nn++++=sight,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
if ^cs+cnd+++=if
there ^ex+pex+++=there
are ^vb+ber+vrb++=are
any ^dti++++=any
letters ^nns+nom+++=letters
or ^cc++++=or
telephone ^nn++++=telephone
messages ^nns+nom+++=messages
waiting ^vwbg+++xvbg+=waiting
for ^in++++=for
me ^pp1o+pp1+++=me
of ^in+emph+++=of
course ^nn+emph"+++=course
that ^tht+rel+subj++=that
will ^md+prd+++=will
solve ^vb++++=solve
the ^ati++++=the
problem ^nn++++=problem.
. ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
he ^pp3a+pp3+++=he
says ^vbz+vpub+tht0++=says
there ^ex+pex+++=there
are ^vb+ber+vrb++=aren't
n't ^xnot++not++0=EXTRAWORD
any ^dti++++=any
I ^pp1a+pp1+++=I
shall ^md+prd+++=shall
say ^vb+vpub+++=say:
: ^zz++++=EXTRAWORD
' ^zz++++='You
you ^pp2+pp2+++=EXTRAWORD
know ^vb+vprv+++=know
who ^whp+wpr+whcl++=who
I ^pp1a+pp1+++=I
am ^vb+bem+vrb++=am,
, ^zz++++=EXTRAWORD
do ^vb+do+vrb++=don't
n't ^xnot++not++0=EXTRAWORD
you ^pp2+pp2+++=you?'
? ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
so ^ql++++=so
I ^pp1a+pp1+++=I'll
'll ^md+prd+++0=EXTRAWORD
find ^vb+vprv+++=find
out ^rp+pl+++=out
anyway ^rb++++=anyway."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
The ^ati++++=The
plan ^nn++++=plan
seemed ^vbd+seem++xvbn+=seemed
a ^at++++=a
sound ^nn++++=sound
one ^pn++++=one;
; ^zz++++=EXTRAWORD
a ^at++++=a
difficulty ^nn++++=difficulty
in ^in++++=in
its ^pp$+it+++=its
execution ^nn+nom+++=execution
suggested ^vbd+vpub+tht0+xvbn+=suggested
itself ^ppl++++=itself
to ^in++++=to
Jerton ^np+++??+=Jerton.
. ^zz++++=EXTRAWORD
" ^zz++++="Of
of ^in+emph+++=EXTRAWORD
course ^nn+emph"+++=course,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
the ^ati++++=the
lady ^nn++++=lady,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
he ^pp3a+pp3+++=he
hinted ^vbd+vpub++xvbnx+=hinted
at ^rb++++=at
the ^ati++++=the
obstacle ^nn++++=obstacle,
, ^zz++++=EXTRAWORD
" ^zz++++="there's
there ^ex+pex+++=EXTRAWORD
's ^vbz+bez+vrb++0=EXTRAWORD
my ^pp$+pp1+++=my
fare ^nn++++=fare
back ^jjb++++=back
to ^in++++=to
town ^nn++++=town,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
my ^pp$+pp1+++=my
bill ^nn++++=bill
here ^rn+pl+++=here
and ^cc++++=and
cabs ^nns+++??+=cabs
and ^cc++++=and
things ^nns++++=things.
. ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
you ^pp2+pp2+++=you'll
'll ^md+prd+++0=EXTRAWORD
lend ^vb++++=lend
me ^pp1o+pp1+++=me
three ^cd++++=three
pounds ^nns++++=pounds
that ^tht+rel+subj++=that
ought ^md"+nec+pmd"++=ought
to ^md+nec+++=to
see ^vb+vprv+++=see
me ^pp1o+pp1+++=me
through ^in++++=through
comfortably ^rb++++=comfortably.
. ^zz++++=EXTRAWORD
Thanks ^rb+dspt+++=Thanks
ever ^rb++++=ever
so ^rb++++=so.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
there ^ex+pex+++=there
is ^vbz+bez+vrb++=is
the ^ati++++=the
question ^nn+nom+++=question
of ^in++++=of
that ^dt+dem+++=that
luggage ^nn+nom+++=luggage:
: ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
want ^vb++++=want
to ^to+vcmp+++=to
be ^vbi+vbi+aux++=be
saddled ^vpsv++agls+xvbnx+=saddled
with ^in++++=with
that ^dt+dem+++=that
for ^in++++=for
the ^ati++++=the
rest ^nn++++=rest
of ^in++++=of
my ^pp$+pp1+++=my
life ^nn++++=life.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I'll
'll ^md+prd+++0=EXTRAWORD
have ^vb+hv+aux++=have
it ^pp3+it+++=it
brought ^vbd+++xvbn+=brought
down ^rb+phrv+++=down
to ^in++++=to
the ^ati++++=the
hall ^nn++++=hall
and ^cc++++=and
you ^pp2+pp2+++=you
can ^md+pos+++=can
pretend ^vb+vprv+++=pretend
to ^to+vcmp+++=to
mount ^vbi++++=mount
guard ^vb++++=guard
over ^in++++=over
it ^pp3+it+++=it
while ^cs+sub+++=while
I ^pp1a+pp1+++=I'm
'm ^vb+bem+aux++0=EXTRAWORD
writing ^vbg+++xvbgx+=writing
a ^at++++=a
letter ^nn++++=letter.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
I ^pp1a+pp1+++=I
shall ^md+prd+++=shall
just ^rb+emph+splt++=just
slip ^vb++++=slip
away ^rp+pl+++=away
to ^in++++=to
the ^ati++++=the
station ^nn+nom+++=station,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
you ^pp2+pp2+++=you
can ^md+pos+++=can
wander ^vb++++=wander
off ^rp+pl+++=off
to ^in++++=to
the ^ati++++=the
smoking ^jj+++xvbg+=smoking-room,
- ^zz++++=EXTRAWORD
room ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
they ^pp3a+pp3+++=they
can ^md+pos+++=can
do ^vb+do+vrb++=do
what ^wdt+who+++=what
they ^pp3a+pp3+++=they
like ^vb++++=like
with ^in++++=with
the ^ati++++=the
things ^nns++++=things.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They'll
'll ^md+prd+++0=EXTRAWORD
advertise ^vb++++=advertise
them ^pp3o+pp3+++=them
after ^cs+sub+++=after
a ^at++++=a
bit ^nn++++=bit
and ^cc++++=and
the ^ati++++=the
owner ^nn++++=owner
can ^md+pos+++=can
claim ^vb++++=claim
them ^pp3o+pp3+++=them."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Jerton ^np+++??+=Jerton
acquiesced ^vbd+++xvbn+=acquiesced
in ^in++++=in
the ^ati++++=the
manoeuvre ^nn++++=manoeuvre,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
duly ^rb++++=duly
mounted ^vwbn+++xvbn+=mounted
guard ^vb++++=guard
over ^in++++=over
the ^ati++++=the
luggage ^nn+nom+++=luggage
while ^cs+sub+++=while
its ^pp$+it+++=its
temporary ^jj+atrb+++=temporary
owner ^nn++++=owner
slipped ^vbd+++xvbn+=slipped
unobtrusively ^rb++++=unobtrusively
out ^rp+pl+++=out
of ^in++++=of
the ^ati++++=the
hotel ^nn++++=hotel.
. ^zz++++=EXTRAWORD
Her ^pp$+pp3+++=Her
departure ^nn++++=departure
was ^vbd+bedz+vrb++=was
not ^xnot++not++=not,
, ^zz++++=EXTRAWORD
however ^rb+cnj+++=however,
, ^zz++++=EXTRAWORD
