Henry ^np++++=Henry
his ^pp$+pp3+++=his
youth ^nn++++=youth.
. ^zz++++=EXTRAWORD
For ^in++++=For
a ^at++++=a
time ^nn++++=time
people ^nns++++=people
were ^vbd+bed+vrb++=were
sympathetic ^jj+pred+++=sympathetic;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
they ^pp3a+pp3+++=they
began ^vbd+++xvbnx+=began
immediately ^rb+tm+++=immediately
to ^to++++=to
speculate ^nn+nom+++=speculate
about ^rb++++=about
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
then ^rn+tm+++=then
to ^in++++=to
gossip ^nn++++=gossip
about ^rb++++=about
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
made ^vbd+++xvbn+=made
no ^at++++=no
difference ^nn+nom+++=difference
to ^in++++=to
him ^pp3o+pp3+++=him
or ^cc++++=or
in ^in++++=in
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+vrb++=was
like ^in++++=like
a ^at++++=a
man ^nn++++=man
that ^tht+rel+subj++=that
is ^vbz+bez+vrb++=is
dead ^jj+pred+++=dead,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
felt ^vbd+vprv++xvbn+=felt
no ^at++++=no
more ^rbr++++=more.
. ^zz++++=EXTRAWORD
One ^cd1++++=One
thing ^nn++++=thing
about ^in++++=about
a ^at++++=a
great ^jj+atrb+++=great
sorrow ^nn++++=sorrow
is ^vbz+bez+vrb++=is
that ^tht+vcmp+++=that
it ^pp3+it+++=it
destroys ^vbz++++=destroys
all ^abn++++=all
lesser ^jjr+atrb+++=lesser
ones ^pn++++=ones.
. ^zz++++=EXTRAWORD
A ^at++++=A
man ^nn++++=man
with ^in++++=with
a ^at++++=a
crushed ^jj+atrb++xvbn+=crushed
body ^nn++++=body
does ^vbz+doz+aux++=does
not ^xnot++not++=not
feel ^vb+vprv+++=feel
pinpricks ^nns++++=pinpricks.
. ^zz++++=EXTRAWORD
Henry ^np++++=Henry
Floyd ^np+++??+=Floyd
went ^vbd+++xvbn+=went
on ^in++++=on
his ^pp$+pp3+++=his
way ^nn++++=way
calmly ^rb+cnj+++=calmly,
, ^zz++++=EXTRAWORD
doggedly ^rb+cnj+++=doggedly,
, ^zz++++=EXTRAWORD
mechanically ^rb++++=mechanically.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
drifted ^vbd+++xvbnx+=drifted
on ^in++++=on
and ^cc++++=and
was ^vbd+bedz+aux++=was
talked ^vpsv++agls+xvbnx+=talked
about ^in++++=about
continually ^rb++++=continually.
. ^zz++++=EXTRAWORD
Gossip ^nn++++=Gossip
would ^md+prd+++=would
not ^xnot++not++=not
let ^vb+++xvbn+=let
him ^pp3o+pp3+++=him
alone ^rb+cnj+++=alone,
, ^zz++++=EXTRAWORD
so ^ql++++=so
she ^pp3a+pp3+++=she
did ^vbd+dod+vrb++=did
him ^pp3o+pp3+++=him
the ^ati++++=the
honor ^nn++++=honor
to ^to++++=to
connect ^vbi++++=connect
his ^pp$+pp3+++=his
name ^nn++++=name
with ^in++++=with
that ^dt+dem+++=that
of ^in++++=of
every ^at++++=every
woman ^nn++++=woman
he ^pp3a+pp3+++=he
met ^vbd+++xvbnx+=met.
. ^zz++++=EXTRAWORD
In ^in++++=In
fact ^nn++++=fact,
, ^zz++++=EXTRAWORD
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
as ^ql++++=as
much ^ap++++=much
reason ^nn++++=reason
to ^to++++=to
mention ^nn+nom+++=mention
all ^abn++++=all
as ^ql++++=as
one ^pn++++=one.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+vrb++=was
fond ^jj+pred+++=fond
of ^in++++=of
women ^nns++++=women,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
enjoyed ^vbd+++xvbn+=enjoyed
them ^pp3o+pp3+++=them.
. ^zz++++=EXTRAWORD
Women ^nns++++=Women
liked ^vbd+++xvbn+=liked
him ^pp3o+pp3+++=him
too ^rb++++=too.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
was ^vbd+bedz+vrb++=was
a ^at++++=a
certain ^jj+atrb+++=certain
gentleness ^nns+nom+++=gentleness
mingled ^vbd+++xvbn+=mingled
with ^in++++=with
firmness ^nns+nom+++=firmness,
, ^zz++++=EXTRAWORD
a ^at++++=a
kind ^rb++++=kind
of ^rb"++++=of
protecting ^jj+atrb++xvbg+=protecting
air ^nn++++=air
about ^rb++++=about
him ^pp3o+pp3+++=him
which ^whp+who+++=which
women ^nns++++=women
admired ^vbd+++xvbn+=admired,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
mystery ^nn+nom+++=mystery
of ^in++++=of
impenetrable ^jj+atrb+++=impenetrable
sadness ^nns+nom+++=sadness
which ^whp+rel+obj++=which
women ^nns++++=women
liked ^vbd+++xvbn+=liked.
. ^zz++++=EXTRAWORD
Every ^at++++=Every
woman ^nn++++=woman
who ^whp+rel+subj++=who
knew ^vbd+vprv+tht0+xvbn+=knew
him ^pp3o+pp3+++=him
trusted ^vbd+++xvbn+=trusted
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
had ^vb+hv+vrb++=had
a ^at++++=a
right ^nn++++=right
to ^to+ncmp+++=to
trust ^vb++++=trust
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
To ^in++++=To
none ^pn++++=none
was ^vbd+bedz+vrb++=was
he ^pp3a+pp3+++=he
indifferent ^jj++++=indifferent,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
in ^in++++=in
none ^rb++++=none
was ^vbd+bedz+vrb++=was
he ^pp3a+pp3+++=he
interested ^jj++++=interested.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+aux++=was
simply ^rb++splt++=simply
cut ^vpsv++agls+xvbnx+=cut
off ^rb+phrv+++=off.
. ^zz++++=EXTRAWORD
A ^at++++=A
physician ^nn++++=physician
who ^whp+rel+subj++=who
saw ^vbd+vprv+tht0+xvbn+=saw
him ^pp3o+pp3+++=him
said ^vbd+vpub++xvbn+=said,
, ^zz++++=EXTRAWORD
" ^zz++++="That
that ^dt+dem+++=EXTRAWORD
man ^nn++++=man
is ^vbz+bez+aux++=is
dying ^vbg+++xvbgx+=dying
of ^in++++=of
loneliness ^nns+nom+++=loneliness."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
This ^dt+pdem+++=This
went ^vbd+++xvbn+=went
on ^in++++=on
for ^in++++=for
some ^dti++++=some
years ^nns++++=years.
. ^zz++++=EXTRAWORD
At ^rb++++=At
last ^rb"++++=last
his ^pp$+pp3+++=his
friends ^nns++++=friends
determined ^jj+++xvbn+=determined
to ^to+jcmp+++=to
get ^vbi++++=get
him ^pp3o+pp3+++=him
back ^jjb++++=back
into ^in++++=into
society ^nn++++=society.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
made ^vbd+++xvbnx+=made
plans ^nns++++=plans
for ^in++++=for
him ^pp3o+pp3+++=him
and ^cc++++=and
carried ^vwbn+++xvbn+=carried
them ^pp3o+pp3+++=them
out ^rp+pl+++=out
to ^in++++=to
a ^at++++=a
certain ^jj+atrb+++=certain
length ^nn++++=length;
; ^zz++++=EXTRAWORD
there ^rn+pl+++=there
the ^ati++++=the
plans ^nns++++=plans
failed ^vbd+++xvbn+=failed.
. ^zz++++=EXTRAWORD
Floyd ^np+++??+=Floyd
might ^md+pos+++=might
be ^vb+be+aux++=be
led ^vpsv++agls+xvbnx+=led
up ^in+cmpx+++=up
to ^in"++++=to
the ^ati++++=the
water ^nn++++=water,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
none ^rb++++=none
could ^md+pos+++=could
make ^vb++++=make
him ^pp3o+pp3+++=him
drink ^nn++++=drink;
; ^zz++++=EXTRAWORD
there ^rn+pl+++=there
he ^pp3a+pp3+++=he
took ^vbd+++xvbnx+=took
the ^ati++++=the
bit ^nn++++=bit
in ^in++++=in
his ^pp$+pp3+++=his
teeth ^nns++++=teeth
and ^cc++++=and
went ^vbd+++xvbn+=went
his ^pp$+pp3+++=his
own ^ap++++=own
way ^nn++++=way.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
would ^md+prd+++=would
be ^vb+be+aux++=be
invited ^vpsv++agls+xvbnx+=invited
to ^to++++=to
meet ^vbi++++=meet
a ^at++++=a
girl ^nn++++=girl
at ^in++++=at
a ^at++++=a
dinner ^nn++++=dinner
got ^vbd+++xvbn+=got
up ^rp++++=up
for ^in++++=for
his ^pp$+pp3+++=his
benefit ^nn++++=benefit,
, ^zz++++=EXTRAWORD
that ^tht+vcmp+++=that
he ^pp3a+pp3+++=he
might ^md+pos+++=might
meet ^vb++++=meet
her ^pp$+pp3+++=her,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
would ^md+prd+++=would
spend ^vb++++=spend
the ^ati++++=the
evening ^nn++++=evening
hanging ^vwbg+++xvbg+=hanging
over ^in++++=over
a ^rb++++=a
little ^rb"++++=little
unheard ^jj++++=unheard-of
- ^zz++++=EXTRAWORD
of ^in++++=EXTRAWORD
country ^nn++++=country
cousin ^nn++++=cousin
with ^in++++=with
a ^at++++=a
low ^jj+atrb+++=low
voice ^nn++++=voice
and ^cc++++=and
soft ^jj+atrb+++=soft
eyes ^nns++++=eyes,
, ^zz++++=EXTRAWORD
entertaining ^jj+++xvbg+=entertaining
her ^pp$+pp3+++=her
with ^in++++=with
stories ^nns++++=stories
of ^in++++=of
his ^pp$+pp3+++=his
country ^nn++++=country
days ^nns++++=days
or ^cc++++=or
of ^in++++=of
his ^pp$+pp3+++=his
wanderings ^nns++++=wanderings;
; ^zz++++=EXTRAWORD
or ^cc+cls+++=or
he ^pp3a+pp3+++=he
would ^md+prd+++=would
be ^vb+be+aux++=be
put ^vpsv++by+xvbnx+=put
by ^in++++=by
some ^dti++++=some
belle ^np++++=belle,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
after ^cs+sub+++=after
five ^cd++++=five
minutes ^nns++++=minutes'
' ^zz++++=EXTRAWORD
homage ^nn++++=homage
spend ^vb++++=spend
the ^ati++++=the
time ^nn++++=time
talking ^vwbg+++xvbg+=talking
to ^in++++=to
some ^dti++++=some
old ^jj+atrb+++=old
lady ^npt++++=lady
about ^in++++=about
her ^pp$+pp3+++=her
grandchildren ^nn++++=grandchildren.
. ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
must ^md+nec+++=must
marry ^vb++++=marry,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
said ^vbd+vpub++xvbnx+=said
to ^to+vcmp+++=to
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
" ^zz++++="When
when ^wrb+who+++=EXTRAWORD
one ^cd1++++=one
rises ^nns++++=rises
from ^in++++=from
the ^ati++++=the
dead ^jj++++=dead,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
replied ^vbd+vpub++xvbnx+=replied.
. ^zz++++=EXTRAWORD
At ^rb++++=At
length ^rb"++++=length,
, ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
friends ^nns++++=friends
grew ^vbd+++xvbn+=grew
tired ^jj+++xvbn+=tired
of ^in++++=of
helping ^xvbg+++xvbg+=helping
him ^pp3o+pp3+++=him
and ^cc++++=and
gave ^vbd+++xvbn+=gave
him ^pp3o+pp3+++=him
up ^rp++++=up,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
he ^pp3a+pp3+++=he
dropped ^vbd+++xvbnx+=dropped
out ^rp+pl+++=out
and ^cc++++=and
settled ^vbd+++xvbn+=settled
down ^rp++++=down.
. ^zz++++=EXTRAWORD
Commiseration ^np+nom++??+=Commiseration
is ^vbz+bez+vrb++=is
one ^pn++++=one
of ^in++++=of
the ^ati++++=the
bitter ^jj+atrb+++=bitter
things ^nns++++=things
of ^in++++=of
life ^nn++++=life.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
Floyd ^np+++??+=Floyd
had ^vb+hv+aux++=had
what ^wdt+who+++=what
is ^vbz+bez+vrb++=is
harder ^jjr+pred+++=harder
to ^to++++=to
bear ^vbi+vprv+++=bear
than ^in++++=than
that ^dt+pdem+++=that.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
did ^vbd+dod+aux++=did
not ^xnot++not++=not
affect ^vb++++=affect
his ^pp$+pp3+++=his
work ^nn++++=work.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
only ^rb+down+++=only
his ^pp$+pp3+++=his
health ^nn++++=health
and ^cc++++=and
his ^pp$+pp3+++=his
life ^nn++++=life
that ^tht+rel+subj++=that
suffered ^vprf+++xvbn+=suffered.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+vrb++=was
like ^in++++=like
a ^at++++=a
man ^nn++++=man
who ^whp+rel+subj++=who
has ^vbz+hvz+aux++=has
lost ^vprf+++xvbnx+=lost
the ^ati++++=the
senses ^nns++++=senses
of ^in++++=of
touch ^nn++++=touch
and ^cc++++=and
taste ^nn++++=taste
and ^cc++++=and
sight ^nn++++=sight.
. ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
he ^pp3a+pp3+++=he
minded ^vbd+++xvbnx+=minded
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
did ^vbd+dod+aux++=did
not ^xnot++not++=not
show ^vb+vprv+++=show
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
One ^cd1++++=One
can ^md+pos+++=can
get ^vb++++=get
used ^vbd+++xvbn+=used
to ^in++++=to
being ^nn+nn+aux++=being
bedridden ^vbd+++xvbn+=bedridden.
. ^zz++++=EXTRAWORD
One ^cd1++++=One
thing ^nn++++=thing
about ^rb++++=about
him ^pp3o+pp3+++=him
was ^vbd+bedz+vrb++=was
that ^tht+vcmp+++=that
he ^pp3a+pp3+++=he
always ^rb++++=always
appeared ^vbd+seem++xvbn+=appeared
poor ^jj++++=poor.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
began ^vbd+++xvbnx+=began
to ^to++++=to
be ^vbi+vbi+aux++=be
known ^vpsv++agls+xvbnx+=known
as ^ql++++=as
an ^at++++=an
inventor ^nn++++=inventor
and ^cc++++=and
writer ^nn++++=writer.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+aux++=was
known ^vpsv++agls+xvbnx+=known
that ^tht+vcmp+++=that
he ^pp3a+pp3+++=he
received ^vbd+++xvbnx+=received
high ^jj+atrb+++=high
prices ^nns++++=prices
for ^in++++=for
what ^wdt+who+++=what
he ^pp3a+pp3+++=he
did ^vbd+dod+vrb++=did;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
he ^pp3a+pp3+++=he
appeared ^vbd+seem++xvbnx+=appeared
to ^to+vcmp+++=to
be ^vbi++vrb++=be
no ^at++++=no
better ^nn++++=better
off ^in+pl+++=off
than ^in++++=than
when ^wrb+who+++=when
he ^pp3a+pp3+++=he
made ^vbd+++xvbnx+=made
nothing ^pn++++=nothing.
. ^zz++++=EXTRAWORD
Some ^dti++++=Some
persons ^nns++++=persons
supposed ^vwbn+++xvbn+=supposed
that ^tht+vcmp+++=that
he ^pp3a+pp3+++=he
gambled ^vbd+++xvbnx+=gambled;
; ^zz++++=EXTRAWORD
others ^aps++++=others
whispered ^vb+++xvbn+=whispered
that ^tht+vcmp+++=that
he ^pp3a+pp3+++=he
spent ^vbd+++xvbnx+=spent
it ^pp3+it+++=it
in ^in++++=in
other ^ap++++=other
dissipation ^nn+nom+++=dissipation.
. ^zz++++=EXTRAWORD
In ^in++++=In
fact ^nn++++=fact,
, ^zz++++=EXTRAWORD
one ^cd1++++=one
lady ^nn++++=lady
gave ^vbd+++xvbn+=gave
a ^at++++=a
circumstantial ^jj+atrb+++=circumstantial
account ^nn++++=account
of ^in++++=of
the ^ati++++=the
way ^nn++++=way
he ^pp3a+pp3+++=he
squandered ^vbd+++xvbnx+=squandered
his ^pp$+pp3+++=his
money ^nn++++=money,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
declared ^vbd+vpub+tht0+xvbn+=declared
herself ^ppl+pp3+++=herself
very ^ql+amp+++=very
glad ^jj++++=glad
that ^tht+jcmp+++=that
he ^pp3a+pp3+++=he
had ^vb+hv+aux++=had
never ^rb++splt++=never
visited ^vprf+++xvbnx+=visited
her ^pp$+pp3+++=her
daughters ^nns+nom+++=daughters.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
this ^dt+pdem+++=this
was ^vbd+bedz+aux++=was
repeated ^vpsv++agls+xvbnx+=repeated
to ^in++++=to
Floyd ^np+++??+=Floyd,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub+tht0+xvbnx+=said
he ^pp3a+pp3+++=he
fortunately ^rb++++=fortunately
did ^vbd+dod+aux++=did
not ^xnot++not++=not
have ^vb+hv+vrb++=have
to ^in++++=to
account ^nn++++=account
to ^in++++=to
her ^pp$+pp3+++=her
for ^in++++=for
the ^ati++++=the
way ^nn++++=way
he ^pp3a+pp3+++=he
spent ^vbd+++xvbnx+=spent
his ^pp$+pp3+++=his
money ^nn++++=money.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
felt ^vbd+vprv++xvbnx+=felt
that ^tht+vcmp+++=that
the ^ati++++=the
woman ^nn++++=woman
out ^rp+pl+++=out
under ^in++++=under
the ^ati++++=the
marble ^nn++++=marble
cross ^nn++++=cross
knew ^vbd+vprv++xvbn+=knew
how ^wrb+who+whcl++=how
his ^pp$+pp3+++=his
money ^nn++++=money
went ^vbd+++xvbn+=went,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
so ^ql++++=so
did ^vbd+dod+vrb++=did
the ^ati++++=the
little ^jj+atrb+++=little
cousin ^nn++++=cousin
who ^whp+rel+subj++=who
was ^vbd+bedz+aux++=was
named ^vpsv++agls+xvbnx+=named
after ^in++++=after
her ^pp$+pp3+++=her,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
who ^whp+rel+subj++=who
was ^vbd+bedz+vrb++=was
at ^rb++++=at
school ^nn++++=school.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
had ^vb+hv+vrb++=had
a ^at++++=a
letter ^nn++++=letter
from ^in++++=from
her ^pp$+pp3+++=her
in ^in++++=in
his ^pp$+pp3+++=his
pocket ^nn++++=pocket
at ^rb++++=at
that ^dt+dem+++=that
moment ^nn++++=moment.
. ^zz++++=EXTRAWORD
So ^ql++++=So
he ^pp3a+pp3+++=he
drifted ^vbd+++xvbnx+=drifted
on ^in+strn+++=on.
. ^zz++++=EXTRAWORD
At ^rb++++=At
length ^rb"++++=length
one ^cd1++++=one
evening ^nn++++=evening
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
at ^rb++++=at
a ^at++++=a
reception ^nn+nom+++=reception
in ^in++++=in
a ^at++++=a
strange ^jj+atrb+++=strange
city ^nn++++=city
whither ^jjr++++=whither
his ^pp$+pp3+++=his
business ^nns+nom+++=business
had ^vbd+hvd+aux++=had
taken ^vprf+++xvbnx+=taken
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
The ^ati++++=The
rooms ^nns++++=rooms
were ^vbd+bed+aux++=were
filled ^vpsv++agls+xvbnx+=filled
with ^in++++=with
light ^nn++++=light
and ^cc++++=and
beauty ^nn++++=beauty.
. ^zz++++=EXTRAWORD
Floyd ^np+++??+=Floyd
was ^vbd+bedz+aux++=was
standing ^vbg+++xvbgx+=standing
chatting ^vbg+++xvbg+=chatting
with ^in++++=with
a ^at++++=a
child ^nn++++=child
of ^in++++=of
ten ^cd++++=ten
years ^nns++++=years,
, ^zz++++=EXTRAWORD
whom ^whp+rel+obj++=whom
he ^pp3a+pp3+++=he
found ^vbd+vprv++xvbnx+=found
standing ^vbg+++xvbg+=standing
in ^in++++=in
a ^at++++=a
corner ^nn++++=corner,
, ^zz++++=EXTRAWORD
gazing ^vbg+++xvbg+=gazing
out ^rp+pl+++=out
with ^in++++=with
wide ^jj+atrb+++=wide
questioning ^jj+atrb++xvbg+=questioning
eyes ^nns++++=eyes
on ^in++++=on
the ^ati++++=the
throng ^nn++++=throng.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
were ^vbd+bed+vrb++=were
friends ^nns++++=friends
instantly ^rb+cnj+++=instantly,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
he ^pp3a+pp3+++=he
was ^vbd+bedz+aux++=was
telling ^nvbg+++xvbg+=telling
her ^pp$+pp3+++=her
who ^whp+who+++=who
the ^ati++++=the
guests ^nns++++=guests
were ^vbd+bed+vrb++=were,
, ^zz++++=EXTRAWORD
as ^ql++++=as
they ^pp3a+pp3+++=they
came ^vbd+++xvbnx+=came
sailing ^nvbg+++xvbg+=sailing
in ^in+strn+++=in,
, ^zz++++=EXTRAWORD
giving ^jj+++xvbg+=giving
them ^pp3o+pp3+++=them
fictitious ^jj+atrb+++=fictitious
names ^nns++++=names
and ^cc++++=and
titles ^nns++++=titles.
. ^zz++++=EXTRAWORD
" ^zz++++="They
they ^pp3a+pp3+++=EXTRAWORD
are ^vb+ber+vrb++=are
all ^abn++++=all
queens ^npt++++=queens,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
told ^vbd+vpub+tht0+xvbnx+=told
her ^pp$+pp3+++=her,
, ^zz++++=EXTRAWORD
at ^in++++=at
which ^whp+rel+pied++=which
she ^pp3a+pp3+++=she
laughed ^vbd+++xvbnx+=laughed.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
pointed ^vbd+++xvbnx+=pointed
out ^rp+pl+++=out
a ^at++++=a
tall ^jj+atrb+++=tall
and ^cc+phrs+++=and
stately ^jj+atrb+++=stately
woman ^nn++++=woman
with ^in++++=with
a ^at++++=a
solemn ^jj+atrb+++=solemn
face ^nn++++=face,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
with ^in++++=with
a ^at++++=a
gleaming ^jj+atrb++xvbg+=gleaming
bodice ^nn++++=bodice
on ^in++++=on
like ^in++++=like
a ^at++++=a
cuirass ^nns+++??+=cuirass,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
her ^pp$+pp3+++=her
hair ^nn++++=hair
up ^rp++++=up
on ^rp++++=on
her ^pp3o+pp3+++=her
head ^jjb++++=head
like ^in++++=like
a ^at++++=a
casque ^nn+++??+=casque.
. ^zz++++=EXTRAWORD
" ^zz++++="Who
who ^whp+who+whq++=EXTRAWORD
is ^vbz+bez+aux++=is
that ^dt+pdem+++=that?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Queen
queen ^npt++++=EXTRAWORD
Semiramis ^np+++??+=Semiramis."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="And
and ^cc++++=EXTRAWORD
who ^whp+rel+subj++=who
is ^vbz+bez+vrb++=is
that ^dt+pdem+++=that?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
a ^at++++=a
stout ^jj+atrb+++=stout
lady ^npt++++=lady
with ^in++++=with
a ^at++++=a
tiara ^nn++++=tiara
of ^in++++=of
diamonds ^nns++++=diamonds,
, ^zz++++=EXTRAWORD
a ^at++++=a
red ^jj+atrb+++=red
face ^nn++++=face,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
three ^cd++++=three
feathers ^nns+nom+++=feathers.
. ^zz++++=EXTRAWORD
" ^zz++++="Queen
queen ^npt++++=EXTRAWORD
Victoria ^np++++=Victoria,
, ^zz++++=EXTRAWORD
of ^in+emph+++=of
course ^nn+emph"+++=course."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="And
and ^cc++++=EXTRAWORD
who ^whp+rel+subj++=who
am ^vb+bem+vrb++=am
I ^pp1a+pp1+++=I?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
placed ^vbd+++xvbnx+=placed
her ^pp$+pp3+++=her
little ^ap++++=little
hand ^nn++++=hand
on ^rp++++=on
her ^pp3o+pp3+++=her
breast ^nn++++=breast
with ^in++++=with
a ^at++++=a
pretty ^jj+atrb+++=pretty
gesture ^nn++++=gesture.
. ^zz++++=EXTRAWORD
" ^zz++++="The
the ^ati++++=EXTRAWORD
Queen ^nn++++=Queen
of ^in++++=of
Hearts ^nns++++=Hearts,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Floyd ^np+++??+=Floyd,
, ^zz++++=EXTRAWORD
quickly ^rb+cnj+++=quickly,
, ^zz++++=EXTRAWORD
at ^in++++=at
which ^whp+rel+pied++=which
she ^pp3a+pp3+++=she
laughed ^vbd+++xvbnx+=laughed
outright ^rb++++=outright.
. ^zz++++=EXTRAWORD
" ^zz++++="Oh!
oh ^uh++++=EXTRAWORD
! ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
must ^md+nec+++=must
not ^xnot++not++=not
laugh ^vb++++=laugh,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
said ^vbd+vpub++xvbnx+=said,
, ^zz++++=EXTRAWORD
checking ^vbg+++xvbg+=checking
herself ^ppl+pp3+++=herself
and ^cc++++=and
glancing ^vbg+++xvbg+=glancing
around ^in++++=around
her ^pp$+pp3+++=her
with ^in++++=with
a ^at++++=a
shocked ^nn++++=shocked
look ^vb++++=look.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
forgot ^vbd+vprv++xvbnx+=forgot."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
shall ^md+prd+++=shall.
. ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
you ^pp2+pp2+++=you
do ^vb+do+vrb++=don't,
n't ^xnot++not++0=EXTRAWORD
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
sha' ^nn+++??+=sha'n't
n't ^xnot++not++0=EXTRAWORD
know ^vb+vprv+++=know
who ^whp+wpr+whcl++=who
another ^ppls++++=another
queen ^npt++++=queen
is ^vbz+bez+vrb++=is."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="No,
no ^at++++=EXTRAWORD
, ^zz++++=EXTRAWORD
mamma ^npt++++=mamma
told ^vbd+vpub++xvbn+=told
me ^pp1o+pp1+++=me
I ^pp1a+pp1+++=I
must ^md+nec+++=must
not ^xnot++not++=not
make ^vb++++=make
a ^at++++=a
bit ^nn++++=bit
of ^in++++=of
noise ^nn++++=noise;
; ^zz++++=EXTRAWORD
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
not ^xnot++not++=not
style ^nn++++=style,
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
know ^vb+vprv+++=know,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
you ^pp2+pp2+++=you
must ^md+nec+++=mustn't
n't ^xnot++not++0=EXTRAWORD
be ^vb+be+vrb++=be
so ^ql+emph+++=so
funny ^jj++++=funny."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Good
good ^jj+atrb+++=EXTRAWORD
