Hans ^np++++=Hans
, ^zz++++=EXTRAWORD
had ^vb+hv+vrb++=had
long ^rb+cnj+++=long,
, ^zz++++=EXTRAWORD
bony ^jj+atrb+++=bony
fingers ^nns+nom+++=fingers,
, ^zz++++=EXTRAWORD
bushy ^jj++++=bushy,
, ^zz++++=EXTRAWORD
gray ^np++++=gray
eyebrows ^nns++++=eyebrows,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
over ^in++++=over
his ^pp$+pp3+++=his
left ^jj+atrb++xvbn+=left
eye ^nn++++=eye
hung ^vbd+++xvbn+=hung
a ^at++++=a
thick ^jj+atrb+++=thick
tuft ^nn+++??+=tuft
of ^in++++=of
hair ^nn++++=hair,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
did ^vbd+dod+aux++=did
not ^xnot++not++=not
look ^vb++++=look
handsome ^jj++++=handsome,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
made ^vbd+++xvbn+=made
his ^pp$+pp3+++=his
appearance ^nn+nom+++=appearance
very ^ql+amp+++=very
remarkable ^jj++++=remarkable.
. ^zz++++=EXTRAWORD
People ^nns++++=People
knew ^vbd+vprv++xvbn+=knew
that ^tht+vcmp+++=that
he ^pp3a+pp3+++=he
came ^vbd+++xvbnx+=came
from ^in+ppvb+++=from
Bremen ^np+++??+=Bremen;
; ^zz++++=EXTRAWORD
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
not ^xnot++not++=not
exactly ^rb++++=exactly
his ^pp$+pp3+++=his
home ^nr++++=home,
, ^zz++++=EXTRAWORD
although ^cs+con+++=although
his ^pp$+pp3+++=his
master ^npt++++=master
resided ^vbd+++xvbn+=resided
there ^rn+pl+++=there.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
ancestors ^nns++++=ancestors
were ^vbd+bed+vrb++=were
from ^in++++=from
Thuringia ^np+++??+=Thuringia,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
had ^vbd+hvd+aux++=had
lived ^vprf+++xvbnx+=lived
in ^in++++=in
the ^ati++++=the
town ^nn++++=town
of ^in++++=of
Eisenach ^np+++??+=Eisenach,
, ^zz++++=EXTRAWORD
close ^jj++++=close
by ^in++++=by
Wartburg ^np+++??+=Wartburg.
. ^zz++++=EXTRAWORD
Old ^jj+atrb+++=Old
Anthony ^np++++=Anthony
seldom ^rb++++=seldom
spoke ^vbd+++xvbn+=spoke
of ^in++++=of
this ^dt+dem+++=this
place ^nn++++=place,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
he ^pp3a+pp3+++=he
thought ^vbd+++xvbnx+=thought
of ^in++++=of
it ^pp3+it+++=it
all ^rb++++=all
the ^ati++++=the
more ^rbr++++=more.
. ^zz++++=EXTRAWORD
The ^ati++++=The
old ^jj+atrb+++=old
clerks ^nns++++=clerks
of ^in++++=of
Hauschen ^np+++??+=Hauschen
Street ^npl++++=Street
very ^ql+amp+++=very
seldom ^rb++++=seldom
met ^vbd+++xvbn+=met
together ^nn+nom+++=together;
; ^zz++++=EXTRAWORD
each ^dt++++=each
one ^cd1++++=one
remained ^vbd+++xvbn+=remained
in ^in++++=in
his ^pp$+pp3+++=his
own ^ap++++=own
booth ^nn++++=booth,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
was ^vbd+bedz+aux++=was
closed ^vpsv++agls+xvbnx+=closed
early ^jj++++=early
enough ^qlp++++=enough
in ^in++++=in
the ^ati++++=the
evening ^nn++++=evening,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
then ^rn+tm+++=then
it ^pp3+it+++=it
looked ^vbd+++xvbn+=looked
dark ^jj++++=dark
and ^cc+phrs+++=and
dismal ^jj++++=dismal
out ^rp+pl+++=out
in ^in++++=in
the ^ati++++=the
street ^nn++++=street.
. ^zz++++=EXTRAWORD
Only ^rb+down+++=Only
a ^at++++=a
faint ^jj+atrb+++=faint
glimmer ^nn++++=glimmer
of ^in++++=of
light ^nn++++=light
struggled ^vbd+++xvbn+=struggled
through ^in++++=through
the ^ati++++=the
horn ^nn++++=horn
panes ^nns++++=panes
in ^in++++=in
the ^ati++++=the
little ^jj+atrb+++=little
window ^nn++++=window
on ^in++++=on
the ^ati++++=the
roof ^nn++++=roof,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
within ^in++++=within
sat ^vbd+++xvbn+=sat
the ^ati++++=the
old ^jj+atrb+++=old
clerk ^nn++++=clerk,
, ^zz++++=EXTRAWORD
generally ^rb+down+++=generally
on ^in++++=on
his ^pp$+pp3+++=his
bed ^nn++++=bed,
, ^zz++++=EXTRAWORD
singing ^vbg+++xvbg+=singing
his ^pp$+pp3+++=his
evening ^nn++++=evening
hymn ^nn++++=hymn
in ^in++++=in
a ^at++++=a
low ^jj+atrb+++=low
voice ^nn++++=voice;
; ^zz++++=EXTRAWORD
or ^cc+cls+++=or
he ^pp3a+pp3+++=he
would ^md+prd+++=would
be ^vb+be+aux++=be
moving ^vbg+++xvbgx+=moving
about ^rb+phrv+++=about
in ^in++++=in
his ^pp$+pp3+++=his
booth ^nn++++=booth
till ^cs+sub+++=till
late ^jj++++=late
in ^in++++=in
the ^ati++++=the
night ^nn++++=night,
, ^zz++++=EXTRAWORD
busily ^rb++++=busily
employed ^vbd+++xvbn+=employed
in ^in++++=in
many ^ap++++=many
things ^nns++++=things.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
certainly ^rb++++=certainly
was ^vbd+bedz+vrb++=was
not ^xnot++not++=not
a ^at++++=a
very ^ql+amp+++=very
lively ^jj+atrb+++=lively
existence ^nn+nom+++=existence.
. ^zz++++=EXTRAWORD
To ^to++++=To
be ^vbi++vrb++=be
a ^at++++=a
stranger ^nn+nom+++=stranger
in ^in++++=in
a ^at++++=a
strange ^jj+atrb+++=strange
land ^nn++++=land
is ^vbz+bez+vrb++=is
a ^at++++=a
bitter ^jj+atrb+++=bitter
lot ^nn++++=lot;
; ^zz++++=EXTRAWORD
no ^at++++=no
one ^cd1++++=one
notices ^nns++++=notices
you ^pp2+pp2+++=you
unless ^cs+cnd+++=unless
you ^pp2+pp2+++=you
happen ^vb+++??+=happen
to ^to+vcmp+++=to
stand ^vbi++++=stand
in ^in++++=in
their ^pp$+pp3+++=their
way ^nn++++=way.
. ^zz++++=EXTRAWORD
Often ^rb+cnj+++=Often,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
dark ^jj+atrb+++=dark
night ^nn++++=night
outside ^jjb++++=outside,
, ^zz++++=EXTRAWORD
with ^in++++=with
rain ^nn++++=rain
or ^cc++++=or
snow ^nn++++=snow
falling ^vwbg+++xvbg+=falling,
, ^zz++++=EXTRAWORD
the ^ati++++=the
place ^nn++++=place
looked ^vbd+++xvbn+=looked
quite ^rb++++=quite
deserted ^vbd+++xvbn+=deserted
and ^cc++++=and
gloomy ^jj++++=gloomy.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
were ^vbd+bed+vrb++=were
no ^at++++=no
lamps ^nns++++=lamps
in ^in++++=in
the ^ati++++=the
street ^nn++++=street,
, ^zz++++=EXTRAWORD
excepting ^in++++=excepting
a ^at++++=a
very ^ql+amp+++=very
small ^jj+atrb+++=small
one ^pn++++=one,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
hung ^vbd+++xvbn+=hung
at ^rb++++=at
one ^cd1++++=one
end ^nn++++=end
of ^in++++=of
the ^ati++++=the
street ^nn++++=street,
, ^zz++++=EXTRAWORD
before ^in++++=before
a ^at++++=a
picture ^nn++++=picture
of ^in++++=of
the ^ati++++=the
Virgin ^nn++++=Virgin,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
painted ^vpsv++agls+xvbnx+=painted
on ^in++++=on
the ^ati++++=the
wall ^nn++++=wall.
. ^zz++++=EXTRAWORD
The ^ati++++=The
dashing ^nn++++=dashing
of ^in++++=of
the ^ati++++=the
water ^nn++++=water
against ^in++++=against
the ^ati++++=the
bulwarks ^nns+++??+=bulwarks
of ^in++++=of
a ^at++++=a
neighboring ^jj+atrb+++=neighboring
castle ^nn++++=castle
could ^md+pos+++=could
plainly ^rb++++=plainly
be ^vb+be+aux++=be
heard ^vpsv++agls+xvbnx+=heard.
. ^zz++++=EXTRAWORD
Such ^abl++++=Such
evenings ^nns++++=evenings
are ^vb+ber+vrb++=are
long ^rb++++=long
and ^cc++++=and
dreary ^jj++++=dreary,
, ^zz++++=EXTRAWORD
unless ^cs+cnd+++=unless
people ^nns++++=people
can ^md+pos+++=can
find ^vb+vprv+++=find
something ^pn++++=something
to ^to++++=to
do ^vbi++++=do;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
so ^ql++++=so
Anthony ^np++++=Anthony
found ^vbd+vprv++xvbn+=found
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
were ^vbd+bed+vrb++=were
not ^xnot++not++=not
always ^rb++++=always
things ^vb++++=things
to ^to++++=to
be ^vbi+vbi+aux++=be
packed ^vpsv++agls+xvbnx+=packed
or ^cc+phrs+++=or
unpacked ^xvbn+++xvbn+=unpacked,
, ^zz++++=EXTRAWORD
nor ^cc+cls+neg++=nor
paper ^nn++++=paper
bags ^nns++++=bags
to ^to++++=to
be ^vbi+vbi+aux++=be
made ^vpsv++agls+xvbnx+=made,
, ^zz++++=EXTRAWORD
nor ^cc+cls+neg++=nor
the ^ati++++=the
scales ^nns++++=scales
to ^to++++=to
be ^vbi++vrb++=be
polished ^jj+pred+++=polished.
. ^zz++++=EXTRAWORD
So ^ql++++=So
Anthony ^np++++=Anthony
invented ^vbd+++xvbn+=invented
employment ^nn+nom+++=employment;
; ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
mended ^vbd+++xvbnx+=mended
his ^pp$+pp3+++=his
clothes ^nns++++=clothes
and ^cc++++=and
patched ^jj++++=patched
his ^pp$+pp3+++=his
boots ^nns++++=boots,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
when ^wrb+who+++=when
he ^pp3a+pp3+++=he
at ^rb++++=at
last ^rb"++++=last
went ^vbd+++xvbn+=went
to ^in++++=to
bed ^nn++++=bed,
, ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
nightcap ^nn+++??+=nightcap,
, ^zz++++=EXTRAWORD
which ^whp+rel+obj++=which
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
worn ^vprf+++xvbnx+=worn
from ^in++++=from
habit ^nn++++=habit,
, ^zz++++=EXTRAWORD
still ^rb++++=still
remained ^vbd+++xvbn+=remained
on ^in++++=on
his ^pp$+pp3+++=his
head ^nn++++=head;
; ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
had ^vb+hv+vrb++=had
only ^rb+down+++=only
to ^to++++=to
pull ^vbi++++=pull
it ^pp3+it+++=it
down ^in++++=down
a ^rb++++=a
little ^rb"++++=little
farther ^rbr++++=farther
over ^in++++=over
his ^pp$+pp3+++=his
forehead ^nn++++=forehead.
. ^zz++++=EXTRAWORD
Very ^ql+amp+++=Very
soon ^rb+cnj+++=soon,
, ^zz++++=EXTRAWORD
however ^rb+cnj+++=however,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
would ^md+prd+++=would
be ^vb+be+aux++=be
pushed ^vpsv++agls+xvbnx+=pushed
up ^rp++++=up
again ^rb+tm+++=again
to ^to++++=to
see ^vbi+vprv+++=see
if ^cs+cnd+++=if
the ^ati++++=the
light ^nn++++=light
was ^vbd+bedz+aux++=was
properly ^rb++splt++=properly
put ^vpsv++agls+xvbnx+=put
out ^rb+phrv+++=out;
; ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
would ^md+prd+++=would
touch ^vb++++=touch
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
press ^nn++++=press
the ^ati++++=the
wick ^np++++=wick
together ^nn+nom+++=together,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
at ^rb++++=at
last ^rb"++++=last
pull ^vb++++=pull
his ^pp$+pp3+++=his
nightcap ^nn+++??+=nightcap
over ^in++++=over
his ^pp$+pp3+++=his
eyes ^nns++++=eyes
and ^cc++++=and
lie ^vb++++=lie
down ^rp++++=down
again ^rb+tm+++=again
on ^in++++=on
the ^ati++++=the
other ^ap++++=other
side ^nn++++=side.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
often ^rb++++=often
there ^ex+pex+++=there
would ^md+prd+++=would
arise ^vb++++=arise
in ^in++++=in
his ^pp$+pp3+++=his
mind ^nn++++=mind
a ^at++++=a
doubt ^nn++++=doubt
as ^in++++=as
to ^in"++++=to
whether ^cs+who+++=whether
every ^at++++=every
coal ^nn++++=coal
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
quite ^abl++++=quite
put ^vbd+++xvbn+=put
out ^rb+phrv+++=out
in ^in++++=in
the ^ati++++=the
little ^rb++++=little
fire ^nn++++=fire-pan
- ^zz++++=EXTRAWORD
pan ^vb++++=EXTRAWORD
in ^in++++=in
the ^ati++++=the
shop ^nn++++=shop
below ^in+strn+++=below.
. ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
even ^rb++++=even
a ^at++++=a
tiny ^jj+atrb+++=tiny
spark ^nn++++=spark
had ^vbd+hvd+aux++=had
remained ^vprf+++xvbnx+=remained
it ^pp3+it+++=it
might ^md+pos+++=might
set ^vbd+++xvbn+=set
fire ^nn++++=fire
to ^in++++=to
something ^pn++++=something,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
cause ^nn++++=cause
great ^jj+atrb+++=great
damage ^nn++++=damage.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
he ^pp3a+pp3+++=he
would ^md+prd+++=would
rise ^vb++++=rise
from ^in++++=from
his ^pp$+pp3+++=his
bed ^nn++++=bed,
, ^zz++++=EXTRAWORD
creep ^vb++++=creep
down ^in++++=down
the ^ati++++=the
ladder ^nn++++=ladder
for ^in++++=for
it ^pp3+it+++=it
could ^md+pos+++=could
scarcely ^rb+down+++=scarcely
be ^vb+be+aux++=be
called ^vpsv++agls+xvbnx+=called
a ^at++++=a
flight ^nn++++=flight
of ^in++++=of
stairs ^nns++++=stairs
and ^cc+cls+++=and
when ^wrb+who+++=when
he ^pp3a+pp3+++=he
reached ^vbd+++xvbnx+=reached
the ^ati++++=the
fire ^nn++++=fire-pan
- ^zz++++=EXTRAWORD
pan ^vb++++=EXTRAWORD
not ^xnot++not++=not
a ^at++++=a
spark ^nn++++=spark
could ^md+pos+++=could
be ^vb+be+aux++=be
seen ^vpsv++agls+xvbnx+=seen;
; ^zz++++=EXTRAWORD
so ^ql++++=so
he ^pp3a+pp3+++=he
had ^vb+hv+vrb++=had
just ^rb+emph+++=just
to ^to++++=to
go ^vbi++++=go
back ^jjb++++=back
again ^rb+tm+++=again
to ^in++++=to
bed ^nn++++=bed.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
often ^rb+cnj+++=often,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
got ^vprf+++xvbnx+=got
half ^rb++++=half
way ^rb"++++=way
back ^jjb++++=back,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
would ^md+prd+++=would
fancy ^vb+vprv+++=fancy
the ^ati++++=the
iron ^nn++++=iron
shutters ^nns+nom+++=shutters
of ^in++++=of
the ^ati++++=the
door ^nn++++=door
were ^vbd+bed+aux++=were
not ^xnot++not++=not
properly ^rb++++=properly
fastened ^vbd+++xvbn+=fastened,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
his ^pp$+pp3+++=his
thin ^jj+atrb+++=thin
legs ^nns++++=legs
would ^md+prd+++=would
carry ^vb++++=carry
him ^pp3o+pp3+++=him
down ^in++++=down
again ^rb+tm+++=again.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
when ^wrb+who+++=when
at ^rb++++=at
last ^rb"++++=last
he ^pp3a+pp3+++=he
crept ^vbd+++xvbnx+=crept
into ^in++++=into
bed ^nn++++=bed,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
would ^md+prd+++=would
be ^vb+be+vrb++=be
so ^ql+emph+++=so
cold ^jj++++=cold
that ^dt+dem+++=that
his ^pp$+pp3+++=his
teeth ^nns++++=teeth
chattered ^vbd+++xvbn+=chattered
in ^in++++=in
his ^pp$+pp3+++=his
head ^nn++++=head.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
would ^md+prd+++=would
draw ^vb++++=draw
the ^ati++++=the
coverlet ^nn+nom+++=coverlet
closer ^rbr++++=closer
round ^rp++++=round
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
pull ^vb++++=pull
his ^pp$+pp3+++=his
nightcap ^nn+++??+=nightcap
over ^in++++=over
his ^pp$+pp3+++=his
eyes ^nns++++=eyes,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
try ^vb++++=try
to ^to+vcmp+++=to
turn ^vbi++++=turn
his ^pp$+pp3+++=his
thoughts ^nns++++=thoughts
from ^in++++=from
trade ^nn++++=trade,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
from ^in++++=from
the ^ati++++=the
labors ^nns++++=labors
of ^in++++=of
the ^ati++++=the
day ^nn++++=day,
, ^zz++++=EXTRAWORD
to ^in++++=to
olden ^jj+atrb+++=olden
times ^nns++++=times.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
this ^dt+pdem+++=this
was ^vbd+bedz+vrb++=was
scarcely ^rb+down+++=scarcely
an ^at++++=an
agreeable ^jj+atrb+++=agreeable
entertainment ^nn+nom+++=entertainment;
; ^zz++++=EXTRAWORD
for ^in++++=for
thoughts ^nns++++=thoughts
of ^in++++=of
olden ^jj+atrb+++=olden
memories ^nns++++=memories
raise ^vb++++=raise
the ^ati++++=the
curtains ^nns++++=curtains
from ^in++++=from
the ^ati++++=the
past ^jjb++++=past,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
sometimes ^rb++++=sometimes
pierce ^vb++++=pierce
the ^ati++++=the
heart ^nn++++=heart
with ^in++++=with
painful ^jj+atrb+++=painful
recollections ^nns+nom+++=recollections
till ^in++++=till
the ^ati++++=the
agony ^nn++++=agony
brings ^vbz++++=brings
tears ^nns++++=tears
to ^in++++=to
the ^ati++++=the
waking ^jj+atrb++xvbg+=waking
eyes ^nns++++=eyes.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
so ^ql++++=so
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
with ^in++++=with
Anthony ^np++++=Anthony;
; ^zz++++=EXTRAWORD
often ^rb++++=often
the ^ati++++=the
scalding ^jj+atrb+++=scalding
tears ^nns++++=tears,
, ^zz++++=EXTRAWORD
like ^in++++=like
pearly ^jj+atrb+++=pearly
drops ^nns++++=drops,
, ^zz++++=EXTRAWORD
would ^md+prd+++=would
fall ^vb++++=fall
from ^in++++=from
his ^pp$+pp3+++=his
eyes ^nns++++=eyes
to ^in++++=to
the ^ati++++=the
coverlet ^nn+nom+++=coverlet
and ^cc++++=and
roll ^nn++++=roll
on ^in++++=on
the ^ati++++=the
floor ^nn++++=floor
with ^in++++=with
a ^at++++=a
sound ^nn++++=sound
as ^cs+sub+++=as
if ^cs+cnd+++=if
one ^pn++++=one
of ^in++++=of
his ^pp$+pp3+++=his
heartstrings ^nns+++??+=heartstrings
had ^vbd+hvd+aux++=had
broken ^vprf+++xvbnx+=broken.
. ^zz++++=EXTRAWORD
Sometimes ^rb+cnj+++=Sometimes,
, ^zz++++=EXTRAWORD
with ^in++++=with
a ^at++++=a
lurid ^jj+atrb+++=lurid
flame ^nn++++=flame,
, ^zz++++=EXTRAWORD
memory ^nn++++=memory
would ^md+prd+++=would
light ^vb++++=light
up ^rp++++=up
a ^at++++=a
picture ^nn++++=picture
of ^in++++=of
life ^nn++++=life
which ^whp+rel+subj++=which
had ^vb+hv+aux++=had
never ^rb++splt++=never
faded ^vprf+++xvbnx+=faded
from ^in++++=from
his ^pp$+pp3+++=his
heart ^nn++++=heart.
. ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
he ^pp3a+pp3+++=he
dried ^vbd+++xvbnx+=dried
his ^pp$+pp3+++=his
eyes ^nns++++=eyes
with ^in++++=with
his ^pp$+pp3+++=his
nightcap ^nn+++??+=nightcap,
, ^zz++++=EXTRAWORD
then ^rn+tm+++=then
the ^ati++++=the
tear ^nn++++=tear
and ^cc++++=and
the ^ati++++=the
picture ^nn++++=picture
would ^md+prd+++=would
be ^vb+be+aux++=be
crushed ^vpsv++agls+xvbnx+=crushed;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
the ^ati++++=the
source ^nn++++=source
of ^in++++=of
the ^ati++++=the
tears ^nns++++=tears
remained ^vbd+++xvbn+=remained
and ^cc+phrs+++=and
welled ^vbd+++xvbn+=welled
up ^rp++++=up
again ^rb+tm+++=again
in ^in++++=in
his ^pp$+pp3+++=his
heart ^nn++++=heart.
. ^zz++++=EXTRAWORD
The ^ati++++=The
pictures ^nns++++=pictures
did ^vbd+dod+aux++=did
not ^xnot++not++=not
follow ^vb+vprv+++=follow
one ^cd1++++=one
another ^dt++++=another
in ^in++++=in
order ^nn++++=order,
, ^zz++++=EXTRAWORD
as ^in++++=as
the ^ati++++=the
circumstances ^nns+nom+++=circumstances
they ^pp3a+pp3+++=they
represented ^vbd+++xvbnx+=represented
had ^vbd+hvd+aux++=had
occurred ^vprf+++xvbnx+=occurred;
; ^zz++++=EXTRAWORD
very ^ql+amp+++=very
often ^rb++++=often
the ^ati++++=the
most ^ql+emph+++=most
painful ^jj++++=painful
would ^md+prd+++=would
come ^vb++++=come
together ^nn+nom+++=together,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
when ^wrb+who+++=when
those ^dt+pdem+++=those
came ^vbd+++xvbn+=came
which ^whp+who+++=which
were ^vbd+bed+vrb++=were
most ^ql+emph+++=most
full ^jj++++=full
of ^in++++=of
joy ^nn++++=joy,
, ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
had ^vb+hv+vrb++=had
always ^rb++++=always
the ^ati++++=the
deepest ^jjt+atrb+++=deepest
shadow ^nn++++=shadow
thrown ^vwbn+++xvbn+=thrown
upon ^in++++=upon
them ^pp3o+pp3+++=them.
. ^zz++++=EXTRAWORD
The ^ati++++=The
beech ^np++++=beech
woods ^nns++++=woods
of ^in++++=of
Denmark ^np++++=Denmark
are ^vb+ber+aux++=are
acknowledged ^vpsv++by+xvbnx+=acknowledged
by ^in++++=by
every ^at++++=every
one ^cd1++++=one
to ^to++++=to
be ^vbi++vrb++=be
very ^ql+amp+++=very
beautiful ^jj++++=beautiful,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
more ^rbr++++=more
beautiful ^jj++++=beautiful
still ^rb++++=still
in ^in++++=in
the ^ati++++=the
eyes ^nns++++=eyes
of ^in++++=of
old ^jj+atrb+++=old
Anthony ^np++++=Anthony
were ^vbd+bed+vrb++=were
the ^ati++++=the
beech ^np++++=beech
woods ^nns++++=woods
in ^in++++=in
the ^ati++++=the
neighborhood ^nn+nom+++=neighborhood
of ^in++++=of
Wartburg ^np+++??+=Wartburg.
. ^zz++++=EXTRAWORD
More ^rbr++++=More
grand ^jj++++=grand
and ^cc+phrs+++=and
venerable ^jj++++=venerable
to ^in++++=to
him ^pp3o+pp3+++=him
seemed ^vbd+seem++xvbn+=seemed
the ^ati++++=the
old ^jj+atrb+++=old
oaks ^nns++++=oaks
around ^rp++++=around
the ^ati++++=the
proud ^jj+atrb+++=proud
baronial ^jj+atrb+++=baronial
castle ^nn++++=castle,
, ^zz++++=EXTRAWORD
where ^wrb+who+++=where
the ^ati++++=the
creeping ^jj+atrb++xvbg+=creeping
plants ^nns++++=plants
hung ^vbd+++xvbn+=hung
over ^in++++=over
the ^ati++++=the
stony ^jj+atrb+++=stony
summits ^nns+++??+=summits
of ^in++++=of
the ^ati++++=the
rocks ^nns++++=rocks;
; ^zz++++=EXTRAWORD
sweeter ^jjr++++=sweeter
was ^vbd+bedz+vrb++=was
the ^ati++++=the
perfume ^nn++++=perfume
there ^rn+pl+++=there
of ^in++++=of
the ^ati++++=the
apple ^nn++++=apple-blossom
- ^zz++++=EXTRAWORD
blossom ^vb++++=EXTRAWORD
than ^in++++=than
in ^in++++=in
all ^abn++++=all
the ^ati++++=the
land ^nn++++=land
of ^in++++=of
Denmark ^np++++=Denmark.
. ^zz++++=EXTRAWORD
How ^wrb+who+++=How
vividly ^rb++++=vividly
were ^vbd+bed+aux++=were
represented ^vpsv++agls+xvbnx+=represented
to ^in++++=to
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
in ^in++++=in
a ^at++++=a
glittering ^jj+atrb+++=glittering
tear ^nn++++=tear
that ^tht+rel+++=that
rolled ^jj+++xvbn+=rolled
down ^rp++++=down
his ^pp$+pp3+++=his
cheek ^nn++++=cheek,
, ^zz++++=EXTRAWORD
two ^cd++++=two
children ^nns++++=children
at ^rb++++=at
play ^nn++++=play
a ^at++++=a
boy ^nn++++=boy
and ^cc++++=and
a ^at++++=a
girl ^nn++++=girl.
. ^zz++++=EXTRAWORD
The ^ati++++=The
boy ^nn++++=boy
had ^vb+hv+vrb++=had
rosy ^jj+atrb+++=rosy
cheeks ^nns++++=cheeks,
, ^zz++++=EXTRAWORD
golden ^jj+atrb+++=golden
ringlets ^nns+nom+++=ringlets,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
clear ^jj+atrb+++=clear,
, ^zz++++=EXTRAWORD
blue ^jj+atrb+++=blue
eyes ^nns++++=eyes;
; ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
the ^ati++++=the
son ^nn++++=son
of ^in++++=of
Anthony ^np++++=Anthony,
, ^zz++++=EXTRAWORD
a ^at++++=a
rich ^jj+atrb+++=rich
merchant ^nn+nom+++=merchant;
; ^zz++++=EXTRAWORD
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
himself ^ppl+pp3+++=himself.
. ^zz++++=EXTRAWORD
The ^ati++++=The
little ^jj+atrb+++=little
girl ^nn++++=girl
had ^vb+hv+vrb++=had
brown ^jj+atrb+++=brown
eyes ^nns++++=eyes
and ^cc++++=and
black ^jj+atrb+++=black
hair ^nn++++=hair,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
was ^vbd+bedz+vrb++=was
clever ^jj+pred+++=clever
and ^cc+phrs+++=and
courageous ^jj++++=courageous;
; ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
was ^vbd+bedz+vrb++=was
the ^ati++++=the
mayor ^nn++++=mayor's
's ^$++++=EXTRAWORD
daughter ^nn+nom+++=daughter,
, ^zz++++=EXTRAWORD
Molly ^np++++=Molly.
. ^zz++++=EXTRAWORD
The ^ati++++=The
children ^nns++++=children
were ^vbd+bed+aux++=were
playing ^vbg+++xvbgx+=playing
with ^in++++=with
an ^at++++=an
apple ^nn++++=apple;
; ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
shook ^vbd+++xvbnx+=shook
the ^ati++++=the
apple ^nn++++=apple,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
heard ^vbd+vprv++xvbn+=heard
the ^ati++++=the
pips ^nns++++=pips
rattling ^jj++++=rattling
in ^in++++=in
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
they ^pp3a+pp3+++=they
cut ^vbd+++xvbnx+=cut
it ^pp3+it+++=it
in ^in++++=in
two ^cd++++=two,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
