Rosicrucian ^np+++??+=Rosicrucian
Also ^rb+cnj+++=Also,
, ^zz++++=EXTRAWORD
the ^ati++++=the
private ^jj+atrb+++=private
allowances ^nns+nom+++=allowances
to ^in+vcmp+++=to
various ^jj+atrb+++=various
queer ^jj+atrb+++=queer
people ^nns++++=people
are ^vb+ber+vrb++=are
not ^xnot++not++=not
exactly ^rb++++=exactly
matters ^nns+nom+++=matters
to ^to++++=to
put ^vbi++++=put
into ^in++++=into
newspapers ^nns+nom+++=newspapers,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
they ^pp3a+pp3+++=they
give ^vb++++=give
quaint ^jj++++=quaint
reading ^jj+++xvbg+=reading
sometimes ^rb++++=sometimes.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
the ^ati++++=the
Supreme ^jj+atrb+++=Supreme
Government ^nn+nom+++=Government
is ^vbz+bez+vrb++=is
at ^in++++=at
Simla ^np+++??+=Simla,
, ^zz++++=EXTRAWORD
these ^dt+dem+++=these
papers ^nns++++=papers
are ^vb+ber+aux++=are
prepared ^vpsv++agls+xvbnx+=prepared
there ^rn+pl+++=there,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
go ^vb++++=go
round ^rb++++=round
to ^in++++=to
the ^ati++++=the
people ^nns++++=people
who ^whp+rel+subj++=who
ought ^md"+nec+pmd"++=ought
to ^md+nec+++=to
see ^vb+vprv+++=see
them ^pp3o+pp3+++=them
in ^in++++=in
officeboxes ^nns+++??+=officeboxes
or ^cc++++=or
by ^in++++=by
post ^nn++++=post.
. ^zz++++=EXTRAWORD
The ^ati++++=The
principle ^nn++++=principle
of ^in++++=of
secrecy ^nn++++=secrecy
was ^vbd+bedz+vrb++=was
to ^in++++=to
that ^dt+dem+++=that
Viceroy ^npt++++=Viceroy
quite ^abl++++=quite
as ^ql++++=as
important ^jj++++=important
as ^in++++=as
the ^ati++++=the
practice ^nn++++=practice,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
he ^pp3a+pp3+++=he
held ^vbd+vprv++xvbnx+=held
that ^tht+vcmp+++=that
a ^at++++=a
benevolent ^jj+atrb+++=benevolent
despotism ^nn+nom+++=despotism
like ^in++++=like
Ours ^pp$$++++=Ours
should ^md+nec+++=should
never ^rb++splt++=never
allow ^vb++++=allow
even ^rb++++=even
little ^ap++++=little
things ^nns++++=things,
, ^zz++++=EXTRAWORD
such ^abl++++=such
as ^ql++++=as
appointments ^nns+nom+++=appointments
of ^in++++=of
subordinate ^jj+atrb+++=subordinate
clerks ^nns++++=clerks,
, ^zz++++=EXTRAWORD
to ^in++++=to
leak ^nn++++=leak
out ^rp+pl+++=out
till ^in++++=till
the ^ati++++=the
proper ^jj+atrb+++=proper
time ^nn++++=time.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+vrb++=was
always ^rb++++=always
remarkable ^jj+pred+++=remarkable
for ^in++++=for
his ^pp$+pp3+++=his
principles ^nns++++=principles.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
was ^vbd+bedz+vrb++=was
a ^at++++=a
very ^ql+amp+++=very
important ^jj+atrb+++=important
batch ^nn++++=batch
of ^in++++=of
papers ^nns++++=papers
in ^in++++=in
preparation ^nn+nom+++=preparation
at ^rb++++=at
that ^dt+dem+++=that
time ^nn++++=time.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
had ^md"++pmd"++=had
to ^md+nec+++=to
travel ^vb++++=travel
from ^in++++=from
one ^cd1++++=one
end ^nn++++=end
of ^in++++=of
Simla ^np+++??+=Simla
to ^in++++=to
the ^ati++++=the
other ^ap++++=other
by ^in++++=by
hand ^nn++++=hand.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+aux++=was
not ^xnot++not++=not
put ^vb+++xvbn+=put
into ^in++++=into
an ^at++++=an
official ^jj+atrb+++=official
envelope ^nn++++=envelope,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
a ^at++++=a
large ^jj++++=large,
, ^zz++++=EXTRAWORD
square ^nn++++=square,
, ^zz++++=EXTRAWORD
pale ^jj++++=pale-pink
- ^zz++++=EXTRAWORD
pink ^jj+atrb+++=EXTRAWORD
one ^pn++++=one;
; ^zz++++=EXTRAWORD
the ^ati++++=the
matter ^nn++++=matter
being ^vwbg+beg++xvbg+=being
in ^in++++=in
Ms ^nn++++=MS.
. ^zz++++=EXTRAWORD
on ^in++++=on
soft ^jj+atrb+++=soft
crinkley ^nn+++??+=crinkley
paper ^nn++++=paper.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+aux++=was
addressed ^vpsv++agls+xvbnx+=addressed
to ^to++++=to
" ^zz++++="The
the ^ati++++=EXTRAWORD
Head ^jjb+atrb+++=Head
Clerk ^nn++++=Clerk,
, ^zz++++=EXTRAWORD
etc ^rb++++=etc.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
etc ^rb++++=etc."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Now ^rn+tm+++=Now,
, ^zz++++=EXTRAWORD
between ^in++++=between
" ^zz++++="The
the ^ati++++=EXTRAWORD
Head ^jjb+atrb+++=Head
Clerk ^nn++++=Clerk,
, ^zz++++=EXTRAWORD
etc ^rb++++=etc.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
etc. ^nn+++??+=etc.,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
and ^cc++++=and
" ^zz++++="Mrs.
mrs ^npt++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Hauksbee ^np+nom+++=Hauksbee"
" ^zz++++=EXTRAWORD
and ^cc++++=and
a ^at++++=a
flourish ^nn++++=flourish,
, ^zz++++=EXTRAWORD
is ^vbz+bez+vrb++=is
no ^at++++=no
very ^ql+amp+++=very
great ^np++++=great
difference ^nn+nom+++=difference
if ^cs+cnd+++=if
the ^ati++++=the
address ^nns+nom+++=address
be ^vb+be+aux++=be
written ^vpsv++agls+xvbnx+=written
in ^in++++=in
a ^at++++=a
very ^ql+amp+++=very
bad ^jj+atrb+++=bad
hand ^nn++++=hand,
, ^zz++++=EXTRAWORD
as ^ql++++=as
this ^dt+pdem+++=this
was ^vbd+bedz+vrb++=was.
. ^zz++++=EXTRAWORD
The ^ati++++=The
chaprassi ^nn+++??+=chaprassi
who ^whp+rel+subj++=who
took ^vbd+++xvbn+=took
the ^ati++++=the
envelope ^nn++++=envelope
was ^vbd+bedz+vrb++=was
not ^xnot++not++=not
more ^rbr++++=more
of ^in++++=of
an ^at++++=an
idiot ^nn++++=idiot
than ^in++++=than
most ^ql+emph+++=most
chaprassis ^vbz+++??+=chaprassis.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
merely ^rb+down+++=merely
forgot ^vbd+vprv++xvbn+=forgot
where ^wrb+who+whcl++=where
this ^dt+dem+++=this
most ^ql+emph+++=most
unofficial ^jj+atrb+++=unofficial
cover ^nn++++=cover
was ^vbd+bedz+aux++=was
to ^to++++=to
be ^vbi+vbi+aux++=be
delivered ^vpsv++agls+xvbnx+=delivered,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
so ^ql+emph+++=so
asked ^jj+++xvbn+=asked
the ^ati++++=the
first ^od++++=first
Englishman ^nn+nom+++=Englishman
he ^pp3a+pp3+++=he
met ^vbd+++xvbnx+=met,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
happened ^vbd+++xvbn+=happened
to ^to+vcmp+++=to
be ^vbi++vrb++=be
a ^at++++=a
man ^nn++++=man
riding ^vwbg+++xvbg+=riding
down ^rp++++=down
to ^in++++=to
Annandale ^np+++??+=Annandale
in ^in++++=in
a ^at++++=a
great ^jj+atrb+++=great
hurry ^np++++=hurry.
. ^zz++++=EXTRAWORD
The ^ati++++=The
Englishman ^nn+nom+++=Englishman
hardly ^rb+down+++=hardly
looked ^vbd+++xvbn+=looked,
, ^zz++++=EXTRAWORD
said ^j+++xvbn+=said:
: ^zz++++=EXTRAWORD
" ^zz++++="Hauksbee
hauksbee ^nn+nom+++=EXTRAWORD
Sahib ^np+++??+=Sahib
ki ^nn+++??+=ki
Mem ^np+++??+=Mem,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
and ^cc++++=and
went ^vpsv++agls+xvbn+=went
on ^in+strn+++=on.
. ^zz++++=EXTRAWORD
So ^ql++++=So
did ^vbd+dod+vrb++=did
the ^ati++++=the
chaprasss ^nns+++??+=chaprasss,
, ^zz++++=EXTRAWORD
because ^cs+cos+++=because
that ^dt+dem+++=that
letter ^nn++++=letter
was ^vbd+bedz+vrb++=was
the ^ati++++=the
last ^ap++++=last
in ^in++++=in
stock ^nn++++=stock
and ^cc++++=and
he ^pp3a+pp3+++=he
wanted ^vbd+++xvbnx+=wanted
to ^to+vcmp+++=to
get ^vbi++++=get
his ^pp$+pp3+++=his
work ^nn++++=work
over ^in+strn+++=over.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
was ^vbd+bedz+vrb++=was
no ^at++++=no
book ^nn++++=book
to ^in++++=to
sign ^nn++++=sign;
; ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
thrust ^vbd+++xvbnx+=thrust
the ^ati++++=the
letter ^nn++++=letter
into ^in++++=into
Mrs ^npt++++=Mrs.
. ^zz++++=EXTRAWORD
Hauksbee ^np+nom+++=Hauksbee's
's ^$++++=EXTRAWORD
bearer ^nn++++=bearer's
's ^$++++=EXTRAWORD
hands ^nns++++=hands
and ^cc++++=and
went ^vbd+++xvbn+=went
off ^rp+pl+++=off
to ^in++++=to
smoke ^nn++++=smoke
with ^in++++=with
a ^at++++=a
friend ^nn++++=friend.
. ^zz++++=EXTRAWORD
Mrs ^npt++++=Mrs.
. ^zz++++=EXTRAWORD
Hauksbee ^np+nom+++=Hauksbee
was ^vbd+bedz+aux++=was
expecting ^vbg+vprv++xvbgx+=expecting
some ^dti++++=some
cut ^vbd+++xvbn+=cut-out
- ^zz++++=EXTRAWORD
out ^rp+pl+++=EXTRAWORD
pattern ^nn++++=pattern
things ^nns++++=things
in ^in++++=in
flimsy ^jj+atrb+++=flimsy
paper ^nn++++=paper
from ^in++++=from
a ^at++++=a
friend ^nn++++=friend.
. ^zz++++=EXTRAWORD
As ^ql++++=As
soon ^rb+tm+++=soon
as ^ql++++=as
she ^pp3a+pp3+++=she
got ^vbd+++xvbnx+=got
the ^ati++++=the
big ^jj+atrb+++=big
square ^nn++++=square
packet ^nn++++=packet,
, ^zz++++=EXTRAWORD
therefore ^rb+cnj+++=therefore,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
said ^vbd+vpub++xvbnx+=said,
, ^zz++++=EXTRAWORD
" ^zz++++="Oh,
oh ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
the ^ati++++=the
Dear ^jj+atrb+++=DEAR
creature ^nn++++=creature!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
and ^cc++++=and
tore ^vbd+++xvbn+=tore
it ^pp3+it+++=it
open ^jj++++=open
with ^in++++=with
a ^at++++=a
paper ^nn++++=paper-knife,
- ^zz++++=EXTRAWORD
knife ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
all ^rb++++=all
the ^ati++++=the
Ms ^nn++++=MS.
. ^zz++++=EXTRAWORD
enclosures ^nns++++=enclosures
tumbled ^vbd+++xvbn+=tumbled
out ^rp+pl+++=out
on ^in++++=on
the ^ati++++=the
floor ^nn++++=floor.
. ^zz++++=EXTRAWORD
Mrs ^npt++++=Mrs.
. ^zz++++=EXTRAWORD
Hauksbee ^np+nom+++=Hauksbee
began ^vbd+++xvbn+=began
reading ^nvbg+++xvbg+=reading.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
have ^vb+hv+aux++=have
said ^vprf++tht0+xvbnx+=said
the ^ati++++=the
batch ^nn++++=batch
was ^vbd+bedz+vrb++=was
rather ^rb++++=rather
important ^jj+pred+++=important.
. ^zz++++=EXTRAWORD
That ^dt+pdem+++=That
is ^vbz+bez+vrb++=is
quite ^abl++++=quite
enough ^qlp++++=enough
for ^in++++=for
you ^pp2+pp2+++=you
to ^to++++=to
know ^vbi+vprv+++=know.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
referred ^vbd+++xvbn+=referred
to ^in++++=to
some ^dti++++=some
correspondence ^nn+nom+++=correspondence,
, ^zz++++=EXTRAWORD
two ^cd++++=two
measures ^nns++++=measures,
, ^zz++++=EXTRAWORD
a ^at++++=a
peremptory ^jj+atrb+++=peremptory
order ^vb++++=order
to ^to+vcmp+++=to
a ^at++++=a
native ^jj++++=native
chief ^jjb++++=chief
and ^cc++++=and
two ^cd++++=two
dozen ^cd++++=dozen
other ^ap++++=other
things ^nns++++=things.
. ^zz++++=EXTRAWORD
Mrs ^npt++++=Mrs.
. ^zz++++=EXTRAWORD
Hauksbee ^np+nom+++=Hauksbee
gasped ^vbd+++xvbn+=gasped
as ^ql++++=as
she ^pp3a+pp3+++=she
read ^vbd+vprv++xvbnx+=read,
, ^zz++++=EXTRAWORD
for ^in++++=for
the ^ati++++=the
first ^od++++=first
glimpse ^vb++++=glimpse
of ^in++++=of
the ^ati++++=the
naked ^jj+atrb+++=naked
machinery ^nn+nom+++=machinery
of ^in++++=of
the ^ati++++=the
Great ^jj+atrb+++=Great
Indian ^jj+atrb+++=Indian
Government ^nn+nom+++=Government,
, ^zz++++=EXTRAWORD
stripped ^j+++xvbn+=stripped
of ^in++++=of
its ^pp$+it+++=its
casings ^nns+++??+=casings,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
lacquer ^jjr++++=lacquer,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
paint ^nn++++=paint,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
guard ^nn++++=guard-rails,
- ^zz++++=EXTRAWORD
rails ^nns++++=EXTRAWORD
, ^zz++++=EXTRAWORD
impresses ^nns+nom++??+=impresses
even ^rb++++=even
the ^ati++++=the
most ^ql+emph+++=most
stupid ^jj+atrb+++=stupid
man ^nn++++=man.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
Mrs ^npt++++=Mrs.
. ^zz++++=EXTRAWORD
Hauksbee ^np+nom+++=Hauksbee
was ^vbd+bedz+vrb++=was
a ^at++++=a
clever ^jj+atrb+++=clever
woman ^nn++++=woman.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
was ^vbd+bedz+vrb++=was
a ^rb++++=a
little ^rb"++++=little
afraid ^jj++++=afraid
at ^rb++++=at
first ^rb"++++=first,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
felt ^vbd+vprv++xvbn+=felt
as ^cs+sub+++=as
if ^cs+cnd+++=if
she ^pp3a+pp3+++=she
had ^vbd+hvd+aux++=had
laid ^vprf+++xvbnx+=laid
hold ^nn++++=hold
of ^in++++=of
a ^at++++=a
lightning ^nn++++=lightning-flash
- ^zz++++=EXTRAWORD
flash ^nn++++=EXTRAWORD
by ^in++++=by
the ^ati++++=the
tail ^nn++++=tail,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
did ^vbd+dod+aux++=did
not ^xnot++not++=not
quite ^rb++++=quite
know ^vb+vprv+++=know
what ^wdt+who+whcl++=what
to ^to++++=to
do ^vbi++++=do
with ^in++++=with
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
were ^vbd+bed+vrb++=were
remarks ^nns++++=remarks
and ^cc++++=and
initials ^nns+nom+++=initials
at ^in++++=at
the ^ati++++=the
side ^nn++++=side
of ^in++++=of
the ^ati++++=the
papers ^nns++++=papers;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
some ^dti++++=some
of ^in++++=of
the ^ati++++=the
remarks ^nns++++=remarks
were ^vbd+bed+vrb++=were
rather ^rb++++=rather
more ^rbr++++=more
severe ^jj++++=severe
than ^in++++=than
the ^ati++++=the
papers ^nns++++=papers.
. ^zz++++=EXTRAWORD
The ^ati++++=The
initials ^nns+nom+++=initials
belonged ^vbd+++xvbn+=belonged
to ^in++++=to
men ^nns++++=men
who ^whp+rel+subj++=who
are ^vb+ber+vrb++=are
all ^abn++++=all
dead ^jj++++=dead
or ^cc++++=or
gone ^xvbn+++xvbn+=gone
now ^rn+tm+++=now;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
they ^pp3a+pp3+++=they
were ^vbd+bed+vrb++=were
great ^jj+pred+++=great
in ^in++++=in
their ^pp$+pp3+++=their
day ^nn++++=day.
. ^zz++++=EXTRAWORD
Mrs ^npt++++=Mrs.
. ^zz++++=EXTRAWORD
Hauksbee ^np+nom+++=Hauksbee
read ^vbd+vprv++xvbn+=read
on ^in++++=on
and ^cc++++=and
thought ^nn+++xvbn+=thought
calmly ^rb++++=calmly
as ^ql++++=as
she ^pp3a+pp3+++=she
read ^vbd+vprv++xvbnx+=read.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
the ^ati++++=the
value ^nn++++=value
of ^in++++=of
her ^pp$+pp3+++=her
trove ^nn+++??+=trove
struck ^vbd+++xvbn+=struck
her ^pp$+pp3+++=her,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
she ^pp3a+pp3+++=she
cast ^vbd+++xvbnx+=cast
about ^in++++=about
for ^in++++=for
the ^ati++++=the
best ^jjt+atrb+++=best
method ^nn++++=method
of ^in++++=of
using ^xvbg+++xvbg+=using
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
Tarrion ^np+++??+=Tarrion
dropped ^vbd+++xvbn+=dropped
in ^in+strn+++=in,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
they ^pp3a+pp3+++=they
read ^vbd+vprv++xvbnx+=read
through ^in++++=through
all ^abn++++=all
the ^ati++++=the
papers ^nns++++=papers
together ^nn+nom+++=together,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Tarrion ^np+++??+=Tarrion,
, ^zz++++=EXTRAWORD
not ^xnot++not++=not
knowing ^vbg+vprv++xvbg+=knowing
how ^wrb+who+whcl++=how
she ^pp3a+pp3+++=she
had ^vbd+hvd+aux++=had
come ^vprf+++xvbn+=come
by ^in++++=by
them ^pp3o+pp3+++=them,
, ^zz++++=EXTRAWORD
vowed ^vb+++xvbn+=vowed
that ^tht+vcmp+++=that
Mrs ^npt++++=Mrs.
. ^zz++++=EXTRAWORD
Hauksbee ^np+nom+++=Hauksbee
was ^vbd+bedz+vrb++=was
the ^ati++++=the
greatest ^jjt+atrb+++=greatest
woman ^nn++++=woman
on ^in++++=on
earth ^nn++++=earth.
. ^zz++++=EXTRAWORD
Which ^whp+who+++=Which
I ^pp1a+pp1+++=I
believe ^vb+vprv+++=believe
was ^vbd+bedz+vrb++=was
true ^jj+pred+++=true,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
nearly ^rb+down+++=nearly
so ^rb++++=so.
. ^zz++++=EXTRAWORD
" ^zz++++="The
the ^ati++++=EXTRAWORD
honest ^jj+atrb+++=honest
course ^nn++++=course
is ^vbz+bez+vrb++=is
always ^rb++++=always
the ^ati++++=the
best ^jjt++++=best,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Tarrion ^np+++??+=Tarrion
after ^in++++=after
an ^at++++=an
hour ^nn++++=hour
and ^cc++++=and
a ^at++++=a
half ^nn++++=half
of ^in++++=of
study ^nn++++=study
and ^cc++++=and
conversation ^nn+nom+++=conversation.
. ^zz++++=EXTRAWORD
" ^zz++++="All
all ^abn++++=EXTRAWORD
things ^nns++++=things
considered ^vwbn+vprv++xvbn+=considered,
, ^zz++++=EXTRAWORD
the ^ati++++=the
Intelligence ^nn+nom+++=Intelligence
Branch ^nn++++=Branch
is ^vbz+bez+vrb++=is
about ^in++++=about
my ^pp$+pp1+++=my
form ^nn++++=form.
. ^zz++++=EXTRAWORD
Either ^dtx++++=Either
that ^dt+dem+++=that
or ^cc++++=or
the ^ati++++=the
Foreign ^jj+atrb+++=Foreign
Office ^nn++++=Office.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
go ^vb++++=go
to ^to++++=to
lay ^vbi++++=lay
siege ^nn++++=siege
to ^in++++=to
the ^ati++++=the
High ^jj+atrb+++=High
Gods ^nns++++=Gods
in ^in++++=in
their ^pp$+pp3+++=their
Temples ^np+++??+=Temples."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
did ^vbd+dod+aux++=did
not ^xnot++not++=not
seek ^vb++++=seek
a ^rb++++=a
little ^rb"++++=little
man ^nn++++=man,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
a ^rb++++=a
little ^rb"++++=little
big ^jj+atrb+++=big
man ^nn++++=man,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
a ^at++++=a
weak ^jj+atrb+++=weak
Head ^nn++++=Head
of ^in++++=of
a ^at++++=a
strong ^jj+atrb+++=strong
Department ^nn+nom+++=Department,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
he ^pp3a+pp3+++=he
called ^vbd+++xvbnx+=called
on ^in+ppvb+++=on
the ^ati++++=the
biggest ^jjt+atrb+++=biggest
and ^cc+phrs+++=and
strongest ^jjt+atrb+++=strongest
man ^nn++++=man
that ^tht+rel+obj++=that
the ^ati++++=the
Government ^nn+nom+++=Government
owned ^vbd+++xvbn+=owned,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
explained ^vbd+vpub++xvbn+=explained
that ^tht+vcmp+++=that
he ^pp3a+pp3+++=he
wanted ^vbd+++xvbnx+=wanted
an ^at++++=an
appointment ^nn+nom+++=appointment
at ^in++++=at
Simla ^np+++??+=Simla
on ^in++++=on
a ^at++++=a
good ^jj+atrb+++=good
salary ^nn++++=salary.
. ^zz++++=EXTRAWORD
The ^ati++++=The
compound ^jj+atrb+++=compound
insolence ^nn+nom+++=insolence
of ^in++++=of
this ^dt+dem+++=this
amused ^jj+++xvbn+=amused
the ^ati++++=the
Strong ^jj+atrb+++=Strong
Man ^nn++++=Man,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and,
, ^zz++++=EXTRAWORD
as ^ql++++=as
he ^pp3a+pp3+++=he
had ^vb+hv+vrb++=had
nothing ^pn++++=nothing
to ^to++++=to
do ^vbi++++=do
for ^in++++=for
the ^ati++++=the
moment ^nn++++=moment,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
listened ^vbd+++xvbnx+=listened
to ^in++++=to
the ^ati++++=the
proposals ^nns+nom+++=proposals
of ^in++++=of
the ^ati++++=the
audacious ^jj+atrb+++=audacious
Tarrion ^np+++??+=Tarrion.
. ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
have ^vb+hv+vrb++=have,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
presume ^vb+vprv+++=presume,
, ^zz++++=EXTRAWORD
some ^dti++++=some
special ^jj+atrb+++=special
qualifications ^nns+nom+++=qualifications,
, ^zz++++=EXTRAWORD
besides ^rb+cnj+++=besides
the ^ati++++=the
gift ^nn++++=gift
of ^in++++=of
self ^nn++++=self-assertion,
- ^zz++++=EXTRAWORD
assertion ^nn+nom+++=EXTRAWORD
, ^zz++++=EXTRAWORD
for ^in++++=for
the ^ati++++=the
claims ^nns++++=claims
you ^pp2+pp2+++=you
put ^vbd+++xvbn+=put
forwards ^nns++++=forwards?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
the ^ati++++=the
Strong ^jj+atrb+++=Strong
Man ^nn++++=Man.
. ^zz++++=EXTRAWORD
" ^zz++++="That,
that ^dt+pdem+++=EXTRAWORD
, ^zz++++=EXTRAWORD
Sir ^npt++++=Sir,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Tarrion ^np+++??+=Tarrion,
, ^zz++++=EXTRAWORD
" ^zz++++="is
is ^vbz+bez+vrb++=EXTRAWORD
for ^in++++=for
you ^pp2+pp2+++=you
to ^to++++=to
judge ^vbi++++=judge."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
he ^pp3a+pp3+++=he
began ^vbd+++xvbnx+=began,
, ^zz++++=EXTRAWORD
for ^in++++=for
he ^pp3a+pp3+++=he
had ^vb+hv+vrb++=had
a ^at++++=a
good ^jj+atrb+++=good
memory ^nn++++=memory,
, ^zz++++=EXTRAWORD
quoting ^vbg+++xvbg+=quoting
a ^ap++++=a
few ^ap"++++=few
of ^in++++=of
the ^ati++++=the
more ^rbr++++=more
important ^jj+atrb+++=important
notes ^nns++++=notes
in ^in++++=in
the ^ati++++=the
papers ^nns++++=papers--slowly
-- ^--+clp+++=EXTRAWORD
slowly ^rb++++=EXTRAWORD
and ^cc++++=and
one ^pn++++=one
by ^in++++=by
one ^pn++++=one
as ^in++++=as
a ^at++++=a
man ^nn++++=man
drops ^nns++++=drops
chlorodyne ^nn+++??+=chlorodyne
into ^in++++=into
a ^at++++=a
glass ^nn++++=glass.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
reached ^vprf+++xvbnx+=reached
the ^ati++++=the
peremptory ^jj+atrb+++=peremptory
order ^nn++++=order-and
- ^zz++++=EXTRAWORD
and ^cc++++=EXTRAWORD
it ^pp3+it+++=it
Was ^vbd+bedz+vrb++=WAS
a ^at++++=a
peremptory ^jj+atrb+++=peremptory
order ^nn++++=order--the
-- ^--+clp+++=EXTRAWORD
the ^ati++++=EXTRAWORD
Strong ^jj+atrb+++=Strong
Man ^nn++++=Man
was ^vbd+bedz+aux++=was
troubled ^vpsv++agls+xvbnx+=troubled.
. ^zz++++=EXTRAWORD
Tarrion ^np+++??+=Tarrion
wound ^vbd+++xvbn+=wound
up: ^nn+++??+=up:--"And
-- ^--+clp+++=EXTRAWORD
" ^zz++++=EXTRAWORD
and ^cc++++=EXTRAWORD
I ^pp1a+pp1+++=I
fancy ^vb++++=fancy
that ^tht+vcmp+++=that
special ^jj+atrb+++=special
knowledge ^nn++++=knowledge
of ^in++++=of
this ^dt+dem+++=this
kind ^nn++++=kind
is ^vbz+bez+vrb++=is
at ^rb++++=at
least ^rb"++++=least
as ^in++++=as
valuable ^nn++++=valuable
for ^in+strn+++=for,
, ^zz++++=EXTRAWORD
let ^j+++xvbn+=let
us ^pp1o+pp1+++=us
say ^vb+vpub+++=say,
, ^zz++++=EXTRAWORD
a ^at++++=a
berth ^nn+++??+=berth
in ^in++++=in
the ^ati++++=the
Foreign ^jj+atrb+++=Foreign
Office ^nn++++=Office,
, ^zz++++=EXTRAWORD
as ^in++++=as
the ^ati++++=the
fact ^nn++++=fact
of ^in++++=of
being ^xvbg+++xvbg+=being
the ^ati++++=the
nephew ^nn++++=nephew
of ^in++++=of
a ^at++++=a
distingushed ^jj+++xvbn+=distingushed
officer ^npt++++=officer's
's ^$++++=EXTRAWORD
wife ^nn++++=wife."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
That ^cs+sub+++=That
hit ^vprf+++xvbn+=hit
the ^ati++++=the
Strong ^jj+atrb+++=Strong
Man ^nn++++=Man
hard ^jj++++=hard,
, ^zz++++=EXTRAWORD
for ^in++++=for
the ^ati++++=the
last ^jj+atrb+++=last
appointment ^nn+nom+++=appointment
to ^to+vcmp+++=to
the ^ati++++=the
Foreign ^jj+atrb+++=Foreign
Office ^nn++++=Office
had ^vbd+hvd+aux++=had
been ^vprf+ben+vrb+xvbnx+=been
by ^in++++=by
