[ ^zz++++=[The
lugger ^nn++++=lugger.
. ^zz++++=EXTRAWORD
My ^pp$+pp1+++=My
father ^nn++++=father
steered ^vbd+++xvbn+=steered
the ^ati++++=the
first ^od++++=first
boat ^nn++++=boat,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I
the ^ati++++=the
other ^ap++++=other,
, ^zz++++=EXTRAWORD
keeping ^vbg+++xvbg+=keeping
close ^jj++++=close
in ^in++++=in
his ^pp$+pp3+++=his
wake ^nn++++=wake--and
-- ^--+clp+++=EXTRAWORD
and ^cc+cls+++=EXTRAWORD
a ^at++++=a
proud ^jj+atrb+++=proud
night ^nn++++=night
that ^tht+rel+subj++=that
was ^vbd+bedz+vrb++=was
for ^in++++=for
me ^pp1o+pp1+++=me!
! ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
had ^vb+hv+vrb++=had
three ^cd++++=three
good ^jj+atrb+++=good
miles ^nns++++=miles
between ^in++++=between
us ^pp1o+pp1+++=us
and ^cc++++=and
shore ^nn++++=shore;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
the ^ati++++=the
boats ^nns++++=boats
were ^vbd+bed+vrb++=were
mere ^jjb+atrb+++=mere
shells ^nns++++=shells
and ^cc++++=and
pulled ^vbd+++xvbn+=pulled
light ^jj++++=light
even ^rb++++=even
with ^in++++=with
the ^ati++++=the
tubs ^nns+++??+=tubs
in ^in++++=in
them ^pp3o+pp3+++=them.
. ^zz++++=EXTRAWORD
So ^cs+sub+++=So
the ^ati++++=the
men ^nns++++=men
took ^vbd+++xvbn+=took
it ^pp3+it+++=it
easy ^jj++++=easy.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
reckon ^vb+vprv+++=reckon
that ^tht+vcmp+++=that
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
well ^rb++++=well
past ^jjb+atrb+++=past
midnight ^nn++++=midnight
before ^cs+sub+++=before
we ^pp1a+pp1+++=we
saw ^vbd+vprv++xvbn+=saw
the ^ati++++=the
two ^cd++++=two
lights ^nns++++=lights
which ^whp+rel+obj++=which
the ^ati++++=the
letter ^nn++++=letter
had ^vbd+hvd+aux++=had
promised ^vprf+++xvbnx+=promised.
. ^zz++++=EXTRAWORD
After ^cs+sub+++=After
this ^dt+dem+++=this
everything ^pn++++=everything
went ^vbd+++xvbn+=went
easily ^rb++++=easily.
. ^zz++++=EXTRAWORD
The ^ati++++=The
beach ^npl++++=beach
at ^rb++++=at
Rope ^nn++++=Rope
Hauen ^np+++??+=Hauen
is ^vbz+bez+vrb++=is
steep ^jj+pred+++=steep-to;
- ^zz++++=EXTRAWORD
to ^to++++=EXTRAWORD
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
with ^in++++=with
the ^ati++++=the
light ^nn++++=light
breeze ^nn++++=breeze
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
hardly ^rb+down+++=hardly
a ^at++++=a
ripple ^nn++++=ripple
on ^in++++=on
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
On ^in++++=On
a ^at++++=a
rising ^xvbg+++xvbg+=rising
tide ^vb++++=tide
we ^pp1a+pp1+++=we
ran ^vbd+++xvbn+=ran
the ^ati++++=the
boats ^nns++++=boats
in ^in++++=in
straight ^nn++++=straight
upon ^in++++=upon
the ^ati++++=the
shingle ^nn++++=shingle;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
in ^in++++=in
less ^rbr++++=less
than ^in++++=than
a ^at++++=a
minute ^nn++++=minute
the ^ati++++=the
kegs ^nns++++=kegs
were ^vbd+bed+aux++=were
being ^vbg+beg++xvbg+=being
hove ^np++++=hove
out ^rp+pl+++=out.
. ^zz++++=EXTRAWORD
By ^in++++=By
the ^ati++++=the
light ^nn++++=light
of ^in++++=of
the ^ati++++=the
lantern ^nn++++=lantern
on ^in++++=on
the ^ati++++=the
beach ^nn++++=beach
I ^pp1a+pp1+++=I
could ^md+pos+++=could
see ^vb+vprv+++=see
the ^ati++++=the
shifting ^jj+atrb++xvbg+=shifting
faces ^nns++++=faces
of ^in++++=of
the ^ati++++=the
crowd ^nn++++=crowd,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
troop ^nn++++=troop
of ^in++++=of
horses ^nns++++=horses
standing ^vwbg+++xvbg+=standing
behind ^in+strn+++=behind,
, ^zz++++=EXTRAWORD
quite ^rb++++=quite
quiet ^nn++++=quiet,
, ^zz++++=EXTRAWORD
shoulder ^nn+nom+++=shoulder
to ^in++++=to
shoulder ^nn+nom+++=shoulder,
, ^zz++++=EXTRAWORD
shaved ^j+++xvbn+=shaved
from ^in++++=from
forelock ^nn+++??+=forelock
to ^in++++=to
tail ^nn++++=tail,
, ^zz++++=EXTRAWORD
all ^abn++++=all
smooth ^jj++++=smooth
and ^cc+phrs+++=and
shining ^jj+++xvbg+=shining
with ^in++++=with
grease ^nn++++=grease.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
had ^vbd+hvd+aux++=had
heard ^vprf+++xvbnx+=heard
of ^in++++=of
these ^dt+dem+++=these
Cornish ^jj+atrb+++=Cornish
horses ^nns++++=horses,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
how ^wrb+who+++=how
closely ^rb++++=closely
they ^pp3a+pp3+++=they
were ^vbd+bed+aux++=were
clipped ^vpsv++agls+xvbnx+=clipped;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
these ^dt+dem+++=these
beat ^nn+++xvbn+=beat
all ^abn++++=all
I ^pp1a+pp1+++=I
had ^vb+hv+aux++=had
ever ^rb++splt++=ever
imagined ^vprf+++xvbnx+=imagined.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
could ^md+pos+++=could
see ^vb+vprv+++=see
no ^at++++=no
hair ^nn++++=hair
on ^in++++=on
them ^pp3o+pp3+++=them;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I
saw ^vbd+vprv++xvbnx+=saw
them ^pp3o+pp3+++=them
quite ^rb++++=quite
close ^jj++++=close;
; ^zz++++=EXTRAWORD
for ^in++++=for
in ^in++++=in
the ^ati++++=the
hurry ^np++++=hurry
each ^ppls++++=each
horse ^np++++=horse,
, ^zz++++=EXTRAWORD
as ^ql++++=as
his ^pp$+pp3+++=his
turn ^nn++++=turn
came ^vbd+++xvbn+=came,
, ^zz++++=EXTRAWORD
was ^vbd+bedz+aux++=was
run ^vpsv++agls+xvbnx+=run
out ^rp+pl+++=out
alongside ^in+pl+++=alongside
the ^ati++++=the
boat ^nn++++=boat;
; ^zz++++=EXTRAWORD
the ^ati++++=the
man ^nn++++=man
who ^whp+rel+subj++=who
led ^vbd+++xvbn+=led
him ^pp3o+pp3+++=him
standing ^jj+atrb++xvbg+=standing
knee ^nn++++=knee-deep
- ^zz++++=EXTRAWORD
deep ^jj++++=EXTRAWORD
until ^cs+sub+++=until
the ^ati++++=the
kegs ^nns++++=kegs
were ^vbd+bed+aux++=were
slung ^vpsv++agls+xvbnx+=slung
across ^in+pl+++=across
by ^in++++=by
the ^ati++++=the
single ^jj+atrb+++=single
girth ^nn+++??+=girth.
. ^zz++++=EXTRAWORD
As ^ql++++=As
soon ^rb+tm+++=soon
as ^ql++++=as
this ^dt+pdem+++=this
was ^vbd+bedz+aux++=was
done ^vpsv++agls+xvbnx+=done,
, ^zz++++=EXTRAWORD
a ^at++++=a
slap ^nn++++=slap
on ^in++++=on
the ^ati++++=the
rump ^nn++++=rump
sent ^vbd+++xvbn+=sent
the ^ati++++=the
beast ^nn++++=beast
shoreward ^rb+cnj+++=shoreward,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
man ^nn++++=man
scrambled ^vbd+++xvbn+=scrambled
out ^rp+pl+++=out
after ^in++++=after
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
was ^vbd+bedz+vrb++=was
scarcely ^rb+down+++=scarcely
any ^dti++++=any
talk ^nn++++=talk,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
no ^at++++=no
noise ^nn++++=noise
except ^cs+sub+++=except
that ^cs"++++=that
caused ^vpsv++by+xvbn+=caused
by ^in++++=by
the ^ati++++=the
wading ^nn++++=wading
of ^in++++=of
men ^nns++++=men
and ^cc++++=and
horses ^nns++++=horses.
. ^zz++++=EXTRAWORD
Now ^rn+dspt+++=Now
all ^rb++++=all
this ^dt+dem+++=this
time ^nn++++=time
I ^pp1a+pp1+++=I
carried ^vbd+++xvbnx+=carried
my ^pp$+pp1+++=my
parcel ^nn++++=parcel
of ^in++++=of
little ^jj+atrb+++=little
dolls ^nns++++=dolls
in ^in++++=in
a ^at++++=a
satchel ^nn++++=satchel
slung ^vbd+++xvbn+=slung
at ^rb++++=at
my ^pp$+pp1+++=my
shoulder ^nn+nom+++=shoulder,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
was ^vbd+bedz+aux++=was
wondering ^vbg+++xvbgx+=wondering
to ^to++++=to
whom ^whp+wpor+++=whom
I ^pp1a+pp1+++=I
ought ^md"+nec+pmd"++=ought
to ^md+nec+++=to
deliver ^vb++++=deliver
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
knew ^vbd+vprv++xvbnx+=knew
a ^at++++=a
word ^nn++++=word
or ^cc++++=or
two ^cd++++=two
of ^in++++=of
English ^nn++++=English,
, ^zz++++=EXTRAWORD
picked ^j+++xvbn+=picked
up ^rp++++=up
from ^in++++=from
the ^ati++++=the
smugglers ^nns+nom+++=smugglers
that ^tht+rel+subj++=that
used ^md"++pmd"++=used
to ^to++++=to
be ^vbi++vrb++=be
common ^jj++++=common
as ^ql++++=as
skate ^vb++++=skate
at ^in++++=at
Roscoff ^np+++??+=Roscoff
in ^in++++=in
those ^dt+dem+++=those
days ^nns++++=days;
; ^zz++++=EXTRAWORD
so ^ql++++=so
I ^pp1a+pp1+++=I
made ^vbd+++xvbnx+=made
shift ^nn++++=shift
to ^to++++=to
ask ^vbi++++=ask
one ^pn++++=one
of ^in++++=of
the ^ati++++=the
men ^nns++++=men
alongside ^in+pl+++=alongside
where ^wrb+who+++=where
the ^ati++++=the
freighter ^nn++++=freighter
might ^md+pos+++=might
be ^vb+be+vrb++=be.
. ^zz++++=EXTRAWORD
As ^cc+cls+++=As
well ^rb++++=well
as ^cc"++++=as
I ^pp1a+pp1+++=I
could ^md+pos+++=could
make ^vb++++=make
out ^rp+pl+++=out,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said
that ^tht+vcmp+++=that
the ^ati++++=the
freighter ^jjr++++=freighter
was ^vbd+bedz+vrb++=was
not ^xnot++not++=not
on ^in++++=on
the ^ati++++=the
beach ^nn++++=beach;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
he ^pp3a+pp3+++=he
pointed ^vbd+++xvbnx+=pointed
to ^in++++=to
a ^at++++=a
tall ^jj+atrb+++=tall
man ^nn++++=man
standing ^vwbg+++xvbg+=standing
beside ^in+pl+++=beside
the ^ati++++=the
lantern ^nn++++=lantern
and ^cc++++=and
gave ^vbd+++xvbn+=gave
me ^pp1o+pp1+++=me
to ^to++++=to
understand ^vbi+vprv+++=understand
that ^tht+vcmp+++=that
this ^dt+pdem+++=this
was ^vbd+bedz+vrb++=was
the ^ati++++=the
" ^zz++++="deputy."
deputy ^nn++++=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
So ^ql++++=So
I ^pp1a+pp1+++=I
slipped ^vbd+++xvbnx+=slipped
over ^in++++=over
the ^ati++++=the
gunwale ^nn++++=gunwale
and ^cc++++=and
waded ^vbd+++xvbn+=waded
ashore ^rb+pl+++=ashore
towards ^in++++=towards
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
As ^ql++++=As
I ^pp1a+pp1+++=I
came ^vbd+++xvbnx+=came
near ^in+strn+++=near,
, ^zz++++=EXTRAWORD
the ^ati++++=the
man ^nn++++=man
moved ^vbd+++xvbn+=moved
out ^rp+pl+++=out
of ^in++++=of
the ^ati++++=the
light ^nn++++=light,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
strolled ^vbd+++xvbn+=strolled
away ^rp+pl+++=away
into ^in++++=into
the ^ati++++=the
darkness ^nns+nom+++=darkness
to ^in++++=to
the ^ati++++=the
left ^nn+++xvbn+=left,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
know ^vb+vprv+++=know
upon ^in++++=upon
what ^wdt+who+++=what
errand ^nn++++=errand.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
ran ^vbd+++xvbnx+=ran
after ^in++++=after
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
as ^ql++++=as
I ^pp1a+pp1+++=I
thought ^vbd+++xvbnx+=thought,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
missed ^vbd+++xvbn+=missed
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
stood ^vbd+++xvbnx+=stood
still ^jj+pred+++=still
to ^to++++=to
listen ^vbi++++=listen.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
side ^nn++++=side
of ^in++++=of
the ^ati++++=the
track ^nn++++=track
was ^vbd+bedz+vrb++=was
quite ^abl++++=quite
deserted ^jj+++xvbn+=deserted,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
the ^ati++++=the
noise ^nn++++=noise
of ^in++++=of
the ^ati++++=the
runners ^nns+nom+++=runners
behind ^in+pl+++=behind
me ^pp1o+pp1+++=me,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
not ^xnot++not++=not
loud ^jj++++=loud,
, ^zz++++=EXTRAWORD
was ^vbd+bedz+vrb++=was
enough ^qlp++++=enough
to ^to++++=to
confuse ^vbi++++=confuse
the ^ati++++=the
sound ^nn++++=sound
of ^in++++=of
his ^pp$+pp3+++=his
footsteps ^nns++++=footsteps.
. ^zz++++=EXTRAWORD
After ^in++++=After
a ^at++++=a
moment ^nn++++=moment,
, ^zz++++=EXTRAWORD
though ^rb+cnj+++=though,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
heard ^vbd+vprv++xvbnx+=heard
a ^at++++=a
slight ^jj+atrb+++=slight
scraping ^nn++++=scraping
of ^in++++=of
shingle ^nn++++=shingle,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
ran ^vbd+++xvbn+=ran
forward ^rb++++=forward
again ^rb+tm+++=again--plump
-- ^--+clp+++=EXTRAWORD
plump ^jj++++=EXTRAWORD
against ^in++++=against
the ^ati++++=the
warm ^jj+atrb+++=warm
body ^nn++++=body
of ^in++++=of
some ^dti++++=some
living ^jj+atrb++xvbg+=living
thing ^nn++++=thing.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
a ^at++++=a
black ^jj+atrb+++=black
mare ^nn++++=mare,
, ^zz++++=EXTRAWORD
standing ^vbg+++xvbg+=standing
here ^rn+pl+++=here
close ^rb++++=close
under ^in++++=under
the ^ati++++=the
cliff ^nn++++=cliff,
, ^zz++++=EXTRAWORD
with ^in++++=with
the ^ati++++=the
kegs ^nns++++=kegs
ready ^jj++++=ready
strapped ^jj+++xvbn+=strapped
upon ^in++++=upon
her ^pp$+pp3+++=her.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
saw ^vbd+vprv++xvbnx+=saw
the ^ati++++=the
dark ^jj+atrb+++=dark
forms ^nns++++=forms
of ^in++++=of
other ^ap++++=other
horses ^nns++++=horses
behind ^in+strn+++=behind,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
while ^cs+sub+++=while
I ^pp1a+pp1+++=I
patted ^vbd+++xvbnx+=patted
the ^ati++++=the
mare ^nn++++=mare's
's ^$++++=EXTRAWORD
shoulder ^nn+nom+++=shoulder,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
she ^pp3a+pp3+++=she
turned ^vbd+++xvbnx+=turned
her ^pp$+pp3+++=her
head ^jjb++++=head
to ^in++++=to
sniff ^nn+++??+=sniff
and ^cc++++=and
nuzzle ^nn+++??+=nuzzle
me ^pp1o+pp1+++=me,
, ^zz++++=EXTRAWORD
another ^ppls++++=another
horse ^np++++=horse
came ^vbd+++xvbn+=came
up ^rp++++=up
laden ^xvbn+++xvbn+=laden
from ^in++++=from
the ^ati++++=the
water ^nn++++=water
and ^cc++++=and
joined ^vbd+++xvbn+=joined
the ^ati++++=the
troop ^nn++++=troop
behind ^in+strn+++=behind,
, ^zz++++=EXTRAWORD
no ^at++++=no
man ^nn++++=man
leading ^vwbg+++xvbg+=leading
or ^cc++++=or
following ^vwbg+++xvbg+=following.
. ^zz++++=EXTRAWORD
The ^ati++++=The
queer ^jj+atrb+++=queer
thing ^nn++++=thing
about ^in++++=about
my ^pp$+pp1+++=my
mare ^nn++++=mare,
, ^zz++++=EXTRAWORD
though ^rb+cnj+++=though,
, ^zz++++=EXTRAWORD
was ^vbd+bedz+vrb++=was
that ^tht+vcmp+++=that
her ^pp3o+pp3+++=her
coat ^nn++++=coat
had ^vb+hv+vrb++=had
no ^at++++=no
grease ^nn++++=grease
on ^in++++=on
it ^pp3+it+++=it
like ^in++++=like
the ^ati++++=the
others ^aps++++=others,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
was ^vbd+bedz+vrb++=was
close ^jj+pred+++=close
and ^cc+phrs+++=and
smooth ^jj++++=smooth
as ^ql++++=as
satin ^nn++++=satin,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
her ^pp$+pp3+++=her
mane ^nn++++=mane
as ^ql++++=as
long ^rb++++=long
as ^ql++++=as
a ^at++++=a
colt ^nn++++=colt's.
's. ^nn+++??+=EXTRAWORD
She ^pp3a+pp3+++=She
seemed ^vbd+seem++xvbnx+=seemed
so ^ql+emph+++=so
friendly ^jj++++=friendly
that ^cs+sub+++=that
I ^pp1a+pp1+++=I,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
had ^vb+hv+aux++=had
never ^rb++splt++=never
sat ^vprf+++xvbnx+=sat
astride ^nn+++??+=astride
a ^at++++=a
horse ^nn++++=horse
in ^in++++=in
my ^pp$+pp1+++=my
life ^nn++++=life,
, ^zz++++=EXTRAWORD
took ^j+++xvbn+=took
a ^at++++=a
sudden ^jj+atrb+++=sudden
desire ^nn++++=desire
to ^to+ncmp+++=to
try ^vbi++++=try
what ^wdt+who+++=what
it ^pp3+it+++=it
felt ^vbd+vprv++xvbn+=felt
like ^in+strn+++=like.
. ^zz++++=EXTRAWORD
So ^ql++++=So
I ^pp1a+pp1+++=I
walked ^vbd+++xvbnx+=walked
round ^rb+cnj+++=round,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
finding ^nvbg+++xvbg+=finding
a ^at++++=a
low ^jj+atrb+++=low
rock ^npl++++=rock
on ^in++++=on
the ^ati++++=the
other ^ap++++=other
side ^nn++++=side,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
mounted ^vbd+++xvbnx+=mounted
it ^pp3+it+++=it
and ^cc++++=and
laid ^vbd+++xvbn+=laid
my ^pp$+pp1+++=my
hands ^nns++++=hands
on ^rp++++=on
her ^pp3o+pp3+++=her
mane ^nn++++=mane.
. ^zz++++=EXTRAWORD
On ^in++++=On
this ^dt+dem+++=this
she ^pp3a+pp3+++=she
backed ^vbd+++xvbnx+=backed
a ^at++++=a
foot ^nn++++=foot
or ^cc++++=or
two ^cd++++=two
and ^cc++++=and
seemed ^vbd+seem++xvbn+=seemed
uneasy ^jj++++=uneasy,
, ^zz++++=EXTRAWORD
then ^rn+tm+++=then
turned ^vbd+++xvbn+=turned
her ^pp$+pp3+++=her
muzzle ^nn++++=muzzle
and ^cc++++=and
sniffed ^vpsv++agls+xvbn+=sniffed
at ^in++++=at
my ^pp$+pp1+++=my
leg ^nn++++=leg.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
suppose ^vb+vprv+++=suppose,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
thought ^nn+++xvbn+=thought
I ^pp1a+pp1+++=I,
, ^zz++++=EXTRAWORD
" ^zz++++="a
a ^at++++=EXTRAWORD
Cornish ^jj+atrb+++=Cornish
horse ^nn++++=horse
will ^md+prd+++=won't
n't ^xnot++not++0=EXTRAWORD
understand ^vb+vprv+++=understand
my ^pp$+pp1+++=my
language ^nn+nom+++=language."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
But ^cc++++=But
I ^pp1a+pp1+++=I
whispered ^vbd+vpub++xvbnx+=whispered
to ^in++++=to
her ^pp$+pp3+++=her
to ^to++++=to
be ^vbi++vrb++=be
quiet ^nn++++=quiet,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
quiet ^nn++++=quiet
she ^pp3a+pp3+++=she
was ^vbd+bedz+vrb++=was
at ^rb++++=at
once ^rb"+tm+++=once.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
found ^vbd+vprv++xvbnx+=found
that ^tht+vcmp+++=that
the ^ati++++=the
tubs ^nns+++??+=tubs,
, ^zz++++=EXTRAWORD
being ^xvbg+++xvbg+=being
slung ^vwbn+++xvbn+=slung
high ^jj++++=high,
, ^zz++++=EXTRAWORD
made ^j+++xvbn+=made
quite ^rb++++=quite
a ^rb++++=a
little ^rb"++++=little
cradle ^nn++++=cradle
between ^in++++=between
them ^pp3o+pp3+++=them.
. ^zz++++=EXTRAWORD
" ^zz++++="Just
just ^rb+emph+++=EXTRAWORD
a ^at++++=a
moment ^nn++++=moment,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
told ^vbd+vpub+tht0+xvbnx+=told
myself ^ppl+pp1+++=myself,
, ^zz++++=EXTRAWORD
" ^zz++++="and
and ^cc++++=EXTRAWORD
then ^rn+tm+++=then
I ^pp1a+pp1+++=I'll
'll ^md+prd+++0=EXTRAWORD
slip ^vb++++=slip
off ^in+pl+++=off
and ^cc++++=and
run ^vb+++xvbn+=run
back ^jjb++++=back
to ^in++++=to
the ^ati++++=the
boat ^nn++++=boat";
" ^zz++++=EXTRAWORD
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
twining ^nvbg+++xvbg+=twining
the ^ati++++=the
fingers ^nns+nom+++=fingers
of ^in++++=of
my ^pp$+pp1+++=my
left ^jj+atrb++xvbn+=left
hand ^nn++++=hand
in ^in++++=in
her ^pp$+pp3+++=her
mane ^nn++++=mane,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
took ^vbd+++xvbnx+=took
a ^at++++=a
spring ^nn++++=spring
and ^cc++++=and
landed ^vbd+++xvbn+=landed
my ^pp$+pp1+++=my
small ^jj+atrb+++=small
person ^nn++++=person
prone ^jj++++=prone
between ^in++++=between
the ^ati++++=the
two ^cd++++=two
kegs ^nns++++=kegs,
, ^zz++++=EXTRAWORD
with ^in++++=with
no ^at++++=no
more ^rbr++++=more
damage ^nn++++=damage
than ^in++++=than
a ^at++++=a
barked ^jj+atrb++xvbn+=barked
shin ^nn++++=shin-bone.
- ^zz++++=EXTRAWORD
bone ^nn++++=EXTRAWORD
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
at ^rb++++=at
that ^dt+dem+++=that
very ^ql+amp+++=very
instant ^nn+nom+++=instant
I ^pp1a+pp1+++=I
heard ^vbd+vprv++xvbnx+=heard
a ^at++++=a
shrill ^jj+atrb+++=shrill
whistle ^nn++++=whistle
and ^cc++++=and
many ^ap++++=many
sudden ^jj+atrb+++=sudden
cries ^nns++++=cries
of ^in++++=of
alarm ^nn++++=alarm;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
noise ^nn++++=noise
of ^in++++=of
shouting ^xvbg+++xvbg+=shouting
and ^cc++++=and
galloping ^xvbg+++xvbg+=galloping
across ^in+pl+++=across
the ^ati++++=the
beach ^nn++++=beach;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
was ^vbd+bedz+aux++=was
raising ^vbg+++xvbgx+=raising
my ^pp$+pp1+++=my
head ^nn++++=head
to ^to++++=to
look ^vbi++++=look
when ^wrb+who+++=when
the ^ati++++=the
mare ^nn++++=mare
rose ^vbd+++xvbn+=rose
too ^ql++++=too,
, ^zz++++=EXTRAWORD
upon ^in++++=upon
her ^pp$+pp3+++=her
hind ^jjb+atrb+++=hind
legs ^nns++++=legs,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
with ^in++++=with
the ^ati++++=the
fling ^nn++++=fling
of ^in++++=of
her ^pp$+pp3+++=her
neck ^nn++++=neck
caught ^vbd+++xvbn+=caught
me ^pp1o+pp1+++=me
a ^at++++=a
blow ^nn++++=blow
on ^in++++=on
the ^ati++++=the
nose ^nn++++=nose
that ^tht+rel+subj++=that
made ^vbd+++xvbn+=made
me ^pp1o+pp1+++=me
see ^vb+vprv+++=see
stars ^nns++++=stars.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
then ^rn+tm+++=then
long ^jj+atrb+++=long
jets ^nns++++=jets
of ^in++++=of
fire ^nn++++=fire
seemed ^vbd+seem++xvbn+=seemed
to ^to+vcmp+++=to
mingle ^vbi+++??+=mingle
with ^in++++=with
the ^ati++++=the
stars ^nns++++=stars,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I
heard ^vbd+vprv++xvbnx+=heard
the ^ati++++=the
pop ^nn++++=pop-pop
- ^zz++++=EXTRAWORD
pop ^np++++=EXTRAWORD
of ^in++++=of
pistol ^nn++++=pistol-shots
- ^zz++++=EXTRAWORD
shots ^nns++++=EXTRAWORD
and ^cc++++=and
more ^rbr++++=more
shouting ^nvbg+++xvbg+=shouting.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
before ^cs+sub+++=before
this ^dt+dem+++=this
we ^pp1a+pp1+++=we
were ^vbd+bed+vrb++=were
off ^in+pl+++=off
and ^cc++++=and
away ^rp+pl+++=away--I
-- ^--+clp+++=EXTRAWORD
i ^pp1a+pp1+++=EXTRAWORD
still ^rb+atrb+++=still
flat ^nn++++=flat
on ^in++++=on
the ^ati++++=the
mare ^nn++++=mare's
's ^vbz+bez+vrb++0=EXTRAWORD
back ^jjb++++=back,
, ^zz++++=EXTRAWORD
with ^in++++=with
a ^at++++=a
hand ^nn++++=hand
in ^in++++=in
her ^pp$+pp3+++=her
mane ^nn++++=mane
and ^cc++++=and
my ^pp$+pp1+++=my
knees ^nns++++=knees
wedged ^vwbn+++xvbn+=wedged
against ^in++++=against
the ^ati++++=the
tubs ^nns+++??+=tubs;
; ^zz++++=EXTRAWORD
away ^rp+pl+++=away
and ^cc++++=and
galloping ^nvbg+++xvbg+=galloping
for ^in++++=for
the ^ati++++=the
head ^nn++++=head
of ^in++++=of
the ^ati++++=the
beach ^nn++++=beach,
, ^zz++++=EXTRAWORD
with ^in++++=with
the ^ati++++=the
whole ^jj+atrb+++=whole
troop ^nn++++=troop
of ^in++++=of
laden ^xvbn+++xvbn+=laden
horses ^nns++++=horses
pounding ^vwbg+++xvbg+=pounding
at ^rb++++=at
our ^pp$+pp1+++=our
heels ^nns++++=heels.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
could ^md+pos+++=could
see ^vb+vprv+tht0++=see
nothing ^pn++++=nothing
but ^cc++++=but
the ^ati++++=the
loom ^nn++++=loom
of ^in++++=of
the ^ati++++=the
cliff ^nn++++=cliff
ahead ^rb+pl+++=ahead
and ^cc++++=and
