Did ^vbd+dod+aux++=Did
door ^nn++++=door.
. ^zz++++=EXTRAWORD
Doris ^np++++=Doris
went ^vbd+++xvbn+=went
to ^in++++=to
the ^ati++++=the
clock ^nn++++=clock.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
bent ^vbd+++xvbnx+=bent
over ^in++++=over
the ^ati++++=the
little ^jj+atrb+++=little
door ^nn++++=door,
, ^zz++++=EXTRAWORD
her ^pp$+pp3+++=her
lips ^nns++++=lips
close ^in+cmpx+++=close
to ^in"++++=to
the ^ati++++=the
wood ^nn++++=wood.
. ^zz++++=EXTRAWORD
" ^zz++++="Do
do ^vb+do+aux++=EXTRAWORD
you ^pp2+pp2+++=you
hear ^vb+vprv+++=hear
me ^pp1o+pp1+++=me?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
whispered ^vbd+vpub++xvbnx+=whispered.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
think ^vb+vprv+tht0++=think
you ^pp2+pp2+++=you're
're ^vb+ber+vrb++0=EXTRAWORD
the ^ati++++=the
most ^ql+emph+++=most
wonderful ^jj+atrb+++=wonderful
cuckoo ^nn++++=cuckoo
in ^in++++=in
the ^ati++++=the
world ^nn++++=world."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
paused ^vbd+++xvbnx+=paused,
, ^zz++++=EXTRAWORD
embarrassed ^j+++xvbn+=embarrassed.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
hope ^nn++++=hope
you ^pp2+pp2+++=you'll
'll ^md+prd+++0=EXTRAWORD
like ^vb++++=like
it ^pp3+it+++=it
here ^rn+pl+++=here."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
she ^pp3a+pp3+++=she
went ^vbd+++xvbnx+=went
downstairs ^jjb++++=downstairs
again ^rb+cnj+++=again,
, ^zz++++=EXTRAWORD
slowly ^rb+cnj+++=slowly,
, ^zz++++=EXTRAWORD
her ^pp$+pp3+++=her
head ^jjb++++=head
high ^jj++++=high.
. ^zz++++=EXTRAWORD
Larry ^np++++=Larry
and ^cc++++=and
the ^ati++++=the
cuckoo ^nn++++=cuckoo
clock ^nn++++=clock
really ^rb+emph+++=really
never ^rb++++=never
got ^vbd+++xvbn+=got
along ^in++++=along
well ^rb++++=well
from ^in++++=from
the ^ati++++=the
start ^nn++++=start.
. ^zz++++=EXTRAWORD
Doris ^np++++=Doris
said ^vbd+vpub+tht0+xvbn+=said
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
because ^cs+cos+++=because
he ^pp3a+pp3+++=he
did ^vbd+dod+vrb++=didn't
n't ^xnot++not++0=EXTRAWORD
wind ^nn++++=wind
it ^pp3+it+++=it
right ^jj++++=right,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
it ^pp3+it+++=it
did ^vbd+dod+vrb++=didn't
n't ^xnot++not++0=EXTRAWORD
like ^in++++=like
being ^xvbg+++xvbg+=being
only ^rb+down+++=only
half ^abn++++=half-wound
- ^zz++++=EXTRAWORD
wound ^nn+++xvbn+=EXTRAWORD
all ^abn++++=all
the ^ati++++=the
time ^nn++++=time.
. ^zz++++=EXTRAWORD
Larry ^np++++=Larry
turned ^vbd+++xvbn+=turned
the ^ati++++=the
job ^nn++++=job
of ^in++++=of
winding ^xvbg+++xvbg+=winding
over ^in++++=over
to ^in++++=to
her ^pp$+pp3+++=her;
; ^zz++++=EXTRAWORD
the ^ati++++=the
cuckoo ^nn++++=cuckoo
came ^vbd+++xvbn+=came
out ^rp+pl+++=out
every ^at++++=every
quarter ^nn++++=quarter
hour ^nn++++=hour
and ^cc++++=and
ran ^vbd+++xvbn+=ran
the ^ati++++=the
spring ^vb++++=spring
down ^rp++++=down
without ^in++++=without
remorse ^nn++++=remorse,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
someone ^pn++++=someone
had ^md"++pmd"++=had
to ^md+nec+++=to
be ^vbi++vrb++=be
ever ^rb++++=ever
after ^in++++=after
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
winding ^nvbg+++xvbg+=winding
it ^pp3+it+++=it
up ^rp++++=up
again ^rb+tm+++=again.
. ^zz++++=EXTRAWORD
Doris ^np++++=Doris
did ^vbd+dod+vrb++=did
her ^pp$+pp3+++=her
best ^jjt++++=best,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
she ^pp3a+pp3+++=she
forgot ^vbd+vprv++xvbnx+=forgot
a ^at++++=a
good ^jj+atrb+++=good
deal ^nn++++=deal
of ^in++++=of
the ^ati++++=the
time ^nn++++=time.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
Larry ^np++++=Larry
would ^md+prd+++=would
throw ^vb++++=throw
his ^pp$+pp3+++=his
newspaper ^nn+nom+++=newspaper
down ^in++++=down
with ^in++++=with
an ^at++++=an
elaborate ^jj+atrb+++=elaborate
weary ^jj+atrb+++=weary
motion ^nn++++=motion
and ^cc++++=and
stand ^vb++++=stand
up ^rp++++=up.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
would ^md+prd+++=would
go ^vb++++=go
into ^in++++=into
the ^ati++++=the
dining ^jj+++xvbg+=dining-room
- ^zz++++=EXTRAWORD
room ^nn++++=EXTRAWORD
where ^wrb+who+++=where
the ^ati++++=the
clock ^nn++++=clock
was ^vbd+bedz+aux++=was
mounted ^vpsv++agls+xvbnx+=mounted
on ^in++++=on
the ^ati++++=the
wall ^nn++++=wall
over ^in++++=over
the ^ati++++=the
fireplace ^nn++++=fireplace.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
would ^md+prd+++=would
take ^vb++++=take
the ^ati++++=the
clock ^nn++++=clock
down ^in++++=down
and ^cc++++=and
making ^jj+++xvbg+=making
sure ^jj++++=sure
that ^tht+jcmp+++=that
he ^pp3a+pp3+++=he
had ^vb+hv+vrb++=had
his ^pp$+pp3+++=his
thumb ^nn++++=thumb
over ^in++++=over
the ^ati++++=the
little ^jj+atrb+++=little
door ^nn++++=door,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
would ^md+prd+++=would
wind ^vb++++=wind
it ^pp3+it+++=it
up ^rp++++=up.
. ^zz++++=EXTRAWORD
" ^zz++++="Why
why ^wrb+who+whq++=EXTRAWORD
do ^vb+do+vrb++=do
you ^pp2+pp2+++=you
put ^vbd+++xvbn+=put
your ^pp$+pp2+++=your
thumb ^nn++++=thumb
over ^in++++=over
the ^ati++++=the
door ^nn++++=door?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Doris ^np++++=Doris
asked ^vbd+vsua++xvbn+=asked
once ^rb+tm+++=once.
. ^zz++++=EXTRAWORD
" ^zz++++="You're
you ^pp2+pp2+++=EXTRAWORD
're ^vb+ber+aux++0=EXTRAWORD
supposed ^vpsv++agls+xvbnx+=supposed
to ^to+vcmp+++=to."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
raised ^vbd+++xvbnx+=raised
an ^at++++=an
eyebrow ^nn++++=eyebrow.
. ^zz++++=EXTRAWORD
" ^zz++++="Are
are ^vb+ber+vrb++=EXTRAWORD
you ^pp2+pp2+++=you
sure ^jj++++=sure?
? ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
wonder ^vb++++=wonder
if ^cs+cnd+++=if
it ^pp3+it+++=it
is ^vbz+bez+vrb++=isn't
n't ^xnot++not++0=EXTRAWORD
that ^cs+sub+++=that
you ^pp2+pp2+++=you
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
want ^vb++++=want
him ^pp3o+pp3+++=him
to ^to++++=to
come ^vbi++++=come
out ^rp+pl+++=out
while ^cs+sub+++=while
you ^pp2+pp2+++=you're
're ^vb+ber+aux++0=EXTRAWORD
standing ^vbg+++xvbgx+=standing
so ^ql++++=so
close ^vb++++=close."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Why
why ^wrb+who+++=EXTRAWORD
not ^xnot++not++=not?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Maybe
maybe ^rb+hdg+++=EXTRAWORD
you ^pp2+pp2+++=you're
're ^vb+ber+vrb++0=EXTRAWORD
afraid ^jj+pred+++=afraid
of ^in++++=of
him ^pp3o+pp3+++=him."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Larry ^np++++=Larry
laughed ^vbd+++xvbn+=laughed.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
put ^vbd+++xvbnx+=put
the ^ati++++=the
clock ^nn++++=clock
back ^jjb++++=back
on ^in++++=on
the ^ati++++=the
wall ^nn++++=wall
and ^cc++++=and
gingerly ^rb++++=gingerly
removed ^vbd+++xvbn+=removed
his ^pp$+pp3+++=his
thumb ^nn++++=thumb.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
Doris ^np++++=Doris
was ^vbd+bedz+aux++=wasn't
n't ^xnot++not++0=EXTRAWORD
looking ^vbg+++xvbg+=looking
he ^pp3a+pp3+++=he
examined ^vbd+++xvbnx+=examined
his ^pp$+pp3+++=his
thumb ^nn++++=thumb.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
was ^vbd+bedz+vrb++=was
still ^rb++++=still
a ^at++++=a
trace ^nn++++=trace
of ^in++++=of
the ^ati++++=the
nick ^np++++=nick
cut ^vbd+++xvbn+=cut
out ^rp+pl+++=out
of ^in++++=of
the ^ati++++=the
soft ^jj+atrb+++=soft
part ^nn++++=part
of ^in++++=of
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
Who ^whp+who+++=Who
or ^cc+cls+++=or
what ^wdt+who+++=what
had ^vbd+hvd+aux++=had
pecked ^vprf+++xvbn+=pecked
at ^in++++=at
him ^pp3o+pp3+++=him?
? ^zz++++=EXTRAWORD
***** ^nn+++??+=*****
One ^cd1++++=One
Saturday ^nr++++=Saturday
morning ^nn++++=morning,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
Larry ^np++++=Larry
was ^vbd+bedz+vrb++=was
down ^rp++++=down
at ^rb++++=at
the ^ati++++=the
office ^nn++++=office
working ^vwbg+++xvbg+=working
over ^in++++=over
some ^dti++++=some
important ^jj+atrb+++=important
special ^jj+atrb+++=special
accounts ^nns++++=accounts,
, ^zz++++=EXTRAWORD
Bob ^np++++=Bob
Chambers ^nns+nom+++=Chambers
came ^vbd+++xvbn+=came
to ^in++++=to
the ^ati++++=the
front ^jjb+atrb+++=front
porch ^nn++++=porch
and ^cc++++=and
rang ^vbd+++xvbn+=rang
the ^ati++++=the
bell ^nn++++=bell.
. ^zz++++=EXTRAWORD
Doris ^np++++=Doris
was ^vbd+bedz+aux++=was
taking ^vbg+++xvbgx+=taking
a ^at++++=a
quick ^jj+atrb+++=quick
shower ^nn++++=shower.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
dried ^vbd+++xvbnx+=dried
herself ^ppl+pp3+++=herself
and ^cc++++=and
slipped ^vpsv++agls+xvbn+=slipped
into ^in++++=into
her ^pp$+pp3+++=her
robe ^nn++++=robe.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
she ^pp3a+pp3+++=she
opened ^vbd+++xvbnx+=opened
the ^ati++++=the
door ^nn++++=door
Bob ^np++++=Bob
stepped ^vbd+++xvbn+=stepped
inside ^jjb++++=inside,
, ^zz++++=EXTRAWORD
grinning ^vbg+++xvbg+=grinning.
. ^zz++++=EXTRAWORD
" ^zz++++="Hi,"
hi ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said,
, ^zz++++=EXTRAWORD
looking ^vbg+++xvbg+=looking
around ^rp++++=around.
. ^zz++++=EXTRAWORD
" ^zz++++="It's
it ^pp3+it+++=EXTRAWORD
's ^vbz+bez+vrb++0=EXTRAWORD
all ^abn++++=all
right ^jj++++=right.
. ^zz++++=EXTRAWORD
Larry ^np++++=Larry's
's ^$++++=EXTRAWORD
at ^rb++++=at
the ^ati++++=the
office ^nn++++=office."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Fine."
fine ^jj++++=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Bob ^np++++=Bob
gazed ^vbd+++xvbn+=gazed
at ^rb++++=at
her ^pp3o+pp3+++=her
slim ^jj+atrb+++=slim
legs ^nns++++=legs
below ^in+pl+++=below
the ^ati++++=the
hem ^nn++++=hem
of ^in++++=of
the ^ati++++=the
robe ^nn++++=robe.
. ^zz++++=EXTRAWORD
" ^zz++++="How
how ^wrb+who+++=EXTRAWORD
nice ^jj++++=nice
you ^pp2+pp2+++=you
look ^vb++++=look
today ^nr+tm+++=today."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
laughed ^vbd+++xvbnx+=laughed.
. ^zz++++=EXTRAWORD
" ^zz++++="Be
be ^vb+be+vrb++=EXTRAWORD
careful ^jj+pred+++=careful!
! ^zz++++=EXTRAWORD
Maybe ^rb+hdg+++=Maybe
I ^pp1a+pp1+++=I
should ^md+nec+++=shouldn't
n't ^xnot++not++0=EXTRAWORD
let ^vb+++xvbn+=let
you ^pp2+pp2+++=you
in ^in++++=in
after ^in++++=after
all ^abn++++=all."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
looked ^vbd+++xvbnx+=looked
at ^rb++++=at
one ^cd1++++=one
another ^dt++++=another,
, ^zz++++=EXTRAWORD
half ^abn++++=half
amused ^jj+++xvbn+=amused
half ^abn++++=half
frightened ^jj+++xvbn+=frightened.
. ^zz++++=EXTRAWORD
Presently ^rb+tm+++=Presently
Bob ^np++++=Bob
said ^vbd+vpub++xvbn+=said,
, ^zz++++=EXTRAWORD
" ^zz++++="If
if ^cs+cnd+++=EXTRAWORD
you ^pp2+pp2+++=you
want ^vb++++=want,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I'll
'll ^md+prd+++0=EXTRAWORD
" ^zz++++="
" ^zz++++="No,
no ^at++++=EXTRAWORD
, ^zz++++=EXTRAWORD
for ^in++++=for
God ^np++++=God's
's ^$++++=EXTRAWORD
sake ^nn++++=sake."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
caught ^vbd+++xvbnx+=caught
hold ^nn++++=hold
of ^in++++=of
his ^pp$+pp3+++=his
sleeve ^nn++++=sleeve.
. ^zz++++=EXTRAWORD
" ^zz++++="Just
just ^rb+emph+++=EXTRAWORD
get ^vb++++=get
out ^rb+phrv+++=out
of ^in++++=of
the ^ati++++=the
doorway ^nn++++=doorway
so ^ql++++=so
I ^pp1a+pp1+++=I
can ^md+pos+++=can
close ^vb++++=close
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
Mrs ^npt++++=Mrs.
. ^zz++++=EXTRAWORD
Peters ^np++++=Peters
across ^in+pl+++=across
the ^ati++++=the
street ^nn++++=street,
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
know ^vb+vprv+++=know."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
closed ^vbd+++xvbnx+=closed
the ^ati++++=the
door ^nn++++=door.
. ^zz++++=EXTRAWORD
" ^zz++++="And
and ^cc++++=EXTRAWORD
I ^pp1a+pp1+++=I
want ^vb++++=want
to ^to+vcmp+++=to
show ^vbi+vprv+tht0++=show
you ^pp2+pp2+++=you
something ^pn++++=something,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
said ^vbd+vpub++xvbnx+=said.
. ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
have ^vb+hv+aux++=haven't
n't ^xnot++not++0=EXTRAWORD
seen ^vprf+++xvbn+=seen
it ^pp3+it+++=it."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+vrb++=was
interested ^jj+pred+++=interested.
. ^zz++++=EXTRAWORD
" ^zz++++="An
an ^at++++=EXTRAWORD
antique ^jj++++=antique?
? ^zz++++=EXTRAWORD
Or ^cc+cls+++=Or
what ^wdt+who+++=what?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
took ^vbd+++xvbnx+=took
his ^pp$+pp3+++=his
arm ^nn++++=arm,
, ^zz++++=EXTRAWORD
leading ^jj+++xvbg+=leading
him ^pp3o+pp3+++=him
toward ^in++++=toward
the ^ati++++=the
dining ^jj+++xvbg+=dining-room.
- ^zz++++=EXTRAWORD
room ^nn++++=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++="You'll
you ^pp2+pp2+++=EXTRAWORD
'll ^md+prd+++0=EXTRAWORD
love ^vb++++=love
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
Bobby ^np++++=Bobby."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
stopped ^vbd+++xvbnx+=stopped,
, ^zz++++=EXTRAWORD
wide ^jj++++=wide-eyed.
- ^zz++++=EXTRAWORD
eyed ^vbd+++xvbn+=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
hope ^nn++++=hope
you ^pp2+pp2+++=you
will ^md+prd+++=will.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
must ^md+nec+++=must;
; ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
must ^md+nec+++=must
love ^vb++++=love
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
means ^nns++++=means
so ^ql++++=so
much ^ap++++=much
to ^in++++=to
me ^pp1o+pp1+++=me
he ^pp3a+pp3+++=he
means ^nns++++=means
so ^ql++++=so
much ^ap++++=much."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="He?"
he ^pp3a+pp3+++=EXTRAWORD
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Bob ^np++++=Bob
frowned ^vbd+++xvbn+=frowned.
. ^zz++++=EXTRAWORD
" ^zz++++="Who
who ^whp+who+whq++=EXTRAWORD
is ^vbz+bez+aux++=is
he ^pp3a+pp3+++=he?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Doris ^np++++=Doris
laughed ^vbd+++xvbn+=laughed.
. ^zz++++=EXTRAWORD
" ^zz++++="You're
you ^pp2+pp2+++=EXTRAWORD
're ^vb+ber+vrb++0=EXTRAWORD
jealous ^jj+pred+++=jealous!
! ^zz++++=EXTRAWORD
Come ^vprf+++xvbn+=Come
on ^in+strn+++=on."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
A ^at++++=A
moment ^nn++++=moment
later ^rbr+tm+++=later
they ^pp3a+pp3+++=they
stood ^vbd+++xvbnx+=stood
before ^in++++=before
the ^ati++++=the
clock ^nn++++=clock,
, ^zz++++=EXTRAWORD
looking ^vbg+++xvbg+=looking
up ^rp++++=up
at ^in++++=at
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
" ^zz++++="He'll
he ^pp3a+pp3+++=EXTRAWORD
'll ^md+prd+++0=EXTRAWORD
come ^vb++++=come
out ^rb+phrv+++=out
in ^in+ppvb+++=in
a ^ap++++=a
few ^ap"++++=few
minutes ^nns++++=minutes.
. ^zz++++=EXTRAWORD
Wait ^vb++++=Wait
until ^cs+sub+++=until
you ^pp2+pp2+++=you
see ^vb+vprv+++=see
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
know ^vb+vprv+tht0++=know
you ^pp2+pp2+++=you
two ^cd++++=two
will ^md+prd+++=will
get ^vb++++=get
along ^in++++=along
just ^rb+emph+++=just
fine ^jj++++=fine."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="What
what ^wdt+who+++=EXTRAWORD
does ^vbz+doz+aux++=does
Larry ^np++++=Larry
think ^vb+vprv+++=think
of ^in++++=of
him ^pp3o+pp3+++=him?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="They
they ^pp3a+pp3+++=EXTRAWORD
do ^vb+do+vrb++=don't
n't ^xnot++not++0=EXTRAWORD
like ^in++++=like
each ^dt++++=each
other ^ap++++=other.
. ^zz++++=EXTRAWORD
Sometimes ^rb++++=Sometimes
when ^wrb+who+++=when
Larry ^np++++=Larry's
's ^$++++=EXTRAWORD
here ^rn+pl+++=here
he ^pp3a+pp3+++=he
will ^md+prd+++=won't
n't ^xnot++not++0=EXTRAWORD
come ^vb++++=come
out ^rp+pl+++=out.
. ^zz++++=EXTRAWORD
Larry ^np++++=Larry
gets ^vbz++++=gets
mad ^jj++++=mad
if ^cs+cnd+++=if
he ^pp3a+pp3+++=he
does ^vbz+doz+aux++=doesn't
n't ^xnot++not++0=EXTRAWORD
come ^vb++++=come
out ^rp+pl+++=out
on ^in++++=on
time ^nn++++=time.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
says ^vbz+vpub+++=says
" ^zz++++="
" ^zz++++="Says
says ^vbz+vpub+++=EXTRAWORD
what ^wdt+who+whcl++=what?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Doris ^np++++=Doris
looked ^vbd+++xvbn+=looked
down ^rp++++=down.
. ^zz++++=EXTRAWORD
" ^zz++++="He
he ^pp3a+pp3+++=EXTRAWORD
always ^rb++++=always
says ^vbz+vpub+tht0++=says
he ^pp3a+pp3+++=he's
's ^vbz+bez+aux++0=EXTRAWORD
been ^vpsv++agls+xvbnx+=been
robbed ^vpsv++agls+xvbnx+=robbed,
, ^zz++++=EXTRAWORD
even ^cs+sub+++=even
if ^cs+cnd+++=if
he ^pp3a+pp3+++=he
did ^vbd+dod+aux++=did
get ^vb++++=get
it ^pp3+it+++=it
wholesale ^jjb++++=wholesale."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
brightened ^vbd+++xvbnx+=brightened.
. ^zz++++=EXTRAWORD
" ^zz++++="But
but ^cc++++=EXTRAWORD
I ^pp1a+pp1+++=I
know ^vb+vprv+tht0++=know
he ^pp3a+pp3+++=he
will ^md+prd+++=won't
n't ^xnot++not++0=EXTRAWORD
come ^vb++++=come
out ^rp+pl+++=out
because ^cs+cos+++=because
he ^pp3a+pp3+++=he
does ^vbz+doz+vrb++=doesn't
n't ^xnot++not++0=EXTRAWORD
like ^in++++=like
Larry ^np++++=Larry.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
I ^pp1a+pp1+++=I'm
'm ^vb+bem+vrb++0=EXTRAWORD
here ^rn+pl+++=here
alone ^rb++++=alone
he ^pp3a+pp3+++=he
comes ^vbz++++=comes
right ^nn++++=right
out ^rb+phrv+++=out
for ^in+ppvb+++=for
me ^pp1o+pp1+++=me,
, ^zz++++=EXTRAWORD
every ^at++++=every
fifteen ^cd++++=fifteen
minutes ^nns++++=minutes,
, ^zz++++=EXTRAWORD
even ^cs+sub+++=even
though ^cs+sub+++=though
he ^pp3a+pp3+++=he
really ^rb+emph+++=really
only ^rb+down+++=only
has ^md"++pmd"++=has
to ^md+nec+++=to
come ^vb++++=come
out ^rp+pl+++=out
on ^in++++=on
the ^ati++++=the
hour ^nn++++=hour."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
gazed ^vbd+++xvbnx+=gazed
up ^rp++++=up
at ^in++++=at
the ^ati++++=the
clock ^nn++++=clock.
. ^zz++++=EXTRAWORD
" ^zz++++="He
he ^pp3a+pp3+++=EXTRAWORD
comes ^vbz++++=comes
out ^rb+phrv+++=out
for ^in+ppvb+++=for
me ^pp1o+pp1+++=me
because ^cs+cos+++=because
he ^pp3a+pp3+++=he
wants ^vbz++++=wants
to ^to+vcmp+++=to.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
talk ^nn++++=talk;
; ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
tell ^vb++++=tell
him ^pp3o+pp3+++=him
things ^nns++++=things.
. ^zz++++=EXTRAWORD
Of ^in+emph+++=Of
course ^nn+emph"+++=course,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++0=I'd
'd ^md+prd+vrb++=EXTRAWORD
like ^vb++++=like
to ^to+vcmp+++=to
have ^vbi++++=have
him ^pp3o+pp3+++=him
upstairs ^jjb++++=upstairs
in ^in++++=in
my ^pp$+pp1+++=my
room ^nn++++=room,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
it ^pp3+it+++=it
would ^md+prd+++=wouldn't
n't ^xnot++not++0=EXTRAWORD
be ^vb+be+vrb++=be
right ^jj+pred+++=right."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
There ^ex+pex+++=There
was ^vbd+bedz+vrb++=was
the ^ati++++=the
sound ^nn++++=sound
of ^in++++=of
footsteps ^nns++++=footsteps
on ^in++++=on
the ^ati++++=the
front ^jjb+atrb+++=front
porch ^nn++++=porch.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
looked ^vbd+++xvbnx+=looked
at ^rb++++=at
each ^dt++++=each
other ^ap++++=other,
, ^zz++++=EXTRAWORD
horrified ^j+++xvbn+=horrified.
. ^zz++++=EXTRAWORD
Larry ^np++++=Larry
pushed ^vwbn+++xvbn+=pushed
the ^ati++++=the
front ^jjb+atrb+++=front
door ^nn++++=door
open ^nn++++=open,
, ^zz++++=EXTRAWORD
grunting ^vbg+++xvbg+=grunting.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
set ^vbd+++xvbnx+=set
his ^pp$+pp3+++=his
briefcase ^nn++++=briefcase
down ^in++++=down
and ^cc++++=and
took ^vpsv++agls+xvbn+=took
off ^rb+phrv+++=off
his ^pp$+pp3+++=his
hat ^nn++++=hat.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
he ^pp3a+pp3+++=he
saw ^vbd+vprv++xvbnx+=saw
Bob ^np++++=Bob
for ^in++++=for
the ^ati++++=the
first ^od++++=first
time ^nn++++=time.
. ^zz++++=EXTRAWORD
" ^zz++++="Chambers.
chambers ^nns+nom+++=EXTRAWORD
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I'll
'll ^md+prd+++0=EXTRAWORD
be ^vb+be+aux++=be
damned ^vpsv++agls+xvbnx+=damned."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
eyes ^nns++++=eyes
narrowed ^vbd+++xvbn+=narrowed.
. ^zz++++=EXTRAWORD
" ^zz++++="What
what ^wdt+who+whq++=EXTRAWORD
are ^vb+ber+aux++=are
you ^pp2+pp2+++=you
doing ^vbg+++xvbg+=doing
here ^rn+pl+++=here?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
came ^vbd+++xvbnx+=came
into ^in+ppvb+++=into
the ^ati++++=the
dining ^jj+++xvbg+=dining-room.
- ^zz++++=EXTRAWORD
room ^nn++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Doris ^np++++=Doris
drew ^vbd+++xvbn+=drew
her ^pp$+pp3+++=her
robe ^nn++++=robe
about ^rb++++=about
her ^pp3o+pp3+++=her
helplessly ^rb+cnj+++=helplessly,
, ^zz++++=EXTRAWORD
