Mr ^npt++++=Mr.
saying ^vbg+++xvbg+=EXTRAWORD
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
got ^vbd+++xvbn+=got
to ^to+vcmp+++=to
do ^vbi++++=do
this ^dt+pdem+++=this,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
we ^pp1a+pp1+++=we
got ^vbd+++xvbn+=got
to ^to+vcmp+++=to
do ^vbi++++=do
that ^dt+pdem+++=that--"
-- ^--+clp+++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="If
if ^cs+cnd+++=EXTRAWORD
you ^pp2+pp2+++=you
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
mean ^vb+vprv+++=mean
to ^to+vcmp+++=to
study ^vb++++=study
my ^pp$+pp1+++=my
connection ^nn+nom+++=connection,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Coombes ^np++++=Coombes,
, ^zz++++=EXTRAWORD
" ^zz++++="what
what ^wdt+who+whq++=EXTRAWORD
did ^vbd+dod+aux++=did
you ^pp2+pp2+++=you
marry ^vb++++=marry
me ^pp1o+pp1+++=me
for ^in+strn+++=for?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
wonder ^vb++++=wonder,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Jennie ^np+++??+=Jennie,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
turned ^vbd+++xvbn+=turned
back ^rb+phrv+++=back
to ^in++++=to
the ^ati++++=the
piano ^nn++++=piano.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
never ^rb++++=never
saw ^vbd+vprv++xvbn+=saw
such ^abl++++=such
a ^at++++=a
man ^nn++++=man
as ^ql++++=as
you ^pp2+pp2+++=you,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Mrs ^npt++++=Mrs.
. ^zz++++=EXTRAWORD
Coombes ^np++++=Coombes.
. ^zz++++=EXTRAWORD
" ^zz++++="You've
you ^pp2+pp2+++=EXTRAWORD
've ^vb+hv+aux++0=EXTRAWORD
altered ^vprf+++xvbnx+=altered
all ^abn++++=all
round ^in++++=round
since ^cs+sub+++=since
we ^pp1a+pp1+++=we
were ^vbd+bed+aux++=were
married ^vpsv++agls+xvbnx+=married.
. ^zz++++=EXTRAWORD
Before ^in+strn+++=Before--"
-- ^--+clp+++=EXTRAWORD
" ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
Jennie ^np+++??+=Jennie
began ^vbd+++xvbn+=began
at ^in++++=at
the ^ati++++=the
turn ^nn++++=turn,
, ^zz++++=EXTRAWORD
turn ^nn++++=turn,
, ^zz++++=EXTRAWORD
turn ^nn++++=turn
again ^rb+tm+++=again.
. ^zz++++=EXTRAWORD
" ^zz++++="Look
look ^vb++++=EXTRAWORD
here ^rn+pl+++=here!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Coombes ^np++++=Coombes,
, ^zz++++=EXTRAWORD
driven ^xvbn+++xvbn+=driven
at ^rb++++=at
last ^rb"++++=last
to ^in++++=to
revolt ^nn++++=revolt,
, ^zz++++=EXTRAWORD
standing ^vbg+++xvbg+=standing
up ^rp++++=up
and ^cc++++=and
raising ^vbg+++xvbg+=raising
his ^pp$+pp3+++=his
voice ^nn++++=voice.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
tell ^vb++++=tell
you ^pp2+pp2+++=you
I ^pp1a+pp1+++=I
will ^md+prd+++=won't
n't ^xnot++not++0=EXTRAWORD
have ^vb+hv+vrb++=have
that ^dt+pdem+++=that."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
The ^ati++++=The
frock ^nn++++=frock-coat
- ^zz++++=EXTRAWORD
coat ^nn++++=EXTRAWORD
heaved ^vbd+++xvbn+=heaved
with ^in++++=with
his ^pp$+pp3+++=his
indignation ^nn+nom+++=indignation.
. ^zz++++=EXTRAWORD
" ^zz++++="No
no ^at++++=EXTRAWORD
vi ^nn+++??+=vi'lence,
'lence, ^nn+++??+=EXTRAWORD
now ^rn+tm+++=now,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
the ^ati++++=the
long ^jj+atrb+++=long
young ^jj+atrb+++=young
man ^nn++++=man
in ^in++++=in
drab ^jj++++=drab,
, ^zz++++=EXTRAWORD
sitting ^vbg+++xvbg+=sitting
up ^rp++++=up.
. ^zz++++=EXTRAWORD
" ^zz++++="Who
who ^whp+who+++=EXTRAWORD
the ^ati++++=the
juice ^nn++++=juice
are ^vb+ber+vrb++=are
you ^pp2+pp2+++=you?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Coombes ^np++++=Coombes
fiercely ^rb++++=fiercely.
. ^zz++++=EXTRAWORD
Whereupon ^cs+sub+++=Whereupon
they ^pp3a+pp3+++=they
all ^rb++++=all
began ^vbd+++xvbn+=began
talking ^vbg+++xvbg+=talking
at ^rb++++=at
once ^rb"+tm+++=once.
. ^zz++++=EXTRAWORD
The ^ati++++=The
new ^jj+atrb+++=new
guest ^nn++++=guest
said ^vbd+vpub+tht0+xvbn+=said
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
Jennie ^np++++=Jennie's
's ^$++++=EXTRAWORD
" ^zz++++="intended,"
intended ^vbd+vsua++xvbn+=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
and ^cc++++=and
meant ^vbd+vprv++xvbn+=meant
to ^to+vcmp+++=to
protect ^vbi++++=protect
her ^pp$+pp3+++=her,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Coombes ^np++++=Coombes
said ^vbd+vpub+tht0+xvbn+=said
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
welcome ^jj+pred+++=welcome
to ^to+jcmp+++=to
do ^vbi++++=do
so ^ql++++=so
anywhere ^rb++++=anywhere
but ^cc++++=but
in ^in++++=in
his ^pp$+pp3+++=his
( ^zz++++=(Mr.
mr ^npt++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Coombes ^np++++=Coombes')
') ^nn+++??+=EXTRAWORD
house ^npl++++=house;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Mrs ^npt++++=Mrs.
. ^zz++++=EXTRAWORD
Coombes ^np++++=Coombes
said ^vbd+vpub+tht0+xvbn+=said
he ^pp3a+pp3+++=he
ought ^md"+nec+pmd"++=ought
to ^md+nec+++=to
be ^vbi++vrb++=be
ashamed ^jj++++=ashamed
of ^in++++=of
insulting ^jj++++=insulting
his ^pp$+pp3+++=his
guests ^nns++++=guests,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
( ^zz++++=(as
as ^ql++++=EXTRAWORD
I ^pp1a+pp1+++=I
have ^vb+hv+aux++=have
already ^rb++splt++=already
mentioned ^vprf+++xvbnx+=mentioned)
) ^zz++++=EXTRAWORD
that ^dt+dem+++=that
he ^pp3a+pp3+++=he
was ^vbd+bedz+aux++=was
getting ^vbg+++xvbgx+=getting
a ^at++++=a
regular ^jj+atrb+++=regular
little ^jj+atrb+++=little
grub ^nn++++=grub;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
end ^nn++++=end
was ^vbd+bedz+vrb++=was,
, ^zz++++=EXTRAWORD
that ^tht+vcmp+++=that
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Coombes ^np++++=Coombes
ordered ^vbd+vsua++xvbn+=ordered
his ^pp$+pp3+++=his
visitors ^nns++++=visitors
out ^rp+pl+++=out
of ^in++++=of
the ^ati++++=the
house ^nn++++=house,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
they ^pp3a+pp3+++=they
would ^md+prd+++=wouldn't
n't ^xnot++not++0=EXTRAWORD
go ^vb++++=go,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
so ^ql++++=so
he ^pp3a+pp3+++=he
said ^vbd+vpub+tht0+xvbnx+=said
he ^pp3a+pp3+++=he
would ^md+prd+++=would
go ^vb++++=go
himself ^ppl+pp3+++=himself.
. ^zz++++=EXTRAWORD
With ^in++++=With
his ^pp$+pp3+++=his
face ^nn++++=face
burning ^vwbg+++xvbg+=burning
and ^cc++++=and
tears ^nns++++=tears
of ^in++++=of
excitement ^nn+nom+++=excitement
in ^in++++=in
his ^pp$+pp3+++=his
eyes ^nns++++=eyes,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
went ^vbd+++xvbnx+=went
into ^in++++=into
the ^ati++++=the
passage ^nn+nom+++=passage,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
as ^ql++++=as
he ^pp3a+pp3+++=he
struggled ^vbd+++xvbnx+=struggled
with ^in++++=with
his ^pp$+pp3+++=his
overcoat ^nn++++=overcoat--his
-- ^--+clp+++=EXTRAWORD
his ^pp$+pp3+++=EXTRAWORD
frock ^nn++++=frock-coat
- ^zz++++=EXTRAWORD
coat ^nn++++=EXTRAWORD
sleeves ^nns++++=sleeves
got ^vbd+++xvbn+=got
concertinaed ^vbd+++xvbn+=concertinaed
up ^rp++++=up
his ^pp$+pp3+++=his
arm ^nn++++=arm--and
-- ^--+clp+++=EXTRAWORD
and ^cc+cls+++=EXTRAWORD
gave ^vbd+++xvbn+=gave
a ^at++++=a
brush ^nn++++=brush
at ^rb++++=at
his ^pp$+pp3+++=his
silk ^nn++++=silk
hat ^nn++++=hat,
, ^zz++++=EXTRAWORD
Jennie ^np+++??+=Jennie
began ^vbd+++xvbn+=began
again ^rb+tm+++=again
at ^in++++=at
the ^ati++++=the
piano ^nn++++=piano,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
strummed ^jj+++xvbn+=strummed
him ^pp3o+pp3+++=him
insultingly ^rb++++=insultingly
out ^rp+pl+++=out
of ^in++++=of
the ^ati++++=the
house ^nn++++=house.
. ^zz++++=EXTRAWORD
Turn ^nn++++=Turn,
, ^zz++++=EXTRAWORD
turn ^nn++++=turn,
, ^zz++++=EXTRAWORD
turn ^nn++++=turn.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
slammed ^vbd+++xvbnx+=slammed
the ^ati++++=the
shop ^nn++++=shop
door ^nn++++=door
so ^ql++++=so
that ^cs+sub+++=that
the ^ati++++=the
house ^npl++++=house
quivered ^vbd+++xvbn+=quivered.
. ^zz++++=EXTRAWORD
That ^dt+pdem+++=That,
, ^zz++++=EXTRAWORD
briefly ^rb+cnj+++=briefly,
, ^zz++++=EXTRAWORD
was ^vbd+bedz+vrb++=was
the ^ati++++=the
immediate ^jj++++=immediate
making ^jj+++xvbg+=making
of ^in++++=of
his ^pp$+pp3+++=his
mood ^nn++++=mood.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
will ^md+prd+++=will
perhaps ^rb++splt++=perhaps
begin ^vb++++=begin
to ^to++++=to
understand ^vbi+vprv+++=understand
his ^pp$+pp3+++=his
disgust ^nn++++=disgust
with ^in++++=with
existence ^nn+nom+++=existence.
. ^zz++++=EXTRAWORD
As ^ql++++=As
he ^pp3a+pp3+++=he
walked ^vbd+++xvbnx+=walked
along ^in++++=along
the ^ati++++=the
muddy ^jj+atrb+++=muddy
path ^nn++++=path
under ^in++++=under
the ^ati++++=the
firs, ^nn+++??+=firs,--it
-- ^--+clp+++=EXTRAWORD
it ^pp3+it+++=EXTRAWORD
was ^vbd+bedz+vrb++=was
late ^jj+atrb+++=late
October ^nr++++=October,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
ditches ^nns++++=ditches
and ^cc++++=and
heaps ^nns++++=heaps
of ^in++++=of
fir ^nn++++=fir
needles ^nps++++=needles
were ^vbd+bed+vrb++=were
gorgeous ^jj+pred+++=gorgeous
with ^in++++=with
clumps ^nns++++=clumps
of ^in++++=of
fungi, ^nn+++??+=fungi,--he
-- ^--+clp+++=EXTRAWORD
he ^pp3a+pp3+++=EXTRAWORD
recapitulated ^vbd+++xvbnx+=recapitulated
the ^ati++++=the
melancholy ^jj+atrb+++=melancholy
history ^nn++++=history
of ^in++++=of
his ^pp$+pp3+++=his
marriage ^nn+nom+++=marriage.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
brief ^jj+pred+++=brief
and ^cc++++=and
commonplace ^nn++++=commonplace
enough ^qlp++++=enough.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
now ^rn+tm+++=now
perceived ^vbd+vprv++xvbn+=perceived
with ^in++++=with
sufficient ^jj+atrb+++=sufficient
clearness ^nns+nom+++=clearness
that ^tht+rel+obj++=that
his ^pp$+pp3+++=his
wife ^nn++++=wife
had ^vbd+hvd+aux++=had
married ^vprf+++xvbnx+=married
him ^pp3o+pp3+++=him
out ^rp+pl+++=out
of ^in++++=of
a ^at++++=a
natural ^jj+atrb+++=natural
curiosity ^nn+nom+++=curiosity
and ^cc++++=and
in ^to++++=in
order ^vb++++=order
to ^to+vcmp+++=to
escape ^vb++++=escape
from ^in++++=from
her ^pp$+pp3+++=her
worrying ^vbg+++xvbg+=worrying,
, ^zz++++=EXTRAWORD
laborious ^jj++++=laborious,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
uncertain ^jj+atrb+++=uncertain
life ^nn++++=life
in ^in++++=in
the ^ati++++=the
workroom ^nn+++??+=workroom;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and,
, ^zz++++=EXTRAWORD
like ^in++++=like
the ^ati++++=the
majority ^nn+nom+++=majority
of ^in++++=of
her ^pp$+pp3+++=her
class ^nn++++=class,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
was ^vbd+bedz+vrb++=was
far ^rb+pl+++=far
too ^rb++++=too
stupid ^jj++++=stupid
to ^to+jcmp+++=to
realise ^vbi+vprv+++=realise
that ^tht+vcmp+++=that
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
her ^pp$+pp3+++=her
duty ^nn++++=duty
to ^to+ncmp+++=to
co ^vb++++=co-operate
- ^zz++++=EXTRAWORD
operate ^nn+nom+++=EXTRAWORD
with ^in++++=with
him ^pp3o+pp3+++=him
in ^in++++=in
his ^pp$+pp3+++=his
business ^nns+nom+++=business.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
was ^vbd+bedz+vrb++=was
greedy ^jj+pred+++=greedy
of ^in++++=of
enjoyment ^nn+nom+++=enjoyment,
, ^zz++++=EXTRAWORD
loquacious ^jj++++=loquacious,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
socially ^rb++++=socially-minded,
- ^zz++++=EXTRAWORD
minded ^jj+++xvbn+=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
evidently ^rb++++=evidently
disappointed ^jj+++xvbn+=disappointed
to ^to+jcmp+++=to
find ^vbi+vprv+++=find
the ^ati++++=the
restraints ^nns++++=restraints
of ^in++++=of
poverty ^nn++++=poverty
still ^rb++++=still
hanging ^vbg+++xvbg+=hanging
about ^in++++=about
her ^pp$+pp3+++=her.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
worries ^vbz++++=worries
exasperated ^jj++++=exasperated
her ^pp$+pp3+++=her,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
slightest ^jjt+atrb+++=slightest
attempt ^nn++++=attempt
to ^to+ncmp+++=to
control ^vbi++++=control
her ^pp$+pp3+++=her
proceedings ^nns++++=proceedings
resulted ^vbd+++xvbn+=resulted
in ^in++++=in
a ^at++++=a
charge ^nn++++=charge
of ^in++++=of
" ^zz++++="grumbling."
grumbling ^vbg+nom++xvbg+=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Why ^wrb+who+whq++=Why
could ^md+pos+++=couldn't
n't ^xnot++not++0=EXTRAWORD
he ^pp3a+pp3+++=he
be ^vb+be+vrb++=be
nice ^jj+pred+++=nice-as
- ^zz++++=EXTRAWORD
as ^ql++++=EXTRAWORD
he ^pp3a+pp3+++=he
used ^md"++pmd"++=used
to ^to++++=to
be ^vbi++vrb++=be?
? ^zz++++=EXTRAWORD
And ^cc+cls+++=And
Coombes ^np+++??+=Coombes
was ^vbd+bedz+vrb++=was
such ^abl++++=such
a ^at++++=a
harmless ^jj+atrb+++=harmless
little ^jj+atrb+++=little
man ^nn++++=man,
, ^zz++++=EXTRAWORD
too ^rb+cnj+++=too,
, ^zz++++=EXTRAWORD
nourished ^vprf+++xvbn+=nourished
mentally ^rb++++=mentally
on ^in++++=on
_self ^nn+++??+=_Self-Help_,
- ^zz++++=EXTRAWORD
help_ ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
with ^in++++=with
a ^at++++=a
meagre ^jj+atrb+++=meagre
ambition ^nn+nom+++=ambition
of ^in++++=of
self ^nn++++=self-denial
- ^zz++++=EXTRAWORD
denial ^nn++++=EXTRAWORD
and ^cc++++=and
competition ^nn+nom+++=competition,
, ^zz++++=EXTRAWORD
that ^dt+pdem+++=that
was ^vbd+bedz+vrb++=was
to ^in++++=to
end ^nn++++=end
in ^in++++=in
a ^at++++=a
" ^zz++++="sufficiency."
sufficiency ^nn++++=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
Jennie ^np+++??+=Jennie
came ^vbd+++xvbn+=came
in ^in++++=in
as ^in++++=as
a ^at++++=a
female ^jj+atrb+++=female
Mephistopheles ^np+++??+=Mephistopheles,
, ^zz++++=EXTRAWORD
a ^at++++=a
gabbling ^nn+nom+++=gabbling
chronicle ^nn++++=chronicle
of ^in++++=of
" ^zz++++="fellers,"
fellers ^nns+nom+++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
and ^cc++++=and
was ^vbd+bedz+aux++=was
always ^rb++splt++=always
wanting ^vbg+++xvbgx+=wanting
his ^pp$+pp3+++=his
wife ^nn++++=wife
to ^to++++=to
go ^vbi++++=go
to ^in++++=to
theatres ^nns++++=theatres,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
" ^zz++++="all
all ^abn++++=EXTRAWORD
that ^dt+pdem+++=that."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
And ^cc++++=And
in ^in++++=in
addition ^nn+nom+++=addition
were ^vbd+bed+vrb++=were
aunts ^nns++++=aunts
of ^in++++=of
his ^pp$+pp3+++=his
wife ^nn++++=wife,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
cousins ^nns++++=cousins
( ^zz++++=(male
male ^jj++++=EXTRAWORD
and ^cc+phrs+++=and
female ^jj++++=female)
) ^zz++++=EXTRAWORD
to ^to++++=to
eat ^vbi++++=eat
up ^rp++++=up
capital ^nn++++=capital,
, ^zz++++=EXTRAWORD
insult ^nn++++=insult
him ^pp3o+pp3+++=him
personally ^rb+cnj+++=personally,
, ^zz++++=EXTRAWORD
upset ^jj+atrb++xvbn+=upset
business ^nns+nom+++=business
arrangements ^nns+nom+++=arrangements,
, ^zz++++=EXTRAWORD
annoy ^nn+++??+=annoy
good ^jj+atrb+++=good
customers ^nns+nom+++=customers,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
generally ^rb+down+++=generally
blight ^nn++++=blight
his ^pp$+pp3+++=his
life ^nn++++=life.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
not ^xnot++not++=not
the ^ati++++=the
first ^od++++=first
occasion ^nn++++=occasion
by ^in++++=by
many ^ap++++=many
that ^cs+sub+++=that
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Coombes ^np++++=Coombes
had ^vbd+hvd+aux++=had
fled ^vprf+++xvbnx+=fled
his ^pp$+pp3+++=his
home ^nr++++=home
in ^in++++=in
wrath ^nn++++=wrath
and ^cc++++=and
indignation ^nn+nom+++=indignation,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
something ^pn++++=something
like ^in++++=like
fear ^vb++++=fear,
, ^zz++++=EXTRAWORD
vowing ^jj+++xvbg+=vowing
furiously ^rb++++=furiously
and ^cc+phrs+++=and
even ^rb++++=even
aloud ^rb++++=aloud
that ^cs+sub+++=that
he ^pp3a+pp3+++=he
would ^md+prd+++=wouldn't
n't ^xnot++not++0=EXTRAWORD
stand ^vb++++=stand
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
so ^ql+emph+++=so
frothing ^jj+++xvbg+=frothing
away ^rp+pl+++=away
his ^pp$+pp3+++=his
energy ^nn++++=energy
along ^in++++=along
the ^ati++++=the
line ^nn++++=line
of ^in++++=of
least ^rbt++++=least
resistance ^nn+nom+++=resistance.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
never ^rb++++=never
before ^cs+sub+++=before
had ^vb+hv+aux++=had
he ^pp3a+pp3+++=he
been ^vb+vbd+vrb+xvbnx+=been
quite ^abl++++=quite
so ^ql+emph+++=so
sick ^jj++++=sick
of ^in++++=of
life ^nn++++=life
as ^ql++++=as
on ^in++++=on
this ^dt+dem+++=this
particular ^jj+atrb+++=particular
Sunday ^nr++++=Sunday
afternoon ^nn++++=afternoon.
. ^zz++++=EXTRAWORD
The ^ati++++=The
Sunday ^nr++++=Sunday
dinner ^nn++++=dinner
may ^md+pos+++=may
have ^vb+hv+aux++=have
had ^vb+hv+vrb++=had
its ^pp$+it+++=its
share ^nn++++=share
in ^in++++=in
his ^pp$+pp3+++=his
despair ^nn++++=despair--and
-- ^--+clp+++=EXTRAWORD
and ^cc+cls+++=EXTRAWORD
the ^ati++++=the
greyness ^nns+nom+++=greyness
of ^in++++=of
the ^ati++++=the
sky ^nn++++=sky.
. ^zz++++=EXTRAWORD
Perhaps ^rb+cnj+++=Perhaps,
, ^zz++++=EXTRAWORD
too ^rb+cnj+++=too,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
was ^vbd+bedz+aux++=was
beginning ^vbg+++xvbgx+=beginning
to ^to++++=to
realise ^vbi+vprv+++=realise
his ^pp$+pp3+++=his
unendurable ^jj+atrb+++=unendurable
frustration ^nn+nom+++=frustration
as ^in++++=as
a ^at++++=a
business ^nns+nom+++=business
man ^nn++++=man
as ^in++++=as
the ^ati++++=the
consequence ^nn+nom+++=consequence
of ^in++++=of
his ^pp$+pp3+++=his
marriage ^nn+nom+++=marriage.
. ^zz++++=EXTRAWORD
Presently ^rb+tm+++=Presently
bankruptcy ^nn++++=bankruptcy,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
after ^in++++=after
that ^dt+pdem+++=that---Perhaps
-- ^--+clp+++=EXTRAWORD
- ^zz++++=EXTRAWORD
perhaps ^rb++++=EXTRAWORD
she ^pp3a+pp3+++=she
might ^md+pos+++=might
have ^vb+hv+vrb++=have
reason ^nn++++=reason
to ^to++++=to
repent ^vbi++++=repent
when ^wrb+who+++=when
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
too ^ql++++=too
late ^jj++++=late.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
destiny ^nn++++=destiny,
, ^zz++++=EXTRAWORD
as ^ql++++=as
I ^pp1a+pp1+++=I
have ^vb+hv+aux++=have
already ^rb++splt++=already
intimated ^vprf+++xvbnx+=intimated,
, ^zz++++=EXTRAWORD
had ^vbd+hvd+aux++=had
planted ^vprf+++xvbnx+=planted
the ^ati++++=the
path ^nn++++=path
through ^in++++=through
the ^ati++++=the
wood ^nn++++=wood
with ^in++++=with
evil ^nn++++=evil-smelling
- ^zz++++=EXTRAWORD
smelling ^vbg+nom++xvbg+=EXTRAWORD
fungi ^nns++++=fungi,
, ^zz++++=EXTRAWORD
thickly ^rb++++=thickly
and ^cc+phrs+++=and
variously ^rb++++=variously
planted ^vbd+++xvbn+=planted
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
not ^xnot++not++=not
only ^rb+down+++=only
on ^in++++=on
the ^ati++++=the
right ^jj+atrb+++=right
side ^nn++++=side,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
on ^in++++=on
the ^ati++++=the
left ^nn+++xvbn+=left.
. ^zz++++=EXTRAWORD
A ^at++++=A
small ^jj+atrb+++=small
shopman ^nn++++=shopman
is ^vbz+bez+vrb++=is
in ^in++++=in
such ^abl++++=such
a ^at++++=a
melancholy ^jj+atrb+++=melancholy
position ^nn+nom+++=position,
, ^zz++++=EXTRAWORD
if ^cs+cnd+++=if
his ^pp$+pp3+++=his
wife ^nn++++=wife
turns ^vbz++++=turns
out ^rb+phrv+++=out
a ^at++++=a
disloyal ^jj+atrb+++=disloyal
partner ^nn++++=partner.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
capital ^nn++++=capital
is ^vbz+bez+vrb++=is
all ^abn++++=all
tied ^jj+++xvbn+=tied
up ^rp++++=up
in ^in++++=in
his ^pp$+pp3+++=his
business ^nns+nom+++=business,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
to ^to++++=to
leave ^vbi++++=leave
her ^pp$+pp3+++=her
means ^vbz+vprv+++=means
to ^to++++=to
join ^vbi++++=join
the ^ati++++=the
unemployed ^nn++++=unemployed
in ^in++++=in
some ^dti++++=some
strange ^jj+atrb+++=strange
part ^nn++++=part
of ^in++++=of
the ^ati++++=the
earth ^nn++++=earth.
. ^zz++++=EXTRAWORD
The ^ati++++=The
luxuries ^nns++++=luxuries
of ^in++++=of
divorce ^nn++++=divorce
are ^vb+ber+vrb++=are
beyond ^in++++=beyond
him ^pp3o+pp3+++=him
altogether ^nn+nom+++=altogether.
. ^zz++++=EXTRAWORD
So ^ql++++=So
that ^cs+sub+++=that
the ^ati++++=the
good ^jj+atrb+++=good
old ^jj+atrb+++=old
tradition ^nn+nom+++=tradition
of ^in++++=of
marriage ^nn+nom+++=marriage
for ^in++++=for
better ^jjr++++=better
or ^cc+phrs+++=or
worse ^jjr++++=worse
holds ^vbz+vprv+++=holds
inexorably ^rb++++=inexorably
for ^in++++=for
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
things ^nns++++=things
work ^nn++++=work
up ^rp++++=up
to ^in++++=to
tragic ^jj+atrb+++=tragic
culminations ^nns+nom+++=culminations.
. ^zz++++=EXTRAWORD
Bricklayers ^nns+nom++??+=Bricklayers
kick ^nn++++=kick
their ^pp$+pp3+++=their
wives ^nns++++=wives
to ^in++++=to
death ^nn++++=death,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
dukes ^npts++++=dukes
betray ^vb++++=betray
theirs ^pp$$++++=theirs;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
among ^in++++=among
the ^ati++++=the
small ^jj+atrb+++=small
clerks ^nns++++=clerks
and ^cc++++=and
shopkeepers ^nns+nom+++=shopkeepers
nowadays ^rb+tm+++=nowadays
that ^cs+sub+++=that
it ^pp3+it+++=it
comes ^vbz++++=comes
most ^ql+emph+++=most
often ^rb++++=often
to ^in++++=to
a ^at++++=a
cutting ^jj+++xvbg+=cutting
of ^in++++=of
throats ^nns++++=throats.
. ^zz++++=EXTRAWORD
