' ^zz++++='Way
pretty ^rb++++=pretty
good ^jj+atrb+++=good
lookin ^nn+++??+=lookin'
' ^zz++++=EXTRAWORD
in ^in++++=in
them ^pp3o+pp3+++=them
days ^nns++++=days.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
had ^vb+hv+vrb++=had
a ^rb++++=a
little ^rb"++++=little
difference ^nn+nom+++=difference,
, ^zz++++=EXTRAWORD
and ^cc+cls+++0=an'
then ^rn+tm+++=then
your ^pp$+pp2+++=your
mother ^nn++++=mother
came ^vbd+++xvbn+=came
along ^in+strn+++=along.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
come ^vb++++=come
from ^in+ppvb+++=from
Wardsboro ^np+++??+=Wardsboro,
, ^zz++++=EXTRAWORD
to ^to++++=to
teach ^vbi+vsua+++=teach
the ^ati++++=the
district ^nn++++=district
school ^nn++++=school.
. ^zz++++=EXTRAWORD
And ^cc+cls+++0=An'
your ^pp$+pp2+++=your
father ^nn++++=father
saw ^vbd+vprv+tht0+xvbn+=saw
her ^pp$+pp3+++=her,
, ^zz++++=EXTRAWORD
and ^cc+cls+++0=an'
they ^pp3a+pp3+++=they
were ^vbd+bed+aux++=were
married ^vpsv++agls+xvbnx+=married
almost ^rb+hdg+++=almost
right ^rb++++=right
away ^rp+pl+++=away."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="What
what ^wdt+who+++=EXTRAWORD
did ^vbd+dod+vrb++=did
they ^pp3a+pp3+++=they
quarrel ^nn++++=quarrel
about ^in+strn+++=about?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Quarrel
quarrel ^nn++++=EXTRAWORD
about ^in+strn+++=about?
? ^zz++++=EXTRAWORD
Lor ^np+++??+=Lor',
', ^nn+++??+=EXTRAWORD
nothin ^nn+++??+=nothin'
' ^zz++++=EXTRAWORD
at ^rb++++=at
all ^abn++++=all,
, ^zz++++=EXTRAWORD
near ^rb++++=near's
's ^vbz+bez+aux++0=EXTRAWORD
I ^pp1a+pp1+++=I
could ^md+pos+++=could
make ^vb++++=make
out ^rp+pl+++=out.
. ^zz++++=EXTRAWORD
The ^ati++++=The
amount ^nn++++=amount
of ^in++++=of
it ^pp3+it+++=it
was ^vbd+bedz+aux++=was
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
jest ^rb++++=jest
like ^in++++=like
his ^pp$+pp3+++=his
father ^nn++++=father;
; ^zz++++=EXTRAWORD
never ^rb++++=never
could ^md+pos+++=could
bear ^vb+vprv+++=bear
to ^to+vcmp+++=to
be ^vbi+vbi+aux++=be
contradicted ^vpsv++agls+xvbnx+=contradicted.
. ^zz++++=EXTRAWORD
And ^cc+cls+++0=An'
it ^pp3+it+++=it
seemed ^vbd+seem++xvbn+=seemed
as ^cs+sub+++=as
if ^cs+cnd+++=if
he ^pp3a+pp3+++=he
would ^md+prd+++=would
die ^vb++++=die
if ^cs+cnd+++=if
anybody ^pn++++=anybody
else ^rb+cnj+++=else
got ^vbd+++xvbn+=got
the ^ati++++=the
best ^nn++++=best
of ^in++++=of
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+vrb++=was
a ^at++++=a
real ^rb+emph+++=real
good ^jj+atrb+++=good
boy ^nn++++=boy,
, ^zz++++=EXTRAWORD
too ^ql++++=too;
; ^zz++++=EXTRAWORD
not ^xnot++not++=not
a ^at++++=a
bad ^jj+atrb+++=bad
thing ^nn++++=thing
about ^rb++++=about
him ^pp3o+pp3+++=him
unless ^cs+cnd+++=unless
it ^pp3+it+++0='twas
was ^vbd+bedz+vrb++=EXTRAWORD
that ^dt+pdem+++=that,
, ^zz++++=EXTRAWORD
and ^cc+cls+++0=an'
I ^pp1a+pp1+++=I
dunno ^np++++=dunno's
's ^$++++=EXTRAWORD
you ^pp2+pp2+++=you'd
'd ^md+prd+aux++0=EXTRAWORD
call ^vb++++=call
that ^dt+dem+++=that
bad ^jj++++=bad.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
come ^vb++++=come
by ^in++++=by
it ^pp3+it+++=it
honest ^jj++++=honest
enough ^dt++++=enough.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
dunno ^np++++=dunno
as ^ql++++=as
he ^pp3a+pp3+++=he
could ^md+pos+++=could
help ^vb++++=help
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
All ^abn++++=All
I ^pp1a+pp1+++=I
ever ^rb++++=ever
knew ^vbd+vprv++xvbn+=knew
was ^vbd+bedz+vrb++=was,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
and ^cc++++0=an'
Angeline ^np+++??+=Angeline
got ^vbd+++xvbn+=got
to ^to+vcmp+++=to
disputin ^vb+++??+=disputin'
' ^zz++++=EXTRAWORD
as ^in++++=as
to ^in"++++=to
who ^whp+who+++=who
was ^vbd+bedz+vrb++=was
goin ^nn+++??+=goin'
' ^zz++++=EXTRAWORD
to ^to++++=to
preach ^vbi++++=preach
one ^cd1++++=one
Sunday ^nr++++=Sunday.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
thought ^vbd+++xvbnx+=thought
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
a ^at++++=a
notice ^nn++++=notice
given ^vwbn+++xvbn+=given
out ^rp+pl+++=out
that ^cs+sub+++=that
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Munroe ^np++++=Munroe
he ^pp3a+pp3+++=he
was ^vbd+bedz+aux++=was
settled ^vpsv++agls+xvbnx+=settled
here ^rn+pl+++=here
then ^rn+tm+++=then
was ^vbd+bedz+vrb++=was
goin ^nn+++??+=goin'
' ^zz++++=EXTRAWORD
to ^in++++=to
exchange ^nn++++=exchange
with ^in++++=with
a ^at++++=a
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Pepperell ^np++++=Pepperell
from ^in++++=from
Rowley ^np++++=Rowley,
, ^zz++++=EXTRAWORD
and ^cc+cls+++0=an'
he ^pp3a+pp3+++=he
declared ^vbd+vpub+tht0+xvbnx+=declared
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=wasn't.
n't ^xnot++not++0=EXTRAWORD
. ^zz++++=EXTRAWORD
Angeline ^np+++??+=Angeline
was ^vbd+bedz+aux++=was
a ^rb++splt++=a
little ^rb"++++=little
set ^vb+++xvbn+=set
herself ^ppl+pp3+++=herself;
; ^zz++++=EXTRAWORD
liked ^vb+++xvbn+=liked
to ^to+vcmp+++=to
have ^vbi++++=have
her ^pp$+pp3+++=her
own ^ap++++=own
way ^nn++++=way
pretty ^rb++++=pretty
well ^rb++++=well.
. ^zz++++=EXTRAWORD
" ^zz++++="Well,
well ^rb+cnj+++=EXTRAWORD
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
Sunday ^nr++++=Sunday
came ^vbd+++xvbn+=came,
, ^zz++++=EXTRAWORD
and ^cc+cls+++0=an'
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Pepperell ^np++++=Pepperell
in ^in++++=in
the ^ati++++=the
pulpit ^nn++++=pulpit,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
jest ^rb++++=jest
crowed ^vwbn+++xvbn+=crowed
over ^rp++++=over
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
waited ^vbd+++xvbnx+=waited
in ^in++++=in
the ^ati++++=the
entry ^nn++++=entry
till ^cs+sub+++=till
we ^pp1a+pp1+++=we
came ^vbd+++xvbn+=came
out ^rp+pl+++=out,
, ^zz++++=EXTRAWORD
then ^rn+tm+++=then
she ^pp3a+pp3+++=she
edged ^vbd+++xvbnx+=edged
nearer ^rbr++++=nearer
the ^ati++++=the
door ^nn++++=door,
, ^zz++++=EXTRAWORD
and ^cc+cls+++0=an'
then ^rn+tm+++=then
she ^pp3a+pp3+++=she
gave ^vbd+++xvbnx+=gave
Edward ^np++++=Edward
a ^at++++=a
poke ^nn++++=poke.
. ^zz++++=EXTRAWORD
' ^zz++++='Who
who ^whp+who+whq++=EXTRAWORD
do ^vb+do+aux++=do
you ^pp2+pp2+++=you
think ^vb+vprv+++=think's
's ^vbz+bez+aux++0=EXTRAWORD
going ^md"++pmd"++=going
to ^md+prd+++=to
preach ^vb++++=preach?'
? ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
says ^vbz+vpub+tht0++=says
she ^pp3a+pp3+++=she.
. ^zz++++=EXTRAWORD
Some ^dti++++=Some
of ^in++++=of
the ^ati++++=the
other ^ap++++=other
girls ^nns++++=girls
was ^vbd+bedz+vrb++=was
standin ^nn+++??+=standin'
' ^zz++++=EXTRAWORD
round ^in+strn+++=round,
, ^zz++++=EXTRAWORD
and ^cc+cls+++0=an'
they ^pp3a+pp3+++=they
laughed ^vbd+++xvbnx+=laughed.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
s ^zz++++=s'pose
'pose ^nn+++??+=EXTRAWORD
she ^pp3a+pp3+++0=she'd
'd ^vbd+hvd+aux++=EXTRAWORD
told ^vprf+++xvbnx+=told
' ^zz++++='em.
em ^nn+++??+=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++="Well,
well ^rb+cnj+++=EXTRAWORD
, ^zz++++=EXTRAWORD
Edward ^np++++=Edward
he ^pp3a+pp3+++=he
never ^rb++++=never
laughed ^vbd+++xvbn+=laughed.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
kinder ^jjr++++=kinder
straightened ^jj+++xvbn+=straightened
up ^rp++++=up
and ^cc++++0=an'
walked ^vpsv++agls+xvbn+=walked
off ^in+strn+++=off.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
did ^vbd+dod+aux++=didn't
n't ^xnot++not++0=EXTRAWORD
go ^vb++++=go
to ^to++++=to
see ^vbi+vprv+++=see
her ^pp$+pp3+++=her
that ^dt+dem+++=that
Sunday ^nr++++=Sunday
night ^nn++++=night,
, ^zz++++=EXTRAWORD
and ^cc+cls+++0=an'
he ^pp3a+pp3+++=he
met ^vbd+++xvbnx+=met
your ^pp$+pp2+++=your
mother ^nn++++=mother,
, ^zz++++=EXTRAWORD
and ^cc+cls+++0=an'
that ^dt+pdem+++=that
was ^vbd+bedz+vrb++=was
the ^ati++++=the
end ^nn++++=end
of ^in++++=of
it ^pp3+it+++=it."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Didn't
did ^vbd+dod+vrb++=EXTRAWORD
n't ^xnot++not++0=EXTRAWORD
she ^pp3a+pp3+++=she
feel ^vb+vprv+++=feel
bad ^jj++++=bad?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Yes,
yes ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
s ^zz++++=s'pose
'pose ^nn+++??+=EXTRAWORD
she ^pp3a+pp3+++=she
did ^vbd+dod+vrb++=did.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++0=She'd
'd ^vbd+hvd+aux++=EXTRAWORD
been ^vprf+ben+vrb+xvbnx+=been
goin ^nn+++??+=goin'
' ^zz++++=EXTRAWORD
with ^in++++=with
him ^pp3o+pp3+++=him
a ^at++++=a
pretty ^rb++++=pretty
long ^rb++++=long
time ^nn++++=time.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
know ^vb+vprv+++=know
as ^cc++++=as
well ^rb++++=well
as ^cc"++++=as
I ^pp1a+pp1+++=I
want ^vb++++=want
to ^to+vcmp+++=to
that ^dt+dem+++=that
she ^pp3a+pp3+++=she
wrote ^vbd+vprv++xvbnx+=wrote
to ^in++++=to
him ^pp3o+pp3+++=him
and ^cc++++0=an'
tried ^vbd+++xvbn+=tried
to ^to+vcmp+++=to
straighten ^vbi++++=straighten
it ^pp3+it+++=it
out ^rp+pl+++=out,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
it ^pp3+it+++=it
wa' ^jj+++??+=wa'n't
n't ^xnot++not++0=EXTRAWORD
no ^at++++=no
use ^nn++++=use.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
never ^rb++++=never
got ^vbd+++xvbn+=got
married ^vbd+++xvbn+=married,
, ^zz++++=EXTRAWORD
and ^cc+cls+++0=an'
I ^pp1a+pp1+++=I
know ^vb+vprv+tht0++=know
she ^pp3a+pp3+++=she
had ^vb+hv+vrb++=had
chances ^nns+nom+++=chances.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There's
's ^vbz+bez+vrb++0=EXTRAWORD
father ^nn++++=father
comin ^nn+++??+=comin'."
'." ^nn+++??+=EXTRAWORD
" ^zz++++="Ask
ask ^vb++++=EXTRAWORD
him ^pp3o+pp3+++=him
who ^whp+who+++=who
it ^pp3+it+++0='twas."
was ^vbd+bedz+vrb++=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Who
who ^whp+who+++=EXTRAWORD
did ^vbd+dod+vrb++=did
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Brown ^np++++=Brown
say ^vb+vpub+tht0++=say
the ^ati++++=the
bell ^nn++++=bell
tolled ^vbd+++xvbn+=tolled
for ^in+strn+++=for?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
asked ^vbn+vsua++xvbn+=asked
Mrs ^npt++++=Mrs.
. ^zz++++=EXTRAWORD
Lambert ^np++++=Lambert
as ^in++++=as
the ^ati++++=the
old ^jj+atrb+++=old
man ^nn++++=man
entered ^vbd+++xvbn+=entered
the ^ati++++=the
kitchen ^nn++++=kitchen.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
shuffled ^vbd+++xvbnx+=shuffled
over ^in++++=over
to ^in++++=to
the ^ati++++=the
shelf ^nn++++=shelf
and ^cc++++=and
took ^vbd+++xvbn+=took
up ^rb+phrv+++=up
his ^pp$+pp3+++=his
pipe ^nn++++=pipe,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
was ^vbd+bedz+aux++=was
lying ^vbg+++xvbgx+=lying
there ^rn+pl+++=there.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
did ^vbd+dod+aux++=did
not ^xnot++not++=not
open ^vb++++=open
his ^pp$+pp3+++=his
lips ^nns++++=lips.
. ^zz++++=EXTRAWORD
" ^zz++++="Oliver!"
oliver ^np++++=EXTRAWORD
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="What
what ^wdt+who+++=EXTRAWORD
are ^vb+ber+vrb++=are
you ^pp2+pp2+++=you
hollerin ^nn+++??+=hollerin'
' ^zz++++=EXTRAWORD
so ^cs+sub+++=so
fur ^nn++++=fur?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Thought
thought ^nn+++xvbn+=EXTRAWORD
you ^pp2+pp2+++=you
did ^vbd+dod+aux++=didn't
n't ^xnot++not++0=EXTRAWORD
hear ^vb+vprv+++=hear.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
wanted ^vbd+++xvbnx+=wanted
to ^to+vcmp+++=to
know ^vbi+vprv+++=know
who ^whp+wpr+whcl++=who
the ^ati++++=the
bell ^nn++++=bell
tolled ^vbd+++xvbn+=tolled
for ^in+strn+++=for."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
heard ^vbd+vprv++xvbnx+=heard
the ^ati++++=the
first ^od++++=first
time ^nn++++=time
you ^pp2+pp2+++=you
spoke ^vbd+++xvbn+=spoke."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Who
who ^whp+who+++=EXTRAWORD
was ^vbd+bedz+vrb++=was
it ^pp3+it+++=it?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Well,
well ^rb+cnj+++=EXTRAWORD
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
s ^zz++++=s'pose
'pose ^nn+++??+=EXTRAWORD
it ^pp3+it+++0='twas
was ^vbd+bedz+vrb++=EXTRAWORD
Angeline ^np+++??+=Angeline."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="There,
there ^rn+pl+++=EXTRAWORD
, ^zz++++=EXTRAWORD
what ^wdt+who+whq++=what
did ^vbd+dod+aux++=did
I ^pp1a+pp1+++=I
tell ^vb++++=tell
you ^pp2+pp2+++=you?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
did ^vbd+dod+vrb++=didn't
n't ^xnot++not++0=EXTRAWORD
git ^np++++=git
her ^pp$+pp3+++=her
age ^nn++++=age
right ^nn++++=right,
, ^zz++++=EXTRAWORD
nohow ^nn+++??+=nohow.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
wa' ^nn+++??+=wa'n't
n't ^xnot++not++0=EXTRAWORD
but ^cc++++=but
forty ^cd++++=forty-eight."
- ^zz++++=EXTRAWORD
eight ^cd++++=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Why,
why ^wrb+who+++=EXTRAWORD
, ^zz++++=EXTRAWORD
Oliver ^np++++=Oliver,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
was ^vbd+bedz+vrb++=was
two ^cd++++=two
years ^nns++++=years
older ^jjr++++=older
than ^in++++=than
Edward ^np++++=Edward
would ^md+prd+++=would
have ^vb+hv+aux++=have
been ^vprf+ben+vrb+xvbnx+=been
if ^cs+cnd+++=if
he ^pp3a+pp3+++0=he'd
'd ^vbd+hvd+aux++=EXTRAWORD
lived ^vprf+++xvbnx+=lived,
, ^zz++++=EXTRAWORD
and ^cc+cls+++0=an'
he ^pp3a+pp3+++0=he'd
'd ^vbd+hvd+aux++=EXTRAWORD
been ^vprf+ben+vrb+xvbnx+=been
forty ^cd++++=forty-eight
- ^zz++++=EXTRAWORD
eight ^cd++++=EXTRAWORD
this ^dt+dem+++=this
June ^nr++++=June
comin ^nn+++??+=comin'."
'." ^nn+++??+=EXTRAWORD
" ^zz++++="He
he ^pp3a+pp3+++=EXTRAWORD
would ^md+prd+++=wouldn't
n't ^xnot++not++0=EXTRAWORD
ha ^uh++++=ha'
' ^zz++++=EXTRAWORD
been ^vprf+ben+vrb+xvbn+=been
but ^cc++++=but
forty ^cd++++=forty-six."
- ^zz++++=EXTRAWORD
six ^cd++++=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Why,
why ^wrb+who+++=EXTRAWORD
, ^zz++++=EXTRAWORD
Oliver ^np++++=Oliver
Lambert ^np++++=Lambert!
! ^zz++++=EXTRAWORD
Well ^rb+cnj+++=Well,
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
might ^md+pos+++=might
jest ^rb++++=jest
as ^rb++++=as
well ^rb++++=well
have ^vb+hv+vrb++=have
your ^pp$+pp2+++=your
own ^ap++++=own
way ^nn++++=way
first ^od++++=first
as ^ql++++=as
last ^rb++++=last.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
ai ^vb+be+++=ain't
n't ^xnot++not++0=EXTRAWORD
goin ^nn+++??+=goin'
' ^zz++++=EXTRAWORD
to ^to++++=to
say ^vbi+vpub+++=say
another ^dt++++=another
word ^nn++++=word."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
guess ^vb++++=guess
I ^pp1a+pp1+++=I
kin ^nns++++=kin
tell ^vb++++=tell
when ^wrb+who+++=when
the ^ati++++=the
bell ^nn++++=bell
strikes ^vbz++++=strikes
forty ^cd++++=forty-eight,
- ^zz++++=EXTRAWORD
eight ^cd++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++0=an'
I ^pp1a+pp1+++=I
ai ^vb+be+++=ain't
n't ^xnot++not++0=EXTRAWORD
goin ^nn+++??+=goin'
' ^zz++++=EXTRAWORD
to ^to++++=to
be ^vbi+vbi+aux++=be
beat ^vpsv++agls+xvbnx+=beat
out ^rp+pl+++=out.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
ai ^vb+be+++=ain't
n't ^xnot++not++0=EXTRAWORD
quite ^rb++++=quite
so ^ql++++=so
fur ^nn++++=fur
behind ^in+pl+++=behind
the ^ati++++=the
times ^nns++++=times."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Well,
well ^rb+cnj+++=EXTRAWORD
, ^zz++++=EXTRAWORD
have ^vb+hv+vrb++=have
it ^pp3+it+++=it
forty ^cd++++=forty-eight,"
- ^zz++++=EXTRAWORD
eight ^cd++++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
his ^pp$+pp3+++=his
wife ^nn++++=wife
with ^in++++=with
an ^at++++=an
air ^nn++++=air
of ^in++++=of
virtuous ^jj+atrb+++=virtuous
patience ^nn+nom+++=patience.
. ^zz++++=EXTRAWORD
" ^zz++++="I've
i ^pp1a+pp1+++=EXTRAWORD
've ^vb+hv+aux++0=EXTRAWORD
give ^vb++++=give
in ^in++++=in
to ^in++++=to
you ^pp2+pp2+++=you
fifty ^cd++++=fifty
year ^nn++++=year,
, ^zz++++=EXTRAWORD
and ^cc+cls+++0=an'
I ^pp1a+pp1+++=I
guess ^vb++++=guess
I ^pp1a+pp1+++=I
kin ^nns++++=kin
a ^rb++++=a
little ^rb"++++=little
longer ^rbr++++=longer.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
ai ^vb+be+++=ain't
n't ^xnot++not++0=EXTRAWORD
goin ^nn+++??+=goin'
' ^zz++++=EXTRAWORD
to ^to++++=to
fight ^vbi++++=fight
over ^in++++=over
poor ^jj+atrb+++=poor
Angeline ^np+++??+=Angeline,
, ^zz++++=EXTRAWORD
nohow ^nn+++??+=nohow.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She's
's ^vbz+bez+aux++0=EXTRAWORD
gone ^vpsv++agls+xvbnx+=gone,
, ^zz++++=EXTRAWORD
and ^cc+cls+++0=an'
that ^dt+pdem+++=that's
's ^vbz+bez+vrb++0=EXTRAWORD
enough ^qlp++++=enough
to ^to++++=to
say ^vbi+vpub+++=say
about ^in++++=about
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
s ^zz++++=s'pose
'pose ^nn+++??+=EXTRAWORD
she ^pp3a+pp3+++=she's
's ^vbz+bez+aux++0=EXTRAWORD
left ^vpsv++agls+xvbnx+=left
quite ^rb++++=quite
a ^rb++++=a
little ^rb"++++=little
property ^nn++++=property.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
say ^vb+vpub+tht0++=say
she ^pp3a+pp3+++=she's
's ^vbz+bez+aux++0=EXTRAWORD
owned ^vpsv++agls+xvbnx+=owned
her ^pp$+pp3+++=her
house ^npl++++=house
clear ^jj++++=clear
quite ^rb++++=quite
a ^at++++=a
while ^cs+sub+++=while
now ^rn+tm+++=now."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
guess ^vb++++=guess
you ^pp2+pp2+++=you'll
'll ^md+prd+++0=EXTRAWORD
find ^vb+vprv+tht0++=find
it ^pp3+it+++=it
ai ^vb+be+++=ain't
n't ^xnot++not++0=EXTRAWORD
clear ^jj++++=clear."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Well,
well ^rb+cnj+++=EXTRAWORD
, ^zz++++=EXTRAWORD
mebbe ^rb++++=mebbe
it ^pp3+it+++=it
ai ^vb+be+++=ain't."
n't ^xnot++not++0=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
The ^ati++++=The
girl ^nn++++=girl
laughed ^vbd+++xvbn+=laughed
slyly ^jj++++=slyly
over ^in++++=over
her ^pp$+pp3+++=her
dishes ^nns++++=dishes.
. ^zz++++=EXTRAWORD
However ^rb+cnj+++=However,
, ^zz++++=EXTRAWORD
in ^in++++=in
the ^ati++++=the
course ^nn++++=course
of ^in++++=of
a ^ap++++=a
few ^ap"++++=few
weeks ^nns++++=weeks,
, ^zz++++=EXTRAWORD
old ^jj+atrb+++=old
Oliver ^np++++=Oliver
Lambert ^np++++=Lambert's
's ^$++++=EXTRAWORD
obstinacy ^nn+nom+++=obstinacy
was ^vbd+bedz+aux++=was
proven ^vpsv++agls+xvbnx+=proven
vain ^jj++++=vain
in ^in++++=in
this ^dt+dem+++=this
matter ^nn++++=matter
also ^rb++++=also.
. ^zz++++=EXTRAWORD
Poor ^jj+atrb+++=Poor
Angeline ^np+++??+=Angeline
Laurence ^np+nom++??+=Laurence,
, ^zz++++=EXTRAWORD
dying ^vbg+++xvbg+=dying
solitary ^jj++++=solitary,
, ^zz++++=EXTRAWORD
without ^in++++=without
kindred ^nn++++=kindred,
, ^zz++++=EXTRAWORD
had ^vbd+hvd+aux++=had
left ^vprf+++xvbnx+=left
her ^pp$+pp3+++=her
little ^ap++++=little
house ^npl++++=house,
, ^zz++++=EXTRAWORD
free ^jj++++=free
and ^cc+phrs+++=and
unencumbered ^jj+++xvbn+=unencumbered,
, ^zz++++=EXTRAWORD
to ^in++++=to
the ^ati++++=the
daughter ^nn+nom+++=daughter
of ^in++++=of
her ^pp$+pp3+++=her
dead ^jj+atrb+++=dead
lover ^nn++++=lover,
, ^zz++++=EXTRAWORD
Edward ^np++++=Edward
Lambert ^np++++=Lambert.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
made ^vbd+++xvbn+=made
no ^at++++=no
difference ^nn+nom+++=difference
now ^rn+tm+++=now
to ^in++++=to
this ^dt+dem+++=this
modest ^jj+atrb+++=modest
maiden ^jjb+atrb+++=maiden
woman ^nn++++=woman,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
had ^vbd+hvd+aux++=had
kept ^vprf+++xvbnx+=kept
an ^at++++=an
affection ^nn+nom+++=affection
hidden ^vbd+++xvbn+=hidden
in ^in++++=in
her ^pp$+pp3+++=her
heart ^nn++++=heart
for ^in++++=for
thirty ^cd++++=thirty
years ^nns++++=years,
, ^zz++++=EXTRAWORD
that ^dt+dem+++=that
all ^abn++++=all
the ^ati++++=the
villagers ^nns+nom+++=villagers
were ^vbd+bed+aux++=were
staring ^vbg+++xvbgx+=staring
at ^rb++++=at
it ^pp3+it+++=it
out ^rp+pl+++=out
in ^in++++=in
the ^ati++++=the
light ^nn++++=light,
, ^zz++++=EXTRAWORD
like ^in++++=like
the ^ati++++=the
skeleton ^nn++++=skeleton
of ^in++++=of
an ^at++++=an
old ^jj+atrb+++=old
beauty ^nn++++=beauty.
. ^zz++++=EXTRAWORD
" ^zz++++="She
she ^pp3a+pp3+++=EXTRAWORD
never ^rb++++=never
got ^vbd+++xvbn+=got
over ^in+ppvb+++=over
it ^pp3+it+++=it,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub+tht0+xvbn+=said
they ^pp3a+pp3+++=they.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
she ^pp3a+pp3+++=she
lay ^vbd+++xvbnx+=lay
in ^in++++=in
her ^pp$+pp3+++=her
grave ^jj++++=grave,
, ^zz++++=EXTRAWORD
with ^in++++=with
the ^ati++++=the
grass ^nn++++=grass
