Moistening ^np+++??+=Moistening
; ^zz++++=EXTRAWORD
C ^zz++++=C
344 ^cd++++=344
contained ^jj+++xvbn+=contained
two ^cd++++=two
fat ^nn++++=fat
ladies ^nns++++=ladies--very
-- ^--+clp+++=EXTRAWORD
very ^ql+amp+++=EXTRAWORD
sick ^jj++++=sick;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
C ^zz++++=C
345 ^cd++++=345
contained ^jj+atrb++xvbn+=contained
two ^cd++++=two
thin ^jj+atrb+++=thin
ladies ^nns++++=ladies--both
-- ^--+clp+++=EXTRAWORD
both ^abx++++=EXTRAWORD
sick ^jj++++=sick.
. ^zz++++=EXTRAWORD
Say ^vb+vpub+++=Say
a ^at++++=a
dollar ^nn++++=dollar
each ^dt++++=each.
. ^zz++++=EXTRAWORD
In ^in++++=In
C ^zz++++=C
346 ^cd++++=346
was ^vbd+bedz+vrb++=was
a ^at++++=a
shaggy ^jj++++=shaggy-bearded
- ^zz++++=EXTRAWORD
bearded ^jj++++=EXTRAWORD
individual ^jj++++=individual--male--of
-- ^--+clp+++=EXTRAWORD
male ^jj++++=EXTRAWORD
-- ^--+clp+++=EXTRAWORD
of ^in++++=EXTRAWORD
unknown ^jj+atrb+++=unknown
derivation ^nn+nom+++=derivation,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
spoke ^vbd+++xvbn+=spoke
an ^at++++=an
explosive ^jj+atrb+++=explosive
brand ^nn++++=brand
of ^in++++=of
English ^nn++++=English,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
burst ^vbd+++xvbn+=burst
out ^rp+pl+++=out
in ^in++++=in
a ^at++++=a
series ^nn++++=series
of ^in++++=of
grunts ^nns++++=grunts,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
who ^whp+rel+subj++=who
had ^vb+hv+vrb++=had
economical ^jj+atrb+++=economical
habits ^nns++++=habits
in ^in++++=in
the ^ati++++=the
use ^nn++++=use
of ^in++++=of
soap ^nn++++=soap.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
doubtful ^jj+pred+++=doubtful,
, ^zz++++=EXTRAWORD
reasoned ^j+++xvbn+=reasoned
Monsieur ^npt++++=Monsieur
Pettipon ^np+++??+=Pettipon,
, ^zz++++=EXTRAWORD
if ^cs+cnd+++=if
the ^ati++++=the
principle ^nn++++=principle
of ^in++++=of
tipping ^nn++++=tipping
had ^vb+hv+aux++=had
ever ^rb++splt++=ever
penetrated ^vprf+++xvbnx+=penetrated
the ^ati++++=the
wild ^jj+atrb+++=wild
regions ^nns++++=regions
from ^in++++=from
which ^whp+rel+pied++=which
this ^dt+dem+++=this
being ^jj+++xvbg+=being
unquestionably ^rb++++=unquestionably
hailed ^vpsv++agls+xvbn+=hailed.
. ^zz++++=EXTRAWORD
Years ^nns++++=Years
of ^in++++=of
experience ^nn+nom+++=experience
had ^vbd+hvd+aux++=had
taught ^vprf+++xvbnx+=taught
Monsieur ^npt++++=Monsieur
Pettipon ^np+++??+=Pettipon
to ^to++++=to
appraise ^vbi++++=appraise
with ^in++++=with
a ^at++++=a
quite ^rb++++=quite
uncanny ^jj+atrb+++=uncanny
accuracy ^nn+nom+++=accuracy
the ^ati++++=the
amount ^nn++++=amount
of ^in++++=of
tips ^nns++++=tips
he ^pp3a+pp3+++=he
would ^md+prd+++=would
get ^vb++++=get
from ^in++++=from
his ^pp$+pp3+++=his
clients ^nns++++=clients,
, ^zz++++=EXTRAWORD
as ^ql++++=as
he ^pp3a+pp3+++=he
called ^vbd+++xvbnx+=called
them ^pp3o+pp3+++=them.
. ^zz++++=EXTRAWORD
Still ^rb+atrb+++=Still
troubled ^jj+++xvbn+=troubled
in ^in++++=in
his ^pp$+pp3+++=his
mind ^nn++++=mind
over ^in++++=over
his ^pp$+pp3+++=his
inability ^nn+nom+++=inability
to ^to+ncmp+++=to
provide ^vbi+vsua+++=provide
a ^at++++=a
new ^jj+atrb+++=new
violin ^nn++++=violin
for ^in++++=for
the ^ati++++=the
promising ^jj+atrb+++=promising
Napoleon ^np++++=Napoleon,
, ^zz++++=EXTRAWORD
Monsieur ^npt++++=Monsieur
Pettipon ^np+++??+=Pettipon
went ^vbd+++xvbn+=went
about ^in+ppvb+++=about
his ^pp$+pp3+++=his
work ^nn++++=work,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
in ^in++++=in
the ^ati++++=the
course ^nn++++=course
of ^in++++=of
time ^nn++++=time
reached ^vbd+++xvbn+=reached
Stateroom ^np+++??+=Stateroom
C ^zz++++=C
346 ^cd++++=346
and ^cc++++=and
tapped ^vpsv++agls+xvbn+=tapped
with ^in++++=with
soft ^jj+atrb+++=soft
knuckles ^nns++++=knuckles.
. ^zz++++=EXTRAWORD
" ^zz++++="Come,"
come ^vprf+++xvbn+=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
grunted ^vbd+++xvbn+=grunted
the ^ati++++=the
shaggy ^jj+atrb+++=shaggy
occupant ^nn+nom+++=occupant.
. ^zz++++=EXTRAWORD
Monsieur ^npt++++=Monsieur
Pettipon ^np+++??+=Pettipon,
, ^zz++++=EXTRAWORD
with ^in++++=with
an ^at++++=an
apologetic ^jj+atrb+++=apologetic
flood ^nn++++=flood
of ^in++++=of
" ^zz++++="pardons,"
pardons ^nns+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
entered ^vbd+++xvbn+=entered.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
stopped ^vbd+++xvbnx+=stopped
in ^in++++=in
some ^dti++++=some
alarm ^nn++++=alarm.
. ^zz++++=EXTRAWORD
The ^ati++++=The
shaggy ^jj+atrb+++=shaggy
one ^pn++++=one,
, ^zz++++=EXTRAWORD
in ^in++++=in
violently ^rb++++=violently
striped ^jj+atrb+++=striped
pajamas ^nns+++??+=pajamas,
, ^zz++++=EXTRAWORD
was ^vbd+bedz+aux++=was
standing ^vbg+++xvbgx+=standing
in ^in++++=in
the ^ati++++=the
center ^nn++++=center
of ^in++++=of
the ^ati++++=the
cabin ^nn++++=cabin,
, ^zz++++=EXTRAWORD
plainly ^rb++++=plainly
very ^ql+amp+++=very
indignant ^jj++++=indignant
about ^in++++=about
something ^pn++++=something.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
fixed ^vbd+++xvbnx+=fixed
upon ^in++++=upon
Monsieur ^npt++++=Monsieur
Pettipon ^np+++??+=Pettipon
a ^at++++=a
pair ^nn++++=pair
of ^in++++=of
accusing ^jj+atrb+++=accusing
eyes ^nns++++=eyes.
. ^zz++++=EXTRAWORD
With ^in++++=With
the ^ati++++=the
air ^nn++++=air
of ^in++++=of
a ^at++++=a
conjurer ^nn++++=conjurer
doing ^vwbg+++xvbg+=doing
a ^at++++=a
trick ^nn++++=trick
he ^pp3a+pp3+++=he
thrust ^vbd+++xvbnx+=thrust
his ^pp$+pp3+++=his
hand ^nn++++=hand,
, ^zz++++=EXTRAWORD
palm ^nn++++=palm
upward ^jjb++++=upward,
, ^zz++++=EXTRAWORD
beneath ^in+pl+++=beneath
the ^ati++++=the
surprised ^jj+atrb++xvbn+=surprised
nose ^nn++++=nose
of ^in++++=of
Monsieur ^npt++++=Monsieur
Pettipon ^np+++??+=Pettipon.
. ^zz++++=EXTRAWORD
" ^zz++++="Behold!"
behold ^vb++++=EXTRAWORD
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
cried ^vbd+++xvbn+=cried
the ^ati++++=the
shaggy ^jj+atrb+++=shaggy
one ^pn++++=one
in ^in++++=in
a ^at++++=a
voice ^nn++++=voice
of ^in++++=of
thunder ^nn++++=thunder.
. ^zz++++=EXTRAWORD
Monsieur ^npt++++=Monsieur
Pettipon ^np+++??+=Pettipon
peered ^vbd+++xvbn+=peered
into ^in++++=into
the ^ati++++=the
outstretched ^jj+atrb+++=outstretched
hand ^nn++++=hand.
. ^zz++++=EXTRAWORD
In ^in++++=In
the ^ati++++=the
cupped ^jj+atrb+++=cupped
palm ^nn++++=palm
was ^vbd+bedz+vrb++=was
a ^at++++=a
small ^jj+atrb+++=small
dark ^jj+atrb+++=dark
object ^nn++++=object.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
alive ^jj+pred+++=alive.
. ^zz++++=EXTRAWORD
Monsieur ^npt++++=Monsieur
Pettipon ^np+++??+=Pettipon,
, ^zz++++=EXTRAWORD
speechless ^jj++++=speechless
with ^in++++=with
horror ^nn++++=horror,
, ^zz++++=EXTRAWORD
regarded ^xvbn+++xvbn+=regarded
the ^ati++++=the
thing ^nn++++=thing
with ^in++++=with
round ^in++++=round
unbelieving ^xvbg+++xvbg+=unbelieving
eyes ^nns++++=eyes.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
felt ^vbd+vprv++xvbnx+=felt
as ^cs+sub+++=as
if ^cs+cnd+++=if
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
struck ^vpsv++agls+xvbnx+=struck
a ^at++++=a
heavy ^jj+atrb+++=heavy,
, ^zz++++=EXTRAWORD
stunning ^jj+atrb+++=stunning
blow ^nn++++=blow.
. ^zz++++=EXTRAWORD
At ^rb++++=At
last ^rb"++++=last
with ^in++++=with
a ^at++++=a
great ^jj+atrb+++=great
effort ^nn++++=effort
he ^pp3a+pp3+++=he
asked ^vbd+vsua++xvbnx+=asked
weakly ^rb+cnj+++=weakly,
, ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
found ^vbd+vprv++xvbn+=found
him ^pp3o+pp3+++=him
here ^rn+pl+++=here,
, ^zz++++=EXTRAWORD
monsieur ^npt++++=monsieur?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
found ^vbd+vprv++xvbnx+=found
him ^pp3o+pp3+++=him
here ^rn+pl+++=here,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
declared ^vbd+vpub++xvbn+=declared
the ^ati++++=the
shaggy ^jj+atrb+++=shaggy
one ^pn++++=one,
, ^zz++++=EXTRAWORD
nodding ^vbg+++xvbg+=nodding
his ^pp$+pp3+++=his
bushy ^jj+atrb+++=bushy
head ^nn++++=head
toward ^in++++=toward
his ^pp$+pp3+++=his
berth ^nn+++??+=berth.
. ^zz++++=EXTRAWORD
The ^ati++++=The
world ^nn++++=world
of ^in++++=of
Monsieur ^npt++++=Monsieur
Pettipon ^np+++??+=Pettipon
seemed ^vbd+seem++xvbn+=seemed
to ^to+vcmp+++=to
come ^vbi++++=come
crashing ^vbg+++xvbg+=crashing
down ^rp++++=down
around ^rp++++=around
his ^pp$+pp3+++=his
ears ^nns++++=ears.
. ^zz++++=EXTRAWORD
" ^zz++++="Impossible!"
impossible ^jj++++=EXTRAWORD
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
panted ^vbd+++xvbn+=panted
Monsieur ^npt++++=Monsieur
Pettipon ^np+++??+=Pettipon.
. ^zz++++=EXTRAWORD
" ^zz++++="It
it ^pp3+it+++=EXTRAWORD
could ^md+pos+++=could
not ^xnot++not++=not
be ^vb+be+vrb++=be."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="It
it ^pp3+it+++=EXTRAWORD
could ^md+pos+++=could
be ^vb+be+vrb++=be,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
the ^ati++++=the
shaggy ^jj+atrb+++=shaggy
one ^cd1++++=one
sternly ^rb+cnj+++=sternly,
, ^zz++++=EXTRAWORD
" ^zz++++="because
because ^cs+cos+++=EXTRAWORD
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
continued ^vbd+++xvbnx+=continued
to ^to++++=to
hold ^vbi+vprv+++=hold
the ^ati++++=the
damnatory ^nn++++=damnatory
evidence ^nn+nom+++=evidence
within ^in++++=within
a ^at++++=a
foot ^nn++++=foot
of ^in++++=of
Monsieur ^npt++++=Monsieur
Pettipon ^np++++=Pettipon's
's ^vbz+bez+aux++0=EXTRAWORD
staring ^vbg+++xvbg+=staring
incredulous ^jj+atrb+++=incredulous
eyes ^nns++++=eyes.
. ^zz++++=EXTRAWORD
" ^zz++++="But,
but ^cc++++=EXTRAWORD
, ^zz++++=EXTRAWORD
monsieur ^npt++++=monsieur,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
protested ^vbd+vpub++xvbn+=protested
the ^ati++++=the
steward ^nn++++=steward,
, ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
tell ^vb++++=tell
you ^pp2+pp2+++=you
the ^ati++++=the
thing ^nn++++=thing
could ^md+pos+++=could
not ^xnot++not++=not
be ^vb+be+vrb++=be.
. ^zz++++=EXTRAWORD
One ^cd1++++=One
hundred ^cd++++=hundred
and ^cc++++=and
twenty ^cd++++=twenty-seven
- ^zz++++=EXTRAWORD
seven ^cd++++=EXTRAWORD
times ^nns++++=times
have ^vb+hv+aux++=have
I ^pp1a+pp1+++=I
crossed ^vbd+++xvbnx+=crossed
on ^in++++=on
this ^dt+dem+++=this
Voltaire ^np+++??+=Voltaire,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
such ^abl++++=such
a ^at++++=a
thing ^nn++++=thing
has ^vbz+hvz+aux++=has
not ^xnot++not++=not
been ^vprf+ben+vrb+xvbn+=been.
. ^zz++++=EXTRAWORD
Never ^rb+cnj+++=Never,
, ^zz++++=EXTRAWORD
never ^rb+cnj+++=never,
, ^zz++++=EXTRAWORD
never ^rb++++=never."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
did ^vbd+dod+aux++=did
not ^xnot++not++=not
make ^vb++++=make
him ^pp3o+pp3+++=him,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
put ^vbd+++xvbn+=put
in ^rb+phrv+++=in
the ^ati++++=the
passenger ^nn+nom+++=passenger,
, ^zz++++=EXTRAWORD
with ^in++++=with
a ^at++++=a
show ^nn++++=show
of ^in++++=of
irony ^nn++++=irony.
. ^zz++++=EXTRAWORD
" ^zz++++="No,
no ^at++++=EXTRAWORD
, ^zz++++=EXTRAWORD
no ^at++++=no!
! ^zz++++=EXTRAWORD
Of ^in+emph+++=Of
course ^nn+emph"+++=course
monsieur ^npt++++=monsieur
did ^vbd+dod+aux++=did
not ^xnot++not++=not
make ^vb++++=make
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
That ^dt+pdem+++=That
is ^vbz+bez+vrb++=is
true ^jj+pred+++=true.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
perhaps ^rb++++=perhaps
monsieur ^npt++++=monsieur----"
-- ^--+clp+++=EXTRAWORD
-- ^--+clp+++=EXTRAWORD
" ^zz++++=EXTRAWORD
The ^ati++++=The
gesture ^nn++++=gesture
of ^in++++=of
the ^ati++++=the
overwhelmed ^jj+++xvbn+=overwhelmed
Pettipon ^np+++??+=Pettipon
was ^vbd+bedz+vrb++=was
delicate ^jj+pred+++=delicate
but ^cc+phrs+++=but
pregnant ^jj++++=pregnant.
. ^zz++++=EXTRAWORD
The ^ati++++=The
shaggy ^jj+atrb+++=shaggy
passenger ^nn+nom+++=passenger
glared ^vbd+++xvbn+=glared
ferociously ^rb++++=ferociously
at ^in++++=at
the ^ati++++=the
steward ^nn++++=steward.
. ^zz++++=EXTRAWORD
" ^zz++++="Do
do ^vb+do+aux++=EXTRAWORD
you ^pp2+pp2+++=you
mean ^vb+vprv+tht0++=mean
I ^pp1a+pp1+++=I
brought ^vbd+++xvbnx+=brought
him ^pp3o+pp3+++=him
with ^in++++=with
me ^pp1o+pp1+++=me?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
demanded ^vbd+vsua++xvbnx+=demanded
in ^in++++=in
a ^at++++=a
terrible ^jj+atrb+++=terrible
voice ^nn++++=voice.
. ^zz++++=EXTRAWORD
Monsieur ^npt++++=Monsieur
Pettipon ^np+++??+=Pettipon
shrugged ^vbd+++xvbn+=shrugged
his ^pp$+pp3+++=his
shoulders ^nns+nom+++=shoulders.
. ^zz++++=EXTRAWORD
" ^zz++++="Such
such ^abl++++=EXTRAWORD
things ^nns++++=things
happen ^vb+++??+=happen,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said
soothingly ^jj++++=soothingly.
. ^zz++++=EXTRAWORD
" ^zz++++="When
when ^wrb+who+++=EXTRAWORD
one ^cd1++++=one
travels ^nns++++=travels----"
-- ^--+clp+++=EXTRAWORD
-- ^--+clp+++=EXTRAWORD
" ^zz++++=EXTRAWORD
The ^ati++++=The
shaggy ^jj+atrb+++=shaggy
one ^cd1++++=one
interrupted ^jj+++xvbn+=interrupted
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
" ^zz++++="He
he ^pp3a+pp3+++=EXTRAWORD
is ^vbz+bez+vrb++=is
not ^xnot++not++=not
mine ^pp$$++++=mine!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
exploded ^vbd+++xvbnx+=exploded
bellicosely ^jj++++=bellicosely.
. ^zz++++=EXTRAWORD
" ^zz++++="He
he ^pp3a+pp3+++=EXTRAWORD
never ^rb++++=never
was ^vbd+bedz+vrb++=was
mine ^nn++++=mine.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
found ^vbd+vprv++xvbnx+=found
him ^pp3o+pp3+++=him
here ^rn+pl+++=here,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
tell ^vb++++=tell
you ^pp2+pp2+++=you.
. ^zz++++=EXTRAWORD
Here ^rn+pl+++=Here!
! ^zz++++=EXTRAWORD
Something ^pn++++=Something
shall ^md+prd+++=shall
be ^vb+be+aux++=be
done ^vpsv++agls+xvbnx+=done
about ^in++++=about
this ^dt+pdem+++=this."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Monsieur ^npt++++=Monsieur
Pettipon ^np+++??+=Pettipon
had ^vbd+hvd+aux++=had
begun ^vprf+++xvbnx+=begun
to ^to++++=to
tremble ^vbi++++=tremble;
; ^zz++++=EXTRAWORD
tiny ^jj++++=tiny
moist ^jj++++=moist
drops ^vbz++++=drops
bedewed ^vprf+++xvbn+=bedewed
his ^pp$+pp3+++=his
expanse ^nn++++=expanse
of ^in++++=of
brow ^nn++++=brow;
; ^zz++++=EXTRAWORD
to ^to++++=to
lose ^vbi++++=lose
his ^pp$+pp3+++=his
job ^nn++++=job
would ^md+prd+++=would
be ^vb+be+vrb++=be
tragedy ^nn++++=tragedy
enough ^dt++++=enough;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
this ^dt+pdem+++=this--this
-- ^--+clp+++=EXTRAWORD
this ^dt+pdem+++=EXTRAWORD
would ^md+prd+++=would
be ^vb+be+vrb++=be
worse ^jjr+pred+++=worse
than ^in++++=than
tragedy ^nn++++=tragedy;
; ^zz++++=EXTRAWORD
it ^pp3+it+++=it
would ^md+prd+++=would
be ^vb+be+vrb++=be
disgrace ^nn+++??+=disgrace.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
artistic ^jj+atrb+++=artistic
reputation ^nn+nom+++=reputation
was ^vbd+bedz+vrb++=was
at ^rb++++=at
stake ^nn++++=stake.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
career ^nn++++=career
was ^vbd+bedz+aux++=was
tottering ^vbg+++xvbgx+=tottering
on ^in++++=on
a ^at++++=a
hideous ^jj+atrb+++=hideous
brink ^nn++++=brink.
. ^zz++++=EXTRAWORD
All ^abn++++=All
Paris ^np++++=Paris,
, ^zz++++=EXTRAWORD
all ^abn++++=all
France ^np++++=France
would ^md+prd+++=would
know ^vb+vprv+++=know,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
would ^md+prd+++=would
laugh ^vb++++=laugh
at ^in+ppvb+++=at
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
" ^zz++++="Give
give ^vb++++=EXTRAWORD
me ^pp1o+pp1+++=me
the ^ati++++=the
little ^jj+atrb+++=little
devil ^nn++++=devil,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said
humbly ^jj++++=humbly.
. ^zz++++=EXTRAWORD
" ^zz++++="I,
i ^pp1a+pp1+++=EXTRAWORD
, ^zz++++=EXTRAWORD
myself ^ppl+pp1+++=myself,
, ^zz++++=EXTRAWORD
personally ^rb+cnj+++=personally,
, ^zz++++=EXTRAWORD
will ^md+prd+++=will
see ^vb+vprv+++=see
to ^to+vcmp+++=to
it ^pp3+it+++=it
that ^cs+sub+++=that
he ^pp3a+pp3+++=he
troubles ^nns++++=troubles
you ^pp2+pp2+++=you
no ^at++++=no
more ^rbr++++=more.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
shall ^md+prd+++=shall
perish ^vb++++=perish
at ^rb++++=at
once ^rb"+tm+++=once,
, ^zz++++=EXTRAWORD
monsieur ^npt++++=monsieur;
; ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
shall ^md+prd+++=shall
die ^vb++++=die
the ^ati++++=the
death ^nn++++=death.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
will ^md+prd+++=will
have ^vb+hv+vrb++=have
fresh ^jj+atrb+++=fresh
bedding ^nn++++=bedding,
, ^zz++++=EXTRAWORD
fresh ^jj+atrb+++=fresh
carpet ^nn++++=carpet,
, ^zz++++=EXTRAWORD
fresh ^jj++++=fresh
everything ^pn++++=everything.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
will ^md+prd+++=will
be ^vb+be+vrb++=be
fumigations ^nns+nom+++=fumigations.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
beg ^vb++++=beg
that ^cs+sub+++=that
monsieur ^npt++++=monsieur
will ^md+prd+++=will
think ^vb+vprv+++=think
no ^at++++=no
more ^rbr++++=more
of ^in++++=of
it ^pp3+it+++=it."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Savagely ^rb++++=Savagely
he ^pp3a+pp3+++=he
took ^vbd+++xvbnx+=took
the ^ati++++=the
thing ^nn++++=thing
between ^in++++=between
plump ^jj+atrb+++=plump
thumb ^nn++++=thumb
and ^cc++++=and
forefinger ^nn+nom+++=forefinger
and ^cc++++=and
bore ^nn+++xvbn+=bore
it ^pp3+it+++=it
from ^in++++=from
the ^ati++++=the
stateroom ^nn+++??+=stateroom,
, ^zz++++=EXTRAWORD
holding ^vbg+vprv+tht0+xvbg+=holding
it ^pp3+it+++=it
at ^rb++++=at
arm ^vb++++=arm's
's ^vbz+bez+vrb++0=EXTRAWORD
length ^nn++++=length.
. ^zz++++=EXTRAWORD
In ^in++++=In
the ^ati++++=the
corridor ^nn++++=corridor,
, ^zz++++=EXTRAWORD
with ^in++++=with
the ^ati++++=the
door ^nn++++=door
shut ^vbd+++xvbn+=shut
on ^in++++=on
the ^ati++++=the
shaggy ^jj+atrb+++=shaggy
one ^pn++++=one,
, ^zz++++=EXTRAWORD
Monsieur ^npt++++=Monsieur
Pettipon ^np+++??+=Pettipon,
, ^zz++++=EXTRAWORD
feverishly ^jj++++=feverishly
agitated ^jj+++xvbn+=agitated,
, ^zz++++=EXTRAWORD
muttered ^j+++xvbn+=muttered
again ^rb+tm+++=again
and ^cc+phrs+++=and
again ^rb+cnj+++=again,
, ^zz++++=EXTRAWORD
" ^zz++++="He
he ^pp3a+pp3+++=EXTRAWORD
did ^vbd+dod+aux++=did
bring ^vb++++=bring
it ^pp3+it+++=it
with ^in++++=with
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
did ^vbd+dod+aux++=did
bring ^vb++++=bring
it ^pp3+it+++=it
with ^in++++=with
him ^pp3o+pp3+++=him."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
All ^abn++++=All
that ^dt+dem+++=that
night ^nn++++=night
Monsieur ^npt++++=Monsieur
Pettipon ^np+++??+=Pettipon
lay ^vbd+++xvbn+=lay
in ^in++++=in
his ^pp$+pp3+++=his
berth ^nn+++??+=berth,
, ^zz++++=EXTRAWORD
stark ^jj++++=stark
awake ^jj++++=awake,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
brooded ^vbd+++xvbn+=brooded.
. ^zz++++=EXTRAWORD
The ^ati++++=The
material ^nn++++=material
side ^nn++++=side
of ^in++++=of
the ^ati++++=the
affair ^nn++++=affair
was ^vbd+bedz+vrb++=was
bad ^jj+pred+++=bad
enough ^dt++++=enough.
. ^zz++++=EXTRAWORD
The ^ati++++=The
shaggy ^jj+atrb+++=shaggy
one ^cd1++++=one
would ^md+prd+++=would
report ^vb++++=report
the ^ati++++=the
matter ^nn++++=matter
to ^in++++=to
the ^ati++++=the
head ^jjb+atrb+++=head
steward ^nn++++=steward
of ^in++++=of
the ^ati++++=the
second ^od++++=second
class ^nn++++=class;
; ^zz++++=EXTRAWORD
Monsieur ^npt++++=Monsieur
Pettipon ^np+++??+=Pettipon
would ^md+prd+++=would
be ^vb+be+vrb++=be
ignominiously ^jj++++=ignominiously
discharged ^jj+++xvbn+=discharged;
; ^zz++++=EXTRAWORD
the ^ati++++=the
sin ^nn++++=sin,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
had ^md"++pmd"++=had
to ^md+nec+++=to
admit ^vb+vpub+++=admit,
, ^zz++++=EXTRAWORD
merited ^j+++xvbn+=merited
the ^ati++++=the
extremest ^jjt+atrb+++=extremest
penalty ^nn++++=penalty.
. ^zz++++=EXTRAWORD
Jobs ^nns++++=Jobs
are ^vb+ber+vrb++=are
hard ^jj+pred+++=hard
to ^to+jcmp+++=to
get ^vbi++++=get,
, ^zz++++=EXTRAWORD
particularly ^rb++++=particularly
when ^wrb+who+++=when
one ^cd1++++=one
is ^vbz+bez+vrb++=is
fat ^nn++++=fat
and ^cc++++=and
past ^jjb++++=past
forty ^cd++++=forty.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
saw ^vbd+vprv+tht0+xvbnx+=saw
the ^ati++++=the
Pettipons ^np+++??+=Pettipons
ejected ^vprf+++xvbn+=ejected
from ^in++++=from
their ^pp$+pp3+++=their
flat ^nn++++=flat;
; ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
saw ^vbd+vprv+tht0+xvbnx+=saw
his ^pp$+pp3+++=his
little ^jj+atrb+++=little
Napoleon ^np++++=Napoleon
a ^at++++=a
caf ^nn+++??+=caf
waiter ^nn++++=waiter
instead ^rb+cnj+++=instead
of ^in++++=of
a ^at++++=a
virtuoso ^nn++++=virtuoso.
. ^zz++++=EXTRAWORD
All ^abn++++=All
this ^dt+pdem+++=this
was ^vbd+bedz+vrb++=was
misery ^nn++++=misery
enough ^dt++++=enough.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
the ^ati++++=the
spiritual ^jj+atrb+++=spiritual
side ^nn++++=side
that ^tht+rel+++=that
tortured ^jj+++xvbn+=tortured
him ^pp3o+pp3+++=him
most ^ql+emph+++=most
poignantly ^rb+cnj+++=poignantly,
, ^zz++++=EXTRAWORD
